7k/R7/8/3pb3/4p1KP/1P2Pr2/P4P2/5R2 b - -,e5g3
rnbq1rk1/4ppbp/pp1p1np1/2p5/2PPP3/2NBBP2/PP2N1PP/R2QK2R w KQ c6,e4e5:d4d5
5k2/pb3pb1/1p5p/8/1N2P1p1/5P2/P2nBBPP/6K1 w - -,f2e3
3r2k1/1R3Np1/4p2p/p2r4/1p3PP1/1n6/5K1P/4R3 b - -,d8d7
1r4k1/5p2/3p1bpp/1N6/2r1P3/p5PP/5P2/RQ4K1 w - -,a1a3
r4rk1/1p4pp/1q1ppb2/p3p3/P2nP3/1NN3P1/1PP2P1P/R2Q1RK1 w - -,a1a3
4n1k1/1p2b2p/2r1bNp1/3p2P1/8/3R1P2/PBP4R/K7 b - -,e7f6
3rn3/1pq2kb1/2p1bp2/p5p1/4P1P1/1PN1BP2/1PB2Q2/2K4R b - -,c7d6
r1b3k1/p4r2/2p1pq1p/b2p4/7Q/3BR3/P1P2PPP/5RK1 w - -,e3g3
8/3k4/pp4p1/1n1P1p1p/1P3P1P/4K1P1/4N3/2r5 w - -,e2c1
8/5k2/R7/4pP2/1Pr3PP/6K1/5P2/8 w - -,a6e6
2q1kr2/3nrp2/2p2P2/pp1pP2Q/3P2R1/1P1N3P/P5P1/5RK1 b - -,e7e6
6k1/3Rpp2/5bp1/7p/7P/4BPP1/2r2PK1/8 w - -,e3g5
2r2rk1/1bqnbppp/p7/1p1np3/8/PN1BBP2/1PPQN1PP/R4RK1 w - -,e3f2
r4rk1/1pq1bppp/p2pbn2/4n3/3NPB2/2N3Q1/PPP1B1PP/3R1RK1 b - -,g8h8
3r2k1/1pqb2rp/2pNp1p1/p1pnP3/P2bBP1P/R5P1/1P5K/2BQ1R2 w - -,h4h5
8/8/3Pp1k1/1b1q2P1/8/8/PK1B3Q/8 w - -,h2h6
2r2rk1/p2b2p1/1p2p2p/n2pP3/8/P1PBB1P1/5PP1/4RRK1 w - -,e3d4
rnb1k2r/ppp2ppp/4pn2/5Q2/1b1P4/2N2N2/PP2PPPP/R1B1KB1R b KQkq -,e6f5
8/2RP1ppk/2n1p2p/4P3/7P/P1pr1NP1/6K1/8 b - -,c6b8
8/8/3r4/3p4/4p1P1/4PpK1/R3kP2/8 b - -,e2d3
2r3k1/pp1qbrpp/3p4/3p1p2/2P3n1/4PQ2/P1P1N1PP/BR3RK1 w - -,c4d5
r5k1/ppp2np1/3p2Rp/3P1P2/2Pr3P/1P1q4/P4QP1/5R1K w - -,f5f6
5r1k/5ppp/1pnq4/p3p1B1/P1BbP3/1P3QP1/5PKP/3R4 w - -,h2h4
4b3/6k1/1N4p1/p7/2P1BP1p/3K3P/1P4P1/4r3 w - -,c4c5
r1bqr1k1/pp1nbppp/2pp1n2/4p3/2PPP3/2N2NP1/PP3PBP/R1BQR1K1 b - -,a7a6
r4rk1/1bpqnpbp/p1np2p1/1p6/3PPB2/2N2N1P/PPB2PP1/R2QR1K1 b - -,a8d8
r3k2r/1bq1bppp/pp2pn2/2nP4/P4P2/2NB1N2/1PPB2PP/R3QR1K b kq -,e6d5
3q4/2p1r1k1/1p3pp1/1b1p3p/1P1P4/2Q1P2P/3N1PP1/R5K1 w - -,a1a7
k7/5r2/4pPP1/2N4P/8/pp6/1P3PK1/8 b - -,a3b2
3rr1k1/pbn2ppp/1p6/3p2P1/2pP1Pq1/P1N1P1P1/1PQ3BK/3RR3 b - f3,b7c8
r1bq1rk1/3n1pbp/p5p1/2p1p2n/1pP1P3/5N2/PPBNQPPP/R1B1R1K1 w - -,g2g3
1rr3kb/5p1p/5Pp1/Rq2p3/3nN3/1p1P3P/1P1Q2K1/2B2R2 b - -,b5d7
rnr3k1/3q1pp1/p1p4p/4pP2/2Q1R3/3P3P/P2BP1B1/2R3K1 b - -,d7f5
3r3n/pp2r1p1/2p1pk2/5pp1/3P4/2P1RBPP/PP3PK1/3R4 w - -,d1e1
rnb1kbnr/1p2pppp/p7/8/3N4/8/PP2PPPP/RNB1KB1R w KQkq -,b1c3
8/8/1p6/2K2k2/r7/8/P3R3/8 w - -,c5b6
r2q1rk1/pbpnbppp/1p2pn2/3p4/2PP4/P1N1PN2/1P2BPPP/R1BQ1RK1 w - -,b2b4:b2b3
r4rk1/1pq2pb1/p1b1pnp1/4B2p/2p1P2P/P2P1N2/2P1QPP1/R2N1K1R b - -,c7a5
r2r2k1/2qbbppp/2np1n2/1pp1p3/4P3/2PP1NNP/1PB2PP1/R1BQR1K1 w - -,a1a8
r1bq1rk1/1p1n1pbp/p1n3p1/8/3pPB2/1N1P2N1/PP1QB1PP/R4RK1 b - -,d7e5
5rk1/pp2nrbp/6p1/3pp3/NP6/3p1P1R/PB4PP/4R1K1 b - -,e7c6
r4rk1/3q1pb1/1p2p1p1/p2pPnNP/3P2Q1/2n5/PP3P2/1B1R1RK1 w - -,b2c3
r1b1r1k1/1pp2pb1/p3n1pp/4p3/4Pn2/N1P1BN1P/PP3PP1/R2R1BK1 b - -,e6g5
R4B2/7p/1b1Pkp2/6P1/3r3P/6K1/8/8 w - -,a8b8
2r1r1k1/pq2npp1/2p4p/1pQ5/1P6/P3P1P1/1N1R1P1P/2R3K1 b - -,e8d8
2r2r2/pb2ppkp/6p1/PR1p4/2pPn3/4PN1P/2P2PP1/R4BK1 b - -,b7c6
r6r/1k1n1ppp/pp1pp3/PP6/4P3/1RBP4/4KPPP/1R6 b - -,e6e5
8/8/8/8/8/k7/1p6/1K6 b - -,a3b3
2R5/2P5/2r5/p4p2/5kp1/8/3K3P/8 w - -,d2e2
2rr2k1/1b2qpp1/p1nbp2p/1p6/1P2B3/P3PN2/1BQ2PPP/3R1RK1 w - -,c2b1
r1bq1rk1/4bp1p/1n4p1/p1p1N3/1pnP1B2/6NP/PPB2PP1/1R1QR1K1 b - -,c4e5
3rb1k1/2r2pp1/8/8/ppP1PP1p/5N2/4R3/2R4K b - -,b4b3
r4rk1/pp1bppbp/1q3np1/2ppB3/3P4/1P4P1/P1PNPPBP/R2Q1RK1 w - -,c2c4
8/7p/1p1k2p1/p1b2nP1/P5qP/2N3P1/2P3QK/8 b - -,f5e3
2B2rk1/2q1bppp/p2p4/1p1P2P1/nQ1N1B2/8/PnP4P/1K1R3R w - -,d1e1
R7/5pkp/4p1p1/4Pr2/1b5P/4BPK1/8/8 b - -,b4e1
rnbq1rk1/pp2ppbp/2p2np1/3p4/3P4/5NP1/PPP1PPBP/RNBQR1K1 w - d6,a2a4
4r3/pp3kbp/2p5/3r4/P2Pp3/2B5/1P1R1PPP/4RK2 b - -,d5d7
8/4r3/7K/3bk3/8/8/8/R7 b - -,e7e8
5bk1/3n1p2/Rp1p2pp/8/1r6/4BNP1/2r2PKP/3R4 b - -,c2c8
8/pp4r1/5k2/1p6/7P/5K2/PPP2P2/4R3 w - -,h4h5
r4rk1/pp1bp1b1/n2p3p/2pP1ppq/2P2P2/PPN3PP/1BQ1P1BK/4RR2 w - -,e2e4
6k1/pb1rbppp/2n5/2p2q2/4p3/1PB2BP1/PQ3P1P/3RN1K1 w - -,d1d7
r4r1k/bpp1n1pp/p1np4/P4pN1/1PB1P1q1/2NR4/5P2/R1BQ1K2 b - -,c6e5
rn1qk2r/ppp2ppp/3bpn2/3p1b2/5P2/1P2PN2/PBPP2PP/RN1QKB1R w KQkq -,f1e2
4k3/8/3B4/2Np2p1/P1pn4/1pK5/7P/8 b - -,d4f5
r1r5/3p2kp/P2Pn1p1/R4p2/8/3BB3/2PK2bP/1R6 w - f6,a6a7
r1bqk2r/pp1n1ppp/3b1n2/1N1pp3/3P4/1P2PN2/P1Q2PPP/R1B1KB1R b KQkq -,d6b4
rn3rk1/1b1p1ppp/1q2pb2/2pP4/2B5/2N2N2/PP1Q1PPP/3RR1K1 b - -,b7a6
3r4/5pkp/8/8/5R1P/n5PB/5P2/7K b - -,a3c2
8/4k3/8/1N2P3/5P2/pKP5/8/4n3 w - -,f4f5
4r1k1/pb1n3p/n1p5/P3b1p1/1NP1pp2/P7/1B2BPPP/1R1N2K1 b - -,e5b2
3r3k/3PRR1p/6p1/8/1p5q/3B1K2/1P3p2/8 b - -,h8g8
2r1r1k1/p4pb1/3p3p/4qb2/2PpNR2/3Q1BP1/P5P1/1K3R2 b - -,f5g6
2brk3/p1q2p1n/1pnp3p/4pN2/2P1P3/B1P3P1/P4PBP/R2R2K1 w - -,f5d6
2bq1r2/r4pbk/6p1/1p1pPpPp/p2Q1B1P/2P5/PP3P1N/R3R1K1 b - -,a7b7
r2qkb1r/pp3ppp/2B1p3/3n4/Q2P4/2N2b2/PP3PPP/R1B1K2R b KQkq -,b7c6
2n5/pN3kpp/4p3/3pPpP1/P2PqP2/1PQ5/1K6/8 b - -,e4f4
5rk1/p2qppbp/6p1/1rppP3/P2P4/1P3P2/2Q2PKP/R1B1R3 b - a3,b5b4
5k2/R7/1r1Nb2p/1P4p1/5p2/2K2P1P/6P1/8 w - -,a7a6
8/8/4p3/p3kp2/2P3PR/1K3P1P/8/r7 b - g3,a1f1
3r4/1R1P4/1p4pk/p4p1p/P1P1p2P/4P1P1/5P2/6K1 b - -,h6g7
5rk1/pQ3pbp/3p2p1/8/2r4q/8/PP3PPP/R1BR2K1 b - -,g7d4
2kr3r/1bp1qp2/pp1b1np1/4n2p/4PN1P/1BN2P2/PPQB2P1/1K1R3R b - -,c8b8
1rb3kb/2q3rp/1p1p1n2/pPpP1p2/N1P1pP2/R3B2P/1PQ1B1P1/5R1K w - -,f1g1
rnbqk1nr/pp1pp1bp/3P2p1/2p2p2/2P5/5N2/PP2PPPP/RNBQKB1R b KQkq -,e7e6
2b1r1k1/1pN1ppbp/3P2p1/r1P5/8/4Bn1P/5PP1/1RR3K1 w - -,g2f3
r5k1/6p1/5p2/7p/2NnPP2/3P4/1R3K1P/8 b - -,a8a1
4k3/8/8/8/8/2K2P2/2n5/N7 b - -,c2a1
8/4b2k/4N1p1/4p2p/1p1pP3/1P4K1/2P5/8 b - -,g6g5
1r4k1/2r1qp1p/2Pp2p1/1p1Rp1b1/p3PRP1/P1B4P/1PB1Q1K1/8 b - -,g5f4
4q2k/r2np1b1/p1p4p/Pp2P3/3P3B/2P2Q1P/1P4PN/5RK1 b - -,d7f8
3r4/p1k3p1/1p1p3p/3PpnPP/1RP1Nr2/2P2P2/4K3/6R1 w - -,g5h6
2r2rk1/1b2bppp/3pp3/1q6/pp1NP1PP/4BP2/PPPR1Q2/1K5R b - -,b5c4
r2q1rk1/1bnnppbp/3p2p1/2pP4/4P3/P1N2NP1/1PQ2PBP/1RB2RK1 b - -,a8a6
r3r1k1/3q1pbp/6p1/3p4/3p1B2/3P1bP1/4PP1P/1R1QR1K1 w - -,e2f3
rnbr2k1/ppp1qppp/4pn2/3p4/2PP4/5NP1/PPQ1PPBP/RN3RK1 b - -,c7c6:b8c6
8/8/1n1k3p/5p2/2p5/2P1K1P1/6BP/8 b - -,d6e5
1Q1k4/6p1/5b2/7P/5P2/6PK/8/3q4 b - -,d8e7
8/3q1ppk/6b1/pp2Q3/1np2B2/5B2/5PP1/6K1 w - -,f4e3
8/1pp2k2/p5p1/P2r1n1p/2N5/2P2P2/1P2RKP1/8 w - -,g2g4
3r2k1/bppr1pp1/4bq1p/pP2p3/P1P1P3/B4N1P/4QPP1/R2R2K1 w - -,d1d7
r1b1k2r/pp1nppbp/2p2np1/4p1B1/2BP4/q1N2N2/P1PQ1PPP/1R3RK1 w kq -,d4e5
2r1k2r/1bq2pbp/2n3p1/p2BN3/Qp3P2/P5P1/4NB1P/1R3RK1 b k -,g7e5
r5k1/pp3p1p/2n3p1/3p1p2/P7/1PPB1P2/R5PP/4rNK1 b - -,a8e8
r2q1rk1/1p1nbppp/p1p1pnb1/6B1/P2P1Q2/2N2NP1/1P2PPBP/R2R2K1 b - -,h7h6
8/p1p2k1p/1pN2pb1/1Pb3p1/1PP5/2Br4/5PPP/R5K1 b - -,d3c3
7r/8/R1k5/1p4R1/2b5/8/2P3KP/8 b - -,c6b7
2kr2r1/pp3p2/3bp3/2p1B2p/8/1P2NP2/P1PPKP1P/R6R b - -,d6e5
8/4k3/4P3/1N3r2/6p1/1p4P1/3K4/8 w - -,d2c3
q1r1r1k1/1bb2pp1/pp1ppn2/4n2p/1PPNP3/P1N2P2/2RQ2PP/3R1BBK w - h6,d2f2
1Q3bk1/5pp1/1p2p2p/3rP3/Pp6/4B2P/1Pq2PP1/2R3K1 b - -,d5d1
r1bq1rk1/1ppnbppp/p3pn2/2Pp4/3P1B2/2N1PN2/PPQ2PPP/R3KB1R b KQ -,f6h5
2r5/1q1n2pp/pp1k1p2/3rp3/P2N4/8/1P2QPPP/R2R2K1 w - -,d4f5
5r1k/3B3p/4Pqp1/P1pbr3/1p1pp3/1P5P/4RPP1/1Q2R1K1 b - -,f8a8
2r2rk1/R4pp1/4pb1p/8/5B1P/1P3P2/2P3P1/1K5R w - -,f4c1
r1bq1rk1/1p1n1pbp/p2p1np1/2pP4/P1B1P3/2N2N1P/1P3PP1/R1BQ1RK1 b - -,f8e8
r2q1rk1/pp1n1p1p/2p3p1/5p2/P1BPn1P1/2P1PQ1P/5P2/R1B2RK1 b - g3,e4c3
rnbqk2r/p1p1bppp/1p3n2/3p4/3P4/2N1PN2/PP2BPPP/R1BQK2R b KQkq -,e8g8
rn1q1rk1/pbpp2pp/1p2p3/5p2/2PPnB2/1QP1PN1P/P3BPP1/R3K2R b KQ -,g7g5
6rk/4n2p/pp1bb3/4p3/1P1pB1rN/P5P1/3N1P1P/2R1R1K1 w - -,h4f3
8/5Q2/6pk/2nB1p1p/p2q3P/P5PK/1P6/8 b - -,d4g4
5r2/1p5k/p1pPp2P/4Ppp1/1P1P4/1P6/4K3/7R b - -,f8d8
r1n1n1k1/2rq1p1p/1p1p2p1/pPpPp1P1/P1N1P3/3P4/3QBP1P/4RRK1 w - -,f2f4
r5k1/pp1r1qbp/2n1p1p1/P2p4/2P3P1/1P2BP1N/R2Q2KP/3R4 w - -,c4d5
r1b1kb1r/1pqn1ppp/p1npp3/6P1/4PP1P/1NN2Q2/PPP5/R1B1KB1R b KQkq h3,b7b5
2r5/5kp1/p3pb1p/1p1p4/8/r2BP1P1/P2R1P1P/3R2K1 b - -,b5b4
8/7p/p2NPkp1/2p5/2P3P1/4n3/P6P/7K w - -,d6e4
2q1r1rk/2b2ppn/1p5p/1Pp2P2/2PpP3/R2P1N1Q/3B3P/6RK w - -,h3h5
6k1/p4p1p/5p2/1p6/4BP2/Pb4P1/1r2PK1P/2R5 b - -,b3c4
3r1r1k/1b3p2/p3pqpp/1p1n4/3R4/2PQ1N2/PP3PPP/1B3RK1 w - -,d3d2
2n1n1k1/8/B2p2pp/1p1b1p2/2NN1P1B/8/P5PP/2b3K1 w - -,a6b5
4k3/3n4/1pp1p3/4P3/1P1P4/r6P/3Bp2K/2N5 b - -,a3a1
4r1k1/1p2Bpb1/p1n3p1/P2p1q1p/1P5P/R4P1n/2PQB1P1/4R1K1 w - -,g1h2
2r3k1/6p1/p4n1p/2Bp4/1P6/8/P1P2PPP/R5K1 b - b3,f6e4
r1b1k2r/pp4pp/2nbpq2/2pn1P2/4B3/2PP1N2/P5PP/RNBQ1RK1 b kq -,e8g8
rnbq1r2/pp2ppkp/2p2np1/8/2Pp4/1P1P1NP1/P1Q1PPBP/RN3RK1 w - -,e2e3
r3qrk1/2p1bppp/1pb2n2/p1Pp4/1P1P4/2N1BN2/P1Q2PPP/R4RK1 b - -,a5b4
3r3k/ppQ4p/4pp2/8/3pP3/5P2/1q2N1PP/3K3R b - -,b2a1
r1b3r1/1p1n2bk/p3p1qp/5p2/3P4/2N2NB1/PP1Q1PPP/R3R1K1 b - -,d7f6
2kr3r/pb1nqp2/1p3npp/4p3/P1PPP3/3BB1NP/2Q3P1/R4RK1 b - -,e5d4
r2q1rk1/p2nb1pp/bp2p3/3p1p1n/3P4/1P2BNP1/P1QNPPBP/R4RK1 w - -,c2c6
rnbqkbnr/ppp1p2p/3p2p1/5p2/3P4/1P3NP1/P1P1PP1P/RNBQKB1R b KQkq -,f8g7
r1bqk2r/pp1n1ppp/2pb1n2/3pp3/4P3/1P1P1NP1/P1PN1P1P/R1BQKB1R w KQkq -,f1g2
r2qk2r/pb2bppp/1pnp1n2/2p5/4PB2/2N2NP1/PPQ2PBP/2KR3R w kq -,h1e1
5b2/1R3bkp/6p1/3p1p2/4p3/3PP1P1/2r2PBP/1R4K1 b - -,g7f6
r1bq1rk1/pp1nbppp/2p1p3/3p4/2PP4/1P4P1/PB1QPPBP/RN3RK1 b - -,b7b5
1q2r1k1/1p2bp2/pN1p1np1/P2Pp2p/4PP2/1P4P1/1BR1Q1KP/8 w - -,f4e5
5rk1/p5pp/1pp1b2q/3pP3/3P1r2/2P2PQ1/P5BP/1R3R1K w - -,b1b2
8/1Q6/6K1/1p6/8/6q1/3k4/8 w - -,g6h5
4rrk1/pp4pp/4p3/1qb1Pp2/4nN1P/5NP1/PP3P1Q/3R1RK1 w - -,f3g5
r1bqk2r/ppppbppp/2n5/4P3/2B2Bn1/2P2N2/P3QPPP/RN2K2R b KQkq -,d7d6
1r4k1/3R1b1p/3p2p1/2p5/8/1q4PP/3Q1PB1/6K1 b - -,b8f8
5rk1/1B3pp1/P3p3/4q2p/3b4/P4QP1/5PKP/3R4 b - -,f8d8
4r1rk/1p4qp/p2p2n1/P1pP4/5pR1/2N3PP/1PQ2P2/5R1K b - -,g7h6
r4rk1/pp1q1p1p/4b3/3pQ3/P7/8/1PP2PPP/R3R1K1 w - -,e5g5
8/1pN2k2/3p3p/p2PpP1n/2P5/P7/1P2K3/8 w - -,b2b4
r1bq1rk1/3nbppp/p1pp1n2/1p2p1B1/3PP3/1BN2N2/PPP1QPPP/3R1RK1 b - -,d8c7
1r3r2/2q3pk/p1PNQn1p/1p6/1P2p2P/P5P1/2R1P2K/2R5 w - -,e2e3
r3r1k1/2pq1p1p/ppn2bp1/3np3/B1P5/3P1N1P/PP1B1PP1/R2QR1K1 b - c3,d5f4
8/8/4p3/4k3/5Rp1/6P1/3r4/5K2 b - -,d2d4
r1r5/3nbk2/2p1b1p1/4p3/1pP1Pp1p/1N1BBP1P/1P1K2P1/R1R5 w - -,e3f2
1r1R1k2/pp2b1p1/4p2p/5p1b/8/2P2PP1/PP2KNBP/2R5 b - -,b8d8
2r1k2r/2qbbppn/3pp2p/6P1/pp1NPP1P/4B3/PPP2QB1/1K1R3R w k -,g2h3
r2qk2r/pbpn1pb1/1p1pp2p/6p1/2NPP3/2PB2P1/PP1N1PP1/R2QK2R b KQkq -,d8e7
3rk2r/1p1nppbp/p3b1p1/3NN3/3P1B2/8/PP2BPPP/R4RK1 b k -,e6d5
r4rk1/pp3ppp/2p2n2/3pbb2/8/2P1PB2/PP2NPPP/R1B2RK1 w - -,e2g3
6k1/2R3p1/3n1p1p/1p2p3/1P6/4P3/r1N1KPPP/8 w - -,e2d3
r1b1k2r/pp1n2pp/2n1pq2/3p4/1b1P4/3B1N2/PP1BNPPP/R2QK2R b KQkq -,b4d2
r4rk1/1p3pp1/p1n4p/P1qpPp2/8/7P/1PP1BPP1/R2QR1K1 w - -,e2f3
rn1qr1k1/5ppp/1p3n2/p1ppN3/3P4/P1PQP3/3B1PPP/1R3RK1 b - -,c5c4
8/r2nbpk1/7p/4N1p1/1P6/P3P1B1/5PPP/2R3K1 w - -,e5c6
4k2r/1p3pp1/2p1p2p/3qb2P/p2B2Q1/P7/1PP2PP1/1K1R4 w k -,d4c3
8/6k1/p2p1p1p/5Q2/5R2/8/6P1/5K1q w - -,f1f2
3r1rk1/1pqbnppp/p2b4/3pn3/8/2PB1PB1/PPN1N1PP/R2Q1R1K w - -,c2d4
6k1/4npp1/2qQ1b1p/1N6/n1P1p3/4B1P1/1P2BP1P/6K1 w - -,b2b3
r4rk1/pb1nqppp/1ppbpn2/3p4/2PP4/1P1BPN2/PB1NQPPP/R4RK1 w - -,e3e4
R7/8/4pk2/5pp1/P7/5PK1/r5P1/8 w - -,a4a5
1rn2rk1/6b1/1p1q2pp/p1p1p3/P1P1P3/2P2PP1/1RQ1BB2/3R2K1 b - -,d6c6
rnbqk2r/pp1nBppp/2p1p3/3pP3/3P4/2N2N2/PPP2PPP/R2QKB1R b KQkq -,d8e7
3rr1k1/3bppb1/1R4pp/N7/3p4/3P2P1/P3PPBP/5RK1 b - -,g7e5
3r2k1/p2r1pbp/2b3p1/1p6/2BB4/1PP1P1P1/5P1P/R2R2K1 w - -,c4e2
8/8/3R2P1/8/2p5/2P1pk2/2K5/6r1 w - -,d6f6
8/8/k3Q3/P7/1P6/2P5/2KP1nq1/8 b - -,a6b5
r1b2rk1/ppqn1pbp/2pp1np1/3Pp3/2P1P3/2NBBN1P/PP3PP1/R2Q1RK1 b - -,f8d8
1rb2rk1/5ppp/1p1R4/p7/8/5BP1/PP2PP2/R5K1 w - -,a1c1
r1b1k1nr/ppq2pp1/2pb3p/4n3/2B1PB2/2N2N2/PPP3PP/R2QK2R w KQkq -,f3e5
rnbqkb1r/pp3ppp/4p3/8/3P4/2P2N2/P4PPP/R1BQKB1R b KQkq d3,f8d6
2r2rk1/pp3pb1/q5p1/5n1p/2N2B2/1PP2Q2/P4RPP/3R3K b - -,b7b5
r7/p3k2p/1bp1pNp1/4P3/P2r1P2/8/6PP/1R3R1K b - -,d4a4
1R4k1/3b1pp1/7p/1p2p3/2p1P2P/2P3P1/1P3PBK/3r4 b - -,g8h7
7k/8/5pQP/4q3/4P3/8/5PK1/8 b - -,e5e7
4rrk1/1p1qbpp1/p3nn1p/PP1pp3/2B1P3/4B3/2PNQPPP/R4RK1 w - -,e4d5
7k/1p4pp/3PB3/3Pr3/3QN2q/4K3/PP4pP/R4r2 w - -,a1f1
r3r1k1/pp1b1ppp/q2n2n1/2pPp3/P1P1P1PP/3B1PQ1/3BNK2/R1R5 w - -,h4h5
rn2r1k1/p2pqpbp/b5p1/2pP4/PpP1n3/1P3N2/RB2BPPP/3QKN1R w K -,b2g7
8/1R3pk1/2Bp2p1/2bP3p/5B1P/6P1/5r2/7K b - -,f2e2
r3k2r/ppqbbpp1/4p2p/n2pP2P/3P1B2/2P3P1/P2NQPB1/1R3RK1 b kq -,c7c3
1r6/7R/3k4/KB6/P3r3/1P6/8/8 w - -,h7d7
rn1qkb1r/pbpp2pp/1p3p2/5p2/3P4/2N2N2/PPP1PPPP/R2QKB1R w KQkq -,g2g3
8/3r2kp/6b1/1Bp1K3/p7/P5P1/4R2P/8 b - -,d7b7
r1b1r1k1/ppp1q2p/2n3p1/5p2/3P3Q/3BN1P1/1P3P1P/R4RK1 w - -,h4e7
8/R6p/4k1p1/1PP5/3K1p2/1r6/8/8 w - -,a7a6
r3k2r/pbp1pPbn/1pn3pp/3q4/3P4/2PB1N2/PP2Q1PP/RNB2RK1 b kq -,e8d8
3q4/p4nkp/2r2r2/5pp1/P1B5/1PQ4P/4RPP1/6K1 w - -,c3b2
3rr1k1/bbp2ppp/p7/1p2P3/5B2/2P1p2P/PPB2PP1/R3R1K1 w - -,f4e3
r2rq1k1/pQ1n1ppp/3bp1b1/8/4P1P1/2N4P/PP3PB1/2RR2K1 w - -,d1d6
5k2/5np1/1p1prb2/pNpP2p1/P1P2PP1/1P1N3P/6K1/8 w - -,d5e6
8/p2r1p2/1rp2kpp/4R3/1K3P2/4PP2/PR5P/8 w - -,b4c3
2k1rb2/ppq2rp1/2p3Rp/2p1pP1N/2Q1P3/P2P3P/1PP5/1K4R1 b - -,b7b5
rnbqkb1r/3ppppp/p4n2/2pP4/1pPN4/8/PP2PPPP/R1BQKBNR b KQkq -,c5d4
2r1r1k1/pp3pp1/1b2bq1p/3p1n2/2n2B2/1NPB1N1P/PP2RPP1/2QR2K1 w - -,g1h1
2r5/1p3rn1/pB2p1k1/P3Ppb1/3R2pp/2N3P1/1PP4P/5R1K w - -,g3h4
