8/8/PK4R1/8/7p/7k/4P3/r7 b - -,h3h2
k7/1n6/6P1/4Q3/5N2/5PK1/p1q5/8 b - -,b7d6
2rqkb1r/1p1b1ppp/p1nppn2/6B1/3NP1P1/2N2P2/PPPQ3P/2KR1B1R b k g3,h7h5
r1bqkb1r/pppn1ppp/4pn2/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq -,g2g3:e2e3
1rbqr1k1/p1p2ppp/3b1n2/3p4/5B2/1PNB1Q1P/P1P2PP1/R4RK1 b - -,c8e6:d5d4
8/8/k1Bb4/3p4/2pPb1p1/6Pp/1K5P/4B3 w - -,c6d7
3k3r/p2pq1bp/bpnn2p1/3B1p2/2P1p3/7Q/PP1PNPPP/R1B2RK1 w - -,d2d3
8/5Q2/4K1p1/6r1/8/6k1/8/8 w - -,f7c7
r5k1/1pp3p1/3pr1q1/3R3p/pPP5/P1Q2P2/6PP/3R2K1 w - -,h2h4
r1q1k2r/1p3pp1/p7/2bNn1p1/3nP3/2B3P1/PP4BP/R2Q1R1K b kq -,d4c6
8/4k3/3p3R/3P1p1p/5P1r/4PK2/8/8 w - -,h6e6
r5k1/pp1bqpp1/2p1p2p/2PrB3/3PQ3/3R4/PP3PPP/R5K1 w - -,a1e1
r7/5p2/8/2kpN3/1P2p2p/2P3nP/6PK/4R3 b - b3,c5b5
R4k2/6p1/7p/4K2P/8/8/1r6/8 b - -,f8f7
rr2n1k1/3nppbp/3p2p1/P2P4/2p1P3/2N2NPP/1q1BQPK1/R2R4 w - -,d1b1
6r1/pp1b3p/3kqp2/1P1p1p2/2rP4/P1N1PQ2/5RPP/2R3K1 b - -,g8c8
5nk1/1Bb2pp1/p3p1p1/4P2q/7P/2r2PB1/4Q1PK/3R4 b - -,c3c5
r2qr1nk/pp1n1pbp/2b3p1/2pNp3/P3P3/1P1PN1P1/1B2QPBP/R4R1K b - -,g8e7
3b2k1/1q1n1pp1/r1p1pn1p/1pPp4/1P1P4/1NN1P1BP/2Q2PP1/2R3K1 b - -,b7a8
8/8/4p3/Q2p4/4k3/P7/1K6/5q2 b - -,f1e2
5k2/4R3/5Bp1/4P2p/8/5KPP/r7/6b1 b - -,a2a3
2kr4/2q3p1/3b2pr/np3pQ1/3Pp3/1PP3PP/B6K/4RRN1 w - -,c3c4
r1b1k2r/pp1nqpnp/2p3p1/3p4/3P2P1/2NBP3/PPQ1NP1P/2KR3R b kq -,d7b6
2b1k1r1/3rn2p/p3p3/2P1Bp2/3p1Pp1/8/P5PP/1R1B1R1K b - -,c8b7
6k1/p2n4/1pn1pp2/3p3p/P2P4/3PBN2/3K1PPP/8 w - h6,d2c3
8/1R2Pk2/8/1brp4/8/1p2P3/5PBK/8 w - -,g2h3
1b2r1k1/3brppp/pq3n2/1p1p4/3Nn3/1P1BPN1P/PB2QPP1/2RR2K1 w - -,c1c2
5k2/R5p1/4p2p/5p2/5n2/3n1PN1/5K1P/8 w - -,f2e3
rn1q1rk1/p3ppbp/5np1/2pP4/2N5/2N5/PP3PPP/R1BQ1RK1 w - -,d1f3
6k1/1R3p2/6pp/n7/1p2N3/3r2P1/1P3P1P/6K1 w - -,b7b4
r1bqk2r/pppnn1b1/3p2pp/4Pp2/2P1P3/2N1BN2/PP2BPPP/R2QK2R b KQkq -,d6e5
r4rk1/ppq2ppp/2n2n2/2Pp4/6b1/P1PBPN2/5PPP/R1BQ1RK1 w - -,d3e2
r1bqrnk1/1p2bppp/p7/2pPp1PQ/P1P1P3/2N4P/1P3P2/R1B1KBR1 b Q -,f8g6
r3k2r/pp1b1p2/1q1bpn2/3pNp1p/3P3P/2NBPPP1/PP1Q4/2R1K2R b Kkq -,h8g8
8/8/3k4/p2p4/2pP4/p4P2/1PK3N1/2b5 w - -,b2a3
8/2q5/8/1K1p1pk1/3P4/1P1QP3/8/8 w - -,b3b4
r4r1k/ppp1p1b1/2n2npp/3q2N1/8/1P4P1/PBPN1P1P/R2QR1K1 w - -,g5e6
r1q1rnk1/1ppb1pb1/3p2p1/7p/pnPNPP2/2N3PP/PP2RBBK/1Q1R4 w - -,c3d5
r1bq1rk1/ppn1ppbp/2p3pn/3pP3/3P4/2PBB3/PPN1NPPP/R2QK2R b KQ -,f7f6
1r1q3k/6pp/1N3p2/2p1p3/8/1Q1PP3/5PPP/1n2B1K1 w - -,e1a5
r2r2k1/1b3p2/p3p1p1/4q2p/P2bP2Q/1p1B2NP/1P1R1PPK/3R4 b - -,d4b2
3Q4/p1p2kp1/2r1q3/4Pb2/1p1B4/2P5/PP3P2/2KR4 b - -,b4c3
2k4r/1pp2pp1/1pn1q2p/3r4/2B5/1PN4P/PPQ2PP1/1K5R b - -,c6b4
r2q1rk1/1p2p1bp/2p3p1/p4p2/P1NPn3/BP1QP1P1/5PKP/2R1R3 b - -,f8e8
2k5/pp1b2p1/4pr2/2pp4/8/1PP1nNKB/P3P3/R7 b - -,c8c7
3r1rk1/pp1qbpp1/4p1p1/8/3N4/2P1R3/PPQ2PPP/3R2K1 w - -,e3d3
r2r2k1/1b1nqpp1/p2bpn1p/1p6/1P6/P2BPN2/1B1N1PPP/RQR3K1 w - -,d2e4
r4k2/2pq2bp/p1np1pp1/8/P1QP4/5N2/1PP2PPP/R1B3K1 w - -,c1d2
8/7k/2N3p1/4P2p/5n2/6bP/r5B1/3R3K w - -,g2f1
8/7p/1p2k3/8/PP3K2/2BN1P2/4r2P/8 b - -,e2h2
8/5p2/R1n4p/2p1kP2/2P1P3/2K5/8/8 b - -,c6d4
3r4/1Q4p1/p2k1n2/P1p2B2/2Pb4/4r1P1/7P/5R1K b - -,d8e8
r1bqk2r/1p1n1pbp/p2p1np1/2pP4/P3P3/2N5/1P1N1PPP/R1BQKB1R w KQkq -,f1e2:d2c4
r4bk1/p1n2pp1/1p1p1q1p/2pP4/1P6/P1NQ1N1P/2P2PP1/1R2r1K1 w - -,b1e1
B7/6pk/p4np1/6r1/p7/P4P1P/3r2N1/1R4K1 w - -,f3f4
2r4k/6p1/p4q1p/5p2/PQ2p1nP/6P1/r4PB1/2R3K1 w - -,c1c8
8/np2nkp1/4p2p/pb1pPp1P/P2P1N2/2K2NP1/1PB2P2/8 b - a3,b5a6
4r1k1/1p3pp1/p1p3n1/6qp/PP1P4/4PQ2/5PPP/2R1N1K1 w - -,c1c5
4r1k1/1p3pp1/2p5/r7/1pBp1P1p/1P2b2P/2P1N1PK/3RR3 b - -,c6c5
1b2r1k1/5qpp/4r3/1Q1p4/8/BP3pP1/P2R1P1P/3R2K1 w - -,b5f1
r1bq1r1k/6pp/2pp1n1n/p4p2/2P1pP2/PP2P3/Q2BBP1R/2KN3R w - -,d2c3
1k6/1p5p/pP4p1/3p2r1/2p3P1/2P5/5K2/3R4 b - -,b8c8
r1b2rk1/pp2q1bp/2pp3n/4npp1/2P5/1PNN2PP/P1Q1PPB1/R1BR2K1 w - -,e2e3
7k/p5b1/6pp/5p2/1p3BP1/1P3Q2/P1bK2BP/q7 w - -,d2c2
2rq1rk1/3bppb1/p1np3p/1p1Nn3/3NPP1p/1P6/P1PQ1BP1/1K1R1B1R b - -,e5g6
1r1r4/5pkp/4pbp1/pNp5/P7/1B1R4/1n3PPP/3R3K w - -,d3d8
6k1/3R2p1/7p/r5PP/5PK1/8/8/8 b - -,h6g5
r1b2rk1/2B1ppbp/pnn3p1/4P3/1p1P4/8/PP2BPPP/R3K1NR w KQ -,c7b6
8/R7/8/4p1N1/1bkr1p2/p4P1P/6PK/8 b - -,c4b3
r1bqkb1r/1p3ppp/1nn1p3/3pP3/p2P1P2/3B1N2/PP2N1PP/R1BQK2R w KQkq -,e1g1
2rqr1k1/5pp1/p5np/1pRp4/3P4/P3BP1P/1P2QP2/4R1K1 w - -,e1c1
8/1r3pkp/6p1/2R5/5R2/2P3P1/2r2P1P/6K1 b - -,b7d7
2r4k/6Pp/3pq3/4p1B1/2p1Q3/1P3P2/8/rNKR2R1 b - -,h8g8
r2r2k1/1p2npb1/2p1qnp1/4p2p/PP5P/3PPPP1/2QBN1B1/1R1R2K1 w - -,e3e4
1r1q1rk1/5pbp/1pP1N1p1/p1pnp3/8/1Q1P2P1/P3PPBP/1RB2RK1 b - -,f7e6
r3r1k1/1pp2pbp/p3q1p1/3R4/4P1P1/2N1QP1P/PP6/2KR4 w - -,c1b1
r2q1rk1/pbp1npbp/1p1ppnp1/8/3PPP2/2N1B2P/PPPNB1P1/R2Q1RK1 w - -,e2f3
4n3/4k3/1p2p1p1/p2p3p/1n1P1PPP/1P2KPB1/1P6/3B4 b - -,e7f7
r3r1k1/1b1n1pn1/pp1p2p1/2q3b1/P3PN2/2N4R/1PPQ2BP/R1B4K w - -,f4g6
8/8/6p1/3N1p2/1knpp3/6P1/2K2P1P/8 b - -,b4c5
r2q1rk1/1pp1b1pp/p1p1npb1/4pN2/4P1P1/3P1N1P/PPP2PK1/R1BQR3 b - -,c6c5
8/p7/2k5/5p2/1PK1bN1p/P3R3/8/5r2 w - -,f4g6
8/8/8/R7/4kn2/5r2/8/6K1 b - -,f3g3
rnbqk2r/pp3ppp/2pbpn2/8/2QP4/5NP1/PP2PPBP/RNB1K2R b KQkq -,e8g8
r1b2bk1/1p3r1n/1B1pN1n1/P2Pp2p/1P2Pp1q/5Pp1/4B1PP/2RQNRK1 w - -,h2h3
r3r1k1/1b3ppp/pp3B2/n2P4/8/q1P2P2/P2QB1PP/R2R3K b - -,g7f6
r4rk1/3p2pp/bq2p3/p1bRPp2/1pP2P2/6P1/PP1Q2BP/RNB4K b - -,e6d5
8/8/3p1k2/1ppP4/5P2/5K2/1P6/8 b - -,f6f5
2bqr1k1/3r1ppp/nbp2n2/p3p3/Pp1pP3/1N1P1PPP/1PPBN1BK/R3QR2 w - -,f3f4
8/8/2N3pk/8/2B5/1P4K1/7P/3r4 w - -,b3b4
rn2k2r/pp2bppp/1qp1pnb1/8/3P1B2/1BN2PN1/PPP3PP/R2Q1RK1 w kq -,c3e4
5k2/5p2/6p1/1pP1N1P1/8/2n1P3/6K1/8 b - -,f8e7
2rqkb1r/1b1n1ppp/pn1pp3/1p4P1/3NP3/1PN1BP2/P1PQ3P/2KR1B1R w k -,c1b1
r1bqk2r/pp1nppbp/2p3pn/3p4/5P2/2PP1NP1/PP2P1BP/RNBQK2R w KQkq -,e1g1:e2e4
rn2k2r/1bqpbp2/p3pp2/2pP3p/Pp2P3/4NQ2/1PPN1PPP/R3KB1R w KQkq h6,d2c4
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq -,f1d3:g1f3:f2f4:b1d2:c2c4
rnbqkb1r/1ppn1ppp/p3p3/3pP3/3P4/3B4/PPPNNPPP/R1BQK2R b KQkq -,c7c5
8/5n2/3p4/1K2p3/1N2N3/2kPn3/8/8 b - -,c3b3
1r6/R7/2p2Ppk/1p6/4pK2/8/4B3/8 b - -,b8f8
5b1r/1k4pp/2np4/4pp2/1Pb5/2N1B2P/P4PP1/R2R2K1 b - -,f5f4
r3kb1r/pp1n1ppp/1qp1p2n/3pPb2/3P1P2/3B1N1P/PPP3P1/RNBQ1RK1 b kq -,c6c5
8/p5r1/8/1P6/P7/2K1k1p1/8/6R1 b - -,g7g4
r1q1k2r/pp2bppp/2n1pn2/2p5/P1N5/8/1PPP1PPP/RNBQR1K1 w kq -,a1a3
3r1rk1/1p5p/2p1b3/4Pp2/Q4R2/2q3P1/P5BP/5R1K w - -,g3g4
r2qk2r/ppp2ppp/2n2n2/2p1p3/2B1P3/3P1Q1P/PPP2PP1/R1B1K2R b KQkq -,c6a5
4rrk1/pn3qbp/3p2p1/BPpPpp1n/2N1P3/1P4PB/2Q2P1P/R4RK1 b - -,f5e4
r1bq1rk1/ppp3b1/2np1npp/4pp2/1PP5/P1NP1NP1/1B2PPBP/R2Q1RK1 b - -,g6g5
r5k1/5p2/1pn1r1pN/1qp5/5P2/6QP/P5P1/2RR2K1 b - -,g8g7
8/1rq2k2/R1b1p1p1/3p1p2/1bpP1P2/1r2P1P1/1PR1BK2/Q2N4 b - -,b4d6
r2qkbnr/pp1b1pp1/3pp3/6P1/3QP3/2N1B3/PPP2P2/R3KBR1 b Qkq -,a7a6
3bq1k1/ppr2pp1/2n2n1p/3p4/3P3N/1PPQ2P1/5PBP/R1B3K1 w - -,c1f4
r2q1rk1/pb1nppbp/np1p2p1/2p5/Q2PP3/2PBBN1P/PP1N1PP1/R3R1K1 b - -,a6c7
r5k1/1p4p1/2pQbpq1/4p1p1/4Pn2/2P1BP1P/1PB3P1/3R2K1 b - -,g6f7
8/8/5p2/8/5p1p/4kPbP/6P1/6K1 b - -,e3e2
r2qrbk1/1bp2ppp/p1np1n2/1p1Pp3/4P3/1BP2N1P/PP1N1PP1/R1BQR1K1 b - -,c6b8:c6e7
4r1k1/p6p/1p1q2p1/2nP1p2/4p3/2Q3P1/P2RNP1P/6K1 w - -,e2f4
rn2r2k/3nq1bp/1Np3p1/3pp3/3P2B1/2B4P/2P2PP1/1R1Q1RK1 b - -,d7b6
r3r1k1/3b1p1p/p1pp1qp1/1p4b1/3NP3/1P3Q1P/1PP1nPPB/3RR1K1 w - -,f3e2
2r2rk1/1R3ppp/3b4/p2p3Q/3Bn3/q5PP/1R3P2/5NK1 w - -,h5d5
3r1k2/5Rq1/7Q/1N1p4/6P1/1P6/2PP4/1K6 b - -,f8f7
3r4/2p2kb1/1p2np2/p4Qp1/qP6/4PNBP/5PPK/4R3 b - -,d8e8
8/p1N2pk1/1pb3p1/6Pp/2P1n2P/8/P2KB3/1R6 w - -,d2e3
5r1k/5bqp/2n1R3/1B2n3/1P6/P1Q2PN1/6PP/7K w - -,g3f5
3R1r1k/p1P3pp/8/1Pp5/P3q3/4p1P1/7P/4Q1K1 b - -,e4e7
8/6kp/n1N2pp1/4p3/1p2P3/n4PPP/1N3K2/8 b - -,b4b3
rnbq1rk1/4bppp/p2ppn2/1p6/3NP3/1BN5/PPP2PPP/R1BQR1K1 w - -,a2a3:d1f3
5r1k/6R1/5PP1/7K/8/8/8/8 w - -,g7h7
r2q1rk1/1b1n1ppp/ppnpp3/2p5/2P1P3/NP1P1NP1/PQ3PBP/R4RK1 b - -,d8f6
8/8/5k2/6p1/p7/4RNKP/r3p3/8 b - -,a4a3
r2q1rk1/pp1n1ppp/2pbpn2/3p4/2PP4/P1NQPN2/1P3PPP/R1B2RK1 w - -,e3e4
r2r2k1/pp1b1ppp/1b2p1n1/8/P3NP2/2P1P3/2K1B1PP/R1BR4 b - -,d7c6
r2q1rk1/p3bppp/2n2n2/1BPp4/NP2p3/P3Q3/5PPP/R1B2RK1 b - -,c6e5
8/3q2pk/7p/Q2P4/p7/2P2P1N/6PK/8 w - -,f3f4
r4rk1/1p1nbppp/p1qp1n2/4pP2/P3P3/2N1BQ2/1PPN2PP/R4RK1 b - -,b7b5
4r1k1/1bq2p1p/p5p1/1pbpr3/P3PR2/1PN2B2/1BPQ2PP/R6K w - -,f4h4
1R3rk1/p5pp/2p1pq2/n1Pp4/3Pp3/6Q1/P3PPBP/6K1 b - -,a5c4
r1q2rk1/pp2ppbp/1np3p1/3Pn3/4P2P/1QN1BP2/PP2BP2/1K1R3R b - h3,h7h5
r1bqk2r/ppp2ppp/2n1pn2/3p4/2PP4/4PN2/PP1N1PPP/R2QKB1R w KQkq -,f1e2
2r2rk1/pbqnppbp/1p3np1/2pp4/P1N1P3/2PP1N1P/1P3PP1/R1BQRBK1 w - -,e4d5
r7/1b2qpk1/3pp1pp/p1p5/Pr1bPP1P/1P4P1/R1RNQ1BK/8 w - -,g2f1
8/6pp/5n1k/4N3/2R5/6P1/3r1PKP/8 b - -,d2e2
5rk1/1p3p2/2pRp1p1/1p2P3/1PnB4/P3P2P/5PP1/6K1 w - -,d6d7
8/5k2/8/4N1K1/4B3/8/8/8 b - -,f7g7
3r2k1/1bqr1ppp/p3p3/1pb1P3/2nNpP2/2P4Q/PP2RBPP/1B2R1K1 w - -,b2b4
3r1nk1/p3bpp1/1p2p2p/5Nq1/2P1Q3/2B5/PP3PPP/4R1K1 w - -,h2h4
2B5/8/6pp/2k2p2/K4P1P/4P3/8/1b6 b - -,c5c4
5rk1/p1pq2bp/6p1/1n1Pp3/R5P1/1P2B3/P2Q2BP/6K1 b - -,f8d8
r3k2r/1bqp1p1p/2nbpp2/2p5/2B1P3/P4N2/1P1N1PPP/2RQR1K1 b kq -,c6e5
4b1k1/R1R3p1/p6p/4r3/P6P/1r2N3/5PP1/6K1 b - -,b3b1
rn2k2r/pp1bbp2/4p1p1/3qP2p/4pP2/1NP1Q3/PP3BPP/R3KB1R b KQkq -,b7b6
2r1k3/R2b4/pp2p3/3P1PP1/1P6/P3B3/6K1/8 w - -,f5e6
8/8/6pk/5p2/R4P1K/5r2/8/8 b - -,f3b3
8/5pkp/8/4p3/4Bp2/2b2P1P/PR4K1/3r4 w - -,b2c2
6k1/pp2qppp/8/3pP3/1P2bP2/P3Q3/2r1N1PP/3R2K1 w - -,d1c1
r1bq1r2/1p3pkp/2p1pnp1/p2nN3/P1PP4/1P3NPP/3QRPB1/4R1K1 b - c3,d5e7
6rr/5k2/1p1p1bpp/p1pP1p2/P1P1pP1P/1P2P1PR/5KN1/7R b - -,f7e7
rnbqk2r/pp3pbp/3p1np1/2p1p3/4P3/2P2N1P/PPBP1PP1/RNBQK2R w KQkq e6,e1g1
r2qr1k1/pp3pp1/2pp1n1p/4nb2/1NP1p3/1PP1B1PP/P2QPPB1/R4RK1 b - -,d8e7
8/2P5/3n4/5K2/8/k7/8/8 w - -,f5e6
2r5/p1qknp2/1pn1pB1P/3pP3/3P1Q2/P7/2P1N1r1/2R1K2R b K -,e7g6
8/2p2r1k/2Nb2p1/6P1/8/2R1Bb2/2P2P2/5K2 b - -,f7d7
6k1/4rp2/4r1p1/p1pRp2p/1qP1P3/1P3P1P/2Q3PK/3R4 b - -,e7e8
R7/8/8/8/4rpk1/8/3K4/8 b - -,f4f3
2r5/p2r1kpp/1pp5/4R3/1P6/P3R1P1/5PKP/8 w - -,e3f3
5k2/3b4/1p4p1/p2Pp3/3pP1Pp/3B3P/PP1K4/8 w - -,b2b3
3r2k1/pp1r1Bp1/1q5p/3pR3/3R3P/1P4P1/P1Q2P2/6K1 b - -,g8f7
6k1/pp3pn1/1b2p2p/3rB3/1P6/P6P/4QPP1/6K1 w - -,g2g4
4r1k1/3bpp2/3p2p1/p1rP3p/Pp6/1B3P1P/1PP1RKP1/3R4 w - -,d1d4
2q2r2/1R3pkp/3Qp1p1/5n2/8/3P1BPP/4PP2/6K1 w - -,d6e5
6k1/P4p2/6p1/8/8/3q2KP/Q2p4/8 w - -,g3g2
r1bq1rk1/pp3ppp/5n2/3p4/1n6/2B1PN2/1P3PPP/RB1QK2R b KQ -,b4c6
r1bqr1k1/pp1n1pp1/2p1pn1p/8/1bPP3B/2N2N2/PPB2PPP/R2Q1RK1 b - -,d8a5
r5k1/1p3p2/4p1p1/1PP2bb1/3Pp2p/4P2P/1B2BKP1/R7 b - -,a8a1
rnbqkbnr/p1p2ppp/1p2p3/3pP3/3P4/1N2B3/PPP2PPP/R2QKBNR b KQkq -,a7a5
r1bqr1k1/pp1nbppp/2pp1n2/8/3NPP2/2N3P1/PPP3BP/R1BQ1R1K b - -,e7f8
8/1p1b4/p2pnk2/n4pN1/5P1N/4K1P1/1P2B2P/8 w - -,h4f3
3q2k1/p1r1nrpp/3b2n1/2pB4/8/2P1B3/PP2Q1PP/3R1RK1 w - -,d5f7
r3kb1r/1b1n1ppp/p3pq2/8/Pp1p4/1P1BPN2/1B3PPP/R2Q1RK1 b kq -,b7f3
1rb1k2r/1p3p2/p2p2n1/3Pp1q1/1PP1P1P1/2NB3p/4NK2/R5QR b k -,c8g4
8/5k2/6p1/1q1p1p2/pP1P1P2/2Q1P3/P7/2K5 b - b3,a4b3
r2qr1k1/pb1n1pp1/1ppb1n1p/3p4/Q2P3B/P1N1P3/1P2BPPP/R2R1NK1 b - -,d7f8
2r1r1k1/1p2b1pp/p2ppn2/8/P3P3/2NqB3/1PP3PP/3R1R1K w - -,c2d3
5r2/1R6/6pp/5p1k/4pP2/4KNP1/3Rn2P/2r5 w - -,e3e2
r2qk2r/p3bpp1/1p1p4/n2P4/4N2p/2Pb1P2/P3Q1PP/R1B1K2R w KQkq -,e2d3
r4rk1/3nqpbp/p1p1pnp1/1p1p4/2PPP3/1PNB3P/PB2QPP1/R2R2K1 b - -,b5b4
3rq1k1/1p2ppb1/p3b3/7Q/2P1PBp1/1P1R4/P4PP1/1B3K2 b - -,d8d3
1r3k2/4pp1p/3p2p1/2p1P3/3n1P2/6PP/Rr1R2BK/8 b - -,b2d2
r1bqk2r/pp2ppbp/5np1/1BpPp3/4P3/2P5/PP3PPP/RNBQ1RK1 b kq -,c8d7
8/5p1k/5Bp1/3b3p/1P1n4/7P/4BRPK/r7 b - -,a1b1
r1b1qrk1/4n3/p1n3pp/1p1P1p1P/2B2P2/1NB5/PPP3Q1/2KR3R w - b6,c4e2
3q3r/1k2bpr1/4p3/1b1pPp1p/p1pP1P2/1nP2N1P/RPN2BPK/4Q1R1 b - -,h8g8
3r1nk1/3r1qb1/p3p1p1/1pp1P2p/4BP1P/4B1P1/P1Q3R1/5RK1 w - -,e3c5
3r2k1/5p2/3Np1p1/p3P2p/Pp5P/2n5/1R4P1/7K w - -,b2f2
4Qr1k/p2P4/3q3p/4p3/5p2/4P1N1/6PP/6K1 w - -,e3f4
rn1qk2r/1pp2ppp/8/p3p3/1bQ5/P1N1P3/1P1P1PPP/R1B1K2R b KQkq -,b4d6
8/5r2/p4r2/7k/3Q1p1P/5K2/1PP5/8 b - -,h5h4
6k1/5p2/7p/5P2/3b1R2/8/2r1rPKP/3R4 w - -,f4d4
r7/4k3/4pp1p/1K1p4/6P1/P2P4/R7/8 b - -,e7d6
3r4/4N3/p2P4/1p5K/5kP1/8/PP6/8 w - -,g4g5
2Q5/8/1p3p2/1N1p4/P2P1qPp/1P6/5kn1/K7 b - -,h4h3
5k1r/pp3pp1/2r1p3/3nP2p/P3R2P/1Q6/1P3PPK/8 b - -,c6b6
1rr3k1/1p2ppq1/p1np3p/3Q2pb/2P5/1P2PNP1/P4PBP/R1R3K1 b - -,g7f6
1r3rk1/3R1p1p/p1p2qp1/1p6/2P5/3BP3/PPQ2PPP/2KR4 w - b6,d3f1
r2q1rk1/pp2bppp/3p1n2/2p1n1N1/2b1PP2/2N5/PPP1B1PP/R1BQR1K1 b - f3,c4e2
6k1/2n4p/p5p1/P2n1q2/1p2p3/2bpB3/Q5PP/6RK b - -,g8g7
2r2rk1/1p3bbp/p1qp1np1/P3P3/R3P3/2N1BB2/1PP4P/3Q1RK1 b - -,d6e5
r1b1k2r/ppp1q1pp/1b1p1p1n/4P3/2N2P2/2p2N2/P1Q3PP/R1B2R1K b kq -,e8g8
2qr2k1/p1p2ppp/bpn1rn2/3p4/B2P4/P1P1PPN1/3Q2PP/R1B1R1K1 b - -,c6a5
r2q1rk1/pb3p1p/1p2pnp1/n3R3/3P3B/2PB1N2/P2Q1PPP/R5K1 b - -,g8g7
6k1/5p2/p7/6Q1/P2q4/1P3PKP/6P1/4r3 b - -,d4g7
r3k2r/1bnpbp2/1qn1p3/1Bp3p1/P3PQ1p/2N5/1P1BNPPP/R2R2K1 w kq -,f4e3
1r2bqk1/6pn/p2pP2p/3Q1N2/1r3P2/1P2R1PP/6B1/4R1K1 b - -,g8h8
r3kb1r/pp1q1ppp/2np1n2/2p1p3/4P3/2P2N2/PP1P1PPP/RNBQR1K1 w kq e6,d2d4
rn2k1nr/1bq2ppp/p2pp3/1pb5/3NPP2/2N1BB2/PPP3PP/R2QK2R w KQkq -,d1d3
r2q1rk1/pp1n3p/6p1/2pP1n2/2pb1P2/2N4P/PP3BB1/R2Q1RK1 w - -,d5d6
4q3/2p3pk/3p2Np/Q1pP1P2/P5P1/1P5P/4n1K1/8 w - -,a5c7
8/pb3pkp/4p1p1/2p1q3/8/1PP5/P2Q1PPP/5BK1 b - -,b7d5
4rqk1/1p4p1/p1pn1r1p/Q3R3/5P2/2PR1BP1/P1P4P/6K1 b - -,e8e5
8/5pk1/3b2p1/1p2q3/2p3P1/2P1NP2/1P2QK2/8 w - -,e3c2
