8/4p3/3k2B1/6BP/r2p4/6K1/5P2/8 w - -,h5h6
r1bqrbk1/5pp1/p2p1n1p/1p6/3nP3/6NP/PPB2PP1/R1BQR1K1 w - -,d1d4
5r1k/ppq2bp1/2nbpr1p/3p4/3P2B1/2R3B1/PP1QNPPP/4R1K1 b - -,f7g8
8/p6k/7r/PP1Q4/3P3p/K1P5/8/6q1 b - -,h4h3
4r1k1/5p1p/3p2p1/1q6/2p2Q2/4R2P/6BK/8 w - -,e3e8
rn1qkb1r/pp2pppp/2p2n2/3P3b/3P4/4PN1P/PP3PP1/RNBQKB1R b KQkq -,f6d5:c6d5:h5f3
r1bkr3/3nq3/pp5p/3R4/6Bp/8/P1PQ2PP/1R5K w - -,h2h3
4n3/7r/N2bknp1/1p2p3/3pP3/6NP/1P4K1/R4R2 w - -,b2b4
3N4/2b2p2/5k2/5P2/4P1K1/8/8/8 w - -,d8c6
6k1/5rp1/1qp1p3/3pP2p/p6P/2P1b3/PPQN1r2/1K1R3R b - -,f2d2
4r1k1/3q3R/p2p1b2/3P1Np1/2P1QnP1/1P6/3B1K2/1R6 b - -,g8h7
r1b3k1/1p2rnp1/2pN3p/p4p1q/1PBR1PnN/6P1/P5P1/2RQ2K1 b - -,g8h7
2r1k2r/2qb1pp1/p1nppb1p/1p6/4PPP1/1NNB1Q2/PPP4P/1K1R3R w k -,c3e2
8/3kb2p/1r1p1P1p/r2B4/4PR2/2PK4/1P6/1R6 b - -,e7f8
3r1k2/1bR5/6Bp/p2p4/1p4P1/8/Pb5P/7K w - -,c7f7
r4nk1/pp3ppp/4p3/4P3/1B6/3P4/PP4bP/1K1RR3 w - -,b4f8
8/5R1p/4p3/4k1P1/R4p1r/3r4/8/6K1 w - -,a4b4
rnbqkbnr/pp1p1ppp/4p3/2p5/2P1P3/8/PP1PNPPP/RNBQKB1R b KQkq -,d8b6
r6r/pP2kppp/8/2b1p3/Qn4nq/P1N5/1P3PPP/R1B2RK1 w - -,c1g5
rnb1r1k1/5p2/p4qpp/1ppPp3/8/2PQ1N2/PPB2PPP/R3R1K1 w - -,d3e3
2R2rk1/7p/1p1bpq2/p2p2p1/3PpP2/PP1bP1P1/1B4RP/1N2Q1K1 b - -,f8c8
8/p7/1p1pQ1pk/2pP2p1/2P5/5pqP/P7/7K w - -,e6g4
r1b1k2r/3nbp2/pqn1p1p1/1pppP2p/3P1P2/2P1BNPB/PP2N2P/R2Q1RK1 w kq -,d1c2
1r4k1/5p2/3qp1p1/p1p4p/P6P/2P1P1P1/5PK1/3R4 w - -,d1d6
r4r1k/pppb2pp/2p2b2/8/2QNq3/2P1B3/PP3PPP/R3R1K1 b - -,a8e8
r7/p1p3k1/b1p4p/4N1p1/3P1r2/1P5P/5P1K/2R2R2 w - -,f1e1
6k1/p4r1p/bq2npp1/8/2r1P3/PQ6/1B1N1bPP/2R1R2K w - -,b3b6
2r1r1k1/1pp2ppp/1b2n3/1q1pPN2/1P1P1n2/5N1P/1B1Q1PP1/3RR1K1 b - -,c8a8
2r5/3R3p/p5p1/1pB1bk2/1P6/P4K2/2P5/8 b - -,h7h5
r3r1k1/ppp2ppp/2nbbq2/3p4/3PP3/2N2NP1/PP3PBP/R2Q1RK1 b - e3,d5e4
2k1r3/p1p2p2/2p5/2Br1p1p/3P3P/1P2p1P1/P2bN1K1/5R2 b - -,a7a6
3r2k1/5p2/2q1p1p1/7p/2P2P2/3r2PK/2R2Q1P/1R6 b - -,h5h4
r4rk1/ppq2pp1/1b4bp/1B1pn3/3N3Q/1NP4P/PP3PP1/R4RK1 w - -,f2f4
8/8/5n2/5k1p/6p1/3N2K1/8/8 b - -,f5g5
7R/1p2k1p1/p1b1P3/2p1KP2/8/P7/1P6/8 b - -,c5c4
2r3k1/1bqn1rbp/pp1p2p1/3Pp2n/PPp5/N1P1B1PP/Q2RNPB1/5RK1 b - -,h5f6
3r3Q/p2qnk2/1p2n1pp/2p2p2/N1P5/1P3PP1/P5BP/4R1K1 w - -,h8h6
r2qkb1r/1p1b1pp1/p1Nppn1p/8/4PB2/2N5/PPPQ1PPP/2KR1B1R b kq -,d7c6
r1nr2k1/p4pbp/1p6/2pPp1q1/4PP2/2P3B1/P1Q1B2P/3R1RK1 b - f3,g5e7
k1b3nr/4b1Rp/pQ3p2/1p6/4P3/4N2q/PPP4P/2K3R1 b - -,c8e6
3r2k1/p1R4p/1p1Nb1pP/4ppb1/8/P7/5K2/5B1R w - -,c7g7
r3k2r/pp2bppp/2n1pn2/3q1b2/3N4/2P1B3/PP2BPPP/RN1Q1RK1 w kq -,d4f5
r2q1rk1/1p2p1bp/2p2pp1/pP1p1b2/P1nP1P2/BQP2N2/5RPP/1N2R1K1 b - -,f8f7
8/6p1/7p/2k4P/P5P1/3n1PK1/2N5/8 w - -,c2e3
r2q1rk1/1p1bppbp/p1p3p1/2Pp4/3P1Pn1/2NBP3/PPQ3PP/R1B2RK1 w - -,c3a4
8/6k1/8/5p2/1r4PK/3R4/5P2/8 w - f6,f2f3
7r/5p2/pkN3n1/1q2p2p/4Q3/5PP1/PP6/1KR5 w - -,e4e3
2bQ1bk1/1r5p/4p2B/p1p2q2/2B5/2P5/P5PP/R6K w - -,a1f1
4r1r1/ppp2p1k/3p1B1p/3P1P2/q1PN1R1Q/7P/P3b1P1/6K1 w - -,g1h2
8/3b1k1p/r3p1pP/1nBpPp2/p1pP1P2/2P3P1/2PK1N2/R7 w - -,a1b1
1rr3k1/3nppb1/6pp/R3Nb2/8/2BP1NP1/4PPBP/5RK1 b - -,c8c3
rn1q1rk1/2p1bppp/p3pn2/1p1b4/3P4/1Q3NP1/PP1BPPBP/RN3RK1 w - -,b3c2
7k/pp4pp/2p2N2/8/7b/2PB3Q/PPK5/4q3 b - -,e1f2
8/2K5/8/8/1R6/rP1k4/8/8 b - -,d3c3
4R3/1R3n1p/1pr1k1p1/p4p2/2p1p2P/3nP1P1/PP3PK1/8 b - -,e6d5
6k1/p2n1p1p/4pnp1/8/3N4/5BP1/Pr2P2P/2R4K w - -,a2a3
r1bqk2r/2p1bppp/p1np1n2/1p1Pp3/4P3/2NB1N2/PPP2PPP/R1BQR1K1 b kq -,c6d4
8/1r4k1/2R3p1/8/5PPK/8/8/8 b - -,b7a7
q3r1k1/p3ppbp/1pb2np1/n3B3/P1pR4/2P2N1P/1PB1QPP1/4R1K1 b - -,a8b7
r2q1r1k/ppp1b1pp/2n5/3b1p2/1P2p3/P2PPN2/2Q1BPPP/R1B2RK1 w - -,d3e4
1r3rk1/2pb2bp/p1pq2p1/3pP1BP/6P1/2NR4/PPP1Q3/2K4R b - -,d6e5
r2r2k1/2qn1pbp/ppbppnp1/2p5/P1PP4/1Q2PN1P/1P1NBPPB/R2R2K1 w - -,a1c1
8/8/2p5/4pk1p/r6P/4BP1K/3P2P1/8 w - -,e3f2
8/r7/P3nkpp/Rp3p2/1p6/1B4P1/5PK1/8 b - -,e6c5
3rr1k1/1pq2p1p/6p1/p1b1p1P1/2P1BnRP/1P1p1P2/PB5K/Q2R4 b - -,c5d4
8/p4rkp/1p1ppq2/5p2/2PP2rP/1P1QR1P1/P6K/5R2 w - -,d3e2
8/p4Pk1/1p2p1nr/3b2N1/8/2rBRPK1/P7/4R3 b - -,c3a3
r1bq2k1/1pp1n1b1/3p2pp/p1PPp1B1/4P1n1/2NN4/PP2B1PP/R2Q2K1 b - -,h6h5
1R6/8/1P3pp1/5k1p/7P/1r4PK/8/8 w - -,b8b7
2kr3r/pb4pp/5p2/2Pp1p2/2P4B/P3PP2/3K2PP/R6R w - -,h4g3
1r3rk1/p2q2pn/1p1p2np/2p2b2/2PBNP2/2PP4/P2Q1RBP/4R1K1 w - c6,d4e3
2r1r1k1/1p1n1pp1/p1pp3p/3Nq3/2P1P3/7P/PP1Q1PP1/R3R1K1 w - -,d5e3
1qr1n1k1/p2rnpbp/b2pp3/1NP3p1/P3PP1B/1N3B2/4Q1PP/2RR2K1 w - -,h4g5
8/1R3p2/6pk/8/1p2Br1p/5P1P/3n1PK1/8 w - -,e4d5
r3r1k1/p2R1N1p/1pp2bp1/8/8/4P3/PP3PPP/R5K1 b - -,f6b2
1r3r1k/1p4pp/p4n2/P2pp3/8/2R1NP1P/1PP3P1/5RK1 w - -,c3d3
r3kb1r/1bq2ppp/p3p3/4P3/2pNn3/2N1B3/PPPQ2PP/2KR3R w kq -,c3e4
1k1r3r/pbp1nppp/2n2q2/1Npp4/2B1PP2/2P5/PP1N2PP/R2Q1RK1 w - d6,e4d5
r4r2/1pq1bppk/p1np1n1p/4pP2/8/1BNQB3/PPP2PPP/R2R2K1 b - -,a8c8
3rr1k1/p1q2pp1/1ppRb1np/4p3/P3P3/2Q2N1P/1PP2PPB/4RBK1 b - -,c7d6
4rrkb/4qp1p/p2p2p1/1p1Pn1PP/2nBBR2/PN4Q1/2P4R/6K1 b - -,a6a5
1k3r2/ppp3p1/4q2p/3r4/P2p4/6P1/1P1QPP1P/2R2RK1 w - -,c1c4
7r/4kp2/p1b1pbp1/1pp1n2p/4PN1P/P1P1NPP1/1P2BK2/3R4 w - -,d1d2
6k1/1p3pp1/p6p/2Pr2P1/1P1P4/1Q4Pq/8/2R3K1 b - -,d5g5
6k1/4Qn1p/8/1pP2P2/p4q2/P6P/6BK/8 w - -,h2g1
1k2r3/ppp1q2p/3bn3/3Q1B2/2N5/2P5/PP3PPP/3R2K1 w - -,d1e1
5R1k/2p5/p3br1p/2p2p2/2p2P1P/q1P3Q1/P5P1/3R2K1 b - -,f6f8
5bk1/p1r3pp/2N1pp2/1QP4q/8/P1nN3P/5PP1/4R1K1 w - -,b5c4
6k1/5pb1/4bBq1/4p1Q1/6p1/6K1/5PB1/8 w - -,g5g6
6k1/5p1p/6p1/Pn1R4/8/8/5PPP/r3NK2 b - -,b5a3
8/5k2/2R5/8/p5p1/P1KP4/1P4r1/8 w - -,c6c4
2r2rk1/1p1q1b2/1P1p4/2NNbppp/2P1p3/Q3P2P/4BPP1/1RR3K1 b - -,c8c5
1r6/1P3ppk/4b3/2p3Pp/8/2N3P1/1R6/6K1 b - -,c5c4
3rr1k1/2p2ppp/1p1pp3/8/QBqP4/P5PB/5P1P/3R2K1 b - -,d8a8
1r4k1/2p2p2/p1pp2pp/8/2PQPPP1/6P1/qr1RR1K1/8 b - -,b2d2
r6k/1p2q1bp/2b1P1p1/p7/3B1Q2/5n1P/1P3P2/3RR1K1 w - -,g1f1
r3k2r/1q1pbpp1/pp2p3/1N5p/Q1P5/P3PPP1/1P3P2/3R1RK1 w kq -,b5d6
rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq -,d5e6:g1f3:c1g5:b1c3:g2g3
r1r5/2p2k1p/2Np1b2/PRnP1p2/2N1p3/6P1/R4P1P/6K1 w - -,b5c5
5k2/8/pp1p1n1p/2pPrP2/P1P1BK2/1P4NP/8/8 b - -,f8e7
2q1rb1k/7p/pB4p1/P1P1p3/1r2P3/3Q3P/5PP1/2RR2K1 b - -,b4d4
2r5/1Rp4p/k1P1p1p1/6P1/5P2/3p1K2/5P2/8 w - -,f3e3
1k1br2r/1pp3p1/p1n4p/1N1R1p2/8/P3PPBP/1P3P2/2R3K1 w - -,b5d4
r1bqr1k1/4npbp/1p1p1np1/2pPp3/P1P1P3/BQN2N2/5PPP/R3RBK1 b - -,c8d7
8/3r1ppp/2k5/1p2P3/5R2/2P5/6PP/6K1 w - -,g1f2
r2qr1k1/pp1b1pb1/2n4p/1BPpP1pn/8/2N2P2/PP2NBPP/R2QR1K1 b - -,c6e5
r2qk2r/1pp1ppbp/p1np1np1/8/3PP1b1/2NBBN2/PPPQ1PPP/R3K2R w KQkq -,d4d5
8/1p2r3/p1pR4/4k3/1P2P3/P4P2/4K3/8 w - -,d6d1
4q3/2Rn1b1k/5b1p/1p1r1p2/1P1N1P2/4PNKP/1BQ5/8 b - -,f7g6
3Q4/5pk1/p7/1p2p1p1/2n1P2p/2P2B1P/P2q1PP1/6K1 w - -,d8e7
3b1nk1/6pp/p2B4/1p6/8/1P4PB/1PP1q3/1K3R2 b - -,d8e7
8/8/4k1p1/R7/5PP1/8/p1K5/r7 b - -,e6f6
2r4r/1p2k1p1/1pnp1n2/p3p1p1/P1BPPp2/BPP4P/5PP1/2KR3R b - -,e5d4
8/3b4/1r3p2/1P6/3NKPp1/7k/1R5P/8 b - -,g4g3
1n1q1rk1/1rp2pp1/p2pbn1p/P3p3/Bp1PP3/2P1N2P/1PQN1PP1/R4RK1 b - -,c7c5
2rq1r2/4bpk1/p1npb1p1/1p1Np2p/4PPn1/2B1N1P1/PPPQ2BP/R4RK1 b - -,b5b4
1q2k2r/1p3pb1/p1rpbnpp/P3p3/4P2N/1P2N1P1/2PQ1PBP/R4RK1 b k -,e8g8
2rq1r2/3k1p1p/3PpQ1p/1p2P3/6P1/P7/5P1P/1RR2K2 w - -,c1c8
8/3rkp2/4p1p1/4P3/3p1P2/7R/2r3PP/3R2K1 b - -,d7a7
4r3/6p1/1R1pk2b/8/4p2p/2P4P/1P3PP1/3R2K1 b - -,h6f4
2r5/p3k2p/1b3B2/3p4/P6P/8/8/5R1K b - -,e7e6
4r1k1/1p3pp1/p6p/P2q4/3p4/3P3P/1PP2PP1/R2Q2K1 w - -,d1f3
r3r1k1/1b1n1pb1/1ppR2p1/2n1p1Pp/p1P1P3/2N1BN1P/PP3P2/3R1BK1 b - -,d7f8
8/5Q2/4p2r/p2pb2p/P5PP/5Pk1/4r3/3R2K1 b - -,e5d4
r4rk1/pp2bppp/1Q2bn2/3p4/3P1B2/2NB4/PP3PPP/R4RK1 b - -,a7b6
1r3rk1/p1q1pp1p/5np1/n1Pp4/b7/P1Q1PN1P/3NBPP1/1R1R2K1 w - -,b1b8
rn1q1rk1/pb1pbppp/1p2pn2/8/3P4/1P1B1N2/PBP2PPP/RN1QR1K1 b - -,b8c6
8/3R1pk1/4p3/p6p/3q2pN/1p4P1/7P/5Q1K b - -,d4d7
2r1kb1Q/pp3p1p/8/8/4q3/2N5/PP1P1PPP/n1BK3R b - -,e4c2
1n1r4/3Pb1k1/1pp3p1/p1p3p1/2P1NpB1/3R4/PPK5/8 b - -,e7f6
r4rk1/p3qp1p/1p4p1/2n5/3B1P2/2P2Q2/P1P3PP/R3R1K1 b - -,e7c7
2rq1rk1/1p2bppp/3n4/p2PpbP1/Pn5P/1NN1BP2/1PPQ4/1KR2B1R w - -,b3c5
2r2rk1/ppq2p1p/4p1p1/nR4N1/2P4Q/2P3PP/P4P2/5RK1 b - -,h7h5
6k1/pp1nb1p1/4p2p/3p1p1b/3Pn3/PP2PNPP/r4PB1/1NB1R1K1 w - -,f3d2
8/4k3/6K1/8/8/7P/8/8 b - -,e7f8
6r1/3qbk2/p3n3/3pPp2/1p1P1P2/1B1bB1NP/PP4QK/6R1 w - -,b3d5
3r1rk1/5pp1/p2p3p/1ppP4/8/1PP2q2/P4PPP/3RR1K1 w - -,g2f3
8/8/3p1k2/2pP2p1/2B1P3/3K2P1/2n5/8 b - -,c2b4
1q6/6k1/2rnpp1p/2Pp2p1/R2P2P1/1P1Q1P1P/6K1/R7 b - -,d6f7
r1b2rk1/2qP1ppp/p4n2/8/1p1b1P2/3B4/PPPBQ1PP/3NRR1K b - -,c8d7
2r1r1k1/pb4pp/1p2pp2/1N6/Pbn5/4B1N1/1P2QPPP/R5K1 b - -,a7a6
8/6p1/4k2p/6n1/P1N5/1P3P2/5PK1/8 b - -,e6d5
r5k1/1q2pp1p/p2p2p1/Rr1R4/1PpQP2P/2P2P2/1P4P1/6K1 b - -,b5a5
3r1rk1/p2q1bb1/2p3pp/1nP5/1RNp2P1/3P1N2/P1Q3BP/5RK1 b - -,d8e8
5rk1/5p2/3q2pp/1PN5/3rRpP1/2Q2K2/1P5P/8 b - -,d4d1
r3k3/1q2bn2/3p1Bp1/1p1Pp1P1/1Pp1P3/2P2Q2/2B2P1K/6R1 w - -,f3h3
r1bq1rk1/pppnppb1/3p1npp/6B1/2PPP3/2N2P2/PP2N1PP/R2QKB1R w KQ -,g5e3
r5k1/1bq2pbp/6p1/p1p1p3/2P1P2P/PQ4P1/3R1PBN/6K1 w - -,h2g4
r2r4/4bkpp/2p5/p1Nb4/P1p5/4B2P/1qP1QPP1/1R3RK1 b - -,b2e5
r2qkb1r/pp2pppp/2n2n2/3p2B1/2PP2b1/2N2N2/PP3PPP/R2QKB1R b KQkq -,f6e4
r7/2p1rp2/p1nkb1pp/1p1p4/3P1N2/2P2R2/PPB2PPP/R4K2 w - -,h2h3
6k1/p2b1q2/3P1rpR/1p2Q3/8/8/P4P2/6K1 b - -,f7e6
r1bqr1k1/1p3ppp/p4n2/8/NP1p4/P7/1BQ1N1PP/1R2K2R b K -,d4d3
8/pp3pkp/5rp1/4Q3/2q5/3p1P2/6PP/3R3K w - -,g2g4
2kr2r1/ppp2pPp/2n5/6N1/5B2/2bp4/P1bR1PPP/4R1K1 b - -,c3d2
r3kb1r/pp1q2pp/2n2p2/1B2p3/Q3N1b1/2P3B1/PP4PP/2R1K2R b Kkq -,a8c8
q6k/1p2r2p/3p2p1/3Q4/1P1b1rP1/7P/5PB1/1R3RK1 w - -,d5d6
r2q1rk1/1p1np1bp/3pb3/5p2/1PP5/2N1BP2/3QB1PP/2R2RK1 w - -,c3d5
5nk1/2r1q2p/1Q2p1p1/3pP1P1/p2P1NP1/5R2/5RK1/3r4 b - -,c7c1
2r2bnk/1q1n1ppp/p2p4/3PpP2/1pN1P3/1P3Q2/P2B1P1P/R4BK1 b - -,d7c5
r7/1p6/1P1p4/8/1Rkpp1pP/P5K1/8/8 b - -,c4c3
8/2Bk2p1/1P1P4/7p/7P/1NK3P1/p2N4/1r6 b - -,d7c6
r2r2k1/pp3pp1/2n1b2p/3p3Q/2pP4/q1P1P1P1/3N1PBP/2R2RK1 w - -,e3e4
r2qk2r/1p2b1pp/p1b5/3Pp3/4N3/1P1Q4/P4PPP/R1B2RK1 b kq -,d8d5
2brr3/pp4kp/2p2pp1/4p3/3P1n2/1BP1N3/PP3PPP/3RR1K1 w - e6,d4e5
8/7k/1R4p1/P2B4/5K2/8/5n2/5b2 w - -,a5a6
rn1q1rk1/2p2ppp/1p1ppn2/p7/2PPb3/4QNP1/PP1BPPBP/R4RK1 w - a6,d2c3
3r1rk1/p2q1ppp/n7/2p5/8/2P1NQP1/P3PP1P/R4RK1 b - -,d7e6
r3nrk1/p2RRppp/bpp5/8/4P3/1nN2NP1/5PBP/6K1 b - -,b3c5
r2q1rk1/3nbppp/4pn2/1ppb2B1/8/2NP1NP1/1PQ1PPBP/R1R3K1 b - -,d5c6
r1b1k2r/pp3p2/2n1p2p/q1ppP1p1/3P4/P1P3B1/2PQ1PPP/R3KB1R w KQkq -,d4c5
r1b1k2r/ppq2p1p/2np1n2/4p1p1/3pP3/1P1B3P/P1PNQPPN/R4RK1 w kq g6,a1c1
r5k1/pp1b1rbp/2n1p1p1/q2p4/3P1B2/2P2NPP/P2Q1PB1/R3R1K1 w - -,e1e2
6N1/5p1p/8/2kP2P1/p4b1P/1p6/1K6/8 b - -,c5b4
6rk/1p5p/3bR3/P7/8/7K/1P6/3B4 b - -,g8g6
3rrk2/p3qp1B/6p1/1p2P1P1/2pb1PQp/6RP/PP4K1/R1B5 b - -,h4g3
2q1r1k1/1p3pp1/p2pr2p/P2Np1b1/1PP1P3/6R1/4QPPP/3R2K1 b - -,g5h4
r4rk1/5p1p/4p2q/nP6/1p1P1RN1/2p3P1/4Q2P/R5K1 b - -,h6g6
8/7r/5k1p/3npp1P/8/1KP4P/3B1R2/8 b - -,e5e4
1r5k/6p1/7p/3P4/3qP3/4n1N1/1P2Q1PP/2R4K w - -,g3f1
8/6pp/2n1p3/1pPpP3/1P4Pk/7P/3B4/6K1 w - -,g1g2
8/p1PR4/5rpp/8/8/P2p2K1/3k2PP/8 b - -,f6c6
r1bq1rk1/2ppbppp/p1n2n2/1p6/3pP3/2P2N2/PPB2PPP/RNBQ1RK1 w - -,e4e5
8/4qp1k/6p1/2p5/6Qp/1P1KP3/8/8 w - -,e3e4
8/2qPb2p/4k3/2r2p2/4Q3/7B/PP3P1P/3R2K1 b - -,e6f7
r1bqk2r/ppp1nppp/5n2/2bp4/5N2/6P1/PPP1PPBP/RNBQK2R w KQkq -,b2b3
3rnbk1/1rq3pp/ppb1pn2/2p5/P1P2P2/2NP3P/2QNB1P1/BR3RK1 b - -,e8d6
3r1rk1/4bppp/p3b3/1pP1q3/1P2p3/4B2P/P1B2PP1/R1Q2RK1 w - -,a2a4
r3kb1r/pp1n1ppp/1qp1pnb1/8/3P1B2/P1NB1P2/1PPQN1PP/R3R2K b kq -,g6d3
2r3k1/1p3pp1/1pn3p1/3p4/B7/5P2/PP3KPP/3R4 b - -,c8d8
1r6/4n3/p1pRnkp1/Bp5p/1P2P1p1/1B6/P4K2/8 w - -,d6e6
rn2kb1r/ppq2ppp/2p1pn2/8/2BP4/2N2Q1P/PPPB1PP1/R3K2R w KQkq -,e1c1
r2q1rk1/ppp2pbp/n2p1np1/8/2PNP3/2N1B3/PP2bPPP/R2QR1K1 w - -,d1e2
8/3rbk1p/pp4p1/2p1p3/P7/2P1B2P/1P2KPP1/R7 w - -,e2f3
r2rk3/pR3N2/2p3p1/pb2P3/3P2P1/2R4P/P4P2/6K1 b - -,d8d4
r3k1rb/1bp2p1p/p3PQ2/3p1N2/Pp3p2/1B1P4/1PP2PPP/2KR3R b - -,h8f6
r3rbk1/5ppp/p1qppn2/1p6/P2P4/1QP4P/1P1NRPPB/4R1K1 w - -,a4b5
3r1r1k/1b3ppp/p4n2/3PpNq1/1pB1P1PP/2p2P2/6Q1/4R1RK b - h3,g5f4
r5k1/pp3rbp/4Q1p1/8/8/7P/PPqR1PP1/R1B3K1 b - -,c2a4
4r2r/ppp1nk2/2nb1p2/3p2p1/1P1P3p/1NP1BN1P/P1K2PP1/3RR3 b - -,b7b6
r3r1k1/pp2p2p/2pq2p1/5b2/2PP4/2NBQ3/PP3PPP/R5K1 w - -,d3f5
r5k1/pp1b1ppp/5n2/3p4/3P4/3B3P/PP1N1PP1/1K2R3 w - -,d2f3
3k4/2qnrBQp/pp1p2pP/2p5/Pn2bP2/5N1P/1P1B4/R3R1K1 w - -,g7g8
r3r1k1/1p2pp1p/p2pbnp1/q7/2P1PP2/1PNB4/PQ4PP/4RR1K w - -,f4f5
rnbr2k1/ppp3b1/5ppn/4p2p/2P1P2B/2N2N1P/PP2BPP1/R3K2R w KQ -,c3d5
6k1/2p2p1p/4p3/4Pp2/3P4/2PB2P1/1r1n1PKP/2R5 b - -,d2b3
8/5Q2/3k4/8/6K1/6P1/7q/8 w - -,f7f6
rnbqkb1r/pp2pp1p/5np1/1B2p3/8/2N2N2/PP3PPP/R1BQK2R b KQkq -,f6d7
1r6/7k/3RKP2/8/8/8/8/8 w - -,d6d7
8/7p/1p2p3/p3PpPk/P1P1q2P/8/5K2/1R1R4 b - -,e4f4
r1b2rk1/pp2n1pp/4p3/2qpP3/8/P1PQ4/4BPPP/R1B2RK1 b - -,c5c7
2r1k2r/4bpp1/p1bpp3/1p2q3/1P2P1Pp/P2QPB2/2PRN2P/5R1K w k -,h1g1
1r1qr1k1/1pp1bppp/p1n5/4pb2/1P6/P1NP1NP1/1Q2PPBP/2R2RK1 w - -,f3d2
3r2k1/1p3p1p/3qbR2/p7/P1p1P3/6P1/1PQr3P/2R2BK1 w - -,c2c3
3r1rk1/1b2Np1p/pb2q1p1/1p2p3/PPp1P1P1/2P2QP1/2B2P2/R1B1R1K1 b - -,e6e7
