6rk/5p2/7p/1p6/5q1P/pPR2Q1K/P5P1/8 b - -,f4f3
5rk1/2r1bpp1/2N4p/8/1q1p1P2/2nP1QP1/3NP2P/4RRK1 b - -,b4a4
1n5k/3q2p1/pb2p3/np2Pp2/3NB3/1P3N2/P2B1PPP/2R3K1 w - f6,e5f6
r4k2/5p2/3p1Pp1/p1pPP2p/1r6/4N3/5B1P/R6K w - -,e5d6
q1r3k1/1p2pp1p/3pb1pb/p1n5/2PB1P2/6Q1/PP2B1PP/R4RK1 b - -,e6f5
r1bqk2r/pp2ppbp/2n2np1/3p4/3P1PP1/2N2N1P/PPP3B1/R1BQ1RK1 w kq -,c1e3
r1br2k1/1pq1b1pp/p3pp2/8/3nN3/4B1P1/PPP2PBP/R3QRK1 w - -,e3d4
rnbqkb1r/pp3ppp/1n1pp3/4P3/3p4/1BP2N2/PP3PPP/RNBQK2R w KQkq -,e1g1:c3d4
6k1/1p1R4/4p1p1/p6p/P3q3/4BR2/6KP/3B4 b - -,e6e5
r7/pb6/1p5p/5k2/2P1pP2/1Pbp4/P4BPP/2KRR3 w - -,e1f1
4Qb2/1q5k/8/4p3/1p3pR1/6P1/5P1K/8 b - -,f4g3
rn1q1rk1/pbp2pp1/1p3b1p/3p4/3P4/2NBPN2/PP3PPP/2RQK2R w K -,e1g1
3r1bk1/5ppp/q4Bb1/1p6/6P1/1BQ1RN1P/1P3P2/6K1 b - -,g7f6
r1bqk2r/pp2npbp/2p3p1/2p1p3/4P3/N4N2/PPPP1PPP/R1BQR1K1 w kq -,c2c3
6k1/5p2/5Pp1/p4q2/P2Q4/1P2PK2/5P2/8 w - -,f3g2
r4rk1/1p3pp1/2ppbq2/4p1p1/3PPn2/2P1BP1P/1PBQ2P1/R3R1K1 b - -,f6g6
1r2kb1r/6pp/4p3/2npP3/pp1B4/5R2/PP1N2PP/R5K1 w k -,f3f8
8/3n4/2pk3p/p2p2pP/P2P2P1/1BPK4/8/8 w - -,b3d1
r1n4r/2k1bpp1/2p3p1/p2p2P1/1n1Pp1RP/1PN1PP2/1P6/R2KBB2 b - -,e4f3
r3kb1r/ppq1pppp/2p2n2/P2NNb2/3P4/8/1PP2PPP/R1BQKB1R b KQkq -,f6d5
rnb2rk1/ppp1qpp1/4p2p/3P4/3Pn3/2N1PN2/PP3PPP/R2QKB1R b KQ -,e4c3
2bq4/6kp/pp1p1p2/3N4/PP2P2Q/8/1P4PP/6K1 w - -,h4g3
1r4nk/p1pPP1b1/b1B2qp1/5p2/1N3Q1r/B4P2/PP6/1K1RR3 w - -,f4h4
2rq1rk1/pb2bppp/1p2pn2/4n3/P1PN4/2N1P3/2QBBPPP/R4RK1 w - -,c3b5
2r3n1/1r4pk/8/6p1/2P1R2P/1p2B3/1P1RK3/8 w - -,h4g5
qr6/r1k1p3/1p1p4/1QpPp2p/2P1P2R/6P1/5PK1/1R6 w - -,h4h5
3r1rk1/p1q2p2/1p3bpp/nP2p3/2p1P2P/2P3P1/1PQ1NP2/R2R1BK1 b - -,a5b3
8/2k2p2/1pp2qp1/p1p4p/P2rR3/1P1P2PP/2P1QP2/6K1 w - -,e4e3
r1b1Rrk1/1p4p1/3b2np/3P1p2/p1P5/P1BB3P/1P3PP1/R5K1 w - -,a1e1
7Q/p5pp/1p6/kqn5/1b1p4/3P2P1/P2B1P1P/1R3NK1 b - -,c5d3
rn1qk2r/pb3pbp/1p1p1np1/2pp4/2P4N/2N3P1/PP2PPBP/R1BQ1RK1 w kq -,c3d5
2rr2k1/pp3ppp/7q/8/3BPnP1/2P2P1P/P2Q4/1R3K1R w - -,h3h4
rnbq1rk1/4ppbp/2pp1np1/p7/Pp2PP2/1B1P1N2/1PP1N1PP/R1BQ1RK1 b - -,d8b6
r3kb1r/1b1p1p1p/p1q1pp2/5P2/1p2P3/3B4/PPPBQ1PP/R3K2R b KQkq -,e6e5
r1bq1rk1/pp2npbp/2np2p1/4p3/3pP3/2P1BNP1/PP3PBP/RN1Q1RK1 w - -,c3d4
6k1/3P1p2/2K2Q2/6P1/2P5/5P2/3q4/8 b - -,g8h7
r2r2k1/pbqnbppp/1p6/2ppP3/5P2/1P2PB2/PB1N2PP/R2Q1RK1 w - -,d1c2
r3k2r/ppqbppbp/2n3pn/2P5/3P4/3BPN2/PB1Q2PP/RN2K2R w KQkq -,e1g1
r1bqk2r/pp2ppbp/2n2np1/3p4/3P1B2/2N1PN2/PP2BPPP/R2QK2R b KQkq -,e8g8
8/p7/1p6/2p3k1/4rp2/P1P4P/1P3RK1/8 b - -,e4e3
1R6/4b3/3pBk2/p3pP2/8/2P3B1/P3K3/1n5r b - -,b1c3
5k2/pR3p1p/8/6r1/8/2N2n2/PP1r1PPP/2R3K1 w - -,g1h1
1r6/p1b1p1k1/P5p1/2pP1p1p/2B1P3/1P4PP/6K1/5R2 b - -,f5e4
2r3k1/1q2pp1p/r2p2p1/3P4/P2bP3/3QP3/R5PP/5RK1 w - -,e3d4
2r3k1/3n1p1p/6p1/p2pPn2/Pp1B1P1q/1P1Q3P/4B1PK/5R2 b - -,d7c5
r1b1k2r/pp3ppp/1qn2n2/2bQ4/8/2N1PN2/PP3PPP/R1B1KB1R w KQkq -,d5b3
r5kr/1q3p2/3p1Pp1/2p1n1Qp/3bP3/6BP/NP2B1P1/4RR1K b - -,a8a2
r2r1bk1/1p1bpp2/2n2nqp/pN4p1/8/Q1N1B1PP/PP2PPB1/2RR2K1 w - -,e3b6
rnbqkb1r/pp3ppp/2n1p3/8/2Pp4/5NP1/PP1P1PBP/RNBQ1RK1 w kq -,d2d3
3n1r2/pk4r1/1p2pn1p/PP1pN1b1/2pP1B2/2P3P1/5PNK/R3R3 b - -,f6e4
r2q1rk1/1bp1npbp/p1np2p1/1p1P4/4P3/1BN2N1P/PP3PP1/R1BQ1RK1 b - -,c6a5
r3qk1r/1p2bp2/pN3p2/2P2b1p/7P/8/PPP3Q1/2KR1BR1 b - -,e7c5
4r2k/8/6R1/1p1n2PP/2pp4/5R2/PPP1p3/1K6 w - -,g6h6
r4rk1/6p1/4b2p/pB1pp3/7P/1P6/P1P3P1/1K1R1R2 b - -,f8c8
4r1k1/6p1/2pq4/5P2/2R4p/4pN2/PP2R3/7K b - -,d6d1
r1b2rk1/pp1nqppp/2pbpn2/3p4/2P5/1PN1PN2/PBQPBPPP/R3K1R1 b Q -,d6a3
3b4/p4k1p/6p1/1pp5/6P1/2P2K2/PP4P1/4R3 b - -,d8f6
2r1qrk1/pb2bppp/1p2pn2/3P4/3N4/1P4P1/PB1nPPBP/1Q1R1RK1 w - -,d1d2
r2qk2r/pp1bbppp/2n1p3/2p1P3/3p1P2/2PPBN2/PP4PP/R2QKB1R w KQkq -,e3f2
8/r7/P2p2p1/2p4p/2Pk4/7P/5P2/3R1K2 b - -,d4c4
1qr3k1/5ppp/3Qbn2/1p2p3/p3P3/P3NPP1/1P2K2P/2NR4 w - -,d6b8
r4rk1/1p1nqpp1/2pb1n1p/p2pp3/2P3b1/PP1P1NPP/1B1NPPB1/RQ2R1K1 b - -,g4e6
r3r1k1/1q1nbp1p/2b1p1p1/ppP1p3/1P2P3/6P1/P2NQPNP/1BR2RK1 b - b3,a5b4
5rk1/1p3ppp/2p1q3/4PR2/3Q4/P7/1Pr3PP/5RK1 b - -,e6g6
r2q1rk1/pp1bb1pp/4pn2/2pp1p2/2PP1B2/5PP1/PPQNP1BP/R4RK1 w - -,c4d5
3rr1k1/1pp3pp/p1nq1p2/5P1Q/3p4/1P3R2/PBPP2PP/R5K1 b - -,b7b5
r1bq1rk1/pp1n1pb1/2p3p1/2P1p1p1/1P2P3/2N5/P3BPPP/1RBQR1K1 w - -,c1e3
8/7p/p5p1/kpp3P1/2P1pPp1/K1P1P3/P6P/8 w - b6,a3b3
5r2/2pb4/4prqk/1p1pR1p1/1P1P2B1/2P3P1/3Q1PK1/4R3 w - -,f2f3
2rr2k1/p2b1p1p/1pn1p1pb/2pP4/2B1PN2/q1P1BP2/P4QPP/2RR3K b - -,c6e5
r1b2rk1/pp2ppbp/3p1np1/q1pPn3/2P1P3/2N1BPN1/PP1Q2PP/R3KB1R b KQ -,a7a6
3b2k1/8/RnBp2p1/3P1p1p/1r5P/5RP1/7K/8 w - -,f3e3
r4rk1/pp4pp/2n1b3/1B1pP1q1/8/1PB2pP1/P4P1P/2RQR1K1 w - -,b5f1
6k1/1br1bppp/p3p3/1p4P1/4P2P/4BP1R/PPP2N2/2K5 b - -,f7f6
r2q1rk1/p4ppp/2pbbn2/3pp3/2P5/P1NBPP2/1PQ3PP/R1B2RK1 w - -,b2b3
2r3k1/Br1b1qb1/p2p3p/3Pn2n/2P1P1pP/1PN1Q3/4NPB1/2KR3R w - -,c1d2
1r1r2k1/5p2/p2Rpbpp/8/1P2Q2P/P1p2PP1/8/2K5 w - -,d6a6
r3qrk1/1bn1bpp1/1p2p2p/p1n1P3/2p4P/P3NNP1/1PQ2PB1/R1BR2K1 w - -,e3c4
rnbqkb1r/ppp3pp/3p1n2/5p2/2PPp3/2N1P3/PP1N1PPP/R1BQKB1R b KQkq -,g7g6
r4b1k/5r1p/pR1p4/P1pP1n2/2P1NP2/5B1P/3B2K1/8 w - -,e4g5
8/7p/1p4r1/p1pk3p/P1n4B/2Pb1P2/R2N1KP1/8 w - -,d2c4
5rk1/pp3Rp1/7p/8/P3P3/3rNbPK/QP1q3P/4R3 b - -,f8f7
rnb2rk1/1pq2pbp/p2ppnp1/8/2P1P3/2NB1N2/PP2QPPP/R1B2RK1 w - -,f1d1:h2h3
2r2k2/5pp1/p1rpbn2/7p/1p2P2P/5P2/PPNR1KP1/1B2R3 b - -,c6b6
r2qnrk1/p2nbp2/1p4bp/2pPp1p1/2P1P3/P1N1BP1P/3NB1P1/1R1Q1RK1 b - -,e8d6
r1bqk2r/pp2b1pp/2n1p3/3pN3/5B1P/P1NQ4/1PP2PP1/R3K2R b KQkq -,e8g8
r4r2/8/4pnk1/1pN5/p2p2pR/P2P2B1/1PP2PK1/8 b - -,f8e8
r1b1kbnr/1p1npppp/p2p4/qBp5/2P1P3/2N2N2/PP1P1PPP/R1BQK2R w KQkq -,b5a4
2n3rk/ppq4r/2p1Rb2/1P3p2/P1p5/1N3QP1/5PBP/4R1K1 w - -,e6f6
R7/8/5k2/P1p2p2/2P3p1/2Pn2P1/5PK1/r7 w - -,a5a6
r4rk1/6bp/3pp1p1/1B1b1p2/P2Nn3/4BP1P/1P4P1/R3R1K1 b - -,e4c5
8/3r2k1/2R5/5PK1/1pB5/1Pb5/8/8 b - -,c3d2
r1bqkb1r/ppppnppp/2n5/4p3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq -,b1c3
r3kb1r/pp3ppp/n3pn2/q2p1b2/2pP1B2/P1N1PN2/1PP1BPPP/R2QK2R b KQkq -,f6e4
r2qr1k1/pb3ppp/np3b2/2p1p3/2Pp4/PP2PNP1/3PQPBP/B1RR2K1 w - -,d2d3
rn1q1rk1/pp2bppp/3pbn2/4p3/4P3/1NN1BP2/PPPQ2PP/R3KB1R w KQ -,e1c1
3rqrk1/1n2p1bp/bQp2pp1/p2PP3/1p3B2/5N1P/PPB2PP1/R2R2K1 b - -,a6e2
r1bq1rk1/pp2ppbp/n4np1/3P4/3P4/1QN3P1/PP3PBP/R1B1K1NR b KQ -,d8b6
r4rk1/1p1n1ppp/p1p1pn2/q2p3b/2PP3N/1P1BP2P/P1QN1PP1/1RR3K1 b - -,f8e8
5r1k/6p1/6Pp/p4q2/8/PP4QP/3R3K/8 w - -,g3d6
3r4/pp4p1/1nk4p/B3p3/8/6P1/P1P1P2P/2K2R2 b - -,d8d7
r3r1k1/pb2npp1/1ppBpnp1/2P5/3P4/P2B1N1P/2P2PP1/2KRR3 b - -,e7f5
8/5r2/nppk2Np/8/1P6/2P1R3/6K1/8 w - -,g6e5
2r4k/5R1p/p5p1/4pn2/P3P2P/2P5/B5P1/6K1 b - -,f5d6
6k1/5p1p/4p1p1/1r6/1P6/4P2P/1R3KP1/8 b - -,g8f8
4qrk1/r2n2b1/p4pP1/1ppPp1n1/6B1/2N5/PPQ5/R1B2RK1 w - -,c1g5
r2rq1k1/pQ1n1ppp/3Rp1b1/8/4P1P1/2N4P/PP3PB1/2R3K1 b - -,d7c5
3r4/2p5/2p2pk1/1b5p/pP4pP/P1N1R1P1/5P2/6K1 b - -,b5c4
4rbk1/1p1n2p1/p1p2p1p/P2p4/3P4/2PN1PB1/1P1K2PP/R7 w - -,b2b4
r1b1k2r/1pqpbppp/p1n1pn2/8/P2NP3/2N3P1/1PP2PBP/R1BQ1RK1 b kq a3,e8g8
r4rk1/1p3pp1/2nqb2p/p1p1p3/2Pp4/P2P2P1/1P1NPPBP/1R1Q1RK1 w - -,d2b3
8/7r/2R5/3pk3/8/1P3K2/P7/8 w - -,c6c2
8/1p1Q1ppk/2p3p1/p1b3P1/P3P2q/2P2B2/1P3PK1/8 w - -,d7h3
8/4p1bk/4p1p1/4P1P1/5P1p/1Np4b/Q4K2/3q4 w - -,a2a3
2r5/4k2p/3pnpp1/8/2r1PP1P/2P1R1K1/6B1/3R4 w - -,d1c1
5r1r/ppkn2b1/8/2p2bN1/Q1P3p1/8/PP3PPP/3R2K1 w - -,a4a7
8/8/1R6/pP3p1k/r7/4p3/4K1P1/8 w - -,e2e3
8/7k/8/8/5p1Q/2P4P/6PK/q7 b - -,h7g6
r1r3k1/pp2ppb1/q2pbnp1/7p/2Pn1P2/1PN1N1PP/P3PBBK/2RQ1R2 b - -,a8b8
3R4/5pk1/1p3rp1/7p/5P1P/1b2K1P1/P7/8 w - -,a2b3
1r1r2k1/qpN2pbp/6p1/3BP3/2Q1nPP1/1P5P/8/2BR2K1 w - -,c4d4
8/2p2ppk/3p3p/8/R1P5/2r2P1P/6PK/8 b - -,h7g6
8/1p3kp1/1qb1p1p1/p2pBn2/3P1PQ1/8/PP3P1P/2R4K w - -,c1g1
r4rk1/1b1q1ppp/p3p3/1p1n2b1/8/2PB1N2/PP2QPPP/3R1RK1 w - -,f3g5
1r5k/6p1/Q2bqn1p/3bp3/N7/2B3P1/2B2P1P/3R2K1 b - -,e6h3
3q1r1k/b1r1n1pn/B6p/4Nb2/P7/3PP1NP/3Q2P1/RR4K1 b - -,d8d6
8/1R4B1/p2pk1p1/P1b5/1P4PP/8/5PK1/2r5 b - b3,c1b1
k2r1b1r/ppq2pp1/2p1pn1p/7P/2PP4/2B2NP1/PP2QP2/2KR3R b - -,f8d6
r2qkb1r/2pbn1pp/5p2/p1BPp3/1pP5/5N2/PP1QBPPP/R3K2R b KQkq c3,b4c3
r5Q1/1p2k3/8/3p4/8/6P1/1r2q1BP/2R4K w - -,g8d5
2r1r1k1/3b1pbp/1q1p1np1/2p1P3/p4P2/3Q1NPP/PP4B1/2R1R1BK b - -,d6e5
rnbq1rk1/ppp1ppb1/3p1np1/7p/2PPP2P/2N5/PP2BPP1/R1BQK1NR w KQ h6,c1e3:g1h3
r1bq1rk1/1p3ppp/p2p2n1/8/3P4/NB3Qb1/P4PPP/2RR2K1 w - -,h2g3
2r3k1/3qppb1/p2p1np1/3P2Np/1B5P/5PP1/PPrQ4/1K1RR3 w - -,d2d3
4r1k1/1p3pp1/8/1PP1p2p/7P/q7/4BQ2/4R1K1 w - -,e1f1
r3r1k1/ppb2ppp/3q4/3pn3/3N4/1NP3Q1/PP3PPP/R3R1K1 b - -,e5d3
r3kb1r/p2b1ppp/4pn2/Ppq5/1n1N4/6P1/1P2PPBP/RNBQ1RK1 b kq -,a8d8
r2qr1k1/2p2pbp/1p1p2p1/pNnN3n/2P1P3/4BP2/PP3QPP/3RR1K1 b - -,c5e6
1r6/1P5p/2k3p1/4p3/8/4K3/6PP/1R6 w - -,e3e4
3n2k1/pp2Pb1p/2p3pB/8/2P5/7P/PP3P2/5BK1 b - -,d8e6
r1bq1rk1/pp2ppbp/1n3np1/3P4/3P4/1QN2B2/PP3PPP/R1B1K1NR b KQ -,c8f5
rn1q1rk1/1ppbppbp/1n4p1/8/p2PPP2/2N1BN2/PP2B1PP/R2QK2R b KQ -,f7f5
3qb1k1/r4r2/1n1p1bp1/p2p1p2/P2PpP1p/1PR1P1BP/B3Q1P1/2R2NK1 w - -,g3h2
r1bqk2r/pp3ppp/2n5/2Pp4/4n3/P4N2/1PQ1PPPP/R1B1KB1R b KQkq -,d8f6:c8f5
5rk1/1pp3pp/1p3bp1/8/8/2N2P1P/P1N3P1/4RK2 b - -,f6c3
8/3k1ppr/p7/4pP2/8/7p/2R3PP/7K w - -,g2g4
3qr1k1/2pbbpp1/pr6/3pPN2/3P3p/3Q1N1P/PP3PP1/1R1R2K1 b - -,d7b5
2kr3r/p1pp1ppp/b1p5/4P3/1bP2n1P/1P1B4/PB1N1PP1/R3K2R w KQ -,d3f1
rn1qkb1r/ppp1pppp/2n5/8/2PP2b1/P4N2/1P3PPP/RNBQKB1R w KQkq -,f1e2
8/P2K3k/8/2Q5/4q3/8/8/8 b - -,e4b7
r1r1n1k1/pb1q1pbp/1p1p2p1/3P4/P2N4/1QN1B2P/1P3PP1/2RR2K1 w - -,c1c2
r2qk2r/1p1n2pp/p2bp3/3p1p1Q/3Pn3/1P1BP2P/PB3PP1/RNR3K1 b kq -,g7g6
r1bq1rk1/1p1nnpbp/p2pp1p1/2p5/2PPP3/2NBB3/PP1QNPPP/3R1RK1 b - -,d8a5
3rk1nr/1pp1qpbp/p1b1p1p1/4P3/5B2/1NN4P/PPPQ1PP1/3RR1K1 w k -,d2e3
8/4k3/2R5/2P2p1p/5P1P/4P3/7r/5K2 b - -,h2h4
rnbqkb1r/5ppp/p2ppn2/1p6/3NPP2/2N2B2/PPP3PP/R1BQK2R b KQkq -,b5b4
1rr4k/7p/pq1pn1p1/1bn1p3/4P3/1N2R2P/PN3PP1/1B1QR1K1 w - -,b3c5
r1bqr1k1/pp2ppbp/n1p3p1/8/5Bn1/P2P1NPP/1PQNPPB1/R4RK1 b - -,e7e5
2kr3r/pbp3pp/1p4q1/3pn3/1P1P1B2/2Q5/P2N2PP/R4RK1 b - -,e5c4
8/3k3p/8/3BB1p1/2P5/4K3/r3P3/8 w - g6,c4c5
r2r2k1/ppp2pbp/q4np1/4n3/8/5BP1/PPPBNP1P/R1Q1R1K1 w - -,f3g2
r1bqkb1r/1pppnpp1/p1n4p/8/3NP3/1B6/PPP2PPP/RNBQK2R b KQkq -,c6d4
1k1r3r/pppq1ppp/2n1bb2/3P4/3P4/P1NB1Q1P/1PP1N1P1/2KR1R2 b - -,e6d5
r4bk1/3q1pp1/1B1p4/1p1Q4/1P2P3/5P2/r5PP/2RR2K1 w - -,c1c7
1r1r2k1/2R2ppp/p2b1q2/3bN3/3Pp3/4P1PB/P3QP1P/2R3K1 w - -,e5d7
5rk1/pr2ppBp/1pqp2p1/2nN4/2P1PP2/1P4P1/P2Q2KP/R3R3 b - -,g8g7
2r4k/p6p/8/2bNP3/4qp2/1P1R4/P2Q3P/5K2 w - -,d5f4
