2k5/7p/8/p7/P3r3/8/1PP5/2K4R w - -,h1h7
1r1q1rk1/1p1nb1p1/p1p1p1pp/P2nP3/2NP4/1Q1N4/1P1B1PPP/R4RK1 w - -,c4e3
2rqr1k1/3b1ppp/1p3n2/pN1p4/3RP3/P4PP1/1P4BP/1QB2R1K b - -,d7b5
2r1r1k1/7p/p2n1ppb/1p1q4/PPpPppP1/2P1P2P/1B1N2Q1/R4RK1 w - -,e3f4
5k2/5p2/8/2R5/4B3/6rP/3r4/5K2 b - -,g3h3
2r4k/1p4p1/p3pn1p/4p3/P3P3/qPNRQ1PP/2P5/5K2 w - -,f1e2
r2q1rk1/1p2npbp/p1npb1p1/2p1p3/2P5/2N1N1P1/PP1PPPBP/1RBQ1RK1 w - -,a2a3
1r6/1rk5/Rp2p1p1/2p1Pp1p/2P2P1P/3P2P1/2K5/R7 w - -,c2d2
4r3/6p1/2kp1p1p/Pp1R3P/1P1KP1P1/8/8/8 w - -,d4e3
r1b1kb1r/1pqn1ppp/p2ppn2/8/2PNP3/2NBB3/PP3PPP/R2Q1RK1 w kq -,f2f4
8/5p2/4p1k1/4b1p1/pPr5/P1N1R3/6K1/8 w - -,c3a4
2r2rk1/1b2qppp/4p3/8/3N4/2Pn4/P1Q3PP/3R1RK1 w - -,c2d3
8/p2Q3p/6p1/1P1n1k2/5r2/2P1q3/1P5P/R6K b - -,e3e6
r2q1rk1/pb2bp1p/1p2pnp1/2ppB3/3P4/2PBPN1Q/PP3PPP/R3K2R b KQ -,f6d7
r4rk1/2q2p1p/1np3p1/p1p5/2PbQP2/P1N2B1P/1P4P1/1R3R1K b - -,b6c4
2bqk1nr/r4pbp/p3p1p1/1ppp4/3nPP2/1BNP1N2/PPP3PP/R1BQ1RK1 w k d6,e4d5
5q1k/6p1/1pK4p/p2Q4/P2N1P2/1P6/8/8 w - -,d5e5
r1bqk1nr/pp2ppbp/2np2p1/2p5/4PP2/5NP1/PPPP2BP/RNBQ1RK1 b kq -,g8f6:e7e6
r2q1rk1/pbpnppb1/1p3np1/7p/3PN2P/2PB1N2/PPQ2PP1/R1B1K2R w KQ -,c1g5
6rk/1p5p/p2p1p2/P1pPpP1R/4P3/2P5/1P4PP/6K1 w - -,h5h6
5rk1/4qpp1/1R6/2p5/2P1P1pP/3P2Q1/r7/6RK b - -,f8d8
8/4k3/4p3/7p/2p2P1P/1rK5/1P1R4/8 w - -,c3c4
6k1/2R2p1p/6p1/3br3/P7/1P6/6PP/R6K w - -,c7c5
r2q1rk1/p2n1p1n/7Q/1p3p1p/3P3P/1B3P2/PP6/2KR3R w - -,h1g1
2r1k2r/3qbpp1/3n4/p2Pp1p1/PPp1P1P1/Q4P1P/N6R/2R1KB2 b k -,e8g8
3r2k1/pp6/7p/3P2p1/1P3NP1/3b3P/5P2/B5K1 w - g6,f4d3
3r2k1/p4r1p/1p3Pp1/2qp1p2/3N4/3Qn2P/PP4P1/6K1 w - -,d3e3
r2q1rk1/pb4pp/1p6/2nN1p2/4n3/3BPN2/PPQ2PPP/2RR2K1 b - -,a8c8
r3r1k1/1q5p/4ppp1/p3Q3/P3R3/1Pp5/2P2PPP/3R2K1 w - -,e5d4
r1bnk2r/4bppp/p3pn2/1p2N1B1/8/2N5/PPP1BPPP/2KR3R b kq -,c8b7
r5k1/1bnqppbp/3p2p1/3PP3/r1p2B2/PN4P1/1P3PBP/1R1QR1K1 w - -,e5d6
3r3k/1q1r1p1p/2n1n1pb/p1pNp3/1p2P3/PPPRN2P/1BQ2PP1/3R3K w - -,e3c4
rnbqkbnr/ppp1pppp/8/3p4/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq e3,d5e4:e7e6
8/B3k2p/Bnb1p1p1/8/2PK4/5P1P/6P1/8 b - -,b6d7
r2q3k/pb3rpp/3p1P2/1pp1p3/4PnNP/3P1B2/PPP2P1K/R2Q2R1 w - -,g1g3
1k6/8/5p1P/r7/8/1p4P1/p4PK1/7R b - -,a5a7
3r2k1/p4p1p/1q2p1p1/2p5/3R4/1P6/P3QPPP/5RK1 b - -,c5d4
1k2r3/2p1rpp1/pq6/1p1PP3/5P2/1p4Pp/P1Q1R2P/4RK2 w - -,a2b3
2r2r2/pp1bpq1k/2np2pp/3N1n2/2P5/4N3/PP1QBPPP/1R3RK1 w - -,f2f4
2r1k2r/3nppb1/1qp1b2p/p2pP3/Pp1P1B2/1N1BQ2P/1PP3P1/R4RK1 w k -,e3g3
3qkb1r/1r3p2/p2pp1p1/3pP2p/2pP1P1P/P4Q1R/1PP3P1/1KBR4 w k -,g2g4
1r3rk1/2qnppbp/p4np1/1ppN4/1PP5/P3P2P/4BPP1/1RBQ1RK1 b - -,f6d5
5k2/5p1p/B3p3/2p2p2/3b4/6P1/P1R2PKP/3r4 w - -,a2a4
r3kb1r/pp1qnpp1/2n1p3/2p1P3/2Pp1P2/3P2QP/PPNB2B1/2KR3R w kq -,g2e4
2rqrbk1/3n1pp1/bp2p2p/pN1pP2P/3P1B2/PP4P1/3Q1PB1/R1R3K1 w - -,b5d6
8/2kb1p2/4p1p1/1pr3Pp/4PP1P/PK1B4/3R4/8 b - -,c7b6
1r1q1rk1/1b1nppbp/pp1p2p1/2n5/P2NP3/1PN1B1PP/2PQ1PB1/3R1RK1 w - -,f1e1
4r3/1p4k1/2pB1R1p/4P1p1/1P6/8/1P2q3/1K3R2 b - -,e2e4
r1b1kb1r/pp4pp/1n2Pp2/4p3/8/1PN2N2/1P3PPP/R1BR2K1 b kq -,c8e6
8/1rn3kp/R5p1/8/1P2PPP1/4K2P/8/8 w - -,a6a4
3rbqk1/1p3p2/p1nrp2p/3P2pP/4Q3/PB3N2/1P3PP1/3RR1K1 b - -,e6d5
r1b2rk1/1pq1bppp/p1nppn2/8/4PP2/1NNBBQ2/PPP3PP/1K1R3R b - -,b7b5
8/P5R1/r7/5P1p/7k/5K2/8/8 b - -,h4h3
1r6/4k3/3pp2p/4b1pP/4P3/prP2P2/1PK2P2/1R1R4 b - -,a3a2
8/7p/6p1/2R1p1k1/2P3P1/5K2/7r/8 b - -,h2h3
5r2/2r3bk/p2p2p1/1p1Pp2p/1P2Rn2/P1P2B2/5qPP/BR1Q3K w - -,b1b2
r1r3k1/1bpnqpp1/1p1p1n1p/3Pp3/1PP1P3/2N5/2Q1BPPP/1RB2RK1 w - -,f1d1
8/2rbb2k/3p1p2/2nP3P/2N1PKP1/R1P5/2B5/8 b - -,e7f8
8/1R4bk/7p/8/3pPp2/7P/6PK/8 w - -,h2g1
r1b1k2r/pp1nqppp/3p1n2/2pPp3/Q1P1P2P/P1PB1P2/4N1P1/R1B1K2R b KQkq -,h7h5
2r2rk1/3n2pp/3bpn2/2qp2N1/2p1P3/6PP/PPQN1PK1/R1B2R2 b - -,c8e8
1br1q1k1/pb4p1/2n1p3/2Bp4/5rn1/2N2N1Q/PPP1B1PP/3R1R1K b - -,c6d8
2k2q2/1pp4p/5p2/p7/P1Pr1P2/5QPP/1PKbB3/7R w - -,h1d1
2k2r2/p1p2Br1/Pp5p/2p1PKp1/6P1/1PB5/2P3P1/7R w - -,e5e6
1r2r3/p1Q3k1/6pp/2p2b2/8/2N1q3/PPP3PP/1K1R1R2 b - -,g7h8
4r1k1/p2b2p1/1pp3qr/3p1p2/3P1P2/1P1RP1P1/P3Q1Bn/R5KN b - -,g8f7
4r1k1/5pbp/3n2p1/4p3/q7/2QPPB2/5PPP/2RR2K1 w - -,f3c6
r1bq1rk1/pp1np1bp/2np2p1/2P2p2/2P5/P1N2NP1/3PPPBP/1RBQ1RK1 b - -,d7c5
4b3/4q2k/2p3pp/1pPprp2/5R2/P1Q1P3/6PP/2R4K w - -,c1e1
5r1k/2q1r2p/p2p1p1N/2pPn3/PpP1P3/1P5b/3QR1B1/R5K1 w - -,d2f4
r1b1rnk1/1q1n2bp/p2pNp2/1p1P1Pp1/2pBP3/2N5/PP1Q2PP/1B2RRK1 b - -,b5b4
2rr2k1/1bq2pnp/4p3/p1b3Pp/1p1N1P2/2P1Q2B/PP1RN3/1K1R4 b - -,c7b6
3r1r1k/1b4bp/1q6/1N3p1Q/2BppP2/8/PP4PP/2R2R1K b - -,d4d3
2r5/6pk/3P4/2n1Bp2/p4Pp1/P3q1P1/6QP/1R5K b - -,c5e4
r1b1k2r/3nnpp1/p3p2p/qpbpP1P1/5B2/2NB1N2/PPP1QP1P/2KR3R w kq -,h1g1
2rqr1k1/1p1bppbp/2pp1np1/p1nP4/P3PN2/2N1B1PP/1PPQ1PB1/R4RK1 b - -,c6d5
1r4k1/3q1rpp/1p1Bbp2/p7/8/QnNP2P1/4PPBP/1R4K1 b - -,b8d8
2k3r1/ppN2r1p/8/2bq4/PP3Q2/5P1P/2P4P/R4R1K b - -,d5d7
r1b1k2r/ppqpbppp/2n1pn2/8/4P3/PNN1B3/1PP2PPP/R2QKB1R w KQkq -,f1e2
1r6/3b3p/pn1k1R2/1p1PpP2/5r2/5B2/PPP3PP/2K4R b - -,d6e7
5k2/R7/1p6/7p/P7/1P6/2r3PK/8 w - -,a7b7
8/5p2/R5k1/6P1/1r3P1K/6P1/8/8 b - -,g6g7
2r5/8/p2p4/1p4R1/2q1k2Q/2P5/PP6/1K6 b - -,e4d3
3r2k1/1b3pp1/pn1qp2p/2p5/4P3/P1Q2P2/1Pr1BNPP/2R3K1 w - -,c1c2
2q2r1k/6pp/pn5r/1pbPp3/1N2BP2/1QPR4/PP3P1P/5RK1 b - -,e5f4
2kr4/1pp1pp1p/p1b2p1b/8/4P3/2N5/PPP2PPP/4K1NR w - -,g1f3
6k1/1p3pb1/b1P1p2p/P5p1/3P4/1R2B1P1/5P1P/6K1 b - -,b7c6
2rqk2r/1b2bppp/pp1ppn2/2B5/2PQP3/1PN2NP1/P4PBP/R2R2K1 b k -,d6c5
1r1q1rk1/4bppp/b1nppn2/p1p5/1p2P1P1/3PBN1P/PPPQNPB1/R4RK1 w - -,e2g3
4r3/1p2q1kp/p1p5/5Qn1/8/2PB4/PP4P1/5R1K w - -,f5g4
4r3/1b4kp/3p1pp1/1prP3n/4P3/1R2NPP1/7P/4RBK1 b - -,f6f5
rnbqkb1r/ppp1pp1p/3p1np1/8/1P1P4/5N2/PBP1PPPP/RN1QKB1R b KQkq -,f8g7
5r2/p1p2kp1/4r1b1/1p2Pq2/4p3/2P1B3/PP3P1Q/2K3RR w - -,g1g5
r2q1rk1/1bp1b1p1/1p1p1n1p/pP1Ppp2/P1P5/R1B3P1/3NPPBP/3Q1RK1 w - -,d1c2
r1b1r1k1/ppp1npbp/5q2/3p1pp1/1P1P4/2PBPN2/P2N1PPP/R2Q1RK1 w - -,d1c2
2rqk2r/4ppb1/1n1p1npp/1bp5/2N2PP1/P2PPN1P/8/B1RBQRK1 b k -,b6c4
2r3k1/3b1p1p/3P2p1/r7/ppB5/2b1B1P1/P4P1P/3R1RK1 w - -,e3b6
8/1Q5p/3K1ppk/4r3/4P3/8/6PP/8 w - -,h2h4
r2q1rk1/pp1nbppp/2pp1n2/4p3/2PPP3/2N1BB1P/PP3PP1/R2QK2R w KQ -,e1g1
3q4/1p4kp/6p1/3PQ2n/pP1p1r1P/P7/3R1P2/5BK1 b - -,g7h6
8/6K1/4k3/4P3/6P1/8/4R1Pr/8 b - -,h2h4
2r1q2k/pp1bb1pp/2n1p2n/3pP2Q/3P1N2/2PB4/6PP/R1B2NK1 w - -,h5h3
r1bq1rk1/pp4pp/2nbp3/5p2/5B2/2PB1N2/PP2QPPP/RN3RK1 b - -,d6f4
3q1rk1/1bpn2pp/1p1p4/3Ppp2/1PP1n3/3BPN2/2Q2PPP/B4RK1 b - -,b6b5
k1r4r/pp5b/2n2p1p/3p4/3P1q2/P1B1RP2/R1P3P1/4QBK1 b - -,c6d4
r2q1rk1/1p2np2/2ppbbpp/1P2p3/2P5/2NPP1P1/3N1PBP/1R1Q1RK1 w - -,d2b3
7k/ppp2Bp1/1bb4p/4r3/5B1P/2P5/PP4P1/2KR4 b - -,e5f5
3r4/5qk1/3bRn1p/2p2Q2/p1Pp1P2/6PP/PP6/4R1K1 b - -,d6f8
2k5/1p6/p3N3/2PP2K1/7R/8/r7/8 b - -,b7b6
5rk1/1p5p/pN1pQ3/P2P4/1P1bq1p1/2p3P1/5P1P/2R3K1 b - -,e4e6
2r2rk1/4ppbp/2n3p1/p4b2/1p2n2N/2P5/PP1BBPPP/RN1R2K1 b - -,e4d2
1rbqr1k1/ppn2p1p/3p1bp1/2pPn3/4PB2/P1N2N2/1PQ1BPPP/1R2R1K1 w - -,f3e5
1R6/1P3p1p/4b3/4kp2/8/8/1r2N1PP/4K3 b - -,f5f4
8/8/1pk3pp/pR2K3/PP5P/2r3P1/8/8 b - -,a5b4
rr6/3bbk1p/2p1ppp1/p2q4/3PN3/2Q2P2/PP3BPP/R1R3K1 b - -,a5a4
rn1qkb1r/pp2pppp/2p2nb1/3pP3/8/3P2P1/PPPN1PBP/R1BQK1NR b KQkq -,f6d7
7r/p1R1rpk1/1p5p/4q1p1/1P6/P4PP1/5PK1/2Q4R w - -,c7e7
r2r3k/pp4bp/4q1p1/4pp2/2nP4/2P3QP/P1R1NPP1/1RB3K1 b - -,b7b6
r4qk1/1pnnp1bp/p2p2p1/2pP4/P3NB2/4N3/1PP1QPPP/3R1RK1 b - -,f8f4
r7/1p2k1p1/1P2n3/P1p1P2p/4K2P/R5P1/3B4/8 w - -,a3d3
8/5p1k/p3pB2/4P2P/1bR5/8/PPK5/6r1 b - -,a6a5
2r3r1/pp1bk2p/4qp2/3p1p2/1P1P4/P1N1P1Q1/6PP/2R2RK1 w - -,g3f3
8/1Q3pkp/6p1/p1qp4/7P/1P4P1/5PK1/8 w - -,g2f3
2r4r/p4kb1/1p1n2pp/2pPp1P1/P1P1Pp1P/5P2/3NKB2/2R4R w - -,g5h6
3rr3/Rp3pk1/2pp1bn1/3Pp1p1/1PP1P1qp/5NPb/P1Q2P1P/2BR2KB w - -,a7b7
8/8/8/r7/3p4/6k1/4Bp2/3N1K2 b - -,a5a7
R5B1/4r2p/8/p2p1p1p/2nk1K2/8/8/8 b - -,h5h4
3k1b2/1p3p1r/2p5/p4Npp/2n1p2P/2B1P3/PPP3P1/5RK1 w - -,b2b3
rnbr2k1/p1q1ppbn/2pp2p1/1p4Pp/3PP2P/2N1BP1N/PPPQ4/2KR1B1R w - -,f3f4
r1q3k1/pbpRQ1bp/2p3p1/5p2/2P5/BP3B2/P5PP/2K5 b - -,c8f8
1r6/3n1p2/1p1p1k2/p1pP1Pp1/P1P2pP1/1P1B3P/4RP2/6K1 b - -,d7e5
4R1r1/p1q2k2/3b4/1Q1Pppr1/6P1/1P5P/P1B2P2/6RK w - -,e8g8
8/2r2pkp/6p1/2b1p3/1pB1P1P1/p7/P1R4P/5K2 b - -,c7e7
2r4r/kp1q2b1/pp1Q3p/8/5B1P/5P1b/PPR5/1K5R w - -,h1h3
r2qkb1r/pp3p1p/2bp1p2/2pN4/2P1P3/3P1N2/PP1Q2PP/R4RK1 w kq -,f3h4
5k2/2r5/5RRp/2r5/8/P7/7P/7K b - -,f8e7
r2R1r2/1K4pk/1R5p/pP5P/2P3P1/8/8/8 b - -,f8d8
3rr3/p5nk/bp4pp/nN2qp2/P1P5/3Q1BPP/3N1P2/2RR2K1 w - -,f3d5
4r1k1/1pq4p/p1b1p1p1/2p2r2/2P2P2/4B1Q1/P1P3PP/3R1R1K w - -,e3c1
r1b2nk1/pp6/2pb1r1p/3pN2q/3P1p1P/4PBP1/PP3P2/2RQ1RK1 b - -,h5e8
r2qkb1r/pp3ppp/2n1pn2/3p4/3P2b1/1P3N2/PBP1BPPP/RN1QK2R w KQkq -,e1g1
1rr3k1/1b1qn1bp/3p2p1/Rp1Pp3/1P2p3/4BPP1/1N1Q3P/1R3BK1 w - -,f3e4
2rq1rk1/pb1nbppp/1p1ppn2/8/1PPP4/P1NB1N2/5PPP/R1BQR1K1 w - -,c1b2
4r1k1/1pBb1p2/1Np2R1p/p1P3p1/P1P1r3/6P1/7P/R5K1 w - -,b6d7
r3k1nr/p1p3pp/2ppp3/8/3bPP1q/5Q2/PPP3PP/RNB2R1K w kq -,f3b3
5rk1/5pb1/q2p1np1/2pPn3/4P3/2N1BPPp/1P1N3P/3Q1RK1 b - -,f8b8
4k3/ppp2p2/5pr1/4p3/1P2P3/2P2RP1/2qN1Q2/2n4K b - -,c2d1
1R1qr1k1/p1p1bpp1/6p1/p2P4/2p5/5N1P/P1P2PP1/3QR1K1 b - -,d8b8
r4rk1/3qn1bp/2p1b1p1/p2pPp2/3P4/NP4P1/P5BP/1RBQ1R1K b - -,h7h6
3rnrk1/pp3pbp/4b1p1/4p3/1pP1P3/P1N1B3/4BPPP/R4RK1 w - -,a3b4
2r5/5k1p/pnr1pp2/3p2p1/1b1P2P1/1P1KB2P/P1RR1P2/1N6 b - -,b4d2
1r4k1/p4p2/2pb1p1p/8/N1P5/8/P4PPP/4R1K1 w - -,a4c3
2r1r1k1/1pq1bppp/p2pbn2/4p3/4P3/1BNQ1N2/PPP2PPP/R3R1K1 w - -,a1c1
3r2k1/pp3pp1/2p5/2P3N1/PQ5p/4PPq1/4b1P1/4R1K1 b - -,g3g5
2kr2r1/pp5p/2p1pn2/2q1pp2/7Q/1PP2PP1/P3N2P/R1b2R1K w - -,h4f6
r7/pp6/3p1k2/2nB4/2P2pP1/1P1b1N2/P5K1/4R2R b - -,a7a5
rn1q1rk1/pb2bppp/1pp1pn2/3p4/2PP4/1P3NP1/PB1NPPBP/R2Q1RK1 b - -,b8d7:b8a6
3rk2r/1p4pp/p1nBbp2/4p3/6P1/2P4P/P1P2PB1/1R1R2K1 b k -,e6c8
2kr3r/ppp1qppp/5n2/4P3/2B5/1P2P3/PB1N1PPP/3R1RK1 b - -,f6g4
5k2/6p1/8/ppr3pP/6P1/3RPP2/PK6/8 b - -,f8f7
3k4/p4p2/2BP2p1/1p2r3/1P2N3/2P5/P4K1P/8 b - -,a7a6
