8/8/5k2/5pp1/8/5P1K/3r4/R7 b - -,f6e5
2k1r2r/1ppbn1q1/p2pB1pp/8/3PR3/P4N1P/1PPQ1PP1/2KR4 b - -,d7e6
R7/1p3k2/3p4/5PK1/6P1/pr6/8/8 w - -,a8a7
6k1/ppr2r1p/4p1n1/2Pp1p2/8/PQ4P1/P3qPBP/1RR3K1 w - -,c1e1
k5r1/1R4R1/8/1p6/7r/KPP5/1P6/8 w - -,b7a7
r1q1r3/3b1pk1/3p4/ppnPp1p1/4P1P1/1PP1R3/2B2PQN/R5K1 b - -,e8h8
8/8/5pk1/7p/3b2p1/R5PP/5P1K/4n3 w - -,h3g4
1kn4r/pp3qp1/4p2p/2b1P1pP/2Nn2P1/P4P1K/1Q4B1/R1R5 b - -,f7f4
8/pp1r2k1/5qp1/4Qp1p/5P1P/1P2P3/P4PK1/2R5 b - -,d7e7
2rq1rk1/p3ppbp/2pp2pn/4PP2/1p1PB1P1/4QN1P/PPP5/R4RK1 b - -,d6e5
rn2r1k1/ppqb2bp/2pp2p1/2P1pp2/3Pn3/1P2NNP1/PBQ1PPBP/R2R2K1 b - -,d6c5
1k1r4/1p3pp1/p3p3/4q1p1/1P2P3/3PQ1PP/5PK1/4R3 b - -,d8d4
8/8/6p1/1KBk3p/6nP/6P1/5P2/8 b - -,d5e4
r2q1rk1/1n2bppp/p1pp1n2/1p2p3/1P2P3/P2PBb1P/B1P1NPP1/R2Q1RK1 w - -,g2f3
2rq1rk1/pb2ppbp/1p4pB/8/2nPP3/3B4/P2QNPPP/3R1RK1 w - -,d3c4
r2q1rk1/1p2bppp/n1p2n2/p2b4/3p1B2/P2P1NP1/1P1NPPBP/R1Q2RK1 w - -,c1c2
2bb4/2pk1p2/1p6/p1p1PP2/P1P1K3/1P2N3/1B6/8 b - -,c8b7
5rk1/2n1p2p/1r1p1np1/2pPq3/4P3/1PN5/P3QNPP/2R2RK1 w - -,f2d3
2b1rbk1/1p1n2pp/2p5/4r3/3B4/1NRB2P1/7P/3R2K1 w - -,d3c4
7k/4R2p/3p2p1/8/2R5/r5b1/4PrBK/8 w - -,h2h3
7k/4q2p/3p4/2p1b3/1pP1B1P1/pP1P3Q/P5K1/8 w - -,h3h5
r3r1k1/5pp1/pqp2n1p/8/2pRPB2/7B/PPQ1NK2/R7 b - -,e8e4
2r5/8/4p1R1/3k1p1P/8/6P1/5P2/6K1 w - -,g1g2
r1bQ2k1/5p1p/p1q1r1p1/1p1N4/1B2pP2/5B2/PPP3PP/2K4R b - -,e6e8
1rbqr1k1/3n1pbp/p2p2p1/2pP4/1n2PP2/2N2N1P/1P3BP1/R2QRBK1 b - -,a6a5
r1bqkbnr/pp1p1p1p/2n3p1/2p1p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -,f8g7:d7d6
r4rk1/1b1qbp1p/pp2p1p1/2npP3/P2N1P2/2Q5/1PP1B1PP/R4RBK w - -,a4a5
2bqr1k1/r3npbp/p5p1/1pp5/3n1P2/1B1PNN2/PPP3PP/R1BQR1K1 w - -,f3d4
rn2kb1r/pp2pp1p/2p2np1/2Pp4/1P1P4/5N2/1P2PPPP/1RB1KB1R w Kkq -,e2e3
r5k1/5p2/4pn2/1qNp4/3P4/1PQ1PPp1/3K2P1/7R w - -,c5a4
8/1r3p1R/4p1p1/1kp1P1P1/2pbPP2/3n4/1P1RK3/8 w - -,f4f5
2krr3/qpp2pb1/p3b1pp/4Nn2/2NP4/4B3/PP3PPP/R3RQK1 b - -,c8b8
r1b1r1kb/3n1p2/p2p2p1/qp2p3/8/2N1BN2/PPP1QPP1/2KR3R w - b6,d1d6
8/1p1R4/p1p2k2/2P3p1/1P2K1p1/P4P1r/8/8 w - -,f3g4
r4rk1/pp1np3/3pp1p1/8/2q1PPP1/2b1B3/PPPQ4/2KR3R w - -,b2c3
r1bqkbnr/ppp1pppp/1n6/3P4/2p1PP2/2N5/PP4PP/R1BQKBNR w KQkq -,a2a4
3r1k2/4qp2/p2N1b2/2P5/5PQ1/6P1/1r3B1P/2R4K w - -,c1e1
r4rk1/4Bp1n/1p1p2p1/pBqP3p/P1P1p2Q/1n3P2/2R3PP/5R1K b - -,b3d4
rn1qk3/1p5r/2pB2pp/p4p2/2b1p2P/6P1/PP2PPB1/R2QK2R b KQq -,h7d7
5rk1/p2q3p/bp4pQ/3Pp3/4n2B/2R2P2/P5PP/2N3K1 w - -,c3c6
r5k1/3nbp1p/p3p1p1/3p4/bp1P4/1NrBP1BP/5PP1/3Q1RK1 w - -,d3c2
2b1r2k/p1r2ppp/1npb3q/1p1pN3/3P1P2/1P2PN2/P1Q2PBP/2R3RK b - -,e8f8
3rr3/1q1n1k1p/pp1pp3/3NnpQP/PPPN4/5PP1/6K1/1R1R4 b - -,d7f8
3rr2k/ppp3pP/2b2p2/2q2P2/4nQ2/4PB2/PB5P/R4RK1 b - -,e4g5
r3r1k1/1bq2pbp/p1p2np1/8/P1P1p3/3B2NP/1BQ2PP1/R3R1K1 w - -,g3e4
3r2k1/1p1P4/8/1pr5/p4Bp1/P5P1/1P3PK1/3R4 w - -,d1d4
r4rk1/pb1n1pp1/1pp2n1p/3pN3/3P1P2/qP1BP3/P1QN2PP/R4RK1 w - -,d3f5
r2q1rk1/pp2bpp1/2bp1n1p/4p3/4P3/2NQN3/PPP2PPP/R1B2RK1 b - -,f8e8
4r1k1/pp3p1p/8/3p4/2PPrn2/1P2B3/P4P2/R5RK b - -,f4g6
2rr3k/2p2p2/1pn1qn1p/p3p1p1/P3P3/NPP2N1P/2Q2PP1/3RR1K1 w - -,a3c4
3r3k/5pp1/7p/2Np4/6P1/1P1r1P1P/P1R3K1/8 b - -,d3e3
3r2k1/5pnp/pp1P1P2/2p5/P3R3/4B3/1P5P/6K1 b - -,g7e6
3rb1k1/3r1p2/7b/1P1Ppq1P/5N2/1P3Q2/5R1P/2BR3K b - -,h6f4
1r2r3/p2k1ppp/p1pbbp2/B7/3P4/1P6/P1PN1PPP/R3R1K1 b - -,e6f5
r2r2k1/pp2bppp/4pn2/1Q1q4/3B4/2P2N2/PP3PPP/R3R1K1 w - -,b5e2
rnb1kb1r/pp1p1ppp/1q2pn2/8/2P5/1N6/PP1BPPPP/RN1QKB1R b KQkq -,f6e4
rnbq1rk1/1p2ppbp/2pp1np1/p7/P1PPP3/2N1BP2/1P1Q2PP/R3KBNR w KQ -,f1d3
1rbb1r2/6kp/3p2p1/pPpPp3/2P1B3/6P1/R4PK1/1RN5 b - -,h7h5
r1bq1rk1/1pp2ppp/2n5/p2p4/4P3/2P1PN2/PPQ3PP/2KR1B1R b - -,d8e7
r7/1p2N1P1/p2r3n/2N1p3/P3P1k1/3PK1p1/1P6/7R b - -,g3g2
5rk1/1p2q2p/2bpp1p1/p1n1br2/2PN4/1P2BP2/P5PP/1R1RQBK1 b - -,f5h5
r2rn3/pb2k3/1pnpp1p1/5pPp/2P2P2/P1B1P2P/1P1R4/2KR1BN1 b - -,a8c8
r1q2rk1/2p1bpp1/p1npbn1p/4p3/PpN1P3/1B1PBN1P/1PP2PP1/R2QR1K1 b - -,f8d8
2r5/5rkp/1R2p1p1/p2qP3/n7/P3Q2P/4BPP1/4R1K1 w - -,b6d6
1K6/8/2k5/5n2/8/1B2B3/8/8 w - -,e3f2
5bk1/R4p2/5n1p/6p1/3P4/4B2P/5P2/6K1 b - -,f8b4
4rk2/2qp1npp/5p2/p1PQ1P2/3P4/7P/P5B1/5RK1 w - -,a2a4
3r2k1/4bb1p/2pn1pp1/8/2pPP3/2P1BQ1P/1q1NN1P1/2R4K w - -,c1b1
1r1q1bk1/p5rp/1p1pPnn1/4p1p1/1P2Pp2/5P2/P1Q1BBPP/2R1NRK1 w - -,e1d3
2r1kb1r/1p1b1p1p/pqn1p2p/3pP3/3P2Q1/2PB4/R2N1PPP/1N3RK1 w k -,g1h1
8/p6r/1p2kB2/3pPnP1/3P2K1/2P1R3/Pb6/8 w - -,e3d3
2k5/p4p2/1bb1p3/7p/3q1P2/P1p3KP/2P1Q3/1R4N1 w - -,g1f3
8/5pk1/R5p1/1r5p/8/6P1/5P1P/5K2 w - h6,h2h4
1r1r2k1/2n1qp1p/1p1b2p1/p1pPn3/P1B1PN2/1P5P/5QP1/2BRR2K w - -,c1b2
r4rk1/ppp4p/3p2p1/2PPp3/1P1nb3/3B1P2/P4KPP/1RR5 w - -,d3e4
r4rk1/1b2qppp/pp1ppb2/2n5/1nP1P3/2N1B3/PPQ1BPPP/1NRR2K1 w - -,c2d2
r2qkb1r/pp1n1ppp/2p2n2/3pp3/2P3b1/3P1NP1/PPQ1PPBP/RNB1K2R w KQkq e6,h2h3
8/3k4/pPp2b2/3p1p1p/1P1P1P2/2B1P3/7P/6K1 b - -,d7c8
5bk1/5pp1/rp2b2p/2p5/2PpP3/R2q1PP1/7P/2B2BK1 w - -,f1d3
8/3B4/8/p2N4/3Kp3/1k1bP3/3n4/8 w - -,d5b6
6k1/1n1qbp1p/1p2p1p1/3p4/Pp1P4/1P2P1P1/3QNPBP/2r3K1 w - -,d2c1
r1b2k2/3p2b1/p2Q2p1/1p6/4P3/2P5/PP4PP/5K2 b - -,f8e8
8/3k4/3p3R/5P2/3N4/4P1K1/5P2/1q6 b - -,b1g1
3r1nk1/pb2b1pp/1p2Pp2/2p5/P3PqN1/1PQ2B2/1B1r1PPP/2R2RK1 w - -,g2g3
R7/6pk/PK1n4/7p/8/6r1/8/8 w - -,a8d8
r2q1rk1/1p2bppp/2b1pn2/p5B1/PnBP4/1QN2N1P/1P3PP1/3RR1K1 w - -,f3e5
r3r1k1/ppqn1ppp/2p1bn2/4p3/N1P5/BP4P1/P1Q1PPBP/R2R2K1 b - -,a8d8
r1b2r2/1p2bq1k/2pp1pp1/p5np/P1P1P3/1P2NP1P/1Q1RB1P1/B2R2K1 b - -,f7e6
5N2/2n5/4p3/P4p2/1kpK1P2/8/8/8 w - -,f8d7
r3r1k1/ppqb1ppp/8/3p4/2pP2n1/P1PBP1P1/3B1P1P/R2QR1K1 w - -,d3c2
3r1k2/2qr1pp1/p2ppb1p/2p4P/N1P3P1/1P2PQ2/P2R1PK1/3R4 w - -,d2d3
2kr1b2/1bq2p1r/p2pp1np/1p2n2N/3NP1P1/7P/PPP2QB1/1KBR1R2 b - -,c8b8
8/2k4p/2p2p2/5P2/2n3P1/PRNr4/5K1P/8 b - -,c7c8
8/5p2/p3k1p1/2p5/2P2PK1/1P6/P7/8 b - -,e6f6
r4rk1/p4pp1/7p/2pR3q/2B5/Q3PN1P/PPb2PP1/6K1 b - -,h5g6
8/1p1k2r1/p3prp1/2P3Np/3PR3/4K3/P7/7R w - -,h1b1
6k1/p3q1bp/2p5/2Nb2p1/1P1Pp1Q1/P3P2P/6B1/6K1 w - -,c5e4
8/4pk1p/1n2p1p1/1B1pP3/1P3P2/P2R2PP/5K2/r7 w - -,f2e3
rnbqk1nr/1pp1ppbp/p2p2p1/8/3PP3/2PB3P/PP3PP1/RNBQK1NR b KQkq -,b7b5
r1bq1rk1/pp3pp1/1bp3np/3np3/B2P4/2P2NNP/PP3PP1/R1BQR1K1 b - -,e5d4
5rk1/ppp5/7p/1P1b4/P2P1P2/5p2/5PrP/1R3R1K w - -,b1c1
8/5pp1/6k1/8/6p1/5K1P/5P2/8 w - -,h3g4
1r1q3r/3kbpQ1/7p/2pp3P/p4P2/2P5/PP4P1/1RB1R2K w - -,g7f7
r2r2k1/5pbp/1nq3p1/1Np5/P4P2/R5PP/1PQ4K/2B4R b - -,b6a4
r1bq1rk1/pp3pp1/n2b3p/3Bp3/8/1Q2P1P1/PP1P1P1P/R1B1K1NR w KQ -,g1e2
2r2bk1/5pp1/r2p3p/n3p3/p1P1P3/PnN1BPP1/1P2B2P/3R1RK1 w - -,c4c5
b2rr3/p2q2kp/1pn2pp1/2pBp3/2P5/PNQP2P1/4PP1P/1R2R1K1 b - -,d7h3
8/5ppp/2nkp3/pp6/3PPPP1/3NK3/P6P/8 w - -,h2h4
r5k1/5p1p/2R1b1p1/1p6/3P4/1p3P2/P3B1PP/6K1 w - -,a2b3
8/5kpp/3r1n2/2ppR3/5P2/1PN3P1/2K4P/8 w - -,h2h3
rn2r1k1/1p2q2p/p2p2pb/2pP3B/P3b3/3QP2P/1P1N2PB/R4RK1 w - -,d2e4
r2q1rk1/1bpp1ppp/p1nb1n2/1p2p1B1/4P3/1BPP1N2/PP3PPP/RN1Q1RK1 b - -,h7h6
q5k1/6p1/2p1r2p/1pR1pp2/p7/P2PB1P1/1P2PP1P/4R1K1 w - f6,e3d2
1qr2rk1/4ppbp/3p1np1/1P6/4P2Q/1bN2N1P/1P1B1PP1/2R1R1K1 b - -,e7e5
r1b2rk1/p4pbp/1pn2np1/2p1p3/2P1P3/2N1BP2/PP1RN1PP/4KB1R w K -,c3d5
r1bq1rk1/1p1nbppp/1npp4/p3p3/P2PP3/1BN2N1P/1PP2PP1/R1BQR1K1 w - -,c1e3:c3e2
2kr3r/1bq1npb1/1n1p2pp/1BpP4/8/2N1BN1P/PP1Q1PP1/1K1R3R w - -,d2c2
8/5p2/3k2pp/1B1P4/p4PKP/2r3P1/P7/8 b - -,c3a3
5b1k/4n3/p3q2p/3pp3/4Q3/4B1P1/P4PK1/1R6 w - -,e4f3
2rqkb1r/1p1n1p2/p1p1p1p1/3pPn2/2PP1P1p/1P1B1Q1P/P3NBP1/R4RK1 w k -,c4c5
r4rk1/p3bppp/1qp1pn2/3p4/Q2P4/1b4P1/PP1BPPBP/R1R3K1 w - -,a2b3
r1bq1rk1/pp2bppp/4pn2/2N5/2B5/P1N1P3/1P3PPP/R1BQK2R b KQ -,d8d1
r4bk1/6pp/q3P3/1n3p2/1P1B4/3R1P2/2Q4P/1K4R1 w - -,e6e7
2r1r1k1/4bppp/p2p1n2/qp1P4/3Q4/NP3B2/P1P2PPP/R3R1K1 w - -,d4b2
r7/1p1kbp2/4p3/p2pPn2/P1rB1Ppp/1NP5/1P4PP/R4RK1 b - -,f5d4
3r1rk1/1bq1bppp/2p2n2/ppB1p3/4P3/P1PB1N1P/1P2QPP1/RN1R2K1 b - -,e7c5
r6k/2p3bp/1p1p2q1/1P1Pp3/4PpQ1/1PB2K2/7P/6R1 b - -,g6g4
8/8/4P1K1/7p/2k5/6P1/2p5/8 w - -,e6e7
r1bqkb1r/p1pn1ppp/1p2pn2/3p4/3P4/3BPN2/PPPN1PPP/R1BQK2R w KQkq -,e1g1
r1b1k2r/ppp1qppp/3bpn2/8/3P4/4BN2/PPPQ1PPP/R3KB1R w KQkq -,f1d3
r2q1rk1/2p1b1pp/p1nppn2/1p2p3/4P3/P2P1N2/1PP2PPP/RNBQR1K1 w - -,d3d4
2q5/p5Q1/1p2k1pp/5p2/4r3/2P3P1/P4P1P/4R1K1 w - -,e1d1
8/6pp/5p2/1kn5/p7/4PP2/2N1K1PP/8 b - -,b5c4
r1r3k1/1ppbqppp/3p4/p2P4/3Q4/4P1P1/PP3PBP/2R2RK1 w - -,f1d1
8/5r2/8/4K3/R5P1/3kp3/8/8 w - -,a4a3
8/R7/4k3/8/8/P3PPP1/1PKN3r/8 b - -,e6d5
3rr1k1/1b1n1pb1/1q1p1npp/1p2p3/3NPP2/1P3Q2/PB1N2PP/1B1R1R1K w - -,f4e5
8/6p1/2pk1p1p/2Np1b2/1N1P4/n3PPP1/4K2P/8 b - -,g7g5
1B6/p4k2/8/1P1b2p1/P1pP1p2/8/3K4/8 b - -,f4f3
6k1/5pb1/8/5bQ1/p1qrp3/PpB2p2/1P3N2/K5R1 b - -,f5g6
2br4/ppR2p2/5k1p/3P2p1/1P4P1/P6P/6B1/6K1 w - -,g1f2
1Nb2q2/pkP5/1p1r1npp/1B1p1p2/5P2/Q6P/P1P2PP1/4R1K1 b - -,a7a5
8/4pk1p/p1r1bpp1/R7/8/P3P1BP/5PPK/8 b - -,e6c4
4k3/1p1r1p1p/p7/2ppP3/P2r1R2/8/1PP3PP/5RK1 b - -,d7e7
8/6p1/6K1/k7/8/8/8/8 w - -,g6g7
r1bqnrk1/pn3pbp/1p1p2p1/2pPp3/1PP1P3/P1N2N1P/2Q1BPP1/R1B2RK1 b - -,h7h6
2rr4/4ppk1/q1n3p1/p2pPb2/3P4/p4N1P/BR1Q1PP1/5RK1 w - -,b2b3
r1b1r1k1/p2q3p/1p2N1p1/2pP1p2/2P1pB2/8/P4PPP/Q3RBK1 b - -,e8e6
r4r2/p2n2pk/1pp3np/q4p2/1b1P4/5NB1/PPQ1NPPP/2R2RK1 b - -,a5a2
8/1r6/1p2p1k1/p1p1P2p/P1P2P2/4n2K/3R4/4B3 w - -,d2d8
6k1/2q1pp1p/rp4p1/3p4/3P4/PRP4P/1Q3PP1/6K1 b - -,e7e6
r2qrbk1/1b3ppp/pp3n2/2pPp3/P3P3/2NB3P/1P1N1PP1/R2QR1K1 b - -,f8d6
rnbqr1k1/2p2pbp/pp1P2p1/4p3/P1B1N3/1P3N2/2P2PPP/R2QR1K1 b - -,c8e6
rnbqn1k1/pp2rp1p/3p2p1/2pP4/2P1NQP1/3B1N1P/PP3R2/R5K1 b - -,b8d7
rnbq1rk1/pp2bppp/2pp1n2/8/3NPB2/2N5/PPPQ1PPP/R3KB1R w KQ -,e1c1
r2n1bk1/7p/pq1p4/1p1Pp1B1/1P5N/7P/PQ3Pb1/2R3K1 w - -,g1g2
8/4r1p1/2pb2K1/1pk5/3p4/6r1/6B1/3Q4 w - -,g6h7
2rq3r/pp1pkppp/2n1pn2/2b5/4P3/2N5/PPP1BPPP/R1BQK2R b KQ -,a7a6
r1r5/p1pq2kp/1p4p1/1n1Pp3/2N2Q2/1P1R4/P5PP/2R3K1 w - -,c4e5
2q4r/p2k1p2/1pr1pPp1/n2pP2p/3P4/PPb2R2/1Q1B2PP/3RK3 w - -,d2c3
r1b1kbnr/2q2ppp/p1npp3/2p5/1p2PP2/2NP1NP1/PPP3BP/R1BQ1RK1 w kq -,c3e2
r3k2r/1bqn1p1p/p2p1bp1/1pp5/4PPP1/P1N5/1PPQBN1P/R3K2R w KQkq -,e2b5
2n1kb2/3b1p1p/pq1p1p2/1p2pPrQ/2P1P3/1N6/P1PRB1PP/1K1R4 w - -,h5h7
b7/3nbk1p/1r2pp2/1p4p1/3PPB2/3N2P1/1R3PBP/5K2 w - g6,f4e3
5n2/p4Nk1/1p1P2p1/4p3/4P1n1/1Q6/PPK5/5q2 w - -,f7d8
r5r1/pp1k3p/2p2p2/2n5/4PBbP/2P1KN2/P1P5/6RR w - -,g1d1
r1bq1rk1/p4ppp/1p1b1n2/3pn3/7Q/PNN1P3/1P1BBPPP/R3K2R w KQ -,f2f3
5qk1/1p3p1p/1r2n1p1/4P3/8/6PP/2Q2PBK/3R4 w - -,d1d7
6k1/p7/1pn1pB1b/3pPr2/3P1P2/2P3P1/P7/4R1K1 b - -,h6f8
4n1k1/pp5p/2bn2p1/8/5PP1/2N2P1P/1P2B3/3R2K1 w - -,g1f2
6k1/4Q3/4p1p1/8/6K1/3q3P/8/8 b - -,d3f5
1Q6/5pk1/4b3/6p1/2p4p/4q2P/1P4B1/7K w - -,h1h2
2r2r1k/1p1nb1pp/p2ppnq1/4p3/1PP1P3/P1N1B2P/4QPP1/1BRR2K1 w - -,f2f4
4B3/8/8/6p1/3k1pP1/8/3K4/8 w - -,e8c6
4q3/6k1/p6p/1pp2ppP/3P4/2PQ4/5PP1/2K5 w - -,d3f5
2rr2k1/1b3pp1/4pn1p/p3N3/1p1PP3/P3R2P/5PPK/1B1R4 w - a6,f2f3
r7/p5pk/2p2r1p/2P4q/4Pn2/1N4Q1/PP1R1P1P/4R2K b - -,a8f8
5bk1/1b2q1p1/p2pNn2/1p6/2n1Pp2/P1NQ4/1PP5/R1B1K3 w Q -,e6f8
r3k2r/4pp2/p2p4/BbpPP3/2B1nP2/b5Pp/P3N3/1R2K2R w Kkq -,c4b5
3B4/8/1R2bpk1/7p/2r2p2/5P1P/6PK/8 b - -,g6f5
r4rk1/1p1n2bp/p1n1pqp1/3p4/5P2/N1P1BBPP/PP2Q3/R4RK1 w - -,a3c2
2Rb4/pp3pkp/4pnp1/8/3r1N1P/1B3KP1/P4P2/8 b - h3,d8b6
r2r2k1/1p1n1pp1/2pbpn2/q2p2p1/p1PP2P1/1P1BP2P/PBQN1P2/2RR2K1 b - -,e6e5
3k1r2/3b4/4p3/2qpPp2/3R1P1P/1p1Q4/6PK/8 w - -,d3d2
3qr1k1/1p3ppp/1pn2n2/2r5/3p4/1P3NP1/PBb1PPBP/Q2RR1K1 w - -,b2d4
1rbq1rk1/p3ppbp/2np1np1/1pp5/4PP2/2PP1NP1/PP2Q1BP/RNBR2K1 b - -,d8b6
r1b1kb1r/pp2pppp/1qn2n2/2pp4/3P1B2/2PBP3/PP1N1PPP/R2QK1NR w KQkq -,a1b1
2b4r/2q5/5k1b/4pp1p/8/1Q1R4/PPP3PP/1K2R3 w - -,b3b4
6k1/pR6/1bp3p1/5b1p/8/PPP3P1/4K3/8 b - -,f5g4
6k1/q4p1p/2b1p1p1/3pP3/p1pP1P2/P1P3P1/5RP1/1R4K1 b - -,a7e7
r1bq1rk1/pp1nbppp/3p4/2pP4/2P2P2/3B1N2/P2B2PP/1R1Q1RK1 b - c3,d7f6
1r5k/pp3p2/r7/2R2p2/3P3P/P3PpP1/5P2/1R4K1 w - -,b1b3
3r3r/p1bb1pk1/1p1p1q1p/2pBpPnR/4P1P1/2PPB1Q1/PP1NK3/R7 w - -,a1h1
rnbq1rk1/p1p5/1p1ppn1p/5pp1/2PP4/2bBPNBP/PPQ2PP1/2KR3R w - -,c2c3
r2q1rk1/1pn1bppp/1n2p3/p2pP2b/3P1N2/4BNP1/PP3PBP/R2QR1K1 b - -,h5g4
r2q1rk1/2p2ppp/1pn5/p2pPb2/P2Pn3/1QP1BN2/5PPP/R3KB1R w KQ -,f1e2
r7/pp3p1k/2p4p/2P1p3/1P2Pbb1/2NQ4/P1R1KPP1/4R2q w - -,f2f3
r7/3R4/B3p1kp/1P3pp1/1n6/4PP2/5P1P/6K1 w - -,a6b7
5k2/5p2/Q5p1/3B4/1pP1K3/1P6/P7/4q3 w - -,e4d4
