8/5k1N/6p1/3R4/5p2/4bP1P/6K1/2r5 b - -,f7e6:c1c2
2r2rk1/pnq1ppbp/1pbp1np1/3N4/1PP1P3/4BP2/P1NQB1PP/2R2RK1 b - -,c6d5
4B1k1/pp6/2b5/4R1P1/3p4/8/PP3K1r/8 w - -,f2g3
r2qrbk1/2p2ppp/b2p1n2/np1Np3/p3P3/2PP1N2/PPB1QPPP/R1BR2K1 b - -,f6d5
r4rk1/p2qbpp1/2p1pn1p/3p2B1/4P3/2P4P/PP1N1PP1/R2QR1K1 w - -,g5f4
8/R4p2/5kp1/4n3/8/1P3BKP/Pr3P2/8 w - -,f3e4
r1bq1rk1/bpp2pp1/p1np1n1p/4p3/4P3/1BPP1N1P/PP3PP1/R1BQKN1R w KQ -,c1e3:f1g3
4k3/p1R4p/1p2p3/3r1pp1/1P3P2/4PN2/P3K1Pb/8 b - -,h2g3
5k2/r4pp1/1n2p2p/2RbN3/p2P4/3B2P1/1P3PP1/5K2 b - -,b6d7
2rn2k1/6p1/p4p2/1p3Pp1/8/P1B3P1/1P5P/3R1K2 w - -,d1d6
r1bqkbnr/p4p1p/2pp4/2p1p3/4P1p1/2P2N1P/PP1P1PP1/RNBQ1RK1 w kq -,h3g4
r1q2rk1/1b2bppp/2p1pn2/p1P1N1B1/Pp1P4/1P4P1/4QPBP/R2R2K1 b - -,c8c7
1rq2rk1/2p1p1bp/p5p1/P1Nnp3/Qn1P4/4BP2/1P2BP1P/2R2RK1 w - -,d4e5
r1b2rk1/pp1qb1pp/4p3/2npPp2/3N1PP1/1P6/P1QBB2P/R4RK1 b - g3,g7g6
2r3k1/1p1r1pp1/p6p/4p3/2R5/1P1PP3/1P5P/1K1R4 b - -,c8d8
1rbq1rk1/4n1bp/2n1p1p1/1ppP1p2/5P1N/2NP2P1/1PPB2BP/1R1Q1RK1 b - -,e6d5
r2r4/2q2pkp/p1bppnp1/P1p5/2B1PQ2/1PN2P2/2P3PP/R2R2K1 b - -,f6e8
r3r1k1/n2bppbp/1q1p1np1/1p2P3/1P6/P2B1NNP/1B2QPP1/3RR1K1 b - -,d6e5
8/8/6k1/4N3/4KPP1/8/8/2b5 b - -,g6g7
r1b2rk1/1pqnbp1p/p1npp1p1/8/4PP2/1NNB1R2/PPPBQ1PP/4R1K1 w - -,f3h3
8/5k1p/2r1ppp1/P2p4/1Bn1P3/8/P1r2PPP/R2R1K2 b - -,d5e4
2r1r1k1/1bqn1p1p/ppn1p1p1/3p1PP1/P2NP3/2P4R/1P3QBP/3N1R1K b - -,e6f5
8/6pp/p4k2/2pp4/Pp1P4/1Pb1KNPP/2P5/8 b - -,c5d4
8/5n1p/5B2/5Pp1/3nk1P1/8/5K2/8 w - -,f2g3
b2r4/3r2kp/p5p1/1p2PpP1/2qpnP2/PN1R4/1PP3BP/2RQ2K1 w - -,c2c3
1rbq1rk1/p3n1b1/1pnp2pp/2p1pp2/1PP5/P1NPPNP1/2Q2PBP/1RB2RK1 w - -,b4b5
rnbq1rk1/p3ppbp/1p3np1/2ppN3/3P1B2/2N1P3/PPP1BPPP/R2Q1RK1 b - -,c8b7
5k1r/pp2ppbp/3p1np1/1B6/4P1bP/2P1B3/P1PN4/1K1R3R b - -,a7a6
5nk1/2p3p1/rp1p1p2/3P3R/P1P5/7R/8/6K1 w - -,h5h8
6R1/8/8/8/8/8/5K1p/r6k b - -,a1g1
bqr1r1k1/5pp1/pp1ppb1p/4n3/2P1PB2/PQN2P2/1P4PP/2RR1BK1 w - -,f4g3
r3r2k/pb1q1ppp/1ppPnb2/5N2/4B1Q1/4B1P1/PP3P1P/R2R2K1 b - -,g7g6
4rrk1/2q2pPp/p7/1p3b2/3Bp3/2P1Q3/PP4PP/R5K1 b - -,f7f6
3rr1k1/1ppq2pp/p1p2p2/2b1pP2/2P1R3/3P3Q/PBP2PPP/R5K1 w - -,e4h4
6k1/p3p2p/2p1N1p1/8/r4Bn1/8/5PP1/3R2K1 w - -,f2f3
r3kb1r/pp1npp2/1np3qp/4P3/2pP1RB1/2N5/PP4PP/R1BQ2K1 w kq -,g4h5
3r1rk1/p3bppp/1p4q1/3p4/2bP4/4P1P1/PB1Q1PBP/R1R3K1 w - -,a2a4
8/5pk1/4pbp1/p7/1pqP4/1P2PNP1/P2Q1PK1/8 b - -,c4c6
6k1/5p2/6p1/3N4/1p6/1Q1K4/2P2q2/8 b - -,f2f1
r2qkb1r/1p1b1pp1/p1npp2p/8/4PP2/2NB1N2/PPPQ2PP/R3K2R w KQkq -,e1g1
r2r2k1/1p1q1pp1/2pbpn1p/8/1PPP4/4BBP1/5P1P/1R1Q1RK1 w - -,b4b5
5r1k/1R4pn/2p5/2P2p2/4p1qP/4P3/5PB1/bQ4K1 w - -,b1a1
3r4/1bnq1rkp/p1p2pp1/2Np4/2P5/P3QN2/1P3PPP/3RR1K1 b - -,d7c8
2kr4/1p2qpbp/p1p1b3/2p4Q/8/2NP3P/PPP2P2/R4K1R w - -,a1e1
r2b1r1k/p2Pn2p/1p3p2/8/P1BP4/6P1/3N1P2/2R1R1K1 b - -,a7a6
8/6n1/3p4/2pP2k1/2P5/6K1/2B5/8 b - -,g7e8
8/R3k3/4p1p1/4R1P1/3n1P2/6K1/2r5/8 b - -,e7d6
r3r1k1/p1pn1ppp/2pp1q2/8/4P3/1P1N4/P1P2PPP/R2QR1K1 w - -,f2f3
2r5/1RR2pkp/6p1/p2P4/8/P2n2PP/5PB1/4r1K1 w - -,g2f1
2rqr1k1/ppn2bpp/2pp1n2/3P1pb1/P1P1p3/BPN1P3/1Q1NBPPP/2R2RK1 b - -,f5f4
r1bqk2r/pppp1ppp/8/4P1n1/2PQ4/B1P5/P4PPP/R3KB1R b KQkq -,b7b6
8/2q2p1k/6p1/p2Q4/P7/1P5P/6P1/6K1 b - -,c7c1
2r2rk1/1p2bpp1/pn1pbn1p/q3p3/P3P3/1PN2Q1P/1BPN1PP1/3RRBK1 b - -,f6d7
2n3k1/2P2p1p/p3p1p1/Bp2b3/4P3/5P2/P3BP1P/6K1 w - -,a2a4
r2qr1k1/6bp/n1p2p2/3pPp2/1p1P1Pn1/BP1N1R2/P2Q2B1/R5K1 w - -,a3b4
rn1q1rk1/ppp1ppbp/3p2p1/8/2PPb3/6PB/PP1NPP1P/R1BQ1RK1 b - -,e4c6
6rk/p4p2/1q2p1r1/3p1p1p/5Q2/1P4PP/P3RP2/2R2K2 w - -,c1c7
6k1/8/p1R5/P1Pp2Kp/3P3P/5r2/8/8 b - -,f3d3
1r2r1k1/p2n2b1/2b3p1/2ppp3/5P2/2P1B1P1/PP1RN1BR/2K5 b - -,e5e4
r3rbk1/1pqn1p2/2p1b1p1/p3P3/2PBN1P1/1P3B2/1P2R1K1/2QR4 w - -,c1g5
3rrbk1/2p2p2/p1n1qnpp/1P1bp3/1P2N3/2PP1N1P/2B1QPP1/R1B1R1K1 b - -,a6b5
1r4k1/1p2ppbp/p2p2p1/q1r5/P1P1QB2/1P4P1/4PP1P/2RR2K1 b - -,g7f6
rnb2rk1/4bpp1/1qP1pn1p/pBpp4/3P3B/2N1PN2/P1Q2PPP/R3K2R w KQ -,a1b1
8/8/2Qnk1p1/4p3/P1p2r2/7P/2q2BP1/5RK1 b - -,c4c3
r1r4k/p2n2p1/R4p2/2B1p2p/1P2P3/1b5P/P4PP1/2R3K1 w - -,a2b3
r1b2rk1/1p3ppp/4p3/n1b1P3/p7/P4N2/BP1B1PPP/R2R2K1 b - -,b7b6
8/8/2B5/8/4Pk1p/n2K4/5N2/8 w - -,c6d7
rn1q1rk1/pb1p2pp/1p3n2/3p1N2/8/2Q5/PP2PPPP/R1B1KB1R w KQ -,b2b3
rnbqkbnr/p3pp1p/3p2p1/2pP4/Pp2P3/8/1PP1NPPP/RNBQKB1R w KQkq -,a4a5
8/1nK5/1P6/4N3/8/6k1/8/8 b - -,b7c5
1rbq1rk1/p2n1ppp/8/1pbPp3/3p4/NP4P1/PB2PPBP/R2Q1R1K w - -,a3c2
8/8/6p1/6PN/6Kp/8/7k/8 b - -,g6h5
5b2/3n1p2/B4k2/1K2pPp1/4P1P1/2P5/8/2B5 w - -,c1e3
r2r2k1/4ppbp/1n1p1np1/q1pP4/P3P3/R1N2PP1/1P1NQ1KP/2BR4 b - -,f6d7
1r1r4/p3k3/7p/2p1ppp1/2P5/1P1R1P2/P2K2PP/2R5 b - -,e7e6
r2q1rk1/1bppbpp1/p1n2n1p/1p2p3/4P2B/PB1P1N2/1PP2PPP/RN1Q1RK1 w - -,b1d2
8/3q3k/3r2p1/1P1PQ2p/7P/6P1/3R1PK1/8 b - -,h7g8
r2q1k1r/pb2bp2/1pnp1np1/2p1p2p/2P1PP1N/2NP2PB/PP5P/R1BQR1K1 w - -,e1f1
r4rk1/1pqnppbp/p1b3pn/8/3N4/NQP1B3/PP2BPPP/R4RK1 w - -,a3c2
1R6/1p4kp/1Np1b1p1/p7/P3P3/2P4r/1P6/7K w - -,h1g2
8/2k2p1p/1p1b3P/p1pP1pP1/P1P1rP2/1P2B3/4K3/5R2 w - -,e2f3
1n1qkbnr/rbp2ppp/p3p3/1p2N3/P1p5/6P1/1P1PPPBP/RNBQ1RK1 w k -,a4b5
2n5/8/3p4/1k1Pp1P1/4P1K1/5BP1/2b5/8 b - -,c8e7
3bk3/5p2/2p2p1p/p6P/P3KPP1/2P5/B7/8 b - -,d8e7
r3r1k1/2nq1pbp/b2p1np1/2pP2B1/P1B5/1PN2N1P/2Q2PP1/R2R2K1 b - -,a8b8
r1bqr1k1/p4p1p/2p3p1/8/1Pn1N3/4P1PP/P1Q2PB1/b1B2RK1 w - -,c2c4
3r3k/pb2R1np/1p1p2pN/8/P6b/2Q4P/BPP2rP1/2BR2K1 b - -,f2g2
r2q1rk1/p2bppb1/6pp/2pnN3/3P4/2pB4/PP1B1PPP/R2QR1K1 w - -,b2c3
8/p3k3/4p2p/3pPp2/1b5r/3B1P2/P3Kp2/5R2 b - -,b4c5
1r4k1/pP5p/1n2b1p1/8/5P2/3r1BN1/P1R4K/2R5 w - -,f3g2
r1b1k1nr/p2pppbp/p5p1/2qN4/4P3/2B5/PPP2PPP/R2QK1NR b KQkq -,g7c3
2r2r2/1b1n2k1/p1q3p1/1p1pp2p/P1pP2B1/2P1P2P/1PQN1P2/R3R1K1 w - h6,a4b5
8/2Nn1k2/1p1p2p1/1P5p/2P1pP1P/6P1/6K1/8 w - -,g2f2
8/1pk5/1p2pp1p/1P1p4/2n5/P2K1N2/5PPP/8 w - -,a3a4
rn1r1k2/p4ppn/1bp2q1p/1P1ppN2/3PP1Q1/1BP5/1P3PPP/R1B1R1K1 w - -,d4e5
8/p3kp1p/1p2r1p1/5p2/1PP5/5P2/P3R1PP/4K3 b - -,e7d6
r4rk1/3p1p1p/pQb1pqp1/8/P1B1P3/3P4/1P3PPP/R4RK1 b - -,f8b8
2r3k1/3p2p1/4p2p/3qn2P/pp1N1Q2/4P1P1/PPP2R1K/8 b - -,a4a3
rn2k2r/1pq4p/p1b1Ppp1/P1p1p3/2B2bnB/2N2N2/1PPQ2PP/4RRK1 w kq -,d2d3
5k2/p1n1qp2/1pQ3p1/2pB2p1/P5P1/1P2P2P/5P2/5K2 w - -,d5c4
r1bq2rk/pp1n1pbp/3p1np1/2pPp1B1/2P1P3/2N4P/PP1NBPP1/R2QK2R w KQ -,g2g4
8/8/6k1/8/6RK/7P/6r1/8 b - -,g2g4
r3k2r/1pn2ppp/1qpbb3/5p2/pPNP4/P3P1P1/4NPBP/R1Q1K2R b KQkq -,e6c4
4qk2/6p1/4rb2/5Q2/p4PP1/3R1K1P/8/8 w - -,g4g5
8/8/1r6/8/5Pk1/6P1/1p3K2/1R6 b - -,b6b3
3r2k1/p4ppp/2p1pn2/2P1Q3/2PBP3/Pq3P2/1r4PP/R3K2R b - -,b2g2
2k4r/1p1rb3/p1p5/2P1pbpp/1R6/2P1B1PP/P1K2PB1/7R w - -,g2e4
r3k2r/1pqbbppp/pn1pp3/6P1/4PP2/1NN1B3/PPP1Q2P/2KR3R w kq -,h2h4
8/1p1nk2p/2p2pp1/p1n5/4PP2/2N1K1PP/PP6/5B2 w - -,h3h4
3r3r/5pp1/1pkb1n2/8/8/PbN2R1B/1P3B1P/4R1K1 w - -,e1c1
2r4r/pp2nkpp/5p2/3p1b2/3PP3/5PbP/PB4B1/R2RN1K1 b - e3,f5e6
2rr2k1/4p1bp/p1p1bPp1/qp6/2PP4/1P1BB2P/P3Q1P1/2RR2K1 b - -,b5c4
2r1r3/4q2k/pp1n1bpn/2pPp2p/P1P1P2P/1P3N1Q/1B6/3NRRK1 w - -,b2c1
1k6/1p6/8/4q3/pP6/2KR4/2N5/8 w - -,d3d4
2Q5/r5bk/6p1/2p1pp1p/8/2N2P2/3qB1PP/5RK1 w - -,c8c5
1r4k1/2qr1ppp/p1p2b2/P3p3/1PP1Q3/4B3/5PPP/1R3RK1 w - -,e3b6
rnb2rk1/1p2q1pp/p3p3/2bpPp2/P1P2Q2/3B1N2/1P2NPPP/R4RK1 b - c3,b8c6
r6k/1p2q1rp/p2p1p2/3P1P2/P2pQ3/3BbR2/1P4P1/R6K b - -,e7e4
r1b1r1k1/pp1nppbp/1qp3p1/8/3PP3/2n2N2/PPQ1BPPP/R1B2RK1 w - -,b2c3
8/4K3/6p1/2p5/5k2/8/7p/7R w - -,h1h2
r1b2rk1/pp2pp2/2pq2pp/2nP4/5P2/2Q2N1P/PPP3P1/2KR1B1R w - -,f3e5
r1bqkb1r/p3pppp/2p2n2/np1P4/QPp5/2N2N2/P3PPPP/R1B1KB1R w KQkq b6,a4a5
6r1/1p3r2/p7/3P3k/3QpB2/4P3/PPq3P1/3R2K1 w - -,d1d2
r5k1/q4pbp/3p2p1/4p3/pPPpP3/3P2PP/3Q1PB1/R5K1 b - -,a4a3
r1r5/pp2kp1p/3bpB2/6P1/7n/8/PP2BP1P/1K1R3R b - -,e7d7
6k1/q6p/3pp1p1/8/2pbPP2/3n3P/1P1B2P1/R2N3K w - -,a1a7
2kr1br1/pppq4/4p3/3P1p1p/1PP1n3/1Q2NpPn/PB2B1KP/3R1R2 w - -,f1f3
r5k1/2p2pp1/1npr3p/p2p1N2/8/1P1PP2P/P4PP1/R1R3K1 b - -,d6f6
8/p6R/2p2pk1/2N3b1/3P2P1/1P3K2/3r4/8 w - -,h7d7
r1b2rk1/pp2ppbp/2q3p1/3pP3/3P4/5N2/PP1B1PPP/R2QR1K1 w - -,d1b3
r1bq1rk1/p2n1ppp/1ppbpn2/3p4/2PP4/1PN1PN2/P3BPPP/R1BQ1RK1 w - -,c1b2
r2q1rk1/pb3p2/4p1pp/2pn4/6Q1/1BP4P/PP3PP1/RN2R1K1 w - -,b1d2
8/r4k2/1R1P2pp/2p5/1pP2P1P/1n3P2/2K5/q3R3 w - -,e1a1
5k2/2p3p1/3p3p/1p1P4/2n2P1P/2P3P1/5K2/2B5 b - -,f8f7
2r2rk1/1pqnbb2/p1p1p1p1/4PpPp/2PP1P1P/4BBN1/P1Q5/1R1R2K1 w - -,a2a4
1R6/6k1/1P6/5K2/1r6/6P1/8/8 b - -,b4b5
r3r1k1/2p2bbp/ppPp2p1/3B1p2/PP6/4P1P1/qBQN1P1P/1R3RK1 b - -,f7d5
8/4b3/2k1p3/3pP1p1/K2P2P1/8/4N3/8 b - -,c6b6
1n6/4pk1p/BK2p1p1/1P2P3/3p1P2/P2R2PP/2r5/8 w - -,d3d4
r3k2r/p3ppbp/3p1np1/q1pP2N1/2P3b1/P1N1P3/1BQ2PPP/R4RK1 w - -,c3e4
8/5p2/4p1p1/1p1kP1P1/5P2/3K4/3B4/6b1 w - -,d3c3
3r2k1/1p4pp/pN2rp2/P7/2P5/2B3P1/1P3P1P/2R3K1 b - -,g8f7
1r6/8/6P1/5K2/3k4/8/8/8 w - -,g6g7
rnbq1rk1/p3ppbp/2p2np1/1p6/3PP3/2N1BN2/PPP1B1PP/R2QK2R w KQ b6,e4e5
r3k3/5qp1/pp2pnQ1/2b1p2r/2P4p/1PN1P1P1/PB5P/3R1RK1 w q -,g6d3
4k3/5p2/p3p3/1p1qPp2/1brP1P2/1Q5r/1P3B1P/3R1K2 w - -,b3h3
r1Bq3k/5pp1/p2p1n1p/PppPn2P/4P3/2N3QR/1PP3P1/R3K3 b Q -,a8c8
8/3rbpk1/pB4p1/P6p/1P1R1P2/3K4/6PP/8 b - -,d7b7
5k2/5p2/1bp4r/p1N2b1p/BP1R4/4pP2/P1P3PP/2K5 b - -,a5b4
r4r1k/4pp1p/1pp2npQ/p1p5/3qPP2/2NP4/PPP3P1/2KR3R w - -,g2g4
1r1q1rk1/3bppbp/p2p2p1/1npP4/2n1PP1N/2N2RPP/P5B1/2RQB1K1 b - -,b5d4
8/7p/p2k1pp1/npp5/n4P1P/P1P2b2/2PBB1P1/4K3 w - -,g2f3
5bk1/prB2p1n/2N2np1/3Pp2p/4P2P/P4PP1/4QNK1/1r5R b - -,b7b2
r1bqkb1r/5ppp/p2p1n2/npp1p3/3PP3/1BP2N2/PP3PPP/RNBQR1K1 b kq d3,c5c4
5rk1/3bp1q1/p2p2p1/2rP3p/2P1P1p1/P5P1/1b2QPBN/3R1RK1 w - -,d1d2
5k2/5p2/7p/ppp1PP2/8/R1br1K2/7P/6R1 w - -,f3e4
2kr3r/ppp1b3/2n3qp/2N2p2/3Pp3/2P1Q1P1/PP1N1P2/2KR3R b - -,b7b6
2r1k1r1/1bq2p2/1p1ppb2/pP3P2/P1P4p/3BQ2P/4N1P1/3R1RK1 w - -,d3e4
1r5k/4qpp1/5n1p/3pPQ2/8/P2BP1R1/6PP/6K1 b - -,f6e4
rn2nr2/5p1k/p2p2pP/1ppP4/4Pp1P/2N2B2/PPP2P2/2KR3R b - -,b8d7
4rn1r/p2kb1p1/1pp1pq1p/5p2/2BP1B1P/4Q1P1/PPP2P2/2KRR3 w - -,e3b3
r3kb1r/1bqp1ppp/p3pn2/8/Np2PP2/3BB3/PPPQ2PP/2KRR3 b kq -,f6e4
4k3/ppq2p2/1bp2n2/4p1rp/1PN1P3/2P2QP1/P4PB1/3R2K1 b - -,f6g4
r1q1k2r/pp2npb1/2p3pp/4p1Pn/2P1N2P/4PQ2/PP1B1P2/2KR1BR1 b kq -,c8c7
8/1P6/3r4/8/5Pk1/4R3/4p1p1/6K1 b - -,d6b6
1rn1r1k1/p3qp1p/1p1p1pp1/3R4/4PP2/1PPQ1B1P/1P4P1/R6K b - -,b8b7
2r2rk1/pp2nppp/2qbpn2/3p4/3P1P2/P1NQP1PP/1P4B1/R1B2RK1 b - -,e7f5
8/6kp/r5p1/2bb1p2/1p1N4/3P1NP1/1RP4P/5K2 b - -,a6a1
r5k1/pp2rpp1/7p/3p1b2/1PpP1P2/3q2P1/PP1QNR1P/3R2K1 b - -,a8e8
2r5/p3kp2/2p1b1p1/2Pp3p/1P3P2/P2BR3/3K2P1/8 b - -,e7d7
4r2r/2P2k2/2Q1p3/p3P3/1p3K1p/1P6/P5P1/8 w - -,c6d7
r1b1kb1r/pp5p/2p1pp2/q3n2Q/4P3/2N5/PPP3PP/R3KBNR b KQkq -,e8e7
8/3R1p2/P1R2pkp/4p3/8/1r5P/r3K1P1/8 w - -,d7d2
r4rk1/5pp1/b1P1pn1p/3p4/1p1N4/4Q1P1/qP2PPBP/2R2RK1 w - -,b2b3
r1b2rk1/3nqp1p/p2p1bp1/1ppP3n/4P3/P1NBBN1P/1P3PP1/R2QR1K1 b - -,d7e5
6k1/1p3p1p/1rp2r2/p2p2p1/3Pn1q1/PP2PNP1/1R2QPP1/5RK1 w - -,f1e1
r1b2rk1/p1p2ppp/1p1p4/3Pq3/8/1Q3B2/PP3NPP/R4K1R w - -,g2g3
5k2/8/2p2pbp/1pPp1p2/1P1P1K2/5PPB/7P/8 b - -,f8e7
5k2/1R6/p4rBp/8/5p2/7P/6PK/8 w - -,g6e4
8/2K5/2p5/3q4/4kp2/8/8/6Q1 w - -,g1g4
1r1q4/p2b2k1/3p2p1/1pp4p/8/2PPNrP1/PP1Q4/5RK1 w - -,f1f3
brr3k1/2q1bppp/p2pp3/1pn1P1P1/3Q1P2/P1N1B1R1/1PP1B2P/1K1R4 b - -,d6d5
8/1r3p2/5R2/3k1Pp1/6P1/1p6/1K5P/8 b - -,d5e4
r1b3k1/2r1q2p/p3p1p1/1pNpPpP1/3P4/5PQ1/PP4P1/R4RK1 b - -,c8b7
8/1pk2p1p/1p1p2p1/r2P1bB1/2B1n2P/2K5/1P3PP1/4R3 w - -,c3d4
5r1k/1p3ppp/pq2p1n1/7N/8/P1P2r1P/1P3PQ1/1R2R1K1 b - -,f3f5
3r2k1/p1N2ppp/Bpb1pn2/5q2/1P6/P4PBP/3r2P1/3R1Q1K w - -,d1c1
1rr1n1k1/1q4p1/4Pp1p/B2N1P2/p1p4P/Q7/3R2P1/3R2K1 w - -,d5e7
rn4k1/p4r1p/1pq1p1p1/3b4/3P4/2PB1NQ1/P4PPP/R3K2R w KQ -,e1g1
r4rk1/pp1qnpb1/4p1pp/3pP3/3P4/BPN2Q1P/P4PP1/2R2RK1 w - -,f3d3
8/5p1k/p2p4/2pP1PR1/b1P1PN2/2p1K3/P7/8 w - -,e3d3
rnbq1rk1/pp2ppbp/2p3p1/3pP3/2PPn3/2N1BN2/PP3PPP/R2QKB1R w KQ -,f1d3
5k2/1br1pp1p/6p1/3P4/p1pB4/P1K3P1/N4PBP/8 w - -,a2b4
5rk1/B2R3p/4p1p1/2p1nR2/P7/1P5P/2P5/7K b - -,e5d7
8/6R1/1p1p1p1p/1k6/1p2P3/r6P/3NKPP1/8 w - -,g7d7
3r1rk1/pp1nppbp/2pp1np1/q7/2PP3B/2N1PB1P/PPQ2PP1/R4RK1 b - -,f8e8
2r5/3r1p2/pkp1p1pp/2R5/1P3R2/2P3P1/4PP1P/6K1 b - -,c8c7
5rk1/pppqnrbp/2npb1p1/3Np3/2P1PP2/4B1PP/PP2N1BK/R2Q1R2 b - -,b7b6
r3r1k1/pb3pbp/2p1P1p1/3p1p2/5q2/2P2N2/PP1B1PPP/R3R1K1 w - -,e6f7
rn3rk1/1p1bpp1p/1p1p2p1/3P4/6n1/2N2NP1/PP2PPBP/R4RK1 b - -,f8c8
2r1r1k1/1Q1nqpbp/p1B2np1/2p5/P4B2/2N5/1P3PPP/3R1RK1 b - -,d7b8
8/8/2pNk3/5r2/8/8/4K3/8 w - -,d6f5
1r2r1k1/2pq1p1p/3p1p2/p1bN4/2P1BPb1/6P1/PPQ2P1P/3RR1K1 b - -,d7d8
r4k2/pp1r1p1p/2p2p2/5N2/7P/1P6/P2n1PP1/2RR2K1 w - -,d1e1
8/5pk1/p3p2p/1pq3p1/5r2/P1PQ4/1P3PPP/4R1K1 w - -,e1e3
4rk2/pp3p2/3p1np1/1P2p2p/P3P3/2P3P1/3N1PKP/2R5 w - -,f2f3
rqb5/pp5k/1n1b1Bp1/1B1pn3/3N4/P7/1P3PPP/2RQ1RK1 b - -,e5g4
r1br4/1p2kppp/p1n1pn2/2b5/8/1P2PN2/PB1NBPPP/R4RK1 b - -,b7b6
r1bq1rk1/pp4pp/2pp1p2/2b1pP2/2PnP3/2NPB1PP/PP4BK/R2Q1R2 b - -,a7a5
3r2k1/4q1bp/1n1p2p1/p2Pp1P1/1p3rNP/PR5B/1PP1Q3/1K1R4 b - -,e7c7
