8/4Qr1k/5rp1/7p/8/8/8/6K1 w - -,e7e5
8/2pk2pp/2n2p2/ppp5/4PP2/1PP3PP/2PN4/3K4 b - -,d7e6
R2R4/5pkp/1pp2rp1/4p1n1/4P1P1/2P2P2/1r2N3/4K3 w - -,e2g1
r1n2qk1/1p1b1pp1/pp5p/2p1p3/P1B5/1QPP3P/1P3PP1/4RRK1 b - -,f8e8
r5k1/ppq1ppbp/2bp1np1/7P/2r1P1P1/1NN1BP2/PPPQ4/1K1R3R b - -,c4c3
r1bq1rk1/pp2b1pp/2pnp3/4Pp2/8/6P1/PPQNPPBP/R1B2RK1 b - -,d6f7
r2q1rk1/1p5p/2p1pnp1/3p1p2/2PP4/1P1Q1PP1/2R1P1BP/2R3K1 b - -,a8a3
r1b2r2/ppkp2pp/8/3B1pb1/3RP3/5P2/PPP3PP/2K4R w - -,c1b1
4k3/b2N4/P1p5/2P1pP2/6p1/6Pp/r4B1P/4R1K1 b - -,e8d7
8/7p/3b2p1/3kppB1/1p5P/1P1K1P2/P7/8 w - -,g5f6
rn1q3k/pp2rB1p/3p1p1B/2b5/4P3/3Q4/PPP2PPP/R4RK1 w - -,f7b3
1r1n2k1/q2bbppp/5n2/2pPN3/1p2P3/1N1B4/rB3PPP/1R1QR1K1 b - -,a7c7
8/3r1p1p/5R2/2k5/2P5/2K2P1P/6P1/8 w - -,f6f5
r2q1rk1/ppp1bppp/2n1pnb1/3p2B1/3P4/2P3P1/PPNNPPBP/R2Q1RK1 w - -,g5f6
2r3k1/1p1qBp1p/3P2pb/6P1/1P6/7P/4QP2/3R2K1 b - -,h6f8
8/p4r1k/1p6/4qpp1/3n3N/PP3PP1/2Q1R1K1/8 w - -,e2e5
8/7p/6kP/8/6N1/r5K1/8/8 w - -,g3h4
b5k1/5p2/pn3b2/NqN3p1/1P3B1p/P1pR3P/Q4PPK/4r3 w - -,f4d6
2r2nk1/1pq2p2/p5p1/2B1p2p/8/3b1P2/1PP2QPP/R4BK1 w - -,c5f8
r4rk1/1bp1qppp/1p3n2/p2p4/P7/2PBPN2/1P3PPP/RQ3RK1 w - a6,f3g5
r2q1rk1/pp1bbppp/5n2/3P4/1pPN4/3Q1B2/P4PPP/RN3RK1 b - -,a8c8
8/R1P2p2/5kp1/3K3p/5P2/6P1/8/3r4 w - -,d5c6
3r4/3P4/p2P4/8/4K3/8/P4k1p/1R6 b - -,d8d7
rnbq1rk1/3p1pbp/5np1/1BpN4/8/4PN2/PP3PPP/R1BQ1RK1 b - -,c8b7
r4rk1/1b3ppp/p1n1qb2/2pp4/P3n3/5NP1/1P1NPPBP/R1BQ1RK1 b - -,f8d8
rn1q1rk1/pb1p2bp/4pnp1/2p5/1pP5/1P3N2/PB1NPPPP/R2QKB1R w KQ -,e2e3
1r1q1rk1/1b3ppp/p2p1b2/4p3/QN2P3/2P5/1P3PPP/R3KB1R b KQ -,a6a5
8/8/p3B3/2pp1P1k/5r2/5N2/P2K4/8 w - -,f3e5
1q4r1/R1RQ2bk/3p2pp/1r3p2/1P1Pn3/4P1P1/5PBP/4B1K1 b - -,e4f6
r5k1/pp1bprbp/3p1np1/q7/3NP1P1/2N1nP2/PPP4P/R1Q1K2R w KQ -,c1e3
2rq1rk1/pp1n1ppp/2p1p3/2bp1b1P/2P1P1n1/1P1P1N2/PBQNBP2/R3K2R w KQ -,d3d4
8/8/8/8/2pk4/2N2n2/3K4/8 w - -,d2c2
r2q2nk/1pp3p1/3p3p/p2Ppr2/1P6/2P2N1P/P3QPP1/2R1R1K1 w - -,a2a3
2kr4/1p1q1p2/2n1b3/2p5/p2p1Qp1/P2P2B1/1PP3BP/5RK1 w - -,b2b4
5rk1/2q1brpp/b3p1n1/p1npP2N/1p1B2P1/1P5P/P1PN1RB1/3QR1K1 b - -,e7h4
4r1k1/4n1bp/1q4p1/Rb1ppp2/1P2P3/5N1P/3BQPP1/6K1 w - -,a5b5
r3k3/3nbpp1/r1p1p1bp/1p1p4/4P1PP/P2P1P2/1P1BN1B1/3R1RK1 w - -,h4h5
8/1p6/b1p5/2P5/1k1p1R2/5Pp1/3K2P1/8 b - -,a6f1
rnbq1rk1/ppp1bppp/3p1n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 w - -,h2h3
r3kb1r/1ppq1p2/p2p1nnp/3Pp3/P1P1P1p1/5N2/1P3PPP/R1BQRNK1 w kq -,f3d2
r1b2rk1/4npbp/pq1np1p1/1PNp4/3P1B2/1Q2PN1P/1P2BPP1/2R2RK1 b - -,a6b5
r1bq1rk1/pp2ppbp/2n3p1/2p5/3P4/P1P1PN2/4BPPP/R1BQK2R w KQ -,e1g1
3r2k1/1p1rb1pp/pnpnppb1/8/3P1BPP/4NN2/PP2BPK1/2RR4 b - -,d6b5
8/3bk2p/1p2p1p1/pPp1Pp2/P1P1pP2/4P1P1/3r3P/4RBK1 w - -,f1e2
5k2/8/5n1p/5B1P/r5P1/PR4K1/8/8 w - -,g3f3
r1bqk2r/ppp1nppp/2n5/bB1p4/3PP3/5N2/PP3PPP/RNBQ1RK1 w kq d6,e4e5
r5k1/pb1R1rpp/1p2q3/4Pp2/4n3/1P3B2/PB2Q1PP/3R2K1 w - -,e2c4
8/1k6/4p3/5b2/8/4K2r/3R4/2R5 w - -,e3f4
r3k2r/2pqppbp/p1np1np1/1p6/B3P3/2NPBQ1P/PPP2PP1/R3K2R w KQkq b6,a4b3
8/3r1k2/R4pp1/3p4/3P1KpP/4PP2/8/8 w - -,f3g4
6R1/1p3p2/2k1b1pp/3pPp2/2r5/2B4P/1Pr2PP1/3R2K1 w - -,g8d8
1r4k1/r1n1pp2/2P3p1/3pq3/8/6P1/2R1PPB1/2R1Q1K1 w - -,e1d2
1r2rbk1/pppq1ppp/1n6/4p3/1n2N1b1/1P1P2P1/PB1NPPBP/2RQR1K1 w - -,f2f3
8/7B/pp3p2/4p3/2P2k2/1P5P/P6P/4bK2 b - -,e1b4
r1bqr1k1/1p2npbp/3p1np1/2pPp3/P1P1P3/B1N2N2/2Q1BPPP/R4RK1 w - -,f1b1
rn5k/pp1n1rq1/2p2b2/2P3p1/3BB1Q1/2N4P/PP3P2/3RR1K1 w - -,g4h5
8/pp5B/2p5/6n1/2Nk4/1P6/P6n/2K5 w - -,h7g8
4k3/2R2pp1/4p1p1/pr6/3P1P1P/4K1P1/1P6/8 w - -,c7a7
r2qk2r/ppp1b1p1/2n1bp2/3np2p/7P/2NP1NP1/PP2PPB1/R1BQ1RK1 w kq -,d3d4
r1bq1rk1/p3ppbp/p2p1np1/8/3NPP2/2N4P/PPP3P1/R1BQ1RK1 b - -,d8b6
6k1/2q1np1p/3p2pb/3Pp3/2P4P/Q5PB/2N2PK1/8 w - -,a3a4
r2q1r2/1pp1bpk1/4b1p1/p2pP1p1/1n1P4/5QN1/P4PPP/RBB1R1K1 w - -,f3e3
3q1rk1/pp1nnpp1/3b3p/1N1p4/3Pp3/P3P2B/1P1BQPPP/2R3K1 b - -,d6b8
5r1r/pp4k1/2pQn2p/3p1qp1/3P3P/4P3/PP2N3/2K3RR b - -,f8f6
r1bq1rk1/ppp1pnb1/2n3pp/1B1p1pB1/3P3P/2N1PN2/PPP1QPP1/R3K2R w KQ -,g5f4
r2qk2r/3n1ppp/3Qp3/8/2b1P1P1/4BP2/PPP4P/2KR3R w kq -,d6d4
r1bq1rk1/2p1n1pp/p1nbpp2/1p6/3P4/P1N1PNB1/BP3PPP/R2QK2R b KQ -,g8h8
8/1p2R3/6p1/4Q1p1/2k2r2/1q6/5rPP/5RK1 w - -,f1f2
q1r2bk1/pb1r1pp1/1p1ppnnp/8/1PP1PP2/P1N3BP/3NQ1P1/2R1RB1K b - -,c8d8
r1b2rk1/pp1pppbp/2n3p1/q7/3NP1Q1/1BN1B3/PPP2PPP/R4RK1 b - -,c6d4
8/pp6/5k2/3K1P1p/6P1/2b4P/2B5/8 b - g3,h5h4
rn3k1r/1bb3p1/4p1Bp/Pp1pP2P/1PpK1BR1/4PN2/5P2/R7 w - -,f4g3
r2qk2r/p2pbppp/2n2n2/1Np5/8/3B1QP1/PP3P1P/R1B1R1K1 b kq -,e8g8
4r3/1p6/1q3bk1/4Bp1p/1P6/6P1/Q4P2/2R3K1 w - -,e5f6
rnbqk2r/1p2ppbp/p1pp1np1/4P3/2PP4/2N1BP2/PP4PP/R2QKBNR b KQkq -,f6d7
r4r2/1q1nppbk/3p2pp/1NpP4/P1N1P3/6P1/1PQ2PKP/3R3R w - -,h1e1
1n3rk1/1p1n1p1p/pqrP4/6p1/Q4pBP/2B5/1P3PP1/R2R2K1 b - -,b6c5
5k2/4Npp1/r4n2/np2N2p/5P2/6PP/P1R3K1/8 w - -,e7f5
4k2r/pp2ppbp/2q1n1p1/P1prP3/2RB4/2P2N1P/1P2Q1P1/4K2R w Kk -,e2e4
r1bq1rk1/1pp1npbp/3p2p1/3Pp2n/P1P1P3/2N2N2/4BPPP/R1BQR1K1 w - -,c1a3
r4rk1/ppq2pp1/2pb1B1p/2nP1b2/8/1BN2N2/PP3PPP/R2QR1K1 b - -,g7f6
r4rk1/pppn1p1p/3p2p1/8/4P3/2P2Pq1/PP3P2/R1B1R1K1 w - -,f2g3
2r5/5k2/1p3Pn1/pP1p1pB1/P2P3p/1KP5/7P/4R3 w - -,e1c1
b4rk1/R1p2q2/1p1p1np1/1N1Pp1np/1PP1P3/3B2PP/3NQ1K1/8 b - -,f7d7
r2qr3/pppn1pkp/2bp2p1/8/4P3/2NQ2PP/PPP2PB1/R3R1K1 w - -,f2f4
rn1qkbnr/pp3ppp/2p1p3/3p4/4P3/2N2Q1P/PPPP1PP1/R1B1KB1R w KQkq -,g2g3:a2a3:d2d4:b2b3:d2d3:f1e2:f3g3
2rq1rk1/p2n1ppp/4p3/3b4/1P6/2n1PN2/1Q2BPPP/R1B1R1K1 b - -,d7b6
r4qk1/5p1p/5bp1/3p4/3Pn3/4P3/N4PPP/1RQ2RK1 w - -,a2b4
2b2rk1/1p2ppbp/2np2p1/qN6/B3n3/2P1B3/PP3PPP/R2Q1RK1 w - -,b2b4
r1b1k2r/pp1n3p/3pp1p1/1BpP4/4nP1q/2P1KN2/P6P/R1BQ3R b kq -,h4f2
r1bqk2r/pp2n1bp/3p1pp1/2p1p3/2PnP3/2NPBN1P/PP1QBPP1/2KR3R b kq -,h7h5
3rr1k1/1b3pp1/pn1b1n1p/1pp1q3/4P3/P1N1BQNP/BP3PP1/2RR2K1 w - -,c1c2
rn4k1/pp3rb1/4p2B/4P3/1nqP2Q1/8/PP4PP/R4RK1 b - -,c4c7
r1bqkb1r/1p3ppp/p1n1pP2/2pp4/P1B2P2/2N5/1PPP2PP/R1BQK1NR b KQkq -,d5c4
8/8/3Pkb2/5ppp/8/B3KP1P/6P1/8 b - -,f6e5
r1q2rk1/1bpn1ppp/p3pn2/1p6/3P1Q2/P1N2NP1/1P2PPBP/R3R1K1 b - -,c7c5
r4rk1/1p1qppbp/p1np1np1/8/2NNP3/2P1BP2/PP4PP/R2Q1RK1 b - -,d7c7
5rk1/1R3p2/4p1q1/4P1Pp/5Q2/8/6PK/8 b - -,g8g7
rnbqkbnr/pp2pppp/3p4/2p5/4PP2/8/PPPP2PP/RNBQKBNR w KQkq -,g1f3
8/5ppk/8/3QB1Pb/3bP1pP/1p1R4/5PBK/1rq5 b - -,c1g1
8/5k2/3Bn3/pppp2p1/8/P1P1K3/4N2P/8 w - -,e2c1
r1b2rk1/pp1pppbp/2n2np1/q7/3NP3/1BN1B3/PPP2PPP/R2Q1RK1 b - -,f6g4:d7d6
r2qkb1r/pp3p1p/2nppnp1/8/8/1P4PP/P1PPQPB1/RNB2RK1 w kq -,c1b2
b3kbnr/5ppp/p7/2P1p3/1P2P3/P2Q1PPq/4B2P/R3K2R w KQ -,e1c1
r1b2r2/pp2qpbk/6pp/1NpPp2n/2P1P3/5NPP/P4PB1/2RQ1RK1 w - -,d5d6
8/8/8/P1P5/8/3bRp2/r2kpK2/4R3 w - -,e3f3
r3qrk1/p2b2np/2p1pbp1/3pB3/Q7/2NB4/PPP2PPP/3R1RK1 w - -,e5f6
r5r1/p3k2p/bp2p3/2ppN2P/3Pp1P1/2P1Pp2/PP1K1P1R/6R1 b - -,g8g5
r1b2k2/p2p1p2/1p3qpp/2p5/2p1Q2P/2P1R3/P4PP1/2KR4 b - -,a8b8
2R5/2P1r3/8/5p2/8/3K1k2/8/8 w - -,d3d4
5r2/4rkp1/2R1p2p/p1p1Pp1b/Bp6/2P3R1/PP3PP1/2K5 b - -,b4c3
r1b1k2r/pp1nq1pp/2p1Pp1n/2bp4/P4P2/3Q1N1P/1PP3P1/R1BNKB1R w KQkq -,f4f5
4k2r/2qp1pp1/p1r1p3/4Pn2/1p3P1p/1N6/PPP2QPP/2R1R1K1 w k -,e1e2
r1b2rk1/1pq1bppp/p1n2n2/2p1p3/2PpP3/3P1NN1/PPB2PPP/R1BQR1K1 w - -,c2a4
1rr3k1/p3pp1p/4bnp1/2q5/8/2N2BP1/PPQ2P1P/2R1R1K1 w - -,c2d2
1r4k1/p4p2/5bp1/2Q1p3/8/2P3P1/3PPP2/q1B2RK1 b - -,b8b1
r4rk1/p3qppp/2b5/2ppn3/Q4B2/4P1P1/P4PBP/1R3RK1 w - -,a4a6
r2qrbk1/1bp2p2/p2p1npp/1p2pN2/2P1P2B/1P1P1N2/1P2QPPP/R4RK1 w - -,f5e3
8/6kp/1p4p1/1R1pP3/3P2P1/3r1P2/6KP/8 w - -,b5d5
8/p4pk1/1p5p/4K3/PPP5/2r5/2B5/2R5 b - -,c3c4
r7/3br3/pR3n1R/3ppk2/2p3p1/P1P1K1P1/2P2PB1/8 w - -,b6f6
2r3k1/2r2ppp/8/1BB5/1R6/8/6PP/5RK1 w - -,c5d6
6k1/R4p1p/1pp1r1p1/4p3/4P1P1/2P2P1n/1r2N3/3RK3 b - -,e6f6
1r6/2q1k1bQ/4p1p1/1n1rp3/1p6/4B2P/1P4P1/3N1R1K w - -,h7g7
r1b1kb1r/pp3ppp/2B1pn2/8/Q1pq4/2N3P1/PP2PP1P/R1B1K2R b KQkq -,c8d7
8/5PK1/2p1k3/8/1p6/8/1p6/8 b - -,b2b1q
8/8/4bk2/p6p/Pp2p3/1P6/2P1KP2/5N2 w - -,f1g3
qr4k1/3p1ppp/n1b1pb2/p2n4/P2P1P2/BQ1N1NP1/4P1BP/2R3K1 w - -,b3a2
6k1/6p1/2bq1pQ1/5P1p/7P/1p6/1B4P1/7K b - -,d6d2
8/7p/6p1/pp1k4/2Pr2P1/7P/P3K3/1R6 b - -,d5c4
2q2rk1/2p2pbp/pr2p1p1/1p1nN3/3P4/2P2QBP/PP2RPP1/4R1K1 b - -,a6a5
rn4k1/p4ppp/b1p5/2N5/1p6/1B2r1b1/PPP1N1P1/R4K1R w - -,c5a6
8/pp3k2/6p1/3P1n2/P7/1P2P3/5Kp1/3B4 b - -,f5e3
5r2/4r3/3k1pR1/p2B3p/P2KP3/1P6/2P3PP/8 w - -,c2c3
r4rk1/pp6/3b1n2/3pqpp1/4P3/1P2P1NP/P2Q1PB1/2R2RK1 b - -,f5f4
1r1r2k1/pq1nb1pp/2p2p2/2p1pP2/8/1QP1BN1P/PP3PP1/R2R2K1 b - -,b7b3
5Qqk/6p1/2p4p/8/p6P/2P3PK/8/8 w - -,f8a3
4nr1k/1b1n2pp/p1q5/4P1Q1/P7/3N4/2P3PP/1R3RK1 w - -,g5g3
r4nk1/pp4p1/3bbq1p/3pNpn1/3P4/1Q1BPP1P/PP4PB/2R2RK1 w - -,b3b7
4b1k1/4q1p1/4p2p/3pPp2/P2p1P2/rPrP2P1/1R1QB2P/1R4K1 w - -,g1g2
rr4k1/1bq2pp1/7p/p1nPp3/1pP1P3/8/2BB1PPP/RQR3K1 w - -,d2e3
4r1k1/1p2qppp/r1p2n2/p1Pp4/8/1P2P2P/3NQPP1/R1R3K1 w - -,b3b4
r2q1rk1/pb1nppbp/1p3np1/3p4/8/1PN2NP1/PB1PPPBP/2RQ1RK1 w - -,d1c2
8/6k1/4p1p1/4K1P1/3R3P/8/8/5r2 b - -,f1f5
2r1r1k1/1bp1qp1p/p5p1/1p2P3/nP2P3/P3PN2/2Q1B1PP/2RR2K1 w - -,d1d5
2r5/4k1p1/p2npp2/2pr3p/PpR4P/1P1P2P1/2P2PK1/B3R3 w - -,c4f4
2r2rk1/pQ2q1p1/R1P3p1/3p4/4pB1P/5bP1/5P1K/1R6 b - -,e7c5
r5k1/1p3r1p/pq1nB1pQ/5p2/8/2B5/PPP3PP/3R3K b - -,d6e8
3r2k1/4bp1p/1p2p3/1Pp1P3/p1P4P/P7/1BKP4/3R4 b - -,e7h4
r5k1/1p3pb1/p1pp4/7p/P1Pq4/1P1b3P/R3N1P1/2B1QK2 b - -,a8e8
2r3k1/pp1bB1bp/3P2p1/2r3P1/3p3P/1P1B4/P4R2/4R1K1 b - -,b7b5
8/p3k3/4p2b/1p2P1pp/1P1P3r/P2K2RP/8/3B4 b - b3,g5g4
r1r3k1/pb2qppp/1p2p3/2n1Q3/8/4PN2/PP2BPPP/2RR2K1 b - -,h7h6
R7/7k/2PB4/4p1p1/4PbK1/5P2/Pr6/7r w - -,c6c7
6k1/1p3pp1/2n1pnp1/3p4/5PP1/1P2PN1P/r5B1/2R3K1 w - -,b3b4
r1bq1rk1/p2n1pbp/2pp2p1/4p3/2PnP3/2N1B3/PP2NPPP/RB1Q1RK1 w - -,e2d4
r5k1/1p1bq2p/p1p1pn1r/P2p2N1/2PPpP2/1P2P1P1/2Q2N1P/R4R1K b - -,g8h8
2kr3r/ppqn1ppb/2pbpn1p/8/2BP3P/2PN1QN1/PP3PP1/R1B2RK1 w - -,c1f4
2rq1rk1/p4ppp/bpnbpn2/3p4/2PP4/PP3N2/BB1N1PPP/R2QR1K1 w - -,a1c1
8/8/3pk1p1/1p3p2/3KPP2/7P/6P1/8 w - -,g2g4
r1bq1rk1/1p1n1pbp/p2p2p1/2pPp2n/2P1P3/2NBBP2/PP1QN1PP/R3K2R w KQ -,g2g4
1r3rk1/p1qnbp1p/b5p1/n3p1P1/2PpP2P/1N6/PBP2PB1/1R1QKNR1 b - -,a5c4
8/1pp1rk1p/p1n5/5pp1/1PR5/3P2B1/P1P3PP/5K2 w - -,a2a4
6k1/1P1n3p/3b2p1/3p1p2/3P4/1R6/5PPP/6K1 w - -,b7b8q
r5k1/1q1b1pb1/4n1p1/1p1pP2p/1PpP1p2/2P4P/2BNQPPN/R5K1 w - -,e2e1
r1bqk2r/1p2bp2/p1npp1p1/7n/3NP2P/2N1B3/PPPQBP2/2KR2R1 b kq -,c8d7
8/5k1p/2B3p1/8/1p6/1P6/R1K2PPP/7r w - -,h2h3
r3qr1k/2pb2bp/1p1p1n2/p1nPp3/2P5/2N1B1NP/PP1QBP2/2K3RR w - -,d2c2
1r3r1k/6pp/pB1Q4/1q1N2P1/2p2n1K/3b4/6BP/R3R3 b - -,f4g2
6r1/2P4p/6p1/1K2R3/4kP2/6P1/8/8 b - -,e4f3
8/1Q4b1/1p1B2pk/p4r2/P2P3P/4P2q/5P1P/2R3K1 b - -,g7f6
r3qr2/p1kn3p/Bpp1b2b/2P1p3/Q3P2B/2N5/PP3PP1/1K1R2N1 w - -,a4c2
2r2rk1/1ppnqppp/p1b1pn2/8/3P1B2/P1b2NP1/1P2PPBP/R1Q1R1K1 w - -,b2c3
r3k3/p1p2ppp/1p1b4/1P3b2/2P5/2B5/1P3PPP/RN4K1 b - -,f7f6
8/7k/5R1p/P3P1p1/4r3/8/1B6/K7 b - -,e4a4
8/5k2/1RP5/4b3/4P1K1/8/1B5r/8 b - -,e5b2
1r6/6pP/K4pP1/8/6P1/3k4/8/8 w - -,a6a7
1r3rk1/2qnppbp/b2p2p1/2pP4/6n1/2N2NP1/PPQ1PPBP/1RBR2K1 w - -,c1d2
5rk1/3qbp2/2p3p1/p1p1p2p/P1NrP2P/5RP1/P1Q2R1K/8 b - -,d7e6
rnbqkbnr/pp3ppp/2pp4/4p3/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq -,d4e5
8/8/1p1p2kp/p1pPn1p1/P1P1N1K1/1P2P3/6PP/8 w - -,g4h3
5r1k/4r2p/2p1pqp1/1pP1RN2/p2PQP1P/P7/1P3K1R/8 b - -,g6f5
2br2k1/rpq2pbp/1n1Np1p1/p5P1/2Pp1p2/B2P4/P5BP/1R1Q1RK1 w - -,d6b5
r1b2rk1/6p1/p3pq1p/1pb2p2/5B2/1QP2N1R/PP3PPP/R5K1 b - -,c8b7
8/6k1/3N4/2r4P/3p4/5K2/3B4/8 w - -,h5h6
