5rR1/4kP1p/8/p7/4b1P1/PB3pKP/5P2/8 w - -,g3f4
Rrn4r/5p1k/1b3P1p/1P5P/3pN3/5P2/1P4P1/R5K1 b - -,b8b7
3rr3/p1p2qbk/1pP3pp/1P6/P2Ppp2/R7/2N1QPPP/3R2K1 b - -,d8d5
2r2rk1/1bqnbppp/p4n2/1p1pp3/4P3/PN1BBP2/1PPQN1PP/R4RK1 w - -,e4d5
r3r1k1/pp3pp1/5n2/1Nqpnb1p/8/1PP1PP1P/P2Q1KP1/R4BNR b - -,f5h7
8/R5bk/8/2p2pp1/P1P4P/3PP3/8/6K1 w - -,h4g5
r1b1rbk1/p3qppp/2p5/1ppnP3/5B2/2N3PP/PPQ2PB1/R2R2K1 w - -,d1d5
r4rk1/3bqpp1/4p2p/2npPP2/pp1N4/3BQ3/PPP3PP/1K1RR3 b - -,e6f5
r5k1/1b3pp1/pNq1pn1p/P2r4/1p6/1PnBQNP1/2P2P1P/R3R1K1 b - -,d5e5
r2r2k1/1b2bppp/pqp1p3/1p2P3/P3BB2/6P1/1PQ1PP1P/R2R2K1 b - -,h7h6
r3rbk1/1b1nqp1p/p1pp1np1/1p4B1/2P1P3/2N2P2/PPNQB1PP/3RR2K b - -,a8d8
5nk1/P4ppp/8/3p4/3Pp3/2B1P3/R2K1P2/7q b - -,h1b1
r2q1rk1/ppp1bppp/2n1b3/8/2NP1n2/P4N2/BP3PPP/R1BQR1K1 b - -,f4g6
8/n4pk1/4p3/r5Pp/P7/4K1P1/1RB4P/8 b - -,a5g5
2kr3r/ppp3p1/1n1qp1p1/2Nn1p2/3P2P1/4P2P/PP2QPB1/R4RK1 b - -,e6e5
8/7Q/3Krk2/8/8/8/8/8 w - -,d6d7
8/8/2b1p1k1/4Pp2/7p/6K1/3R4/8 w - -,g3h4
8/2q4k/3P1Q1p/5N2/7P/8/1p4PK/8 b - -,c7b7
rn1q1rk1/pp2ppbp/2p2np1/3p4/2PPP3/2NQ1N1P/PP3PP1/R1BR2K1 b - -,d5e4
5n2/r5rk/p1p1p1qp/P1P1Pp2/4pP2/8/1R2Q1PP/4BRK1 b - -,g6e8
r5k1/4pp1p/np1p1bp1/rN1P1P2/2P5/6RP/2B2qP1/1R1Q3K w - -,g3f3
r3r1k1/p1pB1pbp/bp1p2p1/3P4/2PN4/2nRB2P/P4PP1/4R1K1 b - -,e8e7
r2qkb1r/pp1b3p/2n1pp2/1B1p2pn/Q2P3B/2N1PN2/PP3PPP/R4RK1 w kq g6,h4g3
2rq1rk1/pb2bppp/1p1ppn2/4n3/2P1PP2/PPN1B3/4B1PP/RN1Q1RK1 b - f3,e5g6
4rrk1/1b1p2pp/p2Ppn2/1p2R1Bq/2p4P/2P5/PPQ1BPP1/2KR4 b - -,h5f7
r1bq1rk1/1p3pbp/2p3p1/p7/Q2p4/P2P1NP1/1P2PPBP/2R2RK1 w - -,f3d2
2r2r1k/1ppb3p/1n1p2p1/p2P4/6P1/1P2B2P/1P3PB1/2R1R1K1 w - -,c1c3
rnbq1rk1/ppppppbp/5np1/8/2P5/1P3NP1/PB1PPP1P/RN1QKB1R b KQ c3,c7c6
8/1R6/1p1kp1pp/1P2n3/2P2r2/2K2B2/6P1/8 w - -,b7b6
r2qrbk1/p2b2pn/PppN1pnp/4p3/4P3/2P2NB1/1PB2PPP/R2QR1K1 b - -,f8d6
r2b3r/1q3pk1/1p2p1pp/1Pp1Pn2/p1PpR2P/3P1NP1/1P1Q1P2/2B3KR w - -,g3g4
rqb1k2r/1p1p1ppp/p1n1pn2/2b5/4P3/2N2N2/PPP1BPPP/R1BQ1RK1 b kq -,b7b5
r4rk1/pbp1q1pp/1p2pn2/4Bp2/3P4/2P2P2/P1Q1B1PP/1R2R1K1 b - -,f6d5
r5k1/1p2rb2/p4bp1/5p1p/P2Nn3/1BP1B2R/1P4PP/3R2K1 w - h6,b3f7
8/8/5kp1/8/4KPP1/1P2p3/3bB3/8 b - -,f6e6
r3q3/5p1k/pnR1p1pp/4P3/1p3NQ1/1P6/P4PPP/3rR1K1 w - -,g4d1
1qr1r1k1/1bb2p2/pp1ppnn1/6pp/1PPNP3/PQN2PPP/5B2/2R1RBK1 b - -,g8h8
r2r2k1/1p3p2/2n1pqp1/1pPp3p/P2P4/2Q2B1P/4NPP1/2R3K1 w - -,a4b5
8/ppk5/5p2/4p3/5rp1/2P5/PP2KP2/3R4 b - -,b7b6
5rk1/p4pp1/1p5p/1B1p1b2/P2P2P1/1P2QP2/q6P/2R3K1 b - -,f5e6
6R1/2k5/8/1p5P/3K3R/3P1p2/1r2P3/5r2 w - -,e2e4
1rb1r1k1/1pqn1pbp/p2p2p1/3P3n/P1p1P3/2N2N1P/1P1Q1PPB/R3RBK1 b - -,d7e5
5q1k/6bp/p2p1np1/1p1Pp1B1/1P2B1P1/2Q2P1P/P5K1/8 b - -,f6e4
8/2q2p1k/1b3n1p/ppp1NP2/7Q/1PP4P/P1Br1PP1/4R1K1 w - -,h4f6
r3kb1r/pbppqppp/1np5/4P3/2P5/1P6/P2NQPPP/R1B1KB1R b KQkq -,a7a5
5r1k/3P2pp/1rn1Np2/8/4P3/6P1/1p4P1/1R4K1 w - -,e6f8
1q5k/rb1nbp2/3ppp1p/1P5N/1P1QPP2/4RB1P/6PK/2N5 w - -,c1b3
r2q1rk1/p3bppp/1pb1pn2/2pp4/4PP2/2NP2P1/PPP1Q1BP/R1B2RK1 b - -,d8c7
r5k1/pp4bp/4b1p1/2p5/2Np4/P2P3N/1PP3KP/5R2 b - -,e6d5
1rb1r1k1/p1q1bppp/2n1pn2/1pppN3/1P1P1P1B/2PBP3/P2N2PP/R2Q1RK1 b - b3,c5b4
8/1pp5/3P4/pP5p/P3k3/4b1BP/3K4/8 w - -,d2e2
2k1rbnr/3q3p/p1bpp1p1/1p2P1B1/P5Q1/2NB4/1PP3PP/R4RK1 b - -,g8h6
6k1/4r1b1/4p3/3n3p/3P4/1P4pP/1B4P1/3R2NK w - h6,b2c1
3qr3/1P3r1k/BQRp2p1/3P1p1p/1P3P2/4p3/6PP/6K1 w - -,b6d8
1q3rk1/p2b1pb1/2np2pp/1r1Np3/QP6/3PP1P1/3B1PBP/1RR3K1 b - -,e5e4
7k/p7/8/3B4/1P5P/5R2/P3q2P/6K1 b - -,e2d1
8/2B2k2/6pK/2n5/6PP/8/8/8 w - -,g4g5
8/8/6k1/R7/p6r/1pK5/8/8 b - -,g6f6
2q5/8/3k4/2p3Q1/7P/3B4/7K/8 w - -,g5f4
2r3k1/1pqr1pbp/p2n2p1/3P4/R5Q1/P1N1B3/1P3PPP/1R4K1 w - -,b1c1
2r5/2pRB1bk/4p1pp/1p2P3/8/1P6/1Pr2PP1/4R1K1 w - -,e7f6
1rr4k/p5bp/3p1n2/q4p2/B1n5/2N3P1/PP5P/R1BQ1R1K w - -,a4b3
1nr3k1/qp2pr1p/p2pb1p1/3N1P2/1PP2P2/8/P2QB1PP/2R2R1K b - -,g6f5
3r4/3P2k1/BB3bnp/P5p1/4p1P1/7P/5K2/3R4 w - -,a6b7
r2r2k1/pb1nqpb1/1pp1p1pp/4P3/3PB3/2N2N2/PP2QPPP/R3R1K1 b - -,a8c8
r3kb1r/pp1qpppp/2np1n2/2p5/4P3/N1P2N2/PP1PQPPP/R1B1K2R b KQkq -,e7e6
5r2/6k1/1p2q1p1/p2p2Q1/4p2N/PR1P1PPb/1P5P/6K1 w - -,d3e4
4kb1r/pp4pp/8/4N3/2pp4/4B1P1/PP2nP1P/4R2K w k -,e1e2
r1bq1rk1/1p4pp/p1n1pb2/2p2p2/2N2P2/3P1N2/PPP3PP/R1BQ1R1K b - -,b7b5
r1r1q1k1/4bp1p/p3p1p1/4B3/3P4/2P1RP1R/P5PP/3Q2K1 b - -,e8b5
2r1r1k1/q4ppp/2pb1n2/1pP1nP2/pP1p2P1/P2P3P/1N1B1QB1/R1R3K1 b - -,d6b8
8/3qk2p/1B1np3/P4p2/8/2Q2P1P/6P1/6K1 w - -,a5a6
r4k2/5pp1/2P4p/8/2RKPP1P/6P1/8/8 b - -,f8e7
r1q2rk1/pp1n1ppp/2pbpn2/3p2B1/2PP4/1QN2BP1/PP2PP1P/2R2RK1 b - -,h7h6
8/1P6/K6r/3k2p1/8/1R5P/8/8 w - -,a6a5
r1bqrnk1/pp2bpp1/2p2n1p/3p4/3P2PB/P1N2P2/1PPQN2P/2KR1B1R w - -,h4g3
R7/5rb1/2p1p1kp/6p1/1n1PP3/1nN2P1P/4N1P1/4B1K1 w - -,a8b8
1rr3k1/p2q1ppp/1p6/2Pp4/8/1Q6/P4PPP/2RR2K1 w - -,d1d5
k3r3/ppb2pp1/7p/2P1p2n/2N5/P1B3P1/1P2RP2/1K6 w - -,c4d6
rn1qk2r/pp2bppp/1npp2b1/3Pp1P1/4P2N/2N1B2P/PPP1QP2/R3KBR1 b Qkq -,b8d7
3k4/5R1p/3P4/5p2/p3K1P1/4P2P/8/r7 w - -,g4f5
2b1rrk1/1pp1q1bp/p2p1np1/2PPp3/1P4P1/2NBBP2/P2Q2P1/4RRK1 b - -,f6d7
4qbk1/5p1p/1p3Pp1/p1pQ2P1/P1P1pP2/1PB3KP/8/8 w - -,c3e5
1rbqnrk1/pp3pbp/2n3p1/2p1p3/P1NpP3/1P1P1NP1/2P2PBP/R1BQ1RK1 b - -,b7b6
r2q1rk1/pbp1bppp/1pnppn2/8/3PPP2/N1PB1N2/PP2Q1PP/R1B1K2R w KQ -,a3c2
6r1/ppnkbp1r/2p1p3/3pPp1p/3P1P2/2P2NPP/PP3B1R/1K4R1 w - -,h2g2
3r1r1k/1b3qnp/3p2p1/1BpPp3/Pp2p3/1P2R2P/2RN1PP1/3Q2K1 w - -,d2e4
r1b1k2r/pp3ppp/2n2n2/3p4/3N4/1P2P3/P2N1PPP/R3KB1R b KQkq -,c6d4
1r3rk1/p1qnbppp/3N4/2PpP3/bp6/5N2/1P1BQPPP/2R2RK1 w - -,f3d4
1R6/1p4pk/2b1p3/1P2Pr1p/P7/8/4K3/R7 b - -,f5e5
6k1/5p1p/p1rp1pp1/1p6/P3P3/1P3P2/1PR3PP/1K6 b - -,c6c5
k3qb1r/r4R1p/1Bbp2p1/4p1P1/4P3/2Q4P/P5B1/6K1 w - -,f7a7
1R6/4r2p/6p1/4ppP1/p1k4P/4PK2/P7/8 w - -,a2a3
r7/1p4kp/p3Bp2/4p3/P6R/4b1P1/1PP4P/7K w - -,e6f5
5rk1/8/2Q2rpp/8/5P2/2p3P1/7K/8 w - -,c6c3
r2q1rk1/1pp1bppp/2n1b3/p1n1p3/2Pp4/P2P1NPP/1P1BPPBK/RN1Q1R2 w - -,b2b3
3r2k1/p4p2/1p1q2pp/2p3n1/2Pp1P2/P2P2PP/5Q2/2Rb1BK1 w - -,f4g5
1r4k1/1q3pbp/2Q3p1/1N6/P2Nr3/6PP/5BK1/3R4 b - -,g7d4
8/4Rkp1/2p4p/1pPr2bR/1P1p1pP1/3N4/7P/6K1 b - -,f7e7
8/8/8/5b2/7p/6k1/6r1/R5K1 w - -,g1h1
8/8/5R2/8/3p2p1/3k2P1/2r3P1/5K2 b - -,d3d2
r2q1rk1/1b3pb1/p1np2pp/1ppNp3/1P2P3/P1PP1N2/B4PPP/R2QR1K1 w - -,f3d2
2r2rk1/p2q2b1/1p1np2p/1Pp1pp2/P1P5/2NP2PP/2Q2PK1/2BRR3 b - -,d7b7
r4rk1/1p4pp/p1p1bp2/q3n3/3R1P2/2N1P1Q1/PP2B1PP/5RK1 b - -,e5f7
r1bqk2r/pp2ppbp/2np2pn/2p5/2P4P/2N2NP1/PP1PPPB1/R1BQK2R w KQkq -,h4h5:d2d3
5rk1/8/6n1/5r1p/p6P/R3RNK1/2P2P2/8 b - -,f5f4
r2q1rk1/pppnbppp/5n2/8/2BP2b1/2N1BN2/PP3PPP/R2QK2R w KQ -,h2h3
8/5pk1/B3pbp1/q6p/p7/2P4P/1P3PP1/4Q1K1 w - -,a6f1
r1bqk2r/pp1n1ppp/5n2/3p1BB1/1bpP4/2N1P3/PP2NPPP/R2QK2R b KQkq -,h7h6
6k1/1pp3bp/3p2p1/3P4/P1P2P2/P1qpr1PP/6QK/2NR4 b - -,c3c4
r1q1k2r/2nbnpbp/4p1p1/pp1pPP2/2pP3N/2P1B1NP/PPBQ2P1/R4RK1 b kq -,e6f5
8/4Bp1k/2p5/1p2P3/4PKP1/5P1r/3R4/5b2 w - -,d2d8
rnb2rk1/4ppbp/1q1p1np1/p1pP4/2N1P3/2N5/PP2BPPP/R1BQK2R b KQ -,b6c7
6k1/1R3p2/3p2p1/3Pp1Pp/qP2P2P/1p6/3K4/2R5 b - -,a4a2
2r3k1/4q1bp/p1b3p1/1p1p1pPP/3PRB2/1BP2n2/PP4Q1/5RK1 w - -,g2f3
r2q1rk1/p1Rn1pp1/1n2p2p/1p1bB3/7Q/P2P1NP1/P4PBP/3R2K1 w - -,h4d8
4r1k1/2pb1pp1/B1n1pn1p/7q/p2P4/2PQ1N2/2PB1PPP/1r2R1K1 w - -,e1b1
r7/5pkp/p5p1/3qp3/8/1P6/P1R2PPP/2Q3K1 b - -,a8d8
2r1r1k1/pbqn1ppp/1p2p3/8/2PP2n1/3B1N1P/PB2QPP1/2RR2K1 b - -,b7f3
r2qk2r/ppp1nppp/1bnpb3/8/4P3/1NN1B3/PPP1QPPP/2KR1B1R b kq -,c6e5:d8d7
r1b2rk1/1pqn1pbp/p1p1pnp1/2Pp4/1P1P4/2N1PN2/PBQ1BPPP/R4RK1 b - -,e6e5
4r1k1/pbp1b1pp/1p2p3/4Nr2/N1P2p1P/2B5/PP3KP1/3RR3 w - -,e5f3
6k1/4rpp1/1p6/1B5p/P7/1nN2P2/2b2KPP/4R3 b - -,e7e1
8/pp4R1/8/5k2/1PPp3p/3K1r1P/P7/8 w - -,d3d4
3q1rk1/p2b3p/1p4p1/2p2p2/2Pp4/1Q1PnPN1/PP2PR2/R6K b - -,d8h4
r1b1k2r/ppp1qppp/3p4/4n3/2P2B2/P1Q1P3/1P3PPP/R3KB1R b KQkq -,c8f5
rr4k1/1N1n1p1p/p1p3p1/1p1np3/P2P4/2PB1P2/1P2N1PP/R4RK1 b - -,b8b7
r3k2r/pR3ppp/2n1bp2/3p4/1b1P4/q1N3P1/P1P1NPBP/3Q1RK1 b kq -,b4c3
2r2k1r/2q1b1pp/b1N1pP2/p3n3/Bp2PB2/5P2/PpP2Q1P/1K1R3R b - -,e7f6
r1bq1rk1/pp3ppp/2n2n2/3p4/2pP4/P1P1PP2/2B1N1PP/R1BQK2R b KQ -,b7b5
4r1k1/5p1p/B5p1/2pb2q1/P3p1P1/2b4P/2PNQ1P1/3R2K1 b - -,g5f4
r4rk1/ppnqpbBp/2p3p1/4Pp1P/2pP4/2N3P1/PP1QPRB1/5RK1 b - -,g8g7
8/3Pk3/p2nB3/1p1Pp1K1/4Pp2/2N2P2/P6r/8 w - -,d7d8q
7k/6p1/5pQp/3q1P1P/6PK/8/p7/8 w - -,g6e8
3R4/p5kp/8/4P3/3b4/1P1Nq3/P6P/3K4 w - -,d3b4
r3k2r/pbqn1pb1/1n1p2p1/5PPp/2pP3P/2P1BN2/P1BQN3/R4RK1 b kq -,g6f5
1r6/p1p3pp/4k3/4p3/8/1P2K1P1/P1P4P/3R4 b - -,a7a5
2r4r/pp4kp/3p2p1/q7/7R/1Qn2N2/PK2PPP1/3R1B2 b - -,c3d1
r1r3k1/pp3pp1/2pB1bq1/1PP4p/8/P4QP1/5PKP/3RR3 w - -,b5c6
7r/4bk2/2p1b1n1/3pPp2/p2P1P1p/3N3R/1P1NK1P1/2B5 b - -,e6c8
4nk2/p2r4/1pp1Q3/5Ppp/2P5/1Pq4P/P5NK/8 w - -,e6d7
3r2k1/ppp2pbp/3r4/2q2p2/4p3/1PPnP1PP/P1QR1P2/1N1R1BK1 b - -,d3e5
6r1/8/4p3/4K2P/8/3k2P1/5P2/8 w - -,e5e6
6k1/5p2/4p1pp/4P3/1p2r2P/4nNP1/Pn2RK2/2N5 w - -,f2g1
r2qr1k1/p4pbp/b2p2p1/2pR4/1pN1P3/5PP1/PP2Q1BP/R5K1 b - -,g7d4
5rk1/r4ppp/p1pRbn2/1p2p3/4P3/2N2BP1/PPP2P1P/3R2K1 b - -,a7c7
8/8/p3p3/2b5/2N1Pk2/3K4/P7/8 w - -,a2a4
r4rk1/pppb2pp/2np1q2/4pp2/1PPP4/P1Q1PNP1/5PBP/R4RK1 b - -,e5e4
2r3k1/p3ppbp/5np1/5b2/1rN5/NP3BP1/P3PP1P/2RR2K1 w - -,c4e5
r1b4r/ppkn1ppp/2p2n2/4pPB1/1b2P3/2NB4/PPP3PP/2KR2NR b - -,f6g4
2r2k2/4bpp1/p1r2n1p/3BB3/4Q3/q4P2/5P1P/3N2RK w - -,d5c6
8/5p2/4b3/8/1Q5r/1P4k1/P5P1/6K1 w - -,b4d6
2rq2k1/3n2p1/p1br1b1p/2pNpPB1/1pPnP2P/1P2Q1NB/P2R4/5RK1 w - -,g5f6
8/5pk1/Rp4p1/8/3N1P2/p2rPK2/Pn3P2/8 b - -,b2c4
r4q1r/1pkb3p/p1n1pp2/3n4/4N3/3B1N2/PP3PPP/2QRR1K1 b - -,a8e8
4r1r1/p1bq1k1p/1p2pnpB/2p5/2Pp3Q/7B/PPP2PPP/R3R1K1 b - -,d7d6
8/6p1/1ppk1p2/5P2/1P1KP3/2P2BP1/b6p/8 b - -,c6c5
5b2/1p1knB2/p1p2Bp1/P1P1KpP1/1P2pP2/4P3/8/8 b - -,d7c7
3r1r2/1p1n1p1k/p3p1pp/1qP5/1Pb1PP2/4BN1P/2Q3P1/R3R1K1 w - -,c2b2
8/2R2p2/5k1p/r4B1P/5K2/8/8/8 w - -,c7c6
r7/8/p4k2/R2P2p1/2N3Kp/8/5P2/8 b - -,a8a7
r2q1rk1/p2nbppp/1pn1p3/2ppP3/3P1B2/2PQ1N2/PP1N1PPP/R3R1K1 b - -,d8c7
Q2k4/2r5/P2pP3/1KbP4/1p6/1P6/8/8 b - -,d8e7
2r1r1k1/1ppb3p/p2b1pp1/3Pp3/8/4B1P1/PPR1PPBP/2R3K1 w - -,e3c5
3r4/1pq2ppk/p3r2p/2p1P1P1/7Q/2P2R1P/PP6/4R1K1 w - -,h4e4
2rr2k1/pp1n1ppp/2q2n2/4pP2/PPPpP3/R5PP/2PNQ1BK/5R2 w - -,a4a5
1B6/7R/8/pk4p1/7p/6PP/3r1b2/7K b - -,h4g3
1rr3k1/R2n1ppp/3pq3/1pp2P2/3pP3/3P4/1PPB1QPP/5RK1 b - -,e6e8
2kr2nr/1p1q2bp/p2pp1p1/2p3B1/P3P3/2NP1R2/1PP3PP/R3Q1K1 b - -,d8e8
r2q1rk1/pp1bb1pp/3p1nn1/2pP4/8/1NN2Pp1/PPQB2BP/R3R1K1 w - -,h2g3
r2qr1k1/5p1p/6p1/1pPQ4/bP1np3/4N3/R4PPP/2R1N1K1 b - -,d8f6
r5k1/pb1r1p2/1p4pp/1B2R3/4P3/4K3/P4PPP/7R b - -,d7c7
8/4k2p/1p1p1np1/2pP1p2/2P2P2/2N2K1P/8/8 w - -,f3e3
5k2/p1p2rbp/3p2p1/2pPr3/2P1PBRP/1P1q1P2/P5Q1/5R1K b - -,e5h5
1k1r3r/pbq1np1p/1pp1p1P1/2p3Q1/4P3/2NP4/PPP1NPP1/2KR3R b - -,e7g6
3rr1k1/bpp1qpp1/p1n1bn1p/3pp3/P3P3/2PP1NNP/1PB1QPPK/R1B1R3 b - a3,d5d4
1r6/4PK1p/6p1/8/6P1/6kP/8/8 w - -,g4g5
8/2bk4/4p1n1/5pP1/8/5KPN/8/8 b - -,e6e5
r3k1r1/pp2pp1p/5p2/1PPp1q2/3P1P2/PQ6/5P1P/R4K1R b q -,f5f4
r1b1k2r/ppp2ppp/2n1p1q1/8/7P/P1P2Q2/1P3PP1/R1B1KB1R b KQkq h3,e6e5
r1q4k/1pp1b1pp/1n2np2/1r2p3/p1N1N1b1/P2PP1P1/1B3P1P/1RQ1RBK1 w - -,d3d4
8/7k/5R2/5PP1/5K2/8/8/5r2 w - -,f4e5
3rrbk1/1p5p/p1pp1ppq/4n3/2P1PN1P/1PQ2PP1/PB4K1/3RR3 w - -,e1e2
8/p3b2p/1p2k3/n2Np1p1/2p1PpP1/2P2P1P/PPKB4/8 w - -,b2b3
8/1b6/4R3/5p1k/pB5p/Pr5P/5P2/6K1 w - -,g1h2
2rqk2r/3nbpp1/p2p3p/3Rp3/1Q3PP1/1N2B2P/PPP5/1K3nR1 w k -,g1f1
8/6pk/8/8/4P2P/3Q2PK/1q6/8 b - -,b2c1
1r3bR1/3k2p1/p2p1p2/B3pP2/2p3P1/8/PPP5/2K5 w - -,a2a3
3k4/6p1/p1p1n3/4P3/3NpP2/4P3/1P4K1/8 b - -,d8d7
1r6/p2pkp1p/2p1r1p1/3p4/8/1P1N1BP1/P4P1P/2R2K2 b - -,e7d6
Q7/5r1k/pr2q1pp/4P3/1p3P2/5R1P/6P1/3R2K1 b - -,e6c6
2r2br1/1p1k3p/1pn1pp2/1N1p1p2/3Pn3/3NP3/PP1BKPPP/R1R5 w - -,g2g3
6k1/5pp1/p1q2b1p/1p6/8/1P2B1P1/P4P1P/3Q2K1 b - -,f6e7
r2q1rk1/pp2ppbp/n1p2np1/5b2/2NP4/5NP1/PPQ1PPBP/R1B2RK1 w - -,c2a4
rn2kb1r/pp2pppp/1qp5/5b2/8/1QP1PN2/P2P1PPP/R1B1KB1R w KQkq -,b3a4
r1b2rk1/1p3ppp/p3pn2/8/3N1q2/1BP4P/PP3PP1/R2QR1K1 b - -,b7b6
q1rr1bk1/1b3pp1/pp1ppn1p/2n5/2PNP3/1PN1Q1PP/PB3PB1/3RR1K1 w - -,g1h2
3r2k1/2p2pp1/1p1b4/pQpP3p/P6P/3b2P1/1PqB1P2/4RNK1 w - -,b5c6
