3K4/kr6/8/4Q3/8/8/8/8 w - -,d8c8
8/4n2p/8/2K5/4NP2/6P1/7k/8 b - -,h7h5
6r1/1p1r2pk/p3q2p/2Pb1p2/PP1P4/2B1QP1P/6P1/4R1K1 w - -,e3e6
4r1k1/2p2p2/3p3p/1p1Pb1p1/4P1P1/PB1K4/1P3R2/8 b - -,e8b8
5rk1/p4ppp/8/2B1P3/pp2n3/6P1/PP3PBP/2Rr3K w - -,c1d1
2bbk3/5pp1/2p1p2p/2PpP3/r2P1P2/1R1B1KP1/4N2P/8 b - -,e8d7
6k1/4Qp2/4p1p1/8/b2b1qNp/5B1P/1r3PP1/4R2K b - -,g8g7
r2qkb1r/pb3ppp/1pn1pn2/8/2NQ4/5NP1/PP2PPBP/R1B2RK1 w kq -,d4h4
r1bq1rk1/pp1nbpp1/4pn1p/2pp4/3P3B/2PBPN1P/PP1N1PP1/R2QK2R w KQ -,e1g1
rn1q1rk1/pb2ppbp/1pp2np1/3p4/2PP4/2NBPN2/PP1BQPPP/R4RK1 b - -,b8d7
r2qr1k1/2p2ppp/p2pBn2/1p2n1B1/4P3/2N1Q3/PPP2PPP/R4RK1 b - -,e8e6
8/7p/8/3R2PP/r7/6K1/3pk3/8 w - -,d5e5
r1b2nk1/p4p2/3p1p1p/1B2p3/1P5N/P3P3/5PPP/3R2K1 b - -,a8b8
3r2k1/3b1p2/3p4/R1pP2n1/2PbPp1p/R5pP/P2N2B1/7K w - -,a5a8
8/8/1p1k1N2/4p1pp/PP1nP2P/2K2PP1/8/8 b - -,g5h4
8/1R3p2/3pr1p1/7p/2k2K1P/6P1/5P2/8 b - -,f7f5
r3k2r/ppq1bpp1/1np2np1/3p4/3P4/2N1P1P1/PPQ2PBP/R1B2RK1 b kq -,c7d7
4r3/ppB3bk/2b5/5pqp/2B3p1/4P1QP/P4PP1/3R2K1 w - -,c7f4
r3k2r/1bqnpp1p/p2p1npQ/1ppP4/4P3/2N2PP1/PPP1N1BP/R3K2R w KQkq -,e1g1
r1bqk2r/3pp1bp/p1n2np1/1pp2p2/4P2P/1BPP1N2/PP1N1PP1/R1BQK2R b KQkq -,c5c4
4r1k1/pr2b1np/R7/3PPpp1/N7/4B2P/P1R4K/8 w - -,d5d6
6r1/4R3/8/2p1k3/P1P5/3K2p1/8/8 b - -,e5d6
4r1k1/q4pbp/p4np1/1P2p3/8/1P4PP/PB2NP2/2rQR1K1 w - -,e2c1
6k1/6p1/p4p1p/4pP2/b3r1PP/2NN1K2/3b4/5R2 b - -,e4e3
8/4bpk1/4p1pp/p2q4/P5P1/5N1P/2Q1PPK1/8 w - -,c2c3
2k5/pp6/4p3/2p1b3/2P1Pr2/1PNP2r1/P1K1R3/5R2 w - -,f1f4
8/8/5K1R/2p2p2/p1P1kP2/P4nP1/2r4P/8 b - -,f3h2
1knr3r/ppqbbpp1/4p2p/n2pP2P/2pP4/P1P1N1PB/1P1N1P2/1RBQ1RK1 b - -,c8b6
r2qkb1r/pp1bpp1p/2np1np1/8/4P3/1NN5/PPP1BPPP/R1BQ1RK1 b kq -,f8g7
8/8/4k3/4pp1p/2Np4/2nP1P2/r3P2P/4RK2 w - h6,h2h4
8/pp3k2/1np1rp2/6pp/3P4/P2RN1PP/1P2KP2/8 b - -,f6f5
r1bqkb1r/1pp2ppp/2n1p3/3p4/2P1n3/pP3NP1/P2PPPBP/RNBQ1RK1 w kq -,d2d4
6r1/2r1bb1p/kp1ppp2/2n3p1/P1P1P3/B1N2P2/KN1R2PP/3R4 w - -,c3b5
3b4/1p1k1pp1/4p2p/2K5/1PP5/5P1P/6P1/8 b - -,d7c7
1r1q2k1/1p2p2p/3pb1p1/p4r2/P1P5/1PB3PP/3Q1P2/1R3RK1 b - -,f5h5
r2qr1k1/ppp2pbp/2np1np1/5b2/2P5/1PN3PN/PB1QPPBP/R3K2R w KQ -,e1g1
2rr2k1/p4pp1/1q3n2/6p1/1P1p1nP1/P4Q1P/1B1R1PB1/R5K1 w - -,a1d1
r2q1rk1/3n1ppp/pn1p4/1p6/3NP1b1/1P6/P1BN1PPP/RQ2R1K1 b - -,d8f6
2R5/8/p3r1p1/3k1p1p/7P/5PP1/3K4/8 w - -,d2d3
8/5p2/3p2p1/p1pPk1r1/PpP1Pp1p/1P3Prb/3R1KP1/R4B2 w - -,g2h3
4kr1r/3q1pp1/2p1p2p/B1PpP2P/3P1R2/3Q1b2/5PPK/8 w - -,d3f3
1k5r/1p6/p2p4/3PnPB1/qP1p3r/3Q1R1P/6K1/6R1 w - -,d3b3
r1b2r2/2qnppbk/p2p1np1/2pP3p/1pP1P2P/4BPN1/PP1QB1P1/2KN2RR b - -,d7e5
rnbq1rk1/ppp1b1pp/3p4/4pp2/2PP2n1/1P4PN/PB2PPBP/RN1Q1RK1 w - -,b1c3
rn1qk2r/pp2bppp/2p2n2/3p3b/8/3P1NPP/PP2PPB1/RNBQ1RK1 w kq -,b1c3
R7/6k1/4B3/1pPpn3/1Pp5/2P5/6PP/6K1 w - -,e6d5
2kq2rr/1bp2p2/2n1pP1p/pB1pP1p1/N2P4/3Q2B1/2P3PP/5R1K w - -,b5c6
2k2b1r/pp3pp1/2p1b3/q5pp/5P2/2NB1Q2/Pr5P/2R2RK1 w - -,c3d1
r1b1kb1r/ppp1n1pp/2n2p2/1B1qp3/Q7/2P2N2/PP1P1PPP/RNB1K2R w KQkq -,e1g1:d2d4
8/3R4/1kp5/1r6/3P4/2P5/2K5/8 b - -,b5h5
8/4R3/5p2/5k1p/1p1r4/7P/5KP1/8 w - -,f2e3
4k3/3R4/8/4PN2/5K2/1p3PP1/3pr3/2n5 w - -,e5e6
5qk1/p4p1p/1p1n2p1/3Q4/3P1BPP/P7/1P3P2/6K1 b - -,d6c8
rnbr2k1/p4pbn/2ppp1p1/qp4Pp/3PPP1P/2NBB2N/PPPQ4/1K1R3R b - -,b8d7
1nb1rbk1/2r2p1p/p3p1p1/3pN3/N2PnP2/3BP3/1P1B2PP/R4RK1 w - -,d2a5
7k/5p2/4b2p/2p1b1p1/2P1P3/3PQ1PP/2p3K1/1qB2B2 b - -,e5d4
r2q1rk1/1b1nbppp/1p2pn2/p2pN1B1/P1PP4/1P1B4/3N1PPP/R2QR1K1 b - -,d5c4
r1b2rk1/pp2ppbp/3p1np1/q7/2P5/2NQ2PP/PP2PPB1/R1B2RK1 b - -,c8e6:a7a6
r1b1qrk1/1p2b1pp/pBn1p3/P1Npn3/8/2N5/1PPQBPPP/R4RK1 b - -,e8g6
6bk/5qp1/p1p5/P3QP1p/1P5P/2B5/6P1/6K1 w - -,f5f6
5b2/1ppr1p1k/6pN/1Pn3Pn/pNP2B1P/P4P2/6K1/1R6 w - -,f4e3
rn2r3/1p2kp1p/1bpR4/1Pp1p3/p7/P3PP1P/1B3P2/2K2BR1 w - -,d6h6
3qr1k1/5pbp/1pp1r1p1/p2p1p1n/3P4/2PNPP2/PP2RQPP/3NR1K1 w - -,d3f4
3k4/2R3p1/3P4/7P/2p1p3/1p2P3/7r/2K5 w - -,c1b1
6k1/3nBp1p/5Pp1/1p6/4p3/PP5P/3r2P1/4R2K b - -,d2d4
r7/8/1K4p1/4R2p/P4p2/7P/R3p1k1/5b2 b - -,f4f3
4k2r/p2p1p2/1p1Pp2p/2r1P1bQ/8/3q2B1/P4PP1/3RR1K1 b k -,d3g6
r1bqk2r/1p2ppbp/p1np1np1/6B1/3NP3/2NQ4/PPP2PPP/2KR1B1R w kq -,d4c6
4k1B1/pp1n3p/2pB2p1/2P3P1/1P2PP1P/P3K3/8/5b2 b - -,d7f8
rnbqkb1r/p3pp1p/3p1np1/2pP4/1pP1P3/P4N2/1PQ2PPP/RNB1KB1R b KQkq -,a7a5
8/8/p5k1/3R2p1/P5P1/5PK1/r7/8 w - -,d5d6
r2qk2r/pp1nppbp/3p1np1/2pP4/2P1PB2/2N2P2/PP2BP1P/R2QK2R b KQkq -,f6h5
rn1q1rk1/1b3pp1/1p3b1p/pPppN3/3P4/2N1P3/P3BPPP/R2Q1RK1 b - -,f6e5:d8c7
r4b2/pk6/7p/2Pqp2Q/PpR5/6P1/1P3P2/R5K1 w - -,c4b4
2r2r1k/b2b2p1/p2p2B1/1p4B1/3P4/7P/PP3PP1/2R1R1K1 w - -,c1c8
5k2/6pp/p2p1P2/Pp6/1P6/2P1p3/Q5Kr/4q3 w - -,g2h2
2r5/2P1k1p1/1P1R1p1p/3K4/6P1/4p1BP/1r2P3/8 b - -,b2e2
8/R1P5/8/p5pp/6k1/6P1/2r5/5K2 w - -,a7a5
6k1/1pR3pp/1p4p1/2b5/8/5P1P/P4rP1/4N1K1 b - -,f2a2
1r1qrbk1/3b1p2/5npp/1p2p3/4P3/2NQB2P/1PP1BPP1/R2R2K1 w - -,a1a7
3rr1k1/p1pn4/1p2p2p/4Npp1/2PP4/P6P/1P2qPP1/3RR1K1 w - -,e1e2
8/prk4p/Rn2p1p1/4Pp2/2pP4/2P4P/2PK2P1/4R3 b - -,g6g5
1r1q1rk1/p2bp2p/3p1npR/1p6/2nNP3/2N2P2/PPP3P1/2KRQB2 w - -,f1c4
2rq1rk1/pb2bppp/1p2p3/n2n4/3P4/P1NQ1N2/BP1B1PPP/2R2RK1 b - -,d5c3
1br1r1k1/pp3p1p/q3np2/1N1p4/P7/1P1QPN2/5PPP/2R2RK1 b - a3,c8d8
r2qr2k/pp3pp1/5b2/n6b/3PBB2/P2Q1N1P/5PP1/1R2R1K1 b - -,e8e4
5rk1/1p1q2p1/2n1b1Bp/p2pn2P/4p2N/8/PP3PP1/R1BQ2K1 w - -,f2f4
r1bq1rk1/pppp1pp1/2nb1n1p/4p1B1/2BPP3/2P2N2/P4PPP/RN1Q1RK1 w - -,g5h4
2k4r/p1p2p1p/2p1n3/4P3/6p1/1PBr2P1/P4PKP/2R2R2 b - -,d3f3
3rr1k1/pp3pp1/1np2n1p/8/3qPP2/2N4P/PPQ2RP1/2B1R1K1 b - -,d4d3
8/p2r2b1/1p1r4/2p2k1p/2Pnp3/1P4Pp/PB1RNPK1/3R4 w - -,g2h3
5rk1/r2n1ppp/4n3/3Bq3/8/2R1PP2/3Q2PP/2R3K1 b - -,d7f6
8/8/P7/1P4pp/1R2pk2/5p2/r7/5K2 b - -,a2a1
5R2/1P6/8/4k3/r2p1p1p/3P3K/8/8 b - -,a4b4
8/pbp1kp2/4p1p1/P6p/2p1NP1P/1nK3P1/1P2P1B1/8 w - -,a5a6
3r1k2/1b3pp1/1Qpp1nr1/p3q3/2B1P2p/2NR3P/PPP3P1/4R1K1 b - -,d8d7
2rq1rk1/1b2bppp/p3pn2/1p2N3/2nP4/1P4B1/P1B1NPPP/2RQ1RK1 b - -,c4b6
2kr1b1r/pp1b2p1/2q1pp1p/3pPn2/P2P4/1QP4N/4BPPP/1RB2RK1 w - -,h3f4
8/3r1k2/RR6/7p/p6r/1p6/7B/7K w - -,h1g1
8/p5pp/1pp2p2/r7/2PPkPKP/PR2P3/8/8 b - -,g7g6
5b2/2R2p2/4p1k1/3pP1p1/6P1/2P2P2/1r6/4BK2 b - -,f8g7
r1bq1rk1/3nbppp/pP2pn2/2p5/2pPP3/2N2NP1/1P3PBP/R1BQ1RK1 b - -,d7b6
5Q2/8/N6p/8/2k5/4q1K1/8/3b4 w - -,g3h2
8/8/5nk1/1KP1B3/4p1p1/4P3/8/8 b - -,g6f5
3r2k1/4b1pp/p3p2n/2p4q/1p2PP2/1P2N3/PBQ3PP/5RK1 b - -,c5c4
1Q6/5k2/2Np2p1/2b1p3/4P3/1R3P2/1K6/3q4 b - -,d1d2
r1bq1rk1/bpp2ppp/p2p1n2/4p1B1/4Pn1N/1BPP1Q1P/PP3PP1/R3KN1R b KQ -,h7h6
4r1k1/1p4qp/p2p1Q2/2pP2p1/2P5/1P1P1R2/P4KPP/8 w - -,f6g7
5r2/p1p3k1/1p1p1n2/3P1Rp1/2P5/3B2P1/PP1K4/8 w - -,g3g4
6k1/1p1nqrb1/1B1p4/PB1Pp2p/QP2Pp2/5PpP/6P1/2N3K1 w - -,b6a7
r3kbnr/1b1p1ppp/p1N1p3/1p6/4P3/2N1B1P1/PPP2PP1/R3KB1R b KQkq -,b7c6
8/4Q2p/4Pppk/8/p1rP4/2q1bb2/6PP/3RR2K w - -,e7f8
8/5pk1/4p3/3pP3/R2P2p1/P2r2P1/r4PK1/5R2 b - -,d3f3
8/8/6k1/p5Rp/5P2/6K1/5P2/4b3 b - -,g6h6
4r1k1/p2r3p/1p4p1/2p2P2/P1PBp3/6P1/4P2P/1RR3K1 b - -,c5d4
8/1P6/8/4bk2/6p1/8/2pBK3/8 b - -,f5e4
1rb3k1/2qnrppp/1p1Rp3/pP2P3/N1P5/P3Q3/4B1PP/2R3K1 b - -,f7f6
8/7p/8/p3k3/2B2pK1/1PN1p2P/5rP1/8 b - -,f2g2
4r1k1/2p2pp1/1p5p/p5q1/P2PPn2/2PQ2BP/2P3P1/R5K1 w - -,g3f4
r2qr1k1/pbpn1ppp/1p1p1n2/3Pp3/2PN4/2N3P1/PP1QPPBP/R4RK1 w - -,d4c6
5rk1/1bq1bpp1/p3p2p/P1p5/1nN1P3/1NQ3P1/1P3PBP/3r1RK1 w - -,f1d1
rnbqk2r/pppp1ppp/8/4n3/1bP1P3/2N1B3/PP3PPP/R2QKBNR b KQkq -,b4c3
rnb2rk1/p1p2ppp/4pq2/1p1nN3/2pP4/P5P1/P3PPBP/R1BQ1RK1 b - -,b8d7
r2q1rk1/pp2bpp1/2N2n1p/3p1b2/2pP1B2/2N3P1/PP2PPBP/R2Q1RK1 b - -,b7c6
rnb1k2r/pp1p1ppp/1q2pn2/2b5/2P5/2N1PN2/PPQ2PPP/R1B1KB1R b KQkq -,b6c7:a7a6
3r2k1/1n2q2p/p2pp3/1pp3pP/2P2rP1/1P2QP2/P3PNK1/3R1R2 b - -,h7h6
8/1r2bk2/1rp1pp2/p2n2pp/P1RP4/1P1R2B1/1K1N1PP1/8 b - -,d5b4:e7b4
8/2p2k1p/2N5/4K3/8/4P1Pn/5P2/8 w - -,f2f4
5rk1/p4pbp/1r4p1/4P3/1P6/P5P1/3N1PP1/R4R1K b - -,g7e5
8/6k1/8/b1RN2p1/r7/5P2/4KP1P/8 b - -,a4a1
r1bq1rk1/ppp1p1bp/7P/3pP1P1/3P4/3PQ3/PP2N1P1/R3K2R b KQ -,g7h8
4r1k1/1p5p/2pp4/p4p2/2Pp4/3P3P/PP4P1/5RK1 w - -,f1f5
r1b1r1k1/5q1p/p1pnpbp1/2Np4/1PnP3P/1Q3NPB/PB2RP2/4R1K1 b - -,d6f5
6k1/1b3pbp/1n1p2p1/3Pp3/1Pp1P3/1qB1QNNP/5PP1/6K1 b - -,b6c8
r7/3b1p1p/3Pk1p1/2R5/3R4/8/P6P/6K1 w - -,c5c2
5rk1/pp2nbbp/1q6/2ppp1Q1/8/2PPN1PP/PP4B1/R1B3K1 b - -,b6e6
1r6/4pqk1/p1n1b1pp/P4n2/1P2NP2/2P2R1P/5QP1/R5K1 w - -,g2g4
5nk1/pQ3pbp/4bnp1/q1Np4/3Pp3/4P2P/PPr1BPPB/R2R2K1 w - -,h2c7
3q2k1/4bppp/1p6/p1n1pP2/P1Q5/2B1P3/1P3P1P/3B2K1 w - -,d1h5
2k5/2p1n1p1/p3q2p/1pP1p3/1P5b/2NQBP2/P3K1PP/8 b - -,h4f6
rn1qkb1r/ppp3pp/4bp2/3p1p2/3P4/2NBP3/PPP2PPP/R2QK1NR b KQkq -,b8c6:d8d7
r3k2r/1pp2qpp/2pbb3/p3p1B1/4P3/2P2P2/PP1NQ1PP/R4RK1 w kq -,g5e3
r4b2/pq5k/4pP1p/1pp1P3/2prR1Qp/6P1/PP3P1P/4R1K1 w - -,e4d4
r1r3k1/p2q1pb1/1pn1p1pp/3p3P/3P1P2/P1N1P2N/1P2QP2/2KR3R b - -,c6a5
3r4/pp4bk/5q1p/6p1/3nR1P1/3Q1P2/PP1R2P1/1K6 b - -,h7h8
r3k2r/p3npbp/bpn1p3/2p4R/4NB2/2Pq1NP1/PP3PB1/R2QK3 w Qkq -,e4d6
b3k2r/8/1q1Ppp2/1pn3p1/2p4p/2P4P/4BPPB/3Q1RK1 w k -,d1d4
4rr1k/ppp3pp/5q2/2pQ1P2/2P1R3/1P3P2/P5BP/3R2K1 w - -,d5c5
r1b1rbk1/pq3p1p/Npp3p1/4p3/8/Q3PNP1/PP2P1BP/3R1RK1 w - -,a3b3
r3k2r/p1q2pb1/1p2p1pp/2pb4/5P2/P2P1N1P/1PPB2P1/1R2QRK1 w kq -,d2c3
rnbqk2r/ppp1bppp/5n2/8/2NPp3/2N5/PPP2PPP/R1BQKB1R w KQkq -,f1e2
3b4/pp3pk1/2bPp3/4P1p1/2R1N2r/P3BP2/7P/6K1 b - -,a7a6
2rqk2r/pp1bppb1/2np3p/4n3/4P2p/1NN2PB1/PPPQ2P1/R3KB1R w KQk -,h1h4
5k2/R4p2/2p2rp1/1p1p3p/1P1P3P/4P1PK/5P2/8 w - -,a7a2
r4rk1/pppq2bp/2n3p1/8/3pPP2/5RP1/PPQ1N1K1/R5B1 b - -,g8h8
1r6/r2n3k/1p1p1qp1/p2P3p/2P1p3/PP1BQ3/6PP/1RR4K w - -,d3e4
8/4k3/2K1P3/8/p7/P7/8/8 b - -,e7e6
r3nrk1/1p3p1p/p1bPp1p1/q7/3B2Q1/3B4/PPP3PP/3R1R1K w - -,d4c3
r5k1/pp6/1n2p1p1/4Pr2/PbpP4/4BN1P/1P3PK1/R2R4 b - -,b6d5
2r2rk1/2pbqpp1/1p5p/2nPp3/p3PP2/P1Q3P1/1P3NBP/2R1R1K1 w - -,c3b4
r3r1k1/1p2bppp/p1p1pn2/q7/2PP1B2/1R3N2/PP3PPP/R3Q1K1 b - -,a5e1
r1bq1rk1/pppn1pbp/3p2p1/4p3/2PPP3/2NBP3/PP2N1PP/R3QRK1 b - -,g7h6
8/5n1p/6p1/Bp1k1p2/5P1K/1P6/6PP/8 w - -,h2h3
3b4/1b3k2/p4pp1/2P1p2p/1P3N1P/5PP1/N3K3/8 w - -,f4d3
1kb3Q1/1pr2p2/3N4/p2pP2P/3P4/2q5/5PP1/4R1K1 w - -,e1f1
8/7p/8/5pP1/n1PN2kP/6P1/1pK5/8 w - -,d4e6
8/p1r1p3/4n3/PP2p1k1/2P1P1p1/4R3/8/2K2B2 w - -,e3a3
8/8/5k2/bP6/3pB3/P4KP1/8/8 w - -,e4d3
6k1/5q1p/p2pr1p1/2pNb3/4RPQ1/3P3P/1r3B2/5R1K b - -,h7h5
5k2/1p4b1/p2p3p/2pPq1p1/2PnN3/1P4PP/P7/1B3Q1K b - -,f8e7
6k1/p4pp1/7p/1p6/4P3/bN3K1N/r7/8 w - -,h3f4
5rk1/4pp2/1p1N1bp1/p7/Pnr1P3/1N6/1PPR2PP/5R1K b - -,c4c2
5bk1/1q3r2/3p3p/2pPpbp1/RrP1N3/4BP1P/P1Q3P1/4R1K1 b - -,b4b2
rnbr2k1/p3qpp1/1p1p3p/3Pp3/4P3/P4NP1/1P1QBP1P/3R1RK1 w - -,d1c1
r1bq1rk1/pp2bppp/2n5/2pp4/3P4/1P3NP1/P3PPBP/R1BQ1RK1 b - -,c8g4
r1b1k1nr/1p2b1pp/p1p2p2/2p5/2Q1PB2/2N5/PPPN1PqP/2KR3R w kq -,h1g1
r1bq1rk1/pp3pbp/1np2np1/8/3N4/1PN1P3/PB2BPPP/2RQ1RK1 w - -,b2a3
2bk4/pr5R/2p1p3/2PpPp1p/KP3Pp1/3BP1P1/6P1/8 w - -,h7h8
rn2kb1r/3p1ppp/pq2p3/3P4/1pn1N3/6P1/1PP1NPKP/R1BQ1R2 w kq -,b2b3
2brr1k1/ppp2pp1/5qnp/3Pp2Q/4P3/2P1P2P/PPB3P1/R3RNK1 w - -,f1g3
r2r2k1/1b2bppp/p1npp3/8/N3PP2/1PBn1NP1/P3R1BP/R5K1 b - -,a8b8
2r4k/p5bB/1n1p4/2pq1p2/1p1n3B/5P1Q/PP5P/3R2RK b - -,d5f3
8/7p/P1k3p1/1n3p2/1P1pp3/1N4P1/3K1P1P/8 w - -,b3c5
rnb1k2r/1p1p1pp1/p6p/2pPq3/N3P2P/1P6/P3K1P1/R2QBB1R b kq -,d7d6
r1b2rk1/pp1n1pbp/1q1ppnp1/2pP4/2P1PP2/2NB1N2/PP1B2PP/R2Q1RK1 w - -,g1h1
rnbq1rk1/ppp2ppp/3bpn2/3p4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQ -,b1d2
8/3n1nk1/1p1p2pp/p2P1p2/1PP2P2/3N2PP/4B1K1/8 w - -,g2f3
R7/8/4K2k/1p4pp/6n1/2Pb1B2/3N4/5r2 b - -,f1f2
3r4/p7/2p2k2/1p2bP2/2p3BP/2Nn4/PPKR1P2/8 w - -,a2a3
8/4Q1k1/5p2/6r1/5KP1/8/8/8 b - -,g7g6
q6k/1b1r2pn/3r1pB1/p1b1pP2/PpPpP2B/1P1R2NP/2P4K/4Q1R1 b - -,h7f8
8/R4pp1/4k3/1P6/PP2K2P/8/4q3/8 w - -,e4d4
8/8/1R4kp/p3prn1/5pQ1/8/q4PP1/1R4K1 b - -,f5f6
8/8/1p3rp1/8/kP4R1/2K5/8/8 w - -,c3b2
R7/p7/1p1kP1p1/5p2/7p/P5nP/1P4PK/8 b - -,d6e6
3r4/4k3/8/2K4p/2P4P/1P3RP1/8/4r3 b - -,e7d7
8/1RR2p1p/3qp1k1/6p1/5PP1/4P1KP/8/8 b - f3,g5f4
r6r/p1pk1pp1/1pn1p1n1/3pP1Pp/2bP4/P1P3PR/2P1NP2/R1B1KB2 w Q -,f1g2
1r1q1rk1/1bp2pbp/3pp1p1/1n5n/Np1P4/1P2PNP1/PBQ2PBP/2R2RK1 w - -,f3e1
3r3k/pp3pp1/5n2/5p1P/8/1NP5/PP3P2/1K4R1 w - -,g1g5
3R4/1B4pk/1P3p1p/p1r4P/1n2PPP1/8/6K1/8 w - -,b7c8
4r1k1/1B3p2/2Nb2p1/7p/1PR5/4P1Pb/5P2/6K1 b - -,h3e6
r1b2rk1/pppp1ppp/5n2/8/4Pq2/2BQ4/PPPR1PPP/2K2B1R b - -,d7d5
8/6kp/3Q4/6p1/4P1P1/2q2PK1/8/8 w - -,g3f2
r1b1k2r/ppppqppp/2nb1n2/1B2p3/3P4/1P2PN2/PBP2PPP/RN1QK2R b KQkq d3,e5e4
8/1k6/3K4/3p4/pN1P4/P7/8/8 b - -,b7b6
8/1b3r2/pP6/P1p1p1P1/2P5/6K1/1N1pk3/3R4 b - -,e5e4
2r3k1/p2q1pbp/6p1/8/2PN3B/Q3P2P/Pr3nP1/2RK3R w - -,h4f2
r1b1k2r/p3bp1p/4p1p1/3pN3/3P1B2/8/PP3PPP/R4RK1 b kq -,f7f6
r3k1r1/1p3pPp/p3bB2/3q4/3Q4/3B4/PPP3PP/5R1K w q -,d4b4
2r3k1/pp3pb1/1r4p1/3RP2q/8/1P2Q3/NR6/1K6 w - -,a2c3
6k1/7p/1p2ppp1/8/bN6/P7/P4PPP/4K3 w - -,e1d2
2kr1b2/ppp1np1r/4pn1p/1P2N1p1/2PPq3/2N1B2P/P3QPP1/R4RK1 b - -,e4h4
r2q1rk1/1pp1p1bp/2n1b1p1/p4p2/2NPn3/PP3NP1/1B2PPBP/R2Q1RK1 w - -,a1c1
8/5pk1/4p1p1/p6p/1p2P2P/1Bb3P1/5PK1/2N5 b - -,f7f5
2r3k1/p3q2p/1p2p1p1/3pPnP1/3P2P1/5N1R/PPr5/1K1RQ3 b - -,e7d7
4r1k1/4p1b1/p3r1pp/2B2p2/8/RP4P1/1P2RK1P/8 b - -,e6c6
6k1/8/1K6/2B5/4qp2/8/8/R2R4 w - -,d1d6
4r1k1/1p2r1p1/p1pbn1p1/3p2P1/1P3p1P/2P2P2/1P2PBB1/3RR1K1 w - -,g1f1
