8/3k4/4Np1p/2pKpP2/1bP5/7P/8/8 w - -,e6f8
1n2nrk1/2qr1ppp/p3p3/1p1p2Q1/2P5/1PN3P1/P2NPPKP/R2R4 w - -,a1c1
8/6pk/8/1Q6/6PP/2p5/KPq5/8 b - -,c3b2
8/pk1p4/8/5p2/6p1/PP1p1r2/2P3K1/3R4 w - -,c2d3
r4rk1/3q1p1p/p2p1bp1/3Pp3/1p1nB3/3QB1P1/PPP2P1P/R1R3K1 w - -,c2c3
r1b1k2r/pp3ppp/2n1pB2/3q4/8/4P3/PPQ2PPP/R3KBNR b KQkq -,g7f6
8/8/3k4/1p3p2/1Pb5/P3R1P1/4B2r/4K3 b - -,d6d5
8/6k1/5pp1/N3p3/1p5p/1P5r/3B1P2/1b3BK1 b - -,h3c3
r1b1k2r/pp2qpbp/2p2np1/2p1p3/P3P3/3PBN1P/1PPQ1PP1/RN2K2R b KQkq a3,b7b6
3r4/1pq2ppk/2pr1n1p/p3pP2/PbP1B3/1P3Q1P/1B3PK1/1R1R4 w - -,e4c2
4r1k1/p3q2p/1p3np1/2p5/Q1P5/7B/P5P1/3R3K b - -,e7c7
r3n1k1/p4pq1/2p1p1pp/8/2P1N3/5PP1/PP2Q2P/2KR4 b - -,a8b8
8/1p2qk2/p4ppQ/P2p3p/bP1B3P/2P5/5PP1/6K1 b - -,e7f8
r6k/pb2q2p/1p2pPp1/2p5/3n1PQ1/3BR3/PP4PP/5RK1 b - -,e7f6
2krr3/1pp2q2/p1np1p2/6p1/2P1b1P1/1PQ1B3/PKP1BP2/3R2R1 b - -,e8e7
4r3/P2k4/3b4/1p1Ppp1p/1p4P1/1P3P2/4KBP1/2R5 b - -,h5g4
3qbr2/1p2n3/6pk/p2pNp2/3P1P1P/P2BP3/2R5/4Q1K1 b - -,e7c6
r1b1kb1r/1pq2ppp/p1p1pn2/8/2P1P3/2NB4/PP3PPP/R1BQK2R w KQkq -,e1g1
8/1bk2n1p/1pp1pNr1/pP1pP3/P2P3P/1qP1Q1P1/6B1/4RK2 w - -,f1g1
3r3k/pp2bpp1/1qb2n1p/5P2/3N3P/3B2Q1/PPP3P1/1K1RR3 b - -,e7d6
6k1/2q3pp/1p3p2/p1p5/2PnrP2/PPN4P/5Q2/1R4K1 b - -,e4f4
5rk1/p4pbp/nr2b1p1/1pp1N2n/5B2/2P3PP/PP2NPB1/R2R2K1 w - -,e5d7
8/8/1P4p1/8/2p5/2Q3P1/1P2q2K/1k6 w - -,h2g1
8/4q2k/1p4pp/8/Q1PbN3/6P1/P4PK1/8 w - -,a4c6
1R6/5pbk/B5pn/4P2p/5P1P/1p4PK/5B2/2r5 b - -,h6g4
r2qkb1r/1b1n1ppp/p3p3/1ppnP3/3P4/2N2N2/PP2BPPP/R1BQ1RK1 w kq -,c1g5:a2a4
1rb1k2r/2q1bppp/3ppn2/p1n5/1p1NP1P1/1B2BP2/PPPQN2P/1K1R3R w k -,g4g5
rn1q1rk1/pp2ppbp/2pp1np1/3P4/2P1P1b1/2N2N2/PP2BPPP/R1BQK2R w KQ -,f3d4
8/1pR3kp/pBb2p2/P3pPb1/2r1P3/7P/6B1/6K1 b - -,g7h6
r4rk1/1b2bppp/pq1ppn2/8/Q2NPPPB/P7/1PP3BP/2KR3R b - -,a8b8
2rr2k1/2q1bppp/p2p1n2/1p1P4/3p4/NP3B2/P1PQ1PPP/R2R2K1 w - b6,d1e1
6k1/5p2/p1q3p1/Pp2P3/1P1Q1Pp1/7P/5K2/8 w - -,h3g4
r1bqkn2/ppp2p1p/3p1nrR/3Pp1B1/4P3/2PB1N2/P1P2PP1/R2QK3 w Qq -,d1d2
4k2r/1p2b1pp/p4p1n/8/PB6/1QP1Kp2/1P4qP/4R3 b k -,f3f2
8/1b5r/p3k1p1/Pp1p1pP1/3p3P/4P1K1/1P2B3/2R5 w - -,e3d4
rn1r2k1/2q1bppp/b2p1n2/p1p1pN2/Pp1PP3/2P2NPP/1P3PB1/R1BQR1K1 w - -,c1g5
r2qkb1r/1b1n1ppp/p1p1p3/3pP3/8/2NB4/PPP2PPP/R1BQR1K1 w kq -,d1g4
8/8/3n4/3pNk2/3P1Pp1/4P1Pp/7P/5K2 b - -,d6e4
8/p1Qb1kp1/2p3p1/8/6P1/8/PPr2PK1/8 b - -,f7e8
2R2rk1/p5b1/1p1q2bp/1B1p2pn/3P4/1N2BP2/P2Q2PP/5RK1 b - -,f8c8
8/8/8/B5p1/3n2P1/3kp2P/8/4K3 w - -,e1f1
r4rk1/ppq1bppp/2p1bn2/3nN3/N2P4/P3B1P1/1PQ2PBP/R4RK1 b - -,a8d8
2r3k1/1p2b1pp/pn2pp2/3pP3/bP1P1P2/P1n1BBN1/3N2PP/2R3K1 b - -,f6f5
8/5p2/1p2p3/p2k3p/P2P1p2/1P1K2PP/8/8 w - -,g3f4
r1bq1rk1/pp2npbp/2np2p1/2p5/2N1PB2/3P1NP1/PPP3BP/R2Q1RK1 b - -,c6e5
2R2bk1/Nq3p1p/p5p1/8/4pP2/1P2B1P1/P5KP/8 b - -,g8g7
3rr1k1/1p3q1p/p2p1pp1/P1pR4/4PQ2/R1P2P2/1P3P1P/6K1 b - -,e8e5
5rk1/pbr1qp2/1p2p1pp/2pnP3/3P2QN/2PB4/P4PPP/2R2RK1 b - -,e7g5
1r3rnk/3q2bp/p1ppb1p1/4pp2/NpPnPP2/1P1P2PP/P2QN1BK/2R2RB1 b - -,c6c5
7r/5n2/3pk3/R3p1p1/8/2P1NPK1/1P5r/3R4 w - -,e3g2
r2q1rk1/p5b1/1p1pb1pp/2pN4/1PPpPP2/P2Q2P1/6BP/2R2RK1 b - -,d8d7
4r3/6k1/p1pq2p1/1p1p1p2/PPnP2rP/3QPNP1/4RK2/6R1 w - b6,a4b5
8/5b2/5k2/2K5/2pB4/r7/6R1/8 b - -,f6e7
r2qr1k1/1pp1nppp/pb3n2/3pP3/3P2b1/1P3N2/P1QN1PPP/R1B1RBK1 b - -,f6d7
8/6p1/6k1/8/p5r1/3K3R/8/8 b - -,g4b4
2r1r1k1/pp2bppp/6n1/3Q4/8/5NBP/P1q2PP1/1R2R1K1 w - -,b1b7
r4rk1/ppqn1pp1/2nbp2p/3p2B1/3P4/1QPB2P1/PP1N1P1P/4RRK1 w - -,g5e3
5r1k/1pbqr1pn/p3p2p/2P1pP2/1P1pP1QP/3P2PB/3B4/2R2RK1 b - -,e6f5
r7/pp2p1rk/1qp3Rb/3pPp2/3P1P2/7P/PPP1N1Q1/6RK b - -,a8g8
q2r4/4bp2/k3p1p1/1pPrP2p/p1pP1P1P/P1P3P1/2Q1RB2/R3K3 b - -,e7c5
5r2/p7/2k5/1pn3BP/2p1KP2/P1R5/1P4P1/8 w - -,e4f3
1r6/6kp/4R1b1/3pP1p1/p1pP4/P3K3/B5rP/R7 b - -,g2h2
r1bq1r1k/pp2Bppp/1npb4/8/3P4/1BN2N2/PP3PPP/R2Q1RK1 b - -,d8e7
4k1nr/1p1b2p1/1p2p2p/3pn2P/r2N1NP1/2P5/PP4B1/R3K2R b KQk -,g8f6
1r2k2r/3q1pbp/p2p1Nn1/2p3Q1/4P3/7R/PP1B1PP1/R3K3 b Qk -,g7f6
8/8/1p5P/8/P7/4k3/2KpBp2/2b5 w - -,c2d1
qr4k1/3nppb1/rn1p3p/2pP2p1/4P3/1PN1BNPP/P2QRPK1/R7 b - -,a6a3
rn3rk1/ppBq1ppp/8/3p1n2/1b1P4/2NQ4/PPP1NPPP/R3K2R b KQ -,f5d4
4R3/5k2/6p1/r7/7P/6P1/5PK1/8 w - -,e8e4
r1bq1rk1/1p1nbppp/p2p1n2/3Pp3/4P1P1/2N1BP2/PP2N2P/R2QKB1R b KQ -,f6e8
8/p6P/1k3r2/8/2P5/Pn1p2P1/8/5NK1 w - -,h7h8q
r1b2rk1/1pN3bp/3p2p1/p1nPp3/2P1P1P1/4Bq1P/PPQ3N1/R3K2R b KQ -,c5e4
r2q2k1/2p1n1bp/p2p1pp1/8/Pp1P4/5N2/1PP1QPPP/R1B3K1 w - -,e2c4
r3k2r/pp1qbppp/2n1pn2/2p5/2Q5/2NP2P1/PP2PPBP/R1B2RK1 b kq -,a8c8
1r4k1/1R3p2/3bp2p/3p2pP/3P2P1/1p3B2/1PbBPPK1/8 w - -,b7b8
r2q1rk1/b1p2pp1/p1n1bn1p/1p2pN2/3pP3/1BPP2NP/PP2QPP1/R1B2RK1 b - -,g8h7
3R4/8/8/3p1p2/5k2/r7/4KP2/8 b - -,a3a2
4r1k1/p4p2/3p2bP/2q5/1p1N2n1/6B1/PPPQ3P/1K2R3 b - -,e8e1
r1bqk2r/pppp2bp/2n2np1/4pp2/2P5/2NPP1P1/PP2NPBP/R1BQK2R b KQkq -,e8g8:d7d6
4R3/8/7p/2b3pP/4B1P1/r1k2K2/8/8 w - -,e4f5
r2qk1nr/pppb1pbp/2np2p1/1B2p3/4P3/2P2N1P/PP1P1PP1/RNBQ1RK1 w kq -,f1e1
8/p4p1k/2b2Pp1/2p1P3/6P1/1P3NK1/1rPR4/8 w - -,f3g5
r4rk1/1bqpnppp/p2bp3/4n3/1P1NP3/2N5/P1PQ1PPP/1RB1RBK1 b - -,a8c8
8/R1br3p/4k1p1/p5P1/Pp6/4B3/1P2KP2/8 w - -,e2f3
8/6k1/8/r5P1/3R2K1/3P4/8/8 b - -,g7g6
8/4k2p/6p1/p2BP3/1p1b1PP1/1P3K2/P6P/8 w - -,f3e4
r1b2rk1/3p1ppp/2n1p3/4q3/8/2PBN3/PP1Q2PP/R2K3R b - -,d7d5
8/8/1p1n4/3Bk1pp/P1p1P2P/4K1P1/8/8 b - -,g5g4
8/pp1n1k1p/2b1ppp1/8/1B1PP1PP/4KP2/P3B3/8 w - -,a2a3
8/6k1/pB6/P4pp1/2B4p/rNb3P1/4KP1P/8 w - -,e2d3
8/4k1p1/5p1p/5P2/1p2BK1P/1Pp3P1/2P1bR2/4r3 w - -,f4e3
8/5k2/p6b/7p/5Pp1/3pB3/P2K1P1P/8 w - -,d2d3
r3r1k1/p1p2ppp/2pp4/8/4P1bq/2N3Q1/PPP2PPP/R4RK1 b - -,h4h5
3r1rk1/pp1nbpp1/1qp1p2p/8/3PB3/4P1P1/PP2QP1P/1RBR2K1 w - -,b2b3
6q1/k1rr1pb1/pp2p3/2p3P1/3pB1P1/P2PBR2/1PP2Q2/1K3R2 b - -,d4e3
1k5r/pp6/2n5/2q1bQ2/6B1/8/PP5P/4RK1R w - -,b2b4
8/p3r2k/3N3p/2pp2b1/3rPp2/3P1R2/6KP/4R3 b - -,d5e4
4r3/5pk1/3p4/3Pp2p/1N2bb2/R7/3n2P1/4R2K b - -,e8b8
rnbqk2r/pp2bppp/2p2n2/3p4/3P4/2N3P1/PPQ1PP1P/R1B1KBNR w KQkq -,f1g2
r4rk1/4npbp/p3p1p1/1p1qP3/2pPQ3/2P2N2/PP1B2PP/R4RK1 w - -,f3g5
b5k1/8/5np1/4p2p/4P3/4BP2/2N3PP/6K1 b - -,g8f7
5rk1/p6p/2n5/2p1np2/4p3/4P3/KP3PPP/3R1B1R w - -,d1c1
Q2k1r2/p3p2p/1p1p2p1/4p3/6P1/2qB4/4K2P/1R6 b - -,c3c8
r1bq1rk1/1ppp1pp1/1bn2n1p/4P3/7B/2N5/PpPNQPPP/2KR1B1R w - -,c1b1
r1b2rk1/2qnbppp/p1np4/4p3/1p1PP3/1P3N1P/PBBN1PP1/R2QR1K1 w - -,d2c4
6Q1/8/3p3q/6pk/5p2/1p3P2/6PK/8 w - -,g8e8
8/ppb2pp1/4p2p/3kP2P/3B4/3K2P1/PP6/8 w - -,d4a7
rnbqr1k1/pp3pbp/2pp1np1/4p3/2PPP3/2N3P1/PP2NPBP/R1BQ1RK1 b - -,e5d4
1n3rk1/2p1q1pp/p3p1r1/P3p3/1p1pP3/2PP2P1/1P1NQP1P/2R2R1K b - -,b4c3
r2q1rk1/pb2bppp/1p2pn2/n7/3P4/2NB1NQ1/PP3PPP/R1BR2K1 b - -,g7g6:f8e8
r1bq1rk1/pp3pp1/2n2n1p/3pp3/8/P1PP4/B1P1NPPP/1RBQ1RK1 b - -,f8e8
2k4r/pp1q2pp/2p2p2/2p2P1Q/3p4/3Pr1PP/PPP3P1/3R1RK1 w - -,f1f3
3r2k1/p1rnbppp/1p2p3/2p5/2PPq3/P3PPP1/1B2Q1NP/2R2RK1 b - -,e4b7
8/2N5/8/2b1kp2/1p4p1/pP1KP1P1/P4P2/8 b - -,c5f8
r2r1nk1/qp3pb1/2p1p1p1/7p/2PP3P/1PBR1NP1/1Q3P2/4R1K1 w - -,b2e2
2r2r2/3bppkp/p1np1np1/1pq5/3NP3/1PP1Q1PP/P3NPB1/2RR2K1 w - -,c3c4
3Q1bk1/1pp2pp1/2r3p1/6P1/3B3P/2P5/Pr2PPK1/8 w - -,d8a8
r3n2r/1p1k1p1p/pPn1p3/2Pp2p1/1P1P4/2NK1P2/R2N2PP/R7 w - -,a2a4
rnbq1rk1/ppp1b1pp/4pn2/3p1p2/2PP1B2/4PN1P/PP3PP1/RN1QKB1R w KQ d6,b1d2
r3n1k1/pp3p2/2npb1pp/2P5/4P3/8/P2RBPPP/5RK1 w - -,c5d6
r4r2/p2q1pbk/1p1p2p1/1Q1Np2p/2P1P2P/3P2P1/3B1PK1/R1R5 b - -,d7c8
r1r1bnk1/1pqnppbp/2p3p1/pN6/PP2P3/2P1BN1P/2Q2PP1/1R2RBK1 b - -,c6c5
5rk1/1p3qpp/1R2p3/3p4/5r2/3Q3P/6P1/2R4K w - -,h1h2
2rbr1k1/1b3p1p/p1q3p1/2p2PP1/P1Pp1B2/3B2P1/1P3Q2/4RRK1 w - -,e1e8
1r1q1rk1/4ppbp/pp1p1np1/n1pP4/2P2P2/2N3P1/PP1BQPBP/1R3RK1 w - -,b2b3
1rbq1rk1/p2nppbp/1p1p1np1/2p5/P2PP3/N1P3PP/1P2NPB1/R1BQ1RK1 b - -,a7a6
r4rk1/p3npp1/1pnqp1p1/3p4/3P4/2PN1P2/PP2N1PP/R2QR1K1 b - -,b6b5
r2r2k1/5ppp/1p2p3/p1b5/7P/PP2P1P1/RB4N1/2R3K1 b - -,d8d2
r3k3/p1p2pp1/2p1q2r/2BpPb2/1P3P1p/P1P2Q2/6PP/R4RK1 w q -,f1f2
6k1/7R/6PK/8/8/1b6/8/8 b - -,b3c4
8/8/8/2R1p3/4rk2/2BK4/8/8 w - -,c3d2
r1b5/1p6/2p2p2/p1k1p1pp/P1P1PnP1/1P2KP1P/2N5/1R3B2 w - -,b1d1
r1bqk2r/ppp1b1pp/3p1n2/3Nn3/2P5/P3BP2/1P4PP/R2QKBNR w KQkq -,e3d4
1R6/4rkp1/1pqn1pp1/b1p1p3/2P1P2N/6PP/5PBK/3Q4 b - -,c6d7
2k5/6R1/1pP5/3K2p1/6p1/8/Pr6/8 w - -,a2a4
r2q1rk1/3p1p1p/6p1/n1p1Q3/8/4Pb2/P3BPPP/R4RK1 w - -,e2f3
2br1rk1/1ppqpp1p/p5p1/Pn1P4/1R3N2/1P4P1/1Q2PP1P/3R2KB w - -,d1d3
rn1q1rk1/pbpp2pp/1p2p3/5p2/1bPP1N2/2nBP3/PPQ2PPP/R1B2RK1 w - -,b2c3
3R4/2r2pk1/p3r1p1/1p2b2p/1B2P3/PP6/6PP/1K1R4 w - -,d8d3
r4r2/ppp3k1/7p/1P6/1PpN1Bb1/3n2P1/1P2K2P/R7 w - -,e2d2
2r4k/5pbp/pQ1nq3/1p1pn3/P4R2/2N5/1PP3PP/5R1K b - -,d5d4
r2qr1k1/pp3pp1/3pb2p/2p1p3/2P1P3/P1QP1PP1/1P2R1P1/3R1NK1 b - -,d8g5
8/p1p1R1k1/5p1p/6p1/2P5/1P4PP/r4PK1/8 b - -,g7g6
8/2k5/p5p1/2r5/3RpP1p/1K5P/6P1/8 w - -,d4e4
8/8/p4kp1/1p5p/2pP3P/P1P1K1P1/1P2R3/3r4 b - -,f6f5
2k4r/pb1p2bp/1p4p1/5pB1/3q4/P7/1P2R1PP/R2Q2K1 w - -,g5e3
8/5pp1/6k1/R7/7P/pP4P1/2Pr1P2/6K1 w - -,a5a3
r1bqkbnr/1p1p1ppp/p1n1p3/2p5/3PP3/2N2N2/PPP1BPPP/R1BQK2R b KQkq d3,c5d4
2r2rk1/pb1qn1b1/1pnp2pp/2p2p2/5P2/N1PP1NPB/PP1Q1B1P/3RR1K1 w - -,h3g2
rn3rk1/p1qb1pp1/4p1p1/1p1P4/2pQP3/2P5/4BPPP/R1B2RK1 w - -,c1a3
r4rk1/ppq3bp/n1ppbnp1/5p2/2P5/1PN2NP1/PB2PPBP/R2Q1RK1 w - -,f3g5
3rr1k1/pp3pp1/2p1p1bp/3n4/3P1Q2/1BP3N1/PP3PPP/3RR1K1 b - -,d5f4
8/6kp/2p2b2/2Pp4/p2Pq2p/P5P1/5Q1K/B7 w - -,a1b2
5rk1/2pp2pp/np2p2q/p5b1/2PP4/PN6/1P2QPPP/1RB3K1 b - -,g5c1
3r1rk1/1p3qbp/2nppnp1/p1p5/2P5/PQN1P2P/1P1BBPP1/1R1R2K1 b - -,d6d5
r1b2rk1/p4pbp/1qn1pRp1/1p1pP3/3P4/2N1B1P1/PP1QP1BP/R5K1 b - -,g7f6
rnb2rk1/pp1pqppp/3b1n2/2p1p1B1/2BPP3/5N2/PPP2PPP/RN1Q1RK1 w - c6,d4c5
r2q1rk1/pb2bppp/1p2p3/2ppP3/3Pn3/1P1BPR2/PBPN2PP/R2Q2K1 b - -,e7g5
2k2b1r/1p2rn2/p1p2Nnp/2P5/3q3P/1Q4B1/P1P3B1/1R3R1K w - -,f6g8
r2q2k1/6bp/pp1p2p1/5r2/2Pp1n2/1P3Q1P/P1N2PP1/1R2RBK1 w - -,f3e4
r1b1kbnr/1p3ppp/2n1p3/3p4/1ppPPB2/2P3P1/PP1N1PBP/R3K1NR b KQkq -,g8e7
1n3rk1/2r1q1pp/bp2pn2/p2pNp2/3P1P2/1PB1PB2/P2Q2PP/3RR1K1 w - -,d1c1
7R/8/8/8/5p2/5k1K/4r3/8 b - -,e2e7
rnbq1rk1/pp2ppb1/3p1np1/2pP3p/2P1P3/2N3N1/PP3PPP/R1BQKB1R w KQ h6,f1e2
r1q2rk1/pp3pbp/n4np1/1Np1p3/2P1P3/BP3B2/P4PPP/R2QR1K1 w - -,d1d2
3rrn1k/p3q2p/1p4p1/3Pb3/5N2/1Q2B1P1/PP3PB1/3R2K1 w - -,f4d3
2b1rrn1/4qpk1/1p1p2p1/p2PpP1p/2PpP2P/6PB/PP1Q1R1N/3R2K1 b - -,f7f6
r1bqk2r/5p2/ppnb2pp/2p1p3/P1BpP3/3P1Q1P/1PPB1PPN/R4RK1 b kq -,d8e7
r2qk2r/5ppp/1p3n2/8/Nn1N2b1/P2pP3/1P3PPP/R2QKB1R w KQkq -,d1b3
4k3/p2n2pp/1qp5/4P3/3pp3/1P4P1/P1R1P2P/2BR2K1 w - -,g1g2
r4rk1/5pbp/1q1p2p1/p1nPp1P1/2p2PB1/2NbP2P/PP3Q2/R1B1R1K1 w - -,f2g2
r4rk1/pppqnpb1/3pb1pp/1P1N4/2Pp4/3P2P1/P3PPBP/1RBQR1K1 b - -,e6d5
8/3b1k2/6p1/4p2p/p3P2P/P1P1KP2/1P4P1/8 w - -,e3d3
r1q3k1/pb3p2/4pQ1p/1p6/3R4/2N5/Pn2BPPP/6K1 b - -,c8f8
1k1r3r/1p3ppp/p3p1b1/4N1P1/1n1P1N2/1P4KP/1P3P2/2RR4 b - -,h8f8
r3kb1r/1bqn1ppp/p2ppn2/1p4B1/3NPP2/P1N5/1PP1Q1PP/2KR1B1R w kq -,g2g4
2b1r1k1/1p2bppp/3p2n1/Q2P4/1PP1pnq1/4BN2/3N1PPP/R4BK1 w - -,f3e1
8/3R1pk1/p1r3pp/1p6/1P2p1PP/4P3/2R2PK1/8 b - -,c6c2
2r5/5pk1/p1q2npp/1p2p3/3pP3/P2P2NP/2rB1PP1/RQ1R2K1 b - -,f6d7
rnbqk2r/pp2ppb1/2p4p/3p3P/3PnBp1/3BP3/PPP2PP1/RN1QK1NR b KQkq -,d8b6
5bk1/2r2p1p/1p2n1p1/4N3/7P/4B1P1/Q1q1PP2/3R2K1 w - -,a2d5
r1r5/pb2bpkp/1p2p3/3PB1p1/4N2Q/8/P1q2PPP/4RRK1 b - -,g7g6
3rr3/1pq3bk/p1b2npp/P1p1pp2/2N5/2PPR1P1/1PBB1P1P/4RQK1 b - -,f6g4
8/8/2b2k2/1p6/1P1N4/P3K3/8/8 b - -,c6e8
r2q1rk1/p4pb1/1pb3pp/2p1B2n/4P3/2P2N1P/PP1N1PP1/R2Q1RK1 b - -,g7e5
2r1r3/1p2nk1p/p3Rpp1/3p4/2n5/1BP2N1P/PP3PP1/4RK2 b - -,c4b2
r2r2k1/pp1b1p2/6p1/2p5/RP1pP2N/2PPnR2/1P4PP/7K w - -,a4a2
r3k2r/pp3p2/1bn1p1p1/3pP2p/1P1p1P2/P3q2P/RB1QN3/1R5K w kq -,d2e3
r4rk1/1bq1bppp/pp2pn2/8/3NP1n1/1BN1B3/PP2QPPP/2RR2K1 w - -,g2g3
k2b2rr/1p1q4/p3p3/P2pP2p/2pPpB1P/2P1QbPB/2P4K/R4R2 b - -,f3g4
5rk1/1pp5/p4q1n/3Pppp1/2P5/1P3QpP/P4bB1/R4R1K b - -,g5g4
1rr3k1/p3pp1p/3bb1p1/Bqp5/1P6/P3P1P1/3Q1PBP/1R2R1K1 w - -,g2f1
r2q1rk1/ppp2pp1/2np1n1p/1B1Np3/1b2P2B/3P1Q2/PPP2PPP/R4RK1 b - -,c6d4
q6k/2Q4p/1nR5/p4p2/P7/1B4P1/1b3PKP/4r3 w - -,c7b6
3rk2r/pb1n1ppp/1p2p2B/2b5/2P5/5N2/PP3PPP/2KR1B1R w k -,h6g7
r3r1k1/pp3p1p/3bp1p1/3P2q1/2Q1P3/2N5/PP2KPPP/3R3R w - -,h2h4
4kb1r/2N2ppp/1rq1p3/p2pPb2/Q1p2P2/P6P/5PP1/3RKB1R b Kk -,e8d7
6k1/p2nqpp1/2R1p2p/3pP3/1B3PPb/P2P4/1r5P/3Q1RK1 b - -,b2b4
1r5k/4q1p1/Q2b1n1p/3bp3/N7/2B3P1/5P1P/1B1R2K1 b - -,e7e6
r3rbk1/1bq2ppp/ppnppn2/8/P3PP2/1NN1BB2/1PPQ2PP/R4R1K w - -,a1d1
6k1/p7/7p/1pB5/2b2K1P/P2r1N2/5PP1/8 b - -,a7a5
8/pb3ppk/2nr3p/8/1b2N3/1P6/P2NRBPP/6K1 b - -,d6d5
r1b1k2r/ppp2p2/2B5/4p1q1/1PP3p1/P1N1b1P1/1B2P2P/R2Q1R1K b kq -,b7c6
r1br2k1/pp1nqpp1/2pbpn1p/3p4/2PP4/1PNBPN2/PBQ2PPP/R4RK1 w - -,a1d1
8/1p1r3p/p3pkp1/P1R1pp2/1P2P3/4KP2/2P3PP/8 w - -,h2h4
rr3qk1/1p5p/2np2p1/8/1p2RP2/1Nb5/P4QPP/2BR2K1 b - -,b8e8
8/8/8/5k2/5n2/R3K3/8/8 b - -,f5e5
rn1q1rk1/pb1p1ppp/1p2pn2/2p5/2PP4/2bBPN2/PP2QPPP/R1B2RK1 w - -,b2c3
8/4B1k1/2p2P2/p3N1K1/3r2P1/1b6/1P6/8 b - -,g7g8
r2q1rk1/1pp2ppp/p1n1bn2/2bPp3/8/1BPP1N2/PP1N1PPP/R1BQ1RK1 b - -,e6d5
r4rk1/2qnbppp/p2pb3/1p2p1Pn/4P3/1NN1BP2/PPPQ3P/2KR1BR1 w - -,c3d5
rnbq1rk1/pp2b2p/2p3p1/3p1p2/2PPnB2/2NBPN2/PPQ2P1P/R3K2R w KQ -,c4d5
5rk1/p1n4p/r2p1pp1/1ppP4/4PP1q/2P2QNP/P3RPK1/3R4 w - -,g2h2
1r6/5kpp/2p2b2/2N5/1B6/P2R1P2/2P1n2P/3K4 b - -,e2f4
r4r1k/4q1pp/p4b2/1ppRp3/4P3/1P4P1/PBP4P/1K2Q2R w - -,g3g4
3r2k1/5p1p/R2p2p1/2pPN3/1p6/1Pn1P2P/4B1PK/8 b - -,d6e5
r1b2rk1/p1q2pp1/2p2b1p/4pN2/Pp2Pn2/1B3Q2/1PPN1PPP/R4RK1 b - -,g8h7
r4rk1/pp1bqppp/2n1p3/1BPp4/3P4/2P2N2/P4PPP/R2Q1RK1 w - -,a1b1
r6r/pp1bppk1/2pp1np1/3PnBQ1/3N4/2P1P2R/P4PP1/qN2K3 b - -,h8h3
3r1rn1/1bpnqpbk/1p1p2pp/p2Pp2P/P3P3/2P1BNN1/1PB2PP1/R2QR1K1 w - a6,b2b4
1nbr2k1/8/p5pp/1p3nN1/3p1R2/P6P/1PP3B1/R5K1 w - -,g5f3
4r1k1/7p/2qp2p1/P3pp2/1B2n3/1P3RPP/5PK1/3Q4 b - -,e8b8
2k4r/ppqb4/2n4P/3pp3/2pP1p2/P1P2R2/1QPB1Nr1/2KR4 w - -,d4e5
