8/p7/1p1p4/3PbB2/P1K1Pk1p/1P6/8/8 b - -,f4g3
4r1k1/1pp3p1/3p3p/p3r2P/1PP1PRP1/P4P2/6K1/2R5 w - -,f4f5
rn2k2r/p1qbnpp1/1p2p2p/1BppP2P/3P4/P1P2N2/2P2PP1/R1BQK2R w KQkq -,b5d3
2rqr1k1/3nbp1p/pn1p2pB/1p1PpN2/8/2P2Q1P/PPB2PP1/R3R1K1 w - -,f5e7
2r1k2r/pp1nbp2/4qp1p/4p3/8/1NP2P2/PP1NQ1PP/3R1RK1 b k -,f6f5
r2q1r2/p3n1kp/1pn2pp1/2p1p3/4bP2/P2P2P1/3QP1BP/1RB2RK1 w - -,g2e4
8/8/3knp2/3p3P/5P2/3K4/6N1/8 b - -,e6f8
1k1q1r1r/pp2ppb1/n2p4/1NpP1bp1/2P3P1/P3P1Pp/1P1Q3P/1R2NRK1 w - -,g4f5
8/5ppp/1R1Pp1k1/4P3/8/4KP2/8/3r4 w - -,b6b4
8/p1R5/7k/2bPr3/P4RK1/6P1/1P3r2/8 b - -,e5g5
2b3k1/p1q2pp1/1pp2n1p/8/6PP/4NB2/PPQ1PP2/6K1 b - -,c8d7
2r2r1k/6q1/1Qn1b1pp/5n2/4N3/P3P1P1/3P1PBP/1RR3K1 b - -,e6a2
5rk1/1p2pp1p/2B2qp1/8/4P3/2R1QP2/1P3P1P/r3K2R w K -,c3c1
2k5/1pp4R/p2pr3/6B1/2P3p1/1P3nP1/P4PK1/8 w - -,g5e3:h7h8
1r3rk1/p2bppb1/3p1np1/q6p/2p1P2P/2N1BP2/PPPQN1P1/K2R3R w - -,e3d4
2rq1rk1/1b2ppbp/p2p1np1/1p1Pn3/1P1NP3/P1N1BP2/3Q2PP/2R1KB1R w K -,f1e2
r1rq2k1/1p3pbp/2bp2p1/pP1Np3/2PnP3/1B1QB3/P4PPP/1RR3K1 b - -,c6d5
2r1kb1r/pppnppp1/6q1/6p1/2BPPn2/2N1N2P/PPPQ4/2K2R1R b k -,e7e6
7k/7p/R5p1/1p2r3/p7/P5P1/1P3P1P/6K1 w - -,a6b6
r3r1k1/pb1n1pb1/2p3pp/q3p3/N3P3/1P3NP1/P1Q2PBP/R4RK1 w - -,f3d2
4r1k1/1b2rp2/p2p1np1/1p1qb3/3N1B1P/P1PB4/1P2RQP1/5RK1 w - -,e2d2
2r5/2rnkppp/p3p3/2p5/1PR5/PN2P3/4KPPP/2R5 w - -,b3c5
r2qkb1r/pb1n1ppp/1p2pn2/2p1N3/2p5/1P2P3/PB1PBPPP/RN1Q1RK1 w kq -,e2f3
r1bqr1k1/ppp1npbp/3p1np1/3Pp3/2P1P3/3BBN1P/PP1N1PP1/R2QK2R b KQ -,f6d7
r4r1k/1ppbqn1p/n2p2p1/3Ppp2/1PP1P3/2N2P2/1Q1NB1PP/1R2R1K1 b - -,c7c5
r3kr2/pbp1q2p/1p1p4/2n2B2/2P5/2P1P2P/P1Q2P1B/2KR2R1 b q -,c5e4
r3kb1r/pp1qpppp/2np1n2/3N4/3QP3/8/PPP2PPP/R1B1K1NR w KQkq -,d5f6
r3r1k1/pq1n1ppp/4p3/2ppP3/4P3/PP4P1/1BQ2PKP/2R1R3 w - -,e4d5
1r1q1rk1/3nbppp/3p1n2/1p1bp3/4P3/1N1QB3/PP2BPPP/R2R2K1 w - -,e4d5
8/8/5k2/3R2p1/7p/5PPK/5b1P/8 w - -,h3g4
rr4k1/p2Q1ppp/2N2qb1/2p5/8/2P5/PP4PP/K1R1R3 b - -,b8f8
3q1rk1/2n1ppbp/p2p1np1/2pP4/1r2PP2/2NBBR1P/RPP3P1/3Q2K1 w - -,c3b1
8/6b1/pp4k1/2p2R2/2P1r3/P1P2p2/1B6/5K2 w - -,f5f3
8/8/8/4kpp1/r7/p2K4/5R1P/8 w - -,f2e2
r2r2k1/p2n1pq1/2p3p1/7p/4PR2/2Q3P1/P3N2P/2R4K b - -,g7c3
6R1/8/8/8/4r1p1/PK2k3/8/8 b - -,e3f3
r3k2r/pp3pp1/4p2p/4b2P/2P5/3R1P2/PP4P1/2K1B2R b kq -,a8c8
r2q1rk1/p5bp/2p1bpp1/3np3/2B4Q/2N5/PPP2PPP/R1B2RK1 w - -,c4b3
r3r1k1/pp6/2n1NQ2/4p3/8/B2b4/P4PPP/6K1 b - -,e8e6
Q7/8/1K5p/6p1/2k5/5P1P/8/1q6 w - -,b6c7
3q1rk1/p3rpbp/5np1/1PN2b2/1B1p4/4pPP1/P3P1BP/2RQ1RK1 w - -,c5b3
2q1k1r1/p4p2/1p2p1p1/3pP2p/1P1P1P1B/7P/PR1Q2PK/2r5 b - -,c8c4
Rn6/1rq2nkp/1p1p2p1/1PpPp1p1/2P1P1P1/2N2P2/5NKP/Q7 b - -,c7e7
r1r3k1/4bpp1/pq1p3p/3Rp3/1p2P3/1P4P1/P1P1QP1P/R3N1K1 b - -,c8c5
4Q3/pp3rbk/6q1/3p1p1p/3P1Pp1/1P4P1/PB5P/2R3K1 w - -,c1c8
5rk1/2q2pp1/2b2n1p/1p2p3/2n1P3/1N1R2PP/2P1Q1BK/R7 w - -,b3d2
1b1rk3/3q1p1p/Q5R1/4P3/1P1p4/P2P2PP/3N3K/2B5 b - -,h7g6
4k3/2p3p1/pp3p1p/1n1P4/1BK3P1/3P4/P4PP1/8 w - -,b4d2
8/8/5p2/R3nk2/6r1/7K/4RP2/8 b - -,g4f4
8/5pk1/7p/3Bb1p1/P1p3P1/5P1P/8/5K2 w - -,d5c4
6k1/5pb1/1pq2n1r/3pBPpp/3P4/1PN1Q2P/6P1/2R3K1 b - -,g5g4
r1bnr1k1/ppp1qp1p/5bpB/4p2n/2B1P1P1/2P1QN1P/PP3P2/RN1R2K1 b - g3,h5f4
r2qrbk1/1pp2pp1/p1n1bn1p/3pp3/4P3/1BPPBN1P/PPQ2PP1/R3RNK1 b - -,d5e4
r7/r1pqbpk1/1p2b3/3pP1p1/P1nP1p2/2PB2P1/2Q5/RNB2RK1 b - -,e6h3
2r5/3kb1pp/p3p3/3pP3/N2P4/3nPNKP/1P6/R7 b - -,c8c2
1Q2r3/p5kp/4q1p1/3p4/1Pp1b2P/N1P1b1P1/P6K/3R1R2 w - -,b8b5
3r2k1/7p/p3p3/4N3/1p3P2/1Rb5/P2p2PP/3K4 w - -,a2a3
2r5/p3k2p/3p2p1/R3np2/5R2/1Br3KP/P7/8 w - -,g3g2
2r4k/5pp1/1pN2b2/1P1N2p1/8/n3P1P1/5P1P/2R3K1 w - -,d5b6
r6r/3bkppp/pq1p1n2/1p2p1N1/2P1P3/N2Q4/PP3PPP/3R1RK1 w - -,c4b5
4R3/8/1k6/1p6/8/1K5r/8/8 w - -,b3b4
r1q1k2r/3b1pp1/1b1Bn3/pN2R2p/8/3Bn3/1PP1Q1PP/4R2K b kq -,e3g4:a8b8
8/1p6/p6P/P1K5/4P3/2k3R1/3p4/7r b - -,c3c2
r1b2rk1/pp1n1pbp/1qp1p1p1/8/2PP4/2NB1N2/PP2QPPP/3RR1K1 b - -,b6a5
8/2rn2k1/2nR1p2/pR2PPp1/3P2P1/8/3BK3/8 b - -,f6e5
r1bqk2r/b1p2pp1/p1np3p/Pp1np3/3PP3/2P1BN1P/1P3PP1/RN1Q1RK1 w k -,e4d5
6k1/p2n1pp1/4b2p/2p2q2/4NB1P/4QPP1/r3P3/3R2K1 b - -,c5c4
8/1p6/pP2p3/P1b1P3/5Ppp/3k4/6K1/4B3 b - -,h4h3
4R3/6pp/3k1p2/R2p4/4n3/4P1KP/6P1/1r6 w - -,g3h2
8/k7/P2pK3/3Pp3/1b2P2p/8/4B1P1/8 b - -,b4c5
r7/5p2/1pp1rkp1/p2p3p/Pn1P3P/1PR1P1P1/5PK1/1B2R3 w - -,e1d1
r3k2r/3bbppp/pqp1pn2/3pN3/QP1P1B2/2N1P3/P4PPP/1R3RK1 b kq -,e8g8
1r1r2k1/5pbp/1nqp2p1/3b4/2p5/N2QP2P/1P1R1PPB/2R2BK1 w - -,d3c2
1r1q1r1k/p5bp/bp1PQ3/4np2/8/N3BB2/P4PPP/2RR2K1 w - -,f3d5
6k1/4BP2/p1p5/1pp1PK2/2P5/1P6/Pb6/8 b - -,g8f7
1Q6/K2k4/8/8/8/5B2/8/8 w - -,b8e5
r1bqk1nr/ppp2ppp/2nb4/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 b kq -,g8e7
1rb2rk1/5ppp/p1q2b2/3p4/8/P2N4/1PP2QPP/2KR1B1R w - -,d3b4
r2q1rk1/1p3ppp/p1pb4/3pBp2/2PPn3/1P4PP/P1R1PPB1/3Q1RK1 w - -,c4d5
5r1k/p1rbbn1p/qpp1p3/4Pp2/PP3P2/4BN2/2Q1P1BP/1RR4K b - -,a6c8
7k/p4r2/8/p1pP2p1/Q1P3Pp/3B1q1P/4RP1K/8 b - -,f3d3
r2r2k1/pb2bppp/nQ3n2/2ppN3/5B2/2N1PB2/PP3PPP/3R1RK1 b - -,a7b6
4r3/2r2k2/p5pp/2p2p2/P3b3/7P/1RP3PN/1R5K b - -,c5c4
4k2r/3nqpb1/r3pnp1/P1p1P1Np/2P4P/4B3/1P1Q1PP1/3R1RK1 b - -,f6g4
7r/1k2rp2/1p2p3/1B1b4/P2R2PP/8/5P1K/2R5 w - -,h2g3
4k1r1/ppr2Q2/4P1P1/3P4/P7/8/2q3PP/5R1K b - -,c7f7
r4rk1/ppp2ppp/1bn5/7q/3p1Pb1/2P3PP/P1P1NRB1/1RBQ2K1 b - -,g4e2
5k2/PR4pp/2K5/6P1/8/8/8/5r2 b - -,f1c1
2r3k1/1q3pb1/2pp2p1/p4b1p/Pn3N1P/1P1PBBP1/3Q1P2/2R3K1 w - h6,f3e4
5r2/6kp/p3qn2/1p1pr1p1/5bP1/2P2p1Q/PPN1N1BP/4R1K1 w - -,g2f3
6k1/2n2pp1/4p2p/1p6/p1qN4/P3P2P/1P1Q1PP1/6K1 b - -,c7d5
rnbqkb1r/1p1p1ppp/p4n2/4p1B1/3NP3/3B4/PPP2PPP/RN1Q1RK1 b kq -,d7d6:h7h6
rn2kb1r/1bq2ppp/pp1p1n2/2pNpP2/2P1P3/6P1/PP1PN1BP/R1BQ1RK1 b kq -,b7d5
2r2rk1/pp1b2q1/3bpp1p/3p1p2/3PnP1Q/P2B1R2/1PPNN1PP/3R3K b - -,d7e8
3rr3/5pk1/p5p1/1ppP4/8/P4RPp/1P3P1P/3R1K2 b - -,e8e5
8/8/3B4/7p/5K2/1P1k4/8/8 b - -,d3c3
6r1/p3k3/1n2p3/4rp1R/2p5/1pP2K1P/1P4P1/1B1R4 b - -,g8g7
r1b1kbnr/ppq4p/2n1p1p1/3pP3/8/2PB1N2/5PPP/RNBQ1RK1 w kq -,f1e1
6k1/1p3p2/1r3bpp/8/8/4PQPP/q4PBK/3R4 w - -,d1d7
8/7p/2knBp2/4nPp1/6P1/2B4P/4K3/8 b - -,d6e4
r2q4/1p4k1/2pnr1p1/p2p1p1p/3P3R/3BP1P1/PP3PP1/2RQ2K1 b - -,d8e7
r2qkb1r/3n1ppp/p4nb1/2p1PB2/2pP4/8/PPQ3PP/RNB2RK1 w kq -,e5f6
r2qr1k1/ppp2ppp/2np1n1b/8/2PP1P2/3B4/PP1BNP1P/R2Q1RK1 w - -,d4d5
8/8/8/p1p5/8/1P1K4/Pk6/8 b - -,b2a2
r7/8/1pr1pR2/p3P2k/3N2Rp/1Pnn3P/6P1/4K3 w - -,e1d2
8/P4k2/1b6/8/8/8/1pK5/8 w - -,a7a8q
2n1b3/4bpkp/p5p1/Np1Bp3/1P2P3/P3BP2/5KPP/8 b - -,c8d6
1n2r3/2p2k1p/p4p2/1pN1pP2/1P4P1/2P2K2/P6P/3R4 b - -,f7e7
r1bqkb1r/pp2p1pp/2n2n2/3p1p2/8/2N1P1P1/PP1PNPBP/R1BQK2R b KQkq -,e7e6
r1b1r1k1/ppp1qpb1/2n3pp/4p2n/4P3/1NPBBN1P/PPQ2PP1/R2R2K1 b - -,a7a6
3rr1k1/ppq3bp/2p2n2/3b2p1/NB1Pp3/1P2PpP1/P2Q1P1P/2RR1BK1 b - -,c7f7
2rr2k1/1bq2ppp/pp2p3/8/2P5/1PN2nP1/P3QPP1/2RR2K1 w - -,g2f3
r1b2rk1/5ppp/p1nqpn2/1p1p4/3P1P2/2NBPN2/PP4PP/2RQ1RK1 b - -,c8b7
8/1p6/p3p3/Pb2Pp1p/4k3/6P1/3K4/4B3 w - -,e1f2
8/5p1k/4n1p1/1p2p1P1/8/2P1B1qp/1PQ5/2R2K2 b - -,g3e3
3rr2k/1p4pp/2p3n1/5N2/2nP2b1/4P1K1/2B2P2/2B1RR2 b - -,g4f5
2r5/q6k/2b1n1pp/2npQp2/2p2P2/5P2/P5PP/BBR1R2K b - -,a7c7
r1b2rk1/pp2qppp/1bn1p3/8/8/PNB3P1/1P2PPBP/R2Q1RK1 b - -,f8d8
6k1/6p1/p1r1pq1p/P2p4/3P4/1Pp1Q2P/5PP1/2R3K1 b - -,c3c2
1rb1k2r/p1pp2bp/2p3p1/3nP1N1/4p3/2P5/PP3PPP/R1B1KB1R w KQk -,g5e4
3rr3/pp4pk/2b2q1p/5p2/2P5/4R2P/P3QPP1/1B2R1K1 b - -,f6g5
rnbqk2r/pp2npbp/3p2p1/2pPp3/2P1P3/2NB1N2/PP3PPP/R1BQK2R b KQkq -,e8g8
8/6k1/3Q2p1/2pPp2p/2P4P/4P3/5q1K/8 w - -,h2h1
4Q3/7k/8/r5q1/pp2b3/8/PP3PP1/3R2K1 w - -,d1d7
4r1k1/pp3rpp/2p1b3/2npPp2/3P1P1q/4P3/PPQ3BP/R4RK1 w - -,c2c5
8/2p2Rpk/3b2rp/6q1/4Q3/1PB3Pb/P2PP1R1/6K1 b - -,h7g8
r1b1k3/1p2qpb1/p1p3p1/3p4/8/1QPBPN2/PP3PP1/2KR4 w q -,d1h1
6k1/q2b1pp1/2p1rn1p/4pN2/1P2P1P1/5P2/3Q2KP/B2R4 w - -,h2h4
8/7k/R6P/P4r2/2K5/7P/8/8 w - -,c4b4
r1bqk2r/pp2n1p1/2n1p2p/2bp1p2/8/2PBPNB1/PP1N1PPP/R2QK2R w KQkq -,d2b3
5rk1/6p1/4p1n1/p5N1/Pb1P3p/4pP1P/6PB/R4K2 b - -,f8c8
3r2k1/p1n1rpb1/1pB3pp/2p1p3/2P5/3PP1P1/PB3P1P/1R1R1K2 w - -,b2c3
r4rk1/ppq1bpp1/2p2np1/4n3/3R4/1PN1P1P1/P3QPBP/R1B3K1 b - -,a8d8
r3kb1r/pppn1pp1/3qp2p/6P1/4Q2P/1P5N/PBPP1P2/2KR3R b kq -,e8c8
8/6p1/p3k1pb/2p1r3/NnPp3P/1P1P4/PB4K1/5R2 b - -,b4d3
r4rk1/4bppp/p2p1n2/q2Pp3/1nB5/4BN2/PP3PPP/R2QR1K1 w - -,e3d2
rn1qkb1r/pb1ppp1p/1p3np1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq -,f8g7:b8c6
2r3k1/3b2pp/8/3Pp3/pPp1N3/N1B4P/5KP1/8 b - -,c8f8
3rrbk1/pQ4p1/2pp2p1/6P1/2Pq3P/6B1/PP3P2/R3R1K1 w - -,b7c6
5rk1/pb3pbp/3Np1p1/q2r4/2p5/P1P1Q2P/1PB2PP1/3RR1K1 b - -,b7c6
r2q1rk1/4bppp/p2p1n2/npP5/4P1b1/4BN2/PPB2PPP/RN1QR1K1 b - -,d6c5
2r2b2/2P2k2/2R4p/5Np1/8/4P1P1/6KP/8 b - -,h6h5
r1r3k1/p4ppp/1qp1p3/3pP3/2b2P2/PNR5/1P3QPP/R5K1 w - -,b3c5
3rk3/1p6/p1b1pq1p/2Pr4/1P6/1R2PP2/P1P2QP1/5RK1 b - -,d5d2
4r1k1/r1pbqpb1/2pp1np1/p6p/2P5/1P2PB2/PBQN1PPP/3RR1K1 w - -,e3e4
1r4k1/r1R2N2/2n1p1p1/7p/q3P2P/4N3/1p3PPK/1Q6 w - -,f7h6
r2qk1nr/1b2ppb1/p2p2pp/1pn5/3BP1PP/2N2P2/PPPQ4/2KR1BNR b kq -,g8f6
rn1q1rk1/pp2ppbp/6p1/2p5/2B1P1b1/B1P2N2/P2P1PPP/R2Q1RK1 w - -,a1b1
8/3k1p2/np2p1p1/p3P2p/2PK1P1P/5BP1/P7/8 w - -,f3e4
8/6k1/3q1pp1/r6p/4PP2/1P2N2b/P4Q1P/2R4K w - -,f2g3
1rb3k1/4p1b1/p1Np2pp/1pq5/2n1P3/6P1/P1Q1N1BP/5R1K b - -,c5c6
2rq1rk1/1p2bppp/p3p3/3n3b/P1BPQ3/1P5P/3N1PP1/R1B2RK1 b - -,d8a5
3rr1k1/1bqnbp1p/pp1pp1p1/7n/1PP1PP2/2N4N/PB2Q1PP/1B1R1R1K b - -,d8c8
1k1r3r/1p1q4/p1p2p2/N1Pn2pp/3p2b1/P2P2P1/2P2P1P/RQ2R1KB w - -,h1d5
r4rk1/1bqn1pp1/pp1p1n1p/2pPp3/P1N1P2N/2P3P1/1P2QP1P/RB3RK1 b - -,a6a5
r3r1k1/1pb1qppp/2p2n2/p1Ppnb2/8/PPQ1PN2/1B1NBPPP/2R1R1K1 b - -,f6e4
r1bqk2r/pp1n1p2/1bn1p2p/3pP1p1/8/1NPB1N2/PP3PPP/R1BQR1K1 b kq -,g5g4
r1n2rk1/q4pp1/p2p1B1P/1p1P1b2/2n1RP1P/PN6/1PP1Q1B1/1K5R b - -,g7f6
rnbq1rk1/pp3pbp/3pp1pn/2pP4/2P1PB2/2NB4/PP3PPP/R2QK1NR w KQ -,d1d2
r2qrnk1/pp4pp/2pb1p2/3p1P2/3P2b1/P1NBB3/1PPQ2PP/R4RK1 w - -,e3f4
3k3r/r2nb1pp/p3PB2/1p1Q4/q7/6P1/5PKP/1NR5 w - -,f6d4
r4rk1/pp4p1/2b1pp1q/8/7R/P1B3Q1/1PP2PPP/R5K1 b - -,h6g5
4r1k1/3q3p/b1p3p1/p2nR3/3B3P/P1P3P1/6B1/4Q1K1 b - -,g8f7
8/4k3/2p1b1P1/2P1K3/2P5/3B4/8/8 w - -,g6g7
r3k2r/1q1nbp2/1p2p3/nPp1P1p1/3pNP2/P2P2P1/2NBQ1K1/R4R2 b kq -,a5b3
2r3k1/5p2/bQ1p2p1/p2Pp2p/2p1q3/2P1P1P1/P5K1/3B1R2 w - -,d1f3
8/r3kq2/3p2p1/4p1P1/4P3/7Q/7P/1R5K b - -,f7f4
rn1qkbnr/pbpp2pp/1p2p3/5p2/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq f6,e1g1
6k1/p2b1p1p/q5p1/8/2rNQ3/4P2P/r4PP1/RR4K1 w - -,a1a2
8/7p/2Np1kp1/1B1Pn3/1P2P3/6P1/4K2P/b7 b - -,a1c3
8/pp4r1/1b1R2p1/3pp3/3k2B1/7P/PP2K1P1/8 b - -,e5e4
r2q1r1k/p2bn1B1/6pp/1Pp5/2Q1P1pP/6P1/4K1B1/R6R b - -,h8g7
8/8/3Pk3/p7/P7/6K1/6N1/3b4 b - -,d1a4
6k1/1p1b2p1/1q1p2rp/p2P1p2/P1P1p3/1P3P1P/1bB1QP2/1R3K2 w - -,b1b2
r4rk1/1ppnqpbb/3p3p/p3p1p1/2P1PnP1/PP1PNN1P/1BQ1BP2/2KR3R w - -,e3f5
r4rk1/ppqbn1pp/2nbpp2/2pP4/8/P1PP1NP1/1P1N1PBP/R1BQR1K1 b - -,e6d5
1r5r/1p1k1p2/p2p4/b1qPp2p/1R2Pp2/1Q5P/2P1RPP1/5BK1 w - -,b4b7
4R3/1p3pk1/p4bp1/2B4p/1P3P2/P3P1PK/r6P/8 w - h6,e3e4
2rq4/pp4k1/1b2r1pp/nP1NNp2/Q1Pp1P1P/P2Pp1P1/7K/2R4R w - -,e5f3
1r3k2/3np1bp/p2pbpp1/1P6/N3P2P/1P2BP2/P1RKB1P1/8 b - -,a6b5
rn3rk1/1p1b2bn/3p2q1/3Pp1pp/1P2Pp2/2N2P2/3NBBPP/1R1Q1RK1 w - -,d2c4
2br1r1k/p2n2pp/8/2PB2N1/3R4/PP4P1/5P2/5RK1 b - -,d7c5
5bk1/5p2/4pPp1/p6p/Qp3P1P/1P1r2P1/7K/8 b - -,d3d2:d3e3
rn2k2r/5p2/b1n1pqpp/p1Pp4/8/2P2N2/P1B2PPP/R1BQR1K1 w kq -,a1b1
r4rk1/1p1bppBp/pq1p1np1/4n3/3NP3/2N3PP/PPP2PB1/R1Q2RK1 b - -,g8g7
2kr1r2/pp1bb1pp/1qn1pp2/1n6/1P1pPPP1/3P2N1/2PN2BP/1RB1QRK1 w - -,d2c4
1k5r/ppp3pp/5n2/nB2N3/1q1rPB2/2N4P/1PR2P2/4K1R1 w - -,f2f3
r2q1rk1/n3bppp/1p1p4/p1nPp3/4P3/4BP2/PP1NB1PP/R2Q1R1K b - -,e7g5
r1b3k1/1ppqrppp/3n4/p1QPp3/4N3/P3P1P1/1P3PBP/2R2RK1 b - -,d6e4
3k4/1p6/p3bppp/4p3/2P1PnPP/1P2K3/8/3BN3 b - -,a6a5
8/p7/P7/1R3p2/5k2/3K4/5b2/8 b - -,f2g1
r1b1k2r/ppppqppp/2n5/3QP3/2P2Bn1/2P2N2/P3PPPP/R3KB1R b KQkq -,f7f6
5bk1/p4p2/1p3q2/4r3/4p1b1/PP2P1P1/3R1PBK/2Q1R3 b - -,e5h5
2r2rk1/1b2qppp/pp1ppn2/4n3/1PP1P3/PN2BP2/3Q2PP/R1R2BK1 b - -,f6d7
r4r2/1R3ppp/2B1pn2/4k3/P3P1PP/1P3P2/2P3n1/2KR4 b - -,a8c8
2kr4/1pq2p2/p1r4p/8/3R1p2/1B2pPnP/PPP3PK/4Q1R1 w - -,e1b4
r2q1rk1/ppb2pp1/2p2nbp/2n5/2N2BP1/2NP3P/PP2P1B1/R2Q1RK1 b - -,f8e8
1r6/p2r2p1/4k2p/3pb3/4p3/1P4PP/P2RPPBK/2R5 b - -,d7c7
8/8/6k1/1p3r2/1R4KP/1P3P2/8/8 b - -,f5d5
2r2nk1/6p1/2p1p1p1/2PBq3/pP1P3R/B4P2/8/6K1 w - -,d4e5
r2qk2r/pbp2ppp/1p2pb2/8/3P4/3Q1NB1/PPP2PPP/1K1R3R w kq -,c2c3
6k1/5p1p/4p3/p2p4/3P2P1/P2R4/r1r2P2/3R2K1 w - -,d3f3
8/5p2/1k2p3/p4p1p/1P6/PK3PP1/1b2N2P/8 b - -,b2e5
2r2rk1/1p3ppp/p3pnb1/2qp4/2B1PB2/P4P2/1PQ1N1PP/2R2R1K b - -,d5c4
2rr2k1/p1qn1pp1/1pbppn1p/2p5/1PPP3B/P1NBP3/5PPP/R2Q1RK1 b - -,d8e8
7R/4k3/3r3p/6pB/3n4/6PP/5PK1/8 b - -,d6f6
2r4k/p6p/bp2Nb2/3B3Q/P2P3P/1P4q1/1R6/R5K1 w - -,b2g2
3rr1k1/pB1p1ppp/1p6/2p1P1b1/8/P2R2P1/1P3P1P/R5K1 w - -,a1d1
rn1q1rk1/pbp3pp/1p2pn2/3p1p2/3P1P2/3N4/PPPNPPBP/R2Q1RK1 b - -,f6e4
8/4k3/p1Bp4/5p2/1pP2P1b/1P5P/1P2K3/8 b - -,e7e6
8/5p2/6p1/1p2BbKp/1P2kP2/8/8/8 w - -,g5h4:e5d6
2kr2r1/ppqb1p2/2n1p3/4Pn2/3p1P2/P1pQ2P1/2P1N1BP/1RB2RK1 b - -,c6a5
8/6pp/p3k3/1p1rP3/2p2KP1/7P/PP2R3/8 b - -,h7h6
2r2bk1/1b3q1p/p2p2pP/1pn2pP1/3N4/1P3PQB/P1P5/1KBRr3 w - -,d1e1
r1bqk2r/1p1nbpp1/p2p1n1p/4p3/2B1P3/2NQBN2/PPP2PPP/R3K2R w KQkq -,a2a4
r1bq1rk1/5p1p/p2pP1p1/8/Pp1Q4/1P3P2/1P2B1PP/R4RK1 b - -,c8e6
2r2r1k/4q1bp/3pb3/RB3p2/2N2p2/2P5/1P2Q1PP/5RK1 b - -,c8c5
5r2/1p4rk/p2RR1p1/4Qp1p/5P1P/6PK/2q5/8 b - -,c2e4
r3k3/ppn1n1qp/2p1p1p1/2PpP3/3P2PQ/1P1BB2P/P5K1/5R2 b - -,e7g8
2r4k/1pr1q1p1/7p/RRn1p3/2PpB3/Q2P1P1P/7K/8 b - -,e7d6
4k3/8/r7/1R3p2/p2B4/PpP5/3K4/8 b - -,f5f4
4b3/2rn4/2p1pk2/2Pp4/3P1KBp/3NP2P/R7/8 w - -,a2a8
r1b1r1k1/1p2qp1p/1np3p1/p3b3/8/1PN1P1P1/PB2QPBP/R3R1K1 w - a6,f2f4
1r2k2r/2p1bppp/1q2p3/pPn1P3/2P1Q3/4BP2/B5PP/3RR2K w k -,e4g4
3q1rk1/pb2n1p1/1p1np2p/3pN3/3P1p2/P3PP2/1P1N2PP/1BQ2RK1 w - -,c1c2
3r4/5pbk/2B3pp/1P6/8/3p2Pb/R4P1P/2B3K1 w - -,c1d2
r2qkb1r/pp1bppp1/2np1n1p/6B1/4P3/1NN5/PPP2PPP/R2QKB1R w KQkq -,g5h4
1r1r2k1/1p3p1p/p2q2p1/8/1Pb1B3/3pR3/1P1Q1PPP/3R2K1 b - -,d6b6
rnb2r1k/ppp1q1b1/3p1n1p/4pp2/3P2pP/1QPBPPB1/PP1NN1P1/2KR3R b - -,a7a6
