8/8/8/8/8/1K6/1bpB4/1k6 w - -,b3c4
r7/5R2/k1N1p3/P1Pn2p1/3P2P1/3K3P/5P2/8 b - -,a6b5
r1br2k1/ppb2ppp/8/3np3/1P6/P3PBN1/1B3PPP/R4RK1 b - -,f7f6
8/4B3/p5k1/P1Pb2p1/3P2Pp/3K3P/8/8 b - -,d5g2
2k5/p7/2p2p1R/1p3P2/2p5/P1K5/1P2r2P/8 b - -,c8c7
r1b1kb1r/2q2pp1/p2ppn1p/1pn5/3NP3/1BN1BP2/PPPQ2PP/R4RK1 w kq -,a2a3
8/8/3bp3/3n3k/3P2Np/1P1R1KpP/3B2P1/6r1 w - -,d2e3
8/R3bkpp/4p3/p3P3/5P2/n1p5/P6P/3K4 w - -,a7c7
8/2R2p2/5k2/2p4r/2P1bP2/4N3/5K2/8 b - -,f6e6
8/5p2/2p1pk2/2r5/8/6P1/r1PRRP1P/6K1 b - -,f6g6
8/N4pkp/5bp1/P7/4Q3/1P2B1P1/5PK1/3q4 b - -,d1b3
r1r3k1/pp4bp/2npp1p1/P2N1q2/2P5/1P2BPP1/R2Q2KP/5R2 w - -,d5f4
r7/pp3k1p/n1p1bp2/5p2/2P2P2/1PN5/P3P1BP/2K4R b - -,a8g8
1rr3k1/4b1pp/p2pb1p1/q3p2P/4P3/1Pp1BP2/P1P1B3/1K2Q1RR w - -,e2d3
8/2r4p/1p1k1p2/7R/PP3K1P/8/8/8 w - -,h5b5
rnbqk2r/p2p1ppp/1p2pn2/2b5/2PN4/1QN1P3/PP3PPP/R1B1KB1R w KQkq -,f1e2
8/8/3kp3/R2p4/7r/P2K4/1PP5/8 b - -,h4h3
r1bq1rk1/pp2ppb1/3p1np1/3P3p/2P5/2N1BB2/PP3PPP/R2Q1RK1 w - h6,h2h3
8/3r3k/4R3/1p5p/1P5K/6P1/5P2/8 w - -,e6e4
8/p3k1r1/2Pq1p2/7Q/7P/5B1K/P4P2/8 w - -,h5f5
5qk1/7p/3p4/2nP4/2P1pP2/2Q5/1P2B2P/7K w - -,b2b4
r2qk2r/bpp2pp1/p1npbn1p/4p3/4P3/1BPP1N1P/PP3PP1/R1BQKN1R w KQkq -,b3c2:f1g3
2r2rk1/2pq1pbp/1p1p1npB/pPnPp2P/P3P1P1/1P3PN1/2BQ4/2KR3R b - -,g8h8
r4rk1/2q3pp/1pb1pp2/2bn4/8/P3PN2/1B1QBPPP/2R2RK1 w - -,f3d4
2rq1rk1/pp1bppbp/1n3np1/3pN3/3P1B2/2PB3P/PP1N1PP1/R2QR1K1 w - -,e5d7
8/8/1k6/pr6/6Kp/6R1/8/8 w - -,g4h4
1rb1nrk1/1p1nqpb1/p2p2pp/P1pP4/8/1QN1PN1P/1P2BPPB/R4RK1 b - -,f7f5
4k1r1/p3n3/1p2Q3/1qp2P2/4BBn1/2P3P1/P5K1/3R4 w - -,d1d2
rnbq1rk1/p1p1ppbp/6p1/3p4/Np1PnB2/4PN2/PPP2PPP/2KRQB1R b - -,b8d7
8/8/3p1k2/2pP3p/2Pr1b2/3B1R1P/5K2/8 b - -,f6g5:f6e7
r7/1pp1k3/7p/p1pPp1bP/P1P5/3B4/1P2KP2/6R1 b - a3,a8f8
b1q4k/2r2rpp/p1pbp3/1pNn1p2/1P1P1PP1/P2QP1BP/2R4K/2R4B b - -,h8g8
8/7p/3p2p1/1K6/8/5k1P/P1P5/8 b - -,g6g5
r4rk1/1p3pbp/2pN2p1/p1n5/P1P5/4PB1P/1P4P1/3R1RK1 b - -,c5a4
r3k2r/pbq1bp2/1pn1p1p1/2p1Pn1p/P2P1P2/1P1P1NP1/3NQ1BP/R1BR2K1 b kq -,c6d4
r2qr1k1/1b1n1pbp/p1npp1p1/1p6/4PP2/1N1B3R/PPPBQNPP/4R1K1 w - -,c2c3
r3r3/ppq2pkn/2ppbnpp/8/3PPQ1N/2PB2NP/PP4P1/3R1RK1 w - -,c3c4
1r1r2k1/p2nb1pp/1qp1b3/3pPp2/2pP1P2/1PN1B1P1/P2Q2BP/R4RK1 b - -,c4b3
r4r1k/1bqn1pbp/p2p1np1/1ppPp3/4P3/N1PBB1NP/PP3PP1/2RQR1K1 w - -,b2b4
6k1/6bp/3r2p1/4n3/1P3N2/PKPpR1P1/3P3P/6R1 b - -,g6g5
8/8/p7/1pKB1p2/1P6/4k3/8/8 w - -,d5b7
r1bqk1nr/1p2ppbp/p2p2p1/2p5/3NPP2/2NB4/PPPP2PP/R1BQ1RK1 b kq -,c5d4
rnbqk2r/1p2bppp/p4n2/2pp4/P2P4/2N1PN2/1P2BPPP/R1BQK2R w KQkq -,e1g1
1r6/pp1k3p/2pbrpp1/3n4/P2P3N/1R4P1/1P1B1P1P/4RK2 w - -,h4g2
2kr2nr/p1q5/1p1p1pp1/n1pPp2p/2b1P3/1NP1B1P1/P4P1P/R2RQBK1 b - -,c4f1
r1bq1rk1/1p3pbp/p1np1np1/2p1p3/4P3/1P1P1NP1/PBPN1PBP/R2Q1RK1 w - -,d2c4
R7/2r1kp1p/2Pbp1p1/1B6/8/6P1/5PKP/8 b - -,f7f5
r1bq1rk1/pppn1ppp/2p5/2b1p3/2N1P3/3P1N2/PPP2PPP/R1BQ1RK1 b - -,f8e8
8/5pk1/5rp1/8/3N4/8/7P/2rR2K1 w - -,d1c1
r1b2rk1/2p2qbn/1p1p3p/PN1Pnp2/2P1p1p1/2B1P1P1/2QN1PBP/R2R2K1 b - -,b6a5
r2qk2r/pp2bppp/2nppn2/2p5/2B1P3/2PP1Q1P/PP3PP1/RNB2RK1 b kq -,e8g8
r2q1kn1/pbpn1rb1/1p1p2Qp/3P2p1/2P1Np2/3B1NB1/PP3PPP/4RRK1 b - -,g7f6
7k/p4p2/2r5/4KP2/2p1P3/P5R1/3r1P2/2R5 b - -,f7f6
2r5/5k2/3b1pN1/7p/4pp1N/1P5P/P4PP1/4R2K w - -,h4f5
6k1/p2R1pp1/2r5/4Pp2/1Pp3pP/2K3P1/P7/8 b - -,a7a6
6k1/3n2pp/p3p3/1p1N1P2/3P2Pb/7P/6RK/1r6 w - -,f5e6
2r4k/1b2b1pp/1q2p1r1/8/B1p1Nn2/2Pp4/RP1N1PPP/3QR1K1 w - -,g2g3
r5k1/pppqn3/2np1r1p/4p1p1/2P1B3/1PPQB1Pb/P4PNP/R3R1K1 b - -,a8f8
8/5k2/5n2/4N3/5KPP/8/8/8 b - -,f7g7
r1bqk2r/ppp2ppp/2n3n1/2b1P3/2Pp4/P4NB1/1P1NPPPP/R2QKB1R b KQkq -,a7a5
rn1qk2r/pp2bppp/2p1pn2/5b2/2QP3N/4P3/PP1N1PPP/R1B1KB1R b KQkq -,f5g6
5rk1/6p1/1p1p4/3P4/pP6/P4PPQ/4q2P/5R1K b - -,f8f3
2r2rk1/pb6/np2q2p/3p1pp1/3Pn3/P2Q1N1P/1P2PPBB/2R2RK1 b - -,f5f4
rn1q1rk1/pb3ppp/1p1ppn2/8/1pPP4/1P1Q1NP1/P2NPPBP/R3K2R w KQ -,e1g1
r3r1k1/1b1nbp1p/pp1pp1p1/6Nn/4PPq1/2NB4/PPPB1QPP/4RR1K b - -,e7g5
2rq1rk1/1b1nbppp/pp3n2/2pp4/3P4/P1N1PN2/1P1B1PPP/1BRQ1RK1 w - c6,f1e1
r2qr1k1/ppp2ppp/2n5/2b4b/2P5/1P1pPPP1/PB1N2BP/R2QR2K w - -,g3g4
b2qr3/5pbk/3p3n/1pnPp2Q/2p1P1N1/2P4P/1PBB1PP1/R5K1 b - -,e8h8
r1bq1r2/pp4bk/2np2pp/2pNp3/4Pp2/1QPP4/PP1NBPPP/R4RK1 b - -,c6e7
1q2r1k1/1p3pp1/7p/1Pp2b2/2N5/4PB1P/1Q1R1PPb/7K b - -,b7b6
4r2k/5p1p/5p2/3p1P2/pbbP1P2/2N1P2P/1P6/1K2R2R w - -,b1c2
2b1r1kr/1p3p1p/p1p3nQ/3pPB2/1P1P4/P7/7R/6K1 w - -,f5c8
4r3/5pkp/6p1/RQ1Np3/4P2P/6Pb/3q1P2/2r2BK1 w - -,d5e3
r4nk1/1p4p1/2p1p3/1r5p/3B4/5qPP/1PQ2P2/3RR1K1 w - -,e1e3
r5k1/3b2pp/p2pr3/8/4pP2/2P3P1/P5BP/1R3R1K w - -,f1d1
rnb2rk1/2pp1ppp/p4n2/3P4/1bBN1B2/2N5/PP3PPP/R4RK1 b - -,d7d6
rn1q1rk1/pp2bpp1/2p1pnp1/3p4/2PP4/2N1PPP1/PP2B2P/R1BQ1RK1 b - -,c6c5
4r3/8/5k2/3R4/pP3B2/4p2P/Pb2K1P1/8 b - -,b2c1
8/6k1/6p1/3r4/P3Q3/1P1p4/KP6/8 b - -,d5d6
r1bqkbnr/pppp1ppp/2n5/4p3/2B1PP2/8/PPPP2PP/RNBQK1NR b KQkq f3,g8f6:f8c5
8/rB6/P7/2R5/P7/2bp4/5k2/3K4 b - -,c3b4
r2q1rk1/1bpnppbp/1p1p2p1/pP6/2PP4/2n1PN2/PB2BPPP/2RQ1RK1 w - -,b2c3
3r1qk1/8/4Q1Bp/7P/3P2P1/2P3BK/RP3b2/8 b - -,g8h8
5rk1/p2p1pp1/b2Rpq2/2R4p/1Pn5/P3Q1PP/4PPB1/6K1 w - -,c5c4
2k5/1b2b1p1/p3p3/5p2/1P5p/2PQ1P2/q1N2NPP/7K w - -,h1g1
5b2/4q1k1/8/3BpQ1p/2P1P2P/6P1/6K1/8 b - -,e7f6
3q1rk1/1b3pp1/3p1b1p/p3N3/Pp1BP3/3B3P/1P1Q1PP1/3R2K1 b - -,d6e5
2r3k1/5pp1/p4b2/1p1qp3/1PrN2Pp/P1PQP2P/2R2R2/6K1 w - -,d3f5
2r2r1k/b2B3p/p2Pqpp1/2p2n2/1PN1p3/P3B3/4QPPP/2RR2K1 b - -,e6d7
rn1q1rk1/pp1nppbp/3p2p1/2pP4/4PB2/2N2B2/PPP2PPP/R2Q1RK1 w - -,d1d2
r1bQr1k1/pp3pbp/2p3p1/4n3/4B3/2P2N2/PP3PPP/R1B1R1K1 b - -,e5f3
1rbq1rk1/4ppbp/2np1np1/8/1p2P3/2N3PP/PP2NPB1/1RBQ1RK1 w - -,c3d5
r2qr1k1/pb2bppp/1pp1pnn1/4N1B1/2PPN3/3B4/PPQ2PPP/3RR1K1 b - -,a8c8
r1bq1rk1/1p3pbp/pn1N1np1/4p1N1/8/2PB3P/PP3PP1/R1BQ1RK1 w - -,d6f7
r2q1rk1/1b3pp1/p1nbpn1p/2N5/8/P1NBB1P1/1P3P1P/R2Q1RK1 b - -,d6c5
rn1q1rk1/pb1Nbppp/1p2p3/3p4/3P4/2N3P1/PP1BPPBP/2RQ1RK1 b - -,d8d7
8/8/3k4/1P1p1ppp/3P4/2K1P2P/5P2/8 w - -,c3d3
8/6pk/1R1p3p/2pPp3/4PpP1/5P2/r6P/4K3 b - -,a2a3
r1b2rk1/1pq2p1p/p1np2pB/4p2n/2P1P3/2PB1N2/P3QPPP/R2R2K1 b - -,f8e8
r2qr1k1/pp1n1ppp/2p1pn2/3pN3/1bPP4/1PNQP3/PB3PPP/R2R2K1 b - -,d8c7
r3k2r/1p2bppp/pn2pn2/3pN2b/5B2/2NP2PP/PP2PPB1/R4RK1 b kq -,e8g8
8/1K1k4/6p1/P4pP1/2PP4/5Nbp/8/8 b - -,g3f2
1R5K/8/8/2n2B2/3k4/8/1p4r1/8 w - -,b8d8
1rb1kb1r/q3pppp/p1pp4/5PB1/N3P3/7P/PPPQ2P1/R3KR2 w Qk -,e1c1
4r1k1/8/pr1p1p1p/3P2p1/1nBpPP2/R5P1/1P2RK1P/8 w - g6,f2f3
6k1/7p/6p1/N7/PnR5/1P1p3r/3K4/8 b - -,h3h2
r1R1r1kb/pp2pp1p/1n4pB/3b4/4PP2/1Q3B2/PP4PP/1K5R b - -,d5b3
2r5/5p1k/p4Pp1/3P4/8/1P3QP1/4R1K1/3q4 b - -,c8c1
8/1pp1k3/3p1p1r/3P2n1/1PPK1R2/3B2r1/6P1/5R2 w - -,f1e1
3rr1k1/pp1nbppp/6b1/q2Pp3/8/2P1N1PP/P3QPB1/R1BR2K1 w - -,c3c4
r4rk1/pp2qp1p/2bp1bp1/4p3/2P1P3/4BP2/PP1QB1PP/R4RK1 b - -,b7b6
r1br2k1/pp2p1bp/6p1/2PnNp2/N1B2P2/4P3/PP4PP/2R1K2R b K f3,c8e6
r3k2r/1p1q1p2/p2bpp2/3n3p/bP1PB2P/P4N2/3BQPP1/2R1R1K1 b kq -,a4b5
8/p3k3/2p4p/2P1K3/6P1/8/8/8 b - -,a7a5
r4rk1/1p1q1p1p/2p1b1p1/8/1Q6/2nP1NP1/P1P2PBP/R3R1K1 b - -,c3a2
3r4/p4Bkp/1pb1Pqp1/P1p5/5P2/4Q3/6PP/1R4K1 b - -,d8d4
2r3r1/5qpp/p2kp3/3b2BP/p1nN4/2P2P1Q/P1P5/K2R2R1 w - -,f3f4
1rb4r/1p2kppp/p2bpn2/8/8/1N2PB2/PP1B1PPP/R4RK1 b - -,c8d7
r1b1kb1r/pp1n1ppp/1qpp1n2/3Pp1B1/2B1P3/2N5/PPP1NPPP/R2QK2R b KQkq -,f8e7
2kr3r/ppp3bp/1n3pp1/8/3P1B2/N1P5/PP4PP/R3R1K1 b - -,h8e8
r3qrk1/1ppb1pbn/n2p2p1/p2Pp2p/2P1P2B/PPN5/3NBPPP/R2Q1RK1 w - -,f2f3
r2r2k1/3n2p1/p1q1p2p/3p1P2/pRpBn3/8/B1P3PP/3QR1K1 w - -,e1e4
8/8/1k5p/4KP2/4B3/1pp5/1p5P/rR6 b - -,a1b1
8/5p2/5k2/1R5p/4KP2/6P1/1P5r/8 w - -,b5b6
3r2k1/1p3p2/p1n2bp1/2q5/2PpQBP1/1P3N2/P4PK1/4R3 b - -,c5e7
8/4k2p/p7/R6P/1r4P1/5K2/8/8 b - -,b4b3
r1bqkbnr/ppp2pp1/2np4/4p2p/4P3/P1P3P1/1P1P1PBP/RNBQK1NR b KQkq -,c8g4
r2q1r1k/1b2bppp/3p4/p3p3/R1B1P3/2P5/1PN2PPP/3Q1RK1 w - -,c4d5
rn1qk1nr/pbpp1pbp/1p2p1p1/8/3PP3/3B1N2/PPPN1PPP/R1BQ1RK1 b kq -,g8e7
2r2rk1/4qppp/bp1bpn2/p2pN3/P1PP4/1P1Q4/1B1N1PPP/2R1R1K1 w - -,d3e3
1k1r3r/pp1q1pp1/3b4/3Pp2p/4B1n1/1P4P1/PBQ2P1P/R4RK1 w - -,e4f5
rnbqk2r/ppp2ppp/3Bpn2/3p4/3P4/4PN2/PPP2PPP/RN1QKB1R b KQkq -,d8d6
r1b2rk1/5pbp/p2Q2p1/1p2p3/2P1P3/2N2P2/PP3qPP/1K1R1B1R b - -,b5c4
8/3R4/1kp5/r7/3P4/1KP5/8/8 b - -,a5b5
1r6/5nkp/2p2pp1/p1B5/P1P1bPP1/7P/1K2B3/3R4 w - -,b2c3
6k1/1pp5/r2q1b1p/2n2RnP/p1P1p1Q1/P7/1PK1B3/3R4 b - -,d6e7
1Q6/1p4pk/2pn4/5r2/1P4NP/1b2RP2/3r2PK/8 b - -,b3d1
2kr4/Qp6/2b1qp2/3n3P/8/P1p2Pr1/2P1BP2/1R2K2R w K -,f2g3
1r6/p2bk1rp/8/2P1pp2/2N4R/P1R3P1/1P3P1P/6K1 w - -,c4e5
2k1r3/p1r4p/1pP5/1P1n1p2/3PpB1P/6P1/4KP2/R2R4 w - -,f4c7
r4rk1/2p3bp/1n1p2p1/3P1p2/qPp1p3/P5P1/2Q1PPBP/2BR1RK1 w - -,d1d2
1Q2b3/4qkp1/2p2p1p/7P/1P6/5BP1/5PK1/8 b - -,e7e5
r4rk1/p1q2pbp/2n1b1p1/3np3/1P6/B5P1/P2PNPBP/2RQ1RK1 w - -,b4b5
r4rk1/3qb1pp/2p1p3/5b2/np1P1P2/pP4P1/P3QBBP/R1R3K1 w - -,g2c6
r4k1r/ppp1qppp/4bb2/7Q/2Bp4/5N2/PPPB1PPP/4R1K1 b - -,a8e8
2bqrbk1/1ppn1ppn/4r2p/p1P1p3/1P6/P1N1BNPP/2Q1PPB1/R2R2K1 b - b3,c7c6
4R3/5ppk/5b1p/1p2N3/1BpP3P/2P3P1/2r2P2/2n3K1 b - -,c1e2
r3kb1r/1p1n1ppp/p3pn2/3p4/3P4/2N3P1/PP2PPBP/R1B1K2R w KQkq -,c1f4
3NR3/p5kp/1p1q4/8/P1p4P/2P2P2/2n3P1/7K b - h3,d6d7
r1bqk2r/3nbppp/p1p1pn2/1p4B1/3P4/2N1PN2/PP2BPPP/R2QK2R w KQkq -,a1c1
r1b1q1kr/pp2b1p1/3p2np/3Pp3/7P/5NN1/PPQ2PP1/R1B1R1K1 w - -,c2e4
r4rk1/p3q1pp/1p2p3/2pbP3/5P2/1P4P1/P5BP/R1QR2K1 b - -,a8d8
4B3/p1p2p2/3bp2p/5k2/2Pr4/1P5P/P1K1R3/8 b - -,f5f6
1rbqnrk1/6bp/pp1p2p1/2pPnp2/P4P2/R1N1P1BP/1P1NB1P1/3Q1RK1 b - f3,e5f7
6k1/7p/2p3p1/1p3pP1/qn1PpP1P/4P3/2r5/R2QKB2 b - -,b4a2
1rq1nbk1/pp4pp/8/2p1n3/2PpBB2/3P2PP/PP5K/R2QN3 b - -,f8d6
6k1/2q3np/4ppp1/1pBp4/1P1P4/2PQ1P1P/6P1/6K1 b - -,c7b8
r2q1rk1/1b1p1ppp/np2pn2/p1b5/2P2B2/P1N1PN2/1PQ1BPPP/3RK2R b K -,c5e7
q1r2rk1/4bpp1/2b1p3/p3p3/1pP1P3/4N1Pp/PPQ2PBP/3RR1K1 w - -,g2h1
r2r2k1/1p2qppp/n1p1b3/p3p3/N1PbP3/1P2B1P1/P3QPBP/3R1RK1 w - -,d1d2
7r/2R5/1p1p1k1p/p3nqp1/P2Bp3/1Q5P/1P3PP1/6K1 b - -,f6g6
r2r2k1/pb2bppp/2p1pn2/qp6/3PN3/P2BPN2/1P3PPP/2RQ1RK1 b - -,f6d7
6k1/1b3p1p/1p2p1p1/p2p4/P1nP1PP1/5B1K/2r4P/1RN5 b - -,c4d2
2rr1nk1/p3qpb1/R5pp/P1p1p3/P1B1P3/5N2/2Q2PPP/1R4K1 w - -,h2h3
r3kb1r/1bq2ppp/p2ppn2/1p4B1/4P3/5P2/PPPQN1PP/1K1R1B1R w kq -,e2d4
2rqr1k1/3n1pbp/ppb1p1p1/4P3/2PB1Q2/6N1/PP2B1PP/3R1RK1 b - -,e8f8
r4rk1/pppqn1bp/2n1b1p1/4p3/3pBP2/2PP2PP/PPQ1N2K/RN3RB1 b - -,e6h3
6k1/r1pnq1bp/1p1p1np1/1P2pp2/2P5/2NPPN1P/1BQK1PP1/R7 b - -,a7a1
1rbq1rk1/pp1pppbp/5np1/2P5/3n4/2N3P1/PP2PPBP/R1BQ1RK1 w - -,d1d4
6k1/1p2q2p/2pp2p1/1Pn2b2/2PQ4/5NP1/5PBP/6K1 w - -,h2h4
Q7/5kpp/2p2p2/2n1pP2/1bP5/BP4PP/q4P2/7K w - -,a8a7
3r2k1/pp3pp1/4p1np/8/P2R4/1P6/3B1PP1/4R1K1 b - -,d8d4
r1b2nk1/4rp1p/6p1/2nPp3/2p1P3/5NN1/1PB2PPP/1R1R2K1 b - -,c8g4
r2nrbk1/p2R3p/2p2Bp1/4p3/N3P3/1P5P/1PP3P1/5RK1 b - -,d8e6
r4rk1/pb1q1ppp/1p2pn2/2p5/2PP4/3BP3/P2QNPPP/R3R1K1 b - -,f8d8
r2r2k1/1b3ppp/pp2p3/8/Pb1Bn3/1P1B1N2/2P2PPP/R4RK1 b - -,e4c5
r2q1rk1/1pn1bppp/p3b3/2ppP3/8/2P5/PPB2PPP/RNBQR1K1 b - -,d8d7
r2r2k1/2R2p2/7p/p2n2p1/3P4/R1N1P1BP/3n1PP1/6K1 w - -,c3d5
1r1r2k1/1q3pbp/3ppnp1/1p6/P2BP3/1PNQ3P/5PP1/2R1R1K1 b - a3,e6e5
r3k2r/p1q1npp1/2p1p1bp/3pP3/Q7/1NP1P1P1/PP4BP/R4RK1 w kq -,a4f4
r1b2r2/1pp1q1bk/3p1npp/p2Ppp2/2P1P3/2NN1BP1/PP2QP1P/R4RK1 w - -,e4f5
rnbqk1nr/ppppppbp/6p1/8/4PP2/8/PPPP2PP/RNBQKBNR w KQkq -,g1f3:b1c3
br6/p1R2pp1/4p1k1/2p2n2/2P5/PP2PP1P/5KP1/1R6 b - -,f5d6
6k1/1r3p1p/4p1p1/3n4/R2P2P1/4P2P/3N1P2/6K1 w - -,g4g5
7r/1Q4p1/5n2/1P3k2/3Ppq2/8/5PB1/4RK2 b - -,g7g6
8/5Rpk/7p/1p6/2p1PP2/5P1P/5R1K/1rr5 b - -,c4c3
r1b2rk1/p1q1bppp/1p2pn2/2p1N3/2BP4/2P1B3/PP2QPPP/R4RK1 w - -,f2f4
r2q1rk1/pb2bppp/np2p3/2p5/3PP3/2P2NP1/P4PBP/R1BQR1K1 w - -,c1f4
r3k2r/p3bp1p/1p3n2/1qpPpPB1/8/6P1/1P4BP/R2Q1RK1 b kq -,a7a5
rnb1kbnr/p2p1ppp/2p1p3/qp6/1P1PP3/2PBB3/P4PPP/RN1QK1NR b KQkq b3,a5d8
r2q1rk1/pp1nbppp/3ppn2/8/3PP3/2N2N2/PP3PPP/R1BQR1K1 b - -,e6e5
r7/2Rb1p1p/3P2p1/P3k3/8/8/3R3P/6K1 b - -,e5e6
rqb2rk1/4bppp/p3pn2/1pn5/8/2NBPN2/PP1BQPPP/2RR2K1 w - -,e3e4
5rk1/pq1nnppp/1p2b3/3pP3/3P2P1/P2B1P1P/1B1QNR2/6K1 w - -,f3f4
5r1k/2p3p1/3p3p/1p2p3/p3P3/1P3q2/P1P5/1K1RQ3 w - -,b1b2
3r1rk1/ppq2ppp/3pb3/6b1/P1BBPp2/1P1P1Q1P/2P3P1/R4RK1 w - -,a4a5
r2q1rk1/ppp1bpp1/2n1p2p/8/3PR2N/2P3P1/PP3P1P/R1BQ2K1 w - -,d1h5
r2q1k1r/p2pppn1/1p1n2p1/2pP3p/2P3P1/2N2P1P/PP1QBP2/2KR3R b - -,a7a6
2R5/p2kb3/4pp2/3p3p/3P3B/8/PP3PP1/6K1 b - -,d7c8
r3kb1r/pb1n1pp1/2p1p2p/qp2P3/3P3B/3Q1N2/PP1N1PPP/R3K2R b KQkq -,g7g5
2Q5/b5kp/p2p1pp1/8/4PPPq/7P/PP5K/3R4 w - -,c8b7
r1b1r1k1/1pqn1pbp/2pp1np1/8/p1PNPP2/2N1BQPP/PP6/R3RBK1 b - -,d7c5
7k/1P4p1/8/8/1B2Q3/4P3/1q2K3/8 w - -,b4d2
r3k2r/1p1bppbp/p1N3p1/4P3/B5n1/8/PPP3PP/R1BNK2R w KQkq -,h2h3
r1bn1rk1/ppp1q1bp/3pp1p1/1P3p2/2PP4/2B2NP1/P3PPBP/R2Q1RK1 w - -,d1b3
2r2rk1/1p2b1p1/pBnpp1qp/P3p3/R3PN2/3Q1N2/1PP2PPP/3R1K2 b - -,f8f4
r2r2k1/1pq1ppbp/2n3p1/p7/2P2Pb1/P1NPpNP1/1P2P1BP/1RQ2RK1 b - -,g4f3
k5rr/ppqbb1p1/2n1pp1p/3pP3/P1pP1P2/2P2NQ1/2PBB1PP/R3R2K w - -,e2f1
r2qk2r/pb1nbppp/4pn2/1Bp5/4P3/5N2/PP1N1PPP/R1BQK2R w KQkq -,e1g1
8/5p2/2k1p3/2p1P2p/2K1bNp1/6P1/5P1P/8 b - -,e4d5
6k1/5p1p/2rb2p1/3Rp1P1/1q5P/p2Q1P2/P4BK1/8 w - -,d3e2
1rbq1rk1/pp2bppp/4pn2/8/1PN5/P1N1P1P1/4QPBP/2R2RK1 b - -,c8d7
