8/p7/2R5/3k1p2/PP3Kb1/6P1/4r3/8 w - -,c6a6
r1bq1rk1/pp1nbppp/3p4/2pP4/5P2/3B1N2/P1PB2PP/1R1Q1RK1 w - -,c2c4
r4r2/pp1kp2p/6p1/1b6/3P4/4B3/PPP2RPP/R5K1 b - -,f8f2
r3k2r/ppq1bpp1/2p2np1/3np1N1/3P3P/1B2BQP1/PPP2P2/R3K2R b KQkq -,e8g8
r1k2b1r/p1pbnpp1/1p5p/2p1P3/8/1PN4P/PBPR1PPN/5RK1 b - -,d7c6
3Q4/2R5/1p2pppk/8/3Pp3/4P1P1/3q1P2/6K1 w - -,d8h8
r3q2r/1ppn2pk/p2pbp1p/4p3/2P1P1PP/PPN1BP2/2P1Q3/2K3RR w - -,c3d5
r1b2rk1/pp1nbppp/4p3/3n4/8/4N1P1/PPN1PPBP/R1BR2K1 b - -,d5f6
8/5pk1/4p1np/6p1/8/6PP/4BP2/3rK3 w - -,e1d1
Q7/p3k2p/8/8/3p4/PP5P/1q3KP1/8 w - -,f2e1
8/6kp/p3p3/1p2Pr2/1P2K3/P5P1/8/2R5 b - -,f5g5
8/b2k4/7p/pr2Pp2/3N1P2/1PRK3P/8/8 b - -,a7d4
7r/1b3kpp/p1nBp1q1/2P1Pp2/1p3Q2/1P1r1P2/P5PP/2R1R1K1 w - -,e1d1
3rq2r/p6k/1p3Qn1/2P3P1/4B3/2P2P2/P6P/5RK1 w - -,f1e1
6k1/5rp1/7p/1pp5/5R2/1P1pB3/P1n2KPP/3N4 b - -,f7c7
rq3rk1/1b2bppp/pp1ppn2/8/2P1PB2/P1NB1Q2/1P3PPP/R4RK1 w - -,f3h3
1k4q1/1pp1n3/p2p1n1p/B1PPp1bP/2Q1Pp2/8/PP3P2/2KNN3 b - -,g8c8
4R3/3r1p2/6p1/7p/4pk2/5r2/8/R5K1 b - -,f7f5
3r2k1/1q3ppp/p3p3/QpB5/6n1/1P4P1/N2rPP1P/R5K1 w - -,a2c3
2r3k1/p1Pb3p/5RpQ/1p6/1n1rP3/1P5P/P5P1/6K1 w - -,f6g6
r2qk2r/pb2npb1/1pn1p1pp/2pp4/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 b kq -,a8c8:c6d4
r4rk1/pbqnbppp/1p6/2p5/2B5/1P2PN2/PB3PPP/R2Q1RK1 b - -,a8d8
r2q1rk1/pp1b2bp/4p1pn/3pp3/3Q1P2/2N1BN1P/PPP3P1/R2R2K1 w - -,f4e5
8/5p2/2n2k1p/2p2P2/2P1P3/2K5/R7/8 b - -,f6e5
1k4rR/pp2p3/2n3p1/3N1r2/8/4KP2/PP4P1/7R b - -,g8c8
3r1bk1/1b6/p5p1/5pP1/1prPp2P/PP2K3/3RNB2/3R4 b - -,c4c8
r1bqk2r/pp2bppp/1nn1p3/2ppP3/3P4/1BP2N2/PP3PPP/RNBQ1RK1 w kq -,c1e3:b3c2
8/5pk1/1R4p1/3r4/6P1/4P3/5PK1/8 w - -,g2g3
3r1b1r/pkp1npp1/1pb4p/2pNP3/2P5/1P3N1P/PB3PP1/R2R2K1 w - -,d5e7
r2q2k1/1pn3bp/3p2p1/p1pP1p2/2P1r3/P3B2P/1P1Q1PP1/2RBR1K1 w - -,d1a4
r2q1rk1/1p2b1pp/2p1pn2/p1npP3/P7/2N1B2P/BPP2PP1/R2QR1K1 b - -,f6d7
2rq1rk1/1bpn1ppp/1p1b1n2/p2p4/Q2P4/P4NP1/1P1NPPBP/R1BR2K1 w - -,f3h4
2b2rk1/4n3/2p4p/p2pq3/Nr3pP1/1P4P1/P2Q2BP/4RRK1 b - -,e5d6
2rqk2r/ppn3p1/2p1ppbp/8/2PP1BPP/P1b3Q1/1P2BP2/R4RK1 w k -,b2c3
r3r1k1/1b3ppp/p1p2qn1/2Q5/8/1B3N1P/PP3PP1/R3R1K1 b - -,g6f4
r5k1/1p2qnp1/1p1pp2p/8/r3P3/2P3Q1/5PPP/1RB2RK1 w - -,g3e3
r2q1rk1/2p3pp/3pP1n1/p1p1p3/2P5/6P1/PP1Q1PBP/4RRK1 b - -,a8a6
3b4/3P4/1p6/p2k4/P1Np2b1/1P4B1/8/4K3 w - -,c4e5
2r1k3/4bpp1/pq1p4/3P2P1/1N2p3/P1P4R/2PQ4/R2K4 b - -,b6g1
2b5/6p1/1k1p1p1p/R3p3/2P1PP1P/2KB2P1/8/8 b - -,b6a5
r1b1r1k1/3n1pbp/p2p1np1/1p1P4/2pNPB2/P1N4P/1PB2PP1/R3R1K1 b - -,f6h5
1r2rnk1/2qb1nbp/p2p1pp1/1ppPP3/P1N2P2/1RNB1Q1P/1P4P1/2B2R1K w - -,a4b5
r5k1/pppn3p/3b1p2/3P3n/2BPRpp1/3N4/PPPB2P1/6K1 b - -,f6f5
r1bq1rk1/ppp2ppp/2n1pb2/8/3P4/P2Q2N1/1PP2PPP/R1B1KB1R w KQ -,c2c3
8/5p2/4p3/4P1p1/4R2p/kr3P1P/2r1NKP1/8 b - -,b3b4
r1bq1rk1/4bppp/pp2pn2/2p1N3/P2n4/2NP2P1/1PP2PBP/R1BQR1K1 b - -,a8a7
r3qrk1/p4p1p/4pbp1/1p1pN3/3P4/2P4P/PP2QPP1/R3R1K1 w - -,e5d3
5rk1/7p/6p1/R1p1p3/4N3/P5PP/2rb1P2/4R1K1 w - -,e4d2
3rr1k1/1p2bppn/2ppb2p/p1n5/Pq1BP3/2N2NPP/1PPQ1PB1/R3R1K1 b - -,e6c8
2rq1rk1/pp2bppp/3pb3/4n3/5B2/2NQ4/PPP1NPPP/R2R2K1 w - -,d3e4
3rq1k1/p4r1p/1npB1b2/4pb2/5P1P/2N2Q2/PPP5/2K1RB1R w - -,d6e5
4k2r/pprbnppp/4p3/3pP2P/3N1PP1/PP6/3K3R/R4B2 w k -,d4b5
3b4/6p1/1p5p/7k/4B2P/1P4P1/4KP2/8 w - -,e4f3
2kr1r2/pp2bp1R/1np2qp1/3p4/3P4/3BPQ2/PP2NPP1/2K4R w - -,f3f6
2br1rk1/ppq3bp/5pp1/n1p1p3/3PP2B/2PB1P2/P2QN1PP/2RR2K1 b - -,c8e6
rnbqk2r/p1p4p/1p2p1p1/3pP1B1/3P2Q1/2N5/PPP2PP1/R3K2R b KQkq -,d8d7
rnb1kb1r/ppp2ppp/4pq2/8/3Pp3/2N5/PPP2PPP/R2QKBNR w KQkq -,c3e4
r6r/p6p/4k1p1/1p1n2R1/2pPpP1q/P1P1P3/1P2Q2P/R6K b - -,h4h3
8/1p6/8/p2N4/8/2k1K3/8/8 b - -,c3b3
1rq2rk1/pp2bppp/3p4/P1pR4/4P3/1B3Pn1/1PP1QP1P/R5K1 w - -,h2g3
r1br2k1/pp2bppp/2nq1n2/1BNp4/1P6/P3P1N1/1B3PPP/2RQ1RK1 b - -,c6b8
1R6/6pk/7p/p7/1p6/r5KP/6P1/8 w - -,g3f4
5rk1/1p1nppbp/3p1np1/q1p5/1RPPP1b1/r1N1BN2/P1Q1BPPP/1R4K1 w - -,b4b3
r7/PR1n3p/2pk2p1/3p1p2/1P1P4/1K1B1P1P/6P1/8 w - -,b3a4
q1r3k1/5pp1/4p2p/8/1b1P3P/1p1bPN2/1P2KPP1/1QR5 w - -,e2d3
1kbr3q/2p1n3/p1n1Q2p/1p3Np1/1P3p2/5NP1/P4PBP/1R4K1 w - -,f5e7
4r3/ppn1r3/2p2kpp/3b1p2/8/1P2PNP1/P2R1PBP/3R2K1 w - -,f3d4
2rrn1k1/1p2bpp1/7p/2pP3P/p1N2BP1/5P2/PP1R4/1K1R4 b - -,c8a8
8/3nk1pp/1p1N1p2/8/bBP5/4KP2/6PP/8 w - -,e3d4
r2q2k1/1p3pp1/p1p1rnnp/1P1pp3/P3P3/1QPPN1P1/3N1P1P/R3R1K1 b - -,e6d6
r1br2k1/5p1p/p1n3p1/2B1b1P1/1PB1P3/3R1P2/P6P/5RK1 w - -,c4d5
8/6pk/7p/P2Q4/q7/6PP/7K/8 w - -,d5d3
2r2r2/pp1n1pkp/2p2np1/8/P1BPq3/2P5/5QPP/R1B1R1K1 b - -,e4f5
r5k1/1p2qpbp/2p1b1p1/p3P3/P1n2P2/2N3PP/1PQ3BK/R5B1 b - -,e7b4
r1b1k2r/1p2bppp/p1n2n2/qB1p2B1/7Q/2N2N2/PPP2PPP/2KR3R w kq -,b5c6
6k1/5pp1/pB5R/1n4R1/p1p1PP2/8/1P3rPK/3r4 w - -,b6f2
5k2/pp2qpp1/2p2np1/3p4/P2P2P1/1P3P2/2P3NP/4Q1K1 w - -,e1d2
8/3k4/2P3p1/b4r1p/3K1B1P/6P1/4R3/8 b - -,d7c6
1r4k1/2pB1ppp/1b1p1r2/8/3PP2q/4BP1n/1P1Q1P1P/R3R2K w - -,d2e2
r1b2r2/pp4kp/2pR2pb/2P1N3/5n2/1BN1R2P/PP3PP1/6K1 w - -,e5d7
5r2/1q3p1k/r4npp/1p1bpN2/8/PP1Q3P/3N1PP1/3RR1K1 w - -,f5e3
r2k3r/pp1b1pp1/2n4p/3NQ3/8/6PB/P3PP1P/5RK1 w - -,e5d6
r1bqkb1r/pp1npppp/5n2/1B1P4/8/8/PP1P1PPP/RNBQK1NR w KQkq -,g1f3:b1c3
r1bqkb1r/pppp2pp/2n2n2/4pp2/2P5/2N1P1P1/PP1P1PBP/R1BQK1NR b KQkq -,f8e7:f8b4:f8c5:g7g6:d7d6:d7d5:e5e4
6k1/3bp1bp/3p2p1/1p1P1p2/p3P3/4BP2/PP2B1PP/1Kr5 w - -,b1c1
rnbq1rk1/p1p1bppp/1p3n2/3p4/3P1N2/P1NBP3/1P3PPP/R1BQK2R b KQ -,c8b7
3r1rk1/1bp2pbp/1p4p1/2q1p3/PpB1Pn2/2P2N1P/3N1PP1/RQ2R1K1 w - -,c3b4
r4rk1/1bqnbppp/pppp1n2/4p3/P2PP3/1PN2N1P/1BP2PP1/R2QRBK1 b - -,f8e8
r1bqkb1r/pp3pp1/2n1pn1p/2pp4/3P1B2/2PBPN2/PP3PPP/RN1QK2R w KQkq -,b1d2
2R5/5pk1/4p3/2p1P1p1/6P1/4P1K1/2r2P2/8 b - -,c5c4
r4rk1/ppq1ppbp/2n1b1p1/6B1/1Q1P4/2P2N2/P3BPPP/R2R2K1 w - -,b4a3
r1bqkbnr/ppp2ppp/2n5/3p2N1/3Pp3/6P1/PPP1PP1P/RNBQKB1R w KQkq d6,f1g2
1r6/3kb3/R2p4/4p3/2P1P2p/P1BK4/7P/8 b - -,b8f8
8/1B6/8/5k2/1P5R/1KPn2pP/4r1P1/8 w - -,c3c4
2Q1r3/8/8/8/2RK4/5kp1/8/8 b - -,e8c8
8/1p4r1/p4k1R/Pb1P1p2/1Pp2B2/4PK2/8/8 b - -,f6e7
8/8/1r6/6kp/2R5/6PK/8/8 w - -,c4c5
8/3n4/pppk1ppp/8/PPK1PP2/2N3PP/8/8 w - -,c4d4
5q2/2k5/1p2r3/2nR4/2PQp2P/6P1/P3BP2/6K1 w - -,d4e3
8/8/5p2/6p1/6Pp/3k1K1P/4R3/2r5 w - -,e2e3
4rr2/2pk3p/1p6/p1pPB1b1/P3Rp2/1P1K1P1P/3R2P1/8 b - -,h7h6
r1b1kBnr/pp3ppp/n1p5/4p3/2P1q3/8/PP2NPPP/R2QKB1R w KQkq -,d1d6
8/pb3qbk/2pR2pp/1pn1P3/2P5/4P3/PBQ3PP/1B4K1 b - -,b5c4
rnbq1rk1/pp2ppbp/6p1/8/3PP3/4BN2/P4PPP/2RQKB1R b K -,c8g4
r3kb1r/4nppp/p3p3/qp1pP3/b2P4/P1P2N2/3QBPPP/1RB2RK1 w kq -,e2d3
2r2rk1/1pq2pp1/p2p2bp/P1nP2B1/1QP1p3/1N6/1P2BPPP/2RR2K1 b - -,h6g5
r4rk1/p1qbb1pp/1pp1p3/2PpPp2/1P1P1P2/2NB4/P5PP/R2Q1RK1 w - -,a2a3
2r1k2r/1p3ppp/p3pb2/8/b1PB2n1/1N1B4/PP3PPP/2R2RK1 w k -,b3c5
2k4r/p1pr1pbp/1n4p1/3pP1N1/8/1P6/P1KB1PPP/5R1R w - -,f2f4
r2q1r2/2p1nPkp/pp1p1R2/7b/3P4/2NB4/PPPQ2PP/R5K1 b - -,f8f7
r1bqr3/p5bk/1ppBp1pp/3np3/4N2P/1P4P1/PQ2PPB1/R4RK1 b - h3,c8b7
r2qk2r/pppb1pb1/2np1npp/1B6/3NP2B/2N5/PPP2PPP/R2Q1RK1 b kq -,e8g8
8/5kpp/2p5/2P1Pp2/1K3n2/2B5/7P/8 b - -,f4d5
r4rk1/1p2pp1p/1q1p1bp1/p1nP4/2P5/1P3P2/P2BB1PP/2R1QRK1 w - -,g1h1
r1bqr3/ppp2pk1/3p4/6bQ/1PPPpN1p/4P1P1/P4PB1/1R3RK1 w - -,g3h4
r5k1/2n1r1pp/b7/p3np2/2P2B2/5P1N/4BKPP/R6R w - -,a1a5
r4rk1/p2bppbp/1p3np1/8/4P3/1N2BP2/PP1RB1PP/4K2R w K -,e4e5
4qk1r/n1p1r1p1/1p2P2p/p4p2/P4P2/1P6/1BQ3PP/4RRK1 b - -,e8g6
8/6r1/p4k1p/4b3/b3Pp2/2R2B2/P3NP1P/5K2 b - -,e5c3
r1bqk2r/pp2npbp/3pp1p1/8/2BpPP2/2NP4/PPP3PP/R1BQ1RK1 w kq -,c3e2
r2q1rk1/2p1bppp/n1p1bn2/p3p3/3pP3/P2P2P1/1P2QPBP/RNB1NRK1 b - -,a6c5
r2q1rk1/p1p1b1pp/b1p1p3/8/3P1p2/P1N5/1PP2PPP/R1BQK2R w KQ -,g2g3
6r1/7k/1p1Np2p/1P2Pp2/2P5/4Q1P1/5Kb1/3R3q b - -,h1d1
8/8/3b1k2/2pp1b2/3P2p1/2K3Pp/4B2P/4B3 w - -,e1f2
1k3r1r/pp2p3/3p4/3Pb1B1/1PP5/P2b2P1/4NRB1/6K1 b - -,d3c4
r1bqk2r/1pp2ppp/p1n2n2/2p1p3/2B1P3/P1NP4/1PP1NPPP/R2QK2R b KQkq -,c8e6
3rr1k1/pp1bqpp1/2n2n1p/2bp4/3N4/P2PBNPP/1P3PBK/R2Q3R w - -,a1c1
6k1/Bp3pp1/2pn4/3p4/PP6/4P3/6P1/4QK1q w - -,f1e2
2r1n1k1/pp1b2b1/4pqPR/3p4/5NPQ/3P4/P2BK2P/8 w - -,h6h8
b1r2rk1/4bpp1/p2p3p/2p5/2PpP3/1P1B1P2/P2B2PP/3RR1K1 b - -,e7f6
r2qr1k1/1p3ppp/p1nb4/3p4/1P1Pn1b1/PN3N2/1B2BPPP/R2Q1RK1 w - -,f1e1
r1b2rk1/4bppp/1p6/2p1P3/1n3P2/2N1P1P1/PPP1Q2P/R4RK1 w - -,e2g2
r1bq1rk1/1p1n2pp/p2p1b2/3Ppp2/P4P2/N5P1/1PP1B2P/R1BQ1R1K b - -,e5f4
r1b2r1k/pp5p/2P2nn1/3p1ppq/3Pp3/BQ2P1PP/P3NPB1/1R2R1K1 b - -,b7c6
r2q1rk1/pb2bpp1/1pn1p2p/2p5/3PP3/P1PB1N2/4QPPP/R1B2RK1 w - -,f1d1
7r/2p1kp2/pb2Qp1B/1p2p3/4P3/2Pr2P1/PP3PK1/R6R b - -,e7e6
r1bq1rk1/ppp2ppp/2n2n2/b3p3/2P5/P1N1PN2/1BQP1PPP/3RKB1R b K -,f8e8
8/8/pp3nBp/6p1/Pk6/5KPP/8/8 w - -,g6c2
6k1/1Q3p2/1p1p1n1p/4q1p1/1P2P3/2rN1KP1/P2rR2P/8 w - -,e2d2
r3r1k1/pp1n1ppp/2p3q1/3p4/3PP3/2NQP3/PP4PP/4RRK1 w - -,f1f4
2r2b2/pp1q1ppk/r6p/2pP4/4PP2/P1BP2R1/Q5KP/6R1 b - -,c5c4
4n3/2p1k3/7p/p2PK3/1p6/8/P3R3/8 w - -,e5d4
r4rk1/p2bqppp/1p6/2npP3/n2N1B2/1RP2PP1/P1Q1B2P/5RK1 w - -,b3a3
8/1p2bkp1/p7/P1p1Bp1p/6rP/1P1PR1P1/2P2K2/8 w - -,f2f3
r2r2k1/ppq1ppbp/2bp1np1/1P6/2PBP3/P1N2P2/4B1PP/R2Q1R1K b - -,c6d7
r4rk1/1bq1bppp/p1p1pn2/1p4B1/4P3/P1N2B2/1PP1QPPP/R4RK1 w - -,a1d1
rnbq1rk1/pp2bppp/2p2n2/3p4/2PP4/3B1N1P/PP3PP1/RNBQ1RK1 w - -,b1c3
2r1br1k/pp1qb1pB/2n1pn2/3p2N1/3P1B2/P7/1P2NPPP/RQ3RK1 w - -,h7g6
r4rk1/pp3ppp/1q2b3/8/5P2/2Q4P/PP3PB1/3R1RK1 w - -,a2a3
r3r1k1/p2q2pp/Pp2bn2/3p1P2/1P6/2Q4P/2BB2P1/4RRK1 b - -,e6f7
r2r1k2/b1p1n1pp/P2pRp2/PBp5/5P2/2B3PP/8/3R2K1 w - -,g1g2
1R6/r4p1k/6pp/1B6/P2b1P2/2n3PP/3R2K1/8 b - -,d4f6
r4rk1/1bqn1ppp/5n2/p3pB2/1pPP4/4P3/1B1N1PPP/R2Q1RK1 w - -,d1c2
r7/6k1/1qpbprbp/1p3pp1/3P1P2/P1R3PQ/1P2B1N1/3R3K b - f3,g5g4
r2q1rk1/1b2npp1/p2p3p/1ppPp3/4P3/1BP5/PP1NQPPP/R4RK1 w - -,a2a4
6k1/R1R3p1/4p2p/p7/Pb6/4P1P1/5PKP/r7 w - -,c7g7
r1bqk2r/pppnbppp/1n1pp3/4P3/2PP1B2/2N2N2/PP3PPP/R2QKB1R w KQkq -,c3b5
r2qkb1r/pppb1ppp/8/3p4/3P4/2nB4/PPP2PPP/R1BQK2R w KQkq -,b2c3
3r3r/pp2bkp1/5p2/4B2p/7P/2P5/PP1N2P1/2KR3R b - -,f6e5
3k4/1R3P2/2pN4/p1Pb4/P3p1pK/8/5r2/8 w - -,b7b8
7R/8/3pk3/8/4K3/6B1/3r4/8 w - -,h8h7
8/2bqk1Q1/8/1p3p2/3B4/P5P1/1P3P2/6K1 b - -,e7e8
1r1r2k1/pp1bbppp/2n1p3/q3P3/2B1Q3/2P2N2/P2B1PPP/1R1R2K1 b - -,a5a4
6k1/5r2/5q2/2Npn3/1P6/8/4Q1P1/4R1K1 b - -,d5d4
1r1r2k1/1ppnqpp1/p2bpn1p/4N2b/1P1P4/PQ2PN1P/1B2BPP1/2R1R1K1 b - -,d6e5
2kr1n1Q/pppbqp2/3p1np1/3Pp3/4P2B/2PB1N2/P1P2PP1/R3K3 b Q -,f8h7
2rr1nk1/1b2bpp1/q3p2p/2pnP2P/3p2N1/1P1P1NP1/P2BQPB1/2R1R1K1 b - -,a6a2
r1b1nrk1/pp3p1p/3Np1p1/qN6/2P5/B5P1/P3PPBP/Q4RK1 b - -,a7a6
rn3rk1/pppq1pbp/3p1np1/4p3/2P1PP2/2NP2Pb/PP2N1BP/R1BQ1RK1 w - -,f4f5
r7/1b2kpp1/1p3n2/pP1pP2p/2pP4/2P1NP1P/2B2KP1/R7 b - -,f6e8
1k4r1/1pq2p2/p2b1nrp/2pP1Q2/P1P1P3/2N2B2/1P6/R4K1R b - -,d6e5
7k/p4Qp1/np2P2p/2p2p2/5P2/P3B1P1/1Pq2K1P/8 w - -,f2g1
2r2rk1/pb1qppbp/1p4p1/4B2P/2pP4/2P5/PPB2PP1/R2QR1K1 b - -,f8e8
8/1p2kp1p/2p3p1/3r4/3P3P/2R1P1P1/3K1P2/8 b - -,d5a5
r1bq1rk1/ppp2pp1/2np3p/3Np3/2PPn3/2Q2NP1/PP2PPBP/R3R1K1 w - -,c3e3
1rb2rk1/5pp1/3p3p/ppq1p1b1/P3P3/1BNQ4/1PP2PPP/R4RK1 b - a3,b5b4
8/2p2p2/8/1k1bPKP1/5B2/1p6/4r3/5R2 w - -,e5e6
5rk1/1p3pp1/p2r2np/3Bp2Q/1P1q4/6P1/P4P1P/3R2K1 w - -,d1d4
8/8/pp1k1p1p/3p1PpP/1P1N2P1/P6b/5K2/8 w - -,f2g3
5rk1/1b4p1/5b1p/p2B4/NpNR2p1/1P6/P5PP/7K b - -,b7d5
r1b3k1/ppq1n1b1/2p1p1p1/5p2/2PP4/4PR2/PP2B1PP/3RQ1K1 b - -,c8d7
r2q1rk1/ppp3p1/3bRnpp/3p4/3P3B/1PN5/1PP1QPPP/R5K1 b - -,c7c6
r1b1kb1r/p2p1ppp/4pq2/8/B1pnP3/4R1N1/1PPP1PPP/2BQK2R b Kkq -,c8b7
1r6/Q3p1bk/3p2pp/p3n3/2q1NB2/6PP/5PBK/8 b - -,e5c6
r3kb1r/1bqn1ppp/pp1ppn2/8/2PNP3/1PN2Q2/P1B2PPP/R1B2RK1 b kq -,f8e7
8/6p1/2k1r2p/p1pn1p2/Pp5P/1P3PP1/3B1K2/2R5 b - h3,h6h5
2rq1rk1/1b1nbppp/8/3npP2/1p6/1N3B2/NPP3PP/R1B1QR1K w - -,e1g3
r1bq1rk1/ppp1b1np/3p1np1/3P4/2P1NB2/3N2P1/PP1QB2P/R4RK1 w - -,d3f2
1r2r1k1/2qb2bp/p2p2p1/3P1p2/1BP1p3/P5PP/3Q1PBK/1R2R3 w - -,b1c1
r1b1k2r/pp3p2/4p3/3pP2p/2p3qP/P3n1PN/4RPQ1/6K1 w kq -,e2e3
1rb2rk1/pp3ppp/5n2/4p2q/2P5/2N1P1PP/P1Q1P1B1/1R3RK1 w - -,f1f6
1r5k/1b3Rp1/2p4p/p1P5/3Q4/1P4P1/6BP/1q4K1 w - -,g2f1
7k/p5p1/1bb4p/1p2B3/8/1NPr3P/PP2R1PK/8 b - -,d3d1
3rn3/2p1qp1k/1p1r2p1/p2Pp3/P3P1Bp/2R2PP1/2R3KP/2Q5 w - -,c1e3
1k1r4/1p1rqpp1/p1p2b1p/P3p3/1P1P4/2PB4/4QPPP/RR4K1 w - -,e2f3
8/6b1/4k1p1/2N2p2/2n5/4pPP1/4K3/8 b - -,e6d5
r1bq1knr/pp1nbppp/4p3/2PpP3/6Q1/5N2/PPPN1PPP/R1B1KB1R b KQ -,d8c7
5rk1/1p1b3p/8/1P1pPp2/p2Np3/P1r4P/6PK/R4R2 w - -,e5e6
8/r2k4/1R6/4Bp2/5P2/1K6/2r5/8 b - -,c2c6
r2q1rk1/pp1n1ppp/2p1pnb1/8/PbBPP2N/2N2P2/1P4PP/R1BQ1RK1 b - -,e6e5
4r1k1/pppq1np1/8/3p1P2/5QP1/6NP/PP4K1/5R2 w - -,g4g5
2r1kb1r/pp3pp1/5n1p/4p3/3n1P1B/2N2P2/PP5P/2KR1B1R b k -,g7g5
8/7p/r4pp1/5k2/P7/4R2P/5PP1/5K2 w - -,e3a3
8/3n1pk1/8/4KP1p/5P1P/6P1/4B3/8 w - -,e5e4
8/5p2/Rp6/1P2kp1p/Pb6/5P2/6KP/8 b - -,b4a5
r3r1k1/1p1nbpp1/2p1bn1p/p2pN3/P2P4/2NB3P/1PPBRPP1/4R1K1 w - -,e5d7
6k1/5p2/3p2p1/3P3p/r1p1P3/5PqP/1QR3P1/6K1 w - -,b2c1
r1bqk1nr/1ppn1pbp/p2pp1p1/8/P2PP3/2N1B2P/1PPQ1PP1/R3KBNR b KQkq -,h7h6
