8/8/1pBp4/p7/1rPk4/1P1n4/P4R2/6K1 w - -,f2f6
k7/P2R3p/4pb2/2p5/2q3p1/1r6/5pPP/3Q1N1K b - -,f6d4
r2qk2r/ppp2ppp/2pbbn2/4p3/4P3/3P1N2/PPPN1PPP/R1BQ1RK1 w kq -,d3d4:b2b3
r4rk1/ppqn1ppp/2pb1n2/4p3/4P2N/6PP/PPP1QPB1/R1B1R1K1 b - -,g7g6
3r2k1/4pp1p/6pb/p3P3/Pp1r4/1P5P/2R1RPP1/4B1K1 b - -,d4d3
6k1/5p1p/1p4p1/pP2P3/4QP2/1P1nq1PP/6BK/8 b - -,e3e4
r1bqkb1r/ppp2p1p/2np1np1/8/2P5/1PN5/PB1QPPPP/R3KBNR b KQkq -,f8g7
2r2nk1/1q2bpp1/p3p2p/1p1nN3/3PQ3/P4PBP/1PR3P1/1B4K1 b - -,c8c2
r3r1k1/p1q5/2pbnppn/1p2p2p/4P2P/1P1N1PP1/PBP1QNK1/R3R3 b - -,h6f7
1rq1nrk1/5pb1/1p1p2p1/pNpBp2p/P1PP3P/1PB1P1Pb/5P2/1R1Q1RK1 w - -,f1e1
1nkr3r/p7/1pp1qp1p/4p1p1/4P3/2PN2Q1/PP3PPP/R2R2K1 w - -,g3f3
r2qk1nr/pppn1pbp/3pp1p1/8/2PP4/2N1BP2/PP2BPPP/R2QK2R w KQkq -,f3f4
r1bq1rk1/pp1nbppp/2n1p3/2ppP3/3P1P1P/2P2N2/PP2N1P1/R1BQKB1R b KQ h3,a8b8
8/8/rp1pNk2/2p2p2/2P4p/3BK2P/8/8 w - -,e6f4
r7/3b2k1/4p2p/3p4/p2P4/R1P3P1/4r3/3B2K1 w - -,d1e2
3B1b2/5p2/1kp1p1p1/7p/1PpPR2P/rrP3P1/2RK1P2/8 b - -,b6b7
2r2rk1/p4pp1/1p1q1n1p/4n3/2P5/PQ3NP1/1B2PPKP/2R2R2 b - -,e5c6
6k1/4R1b1/2p3p1/2B4p/2P1N1bP/1P4P1/r7/5K2 w - -,e7e8
2rqbr1k/pp2b2p/4p1p1/3pP3/3N1RP1/1P5Q/PBP4P/5RK1 w - -,f4f8
5r2/6k1/4q3/3pN3/1p1P1p2/b6P/6PK/1Q3R2 w - -,b1c2
4r1k1/p4pp1/1bp4p/3p4/1q6/1P1Q2P1/P1P2PKP/1N3R2 b - -,e8e6
1kr4r/1pq1bp2/p2pp1pp/8/N1nRPB1P/5P2/PPP2QP1/1K1R4 w - -,d4c4
r3kb1r/pp3ppp/2n1pn2/3q4/3P4/P3BN2/1P3PPP/1R1QKB1R w Kkq -,d1c2
6k1/6pp/1R4p1/8/8/5PbP/5rP1/4N1K1 b - -,f2e2
3qnrk1/3nppbp/r2p2p1/2pP4/4P3/N1N2P2/PP4PP/R1BQK2R w KQ -,a3c4
3nk3/1p3p2/2p4p/p1b1pN2/P3P3/5P2/1PP3P1/3R1K2 b - -,c5f8
1b1rr1k1/ppq3pn/2p1pp1p/8/3PP2P/2B2QP1/PP3PK1/3RR1N1 w - -,g1e2
3rn1k1/p4ppp/8/2pPrN2/4P1R1/P7/6PP/2R3K1 b - -,g7g6
b3R3/2b2kn1/3q1pp1/r2p1n2/1NpP1P2/P1P2BP1/1B3QN1/4R1K1 b - -,g7e8
6k1/2p2pbp/1p4p1/p2p4/P2P4/2Pbr3/5NPP/R5K1 w - -,f2d3
r1bq1b1N/pppkp2p/3p4/7Q/4p3/8/PP1P1PPP/nNBK3R w - -,h5h7
r3r1k1/1pq2ppp/p2p1b2/2pPn3/2P2B2/1P1P1N2/P2Q2PP/4RRK1 w - -,f3g5
5rk1/r6p/1q2n1pb/2p1Pp2/1pPp1P1P/3P1N2/1P1B3K/1R1Q2R1 w - -,f3g5
8/b3k3/5p2/P1nBp3/2N3K1/8/8/8 b - -,a7b8
r6k/pp3p1p/2rpp2P/6Pp/2b1P3/P1N2P2/1PPR1K2/7R b - -,a8g8
1r6/8/5p1n/1p2k1pP/p1p1P1P1/2P1K3/1P6/R2B4 b - -,b8d8
2r2k2/6RR/1p4p1/3p4/p7/n1P5/5PPP/6K1 w - -,g7g6
2krr3/2p1qppp/1pp1bn2/8/4N3/6P1/PPP1QPBP/2KRR3 b - -,d8d1
3k3r/1pq2Ppp/p1r5/1QBp4/5P2/5N2/PP4PP/1K5R w - -,b5b4
8/5k2/p2p4/1pn3b1/8/8/P1P1R3/6K1 w - -,g1f2
3b2k1/4qpp1/8/p2Bp1pQ/1p2P2P/P6K/1P3P2/8 w - -,h4g5
1rb4r/4k1b1/pp6/3Bpp2/2Pp3p/6P1/PP1NPPK1/2RR4 b - -,h4g3
7r/4q1k1/3p1pb1/2pP2p1/2P1P3/1PQ3N1/7R/6K1 b - -,h8h4
8/1R3pp1/p4bkp/3p4/5K2/1P6/P1r2B2/8 w - -,f2a7
8/8/1p1k2P1/p7/P1r3KP/8/4R3/8 w - -,g4g5
2rq1r2/1p2ppkp/2bp2p1/p1nN4/P3P3/1P6/2P2PPP/R2QRBK1 b - -,e7e6
r2qrbk1/pbpn1ppp/1p1p1n2/4P3/1PP1P3/P1N2N2/1BQ1BPPP/R4RK1 b - -,d6e5
1r1qrbk1/2pb1ppp/p1np1n2/P4NB1/3NP3/2P5/2B2PPP/R2QR1K1 w - -,d1d3
8/8/5p2/4b1kp/6p1/3B2P1/1p2K2P/2r2R2 w - -,d3e4
r2q1r2/p4pbk/1pn3pp/3p1n2/3p2b1/2P1BNP1/PP1QNPBP/R2R2K1 w - -,e3d4
5rk1/3b1p2/1n1p2pp/3Pp1b1/1p2P3/1N1QN1P1/qPR1BP1P/6K1 w - -,b3c1
r2q1rk1/pbp1bppp/np3n2/3pN3/3P4/2N3P1/PP2PPBP/R1BQR1K1 b - -,c7c5:f8e8
r1br2k1/pp3p1p/2nq1nP1/4p3/2Pp4/4P3/PP2BPP1/R1BQK1NR b KQ -,f7g6
3rk2r/2q2pp1/2p1p1b1/pp1nP2p/5PP1/PB5P/1PPBQ3/2KR1R2 b k -,h5g4
r2q1rk1/pb2bppp/np2pn2/8/3NP3/P1N3P1/1PQ2PBP/R1BR2K1 b - -,d8e8
r1b2rk1/ppp1b1pp/3ppn2/3P1p1q/1nP5/1QN2NPP/PP2PPB1/R1B2RK1 b - -,b4a6
8/8/8/6k1/pK2N3/1b6/1P6/8 b - -,g5f4
5rk1/p4ppp/B1r2n2/2B5/N3b3/1P4PP/P4P2/R5K1 w - -,a6b5
3rr1k1/2Q2p1p/6p1/8/4n1P1/4PN2/5P1P/3nB1K1 b - -,d8c8
1rb2rk1/ppq1npbp/3p1np1/2pPp3/4P3/2P2NPP/PP3PB1/RNBQR1K1 w - -,a2a4
6k1/Bp3pp1/2r1p2p/P1Pn4/8/1B1b2PP/5P2/2R3K1 b - -,c6a6
r3r1k1/1bqnbppp/pp1ppn2/6B1/2PN4/P1N1P3/1PQ1BPPP/2RR2K1 w - -,g5h4
r4k2/1p5p/2b1p3/2p2p2/p1Pb2P1/5P2/PPR1B2P/3N2K1 w - -,g1f1
r1r5/1ppbq1b1/3p2kp/p1nPp1p1/2P1PnP1/2N1BPN1/PPBQ3R/1K5R w - -,g3f5
rnbqk1nr/ppppppbp/6p1/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,g2g3:d2d4:d2d3:f1c4:b1c3
r2b1k2/3P1p1p/2N3p1/1p1R4/8/2P3P1/1P3P1P/6K1 b - -,b5b4
r1b2rk1/pp4pp/1qnbpn2/3p4/3P4/3B1N2/PP1B1PPP/R2QRNK1 w - -,d2c3
5R2/8/1bk4P/8/4n3/8/3K1P2/8 w - -,d2d3
1k5r/pq1n4/1p1bp1r1/2p2p2/1PPpQ1p1/P2P2P1/3N1P1N/1R2R1K1 w - f6,e4b7
8/3k4/rpR3Pp/2pP1K2/2P5/2P5/p3r3/R7 b - -,e2f2
rn1q1rk1/pbp1bppp/1p2pn2/3p4/2PP4/1QN1PN2/PP1B1PPP/2R1KB1R w K -,f1e2
8/1r6/5p2/6k1/6R1/5P1P/6PK/8 b - -,g5f5
8/6k1/1p1p2p1/1P2p3/2PbB2P/7R/3rn1P1/4BK2 b - -,d2a2
2kr3r/pppq1p2/5b2/7p/3nQ2N/3P2P1/PP2PPK1/1RB4R w - -,h4f3
r2q1rk1/pb3ppp/1p2p3/2p1P1b1/2PPp3/2B1P3/PP2B1PP/R2Q1RK1 w - -,d1d2
8/2r5/5k2/R1n2P1R/3p2P1/8/4K3/8 w - -,e2f3
r5k1/pb2rppp/1p3n2/3PP3/2q5/PpN2Q2/1P1B2PP/2R1R1K1 b - -,f6d5
r1b5/ppp1qr1k/3P1n1b/3P2pp/3Npp2/4P2P/PP1QBPPB/R2R2K1 b - -,c7d6
r2brnk1/pp1b1pp1/2p1pq1p/1PP5/P2P4/3B1N2/5PPP/1RBQR1K1 w - -,f3e5
8/1p6/pR6/P2b1p2/3N1pk1/1P6/7r/6K1 b - -,h2d2
2r2rk1/1bqn1ppp/p3pn2/1pb5/8/P1N1PN2/1PB1QPPP/R1B1R1K1 w - -,e3e4
2b5/8/p2k2B1/n1p1p1Pp/4Pp1P/5P2/P2N4/4K3 b - -,c8e6
r4rk1/3n2b1/bpn1pqpp/p2p4/P2P4/4BNP1/1P3PBP/2RQRNK1 b - -,a8c8
5k2/5p2/3np1p1/2p3Pp/2PbPP1P/r2BN3/4K3/1R6 w - -,e4e5
3r1bk1/R1pq1p2/1p2b1pp/1P2p3/4Pn2/2P1BP2/2QN2PP/5BK1 w - -,d2c4
rnbq1rk1/4bp2/p2pp1p1/1pn3Pp/3NP2Q/PBN3R1/1PP2P1P/R1B1K3 b Q -,c5b3
r1bqk2r/pp2ppbp/2np1np1/8/2P1P3/1NN2P2/PP4PP/R1BQKB1R b KQkq -,c8e6
1R6/3q1b1n/2p2kpp/2Q5/3p4/P1r3PP/5PB1/5NK1 w - -,c5a5
8/6k1/4R3/Ppp5/8/3Pp1P1/1PP2rK1/8 w - -,g2h3
r3kb1r/pp5p/1qn1ppb1/1B1p2pn/3P4/P1N1P1B1/1P2QPPP/R3K1NR b KQkq -,h5g3
2r3k1/1pr1pp1p/pq4pb/3P4/4nP2/5Q1B/1P3R1P/3RN2K w - -,f2g2
2Q2k2/5n2/7p/8/p4P2/q5P1/5NK1/8 b - -,f8g7
3rr1kb/p3qp1p/2bp1np1/2p1p3/2PnP1P1/1PNQB2P/P4PBK/1R1RN3 w - -,a2a3
1r3rk1/p3ppbp/2q3p1/5b2/8/Q1PBBP2/PP4PP/2KR3R b - -,f8c8
4n2k/pp3r1p/2pp3B/5p2/1qP2P1R/2bQ2PP/P5BK/8 b - -,e8g7
k7/2P3R1/PK6/8/8/8/8/2r5 b - -,c1b1
8/8/P6R/7p/6k1/6p1/r7/6K1 w - -,h6b6
2b4k/8/4qp2/1pQ3pp/1P1pP3/3B1P2/6PP/6K1 b - -,h5h4
2rr2k1/5pb1/bp2p1pp/p1p1nq2/P3N2P/2PP2P1/1PQ1BPK1/R1B2R2 w - -,g3g4
3r4/ppb3k1/1np1Pp1p/6p1/5PP1/1P2B1P1/P4KB1/7R w - -,g2e4
r3r3/pbqn1pkp/1p1R2p1/2p5/2P5/5NP1/PPQ2PBP/3R2K1 b - -,e8e7
r1bq1k1r/pppp1ppp/1bP5/4Q3/8/2P2N2/PP2KnPP/RNB2BR1 b - -,d7c6
2r2r2/1p1qppkp/2bp2p1/p1n5/2P1P3/1PN4R/P1BQ1PPP/5RK1 b - -,h7h5
4r1k1/1q1b3p/p5p1/3P1p2/4p3/P1r3PP/3Q1P1K/4RB2 w - -,d2c3
6k1/4q2p/6pb/2N5/1pPr4/1P3Q2/6PP/5RK1 b - -,d4f4
3r2k1/1Q3p1p/4pn2/q1b3p1/8/P4BP1/R4P1P/5RK1 b - -,g8g7
8/1P4p1/p2kpp1p/3nb3/BPK5/4P1P1/3B1P1P/8 b - -,d6c7
2r5/pRP3p1/4R2p/1pk5/2p2PP1/2b4P/8/6K1 b - -,b5b4
rr4k1/2R2p2/2n1p1p1/6Np/q3P2P/4N3/1p3PPK/1Q6 w - -,g5f7
3b1rk1/r5np/p2p2q1/P1pPpp1n/2P5/2BB1PPb/2Q3NP/1R2RNK1 b - -,a7f7
5R2/1p1k4/p3r3/3K1n1P/4N1b1/8/6P1/8 b - -,f5e7
r3k2r/1p1bbp2/q1n2p1p/p1P1pP2/3pN3/1N4P1/PP2P1BP/2RQ1RK1 b kq -,e8f8
2kr3r/p2b1ppp/npq1pn2/8/1pP5/3B2Q1/PB3PPP/2KR2NR b - -,a6c5
2k5/pb1q1p2/4p3/8/1PP5/2KNQ3/P6P/8 w - -,e3a7
7k/3n2p1/7p/3B4/7P/4KnP1/2p5/2B5 b - -,f3e5
5n1k/1p4qp/1pb2p2/8/2P5/1B5Q/PP3PP1/3R2K1 b - -,g7e7
3R4/8/8/p3k2p/Pp3p1P/1P6/4K1b1/2rB4 w - -,e2d2
8/8/5kp1/1q1p1p2/3P1P2/1P2P3/1KQ5/8 w - -,c2c3
2r2rk1/1pq2pp1/p2p3p/4p1b1/P1P1P3/1P1Q4/3N1PPP/R3R1K1 b - -,g5d2
r1bq1rk1/2p1bppp/1p1p1n2/p1nPp3/2P1P3/PPN2NP1/2Q2PBP/1RB2RK1 b - -,f6h5
8/pp1r1kpb/5p2/2R5/1P6/P2p1P2/1K1N3P/8 w - -,b2c3
r1b2r2/2q4k/pn1p1n1p/N2P1p2/1P1QpP2/2N1R3/4B1PP/R5K1 b - b3,c8d7
rn1qkbnr/ppp1pppp/8/3p1b2/8/1P6/PBPPPPPP/RN1QKBNR w KQkq -,e2e3:g1f3
r3k2r/ppqnbp2/2b1p3/2ppP1p1/P5P1/3P1N2/1PPQ1P1B/RN2R1K1 w kq -,b1c3
6rk/r4p1p/1b1Npp1q/3p4/3P4/4P1P1/P2RQ2P/3R2K1 w - -,d2b2
r5k1/5p2/6p1/p1p5/4PPb1/2N1K3/P1Pr2P1/R1R5 b - -,d2g2
6k1/p4p2/1b2p1pp/8/4R3/3K1N1P/P5r1/8 w - -,a2a4
rn1qk2r/pp3p1p/4ppb1/2bp4/8/2NBPN2/PPP2PPP/R2QK2R w KQkq -,e3e4
rnb2rk1/p3ppbp/2pp1np1/q7/3PP3/p2BBN1P/1PP1NPP1/R2Q1RK1 w - -,a1a3
2n5/pN3kpp/4p3/3pPpP1/P2P1q2/1PQ5/1K6/8 w - -,c3c8
4R3/5ppk/p1p5/2P3b1/N7/P1P3pP/5rP1/4K3 b - -,f2g2
r4rk1/1pn1q1pp/2p1p3/p3Np2/PnPP3b/BPN4Q/5PPP/R2R2K1 w - a6,a3b4
2k1r3/pp1b1p1r/2n1p1p1/3p3p/2pP1Q2/q1P4B/P1P1NPPP/RR4K1 b - -,a3e7
r4rk1/1p3ppp/4pn2/p1q4b/8/P3PN1P/1P2BPP1/2RQ1RK1 b - -,c5b6
2r2rk1/p1qnbppp/bpn1p3/2ppP3/5B2/2PP1NP1/PP2QPBP/R3RNK1 b - -,f8d8
r1bqk2r/pppp1ppp/2n1pn2/6P1/1bP5/2N2N2/PP1PPP1P/R1BQKB1R b KQkq -,f6g8
r4k1r/1b2pPb1/pq3n2/2p5/1pQ1P1p1/4B1NP/PPP3B1/R4R1K b - -,f6d7
4b3/1r2n2k/p2p3P/2pP2p1/4Pp2/P4P2/1P1RN3/1BK5 w - -,e4e5
5r2/1p2p1bk/2p2q1p/p4p2/P1Rn3N/4B1PP/1P3P2/3Q2K1 b - -,f8d8
r3r1k1/1bqnbppp/p1pp1n2/1p2p1B1/3PP3/PBN2N2/1PPRQPPP/5RK1 w - -,d4e5
r1bqkb1r/pp2pp1p/2p2np1/3p4/NP1P1P1P/2PB1P2/P5P1/R2QK1NR w KQkq -,g2g4
5rk1/1b1q1rpp/1n1p2n1/p1pP1PPN/1p3P2/1P3NRP/PBBQ4/6K1 b - -,f7f5
1kbn3r/p1p3b1/1p2p2p/PP1pNqp1/3P4/B1P3P1/4QP1P/R3R1K1 w - -,a5b6
6k1/3r2pp/8/p3r3/1pPp1P2/1P4P1/P2KR2P/8 w - -,e2e5
3q4/p5kp/1p4p1/2p1p3/3n1r2/1P1P1PKP/P4R2/2RQ4 w - -,d1f1
R1rr2k1/5p1p/6p1/4Q3/4p3/3nP1PP/5P2/1R3NK1 b - -,d3e5
3rr1k1/pp2q1b1/2p3bp/2n5/2P1N3/P3Q1P1/4RNBP/3R3K w - -,d1e1
3k4/1prr1pp1/p3p3/2P4p/3R1P2/PR1KP1P1/7P/8 b - -,d8c8
2rqk2r/pb1nbppp/2p1pn2/8/Np1PP3/3B1N2/PPQ2PPP/R1BR2K1 b k -,d8a5
2r5/1p1nbpk1/p3p1pN/4p1P1/b3P3/P3BP2/BPP3R1/2K5 b - -,e7c5
r1bq1rk1/pp2ppbp/2pn2p1/8/3P4/2PB1N1P/PP3PP1/R1BQ1RK1 b - -,d8b6
5rk1/4Rp1p/3p2p1/r2P1b2/8/1B2QP2/1PPKR2P/q7 w - -,e7e8
2r2k2/3n1pb1/bq2p2p/p3P2P/Pp3p2/3B1N2/1P1N1PP1/1Q2R1K1 b - -,c8d8
r2qkb1r/pbpn1ppp/1p2pn2/3p4/4P3/2PP1N2/PPQNBPPP/R1B1K2R b KQkq -,d5e4
r3nr1b/pb1q1B1p/3k3N/Bpp2RP1/3pPQ2/P2P4/1PP5/R5K1 b - -,d6e7
5rk1/2p1npp1/5q1p/3p4/3P2b1/4PN2/1Q2BPPP/5RK1 b - -,c7c5
8/r5p1/3k1p2/3Pp3/8/8/pK4PP/R7 w - -,h2h4
8/1R6/8/1Pk5/1r6/2K5/8/8 b - -,b4b5
5r2/4r3/1k3pR1/3B3p/PP1KP3/8/6PP/8 w - -,d4c4
r2qkb1r/pp2pppp/2n2n2/3p3b/3P1B2/5N1P/PPP1BPP1/RN1QK2R b KQkq -,e7e6
r4k2/1q3pp1/1p1pp2p/nP1bP3/3P1n2/5N1P/3N1PP1/R1Q2BK1 w - -,c1a3
r2q1rk1/1p3pbp/2ppbnp1/2n1p1B1/p1P1P3/P1NP2P1/1PNQ1PBP/1R3RK1 b - -,c5b3
r1b1k2r/pp1nqpp1/2p1p2p/6n1/2BP4/P1N1PN2/1P2QPPP/R4RK1 b kq -,g5f3
r3r1k1/2pq1pb1/pp3n1p/6p1/P1PPp1b1/4P1P1/1PQN1RNP/R1B3K1 b - -,g4h5
4k3/7p/3p4/3P1pK1/8/1r2P2P/2R5/8 b - -,b3e3
3b1rk1/4qrpp/2p5/ppPp3Q/3PpPR1/4P2P/PP6/1K2B1R1 b - -,e7d7
2k4r/1p4p1/r1p2pp1/p2P4/1b4q1/1Q4B1/PP3P1P/R2R2K1 w - -,a1c1
8/1p4k1/p1b1p1p1/3pPqRr/2p2P2/P1P1Q2P/2P2R1K/8 b - -,h5g5
5r2/1ppn1pkp/3p2p1/2PP4/1q3P2/4Q2P/6P1/4RBK1 w - -,c5c6
3r2k1/5pp1/pqn1pbp1/1p6/8/1Q2PPP1/PPR1BB1P/6K1 b - -,c6e7
8/pp3rk1/6p1/3R4/P1p1B3/2P4p/1P6/1K6 b - -,f7e7
rn1qkb1r/1b1p1ppp/p4n2/1ppP4/P7/6PN/1P2PPBP/RNBQK2R b KQkq -,d7d6
8/5pk1/R2N4/2P5/p2P1P1p/1b1K4/8/2r5 w - -,d6f5
8/6k1/3p1rp1/p2Q3p/2P4P/1P4P1/P2R1P1K/4q3 w - -,h2g2
1k1r3r/ppp1qpp1/1n2p2p/Q7/1PPPP1n1/P2B4/5BPP/R4RK1 w - -,d4d5
r1bq1rk1/p3ppbp/2p2np1/2p5/3P4/N1P3P1/P3PPBP/R1BQ1RK1 w - -,d1a4
r1bq1rk1/pppnbppp/3p1n2/4p3/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 b - -,c7c6:f8e8
1r5r/1b5p/1k3pp1/1P1pP3/3R4/1P6/P2KB1PP/7R b - -,f6e5
r2q2k1/p2r1pp1/1p2pn1p/2P5/2P5/P1N2Q2/1P3PPP/R3R1K1 b - -,b6c5
r1b1k2r/2q1bppp/p1pp1n2/4p1B1/4P3/2NQ1N2/PPP2PPP/R2R2K1 b kq -,f6h5
6r1/2qn4/2rp3k/2nRpPpp/1pP1P3/pP2B1P1/P1BQ3R/4K3 w - -,e3c5
8/ppp3kp/3p4/3P1p2/5P2/8/PPP2P1K/8 b - -,c7c6
3r1r2/pbqp1pkp/1pn1pnp1/2p5/4PP2/2NP2P1/PPPQN1BP/R4RK1 w - -,f4f5
r1bq1rk1/5pbp/pp1ppnp1/2pP4/2P1PPn1/2N1B1N1/PP2B1PP/R2QK2R w KQ -,e2g4
2r5/R1p3k1/p1P1p3/P1KpPp1p/5P1P/3P4/8/8 w - -,a7a6
4r1k1/R6p/3R2b1/4p1PP/1p4P1/p1b5/P2NK3/8 b - -,g6f7
8/8/1p6/pR6/k7/8/2KN3r/8 w - -,b5b6
r2q1rk1/pbpnbppp/1p1ppn2/6B1/3PP3/P1NB1N2/1PP2PPP/R2QR1K1 b - -,h7h6
5K2/r4P1k/3R4/8/8/8/8/8 w - -,f8e8
4k1r1/p3r3/R3R3/3p2P1/3P1PK1/2P1n3/8/8 w - -,g4f3
2r1k2r/1q3pp1/p2bpn2/1pp5/3P4/1P2PN1P/P1QB1PP1/R3K2R w KQk -,d4c5
1k5r/5P2/p7/1p4P1/2p2n2/P5K1/8/8 w - -,g3f4
5bk1/p6p/2r2pp1/2p5/5p2/P2P2P1/3BP1KP/2R5 w - -,g3f4
8/4k3/Q1p1r1p1/2P4p/1P3P2/P1n3P1/7P/6K1 w - -,a6d3
r3rbk1/1pqn1pp1/2p2n1p/p3p3/P1N1P3/2P1BBPP/1PQ2P2/R3R1K1 w - -,f3g2
1rbq1rk1/1pp2pb1/p1np2pp/4p3/2PP2n1/2NQ1NP1/PP1BPPBP/2R2RK1 w - e6,d4d5
r3k2r/p2b1ppp/1p1p1n2/2p5/4P3/B5R1/P3BPPP/5RK1 b kq -,h8g8
8/6k1/3b2p1/5b2/8/5P2/6KP/R7 w - -,a1a6
r1bqk2r/pp3ppp/2n1pn2/2bp4/4P3/3B1N2/PPPNQPPP/R1B1K2R b KQkq -,e8g8:a7a6
5rk1/1br1q1pp/1p2pn2/p1ppNp2/PnPP4/NP4P1/1Q2PPBP/2RR2K1 b - -,b7a6
1r4k1/1n1b1pbp/B2p1p2/3Np3/1PN1P3/2P5/5PPP/4K2R b K -,g8f8
8/8/3kp1np/1B4p1/3KP3/6PP/8/8 w - -,b5e8
2Q5/8/5bpk/3Bp2p/4P2P/6P1/4qPK1/8 w - -,c8c6
4rq1k/1Q2b2p/1rp5/p2npNp1/P5P1/3R4/BPP2PP1/4R1K1 w - -,b7d7
2rq1rk1/1b2ppbp/pp1p1np1/4n3/2PNP3/2N1BP2/PP1QB1PP/2R2RK1 w - -,b2b3
4r1k1/8/2R1p1p1/3pPpPp/r6P/P3P3/4BP2/6K1 w - -,c6c3
r3k2r/1pP3pp/1P2p3/5p2/2P5/B7/2P2PPP/3R1K2 b - -,e8f7
r1bqr1k1/pp2bp1p/4p1p1/n7/3P4/P1PQ4/B3NPPP/R1B2RK1 b - -,b7b6
8/2r2p2/6pk/1nNK4/1P5p/7P/3R2P1/8 b - -,h6g5
