8/p6k/R7/7p/rN3K1P/4P3/6Pn/8 b - -,a4b4
6k1/p2q1p2/1prP2p1/4Q2p/3b3P/4P1P1/P1R2P2/6K1 w - -,e5e7
r2r2k1/ppn1qp2/4n1p1/2P3Pp/1PBN4/P4P1b/2NQ3P/3R2RK b - -,a7a5
1r2k2r/1p4q1/p2p2p1/2pPb1B1/P1Q5/2N2R2/1P4Pn/4R1K1 w k -,e1e5
r1b2rk1/p1qn1pbp/1ppp1np1/4p3/2PPP3/1PN2NPP/P4PB1/R1BQR1K1 b - -,c8b7
r1b1r3/p1kn1ppp/2p2n2/1pb1p3/4P2B/3B1N2/PPP1NPPP/2KR3R w - -,c2c3
r1b1kb1r/pp1n1ppp/2p1pn2/q2p2B1/2PP4/2N1PN2/PPQ2PPP/R3KB1R b KQkq -,f6e4
r3k2r/p1p2pp1/2p1b3/2bpPB1p/8/4qQ1P/PPP3P1/RN3RK1 w kq -,f3e3
r2qr1k1/1bpp1pbp/1p4p1/p1n2p2/2P5/1PNPP1P1/P4PBP/2RQNRK1 b - -,c7c6
1n2k3/7p/r5p1/PrNPpp2/2Np4/5P2/6PP/2R3K1 w - -,c5a6
r2r2k1/1p1bqpp1/7p/p1pN4/PnB5/1R2P3/1P3PPP/1Q2R1K1 b - -,e7d6
r2r2k1/pp3ppp/2n1b3/2B5/8/1PP3P1/P4RBP/R5K1 w - -,c3c4
8/6p1/2nk3q/1pn1pP2/p2pP3/P2P1NQ1/1P2K3/1B6 w - -,f3g5
1B6/7P/P5n1/2p3k1/3b1p2/5B2/2P2K2/8 w - -,f2f1
8/4k3/3pP1p1/p1r2p2/2P1pqp1/2Q5/PP2BKP1/5R2 w - -,f2e1
6n1/R3bk2/6pP/8/5K2/p7/P7/8 b - -,g8h6
6k1/p4pp1/1p4rp/4p3/1Pq5/P2RPP2/6PP/1Q5K w - -,d3d2
r3r2k/ppqn1Qb1/2p3pp/2P1p1N1/4P2B/8/PP3PPP/3R2K1 w - -,d1d7
4rrk1/1p1b1pbp/p2p2p1/P7/2PpPB2/qP4P1/3Q1PBP/2R2RK1 b - -,d7c6
rn1qkb1r/ppp1pppp/5n2/1P1p1b2/8/8/PBPPPPPP/RN1QKBNR w KQkq -,e2e3
8/6r1/1B3p2/5k1p/5p2/5P2/4r1PK/6R1 w - -,b6a5
2br4/pp5p/1npr1kp1/1P2Np2/2B1pP2/P3P1P1/3P3P/2RRK3 b - -,c6b5
8/2k2p2/p2bp3/5P2/PpP1B3/1r6/4K3/3R4 w - -,f5e6
r2qk2r/1p2bpp1/1np1pn1p/p4b2/3P4/1BP2NN1/PP1BQPPP/R4RK1 b kq -,f5h7
8/4n1k1/1np1q3/pp2NppP/3P4/P1PQ2B1/6P1/6K1 w - -,e5f3
r2qkb1r/pp1nnppp/2p1p3/3pPb2/3P4/1N3N2/PPP2PPP/R1BQKB1R w KQkq -,f3h4:f1e2
3nkbr1/5p2/qnb1pP2/4P2p/2pP4/2P1N1p1/2BB2PP/1R2Q2K w - -,h2g3
8/5p2/5k2/3r4/2K5/4R3/8/8 b - -,d5d7
r2q1r1k/p1p1n1pp/2p2p2/2b5/3pP3/1Q2BN2/PP3PPP/R2R2K1 b - -,d8b8
4r1k1/2p3p1/1pp2n1p/3P3q/8/P1Nb1P2/1PPQ1RPP/6K1 w - -,d2d3
8/4kp2/R5p1/7p/4PKnP/6P1/8/8 b - -,g4f6
6k1/1p4p1/2n2p2/p3p2p/2P1q2P/PP1rPNP1/1Q2RK2/8 w - -,f3e1
8/6pk/7p/4p3/1p2P3/1B1Qq1PP/3R1rK1/8 w - -,d2f2
r3k2r/pp1b1p2/2nbpq2/3p2p1/1P1P3p/2PB1NP1/P2N1P1P/R2Q1RK1 w kq -,d1e2
2r1r1k1/1R2R3/4p1p1/1Np4p/2P5/5P1P/1b3P2/6K1 w - -,e7e8
5rk1/p3rp1p/1p1p2p1/3Pb3/2PpP2q/P2Q1BR1/1P3P1P/3R3K w - -,g3g2
rn1qr1k1/p4pbp/1p1p2p1/8/2PPb3/1P2N3/PB2B1PP/R2Q1RK1 w - -,e2f3
8/6k1/2p2bP1/p1p4p/P2p1P2/1P1Pr2P/2PN2R1/7K b - -,e3e1
8/Bp4rp/8/2R5/4kP2/2n4P/P7/5n1K b - -,c3d5
r1b2rk1/pp1nbppp/2pp1n2/q3p3/P1BPP3/2N1BN1P/1PP2PP1/R2QK2R w KQ -,e1g1
8/8/R4p2/6p1/p3k1P1/4P2P/r7/5K2 w - -,a6f6
5r2/4qpk1/3Q1npp/ppr1p3/6P1/1P2P2P/1P1R1PB1/3R2K1 b - -,e7d6
R7/5pk1/3p1b2/2pP4/2P1np1p/6p1/P5K1/6N1 w - -,g1f3
5k2/6pp/8/8/5N2/4Pb1P/5P2/6K1 b - -,f8f7
2n5/1Npk2b1/4p2p/p3p1p1/P3P1P1/1KP2P2/5B1P/8 w - -,b7a5
r4rk1/2q3pp/pb2p3/np2p2Q/2p1P1N1/2P5/PPB2PPP/R3R1K1 w - -,e1e2
1n1r1rk1/B4pp1/p2bp3/4N3/5PP1/5K2/PP6/2R2R2 w - -,e5c6
2rr1bk1/p3npp1/b3p2p/qp2P1nP/2ppBB1N/2PP2P1/PPQ2P1N/2R1R1K1 w - -,f4g5
6k1/6r1/p1b5/3nP3/2pRp3/P1P2rP1/P2B1NK1/4R3 b - -,f3g3
1rbq1rk1/3nbppp/ppp2n2/4p3/P3P3/2N2N1P/BPP2PP1/R1BQR1K1 w - -,f3h4
rnbq1rk1/ppp2p1p/3p2pb/3Pp3/2P1P1PP/2N2P2/PP2BB2/R2QK2R b KQ -,b8d7
r1r2k2/p1R1nppp/1p6/3p1p2/3P1N2/1P2PP2/1P3K1P/2R5 b - -,c8c7
rnbq1rk1/ppp3bp/5np1/5p2/1PP1p3/1Q3NP1/P3PPBP/RNB2RK1 w - -,c4c5
8/p1b2k2/2p5/p3p2K/P1N1P3/1P3P2/8/8 b - -,f7f6
1r6/3nN1bk/6pp/p1p5/P2p2q1/1P5b/2PQ3P/2BR3K b - -,g4e4
3N4/8/1p2pK1B/1k1pP3/p2P4/8/4nP2/8 w - -,h6f8
3rr3/1p3qk1/p1p2p2/3n1b2/3Pp2p/P1N1P3/1PQ2PP1/2R1RNK1 w - -,f2f4
8/pp2nkp1/4p3/3pP2P/2pPbP2/P1P1B3/2PK4/4N3 b - -,e7f5
rnnq1rk1/p2b1ppp/1p1p4/1NpPp3/2P1P3/4QN2/PP3PPP/2R1KB1R w K -,f1d3
5k2/R3p1bp/6p1/2p2p2/2P5/4P1B1/1r2KPPP/8 w - -,e2f1
8/8/3k4/8/8/2p5/2K5/8 w - -,c2c3
2kr1r2/ppqn1pp1/2pbpn1p/4N2P/2NP4/8/PPPBQPP1/1K1R3R w - -,e5f7
4r3/pR5Q/3kn3/3p4/3q4/8/P5P1/5K2 b - -,e8f8
2b5/5pkp/5b2/3p3P/8/5K2/R1P3P1/8 b - -,c8e6
8/5p1R/8/pk2P3/1p6/1P1KBr2/2P5/8 w - -,d3e4
r1bqkbnr/2pp2pp/p1n5/4pp2/1p2P3/1BN2N2/PPPP1PPP/R1BQK2R w KQkq -,c3b1:c3d5
r1bq1rk1/pppn2b1/3p2np/3Pp1p1/2P1Pp2/1N3N1P/PPQBBPP1/2R2RK1 w - -,c4c5
r2q1rk1/1p1nbppp/1n1pp1b1/p7/2PP4/1PN1BN2/P3BPPP/2RQ1RK1 w - -,a2a4
r3k2r/ppq2pp1/2pbpn2/3n4/3P1P2/2N2BP1/PPQ2B1P/R3K2R b KQkq -,g7g6
r5k1/4qpb1/2p1n1p1/p3p2p/P1N1P2P/2PQBPP1/8/n2R2K1 w - -,d1a1
r2q1rk1/pBpn1pbp/5pp1/8/2pP2b1/4P1P1/PP2NP1P/RN1QK2R w KQ -,b7c6
2r5/4kppp/4p3/2r5/2P2P2/2R1K3/6PP/1R6 w - -,e3d4
r1b1kb1r/2qn1ppp/p1ppp3/8/4P1P1/1PN2Q2/P1P2PBP/R1B1K2R w KQkq -,c1b2
2kr3r/pp2qpb1/2ppp2p/QB1Pn1p1/4P3/8/PPP1NPPP/3R1RK1 w - -,d5c6
2r4R/p4pk1/1p1qp1p1/6Q1/Pn1P4/1B3P2/1P3P2/6RK b - -,c8h8
2r3k1/1QN2qp1/5b1p/1P3b2/2p5/6BP/5PP1/1R4K1 w - -,b5b6
2r2b2/8/4pp2/3p1k1p/1p1P4/1P3P1P/P3RK1B/8 b - -,c8c1
8/8/8/5R2/4p1Pk/5P2/1r6/4K3 w - -,g4g5
2b1rrk1/p1p3pp/2pnpQ2/2Np4/3P4/PPP5/5PPP/R1B2RK1 b - -,g7f6
1rb2rk1/1pq2ppp/p2pn3/2pB4/4Pn1B/NQPP4/PP4PP/R4RK1 w - -,b3d1
1r1r1b1k/p1p1q2p/1p1n2p1/3Pp3/1P2Pp2/2Q2P2/5BPP/R1R2BK1 b - -,d6c8
r1b2rk1/p5p1/1pq5/2pp3Q/5B2/5R2/PPP3PP/R5K1 w - -,a1e1
5r1k/p2rn1bp/2qp2p1/2p1p3/2P1NpP1/2B2P2/PQ1PP1KP/RR6 w - -,b2b5
r4rk1/4bpp1/pqn1p2p/1ppnP3/4N3/2P2NBP/PPQ2PP1/R3R1K1 w - -,f3h2
1rbq1rk1/2nnppbp/p2p2p1/PppP4/4PB2/2N2NP1/1PPQ1PBP/R3R1K1 b - -,c7e8
6k1/pq3p2/4r1pp/1p2n3/7P/4QNP1/PP3PK1/3R4 w - -,d1d4
r1b1nrk1/1p1nqpb1/p2p2pp/2pP4/P4B2/2N1P2P/1P1NBPP1/R2Q1RK1 w - -,e3e4
2rr2k1/1b1n1p1p/1q3np1/p1pp4/8/1PN1PNP1/P1Q2PBP/2RR2K1 b - -,b7c6
rb1q1rk1/p4p2/2p1bnp1/2Ppp2p/1P6/P2BPPN1/1BQ3PP/R4RK1 b - -,h5h4
2r2rk1/1p3pp1/p1nqpn1p/3p4/3P4/P1NQPN2/1PR2PPP/5RK1 w - -,f1c1
2b1r3/p1p2r1k/1b2p1pp/2BpP3/1P3P1P/1NP1K1P1/R7/R7 w - -,e3d4
8/1B5p/pp3k2/4pp2/2bb4/P6P/1r1B1PP1/3RK3 w - -,d1c1
r1b2rk1/pp3pbp/2q3p1/4pn2/4N3/1BP2QP1/PP3P1P/R1BR2K1 w - -,b3d5
rn1qkb1r/1b1p1ppp/p3p3/4P3/1p1Q2n1/5NP1/PPP1NPBP/R1B1K2R b KQkq -,f7f5
3r1rk1/1p2b1pp/2p1b3/5p2/pPBB4/q3P3/1RQ2PPP/3R2K1 b - -,e6c4
7r/5r2/2k1pPP1/1p5K/3p4/2pP4/4R3/5R2 w - -,h5g5
3rr1k1/5pb1/p1bq2p1/1ppNn2p/2P5/P2PN1PP/2Q2PB1/1R2R1K1 b - -,e5d7
r1bqk2r/3nppb1/p5pp/2pPP3/1p4nB/5N2/PPPQ2PP/R2NKB1R w KQkq -,d5d6
1r1q1r1k/4b1pp/1pBp1n2/pP1Ppb2/P1N1p3/1Q2B2P/5PP1/2R2RK1 b - -,f5g6
8/8/6Np/5p2/4kP2/8/3K4/8 b - -,e4f3
8/6pp/4kp2/1p1p4/pB3P2/PbP1K1P1/1P5P/8 w - -,b4c5
r1bqkb1r/pp1ppppp/5n2/1np1P3/8/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,c3b5
8/8/8/p2Pk1p1/1p3pB1/1P2p1PP/P7/6K1 b - -,e5d5
1r6/5bk1/B3p2p/p1p2pp1/P7/2P2PP1/4PK1P/7R b - -,b8b3
r1b2rk1/pp3p2/4pq1p/3p4/3P2P1/1Q1BPN2/PP2NK2/7R b - -,b7b6
r4rk1/2qnbppp/p3p3/4P3/1p1Nb3/4B1Q1/PPP1N1PP/R4RK1 w - -,e3f4
r4rk1/1p2pp2/n1p3pp/p3P3/4N3/6P1/bB2PPBP/R5K1 w - -,a1a2
5rk1/1pp1bppp/p1q2n2/2p5/2b1PN2/2N1BP2/PPPQ2PP/R5K1 w - -,f4d5
4r3/5R1p/2pp2k1/p3p3/P3P3/b1P2P1p/B1R4K/4r3 w - -,h2h3
2b1r1k1/2p1rppq/2pp4/p3n3/3RP2p/1PN1Q1RP/P1P1BPP1/6K1 w - -,g3g5
8/5pk1/1n2p3/3p2p1/1rbP2P1/4NP2/4P3/2R1KB2 w - -,e1f2
r4r1k/3bq1pp/3b4/p4p2/P1BP1P2/8/1BQ3PP/2R2RK1 w - -,c1e1
6k1/6p1/Q2bq3/3b3p/2N2p2/1P1p1P2/P5PP/2B2K2 w - -,h2h3
4qrk1/2pp2pp/2n1p1n1/p1P3B1/1R6/5N1P/2Q1NPP1/R5K1 b - -,a5b4
5k2/1R2pp1p/6p1/8/1N2P1b1/6P1/P4PKP/2r1nB2 w - -,g2g1
5r2/1p2p3/p1b1kp2/2P3p1/2PB3p/4K3/P2R2PP/8 w - -,e3f2
2rq1rk1/5pp1/p4n1p/1pp2N2/3pP3/P2P3P/R1PQ1PP1/5RK1 b - -,d8d7
2r2rk1/p3pp1p/1pb3p1/2p5/3qPP2/2NB3P/PPP3P1/4RRK1 w - -,g1h1
1r4k1/4bpp1/3p3p/1p2p2b/1P6/1qP2P2/1P2QBPP/3R1NK1 b - -,e5e4
Nn1kr3/1b1p3p/5p2/1pp3p1/2B5/5P2/PP3KPP/R6R b - -,b5c4
4k3/5p2/p4pb1/1pp2N2/1b2P1P1/2rB4/P3K3/3R4 w - -,f5e3
r3r1k1/pq2ppbp/2p3p1/8/2N5/B2B2P1/P1Q2P1P/5RK1 w - -,d3e4
r1b3k1/5p1p/2Q3p1/1p6/P2rP3/5BP1/5P1P/6K1 b - -,d4a4
8/pp1k2p1/4pp2/3r2p1/6P1/1R5P/PPK2P2/8 b - -,d7c6
5rk1/Q7/1p3pp1/p3P3/3Pb2p/7P/PP1B1qPK/2R3R1 w - -,c1c3
r1bqk2r/pp3ppp/2nbpn2/2pp4/3P1P2/2PBP3/PP1N2PP/R1BQK1NR w KQkq -,g1f3
8/6k1/5pp1/4p2p/4P1q1/3Q4/5PP1/5NK1 b - -,f6f5
8/pb3k1p/4p1p1/4B1qr/2BP4/1P2Q2P/P4PP1/6K1 w - -,e3g5
r1b1k2r/2q1bppp/p1p1pn2/8/Pp2P3/2N1BP2/1PP1B1PP/R2Q1RK1 w kq -,c3b1
r3r1k1/p4ppp/1n1q4/1p1pN3/5PP1/1NP4P/PP1R1Q2/2KR4 b - -,f7f6
rn1qk2r/p2pbppp/4pn2/8/Q1pN4/6P1/PP2PPKP/RNB2R2 w kq -,b1d2
1rr5/3b1pkp/p2p2p1/4p3/1P1pP3/3P2P1/P4P1P/1RR2BK1 w - -,a2a3
r4rk1/2p1q1pp/p2p4/2nP1P2/4p1b1/RnP1PN2/1P2Q1PP/1B2BRK1 w - -,e2c4
r1bq1rk1/pp2bppp/2n5/2p5/3pN1n1/1P1P1NP1/P1P2PBP/R1BQ1RK1 w - -,f1e1
6kb/5p2/p4P2/1p1B2Pp/8/P1P4r/4K3/2R5 b - -,h3g3
rn1qr1k1/pp3pp1/2p2nb1/7p/3Pp2P/P1P1P1N1/2Q1BPP1/R1B1K2R w KQ -,c2d1
6r1/4R1n1/7k/n3pK2/4Pb1P/2N5/8/8 w - -,f5f6
r1bq1rk1/3nppbp/1ppp2p1/p2P4/PnPNP3/2NBBP2/1P1Q2PP/R4RK1 b - -,c8b7
r1bq1rk1/1pn2pbp/p2p1np1/2pP4/P3PP2/2NB1N2/1P4PP/R1BQR1K1 w - -,h2h3
rn1q1rk1/pb3ppp/1p2pn2/3p4/2PP4/P2B1N2/1P1N1PPP/R2Q1RK1 w - d6,c4d5
4k3/7R/6p1/2p1N1b1/2P1Pn2/1P6/r7/5K2 w - -,e5g6
8/5rpk/4p3/1p1pPq2/p4r1P/P1P1R1QP/1P4RK/8 b - -,f4f2:f5h5
1r2r3/p4k1p/b1pb1pp1/p2p1p2/Nq1P4/1P1NPQ1P/P1P2PP1/K2R3R b - -,a6d3
r2q1rk1/pp4bp/2n1bp1n/3p2p1/3P1B2/2N2N1P/PP2BPP1/R2Q1RK1 w - -,f4h2
1r2k1r1/pb1R1p1p/4pp2/1N6/1N2P2P/6P1/PPP2b2/2KR4 b - -,b7e4
r5k1/1rqn1pb1/b1p1p1p1/p1ppP2p/N1P2B1P/PP1PQN2/5PP1/1R2R1K1 b - -,a8b8
q2b1rk1/r5p1/n1p1p1pp/p1ppP3/P1P3P1/1PBP3P/3QNPK1/R4R2 b - -,a6b4
k5rr/p1pNn3/Bpn2p2/P2p4/1P1P1qpp/2P5/5PPP/R2Q1RK1 w - -,a5b6
r1bqk1nr/1ppnppb1/p2p2pp/8/3PPP1P/2N1B3/PPPQ2P1/R3KBNR b KQkq f3,g8f6:h6h5
5k2/r5p1/1q2PbQ1/p7/5P2/2p2KPP/1r6/2R1R3 b - -,a7e7
r3k1nr/pp1qppb1/2np2p1/2p5/2P1P2p/2NP1NPb/PP3P1P/R1BQR1KB w kq -,f3h4
2r2rk1/3b3p/p2npqp1/1p1p4/3P1PP1/P7/1P2Q2P/1BBR2RK b - -,c8c4
r1b1r1k1/pp2bp1p/2p2pn1/q2p3N/3P4/P1NBP3/1PQ2PPP/R3R1K1 w - -,f2f4
4R3/8/8/8/6k1/7p/3K4/8 b - -,h3h2
8/8/8/8/1b3kP1/1P2p3/6K1/3B4 b - -,b4d2
r5k1/2p1q1bn/b3r1pp/3pP3/P1nP4/2B2NN1/2B2PP1/R2QR1K1 w - -,d1b1
r2r2k1/1bq1bpp1/p1nppn1p/2p5/Q1P2BP1/2N2N1P/PP1RPPB1/3R2K1 b - -,e6e5
r1bqr1k1/ppn2pbp/3p1np1/2pP4/2B1PP2/2N2N2/PP4PP/R1BQR1K1 b - -,b7b5
rnbqk2r/pp2bppp/4pn2/2pp4/3P4/4PNP1/PPP2PBP/RNBQ1RK1 b kq -,e8g8
2r2rk1/pp3qb1/2npb2p/2pNpp2/2P2P1n/3PP3/PP1BN2P/1R1QR1KB b - -,g8h7
8/6kp/p6p/3P4/8/5P2/P3r1PP/3R3K b - -,g7f7
r1q2rk1/p2n2bp/1p2p1p1/n1p3B1/8/2N2P1P/PPB2P2/R1Q1R1K1 b - -,d7e5
8/6p1/1r5p/4Pk2/2KP4/8/1p5P/1R6 w - -,c4d3
r4rk1/pp3pb1/6p1/1q3nBp/2N5/1PP2Q2/P5PP/4RR1K w - h6,e1d1
r2r3k/3b2pp/n2Qp3/2p2pq1/1p1P4/1B1RPP1P/1P2N1P1/R5K1 w - -,a1a6
8/1r5p/4k1p1/3R2p1/1BP2bP1/P6P/4K3/8 b - -,h7h5
8/3k4/R5pp/3P4/b1p1p1P1/1r4P1/4BK2/8 b - -,b3b4
r1rk4/5p2/ppbP1N2/8/8/P5R1/1B3PPP/R5K1 b - -,c6e4
3r4/5pk1/4p2p/2p1P1b1/n1P1N3/5QR1/3q1PP1/5BK1 b - -,d2c1
2B2rk1/2q1bppp/pn1p4/1p1P2P1/n2N1B2/8/PPPQ3P/1K1R3R b - -,b6c4
1rbq1rk1/pp1nbppp/4pn2/2ppN3/3P4/2P1P1P1/PP3PBP/RNBQ1RK1 w - -,b1d2
1r6/1prNkpp1/p1b1p2p/P7/2PR4/8/1P2BPPP/3R1K2 b - -,c7d7
7k/8/4p3/4Prbp/Pq2Q1p1/6P1/1P4B1/4R2K b - -,b4b2
r2qrnk1/pp2bp2/1np1b1p1/3p2Pp/3PPB1P/2NB1P2/PPQ5/2KR2NR w - -,g1e2
r3r2k/p1p2p1p/2pp4/3n1q2/8/2P2N2/PP4P1/R1B2QK1 w - -,c3c4
r3b1k1/5p1p/p1r1p3/1p1pPnP1/3B1P1p/P1P4R/1KPN4/7R w - -,d2f3
8/8/7P/3p2K1/6P1/R1P2k2/p6r/8 b - -,f3e4
8/8/2b5/8/3k1pB1/4b3/7K/8 b - -,d4c3
4k2r/p3npbp/P5p1/1pn1P3/8/5N2/1PP2PPP/R2R2K1 b - -,f7f6
8/pb2q2k/1p4pP/3pp1P1/4Br1B/2P1Q3/PP5R/6K1 b - -,f4e4
3r4/2q2p1k/p1nbbnpp/1ppNp3/4P3/1PP2NPP/PBQ2PBK/3R4 b - -,f6d5
r2r2k1/ppp1q1bp/1n1n2p1/3Ppp2/4P3/PPN5/Q3NPPP/2BR1RK1 w - -,f2f3
8/8/1R3p2/4b1kp/1p2K3/6P1/4N3/1r6 w - -,b6b5
5rkr/p3B3/1p2n1p1/3pPp1p/P1qP3P/5Q2/2P3P1/3R1RK1 w - f6,e5f6
2r5/6rp/4P1pk/1N1P4/4Pn1q/8/P2Q2BP/5RK1 b - -,g6g5
1nb1r1k1/r5pp/p7/1pNN1p2/4P3/8/PP1R1PPP/2K1R3 w - f6,e4e5
1R6/1P6/8/5p2/5kp1/1r6/5P2/6K1 b - -,g4g3:b3b6
1k1r4/ppr4p/8/5Q2/PP3P2/7P/2Pq3P/R4R1K w - -,a1d1
R6r/3kb1p1/1P1p1pP1/K2BpP1p/4P2P/pP6/P7/8 w - -,a8h8
r1bqr1k1/ppp2ppp/3p1n2/4p3/1nP1P3/3P2P1/PP2NPBP/R1BQK2R b KQ -,c8g4
r1b2rk1/p1p3pp/2pp4/2b5/4P2q/2NN3P/PPP2RP1/R1BQ2K1 w - -,d1e1
2b1rbk1/2q2ppp/3p4/1pnPpN2/2p1P1P1/1nP1BN1P/rPB2P2/1R1QR1K1 w - -,g1h2
r4rk1/1pN5/5pb1/p1b4p/P7/5R2/1P4BP/R6K b - -,a8c8
2r2rk1/2q1pp1p/2n1b1p1/4P3/pp3B2/2PB1Q2/P4PPP/R3R1K1 w - -,c3b4
r2q1rk1/ppp2ppp/3p1nn1/1P2p3/2P5/P1Q1Pb1P/1B1PBPP1/R3K2R w KQ -,e2f3
2k2r1r/pbqnnpb1/1p2p1p1/3pP1N1/P1pP1BP1/2P5/1PB1NP2/R2QR1K1 b - -,c7c6
2r5/r1p2pkp/1pNn1qp1/3PRb2/8/P1Q3P1/1P3PBP/4R1K1 b - -,a7a4
7k/7p/8/p2B4/PpP3RP/1b6/6K1/4r3 b - -,h7h5
r3r1k1/p4ppp/1qpb1nn1/1p1p4/3P4/2NBPPPb/PPQBNR1P/2R3K1 w - -,g1h1
6k1/pp2qp2/6pQ/3rPb2/1Ppn4/P5P1/5PBP/4R1K1 w - -,g2d5
r1b1r1k1/1p3pp1/p1p4p/Q3Pq2/5N2/3p1N1P/PP3PP1/R3R1K1 w - -,a5d2
2br4/5pkp/p1q1p1p1/rp6/P1PP4/1P4N1/3RQPPP/R5K1 w - -,e2e5
8/R4p2/5kp1/p6p/7P/4P1P1/r4PK1/8 w - -,g2f3
r5k1/1b3pb1/p6p/2B3p1/2P2nP1/5PKP/PP6/3RR3 w - -,e1e7
4r1k1/2p2ppp/2n2n2/p1Pp4/3P4/P1B1PPNq/5K1P/QR6 w - -,b1h1
