3k4/4Rp2/r2P1Pp1/3P3p/8/8/7P/7K w - -,e7f7
rnbq1rk1/pp3pbp/2pp1np1/4p3/2PPP3/2NBBP2/PP4PP/R2QK1NR w KQ e6,g1e2
8/8/2pk2P1/p1R5/PP6/4p3/2Pr4/4K3 b - -,d2g2
r4rk1/ppp1nppp/2n1b3/5q2/1b1P4/2N1BN2/PPQ1BPPP/R4RK1 w - -,e2d3
2r2rk1/Qp2ppbp/6p1/3n4/1q6/4B3/PP3PPP/R3RBK1 w - -,a1b1
r3k2r/p3nppp/2p5/8/P2pQ3/8/1P1q1PPP/R4RK1 w kq -,f1e1
rnbqk2r/ppp2ppp/4pb2/8/3P4/5N2/PPP2PPP/R1BQKB1R w KQkq -,f1d3
r3k2r/2pbqp2/1p1p1n2/p1nPp1pp/P1P5/2P1PP1P/3NB1PB/R2Q1RK1 w kq -,e3e4
8/3b4/3p4/1p1Pp3/pP2P3/P3bp2/5Bk1/4K3 w - -,f2e3
r2r2k1/1p1nqp1p/2p1n1pQ/p1b1p3/2P1P1BN/1P4PP/PB3P1K/3R1R2 b - -,e6d4
rnbq1rk1/ppp1ppbp/3p1np1/8/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w - -,e2e4:c2c4:b1d2
7k/8/P6p/4p2Q/3b3P/6PK/5r2/8 w - -,h5h6
r7/P2k4/R2P4/8/4P3/6K1/8/8 b - -,a8g8
r4bk1/5p2/1Bp1b2p/p3p1pP/2P1P1P1/1P2NP2/2K5/R7 w - -,a1a5
2r3k1/1pq1bppp/p3bn2/3rp1B1/8/1N1B1P2/PPPQ1RPP/3R2K1 b - -,e5e4
r1b1k2r/pp2qppp/2nbpn2/8/2B1N3/5N2/PP2QPPP/R1B2RK1 w kq -,c1g5
3q1r2/1b1nppkp/pp1p1np1/2r5/P1P4Q/1PN2NP1/4PPBP/2R2RK1 b - a3,d8a8
8/6k1/8/6Kp/5N1P/6P1/8/3b4 w - -,f4h5
3k4/pp3ppp/1br1pn2/8/5B2/1NP5/PP3PPP/5RK1 w - -,f1d1
5rk1/2q2p1p/2bp2pb/1p2pP2/1Pn1P3/2PQ2PP/4N1BK/R5B1 b - -,f8a8
k2r1n2/pp2b1Br/2p4p/3p1PQ1/3Pp3/2N1P2P/PP4P1/1K1R3R b - -,e7g5
8/4brkp/p2p2p1/Qp2pqP1/3rN3/P4P2/1PP5/1K3RR1 b - -,d6d5
6k1/pb1nq1pp/1pnbp3/3pNp2/3P1N2/PP2PPP1/1B4BP/1Q4K1 w - -,e5d7
8/3R3p/k7/2r1p3/1P1p3P/6q1/P1P1B3/2K1R3 b - -,a6b6
rnbqk1nr/pp3pbp/3pp1p1/2pP4/2P1P3/2N5/PP3PPP/R1BQKBNR w KQkq -,f1d3:g1f3:f1e2:f2f4:g1e2
r2qk2r/2Rb1ppp/pB2p3/3pP3/3Q1P2/b1N5/P1P3PP/4K2R w Kkq -,c3b1
r1bqk2r/1pp1npp1/p1np4/2b1p2p/2P4P/P1NP2P1/1P2PPB1/R1BQK1NR w KQkq -,c1g5
r1b1kb1r/1pq2ppp/p1nppn2/8/3NP3/2N1BQ2/PPP1BPPP/2KR3R b kq -,h7h5
3r2k1/1p2qp1p/p4np1/2N5/3n4/1P1B3P/P4PP1/2R1Q1K1 b - -,e7e1
r5k1/2p2ppp/P1N5/2b5/3P4/8/5PPP/R5K1 b - -,c5b6
8/r6k/pp2PpR1/2qp1N2/2n5/2P2N2/PP5P/K5R1 b - -,h7h8
2b3k1/4q2p/p2bp1p1/1pp1p3/4P3/P2P1N2/1PP1NQPP/7K b - -,e7f6
r1bqr1k1/pppnppbp/5np1/8/3PN3/5NP1/PPP2PBP/R1BQR1K1 b - -,f6e4
r4rk1/1bq1b2p/p2p1np1/2N1p3/1p2PP1P/3BB1NQ/PPP5/R4RK1 b - -,d6c5
rnbqk2r/p2p1ppp/1p2pn2/2b5/2P5/2N2NP1/PPQ1PP1P/R1B1KB1R b KQkq -,c8b7
2nb2k1/1nQ4p/3p2p1/3Pp3/1BN1P3/2P4P/3N2P1/6K1 b - -,d8c7
5bk1/1q3pp1/4p2p/1p6/rP1N4/4P3/5PPP/1QR3K1 w - -,d4c6
2r2rk1/1pq1npbp/2n1p1p1/p2p2B1/3P4/2PB3Q/PP1N1PPP/R3R1K1 w - -,d2f3
5r1r/1p2k1bp/2p5/p3qp2/P3NR2/4P1PQ/1P5P/5RK1 w - -,e4g5
r4rk1/p1pbq1pp/1bp5/3pP3/3NpP2/2P1B3/PP4PP/3RQRK1 b - -,c6c5
r1b1kb1r/p4ppp/1qpppn2/8/4P3/1BN5/PPP2PPP/R1BQ1RK1 b kq -,f8e7
r1q2rk1/1pp4p/2np2pb/p3pbN1/P7/2PPB1P1/1P3PBP/R2QR1K1 w - -,d3d4
rnbqk2r/pp2bppp/2p1pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR w KQkq -,f1d3:g1f3:a1c1:c4c5
2kr4/ppb3p1/2p1pqN1/5n2/2PP3P/2B2NP1/PP2Q3/2KnR3 w - -,e2e6
rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq e6,f2f4:f2f3:g1f3:g1e2:f1c4:d4d5:d4e5:c1g5:h2h3
r5k1/2R2pp1/p6p/1b6/8/4BP2/PP4PP/6K1 w - -,b2b3
4r1k1/1p2rpp1/p6p/8/4n3/1PN5/1PP3PP/4RRK1 w - -,c3e4
5rk1/pB3ppp/Pr6/5P2/3R2P1/8/5PKP/8 b - -,g7g6
2r5/1p3N2/p3pn2/3p1k2/P2P2p1/2P2pP1/1P3P2/4R1K1 b - -,c8c6
3R4/1p3k2/rB2b3/p1P2p2/5pp1/P7/2P3PP/6K1 w - -,h2h4
r2q1rk1/p2nbppp/1p2p3/3b4/3N4/P2BP3/1P2QPPP/R1BR2K1 b - -,e7f6
3r2k1/p1q1bppp/2p1p3/4n3/1PNrPB2/P4P2/2Q3PP/R4R1K b - -,e7d6
8/pR1r4/P1pk3p/3p2p1/2pPb1P1/2P3K1/2P3P1/3B4 w - -,b7b8
r3b1k1/rp4qp/p1p1pn2/2PpN1p1/PP1P1PP1/1R1BP3/7K/4QR2 w - -,e1g3
r5k1/1p1b2p1/4pr1p/p1qpQ3/P7/2PBR3/1P3PPP/3R2K1 w - -,d3c2
2B5/8/8/6p1/5n1p/6kP/8/7K w - -,c8a6
6k1/3n1ppp/8/1B6/1b1P4/5NP1/r4P1P/6K1 w - -,b5d7
k5r1/2p5/3p4/p2P4/2P5/2R2K2/4N3/r1B5 b - -,g8h8
r1bq1rk1/4bppp/p4n2/1p1Pp3/8/1QN1B3/PP2BPPP/R4RK1 w - b6,e2f3
8/R6p/8/8/5pk1/1r6/5BK1/8 b - -,h7h5
8/8/2k2p2/p3p1p1/P2p3p/1P2rP1P/1KPR2P1/8 w - -,b2c1
rn1qkb1r/1bp2ppp/p3pn2/8/Pp6/1Q3NP1/3PPPBP/RNB2RK1 w kq -,a4a5
8/5p1p/3pk1p1/p1r1p3/1pP1PP2/1P2K1PP/8/R7 b - -,f7f5
rnbqnrk1/pp2ppbp/3p2p1/2P5/2P5/2N1BN2/PP2BPPP/R2Q1RK1 b - -,d8a5
r1q2b1r/1k1b1Qp1/p2p3p/4N3/4P3/4B3/PP3PPP/5RK1 b - -,c8e8
r2q1rk1/pb1pbppp/np2pn2/8/2P2B2/1QN2NP1/PP2PPBP/R2R2K1 b - -,d7d6
r4rk1/p2n1ppp/1ppqp3/8/3P4/1QP1PP2/P4P1P/1B1RK2R b K -,d7f6
8/7r/2p1k2p/4n1p1/8/Q7/PP4PP/7K w - -,h1g1
8/8/3p4/p6K/P1k4P/8/8/8 b - -,d6d5
r1b1k2r/p1q3p1/1pp2p2/4pP2/2P2B1p/4Q2P/PP2B1P1/5RK1 b kq -,e8f8
r5k1/5p2/4bnp1/p1p5/4PP2/2p1KB2/P1PrN1P1/R1R5 b - -,f6g4
rnb2rk1/1pp1qpb1/p2pp2p/P5pn/3P4/2P1PNB1/1P1NBPPP/R2QK2R w KQ -,d2f1
6k1/5p2/3p2p1/3P3p/1rpqP3/5P1P/2R3PK/2Q5 b - -,d4e5
5k2/6bp/p3R3/Pp1p1rp1/1P1P1P2/3R4/K6P/8 b - -,g5f4
r3q1k1/1r1bn1p1/pPp1pp1p/P2p4/3P4/2R2N2/5PPP/1Q2RBK1 w - -,f3d2
8/3kb1p1/7p/1PnB4/2KN1pb1/3P4/3BP2P/8 b - -,g7g5
r5k1/p4r1p/8/p2R1B2/6P1/2b2K1P/P4P2/3R4 b - g3,g8g7
2rq1rk1/pp1bppb1/3p1np1/4n1Bp/3NP2P/1BN2P2/PPPQ2P1/2KR3R b - -,c8c5:e5c4
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/5P2/1P2P3/PBPP2PP/RN1QKBNR w KQkq -,g1f3
2r1r1k1/1p1b1p1p/p4ppP/8/P1BP4/1PP5/1R3PP1/5RK1 w - -,a4a5
r3qrk1/2p3b1/np1p1n1p/p2Pp1p1/2P5/2NQBN1P/PP3PP1/2R2RK1 w - -,f3d2
r5k1/1p1rqpb1/1Bp1n3/p3PBpp/2P5/1P2Q1PP/P3R2K/4R3 b - -,g7f8
r2r2k1/1pq3p1/p6p/PbpP4/4pR2/2Q5/1BP3PP/R5K1 w - -,f4g4
r2qkb1r/1p2pppp/p1n2n2/3p3b/3P1B2/2NBPP2/PP2N1PP/R2QK2R b KQkq -,e7e6
2b1k3/2P2p1p/2R2K2/5B2/3N2p1/4PP2/r5rP/8 w - -,f5c8
r1brqnk1/1p2bpp1/p1p1p2p/3nP3/3PN3/P3B1PP/1P2QPKN/1BRR4 b - -,f8d7
8/1P3p2/5k2/2R3pp/8/5P1P/1r3P2/3K4 w - -,c5c7
r1bq1rk1/1ppn1pb1/p4npp/4p3/P3P2B/2PB1N2/1P1N1PPP/R2Q1RK1 b - -,b7b6
rnb1r1k1/pp4bp/3p3q/2pP3p/2N5/2N4P/PP4PB/R2Q1R1K w - -,c4d6
rn1qkb1r/pp2pppb/2p2n1p/3p4/3P4/5PP1/PPP1PNBP/RNBQK2R w KQkq -,e1g1
r2r2k1/pp1q2b1/2n1b1pp/3Npp2/P1N5/3P2P1/1B2PPBP/1R1Q1RK1 b - -,e6d5
r3kb1r/1bqn1ppp/p1npp3/1p4P1/3NPP2/P1N1B3/1PPQB2P/R3K2R b KQkq -,d7c5
8/5p2/4p1k1/pp2N3/2pP1bP1/P1P5/1P3KR1/7r b - -,f4e5
3r2k1/7p/R5p1/p7/3P4/6P1/5PKP/8 b - -,d8d4
5rk1/p5pp/1ppq4/3nRp2/2BP4/P4Q2/2P3PP/6K1 b - -,g7g6
1qrr2k1/pb2ppbp/1p1p1np1/4P3/3B1P2/PPN2B2/1P1R2PP/3RQ1K1 b - -,b7f3
1r5r/2nqbpk1/2p1p1p1/p1PpP1Np/1pbP3P/5RPN/PPBQ1P2/4R1K1 b - -,h8f8
1r4k1/p1q2ppp/1r6/2b5/Q1B5/P7/1P3PPP/3R1RK1 w - -,f1e1
r1bqkbnr/5ppp/p2p4/npp5/3QP3/1B3N2/PPP2PPP/RNB2RK1 w kq c6,b3f7
r4rk1/pp2qppp/2nbpn2/3p4/3P4/1QN1P2P/PP1BBPP1/R4RK1 b - -,f8c8
r3k2r/1bqp1ppp/p1n1pn2/2b5/P3P3/2BB1N2/NP2QPPP/R4RK1 b kq -,a6a5
2b2bk1/1p3p2/2pp2pr/p1n5/P2RP3/2N2B2/1P4K1/3R4 w - -,d1h1
6r1/1p5k/p1pPp2P/4Ppp1/1P1P4/1P4K1/8/7R b - -,g8d8
5r2/8/1R6/3k4/5PK1/8/1P6/8 b - -,f8g8
r2qkbnr/pp1n1ppp/2p5/4p2b/2P5/5NPP/PP2PPB1/RNBQ1RK1 b kq -,g8f6
r2qk2r/pp1nbppp/2p1pn2/8/4p1b1/3P1NP1/PPPN1PBP/R1B1QRK1 w kq -,d3e4
5bk1/5p1p/6p1/NBqn4/Pr1B4/2p1P2P/5nP1/Q1R3K1 b - -,b4d4
8/5p2/4p1k1/1N1pPp1p/r2N1P1P/PRQ1n3/K1Pn1qP1/8 b - -,d2b3
r1b1kb1r/p4pp1/2p2n1p/q3p3/1pQ1P3/1BN5/PPPB1P1P/R3K1R1 b Qkq -,a5c7
8/pp3p2/8/5p2/6k1/1K5N/P1P4R/3n4 w - -,h2h1
r4rk1/p1q1npbp/bp2p1p1/2ppP3/Pn5P/3P1NP1/1PP1QPB1/R1B1RNK1 w - -,c1f4
r5k1/1bp3bp/1pnPp1p1/p7/2PP4/3BB3/PP2N1PP/4R1K1 b - -,c7d6
3r1rk1/1pp1bppp/p4n2/4N3/2PP4/8/PP1B1PPP/1R3RK1 w - -,d2e3
r4rk1/1p1n3p/p1bb4/3p1pp1/N2Pp3/1P2PPPP/1PRB2B1/2R3K1 w - -,f3f4
2r2rk1/pp3ppp/4p3/1B1p3P/1b1qP1P1/2N5/PPP1Q3/3RK2R b K -,b4c3
rnb2rk1/pp3pp1/2pbpq1p/8/2BP4/2B2N2/PPP2PPP/R2QR1K1 b - -,f6d8
8/p2nk3/4p3/1pr1P2p/3p4/3PbNP1/PP2R1K1/7R b - -,d7e5
r5k1/1p2np1p/3r1qp1/3p4/1Q3P2/P2B2PP/5P2/2RR2K1 w - -,a3a4
8/7p/4k3/8/4KP2/8/7P/8 w - -,f4f5
8/1R5p/6pk/5p2/p7/4PKPP/r4P2/8 b - -,a4a3
3k1n2/1p1n4/1p1p1P2/r2P4/4N3/P3K3/1B6/7R w - -,e3d4:h1d1
8/3kR1p1/3P2P1/4PP2/4r3/8/5K2/7b b - -,d7d8
8/6qk/p7/2P5/1N2bQp1/P6P/6PK/8 b - -,e4g2
8/6k1/1p4P1/1r3p2/5P2/R5K1/8/8 w - -,g3h4
r3qrk1/1ppbb1pp/2nppn2/p4p2/3P4/PP2PNP1/1BPNQPBP/R4RK1 b - -,e8h5
b1rq1rk1/3n1pp1/p3p2p/2pnP3/1p1PN3/5NP1/PP3PBP/R1Q1R1K1 w - c6,c1d2
r1k5/p7/1p2p3/2n5/7q/8/PQ3PPP/3RR1K1 w - -,g2g3
r1bqk2r/1pp2ppp/p1N5/3p4/B2Pn3/8/PPP2PPK/RNBQ1R2 b kq -,d8h4
8/b6p/3k1pp1/ppp5/1P2P3/2P1BN2/P3KPPP/8 b - b3,a5b4
2q5/1pr3bk/p5p1/P3P2p/2r5/2B1RR1P/6P1/1Q5K w - -,b1e1
r5qk/p3b1pp/1p1p1r2/2p5/1n2RB2/1Q4P1/PP3PBP/3R2K1 b - -,a8e8
r2kr3/pp1n2pp/2p1np2/4p3/2P2P2/1PN1P1P1/P5BP/R4RK1 b - -,a7a5
r2q1rk1/1p1bbpp1/4p2p/1N2P3/p1nP3P/2B2N2/P3QPP1/R3R1K1 w - -,e2c4
r1qr2k1/1b1n1pbp/1p4p1/pPpnP3/3N1B2/P2P1NPP/3Q1PB1/2R2RK1 b - -,d5f4
8/5p1k/2b1q3/4B3/p7/P1Q2PKP/6P1/8 w - -,g3h2
r1br2k1/pp2qpb1/2pp3p/2n3p1/2PNP3/1PN1n1P1/P2Q1PBP/3RR1K1 w - -,e1e3
5r1k/p1R1pp1p/1p6/4N3/1n1PBP1b/1PB1P3/2r4P/7K b - -,c2c1
r3r1k1/1qp2ppp/p7/1p2P3/1Pbb1BQ1/2P5/P4PPP/R3R1K1 w - -,c3d4
4r3/8/1P1nB3/4p3/1KP5/6p1/5k2/R7 w - -,e6d5
2r4k/7p/1p4p1/pN6/1p1R1K2/1B6/P1b4P/8 w - -,b3e6
r4rk1/pp3ppp/2b1p3/4P3/4R3/1P3N2/P1P2PPP/2R3K1 w - -,e4d4
8/p6k/1p5p/1P2rR2/8/8/4rR1P/7K b - -,e5f5
r1b3nk/5p1p/pR1P1bp1/2B5/P7/6P1/1PP2PBP/6K1 b - -,a8a7
2k2r2/p3p3/1p3p2/2p1nP1p/8/1NP2q1P/PP3P1R/4QK2 b - -,f3d3
r4rk1/5ppp/p1p3q1/3p1b2/8/1NQ5/PPP1RPPP/R5K1 b - -,f8e8
r1bq1rk1/p4pbp/1p4p1/n1p1p1B1/3PP3/2PB4/P2QNPPP/R4RK1 b - -,d8d6
3q2k1/R4pp1/3P2r1/5b1p/1Q2N3/5PP1/1P5P/6K1 w - -,b4b7
8/4Qbpk/8/4Pq1p/p7/P4PBP/6PK/8 w - -,e7h4
8/4R3/6k1/4pr1p/8/5pK1/5P2/8 b - -,g6f6
2k2rnr/pp3Ppp/2n2p2/3p1p2/q1pP4/P1P5/2PBB1PP/R2Q1RK1 b - -,g8e7
2r5/p5pk/1q5p/1p3P2/3rQ3/8/PP4PP/4RR1K w - -,e4e7
r1bqkb1r/pp1ppp1p/2n3p1/3nP3/5Q2/5N2/PPP2PPP/RNB1KB1R w KQkq -,f4e4
1rbq1rk1/ppN1bpp1/2n4p/3p3n/8/3B1N1P/PPP2PPB/R2QR1K1 w - -,c7d5
2r5/3q2k1/1nn5/2p1pp1p/1p2Q1pP/rP1PP1P1/3RNP1K/2NR4 w - -,e4g2
2r5/7p/p3kbp1/1ppp4/5PP1/2P2K1P/PPN5/3R4 w - -,h3h4
r1bq1rk1/p3bpp1/2N2n1p/3p4/2pP3B/4P3/P1B2PPP/R2Q1RK1 b - -,d8c7
r4bk1/2p2rpp/8/qP2n3/5pP1/2R2P1P/3Q3K/4RB2 w - -,e1e5
1rbq1rk1/p4nbp/2pp2p1/2p1p3/4PP2/1PN2N2/P1PB2PP/3RQR1K b - -,c8a6
3qk2r/1prnbp1b/p3p3/P2NPnpp/3P4/1Q3N1P/1P2BPPB/2RR2K1 b k -,c7c1
3r2k1/1pp2pp1/p4b1p/3n4/1P1P4/P4N1P/3BKPP1/2R5 b - -,c7c6
r1bq1rk1/1p1nbppp/4pn2/p1pP4/3P4/PP1BPN2/1BQN1PPP/R3K2R b KQ -,e6d5
5rk1/p1Q2p1p/6p1/2p2P2/1p6/3R4/PPq3PP/R6K b - -,c2d3
r2q1rk1/pp2b1p1/2n1pP1p/8/5B2/2p3PP/PP3PB1/R2Q1RK1 b - -,e7f6
8/p4pkp/2n1p3/1p1P2P1/3P4/P1PK1N2/5P2/8 b - -,e6d5
rnb1r1k1/ppq1p1bp/2pp2p1/5p1P/2PP1Pn1/1PN1PN2/PB1Q2P1/R3KB1R b KQ -,e7e5
Q7/4Rpk1/2p1b3/2B4P/6P1/6K1/5P2/8 w - -,c5d4
r4rk1/1bqnbppp/p2p4/1p2P1PQ/3BP3/2N5/PPP3BP/R4R1K b - -,d6e5
2b1nr1k/1p2q1pp/1rp5/p1Np1p2/P2P1B2/1P2PP2/2Q3PP/2KR3R b - -,e8c7
r4rk1/pp2bppp/2n1p3/1B5q/PPN2Q2/2P4P/5PP1/R4RK1 w - -,f4c7
r1b1r1k1/pp1n1ppp/5n2/3p1BB1/2pP4/P1q1PN2/1P3PPP/R4RK1 w - -,b2c3
2rq1rk1/pb2bppp/1p2pn2/n3N3/3P1B2/P1N4P/BP3PP1/R2Q1RK1 b - -,f6d5
8/p4pk1/4r1p1/2pp1b1p/3b1B2/1P5P/P5PK/3RR3 b - -,f5e4
3rk2r/1p2bppp/2n5/1pp2P2/8/P3BN2/1PP3PP/2KR3R w k -,f5f6
1r4k1/5pp1/4rnp1/3p2Q1/2P5/qP1RPB2/6PP/4R1K1 w - -,c4d5
6rk/2p5/pp1p1q1p/3Pp3/P1P1Bn1P/1KP5/5r2/1R5Q b - -,f2e2
r1bqr1k1/1pp2pbp/p1np1np1/3Pp3/P3P3/2N1BN1P/1PP1BPP1/R2Q1RK1 b - -,c6d4
1r3rk1/1p2ppbp/1qbpn1p1/8/1pPNP2P/1P4P1/PB1Q1PB1/R3R1K1 w - -,d4f3
rn2kb1r/pp2pppp/2p2n2/5q2/Q2P4/4PN2/PP3PPP/1RB1KB1R w Kkq -,b1a1
rn3rk1/1b3pbp/1q1p1np1/pP2p3/P7/2P1PP2/2N3PP/RNBQKB1R b KQ -,b8d7
r2k3r/1pp1nppp/p2pb2q/4nN2/4P3/2NBP3/PPPQ2PP/2K2R1R b - -,e7f5
1r3r2/6pp/1bpk1p2/p3p3/Pp2P3/1N3P2/1PPB2PP/1K1R4 w - -,d2b4
2k5/1p3r2/pPp5/2P5/P6p/4p2P/5NP1/6K1 w - -,f2d3
5R2/8/8/4k3/4r1p1/7p/5P2/6K1 w - -,f2f3
3k3r/pp3p2/2p3np/7B/4Pb2/2N5/PPP3PP/4K2R b K -,g6e5
1nrr1bk1/pb1q1p1p/1n2p1p1/1p1pP3/3P1PP1/PP1B1NNP/R2B4/3Q1RK1 b - -,b7c6
1k5r/1pp1q3/p3pp2/5P1p/5QP1/7P/PPP5/2KR4 w - -,f4e3
r2q1rk1/pbppbppp/1p3n2/4n3/2P2N2/P1N1P3/1P2BPPP/R1BQ1RK1 b - -,e7d6
b5k1/1q2bp2/1P1p2pp/1QpP4/8/5N1P/1P1N1PP1/6K1 b - -,g8g7
7k/2p1Np1p/1p4p1/3P4/2p1P1PB/2b2B2/3r1P1P/r4K1R w - -,f1g2
r1b1r1k1/1p1nppbp/pq1p1np1/6B1/3NP3/2N5/PPPQ1PPP/R3RBK1 w - -,c3a4
r2qr1k1/1bpn1pbp/pp3np1/4p1B1/PPN1P3/2PB1N2/5PPP/R2QR1K1 b - -,h7h6
5bk1/r1nn1pp1/2Np3p/1p6/1P3p2/P5PP/1B6/2R2BK1 b - -,a7a8
r2q1rk1/1b1n2pp/pppbp3/3p1p2/1PPPn3/P1NBPN2/3BQPPP/2RR2K1 w - -,d2e1
8/4p3/3p4/3P1k2/1p1br3/1Pr5/5P2/1R1RNK2 w - -,d1d2
r5k1/p5pp/1p1r4/3p1p2/3R4/1P4P1/P3PPKP/2R5 w - f6,c1c7
4q2r/4b1k1/pp2p1P1/1P2Pp1Q/P3p3/2P1B3/5PP1/3R2K1 w - -,h5e2
4r1k1/p1pn2pp/2ppr3/5p2/4P3/1P1NRP2/P1P3PP/4R1K1 w - f6,g1f2
1q3rk1/1bnpbp2/1p3np1/4p3/1PP4p/1QN1P3/1B2BPPP/R4NK1 w - -,f1d2
7R/8/r5k1/8/8/6P1/6P1/6K1 w - -,g1h2
2kR4/pp3p1p/4p1p1/4P3/5q2/1B5P/P4N2/5K1R b - -,c8d8
r3k3/ppq2pp1/2p2n2/2b1N1p1/P3p3/1Q4Pr/3PPP1P/1RB2RK1 w q -,b3b7
2rqk1nr/pp1b2pp/2n1pp2/2bpP3/8/2PB1N2/PP3PPP/RNBQ1RK1 w k -,b2b4
r1b1kb1r/1p3ppp/p1qppn2/8/4P3/2NB3P/PPP2PP1/R1BQ1RK1 b kq -,f8e7
8/5p2/4pk2/5n1p/4R2P/1r3P1K/6P1/4R3 w - -,e4a4
r7/p2b4/1p1p3p/3P1Pk1/2P2pP1/P2B1K2/8/7R b - -,d7e8
4kB2/1r2P1p1/2p2p1p/3b1P1P/p1p3P1/2P1K3/P3R3/8 b - -,b7b1
3qrrbk/1p1n2bp/p1p1pp2/2Pp4/NP1P4/3BP1B1/P1Q3PP/R4RK1 b - -,f6f5
8/3n4/1p6/8/2k2K2/4N3/p3r3/R7 b - -,c4b3
2k5/R5p1/1p5r/2pP3p/5b2/5P2/P5BK/4B3 w - -,e1g3
6k1/5pb1/1pN1b1p1/pP4K1/P7/2p5/7P/4rR2 w - -,f1e1
r2q1rk1/ppp2pbp/3p1np1/2nPp3/2P1P3/2NQ1N2/PP3PPP/R1B2RK1 w - -,d3c2
5N2/5R1p/3r2pk/8/2B1p3/1K2nbP1/7P/8 b - -,d6b6
4rrk1/pb2pp1p/1p1p1np1/1P6/P1P1PP2/2N2B2/3R2PP/R6K b - -,e8c8
r5k1/2q3pp/8/1pnP1bB1/2p1p3/2P1Q3/1PB2P1P/4R1K1 b - -,c7d6
7r/5p2/2pkp1p1/p2nR2r/1p1P1P1P/3N3R/PPP5/1K6 w - -,e5h5
r4qk1/1Q3bn1/N1B4p/2pp1p2/6p1/4P3/P4PPP/2R3K1 b - -,a8d8
1rb2rk1/1p2q1pp/p1p1p3/2PpPp2/1P6/2nBP2P/P1Q2PP1/1R3RK1 w - -,c2c3
r1bq1rk1/ppp2ppp/1bn5/3p4/2BPN3/5N1P/PP3PP1/R1BQ1RK1 w - -,c1g5
r4rk1/pp2bppp/nqp1bn2/8/3NPB2/P1N5/1P2QPPP/3RKB1R b K -,e6g4
r4rk1/1pq1ppbp/p2p1np1/3P4/2P5/1P2B3/1P1QBPPP/R2R2K1 b - -,f6d7
3r1rk1/1pp2p2/p1nnq1pp/4p3/1P2P3/2PR1NNP/1P2QPP1/3R2K1 b - -,g8g7
rn2kb1r/1p3pp1/1p2pn1p/3p1b2/8/3P1NP1/PP1NPPBP/R1B1K2R w KQkq -,a2a3
2rr2k1/pp2Rp2/1q4p1/3P3p/7P/1P4P1/n4PB1/3RQ2K b - -,a2c3
rn1q1rk1/1b2npbp/ppppp1p1/3P2B1/2P1P3/2N2N2/PP3PPP/R2QRBK1 b - -,h7h6
5b2/2q2p1k/pp1p1Pn1/1p1P1Q2/6Bp/PP6/2P4P/6RK w - -,g4h5
6R1/4Bp2/P4P2/5kn1/8/2K5/6p1/3r4 w - -,e7c5
7r/1bk2p2/pp2p1p1/4P3/P1Pp1PPP/q2P2K1/3Q3R/3B4 b - -,b7c6
5k2/2r1rppp/pN6/8/2B2Q2/1P1q2P1/P6P/5R1K b - -,d3e4
7r/6k1/1q2pppp/p2nB3/Q7/2NP2P1/P4P1P/2R3K1 w - -,c3d5
