8/8/3Q3p/p7/8/K1k5/3q4/8 w - -,d6c6
r3r1k1/ppp1qp1p/6pb/3p1b2/3P4/PP2PN2/2P1Q1PP/R2NR1K1 b - -,a8d8
2kr3r/4bpp1/pqbp1n1p/1p2pP2/4P1PP/1NN4R/PPP1Q3/1K1R1B2 b - -,c8b7
1r1r2k1/1pN2pbp/1n1P2p1/2p1P3/2q2PP1/7P/1P2Q1B1/2B2RK1 w - -,e2f2
8/1p2kp2/nq1rp1p1/pB1p3p/P2P3P/1PQ1PPP1/3K4/2R5 b - -,d6d8
rn2k2r/pp3pp1/2p1p1n1/3pP3/1b1P3q/2N1B2p/PPPQ1PB1/R3K2R w KQkq -,h1h3
8/7R/2P5/3kp3/8/8/2r4p/6K1 w - -,g1h1
r1bq1rk1/1p2ppbp/p2p2p1/4n1Pn/P2NP3/1PN1B2P/2P2PB1/R2Q1RK1 w - -,d4e2
r2q1rk1/p4ppp/8/4QN2/1n1PP3/bN5P/P4PPB/3R1bK1 b - -,d8f6
8/8/5k1p/4pp2/3b4/3N1P1P/4K3/8 w - -,e2f1
8/5B2/8/4knp1/1p5p/1P6/5PK1/8 w - -,g2f3
2r3k1/2q1bppp/p1npb3/1p4P1/3RP2P/1NP5/P1PQ4/2K2BR1 b - -,c6d4
8/4Qpk1/8/8/8/7p/6q1/4K3 b - -,g2g3
3rr1k1/2p1qppp/p4n2/1p2p1B1/4PPb1/2QB4/PPP3PP/2K2R1R w - -,f4f5
8/p3k3/1pp1rppp/8/2P3PP/1P6/P7/5RK1 w - -,g1f2
8/2R3p1/r3k2p/8/p2B1P2/1b4NP/5K2/8 w - -,d4g7
r2q1rk1/3bppbp/5np1/1ppP4/4P3/2PQ1N2/4BPPP/R1B2RK1 w - -,a1a8
1r2r1k1/Rp3pp1/1N3n2/1pPp2qp/3Pp2n/4P1P1/3NQP1P/R5K1 w - -,e2b5
4R3/1p1r1pp1/p1pk1r2/4R2p/5Pb1/1B2K1P1/PPP4P/8 b - -,g7g6
rn1q1rk1/p3npbp/1p1p2p1/3Pp3/4P1b1/1Q2BNP1/PP3PBP/RN3RK1 w - -,h2h3
4r1k1/1p2pp2/1r1p2p1/2qPn2p/p1P5/1P5R/P2QBPPP/4R1K1 b - -,a4b3
8/p5p1/2kn1b2/3p1PP1/1p1P1K2/5N2/PP2N3/8 b - -,f6e7
q2rn1k1/2b2pp1/b1p1p3/2Pp3p/1P4NP/4P3/1Q3PP1/BN2K2R w K h6,g4e5
r1r3k1/1p3ppp/1pn1p3/1B1pPn2/1b1P4/5N1P/PP3PP1/R1BR2K1 w - -,g2g4
r6r/3bkpp1/pqppp2p/8/5P2/6Q1/PPP3PP/2KR1B1R w - -,f4f5
3r4/pb1rnk2/1p2ppp1/3n4/B2P4/P3B3/1P1N1PPP/2R1R1K1 b - -,d7c7
8/p1p2r1k/1p1p2np/PP1P1p2/1PR5/4r1P1/6BP/5R1K w - -,g2h3
1r2r1k1/1p3pp1/p1p1qnnp/3pp3/4P3/1QPPPNNP/PP4P1/3RR1K1 w - -,e4d5
8/8/5k2/p7/1p1p2pn/1P1P4/1P3K1P/4N3 b - -,f6g5
2r1k3/p2nb3/P3p1p1/1Bp2p2/1P2p2P/4B1P1/5P2/1R3K2 b - -,e6e5
r1r1n1k1/1p3p1p/3pb1p1/qN6/3BP3/pP3P2/Pb1QBKPP/3R1R2 b - -,e6d7
2br2k1/1ppqbppp/8/1P6/2P5/3P2Q1/5PPP/BN3RK1 b - -,f7f6
1r3r2/p2q1nk1/3p2p1/2pPpp1p/1p2PPnP/1P1P1RPB/PQ4K1/3N1R2 w - h6,d1e3
4k3/2B3b1/3K2P1/4P3/8/8/8/8 w - -,d6e6
r1bqk2r/ppp2ppp/2n5/1BbpP3/3Nn3/8/PPP2PPP/RNBQK2R w KQkq -,c1e3:d4c6
r2q1r2/1p1bp1kp/2np2p1/p1n5/2P5/2N1N3/PP1QBPPP/R4RK1 b - -,c5e6
2r2nk1/pb1qb1pp/1p1pp3/3n1p2/P1NP1P2/1P2NRP1/1B2Q2P/2R3K1 b - -,d5e3
1k1r3r/pp2b2p/2p1ppn1/8/5P2/2P1B3/PP2BP1P/R4KR1 w - -,e2c4
8/ppp3k1/3p1np1/2qPp1Q1/2P1P1n1/1P4Nr/P3N3/2K2R2 b - -,a7a5
r7/1p1k1p2/4p3/2R1P3/pP1Pp1pp/P2bK3/3N2PP/8 b - -,b7b6
r2qkb1r/ppp2ppp/2n2n2/3P4/3P2b1/2N2N2/PP3PPP/R1BQKB1R b KQkq -,f6d5
8/1r1k4/pP2p3/2Pp1p1b/5P1p/N1K1P1pP/P5P1/1R6 b - -,d7c6
8/p1prr3/5kp1/pPRb2Np/4p2P/8/P4PP1/2R3K1 w - -,c1c3
2n3k1/pp1b1pbp/1q2p1p1/3pP1P1/1P1P4/P1NBPN2/4Q2P/6K1 w - -,h2h4
6k1/1r6/7p/p2p1p2/P1bP1Pp1/2b1B1P1/5K1P/2R5 w - -,c1c3
5r1k/pp1qr2p/2p2p2/5R2/3P2P1/1B2P2P/PPQ2P2/5K2 w - -,c2c4
8/5pk1/4p3/4P3/5PK1/1B3Q2/7q/6b1 b - -,g1f2
2bq1rk1/r1pn1ppp/p1Q1pn2/1p6/8/P4NP1/PB1PPPBP/R3K2R w KQ -,e1g1
8/2n2r1p/3p1kp1/2pP4/2P5/3BRP1P/8/4K3 w - -,e1f2
8/8/1k6/1bb2Np1/8/1B2PP2/8/3K4 b - -,b6c7
2r3k1/1R3rp1/p1p4p/P2pBb1P/2pP1P2/q1P3Q1/2PK2P1/1R6 b - -,a3a4
7k/3q3p/p2b2rn/1ppQ4/3p1P2/3P4/PPPB3N/R6K b - -,h6g4
8/7p/2kn1p2/4nPp1/1B4P1/4K2P/8/1B6 b - -,d6c4
1rbr2k1/p1p1qppp/2B2n2/4p3/2pP4/2N3P1/PP1QPP1P/R2R2K1 w - -,d4d5
5r1k/pp1r2bp/3RQp2/1q4p1/8/2B3P1/PP3P1P/4R1K1 b - -,d7d6
8/8/p3kBp1/1pb2p1p/4p3/1P2PP1P/P3K1P1/8 w - -,f6c3
3r2k1/7p/p1p1bp2/2R1p3/4P3/1PN2P2/P2r2PP/5R1K w - -,c5c6
8/7p/5p2/8/2p2kP1/2Pq3K/1Q6/8 w - -,h3h2
2k2rr1/Qp1n1n2/2p4q/3bPp1p/8/6B1/PP2B1PP/R3R1K1 w - -,e5e6
4n1k1/p6p/3p1bp1/PP1Pp3/3p4/6P1/5PBP/2B2K2 b - -,f6d8
r3r1k1/pp1R2bp/n1p3p1/8/1P3BN1/4P1P1/7P/5BK1 b - -,b7b5
r4rk1/2p2pp1/1p1pbq1p/p7/2Pn4/P3P3/1P1Q1PPP/2R1KB1R w K -,e3d4
rnbqk1nr/1ppp1ppp/4p3/p7/1bPP4/P7/1P1BPPPP/RN1QKBNR b KQkq -,b4d2
3Q4/8/6pk/P7/7p/1KP5/1P3q2/8 b - -,f2f7
rnb4r/ppp2k1p/3b2p1/3N1p2/3P4/8/PPP2PPP/R3KBNR w KQ -,e1c1
2b1r3/1p4r1/p2Rpkp1/P1P3Rp/2PPKP1P/5N2/8/8 w - -,g5e5
6k1/p2r2pp/Kpn2p2/2p5/2P4P/P5P1/3R1P2/5N2 b - -,c6b8
8/8/p2r3P/p4k2/5pR1/4p3/6P1/3BK3 w - -,h6h7
8/6p1/3k3p/R2n1p2/3P4/pr1KP2P/3B1P2/8 w - -,d3c4
1r2q3/r3npk1/p1p1n1p1/2PpN2p/PP1P3P/1R1QP1PB/1R3K2/8 w - -,d3b1
5rk1/6p1/p1b1p1qp/1pP1pp1n/1P2P3/PNN2PP1/2BR2KP/5R2 b - -,f5f4
2r1k2r/1bq1ppbp/p2p1Bp1/1p1P4/3N1P2/3B1Q2/PPP3PP/1K1RR3 b k -,g7f6
1R4k1/5p1p/4b1p1/p3p3/5rP1/2K1R2P/8/8 b - -,g8g7
3R1k1N/1p3P1b/p7/8/2P5/5r1p/7K/8 b - -,f8g7
4r1k1/3qrppp/1p3b2/1Np5/P4B2/3Q1BP1/1P2PP1P/R5K1 b - -,d7d3
r3r1k1/ppqn1pp1/2p2np1/4p3/3P3P/2P2NP1/PP3PB1/R1Q1R1K1 w - -,d4e5
3q1rk1/rb1nbppp/pp3n2/2p1p3/2PpP3/1P1P1NP1/PB2QPBP/RN3RK1 w - -,b1d2
8/1R5R/2rp2k1/p5p1/1PPq4/P4PK1/2b3PP/5B2 b - -,a5a4
8/5p2/2PK4/8/7P/4Pk2/6pr/6R1 b - -,h2h4
r1bq1rk1/p4ppp/2p2n2/3pp3/1bP5/2NBPP2/PPQ3PP/R1B2RK1 b - -,c8e6
8/p7/1q6/1P1R4/2K2k2/8/8/8 b - -,f4e4
2kr4/pp1b1p1p/1b2p3/5p2/3N2r1/2P3N1/PP3PPP/3R1R1K w - -,f2f3
5krr/3Pp3/3p1p2/5P1p/p1pR2PR/P1P5/1P6/2K5 b - -,f8f7
5rk1/1p1q1pp1/p1r1pnp1/2bp4/5B2/1Q1P2P1/PP2PPBP/R1R3K1 b - -,f8c8
2r1r1k1/1p1n1pp1/p1nBp1p1/2P3q1/4P3/2R5/PP2N1PP/4QRK1 b - -,e6e5
r1b2rk1/1p1nqpb1/2p2npp/p3p3/P3P3/2N1BNP1/1PP1QPBP/R2R2K1 b - -,d7c5
bqr1n1k1/2r2pBp/pp1pp1p1/4n3/P1PNPQ2/1PN4P/5PP1/2RR1BK1 b - -,g8g7
8/8/8/3pNk2/3PnPp1/4P1Pp/7P/5K2 w - -,e5f7
r2q1rk1/p3npbp/2p1n1p1/2pp4/4PB2/2NP2P1/PPPQ1RBP/R6K w - -,f4h6
8/8/2r5/5p1k/1R3P2/5r2/1B6/1K6 b - -,h5g4
4rrk1/2p3pp/1pRq4/p2Pp3/4Q3/8/PP3PPP/4R1K1 b - -,d6d7
8/2B2k2/1p1n3p/p1b3pK/8/4P2P/PP2B3/8 b - -,f7e7
r2qkB1r/pp1n1ppp/2n1p3/3pP3/1P6/2PQ1N2/P4PPP/RN3RK1 b kq -,d7f8
6k1/1pr1n1p1/p4nBp/2NpRP2/3P4/1P5P/P5P1/6K1 w - -,e5e6
r4rk1/1p1q1pnp/p1pN2p1/2Pp4/1P2P3/2Q5/P4PPP/R4RK1 b - -,d5e4
1R6/3b1k1p/3r1b2/4p1p1/p2pBP2/6P1/P3P2P/2R3K1 w - -,c1c7
6k1/1bb1Rpp1/p6p/2p4P/Pp6/1P1r2P1/2PP1p2/1K5R w - -,h1f1
3q4/6kp/1ppr1pp1/p1n1p3/P3P3/1P2QNPP/2P2PK1/R7 b - -,c5e6
r4k1B/1b3q2/p3p1Q1/bp1pPp2/3P4/P7/1P3PPP/R4RK1 w - -,g6h6
4r1k1/6pp/1p6/p1p5/1n6/7P/5bP1/R4NK1 w - -,g1f2
8/8/8/8/pP3R2/Pk1b1p2/6r1/2B1K3 b - -,g2e2
1r4rk/5p2/p2p1bpB/2pP4/2P5/7P/1P2R1P1/1R4K1 w - -,h6f4
r7/5k1B/2pBnb2/3n4/6P1/1Pp2P2/2KP3P/7R w - -,d2c3
1r4k1/p4pp1/b2b3p/1p2pPq1/1n1pP2N/1P1P2PP/P1r3BN/R2Q1RK1 w - -,a2a3
r2r2k1/pp5p/2p3n1/5qp1/2P2p2/2Q3P1/PP2RPBP/2R3K1 w - -,g2e4
8/2r3pp/3RP3/8/2p5/2k1K3/6PP/8 b - -,c3b2
5rk1/ppr1pp1p/3p2p1/3P4/3R1P2/1B4nP/PPP3P1/4R1K1 w - -,g1f2
1r3r2/3bk3/3Nq3/2Pp1p2/1p1Qp3/nP2P3/P3BPPP/2RK3R b - -,f8g8
3r1rk1/2q2pp1/p1n1pb1p/1p6/2pPQP2/P1P3PP/1P6/R1B1RNK1 b - -,c6e7
2k5/1b6/8/P1n1K1p1/8/1p6/1P2B3/8 w - -,e5f6
rr2n1k1/1bqn1pbp/p2p2p1/2p1p3/P1NPPB2/2PB1PQ1/4N1PP/RR4K1 w - -,d4e5
r2qr1k1/p3bppp/2pp4/1p1b4/4n1P1/2P1BN1P/PPP2PB1/1K1R1Q1R w - b6,f3d2
1r1qk2r/1p2ppbp/p1np1np1/2p5/P3P3/3P1BPP/1PP2P2/RNB1QRK1 w k -,f3d1
1q1r3r/p3kp2/4pp2/3b4/8/P2BQ2P/5PP1/3RR1K1 b - -,h8g8
8/8/n5k1/P7/2K5/1P3N2/6p1/8 b - -,g6h5
r3kb1r/pp2p1pp/1q3np1/2nP4/8/4P2Q/PP1N1PPP/R1B1KB1R b KQkq -,f6d5
2r1k2r/pp3pp1/2bppb1p/8/4P1PP/2Nq4/PPPB1P2/1K1R3R w k -,c2d3
1r6/4rk1p/p2Rp1p1/2p5/3b1P2/P7/1P2R1PP/2B2K2 w - -,d6a6
r1b2rk1/1p3pp1/pq5p/8/4B3/2Q5/PP3PPP/3R1RK1 b - -,c8e6
r1bqk2r/pppnbppp/3p1n2/4p3/P1BPP3/2N2N2/1PP2PPP/R1BQK2R b KQkq a3,c7c6:e8g8
8/7p/4n1k1/5p2/8/5K1P/3B4/8 w - -,d2c1
7r/p1r1bR2/kq5p/1n1QPPp1/1ppP4/8/PPP1N2P/1K3R2 b - -,h8d8
5k2/5r2/8/3N4/2PK4/3B2R1/6P1/3r4 b - -,f7a7
1rbq1rkb/4pp2/1n1p2p1/1BpPn1Np/4P3/2N3BP/1PPQ1PP1/R3R1K1 w - -,b2b3
r1b4r/p3npk1/1p3bpp/3p4/3p4/3N2P1/PP1BPPBP/2R2RK1 b - -,c8g4
r3brk1/ppp3p1/1nn1p2p/3p4/2PP1q2/1P3NN1/P2QBPPP/3R1RK1 b - -,a8d8
2q3k1/p3n1p1/2pp3p/8/3NQ3/2P5/PP4PP/6K1 b - -,c8d7
2r3k1/pp3p1p/1n1bpp2/8/3P4/P2B1N2/1P3PPP/1R4K1 b - -,d6f4
8/2k4p/6p1/3B2P1/pn2K3/3P4/1P5P/8 b - -,c7d6
8/6p1/4b2p/8/kP6/2K2P2/2N3PP/8 b - -,e6f7
r1bqnrk1/ppp1n1bp/5pp1/3Pp1B1/4P3/2NB1N2/PPP3PP/R3QRK1 w - -,g5e3
r1bqk2r/4bppp/ppn1p3/2p2n2/P3NP2/3P1N2/BPP3PP/R1BQ1R1K b kq -,h7h5
3r2k1/p5pp/1p2np2/3qp3/8/4P1P1/P1Q1P2P/B1R3K1 b - -,d5d2
2r2bk1/2N2p1n/3pb1p1/4p3/4P2B/3B1Q2/q5PP/1R5K w - -,c7e6
r1b2rk1/p4ppp/1pP1pn2/4N3/1bn1P3/2N2P2/PPK3PP/R1B4R w - -,e5c4
7k/7p/p3r1p1/1p2P2n/6pP/4P3/PP2Br2/K2R3R w - -,e2g4
8/8/1p6/2p2pk1/2P3p1/pPr3P1/P5R1/4K3 w - -,e1d2
1k1r3r/pp1b4/1qn1p1pp/4Pp2/7P/2QB1N2/PP2RPP1/2K4R b - -,c6b4
3r2bk/7p/1p1q2p1/p1b2p2/5N2/1P3QP1/P5BP/5R1K b - -,d6d2
r3r1k1/1p1n1pp1/2p4p/6R1/1P1P4/3pP3/3N1P1P/1R2K3 w - -,g5a5
r5k1/p6p/2p5/5Q2/2P5/1P4KP/P3q3/3R4 b - -,e2d1
1r6/1P3pk1/2Q1nb2/6p1/3p2q1/3N2P1/P4PB1/4R1K1 b - -,g4f5
r2q1r1k/pp2b1pp/2n1b3/2P1pp2/5n2/2P2PN1/PPQN1BPP/1K1R1B1R b - -,d8e8
1r1q2k1/5ppp/p4n2/2r1N3/P7/1pB2PP1/1Pn4P/R2Q1R1K b - -,d8e7
8/5Rpk/3N1b1p/7r/4Pn2/8/8/2K5 b - -,h5e5
2r1r1k1/3b1p2/4p1pQ/1p1pPqN1/1p1B4/8/1P3PPP/4R1K1 w - -,g5h7
2r2n2/6pk/pnr4p/1pN2p1q/PP1Bp3/1Q2P1PP/5P1K/2R3R1 w - -,a4b5
r1b2r1k/bpp3pp/p1Pp1n2/P4p1q/2P1p3/1QNPPNP1/3B1PBP/R4RK1 b - -,e4f3
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq d3,c7c6:f8e7:h7h6
8/2R2nk1/1p1p4/3b2N1/1P6/r5P1/6BP/6K1 b - -,a3a1
r1bq1rk1/1ppn1ppp/3p1n2/p7/2Pp4/P1B2NP1/1P2PPBP/R2Q1RK1 w - -,c3d4
r1bq1rk1/1pp2ppp/p2b1n2/2n1p3/P1B1P3/2pP1NN1/1P3PPP/R1BQ1RK1 w - -,b2c3
rn2k2r/pp2bppp/2p3b1/q7/4n2P/2PN2N1/PP2BPP1/R1BQK2R w KQkq -,c1f4
rn3rk1/ppp2ppp/3q1n2/1P2p3/2P5/3PRNP1/P4PBP/R3Q1K1 b - -,f6g4
r2r2k1/1b1nqppp/pp2p3/2pp4/P1PPn3/1PNBPN2/5PPP/2RQR1K1 w - -,c4d5
r4rk1/pppq2bp/3p2p1/3P4/1n2PPb1/2N3Q1/PP4BP/R1B2RK1 b - -,c7c6
rnbqkb1r/pp3ppp/3ppn2/2pP4/2P5/5N2/PP2PPPP/RNBQKB1R w KQkq -,b1c3
2r2rk1/pb1p3p/1pn1qpp1/8/1PP1pP2/P1QpP3/1B1P2PP/R2B1RK1 b - -,c6e7
3r1rk1/3q1pb1/p3p1pp/1p1n4/2pP1PPP/P1P3N1/1P2Q3/R1B1R1K1 b - -,d7d6
r2qkbnr/ppp1p1pp/2n2p2/3p4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,f1b5:f1e2
1rB1k3/1Pn2r2/1R3R2/4p3/4P1P1/3P3P/7K/8 b - -,f7f6
3r4/rb1nkp1p/p3pp2/Np6/3PP3/P3K1P1/5PBP/2R4R b - -,d7b6
rnbqkb1r/1p3ppp/p2ppn2/8/3NP3/2N5/PPP1QPPP/R1B1KB1R w KQkq -,g2g4
2brk2r/1p3ppp/p1p1p3/2b5/2B1NB2/8/PP2Q1PP/3q1R1K w k -,f1d1
rnbqr1k1/p1b2ppp/1pp1p3/3n4/1PBP1P2/P1N1P1N1/1B4PP/R2QK2R w KQ -,d1d2
r2q1rk1/pp1nn1pp/2pb1p2/3p1b2/3P3B/2N1PN2/PP1Q1PPP/R3KB1R w KQ -,f1d3
r4rk1/pb2ppbp/1q4p1/np1pP3/3P4/1P2BN1P/P1B2PP1/R2QR1K1 b - -,a8c8
r3r1k1/1b1qn1p1/3pRp2/p2P3Q/Pp5P/8/1P1B1PP1/4R1K1 w - -,d2f4
2rq1rk1/3bppbp/p1np2p1/1p1n4/2P5/1P3NP1/PB2PPBP/R1QR2K1 w - -,b2g7
rnbqk2r/pp3pp1/2p2n1p/3p4/3P3B/P1P5/4PPPP/R2QKBNR w KQkq -,e2e3
r1bqkb1r/pppn1ppp/4p3/8/3Pn3/2PB4/PP3PPP/R1BQK1NR w KQkq -,d3e4
r7/bppq1kBp/p1nprp2/4pN2/PP2P1Q1/2P5/5PPP/R4RK1 w - -,g4h4
8/1p5p/p1p1k3/P1Pr1p2/1BK1nPp1/4R1P1/1P5P/8 b - -,d5d1
1k1r4/1p3pp1/p3p3/2p1q1p1/nP1rP3/P2BQ1PP/2P2PK1/1R2R3 w - -,b4c5
3r2k1/p1q2pb1/1p1p2pp/2pr4/4P3/2P2BP1/PP3P1P/1Q1R2K1 w - -,d1d5
8/3r1kp1/2p1pp1p/rp6/3P4/PR1R2P1/2P2PKP/8 b - -,d7a7
6k1/5p2/6pp/R7/7P/6P1/2r5/6K1 b - -,g8g7
r1bqkb1r/pp2pp1p/2n3pn/3p4/3P1B2/2PB4/PP3PPP/RN1QK1NR w KQkq -,g1f3:h2h4
2r4k/p4p2/1p1r1b1P/2pp1R2/3P1P2/P1B1P3/4KP2/6R1 b - -,c8c6
5bk1/p4ppp/8/8/6b1/4R1P1/P4PKP/1r3B2 w - -,f1d3
5rk1/3p2pp/ppb3q1/3pr3/1P1R4/4N1P1/P3PPQP/2R3K1 b - -,g6h6
r5k1/1b1rbppp/pq2pn2/1p1P4/2p1P3/PQN3PB/1P3P1P/R1B2RK1 w - -,b3c2
8/8/6pk/p1rpNn1p/5P2/3KP3/PP5R/8 w - -,h2g2
6k1/7p/3pQ1p1/2pN2q1/2P3nb/Pr6/1P4PP/1R3B1K b - -,g8g7
5r1k/6p1/p1p4p/4p3/4Q2P/6PK/1q2B3/8 b - -,f8f2
4r3/p5kp/6p1/2P2p2/3P1n2/8/PN1R3P/2rN1K2 b - -,e8d8
r5k1/1p3pp1/r3pn1p/2pp4/8/2NPP1PP/P2BKPB1/R7 b - -,b7b5
5bk1/r4ppp/1q2pn2/8/1p1pP3/1Q1P2PP/1P1BBP2/2R3K1 b - -,a7c7
8/pp2kp1p/1b2p3/6p1/5r2/PNPK1P2/1P4PP/3R4 b - -,g5g4
2r2k2/6p1/3R2Pp/p4b2/1p1p4/5P2/PP6/K5R1 b - -,d4d3
2b1r1k1/p1q1rpp1/1p1b4/2ppN2N/3PnP1p/P1P2Q1P/1P1B2P1/2R1R2K w - -,e1e2
3r4/kpqr1pb1/pn2p2p/4P1p1/4R3/1BP2NP1/PP2QP2/1K1R4 w - -,a2a3:e2e1
r2r2k1/3b1pb1/pPp1p1n1/2NpPq1p/P2B2p1/N1P5/4QPPP/R3R2K b - -,g7f8
3r4/nkpp1p2/r6p/2p1PNp1/2P1R3/1P2RP2/6PP/4K3 b - -,d8e8
3r4/5k2/p4p2/4p2p/PP3p1P/5P2/3RK1P1/8 b - -,d8d2
r7/1b2Npbk/pq1p2rp/2n1P3/P5Q1/8/2B2PPP/2B1R1K1 b - -,d6e5
rnbqkbnr/pp3ppp/4p3/2pp4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -,d2d4
2r2k2/5p1p/p2p2p1/1p6/3pP3/5P2/PP1RK1PP/8 b - -,f8e7
r1b1kb1r/2q2ppp/p1nppn2/1p6/3NP1P1/2N1BP2/PPPQ3P/R3KB1R w KQkq b6,e1c1
8/4k3/3p2Kp/2pP4/1p6/1P6/4B2b/8 w - -,g6h6
2b1rrk1/4q1p1/p4n1p/2p1RP2/2Pp1P1P/1P1B2Q1/P7/1N1R2K1 b - -,e7c7
2r1r3/1b4qk/pp1N2p1/2pPn2p/P3P3/1PbB3P/4RP1B/3QR1K1 w - -,e2e3
r1bq1rk1/ppp2ppp/2n2n2/3p4/3P4/P1PB4/2P1NPPP/R1BQK2R w KQ -,e1g1
r1b2rk1/pp3pbp/2np2pn/1B1N4/8/5N1P/PPP2PP1/R1B2RK1 b - -,h6f5
2brr3/4q2k/p4pp1/1pp1p2p/4P3/P1PP2RP/BP2Q1P1/5RK1 b - -,e8f8
5rk1/1p3pb1/2p1q1pp/p2rP3/3P1P2/4Q1B1/6PP/3RR1K1 b - f3,f8d8
4r2k/6rp/2Bp4/p3pNb1/R1P2p2/1P6/5P1P/5bK1 b - -,e8c8
7k/Qp1qr1p1/2p4p/4n3/2P1pP2/1P4P1/P4P1P/5BK1 b - -,e5f3
6r1/4R1nk/2b3pp/2np1P2/2p3p1/5P2/P6P/BBR4K w - -,f5g6
8/pp6/7p/6k1/2P1K3/4P3/P7/8 w - -,c4c5
7k/2R4p/2P5/8/P2n1pP1/8/5K1P/8 b - -,h8g8
