8/1p4K1/3b3p/2k1p3/5pPB/5P2/8/8 b - -,c5d5
r5k1/p1pn1qpp/b1p5/P3p3/2p1P3/4B1P1/P1Q2PBP/3R2K1 w - -,c2c3
r7/3q1p1k/p1Np2pp/1p1P4/bp2Q1P1/7R/1B3P2/6K1 b - -,a4d1
rn1q1rk1/pp2ppbp/3p1np1/2pP4/2B1P3/2N2Q1P/PPP2PP1/R1B2RK1 b - -,b8d7:b8a6
r2q1rk1/p1p3bp/2pppnp1/8/4P3/2N2Q2/PPP2PPP/R1B1R1K1 w - -,f3h3
r2q1rk1/1b3ppp/pn1p2n1/1ppP4/4PPP1/1P3NNP/P1B5/1RBQ2K1 w - -,c1b2
8/pp1kn1p1/3npp1p/3p4/3P4/1PNKPN1P/P4PP1/8 w - -,h3h4
r1b2rk1/1p3pp1/2pp1qnp/1p2p3/P2PPn2/2P1BN1P/1PB2PPK/R2QR3 b - a3,b5a4
8/8/p3p1k1/1p1pB3/3P2K1/1P2bP2/P7/8 w - -,e5h8
r4rk1/1pp1npp1/3q3p/1Bb1p3/p1b1P3/2P2NP1/PP2QPP1/R3K2R w KQ -,b5c4
1r1qk3/5pp1/1p1p1bnr/p1pPp1p1/P1P1P1P1/2P1BP1P/3Q3R/1R1K1B2 b - -,g6f4
8/8/2R4p/5p2/1P1k1P2/4r1P1/5K1P/8 b - -,e3b3
2k5/p1q1r3/1pp3pp/2br1p2/P4P2/1PB2Q2/1P4PP/4RR1K w - -,e1e7
r1b1k2r/1p2q1pp/p1n1p3/2pp4/3PnP1Q/2N2N2/PPP3PP/2KR1B1R w kq -,h4e7
3q4/pb3k1p/4p1p1/7r/3P1B2/1P1BQ2P/P4PP1/6K1 w - -,d3c4
rnbq1rk1/ppp1ppbp/3p1np1/8/1P1P4/4PN2/PBP1BPPP/RN1QK2R b KQ -,b8d7
r1k3nr/pppb1pbp/2n3p1/4p3/4PP2/2N1B1P1/PPP4P/2KR1BNR w - -,f1c4
2r2rk1/pb3pp1/1p6/6Qp/3P4/Pq3PP1/5BP1/3R1RK1 b - -,b3d5
4r1k1/ppr2ppp/2pq1p2/2NP4/3P4/5BPb/PP3P1P/2RQ1RK1 b - -,h3f1
r1b1r3/2k3p1/p3p3/np4P1/8/BBP5/P4P1P/3RR1K1 w - -,a3d6
r1b1k2r/1pqnbppp/p2p1n2/4pP2/4P3/1NN1B3/PPP1B1PP/R2Q1RK1 b kq -,b7b6
8/2p4p/b4P2/P1pkn3/4p1B1/P1B1P3/7P/6K1 b - -,e5f7
4R3/8/3r4/4kp2/4p3/8/5PK1/8 b - -,d6e6:e5d4
r6r/1bk2ppp/5n2/1B2p3/pB2n3/3N4/PPP3PP/4RRK1 w - -,d3e5
8/p6p/4k3/2p2p2/2n1pP1P/P7/5K2/2B5 b - -,e6d5
r1b2rk1/5ppp/pnn1p3/1p1pP3/1P3P2/P1N2N2/2P3PP/R3KB1R w KQ -,e1c1
1nkr3r/2p2ppp/pp2b3/2p5/4PB2/1N6/PPPR1PPP/3R2K1 w - -,d2d8
8/4k3/B2p1b2/2pPn3/2P1K3/1P6/8/4B3 w - -,a6c8
1r4k1/pq3ppp/3Qp3/8/2p5/4P1PP/Pb3P2/1R4K1 b - -,c4c3
8/8/3p4/3Pk1p1/4P3/6Kb/8/7B b - -,g5g4
r3k2n/pp6/2p4p/3pP2P/5P2/2PB4/PP2KP2/1R6 b - -,e8e7
3r1rk1/1p2ppbp/1qb2np1/p3B3/P7/1BN4P/1PP1QPP1/R4RK1 w - -,a1d1
3r3k/p5p1/P6p/R2p4/1Pp1r1P1/5R1P/8/6K1 b - -,d5d4
2r3k1/pq3ppp/1p2pn2/8/8/1P3NP1/PQ2PP1P/2R3K1 b - -,h7h6
r3k2r/1p3ppp/pbp1b3/2N1p3/4P3/4BP2/PPP3PP/2KR3R w kq -,d1d6
r1b2rk1/p2nqpp1/4p2p/2p5/Q7/2R1PN2/PP2BPPP/5RK1 b - -,c8b7
4r3/n1p5/1p1p2k1/p5p1/P1PP3p/2P2K1P/3N2P1/1R6 b - -,e8f8
r7/q3ppk1/3p2p1/2pP3p/4P3/rP1Q2PP/P1R1RPK1/8 w - -,e2d2
rnbqr1k1/pp2ppbp/3p1np1/2pP4/4PB2/2PB1N2/PP3PPP/RN1QK2R w KQ -,e1g1
r4rk1/bppqnpp1/3p3p/pP2p3/2P1N3/P2P2PB/3BPP1P/R2Q1RK1 b - -,d7h3
r2q1nk1/ppb2ppp/2p2rb1/1P6/2BPp3/BN2P2P/P1Q2PP1/1R3RK1 w - -,f1c1
8/6P1/8/p5K1/N2k4/1b6/8/8 b - -,b3g8
8/1R6/2p5/2P5/1P2r1p1/Pk4P1/5PK1/8 w - -,b7a7
r6r/pp2q3/2p2kn1/4p3/2B1Pp1p/P1Q2P2/1PP2P1R/2K3R1 w - -,h2g2
1rb1k2r/b1q2pp1/2npp1n1/8/1p2PPPp/3N3P/1PP1N1B1/R1BQ1R1K w k -,b2b3
r1r3k1/p1p1qppp/2p5/2NpPb2/3Bp1nP/PPQ1P3/2P2PP1/R3K2R b KQ -,c8e8
2r3k1/3q1pb1/Q4nb1/2p1r1p1/2PNp3/4N1PP/P4PB1/2R2RK1 w - -,d4b5
3r4/2R2pp1/p1R4p/1p2p1k1/4P3/1P2KP2/PP1r1P1P/8 w - -,f3f4
2R1n3/6pp/p3k3/Pb6/1P6/7P/1P3PP1/6K1 b - -,e8d6
r3k2r/1bp1b2p/pp3pp1/2p2N2/3Nn3/1P6/PBP2PPP/R3R1K1 w kq -,f5e7
2r2rk1/1p2bppp/p3pn2/q2pn3/3P1B2/P1NQP2P/1P3PP1/2R2RK1 w - -,d4e5
r4rk1/pp2p1b1/3pP1p1/2qB1pB1/2p3n1/2P3P1/PP1QPP2/2KR3R b - -,g4f2
r2q1rk1/1pp1n1b1/p1n1b1pp/4p3/B3Pp2/2P2N1P/PP2QPP1/R1B2RKN b - -,c6a5
r3r1k1/1pq2pbp/p5p1/P4b2/1BP2p2/N2n1N1P/5QP1/2RR3K w - -,d1d3
8/5pkp/p5p1/1q6/3Q4/4N2P/5PPK/8 b - -,g7g8
r1b2rk1/2pnqpb1/p2pp2p/1p4pP/3PP3/2N2NP1/PPPQ1PB1/2KRR3 w - -,f3h2
r1b1k1nr/2q2ppp/p1pbp3/8/5P2/2N5/PPP3PP/R1BQKB1R w KQkq -,c3e4:d1f3
3r4/5k1p/2p5/5p2/p3pP1b/P4r1P/1PR2B2/4RK2 w - -,e1e3
r2qr1k1/ppp2ppp/3bbn2/3pN3/3P4/PP1Q4/1BPN1PPP/R4RK1 b - -,d8c8
r1bq1rk1/pp3ppp/2pp1nn1/1B2p3/4P3/P1P5/1PP2PPP/R1BQRNK1 w - -,b5d3
r3r1k1/1b2qp2/p2p2p1/Ppnn3p/2p1P3/2P2RNP/1PB3PN/R2Q2K1 b - -,d5f6
r1bq1r2/p4pbk/2pp1npp/8/4P3/2NBB2P/PP1Q1PP1/R4RK1 w - -,f1d1
1rbq1rk1/p3npb1/3pp1p1/1pp3Pp/3nPP2/2NPBN2/PPPQ2BP/R4RK1 w - b6,c3d1
r1bq1r1k/1pp1b1pp/2np4/p1nNpp2/2P5/P1NPP1P1/1PQB1PBP/R3K2R b KQ -,d8e8
4qrk1/8/6r1/pn1Pp1pp/1bN1P3/1P2BPP1/1Q6/2R2RK1 b - -,b5d4
r2q1rk1/pppb1pb1/3n2p1/3Pp2p/4P3/1PN1P1N1/P2QB1PP/R4RK1 w - -,f1f2
8/5k2/8/2r5/5PK1/4R3/8/8 b - -,f7f6
8/p1p2rk1/1p1p2np/PP1Prp2/1PR5/6P1/6BP/5R1K w - -,g2f3
r4rk1/1p1n1p2/3p3p/p3p1q1/P1pPP1b1/2P3NP/1PB2QP1/R4R1K b - -,g4h5
r2q1rk1/1p1n1ppp/p1n1p3/2Pp2bb/1P1P4/4NN2/PB1QBPPP/R4RK1 w - -,f3g5
8/2p5/3p2p1/1PpP1p2/2Pq3p/1Pk4P/6PK/3B1R2 b - -,g6g5
8/1P6/3K1k1p/8/4BPP1/1r6/8/8 b - -,f6g7
r3r1k1/pp1b1ppp/1q3n2/3pn3/8/1NP1B1PP/PP3PB1/R2Q1RK1 b - -,b6c7
8/pr3p2/1P1k3p/P2pr3/1R6/7P/3R1KP1/8 b - -,a7b6
r1r5/ppp1pqBk/6pp/8/8/PP4P1/2P2P1P/R2QR1K1 b - -,h7g7
r3k2r/pp1qbppp/2n1pn2/6B1/3P4/2N2B1P/PP3PP1/R2Q1RK1 b kq -,c6d4
2r1r1k1/3q3p/Rpbp2p1/5pB1/1PP1p3/5P2/P5PP/1Q2R1K1 w - -,b4b5
2rq1rk1/pppn1ppp/2b1pn2/8/3P4/5NP1/PPQNPPBP/2RR2K1 w - -,c2b3
5rk1/4r1p1/pb3q1p/2p1pP2/1PPpR3/P4Q1P/3B2P1/5RK1 w - -,g2g4
4k3/1p1rB3/p2PK1p1/P5P1/1P6/8/8/8 b - -,b7b6
8/6r1/5k2/2R2b2/8/8/7K/8 w - -,c5a5
8/p5k1/1p5p/2pR2p1/P1P5/7P/5rPK/8 w - -,a4a5
3r2k1/5pp1/1p6/p1p3b1/Pr3Bq1/1P1P2Pp/2Q2P1P/3R1KR1 w - -,f4g5
8/1p1b2p1/p6p/1k1pPp2/3P3P/1P2K3/P5P1/2N5 w - -,c1d3
2rqbrk1/p3n1bp/1p1nppp1/3p4/3P1PPB/1PNNP3/P1R3BP/2RQ2K1 b - -,h7h6
r2q1rk1/p2n1p1p/6p1/2pQ4/5B1P/8/PP2PP1P/R3R1K1 b - -,d8h4
r2qk2r/p4p2/b1p1p2P/1p1nP1B1/P1pP2Q1/2P5/6P1/2R1KB1R b Kkq -,d8b6
r1b1k2r/2qp1ppp/pNpbpn2/8/4P3/4B3/PPP1BPPP/R2Q1RK1 b kq -,a8b8
8/2k5/2p2b2/1pNn2p1/p2BB3/P4P1n/1PK5/8 w - -,d4f6
2k1r3/r2b4/2pB1ppn/ppP3bp/4PN2/PB5P/1PK1R1P1/5R2 b - -,a5a4
r5k1/ppqb1pbp/4p1p1/2p1P3/P1B1NP2/1P2P2P/1B4P1/3R1K1R b - -,d7c6
3k4/5pp1/2p3p1/3p2Pn/N1pP1bKP/P2r4/1P2RP2/2B5 w - -,c1e3
r2q1knr/1pp2p2/p2b3p/3Pp1p1/4P1Rn/1QN1BP2/PP2BP1P/R3K3 b Q -,d8c8
8/8/8/p4K1k/1b6/5R2/2Bp1n2/8 b - -,b4c5
2r3k1/5ppp/p2p4/Bp1Pp3/3bP3/PP5P/n1B3P1/1N1K4 w - -,d1d2
2r3k1/1R3pp1/P6p/8/6P1/4P3/2pBBPKP/3r4 w - -,a6a7
6k1/2p4q/3p1n1p/1R1Pp1p1/7B/r1PQ1P2/P5PP/6K1 w - -,d3h7
8/8/2pn4/2K1p3/6pB/3Bk3/8/8 b - -,e3d3
4k2r/p2r1pbp/1p2p1p1/4P3/B1P3P1/8/PP3PP1/4R1K1 w k -,e1d1
8/4kp1p/rn2p3/1p6/1P1P4/P4P2/3BKP1P/R7 w - -,e2d3
2rR4/4kp1p/p1b1n1p1/1p2p3/4P3/5P2/PP2NKPP/2R2B2 b - -,e7d8
2r5/5pk1/p5p1/1p3p2/1P1P1P1q/3RP3/P5Q1/2bB1K2 b - -,h4e7
rn1qkb1r/p3pp1p/2p1bnp1/1p6/3P4/1P1BPN2/2Q2PPP/RNB2RK1 b kq -,f8g7
5r2/p5pk/7p/2prp3/1n2N3/8/PP3PPP/R2R2K1 b - -,f8d8
r1bq1rk1/pp2bppp/2n1pn2/8/3P4/P1NBB1N1/1P3PPP/R2Q1RK1 b - -,b7b6
2rrq2k/5ppp/p2pn3/1p1Rp3/4P3/2P2P2/PP1QN1PP/3R2K1 w - -,d2e3
r1b2k1r/1pq2pp1/p2Np3/4P2p/3b1Bn1/3B4/PPP1Q1PP/R3K2R w KQ -,e1c1
b7/5P2/2p1k3/3pN1K1/3P3p/7P/8/8 b - -,e6e7
5rk1/q2n1ppp/p1pbp3/3p4/2PP4/2B1P2P/P1Q1NPP1/1R4K1 b - -,f8b8
2rq1rk1/4bppb/2p1p2p/p1npP3/2PN4/4B3/PP2BPPP/2RQ1RK1 w - a6,c4d5
1r3rk1/b2q2pp/p1pp4/4B3/1P6/P3P3/5PPP/2RQR1K1 b - -,b8d8
r1b2rk1/ppp1qppp/2npp3/8/2PPn3/P1B2NP1/1P2PPBP/R2QK2R w KQ -,a1c1
8/8/4bk2/R5p1/4B3/5P1p/3r3K/8 w - -,h2h1
r2q1r1k/ppp1n1bp/3p2p1/2PPpb2/PPB1Nn2/R4N1P/5PP1/2BQ1RK1 w - -,f1e1
r1bqkb1r/ppp2ppp/2n5/4p3/8/P1n2N2/1PQPPPPP/R1B1KB1R w KQkq -,b2c3:d2c3
2r2rk1/pb3ppp/5q2/1n2p3/1P2P3/6N1/1Q3PPP/R1B1R1K1 w - -,c1e3
r1b1r1k1/3n1pbp/p4np1/1p6/PqpR1BP1/1BN2N1P/1PP2P1Q/3R2K1 w - b6,f4d6
8/p4k1p/2P1p1p1/1P2b3/P5P1/2q4P/K7/1Q6 w - -,b1f1
1r1r2k1/1b1qbp1p/p3p1p1/P7/1p2P3/3NBP2/1P3QPP/R1R3K1 w - -,d3e5
8/8/8/4kpR1/2p1p3/2P3PP/5P2/2r2BK1 w - -,g5g8
r2r2k1/pp1b3p/3np1p1/2p2nN1/3b4/3B4/PP4PP/3RQRK1 w - -,g1h1
5r2/1p4k1/2b1p1p1/p2pN1P1/P2P1PP1/1P6/6Kp/2R5 w - -,e5d3
r2r4/2kn1n1p/1pp1bpp1/p3p3/N1P1P3/P7/1P1NBPPP/2RR2K1 w - -,f2f3
5rk1/p1q2p2/4p2p/2p3p1/PpBbQ2P/1P6/2P2PP1/3R2K1 b - -,g8g7
r3r1k1/6pp/5p2/2Np4/pPnN1PP1/7P/PP2R3/2KR4 b - -,e8e2
r2r2k1/p4pp1/1pb1pq1p/2n5/3P3N/P5P1/5PBP/R2Q1RK1 w - -,g2c6
6k1/5pb1/3qp1p1/4n2p/1p2P3/4BPP1/Q1B1K2P/8 b - -,d6c6
2r2k1r/1pq1bpp1/pn2p1p1/3p4/2nP2P1/2N1P2P/PPQ1BPK1/2R1B2R w - -,e2d3
rn3rk1/pppn1pbp/3p2p1/3Pp3/2P1PP1q/2N1B3/PP1QBP1P/R4RK1 w - -,a1c1
1r3rk1/p5p1/1B2pp1p/8/8/P1R2N2/4BPPP/2R3K1 b - -,b8b6
r2r1k2/4ppb1/4b1pp/P1RpP3/1p6/6P1/1B2PPBP/3R2K1 w - -,g2d5
r1bqkbnr/1p3ppp/p1n1p3/2pp4/4PP2/2N2N2/PPPPB1PP/R1BQK2R w KQkq d6,d2d3
r2br3/1pp3kp/2n1p3/3pPpp1/pPnP4/P1N5/2P1NPPP/2BR1RK1 w - -,f2f3
5rk1/p1p5/2pp2r1/1b3Ppq/3BQ3/7P/PPP3PK/8 b - -,g6f6
6k1/5p2/p4npp/1p2b3/8/P2pP1P1/1P1N1PBP/6K1 w - -,b2b3
r1bq1rk1/pp2ppbp/2p2np1/2n5/4P3/2NP1NPP/PP3PB1/R1BQ1RK1 w - -,f3e1
6k1/p4p2/5q1p/8/4Q3/4PKP1/1P5P/8 w - -,f3g4
4r1k1/p3r1b1/1p1p1qpp/2p5/2PpPP2/1P1P1BPR/P4R2/6KQ w - -,f2h2
rnbqk2r/p4pb1/2p1pP1p/8/P1pP2p1/2p3B1/1P2BPPP/R2QK1NR b KQkq -,c3c2
5rk1/5p1p/p2R2p1/n2P4/5P2/5NP1/1bp2K1P/5R2 w - -,d6a6
6k1/2pn1qpp/1p1br3/p1p1pr2/P1N5/1P1P1PQ1/2PB2PP/4RR1K w - -,g3f2
r1q2b1k/1R6/3p1p1p/5N2/p5Q1/P6P/1P3PP1/6K1 w - -,b7g7
5k2/pb1nbppp/1p2pn2/8/3N4/1P2PN2/PB3PPP/1B4K1 b - -,e7c5
r1b2rk1/1p1nppbp/2np2p1/q7/p1P1P3/2N1B3/PPNQBPPP/R4RK1 w - -,c2a3
4r3/p1r3kp/5pp1/qp1p4/1RpPnPN1/2P1P3/P1Q3PP/5RK1 w - b6,f1b1
2r1q2r/p5k1/3npp1p/2p1N1pQ/8/2PR4/PP3PPP/4R1K1 w - -,h5d1
1k6/1pp1r1pp/p1np1pb1/5q2/8/1PP2P1P/PKPR1BP1/2Q2B2 b - -,f5c8
2kr3r/ppp1p3/4p1p1/4b2p/2qnN3/2N1B2P/PP3PP1/R2Q2KR b - -,h8f8
2rq1rk1/4pp1p/p2pPbp1/8/2n1P3/1N4B1/PPP1Q1PP/R3R2K b - -,f6b2
5Q2/6K1/1pq5/p7/P7/4k3/8/8 b - -,c6a4
2r3k1/1b1p1pp1/p3p3/1p2B1P1/4P3/PNr2P2/2P1n3/2KRR3 w - -,e1e2
r4rk1/6b1/pnp3QB/1p6/P1pq1N2/2N3P1/1P5P/R6K b - -,d4f6
r1bq1r1k/ppp3bp/2n2pp1/3B1n2/3P4/2N2N1P/PPP3P1/R1BQR1K1 b - -,c6e7
r1b2rk1/2R2ppp/8/1p2N3/1P6/8/5PPP/3R2K1 b - -,c8e6
1r3rk1/p2b3p/3p1pp1/4p3/1PPnPP2/P1p2BP1/4N2P/R4RK1 b - -,d4f3
8/r5bp/6p1/2kN4/4KP2/1B4PP/8/8 w - -,d5e3
2r3k1/1b3pp1/pprp1q1p/4pP2/1P2P3/P3Q1RP/6PK/1B1R4 b - -,g8h7
rn1qk2r/pbppbppp/1p2pn2/8/3PP3/3B1N2/PPP1QPPP/RNB1K2R w KQkq -,e1g1
6k1/4r1pp/3N4/pp2P3/8/3N4/5KP1/8 w - -,d6b5
r2r2k1/2qbbppp/p2p1n2/nppPp3/4P3/2P2N1P/PPBN1PP1/R1BQR1K1 w - -,b2b3
rn1q1rk1/pbp2ppp/1p3n2/3p4/1b1P4/5NP1/PPQNPPBP/R1B1K2R w KQ -,e1g1
2r1r1k1/1pq2pp1/p1b2n1p/2pp1PP1/3P1P1P/P1NB2N1/1P1n2K1/1Q2RR2 w - -,b1d1
2r5/7p/5kp1/3P1p2/1p2p2P/r7/PKP1BPP1/4R3 b - -,a3c3
1r2kb1r/5pp1/1p2p3/2ppP2p/5P2/2PbBN2/PP3KPP/R6R b k -,f8e7
8/8/1Q6/1PK5/5q2/2P5/1k6/8 b - -,f4e5
r2r1nk1/1p2bpp1/1qp1p2p/p2nP3/3PQ1P1/P2B1N1P/1P1B1P2/R1R3K1 b - -,c6c5
r4rk1/1p2b3/2nqp3/p6p/2Pp2p1/3P2P1/PPNBQPBP/R5K1 b - -,d6e5
6r1/5k2/4R3/p3Brp1/2P2PK1/1P6/P7/4R3 b - -,f7e6
r2qk2r/pp1n1ppp/3p2n1/2pPp3/2P1P3/2N2BP1/PP3P1P/R1Q2RK1 w kq -,f3g2
1r4k1/q3pp2/3n2p1/3P2Pp/1p3Q2/1P3B2/N1K2P1P/4R3 b - -,a7a2
r1b1r1k1/1pq2pbp/2pp1np1/p4p2/PPPP4/2NQP1P1/4NPBP/R4RK1 w - a6,b4b5
8/1p1r1k2/p3r1pp/2P2p2/R2PbP1P/P1B1R3/7K/8 w - -,a4b4
r1bqk2r/p2p1ppp/2p2n2/2b1p3/2B1P3/2N5/PPP2PPP/R1BQK2R w KQkq -,e1g1
8/8/3k1p2/N2pp1pp/1p1P4/2nKPP2/6PP/8 w - -,a5b3
r3kb1r/pp1b1ppp/1qn1p3/2pp4/3P1B2/P1P1PN2/1P1Q1PPP/R3KB1R w KQkq -,f1e2
8/6kp/4ppp1/3p4/3P1q2/pP1Rr2P/P5P1/3Q2K1 w - -,d1d2
6k1/5qp1/7p/2rp4/P5R1/1Qp3BP/5PPK/8 w - -,b3c2
4r3/r3qpk1/2Rp2p1/p2Pb2P/3p4/PP1Q1B2/5PKP/6R1 b - -,e7h4
r2r2k1/pp1P1ppp/4q3/n1b1Nb2/3QnB2/P1N5/1P2BPPP/3RK2R w K -,d4d5
8/R4pk1/8/p4rp1/Pp5p/1P5P/3R2PK/1r6 b - -,b1b3
3qr1k1/pp2p1bp/2r3p1/5p2/Q1PP1n2/B4N1P/P4PP1/R3R1K1 w - -,a1d1
r2qk2r/1b2bppp/p1n1p3/1pp1P3/3Pp3/1BP1B3/PP2NPPP/R2Q1RK1 w kq -,e2g3
1k6/1p2b3/2p1bp2/P5pp/3rP3/P1N3PP/8/2R2BK1 b - -,e7a3
1rrqn1k1/pp2ppb1/2np2p1/3N1b1p/2P5/1PN3P1/PB1QPP1P/2R1R1KB b - -,f5e6
r1bq1rk1/3nbpp1/1pp1pn1p/p1Pp4/1P1P1B2/P1NBPN1P/5PP1/R2QK2R b KQ -,c8a6
5rk1/2q1b1pp/2p2p2/4p3/4P3/2QP1NP1/5P1P/R5K1 b - -,c7b6
8/p7/5k2/p1p5/2P1PN1p/1P3K1P/1b6/8 b - -,f6e5
8/1n1b2k1/3p2pp/p3p3/2PpP3/P2P2PP/3N4/5BK1 b - -,d7a4
5rk1/4b3/5q2/P2p4/3Pp1pp/4P1P1/2Q2PBP/2R3K1 w - -,c2a2
6k1/6B1/4Bp1P/3K2n1/1p4P1/2b5/P7/8 b - -,g8h7
2r2rk1/pp2nppp/3bbp2/3p4/2qP4/P1N1PBP1/1P1Q1P1P/R1N2RK1 b - -,e6h3
1r2r1k1/2qb2pp/p4p2/1ppPnP2/P3P3/2N3Q1/1R1N2PP/5R1K w - b6,a4b5
r4bk1/5p1p/p1q1p1p1/1p1rP3/1P1B1P2/1QP5/6PP/R4RK1 w - -,a1a5
2R2Q2/1p4pk/p3rn1p/8/5q1B/7P/P5P1/7K w - -,f8f7
r5k1/p4p2/4p2p/4Pp2/1r6/4P3/4R1PP/R5K1 w - -,e2a2
r1bq1rk1/pppn4/4p2p/3pP1p1/5p1P/P1P1PPB1/2P3P1/R2QKB1R w KQ -,g3f2
4rrk1/pp4p1/3b1n1p/3p4/3N2bP/4B1P1/PPq2PB1/R3R1K1 w - -,d4c2
8/k7/P4R2/7p/3K2p1/6P1/5P1r/8 w - -,d4e3
8/1R3pk1/6p1/p6p/7P/4K1P1/5P2/4b3 b - -,g7f6
8/R3p2p/1N1pkn2/5p2/2P2P1P/6P1/2r5/3K4 b - -,c2c3
r1q2k2/1R2p3/3p1pp1/r6p/P3P2P/1Q4P1/1R3P1K/8 w - -,b3e3
8/bN2k3/p5p1/P7/1n6/6PP/4B1K1/8 b - -,e7d7
r2q1rk1/pb1p2pp/np1np3/2p2p2/2PPP3/B1PB1P2/P1Q1N1PP/R4RK1 w - -,e4e5
8/8/3n1p2/6k1/8/4P2P/3NK3/8 w - -,e2f3
r1bqk2r/pp2nppp/2nb4/1B1p4/8/1N3N2/PPP1QPPP/R1B1K2R w KQkq -,c1e3
8/3r1k1p/4qppP/8/2Q5/6P1/5P2/1R4K1 w - -,c4a4
5R1r/ppk5/4p1b1/3p3N/2p1n1PK/2P4P/PP6/5R2 b - -,h8h7
5rk1/6p1/p3q2p/3npp2/3p2n1/5NP1/P3PP1P/2RR1QK1 w - -,f3d4
6k1/b2Rr1pp/pq2rp2/1pp5/4P3/1P3PP1/PB1Q2KP/3R4 b - -,b6c6
1r2b1k1/5ppp/p3p3/n7/2nNP3/2N3P1/5P1P/R4BK1 b - -,b8d8
3r2k1/p4pp1/8/5N2/1p2p1pP/1Bb1P3/P2rKP2/6R1 w - -,e2f1
5r2/2p1n1kp/2b1B1p1/1pP1pPp1/1P2P3/6NP/8/5RK1 b - -,e7g8
r1b2rk1/p2n1pp1/2p2qnp/1p2p2P/3PP3/2PB1NB1/3Q1PP1/2R1R1K1 b - -,g6e7
r2qkb1r/1p3p1p/p1n2p2/3bp3/8/2N5/PPPN1PPP/R2QKB1R w KQkq -,d2e4
8/3P4/1pK5/1P6/3b4/1k6/8/8 b - -,d4f6
8/p1r4r/R1N1k2p/2pp2pP/5pP1/P2K1B2/5P2/8 w - -,c6d4
8/7p/3p4/1p1Pk1P1/1P5P/p4K2/P7/8 w - -,f3g4
2rqr1k1/1b1nbppp/pp1p1n2/3NpP2/2P1P3/3BB2Q/PP1N2PP/4RR1K b - -,e7f8
8/5ppk/p2Qp1p1/3p4/1P3P2/P5P1/4q2P/6K1 w - -,d6e7
5r1k/pp3pp1/5q2/3r4/2p2p2/5P2/PPQ3KP/R6R w - -,h1e1
5k2/8/5r1r/P3Q3/5pK1/1P3P2/6P1/8 w - -,e5b8
4Q2k/pb4b1/1p2B2p/4q3/8/P7/1P3PP1/4B1K1 b - -,h8h7
8/2r3k1/7p/3Bb1n1/4P3/1QP1q1P1/4NRKP/5R2 b - -,h6h5
