8/8/1p2bkp1/4p2p/3bB3/P4PP1/4KN2/8 w - -,e4d3
1n1q1rk1/3bbppp/r7/pp1BN3/2p2B2/P5P1/1P3P1P/R2QR1K1 b - -,d7e6
r4rk1/5ppp/p3p3/1p2q3/P4n2/1P1B1Q1P/2P2PK1/3R2R1 w - -,g2h1
r2qr1k1/pb1n1ppp/1ppb1n2/3p4/Q2P1B2/P1N1PNP1/1P2BP1P/2RR2K1 b - -,d6f8
2kr3r/pppqnpp1/2n1b3/3p3p/P2P4/2PB2N1/2P1QPPP/R1B2RK1 b - -,h5h4
r1b3k1/p4rpp/2p1pq2/b2p4/8/2PB2Q1/P1PB1PPP/4RRK1 w - -,d2g5
r4rk1/1b3ppp/p4n2/2p5/2Pp1B2/P7/2P1BPPP/R4RK1 w - -,f2f3
5rk1/p4p1p/6p1/4R3/2R5/7P/Pr3PP1/6K1 w - -,e5a5
r3nbk1/1r3ppp/p2pp3/2n3P1/2RNPP1P/1P3K2/P4N2/B2R4 b - -,a6a5
3r3k/p4Bb1/2p2qPp/1p6/4Q3/8/PPP2PP1/3R2K1 w - -,d1d7
8/8/3k3p/p4K2/P1P2P1P/8/4B3/2b5 w - -,e2f3
2r2k2/4qpp1/1n2b2p/pr1p4/2p2N2/Q1R1PB1P/PP1R1PP1/6K1 w - a6,f4e2
8/2n5/2p3k1/1pPp4/1P1Pp3/4PpKP/5B2/8 b - -,g6g5
r1bqk2r/1p2bppp/p1n1pn2/3p4/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq d6,e4e5
6k1/q3brpp/3p1n2/3PpPB1/2P5/8/r2N1RQP/1R5K b - -,a7d4
5r1k/1bN2n1p/p7/2p2p2/8/P6P/B2b1PP1/2RR2K1 b - -,d2c1
5r1k/Rp2b1pp/b3p3/4P3/2pP4/2P2P2/2NB3P/6K1 b - -,f8c8
2r1r1k1/p4pp1/1q1b1np1/1p1p4/3p4/1QN1P3/PP1BN1RP/5R1K w - -,c3d5
r1bq1rk1/ppp1nppp/2np4/4p3/2P1P3/2P2NP1/PP3PBP/R1BQK2R w KQ -,e1g1
8/8/p2kr1p1/1p1p1p1p/7R/P1P2PP1/1P1K2P1/8 w - -,a3a4
q5k1/P4p1p/4b1p1/3p4/1PQ5/2p1PP1P/2B3P1/R6K b - -,d5c4
6k1/4b2p/p3p1b1/1p2pp2/8/P2r2N1/1P1B3P/4KBR1 b - -,d3d7
r2q1rk1/p2nppb1/2p2npp/Np3b2/3P4/5NP1/PP1QPPBP/R1BR2K1 b - -,d8b6
r2q1rk1/pp2bppp/2pp1nb1/8/4PB2/1PNP1N1P/1PP3P1/R3QR1K w - -,g2g4
3rr1k1/6pn/1q6/1pbp1p2/p4Pp1/P2PP1P1/1BNQ3P/1R2R1K1 w - f6,b2d4
r2qrbk1/2pb1pp1/p2p1nnp/1p1Pp2N/4P3/2P1B2P/PPB2PPN/R2QR1K1 w - -,a2a4:h5g3
2r5/5r1k/1p3pb1/p1b4p/P4N2/6R1/1P4BP/2R4K b - -,g6f5
2rq1rk1/3bbpp1/p2p1n1p/npp1p3/3PP3/1BP2NNP/PP3PP1/R1BQR1K1 b - -,d8c7
1r4k1/q2b1pb1/3p1npp/8/2P1PN2/n4P2/PB1Q2P1/1B1R1K2 w - -,b2f6
3r2k1/5ppp/4p3/p2n4/Pb1B4/3B1P2/5P1P/1R3K2 w - -,d3b5
8/1p4p1/2p3R1/2Pp1P1k/1r1P3P/6P1/8/6K1 w - -,g1g2
1r5b/1p2k1n1/p4NpB/2p1rp2/P1B3P1/2P4P/5P2/3R2K1 w - -,d1d7
8/5kp1/7p/4K2P/r2B2P1/8/8/8 b - -,a4c4:a4a5
5k2/1R6/4p3/6Pp/1p4r1/5K2/8/8 w - -,b7b5
r1bqk2r/p4ppp/2p1p3/3P4/1b6/2NQ4/PP3PPP/R1B2RK1 b kq -,b4d6
8/2p4p/3p1pk1/P2P4/6P1/1rBn2KP/8/2R5 w - -,c1a1
2b2r2/1p3pkp/3p1np1/p7/3q1P2/1PN3P1/P3P1BP/3R2K1 w - -,d1d4
r2q1rk1/p2n1ppp/5n2/2p5/3pb2N/6PB/PP1BPP1P/2RQ1RK1 w - -,b2b4
rnbqkbnr/pp2pppp/2pp4/8/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq -,g1f3
1rb1qrk1/p1pn1ppp/1p1b4/3Pp1B1/3N4/6P1/PPP1QPBP/3RR1K1 b - -,b8a8
r4rk1/1pq1bppp/p2pbn2/8/3BPR2/2N5/PPP1B1PP/R2Q2K1 w - -,d1e1
r1bq2k1/ppp1n1b1/3p1n1r/2PPp1pp/4PpP1/2NN1P1P/PP2BB2/R2Q1RK1 w - -,a1c1
r2qk2r/pp2bppp/2p1pn2/3n3b/3P4/1BP2N1P/PP3PP1/RNBQR1K1 b kq -,e8g8
7k/5p2/8/P5p1/3bN3/6P1/6KP/8 w - -,e4g5
6k1/pp2b1pp/5p2/1bN5/1P1PPP2/P3Q3/3K1P1q/8 b - -,e7c5
1r5k/r2q2p1/2p2p1p/2P1p3/PPQpP2P/3R2P1/5PK1/R7 w - -,a4a5
r2qk2r/pp2bppp/2n1pn2/1BPp4/3P2b1/2N1BN2/PP3PPP/R2QK2R b KQkq -,e8g8
r3q1k1/3bnppp/1p2p3/1P2N3/p2PP3/5PP1/3Q3P/R4BK1 w - -,d2b4
3rr3/p3kppn/1p1n4/2pP1PP1/2P1p3/2q1B3/P3B2Q/5RRK w - -,f5f6
8/4q1Nk/3B2pp/2P2p2/8/6P1/prn2PBP/5R1K w - -,d6e7
rn1q1rk1/pbp1bppp/1p2pn2/3P2B1/3PP3/P1N5/1PQ2PPP/R3KBNR b KQ -,e6d5
5rk1/1pR3p1/4p1p1/P2pP3/bP1P1N2/8/6PP/7K w - -,g2g3
2r2rk1/pp2ppbp/n3bnp1/q7/4P3/2N1BNP1/PP2QPBP/R2R2K1 b - -,a6c5
3q1r2/pb2ppkp/1p4p1/4P3/2rP4/8/P2QNPPP/3R1RK1 b - -,d8c8
r4rk1/pp3pb1/2p3p1/4n2p/4Pq2/5P2/PP2QPBP/1N1RR1K1 b - -,f8e8
2r3k1/p4p1p/1p1pb1p1/2q1p3/4P3/P1PP2P1/1Q3PBP/5RK1 w - -,f1c1
r1b1k2r/1p3p2/4p3/2npP1q1/1p1n2N1/3BR3/PP3PPN/2RQ2K1 b kq -,b7b6
n7/4k3/p2p1N2/B1pPpn2/2P2p2/P2K1P2/8/8 w - -,f6g4
2r1rbk1/p2b1ppp/1qp2n2/3p4/8/1NB2BP1/PPQ1PP1P/2R2RK1 b - -,f6e4
8/6p1/1r2pk2/2r5/Rpp1RPP1/4P3/1PK5/8 b - -,c5c7
1brr2k1/pp3ppp/2nqp3/2RnN3/1P1P4/P4BP1/1B3P1P/3Q1RK1 b - -,c6e7
4k3/1pb2p1p/5np1/3r4/3pp3/P2P2PP/2R1PPB1/6K1 w - -,c2c7
2r2r2/1R2kP1Q/p2pq3/4p3/P5n1/2P5/1P4PP/5R1K b - -,e7d8
8/1b2rp2/p4kp1/1p5p/1PpRP3/P1P3P1/5KBP/8 b - -,f6e5
1rbq1rk1/3nbppp/2n1p3/2ppP3/pp3PP1/3PBN2/PPPQN1BP/R4R1K b - -,c8b7
3q2k1/5rbp/3p2p1/2nbp3/2P1P3/Q3N1P1/5PB1/5RK1 w - -,c4d5
2r2k2/5p2/b1p4R/6p1/P7/2B4P/5PPK/8 w - -,h6h5
6k1/pp3qb1/2npr1bp/8/3p1NPQ/5P2/PP1B3P/R3N1K1 b - -,e6e7
1r3nk1/4bqp1/4p2p/pPNpP3/3P1PN1/P4K2/8/1Q5R w - -,c5a6
2r1r1k1/1p1nppb1/p1pp1np1/q2P3p/P3PP2/R1N1BB2/1PPQ2PP/1R4K1 w - h6,h2h3
8/2p3kp/1p1p2q1/p1r2p2/2P1p1pR/1P2P1P1/P4PK1/7Q w - -,h4h5
5k2/8/6p1/4PRP1/3p4/8/5K2/8 b - -,g6f5
8/8/4p3/1r2k1pp/3N4/3K2PP/8/8 b - -,b5d5
1rbr2k1/2q1pp1p/pp3np1/2pP4/4P3/2QP2P1/P2N1PBP/2R2RK1 b - -,c7a7
r2qkb1r/pp1npp1p/2p2p2/8/3P2b1/5N2/PPP1BPPP/R1BQK2R w KQkq -,c2c3
8/5k2/2b4p/5p2/8/3N2RP/4q2K/5R2 w - -,f1f2
1rbq1rk1/1p3pbp/p1n2nP1/3p4/3NP1P1/4BP2/PP1QBN2/2R1K2R b K -,f7g6
5k2/5p2/2K3p1/4P2p/5P1P/R5P1/8/3r4 w - -,c6c5
r3kb1r/ppqb1ppp/2n1pn2/6B1/2BP4/2NQ1N2/PP3PPP/R4RK1 b kq -,f8e7
5k2/1n1b2p1/p1rP1p2/1p5p/7P/1N3PB1/P1PR1KP1/8 b - -,a6a5
1r3rk1/p5bp/P1p3p1/5p2/2n2P2/P5P1/3N1K1P/1RB2R2 b - -,b8b1
3r2k1/5pbp/2p1b1p1/q3p3/3rP3/P1N1Q3/1PP1B1PP/3R1RK1 w - -,e2d3
r1bqr1k1/pp2b2p/2B2ppB/2n1p3/2NpP3/3P4/PP1NQPPP/R4RK1 b - -,b7c6
r1b4r/2p2pk1/pp1b1npp/2n1p3/2B1P2N/2N1BPP1/PPP4P/2KR3R w - -,a2a3
8/5p2/1r3pk1/1p1R4/7P/6P1/5PK1/8 b - -,b5b4
4kr2/pp2bp1p/4p2B/q7/3QP3/8/PP3PPP/3R2K1 b - -,f7f6
6rk/1b3p1p/1p1q1P2/p6Q/P2Bp3/8/1P4PP/R5K1 w - -,d4e3
r2r2k1/1p3ppp/2pq2b1/n1RP4/Pp2p3/6N1/4BPP1/2RQ2K1 b - -,c6d5
1r1qr1k1/1pp2pbp/p1bp1np1/8/3BPP2/2N3PP/PPPQ2B1/3RR1K1 b - f3,f6h5
r1b1k2r/pp2qppp/1npb1n2/4p1B1/2P4N/2N3P1/PP2PPBP/R2Q1RK1 b kq -,b6c4
2r1k2r/1p1nbppp/p1p1pn2/2Pp1b2/1P1P1B2/2N1PN1P/1P3PP1/R3KB1R w KQk -,f3d2
6k1/3R1p1p/B3pbp1/1pr5/2n2P2/6P1/P6P/3R2K1 b - -,c4e3
r3k2r/pp1qbp2/2n3pp/2p1p1N1/2PpP1nP/3P2N1/PP1B1PP1/R2QK2R w KQkq -,g5f3
3r1k2/1p5p/p1q3pP/2P1PpP1/5K2/1Q1p4/P7/3RR3 b - -,c6g2
6k1/7p/3r4/pB1P1p2/4p3/6P1/PP3P1P/3R2K1 w - f6,d1d4
r1bqk2r/p2p1pp1/1pn1pn1p/2pP4/1bP4B/1QN2N2/PP2PPPP/R3KB1R b KQkq -,c6a5
r2r1nk1/ppn1q2p/2p1bpp1/2b1p3/P1N1P3/1P3NPP/1BP1QP2/R2R1BK1 b - -,c7e8
2r4r/3qnk2/p2p2p1/1p1PppB1/n3P3/6P1/PP2BP2/1R1QR1K1 w - -,e4f5
8/3b1kb1/pq1p1n1p/2pP1p2/2P1p3/1PN3PP/3BBP1K/1Q6 b - -,h6h5
r4nk1/pp3rpp/8/b2pP3/5P2/4B2P/PP3PK1/RN3R2 w - -,f1d1
r2q1rk1/pp1n1ppp/3bpn2/8/3Pp3/2NQ1BP1/PP3P1P/R1B2RK1 w - -,c3e4
r2q4/2R2pk1/p4b1p/6p1/1PQ2p2/7P/P4PP1/4N1K1 b - -,d8e8
rn3rk1/pb4pp/1p2n3/2b1pp1q/2P5/PP1B1PP1/1BQNN1KP/R4R2 b - -,b8d7
bqr5/3n2bk/6pp/1ppnpp2/4N3/2PP2N1/BP3PPP/2BQ1RK1 w - -,e4d2
r1r5/1p1q1p1k/p3bbp1/Q2p3p/3P3P/4B1P1/PP3PBK/R1R5 w - -,a5b6
rnb1k2r/pp2b1pp/3p4/2pP1p1n/2P5/4BP1N/PP1K2PP/RN3B1R b kq -,e8g8
6k1/8/p3bP1p/1p1p4/1PnB1K1P/8/4B3/8 b - -,g8f7
8/4k3/5Rp1/6P1/r4P2/5K2/8/8 w - -,f6g6
3R1rk1/p4rpp/4b3/1Pp1p2q/2P1p2P/P3P3/1B1Q1PP1/5RK1 w - -,d8f8
r4rk1/p1nqbp1p/1pn1b1p1/2p1p3/4N3/PP1P1NP1/1B2PPBP/2RQ1RK1 w - -,d1c2
8/6K1/7p/2p3p1/1p1k2P1/2p3P1/P4R2/8 w - c6,g7h6
r4b1r/pk1pp2P/2n2n2/1NP2QNq/5P2/4B3/PPP1B2P/R3K2b b Q -,h1e4
r1bq1rk1/pp2ppbp/2n2np1/3pP3/3P4/5N1P/PPB2PP1/RNBQ1RK1 b - -,f6e4
r4rk1/npqn1ppp/p1p1p3/P2pPbb1/3P4/1N3N1P/1PP1BPP1/R2QR1K1 w - -,f3g5
5k2/1R5N/2r3p1/4P3/1p3P2/3n2P1/6KP/8 b - -,f8e8
3r2k1/1pprqpp1/pbn4p/4p2b/P3P3/2PP1N1P/4BPP1/1RBR1QK1 w - -,c1b2
2r1rnk1/1pq1bNpp/p3pn2/4N3/b1PP4/3B1Q2/PB3PPP/1R3RK1 w - -,f7h6
6Q1/8/5q1K/8/1k6/7P/8/8 w - -,h6h5
r1b1kb1r/pp2pp1p/1np2p2/3q4/3P4/2P1BN2/PP3PPP/R2QKB1R w KQkq -,b2b3
r2q1rk1/pppn1ppp/3pb3/4b3/2P1PN2/1PN2Q1P/P1PB2P1/R4R1K b - -,d7c5
r4rk1/1Q3p2/4pb2/4q2p/p5p1/6N1/PP3PPP/3RR1K1 b - -,e5b2
5rk1/2rbq1p1/p3p2p/1p1pP3/3N1p1P/P1PQ2P1/1P2Bn1K/2R3R1 w - -,d3g6
r2qkbnr/ppp2ppp/2np4/4p3/5Pb1/4PN2/PPPPB1PP/RNBQK2R w KQkq e6,f4e5
8/1p2N3/p3k3/P1P3pp/1P2p3/4K1PP/8/8 b - -,e6e7
2r3k1/5pp1/4q1p1/1pp5/2n1PP2/2PQ3P/6P1/2BR2K1 b - -,c8a8
8/5pk1/4pbp1/q6p/8/P1P4P/5PP1/4QBK1 b - -,f6c3
r2qkb1r/pp1n1ppp/2p1pn2/3p4/2PP3N/2N1P3/PP2QPPP/R1B1K2R w KQkq -,h4f3
2R5/2p1rpk1/1p1p4/1P2q2p/2P1P1p1/Q4P2/5PK1/8 w - -,a3e3
8/6p1/R7/5k2/PP6/1b6/5KPP/8 b - -,f5e5
8/8/7p/2kpK3/b2N4/2P5/7P/8 w - -,h2h4
2nrk3/1p2b3/r1qpnp2/pN1Rp1p1/2P1P1Pp/1P2BP1P/P1B2Q1K/3R4 b - -,e8f7
rn1qk2r/1b2bppp/pp1ppn2/2p5/2PP4/1PNBPN2/P4PPP/R1BQ1RK1 w kq -,c1b2
5rk1/1p1b2pp/p3p3/2Pp1p2/5P2/4P3/nP4PP/3Q3K w - -,d1b3
8/1R3p1p/4k3/P4p2/5P2/6P1/1P1r3P/6K1 b - -,e6d6
6k1/5ppp/p2r1q2/1p2p3/8/2PbBP2/PP4PP/2Q1R1K1 b - -,f6d8
r1bq1rk1/p2nbppp/1p2p3/2ppP1B1/8/2PBP3/PP1N1PPP/R2Q1RK1 w - -,g5e7
r1b1k2r/2qnbppp/pN1pp3/6P1/1p2PP2/1P2B3/1PP2Q1P/2KR1B1R b kq -,d7b6
4k2r/2r2p2/pp2p2p/3pPnp1/2nP4/P1PN1RB1/1P2K1PP/4R3 b k -,h6h5
rn2k2r/pb2p1bp/2p3p1/1p6/3P4/1B6/PPPBN1PP/R4RK1 b kq -,b8d7
r4rk1/pb4p1/2p1p2p/1pN1N1b1/3P2P1/8/PP3P1P/2KRR3 w - -,c1b1
4Q3/2q3pk/3p1p1p/p3p3/Pp2P3/1P3RP1/1b3PK1/8 w - -,e8e6
8/5k2/p3p2p/8/1P1r2P1/P2b1BK1/R5P1/8 w - -,g3f2
r2qkb1r/1b1n1ppp/p1p1pn2/1p6/P7/2N2NP1/1PQPPPBP/R1B2RK1 b kq a3,f8e7:a8c8
1r4k1/5p2/3p4/2pP4/2P5/1p4K1/5RP1/8 w - -,f2b2
r1r3k1/1pBnppbp/1pn3p1/1N1p1b2/3P4/P3PN2/1P2BPPP/2R2RK1 w - -,f1d1
6k1/pR3p1p/4b1p1/4p3/1P5P/P5P1/3r1PBK/8 w - -,b7a7
r1bq1rk1/p4pp1/2pb1n1p/3p4/3N3B/3B4/PPP2PPP/R2Q1RK1 b - -,c6c5
r1b3rk/1pRn4/p3p3/3p1p1p/1P1PnPpq/NQ1NP3/P3B1PP/2R3K1 w - -,e2f1
r1b3k1/6pp/p3pr2/qpb5/4Q3/3B4/PPP2PPP/1K1R3R b - -,c8b7
r1bqkbnr/pppn1ppp/3p4/4p3/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq -,g8f6:c7c6:g7g6
r6r/pkqb3p/1p4p1/2p3Q1/4P3/2P2P2/P5PP/R1BR2K1 w - -,c1f4
r4r2/2p1ppkp/p5p1/1p1B4/8/1qN5/1P3PPP/R1B2RK1 b - -,b3b4
r3brk1/pp4p1/1qnbp2p/3p4/3P3N/P2B2P1/1PQ1NPP1/R4RK1 w - -,c2d2
2kr1b1r/pp1qpp2/1np2p2/7p/3P2b1/1QP2NP1/PP3PBP/R1B2RK1 w - -,a2a4
rnbq1rk1/pp2ppbp/2p3p1/3p4/3Pn3/2P2NP1/PP1NPPBP/R1BQR1K1 b - -,f7f5:c8f5
r3k2r/ppqn2p1/3bpn1p/2p1N3/2PP3P/2B3N1/PP2Q1P1/R3K2R w KQkq -,e1c1
r4rk1/pbq3bp/5Np1/2p5/3p1P2/BP3NP1/P1PQ3P/R3R1K1 b - -,f8f6
8/8/8/8/1P1B4/2Q3p1/2kr4/5K2 b - -,c2d1
rnbqkbnr/pp1ppppp/8/8/4P3/B7/2PP1PPP/RN1QKBNR b KQkq -,a7a6:d7d6
r1bqnrk1/ppp1npbp/3p2p1/3Pp3/2P1P3/2N5/PP2BPPP/R1BQNR1K b - -,f7f5
r2q1rk1/p1p1n1bp/1p1p1np1/2PPp3/1P2Pp2/2N2P2/P2QBBPP/R4RK1 b - -,g6g5
8/p4k1p/1p5Q/r6P/P1q5/6P1/3R1P1K/8 w - -,h6h7
8/5bk1/4rn1p/3p4/7K/3B4/1Q6/8 w - -,b2d4
1rr1b1k1/n1p1q1pp/1p1pppn1/pPP5/P2P4/B3PNPB/2Q2P1P/R4RK1 b - -,e8f7
r1b1k2r/2b2pp1/2p2n1p/ppn1p3/1P2P3/P1N2N1P/B1PB1PP1/2KRR3 b - b3,a5b4
r2q1rk1/pb1p1pp1/np2pn1p/2b5/2P4B/2NBPN2/PPQ2PPP/R3K2R w KQ -,a2a3
8/5pk1/R2p3p/P2P4/3b3N/7K/5rB1/5n2 b - -,f1e3
6rk/p2rbp1p/4pP1q/2p4N/1nR1B2P/5Q2/P4P2/2R3K1 w - -,g1h1
5Q2/r7/8/8/8/4K3/8/6k1 w - -,e3f3
8/1p4p1/3p3p/p2Pk3/4B3/3PK1Pb/PP5P/8 b - -,g7g5
2rqnk2/pp4p1/3bR3/5P1p/7P/3Q4/PPP5/1K1R4 b - -,d6e7
r1rq2k1/pp1nppbp/2bp2p1/8/2P1P3/1PN1B1PP/P2Q1PB1/2R1R1K1 w - -,c3d5
r1b3k1/pp5p/2n1Pr2/3pq3/8/2NQ4/P3P1BP/1R3R1K b - -,f6h6
r1bq1rk1/pp2ppbp/3p1np1/1Pp5/4PP2/2NP1N2/1PP3PP/R1BQ1RK1 w - -,d1e1
5rk1/nQ3p1p/p4RpP/4p1P1/4P3/1P6/P1q3B1/3r1R1K w - -,b7a7
2rq1rk1/1p1nppbp/p1np2p1/2p5/4P3/2PPBN1P/PP2QPP1/R3RBK1 b - -,b7b5
r1bq1rk1/1p2bppp/n4n2/p1Pp4/P7/1N1B1N2/1PP2PPP/R1BQK2R w KQ -,c1e3
8/3q1pk1/2p2pn1/P3pQ2/2RrP2P/2R3P1/5PK1/8 b - -,d7a7
6r1/8/5KN1/4P3/1kb2N2/8/3p4/7R b - -,b4c3
r4rk1/p6p/3R2p1/5p2/2b1n3/4P2P/PP4P1/R1B3K1 w - -,d6d4
r2q1r2/n4pkp/1p2p1p1/pPpn4/P2p4/1P1P1NP1/4PPBP/1RQ2RK1 w - -,b1b2
5rk1/p4ppp/1p2p3/1qbn2Q1/2N5/1P3PP1/P1r1P1KP/R1B1R3 w - -,g5e5
rn1q1rk1/p3bppp/b3pn2/4N3/PppP4/5B2/1P3PPP/RNBQR1K1 b - -,f6d5
8/4kpp1/8/p1p1PP2/2BpK2p/1P5P/P7/4b3 b - -,e1g3
rnbqkb1r/pppp2p1/5n2/4p1p1/2P1p3/2NP4/PP3P1P/R1BQKBNR w KQkq -,c1g5
r4r1k/ppqb2p1/2nbp2p/3p3B/3P4/6B1/PPQ1NPPP/R4RK1 w - -,a2a3:a1c1:a1d1
rr6/1p1nk1p1/1bp1bp1p/4pN2/pP6/P3P1P1/1BBR1PP1/2KR4 b - -,e6f5
r7/5pk1/6p1/1N5p/1P5P/P3P1PK/8/8 w - -,h3g2
r1b1k2r/1pp2pp1/2n1q2p/4p3/1bNp4/3P1NP1/4PPBP/2RQ1RK1 w kq -,c1b1
2rq2k1/1b1nbpp1/pp1p3p/3PpP2/4P3/1P2BB2/P2QN1PP/5RK1 w - -,f1c1
5K2/5p2/7p/1k2n1p1/8/6P1/5P1P/8 w - g6,f2f4
r4rk1/ppq1bppp/2bppn2/6B1/4P3/2NQ1N2/PPP2PPP/1K1RR3 b - -,a8c8
r1bq1rk1/pp1n1pb1/8/2p4p/2P1Ppp1/2N4P/PPQR1PPN/3R1BK1 b - -,g7d4
r4rk1/p4pp1/1pb1p2p/6q1/1P6/1QP1P1P1/4BP1P/R4RK1 b - -,a7a5
r2qnbk1/pp1b2pp/2p1p3/3pP3/2PP4/6P1/PPQN2BP/R1B3K1 b - -,e8c7
r1b2rk1/p3p1bp/n3Ppp1/2N5/2pP1B2/5P1P/PPP2P2/R4RK1 w - -,f1e1
rq3rk1/1p2bppp/2b1pn2/2Pp4/1P6/2N1PN2/PB3PPP/R2Q1RK1 w - -,d1c2
1rq1r1k1/pp2ppbp/2bp1np1/8/2PQ4/1PN1P1PP/PB3PB1/2R1K2R w K -,c3d5
r1rq1b1k/p4pp1/2n1p2p/1p1pP3/3P2QP/P4R2/1P1B1PPN/4R1K1 b - -,d8e8
2kr4/1b1r1ppp/pq2p3/2b3P1/1p1N1P1P/3Q4/PPPRN3/1K1R4 b - -,c5d4
r3k2r/pp2bpp1/1np1p2p/4P3/1n5P/2N1BN2/PP2KPP1/2RR4 w kq -,c3e4
r1bqnrk1/pp1n2bp/3p2p1/2pPpp2/2P1PP2/2N3P1/PP2N1BP/R1BQ1RK1 w - -,c1e3
r2r2k1/ppq1bp1p/2p1pnp1/4R3/2PP4/1P1B3Q/PB3PPP/R5K1 w - -,a1e1
2R5/p2r2kp/1p1b2p1/1P1B4/4PP2/8/4K2P/8 w - -,c8g8
2r1b1k1/n1q2pbp/1p2p2p/p3P3/P2P4/1RN5/2pN1PPP/2Q2RK1 b - -,c7d8
8/8/p6P/4p3/1p1kP3/1P1r1p2/P3R3/7K w - -,e2c2
6k1/8/pRp5/P1Pp2Kp/3P3P/2r2P2/8/8 b - -,c3f3
2b2r2/4pp1k/p2p2pp/3P4/Pr4P1/3P1P2/1P1N3P/R3KR2 b Q -,b4b2
8/2n5/2R5/k2pPp2/1p1P1P2/4K3/8/8 b - -,c7b5
6k1/5p1p/p7/1pb3P1/2p2B1P/P1Pr4/1P4PK/4R3 b - -,f7f6
r2q1r2/pb2ppk1/6p1/1p1P4/P1nQ4/5NP1/5PBP/R4RK1 b - -,f7f6
4R3/pp4kp/6b1/2BP4/6R1/2b1P3/r4KBP/8 w - -,f2g3
