8/8/1b2k3/5pp1/2q5/5QPP/5P2/5K2 w - -,f1g1
2kr3r/pbp2p1p/1p1p1np1/3p4/2P5/PN2PBP1/1P3PP1/2KR3R w - -,c4d5
r1b2rk1/pp1n3p/2p1p3/2Pp1pq1/1P1P4/2N5/P1Q1PPBP/1R3RK1 w - -,b4b5
2rb1n1k/ppr3pp/bq2pp2/3pP3/PPnP1P2/4BNN1/5QPP/RR1B2K1 b - -,c4e3
8/3k4/5n2/8/6r1/5N2/6P1/1R4K1 b - -,d7e6
8/p3knQ1/4r3/1bP4P/P7/8/4p3/4K3 b - a3,b5a4
8/p7/3k1b2/1Kp1p1p1/4Bp2/1P4P1/P4P1P/8 b - -,f6d8
k2r3r/ppq2pp1/2pbpn1p/7P/2PP4/2B2NP1/PP2QP2/1K1R3R b - -,h8e8
r1b2rk1/ppq1nppp/2n5/2p1N3/2BP4/P1P1P3/4QPPP/R1B2RK1 b - -,c6e5
4r2r/3n1pkp/1q2p1pn/3pP1N1/6PN/P1p3Q1/P4P1P/R4R1K b - -,e8c8
2k4r/1p3p2/p1nq1p2/3p1bp1/3P4/P1N5/1PPQ1PP1/2KR1B2 b - -,h8h4
2bq1r2/5rk1/pp1p2pb/3Pp1np/PN2P3/R2R1BP1/1P2QPKN/8 w - -,b4c2
r1b2rk1/1pqp1ppp/p1n1pn2/2b5/N1P5/4PNP1/PP1B1PBP/R2Q1RK1 b - -,c5e7
r1bq1rk1/1pp2ppp/4pn2/pB2b3/1PN1P3/2P5/P1Q2PPP/R1B1K2R b KQ -,c7c6
3r1k1r/ppqb1p2/2pbp3/P6N/1P1P3p/2P2Q2/2B2PP1/R3R2K w - -,f3f6
4b3/r3P1k1/2r5/pp1N3p/5R1P/P7/1PP5/1K4R1 b - -,c6g6
4b1k1/1r1nrp1p/4p1p1/p1N5/8/2P2B2/PP3PPP/4R1K1 w - -,c5b7
r1bqk2r/pp2pp1p/2nn2pB/3p4/8/1NP2P2/P1P1Q1PP/2KR1B1R b kq -,c8e6
r4rk1/1p1b4/p1n1p2p/3p4/3P4/3KNN1P/PP4P1/4RB2 b - -,c6b4
r3k3/p1p1qrbQ/1pPp2BB/3Pp3/PP1n4/8/5PPP/5RK1 b - -,g7h6
r3rn1k/1p4pp/p1pRbb2/4p3/6P1/1PN1BN1P/1PP2P2/3R3K w - -,e3b6
8/pp3pk1/6n1/P2pqBR1/7P/6P1/3RKP2/8 w - -,e2f3
r2q1rk1/pp1b1pbp/2n1p1p1/1B1pPn2/3P1B2/2N2N2/PP1Q1PPP/R4RK1 w - -,f4g5
3r4/1Q5p/5p1b/P2p1n2/3Pp3/k3P3/6PP/5NK1 w - -,a5a6
8/3n1pb1/p2kb1pp/1p2p3/1P2P3/P1N1BPPP/8/4KB2 b - b3,d6c6
1r3rk1/5pbp/p5p1/1p1N4/8/1R4P1/P1P3KP/1R6 w - -,c2c4
8/5pk1/1pp5/4Q3/1P2P1p1/2Pq2P1/P4P2/6K1 b - -,g7f8
r2qr1k1/3n1pbp/b2B2p1/pB3n2/P2P4/2N2P2/3QN1PP/R4RK1 w - -,d6f4
1Q6/5k2/2Np2p1/2b1p3/4P3/1R3P2/1K4q1/8 w - -,b2b1
7k/p1qb2p1/1p3b1p/2pB1p2/2Pp4/3P1N1P/PP3PP1/4Q1K1 b - -,c7d6
r3r1k1/pb1p1ppp/1p2p3/8/2P1n3/B3PN2/PP2KPPP/R2R4 b - -,d7d5
5k2/p1pn1p2/Bp4p1/4P1p1/6K1/P1P5/1P4PP/8 b - -,d7e5
8/1p1k2pp/p1n1p3/2P5/P5P1/3KB2P/5P2/8 w - -,d3e4
3b4/R3nrk1/3p3p/1p1Pp1pP/1P2P1N1/P2q1PN1/5QK1/8 b - -,d3c3
r1r3k1/1p1nppbp/p2pb1p1/q2N4/2P1P3/1P2BP2/P2QB1PP/2R1K2R b K -,a5d2
r6k/1p4p1/p1n1p1B1/3pP3/3P3q/P3P3/1P3bK1/R1B2Q2 b - -,h4g3
3q1rk1/6pp/3p4/2bP1r2/pp2p3/5P2/PP2QNPP/2RR3K w - -,f2e4
3brk2/pB2np1p/1p6/8/1P5P/P2Q2P1/4PP2/6K1 b - -,f8g8
3q1r2/1b3kpp/pp1p1b2/8/P2BP1Q1/1PN5/1P4PP/5RK1 w - -,b3b4
r2q1rk1/1b1nbppp/p2p1n2/1p2p3/3PP3/5N2/PPBN1PPP/R1BQR1K1 w - -,d4d5
rnbqkb1r/pp2npp1/4p3/2PpP2p/8/3B2Q1/PPP2PPP/RNB1K1NR b KQkq -,b8a6
8/1p3kp1/7p/2BP1p2/2P2P2/3P2P1/4K2P/n7 w - -,c5b6:e2d1
6k1/4b3/p2p2b1/3Pp1p1/4P1q1/4Q1P1/P2B4/4R1K1 b - -,e7d8
Q2b1rk1/p4ppp/2n2nb1/q2N4/2B5/P3P1BP/1P3Pp1/3R1RK1 w - -,f1e1
rn1qkb1r/pp3ppp/4pnb1/3p4/3P2PP/2N2N2/PPP1QP2/R1B1KB1R w KQkq -,h4h5
r4rk1/pp1nbppp/2p1p3/1PPp1b1n/3P1B2/2N1PN2/1P3PPP/R3KB1R w KQ -,b5c6
2r5/2Pq1kp1/Q3pp2/p2n3p/Pp1P3P/1P4B1/5PPK/2R5 b - -,d5e7
r3r1k1/2Bb1p1p/8/3PN1P1/P3p3/2P3Q1/4q2P/R5K1 b - -,d7f5
r1b2rk1/pp2n1bp/1q1p1np1/3Ppp2/1NP1P3/2N2P2/P2BB1PP/R2Q1RK1 w - -,g1h1
1rb1kb1r/R2pqppp/8/1PpP4/1n6/2N1P1P1/1P2Q1BP/4K1NR b Kk -,c5c4
6k1/5p1p/b2ppqp1/8/4P3/4Q1PP/Prr2PB1/R3R1K1 w - -,g2f3
r4rk1/1pq2bbp/1np1p3/p3Npp1/3P4/4P3/PPQBBPPP/R2R2K1 w - -,f2f4
r1b3k1/p4r2/1p2p1p1/4p3/4p2N/P1P1n1K1/1B2B1PP/4R3 b - -,e3f5
r1b3r1/2p1k3/2p2p2/p1N1p3/K1P1P3/PP1R2pP/3R4/8 w - -,d2g2
r3r1k1/pp1nqpb1/2p4p/5Q2/1P1P3P/5N2/P2N2P1/2R2RK1 b - -,e7e6
1r6/8/8/6p1/1P4Pp/1K1R3P/7k/8 w - -,d3e3
3rr1k1/pp1n1pp1/2p3qp/2b5/1PN5/P4QN1/2P2PP1/3RR1K1 b - -,g6c2
5rk1/4pp1p/r3n1p1/3p4/1P6/R1P1PN2/5PPP/6K1 w - -,a3a6
r1bqk2r/1p1nbppp/p1p1pn2/3pN3/2PP1B2/2NBP3/PP3PPP/R2QK2R b KQkq -,e8g8
2rr4/1p2ppk1/p5pp/2n5/P3n3/R3PN1P/NP3PP1/2R3K1 b - -,c5e6
3n1rk1/pbp3pp/1p1b4/3p3q/1P1P2nP/P2B1NP1/1BQN1P2/4R1K1 w - -,e1e2
6r1/4N2R/4k1p1/4p3/3bP3/3K4/7P/8 b - -,g8a8
1r1qr1k1/p4ppp/2p1bn2/3p4/5b2/1P1B1Q1P/P1P1NPP1/R3R1K1 w - -,e2f4
rn1qkb1r/1p2pppp/p1p1bn2/3pN3/2PP4/2N1P3/PPQ2PPP/R1B1KB1R b KQkq d3,b8d7:g7g6
2r2r1k/1p3q1p/p1b2n2/6p1/PP1p4/3B2QP/4NPP1/2RR2K1 b - -,c6a4
1nr1r2k/p4pp1/1p1B3p/2Pp2q1/Q7/P3P3/1P3PPP/2RR2K1 b - -,e8e4
6k1/1N4p1/p1n3r1/2P5/3p1RP1/8/PP1K4/8 b - -,g6h6
3q4/4rpkb/1r1p3p/pPpPp1pP/1n2P1P1/RP2QPB1/6K1/R2B4 w - -,a3a5
6R1/7r/5p2/2P2k2/4p3/4K3/6p1/8 w - -,g8g2
r1b1kb1r/pp2pppp/2p5/8/2Pq2P1/2NPP3/PP1KB2P/R2Q3R b kq -,d4b6
7k/1Rb3r1/2p1prq1/2Pp3p/3PpP2/6PP/5Q2/2B2R1K w - -,b7b3
2r3k1/5pnp/pq2p1p1/3pP1P1/5PBP/2r4Q/PP2Nb2/1K1R4 w - -,e2c3
r3r1k1/3q1pbp/ppb1p1p1/3pP3/P2P2P1/2PB3P/1P3Q1B/R3R1K1 w - -,f2c2
5N1k/3P4/pq4p1/1p3pbp/8/6P1/PPP3BP/1K1R4 w - -,f8g6
7k/1p3p1p/p4Nb1/8/3r4/5K1P/PP3P2/4R3 b - -,d4d2
8/6kp/1R1N2p1/8/5P2/3b2P1/rP5P/6K1 b - f3,a2a1
3r4/1p3Qpk/7p/pP2Np2/P2b4/7P/5PPK/2r5 w - -,f7g6
r3r1k1/pp1n1pbp/1qppp1p1/3n4/3P1P2/2P1BNP1/PPQ2PBP/R3R1K1 w - -,e3d2
r5k1/1p1n1qp1/3R2Q1/p3pr1p/4N3/P3BP2/1P3P1P/5RK1 b - -,f5f3
2r1r1k1/q4pp1/1pR1p1bp/4P1b1/3P4/pP1N2PP/P3QPB1/3R2K1 b - -,a7a6
8/4kp2/p1p1P3/1pb2p1p/P4P2/1B5b/1PP3rP/2KNR3 b - -,f7f6
8/1pp3k1/3p1rpp/p1nBr3/2PR4/1P2P1R1/P4P1P/6K1 b - -,e5e8
3rr1k1/p5qp/1p2p3/8/P7/2P1QBP1/5P1P/5RK1 b - -,d8c8
4qk2/2p2pb1/1pNp2p1/p2P3p/2P4P/1P2Q1P1/P4KP1/8 b - -,e8e3
4rr2/1pp3p1/p3kp1p/3Rp2P/8/2P3K1/PP4N1/3R4 w - -,g2h4
6k1/3RPp2/2p3p1/1r2q2p/p7/6PP/2Q4K/8 w - -,d7d8
3r1nkb/3r3p/1p2p1pP/p1p1PqP1/P1P2P2/1PBp1QN1/3R2K1/3R4 b - -,f5f7
r3r1k1/pp3ppp/2nq1n2/3p1b2/8/2P1BN2/PP2BPPP/R2QR1K1 w - -,f3d4
br3Bk1/2b2p1p/4p1p1/2R5/2Pq4/5P2/2B5/4QR1K b - -,c7b6
3r2k1/rp3p1p/2p1n1p1/2q5/4B3/3PP1PP/1BQ2P2/1R4K1 w - -,c2b3
1qr2rk1/1b2bppp/pBnppn2/8/1p2PP2/PNN2B2/1PP2QPP/4RRK1 w - -,a3b4
8/p2kp3/8/1p3pP1/4b3/4R2Q/5PPK/q7 b - -,a1e5
bn2r1k1/r4pb1/p1nRpBp1/1pp1P2p/4B3/2P1NN2/PP3PPP/3R2K1 w - -,g1f1
rn3k1r/p4ppp/1p2p1n1/2ppP3/q2P4/P1PPQN2/3B1PPP/R3K2R b K -,c5c4
8/3n1pk1/p7/5KP1/3bP2P/8/P7/8 w - -,h4h5
r3r1k1/1qpn1ppp/p4n2/Bp2b3/PP1N4/2N3P1/2Q1PP1P/R2R2K1 w - -,a4b5
r4rk1/5ppp/1b1pbn2/1B2pN2/4P3/5P2/1P1B2PP/R4R1K w - -,f5e7
1R6/6k1/3p2p1/1pn4p/7K/4r1P1/P1R4P/8 b - -,g7h6
2n5/p1p5/P7/1Pp1k3/2P1p1p1/4K3/5P2/1N6 b - -,c8d6
r2q1rk1/1ppb1pb1/n2p1npp/p2Pp3/2P1P2B/2N5/PP1NBPPP/R2Q1RK1 b - -,d8e8
1r1q1rk1/p2b1pbp/3p1npB/4p2P/2p1P1P1/2N2P2/PPPQN3/R3K2R b KQ -,b8b2
r4rk1/ppp2qpp/3bb3/4n3/4Q3/4NB1P/PPP2PP1/R1B1K2R w KQ -,c1d2
8/5pp1/4p3/6kp/1KN1P3/5Pb1/6P1/8 w - -,b4c3
2r1n3/p4q1k/1r1pn1pp/2p2p2/2P1pPP1/2B1P2Q/PP1R3P/3RN2K b - -,f5g4
6R1/3k2p1/Pb2n2p/8/2P5/1P6/2K1p2P/8 w - -,c2d2
5r2/1pp3k1/3p2pp/2nR4/p1r1P2P/PnP2P2/2B3K1/1R2B3 b - -,c5e6
r2r2k1/pp2bppb/q3p2p/4P3/2P2P2/1N1n1B2/P5PP/R3QRBK w - -,e1a5
8/5K2/2k4p/4P1p1/3n4/3N3P/8/8 b - -,c6d5
7R/n1k5/P7/2K5/8/8/8/8 w - -,h8a8
8/pn2rk2/6p1/2p1pp1p/8/2P1NPP1/P3P2P/3RK3 w - -,e3c4
8/4r1k1/3q1ppp/1p1p4/2bP4/R1P1QPP1/1R2P2P/5BK1 w - -,a3a7
2n1k3/p1q2ppb/2p1p2p/Np2P3/1P2PP2/PQ2K1P1/6BP/8 w - -,b3c3
r1bqr1k1/p1ppbpp1/1pB2n1p/4p3/3PP2B/2P2N2/P4PPP/RN1QR1K1 b - -,d7c6
8/8/b2p2p1/p1p1k1p1/2P2p2/PPK2PPP/6B1/8 w - -,g3g4
8/pp5k/3p1r1p/2pB1p1Q/2P2r1n/3P2N1/PP3b1P/7K b - -,f6g6
1r1q1rk1/4n1bp/1p2bpp1/p1p1n3/Q1N2B2/P1NP2P1/1P2P1BP/R4RK1 w - -,f4e5
5b2/8/2r1pk1p/R1P2p2/1p3P2/1N5P/6PK/8 w - -,a5b5
8/p5pk/6pp/2q1pQ2/P3P3/1b5P/6P1/6NK w - -,f5d7
r2r2k1/pp2qpp1/2p1bn1p/P1b1p3/4P3/2NB3P/1PP1QPP1/R1B2R1K b - -,d8d7
1rr3k1/1ppqnbpp/p4pn1/4p3/PP6/3P1NP1/2Q1PPBP/BRR3K1 w - -,d3d4
3r3k/p4ppp/1p2rb2/5Q2/1n1p4/1P4P1/P2B1P1P/3R2K1 b - -,b4a2
r2qr1k1/1p1bppbp/3p1np1/p1n3B1/2P1P3/2N2N2/PPQ1BPPP/1R3RK1 w - -,b2b3
8/5pk1/8/1P1Qpqpp/Pr6/6P1/5P1P/5RK1 w - -,f1e1
1R3rk1/5pbp/3Qb1p1/3pn1q1/P3p1P1/1P2P2P/5PB1/2R3K1 b - -,h7h5
4rnk1/pb1r1qpp/1p6/2p2p2/2P2N1P/2Q1PPP1/P2R1KB1/3R4 b - -,e8d8
8/2p4p/3r1p2/1knb1P2/1p4P1/P3K3/1BN4P/3R4 b - -,b4b3
5r1k/2q3pp/3p2n1/p7/2PR4/1r2N3/3Q1PPP/5RK1 b - -,a5a4
r2q1rk1/1p1b1pb1/p1n1p2p/3pP1p1/3P2P1/2NBPN2/PP5P/R2QR1K1 w - -,a1c1
2r5/3nppkp/2p3p1/r3P2P/4Q3/2P3B1/5PP1/6K1 b - -,d7f8
4rrk1/ppp3pp/1b1p1q2/3P1p1b/N3p3/1P1PP1P1/P2Q1PBP/4RR1K w - -,e1c1
2rq1rk1/1p3ppp/p1npb3/3Np1b1/2P5/N3P1P1/PP3PBP/2RQ1RK1 w - -,d1e2
2rqnrk1/4b1pp/p2p4/1p1PppP1/5P1P/1N1QB3/PPP5/2KR3R b - -,g7g6
2r3k1/5pb1/6p1/8/3qP1P1/3N4/2PQ3p/3K3R b - -,d4g1
r2r4/2b2k2/p3ppp1/1p1b3p/1P1P1P2/2P1N1P1/3B1K1P/RR6 b - -,d5e4
r3r1k1/1pp2qbp/3pbpp1/3Nn3/p1P1P3/1P2BP2/P2QB1PP/2R1R1K1 w - -,b3b4
1q4k1/2br1p1p/Q5p1/8/2B5/1P2P3/P3KPPP/2R5 w - -,c1d1
5nk1/2pb1ppp/pq1p3P/1r1P2P1/1pR2P2/1N2Q3/PPP3B1/1K6 w - -,c4d4
3rk2r/ppqnbpp1/2p1pnp1/3p4/2PP4/1PN1P2P/PB2BPP1/R2Q1RK1 b k -,g6g5
rn2kbnr/1bqp1ppp/pp2p3/8/2PNP3/2N1B3/PP2BPPP/R2QK2R b KQkq -,f8e7
r4rk1/pp5p/6p1/3p4/4n3/4B3/PP3PPP/2RR2K1 b - -,a8d8
4N2k/p7/2P5/6p1/3P4/2K3Pr/P7/8 b - -,h3g3
r3kb1r/pp1B1ppp/1n6/4p3/1n2P3/2N1B3/PPN2PPP/R3K2R b KQkq -,b6d7
8/8/1k6/1P1p4/2K5/8/8/8 w - -,c4b4
2r2rk1/pp2ppbp/2n2np1/q2p1b2/3P4/1PP2NP1/PB1N1PBP/R2QR1K1 b - -,f6e4
3r1rk1/1pp1qpp1/p2pbnnp/4p3/2N1P3/1BPPPN1P/PPQ2RP1/5RK1 b - -,c7c6
8/8/2p3p1/p1Pk4/1p1b1P2/6P1/2K5/2B5 w - a6,c2b3
5Q2/6pk/2p5/1pNbq3/1P3R2/5P1P/6PK/3r4 w - -,c5d7
rn2k1r1/pb1p1p2/5p1b/1PqPp2p/Q1N1P3/3B2P1/5P1P/1RN2RK1 b q -,h5h4
2rqkb1r/1p1n4/1n1p2pp/p2Ppp2/P1P5/1P1BBP2/3N2PP/R2Q1RK1 w k f6,d1e2
4rr2/1p3ppk/pq5p/2npP1b1/3N4/1P2P3/PB2Q1PP/R4RK1 w - -,d4f3
2kr3r/p1p1bppp/2Qpb3/4P3/2P5/P1B3P1/1P2PP1q/2KRN3 b - -,h2f2
8/8/1k1R4/1P6/2P5/2K5/8/7r b - -,b6c7
1r6/7p/2kp4/2n2p2/1p3P2/1P3K2/2P5/2R1B3 w - -,c1a1
6k1/q3bpp1/3Np2p/B1p1P3/P2n4/1r5P/5PP1/1R2Q1K1 w - -,b1b3
2n5/8/8/p1N5/1k6/4K3/8/8 w - -,e3d4
4rr2/1pp3pk/1p1p2np/4p3/4Pp1N/P1PP3P/1PB1bP1K/R4R2 w - -,h4g6
3rr1k1/5pb1/6pp/Q2P4/2R3P1/4P3/Pq4BP/3R2K1 w - -,c4e4
3b3r/1pp3p1/p3k2p/1P3p2/P7/4PPBP/5P2/3R2K1 b - -,a6b5
rq3rk1/pp2bpp1/1n5p/3pPb2/8/1P2PN2/PBQ2PPP/2RR2K1 w - -,c2f5
8/3R1k2/7p/r7/5PK1/8/8/8 b - -,f7g6
8/1kr2p2/2n1p2b/3pPP2/2pP3B/1nP1NNK1/q6R/4Q3 b - -,a2a8
5b2/5p2/5k2/2p3p1/1rN4p/7P/1PR1KPP1/8 w - -,e2d3
rnbq1rk1/pp2bppp/4p3/2p5/3P4/P1P1PN2/2Q2PPP/R1B1KB1R b KQ -,d8c7
rn2kb1r/3ppppp/bq3n2/2pP4/1p2P3/NQ3P2/PP1B2PP/R3KBNR w KQkq -,a3c4
8/7p/6k1/R1pr1pP1/P3pP2/7P/4bPK1/8 w - -,a5a8
6k1/2p2pp1/4p2p/3nP3/1PRP4/1Q6/3K4/q7 b - -,a1g1
r4rk1/pbp2pp1/1p2p3/2B1P1qp/2P1p3/1P2P2P/P2N1PP1/R2Q1RK1 b - -,b6c5
r1bq1rk1/3nppbp/3p1np1/1ppP4/P7/2N1PN2/1P2BPPP/R1BQ1RK1 w - -,e2b5
8/6p1/1n2k3/4pp1p/7P/4KPP1/8/4N3 b - -,b6d5
3qr1k1/r4ppp/3p1b2/8/2B1p3/1PP1Q3/1P3P1P/1K1R2R1 b - -,a7a5
r2q1rk1/1b2ppbp/p2p1np1/3P4/2n5/2N1BN1P/PP2QPP1/3R1RK1 w - -,e2c4
8/5p2/1kn1p1p1/2bpP2p/Bp3P1P/3N1KP1/P7/8 w - -,f3g2
r2b1rk1/1b3ppp/p2p4/1p1N1q2/2Pp2n1/P3B1P1/1P1QPPBP/2RR2K1 w - -,e3d4
8/p3r1k1/5np1/2p2r1p/1n1R4/2N2B1P/1P4P1/1K1R4 w - c6,d4c4
8/8/4k2p/R7/6KP/p2r1B2/8/8 b - -,d3e3
4k1nr/pp1b1ppp/3Q4/3P4/2r5/2P5/P2B1PPP/q4NKR w k -,d6e5
4k3/8/2b1p2p/R3P1p1/7r/3NKP1P/6P1/8 b - -,c6d5
2r4k/1p2npb1/4q2p/p1pR4/2PpP3/P2P1NPb/1PQ4P/4R1K1 w - -,c2d2
r4rk1/1bqnbppp/p2ppn2/1p6/3NPP2/P1NBBR2/1PP1Q1PP/R6K b - -,g7g6
r4r1k/p1p3pp/1pn5/5q2/4NP2/1QP3P1/P5KP/3RR3 w - -,e4g5
5q1k/6pp/2R2r2/3bp3/8/1r1B2P1/3Q1P1P/4R1K1 w - -,c6f6
8/1p6/2p2k2/1PP2p2/2r2P1p/p1nN4/P2K3P/1R6 w - -,b1b4
3q4/5K2/4Q1pk/7p/5P1P/6P1/8/8 b - -,d8c7
5k2/3b3p/3p4/1p1Pq3/1P4p1/6N1/3Q2PP/6K1 w - -,d2f2
1n1r1k2/1p1r1p2/p2pp1Np/4P3/P1P2P2/1P1R2NP/3q2P1/3R3K b - -,f7g6
rq1r2k1/p1bn2pp/1pp1pp2/7b/2PPN2B/1Q3N1P/PP3PP1/2R1R1K1 b - -,h5f7
r5k1/pR1np2p/3p2p1/2pP1rN1/4N1n1/2Q5/q4PPP/5RK1 b - -,d7e5
8/7p/1p6/1P2k3/6P1/4K3/8/8 w - -,e3f3
r2q1rk1/pp2p1bp/2n3p1/2pb1p2/3Pn3/1P2PNP1/PB1NQPBP/R4RK1 w - -,d2c4
6k1/q4pp1/3p3p/1P6/8/8/6PP/1Q5K w - -,b5b6
2r1r2k/p5b1/3p1q1p/1p1Bpp1n/1P5N/2PQ1PPb/P2B1R1P/4R2K w - -,h1g1
3rrbk1/pp1n1pp1/1np3bp/4p3/3qN3/1Q1PNPPB/PP1BP2P/2R2R1K b - -,d7c5
