8/8/4NK1k/6p1/6P1/5P2/3b4/8 w - -,f6f7
1r1qr1k1/5bp1/6np/1pbnpp2/1P5P/1B1P1N2/3B1PP1/R2QR1K1 w - -,b4c5
5k2/7R/6p1/p7/2P1K3/r5P1/7P/8 w - a6,c4c5
2r1r1k1/pb3p1p/3n1p2/2pp4/N7/PP1BqNbP/2Q3P1/2R2RK1 w - -,g1h1
8/5p2/1p1p1k1p/p6P/5PP1/2P2K1B/PP6/6b1 b - -,g1h2
r2q1r2/ppp1n1kp/3p1np1/3Pp3/2P1P1PP/2N3p1/PP1QN3/2KR3R w - -,h4h5
r2r2k1/n2p1ppp/pb2p3/1p4q1/1P6/P1N2Q2/1B2RPKP/1B6 w - -,g2h1
1r3r1k/Q6p/3p3q/5p2/2bP1bP1/2N5/PP2RPB1/4R1K1 w - -,a7e7
r2q1rk1/1pp2ppp/3n4/p1nPpN2/2PbP1P1/P2B1Q1P/1P6/1RBK3R b - -,d8e8
8/r5p1/1R1pk2p/4p3/2b2n2/P7/1P3PPP/3R2K1 b - -,f4d5
r4bk1/1p1nrpp1/2p2n1p/p2p4/P2P1BP1/2PB1P1P/1P2N3/R4RK1 w - -,e2g3
2r3k1/6p1/5p1p/4B3/1P6/8/4KPnP/4N3 w - -,e1g2
5B2/5N2/1r2Bk2/pn1p1P1P/2pP4/PbP5/8/1R5K b - -,b3c2
r4r1k/2pq2pp/1p1ppn2/5p2/pPPP4/P1B2PP1/Q3P1KP/R4R2 w - -,a1d1
1R6/5k2/7p/r7/6PK/6P1/8/8 b - -,f7g7
8/8/1k6/5P2/4K1Np/6bP/8/8 b - -,b6c7
2r2r1k/3nqpb1/2p1p1pn/1pPpN2p/pP1P1P2/3BP3/PB2QP1P/1K1R2R1 b - -,d7e5
2q1k2r/1p3p2/1Q1Bp3/3pP3/3P4/P2b2P1/5P2/1R4K1 w - -,b6b7
2R5/1r2bbkp/4np1p/8/4PP2/4B1PB/5K2/8 b - -,b7b2
4r3/2r3kp/p4pp1/q2p4/pRpPnPN1/2P1P3/2Q3PP/1R4K1 w - -,b1a1
r3r1k1/1pp1qpp1/1b1p3p/p2Pp3/8/2BPP1Pb/PP1Q1P1P/2R1R1KB w - -,d3d4
4Qbk1/1p3p2/p3b2p/P1q5/4BPp1/6P1/4PN1P/6K1 b - -,c5a5
2rq1r1k/1bp1bppp/4pn2/1p6/1P1PP3/2Q2NP1/3N1P1P/1RR2BK1 w - -,c1e1
2r4k/1pq1bpp1/7p/1QP1pP2/3p2P1/3P3P/5PB1/2R3K1 w - -,c5c6
r7/1p4kp/1p2b1p1/2p1P3/1P1p3q/2PBQ2P/P5P1/R5K1 w - -,c3d4
6Q1/3k3p/2N3b1/4Bp2/1p3P1P/3Pn3/2P3PK/4q3 w - -,g8d8
2k2r1r/1ppnb2p/8/2P1p3/4P1q1/B4N2/2P1QP1P/R4R1K w - -,c5c6
8/3k4/1N1p4/P1n3P1/2P5/1pK5/8/8 b - -,d7c6
3r1rk1/pbq1bppp/1p1p1n2/8/4PBP1/2NQ1B2/PPP4P/R4R1K w - -,g4g5
2kr4/p1p2p2/Ppp1r1pp/8/4P1P1/2BB4/1PP2KP1/R7 b - -,c6c5
1r6/5pk1/2p3pp/4p3/p2nP1P1/PrN2P1P/1P1R1K2/1R6 w - -,b1d1
8/R5P1/1p2k3/1P6/2p4p/4K3/5P2/6r1 w - -,a7b7
4r1k1/1qp2p1p/2ppn1p1/r5P1/1p2PPbP/1P4Q1/P1PR2B1/1KN2R2 b - -,g4h5
5rk1/p4qbp/3pR1p1/1p1P4/1Pp2B1n/5QP1/P1N2P2/6K1 w - -,f3e2
r6k/2q1bprp/p1pp1p1Q/5b2/8/2N4R/PPP3PP/1K3B1R w - -,h3f3
rnbqkbnr/ppp2ppp/4p3/8/4p3/3P4/PPPN1PPP/R1BQKBNR w KQkq -,d2e4
2r1r3/1n1n2bk/p3p1pp/2pq4/1P2N3/P3BN1P/2Q2PP1/2RR2K1 b - -,d5c6
q3r1k1/1bN2ppp/4p3/8/3P4/n7/4Q1PP/R5K1 b - -,a8a4
r2q1rk1/ppp2pbp/2n1bnp1/4p1B1/4P3/2N2N1P/PPP1BPP1/R2Q1RK1 w - -,d1d8
2rR4/4P1kp/p1b5/4qr2/Pp2p2Q/1P5P/6P1/3R2K1 w - -,d8c8
r3r1k1/pp3p1p/3R2p1/2B2q2/8/3b4/PP4PP/R2Q2K1 w - -,d6d3
r3kb1r/pp2pppp/1qnn4/8/3P2b1/3BBN2/P1P2PPP/RN1Q1RK1 b kq -,c6b4
5k2/5p2/1qP2p2/1P1B4/7r/3p4/5KQb/8 w - -,f2e1
r1b1r3/pp4pk/5pN1/4b3/8/P7/1P3PPP/R1B1R1K1 w - -,g6e5
8/1R1Bp1kp/4Pn2/3p1pp1/8/1P2PPP1/1r6/4K3 b - -,g5g4
1rbqr1k1/5pbp/p4np1/2Pp4/3B4/2N2P2/PP1QB1PP/R3K2R b KQ -,b8b4
2r3k1/p4p1p/b3pQ2/8/8/2N3P1/Pq2PP1P/R2r2K1 w - -,a1d1
r3kb1r/ppqn1ppp/2p1pn2/4Nb2/3P4/1BN5/PPPB1PPP/R2QK2R w KQkq -,g2g4
1r5r/pp2k1pp/2p1n1b1/4Np2/5PP1/2P4P/P5B1/1R2R1K1 w - -,b1b2
b2R1b2/8/5pk1/6p1/P7/1P2PPB1/2rN1K2/8 b - -,a8c6
r3r3/1p5k/p1p1b2p/4Pp2/PP3P2/2P5/1KB2n1P/3R2R1 w - -,d1d6
r2qr1k1/1pp3pp/p1pb4/3b1p2/2N3n1/1P1PPNP1/PBP2P1P/R2Q1RK1 w - -,c4d2
r4r1k/4b1pp/p1q1p3/2pnPp2/P4P2/BB3Q2/P5PP/2R2RK1 b - -,a8c8
r1bq1rk1/1p1nbppp/1npp4/p3p3/P2PP3/1PN2N1P/2P2PP1/R1BQRBK1 b - -,e5d4
r2r2k1/2q3bp/3pb1p1/2n1p3/1Np1P1P1/2P1BP2/3R1QP1/1B1R2K1 w - -,b4d5
2r3k1/pqrnbpp1/1pp1pn1p/8/1P1PP3/P3N1P1/1BR1QPBP/2R3K1 w - -,f2f4
3q1r1k/8/3p1bQP/3Pp3/1P2P3/2P2R2/K4P2/5N2 b - -,d8a8
4bk2/R7/2r4p/6p1/4Np2/1PK2P1P/6P1/8 w - -,c3d3
4r3/5p2/p7/1pk4p/P2R1PbP/2P3P1/1P3K2/8 w - -,a4b5
8/6k1/1p1q1p2/P4Qp1/1P4Pp/4P3/5PK1/8 b - -,d6b4
3r2k1/ppp1b1pp/2n4r/3p1p2/q7/2P1PNP1/PP1B1PQP/3RR1K1 w - -,f3d4
2n5/4k2p/p1r1P1p1/4R3/8/1B6/1P5P/2K5 w - -,c1d2
r1bqk1nr/2pnppbp/p2p2p1/1p6/3PP3/P1N1B3/1PPQBPPP/R3K1NR b KQkq -,c8b7
3q1rk1/p3ppbp/bp4p1/1N1n4/P1rP4/1P3B1P/3B1PP1/R2Q1RK1 b - -,c4d4
r6k/1p3rpp/2pbN3/p4p2/Pn5R/3P2P1/1B2PPKP/5R2 b - -,d6e7
r4rk1/1b1nbppp/1q2pn2/p1p5/PpBP4/1P2PN2/1B2QPPP/R1NR2K1 w - -,c1d3
8/2r5/4kpp1/2B4p/p3P2P/Pb2KP2/6P1/2R5 w - -,e3f4:c1c3
4k2r/1p3p2/p4b2/P2rp1B1/6P1/5P2/1PR3K1/8 w k -,g5f6
r1n2rk1/ppp2ppp/2n2b2/2Pp1q2/1P1P4/2N1BN2/P4PPP/R2Q1RK1 w - -,c3b5
3rr1k1/5pqp/p4bp1/1ppP1P2/1n6/2N2B2/1P4PP/R1BQ1R1K w - -,c3e4
r3r1n1/5q1k/pp1p2p1/2pP4/bPP1pP1B/P3b2P/3QN1P1/1R3NK1 w - -,f1e3
r1b2rk1/p3q1pp/2p1pb2/3n1p2/3N4/6P1/PPP1QPBP/R1BR2K1 b - -,f6d4
8/6p1/p4b2/P2p1p1p/1k5P/1pr1P1P1/3NKP2/1R6 b - -,b4a3
r2qk2r/1p2npb1/p1n1p1pp/3p4/P2P4/2N1BB1P/1PPQ1PP1/R4RK1 w kq -,g2g4
4r1k1/2p2bpp/R2p4/3P3P/6Q1/6P1/5P2/3Nq1K1 w - -,g1h2
1rbq1rk1/p2nppbp/1p1p1np1/2p5/P2P4/2PBPN1P/1P1N1PP1/R1BQ1RK1 w - -,f1e1
r2q1rnk/1ppn2bp/p2p2p1/P2Pp3/N3Pp2/1R1QBB1P/1PP2PP1/5RK1 w - -,e3d2
2b2rk1/1p3p1p/n5p1/3N4/1PPRp3/7P/1P2BPP1/6K1 b - -,f7f5
r4rk1/pp2p1b1/n1p1P1pB/3p1p2/P2Q4/6P1/1P2PPBP/R4RK1 b - -,g7d4
r2qk1nr/ppp2ppp/2nbp3/3p4/3P2b1/5NP1/PPPNPPBP/R1BQK2R w KQkq -,e1g1
rn1qkb1r/1p3ppp/p2p1n2/4pb2/4P3/3B4/PPP2PPP/RNBQ1RK1 w kq -,e4f5
4k3/2qp1npr/p2bpp2/8/4PP2/2P4P/P2Q2B1/3R1R1K b - -,h7h4
2rr2k1/p5p1/1p2p1Pp/3nNq1P/2p1bP1Q/2P5/P1P5/2BR1RK1 b - -,d5f6
8/pR6/P1nr1p2/5k2/2R3p1/8/5P2/5K2 w - -,b7b5
2r2rk1/q4pbp/3Rp1p1/pp2P3/2p1Q3/P1P3B1/1P3PPP/R5K1 w - -,a1d1
r5k1/2p3pp/p1p1r3/2Bp1b2/8/5P2/PPPR1KPP/R7 b - -,a8b8
2k5/7R/2K5/3P4/8/8/3r4/8 b - -,c8d8
r1bq1rk1/pp1nn1b1/3p3p/2pP1p2/2P1pP2/2NN4/PP2B1PP/R1BQ1RK1 w - -,d3f2
1r2k3/5p2/3r2pp/1pRPN3/p2K1P1P/8/PP4P1/8 b - h3,e8f8
8/5pk1/1P1R1p2/8/4b2P/7P/1r6/6K1 b - -,b2g2
8/6k1/6p1/pp6/1n5p/1P3N1P/3K2P1/8 w - -,f3h4
r3r1k1/2R2pp1/p6p/q2p4/Q3nB2/bP4P1/P3PPBP/5RK1 b - -,a5a4
r1bqk1nr/pppp1pbp/2n3p1/4p3/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq c3,d7d6
r1b1r1k1/pp2qpp1/2p2n1p/3p4/3P4/2QBPN2/PP3PPP/2R2RK1 w - -,c1e1
r2q1k1r/pp2bppp/5n2/2pP4/3n4/2NBQ3/PP3PPP/R1B1R1K1 w - -,c1d2
1k1n3r/pp4p1/8/1Q1p1p2/3P4/P3P1P1/4Nn1r/1RR2K2 b - -,f2e4
8/1p3Qp1/pkn5/P1ppp3/7q/3P4/1PPK4/R4B1r b - -,b6a7
2r5/4bkpp/p4p2/1p1p4/3P1B2/rRPK4/P1R2PPP/8 b - -,a3a4
r1b2rk1/pp1nbppp/1qn1p3/3pP3/3P4/3B1N2/PP2NPPP/R1BQR1K1 b - -,f7f6
r1b2rk1/pp4bp/1qnp4/2p1pn2/8/2P4P/PPNPNPB1/R1BQ1RK1 w - -,e2g3
Qn2r1k1/6bp/pq1Pb1p1/1p2P3/P1p5/8/1P4pP/R1B2R1K w - -,a8g2
8/4bk2/4p3/4Ppp1/1pK5/6P1/3R2B1/3b4 b - -,d1a4
rnbqk2r/pp2bppp/3ppn2/2p5/2B1P3/2NP1N1P/PPP2PP1/R1BQK2R b KQkq -,a7a6
1r3rk1/5ppp/p1n5/3p4/3P4/2N3P1/1P2PPqP/R2KQ2R w - -,a1a2
2r2rk1/q4pbp/3Rp1p1/4P3/1Pp1Q3/6B1/1P3PPP/3R2K1 b - -,a7a4
rn1qkbnr/ppp1pppp/8/3p1b2/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq -,c7c6:e7e6:g8f6
r4r2/2p1qpkp/p1ppb1p1/2n4P/4P3/1BN2P2/PPPQ2P1/2KR3R b - -,g7g8
r4rk1/ppp1qpb1/2n1b1pp/4p2n/2N1P3/2P1BN1P/PP3PP1/R2QRBK1 b - -,a7a6
2R5/6pk/p1p2r1p/3rp3/8/1P3P2/P5PP/2R3K1 w - -,a2a4
8/p1R2p1p/1p4pk/2p5/8/1B6/P3qPPP/3R2K1 w - -,h2h4
8/1k3p2/4p3/4Pn1p/p4K2/P4P2/1P3B1P/8 b - -,b7c6
5r1k/1p4b1/p3B2p/P7/3P1P2/3K1RQ1/2P3p1/4R2q b - -,f8d8
4B3/8/5k2/4pn2/5pKP/8/8/8 b - -,f5d4
1B6/3r2b1/8/5k2/1PP2p2/4p3/2K5/4R3 w - -,c4c5
r4rk1/ppq3pp/4bn2/5p2/3Pp3/P5P1/PQ3PBP/1RB2RK1 b - -,b7b6
8/r4p1k/1p4p1/p1bRp2p/P3P3/3B3P/1P1r1PP1/1R3K2 w - -,d3e2
8/p2r1p2/1p1Pp3/4n1p1/4k1P1/1P2N3/P4K2/3R4 w - -,f2e2
4k3/4pp2/3p2p1/3Pb2p/4R2P/5K2/1r4P1/3R4 b - -,b2b3
r1b2rk1/ppqn2pp/2pbpn2/3pNp2/3P1B2/2P1P3/PP1NBPPP/R2Q1RK1 w - -,e5d7
3r1br1/ppk1p1pp/8/8/8/1PPNP3/1P4PP/RN3RK1 w - -,d3f4
rnbq1rk1/p2p1ppp/1p2pn2/2p5/1bPP4/P1NBPN2/1P3PPP/R1BQK2R b KQ -,b4c3
r1bqk2r/pppp1ppp/2n2n2/2b1N3/4P3/2N5/PPPPBPPP/R1BQK2R b KQkq -,c6e5
2r1r1k1/pb2qpp1/1pp4p/3n4/1P1Pp3/1Q2P2P/P2NBPP1/1R3RK1 b - -,e7g5
r1bqkb1r/1p1p1ppp/p1n1pn2/8/2PN4/2N3P1/PP2PPBP/R1BQK2R b KQkq -,f8b4
r3r1k1/4bpp1/p1b4p/P1Nq4/1p1PpB2/7P/QR3PP1/2R3K1 b - -,d5a2
2k4r/8/3p4/p2P4/P5p1/5P2/1K4P1/4R3 w - -,f3g4
5rk1/5q1p/p2p1Bn1/2rPn3/P3B2P/6Q1/6P1/4RR1K b - h3,e5d7
r6r/pbp1npk1/1p1p1qp1/3P3p/2P2R2/3B1N2/PP1Q1PPP/R5K1 b - -,e7f5
8/8/8/p4k2/P4rp1/1PK3R1/8/8 w - -,g3g1
1r6/3nkppp/4p3/8/1P6/2rNP3/4KPPP/2R5 w - -,c1c3
3b1k2/8/5K1p/1p2P2P/8/p7/2R5/8 w - -,f6e6
r2qkb1r/pp1npppp/2p2n2/8/3P4/2NQPN2/PP3PPP/R1B1K2R w KQkq -,e1g1
8/7p/Pk4p1/5p2/4pP2/1n1bP1P1/N1p4P/4KB2 w - -,h2h3
8/8/1k6/3pPbN1/PN1P1p1p/1n6/4KP1P/8 w - -,b4d5
2b2r2/p5k1/2p1prpp/1p1q4/3PQP2/2P1R1P1/P1B3P1/3R2K1 w - -,c2b1
rnb2rk1/pp4b1/2pppp2/6pR/3PP3/2N5/PPPRBPP1/2K3N1 w - -,d4d5
2r3k1/R5b1/PBpp3p/8/6P1/2P5/1PP5/1K6 w - -,a7b7
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1P2/2P1PN2/PP4PP/RNBQKB1R b KQkq -,c5d4
r2r2k1/pp3pp1/q3pn1p/2p2b2/2PP4/P1P3PP/3BQP2/R1R2BK1 w - -,d2e3
8/p7/8/1PP1k3/3p1p2/8/4K3/8 b - -,e5d5
7k/1p4p1/2p1P2p/p4Q2/P6P/5PK1/4q3/8 b - -,e2e1
r3qrk1/pbpnp1bp/1p1p1npB/8/2PPP3/2N3N1/PP2BPP1/R2QK2R b KQ -,e8f7
2R5/5pp1/pr1npk2/8/1PP1b3/P4P1P/5KP1/3R4 w - -,c8d8
r7/5nk1/1Qpq2p1/p1Npp2p/P3P1bP/1P1N2P1/2P2R2/1K6 w - -,f2f7
6k1/1p2r1p1/p1p1r1qp/P2bBp2/1P1Pp3/4P3/1Q3PPP/2R2RK1 w - -,c1c5
r6r/3b2k1/5R2/pP1pPpP1/P1pP1N2/8/3B2K1/8 w - -,e5e6
2r1qrk1/pp3ppp/3p2n1/3P4/2PP1p2/5Q2/PP4PP/R1B2RK1 w - -,b2b3
5k2/pr3p2/R3p1p1/3p4/2nP1PP1/5K2/P3N3/8 b - -,f8e7
8/1P2pp2/5kp1/3B4/8/2K5/2P4P/1r6 b - -,b1b6
r3r1k1/ppp1qpbp/4bnp1/4p3/4P3/2NBBQ1P/PPP2PP1/R4RK1 b - -,c7c6
r7/1R3ppk/5n1p/5b2/2Np4/3P2PP/2Q2PB1/6K1 b - -,a8a1
8/P3R3/8/8/1P4p1/3k1p2/r5PK/8 w - -,h2g3
4r3/p5k1/1ppn4/3p3r/2PRpK2/4N3/P3R2P/8 b - -,e8f8
2rqr1k1/4bppp/p2p1n2/n7/Pp1NP1b1/4B3/1PBN1PPP/RQ2R1K1 w - -,c2d3
8/3r4/1P2K3/1p4P1/2k1p2p/8/8/1R6 b - -,d7b7
3b4/1p1r1r2/p2k4/P3R3/3BR3/2P5/1P2K3/8 b - -,d6c7
r1bq1rk1/pp3ppp/5b2/3p4/3N1Bn1/2P5/PPQ2PPP/RN2R1K1 b - -,f6d4
r3rbk1/1bp2ppp/pp3pn1/3P1B1q/2PN4/8/PPQ2PPP/2BR1RK1 b - -,b7c8
r4rk1/1bqN1p1p/pp2p1p1/2P5/2P5/8/P1B1QPPP/bN1R2K1 w - -,d7f8
2r1r1k1/pb3ppp/1p3n2/3p4/1P6/P4NP1/4PPBP/R1R3K1 w - -,f3d4
5k2/b5RR/p1n5/1p2p2P/1P3r2/P2Bp3/2P3P1/1K6 w - -,h5h6
8/4k3/1R2P3/8/8/1p1r2p1/6K1/8 b - -,d3e3
1rb1qrk1/4n1pp/3bpn2/3pN3/pppP1PP1/2P1B2P/PPBQ1N2/4RRK1 b - -,c8a6
4r2b/1p5k/p2q2pP/3p1p2/3P1P2/1P2B3/P7/3R1QK1 w - -,f1d3
3r1rk1/1bq1bppp/p1p1pB2/1p6/4PP2/P1N5/1PP1B1PP/R3QRK1 b - -,e7f6
4r1k1/2q2pb1/3p2pp/1pnbP3/5PPP/2Q1B3/8/1R2RNK1 b - -,c7d7
8/8/3b1np1/5k1p/2KP3P/p7/N4P2/4B3 b - -,f5g4
r1b1rbk1/1pq4p/2n1np2/p1p1p1p1/2PpP3/PP1P1PPN/2Q3BP/2B1RRNK b - -,h7h5
2r3k1/p4pbp/1p4p1/nQ1B3q/4P3/4BP2/P4PKP/3R4 b - -,c8f8
R7/5p1k/1pB3p1/4pq1p/2P5/6P1/Pr1Q3P/3R2K1 b - -,b2d2
r3kb1r/pp3ppp/1nn1p1b1/4N3/2PB2P1/2N4P/PP3P2/R3KB1R w KQkq -,e5c6
1r4k1/p1r4p/4q3/2p1Pp1Q/3p1P2/P7/1P1R2PP/1K5R w - -,h1c1
R7/3r1pk1/4p2p/5Pp1/1p4P1/1Bb1P2P/P3K3/8 b - -,e6f5
r4rk1/pp1nppbp/1q3np1/3p1b2/2pP1B2/2P1PN1P/PP1N1PP1/R1Q1KB1R w KQ -,f1e2
8/4ppkp/3p2p1/p2P4/PprrP3/5PP1/1RP1R2P/5K2 b - -,c4c3
3rr1k1/1bq2pb1/Bpnp1npp/8/P2p4/2P2N1P/1P1N1PPB/R2R1QK1 w - -,a6b7
8/6pk/pB3p2/2p2K2/5P2/1nP1R3/5r2/8 b - -,a6a5
4r1k1/p5bp/2pqprp1/2Np4/3P4/2Q4P/PP3PP1/4RRK1 w - -,c5d3
r4k2/2q2p2/n1p1p1p1/1pPpN2r/p2P3P/P3PP2/1PQ5/2K3RR w - -,g1g5
r1kqr3/1p3p1p/p5pN/1n6/b1Q1P3/3P2PP/5PB1/3R2K1 b - -,c8b8
r3rbk1/p1q2ppp/2np1n2/1ppPp3/1P2P1b1/P1P2NP1/1B1N1PBP/R2QR1K1 b - -,c6b8
2r2rk1/pp2ppbp/3p1np1/q2P4/4P2Q/6PP/PP3PB1/R1B2RK1 b - e3,c8c2
3r1k2/1p1rppbp/p1n1b1p1/q2NP2P/5P2/P1N3P1/1P1RQ1B1/1K1R4 w - -,h5g6
1qr1r1k1/5ppp/1pb2n2/p3p3/2P5/NQ1R2PP/1P2PPB1/3R2K1 w - -,g2c6
1r3rk1/2q1bppp/3p1n2/pp6/3B1P2/P2B2Q1/1PP3PP/3RR2K b - -,b8b7
r1b1n3/pN4p1/7p/2P1kp2/1R2p3/1B6/PP3PPP/2K5 b - -,c8b7
2kr1b1r/ppp3pp/4pn2/q7/2B5/2N1BQ1P/PP3PP1/R5K1 w - -,c4e6
r1bqk2r/pppnnpbp/3pp1p1/8/3PP2P/2N1BP2/PPPQ2P1/R3KBNR b KQkq h3,h7h5
8/8/3kpp2/2bn2p1/4B1P1/3K1P2/1B6/8 b - -,d5f4
2r2rk1/pp3b1p/5p2/2b1p1p1/2P1B3/3NpP1P/4K1P1/R1R3B1 w - -,e4b7
1r1bk3/1p3p1p/3Rp3/pbP2p2/1P6/P3NBP1/5PKP/8 w - -,b4a5
8/5k2/R7/pr1pP2p/5p2/1P1K1P1P/P7/8 w - -,d3d4
r4n2/pp1np1k1/2p3p1/6p1/2BrP1P1/1PN5/P4PP1/2R1K2R w K -,e1e2
3r2k1/p4pp1/1p1P2p1/4P3/2q5/4Q3/P5PP/3R2K1 b - -,c4e6
r1q1r1k1/2p2pbp/p3P1p1/4n3/1n1N3B/2N4P/1PPQ2P1/3RR1K1 w - -,d2f4
8/1R6/R2pnk2/P3b3/1P5r/1K6/8/8 b - -,e6d4
1qb1rrk1/3p2p1/p3p2p/npQ1Pn1P/1P1N1p2/P2R1N2/B4PP1/3R2K1 b - b3,a5b7
r2r2k1/1p1bb1pp/1p2p3/1B1pP3/3Pp3/4P3/PP1B2PP/R4RK1 w - -,b5d7
3kn3/1b1r1p1p/pp2p1p1/3pP3/1P1K1P2/6P1/P1R4P/2R2B2 b - -,h7h5
1rb2rk1/3nqppp/p1n1p3/1p1pP3/5P2/1NN1Q1P1/PPP4P/2KR1B1R w - -,b3d4
1n1qr1k1/r4pbp/b1pp2p1/1p2n3/1P2PNP1/3PN2P/PB1Q2B1/R4RK1 w - -,f1f2
8/4k3/4p3/1R6/8/1P2KP2/1r6/8 w - -,f3f4
r2qk2r/2pb1ppp/3p4/p1pPp3/2P1P2b/2NB3P/PPQ2P2/2KR2R1 w kq -,g1g7
4r3/p1p3kp/b5p1/2bN4/8/PP3R2/6PP/1R5K b - -,a6b7
5k2/4bppr/N3p3/2B1n1P1/7p/7P/PPP2P2/2KR4 b - -,e7c5
1r2rnk1/pp2qpp1/2p2n1p/3p1P2/3Pp1P1/2PB4/P1PB1PQP/1R2R1K1 w - -,b1b3
r1bq1rk1/1n2n2p/p2p4/1ppP1pp1/1P6/4P1P1/PRQNNPBP/5RK1 b - -,e7g6
r1b1k2r/1p3ppp/p1q1pb2/2p4Q/4P3/2NP2P1/PPP4P/R1B2RK1 w kq -,e4e5
