1k6/p6n/K5pP/1P2p3/4P3/4P3/1P5P/8 b - -,h7f6
3rr1k1/1p5p/2ppn1p1/2n5/p1P2PP1/P1B1RN1P/1Pb4K/3R1B2 w - -,d1e1
r1bqr1k1/pp1pnppp/3P1n2/8/8/P1N5/1P2BPPP/R1BQK2R b KQ -,e7f5
1rb5/1p4pp/pN1q4/P3p2k/4p3/6B1/1PP3B1/5QK1 w - -,b6c8
8/8/6p1/5p1p/1k2pP1P/4K1P1/5P2/8 w - -,e3d4
rn2k2r/pp2bp1p/2p3pB/q2p4/3P4/2PbPN2/P1Q2PPP/R4RK1 w kq -,c2d3
3r4/6bp/2k2pp1/3p1P2/3PpP1P/2N4B/P2n3K/3R4 b - -,g7h6
1r6/4kp1R/6r1/3pPpP1/p1pP1P2/KpP5/1R6/8 b - -,g6g8
r1bq1rk1/p4p2/2pb1n1p/6p1/N2pP2B/P2B4/1P3PPP/R2QK2R w KQ g6,h4g3
r5k1/p3ppbp/1pN3pn/1B6/4r3/8/PP3PPP/2R2RK1 w - -,f2f3
r1r3k1/pp1bppbp/3p1np1/q3n1B1/3NP2P/1BN2P2/PPPQ2P1/2KR3R b - -,e5c4
8/6p1/5p1p/p1k5/2P4P/P1K1R1P1/8/3r4 w - -,e3e7
r1b2rk1/ppq1ppb1/2pp2pp/4n3/4P3/1NPn2P1/PP2RPBP/R1BQ1NK1 w - -,f1e3
r1b2rk1/1p2bppp/p3pn2/q3Q3/2B1P3/2N2N2/PP3PPP/2RR2K1 b - -,a5e5
6k1/5p2/1p4p1/2nqn3/p4Q1N/P5PP/1P3BK1/8 w - -,g2h2
r4r1k/ppq1n2p/5pp1/4pb2/8/1BP1QN1P/PP3PP1/R2R2K1 w - -,d1d2
2Q5/p4pp1/4kp2/1Pp1b3/8/8/PP1q1PP1/4RK2 b - -,d2d7
1n6/2q2kp1/4pn1p/8/R1PP3P/3Q2P1/5P2/6K1 b - -,b8c6
r1bqr1k1/1p1n1pp1/p2b3p/3pp3/3P4/1P1BPN1P/P1QB1PP1/R3R1K1 w - -,d4e5
5b2/1p1k1Bp1/1Bn4r/2p2NNp/5PnP/2P5/PP2r1P1/2KR4 b - -,d7c8
r3k2r/2q1nppp/2pb4/1p1p4/p1nP2P1/3B1Q1P/PPP1NP2/1KBR3R w kq -,e2g3
8/5pk1/p1r4p/R6P/P5P1/5PK1/8/8 b - -,c6f6
r1bq1rk1/pp2p1bp/n1pp1np1/5p2/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 w - -,d1c2:b1d2:b1c3
2r5/p3R3/4N3/5p2/1P1k2p1/P3b1P1/4P1KP/8 b - -,d4c3
5b1k/p3q2p/6p1/3Q4/6P1/Pp6/1P1pp1P1/3R3K w - -,d5d4
8/1p3p1p/p2N2k1/P7/2R5/r1P2K1P/8/8 b - -,a3a5
8/pp1k4/2p2R2/3p4/6K1/2Nr4/PP1r1B2/8 b - -,d2b2
2r2nk1/1br3p1/p3pn1p/2q1N3/2p1PP1N/2Q3PP/PR4BK/3R4 w - -,d1d4
R7/5p2/4pk1p/6nP/6P1/4K3/7b/8 w - -,a8h8
8/8/p5p1/5rk1/7R/4K1P1/4N3/8 b - -,f5a5
5b2/pp4k1/6P1/2PB3n/8/8/4N2P/6K1 w - -,c5c6
8/pp6/3k1n2/3b2R1/3p2p1/1P1B2P1/P3K3/8 w - -,d3f5
r3kb1r/2qn1p1p/2p1p1p1/1bppP1N1/p4PQ1/1PNP4/PBP3PP/R4RK1 b kq -,f8e7
5rk1/pp2R3/2q4p/3r2p1/2p5/P1P4Q/1PP5/1K4R1 b - -,d5f5
r3k2r/1bqnbpp1/pp1p1n2/4pP2/2PNP2p/2NB4/PP1BQ1PP/4RR1K w kq -,d4c2
rn1q1rk1/pp2ppbp/2p2np1/6B1/3P4/2PB1QNP/PP3PP1/R4RK1 b - -,h7h6
4k3/4N3/3P2p1/4pb2/3r3p/8/5KPP/2R5 b - -,d4d6
3r4/5bk1/1q1r1b2/pp1ppp2/6p1/P1P1P1P1/1PNRQPB1/3R2K1 b - -,f6g5
r5k1/pp3pp1/4q2p/4r3/2P4R/5RP1/P1Q2PP1/6K1 b - -,e5e2
8/p5k1/5p2/6p1/PPb1Q1P1/3p2K1/8/8 b - -,d3d2
rnb2rk1/1pp1qppp/3ppn2/pP6/P1PP4/2Q1PN2/5PPP/R1B1KB1R b KQ -,b8d7
r3k2r/pp1n2bp/2b1p3/2p5/8/2PB1N2/PP1B2PP/2KR3R b kq -,e8c8
rb2r1k1/3b1p1p/pp4p1/2pP3n/2P1N3/3B2NP/PP3PP1/4RRK1 b - -,b8e5
8/4pb1k/3r1qp1/p1rnNp1p/p4P1P/1P2PBQK/5P2/3R2R1 w - -,b3a4
8/3k3p/q4pp1/P1Q5/8/7P/5KP1/8 w - -,f2e3
2r1k2r/pp1nppb1/6pp/q1p4P/3PP3/2N1BP2/PPP2Q2/2KR2R1 b k -,g6g5
5B2/1p1b4/1P2k3/3p1p2/3P1P2/4K2B/1P6/8 b - -,d7c6
1k1r3r/pbp3pp/2p5/5P2/1bp1p1B1/1N4P1/PP5P/R4K1R w - -,a2a3
1r1r2k1/2q2pbp/p3p1p1/3n4/Np2QPP1/1P4NP/P1P5/4RRK1 b - -,b8c8
2rq1rk1/pp1n1ppp/3b1n2/2pp4/8/1P2PN2/PB1PQPPP/RN3RK1 w - -,d2d4
2r3k1/p5p1/1pr4p/4b3/P7/2PR3P/3BK1P1/R7 w - -,a1a3
r1bq1rk1/ppp1ppbp/3p1np1/n2P4/2P5/1PN2NP1/P3PPBP/R1BQK2R b KQ -,c7c5
r1bqkb1r/pp1ppp1p/2n2np1/2p5/5P2/1P3N2/PBPPP1PP/RN1QKB1R w KQkq -,b2f6
8/4r1p1/2p5/1p6/2k2R2/2r5/1R2PK2/8 b - -,c4c5
r1bq1rk1/4bppp/p1Pp1n2/np2p3/4P3/2P2N1P/PPB2PP1/RNBQR1K1 b - -,d8c7
rn3rk1/p1qp2pp/1p2p3/5p2/2PP4/P1Q1PP2/1P3K2/R4B1R w - -,f3f4
r4r2/pp3p1k/2pPp3/2Qn1bqp/3Pp3/1P2P1P1/PB2BP2/2R2R1K w - -,h1g2
2n1b1k1/1r1np3/p2p2p1/2pP4/2PbPP2/2N5/PR1BB1K1/3N4 b - -,b7b2
rnbq1rk1/pp2ppbp/3p1np1/2p5/4PB2/2PP1N2/PP2BPPP/RN1Q1RK1 b - -,b8c6
8/6pp/1k3p2/4pP2/1N4P1/7P/3K2b1/8 w - -,h3h4
8/1pk2pp1/2pbp3/8/p1P3P1/P4P2/BPb1N3/7K b - -,d6e5
R7/2P2kpp/8/3K4/p4r2/2P4P/8/8 b - -,f4f5
rnb2rk1/pp2ppbp/1qpp1np1/8/3PP3/2N1BN1P/PPP1BPP1/R1Q1K2R b KQ -,b6c7
r2r2k1/pp3p2/6p1/4p3/8/1P6/1P3PPP/R3R1K1 w - -,e1e5
2R5/qr1n1p1p/3p2pk/3N4/1P2P3/2Q2P1P/6PK/8 w - -,c8g8
2q1rb1k/7p/pB4p1/P1P1p3/3rP3/3Q3P/5PP1/2RR2K1 w - -,d3e3
2R5/rp3pkp/5p2/5p2/2P5/5P1P/1RK3P1/r7 w - -,c8c7
2q4r/1r2ppkp/2p2Npn/p2bP1N1/1ppP1QP1/2P2P1P/PP4RK/4R3 b - -,c8d8
r5k1/p1n1pp1p/1pprn1p1/4N3/1P1P4/2P5/1P3PPP/R1B1R1K1 w - -,c1e3
5r1k/5r1p/1N4pb/4p3/3pP3/1R3PP1/P4RKP/8 b - -,h6e3
2b1r1k1/3n1pbp/2n3p1/p1q1p3/1p2P3/1P1B1N1P/PB2NPP1/Q1R3K1 b - -,c5d6
r1q1r1k1/pp1bbpp1/2n2n1p/3p4/3N4/2N1B1PP/PPQ1PPB1/3R1RK1 w - -,g1h2
1r4k1/2q1bppp/p2p2b1/6P1/2n4P/2B4Q/PPP5/1K1RR3 w - -,b2b3
r2q1rk1/1pp2pbp/2nnp1p1/p4b2/3P4/PP2PN2/1B1NBPPP/R2Q1RK1 w - -,d2c4
2q4k/3b2bp/2pp2p1/r1n1pp1n/2P5/2NPBNP1/2Q1PPBP/1R4K1 w - -,e3c5
5rk1/1p4pp/pB2p3/Pb2P3/4p3/2P1N3/1P1b2PP/R5K1 b - -,b5e2
8/R3n1k1/8/7R/7K/4r3/6P1/8 b - -,g7g6
rn1qk2r/pb3ppp/2p1pn2/1p6/PbpPP3/2N2N2/1PQ1BPPP/R1B1K2R w KQkq -,e1g1
r2qnrk1/1b1nbp2/1p1p2p1/3Np3/1PP1PP1p/3B1N1P/5BP1/2RRQ1K1 b - -,b7d5
8/4k3/3R4/1P6/5K2/4p1P1/2PR3P/4r1r1 w - -,d2d3
r5k1/1p5r/pQ1p1q2/2n1p2n/4P3/2PP1N2/1P3PP1/1K1R3R w - -,h1h4
4r3/2q3bk/p6p/Pp3p2/2p5/2P4P/2P2Q2/R4BK1 w - -,f2f5
5bk1/3q1p2/p3n2p/1p1p1Np1/3P1n2/1N3P1P/PPQ2BP1/6K1 b - -,h6h5
rnbq1rk1/ppp1ppb1/3p1npp/8/2PP1B2/2N1PN2/PP3PPP/R2QKB1R b KQ -,f6h5
4B3/5p2/4p1k1/5p1p/5P1P/p3b1P1/r7/3R1K2 b - -,a2d2
r3r1k1/1p1bqp1p/p1pn2p1/3p4/NP1P4/3BP2P/P1Q2PP1/2R2RK1 w - -,a4b6
r2rn1k1/1q2b2p/b1p2p2/4pP2/p1NpP2P/P2B1QB1/1PP5/4RR1K b - -,e7d6
rnbqk2r/pp1pbpp1/4pn1p/8/3P3B/3B4/PPPN1PPP/R2QK1NR b KQkq -,e8g8
8/2bk4/8/2n1P3/4KP2/8/8/1R6 w - -,e4d5
8/1p6/p7/Pkp5/4K3/R7/8/1r6 w - -,e4d3
2r2rk1/p3npb1/1p4p1/1N2p1p1/1PP3q1/1Q3NP1/4PP1P/3R1RK1 w - -,b5d6
2kr3r/pb1q1ppp/B2b1n2/2pp4/8/1P2P3/PB1NQPPP/R4RK1 b - -,d6h2
6k1/ppp1rpp1/4q2p/n2p4/3Pn3/2PBBQ1P/PP2RPP1/6K1 w - -,e3f4
3r1r2/2q2pk1/p5pp/npbPp3/2p5/2P2N1P/PP2QPP1/3RRBK1 b - -,f8e8
rn1q1rk1/ppp1bppp/4pn2/1P1p1b2/8/4PN2/PBPPBPPP/RN1QK2R w KQ -,e1g1
r1b1r1k1/ppb1qppp/1np2n2/8/2N5/P2PP1P1/1BQ1NPBP/R4RK1 w - -,c4d2
r4bk1/p2R1p1p/1p4p1/2p1q3/2P5/6PP/P3BP2/3Q2K1 w - -,e2f3
5b2/pp1bq1kp/3p2p1/2pP4/P1Pp1P1P/1P1B2P1/4QNK1/8 w - -,e2f3
2k4r/pp3ppp/R3pn2/1Nn5/1P2P3/5BPP/3r1P2/4R1K1 w - -,a6a7
3qr1k1/1b1p1pbp/p2Bp1p1/1p2P3/5Q2/1P3N2/1P3PPP/2rR2K1 w - -,d1c1
3r4/4bpk1/1R1p4/p1pP2p1/P1P3P1/6BP/6K1/8 w - -,b6a6
6k1/1Q3pp1/3ppq2/2p5/2P1p3/4P1pP/3R1P1K/r5N1 w - -,f2g3
r1bqkb1r/ppp2ppp/4p3/n7/1n6/1BN2Q2/PPPPNPPP/R1B1K2R w KQkq -,b3a4
8/5k2/4p2R/pp1r3p/P2PK2P/1P4P1/8/8 w - -,h6h7
2b3k1/2r1bpp1/2B4p/1R1PpP2/2p1P2P/2r1N1P1/8/4R1K1 b - -,c3d3
8/5k2/p1p1p2p/2N5/PRb5/2P3P1/5P1K/3r4 b - -,c4d5
r5k1/4rpp1/4n2q/P1PR4/4p2p/2B1P2P/4QPP1/R6K w - -,e2g4
5rk1/4R3/7p/p2p3q/2nP2b1/P1Q2pP1/5B2/4N1K1 w - -,c3d3
8/1r2npk1/1r2p1pp/pp1pP3/2pP2PP/P1P1KP2/1PB5/RR6 b - -,e7c6
1r4k1/3n1ppp/4p3/3pP3/1brP3P/1N2RNP1/q4PK1/R2Q4 b - -,a2c2
8/8/5pk1/1R4p1/3K4/1p3PBp/1P4nP/3b4 b - -,g6f7
k4r2/2R5/p1p5/1p6/3P4/P1P2N2/1P4r1/K7 w - -,f3e5
8/2R5/p2Pbk2/2K2p2/5N2/7P/6r1/8 b - -,g2c2
r1b1k1nr/1pqnbppp/4p3/pP1pP3/8/P2B1N2/1BP2PPP/RN1QK2R b KQkq -,d7c5
8/P4R2/r3p3/6p1/4k1Pp/7P/5P2/1K6 b - -,e6e5
3r1q2/1p2n2k/p3p1pb/2p1P2Q/2P1BB2/6P1/PP4P1/R6K w - -,h5h3
1r4k1/5p1p/6p1/pP1RP3/8/r5P1/7P/1R4K1 w - -,b5b6
3r1rk1/5pbp/p1b3p1/q2p4/5P2/1RNQ1BP1/2P3KP/5R2 w - -,f1f2
rn2k2r/pp2b1p1/2pq4/3pn1P1/7p/1P2P2B/PBPPN3/R2QK1R1 w Qkq -,e2d4
q2r2k1/1bn1ppbp/pp4p1/4P3/4N3/P2BQ2P/1P3PPB/2R3K1 b - -,c7e6
2kr3r/1pp5/p2pb3/2b1p2p/4Pp1P/P1NP1P2/1PPK4/1R2B2R b - -,h8g8
5bk1/7p/4p1p1/p4q2/1pP1N3/4Q1P1/P4P1P/6K1 b - -,f5e5
6k1/6p1/7p/3r1p2/2N5/1R4PP/7K/8 b - -,d5d4
4r3/3n2p1/5k1p/8/3p1P2/PR4KP/4B3/8 w - -,g3f2
1nN3k1/5p1p/3P4/1Bp1b1P1/8/7P/6P1/6K1 b - -,g8g7
8/4q1k1/6p1/8/2Q3Pp/4r3/6B1/5R1K w - -,c4d4
r1bqk2r/pp2bppp/2n1p3/2npP3/5B2/2N2N2/PPP1BPPP/R2QK2R b KQkq -,a7a6
r2qr1k1/1bpn1pb1/p2p1npp/1p2p2P/P3P3/2PP2N1/1PB2PPN/R1BQR1K1 b - -,d7c5
2k4r/ppp2ppp/2nr4/3p4/3P2q1/3Q2N1/PPP2PPP/R4RK1 w - -,c2c3
1rb2rk1/p4p2/2p2p1p/3pb3/8/3B4/PPP1NPPP/1R2R1K1 w - -,b2b4
5r2/5pk1/1p1R4/5Pp1/4K1Pp/1B5r/P7/8 w - -,f5f6
r1bqk2r/ppp1ppb1/1n1p3p/4P1pn/3P4/2N1Q1B1/PPP2PPP/2KR1BNR b kq -,c8e6:c8f5
3rr1k1/2p2ppp/1pn5/p3p3/P1N1P3/2P1b1P1/1P3P1P/R3R1K1 w - -,c4e3
r1q1r1k1/2p2pbp/1pbpn1p1/pNn5/2P1PP2/2N1B1PP/PPQ3BK/3RR3 w - -,c3d5
5rk1/1p3p1p/1Q4p1/3Pb3/7q/7P/P3r1B1/5R1K b - -,e2g2
r2q1rk1/pp3ppp/2pbpn2/5b2/2BP4/2P2N2/PP1BQPPP/R4RK1 w - -,d2g5
3r1rk1/pb5p/1p6/4ppb1/2P1p3/4P1P1/PP2B2P/2B1RRK1 b - -,g8g7
8/4k3/1p2n3/1B4P1/5P2/4PK2/8/8 w - -,f3e4
8/3kr2p/p1RN2p1/1p1P4/6Pb/7P/7K/8 b - -,b5b4
r1b1r1k1/1p1nqpbp/2pp2p1/8/n1PNPP2/1P4PP/P2Q1BB1/3RR1K1 w - -,b3a4
3r2k1/4n1pp/8/4P3/8/6PP/6BK/5R2 b - -,d8d2
r1bqkbnr/pp1n1ppp/2p1p3/8/2pP1B2/2N2N2/PP2PPPP/R2QKB1R w KQkq -,a2a4
5rk1/p1q3pp/1p1b1r2/n2bNp2/P1pP1P2/2P4P/1BB1Q1P1/3R1RK1 w - -,f1f2
r2q1rk1/1pp1bpp1/2n1bn1p/p2pp3/3P4/2P2NPP/PPN1PPB1/R1BQ1RK1 b - -,e5e4
3R4/2r1nk2/5p1p/1rN1p1p1/1p4P1/1P3P2/P1R2K1P/8 w - -,d8f8
r1bk1b1r/pp3ppp/2p2n2/4p1B1/4P3/2N5/PPP2PPP/R3KB1R w KQ -,f1c4
r2q1rk1/pbp3pp/1p1ppn2/8/2PPN3/2QB4/PP3PPP/R4RK1 w - -,c3c2
5k2/R3bp2/8/2p3pp/5Bn1/6P1/1P2BPKP/1r6 w - -,f4d2
r1b1k2r/p4ppp/1pn1p3/3n4/1P6/P4NP1/1B2PP1P/R3KB1R b KQkq -,e8g8
5kb1/2r3p1/pn1q1p2/2p4Q/3p1PBP/BP3PP1/P7/4R1K1 b - -,g8f7
6R1/2p1r2p/ppkn4/2r2p2/8/2P2P2/PP4PP/3R2K1 w - -,g1f2
5k2/6p1/4B3/r2N4/6P1/6P1/6P1/4NK2 b - -,a5a6
8/1p1R4/b3p3/P3k2P/6R1/3p1rP1/8/3K4 b - -,a6b5
2q3k1/1p2b1pp/r3p3/3pPp2/3P1P2/PQ1BnNPP/5K2/2R5 b - -,c8c1
8/4R1pk/p1p2r1p/3p4/8/P6P/1PP3K1/8 w - -,e7a7
1b1q2k1/5p1p/p5p1/1pp5/4QPn1/1P2P1P1/PB1r3P/2R2BK1 b - -,d2b2
8/pN2k1pp/2p5/3p4/b7/2P5/1P4PP/6K1 w - -,g1f2
3q1r2/r4pk1/1p2b1pp/p4n2/P2p4/3P2P1/1P1N1PBP/2RQR1K1 w - -,d2c4
rnbq1rk1/pp3pbp/2p3p1/3Pp1N1/3P4/1QN1P3/PP3PPP/R3KB1R w KQ e6,g5f3
8/6pk/p3q2p/Q7/P1p5/2P2PBP/2b3PK/8 w - -,a5b4
r1b1k3/1p2pRbQ/p1q3p1/3rP1N1/6P1/2N5/PP6/R6K w - -,h7g8
rnbqk1nr/ppp2pbp/3pp1p1/8/3PP3/5N1P/PPP2PP1/RNBQKB1R w KQkq -,f1d3
r1b2rk1/ppq1ppbp/2np1np1/8/1pP5/P1NPP1P1/4NPBP/1RBQ1RK1 w - -,a3b4
k7/6p1/4pp1p/3p4/1n1PnNP1/1P2K2P/5P2/8 w - -,f4e6
r3k2r/1bqnnpb1/ppppp1pp/8/2PPP3/3BBNNP/PP1Q1PP1/2RR2K1 b kq -,a8d8
4r3/1Q5p/3p1qpk/2pB4/2Pn4/3P2P1/5PK1/R7 b - -,e8e2
4K3/p1k5/Bp6/6p1/PP6/2P5/8/8 b - -,g5g4
r1bqk1nr/pp3pbp/2p3p1/2p1p3/4P3/3P1N1P/PPP2PP1/RNBQ1RK1 b kq -,d8e7:g8e7
r2r2k1/3nqpbp/1p1n2p1/p1pPp3/P3P3/3NB1PP/1PQ2PB1/R2R2K1 w - a6,b2b3
5r2/2R5/4pk2/3p1p2/4rP2/1R4P1/1KP4P/8 b - -,e4e2
rn1qkbnr/pp2ppp1/6bp/3pN3/6PP/2N5/PPPP1P2/R1BQKB1R b KQkq -,g6h7
2rq1r2/3b1pbk/3p2pp/1p1Pp2n/p3P3/P2NBP2/1P1Q2PP/R2B1RK1 b - -,f7f5
8/6k1/6p1/3r4/PQ6/1P1p4/KP6/8 b - -,g7f6
6r1/2p1R1p1/pk5p/2N4P/P2P2P1/4P1K1/5P2/2r5 w - -,f2f3
r6r/pp1q1pk1/3p1p2/P1nP1b1p/3Q1P2/2P4P/1P2N1BK/R2R4 w - -,a1a3
2b3k1/8/1pp1q1p1/p5Pp/P1PpP3/2N3KP/8/5Q2 w - -,c3e2
1r3r1k/6p1/p3q2p/1p1Nnp2/7P/P3P3/1P2QPP1/3RK2R w K -,d5f4
r2qk2r/pp1nbppp/2p1p1b1/3p4/2PPn3/1PN1PN1P/PB2BPP1/2RQ1RK1 w kq -,c3e4
r1b2rk1/pppnqpp1/4p2p/3P4/3P4/2PBPN2/P4PPP/R2QK2R b KQ -,e6d5
5k2/1p3p2/2p3p1/2P5/2r2Pp1/1P4P1/8/6K1 w - -,b3c4
6r1/pp6/2p1pk2/P3p2p/1P2PPpP/2P1P3/2K5/6R1 w - -,c2d3
8/8/2Bk4/p1p1pb2/2P1p3/1P2K3/P7/8 w - -,c6b7
3r2k1/1r3pp1/p4b2/P6p/1PRp4/5P2/5BPP/3R1K2 b - -,d4d3
6k1/p4p1p/2p3p1/6b1/2Pq4/1P2N1P1/P3QPKP/8 b - -,h7h5
r2r2k1/pb3pbp/1p2p1p1/8/1P6/2N2NP1/1B2PPBP/2n2RK1 w - -,f1c1
rn1q1rk1/pbpp2pp/1p2pn2/5p2/1bPP4/2NBPN2/PPQ2PPP/R1B2RK1 b - -,b4c3
5b2/5p2/2r2P2/2P1k3/4p1p1/P1B3P1/2R1KP2/8 b - -,e5d5
2r1k2r/1p1qbpp1/p4n1p/P1pp4/2nP4/2N1PP2/1PQ1NBPP/R3K2R w KQk -,b2b3
8/7B/8/6P1/3k2n1/6P1/4P1K1/2r5 b - -,g4e3
1k1r1Q1b/pb6/2n1q2p/8/5p2/3P1N2/P3PPBP/2R3K1 w - -,c1c6
8/p2k1p2/6p1/7p/1K5b/1P6/P1P5/8 b - -,h4g3
2r4r/8/1P3q2/p1p2pk1/P1P2Q2/4P1P1/5PB1/2R3K1 b - -,g5g6
2r1r1k1/pbnpq1pp/1p1pp3/3P1p2/1PPNn3/P2Q2P1/1B2PPBP/3R1RK1 b - -,e7f7
r1bq1rk1/pppnbppp/8/1B1n4/3P4/P4N2/1PQN1PPP/R1B2RK1 w - -,f1e1
rk3q2/3n3p/2Q3p1/8/1p6/8/PPP3PP/1K1R1b2 w - -,d1d7
r1bq1rk1/pp2ppbp/2pp1np1/8/3PPP1Q/2NP1N2/PP4PP/R1B2RK1 b - -,d8a5
r3r1k1/1p2qpbp/pnp1p1p1/2Qn4/1P1PN3/4BP2/P3BPPP/1R1R2K1 b - -,e7c7
8/1qr3kp/1Rp3p1/1pPpPp2/3P4/4P3/Q4KPP/8 b - -,b7c8
4r3/p2r1k2/1p1np1pp/1N1p4/5PP1/8/PP5P/2R1R1K1 w - -,b5d6
6k1/1p3p1p/p3r1p1/3N2b1/2Ppn3/5B1P/P4PP1/3R2K1 w - -,d1d4
8/8/8/8/3k1KPP/8/2r5/8 w - -,h4h5
k3r3/p2qrp2/PRpn2p1/3p3p/N2P4/2Q1PP1P/1P2R1P1/2K5 b - -,d6c4
8/5pkp/p1rp1p2/1p1Nr3/1P6/P2BNK1P/2P5/8 b - -,c6c8
4r1k1/ppp1rp1p/1q4p1/4b3/4B3/1PP1R1Pb/PBQ2P1P/4R1K1 w - -,b2a3
r1b1r3/1pqn1pbk/p2p1npp/3P4/P1p1P3/2N1BN1P/1PBQ1PP1/R3R1K1 b - -,f6h5
r2qk1nr/pp2ppbp/2npb1p1/8/8/1N4P1/PPP1PPBP/RNBQ1RK1 w kq -,b1c3
2rq1rk1/1b1p2bp/p5p1/3P1p2/1p6/P1p1PP2/1PQ3PP/1NBR1RK1 w - -,d5d6
rn2kb1r/3p2pq/p3pn1p/1pp4P/2B1PBP1/1R3P2/P3N3/3QK2R w Kkq -,f4b8
8/k7/6pK/P7/7n/4N3/6PP/8 b - -,a7a6
6r1/1r1q2pR/2nk1pP1/p1p1pP2/PnPpP3/3P1N2/8/R1BQ2K1 b - -,c6e7
8/3b4/2Np1k2/2nP2pp/2p1Pp2/2P2P2/1P1K2P1/3B4 b - -,d7c6
6r1/p4p2/1p1bkBb1/6P1/1P2P2p/P2P3P/3K4/2R2R2 b - -,a7a5
r5k1/1qr1p2p/3pp1pb/pPp5/P1Q1PP2/1P4P1/7P/2RRB2K b - -,g8f7
1r6/4Rpkp/p5p1/2pq4/2p2N2/Pr1b2P1/3P1P1P/2RQ2K1 b - -,d5d6
r4rk1/ppb2pp1/5n1p/2P5/Nn6/6P1/1B4BP/R4RK1 w - -,a1b1
8/5k1p/1rp3p1/8/P7/6K1/2R3P1/8 b - -,f7e6
