8/4r1k1/5p2/5K2/6P1/3Q4/8/8 w - -,d3d6
r1q2rk1/pp1bbppp/1np5/8/P2NP3/2P2PP1/2Q3BP/R1BR2K1 b - -,c6c5
2qrr1k1/1pp1bppp/p4n2/4NnB1/3p1PP1/P1N4P/1PPQ4/R3R1K1 w - -,c3e4
4r1k1/1pBb2p1/pP3q1p/3Pn3/8/6PP/2Q2PBK/5R2 w - -,f2f4
r2qk2r/1p1nbpp1/2p1pn1p/p2p1b2/3P4/1P2PN2/PBPNBPPP/R2QR1K1 w kq a6,a2a4
rnbqk2r/pp3ppp/2pbpn2/3p4/2PP4/1Q3NP1/PP2PP1P/RNB1KB1R w KQkq -,f1g2
r5k1/3R3p/pR6/5pb1/4b3/8/PPP2K1P/8 b - -,a8e8
2k5/1b3p2/7r/3P4/1QpqP3/Pn4P1/1P3P2/1K5R w - -,h1h6
rnbq1rk1/ppp1p1bp/3p2p1/5p2/3P4/1P4P1/PBPnPPBP/RN1Q1RK1 w - -,b1d2
r2q1rk1/ppp1npbp/3p1np1/3Pp3/4P1b1/2N1BN2/PPPQBPPP/3R1RK1 b - -,g8h8
3r1rk1/2q1bpp1/pp5p/3nNp2/P1pPQ3/2P3P1/1P3B1P/R2R2K1 w - -,e4f5
8/1pR2pk1/p5r1/3R3K/8/1P6/5r2/8 w - -,d5g5
8/7p/p5p1/3P2k1/8/6P1/1r2NK2/7R b - -,b2d2
2q1r1k1/5pp1/1R5p/4B3/P7/2NQ2Pb/4PP2/6K1 b - -,e8e5
2bb4/1p3k1n/p1p5/2Pp1p2/1P1PpPp1/4P1P1/1PN1B3/4BK2 w - -,f1f2
1nr3k1/pb2rpp1/1ppq3p/1P1p4/P2P1N2/2Q1P3/5PPP/1BRR2K1 b - -,g7g6
r1b1k2r/pp3ppp/2n1pn2/3q4/1b1P4/2N1BN2/PP3PPP/R2QKB1R w KQkq -,f1d3
1rb1kb1r/2q2ppp/p1p2n2/1p2p3/P3P3/3BN3/1PP2PPP/R1BQ1RK1 w k -,d1f3
3r2k1/p4pp1/1qppr2p/7b/4P3/1P6/P1P2NPP/2Q1RR1K b - -,d8e8
r1bq1rk1/1p1nbppp/p2p1n2/2p1p3/3PP3/1PP2N2/P4PPP/RNBQRBK1 w - -,c1b2
2R2rk1/pp3ppp/4b3/4R3/8/1P1B4/P4PPP/6K1 b - -,f8c8
5q2/6bk/p3Q1np/2rNpN2/2p1P3/6P1/P4P2/2R3K1 w - -,g1g2
r3kb1r/1ppbqppp/p1np1n2/4p3/B2PP3/2P2N2/PP2QPPP/RNB1K2R w KQkq -,e1g1
3r2k1/1pq2pp1/3b1n1p/p7/2N5/PP3NPP/R4PK1/1Q6 b - -,d6c5
4r2k/1p2q1p1/3bBp1p/5P2/1PQ5/4P1PP/7K/R7 b - -,d6b4
7k/6pp/3n4/2pP1p1Q/4pP2/7P/B5PK/5q2 b - -,f1f4
1r6/2Rnk2p/pp4pP/3pPp2/1K3P2/1P2P3/1PR5/8 w - -,c2c6
8/8/2B4p/8/6Pp/5Pr1/5k1K/8 w - -,c6d5
r2q1rk1/pbpnbppp/1p6/3pN3/3PnP2/P1NBP3/1P4PP/R1BQ1RK1 w - -,d1c2
1r6/4rk1p/2p1p1p1/p1N1Pp2/PnP5/1P4P1/3R1P1P/5RK1 w - -,f1d1
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/1P6/P1PP1PPP/RNBQKBNR w KQkq -,c1b2:g1f3
r2qr1k1/pp3pbp/4bnp1/1B6/3B4/2N2P2/PP1Q2PP/3R1RK1 b - -,e8f8
2r3k1/5p2/4p2p/p7/R3p3/1Bb5/2P2PPP/6K1 b - -,c8d8
rqb2r2/1p2b2k/p1np1n1p/1N2p1p1/P1B1Pp2/1PP4P/4QPPN/R1BR2K1 w - -,b5a3
8/8/8/5pR1/7p/7k/7r/6K1 b - -,f5f4
4n3/6k1/4q1p1/5p2/2PQN3/2P2P2/6K1/8 b - -,g7g8
1r2n1rk/B5q1/3p1bBp/pp1Rp2Q/5p2/P1P2P2/1P1R2PP/7K b - -,f6g5
r4rk1/1bqn1pbp/pp1ppnp1/8/1PPNPP2/2NBB2P/P5P1/2RQ1RK1 w - -,d4b3
r2qr1k1/pp4bp/n2p2p1/3P1p2/5PQ1/1N6/PP4PP/R1B2RK1 w - f6,g4d1
r2qk2r/p4pb1/1nn1p1pp/1p1pP3/2pP4/1PP2N1Q/P3NPPP/R1B2RK1 w kq -,e2f4
r1bq1rk1/1pp1b1pp/p1n1p3/2n1P3/2Pp4/5N2/PP1N1PPP/RBBQR1K1 b - -,b7b6
8/7p/p4k2/4ppp1/4bP2/1P2K1P1/P3N2P/8 b - -,e4c6
r2qr1k1/ppb2ppp/2n5/3n3b/2Np4/4PN1P/PB2BPP1/R2Q1RK1 w - -,f3d4
r3brk1/1p1nn1p1/1p2pp1p/2pp4/3P1P2/2PBPN2/PP1N2PP/R4RK1 w - -,e3e4
4kb1r/pr4pp/2p1p3/3n1pN1/2p5/1P1PBP2/P1P2P1P/2KR3R w k -,d3c4
4r1k1/4bppp/p1q5/2npPb2/1r1B4/2N5/1PP2QPP/2KR1R2 w - -,f2f5
q2rn1k1/pb1r3p/1pn2bp1/2p1pp2/2P1P3/P2P1NPP/1BQNBP2/2RR2K1 w - -,e2f1
1r3bk1/5p2/pPp1p1pp/P2pP3/2r1nP2/2P3P1/RB5P/5R1K b - -,e4c3
8/3B1p2/8/4K2p/7P/6k1/b7/8 b - -,a2b1
3r1rk1/1pq2pb1/p1n1b1pp/2pnp3/P1N5/1BPPBN2/1PQ2PPP/R3R1K1 b - -,b7b6
4b1k1/1p1r4/3B3p/3P2p1/4p3/1r3PPN/6BP/R5K1 w - -,d6b8
r4rk1/p2q3n/1pnppb1p/2p2pp1/1PP4P/P1NPPNP1/3B1P2/1R1QR1K1 w - -,d1e2
8/2r3pp/R1pk1p2/1p1p4/1P1P1PP1/4P2P/5K2/8 b - -,h7h6
3q4/4k3/pp1p1p2/3b1Q2/PP2P3/8/1P4PP/6K1 w - -,e4d5
r1b2rk1/pp3pbp/3pn1p1/5q2/3P4/2N1BN1P/PP3PP1/R2Q1RK1 w - -,d1b3
rnbqk1nr/ppp1ppbp/6p1/3p2B1/3P4/4P3/PPP2PPP/RN1QKBNR w KQkq -,f1d3
r4rk1/pp2q1n1/4p3/2p1P2p/1bP2Pp1/1P5P/PB3PB1/1bQR1K1R w - -,c1b1
3R4/8/8/8/4k3/5r2/8/5bK1 b - -,f1b5
2r2rk1/pp4b1/2n3p1/2pNp1pq/2P2P2/3P4/PP1QP1RP/R6K w - -,g2g5
8/r4pk1/5pp1/2nB3p/1pP4P/p3P1P1/P3P3/3R2K1 b - -,b4b3
1r1qk2r/2pbppbn/2np2p1/1p5p/3PP3/4BPP1/PP1QN2P/2RNKB1R w Kk -,f3f4
8/8/6k1/6p1/5r2/4K2Q/8/8 w - -,h3h8
2r1k1r1/3p1p1p/3b1p2/8/1p6/1B2PP2/P4P1P/R4R1K b - -,e8e7
3rr1k1/1p3ppp/2p2n1q/4pQ2/1bPP4/1P4PP/1B3PK1/1B1R1R2 b - -,e5e4
b1n1k3/p4p2/2p1p3/Q3p3/4P1q1/3N4/PPP2P2/3K1B2 w - -,f1e2
1Q1Rrb1n/5qk1/8/3Pp2p/4Pp2/5P2/6PB/5B1K b - -,e8d8
1bQ5/1PqB1pkp/4p1p1/8/8/7P/5PP1/6K1 w - -,c8c7
rn2kbnr/p3pppp/b1p5/3q4/PppP4/4P3/1P1N1PPP/R1BQKBNR w KQkq -,d1c2
r4rk1/1pp1bppp/p4q2/3Pp3/8/2N2QP1/PPP2P1P/2KR3R w - -,f3f6
B4k1r/4bp1p/4p1p1/n3P3/5PP1/P7/1PP4P/2KR4 b - -,f8g7
1r1q1rk1/1Bn1bppp/2P1p3/1p1n4/3P4/2N3P1/3B1P1P/1R1Q1RK1 b - -,d5c3
4k2r/1bq1bpp1/p3pn1p/3p4/Pp2PPP1/1R3B2/2P1QB1P/5RK1 w k -,e4d5
3r3k/4r1pp/p2q2n1/1p1P2Q1/2nB4/P6B/6PP/3R1R1K b - -,c4a3
6k1/3r1pp1/4b2p/P1p1n3/3pP3/P2B2NP/2P3P1/1R4K1 b - -,c5c4
r1bqk2r/4ppbp/pp3np1/2pP4/4P3/1NB5/PP2BPPP/R2QK2R b KQkq -,e8g8
1r4k1/1q4bp/2r2pp1/1p2p3/p3N3/nP3P2/2P1Q1PP/2RRB2K w - -,e1b4
r4rk1/1p2nppp/2p2n2/pR1Ppb2/2P5/2Q1PP2/q2B2PP/3BK1NR w K -,b5b2
4r3/R4pbk/6pp/8/1PqNpQ2/P3P2P/3p1KP1/8 w - -,f4g4
r1bqk2r/pppp1pp1/2n2n1p/1BbNp3/4P3/3PBN2/PPP2PPP/R2QK2R b KQkq -,c5e3
r4r2/p1q1npbk/bpn1p1pp/2p1P2P/3p4/P2P1NP1/1PP1QPBN/R1B1R1K1 b - -,a8d8
4B3/8/7p/7P/3n1kp1/8/6K1/8 b - -,d4f5
2B2k2/5p2/1p4p1/3R4/3P3r/4KPn1/8/8 w - -,d5b5
8/8/2k1pp2/4b3/4PP2/Bp1K4/8/8 b - f3,e5a1
rqr3k1/4bp1p/pn3np1/Q7/3P4/1BN1P3/PP1B1P1P/2KR2R1 w - -,c1b1
3r2kr/p1p2ppp/b1B5/4P3/2P1p2q/BP6/P4bPP/R2Q1K1R w - -,d1e2
1nr1rbk1/2q2ppp/8/p1p1pNQ1/PpP1b3/1P4PP/1B2NP1K/3RR3 w - -,e2g1
6k1/pp1b2pp/1q2pr2/3p4/1P6/2NQP1P1/P6P/R5K1 w - -,a1c1
8/1b3p1p/pp2k3/8/6P1/bP1N2NP/P4P2/6K1 b - -,e6d5
1k1r1b1r/pp1q3p/1np1bp2/Q3p1p1/3nP3/N2PB1P1/PP3PBP/R1R1NK2 w - -,b2b4
3r1k2/4np2/p4b2/3p2p1/b2N4/P1r1NBP1/P2R1P2/4R1K1 w - -,f3e2
5r2/5kp1/4p2p/3n1p2/1BpP4/8/1P3PPP/R4NK1 b - -,d5b4
r1rq2k1/pp2p1bp/3pbpp1/3Nn3/1PP1P3/P3B3/3QBPPP/1RR3K1 b - -,e5g4
r2r2k1/pp1qbppp/2n1bn2/3p4/NP6/P3P1N1/1B2BPPP/R2Q1RK1 w - -,e2b5
1R6/p1r1rppk/5n1p/2q1p3/Q7/P2P1BP1/4PP1P/1R4K1 w - -,b8b5
r1bq1knr/p1p2p1p/1p4p1/2b1Q3/3nP3/2N5/PPP2PPP/2KR1BNR w - -,e5h8
1n2nk2/p7/3KP3/5PP1/8/1P6/8/8 w - -,d6d5
r1bqkbnr/1p1p1p1p/p1n1p1p1/2p5/4P3/1BP5/PP1PQPPP/RNB1K1NR w KQkq -,g1f3
3r2k1/5p1p/4p1p1/4P1P1/1P5P/2P1P3/q2BQ3/5RK1 b - -,a2d2
r1r3k1/pp3pp1/3B3p/2p2b1B/3b4/8/P4PPP/2R2RK1 w - -,f1e1
r6k/2p1rpp1/p1n2q1p/1pR1p2P/1P2P3/2P2NQ1/1P3PP1/4R1K1 w - -,e1d1
5r1k/2q3rn/3p4/2pPp1p1/2B1P1Pp/1P5P/1PKQ4/5RR1 b - -,f8f4
rnbq1rk1/pp3ppp/4pn2/3p4/1bPP4/2NB4/PP2NPPP/R1BQ1RK1 b - -,d5c4
r1bqr1k1/ppp2ppp/1bnp4/8/B2P1N2/2P5/PP3PPP/R1BQ1RK1 w - -,d4d5
8/2k3b1/p2pp2p/N2n1pP1/1PNP1PbP/4K1B1/8/8 w - -,e3d3
rr4k1/1bqn1ppp/p2p4/4b3/2PNP3/RPB3P1/4Q1BP/R6K w - -,e2c2
r2qnrk1/1p1b1ppp/p1pp4/4p3/3PP3/1PN1PN1P/1PP2QP1/R4RK1 b - -,f7f6
r1b1r1k1/1p3pb1/4p1p1/4p2p/3qNP2/3P1QPP/PPP3B1/R4R1K b - -,e5f4
r3r1k1/2q3pp/pp2b3/3n1p2/PbN2P2/2P3Q1/1P2B1PP/1R1R3K b - -,b4f8
r1b2rk1/ppp1ppbp/n5p1/3q4/1P6/5NP1/PB1PPPBP/1R1QK2R b K -,d5a2
8/8/8/5K2/8/8/2Qqk1p1/8 w - -,c2e4
1k6/p1r2p1p/Rrpbp1p1/8/1PKP4/5R1P/1P1B1PP1/8 w - -,f3a3
r1bqk2r/pp2ppbp/2n2np1/2pp4/5B2/3P1NP1/PPP1PPBP/RN1Q1RK1 w kq -,d1c1
3rk2r/qp1nbp2/p2ppp2/P6p/2P1P3/1N6/1P1QBPPP/R4R1K b k -,a7b8
r2q2k1/4ppbp/1p1p2p1/p1nPn3/3NP3/P3BP2/1P1QB1PP/2R3K1 b - -,a5a4
8/5rkp/p2R2p1/4b3/1P2P1P1/P3n2P/5P2/3RK3 b - -,e3c2
2rqkb1r/pp1b2pB/2n1pp2/3pB2n/3P4/P1N1PN2/1PQ2PPP/R3K2R b KQk -,f6e5
3q2k1/4p2p/2Nn1rp1/p2p4/3P2P1/1P2QP2/P4PK1/2R5 b - -,d8d7
8/8/2p4p/1p3K1P/2nk4/1N6/P7/8 b - -,d4d5
1bq2rk1/5ppp/2B2n2/2R5/Pp1Pp3/4P1PP/P4P2/3Q2K1 w - -,g1g2
3q1rk1/2rb1pp1/1b5p/2pp1n1Q/1P2P3/6P1/5PBP/2BRR1K1 w - -,e4f5
1R6/8/6k1/7p/4n2P/6P1/r6K/8 w - -,h2h3
r7/4pk2/1p4pb/2p1P2p/Np1P2nP/1P4Q1/P1P1q1P1/1K2R3 b - -,e2f2
rnbr2k1/pp2qppp/5n2/1Pp1b3/2P1p3/P3P1N1/1BQNBPPP/R3K2R b KQ -,b8d7
r2n3k/4n2p/1p1r1p2/pR1p2p1/P2P4/2B3P1/4PPNP/3R2K1 w - -,g2e3
3r4/2N2k2/R6p/4ppp1/P7/6P1/1b3PKP/8 w - -,a6h6
r3kb1r/p2n1p1p/bqp1p1p1/2ppP3/5PQ1/1PN2N2/PBPP2PP/R3K2R w KQkq -,c3a4
8/3k4/R4pp1/3P3p/6nP/6P1/3r2BK/8 w - -,h2h3
r2r1k2/1p1b1pbp/3n2p1/p2N4/2P5/1P3P2/P2BB1PP/2R2R1K b - -,d7c6
r1r3k1/pp1q1ppp/3bp1n1/n5N1/3P3P/2N1B3/PPQ2PP1/3R1RK1 w - -,g5h7
3r4/4kp2/5n1Q/p4B2/Pp6/8/1qP2PPP/4RK2 b - -,e7d6
8/8/4p1p1/3pPpPp/2pP1P2/3r4/1kb1R3/4K3 b - -,d3d1
r1b1rbk1/3q1p2/p1Np4/1N1Pp1np/2P1P1PB/7n/2Q3P1/RR3BK1 w - -,g1h1
r1bqk1nr/ppp2ppp/2np4/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq -,c8e6:g8f6
3r4/3q1ppk/1Q5p/3p4/3R3P/4P3/5PP1/6K1 b - -,d7e7
r1bq1rk1/pp1nbppp/3p1n2/2pP4/4P3/2N3P1/PP1N1PBP/R1BQ1RK1 b - e3,f8e8
8/R6p/8/2kPpp2/6p1/1r4P1/4KP1P/8 b - -,c5d5
8/1pp2k1p/pn1b2p1/4r3/5p1P/5P2/PP1RBP2/3R2K1 w - -,e2d3
2r5/4k1p1/p4p2/1p2nP2/8/P2q3P/N2p2P1/R5QK w - -,a2b4
r1bqr1k1/pp1n1ppp/2pbpn2/3p4/2PP4/2N3P1/PP1NPPBP/R1BQ1RK1 w - -,e2e4
1r3rk1/4ppb1/b2p2p1/p2Pn2p/2p1PN1P/2N1BP2/PPRK2P1/7R b - -,e5d3
rnbqkb1r/pp2pp1p/5np1/1NP5/2Pp3P/8/PP2PPP1/R1BQKBNR b KQkq -,e7e5
n1bq1r2/4ppk1/1n2P1p1/1BpP4/5N1p/1PN4P/2PQ2P1/4R1K1 w - -,e6f7
2r2k2/3R1p1p/4pb2/rN3p2/2P2P2/P5B1/KP5P/8 b - -,c8c4
r1b3k1/r1q1bpp1/1p1p3p/2nPp3/PBP5/R7/3N1PPP/R2Q1BK1 w - -,d2b1
3R4/5p1k/7p/8/1b4pP/1bpp2P1/pB6/5K2 w - -,b2a1
4r1k1/1b1nqp2/pp3bpP/3pn3/P1r1PN2/2N1B1QR/1PP3BP/5R1K b - -,d5e4
1r3q2/2pR2k1/1p3r1p/p3pQ2/8/4BP2/1P4P1/6K1 b - -,f6f7
rnb1kb1r/4pppp/pq1p1n2/2pP4/8/5N2/PP2PPPP/RNBQKB1R w KQkq -,b1c3
r1nqrbk1/1p3p2/2p2n1p/4pNpP/2PpP3/pB1P3R/P3QPP1/R1B2K2 b - -,c8d6
r1bq1rk1/1p1nppbp/p2p1np1/8/B1PNP3/2N5/PP3PPP/R1BQ1RK1 w - -,a4c2
8/1r4kp/1n1R2p1/2p1N3/P7/1P3P2/6PP/6K1 b - -,b7b8
2q2rk1/pp1b2pp/n2p4/2pPb3/2P2B2/3B2N1/PP1Q2PP/5R1K b - -,c8e8
3q1rk1/5p1p/2p2bp1/3p1n2/N2P4/r3PN2/2Q2PPP/1R3RK1 b - -,d8a5
2rr2k1/pb5p/6p1/4Np2/8/2B1K1PP/PPP5/1R6 b - -,b7e4
8/2k1p2p/3p1pp1/2nP4/pr2P3/Rn2KPPP/2B5/1R6 b - -,b3d4
6r1/5kp1/p6p/1p1pPr2/n1pP1PR1/P1P4R/7P/4B1K1 b - -,a4b2
5r1k/2r1bp1P/4pNp1/3pP1Q1/qp1P4/4R1P1/PR3PK1/8 b - -,a4d1
r1b2rk1/4pp1p/3p1npQ/2q5/Pp2P3/5P2/1P2N1PP/R3KB1R w KQ -,h6d2
8/p1r4p/R1Pk2p1/8/5K2/7P/6P1/8 w - -,f4e4
4rrk1/2nqb2p/2b3p1/1pPpp1P1/pP1N3P/Q2PPB2/1B6/1R3RK1 w - -,d4c6
8/4R3/4p1k1/4P3/5P2/8/5K2/r7 b - -,g6f5
6k1/R5p1/4pb1p/pR6/P7/4P1P1/5PKP/3r4 b - -,f6c3
5k2/2R5/6K1/1p4N1/8/8/8/5r2 b - -,f1g1
1r1q1rk1/3n1ppp/5n2/3pp3/Qb1P4/2N1PP2/PP2BP1P/R1B1K2R w KQ -,a2a3
r3r1k1/2q2pp1/2n4p/8/P1p1p3/2PbP3/5RPP/R1BQ1NK1 b - -,c6a5
r1bqr1k1/ppp1bppp/3p1n2/2nPp3/2P1P3/2N2N2/PPQ1BPPP/R1B2RK1 b - -,a7a5
2b4r/3R1k1p/pB2pp2/1p6/2p2P2/P1P5/2P3PP/4R1K1 b - -,c8d7
r7/pp4k1/1n1P1qn1/1Pp2b1Q/P4R2/2P5/2N3B1/5RK1 b - -,g6f4
rqbr2k1/1p2bpp1/p1n2n1p/3p1P2/P7/N1N5/1PP1B1PP/R1B1QR1K w - -,c1f4
2r1r1k1/p3qppp/2p1b3/1p6/3RQ3/2P1P3/P3BPPP/3R2K1 w - -,e4c2
r1br2k1/pp3ppp/1qn1p3/2npP3/3N1P2/2N1Q3/PPP3PP/1K1R1B1R b - -,c6d4
r2qk2r/pp3ppp/3bpn2/n2p4/3P1Bb1/2PB4/PPQN1PPP/R3K1NR w KQkq -,f4e5
2rq1r2/pp4kn/n2p4/2pP1B2/2P5/5N1P/PP1Q1PP1/4RRK1 b - -,f8f5
8/8/2N3p1/1P4k1/2B5/6K1/7P/6r1 w - -,g3f2
3k4/1pq4r/p1n1p3/8/3p1PP1/P1pP4/4N1B1/1RB1K2R b K -,h7h1
1r1q1rk1/1p2npbp/p5p1/2pPp3/n3P3/P2PN1PP/3Q1PBK/B1R2R2 b - -,b7b5
8/p3k3/5ppp/2Nn4/1P1p4/P5PP/5P1K/8 w - -,c5b3
r1b2k1r/1p1npp1p/p2q1b2/P2P2p1/1P2P3/2NB4/4NPPP/R2QK2R w KQ -,a1b1
3q2k1/p4p2/6pp/1pp1PP2/2b3P1/P1P4P/2Q3B1/6K1 b - -,d8g5
3k4/8/p2bB2p/1p1PpQpP/1P6/5PPK/8/5q2 w - -,h3g4
3rr2k/ppq3bp/2n3p1/3B1p1n/P4P2/2B4Q/1P2NP1P/3R1RK1 w - -,c3g7
4nr2/8/pp2kpR1/5R2/P2pP3/1P6/1KP5/8 w - -,f5d5
8/R6p/1N3pp1/1P3p2/4k3/4p1P1/3rK2P/8 w - -,e2e1
r1bq1rk1/pp3ppp/2nbpn2/2pp4/4P3/3P1NP1/PPPN1PBP/R1BQR1K1 b - -,f6d7:d6c7
r5qr/ppkb1p2/3p1n2/2pPpP1p/2P4P/2P2Q2/P3B1P1/R1B1KR2 w - -,c1g5
8/p5p1/4k2p/2P2p1n/3K4/P4P2/3N4/8 w - -,d2c4
4rr2/2p3pk/p1n2n1p/1p1q1P2/4pR1N/1PP1Q2P/1P1N2P1/4R1K1 b - -,f8f7
r1r4q/1p2ppbk/2bp2pp/pNn5/2P1P3/1P3P2/P3R1PP/2BRQB1K b - -,c5e6
r1b2rk1/pp3ppp/5n2/n3q3/1p6/3B2N1/PB1P1PPP/1R1Q1RK1 b - -,e5d6
3rr1k1/1qp4p/1p3np1/p3pp2/2P1n3/BP4P1/P3PPBP/2QRR1K1 w - -,d1d8
8/6b1/3p4/3P1p1k/p1P2q1p/5P1P/4Q3/1N1K4 w - -,d1c2
r2r3k/p2R2pp/1p6/6p1/4PbN1/5P1P/PP4P1/4R2K w - -,d7d8
2r5/6pp/pn2kp2/1pRp4/1P1P2P1/P4K2/5P1P/2B5 b - -,e6d7
r3r1k1/p2q1b1p/4nn1b/3p1p2/5p2/B2P2P1/P2QN1BP/2RN1R1K w - -,g3f4
1r6/4ppkp/3p4/N2Pn1p1/1P1RP3/7P/5PPK/8 b - -,g7f6
6k1/8/8/R2p3p/5P2/5K2/8/3r4 w - -,f3e2
2k5/1pr2P2/p1nR3b/2NBp3/8/P7/1PP5/1K6 b - -,h6f8
6k1/6pp/5p2/8/5P1P/4P3/1r1RK3/8 b - -,b2d2
1k2r2r/pppq4/2nn1p2/3p2pp/1P1P4/2PBR1P1/P1Q2PPN/4R1K1 w - -,g1f1
4k3/4p3/p1Q2p2/2P1n3/1P6/2B4P/6PK/8 b - -,e5c6
1r1q1rk1/2pb2bp/pp1p1np1/3Pp3/2P1P1P1/2NQBP2/PP2N3/2KR3R b - -,f8f7
6k1/1b4p1/p3p3/5p2/1p1Pp3/PP2P3/1B1b1K1P/8 b - -,b7d5
r1q4k/1pp3pp/5n2/1P4R1/p2BQ3/4P1P1/5P1P/1n4K1 w - -,e4e7
3r4/kp1P4/p3Q1p1/6q1/5p2/P4P2/1P4P1/K2R4 b - -,g5g2
8/5ppp/1R2p1k1/4P3/3PK3/5P2/6rP/8 w - -,d4d5
3r2k1/p4pp1/2Q1pq2/8/8/PR4P1/1P3P1P/6K1 w - -,g1g2
r1b1k2r/pp3pb1/2pq1npp/2n1p3/2B4P/2NPB1N1/PPP2PP1/R2QK2R w KQkq -,d1e2
2r1r1k1/p2n1pp1/4pn1p/1qP2b2/R2P4/Q4BB1/3N1PPP/4R1K1 w - -,d2c4
2k1B2r/4b1p1/1r2ppP1/p1p1q3/Q2pP3/1P6/P1P5/1K1RR3 b - -,e5c7
3r1rk1/pR4p1/4p3/2p5/4pP1p/q7/4NP1P/2Q1K2R b K -,a3c1
r2qk2r/p1p1nppp/np2p3/3pP3/3P4/P1P4N/2P2PPP/R1BQK2R w KQkq -,h3f4
2k5/pR5p/5b2/1NP5/1PbP1q2/4p3/P5BP/1R5K b - -,c4b5
5rk1/1pp2p1p/2n2p2/p1b1p2N/P3P3/1BPr3P/1P3PP1/R3K2R b KQ -,c5e7
3r2k1/5p1p/3p1Pp1/1p6/1P6/P3R2P/5PP1/6K1 w - -,e3e7
8/3k3p/2n2b2/1N1p1p2/1P6/P2K3P/8/4B3 w - -,e1c3
8/6nk/p7/3p4/3P4/4KN2/1Pq2RP1/3r4 w - -,f2c2
8/5r2/Pp6/2kN1P1p/2P5/8/7K/8 w - -,f5f6
r2r2k1/1bQ1nppp/4q3/1p6/4p3/1P2P3/PB2NPPP/R4RK1 b - -,e6d7
3r1rk1/6b1/p2q1n1p/1p2Nbpn/3P1p2/7P/PP2BPPB/2RQNRK1 b - -,d6d4
8/1p3k2/p1p5/3pPb2/3P3q/4P3/PP2K1B1/2R5 b - -,h4g3
8/2P1k3/p6p/5p2/2pR1p2/5PqP/P5PK/8 w - -,h2h1
8/6p1/p6P/Pb5P/3pkP2/8/2NK4/8 b - -,g7h6
2k5/4R3/2P3p1/3K3p/7P/5rP1/8/8 w - -,e7e8:d5d6
1rb2rk1/pp2qpp1/2pbpn1p/4N3/2PP4/6P1/PP2QPBP/R1BR2K1 b - -,f8d8
1k6/1pb3p1/8/1Q6/P5q1/2P5/1P3P2/5K2 b - -,g4f3
r2r4/4q2k/2p2pb1/p1N4p/Pp2PP1P/8/1P2RK2/2Q4R w - -,c1e3
rn2k2r/pbqp1ppp/1p1bpn2/8/2PP4/3B1N2/PP1N1PPP/R1BQ1RK1 w kq -,d1e2
2rq1nk1/pb5p/1p2pb2/1Q1pNp2/3P4/1P3NP1/P6P/R3R1K1 w - -,a1c1
7k/8/6p1/3P4/n3R2P/8/1P6/2K2r2 w - -,c1d2
r4bk1/1pq3np/2p1npp1/2P1p3/1P2P3/1Q2BNP1/4NP1P/1R1r2K1 w - -,b1d1
