1K1Q4/8/1P6/7k/2q5/8/8/8 w - -,d8d1
8/5p1k/1p3npp/p1p5/P1PqpP2/1P5P/2B1Q1K1/8 w - -,g2h2
5k2/p4pp1/4p3/4b3/8/3K2P1/PP3P1P/3N4 b - -,f8e7
2r3k1/pp3ppp/1n2p1b1/1q2Pn2/5B2/1B3N2/PP1Q1PPP/3R2K1 b - -,h7h6
8/5p2/8/1R4kp/8/4KPn1/8/8 b - -,f7f5
8/p7/1p2ppk1/2p4p/2Pn1PPP/3N2K1/PP6/8 w - h6,f4f5
1r4k1/1p3p1p/p2R2p1/8/8/2r2NPb/P3PK1P/1R6 b - -,c3a3
r1bq1rk1/bpp1nppp/p2p4/3Pp3/7N/1P2P1P1/PB1P1PBP/R2Q1RK1 b - -,f7f5
8/1R5p/k1BP4/1p6/1P6/n5P1/P3r2P/6K1 b - -,e2c2
8/5r1k/5rp1/4Q2p/8/8/8/6K1 b - -,f6f5
r1q2rk1/pb2bppp/2p1pn2/8/3P4/1QP2N2/P3BPPP/1RB2RK1 b - -,b7a6
5r1k/6pp/2p1Q3/pp1pn3/3q3P/P2P2PK/2P2rB1/1RB5 w - -,c1b2
3n1rk1/1p4pp/p2bb3/q3pp2/3p4/3QP1P1/P1R2PBP/1R4K1 b - -,d6c5
4r1k1/1p3pb1/2p3pp/2P1p3/p1BnP3/P3B2P/1P3PP1/3R1K2 w - -,d1d3
2r2qk1/1b1n2p1/3n3p/p2p1p2/1Pp2P2/8/PBQ2PPP/1BR2RK1 w - -,b4a5
7k/1P6/6p1/8/2N1PbPp/1KPQ4/P4q2/8 b - -,h8h7
r1bq1rk1/2p1bppn/1p1p1n2/p2PpPNp/2P1P2P/P1N1B1PB/1P2Q3/R3K2R b KQ -,h7g5
r1bqk2r/ppp2ppp/2np1n2/4p3/2P5/P1P3P1/3PPPBP/R1BQK1NR w KQkq -,d2d3
r5n1/p3ppk1/6p1/2NbP1Np/1pp5/5P2/PPP3PP/2KR4 b - -,e7e6
r1b2rk1/4p1b1/3n2p1/q1pP4/4pP1p/1QN1B2P/PP3KP1/2NR2R1 w - -,g2g4
r2r2k1/4qpp1/2p5/1p2p3/4P1b1/1P2Q1P1/2P1N2P/R4RK1 w - -,a1a8
6k1/1R6/5p2/5P1p/4PK2/8/4r3/8 w - -,b7b1
r4rk1/3nppbp/b2p1np1/q1pP2B1/4P2P/2N5/PP1QBPP1/R3K1NR w KQ -,e2a6
3r1rk1/p2qn1b1/1pnp2p1/2pNp1Np/2P3bP/P2PPpPB/1PQ2P1K/R1B2R2 b - -,g7h6
5rk1/1b1nqpp1/rb2pn1p/p7/R1N1PB2/3N2P1/1PQ2PBP/3R2K1 b - -,f8c8
6r1/1k1q2rp/2p1b1p1/1p1pPp2/pPn2PP1/P1B1PBRP/7K/2Q3R1 w - -,g1g2
2r2k2/5p1p/1P4p1/4p3/Q2p3P/2q5/P4PP1/1R4K1 b - -,d4d3
r2q1rk1/1b2bppp/p2p4/1p2n1P1/4PB1P/2N3Q1/PPP3B1/R3K2R b KQ -,a8c8
2rr2k1/ppN2ppp/3P4/3P4/1Q4b1/4B1n1/PP1K2Pq/R4B2 w - -,b4g4
8/4ppk1/rq1p2p1/2pP3p/4P3/rP4PP/P1RRQPK1/8 w - -,e4e5
3rk2r/pp1b1ppp/5n2/1B1p1q2/2p5/1QP1PN2/PP3PPP/2KR3R w k -,b3b4
2rr2k1/p4qpp/4pn2/1PpnBp2/P1B5/7P/1P2QPP1/2RR2K1 w - -,d1e1
r1q2rk1/pb1nppbp/1pnp2p1/8/4PP2/1NN1BB1P/PPPQ2P1/R4RK1 w - -,a1d1
r4rk1/1pq1pp1p/6p1/pB3b2/P3n3/N3P3/1bPB2PP/R3QRK1 w - -,a1a2
r2q1rk1/pp2b1p1/2n1pn1p/8/3pPB2/2N3PP/PP3PB1/R2Q1RK1 w - -,e4e5
4rbk1/1p2pp2/q1p2np1/r3Bb1p/p2PpQ2/P1N3PP/1PP2PBK/1R1R4 w - -,g2e4
1r4k1/5p2/6p1/5n1r/3PQ2P/1p6/7K/1R2B3 w - -,b1b2
8/8/8/3r1p1P/1p4P1/5P2/4K3/2k5 b - -,f5g4
rn2k1nr/pp3pbp/4p1p1/2qpPb2/5P2/2N2N2/PPP1B1PP/R1BQK2R w KQkq -,f3d4
5rk1/7p/p3p1pQ/3q1b2/p6P/2P2N2/1r4P1/3RR2K b - -,d5b7
2r3k1/8/3q4/3Pp1p1/2B1Pb1r/p2Q4/Kp4R1/6R1 w - -,g2c2
r1b2rk1/1p1nb1p1/1qn1pp1p/p2pP2P/3P1P2/PP1B1N2/4N1P1/R1BQK2R b KQ -,b6d8
1rbq1rk1/p2pppbp/1p3np1/8/2P5/2NQ2P1/PP2PPBP/R1B2RK1 w - -,e2e4
1q4k1/8/3p2nb/2pPprpp/2P1N3/5PP1/1P1BQ2P/5RK1 w - -,e2d3
8/2n5/1k6/p1pB4/2Pb4/1PN5/P3K3/8 w - -,c3a4
6r1/2p5/3pbk2/p1p3p1/2P1P3/1P1NKPRr/P5R1/8 w - -,e4e5
8/1pB5/p7/8/4kpp1/5b2/PP3P2/6K1 w - -,c7b8
r4rk1/pppq1ppp/1nn5/4Pb2/8/PB2NN2/1P3PPP/R2QK2R w KQ -,e1g1
r2q1rk1/p2b1p1p/3p2p1/3Pp3/Pp1Q4/1B3P2/1PP3PP/R3K2R w KQ e6,d5e6
4rrk1/5pb1/1pNp1n1p/P2P1qp1/R3p3/2N2nPP/1P2RPK1/2BQ4 w - -,a5b6
5bk1/1p3p1p/1Q1p2p1/3P4/P3q3/4B3/1Pn2KPP/8 b - -,e4e3
2r4r/1p3p1p/p3k1p1/4P3/3B1P2/1P1Kb1P1/P6P/1R5R b - -,e3d4
8/3n4/p3k2B/5p2/3P1K2/1P6/8/8 b - -,d7b6
r3kb1r/ppq2ppp/2n1pn2/3p2B1/3P2b1/2PB1N2/PP3PPP/RN1Q1RK1 w kq -,g5h4
8/p7/1p1n1knp/2pP1pp1/2P5/1P2KBPP/P3N3/8 b - -,f6e5
r4rk1/pp2ppbp/2n1b3/q2n2B1/3PP3/6P1/PP2NPBP/R2Q1RK1 w - -,g5d2
r4bk1/pp3p1n/2p4p/3pr1p1/7P/2P1B3/PPB1RP1K/6R1 b - -,a8e8
2k2r2/ppp3p1/2nb2n1/3p1q1p/1P1P4/2P2bP1/P3QR1P/RN2B1K1 w - -,f2f3
4b3/6p1/3knr2/1p1pp2P/1P5R/2P1B3/3KB3/8 w - -,h4h1
2r1r2k/3n1qbp/2p3p1/pP3p2/1n6/Q3B1P1/4PPBP/1R1N1RK1 b - -,b4c2
8/8/4k1pp/8/6P1/3nN1K1/8/8 b - -,e6e5
8/5pk1/2R3pp/8/2p1P2P/2r2P2/6K1/8 b - -,c3c1
r2r2k1/1pqnbpp1/p1p1p2p/Pn2P3/2NP4/3Q1N2/1P3PPP/R1BR2K1 w - -,d3e4
r3kb1r/pp2pppn/2p4p/q3P3/7P/6N1/PPP2PP1/R1BQ1K1R w kq -,c1f4:e5e6
3r3r/ppk2ppp/4p3/2P1n3/8/1P2P3/P3B1PP/3R1RK1 w - -,e3e4
1r6/5ppp/1Pk1pn2/2P5/8/8/4KPPP/R7 b - -,f6d7
1r1qk2r/p3pp1p/b1np1bp1/2p2P2/1p2P3/3P1NP1/PPP3BP/R1BQ1RK1 w k -,g3g4
2rr2k1/1bq1bppp/pp1ppn2/4nP2/2P1P3/1PN5/PBN1B1PP/2RQ1RK1 w - -,f5e6
rn1qk2r/pbpp1ppp/1p2pn2/8/1bPP4/1P3NP1/P2BPPBP/RN1QK2R b KQkq -,c7c5:a7a5
r4rk1/pbq1bppp/1pp1p3/4P3/2P1BB2/5QP1/PP3P1P/R4RK1 b - -,a8b8
6k1/1p3p1p/p1p2np1/P7/2PQ4/1P5P/2B2PPq/5K2 b - -,g8g7
r1bq3r/pp1kbp2/1n2p1pp/n2pP3/2pP1N1P/P1P1BQ2/1P1N1PP1/R3KB1R b KQ -,d7c7
2r1r1k1/1p4p1/p1p1q2p/3p2p1/PP1P4/1R2P2P/2Q2PP1/2R3K1 w - -,c2d1
7r/1pr1k1pp/p4n2/3p1p2/3R4/1PPNPP2/1K4PP/3R4 b - -,h8c8
rnb2rk1/ppq2ppp/3ppn2/8/2PP4/RPN2NP1/4PP1P/3QKB1R b K -,c7b6
r4r1k/p5pp/4R1q1/3Q4/5b2/2Pp1P2/P4K1P/1R3N2 b - -,g6f5
6k1/3r1p1p/2n1rbp1/8/4P3/1RN2N1P/1P3PP1/4R1K1 b - -,d7d3
1r5k/2p2Qbp/pp4p1/3Npbqn/1PP2p2/PR4P1/3PPP1P/2B2RK1 b - -,b8f8
3rr3/pp3kbp/6p1/n7/1P1P2b1/4B3/P3NPPP/R3K2R w KQ -,b4a5
2rqr1k1/1b3ppp/1np1pn2/1p6/3P4/BQ2PN2/P3BPPP/2RR2K1 w - -,e2b5
1r6/2r1n3/p1p2k1p/2R2p2/Pp3Pp1/1R1PN1P1/5K1P/8 w - -,f2e2
r2q1rk1/pb1p1nbp/1pn1p1p1/2p1Pp2/5P1Q/2NP1N2/PPP3PP/R1BB1RK1 w - -,h4f2
8/p2Q2p1/Pp3k1p/1P6/4K1PP/8/2q5/8 w - -,e4e3
rnbqk2r/ppp1ppbp/5np1/3p4/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq -,f1e2:b1c3
r1bqk2r/1p2bppp/p3pn2/8/1n1PB3/2N2N2/PP3PPP/R1BQR1K1 w kq -,e4b1
6k1/2qn1pp1/1p2p2p/2p5/2P5/3PP1P1/1Q3PbP/4N1K1 w - -,e1g2
5r2/pp2nkp1/4p1qp/3pP3/2pPbPP1/P1P1B2Q/2PK3R/4N3 w - -,h3h5
r1br1nk1/p3ppbp/2p3p1/3qP3/8/2pNQ1P1/5P1P/R1B1RBK1 w - -,d3b4
6k1/6p1/8/1q1pQ2p/1P2p2P/4P1P1/5PK1/8 b - -,g7g6
r1b1k2r/pppp1ppp/2n1p3/8/1qPPn3/5NP1/PPQ1PPBP/RN2K2R w KQkq -,b1c3
2r3k1/5pp1/1q1p1Pbp/3P4/ppr2B2/1R6/PPPQ3P/1KR1N3 b - -,a4b3
r5k1/1pp2p1p/p2p3Q/3P4/4P3/8/PPP1Br2/6K1 b - -,f2e2
8/8/1k6/p1p5/2PnB3/1P6/P7/1NK1b3 b - -,d4e6
r3r1k1/1bq2ppp/p2pn3/1p3NbP/2n1P3/P1N5/1PP3B1/R1BQ1RK1 w - -,c3d5
8/1p2n3/1p3k1p/4n1p1/4P3/6P1/1r3PB1/1R3RK1 b - -,b2b1
6k1/5pp1/r1p1q2p/2Q4P/2R5/4P1P1/5PK1/8 w - -,c5d4:c4b4
3r2k1/pp3pp1/2p1p1p1/4P2q/2QP4/2P5/PP4PP/R5K1 b - -,h5g5
1r3rk1/p1p3pp/3b2n1/3Pp3/6q1/2P1BN1P/P4PP1/R4RK1 w - -,h3g4
r7/pp1Rpkbp/4p1p1/8/2B1P2P/2N2r2/PPP2n2/2K3R1 w - -,d7b7
2r5/5rbk/3pq3/1P1Nn1pp/2P2p2/1Q3P1P/5BP1/2RR2K1 w - -,b3c2
3q2k1/pr1p2pn/3Pp2p/1Pp1Pp2/R7/3Q1nP1/5P1P/4R1K1 w - -,d3f3
8/p4Q1k/1p2p1p1/3bPp2/8/2P2BP1/q3P3/4K3 b - -,h7h8
r2q1rk1/1b3p2/p2p1bpp/npp1p3/4P3/2PP1N2/PPB2PPP/R2QRNK1 w - -,f1e3
r3k2r/3qbp1p/p2p1n2/1pp5/3nP3/1B1Q2N1/PP3PP1/R1B1R1K1 b kq -,h8g8
6k1/8/7R/p2p2pp/r2B4/2Pb4/6KP/8 b - -,a4a2
r1bq1rk1/1p3pbp/p1n3p1/2p1p3/P3N3/1P3N1P/1BPP1PP1/R2Q1RK1 b - -,b7b6
rnb1k1nr/1p1pppbp/p5p1/qN1N4/4P3/8/PPP2PPP/R1BQKB1R w KQkq -,c1d2
r1bq1rk1/3nbppp/p2p4/1p1Qp3/2P1P3/P3BN2/1P2BPPP/R4RK1 b - -,a8b8
2rr2k1/3bbppp/p2pp3/8/2P1PP2/2N3PK/PB6/2R1R3 w - -,c3d1
2br1k2/2p1qp2/p6Q/1pR1P1p1/1P1p4/1B6/P5PP/6K1 b - -,f8e8
5r1k/1R2Q1b1/7p/3BpPp1/2P3P1/8/q5K1/8 w - -,g2g3
8/5pp1/pk2p2p/1b6/4PP2/1P2K1P1/P3B2P/8 w - -,e2b5
r1bqr1k1/pppnbpnp/3p2p1/3Pp3/1PP1P3/2N1BN2/P4PPP/2RQRBK1 b - -,f7f5
8/3q1p1k/2r4p/5p2/1bPp1P2/3Q3P/1B4RK/8 w - -,b2d4
r4rk1/1b3p1p/p7/6PQ/Pp2P3/1q2N3/2R2K2/7R b - -,b7e4
6k1/1p1n1pbp/3pb1p1/p5B1/q1R4P/1NP2P2/P1PQ2P1/1K2R3 b - -,a4c4
8/1p6/8/4Qpk1/P6p/4P2P/6PK/4q3 b - -,g5g6
8/1B4p1/1p1kb2p/1P2p3/2P3PP/3K1P2/8/8 b - -,d6c5
8/8/8/p2r2p1/K1R3P1/P3k3/8/8 w - -,c4c3
2r5/pp4pk/3Bb2p/1P5q/6nP/5QP1/P4P2/3R1BK1 w - -,d1e1
2r2rk1/np2bpp1/q3p2p/1b1pP3/p2P3P/2BBQNP1/PP3P2/R2R2K1 b - -,b5d3
2r3k1/rn1bqpbp/2p2pp1/1p1p4/3P4/1PNNP1P1/P2Q1PBP/2RR2K1 b - -,c8b8
2r3k1/p4pbp/2QB2p1/2P1p3/3p4/6PP/P4PK1/4R3 b - -,c8c6
r2q1rk1/p1n1p1bp/1n1p1Pp1/1PpP4/4BPb1/2N2N2/PP2Q1PP/R1B2RK1 b - -,e7f6
8/pp6/2p1kpp1/3p4/3P2P1/1PP1KP2/P7/8 b - -,g6g5
r2k1b1r/1p1qp1p1/p1p1bpBp/3p4/3P4/2P1PP1P/PPQ3PB/R4RK1 b - -,e6g8
1r4k1/2pb3p/1p1n1r2/p1pP1p2/2P1pP2/2N5/PPB3PP/1R2R1K1 w - -,b2b3
r4rk1/pp2n1p1/2nq2Pp/3pp2Q/5P2/1N1BP1Nb/PP3R1P/R5K1 b - -,e5f4
1r3k2/6pp/4Pp2/3P4/8/1p5P/6P1/R5K1 w - -,g1f2
8/8/5n2/pp6/4k1p1/1P2N3/P3K3/8 b - -,g4g3
3r2k1/pp4p1/7p/1P2N3/P2B1n2/2P2Pb1/7R/6K1 w - -,h2a2
8/8/4r1kp/1R3p2/5K1P/6P1/5P2/8 b - -,e6e4
2r1k1r1/3b1pb1/3pp2p/pp2P3/3N1q2/2NQ4/PPP3P1/1K1R3R w - -,h1f1
r3r1k1/1b1q2pp/pp2p3/2b2pP1/2PpPP2/3B1R2/PB2Q2P/3R2K1 w - f6,g5f6
r1bq1rk1/5ppp/p1np1b2/1p5n/4P3/2NB1N2/PPPB2PP/R3QR1K w - -,e4e5
8/1r4k1/2b3p1/R1BnN1Pp/1p2p2P/8/1K6/5B2 b - -,c6e8
1rb2rk1/4qpbp/2npp1p1/pp2n3/4PBN1/1NP3P1/PP2QPBP/R2R2K1 b - -,a5a4
2b2rk1/1p4np/1q1p4/1P1Pb3/4Pp2/1N1B1Q1P/4N1P1/2R4K b - -,c8d7
8/3b1p2/r1pkp1p1/1p4Pp/r2P1P2/PR2P3/1KR1B2P/8 w - -,c2c3
rnbq1rk1/ppp2ppp/8/3p3n/3P4/P1P1PP2/2Q3PP/R1B1KBNR b KQ -,f8e8
r4rk1/2q2ppp/8/1p1p4/3B1n2/2P2P2/P2Q2PP/R3R1K1 w - -,d4e5
8/7R/4k1p1/p2p4/3Bp1PP/2P1K3/r7/8 b - -,a2h2
4rk1n/p5p1/1p4R1/1Pb4P/3p1P2/3B1K2/P2B4/8 w - -,g6c6
1b1r1rk1/5ppp/2R5/4p3/4P3/2P1BP2/1nB2P1P/1R4K1 b - -,b2d3
5rk1/1b2qppp/pb6/3p4/Q2Bn3/6P1/1P2PPBP/2N2RK1 b - -,e7e6
6k1/2n1pr1p/3p4/2pP1p2/1p5P/1Pr3P1/P4PB1/4RRK1 w - -,e1e3
8/1p5p/3k4/p5p1/P2RK1P1/4P2P/8/1r6 b - -,d6e6
8/4k3/p5p1/p1pP1p1p/2K2P1P/1P3P2/8/8 w - -,c4c5
3r1rk1/ppq1ppbp/2p2np1/3P1n2/2P2B2/2N2NP1/PP2QP1P/R2R2K1 b - -,c7b6
2r3k1/1p2q1b1/r2p2p1/4pp1p/1PP5/1BN5/P3QPPP/3R2K1 b - -,g8h7
4rbk1/3R1N1p/2p5/p4RP1/4p3/4K3/PPP3r1/8 b - -,g2g3
r2q1r1k/1bppb2B/pp2p1Q1/6p1/1PPn4/P1N2PN1/3B3P/R4RK1 b - -,f8f6
2r4r/pppbqBbk/3p1n1p/5p2/PP1PpN2/2P3P1/Q4P1P/R1B1R1K1 b - -,d7e8
5k2/5p1p/4p1p1/1Bp1P3/8/8/r5PP/5RK1 w - -,b5c4
4r1k1/7p/p4pp1/1p1n1P2/3Pr1P1/PP2p3/4R2P/2B1R2K w - -,h2h3
3r1r1k/pp2b1pp/2npq3/3Np3/2Q5/2P5/PP1N1PPP/3R1RK1 b - -,d8c8
brrq2k1/3nbpp1/pp1ppn2/7p/NPPNP3/P3BP2/3Q2PP/2R1RBK1 w - h6,d4b3
4r3/2Q3k1/5p2/5qp1/3P2nP/8/5PP1/2R3K1 b - -,g7g6
4bR1k/2n3qp/1p1r2p1/p1pPp3/2P1B1P1/P2N3P/1P6/5R1K b - -,g7f8
2k2r1r/pp6/1bpp4/3q4/4QR2/1PPP2Pp/1P5B/4R2K b - -,f8e8
2R5/pr1r1p1k/4p1p1/4Q2p/R2p3P/1q1B2P1/5PK1/8 b - -,b3d5
2r1k2r/p2bppb1/q2p2p1/1p4Bp/3NP3/2N4P/P1PQ1PB1/3R2K1 b k -,c8c4
1krr4/pp2bpp1/1nn1p1p1/q2pP3/3P2P1/NR2B2P/PP3P2/1R1Q1BK1 b - -,b6c4
r1bq1rk1/p2n1ppp/1ppbpn2/3p4/2P3P1/1PN1PN2/PBQP1P1P/R3KBR1 b Q g3,c8b7
1qr2k1r/p3bppp/1p2pnn1/1Q1b4/3P4/1P3NP1/PB1N1PBP/2R2RK1 w - -,f3e5
4r1n1/2kbqr2/1p1p1p2/pPpPn1p1/2P1P1Pp/4QN1P/P2NR1B1/5RK1 b - -,e5g6
3q2k1/p2p2pp/1pr1pb2/8/3PR3/4QN1P/PP3PP1/6K1 b - -,d8c7
rn1qkb1r/pp1b1p1p/4pp2/2pp4/3P4/4BN2/PPP1PPPP/R2QKB1R b KQkq -,c5d4
4rrk1/pp3q1p/3bb1p1/3p1nB1/8/1B5P/PP1QNPP1/4RRK1 w - -,e2d4
7r/8/3k4/8/4KR1P/8/8/8 w - -,e4f3
1r1q1rk1/ppp1nppp/3b4/3p1n2/3P2b1/1QN1PNB1/PP2BPPP/R4RK1 w - -,c3a4
8/p2r1p2/4rnkp/R5p1/R2p4/P2P1BPP/4PP2/5K2 b - -,e6e7
r2q1rk1/pp1nbppp/2p2n2/4p3/2N1P1b1/5NP1/PPP2PBP/R1B1QRK1 b - -,d8c7
r2r2k1/1b3pbp/1p2p1p1/p1p3P1/3PpP2/2P1PN1P/PP6/R3BRK1 w - -,f3e5
3R4/5ppk/p1r4p/P7/8/1pr1P1P1/5P1P/R5K1 w - -,d8b8
8/5qk1/1p2p2p/p2nP3/P1NP4/5QPK/8/8 w - -,f3e2
r4rk1/1b2ppbp/6p1/1p1p4/1qnP4/1N1BP3/2Q1NPPP/R4RK1 w - -,b3c5
2r4r/p3kpp1/3p1q2/np1p1P2/3PpR2/1PP1P3/P2NQ1P1/2R3K1 b - -,a7a6
r3qrk1/1b2ppbp/pp1p1np1/2p5/P2Pn3/2P1PN1P/1P1NBPPB/RQ2R1K1 w - -,e1c1
r2q1rk1/pb2bppp/3p1n2/2p5/4P3/2N1NP2/PP4PP/R1BQ1RK1 b - -,f8e8
r2qr1k1/pp3pb1/2p1pnpn/3p3p/1PPP4/4PBP1/PBQN1P1P/2R2RK1 w - -,a2a4
r3rn2/p1q2pk1/2pbpnp1/1p2N2p/2PP1P1P/P2R2R1/1PB1Q1P1/4B1K1 w - b6,d3c3
rnbqkb1r/pp3ppp/2p2n2/3Pp3/8/1B1P4/PPP2PPP/RNBQK1NR b KQkq -,c6d5
5rk1/4R2p/p2p4/3P4/4B1p1/1N4P1/Pb2nPK1/8 b - -,e2c3
3Q2k1/1b2rpp1/2p2bp1/8/3P4/5P1P/P4PK1/8 b - -,g8h7
r2nk2r/pp1bppbp/1q3np1/2BP4/8/PNN5/1PPQ1PPP/2KR1B1R b kq -,b6c7
8/1p2n3/2n1k3/P2pPp2/P1pP4/2B5/3K4/3B4 w - -,d2e3
8/B2n1p2/4k3/1P1pb1pp/8/5PP1/2N2K1P/8 w - -,f2e3
3B4/8/2p5/p3kp2/PbP4p/1P3K2/6P1/8 w - -,f3e2
r3k2r/3bnppp/pp2p3/n1qpP3/3N1PP1/2PBQN2/PP5P/1K1R3R b kq g3,a5c4
r2qnrk1/1pp1ppbp/p1np2p1/8/2PPb3/1P2NNP1/PB1QPPBP/R4RK1 w - -,f1d1
r1bq1r2/pp3pkp/1np1pnp1/8/3PP3/1PN2NP1/P1Q2PBP/R4RK1 b - -,d8e7
8/5pk1/p3b1p1/1p1n3p/7P/P2N1P2/1P1rB1P1/4R1K1 b - -,d5e3
rnb2rk1/p3ppbp/2pp1np1/qP4B1/3PP2P/2N5/PP1QBPP1/R3K1NR b KQ -,c6b5
r1bqkb1r/pp3ppp/2n1pn2/3p2B1/8/4PN2/PPP2PPP/RN1QKB1R w KQkq -,c2c3
1r1q1rk1/1p3p1p/p5p1/3Q4/4N3/8/Pb3PPP/3R1RK1 w - -,d5b3
4rrk1/pR4pp/4q1n1/8/Q4p2/2P2N2/PP3PPP/R5K1 b - -,g6e5
6n1/1pQ1q2k/p1p2npp/3p4/P2P4/1PP4P/6P1/2B2NK1 w - -,c7f4
8/7R/1P2k3/2n1bp2/6p1/8/4KP2/8 w - -,h7h6
r1bq1rk1/ppp3bp/2n1p1p1/3P1p2/3Pn3/3BPN2/PP1N1PPP/R1BQR1K1 b - -,e6d5
r4r2/3n1ppk/p1bq1b1p/4p3/1pPNP3/1P4Q1/PB1N2PP/3R1R1K w - -,d4c6
2rr2k1/1b4np/3qpN2/2b3P1/3N4/2p1Q2B/PR6/K2R4 b - -,g8h8
r1bqk2r/4bpp1/pQ2p2p/3p4/N2BnPP1/8/PPP1B2P/2KR3R b kq -,c8d7
r3r1k1/1pq2pb1/p2p1np1/2pP3p/2PpPP2/5BP1/PPQN3P/4RRK1 b - -,e8e7
8/1bPk4/3Np2p/4P1p1/5pP1/5K1P/8/8 w - -,d6b7
4nr2/6k1/3p3p/p1pP2p1/PnP1NbP1/5p1P/5P1B/1B3R1K w - -,h2f4
r1b5/2q3k1/3pP1pr/p1nP2p1/Ppp1P1B1/7P/1PPQ4/R4RK1 b - -,c5e6
4r1k1/1R5p/6p1/p2q4/2P5/P5PK/7P/8 w - -,c4d5
r2qrnk1/p1pb3p/1pn2bp1/2Pp4/3P4/PP1BBRNP/3QN1P1/5RK1 b - -,f6h4
3rr1k1/pp3qpp/2p1p3/3n3Q/2pB1P2/P1Pb2PB/5R1P/4R2K w - -,h5g5
r1r3k1/p3pp1p/n1P2bp1/B7/4n3/5N2/P3NPPP/1R3RK1 w - -,f1c1
8/1p5r/8/P5P1/2P5/3K4/5Pkp/1R6 b - -,g2f2
2R5/5ppk/4p3/7p/8/P5P1/r4P1P/6K1 w - -,c8a8
