2k5/1pp3p1/p7/2R5/8/2P2K2/PP5P/1r6 w - -,b2b4
r2q1rk1/2pb2b1/1p2p2p/n2p1p2/p2P2pP/3BP1P1/PPPQN1P1/1KNR3R w - -,e2f4
r1q1kb1r/pp1n1pp1/2p1p2p/4Pb2/2BP3P/P1N5/1P3PP1/R1BQ1RK1 w kq -,g2g4
2r3k1/5p1p/6p1/1p1Pp3/1r2P1PP/p2RP3/P7/K6R w - -,d3a3
2k4r/ppq2pp1/4pn1p/4N2P/8/6P1/PPP1QP2/2KR4 w - -,d1d4
3r1r1k/1p4qp/p1p2pp1/P2b4/3P4/2PBR2P/2PQ2P1/1R4K1 w - -,c3c4
1kr4r/pp1qbp2/3p1n2/4pNp1/PPPpP1Pp/3P3P/4QPB1/R4RK1 b - a3,f6h7
1B1b4/2p2k2/3p4/1P1PpK2/4P3/8/8/8 b - -,f7e7
2r4k/8/pp1p4/2pPb1N1/P1P3K1/8/8/5R2 b - -,h8g7
3rk2r/Q3b1pp/p3p3/1p5P/2p1n2q/2P4P/5PB1/1RB2RK1 w k -,a7a6
4k3/2Q5/2p1p3/2p1n3/p4q2/6N1/5PK1/8 w - -,c7c8
7k/1pp3pp/5pb1/p5Q1/8/3r3P/RB1N1P2/6K1 b - -,f6g5
b7/p1B4p/P7/1Pp2kp1/5p2/7P/2r2P1K/R7 w - -,h2g1
r1b2r2/1p3k2/p1p5/q1Pn2Q1/PbBP4/6P1/1P1N1PP1/3RK3 w - -,g5f4
r4rk1/ppp2ppp/1nn1p3/4Pq2/1bPP4/2N2P2/PP3B1P/R2QKB1R w KQ -,d1d3
r3r1k1/1bq1bpp1/p1p1p2p/4P3/Pp2N3/3BP3/1PQ2PPP/2RR2K1 w - -,e4d6
r2q1rk1/1p2bppp/p1b1pB2/8/PnBP4/1QN2N2/1P3PPP/R3R1K1 b - -,g7f6
1r1nnrk1/3bq1pp/p2p4/1ppPpp2/2P2P2/PP2P2P/1BQNB1P1/2K1R2R b - f3,a6a5
5rk1/p2qb3/2r4p/3bBpp1/2pPp3/2P1R3/P1Q2PPP/3R1BK1 w - -,c2a4
1rbq1rk1/p3nppp/1pn1p3/2p5/Q7/2NP1NP1/PP2PPBP/2R2RK1 b - -,d8d7
3q1rk1/5p1p/3pb1pQ/4p3/rp2P3/1P1R1PN1/2P3PP/2K4R b - -,a4a2
r1q2rk1/1pp1bppp/1n1p4/3Pn2b/p1P2P2/1PN1B1Q1/P3B1PP/2KR3R w - -,e2h5
5k2/2R3p1/1p2B2p/b7/p7/P2Pp1P1/1P6/6K1 b - -,e3e2
8/8/r7/1pK2k2/5p2/1P1P4/P7/R7 b - -,f4f3
2r3k1/1p3pb1/4p3/p3P1p1/P3R1P1/1rN3p1/1P1R2P1/5K2 w - -,f1e2
1n2r1k1/2p2p1p/1p1br1p1/p3p3/q3P3/P1P3BP/1P1NQPP1/3RR1K1 b - -,d6f8
r5k1/2b1rppp/pp2b2P/4p1P1/4N3/1N3P2/PPP5/2K3RR b - -,e7e8
4r2k/p3q3/bpp1p1Qp/4P1p1/2pb1N2/PP6/R4PPP/3BR1K1 b - -,g5f4
1k1rr3/p1pq2p1/bpnbp2p/3n1p2/3P3P/2P2BN1/PPQBNPP1/1K1RR3 w - -,f3d5
r1bqk2r/pp3p2/2n1p2p/2ppP3/3P1Pp1/2P3P1/P1PQ2P1/R3KBNR w KQkq -,d4c5
5rk1/3r2pp/1qp5/p3p3/Pp1bp3/7P/1PP2PP1/R1N1QRK1 w - -,e1e4
4r1k1/R5R1/3r4/1p3p2/1b4p1/4P1P1/5PKP/8 b - -,g8h8
3q3r/1p1bk2r/p1nbpn2/3p1p2/3P1Pp1/P2BP1P1/1PQBNNK1/R6R w - -,h1h7
r3k2r/2q2pp1/p1pbbn1p/1p2p3/4P2Q/1N6/PPP1BPPP/R1B2R1K b kq -,e8e7
3qr1k1/pp3ppp/3r1n2/n2p4/3P1Nb1/1PN1P1P1/P2Q1RBP/5RK1 w - -,h2h3
3b1k2/pr3p2/4n1p1/R1p1P2p/7P/P3P1B1/r2N1PP1/3RK3 w - -,a5a6
2bk1n2/1p2q1r1/3p4/2pPp1p1/PpP1B1P1/1P3N1Q/4K2R/8 b - -,d8c7
8/B7/8/5p1p/4p2P/1r1k2P1/5PK1/8 w - h6,a7c5
r2q1rk1/2p1bppp/p4n2/1p1pN2b/1n1PP3/1B2B3/PP1N1PPP/R1Q1R1K1 b - -,d5e4
rn3rk1/p5p1/4pb1p/8/3pN3/3B4/PP1q1PPP/2R1K2R w K -,e1d2
4k2r/1b3p2/p2pp3/6q1/1p1NP3/2nP1B2/P1Q4P/K6R w k -,d4e2
r2qkbnr/pp1bpppp/2Bp4/8/3QP3/5N2/PPP2PPP/RNB1K2R b KQkq -,b7c6:d7c6
1r4k1/p1q3p1/7p/3R4/7P/B2RP1P1/r4P2/3Q2K1 w - -,d5d8
r2q1rk1/p5p1/1n1p3p/2pP1P2/1n1b1P2/R7/1P1NB1PP/2BQ1R1K w - -,e2f3
r3b1k1/p4qp1/1pn1p2p/3pPpB1/2pP1P1P/P1P2Q1K/1RP3P1/7R w - -,g5h6
2b5/1p3rkp/p5p1/2PpP3/B2P1p2/1R3Pb1/1P1B3r/3R2K1 b - -,f7f5
7r/2k2p2/pp2p1p1/4P2P/q1Pp1PP1/3P1K2/3Q3R/8 b - -,g6h5
3r1b1k/1ppr2pp/1n3p2/p2Np3/3PP1PP/1PP1K3/4N3/3RR3 w - -,d5b6
2r5/pp4p1/3p2k1/3P4/4P1bP/5rn1/PPK5/2R1B1R1 w - -,e1c3
r3q1k1/pppr2p1/6Bn/3p3N/1Pb4Q/2P4P/P4PP1/R5K1 w - -,g6e8
r2r2k1/1bqnbppp/ppn1p3/2p1P3/2P2B1P/2N2NP1/PP2QPB1/R3R1K1 w - -,a1d1
r1b2rk1/pp1nqpb1/3p2pp/2pP4/2P1PQ2/2NB1N1P/PP3PP1/R4RK1 w - -,c3b5
r1bq1rk1/2pnppbp/p1np2p1/1p6/P2PP3/2NBBN1P/1PP2PP1/R2QR1K1 b - a3,b5b4
rnbqkb1r/ppp1pp1p/5np1/3p4/8/1P2PN2/P1PPBPPP/RNBQK2R b KQkq -,f8g7
8/6pk/1P6/2n2K2/3N1p1p/8/6P1/8 b - -,h7h6
rn3rk1/pp1n1pbp/2pp2p1/4p1N1/2PP4/1P2N1Pq/PB2PP1P/R2QR1K1 b - -,h3h5
r1bq1rk1/2p1nppp/1pn1p3/p7/PbpP4/2B2NP1/1P2PPBP/RN1Q1RK1 w - -,d1c2
r3kr2/pp1bnp2/2n1pBp1/3pP1Np/q1pP3P/P1P5/2P1BPP1/R2QK2R b KQq -,e8c8
r1b1rnkb/2q2p2/p2R2p1/1p2p3/8/P1N1BN2/1PPQ1PP1/2K4R b - -,e8e6
8/3k1p2/2pr2p1/R7/2P2nNP/5P2/8/5K2 b - -,f7f5
7R/6k1/6p1/5p2/4pP2/1b2P1PK/8/8 w - -,h8b8
2kr3r/5pp1/1qp1p3/B6p/2PP1Pn1/4b2P/PP2B1P1/R4R1K w - -,a5b6
b7/4k3/B1pbpn2/2Np1p2/1P1P2pP/2B1P1P1/6K1/8 b - -,f6h5
1r1q2k1/2p2p2/pb1p1n2/1p1Prb2/P3P2B/2N2Q2/1P3PPP/R3R1K1 b - -,d8e7
r2q1rk1/pp1nbppp/2p1p1b1/P3P3/3P4/1BB5/1P2QPPP/R3NRK1 b - -,b7b6
4r2q/p4pk1/n3b1p1/1p1p1pN1/nPpP1BP1/2P5/2Q1B2P/R5K1 w - -,e2f3
1r3rk1/1p3pbp/p1bpqnp1/6B1/4P3/2N3P1/PP1Q1PBP/3RR1K1 b - -,f6e8
4r3/1p2r1bk/p1p2R2/2Pp1p2/1P3P1q/2Q3RP/P3N1B1/6K1 w - -,g3g5
r1b1k2r/pp1nppbp/2pp2p1/q7/3PPPn1/2N1B3/PPPQ2PP/1K1R1BNR w kq -,e4e5
r1bqk1nr/ppp1n1bp/3p4/3Ppp2/2P1P3/2N1B3/PP3P1P/R2QKBNR w KQkq -,d1h5
8/p4pkp/3r2p1/1bN5/1P3P2/P1KpP3/5P1P/3R4 b - -,d6d5
8/1N2k3/1p2p1p1/2nnP3/p6P/P2R1NP1/2r2P2/5K2 w - -,b7c5
1r2r1k1/2p2ppp/2P2q2/p1BPp3/4Pnb1/P4Nb1/KPQ3P1/3R1B1R w - -,f1c4
5rk1/1bq1b2p/p2pp1pP/1p3rP1/6R1/1nN1B3/PPPQ1P2/2K3R1 w - -,a2b3
3q4/p4r1k/1pp1R2p/2p5/2Pr1p1P/1P3RP1/P3QPK1/8 w - -,e2c2
1r1qr1k1/2n1ppbp/3p1np1/1ppPPb2/2P2B2/1PN2N2/4BPPP/R1QR2K1 b - -,f6e4
r1b2rk1/pp2qppp/2np1n2/2pPp3/2P5/2PBP3/P2N1PPP/1RBQ1RK1 b - -,e5e4
2kr4/5pb1/b1n1p2p/ppq1P1p1/2p3N1/2P2NP1/PPB1QPP1/K6R b - -,d8d7
5r2/6k1/7p/1B3Rp1/8/2b2KP1/2P4P/8 w - -,f5f8
2r3r1/3bkp2/p3p3/np1pP1pP/6R1/2PB4/P1PKNP1P/1R6 b - -,a5c6
k7/1p2n1p1/p7/2r5/8/P3PN1P/1P1R1P2/1K4r1 w - -,f3g1
3r4/1k1b1p2/1p6/p3PP1p/Pqp5/2Np2P1/1P1Q2P1/4RK2 b - -,d7a4
R7/8/8/1k6/p2p3P/5PK1/3r2P1/8 b - h3,d2d1
2r2rk1/pb2qppp/1pn1pn2/2p5/8/PP1PPN2/1Q1NBPPP/2R2RK1 w - -,c1c2
1R2k3/8/3n2p1/2pPp3/7p/2P1P2P/r2p1KP1/3R4 b - -,e8d7
4rrk1/pppb1ppp/3q1n2/3p1n2/3P1N2/2PB2QP/PP1N1PP1/R3R1K1 w - -,g3f3
2r3k1/qpr1nppp/p3pn2/P2pN3/1P1P1P2/2PQ2P1/3N3P/R3R1K1 w - -,e1c1
3r4/5pp1/pp5p/2p1kP2/P7/1P1P2K1/1r6/3R4 w - -,g3g4
2r3k1/p1qn1pb1/3r2p1/3p3p/pP3P2/2P3PP/1B2Q1B1/2RR3K w - -,g2d5
2r2rk1/p1q2pp1/3bpn1p/2p5/2PP4/2Q3P1/P2B1PBP/2R2RK1 b - -,c5d4
2rq1rk1/1b1n1pp1/pp1ppb1p/8/1P2P3/2N2N1P/P2Q1PP1/1BR1R1K1 w - -,e1d1
8/3b1pk1/r4qpb/1ppPp2p/2p1P3/2P4P/1PB1QPP1/3R1NK1 b - -,h6f4
1r1qr1k1/p4pp1/4bn1p/2p5/1P1p1Q2/2PB2NP/P4PP1/R3R1K1 w - -,b4c5
8/R7/5kn1/5p2/7p/5K1P/8/8 b - -,g6e5
6k1/2p1rp2/3p1np1/rB1P3p/1p1PP3/7P/1P2RKP1/4R3 w - -,b5c4
3r3k/1p1qrpb1/p2n2pp/P1p1p3/8/1BPPRN1P/1P2QPP1/R5K1 b - -,d6f5
7B/1r5b/7R/3k4/2p5/K7/8/8 w - -,h6h5
8/8/8/2p2kp1/6R1/5P1r/3K4/8 w - -,d2e3
1n2r1k1/3rbppp/pp1pp3/2q5/P1PN4/1P4P1/R3PPBP/1Q1R2K1 b - -,a6a5
r2qk1nr/ppp2ppp/1bnpb3/8/4P3/1NN1B3/PPP1QPPP/R3KB1R b KQkq -,g8f6
2k5/ppR2pp1/2p2n2/5P2/2q2BQP/2P5/PP3P2/2K5 b - -,c8d8
8/8/7P/4p3/6K1/2k1r3/6P1/8 b - -,e3e1
r4rk1/6pp/bnNbp3/p2p1pB1/1P1P4/6P1/P3PPBP/1R3RK1 b - -,a5b4
1kr4r/pp2qp1p/2p1b1p1/3p3n/Q2P4/3BPN1P/PP3PP1/K1R4R b - -,h5f6
8/8/6R1/7p/2p3r1/2k5/8/1K6 w - -,g6h6
6k1/p1b2pp1/4p2p/1pq5/8/P4N2/1PP1QPPP/6K1 b - -,e6e5
r2k1b1r/pp2p1p1/n1p1P1pp/3p4/1qnP1BPP/1N1B1P2/2P1QK2/R6R b - -,a6c7
1k4r1/pbpnqp2/1p1pp3/8/2PPP2p/P1N5/1P2QPP1/1K1R1B2 b - -,e7g5
r1b3k1/pp3pp1/5n2/2p3p1/3q2P1/6PP/PPP3BN/R1Q3K1 w - -,g1h1
1r2k2r/p2bppb1/2pp2pp/7n/4P3/6P1/PPPB1PBP/R2N1RK1 w k -,a1b1
rn2k2r/pp2bppp/1qp2n2/3p2B1/3P4/2NbP1N1/PPQ2PPP/R3K2R w KQkq -,c2d3
3Q4/4nppk/2q2b1p/8/2P1p3/1PN1B1P1/4BP1P/6K1 b - -,e7g6
r2q1rk1/5ppp/p1npb3/1p2p3/4P3/4NP2/PPP3PP/R2QKB1R w KQ -,d1d2
5k2/p4ppp/3pp3/8/8/1KP1P3/PP3PPP/8 b - -,f8e7
3r3r/1pk1n2p/p2p3b/3Pp3/2N2pP1/2P4B/PPK2P1P/3RR3 b - -,h6g5
1qr2rk1/3nppb1/p2p2p1/1p1P2Pp/3B1P2/3B3P/PPP2Q2/1K1R3R b - -,g7d4
4b3/4kp2/4p1p1/1p4P1/pn1P4/4PP2/1P2B3/2N1K3 b - -,b4d5
3rr1k1/bp5q/p3p2p/2pnP1p1/3pQ3/3P1N1P/PP1BRPPK/R7 w - -,h3h4
rnb2rk1/ppb1q1pp/2p1pn2/2Pp1p2/1P1P4/2N1PNP1/PB3P1P/R2QKB1R w KQ -,f1g2
3r1rk1/pp2pqbp/2n1bpp1/8/1n1N2PQ/1P2P3/PB2NPBP/R2R2K1 b - -,c6d4
r2qkb1r/1b1n1ppp/pn1pp3/1p4P1/3NP3/2N1BP2/PPPQ3P/2KR1B1R w kq -,d2f2
1r6/5kpp/1r2b3/3p2q1/3P1n2/1BP1NR2/P2Q2PP/R2K4 b - -,f7e7
r1bq1r2/p1n1ppbk/1pn3pp/2p3N1/8/P1NP2P1/1P1BPPBP/R1Q2RK1 b - -,h6g5
2kr3r/ppb5/2p5/8/2P1B1R1/P2p4/KP3q2/R1BQ4 w - -,e4d3
1r2b3/5pk1/4nnpp/1ppN4/P3P3/1P1B1N1P/5PP1/4R1K1 w - -,a4a5
1rb2rk1/3qbppp/3p1n2/1ppNp3/2BnPP2/1P1P3P/1BP1NRP1/R2Q2K1 w - -,d5f6
r1bq1rk1/1p1pnpbp/p3p1p1/2p5/2PnP3/2NPB1P1/PP1QNPBP/R4RK1 b - -,d7d6
r1bqkb1r/pp1p1p1p/2n2np1/2p1N3/2PPp3/2N1P3/PP3PPP/1RBQKB1R b Kkq -,f8g7
r2b1Qk1/pppn1pp1/3p3n/3N4/P2Q1Pq1/6p1/1PP2P1P/R3RBK1 b - -,d7f8
5rk1/ppq2ppp/2n2n2/2R3rb/3Pp3/PN2P2P/BB1Q1PP1/5RK1 b - -,g5g2
rn2k2r/ppqbnpp1/4p2p/3pP2P/2pP4/P1P2N2/2P1BPP1/R1BQK2R b KQkq -,d7a4
r1bq1rk1/ppn1bppp/3p1n2/2pPp3/2P1P3/P1NBBP2/1P1QN1PP/R4RK1 b - -,f6d7
r3q3/1b3rk1/p2pp2p/1p2n1pQ/2PRP1N1/6PP/PP6/1B4RK b - -,e5g4
2rr2k1/pp2bppp/3qp3/1Ppn4/8/1Q1P1BP1/P1RBPP1P/2R3K1 w - -,d3d4
2rq3r/p1p1kp2/2pp1N2/4P2p/2b2Pp1/2Q5/PP3P1P/2KR2R1 b - -,c4d5
2rqr1k1/pb1nbppp/1pp1p3/8/2PPp3/1P4P1/PB1N1PBP/2RQR1K1 b - -,f7f5
3k1r2/p1p1rb2/3p2pR/6P1/P4P2/1P2R3/7P/6K1 w - -,e3g3
7r/2r1ppk1/1p1q2n1/1QpPbBp1/1P2P3/5PP1/2R2BK1/2R5 w - -,b4c5
4r1k1/1pb2pp1/5n2/p1P1q2p/1PQ1p3/2P1N1PP/P1B2P2/3R2K1 w - -,c2b3
2r3k1/p4pb1/4p2p/nB3p2/3P3B/2P4P/P2R1PP1/6K1 w - -,d2d3
r5k1/1pq3bp/2pp4/p2PpbnQ/2P5/7P/PP3P2/2R2RK1 w - -,h5g5
8/6P1/1pk4K/p6p/P6P/1P6/8/3q4 w - -,g7g8q
2r3k1/5pbp/p3b1p1/2r1P3/2p5/4PPB1/P1R3PP/2R3K1 w - -,f3f4
2r1rbk1/p4p2/1p3npq/1N5p/4p1bP/PP2P1P1/1B1R1PB1/1Q2R1K1 b - -,g6g5
r5k1/p1n1prbp/1p1p2p1/8/2PNR3/1P4P1/PB3PKP/3R4 w - -,d1d2
r2qk2r/1p2bppp/p1n1pn2/3p2B1/3P4/2NBP3/PP2QPPP/2R2RK1 b kq -,e8g8
8/pp2kp1r/2p1b3/6P1/8/6N1/PPP5/3N2K1 b - -,h7g7
rnbq1rk1/pp3pp1/2p2n1p/3p4/1b1P3B/2N1PN2/PPQ2PPP/R3KB1R b KQ -,c8e6
rnbq1rk1/p4ppp/1P2p3/1N1pPn2/8/5N2/PPPQ1PPP/R3KB1R b KQ -,d8b6
5k2/r3q1pp/bp6/p1bB1p2/3B1P2/PP4P1/3Q3P/2R3K1 w - -,d4c5
1k6/1p4R1/p1p5/2K5/1P6/2P3p1/1P6/6r1 b - -,b8a7
5k2/1B5p/p2p1B2/1b6/1b3P2/3R2PP/2q5/3R3K w - -,d3d4
r1b1kN1r/pp1nppp1/1qp2n1p/8/3P4/3B4/PPP2PPP/R1BQK1NR b KQkq -,d7f8
r3nrk1/2q1b1p1/1pp1Pp1p/p2p4/3N1P2/PP1QP3/1B4PP/3R1RK1 w - -,e3e4
4r1k1/5p2/3Q2p1/2nPp2p/2P2q2/2P4P/6K1/6B1 b - -,c5d3
8/8/R5P1/4p3/6r1/pP2k3/8/5K2 w - -,a6a3
4r3/p1q2k1p/2P5/2R1pQ2/3p4/8/1r3PP1/4R1K1 b - -,f7g7
2r3k1/p1P2p1p/1r4p1/1P1pp3/8/1PR1P3/4KPPP/7R w - -,c3c5
r5rk/1p1N1q1p/p2p4/2pP1PB1/Pn4R1/5B1P/1P2Q2K/8 b - -,g8g5
1br1r1k1/1p3ppp/p4n2/3p1Q2/P2Pq3/NP2P3/3B2PP/R4RK1 b - -,b8d6
4b1k1/r2q4/3p1P2/2p1p1P1/2P1P3/1P3K1Q/2B5/8 w - -,h3h2
1r1q1rk1/1pb2ppp/p3p3/1p6/2nPb3/PQB2NP1/4PPBP/R3R1K1 w - -,a3a4
5r2/3r4/pp3Bpk/4P1Np/4K2P/1n6/PPP5/3R4 w - -,d1d7
4rr2/ppp3bk/2np1q2/7p/2P1pP2/2N1B2P/PP1Q2P1/1R2R2K w - -,c3d5
6k1/1p4p1/2p4p/3r1P2/Pb4P1/r3B3/P1R1K2P/5R2 b - -,d5e5
5q2/p5r1/4pk1p/2p1p1pP/2P5/1P2QPP1/P2R4/6K1 b - -,f8e7
8/5Qpk/6Np/p1q1N2P/P4P2/6K1/3r1P2/8 w - -,g6f8
8/6k1/6r1/4P3/8/4K3/5R2/8 b - -,g6g4
4k3/8/2r5/2P1K1R1/8/4Bb2/8/8 w - -,g5g1
8/6R1/4p3/ppr1B2k/5P2/bP1K4/P7/8 w - -,g7g2
4Q3/3r2p1/p3bk2/8/Pp2p2P/1Pq2N2/5PP1/4R1K1 w - -,e1e4
1r1q1rk1/1ppbppbp/p1np1np1/6B1/2PPP3/1PN2P2/P3N1PP/2RQKB1R w K -,d4d5
r3b1k1/3n2p1/p1p2r1p/2p1Rp1P/5N2/3P2P1/PPP2P2/R1B3K1 w - -,e5e1
rnbq1rk1/p1p1bppp/1p2pn2/3p2B1/2PP4/2N2N2/PPQ1PPPP/R3KB1R w KQ -,h2h4
6r1/8/8/8/4k3/7K/8/8 b - -,e4f4
6k1/p6p/6p1/8/3b4/6P1/3N4/7K b - -,g8f7
2rq1rk1/3nbppp/bp2p3/p2pP3/Pn1P4/R4N2/1P3PPP/1BBQRNK1 w - -,h2h4
5R2/2k5/6pp/p7/P7/5p1P/2B3q1/2K5 b - -,g2g1
2rq1rk1/p2p2p1/1p1Ppn1p/2n5/2P4P/P1B2N2/1P2BPP1/3QK2R w K -,f3e5
2kr1b1r/pppq2pp/2n1p3/3n1p2/2QP4/4P1P1/PP3PBP/RNB2RK1 w - f6,b1c3
8/3r4/5pk1/8/2K5/8/6R1/8 b - -,g6f7
8/5Rp1/6k1/8/5K2/1r3PP1/8/8 w - -,f7e7
r4rk1/pp2ppbp/1qn3p1/4Pb2/3NQP2/2P5/PP4PP/RNB2RK1 w - -,e4e3
8/pp3pkp/8/PP6/2q5/6P1/3pKP1P/1RbR4 w - -,e2e3
r3r1k1/p1qn1ppp/2pppn2/8/2pP4/PP4P1/1BQNPPKP/R3R3 w - -,d2c4
rn1qr1k1/2pp1ppp/bp3n2/p2P4/1b6/PPN2NP1/3BPP1P/R2QKB1R b KQ -,b4c3
r2qkb1r/1p1b1p2/p1npp2p/6P1/3NP1nB/2NQ4/PPP1B1PP/2KR3R b kq -,h6g5
4rr1k/2Rb1qnp/p2p2pB/3Pp3/4PpnP/6P1/P1Q2PB1/3NR1K1 w - -,h6g7
r1b1kb1r/ppq2ppp/2nppn2/8/3NP3/P1N1B3/1PP2PPP/R2QKB1R w KQkq -,f1c4
8/5r2/8/8/7p/5K2/7k/5R2 w - -,f3e2
