8/1p3R2/p7/P2N4/2K3k1/8/8/7r w - -,f7f4
rn2kb1r/pp3ppp/1qp1pn2/5bB1/N1QP4/5N2/PP2PPPP/R3KB1R b KQkq -,b6a5
8/4pr1k/7P/2pP2K1/2P1R3/8/8/8 w - -,e4e6
r3r1kb/1bqnpp1p/p1pp1np1/1p6/3PPB2/2PB1N1P/PP1QNPP1/R4RK1 b - -,c6c5
8/p5k1/1p1Ppp2/3qP2K/6p1/6P1/P3QP2/8 b - -,f6f5
3r2k1/1Qp3pp/3q1n2/3Ppp2/1P6/8/1PK2PP1/3RB3 w - -,e1c3
rq3rk1/p2n1ppp/3bpn2/1p6/3BP3/2N2Q1P/PP3PP1/R2B1RK1 w - b6,d1e2
8/2r4k/1p6/8/1p6/P4pP1/3R1Kb1/8 w - -,a3b4
r1b1r1k1/p2n1ppp/8/3n4/1B1P4/1P1B1N2/6PP/R1R3K1 w - -,b4d6
r2qkb1r/1pp1n1pp/p3p3/3pp3/3nP3/1BN5/PPPP1PPP/R1BQK2R w KQkq -,d2d3
5b2/p7/2p1R1kp/1p4P1/5K2/8/P7/8 b - -,g6f7
6k1/1pp2pp1/5n2/3P1b1p/P7/2N2P2/3r2PP/2R2BK1 w - h6,c3b5
4Q3/3P4/6k1/7p/1P6/6PK/8/3q4 b - -,g6f5
8/4k3/4p3/1R6/3K4/1P3P2/5r2/8 w - -,d4e3
1r3rk1/p2n1pp1/4p2p/2p5/2PnN3/1P1B3P/P4PP1/2RR2K1 w - -,d3f1
r2q1rk1/b2b1ppp/p2p4/1ppPp3/2P1P3/1P2B1P1/P4PBP/R2Q1RK1 w - -,f2f4
r3r1k1/1bqn1ppp/p1pb1n2/1p2p3/P2PP3/2NBBN1P/1PQ2PP1/R2R2K1 b - a3,a8c8
1n1q1rk1/1p2bpp1/p2p1n1p/P1rPp3/2P5/1P3N1P/1B3PP1/R2QRBK1 b - c3,c5a5
b2r2k1/6pp/4r3/1PB1p3/2P1P1q1/7Q/P3P1B1/1R4K1 b - -,g4h3
8/5ppp/1R1Pp1k1/4P3/8/4KP2/3r4/8 b - -,d2d1
2r2rk1/n2bqpbp/1p2p2p/pP1pP3/3P4/PR3N2/3QBPPP/1N3RK1 w - -,b1c3
r1b2rk1/1p3ppp/p2p4/3R3n/q3P3/4QP2/BP3P1P/2R3K1 w - -,a2b3
5rk1/1pqnbppp/2p5/p1n1pP2/P3P1Q1/1P4NP/1BP2P2/R4BK1 b - -,d7f6
2rq1rk1/4npp1/p3p2p/1p6/3P4/1QP2N2/P4PPP/2R2RK1 w - -,f3e5
rn1qk1nr/pp3Bpp/2p5/8/3pP1b1/5N2/PPPN2PP/R2QK2R b KQkq -,e8f7
2kr3r/pp1nq1bp/1np5/4pp2/3P4/2N1B1QP/PP2BPP1/2KR3R w - -,e3g5
3n4/5k2/r2pRpp1/p1pP4/2P2PP1/1P1K4/3N4/8 w - -,e6e1
r1b2rk1/p4pb1/n1pp1ppp/qp6/4P3/P1NP4/BPPQNPPP/R4RK1 w - -,e2g3
qr4k1/2rnppbp/b2p1np1/2pP4/8/1PN1PNP1/PBQ2PBP/R2R2K1 b - -,a8b7
r1b1k2r/ppppbppp/6n1/2qNP3/4Q3/8/PPP1BPPP/R1B2RK1 w kq -,c1e3
2R5/5r2/8/8/2b5/2k5/8/3K4 w - -,c8e8
1k1r2r1/1ppbq2p/p7/P3p3/2Pn2pP/3P2B1/1P2B2P/R2Q1R1K b - -,d7c6
3r1k1r/5ppp/Q3pn2/1BPq4/Pp2N3/4B3/1P3PPP/n4RK1 b - -,f6e4
2b5/4r1k1/pr1p1pp1/2pP3p/2P1PP1P/RP2RK2/5N2/8 b - -,b6b8
2r4r/2b2pk1/1p2n1pp/pPp1p1q1/P1NpP1QN/3P2P1/2P2P1P/4RR1K w - -,g4h3
3r2k1/4bppp/pq3n2/1pp5/5B2/P3P2P/1PQ1BPP1/3R2K1 b - -,c5c4
2rrq1k1/pb3pb1/1pn1p1pp/4N3/3P4/1P2Q3/PB3PPP/1BR1R1K1 w - -,b1e4
r2q1rk1/p2bppbp/1p3np1/nP1p4/8/3P1NP1/PB1NPPBP/R2Q1RK1 w - -,a1b1
b3k2r/3p2pp/4pp2/1B6/5n2/8/PP4PP/R3K2R w KQk -,e1c1
7r/1p6/2bp4/p3kPp1/P1P1p3/1PN5/3R1P2/3KR2r b - -,h1e1
2r3k1/5pp1/p1b4p/8/4PP2/nPN5/P1P1R1PP/6K1 b - -,c6b7
1r1q1rk1/1p2ppbp/pn1p1np1/2pP2B1/2P3b1/1PNBP3/P1QN1PPP/R4RK1 b - -,g4c8
r1bqr1k1/pppp1ppp/8/2bNn3/2P5/4P3/PP2BPPP/R1BQ1RK1 b - -,a7a5
2r1rbk1/1p3ppp/5n2/pP1P4/2nNp1q1/P1N1P1P1/4QPKP/B1RR4 b - -,f8a3
3r1rk1/p4p1p/1p4P1/bBp5/6Q1/2P5/Pq4PP/4RRK1 b - -,h7g6
6k1/6p1/p7/2r5/P6B/1P3P1P/3R2PK/1b6 w - -,b3b4
r4rk1/1q3ppp/3pb3/pB1Np1b1/R1P1P3/8/1P3PPP/3QK2R b K -,g5d8
6k1/1b1Rrr1p/p5p1/2P1qpP1/2QN4/4p3/PK6/3R4 w - -,d7e7
3rb1k1/1p3p1p/1Np1p1p1/8/p1R5/1n3BP1/1P2PP1P/6K1 b - -,d8d4
r1b1kb1r/1pq2p1p/p1nppp2/8/3NPP2/2N5/PPP1B1PP/R2QK2R w KQkq -,d4b3:d1d3
6k1/6pp/p2r1p2/1p1P1q2/3Q4/1P3P1P/P5P1/3R3K w - -,d4e4
r4rk1/pp1n1ppp/1q2p3/3pPn2/3P1P2/1P1Q4/PB4PP/RN2K2R b KQ -,a8c8
8/4k3/8/5p1B/7n/1P6/8/5K2 w - -,f1f2
r4rk1/1p3p1p/2ppb1p1/2n1b1P1/p1P1P3/2N1BP2/PPR1B1P1/3R2K1 b - -,f8b8
rn2kb1r/1b1p1ppp/4pn2/2pP4/2B5/1qN1P3/PP1B1PPP/R3K1NR w KQkq -,c4b3
r2q1r2/1p2ppkp/p2p2p1/n1pP4/2P1b3/1P3NP1/P2QPPBP/R4RK1 b - -,b7b5
3r2k1/p2rqpp1/1p2p2p/1Ppn4/P1R5/QR1PPB1P/5PP1/6K1 b - -,e7d6
4b1k1/P3r3/2q5/8/3Q3R/6P1/5PP1/6K1 w - -,h4h8
1r6/8/4pk2/RP1n2p1/7p/6PP/1P1R1PK1/8 w - -,d2e2
8/1kp5/p1b3RQ/p1q5/1r6/2N5/1PP4P/K7 w - -,h2h4
r1bqk2r/ppp2pp1/2n2n1p/3p4/Qb1P3B/2N2N2/PP2PPPP/R3KB1R b KQkq -,g7g5
8/7p/6p1/3k4/3q1P1P/3p2P1/3Q2K1/8 w - -,g2f3
r3k1r1/pp2bp2/4q3/2p1p2Q/2PpPPn1/1P1P1P2/P2BN3/R3K2R b KQq -,g4e3
3rr1k1/4b1pp/pq4b1/1p1pp1P1/2pP1PB1/P1N1P3/1P5P/2RQR1K1 w - -,g4f3
2kr1br1/ppp1np2/4pn2/1P3qpp/P1PP4/4BN2/4QPPP/RN1R2K1 b - -,h5h4
2r5/1p2ppk1/3p1b2/pNrP1q2/P1P2P2/1P3Kp1/4Q3/6RR b - -,g7f8
8/2p5/1pPp1k2/1P1P3p/5P1P/3B1KP1/8/4b3 w - -,f3g2
8/p1kbp3/3p4/1ppP3B/5p1b/P1PP4/1PK2P2/3N4 w - -,h5f3
2r5/4k2p/p2p3b/1p1Pp3/5r2/3Bp3/PP2K1PP/3RR3 w - -,e1f1
3r1k2/5pp1/1p1rn2p/p6P/4P3/P1RPK1R1/1P6/3B4 b - -,b6b5
r1bqnrk1/1p1n2bp/p2p2p1/2pPpp2/P1P1P3/R1N1BP2/1P1Q1NPP/4KB1R w K f6,e4f5
6k1/8/4p3/5p2/ppNb1K2/7P/PP6/8 b - -,g8f7
2rr2k1/pp2bpp1/1qn1pn1p/3p4/3P4/2PNB2P/PP3PP1/RNQ1R1K1 b - -,b6a6
8/2p1r1pk/1p1p3p/1P6/5P2/8/6KP/2R5 w - -,g2f3
3nr1k1/1p3r1p/pP1q2pQ/P4P2/3pbN2/3p2PB/7P/1R3RK1 w - -,f4h5
7r/1p1Rrpk1/2pR2n1/6q1/1P2PpN1/5Q2/P3BP2/5K2 b - -,h8h4
r1bq1rk1/pp1n2b1/2p3pp/4pp2/2P5/2N2NP1/PPQ1PPBP/R4RK1 w - f6,e2e4
r5k1/p4pp1/1p2pn1p/8/4b3/P1R1P1P1/1P1NBPP1/6K1 b - -,a8d8
r2r2k1/ppp3bp/1n2pqp1/n7/3P4/2N1B1P1/PPQ1NP1P/3R1RK1 w - -,b2b3
r2q1rk1/5pp1/p4n1p/1pp5/3pP3/P2P2N1/R1PQ1PPP/5RK1 w - -,g3f5
1r5r/2p5/2kn2p1/4ppNp/4P2P/1p4P1/P1P2P2/3RR1K1 w - -,c2b3
2bq1rk1/p3ppbp/1r4p1/2p5/5P2/2PBQN2/PP3RPP/R5K1 w - -,d3c4
r2q1rk1/4ppbp/5np1/pp2Bb2/3P4/1B2PN1P/P4PP1/2RQ1RK1 w - -,e5c7
r4rk1/pp2ppbp/3p1np1/2q5/4PP2/2NPBR2/PP4PP/R3Q2K b - -,c5b4
1r1q1rk1/p4pp1/bp3n1p/3N4/2PPp3/1Q2P1P1/P4PBP/R4RK1 b - -,f6d5
r1bqr1k1/ppp2ppp/2n5/2b5/3p4/2P2NP1/P1P2PBP/R1BQR1K1 w - -,e1e8
1r1qk2r/p1p1npb1/2npb1pp/3Np3/2P3P1/2Q2N1P/PP1BPPB1/R3K2R b KQk -,e7d5
r1b1k2r/p2nbppp/2p2n2/qp2p3/3PP3/2N1BQ2/PPP1B1PP/2KR2NR w kq -,d4e5
1r4k1/Rp3pp1/3Nb1qp/1PPnp3/1nQp3P/3P1BP1/5P2/4N1K1 w - -,d6b7
