7k/R6p/8/5p2/3p4/2r5/P1P3PP/6K1 b - -,c3c2
1rbr2k1/2q1bppp/1pnpp3/p1n5/2P1PP2/P1N1BR2/1P1NB1PP/2RQ2K1 b - -,e7f6
5k2/8/6pp/1p2p3/p3P3/n5P1/PNK4P/8 w - -,c2c3
8/p3k2p/1pprprp1/2n5/5P1P/1P2R1P1/P1P1B3/3R2K1 b - -,d6d1
r3k2r/1pp2bpp/pn1b1q2/5p2/1P6/P1NBP2N/2Q2PPP/R2R2K1 b kq -,e8g8
2rqk2r/pp2bppp/2n1bn2/4N3/2Pp1B2/6P1/PP3PBP/RN1Q1RK1 w k -,b1d2
r4rk1/ppp2ppp/2n2n2/2q1p3/8/2BB1Q1P/PPP2PP1/4RRK1 w - -,b2b4
r1bq1rk1/pp2ppbp/3p1np1/8/3NP1P1/1PN1BP2/1PP4P/R2QK2R b KQ -,c8d7
r1b2rk1/pp1pp1bp/5np1/q7/2PN4/2NQB3/PP3PPP/R4RK1 w - -,h2h3
r4k1R/1bpqnpb1/pp1p1np1/3P2p1/P1BB4/2N2N2/1PP1QP2/2KR4 b - -,g7h8
8/6kp/p1B3p1/1p6/1Pp4b/P3Q1PP/1q6/3K4 b - -,h4f6
2kr2nr/ppq2ppp/2n1N1b1/2bpP3/5PP1/2N1B3/PPP4P/R2QKB1R b KQ -,f7e6
2r1b2r/2q1k3/1pn4P/p1b1PBp1/P1N3P1/1P2p2Q/1B6/2RR2K1 w - -,c4e3
1n6/p3kp1p/1p2p1p1/1P1p2P1/PNnP1P2/4P3/5K1P/3B4 b - -,e7d6
r3n1k1/1p1qpp1p/pQ1p2p1/3P4/4P3/1P3P2/P3B1PP/2R3K1 b - -,a8c8
8/5ppk/p7/1p1pP1BP/1P1P2PK/8/4b3/8 w - -,g5d2
8/8/3k4/5K1p/N6P/5bP1/8/8 w - -,a4c3
1knr1r2/pppq2pp/3p1n2/P7/4PN2/1P1PB3/2P3PP/R2Q1RK1 w - -,h2h3
r5k1/1p3bpp/2pr4/p1n5/2P5/P4NP1/1P3PBP/3R2K1 w - -,d1d6
r3k2r/pp1qppbp/2n2np1/3p4/3P4/P1N1BN1P/1PP2PP1/R2QK2R w KQkq -,f3e5
8/p3r1kp/3R1p2/1P2p1q1/4Q2p/2P4P/1P3PPK/8 b - -,f6f5
2r2rk1/1p1qbppp/pB1pb3/N3p1P1/4Pn1P/2N2P2/PPPQ4/1K1R2R1 b - -,c8c3
4k3/1p3p2/p5p1/3p4/4p1QP/bNr5/P2RK1B1/6q1 w - -,g4g5
2rq1rk1/pp1n1ppp/2pbpnb1/3p4/2P3P1/1P1PPN1P/PBQNBP2/R3K2R w KQ -,h3h4
r2qk2r/pppbbppp/2np1n2/1B6/3NP3/1PN5/P1P2PPP/R1BQ1RK1 b kq -,e8g8
r3r1k1/p2q1pb1/npp3pp/3p4/3P1N2/1BR1P1Q1/PP3PPP/2R3K1 b - -,g6g5
r4rk1/pb1q2pp/1pp1p3/3pP3/2P1np2/1P4P1/PBQ1PPBP/R4RK1 w - -,f2f3
r4rk1/1ppq1ppn/p1n2b1p/4pN2/4P3/1P1P1N1P/1PP3P1/R1BQ1RK1 w - -,c1e3
3qr1k1/1pp3bp/3pn1b1/3N1p2/1PPn1P2/4B1R1/3QB1PP/3R2K1 b - -,d4e2
2k1r3/ppp3bp/4pnp1/1P2nbN1/2Pr4/4N1P1/PB1P1PBP/1R3RK1 b - -,d4d8
4r1k1/2q3bp/p7/2p1p3/2P4P/2BPR1P1/4Q1K1/8 b - -,a6a5
6k1/p7/1n5p/p1N2p2/3R3P/2P5/1P3P1K/2r5 b - -,c1c2
r2q1rk1/3nbppp/b3pn2/P2p4/8/NNB1P1P1/5PBP/RQR3K1 b - -,a8b8
3r2k1/pp3p1p/4pbp1/8/B3nN2/6P1/P4PKP/3R4 w - -,d1c1
3r1rk1/pbq1ppbp/1p3np1/4n3/3P1P2/3B2N1/PP2Q1PP/R1B2RK1 w - -,d4e5
r1b2rk1/1pq1bppp/p2ppn2/8/2Pn4/1PN3P1/PB2PPBP/2RQ1RK1 w - -,d1d4
8/2b1Bp2/2k1p3/p3P2p/Pp2K2P/1P3P2/8/8 w - -,e7f6:e7g5
2k5/8/8/1NP5/2K2p2/4rP2/4n3/7R b - -,e2g3
r2qk2r/pbpn1pp1/1p1ppn1p/8/2PPP2B/P1P2P2/6PP/R2QKBNR w KQkq -,f1d3
r2qr1k1/1p3pb1/2p1p1p1/p5P1/Pn1PQP2/1P3N2/2P1B3/2KR3R b - -,b7b5
rnbqk1nr/ppp1bppp/4p3/3p4/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,g8f6
4bk2/pp2pp1p/8/2PQbq2/2B5/2P4P/P3N1P1/6K1 w - -,d5b7
r1bqk2r/pp1n1ppp/2pb1n2/3pp3/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 w kq -,f1e1
2qrn1k1/1p3pb1/6pp/2P1p3/N1QB3P/1P4P1/P4PB1/3R2K1 b - -,e5d4
8/PR6/6pk/5p1p/3K1P1P/r7/8/8 b - -,g6g5
r4rk1/1bq2ppp/p1nppn2/2p5/Pp2P3/1P1P1NP1/2PN1PBP/R2QR1K1 b - -,a8d8
6k1/Q7/6qP/p7/PpNpr3/1P4bP/3B2P1/7K w - -,a7a5
r4rk1/pb2qppp/1p3n2/2pp4/3PN3/P1N3P1/1P2PPBP/2RQ1RK1 b - -,d5e4
r1bq1rk1/pppp1ppp/2nb1n2/1B6/3PPP2/2N5/PPP3PP/R1BQ1RK1 w - -,e4e5
r2qk2r/pppb2pp/2n1p3/2npP3/8/5NN1/PPP2PPP/R2QKB1R w KQkq -,d1d2
5r2/5pk1/2p3pp/2n5/2N1P3/6P1/4PP1P/1R4K1 b - -,c5e4
2b1r1k1/7p/p5p1/B1pPp1Q1/2PqP3/8/7K/5R2 b - -,d4e4
6k1/1p2pp1p/2b1n1pb/4P3/2P5/rNpP2BP/4BPP1/3R1K2 w - -,b3a1
8/1p4k1/8/1P1bR3/P5p1/6P1/3r3P/R5K1 w - -,e5d5
2kr1br1/1b3p2/p2p1P2/2q3B1/1P1R2PP/2p1Q1R1/P1P5/2K5 b - b3,c5b5
2rr2k1/2q2ppp/p3pb2/1pP5/4b3/1Nn3P1/PP1QPPBP/2R1NRK1 w - -,d2e3
r3rbk1/2p2ppp/8/p1BRPb2/1p3P2/2N2N2/1PP2KPP/R7 b - -,b4c3
r4rk1/1p2pp1p/p2pbnp1/q7/2P1PP2/1PNB4/PQ4PP/4RR1K b - -,f8e8
r6r/p2pkppp/1p1N1n2/2b1q3/2Q2p2/5BP1/P1P4P/3R1K1R b - -,e5e6
8/2b3rk/2P1p2p/5p2/3q4/5QN1/7P/1R5K b - -,d4c5
r2q1rk1/pb1nbppp/1p3n2/2pp4/2B5/1PN1PN2/PB3PPP/R2Q1RK1 w - -,c3d5
3b1k2/pp3pp1/4p2p/3r4/2rP4/5NP1/PP1R1P1P/3R1K2 w - -,d2d3
8/8/2K1k3/5p2/3R1P2/3P1r2/8/8 w - -,d4d6
rn3rk1/pb3pb1/1ppppqpp/3P4/2P1P3/P1NB1N2/1P3PPP/2RQ1RK1 b - -,b8d7
2r2rk1/3bqpbp/3ppnp1/pN6/PpP1P3/1P2BP2/3QN1PP/2R2RK1 b - -,d6d5
rnb2r1k/1p1nqpp1/p3p1Np/2ppP3/3P2QP/2NB4/PPP2PP1/R3K2R b KQ -,f7g6
r2q1rk1/pp2npbp/2n3p1/2pp4/5B2/2NP2PP/PPPQbPB1/R4RK1 w - -,c3e2
rnb2rk1/pp1n2pp/2pb1q2/3pp3/3P4/1NP1BN2/PP2BPPP/R2Q1RK1 w - -,d4e5
3rnk2/1p2bppb/p3p2p/4N3/4P1P1/1P2KP1P/PB2B3/2R5 b - -,f7f5
r4rk1/2p3pp/b1n1p3/p1q1Pp2/1p3B1P/2P3R1/PPB1QPP1/2K4R w - -,e2e3
3n4/6k1/3p1pp1/p1pP4/1rP2PP1/RP3KN1/8/8 w - -,g3e4
r1b2r1k/1pq2nbp/5pp1/pBp1p3/P1Q1P3/2P1BN2/1P3PPP/R2R2K1 b - -,b7b6
2rq1rk1/1b2ppb1/1n1p3p/p2P2pP/Pn2P3/1Q2BN2/4NPP1/1BR1R1K1 w - -,e2g3
r1bq1rk1/pp1n1nbp/2pp1p2/4p1p1/1PPPP2B/2N2N2/P2QBPPP/3R1RK1 w - -,h4g3
rnbq1r1k/ppp3bp/3p1np1/4pp2/1PP5/1QN2NP1/PB1PPPBP/R3K2R w KQ -,e1g1
r2q1rk1/ppp1b1p1/2n2p1p/1B3b2/5pQN/2PP3P/PP3PP1/R3R1K1 w - -,h4f5
8/4bp2/2r3k1/Rp6/P3N2p/1K3P2/8/8 w - -,a4b5
r4rk1/pp3ppp/3pbq2/8/3P2Pb/7P/PP1Q1P2/RN2RBK1 b - -,h4g5
r1bq1rk1/1p3pb1/p1p1pn1p/6pP/2NP4/2N1PQB1/PP3PP1/2KR3R b - -,f6d5
3r2kq/8/1p2ppp1/pPn1B2p/4P2Q/1P3P2/P2R2PP/5B1K b - -,d8d2
6Q1/8/5p2/3pqk1p/6pP/6P1/8/7K w - -,g8h7
8/p3qk2/1pb1pnn1/2p2ppp/2P5/P1B1PP2/1PQ1BNPP/6K1 w - -,f2d3
r1bqk2r/p2nbppp/1pp1p3/3PP3/8/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,c6d5
2r2rk1/1b1nbpp1/pq1ppn1p/1p6/3P4/P3PNBP/1PQNBPP1/2R2RK1 w - -,c2b1
8/1k5p/8/1pK5/6P1/1rp4P/R7/8 w - -,c5d4
q3k2r/3bnpb1/3p2p1/1p6/3NPP2/rP2B3/P1RQ2B1/4K3 b k -,a8a5
r3nrk1/1pp1Bp1p/p5p1/3P4/8/P1PB1P1q/2P1Q3/5RK1 b - -,h3g3
2r2rk1/1p1b4/pP2p1pp/3pR3/P7/1NP5/5PPP/R5K1 b - -,c8c3
1R6/2rb3p/5ppk/1N6/2p4P/2K1P3/5PP1/8 b - -,d7b5
3rr1k1/1p2qp2/2p1n1p1/Q2p3p/1P1P4/2N1PPP1/P4BP1/1R4K1 b - -,d8a8
2bq1k1r/5p2/p2p2n1/p1pPp1Pp/PrN1P3/1P3PP1/2PN1R2/R1Q3K1 b - -,h5h4
3r1bk1/p4r2/4n1p1/4pp1p/1Q2P3/2Nq1PPP/PB4K1/1R3R2 w - -,b4b3
r2r2k1/1b3ppp/p1N1p3/P7/1PnNP2b/2P5/4B2P/R1K3R1 b - -,b7c6
6k1/1r3p1p/4p1p1/3n2P1/R2P4/4P2P/3N1P2/6K1 b - -,g8g7
1Rr1q1k1/B1P2p1p/p4rp1/3Qp3/2P5/6P1/5PKP/8 b - -,g8g7
4k3/1r2pp1p/p5p1/N1K5/PP6/6PP/5P2/8 b - -,b7b8
rnbq1rk1/pppn1pbp/3p2p1/4P3/8/1PN2NP1/PBP1PPBP/R2QK2R b KQ -,d6e5
1r4k1/2p1q1pp/4ppb1/8/3P4/2QNP2P/5PP1/R5K1 w - -,d3f4
3q1rk1/1r4pp/p2Pp1n1/1pb1P2Q/2p2P2/2P2RP1/PP1B3P/R6K b - -,b7d7
r5k1/1p3ppq/2p1n2p/p7/1PbP4/2N1P1Q1/P2R1PPP/4R1K1 w - a6,b4a5
2qr2k1/5pbp/pp1p1Pp1/2p2P2/2P2BP1/2N4b/PP1Q4/4R1K1 w - -,f6g7
rn1qkb1r/1p3ppp/p4n2/4pPB1/3p4/2NQ4/PPP2PPP/2KR1B1R b kq -,f8e7
5k2/7p/p1p5/2P5/4Np1p/1P1K1n2/P7/8 b - -,f3e5
8/1pkn1p2/p3p3/P1N2p2/2PK1P2/3B4/6b1/8 w - -,c5d7
r3k3/pp1b2bB/nq3P2/2pPN1p1/2r2p1P/P7/1PQ2P2/2K3RR w - -,e5c4
r7/3nk1pp/p1n2p2/3Rp3/1p2K2P/1P4P1/2P1N3/3R4 b - -,a8a7
5rk1/bp1q1p1p/r3n1p1/PR1pPp2/3p1P2/3Q1N2/2PB2PP/R6K w - -,a1b1
8/5p2/6p1/3Kp1k1/4P3/6P1/8/8 w - -,d5e5
rnbq1rk1/pp3pb1/3ppn1p/2pP2p1/2P1P2B/2NB4/PP2NPPP/R2QK2R w KQ -,h4g3
8/8/5k1p/2pP4/6P1/8/7P/6K1 w - -,h2h4
r1bq1rk1/pp2bpp1/n3pn1p/2P5/2p4B/2N1PN2/PPQ2PPP/R3KB1R w KQ -,f1c4
2rq4/5RQ1/pk1p1p1p/2p1pP1B/P1PnP3/1P6/3B1nKP/8 b - -,f2e4
2r2rk1/pp1nppbp/3p2p1/3n4/4PP2/3BBK1P/PPP3P1/R2R4 w - -,e4d5
6R1/2b4p/2bk1p2/6p1/6P1/7P/5P2/6K1 w - g6,g8h8
7k/2b2Bp1/p6p/4PP1n/2p4q/4QP1P/P3R1KB/1r6 w - -,f3f4
r3k2r/2qbbpp1/p1nppn2/1p5p/3NPP2/P1NBB2P/1PP2QP1/R4RK1 b kq -,h5h4
rnbqk2r/ppp1ppbp/3p2p1/6B1/3PP1n1/2N5/PPPQ1PPP/R3KBNR b KQkq -,f7f6:h7h6
3r4/1p1n1k2/2b1p1p1/RP6/3p1P1P/6P1/1P2RK2/8 b - -,c6d5
r1b1r3/1p3kpp/p2q2n1/1P1Ppp2/Q7/B2B4/P4PPP/R4RK1 b - -,d6d8
r1b1k2r/1pq1bp2/p2ppn1p/4n1P1/3NP1PB/2N2Q2/PPP4P/2KR1B1R w kq -,f3f4
r1bq1rk1/pp1n1ppp/3ppn2/2p3B1/2PP4/P1Q1P3/1P3PPP/R3KBNR w KQ c6,f1d3
r1bq1rk1/1p2ppbp/n1p3p1/p2n4/P2PP3/2NB1N1P/1P3PP1/R1BQ1RK1 b - -,d5b4
6k1/R7/pr6/2n2NK1/6PP/8/8/8 w - -,h4h5
1k6/1pp3pp/p4n2/5Q2/1qP5/1P2N2P/P4PP1/1K6 w - -,b1b2
R2q1bk1/5ppb/7p/8/3pn3/3N2P1/5PBP/6K1 w - -,a8d8
2b3k1/1r1p1rpp/1qp1p3/p7/2P5/1P1B2Q1/P4PPP/4RRK1 b - -,d7d5
r6k/pp1rNpp1/1np2n1p/3p1P2/3P2P1/2N2P1P/PP2R1K1/4R3 b - -,b6c4
r1b1kbnr/pppp1ppp/8/6q1/3pP3/2P5/PP1P1PPP/RNBQKB1R b KQkq -,f8c5
8/3k1rpp/1p2p3/p1p1P3/P5P1/1PRP4/6KP/8 w - -,g2g3
5b1r/pp6/2n1kp2/3p2p1/3P2P1/5NB1/PP3P2/2KR4 b - -,f8b4
r1bq1n1r/1p3k2/1bp2P1p/3p1BpP/1P1P1PQ1/2P5/4N1P1/1RB1K2R w K -,f4g5
6k1/1p3p1p/1p6/4r3/2Rpq3/P5P1/1P1QP2P/6K1 b - -,e4b1
1r1qnrk1/1p1b2b1/p2p2pp/2pP1p1n/P1P5/2NBBN1P/1P3PP1/R2QR1K1 b - a3,b7b6
6b1/8/2Pk2P1/pp6/3KB3/P7/8/8 b - -,b5b4
8/8/2R5/2PB1pnP/3P1k2/2r5/6K1/8 w - -,c6f6
2r3k1/1p1r1pbp/pBn1b1p1/6Q1/4NPP1/2PB3P/PKP5/8 b - -,c6b4
rnbq1rk1/ppp2ppp/4pn2/3p4/1bPP4/2NBP3/PP3PPP/R1BQK1NR w KQ -,g1f3:g1e2
r1b1r2k/pp1n2pq/4p2n/3pp1QP/2pP3N/P1P5/3BBP2/2K1R1R1 w - -,h4g6
6k1/1bp1Bp1p/1n4p1/4P3/4p3/N5QP/1qB3PK/8 b - -,b6d5
8/8/1p6/1Pb3p1/1rB4p/4k2P/2R3K1/8 w - -,c4e2
8/8/7K/p3k3/P1p3P1/2P5/8/8 b - -,e5e4
rn1qk1nr/pp1bppbp/6p1/1B2P3/8/2N2N2/PP4PP/R1BQK2R b KQkq -,d7b5
7k/6p1/p1p1Q2p/4Pp2/1P2pP2/P2qP2P/6P1/6K1 w - -,e6c8
3r2k1/p1p3pp/1p1p2r1/8/2P5/2N1R1P1/P4P1P/5RK1 b - -,g6g5
3rr1k1/pp3pp1/2pp1nbp/q3n3/1P1NP3/P4PP1/1Q2PBBP/2RR2K1 b - -,a5a4
1r3rk1/2qnbppp/b1p2n2/p1Pp4/3Pp3/2B1PNP1/P1QN1PBP/RR4K1 w - -,f3e1
5b2/p5pk/2q4p/2P2p2/8/P1R5/K1Q5/8 b - -,g7g6
1r5r/3kbpp1/7p/q1pp3P/p4P2/2P5/PPQ3P1/1RB1R2K w - -,c2f5
r1b1k2r/pp1nb1pp/1qn1pp2/2ppP3/3P1P2/P1PQ1N2/1P2N1PP/R1B1KB1R b KQkq -,c5d4
r3k2r/p2qbp2/1pn1p1p1/2ppPn1p/3P1P2/PPP2NPB/4bK1P/R1BQR3 w kq -,e1e2
r4rk1/p1n1ppbp/2p3p1/2B1P3/8/2N5/PPP3PP/2KR3R w - -,c5e7
r6r/1pqbbkp1/p2ppn1p/8/3NP1P1/2N4Q/PPP4P/2KR1B1R w - -,f1e2:f1g2
3r1r1k/p4p2/1p2qb1P/2pp1Q1R/5P2/P2PP3/3BKP2/1R6 w - -,b1g1
r1b2rk1/2qpbppp/p1n1pn2/1p6/3NP1P1/2N1BP2/PPPQ3P/1K1R1B1R b - -,c8b7:c6e5
4rrk1/1b1p1qp1/p2Ppn2/1p4p1/2p3PP/2P1R3/PPQ1BP2/2KR4 w - -,h4g5
8/8/R4pr1/1p2k3/1P2p1P1/P4PK1/8/8 b - -,e4e3
8/ppp1k3/5r1p/5K2/3P2P1/2P5/PP5R/8 w - -,f5e5
2rr2k1/pq3pbp/1p2pnp1/8/1PNNn3/P3PPP1/1B5P/1QR2RK1 b - -,c8c4
3r4/p1q1b1k1/2p1bnpp/1pn1p3/4P3/1PP1NP2/P1QB2PP/3R1R1K b - -,a7a5
8/p2r2pk/6R1/2p4P/P5P1/4B3/4bP2/6K1 b - -,c5c4
6Q1/ppkr4/2p2p2/2P5/7P/4q3/P5P1/3R3K w - -,d1d7
1r3r1k/2nR1ppp/p7/4PN2/Pq1P2P1/1B2Q2P/5P2/6K1 w - -,b3f7
r1br2k1/ppb1qpp1/2p1pn1p/2P5/3P4/3B1N2/PPQ2PPP/R1B1R1K1 w - -,a2a3
2kr3r/pppbb2p/4npp1/2q1p3/2B1P3/2P2P1N/PP1B2PP/2KR1Q1R w - -,c1b1
r1br2k1/pp1nqpb1/2p1p1pp/3p4/2PP4/P1NBPN2/1PQ2PPP/3R1RK1 w - -,f1e1
2kr3r/1pp2ppp/4b3/pP2P3/P6q/N4nP1/7P/R2Q1RK1 w - -,d1f3
1r4k1/2r1bpp1/nqp1p2p/p2nP3/Pp1P4/1N2BN2/1PR1QPPP/2R3K1 b - -,b8c8
r2qk1r1/1b1p1p2/ppn1p1p1/4P2p/5Q1P/2PB1N2/P1P2PP1/3R1RK1 b q -,c6e7
4r1k1/2p5/1p3pp1/p4q2/P1P1p3/1P3nPP/1B2QPK1/3R4 w - -,d1d5
3rn1k1/p2q2pp/1p1P1p2/2p1Q1P1/5B2/1P6/P4P1P/4R1K1 w - -,e5d5
1rbq1rk1/1p2n1b1/p2p1npp/3Ppp2/PP6/B1N2NP1/4PPBP/2RQ1RK1 w - -,b4b5
rn3rk1/1b2ppbp/1p4p1/2P3N1/2p1PB2/8/PP3PPP/2R1KB1R w K -,f1c4
1r2q3/2p1rkpp/b3pn2/ppPp1p2/3P1P2/P1PPR1P1/3BQ1BP/1R4K1 w - -,h2h3
rnbq1r2/ppp1npbk/3pp1pp/8/3PP3/2PBBN2/PP3PPP/RNQ1K2R w KQ -,e1g1
1q3bk1/2n2n1p/5pp1/2P2b2/2QP1p1P/1P6/1B1N1PP1/4R1K1 b - -,b8b7
r4q2/1p2n1bk/p1b1p1p1/2p1P3/2P2B2/2NB2P1/PP4P1/R2Q3K w - -,c3e4
8/4k2p/1r3p1p/4pP2/2R1P2K/6P1/8/8 b - -,e7d6
4B3/7p/1R2pp1k/3q1p2/3Pn2P/4P1P1/1r3P2/2R3K1 w - -,b6b2
8/p2r4/4kp2/PP1Npnp1/2p5/2K2P2/3R3P/8 b - -,d7d5
r3kb1r/ppp3pp/4p3/1P2Pb2/3Pp3/1QN1q3/1P2N1PP/R3K2R w KQkq -,b5b6
6k1/5p2/4b1p1/pBn4p/P1p5/3r2P1/2R1KP2/3N4 b - -,e6g4
r1b2rk1/1pq2ppp/p1n1pn2/2b5/P1B1P3/2N2N2/1P2QPPP/R1B2RK1 w - -,h2h3
4r1k1/pq3p1p/6p1/1pb1p3/4P3/3Q1NPP/1PP2P2/3R2K1 w - -,d3d7
r2r2k1/p3qppp/2bb1n2/1p1p4/2pP4/1P2P2P/PBB1NPP1/R2Q1RK1 w - -,f1e1
8/2p2pk1/ppn1qnp1/4p2p/1P2P3/2PNNPP1/P3Q1KP/8 w - -,d3c1
1q4k1/1P1npp2/6p1/3P3p/4Pb2/2Q4P/4B1P1/1R4K1 b - -,b8a7
r1b1r1k1/ppp2ppp/3p4/4q3/2PQ4/2P1P3/P3BPPP/R4RK1 w - -,f1d1
5r1k/1p2p3/p2p2Bn/2pP4/2P5/PR6/1P3PKP/8 b - -,h8g7
2r1r1k1/p5p1/1pp4p/4P1q1/2RP1n2/1N3P2/P2Q2PP/2R3K1 w - -,c4c6
1r1q1rk1/1p1bppbp/p2p1np1/8/P1PBP3/2N2PP1/1P4BP/R2Q1RK1 b - -,d8a5
r2qk2r/pb1nbppp/1pn1p3/2ppP3/7P/3P1NP1/PPP2PB1/RNBQR1K1 w kq -,c1f4
2rq1rk1/1b3ppp/1p6/2n5/3RP3/3B1N2/3Q1PPP/4R1K1 b - -,d8c7
6k1/5pp1/8/p7/Pp2n3/3rB2P/1P2rPP1/1R3RK1 b - -,e4d2
3r1k2/1p3ppp/1pp5/8/R2p4/1P3PP1/P3KP1P/8 b - -,f8e7
5rk1/p2q1pbp/3p1np1/8/2P1P3/1r2N2P/Q2N1PP1/4R1K1 w - -,a2b3
3r1k2/2p1R2R/2Bp4/P1n2p2/2pb1PP1/7P/1r4K1/8 w - -,g2h1
r4rk1/ppp2ppp/8/2pP1q2/2P1RP2/2P5/P1Q3PP/5RK1 b - -,c7c6
8/7p/p1p2k2/P1p2p1p/1rP2P2/2K1P3/5P2/7R w - -,h1h5
1r3r1k/1pR3pp/8/pNnPp3/P2p4/1P1n2P1/6BP/1R4K1 b - -,b8c8
3k4/4pp1p/qP1p1bp1/r1pP4/N1R5/1P1QP2P/4KPP1/8 w - -,g2g4
r1bqk2r/ppp2ppp/3p1n2/4N3/2B5/2P5/P4PPP/R1BQ1RK1 b kq -,d6e5
3rrbk1/pp1q1ppp/5n2/2np4/3N4/1PN3Pb/PBQ1PPBP/2R1R1K1 w - -,g2f3
3r1r1k/3q1pbp/1p1P2p1/pQ2p1Pn/P3N3/BB3P2/2P4P/1K1R3R b - -,f7f5
rnbqk1nr/pp2ppbp/3p2p1/2pP4/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,g8f6:c8g4
8/6k1/3R4/1p1p4/1P3r1P/2P1p3/4K3/8 w - -,d6d5
r4qr1/1ppb1p1k/1n1p3p/pP1Pp1pn/P3P3/2P1NBPP/2Q2P1N/R3R1K1 b - -,h5f6
rn2r1k1/pp3N2/2p1q1p1/2P2p2/3P4/1PN1P3/PB1Q2P1/2K4R b - -,e6f7
7r/4k1pp/4p3/2b2p2/8/5P2/PPB3PP/2K4R b - -,c5d6
r1b2rk1/ppp1qppp/3p2n1/3Pp3/1PP1Pn2/1N4P1/P1Q1BP1P/R3NRK1 b - -,f4e2
8/2k5/2n5/6R1/8/P3r3/KP6/8 b - -,c7b6
6k1/1r5p/2r2Np1/3q4/3p4/6P1/4P1BP/2Q3K1 b - -,g8g7
6k1/p1q2pp1/4r2p/PB6/4Pn2/4BPnP/R5PK/2Rr4 w - -,c1c7
r3kb1r/pp1n1ppp/2p1p3/3q4/3PQ3/2P3PP/PP3PB1/R1B2RK1 b kq -,d5e4
1kq2r1r/pb1n1p2/1Pn1p1pb/3pP1N1/3P1BP1/1QPB2N1/5P2/R3R1K1 b - -,d7b6
3rr3/pp1n1pk1/2pbpnpp/8/3P4/2PN1BP1/PP3P1P/R1BR2K1 w - -,a2a4
1r1b2k1/3n1p2/R1Bp1npp/3Pp3/1P2P3/5P2/N4BPP/6K1 b - -,d7b6
r2b2k1/1p1q2n1/r2p1p1n/PNpPp1pP/2P1P1P1/R3N1K1/3B4/R2Q4 w - -,d1e2
3r4/p3rkb1/Pp1nppp1/2pp4/3P1PN1/2P1PP1B/1P1R3K/R7 w - -,h3g2
3r1k2/1p3p1p/2p1p3/3n2q1/r2P4/P3PB2/5P1P/R1R1Q2K w - -,e1e2
5r2/pr5k/4B1pp/Pq2N3/1n2Q3/8/1P3PPP/2R3K1 b - -,f8f6
r5k1/r2bn1pp/3q1p2/pp1p1n2/1PpP2B1/P1P3P1/1R1N1PPN/R2Q2K1 w - -,a1b1
8/3k4/6K1/6P1/7R/8/6rp/8 w - -,g6f6
8/6bk/p5p1/3q1p2/P1N5/1P2Q2P/5P2/5K2 b - -,g7h6
