R7/2k5/p7/4Kp1p/6bP/1P2P3/P2n4/8 w - -,a8a6
2r5/1b2kpp1/p1rppn1p/1p6/4PPP1/P1N1B2P/1P2K3/2RR4 b - -,c6c4
r1bq1rk1/1p1nbppp/1npp4/p3p3/P2PP3/1BN1BN1P/1PP2PP1/R2QR1K1 b - -,e5d4:d8c7
2k5/2p2n2/1p6/p1pP1P2/P1P2P2/1P6/1KB2rp1/6R1 w - -,b2c3
rnbqk2r/1p2ppbp/p1p2np1/3p4/P1PP1B2/2N2N2/1P2PPPP/R2QKB1R w KQkq -,e2e3
2r5/pp2B3/7k/3Bn1p1/2P2p1n/5P2/PPK4P/6R1 w - -,e7g5
r5k1/1p3pp1/2p1n2p/P4q2/2bP4/2N1P1Q1/P2R1PPP/4R1K1 w - -,e3e4
r1q1r1k1/pb1nbppp/1p1p1n2/2pP4/4P3/2N1BNPP/PP3PB1/R2QR1K1 w - -,a2a4
8/pp6/1b3kpp/5p2/5P2/8/PP2KP1P/3B4 b - -,g6g5
r4k1b/p1R5/3NBnbp/Pp1pp1p1/1n6/4P1N1/PB3P1P/6K1 b - -,g6c2
8/4P3/p3r3/1p1k1p2/3pbK2/P6B/4R3/8 b - -,e6e7
6rk/1p1r4/p3p3/4p1q1/N1pbPp1p/P2R1Q1P/1PP2PPK/6R1 w - -,d3d2
4r1k1/5qp1/2b1pp2/1p5p/n7/3PQPN1/2P2NPP/1R5K b - -,f7g6
r3k2r/2pq1pp1/pp1b1nnp/3Pp3/P3P3/1QN1BP2/1P1N2PP/R3K2R b KQkq -,d7e7
3rr2k/1p4pp/1pb5/5pq1/8/3B1P2/PP1R1RPP/3Q2K1 b - -,e8e3
2r4k/pp2bq1p/1n2p3/n2pP1P1/3P1pP1/PP1Q1N1P/2rB2K1/R2N3R b - -,f7g6
8/P7/bk6/2p4p/2K3p1/3N2P1/7P/8 w - -,c4d5:c4c3
3r2k1/pq2ppbp/4b1p1/1P2n3/1P5B/3rN3/3NQ1PP/R1R4K w - -,e3f1
8/8/7p/3n1ppk/2pP1p2/2P2P1P/3B1P2/5K2 w - -,f1g2
rnbq1rk1/4bppp/1pp1pn2/p1Pp4/1P1P1B2/2N2N2/P1Q1PPPP/R3KB1R w KQ a6,f4b8
8/8/pp4r1/2pP1R2/2P5/PP1k4/5K1P/8 w - -,h2h4
5r1k/1pq2ppp/4pn2/8/2PQ4/1P6/4BPPP/3R2K1 b - -,h8g8
8/1p5p/3kp1p1/1b1p2P1/1P1P1K2/1B2P3/7P/8 w - -,b3c2
1r6/4p1kp/1q1p1pp1/4rP2/RnB1P3/1P5P/1P1Q2P1/4R2K b - -,b6b7
3r1r2/1k2p1b1/1p5p/n1p1P1pP/1p6/6B1/PP3PPN/1K1R3R b - -,a5c6
1n5r/4b1pp/4kpb1/1p1pPp2/1P1P1P2/8/3B2PP/R1R3K1 w - -,a1a7
r2qrbk1/1b1n1p1p/p2p1np1/1ppP4/P3P3/5NNP/1PB2PP1/R1BQR1K1 b - -,f8g7:c5c4:d7e5
rn1q1rk1/pbp1bppp/1p1ppn2/6B1/3P1P2/3BP3/PPPNQ1PP/R3K1NR w KQ -,g1f3
3rrbk1/2pnqp1p/1p1p2p1/pP6/2PPp3/B3P3/P1QN1PPP/2R2RK1 b - -,f7f5
r1bq1rk1/pppnnpbp/6p1/4p3/2P5/5NP1/PPQ1PPBP/RNBR2K1 b - -,c7c6
r1b1qrk1/ppp3p1/2P1pnn1/1P1p1p2/P2P3p/3N2P1/2Q1PPBP/R1B2RK1 b - -,b7c6
3rr1k1/pp3p1n/2p1n1pQ/4p1P1/4P3/2P1B3/PP2qPB1/R4RK1 w - -,f1e1
r2q2r1/1bpnbppk/1p1p1n1p/p2Pp3/1PP1P3/P2B1N2/2QBNPPP/R3R1K1 b - -,a5b4
r2qk2r/pb1p1pp1/1p3n1p/n1pP4/1b5B/2N1PN2/PPQ2PPP/R3KB1R b KQkq -,b4c3
r2q1rk1/pp2ppbp/3p1np1/2pb4/P1BnP3/3P1N1P/1PP2PP1/R1BQR1K1 w - -,e4d5
2r2rk1/1b1qbp1p/pp1ppnp1/8/PP1NPP2/2NP4/3BQ1PP/2R2R1K w - -,d2e3
r1b1r1k1/pp3pb1/n2p1npp/q1pP4/4PP1B/2N2N2/PP1QB1PP/R4RK1 b - -,c5c4
3r1bk1/2q2pp1/p3p2p/1p2p3/1N2P3/P4P1P/1PPR1QP1/7K b - -,f8b4
3r4/2br1ppk/R1p1n2p/1p2p1B1/4q3/1QP2N1P/1P3PP1/4R1K1 b - -,e4d3
r1bqk2r/pp3ppp/2nppn2/2p5/1bPP4/2N2NP1/PP2PPBP/R1BQK2R w KQkq -,e1g1
4R3/1q3pk1/5p2/pprr1P1p/3p2P1/1P1Q2P1/1PP5/4R1K1 w - -,g4h5
r7/4kp1p/4pp2/2n5/p1B2P2/2q1PQ1P/6P1/1R4K1 b - -,a8d8
2r2k2/5pp1/4p2p/R7/8/P5P1/5PKP/8 w - -,h2h4
3B4/5p1k/3pr3/8/1PR1P1R1/5P2/1r3bPK/8 w - -,d8g5
2r2r2/pbq1npbk/1pn1p1pp/1N6/1PP5/5NP1/3BPPBP/1RQR2K1 b - -,c7b8
r1bqk2r/p3nppp/2p1p3/2bp4/2P5/6P1/PPQ1PPBP/RNB2RK1 b kq -,c5b6
8/4k3/2bn4/p1N1p1p1/1p2Pp2/1P1B1P2/P3K3/8 b - -,d6b7
8/1R6/p3p1k1/3p1rp1/1P1n2N1/1P2KP1P/8/8 b - -,f5f4
R7/8/8/p2k4/5p2/1r6/1P3K2/8 b - -,b3b2
r1rn3k/1p1bq1pp/5p2/2p1p3/n7/PN1PPB2/2Q2PPP/1RR1B1K1 b - -,a8b8
r4rk1/p3p3/1p4p1/2pnQ3/P5qp/3P4/1PPB3P/R4RK1 w - -,g1h1
r1rn4/4qnkp/2pp1pp1/1p2p2P/1P1PP1N1/1BP3P1/3Q1PK1/R3R3 b - -,d8e6
1r3rk1/p3b1p1/n1n1p2p/3pPp1P/2pP4/P1N2NP1/1P1B1PK1/1R5R b - -,b8b3
1r3r1k/p5bp/bq1p2n1/2p2p2/5P2/2PPN3/P2Q1BBP/R3R1K1 w - -,e3d5
8/5bk1/5p1p/6pP/Q5P1/8/2r5/6K1 b - -,c2c4
7R/8/6k1/8/6P1/r4PK1/8/8 b - -,g6g7
r1bq1rk1/p5pp/1p2p3/2ppnn2/P2P4/B1PB4/2P2PPP/R2QR1K1 w - -,e1e5
r2qk2r/pbpn1p1p/1p3np1/4p3/2PPP3/2PB2N1/P5PP/R1BQK2R w KQkq -,e1g1
8/1p3q1k/3Q2b1/3p3p/3P3P/5P2/P5P1/6K1 b - -,g6d3
7r/6Rp/1k6/8/4NKP1/3n4/7P/8 w - -,f4f5
7r/8/p2Bkp1P/RbP3p1/P2Kp3/4P3/7P/8 b - -,b5d3
8/5nk1/3p1pp1/3Pp2p/1q2P2P/4BPP1/2Q3K1/8 b - -,b4b5
r3k2r/pp1bn3/4pq1p/3pn2N/6p1/P3B3/1PB2PPP/R2Q1RK1 b kq -,f6f7
3r2k1/1p2b1p1/p1b4p/3n4/4p1p1/P6P/1PNBPPB1/2R2K2 w - -,h3g4
2b1r1k1/1p2qp1p/4p1p1/2p5/2N2P2/P1b1P1P1/P5BP/1RBR2K1 w - -,d1d3
5N2/8/p5P1/1pp1kb1R/7P/6r1/P2K4/8 b - -,e5f6
3r2k1/2b2ppp/8/np1B4/1B3P2/4P3/3R1KPP/8 b - -,c7b6
8/7p/1pkp4/4p2R/1KP1P2P/r5P1/P7/8 b - -,a3g3
8/5p1p/1p1k1bp1/8/3N4/4PP1P/4K3/8 w - -,d4b3
rn3rk1/pp2ppbp/8/2p5/2P2P2/2P2N2/1P1B2PP/R3K2R b KQ -,b8c6
5nk1/1b2qpp1/1p1p3p/1Pp1p3/2P1P1P1/r2PQN1P/5P2/B3R1K1 b - -,f8g6
r3r1k1/5p1p/2p3p1/1b1p4/1P6/p1P1NP2/P2R1KPP/2R5 b - -,e8e7
8/7k/p2p2p1/3P4/4PN2/5P1K/1Q3b2/6q1 w - -,f4g2
r2qk2r/1p2bppp/p1n1pn2/2pp3b/4P3/2PP1N1P/PP1NQPP1/R1B1RBK1 w kq -,g2g3
r5k1/3bppbp/3p2p1/2pP4/1pP1PPP1/3QB2P/1q3N2/4R1K1 w - -,e4e5
r3k2r/pbpn1ppp/1p1bpq2/4N3/2PP1B2/8/PP2BPPP/R2Q1RK1 w kq -,e2f3
r5k1/pp3pb1/2p3p1/3p3p/5N1P/4r1P1/Pq3NBK/1b1Q1R2 w - -,d1b1
r1bqk2r/pp1nppbp/2pp1np1/8/2PPP3/2N1B3/PP2BPPP/R2QK1NR w KQkq -,h2h3
r4k2/5pp1/r3p1p1/1pPp4/1P6/4P2P/5PP1/1RR3K1 b - -,f8e7
1r6/2p2k2/3p2pp/2p5/2P2PP1/1P2PK2/1R6/8 w - -,f3e4
3r3r/ppkn1n1p/2p1bppb/2P1p3/1P2P3/2N1BN1P/PR2BPP1/2KR4 w - -,e3h6
r5k1/pp1r1pp1/7p/nRPp4/3N4/2P1P3/P4PPP/4K2R b K -,a5c4
5k2/1pr5/pR1p4/P1NPbp2/1P1n2p1/4Rn2/4BP2/5K2 w - -,e2f3
r1bq1rk1/4b1pp/p1P1p3/1p1pN3/1P1P1B2/1Q2Pp1P/6P1/R4RK1 w - -,e5f3
2r1r1kb/1b1nqp1p/p2p1npB/1p1P4/1P2P3/2NB1N1P/3Q1PP1/2R1R2K b - -,d7b6
3r1r1k/pb1q1pbp/1p1Pp1p1/2p1P3/1nP2B2/4QN1P/P2RBPP1/4R1K1 b - -,d7a4
5rk1/ppn1ppb1/2q1N1p1/4P2p/2rB4/2N4P/PPPQ2P1/1K1RR3 b - -,c7e6
1n5r/5pk1/7p/p1p1PB1R/5pq1/8/PP6/1K5Q b - -,g4g3
8/1p2kp2/p2pb2R/4p3/4Pn2/5P2/1KPQ4/1N4q1 b - -,g1b6
rn1qkb1r/pp3ppp/2p1pn2/8/P1BP2b1/2N1PN2/1P3PPP/R1BQK2R b KQkq -,b8d7
4r1k1/p4bb1/1r4p1/7p/2pN3P/P1B1p1P1/1PP5/K2RR3 w - -,d4e2
6rk/ppr2pp1/2n1p2p/3pP2P/P2P2R1/qP1R4/3BQPP1/6K1 w - -,e2f3
8/1b6/6k1/p1qpp1p1/3p1bPp/1PrP1N1P/P3BPK1/1Q5R w - -,h1d1
2r2rk1/4ppb1/3p1npp/pNpP2Bq/P1P1PP2/7P/2Q3P1/3R1RK1 w - -,g5f6
8/ppR5/7P/4pb2/5p1P/P2p4/1k3K2/8 w - -,c7b7
2r1b2r/4p1kp/1n4p1/8/8/1P6/Pb3PPP/R1RN2K1 w - -,d1b2
r1b2rk1/1p2b1pp/p1pnpn2/q1BpNp2/2PP4/1P4P1/P2NPPBP/R1QR2K1 b - -,f8e8
r7/8/1k3P2/p1p5/1p1q4/1P3P2/PP2Q3/1K4R1 w - -,g1c1
r3k2r/ppp2ppp/2nb4/6B1/3P2n1/4NNPq/PP2PP1P/R2Q1RK1 b kq -,h7h5
1Q4q1/2Q3pk/p6p/2p2rnP/2P2N2/4P3/1P6/2KR4 b - -,g8c4
8/R5pk/Pp2p3/1P1pP1p1/3r4/8/7P/6K1 b - -,d4b4
r1b5/p1ppq1k1/2p2p2/5RpQ/4r3/2P3B1/P1P3PP/R5K1 w - -,a1f1
8/4Q1kp/5pp1/3K4/1pP1R3/1n6/5q2/8 b - -,g7h6
rn1k3r/ppp3pp/3bpn2/4p3/4P3/2N2P2/PPP3PP/R1B1K1NR w KQ -,g1h3
2r2rk1/pp2bppp/2p1bn2/qPPp4/2NPp3/2N3P1/P3PPBP/1RBQ1RK1 b - -,a5c3
r2q1rk1/5pp1/p1npbn1p/2b1p3/1p2P3/P2B1NNP/1PP2PP1/R1BRQ1K1 b - -,b4a3
rn1k3r/pp3nbp/2p1bpp1/4p3/2P1P3/2N1BN1P/PP2BPP1/R4RK1 w - -,b2b4
R3b1k1/2B3pp/8/1p3N2/6P1/2P4P/5b1K/4r3 b - -,e1e2
3qr1k1/1br2pp1/p2p1n1p/1ppP4/3bPP2/1P4P1/PBQ1R1BP/3NR2K b - -,d4b2
8/p1q1n2r/1pnp4/4ppk1/QPP5/3PP1P1/5RBP/5RK1 b - -,e5e4
4rrk1/pbq3bp/4p1p1/1p1p3n/2p2P1B/2P1PN2/PPB1Q1PP/3R1R1K w - -,f3g5
8/3Nkp2/6p1/8/1Pb4p/4P2P/5KP1/8 w - -,d7e5
r1bq1rk1/pp2npbp/2np2p1/2p1p3/4PP2/N1PPBNP1/PP4BP/R2Q1RK1 b - -,b7b6
3rr1k1/1pp1npp1/p2pqn1p/4p3/2P1P2N/3PR1NP/PP3PP1/R2Q2K1 b - -,g7g6
8/4b3/6p1/8/2kpK2P/8/8/4B3 b - -,e7f6
rnbqk2r/pp2ppbp/3p1np1/2p3B1/3P4/2P2N2/PP1NPPPP/R2QKB1R w KQkq -,d4c5
r2q1rk1/p3n1bp/1pnp2p1/2p1pb2/1PP1N3/P5P1/3PNPBP/R1BQ1RK1 w - -,d2d3
7r/1kpb2q1/1p1n4/p1pPp3/P1P1P1p1/1P1B4/2Q2RPr/1K1N1R2 w - -,d1e3
2r2rk1/p2n2pp/1p1qbp2/2p5/1P1P4/P1Q2B2/1B3PPP/2R2RK1 b - -,c5c4
r2r4/2n2kp1/2n2b2/P1Pp1P2/Bp1P1N1p/2B1P3/5K2/R6R b - -,c6e7
r2r2k1/p4pp1/2p3b1/3p4/3P1BP1/2P2P2/P7/R4RK1 b - -,d8d7
1r6/8/1Pk5/P7/1K5R/7p/8/8 w - -,h4h6
6k1/p1rq1pp1/1bN1p2p/8/1PQ5/P5PP/2R2P2/6K1 b - -,d7d1
r3kb1r/1pqn1pp1/p1p1pnp1/3p4/2PP4/1PN1PPP1/P1Q2K1P/R1B2B1R b kq -,f8d6
r3rbk1/1pp2ppb/p1q4p/2nR4/2P1p1P1/1PQ1P2P/PB3PB1/4RNK1 b - -,c6b6
