6R1/3R4/2rnp2k/1p3p2/p7/6PK/5P2/8 w - -,d7e7
5rk1/1b3rbp/1pp1N3/p3qp2/2PpB3/1P4PP/P1Q4K/3R1R2 w - -,e6f8
r1bqk2r/pp2ppbp/2n3p1/1NP2n2/2Pp4/4PN2/PB1P1PPP/1R1QKB1R b Kkq -,a7a6
r4rk1/p2n1pbp/1pn1p1pB/2ppP3/3P4/PqP1QN1P/1P3PP1/3RRNK1 w - -,h6g7
1r3k2/4bp1p/4pp2/rN6/2P2PqB/PQ6/1P5P/K2R4 w - -,h4g3
5k2/R6p/6p1/p3P3/r7/1B5P/3p1PPK/8 b - -,a4b4
rnq1kb1r/ppp2ppp/3p1nb1/3Pp3/2P3PN/1Q5P/PP1NPP2/R1B1KB1R b KQkq -,f8e7
r2q1rk1/pb1pbppp/1pn1pn2/2p3B1/3P4/P1PBPN2/1P1N1PPP/R2QK2R w KQ -,e3e4
r1bk4/4n1pp/1p6/p2p1p2/3P2P1/P1R1PP2/1P1NBK2/8 b - -,f5g4
6k1/2p3p1/1p2r2p/3r4/3n1R2/1PNp4/P2B1KPP/4R3 b - -,e6e1
r1bq1rk1/pp3ppp/2n1pn2/3p4/1bP5/1NN1P3/PPQB1PPP/R3KB1R b KQ -,b7b6
3r1rk1/1p1qppbp/p1b3p1/2pNP3/5P2/1P3B2/PB1P2PP/R3QRK1 b - -,c6d5
r2q1rk1/pp3pbp/2np4/2p2P2/5n2/2NP4/PPP3BP/R2Q1RK1 w - -,f1f4
7k/p5p1/7p/6r1/2p5/2R1P3/PP3K1P/8 b - -,g5h5
8/2p4p/3kp3/8/4KP2/2P3P1/1P5n/8 b - -,h2g4
5b2/pb1nk3/1pp2p2/3p1Bp1/3P2Pp/2P2N1P/PP3P1B/2K5 w - -,f3e1
2r2r2/p2bq1bk/np1n1ppp/2pPp3/P1P1P3/1P1NQNPP/1B4B1/4RRK1 b - -,a6c7
4r1k1/3b1n2/rp1b2pp/p1pP1p2/P1P2B1P/5NP1/5P2/1R1B1K1R w - -,d1c2
2krr3/p1p2ppp/2p5/4nb2/4NB2/8/PPP2PPP/R4RK1 w - -,e4g5
3r2k1/1bp2pp1/1pn2q1p/p2Rp3/PbP1P3/1N2QNP1/1P2BP1P/6K1 b - -,c6d4
r5k1/1b3pp1/p4P2/4rR1Q/2q5/2N5/1PP3PP/5R1K w - -,h5h3
8/2p5/2p5/1kP1p3/pP4P1/7r/2R2K2/8 w - -,f2g2
2kr4/pp3p2/2b1p2p/r7/P2P4/2N2PP1/2P2K1P/3R3R b - -,c6a4
r3r1k1/pp2bppp/4pnn1/3p4/3P4/2P2PN1/PPB3PP/2BRR1K1 b - -,b7b5
r1bqk2r/1p2bppp/p1nppn2/2p5/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 w kq -,b1d2
1rr3k1/pq2ppbp/6p1/8/8/QP1RBP2/P1P3PP/2K4R w - -,h1d1
b1r5/p3bpkp/1n2p1p1/1RN1P3/P7/2P2P1P/5BP1/5BK1 b - -,e7c5
5r2/8/1p1pk3/pNp5/P1P1nP1p/1P4P1/5nK1/4RN2 b - -,h4g3
5rk1/Rb3ppp/1p6/1Nn5/2N5/1P2p1P1/2r1PP1P/1R4K1 w - -,c4e3:b5d4
r3k2r/1pnb2bp/p1p3p1/2Ppp3/R3P3/1P3NP1/1P1NBPP1/5RK1 b kq -,e8c8
8/8/1p3n2/pP1P2p1/P2K2k1/2N5/6P1/8 b - -,g4f5
3r1rk1/4q1pp/2n1bp2/p2pp3/P7/3PP1P1/3N1PBP/R2QR1K1 w - -,d2b3
6k1/6pp/p2P4/5q2/Pr6/4RPB1/5P1P/4R1K1 b - -,b4b1
R7/8/5k2/2p2p2/P1P3p1/2Pn2P1/5PK1/1r6 w - -,a4a5
r2q1rk1/p2n1ppp/3b1n2/1p2p1B1/3PP1b1/1BP2N2/1P4PP/RN1Q1RK1 b - -,d8c7
2r5/2P5/2R1k3/1P3pp1/8/K7/7p/8 b - -,e6e5
2n1r3/pp2qpk1/2p1p1p1/4P2p/3rQ3/1BPR3P/PP3PP1/6K1 w - -,e4d4
2r5/1K6/8/4k3/2P4R/8/8/8 b - -,c8c5
4r2k/2p4p/4r1p1/3Qp3/2Nq4/7P/4RPP1/7K w - -,e2d2
8/7p/8/7r/1k1KP3/8/5R1P/8 w - -,e4e5
8/8/5kp1/2R4p/7P/2P1K1P1/8/2r5 w - -,e3d3
1k3r1r/pb1q4/1ppn1p2/3pnP1N/7B/7Q/PPP1B1PP/1K1R1R2 w - -,h4f6
r4rk1/qp1b1ppp/3p4/p2Pn3/2P1P3/2N3P1/PP2Q1BP/R4R1K w - -,b2b3
r4rk1/1p1qb2p/p2pbnp1/4pn2/2P1N3/1P1BN3/PB2QPPP/R4RK1 b - -,f6h5
Q7/3k1p2/4p1p1/4Pq1p/1p5P/1P4P1/P5K1/8 b - -,f5c2
4b1k1/p4p2/4p1p1/1r1pPnNp/3PNQ1P/qP3PPK/P7/2rR4 w - -,e4f6
8/8/2N1pk2/5p2/3P4/5K1p/4n3/8 b - -,f5f4
2r1r1k1/1b3pp1/pp2p2p/2q5/n2RPP2/2P2Q1P/5BP1/1B2R1K1 b - -,a4c3
1nrr2k1/2N2ppp/1pR5/3p4/1p1Pn3/4P1P1/P4PBP/3R2K1 w - -,c7d5
r4rk1/1b3ppp/pB1q1b2/P2Np3/4P3/8/1PPQB1PP/R6K b - -,f6d8
6k1/1p2br1p/p1p1n1r1/2Pp2pn/1P1Ppp2/4P1PP/1PN2PBK/3RB2R b - -,e7d8
6k1/1np1qpb1/3pbnpp/1P6/rB1PP3/1p1B1N1P/5PP1/3QRNK1 w - -,d1d2
8/8/qp6/4k3/4p3/1R5R/1K6/8 b - -,a6e2
rnbqkbnr/pp2pp1p/3p2p1/2pP4/8/2N2N2/PPP1PPPP/R1BQKB1R b KQkq -,f8g7
2R3k1/3bbpnp/p3p1p1/1p1pP3/3N1PP1/P2PB2P/1P2N3/6K1 b - -,d7c8
r1bb4/pp1k2B1/4pp1p/3n3B/2N5/2P5/PP3PPP/3R2K1 b - -,b7b5
r2qr3/1bnnppkp/p1p3p1/1pP5/3P4/2N2N1P/PP1QBPP1/3R1RK1 w - -,a2a3
2r5/4pk2/3p2p1/p2P1pPp/Pp3K1P/1Pr2P2/2PRR3/8 b - -,c8c5:c3c5
3r4/1k3p2/1pp1p2p/p2rP1p1/P1RP1nP1/1P2RN2/5P1P/5K2 b - -,c6c5
r4r2/pp4k1/2b2np1/7p/4p2P/1P2N1P1/P4PB1/R4RK1 w - -,f1d1
rn1q1rk1/pbp2pbp/1p2pnp1/3pN3/2PP1B2/2N3P1/PP2PPBP/R2Q1RK1 b - -,b8d7
2brk1r1/1pq1pp2/p2p2n1/2n3pp/PQ2P3/2P2P2/2P1N1PP/R2R1BBK b - -,h5h4
r1b2r1k/p3q1b1/6pp/2B1p1N1/1P2p2P/1Q4P1/P4P2/R4RK1 b - -,e7e8
r1b2r2/1p1nq1kp/2p1p1p1/4Np2/1PBP2P1/2P3Q1/7P/1K1R1R2 w - -,e5d7
8/1p6/4k3/N7/P7/1PK1P3/4b3/8 b - -,e2f3
1r1q1rk1/1p2ppbp/p2p2p1/4n3/2P1P1b1/1PN3P1/P2BQPBP/2R2RK1 w - -,f2f3
3r1bk1/p4pp1/1p5p/2p1n1r1/P7/3qNQP1/R3RP1P/2B2K2 w - -,f3b7
r1b1q1k1/2p1n1bp/pp1P2r1/3Pp1pn/1P2P3/2NN1PB1/P2QB2P/2R3RK b - -,c7d6
r2qkb1r/pp3pp1/2p1b2p/2Nn1n2/2BQ4/8/PPP2PPP/RNB1R1K1 w kq -,c5e6
8/4b1k1/6p1/2p1Pp2/1pPp1P1p/1P1P1K2/8/4B3 w - -,e1d2
r1b2rk1/ppp1pqbp/2np2p1/5p2/2PP4/1PQ1BNP1/P3PPBP/R3R1K1 b - -,e7e5
1r1brq2/2kbn1RR/3p1p2/p1pPpN2/PpP1P1P1/1P1B2N1/4QPK1/8 w - -,e2f3
4nk2/1r4p1/1p2B1K1/p4PP1/P7/1P1R3P/8/8 w - -,f5f6
r2q1rk1/pb3ppp/1p2p3/2bnP3/1n6/PQN2NP1/1P3PBP/R1BR2K1 b - -,b4a6
5nk1/r1q1r1bp/1p1p1p2/pB2PPpP/P1QP4/2P5/3B4/R4RK1 b - -,c7c4
3n1rnr/p1q3k1/1p1p1pp1/2pPp1N1/4P2P/1PP1N1Pb/P3QR2/3R2K1 w - -,g5h3
1r4k1/3b2bp/pP1p1qp1/2pP1p2/5P2/2P3PP/1PQN2BK/4R3 b - -,b8b6
2k4r/p2nBpbp/1p2b1p1/1B6/3P4/4P3/P2N1PPP/5RK1 b - -,d7f6
r1r3k1/4qpp1/p3p2p/2Pp4/b1pP4/P3PPB1/4Q1PP/RR4K1 w - -,b1b6
r2q1rk1/pp1b1pp1/2nb3p/2p1p3/7P/P1PP2P1/2PNQPB1/R1B2RK1 w - -,d2c4
3r1rk1/1p1nbpp1/p1q3p1/5nP1/4NP1P/P4Q2/1PR1BB2/1K5R b - -,c6a4
2kr3r/pppqnppp/2n5/b2p2Q1/3P1Nb1/P1NBB3/1PP2PPP/R3K2R w KQ -,g5g7
3Q4/4nk2/1p3r1p/3p2pP/3Pp1P1/P3P3/6K1/8 w - -,a3a4
r1b2r2/pp2p1bk/6pp/3P1p2/2B1P2P/4BP2/P4P2/2R1K2R b K -,f5e4
5r2/1PK2p1p/5Pp1/8/8/p6P/1k6/3R4 b - -,a3a2
5k2/pp3r2/3R3R/5pPp/3P4/5P2/Pr4P1/6K1 b - -,f7c7
2rr3k/pp3p1p/2nb1NpP/6P1/3p4/P4P2/1PPBN3/2R1K2R w K -,e1f2
2k2r2/3r4/pn1p4/1p1b1pN1/7P/K1P1R1P1/P1P1B3/5R2 w - -,e2d3
4R3/5p1k/5p2/1p5p/2pP3P/2B3P1/2r2PK1/8 b - -,c2c3
8/8/1n6/1k1KN3/3P4/8/8/8 w - -,d5d6
8/pp1r1ppk/7p/n2P4/P3bNPP/B1R5/5P2/6K1 w - -,d5d6
7r/3kppbp/6p1/nr1P4/5B2/5N2/PP3PKP/2R4R b - -,h8c8
4qnk1/pp1brppp/8/8/1Q1Np3/1PR1P1P1/P4PBP/6K1 b - -,b7b5
r1r3k1/1p3pbp/2b1p1p1/4N2n/pB1PP2q/P4PP1/1Q5P/1RR2BK1 b - -,h4d8
2rb3r/pp3pk1/4p3/3qPp1p/2pP1R1P/P5P1/1P1B1P2/R2Q2K1 b - -,d8e7
8/1pk3p1/8/2P3pP/8/3n2K1/6B1/8 w - -,g3g4
1qrR2k1/5p1p/4pnp1/1pb3B1/8/PbN2P1P/1PN2QP1/5B1K b - -,c8d8
8/1p4b1/2pqn1pk/1P6/p3B2P/P3R1P1/5PK1/1R6 b - -,g7d4
2knQ3/q5p1/3r1b2/8/1pP1N3/1P4PP/7K/5R2 b - -,d6e6
4q1k1/2p2pp1/1pNp1b1p/p2P4/2P5/1P3QPP/P5PK/8 w - -,f3f5
3r1rk1/1pq1bppp/p2pbn2/8/3QPB2/2N2B2/PPP3PP/3R1R1K b - -,f8e8
r1bq1rk1/1ppn1n1p/3p1ppb/p2Pp3/2P1P2B/P1N5/1PBN1PPP/R2Q1RK1 w - -,d1e2
r3kb2/pp2p2p/2n3r1/q3ppN1/7Q/2N1P2P/bPP1B2P/2KR3R w q -,h4h7
8/r6p/Prnnpk2/3p2p1/3P4/R3PPP1/7P/2R2BK1 w - g6,c1c5
8/8/pp1b1k2/3p3P/P2P2pN/1P1KP3/8/8 b - -,d6h2
2r1r1k1/pn4pp/8/2ppNp2/5P2/P3P3/1P4PP/2RR2K1 b - -,e8d8
r1b3k1/pp3ppp/1qp5/8/4n3/1P4P1/PQ1NrP1P/R4RK1 w - -,b2e5
3r1rk1/p3Q1pp/1p2p3/3b3q/1PP2n1N/6P1/P4P1P/R1R2BK1 b - -,d8e8
8/p2r1q1k/1p1r4/3N3p/2K4P/P2R1P2/1P1Q4/8 w - -,b2b4
r1b1Rb1k/pp1p1p1p/2n5/5p2/7q/1B3P2/P1PQ2PP/5RK1 b - -,h8g7
6k1/5pp1/4b2p/1p6/1p4P1/qP3P1P/1QP1R3/rNK5 w - b6,c2c3
r4rk1/ppp1n1b1/3p1n1p/2PPpp2/1P2P1P1/2N3Pb/P2BB1NP/R4RK1 b - -,f6g4
1knr4/1ppq4/p2b1p2/3PpNp1/P3Q3/1P2P2r/1B3P1P/2K3RR w - g6,e4g4
2rq1rk1/pp1bppb1/2np1npp/2p3B1/4P3/2PP1NPP/PP3PB1/RN1QR1K1 w - -,g5e3
r2q1r2/pppbk2B/2n2n2/2Qp4/3P4/P3PP2/1P3P1B/2KR3R b - -,e7f7
r1bqk2r/ppn1b3/2pp2pp/5p2/2PP1P2/P1N1P3/1PQ1N1P1/2KR1B1R w kq -,g2g4
r2qkb1r/1p1n1ppp/2n1p1b1/p2pP3/3P4/P3BN2/1P1NBPPP/R2Q1RK1 w kq a6,b2b3
6k1/p5r1/8/1N6/8/1P1p1K2/n2B1p2/5R2 w - -,f3f2
4kb1r/r4p2/1n2pB2/1b1pP2p/qPpP3P/p1Q3R1/P4PBN/1R4K1 b k -,h8h7
2r3k1/p1n2pp1/1p3n2/2p5/P1B2Q2/2q4P/2P3P1/3RR1K1 b - -,c8e8
r1b1q2k/ppp2rbp/n2p1pp1/1N4n1/2P1P3/P1N1B2P/1PQ1BPP1/R4RK1 w - -,b2b4
8/5kpp/2p5/3p4/1P6/P3rPP1/8/3R3K w - -,d1a1
2r3k1/3b1p1p/1B1P2p1/4r3/ppB5/2b3P1/P4P1P/3R1RK1 w - -,b6c7
2r3k1/3b1p1p/prn1p1p1/1p1pP3/5P2/1PPB1N2/P1R2KPP/2R5 b - -,g8f8
8/6k1/8/pP4b1/P2r3p/1PK5/3p4/3B1R2 b - -,d4e4
4n3/4P2p/6p1/2p5/p1Np4/3P3P/1k1K2P1/8 b - -,b2b1
8/1pk5/3b4/PP4p1/2B1P2p/7P/6P1/3K4 b - -,d6b4
5k2/1b3p1p/2p2qpN/1p1n2N1/8/3P2P1/3Q1P1P/6K1 b - -,f6a1
r1bqk2r/pp2ppbp/2n3p1/2pp2Bn/3P4/2N1PN2/PPP1BPPP/R2Q1RK1 b kq -,h7h6
8/8/p6r/1pKN4/1P6/Pk6/8/8 b - -,h6h5
r6r/5kp1/p1b1ppp1/1p1pP3/3R1P2/2P1B3/P1P3PP/4R1K1 w - -,d4d2
3r4/5p1k/2R4p/7P/3N1K2/4PP1b/8/8 w - -,f4g3
4r1k1/5pp1/2p2n1p/8/1P1Q4/8/q2R2P1/5BK1 b - -,a2b1
1r4k1/4pp2/6p1/2pPp3/q1N1Pb2/P1R2P2/1P2QP2/5K2 b - -,g8g7
8/1p2p3/3p2k1/2PPb3/1P5K/8/6r1/1R6 b - -,g6f5
4k2r/Bp3ppp/4p3/1P1pP3/b2P4/b1r5/4BPPP/R3K2R w KQk -,a7c5
r4rk1/1bpnq1pp/p2bpp2/1p6/3P1P2/1N2PN2/PPQ2PBP/R2R2K1 b - -,f6f5
rnbqk2r/1p2npbp/p2p2p1/2p1p3/4PP2/2NP2P1/PPP1N1BP/R1BQ1RK1 b kq f3,b8c6
2r3k1/4bp2/b1qp1n1p/P3p1p1/1Pn1P3/2P2P2/2Q2BPP/R3RBK1 w - g6,e1b1
4r3/2k4p/p5pn/3rPp2/2pP1PP1/1n5P/NP1B4/1K1R2R1 b - -,d5d4
r2r2k1/1p3pbp/1q4p1/pP1p1b2/P1n2B2/1Q2PN2/4BPPP/3R1RK1 b - -,a8c8
1k1r4/1p3p2/1q2b3/1p2P1N1/2p3P1/P1Q2P2/1P5r/1K1RR3 w - -,g5e4
5rk1/1pp2pbp/3p2p1/1N1P4/1nPpP3/7P/4BPP1/3R2K1 w - -,b5c7
2rq1r1k/pp1np1bp/8/P1BP4/5p2/1QN4P/1Pn1BPP1/R2R2K1 w - -,b3c2
r3r1k1/3n1pb1/3p2pp/2p5/1pP1P2B/1P3RPP/2Q5/4R2K b - -,d7e5
4n3/6p1/2k1NpP1/1p2pP2/1P2P3/8/4K3/8 w - -,e2d2
r2qkb1r/ppp2ppp/2n1p3/3n3b/3P4/5N1P/PPP1BPP1/RNBQR1K1 b kq -,f8e7
5rk1/1q4p1/pPb1Q2p/8/2P2p2/P7/5BPP/4R1K1 b - -,f8f7
8/8/pk2p2r/1b2B3/2p1P3/5B2/1R6/6K1 b - -,b6c5
r1b2rk1/pp1npp1p/6p1/n1p5/2P5/2b1B1P1/PP1NPPBP/R4RK1 w - -,b2c3
r1br2k1/pp2bppp/2n1p3/7n/2PPB3/1N6/PB3PPP/RN3RK1 b - -,c8d7
8/1p6/1B2k1p1/p2n4/P1p3P1/7P/2P3K1/8 w - -,b6a5
4r3/1k3p2/2pb1pp1/1p1n3p/3P3P/1BP1BP2/1P1K1P2/R7 w - -,c3c4
r3r1k1/1pq1ppbp/1np1b1p1/p3P3/2PP4/B3QN2/P3BPPP/3R1RK1 w - -,f3d2
r1bq1rk1/1p2bp2/p5p1/2pPN1n1/4P2p/2N2P1P/PP1Q4/R3KBR1 w Q -,e1c1
r2r2k1/pp2bppp/2p1pn2/P7/1n1P4/1PN1P2P/1B2BPP1/R2R2K1 b - -,f6d5
r4r1k/pp1n4/6pp/5pq1/2B5/2N5/PPP2QPP/5R1K w - -,f2d4
7R/p1k1K3/2pN4/r1P5/4P3/7b/8/8 b - -,h3d7
4r3/5pbk/q1N3p1/2n1p2p/2P5/6P1/2Q2PBK/4R3 w - -,g2d5
8/4p3/6p1/3kP3/6r1/2RKB3/8/8 b - -,d5e5
8/pp2pk2/4n3/2p1pNb1/4P1P1/8/PP3BK1/8 b - -,b7b5
r1bq1rk1/pppnbppp/3p1n2/4p3/2BPP3/P1N2N1P/1PP2PP1/R1BQK2R b KQ -,e5d4
r1b1kbnr/1p1n1ppp/p7/q3P3/B3p3/2N5/PP3PPP/R1BQK1NR w KQkq -,d1d5
b7/p2nk3/2p2p2/2N1b1pp/2P5/1P1KB1PB/P6P/8 b - -,g5g4
r4rk1/pb1nbpp1/2q1pn1p/N7/Np1pPBP1/7P/PPQ2PB1/2RR2K1 b - -,c6b5
2r2r1k/p4p1p/2pp4/6Pp/1pnpP3/5P2/PPP4R/2KN2R1 w - -,h2h5
5rk1/4Qpp1/7p/2Rb4/3N2PP/4PP2/1q4K1/8 w - -,g2g3
5rk1/R5b1/8/2p5/7P/1P1pB3/P4PP1/6K1 b - -,f8d8
5rk1/1p5p/6b1/p2RBp2/2q1n1pQ/8/PP4PP/5R1K w - -,f1d1
r2q2k1/r5p1/1p1p3p/1BpPp3/P1N1P3/2P5/5K2/2Q4R b - -,d8f6
2r1k2r/3nb2p/pq2p1pQ/1pp2pN1/3P1B2/4P3/PP3PPP/R4RK1 b k -,e7f8
r1bq1rk1/pp4pp/2p1p3/3pNpn1/1PPP1B1b/3QP2P/P2N1PP1/R4RK1 b - b3,a7a6
8/5k2/8/5PP1/6K1/2bN4/8/8 w - -,d3f4
4r1k1/p4b2/1r4p1/7p/2p4P/P1b1p1P1/1PP1N3/K2RR3 w - -,e2c3
8/8/5nk1/1R5p/7P/4r1PK/8/8 w - -,b5b6
r3k2r/1bqpbppp/pp2pn2/8/Pn2PP2/1NN3P1/1PPB2BP/2RQ1RK1 b kq -,a8c8
r1b3k1/p4r2/1p2p1p1/4pn2/4p2N/P1P3K1/1B2B1PP/4R3 w - -,g3g4
8/r2k4/3p4/3P1p1p/1R1K3P/r1P2PP1/p7/R7 b - -,a7c7
8/p7/2k3N1/5p1p/1Pp1b3/P1K1R3/8/7r w - -,c3c4
5rk1/pp4bp/1nqP2p1/5BB1/6n1/2P2N2/P2Q2P1/1K1R3R b - -,f8f5
3r1r2/p1n1n1k1/1p6/2pp1P1p/2P1pR1N/1P2N1P1/P6P/3R2K1 w - h6,c4d5
3r4/p1r2pk1/4b1pp/2p5/2BP4/4P1P1/P4P1P/2RR2K1 b - -,c5d4
5b2/1Pk3p1/5p2/3p1N2/3P4/6PP/5KP1/8 w - -,f5e3
8/4bk1p/4p3/3pPp2/2pP4/2P1P1KP/5B2/8 b - -,f7e8
r3k2r/p1ppqppp/bp2pn2/n5B1/2PP4/2PBPN2/P3QPPP/R3K2R w KQkq -,e1g1
4rr2/1q2bpkp/p1b1pn2/2p1N3/2P1PP2/2B5/1P2Q1PP/4RR1K w - -,e5g4
r2q2k1/pp4b1/3N1nnr/3Pp1p1/4Ppb1/3N1P2/PP2BB2/2RQ1RK1 w - -,f3g4
8/p1pr4/1p1p1kn1/3P1b2/1PP5/5PB1/P3BK2/3R4 w - -,d1c1
8/8/8/2R3pk/1r6/3K2P1/8/8 b - -,h5g4
8/1Pk5/b3pK2/4P3/1P6/8/8/8 w - -,f6e6
2bb3k/r5rp/1q1p1p2/p1pPp1p1/1nP1P1P1/RP1BN2P/3QNPK1/R7 b - -,h7h6
8/5pk1/1q1Qp1p1/3nP1Bp/7P/8/5K2/8 w - -,d6b6
r2q1rk1/pp1bbppp/2npp3/3nP3/2BP4/5N2/PP2QPPP/RNBR2K1 w - -,b1c3
3rkn1r/pp2bpp1/1qp1pn2/3p2p1/2PP2P1/1QN1P2P/PP1B1PB1/R2R2K1 w k -,b3b6
8/p6r/1p3k2/3B1p2/3P1N2/2P3r1/PP2KR2/8 w - -,f2g2
rnbq1rk1/pp2bppp/4pn2/2pp4/2P5/1PN1PN2/PB1P1PPP/R2QKB1R w KQ c6,c4d5:d2d4
q1r2bk1/r4pp1/2bp3p/4p3/4B3/1QP2N2/PR1N1PPP/1R4K1 b - -,c6e4
8/6pk/PR3p2/7p/r6P/5KP1/4P3/8 w - -,f3e3
2kr3r/3bb1p1/p4p1p/3pPp2/q1pP1P2/5NN1/2P2B1P/1R1Q1RK1 w - -,b1a1
8/5p2/5Pk1/r3P3/3K4/8/5R2/8 b - -,a5a4
8/8/8/pBpbkpp1/7p/1P2KP1P/P5P1/8 w - f6,b5d7
r1bq1r1k/1p2bppp/p1n1p3/2p1P3/PnB5/2NP1NQ1/1PP3PP/R1B2RK1 w - -,f1f2
3r1r2/p1p2pkp/1n1p1qp1/2pP4/2P5/1P5P/P2QBPP1/3R1RK1 w - -,f2f4
1q1r1rk1/4npp1/p2bpn1p/1p6/1P1P4/P1NBBb1P/3Q1PP1/2R1R1K1 w - -,g2f3
rn1q1rk1/pbppppbp/1p3np1/8/3P1B2/4PN1P/PPP1BPP1/RN1Q1RK1 b - -,d7d6:d7d5
r1b2rk1/2q3bn/pQp1n1p1/N1Pp3p/P2Pp3/R3B2P/N3BPP1/4K2R b K -,c7b6
4n3/1b2k2p/3p1pp1/2p5/1p1pPP1P/1P1P2PB/2PN2K1/8 b - -,e8c7
r2q1rk1/1b2bppp/p2ppn2/2N3B1/1p1NP3/1B5Q/PPP2PPP/R3R1K1 b - -,d6c5
