8/p5p1/pr2k2p/R2p3P/5PP1/P3K3/8/8 b - -,b6c6
R1rqb1k1/4bpp1/2n1p2p/1pNp4/1PnP1B2/2NBP2P/2Q2PP1/1R4K1 b - -,c8a8
8/p3kpp1/2bp3p/3N1P2/1P1K2P1/7P/P7/8 b - -,e7d7
3r4/1b3pN1/pp1k4/6R1/P1P2K1p/1P5P/8/8 b - -,d8h8
4rrk1/7p/3R4/4p2q/5p2/P4PP1/3QP2P/5RK1 w - -,g3g4
8/8/4k3/3p2K1/1n6/1B6/8/B7 w - -,g5f4
1rb1qk1r/p1p2pp1/2pb1n1p/4N3/Q4B2/2PB3P/PP3PP1/R2R2K1 w - -,d1e1
r1b1k2r/pp5p/2nP1ppB/4p3/1P6/2PB4/P4PPP/2KR3R b kq -,e8f7
r3k2r/5pp1/p1nB3p/4p3/P3n1P1/3p1N1P/1P3P2/4K2R w Kkq -,d6e5
4Rrkr/p1pR1ppp/5b2/1p6/2q5/1QP2N1P/PP3PP1/6K1 w - -,b3c4
2k2r1r/pp4qp/3pbb2/2p1p2R/2P1P3/2NP2PB/PP1Q4/1K5R b - -,e6h3
4r1k1/1p3pp1/1qp5/1P1n2p1/3N2P1/4P2P/1Q3P2/2R3K1 b - -,d5c7
2B5/1p5R/b1p5/2k5/4PK2/8/8/1r6 w - -,e4e5
r3k2r/1bqnbpp1/pp1ppn2/5P2/2PNP2p/2NB4/PP1BQ1PP/4RR1K b kq -,e6e5
r1bqr1k1/5pb1/p2p1npp/npp1p3/4P3/2PPBNNP/PPB2PP1/R2QR1K1 w - c6,b2b4
rnbqk1nr/p4ppp/2p1p3/1p2N3/PbpP4/2N1P3/1P3PPP/R1BQKB1R b KQkq -,c8b7:g8f6
1r3rk1/6pp/4p3/1pRn4/P3p3/1P3P2/N5PP/3R2K1 b - -,e4f3
8/3b4/1p1r4/p1pB2k1/P1P2bp1/R2P4/4NPK1/8 b - -,f4e5
3Q4/1kp2p2/p7/1p2q3/8/P1R5/KPP2P1r/8 b - -,h2f2
2r2rk1/5pp1/n1p1p2p/ppb5/2P1P3/PP4P1/3N1PBP/R1R3K1 b - -,f8d8
rnbq1rk1/ppp1bppp/5n2/3p4/3P4/P1N3P1/1P2PPBP/R1BQK1NR w KQ -,g1f3
r1r3k1/p2qppbp/nn1p2p1/2pP4/2N1P3/P4N2/1PQB1PPP/1R3RK1 w - -,b2b3
2k2r1r/ppn1bpp1/2p1pn2/4N3/3P3p/P2R1PB1/1PP1N1PP/2K4R w - -,g3f2
r3kb1r/ppqn1ppp/4pn2/2p5/2P3b1/1PNPPNP1/PB4BP/R2Q1RK1 b kq -,a7a6
8/1N2k2p/2p3p1/1p1p4/p2Pbr2/P1P5/1P4P1/4R1K1 w - -,e1e2
r2q1rk1/pp2bpp1/2np1n1p/2pB4/4PB2/3P1N2/PPP3PP/R2Q1RK1 b - -,f6d5
r2q1rk1/1pp1bppp/1n2b3/pP6/3p4/P1NP2P1/4PPBP/R1BQ1RK1 w - -,c3a4
3q1rnk/4n1pp/8/2pp2B1/8/6P1/2r2PBP/3QR1K1 w - -,d1c2
6rk/3p3p/p1bBppr1/q1p5/2P5/1P3P2/P3QRPP/3R2K1 w - -,e2e3
r2qk2r/1bp2pb1/p3p1pp/1p2P3/2pPNB1P/5PP1/PPPQ4/1K1R3R b kq -,b7e4
3r2k1/1b3p1p/p2q1bp1/1p1pN1n1/5P2/1B1Q4/PP4PP/3RR1K1 b - -,g5e6
5r2/3R1pkp/6p1/7P/1PB2bP1/2P3q1/1PK1Q3/8 b - -,f4g5
r1br1nk1/ppq2pb1/2p2n1p/P3p1p1/4P3/2N1B2P/1PP1BPPN/R1Q2RK1 b - -,f8e6
3rr1k1/bp3p1p/p4Qp1/4R3/P7/1P1B3q/1BP1KP2/3R4 b - -,h3g4
5b2/6pk/3p2p1/pr1Np2p/1P2P1q1/2RP1P2/Q5PP/6K1 b - -,g4h4
3r1b1k/3r4/p1npq1pp/1p1Rp3/QPP1N3/4PN1P/5PP1/3R2K1 w - b6,c4b5
2r2rk1/7p/p2p1bp1/3P1p2/Ppn1pP2/6P1/1PP1N2P/1R1NR2K b - -,c8c5
7k/2r1pR2/3pB2p/pp1P2pP/2n5/P1P3P1/1P4K1/8 w - -,f7f8
r3r3/1p4bk/p1p4p/N1Pn1p1P/1P1Pp3/P3P1BR/5K2/6R1 w - -,a5b7
4k3/2B3p1/p1b2p2/6p1/8/P6P/1P1r1PP1/5RK1 w - -,b2b4
8/p1nkb3/1p2bpp1/2p1p3/4PP2/N1P1B1P1/1P3K2/5B2 w - -,f1d3
1k6/8/2K5/8/1P6/8/8/8 w - -,c6b6
8/p4k2/1p3p2/1P3K2/2P3p1/6N1/8/8 b - -,f7e7
rnb2rk1/2p1ppbp/p5p1/1p1qP3/8/2BB1N1P/PPP2PP1/R2QK2R w KQ -,e1g1
r2qkbnr/1p2pp1p/p2p2p1/2pP4/2PnP3/2N2B2/PP3PPP/R1BQ1RK1 b kq -,f8g7
2r2rk1/p3bp1p/1p1qp1p1/4N3/3PnP2/4B3/PP2Q1PP/2R2RK1 b - -,e7f6
8/8/5p2/5n2/3Rpk1p/5p1P/5K2/8 w - -,d4a4
r1b2rk1/5p1p/4pp2/pB6/1b1P1B2/4P2P/5PP1/R4RK1 b - -,c8b7
6r1/1pp4k/2n1q1rN/p3p1P1/4P3/7R/PP4QP/2R3K1 b - -,h7g7
q6k/1pp1r2p/3P2p1/3Q4/1P1b1rP1/7P/5PB1/1R3RK1 b - -,c7d6
Q1nr4/1pkq4/1p1b1p2/2pP4/3p2p1/R2N2P1/P4PBr/1R3K2 b - -,d7h7
r7/7p/P5p1/3p1p2/1k6/1P4P1/2K2P1P/5B2 w - -,h2h4
r1b1nk2/1pb4p/p1p3p1/1PPp2q1/P2Pp3/B3P2P/3QB1PN/R6K w - -,b5b6
r1bq1rk1/pp1n1ppp/2p1p3/3p4/1bPPnB2/2N1PN1P/PPQ2PP1/2R1KB1R w K -,f1d3
rnbqkb1r/pp3ppp/3ppn2/2p5/4P3/5N2/PPPPBPPP/RNBQR1K1 b kq -,f8e7
r4r1k/6pp/1p3n2/4q3/2B1p2B/4b3/PPN3QP/R6K w - -,c2e3
7r/rp1k4/2nppp2/1PpN2p1/2P3n1/3P2P1/4PPB1/1R2R1K1 b - -,c6d4
r5k1/p5pp/2p1p1r1/3n4/8/bPN5/P2B1PPP/2R2RK1 w - -,c1d1
r5k1/4r1p1/1p2ppQP/3p4/1q3P2/1P3nP1/3N1PK1/2R5 w - -,d2f3
8/3b1r1k/r6p/p1qp2p1/3N1p2/2P5/1P2QPPP/4R1K1 b - -,a6f6
2rr2k1/p4qbp/1pb1p3/2pp1p2/2P5/P2BPNP1/1PQ2PP1/1R2R1K1 b - -,d5c4
r3kbnr/pp1q1ppp/2n1p3/2ppP3/5P2/3P1NP1/PPP3KP/RNB1QR2 w kq -,c2c3
3k3r/3rbpp1/4p2p/4P3/p1QN3P/6P1/5PKN/8 w - -,d4c6
8/3k3p/3p4/P1pB4/4PPP1/8/1b2K2P/8 b - -,d7c7
8/p7/1p6/1P6/n1K1pk2/2P5/6B1/8 w - -,c4d4
r3r1k1/1p3ppp/5n1q/N7/3Q4/PP2n1P1/1B3K1P/2R1RB2 b - -,h6h2
2r2rk1/1p3ppp/pq2bp2/2Bp4/P7/1BP1Q2P/3P1PP1/R3R1K1 b - -,b6c5
r5k1/2q2p1p/2r1p1p1/2bbP1P1/1p2pP1P/1P2B1K1/2PR1Q1R/1N6 b - -,a8a1
8/8/5Q2/2k5/4P3/5K2/5N2/1q6 w - -,f6e5
2r3k1/pp3p1p/5p2/3Rr3/6b1/P7/1P2PPPP/4KB1R w K -,d5d4
rn3rk1/p5p1/1p1q1pNp/3p4/3P4/1Q2P3/P4PPP/2R2RK1 b - -,f8e8
r3kb1r/pp2nppp/1q2p3/nb1pP3/3P2P1/BP3N2/P1N1BP1P/R2Q1RK1 b kq -,b5e2
4r1k1/3p2p1/p2PprPq/1p1b4/2p3B1/2P1RP2/PP1Q4/2K3R1 w - -,g1g3
8/7R/5pp1/5k1p/r2p4/3K1B2/6PP/8 w - -,h7g7
r4rk1/pb2qpp1/1p2pn1p/1Bp1N3/P2PpP2/2P1P3/1P2Q1PP/R4RK1 b - a3,g8h7
r5k1/1p1bbr1p/p3pn2/3pB3/3P1p2/2N5/PP2B1PP/3R1RK1 w - -,f1f4
6k1/1R6/4p3/4r2p/1p4p1/1P4P1/P4PKP/8 b - -,e5e4
8/1r4p1/5p1k/3N3p/5P1K/6P1/n1R5/8 b - -,b7b1
r2qkbnr/ppp3pp/2n2p2/4P3/1PPp2b1/P4N2/4PPPP/RNBQKB1R w KQkq -,e5f6
b2qr1k1/r5bp/1p1p1pp1/pPpPp1P1/P1N1Pn1P/2B5/K1PQ1P2/3RN1R1 w - -,e1d3
r1b2rk1/1pqpbppp/p1N1pn2/8/4P3/P1NBB3/1PP2PPP/R2Q1RK1 b - -,b7c6
r5k1/pp3pp1/2pb3p/3p1q1r/3PnP2/5Q2/PPP1N1KN/R3B2R b - -,a8e8
1B3k2/2P2ppp/4n3/3p4/8/5P2/6PP/6K1 b - -,e6c7
r1bqk2r/pp2ppbp/6p1/3Pn3/4P3/5N2/P4PPP/1RBQKB1R w Kkq -,f1b5
1r4k1/Rr3pqp/4p1p1/2p1P2P/2Pp2R1/1b1B4/3Q1PP1/6K1 w - -,a7b7
2b1k1r1/8/p1q1pp2/7p/3R4/4B2P/3Q2P1/6K1 w - -,g1h1
6n1/5p2/5k2/2bBpPp1/4P1P1/5K2/2PB4/8 w - -,c2c3
rn1qnrk1/pbpp1pbp/1p2p1p1/3PP3/2B2P2/2N2N2/PPP3PP/R1B1QRK1 w - -,e1g3
r2r2k1/p2b1ppp/1p6/3NP1q1/3QP1P1/P5P1/1P4B1/4R1K1 w - -,e1f1
r3r1k1/pp3ppp/8/3Bpb2/3n4/2N3P1/PPPR1P1P/2K1R3 w - -,d5b7
2rr4/1p2p1kn/pq1pp1p1/7p/P3P3/6PP/1PP2PB1/1R1Q1RK1 w - -,e4e5
1k1r3r/pp2qp1p/1np1b1p1/3p3n/3P4/1NNBP2P/PPQ2PP1/1K1R3R b - -,h5g7
rn1qkbnr/pp2pppb/2p4p/3pP3/3P2PP/3B1P2/PPP5/RNBQK1NR b KQkq -,h7d3
r1bqkbnr/pp2pppp/2n5/2pp4/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq d6,d2d3:e4d5:e4e5
r3r1k1/pp1bq1pp/2p5/2n2p2/2PN4/1P2QPP1/4P1BP/R2R2K1 w - -,e3e7
1r1n4/p2r2k1/P3b1pp/R2pP3/1pp3PP/2P2BB1/2P3K1/1R6 w - -,b1b4
8/1PP5/8/8/6pk/1r5p/R6K/8 w - -,a2a1
2r3k1/6p1/2p3Kp/2B5/1P3PP1/2bR2P1/8/8 b - -,c3b2
1r1r2k1/2q3pp/1p2pp2/p1n5/P1PB1P2/4Q2P/1P4P1/2RR2K1 b - -,c7c6
2b5/7k/1P3p2/6pp/2B2P2/6P1/3K4/2n5 b - -,h5h4
8/5pk1/4p1p1/pR5p/4N3/P5bP/2r5/5K2 b - -,g3c7
4B3/5p2/4p1k1/2b2p1p/p4P1P/6PK/r7/2R5 b - -,c5f2
r1bqr1k1/1p1n1pbp/p2p2p1/2pP3n/P3P3/R1NBB2P/1P1N1PP1/3Q1RK1 b - -,a8b8
4n1k1/1p1qpp1p/pQ1p2p1/3P4/2P1P3/5P2/P3B1PP/6K1 b - -,d7c7
rnbqk2r/ppp1b1pp/4pn2/3p1pB1/3P4/4P1P1/PPP2PBP/RN1QK1NR w KQkq -,g5f6
8/R6p/p1r2kp1/4r3/8/7P/3n1PP1/3R2K1 w - -,d1d2
r2q1rk1/ppp2pp1/2nbp3/5n1p/2BP2b1/P1N1PNB1/1PQ2PPP/R3K2R w KQ h6,c4d3
br4k1/p4ppp/8/q2nP1N1/2p2PB1/2n5/P1QB2PP/5RK1 b - -,g7g6
1k6/1qn4p/p3pQ2/8/2r1P1R1/6PK/7P/8 w - -,f6f1
8/5p1k/4p1p1/8/3P2Pb/1P2Q2K/2q1P3/8 b - -,h4f6
4r1kb/2p2p1p/1p1pq1pB/p4r2/P1P4P/4P1P1/2R2PQK/2R5 b - -,h8f6
r1b1r1k1/1pq2ppp/p4b2/3P1p2/4n3/1Q2BN2/PP2BPPP/2R2RK1 b - -,c7d6
r1b1kb1r/p2n1pp1/2p1pn1p/q7/1p1PP2B/3Q1N2/PPP3PP/1NKR1B1R b kq -,f8e7
8/p4pkp/6p1/p1R5/2p3n1/2P2NP1/Pr1PP2P/6K1 b - -,b2a2
r1bq1rk1/pnp3bp/1p1p2p1/3P1p2/1PP1nP2/2N5/P1QN2BP/R1B2RK1 w - -,d2e4
r3kb1r/5ppp/p1p1pn2/1p1P3P/P1p1P2q/2P4P/5PB1/1RBQ1RK1 b kq -,a8d8
2b2b2/2k5/p6p/6p1/2BBP3/4K2P/P5P1/8 w - -,c4d5
r3qrk1/1pp1nppp/p2b1n2/3Pp3/8/1PN1P2P/PB1NQPP1/R2R2K1 b - -,e7g6
r1q1k2r/pp2bpp1/2pnp2p/N2nNb2/3P4/1Q4P1/PP2PPBP/R3BRK1 w kq -,a5b7
2n2rk1/pr1b3p/R3pPp1/1p1p4/1P3N2/2PB2P1/1P2KPP1/R7 b - -,b7b6
8/5pk1/1n2p3/3p2p1/1rbP2P1/4NP2/4PK2/2R2B2 b - -,c4b5
r2r2k1/1p1n1p1p/p1pq1bp1/3p4/PP1P4/2NQPN2/5PPP/1R3RK1 w - -,f1c1
8/6Bp/1b2k3/pp6/2P1K1PP/8/P7/8 b - -,b5c4
2r2rk1/4pp1p/1Qp3p1/3pP3/5Pq1/8/PPRB3P/5RK1 w - -,g1h1
rnbqkbnr/ppp2ppp/4p3/3p4/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq -,f1d3
r3r1k1/pp2qpb1/2p1bn1p/4p1p1/4P3/2N1B2P/PPP1QPP1/R2R1BK1 b - -,g5g4
r2q1rk1/pp1nbppp/2p2n2/4p3/4P3/2N2BPP/PPP1QP2/R1B2RK1 w - -,f1d1
4bqk1/2b5/2p3pp/1pPp1p2/4rP2/PQ2PN1R/6PP/2R4K w - -,b3d3
r4rk1/4bppp/pq1p1n2/1p2p3/4P1BP/1N3P2/PPPQ2P1/1K1R3R b - -,a6a5
6Q1/p4p2/4k3/4b3/1P1q4/P5PP/5P2/6K1 b - -,d4d1
1r2r2k/1p4pp/2nqBp2/p1b2P2/2Pp2bQ/PP1P4/1BN4P/1R2R1K1 b - -,h7h5
r1r3k1/2qbbppp/n2p4/1p1Pp3/4P1P1/P3N3/P2B1PP1/RB1QR1K1 b - -,e7g5
8/1r6/8/1P2kpp1/8/K7/7R/8 w - -,a3b4
5b1r/p1r1kppp/1p2pn2/1N3bB1/Q3p3/8/PP3PPP/4K2R b K -,c7d7
2r2bk1/1pr2p1p/1n2p1p1/pP1q4/P1nP4/1Q1B1N1P/2R2PP1/3RB1K1 b - -,f8d6
rn2k2r/4ppbp/3p1np1/2pP4/1q2PP2/2N2N2/PPQB2PP/R3Kb1R w KQkq -,h1f1
6r1/1ppk4/2b1p3/4Bp1p/p2P1K1P/P4PP1/1P6/2R5 b - -,g8c8
3rb3/ppb1r2p/2P2kp1/1P1B1p2/P2Np3/7P/5PP1/1R1R2K1 w - -,c6b7
5r1k/rp2n1pp/p1nR4/4p3/2b1B3/1NN5/PP3PPP/5R1K w - -,f1d1
5b1r/2q2r1k/1p1p2pp/p1n1ppP1/P1P4Q/1P3P2/2BB3P/3RR2K w - -,g5h6
r1bqk2r/pppn1pbp/3p2pn/4p3/3P4/4PN1P/PPP2PPB/RN1QKB1R w KQkq -,c2c3:f1e2
2r1k1nr/p3ppbp/npp3p1/q3N3/3P4/2N1B3/PPP1QPPP/2KR3R b k -,a6b8
8/4R3/1r4k1/5p2/3n1P2/4N1P1/5K2/8 w - -,e3c4
3r1rk1/1p3pp1/p1p2Qp1/8/3P4/1PNB3P/P5P1/5RK1 b - -,g7f6
2r2rk1/1p2pp1p/1n1p2p1/pB1P4/4P3/5P2/PP4PP/2RR2K1 b - -,g8g7
r1bqk2r/p1pp2pp/2p2n2/2b1p3/4P3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,c1g5
8/1r4p1/6Rp/3kP3/3p1PK1/P5P1/7P/8 w - -,g6d6
r4rk1/p1p2ppp/4bn2/4q3/2Q5/6P1/PP2PP1P/RNB2RK1 w - -,c4d3
8/5N2/4p1p1/p6P/6P1/K2n1k2/8/8 b - -,g6h5
rnbqk2r/pp2ppbp/5np1/2P5/2p5/1QN1P3/PP3PPP/R1B1KBNR w KQkq -,f1c4
rnbqkbnr/pp1ppppp/8/2p5/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq c3,b7b6:d7d6:g7g6:e7e6:e7e5:b8c6
8/8/R2pk3/4p3/4P3/2P1K3/7r/8 w - -,a6a7
rnbq1rk1/1p2ppbp/p1pp1np1/8/2PPP3/2N1B2P/PP2BPP1/R2QK1NR w KQ -,g1f3:a2a4
1r6/4rk1p/R3p1p1/2p5/3b1P2/P7/1P2R1PP/2B2K2 b - -,e7b7
