3r3Q/6K1/8/6k1/8/8/8/8 b - -,d8h8:d8d7
r2qk2r/pppnbpp1/1nb1p2p/4P3/3PN3/P2B1N2/1P3PPP/R1BQ1RK1 w kq -,b2b4
5bk1/1B6/1B1p2r1/3Pp2p/4P3/1N3p2/4b1pP/4R1K1 w - -,b3c1
r1bq1rk1/pppnnpbp/3p2p1/3Pp3/2P1P3/1Q2BN2/PP1NBPPP/2R1K2R w K -,e1g1
2r3k1/1p2pp1p/3p1bp1/p2P4/P7/1Pr3P1/2P2PBP/1RR3K1 w - -,g2e4
2r1r1k1/5p2/R2p2p1/8/4n3/4B1Pp/1bQ2P1P/3R2KB b - -,c8c2
3k4/2R5/5N2/2b5/8/2r1P1P1/5K2/8 w - -,c7d7:f6d5
r3k2r/5ppp/p3p3/1p1p1n2/5P2/1PPN4/P4KPP/R4R2 w kq -,d3c5
6k1/q2np3/p5pp/1rp2rN1/1pR2P2/1P1P3P/1Q2P2K/2R5 w - -,g5e6
r2qr1k1/p4pbp/b2p2p1/2pn4/1p2P3/3n1PP1/PPQNN1BP/R1BR2K1 w - -,d2c4
r3kbnr/pp1n1pp1/1qp4p/3p1bB1/3P4/2N1PN2/PP1Q1PPP/R3KB1R w KQkq -,g5h4
4k3/1pN2p1p/1b3np1/3r4/3pp3/P2P2PP/2R1PPB1/6K1 b - -,b6c7
r2qkb1r/pp3ppp/2p1pnb1/3pP3/2P5/2NBP2P/PP3PP1/R1BQK2R b KQkq -,f6d7
4r1k1/2Q4p/2p2pq1/3bP3/8/5PBP/6P1/R5K1 b - -,g6g3
2r1b1k1/2rq1np1/1b1p1p1p/1p1P3P/pP2PQPN/R1P5/3B3K/4RB2 w - -,h4g6
r3r1k1/ppp1qppp/2n2n2/1B1p4/1PPP4/1P2PQ1P/1B4P1/RN3K1R b - -,e7b4
8/4k3/8/2N1K3/8/8/4r3/5R2 w - -,c5e4
2r2rk1/5p1p/pB2q1p1/3b3n/1P1p4/P2Q1P2/4N1PP/2R2RK1 w - -,b6c5
8/2q3k1/2P2rp1/4Np1p/p1QP3P/4P1P1/K7/8 w - -,c4c3
r2k1b1r/pp1n1ppp/4pn2/1Npp4/4P3/1P6/PBPP1PPP/R3K1NR w KQ -,e4d5
8/5k2/8/5P2/3R2P1/8/p5r1/K7 b - -,f7f6
r1b2r2/p1q2pbk/2p3pp/4p3/PpNnP3/1B2N3/1PP2PPP/3RQRK1 b - -,f7f5
r2q1rk1/pp1nnppp/2pb2b1/3pp3/4P1P1/3P3P/PPPNQPBN/R1B2RK1 b - -,d7c5
r3k2r/1ppqn1p1/pbnp1p2/4pb1p/1PP5/P1NPPNPP/1B2QPB1/R3K2R b KQkq -,g7g5
r4r2/1ppqn1bk/4bppp/p7/3n4/2P1N1P1/PPQ2PBP/R1BR2K1 w - -,d1d4
4rrk1/1ppq3p/p1p2pp1/5n2/3PRP2/1PP2PB1/P2Q3P/3R2K1 w - -,g3f2
2r2rk1/4bppp/1q1p4/1p1Rp3/1P2P3/8/PB2QPPP/3R2K1 b - -,c8c7
8/6p1/p2kp2p/1P3p1P/3N1P2/3BK1P1/8/r7 b - -,a6b5
r1b1k2r/p4p1p/2pBpn2/1pPp4/3P4/3BPP2/1P1K1P1P/R5R1 b - -,a7a5
3r1k2/1pp2p2/p5p1/4pP2/4P2p/2P4P/1q1r1PQ1/2R3RK w - -,c1b1
2b3k1/p6p/1p2p2p/4Q3/2P1B1KP/1P4P1/P2r1r2/8 b - -,d2e2
r1b2rk1/pp1nppbp/1q1p1np1/2pP4/2P1PP2/2NB1N2/PP1B2PP/R2Q1RK1 b - -,e7e6
1k6/1p4p1/1ppN1pPr/8/6p1/6P1/P7/4R1K1 b - -,h6g6
5rk1/3nb1pp/n3p3/1q1pP3/1p1B4/1P2RN1P/3N1PP1/1Q4K1 w - -,h3h4
r2qr1k1/bbp2pp1/p2p1nnp/1p2p3/3PP3/1PP1BNNP/P1B2PP1/RQ2R1K1 b - -,c7c5
1q4k1/1p2ppb1/3p2n1/p1rP1bP1/P2R4/NBP2Q2/KP6/7R b - -,b8c8
r1b2rk1/1p4pp/pnn1pp2/8/4P3/4NNP1/PP3PBP/2R2RK1 w - -,f1d1
6k1/p4pb1/2p3p1/5b2/2p1rB1p/2P4P/PP4P1/4RNK1 w - -,e1e4
2k2b1r/pp2pppp/2nr1n2/1Bp4q/Q2P2b1/2P2N2/PP1N1PPP/R1B1K2R w KQ -,b5c6
8/1p1R2pk/5p2/5P1p/5K2/8/7P/1r6 w - -,f4g3
2q3k1/2r2pp1/p1p4p/Pp1p4/1P1P2r1/3QP3/5PPP/2R2RK1 w - -,d3e2
r1b2k2/1p3pb1/p1p2qp1/3p4/Q7/2PBPN2/PP3PP1/2K4R w - -,a4b4
r4rk1/p3Rpb1/1p4p1/6p1/8/1P4B1/5PPP/3R2K1 b - -,f8d8
2b1k2r/2rqbppp/p1p2n2/2PpQ3/1P1N4/4R2P/PBPN1PP1/R5K1 w k -,d4f5
6r1/p3qk1p/bp6/2pR1p2/2P2Pp1/2Q1p3/PB2B1PP/6K1 b - -,f7g6
3r1rk1/ppqn2p1/2pR1npp/2P5/4Pp2/1N2Q1PB/PP5P/5RK1 w - -,g3f4
r4rk1/5ppp/1qp2n2/2N1pb2/1PB5/6Q1/PR3PPP/4K2R b K -,a8d8
2R5/p5k1/1p6/2p3p1/P2p2P1/1r1P2P1/8/6K1 w - -,c8c7
r1bqkb1r/3n1ppp/p2ppn2/1p4B1/3NP3/1BN5/PPP2PPP/R2Q1RK1 b kq -,d7c5
2r5/4pk2/1p1p2p1/p1r4p/P1PKBPb1/1PR3P1/7P/4R3 b - -,c8c7
r1b1r1k1/pp3ppp/5n2/2p1q3/8/P1PBP3/2Q2PPP/R1B2RK1 w - -,f2f3
r1bqr1k1/pp3pbp/2pp2p1/5p2/1PP1n3/2NPP1P1/P3NPBP/2RQ1RK1 b - -,e4c3
r2q1rk1/pp1b1p1p/2n2bp1/3p4/4B3/P3B3/1PQ1NPPP/R2R2K1 w - -,e4d5
rnbqr1k1/1p3pbp/p2p1np1/2pP4/4P3/2NB2N1/PP3PPP/R1BQ1RK1 w - -,a2a4
r4rk1/p3qpb1/1p1pb1pp/4p3/2P1P3/1PN1Q1PP/P4PB1/R2R2K1 w - -,d1d3
r1bqn1k1/ppp1r1b1/3p1npp/2PPp3/1P2Pp2/2N2P2/P2NBBPP/R2Q1RK1 w - -,a2a4
rr1q2k1/4ppbp/1n1p1np1/1NpP4/P3P3/5NP1/1P1B1PKP/R2QR3 w - -,b2b3
8/2k5/8/4p3/1P2B3/7r/2K5/2B5 w - -,c1g5
rn1r2k1/1pq2p2/p3bbpp/2p1p3/4P3/2PBNN1P/PP2QPP1/R3R1K1 b - -,b7b5
8/8/1bB5/p3k3/P1P3p1/4P3/4K3/8 b - -,g4g3
r1bq1rk1/pp1n1pbp/2p3p1/8/Q2PP3/4BN2/P3BPPP/2R1K2R b K -,d7f6
1r3r1k/p1pq2p1/Q2p2pp/6b1/2P5/2P1BPR1/PP3P2/2K3R1 b - -,g5e3
r1bq1rk1/1p3ppp/2nb1n2/p3p1B1/2Pp4/P2P1NP1/1P3PBP/RN1Q1RK1 w - a6,b1d2
r5k1/p2p1n2/bp1Pp2p/5p2/q2R1P2/P1Q3P1/1P5P/4R1K1 b - -,a4b5
r4rk1/1b3ppp/pqn1pb2/1p2P3/1P6/P4NP1/3NQPBP/2RR2K1 b - -,f6e7
8/5p1k/2q4b/5N1Q/8/8/5PK1/8 w - -,g2f1
1r6/p2p1pk1/b5p1/Nr2P2p/1P3P2/4K3/5P2/2RR4 b - -,b5b4
1r4k1/r1p1qp1p/2Rp1b2/3P2p1/p1Q1PP2/Pp4P1/1P1RB1KP/8 w - -,e2g4
r1b2rk1/pp1nqppp/4pn2/2p5/2BP4/P1b1PN2/1P1BQPPP/R4RK1 w - -,d2c3
8/4k3/1p2n2R/6P1/4p3/1r6/4K3/7B w - -,h1e4
r1r3k1/2q1bppp/pp1ppn2/8/2n2B2/2N1P3/PP1NQPPP/R2R2K1 w - -,d2c4
2rr2k1/1pq2p1p/p4bp1/3N3n/PnP5/1P2BP2/3QN1PP/1R3RK1 b - -,b4d5
r5k1/q4pbp/pp1rp1p1/2Nn4/PP6/5QPP/3B1PK1/2RR4 w - -,c5e4
r3k2r/p3qppp/2p1p3/1b1nN3/8/2N1P3/P2P1PPP/2RQR1K1 w kq -,a2a4
r1b1k2r/pp1pbppp/1qn1pn2/8/4P3/1NNB4/PPP2PPP/R1BQK2R w KQkq -,c1e3:e1g1:f2f4
4rrk1/p2qbpp1/1p2bn1p/2p5/2Pp4/1N1P1QP1/PP1B1PBP/R3R1K1 b - -,e8c8
r1bq1rk1/pppnppbp/6p1/8/8/2PP2P1/P1Q1PPBP/1RB1K1NR b K -,c7c5
r1bq1rk1/p2n1ppp/1ppbpn2/3p4/2PP4/1PNBPN2/P1Q2PPP/R1B2RK1 b - -,c8b7
r2bk2r/1b3p2/p2p2pp/1pqNp2n/4P2P/4NP2/PPP3P1/1K1RQB1R w kq -,g2g3
r2q1rk1/pb1p1ppp/5n2/b1pP4/2P5/1Pn3P1/3BNPBP/1R1QK2R w K -,d2c3
r2q1r1k/pQp3p1/3p2pp/6b1/2P5/2P1BP1R/PP3P2/2K3R1 b - -,d8d7
r1br4/p1q2pkp/1pp3p1/8/3pPp2/P2P3P/1PPQ2PN/R4RK1 w - -,f1f4
r5k1/ppp1n2p/5pp1/1P1r4/2NNn3/R1P1P3/1P4PP/5RK1 b - -,c7c5
r2r2k1/pp2ppbp/6p1/3n4/2BP1P2/4B3/PP3P1P/R3K2R b KQ -,d5b6
6k1/5p2/2p3pp/1p2p3/1r2P1P1/4KBP1/4N2P/8 w - -,e2c1
r7/P7/8/5pk1/8/R3KP2/7p/8 w - -,f3f4
r3k2r/2q1bppp/p2p1n2/np2p3/3PP1b1/2N1BN2/PPB2PPP/R2QR1K1 b kq -,e8g8
r4r2/ppq3bk/2p1bnnp/4pp2/2P5/1PN3PP/P3QPB1/R1B1NRK1 w - -,c1b2
8/p4n2/1p1n1k1p/2pP1pp1/2P5/1P2K1PP/P5B1/2N5 b - -,f7e5
r4b1r/p4k2/2p2p2/4p3/8/4B3/PPP2P2/2KR2R1 b - -,f7e6
r3r1k1/pp3ppp/2p5/2b5/4nN2/1PP5/P1b1BPPP/R1B1RK2 w - -,e2d3
8/2R5/1P1pNk2/3Pn3/4P2p/5prP/5N2/5K2 b - -,g3g8
r1bq1rk1/p3ppbp/5np1/2np4/8/4PN2/PBPNBPPP/R2Q1RK1 w - -,c2c4
7k/1b3p1q/p3pP2/1p2B1Q1/3P4/8/1P4PK/8 w - -,h2g3
r1bq1rk1/pppnbppp/4pn2/3p4/2PP4/4PNP1/PP1BQPBP/RN2K2R b KQ -,c7c6
r1b2rk1/pp1nqppp/2p2n2/3pp3/1bPP4/1PNBPN2/P2B1PPP/R2Q1RK1 w - -,d4e5
3nr2k/pp5p/4pp2/3p4/3P2r1/4PN2/PP3RPP/4R2K w - -,h2h3
r1b1qrk1/1pp3bp/3p1pp1/pNnPp3/1nP1P1PN/4B2P/PPB2P2/R2QK2R b KQ -,e8e7
r1bqnrk1/pppn1pbp/3p2p1/3Pp3/4P1P1/2N1BP2/PPPQ3P/2KR1BNR b - -,a7a6
r2q1rk1/5pp1/n1p2b1p/1pPp1b2/1Q1P1p2/2N2NP1/P3PPBP/R4RK1 w - -,b4b3
r5k1/1b3r1p/3p1qp1/1pnPp3/1Np1P2R/2P2PQ1/1PBK2P1/7R b - -,f6e7
8/1p4pk/7p/p2p4/Pb1P1P2/6P1/1q3P2/2R2RK1 w - -,c1c7
r1bqr1k1/pp1n1ppp/2pbpn2/3p2B1/2P5/2NP1NP1/PPQ1PPBP/R4RK1 b - -,d8a5
r5k1/4qpb1/2p3p1/3p3P/2b2Q2/2N2RP1/1P6/1B5K b - -,g6h5
r5k1/3p3p/p3p2r/2n1Ppp1/3N4/2P3P1/1PR4P/R5K1 w - -,c2d2
3k4/5R2/4K1p1/7r/5P2/8/7P/8 w - -,f7f8
r1bqk1nr/pppp1pbp/2n1p1p1/8/3P1P2/2P1PN2/PP4PP/RNBQKB1R b KQkq -,g8f6
6k1/p3r1b1/6pp/3B1p2/2P1p3/3r4/P2PRPPP/3R2K1 b - -,g8h7
8/8/7p/PK4k1/8/1N2b2P/8/2q5 w - -,b3c1
1br5/pr1k1p1p/2p1p1p1/8/RPKP4/2R1B2P/1P3PP1/8 b - -,b8d6
1r6/4r1k1/4pq1p/2Pn1pP1/Q7/P4N2/R5PP/4R1K1 b - -,h6g5
3r2k1/6b1/4p1n1/R7/1p1p2q1/3Q2B1/PPP5/1K5R b - -,d8f8
1r3r2/3q3k/3p2pp/3Pp1b1/p1Bnb3/3Q1P2/P2B2PP/1RR4K w - -,f3e4
4rnrk/2q2b1p/p3pPp1/1p1pP1P1/2pN3P/P1P1R3/1P2B1KQ/7R w - -,h2f4
r1bq1rk1/pp4pp/2nb1n2/1B1p2B1/2P1p2Q/5N2/PP3PPP/RN3RK1 w - -,c4d5
8/8/5p2/6Q1/2p3q1/2P3kp/8/6K1 w - -,g5e3
3rr3/1p3k2/1p2Rnp1/3P1p2/7P/1B3P2/PP3P2/4R1K1 b - -,e8e6
rnb2r1k/1q2bppp/p2ppn2/1p6/3NP3/1BN1BPQ1/PPP3PP/3R1RK1 b - -,b8d7:c8d7
4r2r/p7/1p2Nk2/3B1p2/3P3n/2P3P1/PP6/5RK1 w - -,g3h4
r4rk1/pp2qpb1/2p1n2p/4P1p1/2B5/4PRBP/PPQ3P1/5RK1 w - -,c2f5
8/8/8/7K/1b3P2/7P/k7/3r4 w - -,f4f5
8/2k3r1/1p1p2q1/p3p3/2P1P3/1P2Q3/P2R2P1/6K1 b - -,g7h7
r2q1rk1/1b2bppp/pp3n2/n2pN1B1/2pP4/P1N3P1/1PQ1PPBP/2R2RK1 b - -,b6b5
rnb2rk1/ppp1ppbp/5np1/4P3/5P2/2N2N2/PPP3PP/R1BK1B1R b - -,f8d8:f6h5
8/5k2/8/2pPn1p1/4PpPp/3B3P/1PK5/8 w - -,d3e2
r7/ppq2p2/3pk1p1/4p1P1/7Q/1N6/1KP5/5R2 w - -,f1f6
r2q1rk1/1b3ppn/pp2p3/2p1P1Pp/3pP2P/1P1P4/P1PNB3/R2Q1RK1 b - -,g7g6
2r1kb1r/ppp3pp/2n1pp2/8/5B2/2P2N2/PPPR1PPP/R5K1 w k -,a1d1
1r3bk1/p2b3p/3n2p1/2pPpp2/p1P1P3/R3BP2/2BN2PP/6K1 w - -,c2a4
2r4k/5b1n/p1pR1p2/4pN2/2p1P1P1/2P1B2P/PP5K/8 b - -,h7f8
r1b1rbk1/2q2ppp/pnnp4/1pp1p1B1/3PP3/1PP1NN1P/P1B2PP1/R2QR1K1 w - -,d4d5
8/1p1q4/2p5/2P1n3/3rk3/P6P/Q4R1K/8 b - -,e5f3
r1bqkb1r/pp3ppp/2n1pn2/2pp4/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq -,b1d2
5rk1/pp6/6pp/2p5/4P2P/1P2pBP1/P1PbR2K/8 w - -,h2g2
r1bq1b1Q/pp3kp1/5np1/3pp3/8/1n1B4/PP3PPP/R1B2RK1 w - -,a2b3
r2R1bk1/p4p1p/1nb3p1/4p3/4P3/P1N1BP2/1P2N1PP/4K2R b K -,a8d8
rnbqkb1r/ppp1pp1p/3p1np1/8/2PPP3/5P2/PP4PP/RNBQKBNR b KQkq e3,f8g7:e7e5
8/pp2kp2/6p1/2p5/5PK1/Pb2P2P/1P6/1B6 w - -,h3h4
4nk2/p4ppp/2bq4/5Q2/2Pp4/6P1/PP3P1P/4R1K1 b - -,g7g6
r4r2/1bq1ppbk/pp1p2pp/2p5/P1BPnB2/1QP1PN1P/1P3PP1/R1R3K1 w - -,c4d5
1k4r1/1bp2p1p/1p2q1r1/1B1p4/P1nPp3/2Q3BP/2P2PP1/RR5K w - -,a4a5
3rr1k1/p2Q2b1/4B1p1/q1p1p1Pp/p3P2P/2P1NP2/1P6/3R2K1 b - -,g8h7
4r3/3n1pkp/4p1pn/2qpP1N1/2r2PPN/P1p4P/P7/4RRQK w - -,g1g3
4k1r1/1bR5/1p1p2Pp/1q1P1p2/3QPP2/8/7K/6R1 b - -,b5e2
r1bqkb1r/ppp2ppp/2n2n2/4p3/4P3/2P2NP1/PP1N1P1P/R1BQKB1R b KQkq -,f8e7
r1b1k2r/3nbppp/3ppn2/qN4B1/4P3/2N3Q1/PPP2PPP/2KR3R w kq -,b5d6
b3r1k1/5pbp/1q1p1np1/1p2n3/4P3/1N5P/1PBN1PP1/2BQR1K1 w - -,d1e2
2k5/2p3pp/2P2p2/1P2n3/1r4P1/7P/7K/R7 b - -,b4b5
4r3/1pkr1pp1/p2b1n1p/4p3/2P5/4BN2/PP1R1PPP/3R2K1 w - -,c4c5
1r4k1/1b3pbp/6p1/3Rp3/1QP1q3/4B2P/B4PP1/5RK1 b - -,g7f8
8/p6p/1r1k4/3n1p2/8/P3P1K1/1PR2P1P/8 b - -,d6e5
8/7p/1pr1k1p1/p1b5/4PP1P/1RNK2P1/8/8 w - -,g3g4
8/2q2ppk/1n1R1b1p/1p2p3/1Pp1P3/P1B2N1P/5PP1/2Q3K1 b - -,c7d6
8/8/5p2/4p3/4P1pk/3K2q1/4B1Q1/8 w - -,g2g3
6k1/p2n1pp1/4bb1p/1p1p4/3P4/1P2QNPP/P2N2PK/1Bq5 w - b6,e3d3
