4Q3/5pkp/3r2p1/1P6/8/5qPP/5P1K/8 w - -,e8e5
1r2r1k1/2qn1pbp/pn1p2p1/3PP3/N1p2P2/R4N1P/1P4P1/2BQR2K b - -,d6e5
r3r1k1/1bqnbppp/p2p1n2/8/1p2PPP1/2N1BB1P/1PPN1Q2/R4RK1 w - -,c3a2
r4rk1/p1qbbpB1/2n1p3/2pp3Q/5P2/PP2P3/2P3PP/RN3RK1 b - -,f7f5
r4rk1/np3qbp/p1p1p1p1/P1NbPpB1/1P1P1Q2/8/4BPPP/R4RK1 b - -,a8c8
6rk/2r2p2/3p1q1p/p1pBb1pP/Pp1pP1Q1/1P1P2P1/2P2P1K/4RR2 w - -,h2h3
6k1/6p1/4pp1p/1N6/rP1PP3/5P1P/5KP1/8 b - -,a4b4
r1q5/p3b1pk/5n1p/1R6/3P4/3NP2P/Q5P1/6K1 b - -,a7a6
rn1qkb1r/pp3pp1/2p1pn1p/3p1b2/2P5/1P1PPN2/PB1N1PPP/R2QKB1R b KQkq -,b8d7
r1bq1rk1/pp3pp1/2n1p2p/b2n4/3P4/P1NB1N2/1PQ2PPP/R1B2RK1 w - -,c1e3
5k2/p6p/5rp1/N1Pp4/3P2P1/7P/PP3PK1/8 b - -,f6e6
2bqk2r/r4ppp/p1nppn2/8/1p2P1P1/1NNB4/PPP1QP1P/2KR3R w k -,c3a4
1B6/4k2p/pKP1b1p1/P4nP1/6B1/8/8/8 w - -,b6a6
r1bqk2r/pp1nbppp/2p4n/4p1N1/2B1P3/2N5/PPP2PPP/R1BQK2R w KQkq -,g5e6
r1q1R1k1/5pb1/p1bp2pp/1p1B1n2/5B2/2P2N1P/PP3PP1/R2Q2K1 b - -,c8e8
rnb2rk1/pp4qp/2p2b1n/6p1/2P1P1p1/1PNNP3/PB1Q2BP/3R1RK1 b - -,b8d7
2r2rk1/1b2bppp/p3p3/P7/8/2pNB3/1P3PPP/2R1R1K1 w - -,c1c3
rnbq1rk1/pp2ppbp/5np1/3pP1B1/2pP4/3B1N2/PPPN1PPP/R2QK2R w KQ -,d3c4
1rq2rk1/1p2ppbp/p1npb1p1/P7/2PBPP2/1P2N1PP/R2Q2B1/5RK1 w - -,d4g7
r1r3k1/2q2p2/pn1p1npp/1p2p3/1P2P3/P1NR1N2/1P2QPPP/5RK1 b - -,g8g7
4r1k1/5p1p/3pr1p1/8/1pP5/3nP1P1/P2R1P1P/b2R1B1K w - -,d1a1
r1bqk2r/pp1pnpbp/2n3p1/2p1p3/4P3/2PPB1P1/PP2NPBP/RN1QK2R b KQkq -,d7d6
2R5/6p1/P7/3nk3/BKP2r2/8/3p4/8 w - -,b4a5
r2qk2r/pp3pbp/2n1b3/3pp3/4N3/1B6/PPP2PPP/R1BQK2R w KQkq -,e4g5
1r3rk1/5p2/2n3p1/3q1N2/3Pp2P/1pB1Q2B/7K/1b4R1 b - -,b8b5
2r1k2r/1bq1bp2/p2pp3/1p2n1p1/3NP3/3B1P2/PPPQ1BP1/1K1R3R b k -,h8g8
5r2/5pk1/p1Rp1np1/3Pp2p/1P2P2P/P1N3Pq/4QP2/6K1 w - -,e2f1
8/4kP2/8/7p/pKP3pP/P7/1P6/8 w - -,b4b5
r2q1rk1/1p1bppbp/p1p2np1/2Pp4/3P1P2/2NBP3/PPQ3PP/R1B2RK1 b - f3,f6g4
8/4k1pp/br2pp2/8/2p1P1N1/1r3P2/RP1R1KPP/8 b - -,b3d3
r2q1rk1/pbpn2pp/1p1pp3/5p2/2PPn3/PP1BPN2/1BQ2PPP/R3K2R b KQ -,d8e7
r1b2k2/1p3pp1/p7/5P1r/6Pp/2PR4/P3N2P/5RK1 b - g3,h5g5
8/8/2N3pk/8/2Br4/1P4K1/7P/8 b - -,d4d1
r5k1/p2p2q1/1p4p1/2p1r1p1/6Q1/n1PB4/P5PP/R4RK1 w - -,g4a4
r1bqk2r/1p2ppbp/p1np1np1/8/3PP3/2NB1N1P/PP3PP1/R1BQK2R w KQkq -,e1g1
r2qk1nr/pp1bppbp/2n3p1/2p5/3p1P1N/2PP2P1/PP2P1BP/RNBQ1RK1 w kq -,f4f5
r7/1p2P1p1/1k1K2B1/1r6/8/5RP1/8/8 b - -,b5b2
8/5kpp/8/1p6/1K3p1P/4RPP1/3r4/8 w - -,g3f4
4r1rk/R4Rbp/6p1/3Q4/8/2P1N2P/5PP1/1q4K1 w - -,g1h2
4n3/p1bq2kp/1p3pp1/3pn3/1P1Q3N/P3P1P1/1B3PBP/6K1 w - -,g2d5
5R2/k7/4r3/1Ppb4/2N3p1/8/2K2P2/8 w - -,c2c3
3r1r1k/6p1/p4N2/3P3p/5QpP/2N1Pn2/PP1p1q2/1K1R4 w - -,f6e4
1Q6/5bkp/r1p3p1/N2p1p2/1Pp2P2/P3q1PP/4B3/5K2 b - -,a6a7
7r/ppp2kp1/2n4p/2p5/4R3/P4N1P/1PP2PP1/6K1 b - -,h8d8
n7/2k5/2PN4/p1K5/8/8/8/8 w - -,d6c4
2r2r1k/3nq1bp/p2p4/1p1Pn1PB/2pBPp1P/8/PP1NQ2R/6RK b - -,d7c5
2krr3/1pp2pp1/p2pbb2/3B3p/2P2B2/5P1P/PPP3P1/2KRR3 w - -,a2a4
rn4k1/p2pq1pp/1ppbp3/8/2PP4/2N2Q1P/PP1B1PPn/4RRK1 w - -,f3e2
4n1k1/p1qb1p2/1pp3p1/6P1/4Q3/4NB2/PP2PP2/6K1 w - -,f3g4
r1q2b1k/p5p1/4RnQp/1p1p1P2/2p5/3R4/PPP3PP/6K1 w - -,d3h3
r3r1k1/1p3ppp/2pq4/p2p1b2/1P1Pn3/P3P3/1Q1NBPPP/R3R1K1 b - -,e4d2
r2q1rk1/pp4p1/3b1npp/2pp4/7P/2NQ1P2/PPP1P1P1/2KR1B1R b - -,d5d4
3r4/p4pk1/1p1qpnpp/4Nn2/2PP1QP1/5N2/P4P1P/3R2K1 b - g3,f5e7
8/4p1kp/3q2p1/8/4R1Pb/5Q1P/6K1/8 w - -,f3e3
3r2k1/4qppp/1pr1pn2/p2P4/3Q1P2/PP4P1/3B1P1P/R3R1K1 b - -,d8d5
rn1qkb1r/pp3p1p/2p1pp2/3p1b2/2PP4/2N1P3/PP3PPP/R2QKBNR w KQkq -,c4d5
1r4k1/5p2/6p1/5R1p/pbp5/5B1P/5PP1/1R4K1 b - -,g6f5
5R2/8/4p1k1/3pB1Pp/3P2r1/3b3K/8/8 w - -,f8g8
r2r2k1/1ppbn1p1/p2b1q1p/3Pp3/4Pp2/P1NB1N2/QP3PPP/3R1R1K w - -,f3d2
rn1q1rk1/pp2ppbp/2p1bnp1/6B1/2QP4/2N1PN2/PP3PPP/R3KB1R w KQ -,c4d3
r3r1k1/p1pb1ppp/1qp5/3pP3/3Q4/1NP1R3/PP3PPP/R5K1 b - -,e8e7
8/8/pBn5/P2k1pp1/8/3K1P2/8/8 b - -,c6e5
2r1q1k1/5pbp/2p1r1p1/2B2n2/Q2PB3/6P1/2N2P1P/R2R2K1 b - -,e6e4
8/1p3qk1/1p1r2p1/p4p1p/Pn1Pp3/1Q2P1P1/1P3P1P/2R2BK1 w - -,b3f7
3r4/8/p1r1k1p1/1p2b2p/1P1p4/2PKN3/1P4P1/3R1R2 w - -,d3e4
5k2/2p2r2/1bPp2p1/3P1n2/1R4p1/3R3P/8/7K w - -,h3g4
8/1p1n2p1/p1pbkp1p/P3p3/NP2P3/2PKBP1P/6P1/8 b - -,d6e7
r1bq1rk1/pppn1ppp/1b6/4p3/1P6/P2P1B2/1BP1NPPP/R2Q1RK1 b - -,f8e8
8/p5k1/1p3br1/7p/2P2R2/P5q1/K1Q5/5R2 b - -,h5h4
8/7k/p7/P7/1P1Q1P1K/7P/q7/8 w - -,h4g3
r3k2r/pp1qppbp/2n2np1/1B1p4/3PP3/2N5/PP3PPP/R1BQK2R w KQkq -,e4e5
1r3rk1/3n2pp/1Pp1p1b1/p3P3/8/PP2P1NP/1B3PK1/R1R5 b - -,b8b6
r2q1rk1/ppp2pbp/5np1/3Pp3/2Q1P3/2N1BP2/PP3P1P/R4RK1 b - -,a7a6
r3k2r/1p2qpp1/2pb1n2/p5p1/P2PpP2/1QB1P1P1/1P5P/R3RBK1 w kq -,a1d1
r2q1rk1/pbn1ppbp/1p1p1np1/3P4/2BB4/P1N2N1P/1PP2PP1/R2Q1RK1 b - -,a8c8
r2b2k1/5pp1/p1br3p/P1N5/1p1Pp3/4B2P/R4PP1/1R4K1 b - -,c6d5
r3kbnr/pppqpppp/2n5/8/8/2N2B1P/PPPP1PP1/R1BQK2R b KQkq -,e8c8
1r3nk1/2p4p/p1q3p1/P3p3/5p1P/5P2/3B1QP1/2R3K1 b - -,f8d7
r2q1rk1/pb1nppbp/1pp3p1/3P4/1P1P4/1QB1PN2/P3BPPP/R4RK1 b - -,c6d5
r2b2k1/5pPp/2p1b3/p1p5/2P5/5NN1/P4PPP/2R3K1 b - -,g8g7
r2qkb1r/pp1n1ppp/3pbn2/4p3/2P1P3/1NN2P2/PP4PP/R1BQKB1R b KQkq -,a8c8
8/3kpp1p/R1p3p1/8/P7/1P4P1/4rPKP/8 w - -,a6a7
3b1rk1/1p4pp/p2p4/P7/3B4/1PN2bPq/2P2P1P/4RQK1 b - -,h3f5
2r1r1k1/1p2pp2/p2p2bQ/3P2P1/R7/1P4B1/1q3PP1/4R1K1 w - -,a4h4
3r2k1/p5b1/6pp/1p2p3/3p4/1P1P4/1PPNRPPP/5K2 b - -,a7a6
4r3/p4kpp/3Rpn2/1p2np2/2b2N2/P5P1/5PBP/4R1K1 b - -,e5d7
2nr1bk1/1q1r1p2/2bp3p/1p1Bp1p1/4P3/1QP1BPN1/1P1R2PP/3R2K1 b - -,c8b6
r4rk1/p4ppp/2Q5/4q3/3N4/2P1P1P1/P4PP1/R3K2R w KQ -,c6f3
rn3r1k/pp2Np1p/6p1/4P3/2B1PPQ1/R5P1/1q5P/7K w - -,g4g5
5rk1/4qpb1/pr1pp2p/3b2p1/1P1P2P1/P2BRN2/1P3PP1/K2Q3R b - -,f8b8
rq3rk1/1p3ppn/p1nRN2p/4p3/2P1P3/1N2P1Q1/PP2B1PP/5RK1 b - -,f7e6
1r6/p1p1kp2/4bNp1/2p1P2p/3r1P1P/PPbBR1P1/8/1R1K4 b - -,e6b3
3rbrk1/1p4pp/pNp5/5p2/N1P5/1P6/P2pR1PP/3R2K1 b - -,e8h5
8/3B4/3n4/ppk4N/3pb3/P1p5/2P5/2K5 b - -,e4c6
3rkb1r/pb3ppp/3p4/1N2n3/1p2PB2/7B/PPP2P1P/2KRR3 w k -,f4e5
8/1rrnk1p1/4p2p/R1p1p3/1p2P3/4BP2/1PP2KPP/3R4 w - -,d1a1
1qrr2k1/4bppp/p1bppn2/4n3/1pP1P3/1P2NP2/P3BBPP/1NRRQ2K b - -,f6d7
3r3r/1b2k1pp/p3p3/3nN3/2B5/8/1PP2RPP/1K5R b - -,h8f8
3k4/3n4/4Rp1p/2p2P2/2P1P3/4K3/8/8 w - -,e3f4
5r1k/1r1nqpp1/1p2p2p/p1P5/8/2R1PN2/PPQ2PPP/2R3K1 b - -,d7c5
1r1qnk2/N2b2b1/4p1p1/1p2p2r/3B1P2/1P1Q2P1/6B1/2R2RK1 w - -,f4e5
5k2/3Q4/4P2p/8/5P2/1q3K2/8/8 w - -,f3g4
r1b2rk1/1pqn1ppp/p3pb2/8/3N4/2PBB3/PP2QPPP/R4RK1 w - -,a1d1
2r3k1/p1r2pp1/1ppq1n1p/3p1b2/NP5Q/P1RPP1P1/5PBP/2R3K1 w - -,a4b2
8/1p1k4/1P3p2/4b1p1/2r5/P1p1B1P1/2R1K3/8 w - -,e2d3
2B2bk1/p1r2b1p/1pNn1pp1/PR2p3/3p4/3P2P1/1P1BPP1P/2R3K1 b - -,d6b5
8/2R2pk1/5b2/2p1n1p1/8/2B3p1/1P2BPKP/1r6 w - -,h2g3
2r2rk1/1b1p1ppp/pp1b1nq1/3P4/3NP3/P2Q1N2/1P3PPP/R1B1R1K1 b - -,b7d5
8/4kp2/3n3p/3P2p1/3r2P1/R4B1P/5P2/5K2 b - -,d6c4
rnbqkb1r/1p3ppp/p2p1n2/4p3/2P1P3/1N6/PP3PPP/RNBQKB1R w KQkq -,b1c3
r2q1k2/pp2b1r1/1n2p1B1/2n5/2P2PP1/4pN2/PPQ3K1/3R3R b - -,d8c7
r7/2k2pp1/p1p1np2/8/3P4/2P2NP1/P4P1P/1R4K1 w - -,g1f1
1k5r/pp2Qp1p/2pp1n2/5q2/3P3P/P7/1P3B2/2KR3R w - -,f2g3
1bk2r2/1R3P2/4p2p/3p3P/1p1P4/3p4/P2B2P1/6K1 w - -,b7e7
6kr/7p/p2r1pp1/1p2p3/7P/4BQ2/PP3PP1/6K1 b - h3,g8f7
2r3k1/pp2npp1/4p2p/2QpP3/5PP1/PP5P/1B1R4/6K1 b - -,c8c5
8/8/8/1ppkPK1p/1b5B/1P6/8/8 w - -,e5e6
8/1q3b1k/3p4/1p2p1Q1/1P1bP3/P5B1/B5PK/8 w - -,g5f5
4q1k1/6p1/3Q1pb1/pp6/2p5/3nBB2/5PP1/6K1 w - -,f3c6
2r2rk1/pp1qppbp/1n1n2p1/3P1b2/3N4/1PN1B1P1/P2Q1PBP/2R1R1K1 b - -,f5h3
8/7p/3k2p1/pp6/6PP/4K3/P4P2/8 w - -,e3d4
1r1q2k1/5pb1/3p1npp/1ppPr3/7B/2N2Q1P/1P3PP1/3RR1K1 w - -,e1e5
r3kb1r/ppp2p1p/2np4/8/2P5/4PKN1/PP5q/RNBQ2R1 w kq -,g1g2
4kb1r/pp5p/q1r2pp1/n7/3P3N/2npBQ2/P2N1PPP/R4RK1 w k -,g1h1
8/p5k1/1p1p1R1p/2pPr3/1P2p1PP/P3P1K1/8/3R4 b - -,g7f6
r1r3k1/pp2p1bp/3pbnp1/8/3BPP2/2N3P1/PPP1B3/2KR3R w - -,e2f3
2r4r/3qkp1p/1Qn1p1b1/1B1pP3/3P2P1/2N2P2/PP1N1K1P/R7 w - -,b6c5
r2n1n2/4qkbp/3p1pp1/1NpPp2P/p1P1PPQN/4B3/P5P1/5RK1 w - -,f1f3
6k1/1p2qp2/4n1p1/1Pp1P2P/3b1P2/1B1QB2P/6K1/8 b - -,g6h5
1qbrr1k1/pp1nppbp/6p1/8/2PN1P2/3P1NPP/P3P1BK/R3QR2 b - -,d7c5
2r3k1/7p/6p1/1p6/pP2PP2/2p1K1PP/8/3R4 b - -,c8c4
8/8/4kp2/2N3pP/1pPp4/1P2b1K1/P7/8 b - -,e6f5
8/5pk1/2R4p/1p3p1P/1r6/4PKP1/5P2/8 b - -,b4b2
4r3/1p1r2k1/2p2b1p/p7/2Pp4/1P1R2P1/PB3P1P/5RK1 w - -,f1d1
rn1q1rk1/pb1pbppp/1p2pn2/6B1/2PP4/2NB1N2/PP3PPP/R2Q1RK1 b - -,d7d5
5nkr/p1q1n2r/3p4/PQpPp1p1/2P1PpPb/2BN1P2/4N1KR/7R w - -,h1b1
8/8/3r4/5pk1/R6p/8/6K1/8 w - -,a4a8
2rqr1k1/p2nbppp/bpp1pn2/3p4/2P5/1PNP1NP1/PBQ1PPBP/2R2RK1 w - -,e2e4
4R3/8/8/5k1p/7P/r4KP1/8/8 w - -,f3g2
r2q1rk1/p3bppp/p3pn2/3bN3/2BP1B2/1P6/4QPPP/R2R2K1 w - -,a1a6
r1bq1rk1/ppp1bppp/2n5/3np3/8/1PN2NP1/PB1PPPBP/R2QK2R b KQ -,c8e6
5rk1/6pp/p1r2p2/3RpP2/4n1P1/1P2B2P/1PP5/1K1R4 b - -,h7h5
r1bqnrk1/1p2ppbp/p1p2np1/8/1P1PNB2/3B1N1P/P1P2PP1/1R1QK2R w K -,c2c4
k1r5/1pr1b3/p4p2/5q1p/3p4/3N3P/PPPQR1P1/K1R5 b - -,e7d6
r3r1k1/B5bp/2p3p1/3p4/6n1/3P2P1/P4PBP/1RR3K1 w - -,a7b6
knr4r/pp6/5p1p/3p3P/qB1Pb3/P1p5/R1P1BPP1/1Q1R2K1 w - -,f2f3
r2q3r/ppp2kp1/2n4p/3pPb2/3P4/2Q2N1P/P4PP1/R1B2K1R w - -,f1g1
N4r1k/pp1b4/3p2P1/2p1b1q1/3nP1p1/3P1pP1/PP3P2/2RQRBK1 w - -,e1e3
6R1/8/3r4/5p2/5k1p/8/6K1/8 w - -,g8a8
3R4/6p1/pp2pk1p/r4p2/2N5/4P1P1/P4P1K/3R4 b - -,a5a2
4K2k/3Q4/5Pq1/8/8/1p6/1P6/8 w - -,e8e7
3n4/p4k2/1p1q1p2/3p1PpN/3p2N1/P1P2R2/1P5P/6K1 w - -,h5f6
r2qkb1r/pp3pp1/2n1bp1p/3p4/2PP4/2N2B2/PP3PPP/R2QK1NR b KQkq -,f8b4
4b3/2k5/Bp2pn1p/p2nN1p1/3P2P1/P4P2/1P1B1K2/8 b - -,c7d6
r1b2rk1/1pq1bppp/p2pp3/2n2PP1/3NP3/1BN5/PPPQ3P/2KR3R b - -,b7b5
8/8/7p/1P1Kp3/n1P5/5P2/6k1/3N4 b - -,h6h5
r2q1rk1/np1nbppp/p1p1p3/P3Pb2/2pP4/1N2BN2/1P2BPPP/R2Q1RK1 w - -,b3d2
rn1q1rk1/pp1bppbp/1n4p1/3P4/8/1QN1BN1P/PP3PP1/2KR1B1R w - -,e3d4
r1bq1rk1/4bppp/p1n1pn2/1p1p4/3P1B2/1QNBPN1P/PP3PP1/R3K2R w KQ b6,e1g1
r3r1k1/1bq2ppp/pp1b1n2/2ppNn2/P4P2/1P1P2P1/1BPQN1BP/R4RK1 w - -,g2h3
r1b1k2r/1p1n1pbp/p1p3p1/q1Ppp3/3P4/2P1PNBP/P2Q1PP1/2R1KB1R b Kkq -,e8g8
2rr1n2/pkq3pp/1pb2p2/3p3P/1Q1N1PP1/4B3/PPP5/1K1R2R1 b - -,c7d6
6k1/5p1p/p5p1/4P3/P4P2/1b3BP1/2rp1K1P/3R4 b - -,c2a2
rnbqk2r/p1p1nppp/1p2p3/3pP3/3P3P/P1P5/2P2PP1/R1BQKBNR b KQkq h3,c8a6:h7h5
r7/b1p1Bpk1/p1p1b2p/1p2P3/4N3/P1P5/5PPP/3R2K1 w - -,e4f6
2r1r1k1/1p2qp1p/p2b1np1/P1np4/8/1P2P2P/1B2QPP1/R2RNNK1 w - -,b3b4
r5k1/p1q2ppp/2pb1n2/8/3PbN2/1Q3N2/PP4PP/R1B3K1 w - -,g2g3
r2qk1nr/pb1n2pp/1p1p1p2/2p1p3/2PPP3/2P2PB1/P2N2PP/R2QKB1R b KQkq -,g8e7
r1bq1rk1/2n1p1b1/3p2pp/2pP4/P3N2R/2Np4/1P1B1PPP/1R1Q2K1 b - -,g6g5
r1b1r3/pp3nk1/3B1p1p/4pP2/2P1B2p/7R/P5P1/4R1K1 w - -,c4c5
2k4r/Bpr2np1/bR1pQ3/5p1q/2P2P2/3PPNPp/P6P/5RK1 b - -,c7d7
r1br2k1/pp2bp1p/2n1p1PB/4P3/3pN3/P4N2/1P1K1PP1/R6R b - -,f7g6
r3r1k1/1bb3pp/p4p2/3pnP2/N1p5/q1N5/2BB1QPP/3R1R1K w - -,f2c5
1r6/5k2/3P4/4p3/4K3/8/8/3R4 w - -,e4d5
2rr2k1/pp2p2p/n3Pbp1/P2p1p2/1q1P4/RQ2B1P1/1P3PBP/4R1K1 w - -,e1d1
r3kb1r/1b3p2/p2p1N1p/4pP2/P1p1P3/4B1N1/1PPq3P/R4RK1 b kq -,e8e7
4k3/3r3p/1p4p1/8/p3P3/2b2P2/2rB1RPP/3RK3 b - -,a4a3
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/P1N1P1P1/1P2NP1P/R1BQKB1R b KQ -,d5c4
3q4/pp4k1/2p1Q3/6b1/4N1p1/7b/PP3P2/1K2R3 b - -,d8d3
2b5/1p2kp2/r3p1pp/p7/Pn2NP2/3n2PP/3R2B1/5R1K b - -,c8d7
1r1q1rk1/1b2ppbp/p1pp2P1/2n5/1NP1P3/4B3/PP1QB1PP/3R1RK1 b - -,h7g6
1rb2rk1/5q2/2B1p2p/p2pP1p1/P7/6P1/1PQ2PP1/2R1R1K1 w - -,c6b5
2q2rk1/1p1b1pbp/1B2p1p1/3pP3/3N1P2/1P5P/1PP1Q1P1/5RK1 w - -,b3b4
r3r1k1/7p/1q4p1/3p1p2/1p1P2P1/1Pn1R1NP/5RK1/2Q5 w - -,e3e8
1q1r2n1/6kp/1p2bp2/1Pp5/4NP2/5QP1/6BP/3R2K1 w - -,d1e1
4r1k1/pp3ppp/2br4/2pnq3/P1B1P3/2P2P2/2QB2PP/R3R1K1 b - -,d5f4
2rr2k1/pb1nqppp/1p2p3/3n4/3p4/PQN1PN2/1P2BPPP/2RR2K1 w - -,f3d4
r1b2b1r/pp1kp1pp/1Bn2p2/3p4/3P1n2/1PP2N2/1P1N1PPP/R3KB1R w KQ -,b3b4
r3k2r/pp1b1ppp/2qbp3/3p1P2/3P4/2NB4/PPQ2PPP/R3K2R b KQkq -,e6f5
r1b1k2r/2q2ppp/p1p1p3/4P2n/Pp3P2/4BRb1/1PP1B1P1/RN1Q3K b kq -,g7g5
2kr3r/1pp2p1p/p7/3pq1p1/8/1P2BPPb/P1PQ1K1P/R6R b - -,h8g8
1rq1r1k1/2p2pp1/2p5/p1Nnp3/Pb2P2p/3P1PPb/1PQN1B1P/2RR2K1 b - e3,d5f6
8/7p/7P/pp2kPp1/6P1/4K3/P7/8 b - -,e5d5
r1b2rk1/ppq2ppp/2pbpn2/3p4/3P4/2PBPN1P/PP1N1PP1/R2QK2R w KQ -,e1g1
1r3k2/5ppp/p1p1p3/4n3/8/PNR1P3/1P3PPP/6K1 w - -,h2h3
1r4k1/BP5p/Q2p2p1/3P4/4p3/1PN2pq1/P1R5/6K1 w - -,g1f1
8/p1p1r1pk/1pR3np/1P3q2/P4n2/4Qp2/3PP2P/6RK w - -,e3f3
5qkB/5p1p/1p1rr2b/pPp1pR1P/P1PpP3/3Q2P1/4P1N1/5RK1 b - -,g8h8
8/5r2/pr1pk3/4p2p/2P3p1/1PKR1P1P/6P1/3R4 w - -,h3g4
r4rk1/pp1q3p/2n1pp2/3p1n2/3P4/2N2N2/PP2RPPP/R2Q2K1 w - -,d1d2
5kr1/5b2/p5P1/1p1qrP1R/4nQ2/4B3/PPP4P/5RK1 b - -,f8e8
r1b2rk1/pppnqppp/4pn2/8/2pP4/P1B2NP1/1P2PPBP/R2QK2R w KQ -,f3e5
r2qkb1r/2pn1ppp/pp2p3/3P4/P1B1b3/5N2/1P3PPP/R1BQ1RK1 b kq -,e6e5
rnb1k2r/p1ppqppp/1p2pn2/6B1/1bPP4/1QN2N2/PP2PPPP/R3KB1R b KQkq -,c8b7
1r1q1rk1/pb2bppp/5n2/2p1N3/1P1p1B2/2N3P1/1P2PPBP/2RQR1K1 b - -,d4c3
