5n2/4k3/2p5/pp2PK1N/7P/1P6/P7/8 w - b6,h5f4
1b5Q/1ppk1p2/p2n4/P5P1/1P1BP2p/2P2q1P/5P2/4R1K1 w - -,h8h4
r1nqrbk1/1p3ppp/2ppn3/p7/P3P3/1P4B1/2PQ1PPP/1N1RRBK1 b - -,e6c5
6k1/p2nbp2/1p5p/1Pp1P3/P1B2P2/4BK2/3r4/2R5 b - -,d2h2
rnbq1rk1/pp2bppp/4p3/3n4/3P4/P1N3N1/1P3PPP/R1BQKB1R w KQ -,f1d3
8/2b2kp1/8/2pPpPB1/2P3pP/5K2/8/8 w - -,f3g4
rnb2rk1/ppp1qppp/3b1n2/3P4/8/2P2N2/P3BPPP/RNBQR1K1 b - -,b8d7
r1bq2k1/1p5p/1n4p1/pN1p3n/P3p3/1P4P1/1bQ2PBP/R2R2K1 w - -,c2b2
4k1r1/1pq1ppbp/p2p4/3Q4/2r5/2N5/PP3PPP/R3R1K1 w - -,c3e4
8/2kn3p/P4pp1/8/1PK1P3/5B2/3b2PP/8 b - -,c7b6
5rk1/p6p/1pp2rn1/3p2Rp/8/2PPBN2/PP1K1PP1/8 w - -,g5h5
3r4/p4pk1/1p4p1/4p3/6qP/2P5/PPQ3P1/1K2R3 w - -,c2e2
r3r1k1/pp4bn/4P2p/2p5/2p2pP1/2N4P/PP4B1/R4RK1 w - -,f1f4
rnbqk1nr/pp3ppp/3b4/3p4/2pP4/2P2NP1/PP3PBP/RNBQK2R b KQkq -,g8e7
3r4/1kp2p2/1p4p1/4Pb1p/Pp1n1P1P/2K3P1/R2N4/2N5 w - -,c3b4
rnb1kb1r/pp2pppp/2pq1n2/8/8/2N2N2/PPPPBPPP/R1BQ1RK1 b kq -,c8g4
5rk1/6r1/1Q1p4/p2P2q1/2P1Pp2/PP4pR/8/5RK1 b - -,f4f3
6k1/p2p1pbp/b3p1p1/2p5/1nP1P3/3P2P1/PB3PBP/3N2K1 w - -,b2g7
6k1/pqrp1r1p/1p2p1p1/8/2PR4/3Q3P/PP3PP1/3R2K1 w - -,h3h4
rnbqkb1r/pppp2pp/5p2/5p2/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq -,f8b4
3r4/1k3p2/1np1p1r1/2Q1Pp2/3Pp3/6P1/2KB3P/8 b - -,d8d5
2r2rk1/pp2qpp1/1n2pn1p/6Bb/3P4/1QP2N1P/P3BPP1/2RR2K1 w - -,g5h4
1r4k1/4r2p/Q2p2p1/3P4/4PpP1/1P3P2/P2N4/4K2b b - -,e7d7
8/8/8/2p5/2k5/8/4Kb2/8 w - -,e2f2
r1n2nk1/pp2qpp1/2prp1p1/P5N1/1b1P1P1Q/1B2P3/1P4PP/R1B2RK1 b - -,c6c5
5kb1/2R5/p5B1/1p2K3/2p2P2/6P1/3r2P1/8 b - -,c4c3
1rb1r1k1/1q3pbp/p5p1/1p1Pp3/P1p1B3/1QP1P1BP/5PP1/1R1R2K1 w - -,b3c2
3r1b1k/4Np1p/1p3P2/p1p3P1/2B1R3/2P3KP/2r5/8 w - -,c4f7
8/4p1k1/3p1pp1/2pP3p/4P2P/2P1RRP1/5PK1/1rr5 w - -,f3f4
8/7p/1k6/1P1P2p1/1K2Bpn1/8/6PP/8 w - -,d5d6
8/p1R1b3/6p1/k6p/P2N1P1P/5K2/8/4r3 b - -,a5b6
2r2rk1/pp3p1p/2np2p1/3N2q1/2n1P3/1N6/PPP2B1P/R2Q2K1 w - -,g1h1
3R4/2p2kp1/1p1p1p2/2rPn3/P1P5/2R1K3/8/8 b - -,f7e7:f6f5
3r2k1/q4pb1/7p/3b2pP/1pNpN3/1P1Q2P1/r4PB1/3R2K1 w - -,e4d6
r1bq1rk1/1pp2pbp/n2p1np1/p2Pp1B1/2P1P3/2N2N1P/PP3PP1/R2QKB1R w KQ -,f1d3:a2a3:f1e2:f3d2:g2g4
3rr1k1/3n1ppp/p2Pp3/8/2P3nP/RP4N1/2B1R1P1/6K1 w - -,a3a6
1r6/7k/6p1/3P4/2Qnq1p1/P5P1/5P1P/2R3K1 w - -,c4c7
r1bq1rk1/1p3pb1/2np2pp/p1p1p3/2P5/P1NP2P1/1PN1PPBP/1R1Q1RK1 b - -,f7f5
r4r2/1p3p1k/1BBR2pp/p1P1b3/3p4/7P/PP3PP1/2R3K1 b - -,e5d6
8/8/8/3B4/1p1r1k2/2r5/5P2/1R3K2 w - -,d5f7
8/8/3k3p/1r6/8/6P1/4R2P/6K1 w - -,g1g2
5r2/pp3kp1/2n4p/2P2p2/1P2p3/2P3P1/P2N1PP1/3K3R b - -,c6e5
rnbqk2r/ppp1bppp/5n2/3p4/3P4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,e8g8
r4rk1/1bq1bppp/p2ppn2/8/3NP3/2PB4/1P2QPPP/R1B2RK1 w - -,c1g5
1r2r1bk/p1q3bp/3p1np1/2p1p3/P4P2/2N2B2/1PPBQ1PP/1R2R2K w - e6,c3b5
5bk1/Nq1n1p1p/4rnp1/4p3/8/2Q1P2P/5PPB/2R2RK1 w - -,c3c7
8/6pp/3kp3/1r6/pp2R3/7P/1P3PP1/5K2 w - -,e4c4
3k4/5p1p/8/K3P1n1/P5B1/8/8/8 b - -,d8c7
r2qr1k1/1p2bppb/n1p1pn1p/p2p4/2P5/PP1P1NP1/1BQNPPBP/R1R3K1 w - -,f3e5
3k4/R7/6K1/1P5P/8/6r1/8/8 w - -,g6h7
2r5/3n2p1/2Bkb2p/1P3p2/p1p2P2/P2p4/1PNK2PP/2R5 w - -,c2d4
r2q1rk1/5p1p/p1pb1np1/1p2p3/2P1PPb1/3B1NP1/PPQ4P/R1B2R1K b - -,e5f4
r5k1/ppQ2p1p/2p1r1p1/6P1/5Pq1/P1P5/1PP5/1K1R3R w - -,f4f5
rn1q1rk1/pbppp1bp/1p4p1/5p2/2PPn3/2N2NP1/PP1BPPBP/R2Q1RK1 w - f6,d1c2
4r1k1/p6p/1p3np1/8/P2R1PP1/4p2P/6K1/5R2 b - -,e3e2
r2q1rk1/1p1nbppp/p1p5/3p1p2/2PPnB2/1PN3PP/P3PPB1/2RQ1RK1 b - -,d7f6
8/4kp2/6p1/3P3p/3K3P/R4PP1/8/2r5 w - -,a3c3
rn2kb1r/pp3ppp/2p1pn2/q2N1b2/2BP4/5N2/PPPB1PPP/R2QK2R b KQkq -,a5d8
2krr3/p1pp2qp/bnp2Bp1/8/2P5/PP1B1N2/2Q2PPP/2KRR3 b - -,g7f6
q3k2r/2p1bp1p/3npp2/3b4/3P4/1P1Q1N2/PK3PPP/3RR3 b k -,d6e4
8/5pk1/5pp1/p7/1b1R4/8/5PPP/5K2 w - -,f1e2
2r2rk1/pb1q1ppp/1pn1pn2/2p5/8/PP1PPN2/1Q1NBPPP/2R2RK1 b - -,d7e7
6k1/p2r4/1p2N3/3P3p/PK6/6r1/8/3R4 w - h6,b4c4
2r2rk1/p3q1pp/bpp1pn2/3pNp2/2PP4/1P4P1/P2QPPBP/R4RK1 b - -,f6d7
2bq4/1p2kp2/r2ppb2/1N6/4P3/2N4Q/PPP5/2KR4 w - -,e4e5
r2qk2r/pppnbppp/2np4/3P4/8/4Q2P/PPPB1PP1/2KR1BNR b kq -,c6e5
r2qr1k1/pp1nbppp/2p1bn2/4pN2/N1P5/6P1/PPQ1PPBP/R1BR2K1 b - -,d8c7
q3k2r/pp1npp1p/2p2np1/8/8/1P1PBBP1/4PP1P/Q4RK1 w k -,e3h6
8/pp4rk/7p/1PR5/8/8/1r5P/3R3K b - -,g7e7
2r1kr2/2qnbpp1/p2p3p/1p1B4/4PBPP/3Q4/PPP5/2KR1R2 w - -,f1f3
r2q1rk1/1p1nbppp/p2pbn2/4p3/P3P3/1NN1B3/1PP1BPPP/R2Q1RK1 w - -,f2f4:a4a5
8/p5pk/1p2p2p/2q2p2/P2N4/1PnQ2P1/4PP1P/6K1 b - -,c5d4
8/1p4p1/p5kp/4n3/4rp2/P5PP/1P1R1K2/4B3 w - -,d2d6
r4rk1/2q1b2p/p2pb1p1/6P1/R3P3/P3B3/1PP1QP2/4R1K1 b - -,a6a5
4r1k1/3q1ppp/5n2/p4P2/Ppp4Q/2N2R1P/1P4P1/7K w - -,c3b5
8/p2r1pk1/1qp1p1pp/3nP3/2R1B2P/1P4P1/P2Q1P2/6K1 b - -,b6d8
2brr1k1/2q1bppp/2p2nn1/ppPpp3/1P2P3/PB1P1NNP/1B3PP1/RQ3RK1 w - -,b1c2
2k2rr1/ppq5/2pbpn2/3p1ppp/3P4/2P1PP1P/PPQ3P1/2KRBN1R w - -,f1d2
rn1q1rk1/1p2bpp1/2p1pn1p/3pNb2/3PP3/pPB3P1/P1PN1PBP/R2QR1K1 b - -,f5h7
3N2k1/2p3r1/3p4/1P1P4/2n1P2p/R4p1P/5N2/5K2 w - -,a3d3
r5k1/1pp3pp/1n1pRb2/8/2PP4/1PB2NP1/2r2P1P/4R1K1 w - -,e1e3
2k2b2/1ppr2pp/p3bp2/2p1nN1P/4P1P1/1PB1NP2/P1P2K2/3R4 w - -,c3e5
1r2r1k1/3b1ppp/1q3n2/1p6/p2pPQ2/P2B3P/1P3PP1/2RR1NK1 b - -,d7c6
2rq2k1/1p2p1bp/2np2p1/p4r2/P1bN1P2/2N1B3/1PPQ2PP/R2R2K1 b - -,c6d4
6Q1/7K/8/2k5/8/8/8/1q6 w - -,g8g6
8/6kp/1p1r4/4p3/PbB5/1P2P1P1/3p1R1P/3K4 w - -,c4b5
8/5p2/4p2p/p3P1pP/4P1P1/kPK5/8/8 w - g6,c3c4
rnbqk2r/ppp1bppp/4pn2/3p2B1/3P4/2P2N2/PP2PPPP/RN1QKB1R w KQkq -,e2e3:b1d2
r4r2/p1q1ppkp/b2p1np1/1ppPn3/4P2N/2N3PP/PPPQ1PB1/1R2R1K1 w - -,d2g5
2rq1rk1/1b1nbppp/pp2pn2/3p4/1P6/1QNP1NP1/P2BPPBP/1RR3K1 w - -,c1c2
8/1n6/p1k2B2/Pp1p4/1P4B1/2P5/1KPb4/8 w - -,f6e7
1r1r2k1/2q1npbp/4bnp1/3pp3/1PN5/1P2N1P1/1B2PPBP/R2Q1RK1 w - -,b2e5
r4r1k/1pp3pp/2npqb2/2n2p2/p1P5/P3PN1P/1PQ1BPPB/3RR1K1 b - -,f8e8
8/5k2/1p1p3b/p1pP1P2/P1n4p/2B1PK1P/8/6R1 w - -,e3e4
r2q1r1k/pp1nbppp/1n4b1/P3p3/4N1P1/1Q1P1N1P/1P3PB1/R1B2RK1 b - -,f7f5
r4rk1/p2q2pp/1p2pb2/n2p4/3PpN2/P1P2PP1/6KP/1RBQ1R2 w - -,f3e4
r7/1p3pkp/6p1/p2R4/5R2/1P2P1P1/r4P1P/6K1 w - -,d5d7
8/8/7R/P7/r7/5p2/5k2/7K b - -,a4a5
r1bqk2r/3pppbp/p1n2np1/1p6/4P3/1NN5/PPP1BPPP/R1BQ1RK1 w kq b6,f1e1
4rrk1/3qp1bp/2pp2b1/p4p2/P1P2P2/1P1P1NPP/7K/1R1Q1RB1 b - -,e7e5
5r1k/5p2/1N5p/P1r5/2nb4/5pP1/P4P1P/1R2R1K1 b - -,c4b6
2nqr2k/1r3pb1/1p4pp/pPp1p3/P7/2BPP1P1/1PQN2KP/3RR3 w - -,e3e4
8/5pp1/1p1p3k/1Pp1p3/2P1Pn2/3P1P1p/2K5/6R1 b - -,h6h5
4rrk1/2pn2pp/p1n1q3/1p1bpp2/8/2PPQN1P/PPBN1PP1/R3K2R w KQ -,e1g1
2rq1rk1/pp3pp1/1n2bB1p/2bp4/3N4/2NQ2P1/PP2PPBP/2R2RK1 b - -,d8f6
2R5/1r3pp1/8/b2pP1B1/3P4/5kPP/1r3P2/2R3K1 w - -,g5e3
r3rbk1/p2n3p/b1q3p1/Q1p2pB1/4p3/1PP2PPP/P2NP1B1/3RR1K1 w - -,f3e4
r4k2/5p1p/5r2/pBRPn3/4P3/8/P2R2pP/6K1 w - -,g1g2
2rqr3/pp1bN2k/6p1/nP3p1p/3Q3R/3B1P2/P1P3PP/1K5R w - f6,e7c8
rnbqk2r/pp3ppp/4pn2/8/2BP4/5N2/PP1Q1PPP/RN3RK1 b kq -,e8g8
2r1r1k1/pb1nqpp1/1p3n1p/3p4/1P1Q4/P3PP1N/4BBPP/R4RK1 b - -,e7e5
4rr2/p1q1npbk/bppp2pp/4n2P/2P1P3/1PN1BN2/P1B1QPP1/3R1RK1 w - -,f3e5
8/8/7p/2bpk1p1/5p2/2NK1P1P/6P1/8 b - -,c5d4
5rk1/1p4pp/pq2p1p1/4P3/1P1n2P1/P4N1P/3B1bQK/R7 w - -,f3g5
5r2/3r2pk/4p2p/p2p4/1pp3PP/2P1PP2/PP2K3/3R3R w - -,d1d2
8/5k2/4R3/3p1P2/3N4/4P1K1/8/2q5 w - -,g3f4
8/4k3/p1r5/4P3/4K3/2p5/8/2R5 w - -,e4d3
8/6k1/2r5/6pR/6P1/5P1P/5K2/8 b - -,g7g6
r4rk1/1bppnppp/p1n1q3/1p4P1/4PP2/2N1Q2B/PPPN3P/2KR3R b - -,f7f5
8/8/2k1p3/4Pp1p/2PK3P/8/8/8 w - -,d4d3
r4k1r/1B3p1p/ppQ5/7q/Pb2P1n1/6p1/1B3PK1/R4R2 b - -,g4e3
5k2/p1r2p2/1pp2n1p/3pR1p1/3P4/2N4B/PP1K1PPP/8 w - -,h3f5
r3k2r/p1pp1ppp/b1p5/4P3/2P5/PPn3P1/2KN1Q1P/R1B2B1q b kq -,c3e4
r2qk2r/pp1nbpp1/2p1pn1p/5b2/4p3/1P1P1NP1/PBPN1PBP/R2Q1RK1 w kq -,d3e4
r4rk1/pb1p2pp/2q1p3/2p1PP2/2B3Q1/8/PP2K1PP/R6R b - -,h7h5
2r2rk1/1b2q1p1/p2ppn1p/8/1p2P2B/1PN5/1PP1Q1PP/R4RK1 w - -,c3a2
8/6p1/2pk3p/8/3R1P2/2P2K2/2r3PP/8 b - -,d6e6
1rbqr1k1/ppn3b1/3p1pp1/2pP2B1/P1P3n1/2NB1N2/1P4PP/R2Q1RK1 w - -,g5d2
5k2/pp6/4R3/5r2/8/2P5/Pb3PPP/1K6 w - -,b1b2
8/1p5p/p6k/6R1/4P3/1b4PB/2r5/6K1 w - -,g5f5
r1bq1rk1/1p2bp1p/2p3p1/p1npP3/P1Pn4/4N1B1/1PQ1BPPP/R2R2K1 w - -,d1d4
2r2r1k/p1q1b1pp/1p1p4/3Qp3/1PP1R1N1/P4P2/6PP/3R2K1 b - -,a7a6
r4rk1/pb1n2bp/1p6/2pPpp2/2P2P2/4B1PP/P2KN3/2R2B1R w - -,e2c3
r4rk1/pb1nq1pp/1pp1p3/3P1p1n/1P1P4/N4NP1/PQ2PPBP/R4RK1 b - -,e6d5
r3n1k1/1p2qp1p/6p1/1Q2p3/3pP3/P4PP1/1P5P/2R2BK1 b - -,a8d8
r2q1rk1/1b4bp/p3p1p1/1pp5/2P1NP2/P7/2P1BBPP/R2Q1RK1 b - -,b7e4
r3r1k1/1pqbn1pp/p2b1p2/3pn3/3N4/2P2NB1/PP2BPPP/R2QR1K1 w - -,f3d2
1kr2b1r/pp2ppp1/3pbn1p/3N2B1/4P3/1N3P2/PPP3PP/2KRR3 w - -,g5h4
4rk2/1p3rbQ/p1bpqp2/4BR2/4P3/P1N3R1/1PP3PP/7K b - -,d6e5
2br2k1/pp4pp/8/3p1B2/nP6/P4PN1/6PP/3R2K1 b - b3,a4b6
4kb1r/pp3ppp/2p5/8/2P1PP2/PP6/4KP1P/R2N4 b k -,g7g6
2r1kn2/5p1p/r1pRp3/1bP3PP/p3BP2/P1B5/8/2KR4 b - -,f7f5
r1b2rk1/pp3ppp/8/3q4/8/6P1/P3PPBP/R4RK1 w - -,g2d5
8/8/p1r5/1p1pP1kp/3P4/2PK4/8/5R2 w - -,f1g1
8/1k1p1pQ1/4p3/1p1b1pNp/5q1P/3R4/2r3P1/6K1 w - -,g5f3
r4rk1/1p1q1ppp/2np4/p2Q4/5P2/P7/1PP3PP/1KBR3R b - -,f8d8
r2q1rk1/pp1nppbp/2p1b1p1/3n2B1/3P4/1B1N1Q2/PPP1N1PP/R4RK1 b - -,h7h6
2q1n1k1/p1rb2bp/1p2p3/3p1pp1/P2P4/BP1NP1P1/1Q3P1P/2R2BK1 w - -,c1c7
2r5/1p3r2/pB2p1k1/P3Pnb1/3RNp2/7K/1PP5/5R2 w - -,d4d3
r3r1k1/2qbbpp1/1pp3np/p3p1N1/2P1P3/P5BP/1PQ1NPP1/2RR1BK1 b - -,e7g5
4r1k1/2pb1pp1/3p4/N1n1n2p/1r1NP3/1P2P2P/2B1K1P1/R2R4 b - -,d7c8
r1bq1rk1/pp2npbp/2np2p1/2p1p3/4P3/2PP1NP1/PP1N1PBP/R1BQR1K1 w - -,a2a4
3r2k1/pQ3pp1/2n1q2p/5R2/4N3/2P2P1P/6PK/8 w - -,f5c5
5b1k/p1r5/2p3pp/5p2/p1N1p3/2P1P3/1PK2PPP/4R3 b - -,f8c5
r4rk1/1bp1q1pp/1p1pp3/3P1p2/1pP1nP2/P3P3/1B2B1PP/2RRQ1K1 w - -,a3b4
4rrk1/1p4pp/p1p1n2q/3pPp1b/1P1N4/2Q1PPP1/P4RBP/R5K1 w - -,a2a4
8/p4kp1/1p1Rbp2/1P5q/P3Q2P/8/6K1/8 b - -,e6f5
3R4/4ppkp/6p1/2B5/4B3/2b2P2/1r2K1PP/8 w - -,e2e3
6k1/3r1pb1/p1bBr2q/4PB2/2p3Q1/2p4P/P5PK/3R1R2 b - -,e6d6
r3r1k1/1qn2pbp/3pp1p1/2pPn3/P3P3/1PN3PP/2QBNPK1/1R2R3 w - -,d2f4
3k1r2/p7/1p5p/3RP1q1/2pP2P1/P1P2B1Q/2b1K3/8 b - -,d8c7
q4rk1/2N2ppp/3p1n1b/4nP2/7P/1Q6/1PB5/1K1R3R b - -,a8a7
7R/5p2/4bk1p/1R5P/7r/4KP2/8/8 b - -,f6g7
8/6k1/1B6/1P1BpP1p/7P/5P2/4K3/r7 w - -,b6d8
8/q3r1k1/6pb/1RpQ1p1p/2Pp4/3P1NP1/5P1P/6K1 w - -,b5c5
r2qk2r/b1p2pp1/p1ppbn1p/6B1/N1P1P3/1N1Q4/PP3PPP/R4RK1 w kq -,g5h4
1k3rn1/1q6/p2p2p1/P1p1Pp2/2Nb1P2/5P2/1P1QKB2/2R5 w - -,f2d4
4r1k1/R7/p4Qb1/2pP4/2P3Pn/8/P2q4/K4R2 b - -,e8e1
1R6/1P3pk1/8/6P1/5P2/5K2/8/6r1 b - -,g1f1
r3k2r/1bqnbppp/p3pn2/1ppp4/4PP2/2PP2P1/PPNNQ1BP/R1B2RK1 b kq f3,d5e4
r2q2k1/1bpn1pp1/1p1p3p/p1n2B2/P1P5/5N1P/1PQNRPP1/6K1 b - -,d8f6
4rq1k/pp3r2/3p2R1/3Qpp2/1P6/8/P1P5/1K4R1 w - -,g6d6
8/p5pp/Pp1k4/4r3/3p2B1/8/6PP/2R3K1 w - -,g4f3
6k1/p1p1b1p1/1r6/2p5/2P1KPP1/1P2B3/P2R4/8 b - -,b6e6
r3kb1r/1b3pp1/p3pn2/q2p3p/Pp2PP2/1N1BB2P/1PP3P1/R2Q1RK1 b kq -,a5c7
rn1qkb1r/ppp1pppp/5n2/3p4/3PP1b1/3B1N2/PPPN1PPP/R1BQK2R b KQkq -,d5e4
2rq2k1/1b2bppp/p2ppn2/1p6/4PB2/P1PP1NNP/Q4PP1/2R3K1 b - -,d8a5
r1q3k1/4prbp/p1pp2p1/2n2bB1/2PN4/1PN1Q2P/P4PP1/1R1R2K1 w - -,b1c1
r1b2k2/pp2rppB/2p1p3/2q1P1PQ/2Pp4/1P2PR2/P2N3P/5RK1 b - -,f7f5
r5k1/p1p3pp/1p2qpn1/n2p1N2/P2P2PP/B1PP1Q2/5P2/R5K1 b - -,a8e8
2b1rbk1/1p3ppp/n1p2n2/2P4q/1P1N4/1QN1pPP1/1B2P1BP/R5K1 w - -,b3c4
r3k2r/1bqp4/4p1pp/p3Pp2/PnP5/4B3/5PPP/R2QRBK1 w kq -,d1d2
r3r1k1/4ppbp/6p1/p2p4/P2P1P2/2p3P1/1P1B3P/R4R1K w - -,b2c3
4rrk1/1p6/1q1p3p/2pPb1p1/P1P1PpQ1/1p5P/1P3BP1/1R3RK1 b - -,b6b4
r2qk2r/ppp1pbb1/6pp/n1Pp4/3P1PPB/1P1B1N1P/P1Q5/R3K2R b KQkq -,a5c6
1rbqr1k1/4ppbp/2np1np1/2p5/1p2P3/3PBNPP/1PPQNPB1/R4RK1 w - -,e3h6
r5k1/3RB1p1/6P1/4pK2/5b2/5P2/8/8 b - -,a8c8
r1b2q2/ppb2r1k/1n3N1p/2p1n3/3pRB2/3P2N1/PPPQ2BP/5RK1 b - -,f7f6
3rr1k1/4qpbp/pQ6/1p4P1/2p1pB1P/P1P2R2/1P4P1/4R1K1 b - -,e7d7
8/1pR5/1P1k2p1/3b1pPn/7P/4K3/8/8 b - h3,f5f4
8/6K1/2n3p1/5kBp/7P/8/8/8 b - -,c6d4
1r4k1/4pp1p/1pR3p1/p7/3P4/P3P1P1/5P1P/6K1 w - -,c6c7
7k/7p/R5p1/pp2r3/8/P5P1/1P3P1P/6K1 b - -,a5a4
rnb2rk1/ppq2pbp/2pp1np1/4p1B1/3P4/2PBP1N1/PP1N1PPP/R2Q1RK1 b - -,f6d5
r1n2rk1/ppqnbppp/2p1p3/3pPb2/P2P4/1N2BN2/1PP1BPPP/R2Q1RK1 w - -,f1e1
1r3rk1/R4pbp/3P2p1/2p1q3/2B1P3/2P5/3Q2PP/R5K1 b - -,e5e4
r1br1nk1/pp2qppp/2pp1n2/4p3/3PP2N/2PB4/P1PB1PPP/1R1QR1K1 b - -,h7h6
r5k1/1p2qr1n/p2bp3/PP1p3p/1B1Pp1p1/1Q2P1P1/5PBP/1RR3K1 b - -,h7g5
r2qr1k1/pb3ppp/1p1b2n1/2p5/2P1n3/3NP1P1/PBQ1NPBP/R2R2K1 b - -,d8c7
1nk2r2/8/3p2pb/1P1R3p/R3p3/2P5/1P2B1PP/6K1 w - -,a4e4
6R1/7k/1r6/6P1/7K/8/8/8 w - -,g8a8
rn1qkb1r/p4ppp/2p1p3/1p2N3/P1pPbB2/5P2/1P2P1PP/R2QKB1R b KQkq -,e4g6
r1bqk2r/pp1nbppp/2p1pn2/3p4/2PP1B2/2NBPN2/PP3PPP/R2QK2R b KQkq -,d5c4:d7f8:e8g8
r3k2r/2p1qpp1/p1nbpn1p/1p1p4/3P1BPP/2NQPP2/PPP1N3/2KR3R w kq -,c1b1
r1bqrbk1/pp3ppp/2p2n2/2n5/2PNP3/2N1P3/PBQPB1PP/2KR3R b - -,f6e4
5k2/1P6/5P2/p1pBp1K1/P3P3/6P1/8/1r6 b - -,c5c4
5k2/p4b2/7p/b4P2/4P1Q1/1q1PKp2/8/2B2B2 b - -,b3d1
8/5pk1/3q4/1p2nR2/p6P/P1Q3P1/1P1r4/KB6 b - -,d2e2
4r1k1/ppq2p2/6p1/3Q3p/7P/6P1/PP3P2/3R2K1 b - -,c7b6
8/k1p5/1p5P/5Q2/2q3K1/p7/8/8 w - -,g4h3
4r3/5K2/1k1b4/3P4/Rp6/1P6/P7/8 b - -,e8e7
r2qr1k1/1pp1ppbp/1n4p1/8/pnbPP3/2N2NP1/PP3PBP/RQBR2K1 b - -,e7e6
4r3/5pk1/3B4/1p2PbP1/2p5/P1P2K2/7R/8 w - -,f3f4
2k5/2b5/1p1P4/2p1P3/p1Kn1N2/P5p1/1P6/8 w - -,d6c7
8/5pkp/p2B2p1/4p3/4P2P/PP3P2/5KP1/2r5 b - -,g7f6
4r1k1/1p3ppp/2p5/1qPp4/p2P4/P7/1PQ2PPP/2R3K1 w - -,c2c3
8/8/8/3k1p1p/p3b2P/P7/2p2K2/2Br2R1 b - -,d5c4
r1b1k2r/pp1n1pp1/2pbpq1p/3p4/2PP4/2NBPN2/PP3PPP/2RQK2R b Kkq -,e8g8
1R6/5pkp/3p2p1/1BpPn3/3bP3/7P/5rP1/1R5K b - -,g6g5
1rq2rk1/bpp2pp1/p2p1n1p/6Q1/2PP4/1P4PP/PB3PB1/3R1RK1 w - -,g5f4
8/6k1/4R1p1/3p2P1/3P1K2/4P3/8/r7 w - -,e6e5
5nk1/4qpp1/2p4p/2p1P3/pp2P3/PbBr1NPP/1P2RPK1/2Q5 w - -,c3d2
6r1/6P1/5R2/4B3/5p2/2K2k1p/5P2/8 b - -,h3h2
r2r2k1/n2nqpbp/p3b1p1/1pp1p3/4P3/1NP1BP2/PP1NB1PP/R1Q1R1K1 w - c6,b3a5
r1r3k1/2q2p1p/p2p2pB/3P3n/R3P3/2p5/2Q2PPP/2R3K1 w - -,a4a3
