7k/R7/7p/8/2r1P3/5K2/7P/8 b - -,h8g8
r3rbk1/pbpp1ppp/np3q2/3P4/1PnNPP2/P1N3P1/6BP/R1BQ1RK1 b - -,f6d8
rn1qk2r/pbp1bppp/1p2p3/3n4/3P4/5NP1/PP2PPBP/RNBQ1RK1 w kq -,b1c3
3k1B2/2b4p/pr4p1/3B2P1/1P2pp2/P2bP2P/5P2/2R3K1 w - -,f8c5
r3k2r/ppq1n2p/2n5/3pp1B1/P1p3b1/Q1P2NP1/2P2PBP/R4RK1 b kq -,h7h6
3r2k1/pp1r1p1p/1nb2np1/3pq3/3R2P1/1BN1PP1P/PP3QN1/3R2K1 b - -,b6c4
r7/6P1/5BK1/3k1P2/8/8/8/8 w - -,f6e7
r5k1/5p2/4pb1p/1pPb2p1/1P1Pp3/6P1/1N1R1PBP/6K1 w - -,b2d1
6k1/7p/1p2p1p1/3pN3/1P2nPP1/Pr5P/7K/R7 w - -,e5c6
8/2N5/3pk3/1P3p1p/3bpP1P/6P1/4K3/8 b - -,e6d7
r2q1rk1/2p1bppp/p2p1n2/np2P3/4P3/1BP1Bb2/PP3PPP/RN1QR1K1 w - -,d1f3
r7/1b4k1/p2p1b1p/2pP1p2/1rB2pP1/1P1KP3/R4NP1/7R w - -,e3f4
rnbqkb1r/1p3p1p/p2ppnp1/8/P2NP3/3B4/1PP2PPP/RNBQ1RK1 w kq -,a4a5
r2q1rk1/1p3pbp/p1npb1p1/5p2/B3PN2/2N5/PPPQ1PPP/R4RK1 w - -,a4c6
2rq2k1/2rnbppp/1p1np3/pP1p4/P2P2Q1/2PB2P1/1B1N1P1P/R3R1K1 w - -,f2f4
r2qrbk1/1b1n1ppp/pp1p1n2/2pP4/P1B2B2/2N2N1P/1PP2PP1/R2QR1K1 b - -,e8e1
r3qnk1/pb2bp1p/1p3np1/2ppNp2/3P1B2/2P1P2Q/PP1N2PP/R4RK1 w - -,g2g4
1rbq1r1k/5p1p/2np2pb/p2Np2P/R1B1P3/1PP1N3/5PP1/3QK2R b K -,h8g7
r1bqr1k1/pp2ppbp/2np1np1/2p3B1/2B1P3/P1PP1N1P/1P3PP1/RN1Q1RK1 b - -,a7a6
8/2p5/p1p3p1/1pPk1pp1/1P1P2P1/P3K2P/8/8 w - -,e3d3
8/5N1k/1p3Qpp/p3P3/2q5/6P1/1P3P1P/2K5 w - -,c1d1:c1d2
r1bq1rk1/4npbp/p2pp1p1/1pp5/4PP2/1BPP4/PP2N1PP/R1B1QR1K b - -,a6a5
r1bq2k1/p5pp/1p2p3/2Ppn3/3N1r2/2Q5/PPP3PP/2KR1B1R w - -,d4e6
2k4r/5p2/p5n1/3qp2p/8/5PP1/PPN1Q3/1K5R w - -,h1c1
rnb1nrk1/ppq1bpp1/2p1p2p/4P3/3N4/3B1N2/PPP1QPPP/R1B2RK1 b - -,f7f5
r2qr1k1/5pbp/2p3p1/1p1pn3/4NQb1/1PB3P1/P3PPBP/2RR2K1 w - -,c3e5
5rk1/1brnqppp/pp1p4/8/3Pp3/1P2P3/PB1QBPPP/2R2RK1 b - -,f8c8
2R5/p4ppk/1r4bp/1B1p4/1P1P4/P1N2P1P/5KP1/8 b - b3,a7a6
3r1k1r/2q1bp2/p2N2p1/3pP2p/Ppp2P2/4Q3/1PP3PP/3R1R1K w - -,d1d5
r1r4k/ppp1pqn1/2n3pp/8/2N5/PP4P1/1BP2P1P/R2QR1K1 w - -,c4e5
6k1/pp4b1/2r1q3/3N1Q2/3Pp3/4R3/1P3PP1/6K1 b - -,e6f5
5rk1/2PR1p2/7Q/4p3/P2r4/2q2nPP/3p1P2/3R1B1K w - -,h6f8
r1bq1rk1/p3bpp1/7p/n1p1p3/4N3/8/PPPPBPPP/R1BQ1RK1 b - -,f7f5
8/2p3p1/2k1p3/2p1P3/8/1r2BK2/8/3R4 b - -,b3c3
1R6/4bk1p/2p1b3/p3pp2/2n5/P1N4P/1P2BPP1/6K1 w - -,e2c4
r1r5/np1k1pp1/n2Pp2p/3p4/1P1P4/P4N2/3B1PPP/R1R3K1 w - -,a3a4
1r5r/2q1n1k1/1p1p1pp1/p2Pb3/P1P4p/1P4P1/5QKP/1BBR1R2 w - -,g3g4
rn3rk1/pp2ppbp/2p2np1/q2p4/2PP1Bb1/1QN1PN2/PP2BPPP/R3K2R b KQ -,b7b6
1rb2rk1/1pq1bpp1/p2p1n1p/n1p1p3/B1P1P3/2NP3P/PP3PPN/R1BQR1K1 b - -,a5c6
r2qr1k1/pp3pbp/n2p1np1/2pP1b2/5B2/2N3P1/PP1NPPBP/R2QR1K1 b - -,f6h5
r3R1k1/ppn2q1p/n1pb1pp1/3p4/3P4/1BPN1Q1P/PP1B1PP1/R5K1 b - -,a8e8
4r1k1/4rpp1/2bQ1n2/2q4p/4P3/5PPP/2pRN1BK/2R5 b - -,c5d6
2r3k1/1b3rp1/p3pq1p/1p1p4/4pN2/1PP1P3/P1RQ1PPP/5RK1 b - -,f7c7
4QR2/6kp/8/6p1/pK4P1/P1n1rP2/8/8 b - -,c3d5
2R5/1p3rk1/1p1p2p1/1B1Pp2p/PP2Pp2/5Pn1/5KP1/8 w - h6,c8d8
r4rk1/pp1b1pbp/q2pp1p1/8/4PP2/1B6/PPP1pQPP/R1B1R2K w - -,f2e2
4K3/8/4Q2P/8/5q2/k7/8/8 b - -,f4b8
4r1k1/p4p2/4q1p1/2pn3p/P1Qp4/1P3RNP/2P2PPK/8 b - -,e6d6
5R2/8/8/8/6p1/4k2p/5r2/7K w - -,f8a8
2r2rk1/2qb1p1p/3p2pb/1pnPp2n/1B2P3/2N3P1/P1QN1P1P/1RR2BK1 b - -,c7b7
5r2/pp2ppkp/6p1/3pPq2/2rP4/2P2R2/P2Q1PPP/R5K1 b - -,f5e6
2r4k/2bR3p/6p1/p2B1p2/5R1P/5K2/5PP1/1r6 b - -,c7f4
2r3k1/p5b1/1p4pp/8/2pq4/2Nn4/PP1Q2PP/3R1R1K w - -,d2e2
2kr3r/1p2np2/p1bRpp1p/q7/2B2P2/2N5/PPPQ2PP/2KR4 b - -,d8d6
3b4/3k2pp/1P1p4/3Pp3/5p2/5P2/2PK1BPP/8 w - -,d2d3
4r1k1/p1r2p1p/1pb2qp1/2np3P/2pP1PP1/PnP1P1R1/2B1N1K1/1Q2B2R w - -,g4g5
2r2r2/6bk/p2q1n1p/1p2Nbpn/3P1p2/5N1P/PP2BPPB/R2Q1RK1 b - -,h7g8
r2qrbk1/1b1n1p1p/pp1ppnp1/4P3/2PN1P2/2N5/PP1BQ1PP/1B2RR1K b - -,f6h5
3rrbk1/1pq2ppp/2p5/2n1pP2/p3Pn2/P3BP1P/1PPN2BK/3RQ1R1 w - -,g2f1
r2n2k1/1bp4p/1p1p1r2/p2P2p1/1P6/P2N2P1/5PBP/R2R2K1 w - a6,a1c1
3rkr2/p1p1qp1p/1bb5/4pQ2/1n2N3/R2nPNP1/1P1PKPBP/2B4R b - -,f7f6
6k1/5pnp/p2b2p1/1p6/1Pr5/P3RN1P/2P1R1K1/8 b - -,g7e6
8/8/8/8/3n1p2/3k4/8/4KN2 b - -,d4c6
5r1k/3r3p/1q1p2pb/pN2pb2/2P5/1nN2B2/4QPPP/3R1RK1 w - -,c3a4
r5k1/pp3p1p/6p1/2P2b2/PP3b2/2P5/3R2PP/2K2B1R b - -,a8d8
2R5/6p1/3b3p/3kp3/1p4P1/3K1r1P/1P1B4/8 w - -,d3e2
r1b5/1p3r1k/p3pPp1/4B2p/1n1PB2P/5p2/PP1R1K2/2R5 b - -,b4d5
r1b1r1k1/2q4p/pp1pp1p1/2p1b1Bn/P1B1P3/1R5Q/1PP1NPPP/3R2K1 b - -,c7c6
5rk1/p7/PpnqR2p/n2p1pp1/3P4/rPB5/5PPP/1Q2RBK1 b - -,d6c7
8/2Q1qk2/p3bpp1/4p2p/P6P/4P1P1/5PB1/6K1 w - -,c7b6
rr4k1/q2n1pb1/3Nb1pp/pR2p3/P7/2Q1P1B1/4BPPP/3R2K1 w - -,h2h4
r3k2r/ppqn4/2p1pp2/2Pn3p/4Q2P/1B2B3/PP3PP1/R4RK1 b kq -,e8c8
2n5/4kp2/q1p1b2p/1p2Q2N/1P1PB3/2P4P/6P1/6K1 w - -,e5c7
1r1q1rk1/4ppbp/pnnp2p1/1pp5/4PP2/2PPBN1P/PP4P1/2RQRBK1 b - -,d8d7
rn1q1rk1/1ppn1ppp/3p4/p2P2b1/2P1Pp2/2N1B1P1/PP1NQ2P/R3K2R w KQ -,g3f4
8/8/8/R3Brpk/8/4K3/8/8 w - -,e3e4
2r2rk1/3b4/4p1p1/p2p3p/1p1n1PB1/3P4/PP1B2PP/2R2R1K w - h6,g4h3
8/1p3k1p/6p1/8/P7/2Pr2P1/1P2RK1P/8 w - -,f2e1
8/3k3p/p5p1/2Pq1p2/1P5P/4p1P1/4QPK1/8 w - -,e2f3
5q2/3b2k1/1p1p1ppp/p1pP4/P1Pb2P1/1P1B2QP/4RPK1/8 w - -,f2f4
r5k1/1q3pp1/p3p2p/1p2P3/8/4Q1P1/PP1r1P1P/3R2K1 w - -,e3d2
r1b1k2r/ppp2ppp/2n2n2/3q4/2PPp3/4PP2/P2B2PP/R2QKBNR b KQkq -,d5f5
8/8/3p1p1k/2pP2pP/1pB1P1P1/1P2RK1n/r7/8 w - -,f3g3
8/8/3KPk2/pR6/2p5/8/4r1PP/8 b - -,e2e6
1r1q2k1/5pbp/pp1p1nb1/2pP4/P7/2N1N2P/1P2Q1P1/3R1RK1 b - -,f6h5
3rr1k1/p3ppbp/1n1p2p1/2p1P1N1/3P1P2/1P3qP1/PB4KP/3R1R2 w - -,g5f3
2r3k1/2Rn1pp1/1q1p3p/1p1P4/pP2P3/P6P/1Q1N1PP1/5RK1 b - -,c8c7
1q4k1/2nN2b1/6p1/2pp4/P3P3/6P1/Q4PK1/2q4R w - -,h1c1
8/5kpp/pp1r4/2p1RPP1/7P/2P5/PP2K3/8 w - -,b2b3
r1b2rk1/pp3pp1/2p4p/4pN2/4P1q1/1PPB3n/P1Q2PPK/3R1R2 b - -,c8f5
1r3nk1/5ppp/1nPp4/2p1p3/4P3/1P3P2/1B1N2PP/R5K1 w - -,a1a7
r1b2rk1/pp1p1ppp/2n2n2/2b1q3/2PNp3/2N1P3/PP2BPPP/R1BQ1RK1 w - -,d4b3
r7/pp3r1k/4pbp1/2R4p/4P2P/4BP2/P3KP2/2R5 w - -,c5c7
r5k1/pp2rppp/2bb1n2/2pp3q/8/1PPBPPP1/PB1N1Q1P/3RR1K1 w - -,d2f1
r2qr1k1/pp2bppp/2n1pn2/3p4/3P2b1/2PB1N2/PP3PPP/R1BQRNK1 w - -,f1g3
4r1kb/ppqb1r1p/1n2p1pB/5p2/2pPP3/2P2P1P/P1BQN1P1/2RR2K1 w - -,e4e5
3R4/p3r1bk/8/2p4p/2B3pP/P5P1/1P3P1N/4r1K1 w - -,h2f1
3r4/2b4p/B1P1k1p1/p1K1pp2/P1P5/8/1R5P/8 b - -,d8b8
6k1/ppN2p1p/6p1/2b2b1n/1nP5/4p3/P3P1PP/2R1KB1R w - -,c7d5
7k/p5r1/3p4/4pPP1/2P1P2p/3PB3/P3PQ1K/1q6 b - -,b1d1
4rrk1/pppq1ppp/3b3B/3nP3/2Bn4/5P1P/PP3P1K/R2Q2R1 w - -,h6g7
r2qr1k1/1p1n1pbp/p2p1np1/2pP4/P3PPb1/2NB1N1P/1P1B2P1/R2Q1RK1 b - -,g4f3
2r4r/4kpp1/Qp2p1qp/2bn4/8/P4N2/1P3PPP/K1BR3R b - -,g6g2
6k1/5pnp/3r2p1/p2N4/1pP1P3/1P4P1/1P6/3R2K1 b - -,g8f8
r4rk1/pp1b1ppp/5n2/q2p4/3P4/1QP2NP1/P4PBP/R3R1K1 b - -,a8c8
rnb2rk1/ppp1qppp/3p4/8/2PN4/2RBP3/PPQ2PPP/4K2R b K -,h7h6
r2qk2r/4n1bp/1pp2pp1/p1p1p3/PPb1P3/2PPBN2/5PPP/R2Q1RK1 w kq -,d3c4
2kr3r/2p2p2/p5p1/1pR5/8/1P6/1P3PPP/R5K1 b - -,h8h5
2qr2k1/1p3rpn/p2Rp1Np/2p4P/2P1Q3/1P4P1/P2R1P2/6K1 w - -,e4d3
8/1k3p2/2p1pP1p/K1P1P2P/P3P3/8/8/8 b - -,b7a7
r3r1k1/pb1nqpp1/1pp2b1p/3p4/3P4/1QN1PB2/PP3PPP/2RRN1K1 b - -,a8d8
8/N1k5/4p3/B3b3/8/6p1/KPP1R1Br/3r4 b - -,c7d6
b6r/2k1q3/Pn1p2p1/Q4p2/1N1b1P1p/4p2P/2P1R1P1/1R5K b - -,e7e4
1Q6/pp1r1kbp/4q3/3pn1p1/1B2p2P/1P2PpP1/P4P1K/2R2R2 b - -,g5h4
r5k1/2q2ppp/2n1pb2/p1p5/2P2P2/PPpRP3/7P/1RBQ2K1 b - -,a8b8
4r3/5kp1/2QP2q1/4p2r/1P1b1B2/P1N5/1K6/4R3 w - -,c6c7
r2qnrk1/pp1nb1pp/2p1p3/3P1p1b/3P4/1P3NPP/PB1NPPB1/R2Q1RK1 b - -,c6d5
5N2/8/2n3p1/p3p3/k7/7P/4KPP1/8 w - -,f8g6
1k2r3/pbp5/1p1p3p/2n1r1p1/2P5/2PB1PP1/P3R1P1/1K2RN2 w - -,e2e5
5k2/pB4pp/8/8/8/4P3/P2r1KPP/8 w - -,f2f3
2r3k1/1p1q1ppp/3p1n2/P2Pp3/1Pr1P3/1N2R1PP/5P2/R4QK1 w - -,b3c5
8/2p5/3b1k2/6p1/5r1p/pK3N1P/R5P1/8 w - -,a2e2
5r1k/7p/p7/8/Q6P/6r1/P1RK4/8 b - -,g3g2
8/1k1NK3/3P4/8/n7/8/8/8 b - -,b7c8
r1b2r1k/5ppp/p4q2/1p1Nn3/8/P2BP2P/1P2QPP1/3RK2R b K -,f6g5
8/5q1P/p1k1p3/1p6/3Q4/6P1/P4P2/6K1 b - -,f7h7
r1br2k1/1p3pb1/2pp1q1p/p1n1n1p1/2PNP3/PPN1BP2/3Q2PP/3RRBK1 w - -,b3b4
6k1/3n1p2/1pnpp1p1/p7/P1QPPq2/2P3N1/6P1/5NK1 b - -,c6b8
r1b1r1k1/pp1nqpp1/2pb1n1p/4p1B1/2QP4/2N2NP1/PP2PPBP/R2R2K1 w - -,g5f6
2k3rr/pppqbpp1/3p1n2/4p2p/1PPnP3/3PN1PP/P4PB1/R1BQ1RK1 b - b3,g7g5
r2qkbnr/ppp2ppp/2npB3/8/4P3/2N2N2/PP3PPP/R1BQK2R b KQkq -,f7e6
r1bq1rk1/pp2ppbp/2np1np1/2p5/3P4/2P1PN2/PP1NBPPP/R1BQR1K1 b - -,e7e5
8/2p3k1/1p3p2/1P1p4/r2P3p/4PPq1/4R1P1/2Q3K1 w - -,e2c2
8/p4pk1/1p3bpp/3p2q1/P7/2pQ3P/2R3P1/6K1 b - -,d5d4
rn1qr1k1/pp1bbppp/5n2/1BPp4/8/1N3N2/PPP1QPPP/R1B1K2R w KQ -,c1e3:e1g1
r1r5/pp2ppkp/3pb1p1/q7/4P1n1/1PNQ2P1/P1P2PBP/R2R2K1 w - -,c3e2
8/p1pR4/2p2k1p/1rP5/6rP/1P6/P4P1P/2R2K2 b - -,b5b7
2n1r2r/ppk5/5p2/4bBp1/1PPp2P1/1K5P/P4P2/2BR3R w - -,c1b2
1r1q3k/6pp/1N3p2/B1p5/8/3pP3/5PPP/1Q4K1 w - -,b1d1
r4rk1/pp1qppb1/1npp1np1/P2P3p/2P2P1P/2N1B3/1P1QBPP1/2R1K2R b K -,b6c8
6bk/1pp1r1p1/p1n1q2r/2Pp1pR1/1P1P1P2/P2R1B1P/4NQ1K/8 b - -,c6d8
r4rk1/pp1bbppp/2n1pn2/8/2P5/1N3NP1/PB2PPBP/R2R2K1 b - -,f8d8
r1bqr1k1/bpp1nppp/p1np4/8/2PP4/2N3PP/PP2NPB1/R1BQ1RK1 w - -,d4d5
rnbq1rk1/pp3p2/7p/2bp2p1/2P5/3B1NP1/PP3PP1/RN1Q1RK1 b - -,g5g4
1r4k1/5p2/4p1p1/4P1Pp/q7/1N6/PKn4P/1Q6 w - -,b1c2
1R6/8/3nB3/2kp1K2/8/1p2r3/8/8 w - -,f5f6
4rrk1/pppb2pp/2np1q2/5p2/2PP1B2/6PP/PP1QP1BK/3RR3 b - -,h7h6
r2r2k1/p4pb1/2pB2p1/q3p1Pp/3nN2P/2P2P2/PP3Q2/1K1R3R b - -,d4f5
r1b1k2r/2q1bppp/p1pp1n2/4p3/4PP2/2NB1Q2/PPP3PP/R1B2R1K w kq -,f4f5
r3r1k1/p2n1q2/2p3p1/2P2p2/4N3/1P2P3/PB1Q2P1/2K4R b - -,d7e5
rnbq1rk1/pppp1ppp/5n2/8/1b2P3/2NN4/PPPP1PPP/R1BQKB1R b KQ -,b4c3
8/N4pkp/1p4p1/8/6P1/2nKPP2/P2r3P/8 w - -,d3d2
1r2r1k1/2q2pp1/b1p4p/p2pb3/4n2B/1PP2Q1P/P1B1NPP1/3RR1K1 w - -,e2d4
rn2kb1r/pp2pppp/2p2n2/q4b2/1P6/2N3P1/P1PPNPBP/R1BQK2R b KQkq b3,a5c7
6k1/5p1p/3Nn1p1/1P6/8/4QPK1/1q4PP/8 b - -,b2b4
1r2k2r/3b1p2/p3p1p1/q1pBP2p/1p1p2n1/1P1P2P1/PN3P1P/2RQR1K1 w k -,b2c4
r4rk1/1p1nqppp/2p2n2/p2Pp2b/PbB1P3/2N2N1P/1P2QPP1/R1BR2K1 b - -,a8d8
3q2k1/p4p1p/1p1bn1p1/1QpBB3/4P1P1/P4P1P/1P6/7K w - -,e5d6
r2q1rk1/ppn1ppbp/3p1np1/2pP2B1/2P1PP2/2N5/PP1NQ1PP/R3K2R b KQ -,f6d7
8/4Qpp1/p3p1k1/1b2P3/4N2p/5P1P/6PK/r3b3 b - -,b5d3
rnb1k2r/3nqppp/pp2p3/3pP3/3N1P2/8/PPPQ2PP/R2NKB1R b KQkq -,f7f6
3R4/1pr1rpk1/p5p1/P1P4p/1P5P/5B2/3R1KP1/8 b - -,g7f6
r7/pp2ppkp/1qn1b1p1/2p5/4P3/P1N5/1PP1BPPP/1RQr2K1 w - -,c1d1
2k5/p2b2p1/1p3q2/4p1R1/1PPpPp2/3P1N1r/2Q2P2/2K5 w - -,c2d1
5k2/2r2p2/p7/1p6/2q5/PR6/KPPQ3P/8 w - b6,d2d6
2k2b1r/p4ppp/8/3P4/Pp1K4/2p2P2/bP4PP/2B4R b - -,f8e7
r5b1/1kp3bp/pppn1pp1/5P2/1P2P1P1/P1NP1N1P/1K1B4/3R4 b - -,a6a5
q3kbnr/1ppb2pp/2n5/1QP1p3/1P6/3BPN2/3P1PPP/1N2K2R w Kk -,b5c4
1r6/4R3/2b5/4P3/2pk4/6P1/PP5P/6K1 w - -,e7c7
1rb1r1k1/3n1pbp/pq1p2p1/2pP4/4PP2/2N2N1P/RPQB2PK/4R3 w - -,d2e3
8/5k2/5Rp1/4p1K1/6PP/6r1/8/8 b - -,f7e7
r2qk2r/p4ppp/n1p5/b1p5/Q1p5/P3P1P1/1P2NP1P/1RB2RK1 b kq -,d8b6
3r1k2/4bppp/8/1ppPp3/6b1/1R3RP1/1PP2P1P/3N2K1 w - -,h2h3
8/p7/4b3/2p1p3/4Bk1P/1P3P2/P3K3/8 w - -,h4h5
2rqnrk1/1b2bpp1/1p5p/2p1P3/3p1P2/1P1B4/PBQN2PP/R4RK1 w - -,d2e4
r3k1nr/pp1qppbp/2np2p1/2p5/4P3/2NP1N2/PPP2PPP/R1BQ1RK1 w kq -,c1e3
r5k1/pp2p2p/1q2b1p1/8/3b2P1/7Q/PP3B2/4RRK1 b - -,a8f8
5Q2/1q4pk/p1n1bp1p/4p3/3p4/3P1PP1/3NPK1P/8 b - -,b7b4
r4rk1/ppp1bppp/3q4/5b2/2PP4/1Q3N2/P4PPP/R1B2RK1 w - -,b3b7
8/6p1/8/5pkp/5R2/6PP/3K4/4r3 b - -,e1e4
r4rk1/p3pp1p/2n1q1p1/4P3/R2b4/5B2/3B1PPP/3Q1RK1 b - -,a8d8
r1bqkb1r/1p1n1ppp/p2p1n2/2pPp3/2P1P3/2N2P2/PP2N1PP/R1BQKB1R b KQkq -,h7h5
2q5/3n1pk1/1p1p2p1/3Pb2p/QPP4P/5BP1/5BK1/8 b - -,c8c7
5rR1/b1p2P2/ppp1P3/2P5/5P2/1N6/PP5p/5K1k w - -,g8f8
2r2rk1/p1R3pp/5b2/3p1p2/Q2PqB1P/6P1/P7/3R2K1 b - h3,c8c7
r1bq1rk1/pp2ppb1/2n3pp/2p5/2PPp2B/4P3/PP1QNPPP/2KR1B1R w - -,d4c5
rn1qk2r/p3ppbp/bppp1np1/8/P2PP3/2N1BP2/1PPQ2PP/R3KBNR w KQkq -,f1a6
r1q4k/1pp1b1pp/4np2/1N2p3/p1nP4/P3P1P1/1B3P1P/1bQ1RBK1 w - -,c1c4
r4rk1/1p2qp1p/p1p3p1/3p4/PPnP4/3NP3/2Q2PPP/RR4K1 w - -,d3b2
4kb1r/r1q1pppp/p1p1P3/1p1n1P2/8/1Q6/PP2BPPP/R1B1K2R b KQk -,f7e6
3r4/2b1kp1R/p1p1b1p1/PpP1p3/1P2P1P1/2KB1P2/6P1/4N3 w - -,g2g3
3k4/K1R5/2PP4/8/8/8/8/1r6 b - -,b1d1
2r1r2k/q2Nnpbp/1pn1p1p1/p2pN1B1/3P1QP1/2P4P/PP3P2/3RR1K1 b - -,c6e5
1r4k1/1r4p1/4pnQ1/1Pp2pN1/8/3P2PP/q3PPK1/1R2R3 b - -,a2d5
8/b1r2rk1/p3p3/8/bP2B3/P1p2NP1/5PK1/2R4R w - -,h1h7
r2q1rk1/pp2bppp/2b1pn2/n1p5/3PP3/2NQ1NP1/PP3PBP/R1BR2K1 b - e3,d8b6
3B4/1p4pk/2pP4/7p/P7/8/bK6/8 b - -,a2e6
5r2/pp6/3nRr2/2pP2k1/P1P3B1/5p1P/8/5RK1 w - -,f1f3
5rk1/1p1rbppp/p7/2PB1b2/1P2p3/PN5P/1B2KPP1/R6R b - -,d7d5
8/r5kp/1R2KNp1/1p1P1p2/2n5/6P1/7P/8 w - -,b6c6
r2n2k1/1p3pp1/pQ1r1q1p/3p1b2/2pP4/2P1PN2/PR3PPP/2K2B1R w - -,b6c5
8/4np1k/1bpN2p1/p7/P5p1/6B1/2P3PP/7K b - -,f7f5
r4rk1/pp6/4b3/3pnp1P/2p3pR/2P5/PP2B1P1/2KR1N2 w - -,f1e3
1rb2rk1/2qnbppp/p2p4/1p1p4/4PP2/PN4PP/2P1Q1B1/2BRR1K1 b - -,d5e4
2kr1b1r/1p1n1bpp/p1p1pp2/2Pp4/1PPPP3/5PP1/3N2BP/R1B1K2R w KQ -,c4d5
