8/5k2/1N1p4/p1p5/P1P2PK1/1n6/8/8 w - -,b6c8
r2r2k1/1qp1ppbp/5np1/p7/Pp1Pb3/1P2P1P1/1B3PBP/2RQNRK1 w - -,f2f3
r7/pp2p1b1/4k3/4p3/4n1pB/4N1P1/PP5P/2R1K3 b - -,g7h6
8/1R6/5p1k/5K1p/5P1r/8/8/8 w - -,b7f7
8/p2b3p/3r1kp1/1p3p2/1PB5/P7/6PP/2N1R1K1 b - -,b5c4
8/8/1p2k3/p1p5/P1P5/QPq2K2/8/8 w - -,f3e4
rn1qkb1r/p1p2p1p/1p2pnp1/8/2BP1B2/P1N2PP1/1P3P1P/R2QK2R b KQkq -,c7c6
rnbqkbnr/pp3ppp/4p3/2P1P3/8/2p2N2/P2P1PPP/RNBQKB1R b KQkq -,c3d2
r1nq1rk1/1p1nb1pp/2p1pp2/p2pPb2/P2P4/1N2BN1P/1PP1BPP1/R2Q1RK1 w - -,e5f6
5r1k/p3q1p1/7p/1pr2p2/5P2/Q3P3/P4P1P/2RR2K1 b - -,f8c8
6k1/4rn1p/1R4p1/3Bpb2/2p5/q1N1Q1PP/5P2/6K1 w - -,g3g4
5k2/R5pp/3r1p2/8/3NP2P/4K3/5PP1/5b2 b - -,f1g2
2r5/4kp1p/3pp3/7p/P1r1PP2/1R3K2/1P3RPP/8 b - -,c4a4
8/8/pb2p1kp/3pP1p1/PPpP1pP1/2B2P2/3K3P/8 b - -,h6h5
7k/Q1p2p2/4p3/p3bqRK/P1n4P/2P5/5B2/5r2 b - -,f5h7
4r2r/2P2Q2/8/2K3k1/1P2p3/8/P7/8 w - -,c5d4
r2qk1nr/1pp2ppp/p1pb4/4P3/4P1b1/5N2/PPP2PPP/RNBQ1RK1 b kq -,g4f3
rnbqk2r/pp2ppbp/3p1np1/2p5/3PP3/2PB4/PP2NPPP/RNBQ1RK1 b kq -,e8g8
6k1/3bb3/pB6/P2r3p/1p1N3P/1P4K1/4P3/2R5 b - -,e7f6
5k2/3R3p/p5p1/2p3B1/6N1/r5PK/4r2P/8 b - -,a3f3
rn3rk1/bq1p1ppp/b1pP1n2/p3p3/N3P3/P5P1/1P1QNPBP/R1BR2K1 w - -,g2f3
3r2k1/2qrpp1p/p5p1/2P2b2/pP6/2Q2B1P/5PP1/3R1RK1 w - -,d1d7
r2r2k1/1q3ppp/2bRpn2/8/p3PB2/2R1Q1P1/1PP2PBP/6K1 b - -,d8d6
2r1k2r/pp1qbppp/2nppn2/6B1/3pP3/2P2N2/PP2QPPP/RN1R2K1 w k -,c3d4
6R1/1p5r/1p6/5kp1/PP3pp1/5b2/3B1P1P/4K3 w - -,g8f8
5rk1/2p1p1bp/6p1/r4q2/7Q/6P1/P3PP1P/R1B2RK1 w - -,c1d2
5b2/p1n2k2/3p1np1/P1pP1p2/5P2/NrN4R/6PP/2B3K1 b - -,c7d5
r2q1rk1/3b2pp/pb1p1p2/1ppPp3/2P1PP2/1P2B1P1/P2Q2BP/R4RK1 w - -,f1f2
r4rk1/pp2ppbp/2p2np1/R7/1PBP1P2/4PN2/1q1B2PP/1b2QRK1 b - -,b7b5
5rk1/2p1nppp/p1p2q2/3p4/Pr1PP3/R1NQ1P2/1P3P1P/2B2R1K w - -,c3e2
8/5Kp1/pk5p/5P2/1P6/8/2b3r1/2R5 b - -,c2f5
8/2p2b1p/2kn1p2/1pbr4/1P3P2/4BNP1/P4K1P/2R5 w - -,f2e2
2rbk2r/qp1n1p2/2p1p1p1/3pP3/1P1P1PPp/PN4nP/1B1QB1K1/2R2R2 w k -,f1f3
r2qr1k1/bpp2ppp/p1np1n2/4pb2/1PP5/P1NPP1P1/4NPBP/R1BQ1RK1 w - -,c1b2
r3b1k1/6r1/1Rp1p3/2PpPpq1/3P3p/4P2P/5Q1K/1R3B2 w - -,f1a6
1qr1r1k1/1b1n1pb1/pp1ppnp1/7p/1PP1PP2/P1N3PP/1B1NQ1BK/2R1R3 w - h6,e2f2
rnbqk1nr/pp3pbp/2p1p1p1/8/3P1B2/2N5/PPPQ1PPP/2KR1BNR w kq -,c3e4
r1bqk2r/1p3pnp/p2p2p1/2nNb3/2P1PBP1/2N5/PPB1Q2P/R4R1K b kq -,e5f4
3q1r2/b1rk3p/p1p1b3/4pp1Q/1P3R2/P3P1N1/3P2BP/6RK w - -,f4f1
7B/1p2pk1p/3p2p1/5p2/P4PnP/1q4P1/3Q2K1/8 b - -,b3c4
r1bqr1k1/2p1np2/pb1p1p1p/1p1Pp2Q/4P2N/1BP4P/PP3PP1/RN2R1K1 b - -,g8g7
2n1rrn1/3q1p1k/1ppp2pp/p7/P1NPP3/1P3PB1/2Q3PP/2R2R1K w - -,f1d1
3rr1k1/b4pp1/p1pBb1p1/7n/1PP1P3/P1N3PP/2R3B1/3R3K w - -,g3g4
2r2rk1/2q1bppp/p7/1ppPp1Pn/8/3BBP2/PPP2Q1P/1K1R3R b - -,c5c4
8/1p2qrkp/p5p1/2pp3n/P3P2Q/5PPP/1P4K1/R2R4 b - -,e7e5
8/6p1/4Bb2/p4P1p/P6k/3R3P/7r/5K2 w - -,e6d7
r4rk1/pp3ppp/1bpp1n1q/4n3/3NP3/2P2PPb/PP1NB2P/R2Q1RBK w - -,f3f4
r7/8/p2kb3/1p1p2R1/1P6/P2B1P2/2P2K2/8 w - -,g5g6
1Q6/3b3k/5b2/2q2pp1/2N5/3P2P1/4PP2/6K1 b - -,d7e6
rnbqkbnr/ppp1ppp1/3p3p/8/3P3B/8/PPP1PPPP/RN1QKBNR b KQkq -,b8d7:c7c5:g7g5
5q1k/p6r/1p1bB3/2pPp2Q/2P2p1P/R7/P4P2/5K2 w - -,h5g5
8/R6p/4k1p1/P4pB1/2nPp3/7P/5PPK/r7 w - -,g5d8
5k2/1p3pb1/1q1p3p/p1pP4/2b3P1/2P2N1P/PP1Q1K2/R7 b - -,c4d5
8/4rk2/2r2pp1/1p1p3p/5R1P/2PKB1P1/1P3P2/8 b - -,c6c4
r1bqk2r/pp1p1ppp/2n1pn2/8/1b1NP3/2N2P2/PPP1B1PP/R1BQK2R b KQkq -,d7d5
8/2pr4/1p1p1pk1/pPr2Npp/P1R1P3/1nP2PP1/5KP1/3R4 w - -,c4c5
2rk2r1/1p2b2p/1q2ppb1/1P1pPn1p/p2P4/P4NPP/1R1Q1PB1/1N1R3K b - -,c8c4
3r1r2/pb4kp/1pn1pnp1/2ppq3/4PN2/2NP2P1/PPPQ2BP/R4RK1 w - -,e4d5
r1bqkb1r/ppp1pppp/1n3N2/3P4/2B5/5P2/PPPP2PP/R1BQK1NR b KQkq -,g7f6
1rb2rk1/ppnp1p1p/5qp1/2p5/5N2/2P3P1/PP2PPBP/R2QK2R w KQ -,e1g1
1r3k2/2rn1ppp/4p3/p1p5/PpP5/1P3BP1/3RPP1P/2R3K1 w - -,c1d1
5r1r/kpp5/p1nb4/3p3q/1P1P2p1/P1BQR1P1/4RPB1/6K1 w - -,b4b5
2rq1rk1/pp1nbppp/1n2p3/4P3/4N3/1P3N2/P4PPP/R1BQ1RK1 b - -,b6d5
B4rk1/p1pn2pp/5p1n/1P6/2Pq4/6PP/P3RP2/R3Q1K1 b - -,d7e5
8/6pk/1b5p/4KP2/6P1/8/1P2N2r/2B5 w - -,e2c3
2krq2r/pp1b4/2pb1p2/6p1/3P1P1p/1B1QB3/P1P3PP/R4RK1 b - f3,g5g4
rn2k2r/pp2nppp/4p3/q2pP3/b1pP3P/2P5/2PBBPP1/R2QK1NR w KQkq -,h4h5
1q6/7p/5kn1/1PQ2pp1/8/7P/6P1/4RK2 b - -,b8f4
rnbqk2r/pp3ppp/4pn2/2p5/2BPP3/2P2N2/P4PPP/R1BQK2R w KQkq c6,c1g5
r2q1rk1/ppp2p1p/4bNp1/4n3/2B1PR2/2P5/PP4PP/R2Q2K1 b - -,g8g7
4r3/5k2/p5p1/1pp5/3b4/PP1bB2P/3K1PP1/2R5 b - -,d4e3
r2q1rk1/1bp1npbp/p2p2p1/1p6/2nPP3/2N1BN1P/PPB2PP1/R2Q1RK1 w - -,e3c1
1R6/8/8/8/1pk5/8/r1PN4/2K5 b - -,c4c5
5r1k/8/5q1p/2R5/1p1Q3P/8/5P2/5K2 w - -,d4f6
r1bq1rk1/pp3pbp/n2p1np1/2pP4/2P5/2N2N1P/PP2BPP1/R1BQK2R w KQ -,e1g1
8/8/4P1k1/4P2p/r4P1P/5B2/5K2/8 w - -,e6e7
rnbq1rk1/ppp3bp/5np1/3p1pN1/8/1P2P3/PBP1BPPP/RN1Q1RK1 b - -,h7h6
2r1kb1r/ppqn1ppp/2p1pn2/3P1b2/3P4/1QN1PN2/PP1B1PPP/2R1KB1R b Kk -,e6d5
rn1qk2r/p1p2ppp/bp2pn2/3p4/2PP4/1P3NP1/P2QPPBP/RN2K2R b KQkq -,c7c6
r1b1rbk1/pp3ppp/6n1/3p4/1q3B2/1N2P2P/PPQ1BPP1/R2R2K1 w - -,f4g3
3r1rk1/ppp1ppbp/2n3p1/3nP3/3P4/1P2BN1P/1P2BPP1/R3K2R w KQ -,e2c4
1rbq1rk1/pp2bppp/2np1n2/2p1p3/P1B1P3/1PN2N2/1BPP1PPP/R2QR1K1 b - a3,a7a6
2qr4/4b2k/3n1pp1/Qp1Pp3/2p1P2p/4B3/PP3PP1/4RNK1 b - -,c8b7
4r3/1p2npk1/p6r/3P1p1p/PqP1pP2/4N1PP/4Q1RK/4R3 w - -,e2b2
r2qkb1r/1b1n1ppp/p3pn2/1p1P4/2p1P3/2NB1N2/PP3PPP/R1BQ1RK1 w kq -,d5e6:d3c2
2rq1rk1/1p3ppp/p2pb3/2n1p3/2P1P3/1P3Qb1/P1N2PPP/R1B2RK1 w - -,h2g3
2r1k2r/1p1nbppp/p2pb3/4p3/4P3/2N1BP2/PPP3PP/2KR1B1R b k -,d7f6
3r2k1/p1r2pp1/Qp1b1q1p/3P4/1B6/P2R2P1/3R1PKP/8 b - -,f6f5
rnbq1rk1/pp4b1/2p4p/4p1pP/3pP3/3Q2B1/PPP1BPP1/RN2K2R b KQ -,c8e6
2r1rbk1/q2n1ppp/2p2n2/pp6/2Pp4/PP1P2PP/1NQB1PB1/R1R3K1 b - -,d7b6
r1r3k1/3bbppp/pq1p4/3Pp3/2nN4/3Q2PP/1PP2PB1/R1B1R1K1 b - -,e5d4
r1bqk2r/1p2bppp/p2ppn2/2n3B1/3NP3/1BN5/PPP2PPP/R2Q1RK1 w kq -,f1e1
6k1/2p2pb1/1pn3pp/3rpb2/7P/3PB1P1/P1R1PPB1/6K1 w - -,c2c6
r1b1k2r/pp2nppp/2n1p3/1B1pq3/6Q1/2N5/PPP2PPP/R1B2RK1 w kq -,c1f4
r1b1k2r/1p1p1ppp/pbn1p3/8/2P1P3/3B4/PPN2PPP/RN3RK1 b kq -,d7d6
rnbqk1nr/pp4pp/4pp2/bN1pP3/3P4/PpP5/5PPP/R1BQKBNR w KQkq -,g1f3
r2r2k1/pp2pp1p/6pB/5b2/q2N4/2P2P2/nP1Q2PP/3KR2R w - -,b2b3
3r3k/2qN1Qbp/1p2p1p1/p2pP1PP/3P4/P7/1P4PK/5R2 b - -,g6h5
8/5k1p/4pp1P/p2p4/Pr1P1Nn1/R3P3/2P1K3/8 w - -,a3b3
5bk1/7p/n5p1/2pPBb2/pqP5/8/5NPP/2QB2K1 w - -,e5c3
r2r4/ppp1kp2/5p1p/4pb2/1PP1P3/P1Kn4/3NBPPP/3R3R b - -,d3f4
r7/1p1nbpk1/2p1p1pq/1PPpPn2/3P1P1p/r2B3P/1R1Q1BPK/3R2N1 b - -,e7d8
r1bq1rk1/1p3pbp/p4np1/2p1n3/2P1P3/2N3P1/P3NPBP/R1BQ1RK1 w - -,c1a3
8/8/pb4p1/1p1kPp1p/1P1p1P1P/PR3NP1/4K3/2r5 b - -,c1c2
r1b1r1k1/1pp1np1p/1b1p1p2/pP2p3/2PP4/P3PN2/1B3PPP/R3KB1R b KQ d3,c7c5
r1b2rk1/p3npbp/1pn1p1p1/2p5/4P3/2P2NP1/PP3PBP/R1BR1NK1 b - -,c8a6
3r1b1k/1p4p1/4Q2p/1BqP1N2/6P1/7P/5P2/4R1K1 b - -,c5b5
8/p3k3/1p3p1p/1P1p1Pp1/P2Pb1P1/2K5/7P/3B4 b - -,e7d6
r1bq1rk1/pp5p/1n1bp3/1p3pp1/3P4/3N2P1/P2BPPBP/R1Q2RK1 w - -,d2g5
r1bq1r2/pp4k1/4p1p1/3pPp1p/5P1P/2PQ1N2/PP4P1/R3K2R w KQ -,e1c1
4r1k1/ppp3pp/5r2/5p2/3Pn3/2PNP2P/P4P2/2R1K2R w K -,d3e5
2b5/6pp/8/P7/2k1p3/4P1P1/3KN2P/8 b - -,c4b4
r4rk1/bppq1ppp/p2pb3/3Pp3/8/3PP1P1/PP2QPBP/1RB2RK1 b - -,e6h3
rnbqkbnr/pp1pp1pp/8/2pP4/8/6PP/PPP1P3/RNBQKBNR b KQkq -,g8f6
4r1k1/5pbp/3B2p1/3Pn3/Q1p1PNq1/6P1/7P/5R1K b - -,g4d7
8/2k5/4K2R/8/4P3/8/8/5r2 w - -,h6h2
3r2k1/pP1n1ppp/1p2r3/6n1/3P3q/1PN2R2/PBQ3P1/3KRB2 w - -,e1e6
2r1k3/1pr1qpp1/p1npb2p/3p4/3P4/P1R1P3/1PQNBPPP/2R3K1 w - -,e2f3
r1bq1rk1/1pp1bppp/p1np1n2/4p3/1P2P3/1BPP1N2/P4PPP/RNBQ1RK1 b - -,f8e8
r3r1k1/2p2pp1/p6p/2p1pPq1/2P5/1P4Q1/P4PPP/4RRK1 w - -,e1e5
8/8/2p1Rp1k/3n1P2/1pNP4/2P2K2/8/6r1 b - -,b4c3
r2r4/1p1nppkp/p5p1/8/2P5/1PN2P2/P4P1P/R2R2K1 w - -,d1e1
r3k2r/ppq1bppp/3p1n2/1P2p1N1/1Bn1P3/2PQ2P1/P4PBP/R4RK1 b kq -,e8g8
2r3k1/5pp1/1p4bp/p3p3/P5P1/1P2KP1P/R1P5/4N3 b - -,f7f6
3rk2r/pp2p1np/2p2pp1/8/P3PN2/1P3P2/2P3PP/2KR1R2 w - -,f4d3
5k2/7p/p3p1p1/1pN1p3/6P1/P3n3/1PP4P/7K b - -,f8e7
2rq1rk1/2pnb1pp/p3p3/np1pP3/3P4/PP3N2/2QN1PPP/R1B1R1K1 w - -,c2b1
2rr4/pb2ppkp/2n3p1/8/1pN5/1Pn2NP1/P3PPBP/R1R2K2 w - -,a2a3
1r6/2R5/2P2b2/p4k2/P7/5KB1/7P/8 b - -,b8b3
r4r2/pb1nk1Pp/1p5Q/5p2/2Bpq3/4N3/PPP2PP1/R3K2R w KQ -,g7f8q
8/1p1Q4/1q4pk/2p1b3/8/1N3RPP/5P1K/4r3 w - -,d7d2
8/6k1/5r2/6p1/6Bp/1pN2P2/3K4/8 w - -,d2c1
2R2r1k/8/3p1rpb/1p2p3/4P3/3P2R1/P4PB1/6K1 w - -,c8f8
r2qk2r/pp1b1ppp/2n1pn2/3p4/1b1P1B2/2NBPN2/PP3PPP/R2Q1RK1 b kq -,e8g8
5rk1/4np1p/1pq1p1p1/p1P1P1N1/1nQ5/5BP1/1P3P1P/3R2K1 b - -,c6c5
2rr2k1/ppq1bppp/2p1pn2/7b/1P1P4/P1Q2NPP/3NPPB1/R2R2K1 b - -,a7a5
3r1nk1/r5b1/1N1p3p/P1pPp2R/4P3/6P1/1P1BR1K1/8 w - -,b6c4
5N1k/1p2r2n/p5RQ/3p1q2/2pp2p1/6P1/PPP2PP1/6K1 w - -,g6f6
8/7p/4p1pP/2k1P3/3r1P2/p2pK3/P2R4/8 w - -,d2d3
r4rk1/1b2bpp1/pqp1p2p/1p1nP3/3P4/2N2N2/PP2QPPP/1BRR2K1 w - -,e2c2
r2r2k1/pp1bpp1p/5npb/8/qn1PP3/5QPP/PB1N1P2/R1R1NBK1 w - -,b2c3
2k4r/ppp2rp1/3p4/4p2P/8/P1P2P2/1PP3P1/1K1RR3 b - -,h8h5
8/p3r1kp/1p1Q1np1/2p5/P1Pp4/8/1PP3P1/5K2 b - -,e7f7
r7/1q3pk1/p3r1p1/R1B2n2/1P2N3/3PpQ2/6PP/7K b - -,a8d8
r7/p4pk1/2p5/4P1q1/1p2P1p1/1Q1B4/3R3r/2K3R1 b - -,h2d2
r1b1k2r/1pp3p1/1b1p1pq1/p2Ppn1p/P2P3P/2P1B1P1/1P2NPB1/R2Q1RK1 w kq -,d1d2
r2q1rk1/1ppb1pb1/n2p1npp/p2Pp3/2P1P3/2N1B3/PP1NBPPP/R2QK2R w KQ -,e1g1
8/1p4pp/p1k5/8/1PP5/2K4P/P2R2P1/3r4 b - -,d1c1
r1bqr1k1/5ppp/p4n2/1pbp4/3p1P2/1B1P3P/PPP1N1P1/R1B1QRK1 b - -,d8e7
4r3/2p4p/3p1k2/p4p2/2P1rP2/6P1/P1R2K1P/3R4 w - -,d1d5
r2qk2r/ppp1ppbp/1n4p1/5b2/1n1P4/4PNP1/PP3PBP/RNBQK2R w KQkq -,b1a3
r1bq1rk1/ppp1bppp/2n2n2/3pp3/4P3/3P1NP1/PPPNQPBP/R1B2RK1 b - -,d5e4
r1bq1rk1/pp3pbp/n2p1np1/2pPp3/2P1P1P1/2N2N1P/PP2BP2/R1BQK2R b KQ g3,a6c7
2r3k1/5p1p/1p2p1p1/8/3b1P2/1nN3P1/1P2PKBP/3R4 w - -,f2e1
1r1q1bk1/1r3pp1/p1npb2p/2p1N3/P3n3/2PPBN1P/2B2PP1/2RQR1K1 b - -,c6e5
k7/pr1r1ppp/3p1n2/R3bN2/1Pp1q1P1/2P1B2P/1PK2Q2/R7 w - -,c2c1
4r1k1/1p3ppn/2p5/Q2n1qP1/P2Pp3/BP2P1P1/5PB1/3R2K1 b - -,h7g5
2bq2k1/1r3rpp/2p1p3/p2pR3/2P5/1P1B2Q1/P4PPP/4R1K1 b - -,b7e7
2bq1rk1/p5pp/1p1bpp2/1B1p4/3P4/P3P1BP/1P2QPP1/R5K1 w - -,g3d6
6k1/pp1b4/2p1p3/P2B4/1P1PpP1q/4P2p/6r1/2KQ1N1R b - -,e6d5
2r2rk1/1bq1bppp/p1npp3/1pn5/4PP2/PNNB1R2/1PPBQ1PP/4R2K w - -,f3h3
1rbqk2r/1p2npbp/p1n1p1p1/2pp4/P3PP2/2NP1NP1/1PPB2BP/R2QK2R w KQk -,e1g1
4r1k1/5Rpp/8/8/8/BP3pP1/P5rP/3R2K1 w - -,g1f1
2rqnrk1/3b1pbp/p3p1p1/1p2P1B1/1PpPN3/7P/P4PP1/2RQRBK1 b - -,f7f6
r2qk2r/pp3pp1/2pbpn2/4n2p/2P1P3/1P4P1/PB3PBP/RN1Q1RK1 b kq -,h5h4
5k2/p4pp1/1P2n2p/1b3N2/8/P4P2/5BPP/6K1 b - -,a7b6
8/1p4p1/2p2p1p/2k5/P3r3/1PP2R1P/5PP1/5K2 b - -,e4e7
4k2r/4bppp/pq2pn2/1pp1P1B1/8/6P1/PP2PPbP/RN1Q2K1 w k -,g1g2
8/5k2/1p1pr1p1/r2p1pPp/p2Pp2P/P1P5/1P1KRP2/3R4 w - -,d2e3
r1bqnrk1/ppp1npbp/3p2p1/3Pp3/2P1P3/2N1B3/PPQNBPPP/R3K2R b KQ -,f7f5
rnbqk2r/p2nppbp/1pp3p1/3pP3/3P4/2N1BN1P/PPP2PP1/R2QKB1R w KQkq -,d1d2
4r3/4q2k/p5pb/1p5p/1P2N3/4P3/5PB1/2Q3K1 w - -,c1c6
8/1p1R4/p5R1/4p1pP/2r1k3/4n3/1K6/8 b - -,c4b4
r2qk2r/pp2bppp/2p5/3pPb2/P2Q1P2/2N1B3/1PP3PP/R4RK1 w kq -,d4d2
2r2rk1/p1np1ppp/1p2p1q1/3bP3/3PN3/P1N2P2/1P4PP/2RQ1RK1 b - -,d5e4
8/3k2p1/p7/Pr1pbp1p/1pn5/1N2P1PP/RP2KP2/2B5 w - f6,e2d3
r1b2bk1/1p6/3p4/pP1Pp3/P3Pp2/5Prq/2RR1QN1/3N1K2 w - -,d2d3
r1r3k1/p3bppp/b1n1pn2/3q4/3P4/P2BNN2/4QPPP/1RBR2K1 b - -,a6d3
3qrrk1/p5b1/3p3p/pPp1n3/P1P1Ppb1/2NP1N2/4QPB1/2R3KR b - -,e8e6
6k1/5pp1/7p/p1Q1P3/8/2P2P2/q5PP/6K1 b - -,a5a4
r7/3n4/2p2p2/1p2k1pP/p3P1P1/2P1K3/1P2B3/R7 w - -,e2d3
