8/P7/1K6/4pk2/5n2/8/1P1R4/r7 b - -,e5e4
3rrk2/4bp2/p4pp1/2pB2q1/1pP3P1/1P3R1P/PQ3P2/3R2K1 w - -,d1e1
1q3rk1/pp1nppbp/3p2p1/3P4/8/1P2BP2/P2QBPPP/2R3K1 b - -,d7b6
r5k1/p1qr1pb1/2p1b1p1/2Bnp1Pp/2B1N3/5P2/PPP2Q1P/2KR3R b - -,a8d8
7r/R1bk2p1/2p1p1p1/1pPpPp2/1P1P1PPP/5K2/5B2/8 w - -,a7a1
8/4n3/pkp1P2p/2N1K1p1/1P6/6P1/7P/8 b - -,a6a5
rn3rk1/ppqbppbp/6p1/8/3NP3/Q3B3/PP3PPP/3RKB1R w K -,f1e2
3r4/ppkn1p1p/2p2pb1/8/3Pr2N/1B4P1/PPP4P/3R1RK1 b - -,g6h5
r3kn1r/pp1bb1pp/1qn1pp2/3pP3/3P1P1P/3B1NKN/PP4P1/R1BQ3R w kq -,c1e3
6k1/p2r2pp/1pn2p1n/5P2/2P1Pq1P/P7/6Q1/1B4RK w - -,e4e5
r1b2rk1/4q2p/p5pR/3pPp2/1p1NnP2/1P1B4/1PP4P/2KR2Q1 w - -,d4c6
b7/8/5kBp/7P/3K1pp1/P7/5P2/8 b - -,g4g3
r4nr1/1pp1kp2/1p1p1q1p/1B1Pp3/4P1b1/2P1RN2/PP3PP1/R2Q1K2 w - -,b5e2
8/7p/5k2/2PP1np1/5p2/3N1P1P/5KP1/8 b - -,f5e3
8/8/p1n5/2P5/4N1k1/2K2P1p/8/8 b - -,g4f4
r3r1k1/1bqnppbp/pp1p1np1/6B1/N1PNP3/8/PP1Q1PPP/2R1RBK1 w - -,f2f3
8/8/6k1/1pR2p2/1P4p1/P2r4/5PK1/8 b - -,d3a3
r2q1rk1/1p3ppp/p1nbpn2/3p2B1/3P4/P1NbPP2/1P2N1PP/2RQ1RK1 w - -,d1d3
8/3n2p1/1P5p/P4k2/1K2nP2/8/5p2/5R2 w - -,b4b5
7k/1p4pp/p7/8/8/1B1n2B1/3p2K1/5r2 w - -,g2f1
1r3r2/p5pk/2n4p/1p6/2P1R3/4RN2/P4PP1/6K1 b - -,b5c4
5rk1/1r3ppp/p3p3/4P3/1bp1b3/4BN2/PPP3PP/2KR1R2 w - -,c2c3
6k1/5pp1/pq2p1np/3pP1N1/2nP2PP/1p1Q4/1P3P2/2B3K1 w - -,h4h5
1r5k/8/p5pp/q1BPb3/8/P7/1r4BP/2R2Q1K b - -,a5d8
r1b1qrk1/1pp1p1bp/n2p1np1/p2P1p2/2PN4/2N3P1/PP2PPBP/R1BQ1RK1 w - -,a1b1:b2b3:e2e4
8/8/5kp1/4nP2/5K2/6PP/4B3/8 w - -,f5g6
1R2R3/3p3k/2b2Kp1/p6p/5r2/8/8/8 w - -,f6g5
1r1q3k/5p2/1p5r/pPpPp3/P1N2Pbp/3QR3/5RPK/8 w - -,f4e5
r1bq1rk1/pppp1pb1/2n2npp/4p3/4P3/2NP1NP1/PPP2PBP/1RBQ1RK1 w - -,c1d2
rnbqk2r/p3bppp/1pp1pn2/3P2B1/Q2P4/2N2N2/PP2PPPP/R3KB1R b KQkq -,e6d5
8/6p1/3kppp1/r7/P1Bn3P/6P1/RP2KP2/8 w - -,e2d3
r3k2r/ppqbn1pp/2n1pP2/3p4/2pP4/P1P2N2/2P2PPP/R1BQRBK1 b kq -,g7f6
6k1/1p3pp1/2n1p3/p3bq1p/2P1p2P/PP1rP1P1/1BQN1PK1/4R3 w - -,f2f4
2rq1rk1/p3ppbp/2p2np1/3p1b2/N2P1B2/6P1/PP2PPBP/R2Q1RK1 b - -,f6d7
n1r2rk1/1pq1bpp1/p1p1bN1p/2Pp4/NP1Pp3/P1B1P2P/3QBPP1/2R1K2R b K -,e7f6
1rb1k2r/p1p1bp1p/4q1p1/2p1P3/P1N2P2/4B3/1P4PP/R2Q1RK1 w k -,d1c2
8/5p2/4p3/1p6/pP1pk3/8/2K5/8 w - -,c2d2
3r2k1/pp1brp1p/2p1p1p1/2R5/3P1P2/1B2P3/PP4PP/3R2K1 w - -,d1c1
7r/5pk1/3b1n1p/2p3p1/p1PpPpP1/Pq1P1P2/4BK1R/1N1Q4 b - -,b3b8
r1bq1r2/1p4bk/p2p1npp/3Pp2n/1P2p3/2N2PP1/P2Q1BBP/R3K1NR w KQ -,c3e4
8/5p1k/6p1/4P3/5P2/3Kp3/8/8 w - -,d3e3
2R5/5p1p/p2kp1pP/1p1b2P1/5P2/PP6/1K6/8 b - -,e6e5
1k5r/4b3/p1rpP3/3Rpp2/1p2P2P/qP4P1/2P1Q3/1K2RB2 w - -,e1d1
5k2/1pp2ppp/pn1p4/3P1q2/1PPQ1P2/P4NP1/7P/6K1 w - -,f3g5
q4rk1/3n1ppp/2bbpn2/1p1p4/3P4/1QP2NP1/1B1NPPBP/5RK1 w - -,f1a1
1r3r1k/1p2p1q1/p1p1Pn1p/4Q1p1/PP6/1B1R1PP1/3R2KP/8 w - -,d3d4
rnbq1rk1/pp1p1pp1/4pn1p/2p5/1bPP3B/2N5/PPQ1PPPP/R3KBNR w KQ c6,d4c5:e2e3
4n3/R5p1/7p/2r1kp2/4p3/1B6/PP3PPP/2K5 w - -,c1d2
1n1r1bk1/1br2p2/p3p1p1/npp1P1Np/4BP2/2P1N3/PP1R2PP/3R1K2 w - -,d2d8
2r3k1/pp1b2bp/3r2p1/3P4/n2B4/5P2/PP1RN1P1/K4B1R w - -,d4g7
5k2/1r5p/6p1/2p5/p2b4/6P1/P1R2PKP/5R2 w - -,c2c4
rn3rk1/ppp3pp/3q1p1n/1P6/2PN4/6PP/P3RPB1/R3Q1K1 b - -,d6d4
7k/2R4p/b3B1p1/3P1p2/3r1P2/6PP/8/6K1 b - -,a6c4
2kr1b1r/1pp1pppp/p2q1n2/4n3/6b1/1BNPBN2/PPP2PPP/R2QR1K1 b - -,e5f3
r1bqk2r/pp3pp1/2n1p2p/3pP3/1b1P4/3BBNP1/PP3PP1/R2Q1K1R b kq -,c8d7
8/8/3p4/p7/3k3P/8/6K1/8 b - -,a5a4
r5k1/1b3pp1/pNq1pn1p/P3r3/1p6/1PnBQNP1/2P2P1P/R3R1K1 w - -,e3f4
6k1/2pn1rbp/p2p2p1/1p1P1b2/8/1PN1P2P/P3B1P1/2RR2K1 b - -,g7h6
2r2rk1/p4pp1/2p1bb1p/q7/2pP4/2N1P1P1/P4PBP/2RQ1RK1 w - -,d1a4
r7/4kp1B/2p1pb2/8/3P4/p2K1PP1/R7/7R b - -,a8a4
r1b1qr1k/1p1nb1np/2pp1ppB/p3p3/P2PP3/2N2N1P/BPPQ1PP1/3RR1K1 w - a6,g1h1
1r3rk1/5ppp/p2Bb3/3p4/8/1P4P1/q4PBP/3RQ1K1 w - -,d6f8
1R3n2/2k2p2/4pN2/3pP1pP/2pP4/2P5/5PP1/6K1 b - -,c7b8
r3r1k1/pbqnbppp/1p1ppn2/8/3P4/2PB1NN1/PP2QPPP/R1B1R1K1 w - -,f3g5
r5k1/6p1/1R6/5PK1/8/8/8/8 w - -,g5g6
r1bqkbnr/pp3ppp/2np4/2p1p3/2P1P3/2NP1N1P/PP3PP1/R1BQKB1R b KQkq -,g7g6
2rqk2r/3p1pp1/N3p3/1p6/3QBPn1/P5K1/1PP4P/3R4 w k -,g3g4
3r3r/1R1pbkpp/4pp2/4n3/1p2PB1P/1P4PB/2P2P2/3R2K1 w - -,f4e3
2r5/5p2/3kpP2/3pb2R/B7/1P6/1K6/8 w - -,b2a3
3r1rk1/p3q2p/1p2pp2/2p2p1N/2P4N/PPQPPB1P/6PK/8 w - -,h5f4
8/p4k1r/1p1p4/3N1Pbp/4P1p1/P2K4/1P6/2R5 w - -,c1c7
2R5/2P3r1/8/5p2/5k2/8/5K2/8 w - -,f2e2
2r1r1k1/2q1ppbp/6p1/p1N5/8/2P1QP1P/PP3P2/3RR1K1 w - -,c5a4
4r3/1pp3p1/1b1p1p1k/p2P3b/P2P1N1P/2P5/1P3R1K/4r1RB w - -,g1g3
8/8/3p4/1Pp1kp2/5N1p/r2BK2P/8/8 b - -,c5c4
2k5/8/1K6/7p/6p1/5pP1/4p2P/4B3 w - -,b6c6
r2q1rk1/1p1n1ppp/1bp2n2/p3p3/P3P3/1N2BbPP/1PP2PB1/R3QRK1 w - -,g2f3
6k1/3b1p2/3p1bp1/1p1Pp2p/qP2P3/3B1PPn/1QN3KP/2B5 b - -,a4a8
2rr1bk1/1p1n1p1p/p1pBb1p1/8/NPPpP3/3B4/P4PPP/2RR2K1 w - -,d6f8
1k6/1pp2pp1/p3b3/P2p4/1P1P1q2/K1PB1P2/4Q3/8 w - -,a3b2
r4rk1/1p3ppp/2n2q2/p1Q1pb2/8/P4NP1/1P2PPBP/2RR2K1 b - -,f8d8
1r3r2/5pkp/2npb1pb/p2Np1qP/R3P3/1PP1N3/2B2PP1/3QK2R w K -,d1e2
8/pp3rk1/7p/3p1qbQ/2pP4/2P5/P1PB2P1/4R2K w - -,d2g5
8/2pb1k2/1p1p1pp1/pP1Pn3/2P1PK2/P3N3/8/3B4 w - -,d1c2
2k5/7p/r3p1p1/3p4/P7/1R2K3/6PP/8 w - -,b3a3
r2r2k1/pp2bppp/1n2pn2/8/3Nq3/1P1NPP1P/PB2Q1P1/R2R2K1 b - -,e4h4
2r2rk1/pb4pp/1p1pp3/5P2/2P4b/PPq1BP1Q/R4P1P/3R1BK1 b - -,h4e7
1n1k3r/3p1Bpp/3P4/5nb1/8/P4P2/1P4PP/R4RK1 b - -,f5d6
2r3k1/1b2qpb1/1Q1p2p1/1N5p/4r2P/2B1N1P1/PP3P1K/3R4 w - -,e3d5
2r5/1pbk1p2/p1p1p1p1/2Pn3r/1P1P1Pp1/2BB2P1/1P2R2P/5RK1 b - -,c8h8
r4r1k/ppp5/1bp1PnNp/4P2R/8/2P5/PP3P1P/2K3R1 b - -,h8h7
3q1rk1/1R3p2/6p1/1Q5p/P6P/6P1/5PK1/8 w - -,a4a5
2r2rk1/2qn1pb1/5Bpp/Rpppp3/1P2P3/2PP1N2/2B2PPP/1Q2R1K1 b - -,g7f6
8/3k4/p7/1p1p4/1Pr5/P5R1/6KP/8 b - -,c4c2
2r2rk1/pp2pp1p/2n1b1p1/8/6P1/1NR1P3/PP3P1P/3B1RK1 w - -,b3c5
8/8/2k2BK1/1p5P/6P1/r2R4/8/8 b - -,a3d3
r5k1/ppq1rnp1/2p4p/8/5P2/1P2P2P/PBQ3P1/3R1R1K w - -,c2g6
r4rk1/pp2ppbp/2p3P1/q3P3/4pB2/2P1P3/PP2QPP1/R3K2R b KQ -,f7g6
4r1k1/1b3ppp/q4n2/4pN2/P3n3/1P2Q1PP/1B5K/2R2R2 b - -,h7h6
r7/1p1r2kp/6p1/2p1R3/p2n2P1/P2P4/1P4BP/5R1K w - -,e5c5
2r2k2/3n1pp1/1p5p/5p2/2PB3P/1P2R3/5PP1/4K3 b - -,c8c6
3k4/3b2RP/p7/1pB2pK1/1P2pP2/7r/8/8 b - -,d7e8
6bk/2p3pp/1p1q1r2/p3rp2/3p1n2/PP3N2/1BQ2PPP/2R2BK1 w - -,b2d4
3qr1k1/pp4pQ/6p1/3pP3/2pP4/2P5/2PK1PP1/7R b - -,g8f7
r1bq1rk1/ppp1bppp/4pn2/8/3P4/3B1N2/PPP1QPPP/R1B2RK1 b - -,b7b6
r1bqkb1r/pp4pp/2n1pp2/2ppP1N1/8/2PB4/PP1N1PPP/R1BQK2R b KQkq -,f6g5
2Q1b3/6k1/8/p1B2B2/Pp5q/2br1P2/P2pK3/3R4 b - -,d3d8
4r1k1/p1q2p1p/4b3/2p2p2/5b1N/1P1R1Q1P/P4PP1/4R1K1 b - -,g8g7
7r/3k1ppp/2pb4/5p2/8/3p1P2/PP1P1N2/R1B2Kn1 w - -,f1g1
8/6k1/B6p/8/P5p1/6P1/1PR2r1P/K5b1 w - -,c2c7
5bk1/3r1p1p/1p1p4/4pNPr/P1P3qP/1P2P1P1/Q2R4/5RK1 b - -,h7h6
5R2/8/8/8/4kp1K/8/8/3r4 w - -,h4h3
6k1/5p2/1p1r3p/p4qpQ/3p4/P3RNP1/2r2PPK/8 w - -,e3e8
r2q1rk1/2pb1pbp/3p2p1/p1pPp3/P1P1Pn2/2NN3P/1PQ1BPP1/R4RK1 b - -,f7f5
r2q4/pp1b1kpQ/1nnppr2/6B1/3P4/P2B4/1P3PPP/RN3RK1 w - -,d3g6
2r1k1r1/4pp2/p2pb1p1/qp4PB/3QPP2/2N5/PPP5/1K1R3R b - -,c8c4
3b1nk1/1q3pp1/2pBp3/NpPpP3/1P1P1nPp/2N2P1P/Q6K/8 b - -,b7c8
r3nrk1/pb5p/1qp2ppN/1pb1n3/4P2B/2N5/PPQ1BPPP/2R2RK1 b - -,g8g7
8/2n1k2p/6p1/2p5/K1Np4/3P3P/6P1/8 w - -,a4a5
6rk/7p/1Q3b2/8/3n1P1p/5PnK/7B/8 b - -,g8g6
3k4/8/3p3R/3Pb3/8/3K2rP/8/8 w - -,d3e4
4r2k/2pq2pp/1pp2n2/6R1/5p1P/2N2P2/PP3PQK/4r1R1 w - -,a2a4
8/1bP1N3/3K4/1p4p1/6k1/P7/8/8 w - -,d6c5
1r6/8/1nR5/pB6/P2k4/1P6/1K6/8 b - -,d4d5
8/7r/5n2/5pk1/8/5K2/8/R7 w - -,a1a8
5rk1/3nqpb1/2p3pp/3bp3/8/2BP2P1/3NPPBP/QR4K1 b - -,d5g2
8/7p/2k3P1/3pP3/1p6/2P2K2/1b1B3P/8 b - -,h7g6
8/1p6/4k3/1p1p1pb1/1R1PnN2/P3BKPr/1P6/8 b - -,g5f4
5k2/1n3p2/4n3/3pPp2/pQ6/7P/PP4B1/2q2NK1 b - -,c1c5
r1b1k1r1/pp1nbpp1/1qn1p2p/3pP3/3P1P2/3B1N2/PP2N1PP/R1BQ1RK1 w q -,d3h7
5rk1/4Rpp1/p2Q3p/8/2b1P2P/6P1/5PBK/1q6 b - -,b1a2
r3k2r/1p2bppp/p1q1pn2/3p3b/3P1B2/1QPB4/PP3PPP/R3RNK1 b kq -,h5g6
r4rk1/pbq1bppp/1pn2n2/2p1p3/2P1N3/1P1BPN2/PB2QPPP/R2R2K1 b - -,a8d8
2rr2k1/Q2n1ppp/2p1p3/1pb1P2q/4P3/PP3N2/1B3PPP/2R2RK1 w - -,a7a5
8/2p4r/1p1p1k2/2nPpp2/2P5/2N2P2/PK4Q1/8 w - -,g2g3
8/5k2/3p2p1/2b2PKp/1pR4P/rN1R2P1/8/4r3 b - -,e1e5
1r6/3b3p/pb4p1/1p1Pkp2/1PP1p3/6P1/P1R4P/4RB1K b - -,b5c4
2rqkb1r/1b1npppp/p2p1n2/1pp5/4P3/2P2N2/PPBP1PPP/RNBQR1K1 w k -,d2d3
5rk1/3nqppp/p1rpb3/1p2p3/4P3/Q3BN2/PPPR1PPP/2KR4 b - -,f8c8
r2q2r1/1p1k4/p1nppbQp/2p1p3/P3P2P/2NPB3/1PP2PP1/R3K2R w KQ -,g6f7
4q1k1/5p2/p2P2p1/8/p7/2NnN1QP/1P2p1P1/6K1 w - -,c3e2
2q3k1/2r2rpp/4p3/1B2Pp2/P1Rp1P2/4P1P1/3Q3P/6K1 w - -,d2d4
r2qkb1r/pp2pppp/2n2n2/3p1b2/3P4/5N2/PPPNBPPP/R1BQ1RK1 b kq -,e7e6
rq3rk1/p1n1ppbp/1pPp1np1/8/7Q/2N3P1/PP2PPBP/R1B2RK1 b - -,b6b5
4r3/1p1q1kpp/p1p2p2/3p4/3P4/2P1R1QP/PP3PP1/6K1 w - -,g3f3
r1bqk2r/pp1n1pbp/2pp1np1/4p3/2P5/2NP2PP/PP1BPPB1/R1Q1K1NR b KQkq -,d8e7
8/p2rRkp1/1p1P2p1/1P3p2/1BP1n3/3K2P1/7P/8 b - -,d7e7
2R5/6k1/B6p/5rp1/8/4b1P1/PP5P/K7 b - -,g5g4
1k1R3r/ppq2pp1/4pn1p/4b3/4N2P/2P3PN/PPQ2P2/2K4R b - -,h8d8
3r3r/p4kp1/1p2pb2/2p2p2/3P4/PP1R2Pp/1BP2P1P/3R2K1 w - -,b2a1
rB5r/1p1k1ppp/5n2/2bP2P1/2p5/2N5/PP3PP1/R3K2R b KQ -,f6d5
8/p2r1p2/1p1Pp3/6p1/4k1P1/1P1RNn2/P4K2/8 w - -,d3d1
r3kb1r/1bppq1pp/1p2p3/4Q3/1PB5/2P5/P4PPP/R1B2RK1 b kq -,e7d6
2rqr1k1/pp1b1pb1/3pp1pB/4n2n/3NP1p1/1BN2P2/PPPQ4/1K1R3R w - -,d1g1
r5k1/ppqbppbp/3p1np1/7P/4P3/1Nr1BP2/PPPQ2P1/1K1R3R w - -,b2c3
2r2k2/p4p2/5p2/4n2N/R6P/1P4P1/3r1P2/4RK2 w - -,h5f6
r2q1rk1/pp3pb1/3pb3/4n2p/6pP/2N1P1B1/PP2BPP1/2RQK2R w K -,b2b3
1rbq1rk1/p1n3bp/3ppp2/2pP1p2/1p5Q/8/PPPBBNPP/R4RK1 b - -,c7d5
rn1q1rk1/pp2ppbp/3p1np1/2pP4/4PB2/2N2b1P/PPP1BPP1/R2QK2R w KQ -,e2f3
1rbr2k1/p1p2ppp/1pp5/4P3/1P1P4/1N6/P4PPP/R4RK1 b - -,c8e6
r1nrn1k1/1pq2pb1/6pp/2PRp3/N6P/6P1/PPQB1PB1/3R2K1 b - -,d8d5
8/4Np2/kn3r1p/8/7R/7P/5P2/5K2 b - -,b6d7
r4r2/1pq2ppk/p1npbn1p/P3p3/4P3/1NPBBQ1P/2P2PP1/R2R2K1 b - -,f6d7
B6r/p1Q5/5pk1/2P2pp1/8/4P1P1/P4P1q/3R1K2 b - -,h8a8
r2qnrk1/1p2ppbp/1n4p1/pP1p4/3P2bN/3BP3/PB1N1PPP/RQ3RK1 w - -,h4f3
r1bq1b1r/pp2k1pp/1n1ppn2/1Bp3N1/4PP2/8/PPP3PP/RNBQK2R b KQ -,h7h6
2r5/4pk2/3p2p1/p2P1pPp/Pp5P/1Pr2PK1/2PRR3/8 w - -,g3f4
3r1rk1/pp2q1bp/2pp3n/5b2/2P5/BPN2pPP/P2Q1P2/2RR1BK1 b - -,f8f6
8/4kp1p/pb2p3/1p3p2/4bN2/1PP3P1/P3RP1P/3r1BK1 w - -,e2b2
8/p5k1/1p4p1/3Pqpb1/8/2N2RPP/3r4/Q6K b - -,d2c2
8/2k1r3/1pqp2p1/pR2p2p/2P1P3/1P5P/P4QP1/7K b - -,g6g5
1r3rk1/pbq1bppp/1pp1p3/4P3/2P1BB2/5QP1/PP3P1P/3R1RK1 b - -,c6c5
3B4/p1p3k1/1p1p2p1/3br2n/8/P1P1P3/2K5/7Q w - -,h1h3
r1b2rk1/ppq1ppbp/2N3p1/8/8/2P1B1P1/P3PPBP/R2Q1RK1 b - -,b7c6
r3r1k1/1b3pp1/pp1q1n1p/2pP4/P1B5/2NQ2P1/1P3PP1/3RR1K1 w - -,e1e8
r1bqkb1r/1p1n1ppp/p2ppn2/8/3NPP2/2NBB3/PPP3PP/R2QK2R b KQkq f3,b7b5
rnbqk1nr/2p1ppbp/3p2p1/p7/Pp1PP3/4B3/NPPQ1PPP/R3KBNR w KQkq -,f2f3
8/1br1k3/3R1p2/P1p1p2p/2P1P2P/1P2K3/4B3/8 w - -,d6d2
8/8/5r2/pp1k1P2/3p4/PP1K4/8/5R2 w - -,b3b4
r1b2rk1/2qp1ppp/2p1p3/p1P1P3/4NP2/8/PP1Q2PP/R3KR2 w Q -,f1f3
r1r2nk1/3qbpp1/bp2p2p/p1ppP3/3P4/P1P2NN1/1P3PPP/1BRQR1K1 b - -,b6b5
r1bqr1k1/pppnbppp/4pn2/3p4/2PP4/P1NBPN2/1P3PPP/R1BQ1RK1 w - -,f1e1
1r1qk2r/4bp2/3pbnp1/p2Bp3/1p2P2p/3QN2P/PPP1NPP1/R4RK1 b k -,f6d5
1rbq1rk1/p3ppbp/2np1np1/1p6/4P3/2N1B1PP/PPP1NPB1/R2Q1RK1 b - -,a7a6
r3r1k1/ppq2ppp/2p1p3/3n1b2/2BP1b2/2P1B2P/PP1NQPP1/R4R1K b - -,a7a5
r2r1nk1/1p2pp2/n1p3pp/1p1P4/4PB2/PBP2P2/3R1PKP/3R4 b - -,a6c5
3r4/pp2rpk1/2p3p1/3b1p1p/2NPn2P/P3P3/1P2BPP1/2RR2K1 w - -,c4d2
rn1qkbnr/pp1Bpppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq -,b8d7:d8d7
r1bq1rk1/p4pbp/3p2p1/2p1n3/8/1NP5/PP2BPPP/R1BQ1RK1 w - -,c1f4
7k/p3r1pp/8/2p1rP2/5QP1/2N5/Pq2pK1P/4R3 w - -,f5f6
3r2k1/p1p2pp1/3B1qnp/3Q4/8/1B2P3/P4PPP/3R2K1 b - -,d8d6
r2N2k1/ppqbQ1p1/4p3/3pP3/3p4/P1P5/2P2PPP/1R3RK1 b - -,a8d8
r1b2rk1/pp2nppp/1qn5/4p3/8/1NP1N1P1/PP3PBP/R2QK2R w KQ -,e3c4
8/p7/4pppk/1p5p/3q4/5PPP/P6K/2Q5 b - -,g6g5
rn1qkb1r/p2p1pp1/1p2p2p/2pbP3/2PP4/3B4/PP2NPPP/R1BQ1RK1 b kq c3,d5b7
8/5p1p/4p1p1/8/pkB5/2r1N1PP/P4P2/5K2 b - -,c3c4
4rb1k/3b4/3p4/1p3p1p/4pP2/P1P1B1PP/1P1R4/3R2K1 w - -,g1f2
r4rk1/pp1q1pbp/2pp1np1/4nb2/2P2N2/1PN3P1/PB1QPPBP/R4RK1 w - -,a1d1
3r1rk1/5p1p/p1n2qp1/3B4/1P2P3/P1b3P1/4QBKP/3R3R b - -,c6e7
3B4/1p4pk/2pPb3/7p/P7/8/1K6/8 w - -,b2c3
8/2qnr1p1/1p3pkp/p2Qp3/P1P2P2/1P4P1/4RBKP/8 b - c3,g6h7
r1bq1rk1/ppp3bp/2np1np1/4pp2/2P5/1PNP1NP1/PB2PPBP/R2QK2R w KQ -,c3d5
8/R7/1p4kp/1P4p1/4p3/P2rP3/6PP/6K1 w - -,a7a6
r1b1k2r/2ppqpbp/1np3p1/p3P3/2P1NP2/4B3/PP2Q1PP/R3KB1R b KQkq -,c8a6
2r4k/1p5p/p5p1/Pq2P3/5R2/3p4/1P4PP/1Q4K1 b - -,b5c5
8/8/4Bk2/2K2P2/b1P5/3r4/2R5/8 w - -,c2c1
r2q1rn1/ppp3bk/3p2pp/3Pp3/2P5/2Nb1P2/PPQB2PP/R4RK1 w - -,c2d3
6k1/3r1pbp/2n1p1p1/n7/1R1P4/4P1P1/4NPBP/R5K1 b - -,c6b4
r1b2k1r/1p1p1p1p/p1n2p2/4p3/2P5/2N5/PP2PPPP/R3KB1R w KQ -,c3d5
4r2k/2pq2p1/1pp2n1p/6R1/P4p1P/2N2P2/1P3P1K/6Q1 w - -,g5g2
8/4R3/1k4p1/5pr1/3K4/4p3/8/8 w - -,e7e3
r1b1kb1r/1p3p1p/p1nppp2/8/4PP2/1NN5/PPPQB1qP/2KR3R w kq -,d2e3
rnbq1rk1/pp2bppp/2p5/3N4/3N1B2/8/PPPQ1PPP/2KR1B1R b - -,d8d5
2r3k1/3npp1p/pn1p2p1/1p1P4/4P3/4B1PP/P1q2P2/1Q1R1BK1 w - -,f1d3
r1b1kb1r/p6p/2p1pp2/3q2p1/3P4/2Q2NB1/PP3PPP/R4RK1 b kq -,f8e7
4r1k1/3q1pb1/pB4p1/Pp6/2p1P3/3r3P/1P3QP1/R4RK1 b - -,d3d2
2r3k1/Q1Pq1p2/4p1pb/4P3/p7/5NP1/5PK1/2R5 w - -,c1c4
rnbqk2r/ppp2ppp/4pn2/6B1/1bpPP3/5N2/PP1N1PPP/R2QKB1R b KQkq e3,b4d2
8/1pk3p1/3b4/2pPpP1p/2P3nP/1P1NK1P1/8/B7 w - -,e3f3
2r2k2/pp3p2/2n3p1/7p/5P2/P1P1N3/1P4PP/2KR4 w - -,d1d7
r1q2rk1/2n1ppbp/1n1p2p1/2pP4/4P3/PPN2NP1/R2B1PKP/3Q3R w - -,d1c2
5rk1/pbpn1pp1/1p3q1p/8/2P5/P2B1N2/2PQ1PPP/4R1K1 w - -,d3e4
3rrbk1/ppp2p2/6p1/7p/8/1P1RBKP1/P1P1PP2/3R4 b - -,d8d3
8/2N5/n5k1/1pp2p1p/3P3P/5KP1/8/8 w - -,c7a6
r2r2k1/5pp1/4pn1p/pq6/2R1P3/6P1/1BQ2PKP/R7 w - -,a1a4
