8/5R1p/5Rpk/2b5/8/1P1n2PP/3r1PK1/8 b - -,d2b2
r1B2rk1/2b1qp2/1p3npp/pPp1p3/P1NpP2N/3P2P1/2P2P1P/R2QR1K1 b - -,a8c8
r3k2r/1bq1bp2/p2ppp1p/1pn4Q/3NPP2/P1N5/1PP1B1PP/2KR3R w kq -,e2g4
r4rk1/p2qp1bp/1p2p1pB/2p5/3pR2Q/3P4/PPP2PPP/R5K1 w - -,a1e1
5k2/4p2p/p1P3p1/6b1/PPN1b3/1P2p3/4K3/2R1B2r b - -,h1h2
4r1k1/pb1p3p/1p2n1p1/5rP1/3p2RP/1P6/PB2PP2/3RKB2 w - -,b2d4
3r1r1k/1p2q1pp/2pp4/1pn1p3/4P1N1/P1P3PP/1P2RP2/2KQR3 b - -,e7f7
8/5q1k/rn3Qbp/1N1p2p1/P7/6P1/5P1P/3R2K1 w - -,f6d6
5bk1/1p5p/3p2r1/3Pp3/1P3pbq/2Q4P/P4PB1/2B1RK2 b - -,f4f3
rn1qk2r/1p2bppp/p4N2/4pPB1/3p4/8/PPP1BPPP/R2QK2R b KQkq -,e7f6
r7/pR1kb1pp/R4p2/3p4/8/4BP2/PP3P1r/1K6 b - -,d7d8
4k3/3P4/6p1/1rn1Np1p/3R1P1P/pp4P1/8/1K6 b - -,c5d7
r2q1rk1/2p3bp/bn1p2p1/3Ppp1n/p3P3/P1N1BP2/BP1Q2PP/1KNR3R w - -,b1a1
r6r/pp2kp2/2p1npp1/4p3/1PP5/6P1/P1P1NP1P/3R1RK1 w - -,d1d3
r1bqk1nr/pppp3p/2n3p1/2b4Q/4P3/2P2N2/P4PPP/RNB1K2R w KQ -,h5c5
8/8/5kn1/5p2/8/6K1/8/R7 b - -,f6g5
r2r2k1/1b3p2/4p1pp/p3q3/1p2pR1P/4R1P1/PPP1N3/2K1QB2 b - -,d8d6
5rk1/1p1qb2p/p2p2p1/3Pp1P1/4Nr2/5P2/PPP3Q1/1K1R2R1 b - -,d7f5
2r2r1k/p2bp1qp/2p2b2/3p4/1P1P1Pp1/P3Q1P1/1BR4P/2R2BK1 b - -,c8b8
rnbq1rk1/pp2ppbp/1np3p1/4N3/2PP4/2N5/PP2BPPP/R1BQ1RK1 w - -,c1e3
2kr1r2/pp2bppp/2n5/3p2PP/3P4/4B3/PP3P2/1K1R1BR1 w - -,f1d3
3r3r/4kn2/pq1pp2p/1p3p1P/1P1R1Q2/5pPB/5P2/3R2K1 w - -,d1e1
r1bqr1k1/3nbpp1/2p4p/p1PpP3/6nB/2NBPN2/P4PPP/R2Q1RK1 w - -,h4g3
rn3rk1/p4ppp/b1p1p3/3n2N1/P2q4/1QN3P1/1P2PPBP/R4RK1 b - -,h7h6
rn1qk2r/1b2bpp1/p2P1n1p/2p2NB1/PpB5/8/1P3PPP/R2QK1NR b KQkq -,b7g2
r1b2rk1/1pq2ppp/2pb1n2/p1n5/2BN4/P1N1P2P/1P2QPP1/R1BR2K1 w - a6,c4a2
2r1k2r/pbq2pp1/1p1bp2p/2n5/8/3B1N2/PPPBQPPP/1K1R3R w k -,d3b5
r4nk1/1pp2pp1/p1p1r2p/4p1q1/4P1P1/2NP2P1/PPP2P2/R2Q1RK1 w - -,f2f4
r1bq1rk1/ppp1ppbp/n4np1/3p4/3P4/5NP1/PPPNPPBP/R1BQ1RK1 w - -,c2c4
r2q1rk1/pbp1b1pp/1p2p3/3pPp2/2PB4/1P1BP3/P2Q1PPP/R4RK1 w - -,b3b4
1nrq3k/Q4ppp/1P3n2/1B1pp3/p2N1b2/5P2/P5PP/1R4BK w - -,b6b7
r4rk1/pb1qb1pp/1p6/2p1pP1N/3pN1P1/1P1P1R2/1PPQ3P/R5K1 w - -,a1f1
2b2nk1/2q3b1/4p1pp/2BpP1Q1/1P6/2P2N1R/rr3PPK/2RB4 w - -,g5g3
r2q1rk1/1b2bppp/1pp2n2/2np4/1PP2P2/p1NPP3/P3Q1BP/R1B1NRK1 b - -,c5a4
5r1k/8/7p/p3p2q/1pP1Q3/4Nn2/P3KP2/3R4 b - -,f3d4
r1bq1rk1/4n1bp/3p2p1/2pPp3/2B1p3/7P/PP1BQPPN/2KR3R b - -,e7f5
6r1/3Qbpkp/1P2pp2/8/5P2/2PR1qP1/5B1P/6K1 b - -,f3e4
r7/p1pk4/2pbpP2/6Br/2B1N1n1/2P3Pp/PP5P/3R2K1 b - -,g4e5
4rbk1/5p1p/4r1p1/PQp5/3p4/3P2P1/qPR1PR1P/2B3K1 b - -,a2b1
8/8/1R6/4kp1r/8/3B1K2/8/8 w - -,b6b5
3r4/3bkp2/1p1N2p1/2p1P3/5P1p/4K1P1/7P/1R6 b - -,h4g3
8/4n3/6pk/bN1p3p/5P2/4PKP1/2B5/8 b - -,h6g7
r4rk1/2qn1ppp/1ppb1n2/3p4/3PpP2/2N1P3/PP1NQ1PP/R1B2RK1 w - -,d2b3
r2q1rk1/pb2bpp1/1p2p2p/n3P3/3P4/P2QBN2/5PPP/2RB1RK1 b - -,d8d5
1r3rk1/q2nppbp/b2p2p1/2pPn3/P7/1PN2NPP/2QBPPB1/1R3RK1 w - -,f3e5
2r4k/6p1/5p1B/2q1nN2/pb2P3/1b2Q1PP/6B1/5R1K b - -,c5e3
r1bqk2r/2p1npb1/1p1p1np1/p2Pp2p/2P1P3/2N1BP2/PPBQN1PP/R3K2R b KQkq -,c8d7
r1b2r1k/p1p3pp/1pnp1nq1/5p2/2PBpP2/2PP2P1/P1Q1PNBP/1R3RK1 b - -,c6d4
Q3r1k1/1bR3pp/1p2pp2/1B1pN3/3P1P2/4P3/5P1P/4b1K1 b - -,e8a8
3rr1k1/p1q2pp1/1pP1nn1p/4N3/3P4/1Q2BB2/P4PPP/3R2K1 w - -,h2h3
8/8/p2b4/4k3/P1P2pp1/1N6/4K1P1/8 w - -,e2d3
rnbqk2r/pp1pppbp/5np1/2p1P3/2B4P/P7/1PPP1PP1/RNBQK1NR b KQkq -,f6g8
6k1/4p3/8/5B2/pbb3p1/8/1B3PK1/8 b - -,a4a3
8/p3rpk1/2R3pp/3p4/4BP2/1P4P1/P2K2P1/8 b - -,d5e4
r2qkb1r/1p1n1ppp/2p1p1b1/p2nN3/P2P2P1/1B5P/1PP1QP2/RNB1K2R w KQkq -,e5g6
r2qr1n1/2p2kb1/p6p/2BPpP2/2p3p1/2N2P2/PP1Q4/R3K2R w KQ -,f3g4
2b1rk2/p3np2/2p4p/1p2bPp1/4P1P1/1PPR3P/P4RB1/7K w - -,f2d2
r2qr1k1/p4ppb/2ppn2p/2p1pNb1/4P1P1/1PPP3P/PB2QPN1/R4RK1 w - -,h3h4
8/7p/6pP/3k2P1/3n2K1/P7/8/2B5 b - -,d5c6
r3k2r/pbpnq1pp/1p1p4/4pp2/2PPn1P1/2PBPN1P/P1Q2P1B/R3K1R1 b Qkq -,e5d4
r1bq2k1/1p3rpp/8/pBBPp3/P3Nn1b/1Q6/1P3PPP/4RRK1 w - -,b5c4
1r6/4bp1p/1B2p1k1/PB2P2p/2PK1P1P/1R4P1/3r4/8 w - -,b3d3
8/4B1p1/1p2Bpk1/1P2p2p/3rP2P/6P1/5P2/5K2 w - -,f2f3
2b2rk1/1p2qrn1/3p1p2/2pP2pp/PpP1P1P1/1P1BQN1P/6R1/5RK1 w - -,e3f2
rnbqkbnr/ppppp2p/6p1/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq d3,g8f6:g8h6
5q2/2k5/1p1r2pp/pBnpNp2/5P2/Q6P/P1P2PP1/6K1 w - -,b5e2
r5k1/1p3rP1/1q3b1P/1pn5/4P3/1P2Q1B1/p1K1B3/3R3R w - -,e4e5
r2q1rk1/p1p2ppp/1p2pn2/n2p4/2PP4/PP3PP1/1BQ2PBP/R3K2R b KQ -,d5c4
8/6pk/8/p1Rp3P/6r1/8/P2K4/8 b - -,g4g2
8/1r6/2K5/4kppp/1R6/6P1/8/8 w - -,b4b7
2kr3r/1ppn1p2/p1p3p1/4p2p/4P3/3PN1PP/PPP2PK1/R4R2 b - -,d7c5
r2r2k1/pb3p1p/6p1/1p2P3/2p5/5nP1/PPB2R1P/R1B3K1 w - -,g1f1
6kr/p4r1q/3pn3/2pP1p1p/1pP2PpB/1P1B2N1/P1K5/4Q3 w - -,d5e6
5rk1/pR3p1P/4p1p1/2p5/2P5/1P3QP1/5PK1/2q5 b - -,g8g7
8/8/1p2kp1N/p3n2P/P4KP1/1P6/8/8 w - -,h6f5
4k2r/1qr1b1p1/p3p1Qp/1p5P/2p3P1/P1NnP3/1P3P2/1K1RB2R b k -,e8d7
r4rk1/1b1q2pp/p2bp3/5p1Q/1p1PpP2/2N1P3/PP1B2PP/2R2RK1 w - -,c3e2
r1b4r/1p1nbkp1/p2pNn1p/q7/4PP1B/2N5/P1PQ2PP/4RR1K w - -,e4e5
2k2r1r/ppn1bpp1/2p1pn2/4N2p/3P4/P2R1PB1/1PP1N1PP/2K4R b - -,h5h4
8/p7/1p2kbp1/1Pp2p2/2Pp1B2/3P2PK/P4P2/8 b - -,f6e5
6k1/2p1q1p1/5p1p/2PPn3/rP2Q3/4P2P/1rNR2P1/5RK1 w - -,d5d6
8/2P2pk1/6p1/p7/Pp1r1n2/1P3P1P/2B2P2/5K2 b - -,d4d5
2rnk2r/1pqnp1b1/p2pp2p/6p1/4P3/PBN2P1Q/1PPB2PP/R3K2R b KQk -,d7c5
r2qr1k1/pp3ppp/1npb1p2/8/3PN3/3NP3/PP3PPP/R2Q1RK1 w - -,d3c5
r1b1r1k1/pq1n2pp/3bp3/1p1p1pB1/1P1P4/4Q1P1/P3PPBP/1R2NRK1 w - -,g5f4
2kr3r/ppp1bppp/2n2n2/4p3/4P1b1/2Pq1NP1/PP1N1PBP/R1BQR1K1 w - -,g2f1
8/4k1p1/1R4P1/3P4/4PP2/4K3/8/3br3 w - -,e3d4
1r3rk1/p3pp1p/3p2p1/1B6/3bP2P/2P5/PP1K2P1/3R3R w - -,a2a4
8/1p3k1p/3r1npB/q1p2p2/2P1P3/1Q3P1B/PP3P1P/2K4R b - -,d6b6
r2q2k1/1p1b1pb1/3p1n2/p2Pr2p/2Pp1NpP/3B2P1/PPQB1P2/2R2RK1 w - a6,b2b3
r1b2rk1/pp1nq1pp/2p5/3p4/3PPp2/2P5/P1QNBPPP/R4RK1 b - -,d7f6
6k1/2p4p/p6b/2Np1p2/3P2n1/1P6/2r1rPPP/1R1RBK2 w - -,c5d3
r1b1k2r/bpq2ppp/p1n1p3/3pP3/1P6/PN1n1N2/1BPQ1PPP/R4RK1 w kq -,c2d3
4r1k1/pq1n1pp1/7p/3pP3/Q7/P5P1/5PKP/2B1R3 w - -,a4d4
r4rk1/ppqnbppp/4pn2/2ppN3/3P1P2/2PQP3/PP1N2PP/R1B2RK1 w - -,g1h1
6k1/5p2/6p1/p4P1p/6r1/5Q2/5RKP/4q3 w - -,g2h3
1r2r2k/3Rb1pp/3p4/4p3/1pP5/4B2P/1P3PP1/R5K1 b - -,b4b3
3B3n/1b2K3/6k1/7p/3N1p2/5P2/6PP/8 b - -,h5h4
2rqr1k1/1p3ppp/p2b1n2/3pn3/3N4/1PN1P2P/PB2QPP1/2R2RK1 b - -,d6b8
8/1R5p/8/8/r3pp2/2k4P/4K1P1/8 b - -,a4a2
8/p4p2/B1p2k2/7p/2pn1P2/8/PP1r2KR/8 w - -,g2h3
r1b2rk1/1pq1bpp1/p1n2n1p/4p3/3pP3/3P1NNP/PPB1QPP1/R1B1R1K1 w - -,c1d2
1bb5/p4k2/1p2pprp/2p2r1p/P3NP1P/1PBPR1P1/2P1R2K/8 b - -,f5d5
r7/Pk2rp1p/2p3pP/1p1p4/8/R4R2/1PPK1PP1/8 w - -,f3f6
8/1pr2k2/4p2p/3pP1pP/Q4pP1/P1q2P2/2P1R3/2K5 w - -,a4a8
2kr1b1r/pp2p1pp/1n3p2/1B1p4/3PbP2/2P5/PP2NKPP/R1B4R w - -,e2g3
r1b1k2r/pp1nqpp1/2p4p/3p3n/3P4/2NBP3/PPQ2PPP/R3K1NR w KQkq -,g1e2:e1c1
8/5pk1/3b1qp1/p6p/B1rP1p1P/5QP1/1P1R1PK1/8 w - -,a4d1
r1b1k2r/1ppn1pp1/p2b1n1p/4p3/2B1P2B/P1N2N2/1PP2PPP/2KR3R b - -,e8f8
rnb1k2r/pp2ppbp/6p1/q1PP4/5B2/2P1P3/3Q1PPP/2R1KBNR w Kkq -,g1f3:e3e4
2rr1k2/p2b1ppQ/1qn1pb1p/1p6/1P2N2P/P1P3P1/1B3PB1/2R2RK1 b - -,f6e5
rnbqkb1r/pp3ppp/2p2n2/3pp3/2P5/2NPP3/PP3PPP/R1BQKBNR w KQkq d6,c4d5
r2q1rk1/pp2bpp1/2bppn1p/6B1/4P3/2N2N2/PPPQ1PPP/2KRR3 w - -,g5f4
1nrr2k1/1q3p1p/1pbnp1p1/p2pN3/P2P4/1QNBP2P/1P3PP1/2RR2K1 b - -,c6e8
r1bqk2r/pppnbppp/4pn2/8/2QP4/5NP1/PP2PPBP/RNB1K2R b KQkq -,e8g8
r1br1bk1/ppq3pp/2p1np2/3p1n2/3P3P/1PNNPQP1/PB3PB1/R4RK1 b - -,g7g6
8/5pR1/3bp3/5r2/8/4P3/4KP1k/8 b - -,d6e7
rnbq1rk1/1pp2ppp/4pn2/p7/1bpP4/5NP1/PP1BPPBP/RN1Q1RK1 w - -,d1c2:b1c3:d2g5
r4bk1/1p2rp1p/3pn1p1/6P1/pPP2P2/3RBBK1/P6P/3R4 b - -,e6g7
8/3bkpb1/2pp3p/3P1Pp1/1p2B1P1/2P2N1P/1P1K4/8 b - -,c6d5
8/1pp4k/p1n3pp/P1N2p2/2P1p3/3rP2P/1b3PPB/R5K1 w - -,a1b1
r2r1nk1/1bq3bp/1p1N1pp1/pPp1P3/P2pPP2/5B2/1BQ3PP/2R2RK1 b - -,h7h6
r1bq1rk1/ppp1ppbp/1nn3p1/8/2QP4/2N2NP1/PP2PPBP/R1B2RK1 w - -,c4d3
5r1k/3P2bp/PR4p1/2R1p3/3nqr2/KN4Q1/1P5P/8 b - -,d4c2
5rk1/pbqp1rpp/1p2p3/8/2P1pn2/1P3NQP/PBB2PP1/4R2K w - -,f3g5
8/k7/2p5/3p4/PR6/1N1KP3/7r/8 w - -,b3c5
5rk1/4p2p/1n1p4/2pP2p1/4P1n1/1PR3P1/r6P/4RNBK b - -,b6d7
2r5/5P1k/2b1pQ2/2prP3/3p3P/1P1P4/1q3P2/R3R1K1 w - -,h4h5
r1bq1rk1/1p4bp/p2p1np1/2pPpp1n/2P1P3/2N1BPP1/PP1QN1BP/2R2RK1 b - -,c8d7
q4bk1/pr1n1p1p/5np1/4p3/4P3/5NNP/Q4PP1/R3RBK1 w - -,f1c4
2r1r1k1/pp3pp1/1qn3bp/3p4/5NP1/Pn2P2P/1B3PB1/2RQ1RK1 w - -,f4d5
1r2n1k1/4ppbp/r2P2p1/2pP4/P1N2B2/1Q4PP/4RPK1/4R3 b - -,b8b3
7R/1pk2pb1/2pn3N/P1n4p/8/2N3PB/1P2PP2/6K1 b - -,g7h8
r2qrnk1/p2bbppp/2p1pn2/1pPpN3/3P1B2/2NBP2P/PP3PP1/R2Q1RK1 w - -,g2g4
5bk1/1q4p1/1n2Qp1p/2p1pP2/2P1N2P/5PP1/8/6K1 b - -,g8h7
r6k/1p4pp/2pR4/p7/P1Q1P3/2N3qN/1PP3P1/7K b - -,g3d6
8/p3b2p/1k4p1/2n2r2/5P2/4PBB1/P3KP1P/3R4 w - -,d1b1
rn1qkb1r/1b1n1ppp/p2pp3/1p6/P2NP1P1/2N4P/1PP2PB1/R1BQ1RK1 b kq a3,b5a4
2rr2k1/4qpbp/2n1p1p1/pN2n3/Ppp1P3/2P1B1P1/1PQ2PBP/R2R2K1 w - -,g2f1
2r4r/6Q1/5P1p/1p2pp1k/1b2b2P/4B3/PPPR2P1/2K5 w - -,g7f7
rn1q1rk1/p3ppbp/2p3p1/3nP3/Pp1Pb3/2P2NP1/4QPBP/R1B2RK1 w - -,e2e4
r1bqk2r/ppp2ppp/2n5/3n4/3P4/2N2N2/PP1Q1PPP/R3KB1R b KQkq -,e8g8
4r1k1/pR2q1b1/5Np1/3p4/2bp1N2/5PP1/3R1K1P/3Qr3 b - -,e7f6
8/3k1pn1/1p6/p2PK2p/P3p2P/B2bN1P1/1P6/8 b - -,g7e8
1k6/p7/4P1p1/2R2pPp/2PK1P1r/8/8/8 b - -,h4f4
6k1/1p3ppp/3r1n2/3p4/p1qQ1N2/P1P2P2/1P4PP/1K1R4 b - -,b7b5
7k/8/7p/p4P2/1P4P1/P7/6B1/2b4K b - b3,a5b4
5rk1/2p3bp/1p1pp1p1/1P1Pq3/2P1B3/R3B1Pb/2Q2P1P/6K1 b - -,e6d5
r1b1k1nr/ppp2pBp/2nb4/1B1p4/5p1q/1P2P3/P1PP2PP/RN1Q1KNR b kq -,f4e3
r1b1rbk1/2q3pp/1pp2p2/p1n1p3/2P1P3/1P2BNPP/P1Q2PB1/R2R2K1 w - -,f3e1
5bk1/p3pp1p/1p2n1p1/1N2P3/5P2/P3Q1PP/1PqR2BK/2r5 b - -,c2a4
8/p3n3/2p3k1/2P1p1pN/P3P1Pp/5Q1P/5P1K/2q5 b - g3,h4g3
6k1/5pp1/p7/1p1pn1p1/6P1/2N4P/PP6/5K2 b - -,d5d4
5r2/8/1p1kp2p/p7/P1P1B1PP/1P2RP2/7K/6r1 b - -,g1d1
8/2Bn4/1pp1k1p1/p1p5/P1P1PPK1/1P6/8/8 w - -,e4e5
r7/1pp1rpkp/3p2p1/1NnP4/p1P1Pb2/P4P2/1PB2P1P/1R1R2K1 w - -,b5c3
8/3R4/1p6/4p1p1/P2pk3/4n1K1/7P/8 w - -,g3f2
4b3/p7/6p1/1p1k1p1p/1P3P1P/P1NK2P1/8/8 b - -,d5d6
r2q1rk1/1b1pbppp/ppn1pn2/6B1/2P5/P1N1PN2/1PQ1BPPP/R4RK1 w - -,f1d1
r1b1r1k1/p2n1ppp/2q2n2/Ppb1pNB1/2p1P3/2N3P1/1P1Q1PBP/R4R1K w - b6,a5b6
8/p4k2/2p2p2/2Pp1Bpp/2b4P/4K1P1/P1P2P2/8 w - -,a2a3
r2q1rk1/3n1ppp/2p1pn2/ppbp4/4P3/P2P2PP/1PP1QPB1/RNB2RK1 b - -,d8b6
6k1/B4pp1/7p/p7/7n/2R2PrP/8/7K w - -,a7f2
2bqnrk1/2p4p/1p1p2p1/r2PbnB1/2P1N3/2N5/P2QB1PP/R3R1K1 b - -,d8d7
r2qk1nr/ppp2pb1/2npb1p1/4p2p/2P1P2P/2NP1PP1/PP2N1B1/R1BQK2R b KQkq h3,d8d7
r2qr1k1/ppp1bppp/2n1b3/3n4/3P4/2NBBN1P/PP3PP1/R2QR1K1 b - -,g7g6
r1bqk1nr/1ppp1p2/p3n1p1/4P2p/B3N3/5Q2/PPP2PPP/R1B2RK1 b kq -,a8b8
r4rk1/2q2pp1/ppbppn1p/8/P3PP2/1P1BQ3/2PN2PP/R4R1K b - -,f6d7
8/7p/3p2p1/3P3k/Pp2PQ2/5P1P/q5PK/8 b - -,a2f2
1n1qkr2/r2p1p2/p3p1b1/1p5p/5Q1P/PN3B2/1PPR1PP1/2K1R3 b - -,a7c7
r1bq1rk1/pp1nppbp/2p2np1/3p2B1/3P4/2PBPN2/PP3PPP/RN1Q1RK1 w - -,b1d2
2r2rk1/1bq1bppp/p3p3/1p2P1Pn/3N4/4BP2/PPPQ2BP/2KR3R b - -,f8d8
rnb1qrk1/pp1n2b1/2p4p/6B1/2P2p2/2N2N1P/PPQ1BPP1/3RR1K1 b - -,h6g5
r1bq1rk1/1p1pnpbp/2n3p1/p1p1p3/2P5/P1N1P1P1/1P1PNPBP/1RBQ1RK1 b - -,d7d6
r1bq1rk1/pp1n1pbp/3p1np1/2pP4/Q3PB2/2N2N2/PP2BPPP/R3K2R b KQ -,f8e8
8/5k2/3R4/4pp2/P3p3/1PN3p1/5r2/2K5 w - -,a4a5
8/5pkp/4p1n1/8/7R/2N2P1K/3r2P1/8 w - -,h4a4
rn1qkb1r/pp3ppp/3pbn2/4p3/4P3/1NN1B3/PPP2PPP/R2QKB1R b KQkq -,f8e7
r1b2rk1/pp3pbp/2np1np1/4p1N1/8/1P4P1/PBP1PPBP/RN3RK1 b - -,d6d5
r1b4r/pp1nkppp/4p3/3pP3/3R1P2/2N3P1/PPP4P/2K2B1R b - -,d7b8
r2q1rk1/1p3pp1/p3pn1p/8/P2P4/3Q2P1/4PPNP/1R1R2K1 b - -,b7b6
8/8/7p/p2kp1p1/6P1/1Pp5/P3K2P/8 w - -,e2d3
r2qr1k1/pb3pbp/1pnp1pp1/8/2PBP3/3B2N1/PP3PPP/R2Q1RK1 w - -,d4c3
r1bqk2r/pp1n2pp/2pbp3/3p4/2PPp3/5NP1/PPQ1PPBP/R1B2RK1 w kq -,f3g5
6k1/5pp1/p6p/3qp3/6Pn/2P5/5PP1/R4QK1 b - -,a6a5
r2qkb1r/pb3p2/np2p2p/3pP3/2pP1B2/P1P5/2P1B1PP/R2QNRK1 b kq -,d8d7
r1bq1rk1/ppp2pbp/2np2p1/4p3/1P2Pn2/2PP1N2/PB2BPPP/RN1QR1K1 w - -,e2f1
2brr1k1/1pq2ppp/p1n2n2/3p4/1b1N1P2/2NQBB2/PPP3PP/3R1R1K b - -,b4f8
2kr3r/1ppbq1bp/p1nppnp1/8/3PpB2/PBN2N1P/1PP1QPP1/2KR3R w - -,c3e4
r2qkb1r/pp1n1ppp/2pp1n2/4p2b/2P5/1P2PN1P/PB1PBPP1/RN1QK2R w KQkq -,d2d3
r1bqk2r/4bppp/ppnppn2/8/P3P3/1NNB1P2/1PP3PP/R1BQ1RK1 b kq -,c8b7
r4rk1/1b3pp1/1p1qnb2/pB1pN2p/3P4/P4N1P/1P3PP1/2RQR1K1 b - -,f8c8
2rq1rk1/pp3ppp/1nn5/3p4/6b1/2Q1PN2/PP1NBPPP/R4RK1 w - -,d2b3
r5k1/2pb1pp1/pp4q1/2p1P2p/5PP1/1QP3RP/PP1r1B2/5RK1 b - -,h5g4
3r2k1/ppnq3p/2p1b1p1/3p1r2/2PP4/1P4Q1/PB3PBP/2R1R1K1 w - -,c4d5
3r2k1/2p2pp1/pb2rq1p/1p1b3N/3P4/P1Q1B2P/1P3PP1/2R1R1K1 b - -,f6f5
r3r1k1/ppqnn1pp/2ppbp2/4p3/4P3/P1PBBPN1/1PPQ2PP/3RR2K b - -,d6d5
r5k1/p2b1ppp/3q1n2/3pr3/3N4/1P1B1Q1P/P4PP1/3R1RK1 b - -,a8e8
r1bq1rk1/pp3ppp/2n2n2/b1pp4/3P4/P1NBPN2/1P3PPP/R1BQ1RK1 w - -,d4c5
r1b1n1k1/ppp2ppp/3q4/1P6/2Bp4/P2P1N1P/2P2PP1/R2Q2K1 w - -,f3g5
rnb1k1nr/pp3ppp/8/3pP3/1b6/2N5/PP1B1PPP/R3KBNR b KQkq -,b4c3
2r4k/5ppp/p7/1p6/n4N2/4P2P/Pb3PP1/1R1R2K1 w - -,d1d6
r3r1k1/1bqn1pbp/1n1p2p1/1p1Pp3/1Pp1P1P1/5NNP/P1B2P2/R1BQR1K1 w - -,g3e2
5k2/5p2/8/1r2p3/R3P1N1/3b2P1/5PKP/8 w - -,f2f3
r1bq1rk1/1p3pbp/n1pp1np1/p2Pp3/2P1P2P/2N3N1/PP2BPP1/R1BQK2R w KQ -,c1e3
b3r3/p7/Pp4k1/1P1p1p1p/2pNrPn1/2B1PKP1/4R3/4R3 b - -,e4e7
2rbk2r/1p1n1p2/p2p3p/Q2Pp1p1/1P6/5NB1/P1q2PPP/3RR1K1 w k -,a5a3
8/8/5pk1/p1PR1pp1/8/3KP1P1/P4P2/2r5 w - -,c5c6
8/pp6/8/4b3/1Pkp2r1/P4R2/4KB2/8 b - -,g4e4
r3kbnr/pp3ppp/1qn1p3/3pPb2/2pP4/1PN1BN2/P1P1BPPP/R2Q1RK1 b kq -,b6a5
3r3r/5p1p/2kn4/6p1/1Pb5/P1N1P2N/1K4PP/3R3R w - -,b2c2
8/2r3kp/2Pp2p1/N6n/4p3/5PP1/7P/4R1K1 b - -,e4f3
r4bk1/p6p/3PbR2/2P1p3/4P3/6P1/P3n1P1/2R4K b - -,e2c1
brq4k/3n3p/p2p1bp1/pP1Ppp2/2r5/1RN1BP2/3Q2PP/1R3B1K w - -,f1c4
8/6k1/p7/1p6/1P3KP1/P1R5/r7/8 b - -,g7f7
2r3k1/5p1p/4pbp1/8/1p1P4/P2R1NP1/1P3P1P/6K1 b - -,c8c1
q2r2k1/3p1rpp/p3p3/4Bn2/1R3P2/1P4P1/P4Q1P/4R1K1 b - -,d7d6
r1bqrbk1/pppp1ppp/2n2n2/4p3/2PPN3/3BPN2/PP3PPP/R1BQ1RK1 w - -,d1c2
r4rk1/2q2pbp/p1n3p1/1p2p3/P5b1/2P1B3/1PN2PPP/R1Q1RBK1 b - a3,c6a5
5rk1/3qp2p/2pp2pb/p4p2/PnP2P2/4P1PP/1Q4B1/3R1RK1 w - -,b2e2
3r2k1/2q2pp1/3Np2p/p3P3/PnBPQ3/1P4PP/4KP2/8 w - -,h3h4
rn1q1rk1/pp1b2pp/2pbpn2/3p1p2/2PP4/1PNBPN2/P4PPP/R1BQ1RK1 w - -,d1c2
4rbk1/1p3ppp/2r3q1/3N4/P2BPQ2/1P3PPb/7P/2R1R1K1 w - -,f4h4
