8/8/2pR3p/7P/2k1K3/3p3r/8/8 b - -,c6c5
r5k1/1b1n2pp/2pp4/4qp2/1PPNp3/2Q3P1/4PPBP/3R2K1 w - -,f2f4
r1b1kb1r/pp1n1ppp/2p1pq2/8/2QP4/2N2N2/PP2PPPP/R3KB1R b KQkq -,f6e7
8/5pkp/6p1/r1p5/P7/2q3P1/R4P2/1Q4K1 b - -,c5c4
5k2/3r3p/1pbN2pP/2p1P1P1/pp6/1P2K3/P1P5/5R2 b - -,f8e7
r1bqkbnr/pp1ppp1p/2n3p1/2p5/P3P3/2N5/1PPP1PPP/R1BQKBNR w KQkq -,f2f4
rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq -,d5d8:d5d6:d5e5:d5a5
8/1p3pp1/1P2k2p/4p3/B7/3R1PP1/nr5P/7K b - -,a2b4
8/6p1/b2R3p/7k/4p2P/8/P1r2PP1/6K1 w - -,d6a6
2b5/3kq2r/ppp1p2n/3pP3/3P1Q2/P7/KPP2P2/3N3R w - -,h1h6
r4rk1/pp1q1pbp/2N2np1/3p4/4p1b1/1P2P1P1/PBPQ1PBP/RNR3K1 b - -,b7c6
6k1/R7/P4r2/3K3P/8/8/8/8 w - -,a7a8
8/1p3k1p/1r4pB/2p5/2P1n3/P6B/P4P1P/2K4R w - -,h6e3
3r2k1/6p1/2B1p3/2q1p3/1pp1P1Q1/2pP2PP/1P6/5R1K b - -,c5c6
8/1pr5/p4pk1/P2p2pp/1P1P4/1R4P1/4KP2/8 b - -,c7e7
5b2/p3p2p/1p2B2k/7N/4Q3/P4KPP/1P6/3q4 w - -,f3f4
8/R3bk2/3p4/1P1K4/2PB2r1/8/P7/8 b - -,g4g5
4k3/2b2p2/ppN1pn2/3p1p1p/PP1P3P/2K1PPP1/4N3/8 w - -,c3d3
8/8/1R3kpp/5p2/4p3/6PP/r2NKP2/8 b - -,f6g5
4r1k1/1p3ppp/p1nq2n1/3p4/1P1P2b1/R1PB1N2/3N1PPP/1Q4K1 w - -,a3a2
r1bq1rk1/1pp3pp/p1pbnp2/8/8/1PP2N2/P2PQPPP/RNB1R1K1 w - -,d2d4
r1b2rk1/5pbp/p1p2np1/1p2n3/4P3/2N1BP2/PP1RN1PP/1K3B1R w - -,e2c1
4r1k1/ppp1rpp1/q4n1p/3P4/3Qn3/1N2P2P/PPP1N1P1/4RRK1 w - -,e2f4
3q4/3Pb1kp/6p1/2r1pp2/8/1Q5B/PP3PPP/3R2K1 b - -,g7f6
r5r1/ppqk1p2/4bBp1/3pPpQp/2nP3P/P1P5/4NPP1/R4RK1 w - -,a3a4
r3qrk1/1p1b1pbp/pnnQ2p1/1B2p1B1/4P3/2N2N2/PP3PPP/2R2RK1 w - -,d6c7
2rr2k1/4qpp1/p1p1b2p/3p1P2/1P1B4/n2B1N1P/4QPP1/3R2K1 b - -,a3b5
3rr1k1/qp3pp1/2p1bb1p/3n4/1B1P4/P4NP1/3Q1P1P/3RRBK1 w - -,f3e5
2kr3r/ppqn1pp1/2pbpn1p/7P/2PPN3/3Q1N2/PP1B1PP1/1K1R3R b - -,f6e4
6k1/3b1pp1/7p/8/1p1NP3/1Pp2P2/4K1PP/8 w - -,e2d3
3k4/8/p2r4/3B1b2/N7/1P6/P6R/1K6 w - -,b1b2
r3kr2/pp3pbp/2pP2pn/2P1p2n/2B1P3/2N4P/PP1BNR2/R5K1 b q -,e8c8
5k2/1p1rr1pp/pQP5/P3B2q/2P1pP2/6RP/6PK/8 b - -,b7c6
r3rnk1/1pb2qp1/p1p1pp1p/P7/1PPP4/2B1RNP1/4QP1P/4R1K1 b - -,a8d8
8/8/8/7p/8/6pk/1r6/3R2K1 b - -,h5h4
6k1/4qp1p/2pR3P/p1r1p3/5p2/PP6/3Q1PP1/6K1 b - -,c5c1
r1b2rk1/pp1n1ppp/2pQ4/3p1n2/1P1P4/2NBP3/P3NPPP/R4RK1 b - -,f5d6
3k4/8/K3Pp1p/1p3P2/4B2P/2n5/P7/8 w - -,e4c6
rn1qr1k1/pp3ppp/2pb4/3p4/3Pn1b1/2PB1N2/PP3PPP/RNBQR1K1 w - -,a2a4
2r3k1/5ppp/4p1b1/1pq3P1/1P6/P1N4P/PK1R1P2/8 w - -,b4c5
3n1r1k/rppqnpp1/p6p/3pP3/3P4/Q5NP/PP1N1PP1/R3R1K1 w - -,f2f4
r2n4/ppp3k1/3p4/3P2p1/P1B1P3/2P2rP1/1P6/5RK1 w - -,f1f3
2rqr1k1/1bpn1ppp/pp1b4/3p4/3Pn3/1P1BPNN1/PBR2PPP/3Q1RK1 b - -,e4g3
3r1r2/pp6/2p2nkp/2P1Bpp1/1Pb1p3/2N1P1NP/P4PP1/3R2K1 w - -,e5d6
rn1qk2r/pp2bppp/2p2p2/5b2/3P1B2/3BQ3/PPP2PPP/R3K1NR b KQkq -,f5d3
6k1/1B3p2/3p3p/p2P2p1/1p6/4P1P1/Pb1r1P1P/1R3K2 w - -,b7a6
r1bqk2r/ppp1bppp/2n1pn2/3p4/3P4/1P3NP1/P1P1PPBP/RNBQ1RK1 b kq -,e8g8
5rk1/3p1p1p/Q1n1b1p1/2p5/8/1Pq5/P4PPP/3RR1K1 w - -,d1c1
1R6/1P3pk1/7p/5p1P/3K4/5P2/8/1r6 w - -,d4e5
2rk1r2/1R3P1Q/p2pq3/4p3/P5n1/2P5/1P4PP/5R1K w - -,h7h4
r2qrbk1/ppp2ppp/4pnN1/3p1n2/2PP4/1PN1P2P/PB2BPP1/R2Q1RK1 b - -,h7g6
8/5pk1/6p1/r6p/3NNPPP/4P3/6K1/8 w - -,g4g5
2rr2k1/2q2pbp/1p2p1p1/1R1B4/4P3/2P1P3/P3Q1PP/5RK1 w - -,d5b3
8/1r3k1p/2n2n2/8/1p4P1/7P/2B1KP2/BR6 w - -,g4g5
r2qk1nr/p4pbp/2pp2p1/8/2PpP3/5B2/PP1N1PPP/R2Q1RK1 b kq -,g8e7
r1bq1rk1/pp2bppp/2nppn2/2p5/4P3/2PP1NP1/PP1N1PBP/R1BQK2R w KQ -,e1g1
2r2rk1/1b3ppp/p3p3/1p1qP3/8/P3QN1P/1PP1R1P1/R5K1 w - -,a1e1
r1b2r1k/ppb1qppp/1np5/2N1p2N/3P4/1B2PQ2/PP3PPP/2RR2K1 b - -,f7f5
2q2rk1/1b1nbppp/p7/3B1p2/PpN5/1P2P3/1B3PPP/3Q1RK1 b - -,f8d8
4r3/p2pkp1p/2p3p1/2Npr3/8/1P3BP1/P4P1P/3R1K2 b - -,e7d6
r4rk1/p5b1/4pqpp/Q2p1b2/3p4/1P1P2BP/P3NPP1/2RR2K1 b - -,h6h5
8/8/pp4k1/2p1b3/2r5/P1PK1R2/1B6/8 b - -,c4g4
rnbq1rk1/pp2ppbp/1np3p1/8/2PP4/2N2N1P/PP2BPP1/R1BQ1RK1 b - -,b8d7
4R3/6k1/p2p3p/3b1pp1/1P1b4/P5P1/1PqNQP2/KBr5 w - -,e2e7
r3r1k1/2q2ppp/pp1p1n2/2p5/2P5/1P1RP1P1/PQ3P1P/R3N1K1 w - -,a1d1
8/5p2/4b1k1/p7/4P2p/1P2N3/P3K3/8 w - -,e2f3
r2qr1k1/pp1n1pbp/2p2np1/3pp3/2P5/1P1P1PPP/PBQN1PB1/R4RK1 b - -,d8b6
4r3/1p1R1pk1/2p3p1/p1q5/P5P1/1P1QP3/5PK1/8 b - -,c5b4
rn1q1rk1/1b2bppp/p1p1pn2/1p1p4/2PPP3/1P3NP1/P1QN1PBP/R1B2RK1 b - e3,d5e4
r1br4/4kppp/p3p3/1pb5/3nPB2/2NB4/PP3PPP/R2R2K1 w - b6,a1c1
r4rk1/1ppqb1pp/pnn1bp2/4p3/1P6/P1NP1NP1/1BQ1PPBP/1R3RK1 b - -,g7g5
r1bq1rk1/1p1nbppp/p1p1pn2/3p4/2PP4/5NP1/PPQNPPBP/R1BR2K1 b - -,b7b5
3r1rk1/p2q2p1/1p1b3p/2p2P2/2np1P2/1P1P2PQ/PB2R2P/4R1K1 w - -,b3c4
r1b2knr/pp1p1Bpp/2p5/2q5/4P3/1QN5/P4PPP/R4RK1 w - -,f7g8
r3kb1r/pp1n2p1/1qp3p1/5pP1/2Ppp2P/1Q2P3/PP1B1P2/2KR1B1R w kq -,e3d4
r1b2rk1/p2pnppp/2p2q2/2b1p3/Pp2P3/1Q1B4/1PPPNPPP/R1B2RK1 w - -,c2c3
1r2R3/p1qb1pkp/1p1p1bp1/2pP4/2P2Q2/1P1B3P/P4PP1/4R1K1 w - -,e8b8
r3r1k1/p1q2pb1/Rn1p2pp/2p5/8/2P2N2/1P1N1PPP/Q4RK1 w - -,a1a5
1rr3k1/3n1p1p/pq4p1/1p3p2/2pP3Q/P3PN2/1P3PPP/3R1RK1 w - -,h4e7
8/8/8/8/4NK2/8/6kp/8 w - -,e4g3
r4rk1/pp2qpp1/8/3N1b2/3Rn3/4P3/PPQ2P1P/2K2BR1 b - -,e7e5
2rr1nk1/3qbp1p/pp1pp1p1/6Pn/2PN1P1P/1PN1PQ2/PB6/2R2RK1 b - -,h5g7
r4r2/2q2pkp/bn3np1/pp2p3/2p1P3/1P1B1PN1/P1PQ1NPP/R2R2K1 w - -,d3e2
r1bq1rk1/pp2bppp/2n1pn2/3p4/2PP4/1PNB1N2/P4PPP/R1BQ1RK1 b - -,e7b4
6r1/6pk/b3Q2p/3pP2P/3N4/3PP1R1/6PK/1q6 b - -,a6d3
8/pb3Q1p/1p1kp3/8/P7/6P1/1P4P1/2qq1RK1 w - -,f7f4
2b2rk1/1r5p/3p1p2/1p1Pq2N/4PRPp/7P/1PQ5/5R1K b - -,b7f7
8/pp5p/4Qp1k/3p2pP/3P2P1/5q2/P6K/8 w - -,e6c8
rn1qkb1r/pp3ppp/2p1pn2/6P1/2B5/2N1BQ1P/PPP2P2/R3K2R b KQkq -,f6d5
7r/1p6/4pp2/2p1k1p1/1P2PnR1/5P2/3R3P/r4BK1 w - -,b4c5
1rb2rk1/ppp1n2p/5pp1/3n4/2BPN3/2P2N2/PP3PPP/2R2RK1 w - -,f1e1
r7/PR4pk/2r1p2p/3pPp2/3Pb1q1/R1B5/3Q4/4K3 b - -,f5f4
3r2k1/5ppp/1pR5/1n1p4/Q7/3P2P1/PP3qBP/7K w - -,a4f4
r1bq1rk1/1p4pp/p1p2p2/3n4/2BR4/P5B1/1PQ2PPP/R5K1 b - -,c8e6
r1bqkb1r/1pp1pp1p/p4np1/3Pp3/2P1P3/2N1BP2/PP2B1PP/R2QK2R b KQkq -,f8g7
4r1k1/1p4bp/2p1b1p1/5p2/1Bnq4/6P1/P1Q1PPBP/3N1RK1 b - -,e8d8
3rr1k1/ppqn1pb1/2p3p1/7p/Q1PpP3/P5P1/1P3PBP/RN2R1K1 b - -,d7c5
r1b2rk1/pp3ppp/2n5/2bN4/8/1R3NP1/P3PPBP/2R3K1 b - -,b7b6
r1bq1r1k/ppp1b1pp/4p3/5p2/2BP4/2P2Q2/P4PPP/R1B1R1K1 b - -,c7c5
3r2k1/R5pp/1p3p2/4p3/5nP1/NP1bpK2/P6P/4B3 b - -,e3e2
3r2k1/1pn2pbp/pN2r1p1/1nPp4/1P1P1P2/3K1NP1/1B5P/R3R3 b - -,e6e4
3q2k1/pBp1n3/PnRb3p/1P1Pppp1/3p4/B5P1/3NPP1P/R5K1 w - -,a3d6
8/3bk2p/p7/1p1p2pB/1P1P4/3PK1P1/P6P/8 w - -,h2h4
r1bq1rk1/3nbppp/2n1p3/pp1pP3/2pP4/P1P2N1N/1PB2PPP/R1BQR1K1 b - -,g7g6
7r/r1q2k2/3p4/nPpPp1Qp/4R1p1/1P1P4/2B2PP1/R5K1 w - -,g5f5
2r2qk1/p4n1p/5Q1P/4p1p1/3pP3/6B1/P4PP1/2N2RK1 b - -,c8c2
Q2b2k1/3q1pp1/3r4/Bp2p3/4P3/6PP/P1R3K1/8 b - -,g8h7
8/5p2/4p1p1/R2b3p/3k3P/1P3BP1/Pr6/5K2 w - -,f3d5
r2q1rk1/pppnbp1p/4pnp1/2Pp4/PP1P1P2/3BPP2/7P/RNBQ1RK1 w - -,a1a2
8/1b5p/1p1b1k2/1Nn1pp2/P7/1P2BPPP/2P2K2/8 b - -,d6e7
r1b2rk1/pp3ppp/1q3n2/8/2BP4/8/PP1B1PPP/2RQK2R b K -,c8e6
2r3k1/6p1/1R5p/4N1p1/6P1/4P3/r4P1P/5K2 b - -,c8c2
r5k1/p3Rbpp/B4n2/8/5N1P/6P1/8/6K1 b - -,h7h6
8/1R2pr2/4p1k1/2r3Bp/7P/5P2/b5P1/4R2K w - -,h1h2
8/3b2k1/p2p4/p3p3/P2RP2b/2N5/1PP3BP/7K b - -,e5d4
8/1r6/1N6/P2Nkp2/6p1/6P1/5K2/8 b - -,e5d4
6rk/1R6/p2p3b/P1pP1p2/B1P2P2/2P3N1/6K1/8 b - -,h6f4
r4rk1/1N3pb1/2p1p2p/p2n4/7P/1p3BB1/1P3PP1/2R2RK1 w - a6,g3d6
rnr3k1/5pp1/p1p4p/4p2q/2Q3R1/3P3P/P2BP1B1/5RK1 w - -,f1f6
5rk1/pp2pp1p/1n6/2rpPp1n/3P4/1P3N1P/P3NPP1/5RK1 w - -,d4c5
2r3k1/1p3pbp/p1r3p1/8/8/P1N3P1/1PR2P1P/2R3K1 w - -,g1f1
5r1k/r4pp1/2q1p3/1p1nPbBP/p1pP3Q/P7/BP3PP1/2R2RK1 w - -,f1e1
8/8/2q5/5Q1P/8/1r3PP1/3k2K1/8 b - -,b3e3
8/8/8/5k2/5p2/3q1P2/4Q1P1/5K2 b - -,d3b1
r3r3/7k/p3q1pp/5P2/6n1/P1B1R1P1/1P2Q2P/4R1K1 b - -,e6e3
5r1k/3q3p/1p1p2p1/pNnPp3/2P2r2/1P2RPRP/P1Q3K1/8 b - -,c5b7
8/8/8/5p2/5kbR/8/1r6/5BK1 b - -,f4g3
r2q1r2/ppp2p1k/1b1pb1n1/4p3/B2PP1pp/2P3B1/PP1Q1PP1/R3RNK1 w - -,g3h2
8/r5k1/6p1/6P1/2R3K1/8/7P/8 w - -,h2h4
8/8/2R1N3/p4k2/3r3b/8/5K2/8 w - -,f2f3
rnbqnrk1/p3bp1p/1p1p2p1/2pPp3/2P1P3/2NB1N1P/PPQ2PP1/R1B1K2R w KQ -,c1h6
2r4k/4Nppp/pB6/1p6/8/1P1n3P/P2R1PP1/3b2K1 b - -,c8c1
r4rk1/3nppbp/3p1np1/q1pP4/4P3/2N2NPP/PPQ2PK1/R1B4R b - -,f8b8
r5k1/1p5p/2p3p1/2n1N3/2P2PPP/q7/p3Q1B1/Rb4K1 w - -,f4f5
6k1/1b3p2/p4npp/1p6/8/P3B2P/1P2BPP1/3r2K1 w - -,e2d1
8/4k3/PR3p2/6p1/3n2P1/3N1PK1/r7/8 w - -,d3b4
1rb2rk1/p4p1p/5qp1/2R1n3/1p1N4/4PB1P/P4PP1/3Q2KR w - -,f3d5
8/2k5/7p/6p1/8/7P/5KP1/8 w - -,f2f3
r2q1rk1/ppp1ppbp/bnn3p1/8/3P4/P1N2NP1/1PQ1PPBP/R1BR2K1 b - -,d8c8
3r4/3Pk3/pr3p2/3R2p1/3R4/7P/P5P1/5K2 b - -,b6b7
r3k2r/1p1n1ppp/p1nqp3/3p3b/N2P4/1Q1BP3/PP2NPPP/2R2RK1 b kq -,a8b8
1r1q1rk1/1p1bppbp/p1np1np1/2p5/2P5/P1NPP1P1/1P2NPBP/1RBQ1RK1 w - -,b2b4
r2r2k1/1R3p1p/3bpp2/8/8/p4NP1/2R2P1P/5BK1 w - -,c2a2
1rb2b2/2kPpp2/ppB3pp/4P3/8/6B1/P4PPP/6K1 w - -,e5e6
4r1k1/p4pp1/1p3n1p/1Pn5/3R4/P1BN4/2rP2PP/R5K1 w - -,d3c5
8/5p2/r7/6kp/1R6/8/5PK1/8 b - -,a6g6
6k1/1p4p1/7p/rP1p1rp1/p2P4/2R1P2P/2R2PP1/6K1 w - -,g2g4
n3r3/p3q1kp/2R3p1/PPNr1b2/3pp3/6PP/1Q2PPBK/5R2 b - -,d5c5
2b1k2r/2qnpp2/2p1n2p/1p1pN3/1P1P1pP1/r2BP2P/2P2Q2/1R1NK2R w Kk -,e3f4
8/8/6KP/8/p7/8/k7/8 b - -,a2b1
r1b2rk1/ppq5/3bpp1p/3p1p2/3PnP2/P2B1N2/1PP1N1PP/1R2QR1K w - -,e1h4
8/1k6/1Pn5/4n3/4K3/8/8/8 b - -,e5d7
r2q1rk1/pp1bbppp/4pn2/3P4/2B2B2/2NQ4/PP3PPP/3R1RK1 b - -,f6d5
4n3/8/4nk2/6p1/8/4KB2/5P2/2R5 w - -,c1c6
1r4k1/3qbppp/b3p3/n1ppP2P/n4P2/1pPP2P1/rP1NQBBK/1R1NR3 b - -,h7h6
r2qr1k1/1pp1b1pp/2pn1p2/p2b4/3P1B2/2PN1N2/PP3PPP/R2QR1K1 w - a6,d3c5
8/1r4k1/R5p1/1P1p1p2/5P1p/2r4P/1RP3PK/8 b - -,g7h6
8/1p3pk1/8/3pRbPp/p2p4/PP1P1PP1/1Pr2NK1/8 b - -,f5e6
8/8/7p/3B2k1/6Pp/5Pr1/7K/8 b - -,h6h5
r1bq1rk1/3nbppp/2p1p3/p1p1P3/N1Pp4/BP1P1N2/P3QPPP/R4RK1 w - -,a1e1
5bR1/3k3p/3p1P1p/3r4/8/2PK4/1P6/1R6 w - -,d3c2
r4k1r/ppp1qpp1/3n1np1/3Pp3/2P1P3/3B2P1/PP2Q2P/RN3RK1 b - -,b7b6
r2r2k1/4qp1p/p1p1p1p1/PnNnQ3/2BP4/6R1/1P3PPP/3R2K1 b - -,d5f6
2rqkbnr/1p1b1ppp/p1Npp3/8/4P3/2N3P1/PPP2PBP/R1BQ1RK1 b k -,d7c6
8/5nk1/4r3/6p1/4K1P1/3N1P2/8/2R5 w - -,e4d4
r4q1k/1ppb1rpp/p2p4/4n1B1/7P/2P5/P1BQ1PP1/R3R1K1 w - -,c2b3
4rqk1/5p1p/1nP3p1/1P2R3/3P1P2/1Q5P/6P1/7K b - f3,e8d8
1R4k1/2n1npbp/6p1/p7/P1qP2P1/2N1BP2/3Q3P/6K1 b - -,g7f8
2r1k1r1/4pp1p/pq1p1npQ/3b4/1p4P1/1N3P2/PPP1B2P/1K1RR3 b - -,d5b7
2k5/p3r3/6pp/1b6/1P6/2N5/PP2p2P/2K1R3 b - -,b5c4
5rk1/7p/1R2pqp1/p1P5/3n4/8/Q4PPP/2R3K1 w - -,a2d2
3q4/3kp2Q/r2Bb1p1/8/8/6P1/P7/3RR1K1 b - -,a6d6
r1b2rk1/1pq1bppp/p1nppn2/8/4PP2/1NNB1Q2/PPPB2PP/R4R1K b - -,b7b5:f8e8
4r3/p4p1k/7p/5n2/2b3p1/3R1nP1/P1N1KPNP/7R w - -,g2e3
3r1krR/5p2/1p2bP2/3p4/1P6/P2B4/1P1K4/7R b - -,d5d4
r4rk1/pp1qbppp/1np2n2/3p4/3P1P2/1PNQ1B2/P1PB2PP/4RRK1 b - -,a8e8
2bq1rk1/1p2npbp/r2p1np1/2pPp3/P1P1P3/2N2N2/3BBPPP/R2Q1RK1 w - -,a1b1
rnbqk1nr/pp2p1bp/2p3p1/3p1pB1/2PP4/4PN2/PP1N1PPP/R2QKB1R b KQkq -,g8f6
8/8/8/4p3/4k3/R7/6r1/3NK3 b - -,g2c2
r1b2rk1/1p1pp2p/4n1p1/8/2P1N3/1P2B1P1/PbR2PBP/4K2R b K -,b2d4
rnbqkbnr/ppp3p1/3p3p/5pN1/2PPp2P/8/PP2PPP1/RNBQKB1R w KQkq -,g5h3
4b3/7p/3kp3/ppb2pB1/4p2P/1PN5/8/3BK3 w - -,d1e2
3r2r1/p3bk1p/2R2p2/8/4Q2P/6BP/Pq3P2/2R2K2 b - -,b2b5
8/5pkp/1Q2n1p1/1N6/bP6/5P2/6PP/q4BK1 b - -,a1b1
3Q4/kpr2p2/p5p1/2q5/1R3P1p/P6P/KP4P1/8 b - -,c7c8
8/8/8/6p1/3n2K1/8/3k4/8 b - -,d4e6
4k2r/3n1ppp/2q1p3/4P3/1b6/3Q1N2/5PPP/2B2RK1 w k -,c1a3
2kr3r/pp1qbp2/4bp2/2p1nN1p/P2pPR2/1P1P2P1/2PN2BP/R2Q2K1 w - -,d2c4
2r2rk1/p1q1bp1p/b2p1np1/2p1p3/2PnP2N/2Q1N1P1/PP3PBP/R1B1R1K1 b - -,c7b6
k2r1R2/pp2Q3/2p5/b1n3P1/6q1/3B4/2P1N1KP/8 w - -,e2g3
8/4ppkp/3p2p1/p2P4/Pp1rP3/2r2PP1/1RP1R2P/5K2 w - -,f1f2
r1bq1rk1/p1p1ppb1/1p1p1npB/8/1n1PP3/2NB1P2/PPPQN1PP/R3K2R w KQ -,g2g4
1rb2rk1/p1qnbppp/4p3/1pp1P3/2p2P2/2N3P1/PP2PQBP/R1B2RK1 w - -,c1e3
1R2R3/4k2p/4pn1Q/1B1p1p2/3q4/7P/5PPK/r7 b - -,e7d6
3Q2nk/4r2p/p3p1p1/1p2P3/5q2/P5R1/1P3P2/2R3K1 w - -,c1c8
8/8/pk3Kp1/5b1p/1PR5/8/6r1/8 b - -,g2c2
5rk1/3q1pp1/2pp3p/3N1b2/3r4/P6P/1Q1B1PPK/R3R3 b - -,d4d5
r5k1/6p1/3qpb1p/1p1pP3/2pp4/2P2N1P/1PQ2PP1/4R1K1 b - -,d4d3
8/1R6/6pk/8/6PP/8/6K1/r7 w - -,b7b3
1r1rBk2/pbR2ppp/1p2p3/8/3PP3/1N3P2/P2K2PP/2R5 b - -,f8e8
4r1k1/3n3p/4N1p1/p2p4/8/1P1PP2P/PK6/2R5 w - -,e6c5
5k2/2r2pp1/7p/pR6/2pP4/2K1P1P1/P4P1P/8 b - -,f8e7
1n3k1r/1b1pnpbp/3Bp1p1/p7/NN3P2/2P5/1P4PP/R3KB1R b KQ -,a5b4
r4rk1/2n1qbpp/5p2/2pp1P2/p5QP/2B1P3/PP3PB1/2R2RK1 w - -,f1d1
r2q1rk1/1pp2pp1/p2p1b1p/P2Pp3/1P1n4/1BPP1N1P/5PP1/R2QR1K1 b - -,d4f3
r2qk2r/1ppb1pp1/2n2n1p/p1b1p3/2P5/P2PBNP1/1PQ2PBP/RN3RK1 b kq -,c5e3
r6k/1p2q1p1/1p1pp2p/8/1Pn1PB2/6Q1/5PPP/5RK1 b - -,e6e5
rnbqkb1r/ppp1pp1p/3p1np1/8/4P3/3P1N2/PPPN1PPP/R1BQKB1R b KQkq -,f8g7
5k2/3r4/6R1/4p1P1/4BbK1/5P2/8/8 w - -,g6a6
1r4k1/p4pbp/4p1p1/3pPn1P/1r1P4/1PNKBP2/P4P2/1R5R b - -,g7f8
rn1q1rk1/1p2bppp/p1b1pn2/2p3B1/P2P4/2NQ1NP1/1P2PPBP/R2R2K1 b - -,c5d4:d8a5
8/5pk1/2N2p2/1pn1p2p/P7/1r2P1P1/5P1P/2R3K1 w - -,c1c5
3r4/1R2kppp/r3p3/8/3PP3/8/3K1PPP/7R b - -,e7f6
8/8/8/p4bp1/3K1k2/P6B/8/8 w - -,h3f1
r1b2rk1/1p2bppp/pqnppn2/8/2P1P3/1NN1B3/PP2BPPP/R2Q1RK1 b - -,b6c7
8/p2r1k2/4p3/3pPpPb/2p2P1N/2P3K1/R1P5/8 w - -,h4g2
r4rk1/3R1p1p/5Qp1/2q1p3/1p2P2P/1pp2P2/P1P3P1/3R3K w - -,a2b3
r3kb1r/pp1n1pp1/2p1p2p/4P3/1n5P/2N1BN2/PP2KPP1/R2R4 b kq -,f8e7
3r1k2/1N3p1p/p1p1rPp1/3nP2q/7P/1P4Q1/1P4P1/4RRK1 b - -,d8c8
7k/p1p5/3p4/2r4p/2P1K3/2P1P3/8/R7 b - -,a7a5
r2q1k1r/1p1b1ppp/p1n2b2/1B1p4/8/1NP5/PP3PPP/RN1QR1K1 w - -,b5e2
rn1qkb1r/pbp2ppp/1p6/8/2B1P3/2Pp1N2/P1Q2PPP/R1B1K2R w KQkq -,c4d3
