8/8/PK6/1R6/2k5/8/8/r7 b - -,a1a2
2q1rr2/p6k/1pn1b3/2p1b1pp/P1NpPpP1/1P1P1B1P/4QP2/1RB1R1K1 b - -,h7g7
4r1kr/1p3bp1/p1nq1n1p/2p1N3/P2p4/1P1B1N1P/2PQ1PP1/R3R1K1 w - -,e5g6
1rbq1r2/pp3pk1/2n3pp/2pnp3/8/2PP1NPP/PP1QNPB1/3R1RK1 b - -,f8e8
2r3nk/1p2rp1p/3p2p1/P1nPq1P1/P1PN1R1P/1B6/3Q2K1/5R2 w - -,b3c2
3r2k1/pbq4p/1p2p1pQ/n3p1N1/4P3/B1P4P/5PP1/4R1K1 b - -,b7c8
r4rk1/pp3pp1/1qn4p/3p4/4b3/1NP2N2/PP3PPP/R2QR1K1 w - -,f3d4
3R4/1P3pk1/2B5/8/5bp1/8/1r1p4/3K4 w - -,d8d4
3n4/p3kp1p/Bp2p3/3pP1p1/bP1P4/PN3KP1/1n3P1P/2N5 b - -,d8c6
1rbq1r1k/ppp1p1bp/2np2p1/5p1n/1PPP4/2N2NPP/P2QPPB1/1RB2RK1 b - -,e7e5
5rk1/p1r1bp2/1q2p1pp/n2p4/8/1PP1PNN1/P1R1QPPP/5RK1 w - -,e3e4
r4rk1/pp2bpp1/nq2p1p1/2p5/2QPP1P1/2PB3P/P2B1P2/1R2K1R1 b - -,b6c7
r4rk1/pb3ppp/2q1pn2/R3B3/2BP4/1P3P2/4Q1PP/R5K1 b - -,f6d5
6k1/5p2/4p1p1/1P6/1q3P1p/3Q3N/1K6/8 w - -,d3b3
2r1r1k1/5q1p/2n3pB/1p1bPp2/1P1p4/3P2P1/4P1BP/2RQ1R1K b - -,c6e5
6n1/5k2/8/1p4pP/1PpB2P1/2P2K2/8/8 w - -,f3e4
b1r1k3/4bp2/p3p2p/1p1N2p1/8/4P1BP/PP3PPK/1B1R4 b - -,a8d5
r4rk1/pp1bnppp/3qp3/3n2N1/3P4/3B4/PP3PPP/R1BQ1RK1 b - -,d5f6
8/6kp/4p3/2Pn4/Q7/P1r5/5PPP/5RK1 w - -,c5c6
8/6pk/Q1P2p1p/4p2P/8/KPq5/P5P1/8 b - -,e5e4
3r4/2k4p/6p1/1B2p3/Pp4P1/1K6/1P3n2/4R3 w - -,e1e5
q3r1k1/1bp2pp1/1bnp1n1p/1N6/3PP3/1B3N2/1P3PPP/2BQR1K1 w - -,e4e5
8/4kp1p/6p1/4P1P1/1R3P2/1p3r2/3K4/8 w - -,d2c1
4rrk1/pbp1q1pp/1p1p4/3Pn2n/2P2p2/P1QB1P2/1P1B1NPP/4RK1R b - -,e7h4
r3kbnr/pp3ppp/2pp1q2/2n5/2PNP3/2N1B3/PP2QPPP/R3K2R w KQkq -,e1g1
r6r/5k1p/1p2pp2/2nb4/1p3P2/2P5/2BN2PP/R4RK1 w - -,c3b4
r2qr1k1/p2nbppp/2npp3/2p5/1p2P3/2PPBNN1/PP3PPP/R2QR1K1 w - -,c3b4
2r5/8/4k1p1/4p2p/1KP5/5P1P/3R2P1/8 w - -,c4c5
r1b1k2r/ppqn1pbp/2pp1np1/4p3/3PP3/5NP1/PPPN1PBP/R1BQR1K1 w kq e6,d4e5
r4rk1/1b3ppp/pq2n3/1ppB4/P2pP1P1/8/1PP1QPP1/R1B2RK1 w - -,d5b7
4rq1k/2p3rp/1p2nn2/4P3/1P3p2/5QP1/P1PR3P/3R2K1 w - -,e5f6
r4rk1/pppbq3/4p1p1/n2pPppR/3P4/P2B3Q/1PP2PP1/R3K3 w Q -,h5h8
r4rk1/ppp1q1pp/2p5/2Pb1p2/3Pp3/4P3/PP2BPPP/R2QK2R w KQ -,g2g3
6B1/8/1p1p3p/p2Pk1p1/6b1/P2PK1P1/1P5P/8 w - -,d3d4
4k1nr/1p1bbpp1/p2p4/4p1P1/4P3/3RBQ1P/q1PK4/5BR1 w k -,d3b3
r1bqkb1r/ppp1pppp/n1n5/8/Q1PP4/P7/1P3PPP/RNB1KBNR w KQkq -,d4d5
5r2/p6k/1p5p/5pp1/1P2p3/P3P1PP/2bqBKQ1/4R3 b - -,f5f4
1N6/2r5/1K1k4/8/8/8/8/8 b - -,c7c2
r1bqkb1r/pp1ppppp/n1p2n2/8/3P1B2/2P4P/PP2PPP1/RN1QKBNR b KQkq -,g7g6
r7/pp2pkbp/2pr2p1/8/2P5/4B3/PPK2PPP/3RR3 w - -,e3c5
r2qnrk1/ppp3p1/2n2p1p/4B3/2Pp2bP/N2P2P1/PP1Q1PB1/R3R1K1 w - -,g2d5
rn2k2r/pp2bppp/4p3/1q1pPn2/3P4/2N1BN2/PP3PPP/R4RK1 w kq -,c3b5
r2r2k1/pp3pp1/n2Qbb1p/1qp3P1/7P/1N2BB2/PPP2P2/2KRR3 w - -,d6g3
1kn5/pp1b4/5q2/1P1pp3/P4B2/2QB2P1/5PK1/8 b - -,d5d4
8/8/p1kb4/P7/1P1R2P1/3KN3/8/6r1 b - -,d6f8
8/R5pk/7p/8/p7/6KP/1r6/8 b - -,b2b3
r4rk1/1pp1qppp/p1n1nb2/4p3/1P2N3/2PP1N1P/P4PP1/R1BQR1K1 w - -,a2a4
2k4r/3rbpp1/pB6/3bpP1p/2p4P/PP4N1/6P1/R2R2K1 w - -,b3c4
8/4r3/2p3k1/R5p1/Pp3pP1/5K2/2P2P2/8 b - -,e7e1
8/6k1/p7/P1B2PK1/1P4P1/3b4/8/8 w - -,g5f4
3r1k2/p3p2q/1p2Qp2/2pP4/2P5/5Nr1/P5PB/2R4K w - -,h1g1
r7/3r4/Pp2b1k1/4P1p1/8/R4R1P/8/6K1 b - -,e6f5
rnb1k2r/pp2ppbp/2p3p1/q2pP3/5BP1/2P2Q2/PPP2P1P/2KR1BNR w kq -,a2a3
3r4/3Bkp2/1N2pb2/p6p/2b5/8/P3KB2/3R4 w - -,b6c4
r4rk1/pp3ppp/2p5/3p1b2/3P4/2P1RB2/PP3PPP/R5K1 b - -,f8e8
r3r3/p5kp/1p1ppqp1/5p2/1nPP1P2/1P3N2/P2Q2PP/4RRK1 b - -,a7a5
2b3k1/7p/3p4/1p1P1r2/1P3PB1/2p3PP/8/4R1K1 w - -,g4f5
r1bq1rk1/ppp1ppbp/5np1/nP1P4/3P4/2N1PN2/P4PPP/R1BQKB1R b KQ -,f6d5
rq3rk1/1b1nbppp/p2p1n2/1p1Pp3/P1p1P3/2P2N2/1PBNQPPP/R1BR2K1 b - -,d7c5
8/5kp1/nBp4p/p1Pp1p2/Pp3P2/2P5/1P4PP/1K6 b - -,b4c3
r2q1rk1/1bpnbppp/pp3n2/3pN3/3P1B2/P1N3P1/1P2PPBP/R2Q1RK1 b - -,c7c5
3r2k1/1p1rqpp1/p1p4p/P1Pn4/2Q4N/4P1P1/5PKP/R2R4 w - -,h4f5
r1b1k2r/ppq4p/2pb1np1/3p1p2/3P4/2PB2N1/PPQ1NPPP/1R3RK1 w kq -,f1e1
8/7R/2kp4/8/3r1p1P/2p2P2/6PK/8 w - -,h7h8
1r2r1k1/5pp1/3q4/3P1P2/2p1P2p/2N2Q1P/P5P1/2R3K1 b - -,b8b2
1rbqr1k1/p4p1p/2p3p1/2N5/1PQ5/4P1PP/P4PB1/b1B2RK1 b - -,d8f6
1r2qrk1/5pbp/3p2p1/nbp1n1B1/1p2PP2/1P4P1/P2QNNBP/2RR2K1 b - -,e5c6
2r1r1k1/p4pbp/1p2p1p1/nP1q4/Q1pP4/2P2N2/P2NRPPP/4R1K1 w - -,f3e5
5rr1/5q1k/1p1p3n/p1pPp1Qp/P1P1Np1P/1P3PP1/1K3RR1/8 w - -,g3f4
r2q1rk1/p1pnbppp/b3pn2/3p4/1P1P4/P1N2NP1/3BPPBP/R2QR1K1 b - -,a6b7:a6c4
r4rk1/1p1q2pp/1np2p2/p2pPb2/Pb1P1P2/1B4Q1/1P1B2PP/1NR2RK1 w - -,d2c3
r4rk1/pp3pp1/2n1bq1p/3p4/5B2/2n2NP1/PQ2PPBP/R4RK1 w - -,g1h1
2k1n2r/1r2qp2/1p3n2/p1p1p2p/P1P3pP/1NP1P1B1/1RQ2PP1/3R2K1 w - -,c2f5
rnbqkbnr/pp3ppp/4p3/2ppP3/8/5N2/PPPP1PPP/RNBQKB1R w KQkq d6,b2b4
r2q1rk1/pppbppbp/1nn3p1/8/3PP3/1QN1BN2/PP3PPP/3RKB1R b K -,d7g4
r4r2/2pb1kq1/1p1p1n2/2nPp1p1/2P1PpP1/pPN2P1R/P3B2Q/1K2B2R b - -,f7e7
8/1pr5/1b4p1/p4p1p/P2PpPkP/1P4P1/1B1R2K1/8 b - -,c7e7
3R4/8/2r1pp2/5k1p/1pr2P1P/2P1R1P1/3K4/8 w - -,c3b4
r4rk1/7p/p2p2p1/P1pPqpBn/1pP1B1R1/1P5P/5P2/3QN1K1 w - f6,e4f3
r1b1k2r/ppp1n1pp/2p5/8/2B1N3/4PP2/PPP4P/R3K2R b KQkq -,e7f5
r2q1rk1/ppp1n1pp/2n5/3p1b2/2PP1B2/2P2N2/P2QB1PP/R3K2R b KQ -,c6a5
rnb2rk1/ppq1ppbp/2pp1np1/8/3PPP2/2NB1N2/PPP3PP/R1BQ1RK1 w - -,d1e1
r4rk1/1p2q1pp/p1pbpn2/4Np2/2PPpP2/PP2P2P/1B2Q1P1/2RR2K1 w - -,b3b4
3r2k1/Q4pp1/p6p/1p1nBB2/1qr5/5N2/5PPP/3R2K1 w - -,f5e6
1r2r1k1/5pbp/2qp1np1/8/1BP1p3/3PP1P1/1R3P1P/1N1Q1RK1 b - -,e4d3
r3qk2/1Q2R2p/pp1P4/5p2/P7/2N4P/1P4P1/6K1 b - -,e8b8
2kr3r/pp1b1pp1/7p/2bNnP2/2B5/8/PP2N1PP/2R1KR2 b - -,c8b8
2r1qr1k/3nn1bp/4Q1p1/5p2/4bP2/2N4P/2PRNBB1/3R2K1 b - -,d7f6
6k1/2q2ppp/5n2/2Pb4/1pNP4/BBnQ1P2/4r1PP/R5K1 b - -,f6g4
r2qr1k1/pb1nbppp/1pp1pn2/4N1B1/P1BP4/2NR4/1PP1QPPP/4R1K1 w - -,e5f7
r2q1rk1/ppp1npbp/3p2p1/4n3/4P3/2PB3P/PP2QPP1/RNB2RK1 w - -,d3c2
q1n2r2/3bb1k1/3p3p/3Pp1p1/1NN1P2P/1P2Q1P1/4B1K1/2R5 w - -,h4h5
5b2/6kp/p1Bp4/1p2pb2/7p/P2R3P/1PP2PP1/6K1 w - -,d3c3
r4rk1/1b2qpp1/p2p3p/1pp1p2n/4P3/2PP1N1P/PP1N1PP1/R2QR1K1 b - -,h5f4
r6k/1p2brpp/2p1N3/p4p2/Pn5R/3P2P1/1B2PPKP/5R2 w - -,h4f4
r1b1r1k1/ppb2pp1/2p4p/8/4Pn2/1B5P/PPQ1N1PK/R2RBq2 w - -,e2g3
1r3r1k/pp1qp1bp/2n3p1/3p1p2/3Pn3/PP2PNP1/1B2QPBP/2RR2K1 b - -,c6a5
1r4k1/2q2p1p/2pb2p1/6B1/P1Q1R3/6P1/5PKP/8 b - -,c7d7
3r1rk1/3q3p/1pnpb1pQ/2p1n3/2P1P3/1p4P1/P3NNBP/3R1RK1 w - -,a2b3
6k1/pp1r3p/2rPR3/3R4/3p2P1/3P4/P4PK1/8 w - -,e6f6
1qr3k1/5pp1/pprppbn1/8/bPP1P2p/P3BP2/Q3BNPP/2R1R2K b - -,g6e5
2b5/4k3/4p3/8/1nBKNP2/1P4P1/8/8 b - -,c8d7
rnbq1rk1/3nppbp/p2p2p1/1PpP4/4P3/2N3NP/PP2BPP1/R1BQK2R b KQ -,a6b5
8/1p4k1/p2p4/2p3p1/2Pb1r2/1P1B1R1P/P5P1/7K b - -,d4f2
2rqk2r/pp2bppp/2n1pnb1/3p4/N2P1B2/P3PPN1/1P1Q2PP/2R1KB1R w Kk -,f1b5
8/4N3/3n4/4p1p1/3kP1P1/5P2/2b2K2/8 b - -,c2a4
rnbqkbnr/pp1ppppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq -,c2c3:d1d4:g1f3
2r4r/3p1k2/2bP2p1/p1P2p1p/Pp1NpP1P/1P2R3/6P1/R5K1 w - -,a1c1
r1b3k1/1p1n2pp/5p2/8/1ppR1B2/8/1PP3PP/qNK1R3 b - -,d7b6
1br2rk1/p2nq1pp/2p5/1PPp1p1b/P3p3/2B1P1P1/1Q1N1PBP/R3R1K1 w - -,d2b3
r1bq1rk1/1pp3bp/3p1np1/1P1P1p2/4p3/1Q1P2PN/4PPBP/1RB1K2R b K -,e4d3
r1bqk1nr/p3b1pp/2pp4/2p1p3/4P3/2P2N2/PP3PPP/RNBQR1K1 b kq -,c8a6
8/p2n1Bpk/1p1Np2p/3bPp2/q2P3P/4Q3/5PP1/6K1 w - -,g1h2
r7/1b3n2/p4k2/1p3p2/8/5P2/PPP1NR2/2K2BRr b - -,h1g1
2Q5/4qk2/4ppn1/6pp/4P3/5PP1/5NKP/8 w - -,f2d3
r1b2rk1/2q1bppp/p2ppn2/1p2P3/3B1P2/2NB1Q2/PPP3PP/4RRK1 b - -,c8b7
r3r1k1/6p1/5bp1/3p4/5B2/pP1K1P2/P4P1P/2R5 b - -,a8c8
8/7p/3kp1p1/4n3/p5P1/8/1P1Kp2P/4N3 b - -,e5c4
6k1/8/p7/Pp4p1/4R3/2PKP3/r7/8 w - -,e4g4
2r2rk1/pp1bppbp/q2p1npB/7P/2n1P1P1/1NN2P2/PPPQB3/R3K2R w KQ -,e2c4
r5k1/pp1nP1b1/1qp5/2P1p1Np/4Pp2/2N5/PPB1Q1P1/2K5 b - -,d7c5
r1bq1rk1/3nbppp/p1p1pn2/1p4B1/3P4/2NBPN2/PPQ2PPP/R3K2R w KQ -,e1g1
r3k1r1/ppp1bpPp/2nq3B/5b2/3p1Q2/N1p2N2/PPP2PPP/R4RK1 b q -,d6f4
r4rk1/2q1bppp/pn1p4/1p1n4/3BpP2/PNP5/1P2B1PP/R2Q1RK1 b - -,e7f6
r1b2rk1/p5p1/2p1nq1p/3p1p2/5P2/2PB2QP/PP2N1P1/4RRK1 b - -,a8b8
r4rk1/pb1nqppp/1p2p3/2PnP3/2N5/5NP1/PPQ2PBP/R4RK1 b - -,a8c8
1k2r2r/1p1b2pp/p4n2/q2p4/P2B4/1B6/2Q2PPP/R3R1K1 w - -,d4c3
3r4/pp3p1p/2k2p2/5P2/2P1r3/P1RB2P1/3K1P1P/8 b - -,b7b6
r1b1r1k1/ppp1n2p/6p1/5p2/3P4/3BN1P1/1P3P1P/R4RK1 w - -,f1c1
3rrbk1/1p5p/p4pp1/4p3/8/1PP1B3/1P3PPP/3RRK2 b - -,g8f7
8/1b5p/6p1/pr1nk3/2R5/1P3P2/P2R1KPP/8 w - -,d2c2
7k/7p/p2N2p1/b1p1R3/2P4P/3b1rP1/Pr2N1K1/7R b - -,f3f6
rn2k2r/1bq2pb1/pp1p1npp/2pP4/P3P3/2N3PN/1P3PBP/R1BQ1RK1 b kq e3,e8g8
6k1/p2qbpp1/1p4p1/3PBb2/3P3P/1Q4P1/PP3RB1/2r3K1 w - -,g1h2
8/7p/3pk1p1/b1r1p3/7P/R1PKBPP1/1r6/2R5 b - -,c5b5
2r3k1/1pr2p1p/p3b1p1/1B6/4P3/1PB5/PK3PPP/2R5 w - -,b5e2
r2q1rk1/pp2ppbp/n2p1np1/8/3pP1b1/2N2NPP/PPP2PB1/R1BQR1K1 w - -,d1d4
r1b1kb1r/p5pp/4pp2/P2p4/1pp1nB2/6P1/P2NPPBP/R2NK2R b KQkq -,e4d2
3r4/p2r1pk1/3q2p1/3pRp2/1ppP1PP1/P3Q3/1P3PK1/3R4 b - -,b4a3
2r2r1k/Q6p/4p1p1/R1p1Pb2/1PPp1P2/2q2nN1/5RKP/8 b - -,f3h4:f3e1
r4rk1/pp2ppbp/1n4p1/2pPB2q/2P5/N3PQP1/P1R2PBP/5RK1 b - -,h5e5
r2n1rk1/pppq1p1p/3pb1p1/1P3PNn/2PPP3/2b5/P5BP/1RBQ1RK1 b - -,e6c4
6k1/3NR3/1r4p1/1p3p2/p6r/P1B2K2/1PP5/8 b - -,b6d6
rnbqk1nr/pppp1pp1/8/2b1p2p/2P4P/6P1/PP1PPP2/RNBQKBNR w KQkq -,b1c3
7r/3kn3/1pn2r2/p2p2Np/2PP3P/3P4/5PP1/R3R1K1 w - a6,e1b1
8/p3R3/k7/1p4p1/1P6/5B2/P2BK2q/8 w - -,e2d1
r3kb1r/pp1b1ppp/1qn1p3/3pPn2/1P1P4/P4N2/1B3PPP/RN1QKB1R w KQkq -,f1e2:b1c3:g2g4
2r1rbk1/1b3p1p/p5p1/1pnPp1P1/2p1P3/P1N2N1P/1PB2P2/3RRK2 w - -,f3h2
r2q1rk1/1p2bppp/2n5/p3pb2/2PpR3/PP1P1NP1/1B3PBP/R2Q2K1 w - -,e4e1
8/1p6/8/2k2pPn/5p1P/5K2/8/8 w - -,g5g6
