8/8/1k6/3K4/8/3N3R/8/3r4 w - -,h3h6
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP1N1PPP/R1BQ1RK1 b - -,c8e6:a7a6:a7a5
r2r1k2/pb2bppp/1pn1pn2/8/1P6/P1N1P3/1B1NBPPP/R2R2K1 b - -,f6e8
r1b2rk1/pp2pp1p/5bp1/8/8/5P2/PPP3PP/1K1Q1B1R b - -,b7b5:c8f5
r3k2r/pp1nqp2/2b1p1pp/2ppP3/3P1QPP/2PB1N2/P1PK1P2/1R5R b kq g3,c5c4
rr3k2/pp3ppp/2n2b2/4q3/4Np2/1QP2B2/PP3PPP/2KR3R b - -,c6a5
2k5/p1pr3p/1pb5/2p5/5p2/4NP1P/PPP1R1P1/2K5 w - -,e3g4
3r2k1/1p3pbp/p1qp1pp1/4rP2/4P3/1PNQ3P/1PP3P1/3R1R1K b - -,g8h8
r2q1rk1/pp4pp/2p5/2npPp1b/8/NP2PPP1/PQ4BP/R4RK1 w - -,b2c3
5R2/8/5n2/5k1p/7P/r5P1/6K1/8 b - -,f5g6
rn2k2r/1pqnbpp1/p1p3p1/2PpP3/8/1QN1PPP1/PP2B2P/R1B1K2R w KQkq -,e5e6
r1bq1rk1/p1n1ppbp/3p1np1/2pP4/1pP1P3/3B1N1P/PPQB1PP1/RN3RK1 w - -,c2c1
2rqr1k1/2p2pp1/pn1bp2p/1p2P3/3P4/P3BbP1/1PQ2PBP/3RR1K1 w - -,g2f3
8/7p/pkP3pP/5p2/3N4/3BK3/7r/8 w - -,d3e2
8/pkq2pR1/1r2pP2/2ppP3/5Q2/KP6/P1P5/8 b - -,c5c4
2r1kb1r/1p3pp1/1qn1b2p/p2pPp2/P2P4/3Q1N2/1PNB1PPP/R4RK1 b k a3,f8e7
4r1k1/pp3p1p/2n3p1/3p1p2/P1P5/1P1B1P2/R4KPP/2r2N2 b - -,c6b4
8/6N1/5p2/2k1b1p1/3pPpP1/1K1P1P2/8/8 b - -,c5b5
4r1k1/4npp1/p2q3p/1p2p3/2p3Q1/2P3RP/Pr3PP1/1B2R1K1 b - -,g7g6
r2q1rk1/pb2bppp/1pnppn2/2p5/4P3/1BPP1N1P/PP3PP1/RNBQR1K1 w - -,b1d2
r1nq1rk1/p2b2bp/Rp3pp1/1PpNp3/4P3/3PBN1P/2P2PP1/QR4K1 b - -,a8b8
5qk1/5p1p/1Qb1p1r1/p6N/4PP2/n6P/6PK/1B1R4 b - -,a3b1
8/p6p/1p3k2/3p1p2/P1nP1p1P/5K2/1P3B2/3B4 w - -,b2b3
8/8/2p1Q1p1/3p2k1/4p2p/2q1Pp2/5P2/5N1K w - -,e6e7
1kq4r/1b2bp2/p2p3p/1p1Pn1p1/4Q1P1/PNB5/1PP4P/4RRK1 b - -,f7f6
8/5pk1/4p1np/8/r1B5/2R3P1/6K1/8 b - -,g6e5
r1b2rk1/1pqpbppp/p3pn2/8/2P1P3/PPNn3P/4NPP1/R1BQ1RK1 w - -,d1d3
1r3bk1/7p/3p2p1/2pPp3/4P3/1P1Q4/qN4PP/2K2R2 w - -,d3f3
r1bqkb1r/ppp1pppp/1n6/3N4/3P4/1B3P2/PPP3PP/R1BQK1NR b KQkq -,b6d5
r4r2/4ppk1/b7/p1p4p/P2bN1P1/8/3RB1K1/5R2 w - -,g4h5
2r1kr2/4b1p1/pq1p2P1/3Rp3/1p2P3/5P2/PPP1Q3/1KN4R b - -,b6c6
8/1p1np1kp/8/r2Pn3/1p6/7P/1R1BBPP1/4K2R b K -,a5a1
2r5/p5qk/2pRb1r1/B1P1p2p/4Ppp1/5P2/PQ5P/1R5K w - -,b2b7
4b3/4k3/pp1pp3/2r4p/P4P2/2P2NP1/1K2R3/8 w - -,f3d4
5k2/2R3p1/7p/8/5P1K/2pr2PP/8/8 w - -,g3g4
3rr3/pp3kp1/2n4p/2b5/4pP2/P2pP1P1/1P1B2BP/R3R1K1 w - -,a1c1
5r2/3kbR2/p2p4/1p2p1pB/4P3/7P/PPP3P1/2K5 w - -,h5g4
r1b1kbnr/3p1ppp/p1q1p3/1p6/4P3/P1NBB3/1PP2PPP/R2QK2R b KQkq -,c8b7
rnb1k2r/5pb1/p2p1q1p/2pP2p1/p3P3/2NB1N2/1PQ2PPP/R4RK1 b kq -,e8g8
1r1r2k1/p4pp1/3b4/2n3qp/8/1PNp1PP1/PB1R2KP/3Q1R2 b - -,d6f4
r4r1k/1bp1np1p/pn2pPp1/6N1/2Pq1P2/P2B4/3BQ1PP/R4RK1 w - -,g1h1
2r5/1p4R1/2k4p/5p1B/1Bbp1P2/Pn6/5K1P/8 w - -,h5f3
rn1qk2r/pp2npbp/2p1p1p1/3p4/4P3/2NP1Q1P/PPP1BPP1/R1B2RK1 w kq -,f3g3
3r1n1k/p4qpp/1pB1pr2/8/Q2P1p2/6P1/PP2RP1P/4R1K1 b - -,h7h6
8/1p4rk/p1p4p/8/1PP1R3/2b4P/6N1/6K1 w - -,c4c5
7r/1p2rpk1/p5n1/8/P1B1p3/3P4/1PP4P/R4R1K b - -,g6e5
8/5k2/3R1p2/7p/4PK1P/5P2/8/5r2 w - -,d6d2:d6d7
7k/p2R2r1/1pn1p3/2p1npPp/2P4P/1PN1B1P1/P7/5K2 w - -,d7d6
r3k2r/pp3ppp/2nb1n2/3ppb2/1P6/2P1PNB1/1P1N1PPP/R3KB1R b KQkq -,f6d7
1r1q1rk1/pp3pbp/1n2b1p1/4p3/P7/2P2B1P/1P1N1PPB/R2Q1RK1 w - -,d1e2
5rk1/4bppp/3ppn2/1P6/2R5/4BP2/6PP/R5K1 b - -,d6d5
2r1r1k1/pp2qp2/4b2p/2bn2p1/NnB1P3/Q4P2/PP3BPP/1K1R3R w - -,a4c5
1q1r1knr/p3bp2/1nBp2pp/3Pp3/1Q2P3/4BN1P/P4PP1/1RR3K1 w - -,a2a4
3r1rk1/1p2n1b1/p1nR2pp/5p2/4NBP1/2P4P/PP2BP2/R5K1 w - f6,d6d8
2r2rk1/1b2np1p/1qn2bp1/pp2p3/3pP3/PP1P1NP1/1BRN1PBP/3QR1K1 w - -,h2h4
r1b1kb1r/1pq1ppp1/p2p1n1p/4n3/3NP1P1/2N1B2P/PPP1QPB1/R3K2R b KQkq -,g7g5
4k3/3b4/p3pRN1/5pP1/1P2P3/r7/8/1K6 b - -,e8d8
1rbqkb1r/1pp2ppp/p1n1pn2/8/2pP4/4PNP1/PP3PBP/RNBQ1RK1 w k -,d1e2
2r1k2r/pp1nb1pp/2q1pp2/P1ppP3/1P1P1PP1/2P1B3/4B2P/RQR3K1 b k -,c5c4
1r4k1/1bp1q1pp/3p4/pPn1p3/4nr2/4QN2/PB2PPBP/2RR2K1 w - -,f3e5
2rr2k1/5pp1/p3p1q1/2b1P2p/P7/1p4B1/1P2QPPP/2R2R1K b - -,c5d4
3r3r/1kq1np2/1p2p2p/6p1/npP5/2b2PPN/4Q1NP/1R2BRK1 w - -,e2c2
r2rq1k1/p2n1pbp/1p1P2p1/1Pp1p3/P3P3/5R1B/1BQ2PPP/3R2K1 w - -,c2c4
2r5/3rkpp1/1P1pbn1p/p1B1p3/1NP1P3/1P3P2/1K1R2PP/3R1B2 b - -,c8c5
1r2q1kr/pbnn2b1/4pPpP/1p6/2pP3Q/2P5/PPB3PN/R1B2RK1 b - -,d7f6
q4rk1/3n2b1/r2ppn1p/2p3p1/4P3/2N2NPP/PP1B1PK1/R2QR3 w - -,d1b3
2rr2k1/1p3p1p/2B1p1p1/p7/P4P2/3P2P1/5K1P/2R1R3 b - -,c8c6
r1bqk1nr/2p1ppb1/n2p2p1/p6p/Pp1PP3/2P1B1N1/1P1Q1PPP/R3KBNR w KQkq h6,f1c4
r1bqrbk1/1pp2pp1/2n2n1p/1P2p3/3pP3/p1PP2NP/P1B1QPPN/R1B1K2R b KQ -,c6a7
8/5pk1/3p2p1/2q1p2p/4P3/3K1P2/PP5Q/8 b - -,c5d4
1r1q1rk1/1bpnbppp/pp2pn2/8/P4B2/1QNP1NP1/1P2PPBP/R4RK1 b - -,e7d6
4r3/1p3k1p/p1p3p1/2Pn2q1/PPB3b1/5P2/7Q/4R2K w - -,c4d5
8/p7/k5p1/1p2Bq2/4R3/1P3B2/P3K3/8 w - -,e5d4
3q2r1/p5k1/2b1P2p/3pPP2/n1pP3b/2P4B/P1Q4N/1R5K b - -,g7h8
rnbq1rk1/1pp1b1pp/3ppn2/p4p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - a6,f1e1:d1c2:b2b3
8/8/1r5k/6Rp/7P/5PK1/8/8 w - -,g5e5
rnbqr1k1/pp2ppbp/3p1np1/2p3B1/3P4/4PN1P/PPPNBPP1/R2QK2R w KQ -,g5f4
r4rk1/ppp3bp/6Q1/5p1n/3Np3/7P/PPP2PPB/3R1RK1 b - -,h7g6
r4rk1/1pq1bppp/p2p1n2/2p1n3/2P1P1b1/1P3N2/PB2BPPP/RN1QR1K1 b - -,g4e6
3R4/8/3n4/4k3/8/3K4/8/8 w - -,d8a8
2r3k1/pp3r1p/2n2ppQ/3p1q2/8/PN3P2/1PP3P1/1K1RR3 b - -,b7b6
r2q1rk1/pbR3pp/1p3b2/3p1p2/4nB2/5NP1/PP2PPBP/3Q1RK1 b - -,f8f7
r1bqkbnr/1p1n1ppp/p2pp3/8/3NP3/3B4/PPP2PPP/RNBQ1RK1 w kq -,c2c4
rnbbr1k1/pp3p2/2p3pp/4N3/2P1P3/2N5/PP2BPPP/3RK2R b K -,d8a5
8/6k1/3q2p1/1p4Qp/p1pNp1bP/P1P3P1/1P1K1P2/8 b - -,d6f6
r1b1k2r/1p2ppb1/p2p2p1/q2P3p/2BN1P2/2P2Q2/PP4PP/3RK2R w Kkq -,h2h3
8/4pk2/3p4/3P1K1R/1r5P/6P1/8/8 b - -,b4d4
r2q1rk1/1p2ppb1/b2p2p1/2pPn2p/4PN1P/PQ1PBPP1/5RB1/1R4K1 w - -,g2f1
5r2/5pk1/2n3pR/3Np1P1/2p1P3/1pP2N2/1P6/1K6 w - -,d5f6
r4rk1/pp1n1pbp/1np1Q1p1/8/3PP2R/2N2NB1/PP3PP1/2KR4 b - -,f7e6
r3rnk1/ppq2pbp/3Qb1p1/1B2p3/8/2P1BN1P/PP3PP1/R2R2K1 b - -,c7d6
r2q1rk1/pb1n1ppp/1p2pb2/1PpP4/3Pn3/P4NP1/1B1NPPBP/R2Q1RK1 b - -,e6d5
6k1/p2p1p1p/1p4p1/2bP4/2P2P2/2K3P1/P2BR1BP/1q6 b - -,b1a1
6k1/2R2p2/6p1/p6p/7P/6P1/P2r1P2/6K1 w - -,a2a4
r2qk1nr/1p1bbppp/p1npp3/2p5/4PP2/2N2NP1/PPPP2BP/R1BQ1RK1 w kq -,d2d3
8/1p1k1pp1/7p/p2KP3/P7/6P1/4P2P/8 b - -,d7c7
r2r4/pb2pk1p/1p2p1p1/4p3/Q4bn1/2N2N2/PPP2PPP/1K3R2 w - -,c3e4
5bk1/pr3p1p/5p2/2p5/3p4/PP4PP/2P1NP2/3R2K1 b - -,g8g7
r2qkbnr/pp1n1ppp/2p1p3/3p4/6b1/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq -,d1e1:b1d2:c2c4:h2h3
6k1/5pb1/p3p1p1/Pb1p2Pp/2r2P1P/2P2K2/1P6/R2R4 b - -,g8f8
2rqr1k1/4bppp/p1np4/1p1RpP2/4P3/1NP1Q1P1/PP5P/1K3B1R b - -,c6b8
8/2r2pk1/5pp1/2n4p/1pP4P/p3P1P1/P2RP1B1/6K1 w - -,g2d5
rnb1k1nr/ppp1ppbp/6p1/3q4/3P1P2/4B3/PPP3PP/RN1QKBNR b KQkq -,b8c6
1rbq1rk1/pp1nppbp/3p1np1/8/1P1p4/P1N1PNP1/2P2PBP/R1BQ1RK1 w - -,f3d4
6k1/5b2/2np2p1/2p5/2PpPP2/2q3Qp/3NBK1P/8 w - -,d2f1
5rk1/2r5/2pqb3/1p4p1/pPpPB1Pp/P3P2P/2R2P1Q/R5K1 b - -,d6d8
r1b1r3/1p3kpp/p2q2n1/1P1Ppp2/Q7/3B4/P4PPP/R1B2RK1 w - -,c1a3
r4rk1/6pp/2p2q2/pp1p4/4pPb1/1RP1Q3/P1PK3P/4BR2 b - -,a8d8
5rk1/p2q3p/1p4PQ/4p3/P2p4/3P2P1/1P5P/2R3K1 w - -,c1e1
R7/1np1kp2/3r1npp/1p2p3/1P2P3/1NP3NP/2K2PP1/8 b - -,d6d8
3r4/8/1P5p/6p1/5k2/1R6/4n1B1/7K b - -,e2d4
r3r1k1/p4pbp/bp1q2p1/3p1p2/3P4/1P1NPPP1/P2Q2BP/2R1R1K1 b - -,a8c8
3rk3/p1R2pp1/1p2p2p/8/8/PP2PK2/3r1PPP/2R5 b - -,d8d7
r4nk1/pb3ppp/1p2pn1q/4N3/3P1P2/2PB3P/P1Q3P1/R4RK1 w - -,c3c4
4r1k1/R5pp/3r4/4np2/2b5/B1P2BP1/4PP1P/1R4K1 b - -,e5f3
rn1q1rk1/3nppbp/b5p1/2p3P1/4P3/2N1B3/PP2BP1P/R2QK1NR w KQ -,e2a6
4k2r/1b1n1ppp/pr1B1n2/8/1p2PQ2/3R4/PqP1B1PP/3R3K w k -,e2f3
1rbq1rk1/p3bpp1/2n4p/1ppn4/4N3/3PBNP1/PP3PBP/R2QR1K1 b - -,d5e3
5r1k/5Ppp/p3q3/2pN4/2Pb2P1/1P2R3/P6P/4R1K1 b - -,e6f7
r1r3k1/pp1npp1p/q1npb1p1/1N6/2P1PP2/1N4P1/P2Q3P/1RR2BK1 b - -,d7c5
q1r3k1/3r1pp1/pQ1p1n1p/Np1Pp3/8/P4P1P/1PPR2P1/3R2K1 w - -,b2b3
4r1k1/1p5p/p2p2p1/2pP1p2/P1P1Pb2/4qP2/1P4Q1/1R2KB2 w - -,g2e2
2r2rk1/p1nn1pp1/2p2b1p/2Pp1b2/N2P4/BN4P1/P4PBP/2RR2K1 w - -,g2f1
5k2/5p2/5p2/2RP4/3r1P1P/6P1/5PK1/8 b - -,f8g7
8/5p2/4p1kp/4Pp2/1r3K2/4P3/6PP/5R2 w - -,f4f3
6k1/6b1/6p1/1p1P2P1/3pQ3/q2P3P/8/5R1K b - -,b5b4
2r1r1k1/5ppp/p7/1p1ppn2/1P2Pn1q/P4P1P/2BQ1RP1/3R2K1 w - -,e4f5
3Rr1k1/r4p1p/1p4p1/1P6/5N2/n2R1PP1/4P2P/6K1 b - -,e8d8
rn1q1rk1/5ppp/p1pbpn2/1p1p3b/2PP4/1PN1PN1P/PB2BPP1/R2Q1RK1 w - -,c4d5
7k/5ppP/K1P5/4p3/8/2n1b3/1r6/3R3R b - -,c3d1
8/1R3R1p/4p1k1/8/6P1/3qpK1P/8/8 w - -,f7d7
2rk3r/p2qb3/1pb1R1Q1/2Pp3p/5Bp1/2P5/PP3PPP/R5K1 w - -,e6e7
2nK4/8/3p4/1PkP4/2P5/8/4B3/8 b - -,c8b6
r4rk1/p1pp2pp/1pn1p3/8/1PPbP3/P4qP1/1B1Q1NRP/R3KB2 b Q -,e6e5
8/6pp/4q1k1/1Q1p4/3Pp3/4K1PP/8/8 w - -,b5c5
6r1/5qpk/p3p2p/1p1b1p2/3B1P2/6RP/3R1QPK/2r5 w - -,f2e3
r7/p4kpp/5n2/1Pp5/3n4/2R2P2/P2BbKPP/4R3 b - -,e2b5
8/5k2/2B5/8/P2b1r1P/7P/K7/4R3 b - -,f4h4
r2q1rk1/2p3pp/1p1ppn2/5p2/pPPP4/P1B3P1/Q3PPbP/R4RK1 w - -,g1g2
r1bqkb1r/1p1p2pp/p1n1ppn1/8/P1B1P3/2N2NB1/1P3PPP/R2QK2R b KQkq -,c6e5
7k/1p3qb1/2p3p1/p3p2p/1P2Q2P/P4B2/5PP1/6K1 b - b3,a5b4
rn4k1/pB1bpp1p/6p1/4b3/r7/4B1P1/P1R1PP1P/5RK1 w - -,b7a8
3rr1k1/pp3pp1/2p1p1bp/8/2BP1n2/2P3N1/PP3PPP/3RR1K1 b - -,g8f8
6k1/2N2pp1/1p1r3p/2nN4/2P1p3/4n1PK/P1Q3P1/1R2q3 w - -,b1e1
5rk1/pBrpbppp/4pn2/1Pp1N3/2n5/2N3P1/PP2PP1P/R2R2K1 w - -,e5c4
8/3N3p/1p3pp1/pk1n4/5PK1/3r2P1/1R5P/8 b - -,d5b4
r3r1k1/p1ppqpbp/bnp3p1/4P3/2P2P2/1P6/PB1NQ1PP/2K1RB1R b - f3,d7d5
8/p2r2p1/Rp1rp1k1/7p/2PPR3/3K3P/6P1/8 b - -,g6f6
4r1k1/1pp2b2/p2p1pp1/4r2p/2PNP2P/1P3P2/P2R1KP1/2R5 b - h3,g8g7
rnbqk2r/1pp2pbp/4pnp1/p2p4/2PP4/Q1N1P3/PP1B1PPP/R3KBNR b KQkq -,c7c6
8/5p2/4p1p1/B2nP2p/2k1K2P/8/8/8 b - -,d5c3
r7/8/3K4/8/1N5R/4k3/8/8 b - -,a8d8
rn1q1knr/1b1p2pp/p2b1p2/3P4/1p5B/1B3N2/PP3PPP/R2QR1K1 b - -,g8e7
r1bqkb1r/pp3ppp/2np1n2/2p1p3/4P3/2P2NP1/PP1PQPBP/RNB2RK1 b kq -,f8e7:c8g4
rnbqk2r/pp3pp1/4p2p/2ppP3/3P4/2PB1N2/P1PQ1PPP/R3K2R b KQkq -,b8c6:c5c4
5r1r/1k2bp1p/2n1p3/pp1pP1PN/q1pP1BPP/P1P5/2P2Q1K/RR6 b - -,b7c7
r1r3k1/2pnbppp/p2p4/Pp1Pp3/1N2P3/2P5/1P1N1PPP/R3R1K1 b - -,e7g5
