3R4/8/r7/5k2/8/3P4/3K4/8 w - -,d2e3
r4r2/1p2ppkp/2n3p1/1qR2b2/1P6/p3QNP1/P3PPBP/5RK1 b - -,b5b4
4r1kb/p4r1p/4p1pB/1p1bPp2/2pP4/q1P2P1P/P2Q1RP1/1B3RK1 b - -,h8g7
1r1q1rk1/2nb1pb1/3p1np1/Np1P2Bp/1Pp1PQ2/6N1/2P1B1PP/R4RK1 b - -,c7e8
1r1q2k1/p4pbp/3p1np1/P1pPr3/8/2N5/1PQ2PPP/R1B2RK1 w - -,f1d1
1r2r1k1/1bq1bppp/p1npp3/1p5n/4PP2/PN1BBQ2/1PP3PP/4RRK1 w - -,f3h5
r4rk1/pnp3pp/1p1p4/3Pp3/P1P2q2/B2Q3P/5PP1/4RRK1 b - -,b7c5
6r1/p7/1p3Rbk/4p2p/8/P2B2KP/2P5/8 w - -,g3h4
r4rk1/1pq2pbp/p2pp1p1/4n3/P1P1P3/1PN4P/2QB1PP1/R3R1K1 b - -,e5c6
3b3k/6rp/r5p1/1p1qPp2/p1bP1P2/2P1RN2/1P3K1P/1QB3R1 b - -,g7b7
4rrk1/1bp2ppp/p7/1p1q4/3P4/2P3P1/PP5K/RNBQ2R1 w - -,g3g4
3r2k1/3r1pp1/pP5p/8/3p1NP1/2p3BP/5P2/R5K1 b - -,d4d3
1q6/1p3rkn/p2pR3/2pN1p1p/P1Pb1NP1/6Q1/1P4PB/7K b - -,h5g4
3q1rk1/1pN3b1/3pb2p/6p1/1P6/6P1/r1B1PP1P/1RQ2RK1 b - -,e6f7
r2q2r1/2pn1k2/p1b1pbn1/2Pp1ppp/3P4/2NBPN1P/P3QPPB/1R3RK1 w - -,d3a6
8/r7/P7/R1pk3p/2p5/2P2KPP/8/8 w - -,f3f4
3rrnk1/pp3pb1/2pR2p1/4p1p1/2P1P3/1PN3P1/PB3P1P/R5K1 w - -,a1d1
r7/4kp1p/1p2p1p1/4P3/P2R1PP1/7P/6K1/8 b - -,a8a5
8/1p1r2bk/p1p5/2Bp4/1P1P2R1/2P2K2/8/8 b - -,d7f7
7b/1p2r3/1k6/p7/5B2/1P1n1BP1/P7/1K5R w - -,h1h8
4r3/4kppp/1p6/1Np5/2n5/2N3PP/5PK1/3R4 w - -,d1c1
2krr3/1b1n3p/pqp2ppb/1p2p3/3PP3/1NPB1NP1/PP3Q1P/1K1RR3 b - -,h6f8
2r1k2r/1q1pb1pp/p3p3/8/1p2N3/3Q4/PPP2PPP/3R1RK1 w k -,f1e1
r1bqrnk1/1p3ppp/p1pbpn2/8/2PPN3/1P3NP1/PBQ2PBP/R4RK1 b - -,d6e7
1qr3k1/2bb1ppp/4p3/pp2n3/1P2P3/PN2QP2/5BPP/2R2BK1 w - -,b3c5
8/2r4k/7p/1P6/6p1/P7/1K2p3/4R3 w - -,e1e2
6k1/1q3pp1/1B6/7p/Q3n3/1P3PP1/6KP/8 b - -,e4d2
2r5/pN1n1pk1/1p2p1p1/4P2p/q4n1B/6Q1/5PPP/1B3RK1 w - -,g3e3
r3r1k1/pp3p2/3p2p1/1Ppn2q1/4B1Pp/P6P/1P1N1Q2/2K1RR2 b - -,e8e7
2r2rk1/p2b1pbp/q2p1ppB/3N4/3n4/1P4PP/P2Q1PB1/R1R3K1 w - -,d5e7
2r2rk1/1p4bp/p1q1p1p1/2Ppp3/1P2P3/3BQ3/1P3PPP/R1R3K1 b - -,f8f4
3r1rk1/1b4bp/pp1qp1p1/4p1Qn/2P1P3/1PB2R2/P1BR1NPP/7K b - -,d6c7
3k4/1r1r4/R3p1pR/4p1Pp/2p1P2P/1pP2P2/1P2K3/8 b - -,d7d3
3r4/2R5/p5pk/Pb5p/4B2P/P4p2/5K2/8 b - -,d8d4
r4rk1/3bR2p/p3p1p1/8/4PQ2/1B6/P5PP/5R1K w - -,f1d1
1k2r3/2p3p1/1p5p/p3p3/4q3/1P3P2/PKP1R1PP/8 w - -,e2e4
5Bk1/p2bp2p/3p2p1/4n3/1p2P1P1/1N3P2/PP4n1/1K2R3 w - -,e1g1
r2qk2r/ppp3pp/1bn2p2/3pP3/3Pn1b1/4BN2/PP2BPPP/RN1Q1RK1 w kq -,e5f6
r1bqk2r/1pp3pp/2nppn2/p7/2P5/P1B1PN2/1P3PPP/R2QKB1R w KQkq -,f1d3
3q3k/p4R2/3p1nB1/3Pp3/1P4pP/6P1/P4PN1/6K1 w - -,g2e3
2r3k1/r3pp1p/Pq4p1/2pP4/1pBb4/4B1PP/1P3P2/R1Q3K1 b - -,b6f6
8/1R4P1/8/P6p/3k1pr1/2p2K2/8/8 w - -,a5a6
3r4/p1r3k1/6pp/1P3n2/P2pB3/3q3P/1B3PP1/R5K1 w - -,e4d3
rr4k1/4ppbp/q2p1np1/2pP4/1n2PP2/2N1BN1P/PP2QKP1/RR6 w - -,e2a6
3k3r/p4ppp/1b2p3/1B1nP3/P6P/8/1B6/2R4K b - -,f7f5
1rQ3k1/p2nqppp/8/1Bb5/5P2/P1N2P2/1PQ2P1P/2K4R b - -,b8c8
1qr2rk1/pb1p1ppp/1pnP1B2/4p3/8/1N4PP/PP2PPB1/R2Q1RK1 b - -,g7f6
8/6k1/3Rpp1p/p5p1/8/5PKP/Pr4P1/8 w - -,d6e6
1rb1r1k1/1p1n3p/p2p1qpb/P1pPnp2/8/R1N1P2P/1PQNBPPB/5RK1 w - -,g1h1
r1bq1rk1/p3n1bp/2pp2p1/2p1p3/2P1P3/2NPBN2/PP4PP/R2Q1RK1 b - -,h7h6
r4rk1/4ppb1/2p3pp/1p1q2N1/1P1P1B2/7P/PR3PQ1/4R1K1 b - -,d5d4
8/3RR1pk/p7/P7/7P/r7/4bK1P/8 b - -,e2b5
1r2r1k1/ppp2pbp/1n4p1/q2Pp3/1R2P3/2P1B1PP/P3QPB1/1R4K1 b - -,g7f8
8/5ppk/4p3/1pQ1P2p/7P/P5P1/4qP1K/8 w - -,h2g1
1r3rk1/1b2b3/ppq1pn1p/2p3p1/2P1P1P1/1NN4P/P2Q1BB1/2R1R1K1 w - -,f2g3
2r3k1/5p1p/1p2p1p1/1P1qPnPP/1P1Pp3/p3P3/P2B1K2/1Q5R b - -,g6h5
2rq1rk1/pp2ppbp/n3bnp1/3P4/2p1P3/P1NQ1N2/1P2BPPP/R1B2RK1 w - -,d3c2
1q3r2/1r3pbk/4b1p1/1p1pPpPp/p2Q1P1P/2P1B3/PP5N/R3R1K1 w - -,a2a3
2Q2kr1/3n4/3q1p2/p2P1P2/P5r1/1P2R1P1/5K2/4R3 b - -,f8f7
1r1r2k1/5p1p/4p1p1/1p1n4/p2PBP2/2P3P1/1P1RRK1P/8 b - -,d5b6
5rk1/r3bppp/P1Rnp3/3p4/Q2P4/3PB2P/R4PP1/1qN3K1 b - -,f8a8
r1b2rk1/4qpbp/p2p4/1p2p2Q/2P1Pp2/N2B4/PP3PPP/R4RK1 w - -,c4b5
r2q1rk1/pb2bppp/1pn1pn2/8/2PP4/5NP1/PB2QPBP/RN3RK1 b - -,a8c8
r1b1k2r/4ppbp/pq4p1/1p2P3/3P1PP1/4NN2/PP5P/R2Q1RK1 b kq -,c8b7
6k1/3Q4/p5p1/6qp/2N5/1P2pb1P/P3Kb2/8 w - -,e2f3
6k1/4n2p/p2p2p1/P2P1p2/1rPNpP2/6P1/7P/R4nK1 w - -,a1f1
6k1/p5p1/2p5/B7/3P4/PP6/n4p1r/1K3R2 w - -,b1a2
6r1/5p2/kp2pB2/p3Pq2/3P2r1/2P5/Q1Pn2NR/6RK b - -,g4g2
r1r3k1/1b1n1ppp/pp1qpn2/8/Pb1P4/2N2N2/1P1BQPPP/1BRR2K1 b - -,d6c6
5n2/5Pk1/R3p1p1/P6p/3n4/6P1/2r4P/1R3K2 b - -,d4f3
r7/7k/5rpP/3p4/1p1np1R1/pP1B4/P1P5/2KR4 b - -,d4f5
r1bq1rk1/ppp2pbp/2n3p1/4n3/4PP2/Q1N1B3/PP2B1PP/3RK1NR b K f3,e5g4
r1bqk2r/3nppbp/p2p1np1/1p6/2BNP3/2N1BP2/PPPQ2PP/R3K2R w KQkq b6,c4b3
8/2p4p/p2pk3/2p2p2/2P1r3/PP1RBnPP/3K4/8 w - -,d2e2
8/1p2k3/p4pp1/3b3p/1P1N1P1P/P2K2P1/8/8 b - -,e7d6
3q4/p5k1/1p2Qpp1/1P5p/1B6/P5PP/6K1/8 b - -,d8d4
3qrbk1/1p3p1p/1np1n1p1/r3B3/p2PR3/P1N2N1P/1PQ2PP1/3R2K1 b - -,f8g7
5rk1/4bp2/2qp2p1/1p1Rp1p1/PPr1P3/7P/4QPP1/R1B3K1 w - -,c1d2
7k/4rrbp/p7/1pp1nPP1/8/P1P1B2P/1P2NR2/3R2K1 b - -,e7d7
r3r3/1p2nkp1/1p1b1p2/3p4/3P1P2/PN4p1/1P1B2KP/2R1R3 w - -,h2g3
8/5p2/2p5/2P2p2/4k2B/4b3/4K3/8 w - -,h4e7
3r4/4k3/pp2pp2/2p4p/2Pn4/1PN1KPP1/P2R3P/8 b - -,d8c8
b2r2k1/6q1/3r2p1/2Qp1p2/7R/2p1PBP1/P4PK1/7R b - -,g7e5
6k1/p3Rp1p/1b4p1/3B4/3P1N2/3K2P1/2b4r/8 w - -,d3c4
1r1qr1k1/5pbp/pp1p2p1/2nN4/P1PpPP2/5B1P/1P4P1/2RQ1RK1 b - -,c5e4
q1r2knr/1b1nbp2/pp2p1p1/4P2p/2PN4/2N2BPP/PP2QB2/2R1R1K1 w - -,f3b7
6k1/pq1rbppp/1pn2n2/3pB3/1P6/P3PNP1/4QPBP/2R3K1 w - -,e5b2
rnbqr1k1/pp3pbp/6p1/4p3/n1Pp4/1N1P1NP1/PB2PPBP/R2Q1RK1 w - -,a1b1
4k3/1R6/8/6Kp/3P1P2/1Pr5/8/8 b - -,c3d3
1k1r4/1p2r3/pPb5/P1Qpq1pB/8/4P2P/6P1/5RKR w - -,h5f3
1B6/3r2b1/8/5k2/1PP1pp2/8/2K5/4R3 b - -,e4e3
8/1r6/4p1p1/p6p/P1NPpP1k/2PbP3/R7/2K5 b - -,d3c4
2r3k1/4qpp1/4p3/pp1pP1p1/P5R1/2P2P1P/1P1Q2P1/7K b - a3,b5a4
8/8/1R3p2/2B1k1p1/1pb5/4K1P1/r7/8 b - -,a2e2
6k1/p4pp1/8/R2n3p/1P6/1Q3PbP/K3q1P1/8 w - -,a2a3
2brrbk1/5pp1/2pp1n1p/p1q1p3/P1B1PP2/1PN2QP1/2PR2PN/3R3K w - -,d2d3
r1b1r1k1/pp2qpbn/n1pp2p1/6Pp/2PNP3/2N1BP2/PP1QB2P/3R1R1K w - -,d4c2
r4rk1/2q1bppp/p3b3/n2Np3/Pp6/1P1P1N1P/2B2PP1/R1BQR1K1 b - -,e6d5
3r3k/1bR2p1p/4p3/4P1q1/pP6/5P2/4BQP1/6K1 b - -,b7d5
4r3/p1p3bk/1pPr2pp/1P1P1q2/PNQ1pp2/R7/5PPP/3R2K1 b - -,f4f3
3r1rk1/pp2p3/n1p3pp/2P1N3/6P1/1P6/2b2PBP/2R1R1K1 b - -,a6b4
1bq1rrk1/5ppp/pBp1b3/2Pp4/5P2/2NQ2P1/PP5P/R3R1K1 w - -,g1f2
8/1p6/p5p1/P2k3p/1Pn2P1P/3K4/5B2/8 b - -,c4b2:c4d6:c4a3
5rk1/p2n1pp1/2p1b2p/2Np4/1r6/1P1B3P/P1P2PP1/3R1RK1 w - -,c5d7
3r4/1R6/1p3kp1/2p1pp1p/P1P5/1P2K1P1/5P1P/8 b - -,d8d6
rnbq1rk1/1pp1n1b1/3p2pp/p3pp2/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 b - -,c8e6
6k1/1p1q2p1/4p2p/p2p2b1/3Br3/P6R/1P3PPP/2rQ1RK1 w - -,d1d3
2b5/pp2Rpbk/2p2n1p/2N3p1/3r4/P5PP/1P2NPB1/6K1 b - -,d4d1
2b1rbk1/1p3p2/pBp2p2/5P1p/6P1/1P3B2/1PPR1K1P/8 w - h6,h2h3
3r4/8/1pk1p1p1/4Pp1p/pPPp1P2/P2K2PP/3R4/8 w - -,d2g2
8/2R2pk1/6p1/8/np3r1p/1B3P1P/5PK1/8 b - -,a4c3
8/1B4k1/7p/1pb5/6p1/2r3P1/1RN3KP/8 b - -,c3d3
rnbr2k1/p1n1qppp/1ppp4/8/4P3/1PN3P1/P4PBP/R1BQR1K1 b - -,c8e6
8/5p1k/6p1/1P2P2p/2P5/4Q3/6PK/1q6 b - -,h7g7
rq2nrk1/3b1pbp/1ppp2p1/p1nPp1P1/2P1P2P/1NN1B3/PP2BP2/R2QK1R1 w Q -,d1c2
1Bn3q1/1p3p1k/p1b1pQpp/3pP3/6PP/4PB2/PP3P1K/8 b - -,g8g7
1q3rk1/1bnpbp2/1p3np1/4p3/1PP1P3/1QN4p/1B1NBPPP/R5K1 b - -,c7e6
r1b1r1k1/1ppnqppp/3p1n2/4P3/p1P5/P3PNP1/1PQ2PBP/R1B2RK1 b - -,d6e5
8/R2k1pp1/2p4p/2n5/2Prp3/5PP1/4P2P/4NK2 b - -,d7e6
2k3r1/ppp2p2/2n2r2/7p/3p3N/P7/1PP2PP1/R4RK1 w - -,g2g3
3r3k/6p1/5p1p/4p2P/R1Q1P3/p5P1/1q3PK1/8 b - -,b2d4
2r2rk1/1b3p1p/3qpBp1/2p1P3/5PQ1/1P1n4/5PBP/2R1R1K1 b - -,d6d4
r3r1k1/p3q3/2pRb1QP/1p2P3/5p2/P1N4P/1PP3B1/6K1 b - -,g8h8
8/8/p2k2Bp/Pp4rP/1Pp2K2/8/8/8 w - -,f4e3
8/5ppp/p1k1p1b1/2N5/2nPP3/8/3B1PPP/6K1 w - -,d2c3
7r/pprb1p2/3k1b2/1P1p1P1p/8/P1PB1KP1/2R5/1N5R b - -,f6e5
8/5kn1/5p2/6Pp/5N2/6P1/5K2/8 b - -,f6g5
rr6/p1p2pkp/6p1/8/1P1N1Pb1/4R3/1PP2P1P/3R2K1 w - -,f2f3
3rr1k1/pp2p1bp/2p1b1p1/4NpB1/1PPPpP2/4P2P/1P4P1/2RR2K1 b - -,a7a6
rnb2rk1/p3q1pp/1ppbpn2/3pNp2/2PP4/1P4P1/P2NPPBP/R1BQ1RK1 w - -,c4d5
5r1k/pb3pp1/1p1qp2p/1B6/8/P7/1PP1QPPP/4R1K1 w - -,e1d1
1rr1q1k1/5ppp/pn1bp3/N2n4/P1pN4/5PP1/1PQBP1KP/R4R2 w - -,f1c1
2r4k/1p1Q1p2/p4p1p/8/PP1R4/4P2P/2q2KP1/8 w - -,f2f3
r3kb1r/pp3ppp/2n5/2pq1b2/4p3/1P4P1/P2PPPBP/R1BQK1NR w KQkq -,c1b2
r4k1r/5pp1/b6q/p3P2p/3N3P/2Pp2Q1/PP4P1/1K1RR3 b - -,a8e8
1kr5/q2p4/3Pp3/1BR1Qppp/Pp2b3/4P3/1P4PP/6K1 w - -,c5c8
3rr1k1/1p3pp1/3B3p/4P3/P3RP2/1q1n2PP/4Q3/5RK1 b - -,b3b6
8/p6p/2k3p1/2P5/3K1P2/r5P1/P2R3P/8 w - -,d2c2
3r1rk1/pp2pp1p/2n2np1/3q4/6b1/1NPB4/P1PQ1PPP/R1B1R1K1 w - -,c1a3
2n2k2/6p1/p2NR2p/8/1r3P2/5K2/8/8 b - -,c8d6
R7/1p1k2p1/2n2bp1/1B1p1P2/8/4B2r/1P2KP2/8 w - -,f5g6
2rq1rk1/4bp2/p1N4p/1p1b2p1/Q7/3N2P1/PP1BPP1P/2R2RK1 b - -,b5a4
4kb1r/1r2p1pp/p7/4B3/8/8/PPP1K2P/3R1R2 b k -,e7e6
rnbq1rk1/pp2ppbp/3p1np1/8/3P1B2/2P2N2/PP1N1PPP/R2QKB1R w KQ -,h2h3
3r1k2/pp3pp1/2p1n1N1/4p1p1/P3PqQP/8/1P3PP1/5RK1 b - -,f7g6
r3k1nr/pp2ppbp/1q1p2p1/3P4/4P1b1/2N3PP/PP2nPB1/R1BQK2R w KQkq -,c3e2
8/8/2b5/5Pk1/6Pp/1p2K2P/1Bp5/8 w - -,b2c1
5rk1/5Np1/p6p/2r1p3/4Bn2/7P/1q4P1/3QR2K w - -,f7h6
8/6p1/3P4/R2kPK2/7P/6P1/p3r3/8 b - -,d5d4
3r4/pb4kp/5p2/2bp4/2B2PPK/P1N1r3/1P5P/3R1R2 b - -,d5d4
r7/p2p1kp1/1p2p3/2b4p/5PP1/4B1q1/PPP3P1/R2N1R1K w - -,e3c5
5k2/6p1/4R3/pr3PPp/5K1P/8/8/8 b - -,b5b4
r3r1k1/1pq2pp1/3bnnp1/2p1p3/p3P3/P1BP1NPB/1PQ2PKP/2R1R3 w - -,c3d2
1r5k/p5bP/2pp4/8/4qr2/3QB3/PP3P2/1R3K1R w - -,d3e4
7r/p1Np2kp/1p1P2p1/2p1Pp2/2Q2b2/P4q2/1PP2P1P/R3K1R1 w Q -,c4e2
1r1r4/2q1bpk1/2bpp1pp/p1p5/P3PP1P/1PP1N1P1/R1Q3BK/3R4 w - -,e3c4
2r1k1r1/3b1pb1/3pp2p/pp2q3/3N4/2NQ4/PPP3P1/1K1R1R2 w - -,d4f3
4rk2/3b1pp1/1p6/pP1pPP1p/B1pP2P1/2P4P/5K2/R7 b - g3,g7g6
5rk1/7p/4p1p1/2NpP1b1/p2P2P1/8/PrB3R1/3K4 b - -,f8f1
r5k1/p1pnqrpp/1p1p4/3Pp3/1PP2P2/6P1/P2Q2NP/4RRK1 b - b3,a8f8
rn1q1rk1/pb1pbppp/1p2p3/2p5/2PP4/2Q2NP1/PP2PPBP/R1B2RK1 w - c6,c1e3:e2e3:f1d1:d4d5
r1b2rk1/2qnbppp/1pn1p3/p1ppP3/8/2PP1NP1/PP2QPBP/R1B1RNK1 b - -,c8a6
8/2p5/4k2p/2r1ppp1/2R5/3B1PP1/4PK1P/8 b - -,c5c4
3rk2r/q2nbpp1/p3pnp1/1pp5/3P1P2/2N1P1P1/PP1BQ1BP/2RR2K1 b k -,e8g8
2k5/1p5R/2p5/p1b2p2/P3bP2/2P5/3K4/8 b - -,c5d6
5k2/1R4pp/4p3/3pPp2/3P1P2/4P3/r6P/6K1 w - -,b7b8
8/r3pk1p/8/2pb1PpP/PrNb4/3P4/1P5R/R1K5 w - -,a4a5
8/1p2qpk1/p3pnp1/2Qp3p/3P1P2/1P1NP3/P5PP/5K2 b - -,e7d8
8/p2n2pp/3k4/1P2p2B/2K5/6P1/7P/8 b - -,d7b6
r2k3r/pp1b1ppp/2n1pn2/1Nb5/1P3B2/2P2N2/P4PPP/R3KB1R b KQ b3,c5e7
r3k2r/1bqnppbp/p2p1np1/1p4B1/3NPPP1/P1N2Q2/1PP3BP/2KR3R b kq -,c7b6
1b6/5k2/5pp1/3K3p/5N2/4P1PP/5P2/8 b - -,b8c7
r1b2bkr/pp2n1p1/3pp2p/5q2/2QP4/2N2N2/PP3PPP/R1B2RK1 w - -,f1e1
r2qr1k1/pp2bp1p/2p2np1/3p4/1P1P1P2/3BPR2/P1QB2PP/R5K1 b - -,e7f8
r2b1rk1/ppp2ppp/2B5/4PbN1/8/5p2/PPP3PP/R1B2RK1 b - -,b7c6
3r2k1/6p1/2P3q1/p2p3p/3NpRnP/P5P1/2P5/5Q1K b - -,e4e3
1r6/5pkp/pqQ2bp1/7P/1P1p4/P5P1/1B3P2/2R3K1 w - -,c6f3
2rq2k1/p4pp1/4p1p1/3pP1P1/2r2P2/2P3RQ/P5P1/5RK1 b - -,d5d4
N1r5/5p2/B4p2/4pP2/1k5p/8/3N2PP/7K b - -,c8a8
r7/1KR5/8/6p1/6k1/8/8/8 w - -,b7a8
2B5/8/4p3/1R2p1p1/2k1PnPp/5P1P/2r5/7K w - -,c8d7
5k2/5p1p/6p1/R7/4P3/p4P1K/5P1P/r7 w - -,f3f4
R7/8/3n3p/3kp3/3p4/3K1P2/pr1N2PP/8 w - -,g2g4
5bk1/5p2/2p3pp/2B1p3/N1b1Pn2/2N4P/2P2PP1/6K1 b - -,f8g7
q4bk1/3n1p2/2p1p1p1/2ppP2p/1P1P1N1P/1RN3P1/2Q2PK1/r7 w - -,b4c5
8/5k2/6R1/4p2P/2p5/Pr6/5PK1/8 w - -,a3a4
2kr1b1r/ppp3pp/4bn2/5p2/8/2P3N1/PP1K1PPP/4RBNR w - -,d2c2
8/5kp1/7p/PR6/r7/6K1/8/8 w - -,b5b7
8/6k1/6b1/4P3/2B5/8/1K6/8 w - -,b2c3
r3k2r/1b1npp1p/pq1p1np1/3N4/1p1NPP2/3B4/PPP2QPP/R4R1K b kq -,f6d5
8/3n1k2/p1pBp2p/1p4p1/2PKP3/1P3PP1/P6P/8 b - c3,f7f6
8/1p2k3/p1p2n2/5r2/PP1R2p1/6P1/2P2PB1/5K2 b - b3,f5g5
rn2kbnr/pp2ppp1/1qp4p/3p1b2/2PP3B/4P3/PP3PPP/RNQ1KBNR b KQkq c3,e7e6
rn1q1rk1/pp1nppbp/2p3p1/3pNb2/3P1B2/2NBP3/PPP2PPP/R2Q1RK1 b - -,d7e5
r2qk2r/1bpn1ppp/pp1bpn2/4N3/P1BP1P2/1QN1P3/1P4PP/R1B2RK1 b kq f3,e8g8
rr3k2/1p1bpp1p/6p1/p1pP4/2P2P2/4RB2/PP4PP/R5K1 b - -,a8a6
1k6/1p6/8/6q1/pP6/2KR4/2N5/8 w - -,d3d1
6k1/5pp1/2p4p/p1P5/R7/P3NPPb/7P/1r4K1 w - -,g1f2
5R2/8/8/7n/p1k5/8/K4R1r/8 b - -,h2f2
3rr3/p5kp/1pb2qp1/3p4/1PpP1P2/2P2P1B/3Q3P/4RRK1 w - -,e1e5
rr1nq1k1/4ppbp/3p2p1/p1pPn1B1/N3P3/1P6/P2NQPPP/1RR3K1 w - -,f2f4
2kr3r/1pnn1pp1/p1p2bp1/2Ppp3/1P1P3P/2BBPPP1/1P2NK2/R6R b - h3,c7e6
rn2kb1r/pp2pppp/5n2/3q4/3p2b1/2P2N2/PP2BPPP/RNBQK2R w KQkq -,c3d4
6k1/p6p/6p1/5p2/8/1r6/1P1K2PP/1R6 b - -,g8f7
rnb1kb1r/1p2pp2/p2p1p2/q6p/2B1P3/1NNQ4/PPP2PPP/R3K2R b KQkq -,a5g5
2kr4/2n1Nr1p/2q3p1/1p3b1P/p4Pn1/P7/BPPQ2P1/2KR3R b - -,f7e7
r2q3r/2pn1kpp/pp1b4/4p3/P3b3/5N2/1P3PPP/R1BQ1RK1 w - -,f3g5
8/4brkp/p3q1p1/3pp1P1/1P1r4/2Q2PN1/1PP5/1K3RR1 b - -,e7b4
rnbq1rk1/pp2p1bp/2pp1np1/5pB1/2PP4/2N1PN2/PP2BPPP/R2Q1RK1 b - -,d8e8
r2qk2r/pb2p1bp/2p1n1p1/1p2p3/P7/2N1QN2/1PP1BPPP/R4RK1 b kq -,b5b4
r2qk2r/1b1nbppp/pp2p1n1/2ppP3/3P4/2NBBN2/PPP2PPP/R2QR1K1 w kq -,d1d2
1r3rk1/2qbb1p1/pN1p3p/PppPpp2/4P2n/1B4NP/1PP1QPPK/R3R3 w - f6,b6d7
8/2R5/p5p1/1b6/4p1Np/P5kP/3r2P1/6K1 w - -,g4e3
3B2k1/5ppp/1pb1p3/8/p4P2/4P3/5KPP/8 w - -,d8b6
rnb2rk1/5pbp/p2p2p1/q1pPp2n/2P1P3/1RNB1N1P/P2B1PP1/3Q1RK1 w - -,f1e1
8/8/3k1p1p/1p1P4/pP2PP2/2K4P/8/8 w - -,c3d4
1r6/p3kpR1/2pn1r2/3p4/1P1P4/3NP3/4KP2/6R1 b - -,d6b5
2r3k1/1p3pp1/p6p/2p5/8/1PbP1r2/P1P2BPP/5RK1 w - -,g2f3
5rk1/4q2b/p1Pp4/1p1P3p/1P2P3/3B2BK/R2N4/8 b - -,e7g5
r2r2k1/1p1nbppp/1qp1pn2/p7/2QP2b1/PP3NP1/1B1NPPBP/R4RK1 w - -,a1c1
8/8/4bk1p/p2p1p2/3P1K1P/5B2/P5P1/8 w - -,g2g3
r2r2k1/pb3ppp/1pq2n2/nN2p3/P1P5/4PB2/1BQ2PPP/R4RK1 b - -,c6c4
8/3k4/p4R2/3p2p1/3N2p1/P2P1P1b/2P2K1P/1r6 w - -,f6a6
2r2bk1/5q1p/3p1np1/N3p1B1/pp2P1P1/1b3PN1/1P5Q/K1R5 b - -,c8c1
r7/5ppk/4q1np/1p1pPp2/1P1P1P2/3Q3P/4N1P1/2R3K1 b - -,a8c8
8/5pk1/R1n5/6pp/4P3/6K1/8/8 b - -,c6e5
5rk1/1b2bp1p/2np1np1/1pp1p3/4P3/2PPNN2/qPB1QPPP/2B1R1K1 w - -,e2d1
3r4/1q3b1k/4pPpP/3pP1P1/2pQ4/2P1RBK1/1r6/7R w - -,h1a1
5n1k/1p5p/p1b2b2/P3pP2/8/1NN1B1rP/1PP1KR2/8 b - -,g3h3
4k3/1R6/4K3/p1p1P3/P1P5/1P1r4/8/8 b - -,e8d8
r2qk2r/pp1nnpb1/2p1p2p/3pPbp1/2PP4/4BN2/PP1NBPPP/2RQ1RK1 b kq -,e8g8
1k5r/pp3pp1/1q2b2p/n2pPp2/3P4/1Pr4N/P2QNPPP/2R3K1 w - -,c1c3
8/6k1/8/1P6/3K4/8/5P2/7r b - -,g7f7
4k3/7R/3b4/3N4/1p6/1P2K1P1/2r4P/8 b - -,c2b2
r6r/3kb1p1/1p2p3/2ppP3/6P1/P1P1BK2/1P6/6RR b - -,d7c6
