8/8/4R3/3p4/4nkP1/3K4/4B3/4r3 w - -,e6e8
rn1q1rk1/1bp2pbp/pp1ppnp1/8/P2PP3/2N1B3/1PPNBPPP/R3QRK1 b - -,c7c5
1r2k2r/2q1bp2/3pb1p1/p3p1Pn/1p2PP2/4B3/PPPQB3/1KNR3R b k -,e5f4
6k1/3b3p/p3pPp1/r2pP3/2pN2P1/q1P1Q3/2K4R/7R b - -,d7a4
r4rk1/pp1b3p/3p1qpb/2pP4/2PpBP2/1P4P1/P1Q1RN1P/R5K1 w - -,a1e1
r5k1/5pp1/1p4n1/4pq2/PP2p2p/4PP1P/1BQ3P1/3R2K1 b - -,g8h7
r2r2k1/7p/2pPp1p1/pp1n2N1/8/1P5P/5PP1/3RR1K1 w - -,e1e6
r6r/4bk2/p1bppp2/1p6/4PP1p/2N1R3/PPP3BP/1K2R3 b - -,a8a7
r4r1k/pp2p1bp/6p1/3P4/4P2P/4B3/P3KP2/2R4R b - -,a8c8
3r2k1/p3q1p1/5p1p/2p1p3/2P1pP2/1N1bP3/PP1R2PP/4Q1K1 w - -,b3c1
r3kb1r/ppqb1ppp/4pn2/8/2n5/2N1B1P1/P1N1PPBP/2RQK2R w Kkq -,e1g1
2r1k3/p3q3/1p1pr2p/1P3R2/2p5/PnQ1P1P1/1B3P1P/3R2K1 w - -,a3a4
2q1r1k1/1p3pp1/p2pr2p/P2Np1b1/1PP1P3/5RP1/4QP1P/3R2K1 b - -,e6g6
8/1prkp2p/pR2P1pb/P7/4PP2/1PB5/3K1P1P/8 b - -,d7c8
2rr4/1p2kp1p/p2ppb2/2n1n1p1/2P1P3/1PN2P1P/P1R2BP1/3R1BK1 b - -,e5g6
2r5/1k3pp1/p3p3/1p1qP3/5PP1/1P1p2N1/P1nQ3P/2R3K1 w - -,c1d1
r5n1/p4pk1/N3p1p1/3bP1Np/8/1pP2P2/1P4PP/2KR4 b - -,a8c8
5qk1/6b1/6pp/2p2p2/Pn3B2/1P3Q1P/5PP1/3rR1K1 w - -,e1d1
2r2r1k/1b1nqppp/1pn1p3/pNbpP3/P2N1P2/2P1BB2/1P3QPP/R2R2K1 w - -,d1e1
6k1/r1N5/b2p4/p1pP4/4p3/8/PP3PPP/3R2K1 w - -,c7e8
r1bqk1nr/pp2ppbp/2np2p1/2p5/5P2/2NP1NP1/PPP1P1BP/R1BQK2R b KQkq -,g8f6
3brrk1/1b3ppp/p5q1/1ppn4/4N3/1BPP3P/PP1B1PP1/R2QR1K1 b - -,c5c4
r2r2k1/b4ppp/p4q2/1p1Q4/1PnN4/P3P3/4NPPP/R4RK1 w - -,d5f5
rnbqkbnr/pp1ppppp/8/2p5/3PP3/8/PPP2PPP/RNBQKBNR b KQkq d3,c5d4:e7e6
r3k2r/p1q1bppp/b3p3/2pPn1P1/Npp1P3/4B3/PP4BP/2RQ1RK1 w kq -,d5e6
8/pp3kp1/2p4p/6rP/3P4/P1P5/KP6/7R b - -,g7g6
8/pp6/8/8/8/P1p3R1/1rk3p1/6K1 w - -,g1g2
r1b1k2r/ppp2pbp/3p1np1/3P4/2P5/P2B3P/1P2NPP1/R1B1K2R b KQkq -,f6d7
5rk1/p3pp1p/2p3p1/5b2/NrP2b1P/1P3P2/P3K1B1/3R3R b - h3,b4a4
5n2/8/3k1p1P/3p4/5P2/3K4/6N1/8 b - -,f8h7
rr4k1/4ppbp/bq1p2p1/2pPn3/8/2N3PP/PPQ1PPB1/1RB1R1K1 w - -,b2b3
r4rk1/2q1nbp1/3bnp1p/1pp1pN1P/p2pP1P1/P2P4/1PPBQPBN/R5RK w - -,h2f1
rnb2rk1/pp2ppbp/5np1/q1P5/2p5/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,e2e4
r3k2r/ppqbbppp/2nppn2/8/4PP2/1NN1B3/PPP1B1PP/R2Q1RK1 b kq -,a8d8:a7a6
b7/6b1/2pBk3/P2pP1pp/3P4/3B1P2/5KP1/8 w - -,a5a6
6k1/p4pbp/2p3p1/2n5/2p1P3/4B2P/PPP3P1/3B2K1 b - -,c5e4
r4bk1/1p1rqp2/1B2n3/p1p1PBpp/2P5/1P3QPP/P3R2K/4R3 w - -,f3h5
r2q3r/1bp2kpp/p1nbp3/1p2p3/8/2P2N2/PP3PPP/RNBQR1K1 w - -,f3g5
8/5k2/1p3p2/3Nn1p1/P7/2R3P1/1r6/5K2 b - -,f7e6
2rr2k1/1p3pbp/1n2b1p1/pP1p4/P2N1B2/1R1RPB2/5PPP/6K1 w - -,b3a3
3rr1k1/pp1q1pbn/2ppbnpp/4p3/P3P2P/2PPNNP1/1P2QPB1/R1B1R1K1 b - -,e6h3
r4rk1/pp1b3p/2p5/2Ppq3/PP3p2/6P1/3Q1PBP/R2R2K1 w - -,d1e1
1B6/3k4/p2P1pp1/1p1Kp3/5b1p/P1R2P1P/1P4r1/8 b - -,g2d2
2r2rk1/4bp1p/p2pq1p1/P3pN2/2P1Pn2/B3QP2/2B4R/6RK b - -,g8h8
5k2/5r2/8/1p5Q/4q2P/2P4K/1P3P2/6R1 w - -,h5c5
5k2/5pR1/p1b2B1p/3p1P1B/1pnP1b2/5P2/P6P/7K b - -,c4d6
5rk1/2R5/8/6PK/8/8/8/8 w - -,h5h6
8/8/1k1p2p1/2p2nPp/2P4P/2K5/6N1/8 b - -,b6a5
1kb4r/1pq2pp1/p3pn1p/1N2b3/P7/2P1B2P/1P2QPP1/R2B3K b - -,a6b5
r2q1rk1/pb6/1pn3pp/2pn1p2/5P1N/1Q1P2PP/P4BB1/R4RK1 b - -,c6a5
2q2r1k/2r1p1bp/P2pN1p1/8/8/1Q3n2/1P4PP/R1B2RK1 w - -,g2f3
2bBrbk1/1p2qppp/n1pp4/p4PP1/P3P3/1nN4P/1PP2QB1/3RR1K1 b - -,e7d8
5rk1/p1Q2qb1/3p2Np/1r2p1p1/4B3/3P2P1/P4P2/5RK1 w - -,g6e7
r3r1k1/p2qn2p/1pn1pbp1/3p2B1/3P4/5NP1/PP3P1P/RN1Q1RK1 b - -,f6g5
5bk1/1p1r1bp1/r3qp2/8/3pPQ1B/1PpN1P2/P5RP/1K1R4 b - -,a6a2
r1n2rk1/1ppqppbp/p2n2p1/P2P4/N2N4/1P4Pb/1BQ1PP1P/R2R2KB b - -,c8a7
rnbqk2r/ppp1ppb1/5npp/3p4/2PP3P/2N2N2/PP2PPP1/R1BQKB1R w KQkq -,c1f4
r2q1rk1/1bp1npb1/p2p2pp/1p6/2nPP2B/1PN2N1P/P1B2PP1/R2Q1RK1 b - -,c4a3
8/pp1kr3/1q2n3/6pQ/8/PP4P1/1B5P/4R1K1 w - -,g1h1
2kr4/pp1b1p1r/4p3/3pPpPp/2pP1N1P/PqP3P1/1P6/1R1QR1K1 b - -,b3d1
rr4k1/4bppp/p2Nbn2/4p3/1P6/P3B1P1/2P1BPP1/3RR1K1 w - -,e2f3
5k2/3r1r1p/PK6/1P6/3P4/6p1/5pB1/5R2 w - -,d4d5
r1b1k2r/1pqnbpp1/p2p1n1p/4p3/4P3/1BNQBN2/PPP2PPP/R4RK1 b kq -,d7c5
r4rk1/3n1p1p/b2p2p1/3P1P2/BppNP3/8/1P4PP/R4R1K b - -,c4c3
3rrk2/pp1n1p1p/4pp2/1Nq5/6Q1/2P5/PP3PPP/3RR1K1 w - -,b5d6
r4k1r/ppp2ppp/2n5/5b2/1qB3n1/2N2N2/PP2QPPP/3RR1K1 b - -,h7h5
r3kb1r/ppqn1ppp/2p1pnb1/8/3P4/3B1NN1/PPP2PPP/R1BQR1K1 w kq -,f3e5
rnbqkb1r/pp2pppp/3p1n2/8/3pP3/2P5/PP1N1PPP/R1BQKBNR w KQkq -,c3d4
r5k1/4ppbp/3p2p1/qPpP4/N1Q5/4P2P/1P3PP1/5RK1 w - -,b2b3
8/5k1p/4p1p1/P1b1Pp2/5P2/7P/2p3PK/2B5 b - -,f7e8
r1b2rk1/1p2qp1p/2n3p1/p3p3/7P/bNPB4/P1PBQPP1/1K1R3R w - a6,h4h5
rn3rk1/pp1b1ppp/1q1bpn2/3pN3/3P1B2/2N5/PPP1BPPP/1R1QK2R w K -,e1g1
8/6bk/4p1pp/8/1RP5/r3BqP1/1N3P2/5RK1 w - -,b2d1
r1bq1rk1/pp1n2b1/2p2npp/4p3/2P1Pp2/1PN2NP1/PBQ2PBP/R4RK1 w - -,g3f4
1qb2b1r/5kpp/1p3n2/1P1Pp3/1PP1pp2/1Q2P3/5PPP/RN3RK1 w - -,b1d2
3r1rk1/p3ppb1/1n4pp/3P4/6P1/4BB1P/PP6/3R1RK1 b - -,d8c8
5qn1/1Nr4k/r5pp/8/4P3/1P4NP/3Q1PP1/3RR1K1 b - -,c7b7
6k1/1ppq2pp/1p1p1p1r/5r2/2P2RQP/2BP4/P1P5/5RK1 w - -,g4f5
8/1B6/8/4k3/6p1/3r2P1/5K2/8 b - -,d3c3
8/8/2R3k1/b5p1/r5N1/3K1P2/5P1P/8 b - -,g6g7
r1b1k2r/pp1n1ppp/4p3/2qpP3/1P6/3P1N2/P2BQPPP/R3K2R b KQkq b3,c5e7
5k2/1R3ppp/p7/P2p4/3r4/5P2/1P4PP/6K1 w - -,b2b4
3r1rk1/1p4pp/pNp5/5p1b/N1P5/1P6/P2R2PP/3R2K1 b - -,h5d1
4r1k1/6p1/1RP5/P6p/3B1Pn1/4Nb2/5Pr1/R3K3 w - -,c6c7
8/5p2/8/3k1p1p/7P/4P1P1/4P1K1/8 w - -,g2f3
8/p2r1pk1/3q2pp/3Qp1P1/4P2P/2P5/PP6/2K3R1 b - -,d6d5
r1bqkb1r/pp1n1pp1/2p1pn1p/3p4/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 b kq -,f8e7
2kr1b1r/pp3ppp/2n5/2P1pbN1/1P6/2P5/PK1N1nPP/R1B2B1R w - -,g5f7
3rk3/p2rn1pp/4bp2/3pp3/8/2B1P1PP/PP1R1P2/3R1BK1 b - -,e8f7
r1bqk2r/1p1n1ppp/p1p1p3/b7/P1PPQB2/5N2/4BPPP/1R3RK1 b kq -,d7f6
r2q1rk1/1bp2ppn/p1np1b1p/1p1Bp3/4P3/P1PP1NB1/1P1N1PPP/R2Q1RK1 b - -,a8b8
r7/P7/8/R6p/5K1k/8/8/8 w - -,a5a3
2qr1bk1/2p2pp1/p6p/2Prpn2/1P6/P1Nn1N1P/2QB1PP1/R2R2K1 b - -,d5d7
r2q1rk1/4bppp/ppbppn2/8/2P1P3/1PNQ4/PBB2PPP/R4RK1 b - -,f8e8
2rr1k2/p3bp2/2p3p1/2N1B2n/3P4/1P3RPQ/2R2PKP/3q4 w - -,c5e6
5rk1/p3bppp/1p2p3/8/3P4/1P4P1/Pn3PBP/3RB1K1 w - -,d1d2
r1r3k1/1p3pp1/p2b4/3p1p2/P2P4/1P5P/3B1PP1/2R2RK1 b - -,g8f8
4r1k1/1p2qppp/p2R4/4n1P1/2r1P3/1N5P/PPP3Q1/1K1R4 b - -,c4c7
6k1/6pp/1b1P4/ppp5/8/1P3KP1/PB5P/8 b - -,g8f7
5rk1/p3pp1p/1p1n2p1/2p5/N1nb4/5PP1/PP2P2P/1RB2R1K b - -,b6b5
2r1r1k1/1p3ppp/p4n2/2qp4/R4Q2/1P2PN2/1PP2RPP/6K1 w - -,a4d4
3r2k1/4q1p1/p3Pp2/1p3P2/2n5/P1N2Q1P/3p2P1/R6K b - -,c4e5
8/pp5k/2pp3p/7b/1PP5/2QP2N1/P4K1P/3q4 b - -,d1f3
1kq2r2/2r2p2/1pP2p2/3PpP1B/1R5p/P2Qb3/K1R3PP/8 b - -,e3d4
2rr4/pp4kp/2n1bpp1/3pp3/8/1PP3P1/q3PPBP/R2RQNK1 b - -,a2b3
3r1rk1/2q1bppp/bpn1p3/p1p5/4PP2/2P1BNP1/PPQ2RBP/R5K1 w - -,a1d1
2r1r1k1/pp1bppBp/3p2p1/q6n/4PP2/1BNQ3P/PPP3P1/R3R1K1 b - -,g8g7
q2r2k1/1p3pp1/6b1/3B1n1p/8/1PB3P1/1Q3P1P/4R1K1 w - -,d5e4
1b1r2k1/pp3p1p/3q1p2/3pr3/P2N4/1P2P1P1/4QP1P/2RR2K1 b - -,a7a6
r3qrk1/1bp1n1pp/pp1ppn2/4Np2/1PPP4/P4PP1/2Q1P1BP/R1B2RK1 w - -,e5d3
1r1qnr2/1p1bppkp/p1np2p1/3N4/2P5/1P4P1/P1N1PPBP/R2Q1RK1 w - -,e2e4
3R2k1/6b1/4r1p1/4N3/5PK1/8/7P/8 b - -,g8h7
rn1q1rk1/pbpp1ppp/1p2pn2/8/1bP5/2N2NP1/PPQPPPBP/R1B1R1K1 b - -,b4c3
1r1q1rk1/1pn3bp/1Q1p1pp1/P1pP4/1p2P3/1P4P1/1B3PBP/3RR1K1 b - -,f8f7
3r4/Pkp5/7p/2pPq1pP/3Nr3/5R2/K5P1/3R4 w - -,d1b1
5rk1/4qpbp/p1r1p1p1/1p1pP1P1/3P4/1P3N2/P2Q3P/3R1RK1 w - -,f1f2
1r6/3k1ppp/2R1p3/pB2P3/7b/P3P3/1P5P/3K4 w - -,a3a4
2b4r/r4k1p/p3pp2/Bp6/2p2P2/P1P5/2P3PP/3RR1K1 w - -,a5b6
8/5p2/2b3p1/p1p1k2p/1p3N1P/3PKP2/PPP3P1/8 b - -,c6d7
2b4r/1p4k1/1B1p1rp1/1P1Pp1b1/6Pq/3B3P/2R1QPK1/7R b - -,f6f4
8/1k6/2n5/2Q2p2/8/3q1P2/2p3PK/2B5 b - -,b7c7
1r6/3k1n1p/p2Pb1p1/1p6/1P2P2P/P7/2P1B3/2KR4 w - -,c2c3
r3r1k1/1p2q1bp/4p1p1/2nnP1N1/p2Q1P2/6P1/PP4B1/R1B1R1K1 b - -,a8d8
r1bqr1k1/1p3pbp/p2p2n1/2pP2p1/P3P1n1/2N1B1PP/1P1N1P2/R2Q1RK1 w - -,h3g4
r1b1k2r/pp2bppp/1qn1p3/3n4/1P2P3/P4NP1/5PBP/RNBQ1RK1 b kq e3,d5f6
1r5r/3nk3/b1pq1b1R/2p1p1N1/4P3/PpQPB1NP/1P6/1K1R4 b - -,e7d8
5k2/R5pp/8/8/p4P2/2pKP1P1/1r4P1/8 w - -,d3c3
8/1N1k1ppp/pn2p1b1/8/3PP3/2B5/3r1PPP/6K1 w - -,c3d2
1R6/7k/3p1r2/4q3/5NpP/1p2P1K1/2bQ4/8 b - -,c2e4
1n2r1k1/Q2n1ppp/b7/q3p3/8/1R2PNPB/3N3P/6K1 b - -,a5c5
8/ppn4p/3k1p2/3p1B2/8/1P4P1/P3KP1P/8 b - -,h7h6
2b5/2r3k1/pR3ppn/2PPp3/8/2R2P2/P7/6K1 b - -,h6f5
5r2/1p3rk1/p3R1p1/2b2p2/2P1p2P/1PN3P1/P5K1/5R2 b - -,f7d7
6k1/3b4/7p/3PpPp1/p1rq4/5P2/R3Q1PP/R5K1 w - -,e2f2
rqb5/p5kp/5p2/3Pp1p1/1Pp1P3/2R3P1/1B3P1P/2Q3K1 w - -,c3c4
r4rk1/1p3ppp/1n1p4/3Ppb2/p1P5/R2P2P1/1P1N1PBP/R5K1 w - -,d2e4
2r2rk1/4bpp1/2p1p2p/p1nqP3/3NB3/4B3/PP3PPP/2RQ1RK1 b - -,d5e4
3r1k2/p4r1q/3p2RN/2pP2Rp/1p4pP/1P1P2P1/PQ4K1/8 b - -,f7f3
1k1r4/pp1bpp2/3p1pqb/8/4PPn1/1N3QP1/PPP1N1Br/2KR2R1 w - -,c1b1
r4b2/pp4p1/n1k2pb1/2n5/3pP1P1/P1P2PB1/1P2N3/3RK2B w - -,e2d4
r3k2r/pppq1ppp/2np1bn1/8/4PP2/2NB3P/PPPBQ1P1/2KR3R w kq -,e4e5
4Q3/5nbP/5k2/3K4/8/8/8/8 b - -,g7h8
r1b3k1/pp4pp/n1p1p3/3p3q/1P1Q4/2P2P2/PBB2P1b/R3R1K1 w - -,g1f1
r5k1/Qbq2pnp/1p4p1/2p5/3pP3/P7/3NBPPP/2RR2K1 w - -,a7a8
r1br2k1/p3pp1p/1q3bp1/3pN3/3p1P2/1Pp1P3/P1P1B1PP/R2Q1RK1 w - -,e3d4
r1b2rk1/p3Qppp/4p3/4q1B1/8/1P1p2P1/P6P/R4RK1 w - -,a1e1
8/5p2/2k2n2/2N1p3/1P6/4K3/8/8 b - -,f6d7
8/4rpkp/6p1/R2p4/2bNB2P/4P3/1r3PP1/3R2K1 b - -,d5e4
r1bn1rk1/5pbp/p5p1/1pN1p3/1P1PP3/6P1/5PBP/1RBR2K1 b - -,e5d4
r1bqkbnr/pp1n1ppp/2p1p3/3p4/2PP4/6P1/PP2PPBP/RNBQK1NR w KQkq -,g1f3
rn1qk2r/pbp1bp1p/1p2p1p1/4P3/2BP1P2/4BN2/P1P3PP/R2Q1RK1 b kq -,b8c6
3q1rk1/pb3ppp/1p6/n1rP4/8/P2B1N2/1Q3PPP/3R1RK1 w - -,d3e4
8/2r2pk1/1R4b1/3B2p1/2p5/6P1/5KP1/8 w - -,b6c6
r2q1rk1/1b1nppbp/p2p1np1/1p6/3NP3/P1N1BP2/1PP1B1PP/R2Q1R1K w - -,d1d2
6k1/8/1r2Rb2/3p2N1/8/6P1/5P2/6K1 b - -,b6b1
r6r/6k1/p4Rp1/2p1pb2/2B5/1P5P/3P1PP1/R5K1 w - -,f6f7
r2qkbnr/pp3ppp/2n1p3/2PpP3/8/2P1BP2/PP2N1PP/1R1QKB1R b Kkq -,c6e5
2r5/p7/6p1/2p1kp2/4p2P/1P4P1/P3KP2/2R5 b - -,e5d4
rn1q1rk1/pp1nbppp/2p5/3pPp2/3P4/2NQ1N2/PPP3PP/R1B2R1K b - -,g7g6
8/4k3/p3p1p1/Pp1p2Pp/1PnP1P2/2BK2P1/8/8 w - -,d3e2
r1bq1rk1/pp4b1/n2p2pp/3PpP1n/8/2N1BNPP/PP2BP2/R2QK2R b KQ -,g6f5
8/7p/1p2R3/5kp1/2P5/5PPK/3r4/8 w - -,e6b6
8/8/2NR2p1/5pk1/3K4/4r3/8/8 b - -,e3e4
1qr3k1/pb2bppp/1p2pn2/8/3NP3/PP4P1/1B2QPBP/3R2K1 b - -,c8d8
r3k2r/pp1nbp2/q1p1p1pn/P3P2p/2PP1P2/3Q1N2/3BN1PP/R1R3K1 w kq -,c1b1
r1b2rk1/1pq1bppp/p1n1p3/2p5/2NP4/2P2NP1/PP2QP1P/2RR1BK1 b - -,f8d8
2r2rk1/p3bppp/1p2pn2/2n4q/3N4/1P3PP1/PB1NP1KP/1QRR4 w - -,e2e4
r1b2rk1/pp3pp1/2n4p/2q1p3/2Pp4/6P1/PPQNPPBP/R2R2K1 b - -,c8e6
6k1/pp6/2np3p/8/6P1/2P1qP2/P3rN1P/R4QK1 b - -,c6e5
r2q1rk1/7p/1pn1bnp1/2p1pp2/2P5/PBQ1PPN1/3B2PP/3R1RK1 b - -,d8c7
r1n3nk/4r1bp/1p1q4/1QpPp1p1/2P1PpP1/2BN1P2/1R2B2P/1R4K1 w - -,b5b3
rnbqkb1r/3p1ppp/pp2pn2/2p5/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,c8b7
8/6kp/1p5p/2n1PB1P/p1R5/4r1PK/8/8 w - -,c4g4
8/B4k2/8/8/5Pp1/1N4n1/P7/7K w - -,h1g2
5rk1/qb3ppp/p7/4P1P1/1N2P2P/3Q2N1/P4PK1/8 b - -,a7c5
8/3b4/1p1kp1p1/p2p1pP1/3P4/3BPP2/PP2K3/8 w - -,e2f2
3bbrk1/r3q1pp/pp6/3pPp2/2pP1P2/1nP1BNRN/1P3Q1P/6RK b - -,g7g6
4K3/1p4P1/p1k5/P1Pp4/8/2R1P3/5r2/8 b - -,f2g2
3r1b2/1ppr1p1k/5npN/1Pn5/pNP2BPP/P4P2/6K1/1R1R4 w - -,d1d7
1rbqr1k1/1pp2pbp/p2p1np1/4n3/4P3/1NN1B1PP/PPP2PB1/R2QR1K1 w - -,e3a7
8/1P1R4/8/1r6/8/8/3p4/2k2K2 w - -,d7c7
5R2/Rp2r3/2p3kp/3r2p1/p4p2/PbB2P1P/1P3KP1/8 w - -,f8f6
8/3n4/3p4/1PkP1K2/2P5/8/4B3/8 w - -,f5e6
5qk1/1pr2pbp/8/p2B1p2/8/1P1Q4/P4PPP/5RK1 b - -,f8c8
r3b1k1/2n4p/4p1p1/P1pPN3/8/2P5/1r3PPP/R2R1BK1 b - -,e6d5
8/P7/3R3p/8/8/P3n3/4k2K/5q2 w - -,a7a8q
r2qk1nr/1bpn1pbp/pp1pp1p1/8/2PPP3/2N1BP2/PP1QN1PP/R3KB1R w KQkq -,h2h4
r2qk2r/pp1nnppp/2p1p3/2bp4/4P3/P1NP1QPP/1PP2P2/R1B1KB1R w KQkq -,f1g2
3rr1k1/pp3pb1/4n1p1/1PP1P2p/P1Np4/5P2/1B1R1PKP/R7 b - -,e6c5
r2q1rk1/1pp2pbp/p5p1/2p1P3/3nbP2/4B1PP/PP4B1/2RQR1K1 w - -,g2e4
8/8/8/p7/2P2kp1/1P3p2/7P/5K2 b - -,f4e5:f4f5
8/2r1bk2/4p3/p1p1Pp2/2B1bP1p/B3K2P/P2R4/8 w - -,d2b2
4k3/8/3R2p1/4Pr2/5BK1/1b6/8/8 b - -,e8f7
8/2R3k1/1p6/2p2pp1/6r1/2P4p/PP3P2/5K2 b - -,g7f6
1r1r1b1k/pp1b2pp/2n1pp2/q7/2BP1N2/PQ2PNP1/1P3PP1/2R2RK1 b - -,e6e5
r3qrk1/ppp2pbp/2np1np1/4pb2/2PP4/PPN1PN2/1B2BPPP/R2Q1RK1 b - -,e8e7
r4rk1/p3bppp/1qp1pn2/3p4/Q2P4/1N4P1/PPbBPPBP/R4RK1 w - -,f1c1
8/8/8/P2k3P/1P3b2/2PK4/8/8 b - -,f4h6
r1bq1rk1/p3npbp/1pn1p1p1/2pp4/2P2B2/2NP1NP1/PP1QPPBP/R4RK1 w - -,f4h6
r3r1k1/pp2qp2/2pp2pb/1P3bnn/P1PPp2p/BQR1P2P/3NNPP1/1R3BK1 b - -,c6c5
2kr1b1r/p2q1p2/1p1Bp1pp/3pPn1P/2pP1PQ1/2P3N1/P1P2RP1/1R4K1 w - -,d6f8
2r2rk1/p2R1pp1/4p2p/2R5/p3nP2/BP5P/P5P1/5K2 w - -,c5c4
r1bqk2r/pp2npbp/2npp1p1/8/3pP3/2P2NP1/PP3PBP/RNBQ1RK1 w kq -,c3d4
2N2n2/3k2pp/2p5/p1Pp4/P2b4/3N2P1/5P1P/5K2 w - -,c8d6
r3kb1r/pp3ppp/2n5/2P5/1P2p1b1/2P2N2/P2N1P2/R1BK1B1R w kq -,d1c2
8/1K6/1QP5/P7/k7/5q2/8/8 w - -,a5a6
r1r3k1/1b2nppp/1p2pn2/pq2N3/3PP3/3N1PP1/1P1Q2BP/R1R3K1 b - -,f6d7
2kr2r1/1pp1qnb1/p1b1p1p1/Q2pP2p/3P1P1P/5N2/PPP1BN2/2KR3R w - -,h1g1
r2qbrk1/pp2bppp/2n1pn2/3pN3/3P1B2/2NBP3/PP3PPP/2RQK2R w K -,e1g1
8/8/p3p3/3p4/3P1b2/1PBK4/5k2/8 w - -,c3b4
r1b1k2r/pp1nqppp/2p5/3p4/3PB3/2N1PNP1/PP3PP1/R2QK2R b KQkq -,d5e4
8/5pk1/R7/8/7K/8/8/6r1 w - -,a6a3
8/6pk/1p2rrqp/2p5/P2p1pPP/3P1Q2/1R2PPK1/1R6 b - -,f6f8
r1q1k2r/pp2bpp1/1npp1n2/2P1p2p/3PP3/1PN1B1P1/P3NPbP/R2Q1RK1 w kq -,g1g2
8/ppR5/7p/3rk1p1/5p2/PP4P1/4KP1P/8 b - -,d5b5
r1r5/5pbk/2Ppp1p1/1q5p/1P6/4BP2/2RQ2PP/2R3K1 w - -,d2d6
2rr2k1/5ppp/4pn2/1p6/1b6/3P1bNP/B2RKP2/7R w - -,e2f3
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PPP3/4BP2/PP2N1PP/RN1QKB1R w KQ c6,d4d5
1k1r3r/1pB3p1/3n4/1P1P3p/q4P2/bN1Q2P1/2R4P/1K1R4 b - -,b8a8
8/2pk2qp/p2b1Rp1/1p4QP/2p1P3/6PK/PP6/8 b - -,g7e7
rn1q1rk1/pp2ppbp/1n4p1/3p1b2/2PP4/1PN1BN2/P4PPP/R1Q1KB1R w KQ -,f1e2
3r4/p2q2kp/PpRb1pp1/1P2pP2/3pQ1PP/1P1P4/3B1K2/8 b - -,h7h5
8/8/8/8/8/8/pnk5/B3K3 b - -,b2c4
8/6pk/4R3/8/p2P4/7P/r4PP1/6K1 w - -,e6a6
r1b2rk1/1p2npbp/p1n3pB/q7/2p5/P1N2NP1/1P2PPBP/1RQ2RK1 b - -,f8d8
kb1R4/pp5p/4q1p1/8/4N3/P4P2/1P5P/1KR5 b - -,a7a5
r1b1kb1r/1p1n1ppp/1qn1p3/3pP3/p2P4/3NBN2/P3BPPP/1R1Q1RK1 b kq -,b6d8
r4rk1/pb3pbp/1n1p1np1/1P1Pp3/1N5q/PBN4P/1P2QPP1/R1B2RK1 b - -,f8e8
8/1p6/p1pb2k1/6p1/1PPPK1Pp/1P6/3B4/8 b - -,d6g3
8/1K6/8/1PQp1pk1/3P4/8/q7/8 b - -,f5f4
8/3kp3/5ppp/pp6/R2P4/2K1P1P1/5P1P/8 b - -,b5a4
8/8/3K1b2/1k3P2/8/5N2/8/8 w - -,d6e6
