8/8/8/2k4p/6bP/4R1P1/rrB2R2/2K5 b - -,b2b4
2kr3r/pp3p2/1bppb3/4p1q1/4P3/1BPP1PPp/PPQ4B/R4R1K b - -,e6b3
4b1k1/4qp1n/p2p2pp/2pP3r/2P1P3/P6P/3QBRP1/5R1K b - -,h5g5
5rk1/1p4p1/p4p1p/2p1b3/P2pPB2/1P1P2P1/2P4P/5RK1 b - -,g7g5
8/pr6/8/Rpk2p1p/5p1P/1P1K4/6P1/8 w - -,d3c3
4b2k/1p6/5p2/p2p1Bpn/P2N1PK1/1P2P3/8/8 w - -,f4g5
r1bq1rk1/pp1n1ppp/3b1n2/3pP3/8/1P1BPN2/P2N1PPP/R1BQ1RK1 b - -,d7e5
k1nr1b1r/ppq2pp1/4p2p/3pP2P/b1pP1B2/PnP2NP1/1P3PB1/1R1QRNK1 w - -,d1e2
4r3/2B4p/5k2/p4p2/2p5/8/PP1pB1PP/5K2 b - -,a5a4
rn1q1rk1/ppp1nppp/4p1b1/8/1b1PP3/2NBBN2/PPP3PP/R2QK2R w KQ -,e1g1
3r2k1/1B3p1p/p2P2p1/8/1b6/3R2P1/5P1P/6K1 w - -,d6d7
r1b2rk1/1pq1p1bp/n1pp1np1/p4p2/1PPP4/P1N2NP1/2Q1PPBP/1RB2RK1 b - b3,a5b4
r4rk1/2qbbppp/p2p1n2/npp1p3/3PP3/2P2N1P/PPB2PP1/R1BQRNK1 b - -,c5d4:a8c8:a5c4:f8e8
8/pkp5/1p2R3/3K1p2/P2Pp3/2P5/8/5r2 b - -,f1a1
4rbk1/5p1p/1r6/pPp1pB2/P2p2P1/3P1K1P/5P2/R1R5 b - -,e8d8
r4rk1/1pq1bppp/p1npbn2/4p3/4P3/PNNQB3/1PP1BPPP/R4RK1 w - -,c3d5
r4rk1/ppp2pbp/6p1/4p2q/4P3/1Pn1N1P1/P1PN1PKP/3RQR2 w - -,d1a1
3q1rk1/1b1nbppp/p2pp3/1p6/2r1P3/PNN1BP2/1PP2QPP/R4R1K w - -,a1d1
5rk1/1p3pp1/p3b2p/q1b1p3/Pn2B3/7P/1PP2KP1/Q1RRN3 w - -,f2e2
3rr1k1/1bq3p1/p3pnpp/2ppP3/2P5/1P2QN1P/P2R1PP1/1B1R2K1 b - -,d5d4
8/4ppk1/6rp/3Pr3/2R5/5BPP/5PK1/8 b - -,g6f6
3Q1k2/8/6q1/7p/8/8/8/5K2 b - -,f8f7
rnbqkb1r/1p3ppp/p3pn2/2p5/3P4/1BN1PN2/PP3PPP/R1BQK2R b KQkq -,b7b5
8/1pr4p/3pn1p1/1P2kp2/4p2P/4P1P1/4BP2/3R2K1 b - -,c7c3
3rr1k1/pp3pp1/2p1p3/6p1/3P1n2/2P2B1P/PP3PPK/3RR3 b - -,f4g6
4r1k1/5pbp/1q6/p2pB1p1/Pp1N4/1P3PPb/3Q1K1P/3RR3 b - -,e8e5
8/2r1bpkp/1R4p1/4p3/1p2P3/1B5P/P4PP1/5K2 w - -,f1e2
8/4kb2/2p2p1p/1p5r/1P2P2P/3BK3/2P5/5R2 w - -,f1h1
5rk1/p3bpp1/1p2p2p/1qr1P3/Q2pPBP1/5P2/1P5P/3R1RK1 w - -,a4a7
5r2/1R6/6kp/6p1/pP2R1P1/P5K1/3r1P1P/8 b - -,f8f2
4k3/6p1/5PP1/4K3/8/3nN3/8/8 w - -,e5e4
3r2k1/1b3pb1/p3r1pp/1p1N3n/P1P5/1P2BP2/2R2P1P/4RBK1 w - -,a4b5
5r2/1b4k1/pq1p1bp1/1prPpp2/5P1p/PQP1N1P1/1P4BP/3R1R1K w - -,g3g4
1k6/pbp5/1p5p/2n3p1/2P1p3/2PB1PP1/P1K3P1/5N2 w - -,d3e2
4b1k1/pr3ppp/4pq2/Q3N3/1PB5/7P/3r1PP1/4R1K1 w - -,a5c5
r1bk3r/1p2pQ2/pq1p2Pp/3P4/3b4/2P5/PP4PP/2KR1B1R b - -,d4c3
5r2/p6R/1p3P2/2p1k3/3p4/1P2b3/P1P1K3/8 w - -,h7a7
5rk1/p2p2bp/1p1np1p1/3q1r2/3PNPP1/2P2R2/P3Q2P/4BRK1 b - g3,d6e4
8/8/3pk3/R7/3p2r1/3K4/8/8 w - -,a5a6
2b1r3/p1p1q1k1/1p1p1n2/6p1/2PPp1P1/P1P1P2r/2Q1B1RB/2KR4 w - -,h2g1
3k3r/pq1npp1p/R5p1/8/2Nb4/R4NP1/4PPKP/8 w - -,a6a4
r2q1rk1/ppp2ppp/2np1n2/4P3/2P3b1/2N2NP1/PP1QPPBP/R4RK1 b - -,c6e5
2b5/8/5k2/2r2P2/P4R2/1P6/1KP4P/8 w - -,b3b4
3r1k2/pp5p/8/q1p1pp2/2N5/1P4PP/P3RP1K/3R4 b - -,a5c7
rn1qk2r/pbpppnbp/1p4p1/4Pp2/5P2/3P1N2/PPP1B1PP/RNBQ1RK1 w kq -,d1e1
1r6/R5p1/2kNp2p/2ppn2P/1P4P1/8/2K5/8 w - -,a7a6
r3q3/p5k1/1p2br2/2p2pp1/8/5N1P/PP1Q1PP1/R3R1K1 w - -,f3g5
5R2/8/8/4pP1K/5k2/7P/8/6r1 w - -,f5f6
8/7R/1B1p1b2/P2k3p/5p1p/r7/2K3P1/8 b - -,d5e4
8/8/R4kp1/7p/5P1K/2r3P1/7P/8 b - -,f6g7
r1bqr1k1/5pp1/pp5p/2R1p3/P2p4/1Q1P2P1/1P2PPBP/R5K1 w - -,c5c6
rn1qk2r/ppp1n1pp/3b1p2/3p1b2/3P3N/3BB2P/PPP2PP1/RN1QK2R b KQkq -,f5d3
r4rk1/1pqnppb1/p1np2p1/6P1/2P1P3/1NN1B3/PP2Q2P/3R1RK1 w - -,c3d5
6k1/1b2R3/5Qp1/p1qp1p1p/1n3N1P/1B3P2/PP4P1/2K5 w - -,c1d2
r4rk1/bp3ppp/p1n2q2/3p4/4bN2/1P2PNPP/P4PB1/R2Q1RK1 w - -,f4d5
2b1r1k1/4qpb1/4r2p/R1pBn1p1/p1Pp2P1/P2P3P/2NBP1Q1/5RK1 b - -,e6b6
r3kb1r/pp3ppp/2n1p3/1B1p4/3P4/1P2P3/1P3PPP/R1B2RK1 b kq -,f8d6
8/2p5/1pPpBk2/3P3p/1P3P1P/3K2P1/1b6/8 w - -,e6d7
r5k1/1R3pp1/p3p2p/PbrpP3/1R1N1P2/7P/2P3P1/6K1 w - -,g1f2
8/8/5k2/6R1/4pPP1/4r3/8/4K3 w - -,e1d1
8/pp2r3/3k4/P3b3/1P6/2PKR3/8/8 w - -,e3h3
4r1k1/p1rb1pb1/3p1qp1/Pp1P4/1BppPPB1/3P2Pp/1P5P/2RQ1RK1 w - -,g4d7
8/p3n1p1/1p6/3k1p2/6P1/1N3K1P/PP3P2/8 b - -,f5g4
8/4kp2/2p5/4PKP1/bP2B3/8/8/8 b - -,a4b5
6k1/pp2ppbp/3n2p1/3pN3/PP1P4/3BP3/2KN1n2/2B5 w - -,d3e2
r1bqkb1r/ppp2ppp/2n2n2/3pp3/8/2NP1NP1/PPP1PPBP/R1BQK2R b KQkq -,c8g4
2r2rk1/pb1n1ppp/1p2pn2/2q5/2B5/1P3N2/PBP1QPPP/R2R2K1 b - -,c5h5
rnq1k2r/pp2bpp1/2p2np1/3Pp3/2P1P3/1QN3P1/PP4BP/R1B1K2R b KQkq -,b8d7
r7/8/4N3/3K1k2/8/8/8/8 b - -,a8a5
r3rbk1/1b1p1pp1/p1n2q1p/1pp1p3/2P1P3/PB1P3P/1P1B1PPN/R2Q1RK1 w - -,c4b5
4r3/ppp1qpkp/3p2p1/3P4/4r3/7P/PPPQ1PP1/R3R1K1 w - -,e1e4
3r4/3q2k1/1p4p1/6N1/2p4P/Q1P1P3/PP1N2P1/1K5n b - -,g7h6
8/8/1K1Bp3/2NbPk2/7r/8/8/8 w - -,b6c7
8/1q6/1P5k/6p1/2P5/4Qp1P/1K6/8 b - -,b7f7
r1b1kb1r/2ppqppp/1np5/p3P3/2P5/1PN5/P3QPPP/R1B1KB1R b KQkq -,a5a4
r3k1r1/1p1bnppp/p3p3/q2pP3/7P/2NR1NQ1/PPP2PP1/2K4R w q -,f3d4
R3B3/5p2/1b2p1b1/1P4p1/Pkn5/4P2P/5P2/6K1 w - -,e8c6:g1h2
r4rk1/3npp1p/3p2p1/q1pP4/1pP1P3/1P1B4/2Q2PPP/2B2RK1 w - -,c1h6
3r3r/2k3pp/8/2p2p2/Pp3PP1/1P2K2P/3nN3/R2R4 w - -,g4f5
rn1r2k1/p3qppp/8/2PP1P2/RPQpp1P1/3B1N1P/2P4K/R7 w - -,a1e1
5rk1/R6p/6p1/4P2r/P5p1/1P6/4P1KP/3R4 w - -,d1d7
5k2/6p1/2p5/2Pp1PQ1/p2q2P1/P7/2K5/8 w - -,g5d8
8/2k5/3p4/3Pb2p/2P2r2/1R2K2P/3N4/8 b - -,f4h4
8/pp5p/2pk3r/3p2r1/3Pp1Pp/1P2Pn2/P1R1NP2/2K4R w - -,e2g3
1r2r1k1/1p2pp2/p2p1np1/2pP4/P1P1PPp1/2Q1Bq2/1P5R/R5KN w - -,a1f1
r2qr1k1/ppp2ppp/2np4/5b2/4NP2/P2BQN2/1PP3PP/2KR3R b - -,d6d5
r4r1k/p4p1p/1p2p2q/2p3p1/3P1B1b/5B1R/PPP2P1P/2K2QR1 b - -,g5f4
5b2/4p3/k2p1r1p/Pp1Pp1pP/1Pp1P1P1/R3N3/4KP2/8 b - -,f6f4
8/4q1k1/3p1pp1/2pP4/p1P2PP1/5K2/P7/7Q w - -,h1b1
8/r1b2ppk/p1r2n1p/1Np5/R5P1/4B2P/1P3PK1/R7 b - -,a7b7
r3r1k1/2pnqp1p/pp6/3Rbp2/4p3/4P2P/PPQ1BPPB/R5K1 w - -,a1c1
6k1/3n1pp1/q3pb1p/3n4/1pNB4/1N3P2/rPP3PP/3R1QK1 b - -,f6d4
3r2k1/5pp1/1q3np1/1p1Pp3/2p1P3/2P3NP/4Q1PK/3R4 b - -,f6e8
8/2prnk1p/p1n5/1p6/1P4p1/P2P1pP1/5P1P/2RRNK2 w - -,c1c5
r1bqr1k1/1pp2pbp/3pnnp1/p7/1PPNP3/2N1BP2/P3B1PP/2RQ1RK1 w - a6,a2a3
8/5pk1/p5p1/2r4p/PR4P1/7P/4rP2/R5K1 w - h6,g1g2
r1bqrbk1/1p2npp1/p1p2n1p/3ppN2/4P2N/1BPP1Q2/PP3PPP/R1B1R1K1 b - -,e7f5
6k1/p2r1pbp/R5p1/3rp3/3P4/4B3/PP3PPP/3R1K2 w - -,d1c1
1n1r2k1/3r1p1p/1p1ppbp1/pNq5/P1P1Q3/1P2P1P1/3R1PBP/3R2K1 b - -,g8g7
3r4/1p2k2p/p1n1p1p1/2n1Pr2/2B3N1/P7/1PP4P/1K2R1R1 b - -,d8d4
1k1r3r/pbp3pp/1p5q/4PQ2/2B2n2/N1P5/PP5P/R1R3K1 w - -,c4f1
4k3/7p/1pp2Rb1/p1B5/P6P/1B4R1/1Pn1rPPK/3r4 w - -,c5b6
3rn1k1/1p3ppp/p1rpp3/q7/2P1P3/1P1Q2P1/PR2NPKP/2R5 b - -,a5e5
1rb2rk1/1p5p/p5p1/2q1Pp2/2p2P2/5B2/P5PP/1RQR3K w - -,f3d5
r3r1k1/ppq1nppp/3p4/2pQb1B1/4P1B1/2P3P1/PP3P1P/R3R1K1 w - -,d5c4
r1bq1rk1/1p2b1p1/2n1p2p/3pPp1P/pPnP1PP1/P4N2/4NK2/RBB3QR b - g3,d8b6
6k1/5p2/7p/1R4p1/p5P1/P7/1Pr2PKP/8 b - -,g8g7
3r4/p3q1pk/1p1n2b1/2pRB2p/7P/5PP1/PP2BK2/3Q4 b - -,d6f7
r1b1k2r/pp2ppbp/1qn2np1/3p4/3N1P2/2PBP3/PP1N2PP/R1BQ1R1K w kq -,d1e1
8/8/1Q3p1p/4n2k/5r2/5P2/P5p1/6K1 w - -,g1g2
1rb1rnk1/1pq2p1p/p2p2p1/2pP4/P1PbPP2/1PNNn3/1B1Q2BP/R4R1K w - -,f1e1
r1b2rk1/2q1bppp/p2ppn2/1p5P/2nNP1P1/2N1BP2/PPPQ4/1K1R1B1R w - -,f1c4
r4rk1/1bqn2pp/p3p3/2ppPp2/5P2/5B2/PPPQN1PP/3R1RK1 b - -,d7b6
r1br2k1/1p2qppp/pQ2pn2/8/2P5/1N3BP1/PP3PP1/2R1R1K1 b - -,d8d6
8/8/7R/1p3k2/2n2P2/2P4P/1r2NK2/8 w - -,h6h8
r3k2r/p2nn3/1p2p3/2p2p1p/2PP1Pp1/P2BP1B1/4KP1P/2RR4 w kq -,f2f3
r1b2r2/p3nNbk/1pnB2pp/4pp2/PPB1P3/2P3P1/5P1P/RN1R2K1 b - -,g7f6
4r1k1/1pb4p/p5p1/P7/2bBp3/2P5/5RPP/4R1K1 w - -,f2b2
r4rk1/1p4pp/q1pnbn2/3pNp2/p2P1P2/P3P1N1/1PQ2P1P/2RR1BK1 b - -,a6a5
8/1b3k2/pPp3p1/3p2K1/1P1B1P2/P7/8/8 b - -,b7c8
r3kb1r/ppp2ppp/2n2n2/4p2q/3P2b1/5N1P/PPP1BPP1/RNBQ1RK1 w kq e6,d4e5
r2qr1k1/pp3pb1/nn4p1/1NpP1b1p/P4N2/6PP/1P3PB1/R1BQ1RK1 b - a3,d8d7
8/5p2/3k4/1p1p2p1/pP1P1PP1/P3K3/8/8 b - -,f7f6
rnb1k2r/ppq1npp1/4p2p/2ppP3/P2P4/2PB1N2/2P2PPP/R1BQK2R b KQkq -,c5c4
2r3k1/1p4b1/1p2b3/3np3/4NpP1/5P2/PPRB4/4RBK1 b - -,c8c2
6r1/4pp2/2Rk3p/3P1B2/8/6PP/r4P2/6K1 b - -,d6e5
4nrk1/1q1nppbp/r5p1/p3PP2/8/4BNNP/P2Q2P1/R4R1K w - -,a1b1
6k1/p4pp1/4n1p1/3B4/6P1/2P5/Pr2QP2/5K2 b - -,b2e2
2krr3/ppp2ppp/2n3q1/1N1p4/1b1P4/3Q1P2/PPP1N1PP/R4RK1 w - -,e2f4
r4rk1/pp1qbppp/4pn2/8/P1NB4/1P2P3/5PPP/R2Q1RK1 b - -,f8d8
rn1q1rk1/pbppb1pp/1p2pn2/5P2/2PP4/P1NB4/1P3PPP/R1BQ1KNR w - -,d4d5
6k1/4b1pp/b1p1pP2/p1p3P1/P1P4P/1P3N2/5P2/3N2K1 b - -,g7f6
2Qr1kr1/pp2pp2/8/2pP2p1/2P1R3/5n2/PPNB1P2/4R1K1 w - -,g1f1
1N6/1n2bk2/2p1p2p/2B1Pp2/8/8/6KP/8 w - -,c5e7
2r1b1k1/4qpbp/1p2p2p/pn2P3/P2P4/5N2/2p1NPPP/1RQ2RK1 w - -,b1b3
r5k1/pp3ppp/2r1b3/8/P2B4/2R5/5PPP/5RK1 w - -,c3c6
rnb2rk1/pp2q1pp/2pbpn2/3p1p2/2PP4/1PN1P1P1/P3NPBP/R1BQ1RK1 w - -,f2f3
r4rk1/pp2bppp/2p1pn2/P7/1nBP4/1PN1P2P/1B3PP1/R4RK1 w - -,f1d1
r1q2rk1/pp2p1b1/3pP1p1/2pB1pB1/6n1/6P1/PPP1PP2/R2QK2R b KQ -,c8c7
r3k2r/3n1p1p/1q2p1p1/3pP1P1/pp1P1N2/3QP2R/PP4P1/2R3K1 b kq -,e8g8
2kr4/1pp2r2/p1nbR2p/3q2p1/3p4/P2Q1N1P/1PPB1PP1/4R1K1 b - -,d6f8
8/6k1/1R5B/3bP3/1Pn3Bp/8/1r6/6K1 b - -,g7h8
r4rk1/2p3pp/p1n1bq2/1p1p4/8/2P2N2/PPBN1KPP/R1BQ4 w - -,f2g1:d2b3
3rn1k1/p3Qp2/2P1p1p1/4q2p/8/4PBP1/P4P1P/1R4K1 b - -,d8b8
1rbqkb1r/p1pn1ppp/4pn2/1p6/3PN3/3B1N2/PPP2PPP/R1BQ1RK1 w k -,d1e2
r1b2rk1/ppp1pqbp/2np1np1/8/2PPN3/1P3NP1/P4PBP/R1BQR1K1 b - -,f6e4
2r1rb2/1b1n1p1k/1p3qpp/1P1Pp3/2p1P3/1Q2BNPP/5PB1/3RR1K1 w - -,b3c3
r4r1k/p4ppp/1np1p3/6N1/3P4/8/PP3PPP/R2R2K1 b - -,h8g8
r1r5/1p1k2pp/1pn1p3/2bp1p2/6n1/2NP2PP/PP2PPB1/R1R1B1K1 b - -,g4f6
3r3k/pp1n2p1/2p4p/3q4/2NprP2/3Q2R1/PP4PP/5RK1 w - -,c4d2
3r3k/3B2p1/pp1P4/6p1/1P6/P3K1B1/7P/8 b - -,d8d7
2q2rk1/pp5p/1b4p1/8/1P2b3/4pNPP/PQ4K1/3B1R2 w - -,d1b3
8/2R1b3/3n1k2/p4p1p/3P2P1/4P1P1/P3KP2/8 b - -,h5g4
2r2rk1/pp3ppp/2qbpn2/3p1n2/3P1P2/P1NQP1PP/1P4B1/R1B2RK1 w - -,g1h2
1r2k3/3q1pp1/1p1p1b1r/p1pPp1p1/P1P1PnP1/2P1BP1P/1Q5R/1R1K1B2 w - -,b2a2
6k1/6pp/r1pp1p2/2np4/P2N1R2/R3P1P1/P1PP3P/1r4K1 w - -,f4f1
r4rk1/p3b1pp/qp2pp2/8/3PP3/P2R2B1/4QPPP/R5K1 b - -,a8c8
r1bqr1k1/ppp2pbp/2np1np1/4p3/3PP3/2PB1N2/PP1N1PPP/R1BQR1K1 w - e6,h2h3
8/1r4pp/ppk2p2/PR6/2KPP1P1/8/7P/8 w - -,d4d5
rnb1k2r/ppq1npp1/4p2p/2ppP2P/3P4/P1P5/2PB1PP1/R2QKBNR b KQkq -,b7b6
5rk1/2q2p1p/4pbp1/p1n1P3/PpPR4/5QP1/5PBP/3R2K1 b - -,f6e5
r2qr1k1/1p4pp/2nb4/p3pp2/2Pp4/1P1P2P1/P1N2P1P/R1BQR1K1 b - -,d8d7
1q4k1/pb1n1pbp/1p4p1/3Pp3/4P3/Q3BP2/P3B1PP/2N3K1 b - -,g7f8
r4rk1/1b1nbppp/p2pp3/q5P1/1P1BPP1P/2N4B/1PP1Q3/2KR3R b - -,a5b4
r1br2k1/pp3pbp/2n1p1p1/2P5/PP1N4/2P1P3/3N2PP/R2K1B1R w - -,d1c2
5n2/5pkp/p1qp4/1r4P1/1p3P2/1N2Q3/PPP5/1K1R4 b - -,f8e6
3r2k1/p1r3pp/bp1q1p2/4p3/PPP5/4QP2/N1R3PP/4R1K1 w - -,e1c1
r3k2r/1b1nbpp1/pqn1p3/2ppPP2/1p6/2PP1NN1/PP4BP/R1BQ1RK1 w q -,f5e6
rnbqn1k1/pp2b1pp/3p1r2/2pPp3/2P1PpB1/2N5/PP3PPP/R1BQNRK1 w - -,g4c8
r1bqk1nr/ppp1ppbp/6p1/1P6/1nP5/2N2NP1/P2PpPBP/R1BQ1RK1 w kq -,d1e2
3r1rk1/1pq2pp1/p1nbbn1p/2p5/2P5/P1NP1NP1/1P2BP1P/R1BQ1RK1 w - -,c1e3
r1bq1rk1/p2pnpbp/1pn3p1/4p3/3pP3/N1P2NP1/PP3PBP/R1BQR1K1 w - -,c3d4
rn1qkbnr/pppb2pp/3p4/5p2/3N4/8/PPP1PPPP/RNBQKB1R w KQkq -,g2g3
1rb2rk1/4p2p/1q1pp1p1/1p6/PPn1QP2/2N3PP/7K/R1B2R2 b - -,d6d5
3r2k1/pp4bp/1q2r1p1/5p2/4p3/2P3NP/PP2QPP1/R2R2K1 b - -,e6d6
