8/8/1p6/1P4p1/2Bb1k1p/7P/R5K1/4r3 w - -,c4e2
k1r4r/1bq1bp2/p2ppNnp/1p2n3/4P1P1/1P5P/PBPRNQB1/1K3R2 b - -,e7d8
5b2/1p3k1p/8/5PPK/P1p5/8/8/2B5 w - -,h5g4
8/4k1pp/8/2b1N3/5PB1/4p3/4P1KP/3r4 b - -,c5d6
4r1k1/6pp/p1r1p3/1pPq1p2/3P4/1Q3P2/P4P1P/B1R3K1 w - -,c1e1
3r2k1/4bb1p/2p2ppB/1n6/q1pPP3/2P2Q1P/3NN1P1/5R1K b - -,b5c7
r1bq1rk1/pp1nb1p1/2p1pn1p/8/3P4/3B1N2/PPP1QPPP/R1B2RK1 w - -,e2e6
8/5kp1/2R1n1p1/4PpB1/2Pp1P2/3P4/P5K1/3r4 w - -,c6a6
r2rb1k1/2q2ppp/3pp3/p5bP/1p1NP3/5P2/PPPQ3P/1K1RR3 w - -,d2g5
1rq1r1k1/4bpp1/pn2b2p/n1p1P3/1p2NP2/1Pp2NP1/P1Q2BBP/R2R2K1 w - c6,e4d6
r3k2r/q2bbppp/p1p1p3/1p2Pn2/2P2P2/1N1BBQ2/PP4PP/R3R2K b kq -,f5e3
r4rk1/p4ppn/1p1p2np/2pPpP2/2P5/2PB2P1/PR3P1P/2B2RK1 b - -,g6e7
5rk1/ppN3bp/3p1r2/2PPp1q1/1PB1P1bp/2R2N1n/P6B/3QKR2 b - -,f6f3
4rrk1/p3Q2p/6p1/q3pp2/3p4/1P6/1PP2PPP/R3R1K1 w - -,e7f8
3r2k1/pp1q2p1/3P3p/2r2b2/4pP2/7P/PP1Q1RBK/3R4 b - -,c5c6
r2q1rk1/1bp2ppp/1p1p1n2/2nPp3/pPP1P3/P4NP1/2QN1PBP/R4RK1 b - -,c5b3
1r3rk1/1B2Rppp/pN1Pbn2/5q2/7P/6P1/PP3P2/2RQ2K1 b - -,f6g4
r4rk1/1pqb2pp/p1n1p3/2pp2B1/3P2n1/2P2N1P/PPN1BPPb/R2QRK2 b - -,g4f2
r4rk1/pp1b1p1p/1bp2p2/3n4/5P1N/4P2P/PPBB2P1/4RRK1 w - -,g1h2
7R/1r1k1p2/1r1P1p1p/p7/4K3/4P1B1/5PPP/8 w - a6,e4f5
k7/1RK5/3BP1p1/p5r1/2P1r3/N7/P4pB1/8 b - -,f2f1q
4r1k1/3q1ppp/p7/1n1P4/1p2rN2/3QP1P1/PP4KP/3RR3 b - -,d7d6
3r2k1/pp3pp1/8/5P2/7p/2P1RB2/PP4P1/1KB2r2 w - -,b1c2
8/3nkpp1/1p2p3/3p3p/3P4/b1BNPPP1/4K2P/8 w - -,e3e4
4r1k1/5ppp/2p5/1b1p4/p7/P1P1BPP1/1R3KP1/8 w - -,b2b1
8/8/5p1p/p1pkp3/8/3PKNP1/br5P/R7 w - -,f3d2
r3kb1r/1q2pppp/p3bn2/1p2N3/3Q1BP1/2N5/PPP2P1P/2KR3R b kq g3,h7h6
k3r3/1p3ppp/p3q3/8/PP3Q2/6P1/2P2P2/3R2K1 w - -,a4a5
r5rk/1p5p/4p2b/p1PpPp2/P2B1P1q/8/1P1Q3P/5RRK b - -,g8g1
r1bqk2r/p2nbpp1/2n1p2p/1pppP2P/8/3P1NP1/PPP1QPB1/RNB2RK1 b kq -,c8a6
r4bk1/1b1n1ppp/ppq1rn2/4pNB1/P3P2Q/2NB4/1PP3PP/R4R1K w - -,c3d5
1Q6/pp6/2p1pq2/4kp2/8/P7/1PP5/1K6 b - -,e5e4
q1r1rbk1/1b3ppp/pp1pp3/2P5/4PP2/2N1nB2/P3NQPP/2RR2K1 w - -,f2e3
8/2R5/p7/1p6/1P6/2Pk1K2/P1r5/8 w - b6,c7c6
rnbq1rk1/4ppbp/p2p1np1/1PpP4/4P3/N1N2P2/PP4PP/R1BQKB1R b KQ -,b8d7:a6b5:e7e6:c8d7:f6e8
8/4kp2/4p1pp/n3P3/R4PKP/2r5/5P2/8 w - -,a4a5
6r1/4nr2/kp6/p6R/P2N1Bp1/2P3K1/1P3PP1/8 w - -,f4e3
rnbqkbnr/ppp2ppp/4p3/3p4/8/4PN2/PPPP1PPP/RNBQKB1R w KQkq -,c2c4
r1r3k1/1b2bppp/pq1ppnn1/1p6/P2PPB2/3B1N1P/1P1NQPP1/R4RK1 w - -,f4h2
7k/pp1b1rbp/1q2p3/1N1p1p2/2r2P1P/3Q4/PPP3P1/1K1R1B1R w - -,d3a3
8/5pk1/4p1p1/2K1P2p/5P1b/7P/2R2P2/8 b - -,h4e7
2rqk2r/pp1bnppp/2n1p3/2bpP3/7P/2PB1N2/PP2QPP1/RNB1K2R b KQk h3,a7a5
4n1k1/3q1ppp/8/p2p1PPQ/1p1Np3/1P2P2P/P2P2K1/B1n5 w - -,g5g6
1rq1r1k1/5pnp/pp1p1np1/2pP4/P7/N1NQP2P/1P3PP1/1R3RK1 w - -,f1c1
6k1/3R1b1p/1p1p1p2/5P2/r1p2P2/6P1/7P/4R2K w - -,e1e7
r3r1k1/6p1/3bb2p/3p4/3B1pP1/5P1P/P3P1B1/2R1R1K1 b - -,a8a2
3rr1k1/3pnpbp/p1qQ2p1/2p5/1pP2N2/1P4P1/P3PP1P/1RB2RK1 w - -,f1d1
r5k1/p1R2bpp/1p6/1r2p3/8/P3PN1P/1P3PP1/3R2K1 b - -,f7d5
r1br2k1/ppq2pbp/2np1n2/4pp2/4P3/1NN1BB2/PPP3PP/R2Q1RK1 w - -,e3g5
r2nkb1r/1p3pp1/pnb1p2p/4P3/8/P1N1BN2/1P2BPPP/R4RK1 b kq -,b6d7
rq1r2k1/1pp1npbp/2n1p1p1/p7/3PP3/PP3NP1/1BQ2PBP/R2R2K1 w - -,d1d3
4rr1k/1bq2ppp/2p5/1pP1P3/4PP2/2QB2P1/7P/1R2R1K1 b - f3,b7c8
6R1/1p2kp2/2b1p3/2P1P3/p4PP1/3B4/1KP3r1/8 w - -,b2c3
2r3k1/Q4pnp/4p1p1/6P1/b3p2P/qPpN1P2/B1P5/1K6 w - -,f3e4
6k1/8/6K1/5P2/5N2/7N/8/r7 w - -,f4e6
1r3rk1/ppnqbppp/4b3/2p1p3/2Nn4/P1NPB1P1/1P2PPBP/2RQ1RK1 b - -,f7f6
6k1/p1r3pp/8/1p6/2q5/7P/3Q1PP1/4R1K1 b - -,h7h6
r1bqk2r/pppn1pbp/3p1np1/4p3/2PPP3/2N1BN2/PP3PPP/R2QKB1R w KQkq -,f1e2:h2h3
r2n1r2/2p2ppk/1p1p3p/p2P1N2/4PR2/2PP4/P5PP/5RK1 w - -,f5d4
rn1q1rk1/1p2bpp1/2p4p/pP1p1b2/3Pn3/P1N2NP1/1B2PPBP/R2Q1RK1 b - -,b8d7
4r1k1/7p/pp3ppb/3p4/PPq2n2/5N2/1Q3PPP/B2R2K1 b - -,h6g7
r1qr2k1/pb3pp1/1p1bpn1p/7P/3N1B2/2PB3R/PP2QPP1/1K1R4 w - -,f4d6
2kr1b1r/p1ppq1pp/b1p5/3np3/2P5/1P6/PB1NQPPP/2KR1B1R b - -,c8b8:d8e8
4rk2/p2Q1p1p/1p3p2/3Pp3/P1N1P3/1q5P/1P4P1/5RK1 b - -,b3c4
3r2k1/pp3pbp/6p1/1Np5/1nP5/3n1P2/PP2KP1P/R2R4 w - -,f3f4
r1nq1rk1/pp3ppp/2p2b2/3p1b2/1P1P4/PQN1PN2/4BPPP/R4RK1 b - -,c8d6
4r3/1p4k1/p4p1r/2p2Bqp/2PbP2R/5QP1/P4PK1/7R b - -,g5d2
3rr2k/pp3pp1/q6p/3N4/2n5/P5P1/1PR2PQP/3R2K1 w - -,d1c1
r1b2rk1/3qppbp/1B4p1/3Pp3/2P2n2/1RN1Q2P/5PP1/1R3BK1 b - -,c8a6
r2qnrk1/pp2b1pp/2n2p2/1N1p4/4pPB1/1P1PP3/PB4PP/R2Q1RK1 b - -,f6f5
2r1r3/5p1p/2pB1bk1/ppP2pp1/3P4/3R1P2/PP4PP/4RK2 b - -,e8e6
3n2k1/p5pp/1p2pr2/3pN3/1n1P2q1/1N2R1P1/PP3PP1/2Q3K1 b - -,g4f5
8/2pb4/2p2pk1/2Qpq1p1/4P3/2N4r/PPP5/4K1R1 w - -,e1d1
r1k4r/pppn1nbp/4bpp1/4p3/2P4P/2B1PNN1/PP2BPP1/2KR3R b - h3,a7a5
r1bqr1k1/pp1n1pbp/2p2np1/4p3/2P1P3/2N2NP1/PPQ2PBP/R1B2RK1 w - -,h2h3
2rqr1k1/pp2bppp/2n1bn2/3p4/3P1B2/2NB1N1P/PP3PP1/2RQR1K1 b - -,a7a6
r2r2k1/pp1bbppp/2nNpn2/8/4N3/2P3P1/P3PPBP/R1BR2K1 b - -,f6e4
r4rk1/pp2q2p/2p1bnp1/3p1p1n/1P1P4/3BPN2/P1Q1NPPP/1R2R1K1 b - -,a8c8
8/4kb1R/5p2/p7/3n1P2/1P1PK3/8/8 b - -,d4b3
r4r1k/pp5p/2np2bq/5p2/3P3p/2PB3P/PP2NK2/R1Q3R1 b - -,f5f4
r2k1b1r/pp1b1p1p/n3pp2/1N1p4/3P4/2PB1N2/PP3PPP/R4RK1 b - -,a6c7
rnbqk2r/pp2bpp1/4p1n1/2ppP1N1/5PQP/3P4/PPP5/RNB1KB1R b KQkq -,e7g5
r1bqk1nr/ppp1ppbp/2np2p1/8/2P1P3/2N3P1/PP1P1PBP/R1BQK1NR b KQkq e3,e7e5
2r3k1/1r3pbp/4p1p1/pp6/2pPq3/P1P4P/NP2RPP1/4R1K1 w - -,e2e4
3r4/3rn1p1/n2pkp2/p1p1p2p/2P1N2P/1P2B1P1/3RPK2/3R4 b - -,d6d5
2r2bk1/p1qb3p/3p1np1/4p3/1pr1P1P1/1N2BPN1/PPPQ4/1K1R3R w - -,b3a1
8/1r2pkb1/p4p2/B6p/8/8/P4P1P/4R1K1 w - -,a2a4
b2r2k1/4npb1/1p1qp1p1/p3N2p/3P3P/PBB3Q1/1P3PP1/2R3K1 b - -,e7f5
r3rbk1/1pq2p1p/2p1nQbp/p2pp3/4P2P/2PP2N1/PPB2PP1/R1B1R1K1 b - -,f8e7
r1b1q2k/ppQ1Brbp/3P2p1/8/8/5pP1/PP2PP1P/R2R2K1 w - -,e2f3
r1b1k2r/pp2ppbp/4n1p1/8/8/2N1B1P1/PP2PPBP/R3K2R w KQkq -,e1g1
r1bqr1k1/ppp2pb1/2np1npp/4p3/4P3/1BPP1NNP/PP3PP1/R1BQR1K1 b - -,c6a5
b2r2k1/pq2bppp/8/2p1N3/PpN1n3/1Pn2PP1/3BP2P/R1Q2BK1 w - -,f3e4
2qr4/r2n1pk1/p4b2/2p1pB2/2P5/2BQ2P1/PP5P/3R2K1 b - -,c8c7
2rqnrk1/pp3pbp/2npp1p1/8/3PP3/2N1BP1P/PP1Q1P2/R3RBK1 b - -,f7f5
r1r2bk1/2q2pp1/p2pbn1p/2p1p3/BpPNP3/3P2NP/PP3PP1/R1BQR1K1 b - -,c5d4
1r3k2/1pr2bp1/1R3p1p/p3p3/P1P1B2P/1PK3R1/5PP1/8 b - -,f7e8
2rqr1k1/pb2bp2/1p2R1pB/8/2nP4/P1PQ1N2/2B2PP1/3R2K1 b - -,e7f6
3q1rk1/p4ppp/R2p1b2/r3pP2/4P3/1PNQ4/1P4PP/5RK1 w - -,c3d5
rn1qkbnr/ppp2ppp/4b3/8/2BpP3/2N5/PP3PPP/R1BQK1NR w KQkq -,c4e6
8/5pk1/p1P5/3K4/7p/3R4/8/2r5 b - -,g7g6
1r2r3/1p3pbk/p5p1/4qp1p/bP1NnN1P/P2QPBP1/2R2P2/2R3K1 w - -,c2c7
r2qk2r/ppp2ppp/4pn2/1b6/1bNN4/6P1/PPQ1PPBP/R1B2RK1 b kq -,d8d4
8/5k2/2N5/p7/r2pP3/2P1b1P1/4R1K1/8 w - -,g2f3
3r3k/ppb3p1/4prnp/1Ppn4/P1N5/2P4P/B2B1PP1/R4RK1 w - -,a1d1
8/pp3ppp/3k4/2p5/2P1pP2/2P1P1P1/P1K1B1bP/8 b - -,d6c6
2br4/6kp/p1n2np1/1p6/3P2P1/PR3N1P/1P3P2/4R1K1 w - -,b3d3
3r1rk1/1n4qp/p1pp1p1b/4pPp1/1PP1P2P/4B1P1/P2Q1R2/3B1R1K w - -,d1a4
2r4k/p5pp/3RQb2/2r2p2/4p3/P3P1P1/5P1P/6K1 w - -,d6d5
r4r2/1p4kp/p1p2q2/4p3/PP6/6P1/4QPBP/4R1K1 b - -,a8e8
r1bqr1k1/1ppp1ppp/2n5/p1b1n3/2P1N3/P3PN2/1P2BPPP/R1BQ1RK1 b - -,c5a7
r5k1/pb3pbp/1p4p1/6B1/1P6/4r3/PP4PP/6RK w - -,g5e3
r2q1rk1/1b1pbppp/ppn1pn2/6N1/2P5/P1NQP1B1/1P2BPPP/3RK2R b K -,a8a7
2bqrbk1/5p2/3p1npp/1rnPp3/2B1P3/5NNP/3B1PP1/R2QR1K1 b - -,b5b8
r2qkbnr/pp1b1ppp/2n1p3/3pP3/3P4/p1PB1N2/5PPP/RNBQK2R b KQkq -,b7b5:h7h6
7r/p7/2R1pk2/3p1p2/1P1P2r1/P5P1/5R1P/6K1 w - -,f2e2
2rq1rk1/pp2ppbp/3p1np1/7P/4P1b1/2N1BN2/PPPQB3/2KR3R b - -,g4h5
2r1k2r/1pqbbpp1/p2p1n2/4pPNp/2n1P3/2NB4/PPP1Q1PP/2BR1R1K b k -,b7b5
5r2/8/8/4p3/4Kp2/5R2/6k1/8 w - -,f3a3
4k3/3p1p2/2q1p3/2p1Pp2/p1P3r1/2QN2P1/5K1P/1R6 b - -,c6e4
5b2/ppq2ppk/2p4p/2n1p3/3nP1QP/1P2N1P1/PBP2PB1/6K1 w - -,g4d1
r2q1rk1/pp2bppp/2p1pn2/8/3PB3/4BQ1P/PPP2PP1/3R1RK1 w - -,e4d3
1k1r4/ppq3b1/2p2p2/4pp2/2PP1P1P/3NQ3/PP6/1K1R4 w - -,f4e5
6k1/p3qpb1/2p3np/1p6/4Q2p/2NB3P/PP3PP1/6K1 w - -,e4c6
5nk1/p5p1/1p5p/8/2Pq1p2/1P6/P4P1P/1Q3NK1 w - -,b1f5
r2qk2r/pp2bppp/2n1pnb1/2pp1P2/7N/1P2P3/PBPPB1PP/RN1Q1RK1 b kq -,e6f5
8/2b2bk1/p1q2p2/1pNp2pp/1PnPp3/P1Q1P1PN/4BPP1/6K1 w - -,g1f1
r2qkb1r/1bp2ppp/1pn1pn2/p2p4/4P3/2PP1N2/PP1NBPPP/R1BQ1RK1 w kq a6,f1e1
1rr3k1/1bq2pp1/p2ppb1p/8/np1NPP1P/4QBP1/PPPN4/1K1RR3 w - -,e4e5
r1bqk2r/pp2npbp/2npp1p1/2p5/4P3/2NP2PN/PPP2PBP/R1BQ1RK1 w kq -,c1e3
2r2bk1/1R3ppp/6r1/7n/3BP3/3p2PP/3N1P1K/R7 w - -,a1a7
r2n1rk1/pp1q2pp/2ppb3/3Np3/2P2P2/2R1P1P1/PP4BP/3Q1RK1 w - -,d5b4
1r2k3/1r3pp1/1pRRp2p/pPP1P3/P3P3/2K3P1/7P/8 b - -,b6c5
2r3k1/6pp/p3p3/6N1/1p3P2/1P6/P2R1KPP/1n6 w - -,d2e2
r4rk1/p2q4/4pp1n/3p3Q/7P/P5R1/5PP1/4R1K1 b - -,g8h7
rn1qk2r/pb2bppp/1p2pn2/2p3B1/4P3/5NP1/PPP1QPBP/RN2K2R w KQkq -,e4e5
r2r1bk1/1bq2p2/ppnpp1p1/3nP1Np/2BP4/N5Q1/PP1B1PPP/2R1R1K1 w - -,c4d5
r5k1/pp1bp1bp/1qp1n1p1/3pP3/P2P2PB/1BNQ3P/1PP5/2KR4 b - -,g6g5
4k3/7p/5p2/8/4P3/bR5P/6PK/r7 b - -,a3d6
8/7p/2Rp2p1/1P1k1p2/P7/1r1p2P1/3K1P1P/8 w - -,c6c3
2r1kb1r/pp1b1pp1/1qn1p3/3pPn1p/1P1P4/P4N2/1B2BPPP/RN1Q1RK1 w k h6,h2h3:d1d3
2k5/1bp2p1p/p3p3/1pn1P1p1/3r4/P1N1RP2/1PP3PP/2K2B2 b - -,h7h5
1r3b1k/2q5/2rp3p/p2Rp1pP/1p2PpP1/1P1Q1P2/1PPR1B2/1K6 w - -,d5b5
3B4/8/3p4/2kPp2p/b3Pp2/1pb2P2/P3B1P1/2K5 w - -,a2b3
8/5p2/2pk2pp/1p2p3/4P1P1/1B4P1/3K3P/1rN5 b - -,b1b2
4k3/5p1p/3p2p1/1r1Np3/1p2P3/1R3P2/6PP/6K1 b - -,e8d7
1rbq1rk1/p2pppbp/2n2np1/2B5/2P1P3/2N2P2/PP1Q2PP/2R1KBNR b K -,d7d6
4rr1k/p5bp/1pq5/2p1pp2/2P1N3/3P4/1P2QB1P/3RR1K1 b - -,f5e4
1r1q1rk1/1p2ppbp/p2p2p1/3Pn3/P1P5/1Q2B1PP/1P3PB1/R4RK1 b - -,e5d7
r5k1/pp3rbp/3Q2p1/3N1p2/3p4/5P2/PPP4P/7K w - -,d5f4
8/6p1/p1r2k1p/R7/4P3/5KP1/8/8 b - -,g7g6
4R3/b2r3p/6p1/1k6/4pBp1/8/4KP1P/8 w - -,e8e4
r1b1k2r/3nbpp1/pp1p1q1p/2pPp3/P1N1P3/2N5/1PP1BPPP/R2Q1RK1 b kq -,e8g8
1r1qr1k1/1p1b1pb1/p2Np1p1/n3P3/2P2PB1/2N1p3/PP4K1/2RQR3 b - -,d8h4
6k1/7p/3n2p1/p2p4/Nn1b1P2/6PP/1P2B3/4B2K b - -,g8f7
8/k7/2K5/B1N5/8/8/8/8 w - -,a5b6
r1bq1rk1/3n1pbp/p2p1np1/1p1Pp3/4P1P1/2N1BPN1/PP1Q3P/R3KB1R b KQ -,d7b6
3r1r2/4b1kp/2n1p3/ppp2pp1/6P1/PN1PPN1P/1PP3K1/3R1R2 b - -,a5a4
6r1/4k3/5b1P/4P3/4K3/3R4/1P6/8 w - -,e5f6
4r1k1/1p2q2p/2bR2p1/2P2p2/2P1pP1P/4Q3/6PK/3B4 w - -,h2h3
8/2n5/2N5/k5p1/6K1/1p6/1P6/8 b - -,a5b5
2rqkb1r/1p1bpppp/p1np1n2/6B1/4P3/1NN5/PPP1BPPP/R2Q1RK1 b k -,e7e6
2rr2k1/2q2pbp/4p1p1/p2n2P1/Np2QP1P/1P4N1/P1P1R1K1/5R2 b - -,d5e7
2r2rk1/3qppb1/pn4p1/1p1P2Pp/2p2P1P/7R/PPP1B1Q1/1KBR4 w - -,e2f3
1r1r1k2/1pn2p2/pNbpp2p/4b1pP/PPP1P1P1/4BP2/2R2K2/1R3B2 b - a3,c6e8
8/p1k5/5p2/2PK2pp/7P/Pb4P1/8/7B w - -,d5d4
2r2rk1/1q2bppp/pp1p4/2nNp3/2P1P3/1P2Q1P1/PB3P1P/2RR2K1 w - -,b3b4
8/6p1/7p/2k5/Q6P/2p1q3/P5PK/8 b - -,e3d4
5rk1/pp2pp1p/5bpP/2prq3/6P1/2P1B3/PP3P2/R2QK2R w KQ -,d1f3
1rb1Q3/p2q4/1pk1p3/n7/P1p2P2/4N1P1/3NK3/5B2 w - -,e8d7
1q2rr1k/1p2n1pp/4pn2/1pQpP3/1B6/6N1/PP2RPPP/4R1K1 b - -,f6g4
r3r1k1/p2nbp2/2p2np1/q2p3p/Np1P1B2/3QPP2/PP2N1PP/3R1R1K w - -,b2b3
6k1/1p2p2p/p7/3p2pP/2q1p1P1/2P5/PK4R1/4R3 b - -,d5d4
1r1q1rk1/3p2pp/1p2p3/P2nPp2/3P4/1N1R3P/1P4P1/2R2QK1 b - -,b6a5
8/p2k4/5r2/2p5/2Bn1p1N/P2P2P1/7P/4R2K w - -,e1f1
8/5k1p/4Rn2/6p1/K5P1/P4P2/8/8 w - -,e6f6
5rk1/1pq2ppp/7b/1PPp1b2/5P2/6P1/1B1N3P/R4QK1 w - -,b2d4
6k1/5pp1/Bb2pn1p/8/q2P4/P2Q1NP1/5P1P/6K1 b - -,a4c6
r2r2k1/pp2qppp/2n1p3/2P5/Pb6/1Q2PN2/1P3PPP/R1B2RK1 w - -,b3c2
3rr1k1/pp3pp1/5q1p/2p5/2Pp2b1/P2Q2P1/1P1RPPBP/5RK1 b - -,b7b6
r2q1rk1/1b3p1p/1p6/p2p1Pp1/P2Bn3/3B4/1P4PP/R1Q2RK1 w - -,f5f6
2rr2k1/pb6/2nb2qp/4pp2/P1Q4p/2N1NB2/1P3PPP/3R1RK1 b - -,g8g7
8/5k2/4n2K/8/8/2B5/7P/8 b - -,e6c5
8/3k4/1R6/3K3p/p7/1p6/8/r1B5 w - -,c1f4
2kr1b1r/ppp2ppp/4pn2/n4b2/1qPP4/4BN2/PP1NBPPP/R1Q2RK1 b - -,a5c6
1r2k1nr/2p2p2/4p3/p3PP1p/1nP1N1pP/2N1b1B1/1P4R1/2KR4 w k -,c1b1
3q1r1k/7p/p2Pp3/5p2/2n2P2/1r2B1QP/1b2N1P1/3R1RK1 w - -,e3d4
6k1/p5p1/1q3p2/8/2P5/P7/7P/4QK2 b - -,b6c6
r2qr1k1/1b1n1pbp/2pp2p1/1p2P3/4Pn2/1PP2N1P/1BQN1PP1/R3RBK1 b - -,d6e5
8/p1k5/1p4n1/1P1Pp2p/P3P3/4B3/6K1/8 w - -,g2g3
r2qnr1k/pp1n1ppp/2p1p2B/8/3bP3/6QP/PPP1BPP1/R2N1R1K w - -,h6g5
6r1/3R1R2/p5p1/2P3k1/1r6/1P3K2/8/8 w - -,d7b7
r2r1nk1/1qpb1pb1/1p4p1/2pPp1Pp/p1P1P2P/2NBBP2/PPQR4/1K1R4 b - -,b7b8
5rk1/p1rnqppp/8/2p1p3/4P3/P2B1N2/2QN1PPP/5RK1 w - -,d3b5
2kr1bnr/ppp1pppp/2nq4/1B1p4/5Pb1/1P2PN2/P1PP2PP/RNBQ1RK1 b - -,d6c5
r5k1/1b2bpp1/ppq4p/r3pP2/P1P5/4BB1P/1P4P1/R1Q2RK1 b - -,e5e4
r2qr1k1/1ppn2bp/3p2p1/3Ppp2/P1P1P3/P3BB1P/2Q2PP1/R3R1K1 b - -,f5e4
1rbq1rk1/2p2ppp/p1n2b2/1p6/2ppN3/5NP1/PP2QPBP/R1BR2K1 b - -,f6e7
rnbq1rk1/p2pppbp/1p3np1/2p5/2P5/1P2PN2/PB1PBPPP/RN1QK2R w KQ -,e1g1
4r1k1/p2p1ppp/1p1P4/2p1b1q1/4Q3/P3P1P1/4P2P/1R1R2K1 w - -,d1f1
8/6k1/3NNppp/3K4/4P3/5P2/8/5r2 b - -,g7g8
1r4k1/p4p2/3P2q1/8/8/4B1b1/P2Q2Rp/7K w - -,d2c1
2r2k2/4bp2/p2nb2p/1p1p2p1/3B4/PN2P3/1P2BPPP/2RK4 b - -,d6c4
3r2k1/pb3p1p/1p4p1/1N6/1P3q2/5P2/PQ2RKPP/8 w - -,b5c3
8/B7/2k3p1/1p5p/1K4nP/6P1/5P2/8 w - -,a7c5
7k/1ppq2pp/3p1b2/4n3/2Q3pP/pPPR1rB1/P1P2P2/2K4R w - -,g3e5
r2q1rk1/pp3ppp/2n5/3npB2/8/2P5/P1PB1PPP/1R1Q1RK1 b - -,d8c7
r3k2r/1p1n1p1p/p3pp2/q7/3NP3/2P5/P4PPP/1R1Q1RK1 b kq -,a5c7
8/8/5R2/6p1/4k1P1/p3P2P/r7/5K2 w - -,f6a6
r2r2k1/1p1b1ppp/p3p3/q3n3/4B3/2N1Q3/PPPR1PPP/2K4R w - -,d2d4
r1b2rk1/pp2q2p/1n1p2p1/2pP2Nn/4PP2/2N4P/PP1Q2B1/R4RK1 b - -,h7h6
8/5p2/1p4p1/6k1/8/4P2P/1r3PK1/2R5 w - -,g2g3
2k4q/pp3p2/2pb1n2/3p1b1r/3P2p1/1N1BP1P1/PPP1NPQ1/2R3K1 w - -,d3f5
r3kb1r/1bqn1p2/p2ppp2/1p5p/3NPP2/2NB4/PPPQ2PP/1K1R3R w kq -,h1e1
1rbq1rk1/pp2bppp/2nppn2/2p5/4P3/2NP1NPP/PPP2PB1/R1BQ1RK1 w - -,c1e3:a2a4
8/8/2R5/p1pp3p/P4k2/2PK4/7r/8 b - -,h2h3
5r2/3k3p/1r1pp1p1/2n5/p1PN4/4R3/1P1R1PPP/4K3 w - -,e3h3
r5rk/1q4Rn/p3p2Q/4P1b1/P2Bb3/2pB2R1/1PP4P/6K1 w - -,g7b7
6k1/6p1/8/5pq1/3R4/4PK2/5P1P/8 b - -,g5f6
4rrk1/3q2np/3p2p1/R1pP1p1b/2P1P3/1PQ2N2/3N1P1P/3K2R1 w - -,e4e5
8/p7/3kP3/5K2/8/PP2N2p/7r/8 w - -,f5g4
r2r2k1/p3npb1/3Bq2p/1BPpP1p1/Q3N1P1/7P/P4P2/2RR2K1 b - -,d5e4
4r3/p6k/1pR1N3/4P2p/4K1nP/6B1/PP1b4/8 w - -,c6c7
6k1/5p2/1p2q2p/p5pP/P5n1/2Q5/6P1/4R1K1 b - -,e6d7
