8/K3k3/P7/8/8/3R4/8/1r6 w - -,d3h3:a7a8
1r1qr1k1/2pb1pbn/p2p2pp/8/1n2PPP1/2N1B1NP/1PPQ2B1/R4RK1 w - -,c3e2
6R1/P5kp/5b2/4p3/4bp1q/8/8/5QK1 b - -,g7h6
2r2rk1/pb3pbp/1qnB1np1/8/2B1P3/P4P2/1PQ1N1PP/3RK2R b K -,f8e8
r1bq1rk1/1ppn2bp/p1np2p1/5p2/1PPP4/P1N1BP2/3Q2PP/1RN1KB1R w K -,f1e2
r2q1rk1/1pp1b1pp/3npp2/nb2N3/p2PP3/P1B1Q1P1/1P1N1PBP/R1R3K1 w - -,c3a5
4Q1rk/p6p/1p2R3/1B1p1p1q/P2Pnp2/1Q6/1P4KP/6B1 w - -,g2f1
4k3/8/3Kp3/3pp3/2p5/PP3P2/2P5/8 w - -,d6e5
3r2k1/2pqpp2/p5p1/3r4/3P2PP/Pp2Q3/1P6/1K1R3R w - -,e3b3
Q3k3/4p2q/3p1p2/6B1/6P1/1Nb5/P1P5/1K6 b - -,e8f7
5bk1/7p/b4p2/4pN2/1P2P2P/2p2P2/2P5/1K2B3 b - -,f8b4
1Q6/5ppk/7p/3qP3/8/1P4P1/5PNP/n6K w - -,b8d6
8/3n4/6pp/1P1kp3/4N1PP/4K3/8/8 b - -,d5c4
r1b5/p1Q5/4p3/1p1pPq1P/8/kPP2P2/4K3/3R2R1 w - -,d1b1
rr4k1/5p1p/2nqp1p1/1pNp4/1PnP1P2/2P2NP1/R3Q2P/5RK1 w - -,f1a1
r2r2k1/1b3ppp/p3pn2/1pq5/4P3/P1P2N2/2B1QPPP/R2R2K1 w - -,d1c1
r4rk1/p1q1p1bp/1p3pp1/n1pPP2n/Q4P2/2N1B3/PP3P1P/R3KB1R w KQ -,f1g2
r2qr3/6bk/p2PQnp1/2p1N2n/2p2P1P/2N4R/PP1B4/R3K3 w Q -,e6f7
6k1/7p/6pb/5p2/1PNp1P2/3P2K1/4r2P/5R2 b - -,g8f7
r1b2rk1/pp3ppp/2n5/2bp4/5B2/3BPN2/PP3PPP/R3K2R w KQ -,e1g1
r1b2rk1/4qpbp/p1p1nnp1/2Pp4/P2Pp3/RNN1P3/2Q1BPPP/2B1K2R w K -,c3a2
2n3k1/ppp4p/2n1p1p1/1BPp4/3P1R2/6P1/PP5P/6K1 b - -,c6d8
5rk1/pbqnr1pp/1p1n4/2p1pp2/2PP4/P2BP3/1BQNRPPP/3R2K1 w - -,d4e5
rr4k1/1n4pp/pn1p4/1ppPp1P1/4N1q1/1PP1B3/P1QR1P1K/R7 w - -,e4g3
r2qk2r/3nbp2/2p1p1pn/pp1pPb1p/3P1P2/P1NBBN1P/1PP3P1/R2Q1RK1 w kq -,e3f2
r3r1k1/pp2qpbp/2ppb1p1/4n3/4PB2/P1N4P/1PPQBPP1/1R2R1K1 b - -,a8d8
2kr1b1r/pppq1ppp/4pn2/8/1PPP1n2/1Q2NB2/P4PPP/R1B2RK1 b - -,g7g5
7r/2kb1pp1/2ppp3/p5P1/2P5/P7/1P2PP2/R3K2B w Q -,h1f3
4r3/4Pk2/4R3/5p2/7p/5P1P/r5P1/4R1K1 w - -,e6h6
8/1p6/2b2k2/P4p2/2N3rp/3K4/7P/4R3 w - -,c4d6
3q1rk1/6b1/p2pb2p/1r1Npp1Q/3n4/4N1P1/PP3PBP/R4RK1 b - -,f5f4
8/3b2k1/5p2/2R4K/3P4/4r3/8/8 w - -,d4d5
7n/6pk/6r1/5QB1/7K/8/8/8 b - -,h7g8
6k1/Q4p1p/3P1bp1/3n4/2B2P2/7K/7P/3r4 w - -,c4d5
8/R7/5p1p/p1p2k2/3P3P/1r3P2/4K3/8 w - -,a7a5
rn1qk2r/pb1p1ppp/1p2pn2/2p5/2PP4/P1PBP3/5PPP/R1BQK1NR w KQkq -,g1f3:f2f3
r1b2rk1/pqN2ppp/1p2pn2/N1b5/2R5/4P1B1/P1Q2PPP/5RK1 b - -,b6a5
8/1p6/p4p2/4k1pp/7P/1P2K1P1/1PP2Nb1/8 b - -,g2f1
8/3r1pkp/p5p1/4p3/8/1P5P/P1R1qPPK/2Q5 b - -,e2e4
2rrq1k1/p3bppp/bpn1pn2/2pp4/2P5/1PNPPNPP/PB2QPB1/2RR2K1 b - -,a6b7
8/2p1r1k1/1p3p2/1P1p1qpp/2bP4/2N1P2P/1Q3PP1/3R2K1 b - -,e7e8
r1bqr1k1/1pp1bpnn/3p2p1/3P4/1PP1PBP1/2N5/4B2N/R2Q1R1K b - -,a8a1
7k/1b2q1pp/p5n1/1p1p4/3P4/1B1P2P1/PP1Br2P/3QR1K1 b - -,e2e1
6r1/1PR5/3pNk2/3Pn3/4P2p/5p1P/5N2/5K2 b - -,g8b8
2r1r1k1/8/pq2nbpB/2p1pp2/1pPn4/3P1NNR/PP1Q1PP1/3R2K1 w - -,f3d4
3r2nk/pp1r1pb1/3p2pp/2p5/2P1P3/1Pq1BPPP/P2Q2BK/3RR3 w - -,e1e2
3r4/pQ4pk/7p/1P3b1q/5BnP/6P1/P4P2/4RBK1 b - -,d8d7
8/8/R7/8/2k3KP/p3rB2/8/8 w - -,h4h5
1r2k2r/2qn1pb1/b1pp1npp/p7/3PPNP1/1QP1N3/P5BP/R1B1R1K1 w k -,b3a4
r3k2r/2pqb2p/p1p1bpp1/1pn1p3/P1N1P3/3PB3/1PPN1PPP/R2Q1RK1 w kq -,a4b5
r1bq1knr/ppp4p/1n1p3b/4pN2/4PpQ1/2N5/PPP2BPP/R3KB1R w KQ -,f2h4
2R5/1P1n4/4k3/4b2p/5p1P/5P1K/6P1/8 w - -,h3h2
r1b2rk1/pp3ppp/1Nn1p3/8/3bN3/6P1/PP2PPBP/R1BR2K1 b - -,d4b6
1k2rR2/2q4p/pp4p1/2pp4/P2n1Q2/1P1R3P/6PK/4r3 w - -,d3d4
8/5pk1/1p3n1p/p1p2Pp1/P1Pq4/1P2p2P/2B1Q1K1/8 w - -,g2g1
3r2k1/1q1r1pb1/p4npp/1p2p3/6P1/P1P1B2N/1P2QP2/R3R1K1 w - -,g4g5
8/5pp1/3Rb1k1/6N1/1K5P/r1p2PP1/P7/8 b - -,c3c2
8/7p/5k2/R7/p1N4P/8/5PK1/r7 b - h3,f6e6
r3n2k/6b1/1RP4p/6p1/3P4/2N1Pq2/P4P1B/2R3K1 b - -,h6h5
1r1q1rk1/1p1b2bp/p5p1/P1pPpp2/2B1P3/2N4P/1PQ2PP1/R4RK1 b - -,g8h8
2r3k1/1p1q2bp/pQ4p1/4Pp2/3p1P2/3P3P/2r2BP1/1R3RK1 w - -,b6b7
r2qnrk1/6pp/pp1p1bn1/2pP1b2/P1N5/2N3BP/1P2BPP1/R2Q1RK1 w - -,e2g4
3qQ1nk/rpNn3p/3P1bp1/p1p5/2P2P2/1P5P/P5B1/2R2RK1 b - -,f6d4
1r4k1/r3bpp1/2qpb2p/1pn1p3/1B2P2P/1P2N1P1/2P1QPB1/R5K1 w - -,a1a7
2rk3b/1p3p2/p2pb3/3N2p1/4Pp2/8/PPP1B1P1/2K4R b - -,h8e5
rnb2rk1/2q2pbp/3p1np1/p1p1p3/2p1P3/PP1P1NP1/1B1N1PBP/R2QR1K1 w - -,b3c4
r1r3k1/4Rpp1/3Bp1b1/pqPp3p/3P2PP/2R1PP2/5Q1K/8 w - -,g4h5
8/8/2p5/4Q3/p7/5q1p/7P/K5k1 w - -,a1b1
6k1/1p2pp1p/2b1n1pb/4P3/2P5/r1pP2BP/4BPP1/N2R1K2 b - -,c6a4
4k3/3nbppp/bn1p4/p2Pp3/q1p1P3/B1P2B1P/P4PP1/1N2NQK1 w - -,f1e2
rnbqkb1r/4nppp/2p1p3/pp1pP3/3P4/PB3N2/1PP1NPPP/R1BQK2R b KQkq -,b8d7
r4rk1/2p4p/1n1b2p1/1P6/p1PpRN2/5pPP/P1B2Pn1/1RB3K1 b - -,g2f4
r7/5pk1/1R2Pn2/3P2p1/2N5/P4P2/6PK/8 b - -,f6d5
3R4/8/1pk1pBp1/2b4p/P4P2/1PK1r1P1/8/8 w - -,d8d3
1r2r3/1p3qkp/pbpp1p2/5P2/1P3BQ1/P5P1/6KP/4RR2 b - -,g7h8
r1bqk2r/ppp2p2/8/3Np2p/2Pnp3/3P4/PP4BP/R2Q1RK1 w kq -,d5f6
5k2/R7/4p1p1/4P3/1r3K2/8/p7/8 w - -,f4g5
r2q2k1/p2r1pp1/4pn1p/2p5/N1P5/P4Q2/1P3PPP/R3R1K1 b - -,d7d3
r3r1k1/1bq2p2/p3p2B/1pp1bP2/7Q/2NP4/PPP3PP/4RRK1 b - -,e6f5
2r1qr2/pp1bp1bk/3p1npp/2nP1p2/3N1B1P/2N3P1/PP1QPPB1/2R2RK1 b - -,e8f7
r4rk1/pb1n1pb1/1p3npp/2p1p3/4P2B/1BP2N1P/PP1N1PP1/R3R1K1 b - -,g6g5
1r4k1/3n1pbp/p2qRnp1/2p5/NpP5/1P1B1Q1P/P4PP1/2BR2K1 b - -,d6e6
3rrnk1/pbq1bppp/1p2p3/1Pp1P3/P1P1N3/2Q2NP1/2R2PBP/4R1K1 b - -,d8d7
R7/pr2k3/5R2/5P1r/7p/2K3pP/P5P1/8 w - -,f6f8
1r4k1/1p3pp1/p1pp1b1p/5Pr1/2P1PN2/1P4PK/P3R3/5R2 w - -,f1f3
8/4k3/R4p2/6p1/8/7P/P2r2P1/5K2 w - -,a6a7
6k1/4np2/4pbp1/8/3P1P2/2qQ1NPK/8/3R4 b - -,c3b2
4k1N1/p3P1n1/r4p2/1p4p1/7p/7P/6P1/4R1K1 b - -,f6f5
8/4r1kp/2R3p1/p1pB4/2Pb3P/1P3KP1/P7/8 w - -,g3g4
r1r3k1/2n1qpbp/3p2p1/1p4P1/p1PpP2P/P6B/1PQN1P2/1K1R2R1 b - -,c7e6
1R6/4bkpp/8/8/1p3N2/1P2K1P1/2P4P/5r2 b - -,f1c1
3rr1k1/2pq1pp1/1p3n2/p1p4p/2Pp2b1/PP1P1BP1/3NPP1P/R2QR1K1 w - -,d1b1
r4rk1/1p1bqpbn/p2p2p1/2pPP3/P4P1p/2N1B3/1P1Q1NPP/2R2RK1 b - -,d6e5
6k1/R4p2/4p2p/p5p1/7P/5PK1/r5P1/8 b - -,g8g7
r3r2k/1b1q3p/pp2pp2/2b5/2PpPP2/3B2R1/PB2Q2P/3R2K1 w - -,e4e5
6k1/1p2p3/6n1/2r1pR2/p1P5/6P1/PP5P/R5K1 w - -,b2b3
8/8/5r2/3K4/5k2/8/6Q1/8 w - -,g2e4
2n5/p1r1kpp1/1r1bp2p/2Np4/1PnP4/2PB1P2/R5PP/R3B1K1 w - -,e1f2
3r2k1/6p1/1p3p2/1P6/6QP/5PK1/3pq3/3R4 w - -,g4a4
8/PR6/3kp3/5p2/r4P2/3p4/3K4/8 b - -,d6d5
r1b2rk1/2qnb1pp/p3pp2/1pppP3/3N1P2/P1NP2P1/1PPB1QBP/R4RK1 b - -,c5d4
r4rk1/p3q1p1/2p1n3/3p1b1p/8/2N2PB1/PPPQ2PP/R4R1K w - h6,h2h3
5b1r/p4p2/3r1k2/2R5/P2pBp2/1p4P1/1P3PK1/R7 w - -,c5f5
rnbqkb1r/1p3ppp/p3pn2/8/P1BN4/4P3/1P3PPP/RNBQ1RK1 b kq -,f8d6
8/1p6/p4p2/7p/4KP1k/8/PP3P2/8 w - -,e4f5
3bk3/1p3p1p/p5p1/n1N1pN2/1P2P3/P5P1/2R2PKP/3r4 w - -,f5e3
2kr4/1pqr2p1/p3N2p/4bp1P/2P1n3/1PB3P1/P1KRQP2/4R3 b - -,e5c3
8/8/4nkp1/8/p1PbKp1P/8/P2R4/8 b - -,d4e3
1r6/p5kp/2p2bp1/8/5P2/1P1b2P1/P3NK1P/2R5 w - -,c1c6
rn1qk2r/pp2bppp/2p1pnb1/8/2QP3N/4P3/PP1N1PPP/R1B1KB1R w KQkq -,h4g6
8/4p3/4P3/p1pP1k2/PpP3p1/1P2R3/4N2q/4K3 w - -,e1d2
5k2/5p2/1R2p3/P2r4/1K4p1/8/2P5/8 b - -,d5d1
3rr1k1/p4ppp/2p5/2N5/1pQ1P3/1PB2P1q/P3B3/2R2K2 w - -,f1f2
2r2nk1/1q2b1p1/pP1p4/2pP3Q/2P1pP1P/8/3B1K2/1RN5 w - -,d2c3
8/B7/8/p4kp1/1P5p/2P3bP/2r3P1/1R3K2 b - b3,a5a4
3r1bk1/1q4pp/r3pp2/p1p5/PnN2B2/3P2P1/4PP1P/1QRR2K1 b - -,h7h5
2r5/p1r2p2/R3R1k1/2p2p1p/P1p1P3/2B2PP1/1P3K1P/8 b - -,f7e6
1r1qr1k1/pb2bp1p/1n1p1np1/2pP4/P1B2B2/1PN3N1/2Q2PPP/R2R2K1 w - -,c4b5
rnbq1rk1/1pp1bppp/5n2/p2Pp3/2P1P3/P1NB1N2/1P4PP/R1BQK2R b KQ -,e7c5
2r3k1/1p1b3p/3nN3/p2P4/4p1R1/1B5P/Pb2NK2/8 b - -,g8h8
r3kb1r/2q2p2/pp1p1np1/3Pn2p/3N4/4BB1P/PPP3P1/R3QRK1 w kq -,d4c6
8/p1n2kp1/7p/2bpP3/2p2Pb1/2P2NP1/4K2P/4R3 w - -,e1h1
r1b1qrk1/pp1p1ppp/2n5/2p3B1/2B1P2Q/8/PP3PPP/3R1RK1 w - -,f2f4
6k1/1p3r1p/3PN1p1/p1p1K3/1R4P1/3r3P/4R3/8 b - -,c5b4
r1b1r1k1/2p2pp1/p4n1p/5N2/6P1/3BB2P/Pb3P2/3R1RK1 w - -,d1b1
8/p1r2k2/4p1pp/p2pP3/b2B1P2/2P3P1/1R4P1/4K3 w - -,b2a2
4R3/5rk1/7p/6pP/6P1/4KP2/8/8 b - -,f7a7
r1bq1rk1/ppp1ppbp/1n4p1/4P3/3n4/1B3N1P/PPP1QPP1/RNB2RK1 w - -,f3d4
1r2k2r/2q2pp1/2bp1n1p/p1p1pP2/2P1P1P1/1P1B1Q2/P2B3P/1R3R1K b k -,c7b7
rnbqkb1r/1p3ppp/p2ppn2/8/3NP1P1/2N1B3/PPP2P1P/R2QKB1R b KQkq -,h7h6
rnbqr1k1/p1p1bppp/2p5/3pP3/3N1B2/2N2Q2/PPP2PPP/R4RK1 b - -,e7c5
5br1/NprkpNp1/p6p/2nP4/2nB4/8/PP3PPP/R2R2K1 w - -,a1c1
r3kb1r/1ppbnppp/p1p5/8/3NP3/4B2P/PPP2PP1/RN2K2R b KQkq -,e8c8
r4rk1/1bq1ppbp/pNn3p1/1p6/P7/2P1BN1P/1P2QPP1/R4RK1 b - -,a8b8
r1r3k1/pp1bqp2/6pb/4p2p/1P1pP3/3P2P1/P2N1PBP/1RRQ2K1 b - -,c8c1
r1b2rk1/2q1bppp/pn1p1n2/1p1Pp3/1Pp1P3/2P2N1P/P1BN1PP1/R1BQR1K1 b - -,a6a5
rn1q1rk1/pb2ppbp/3p1np1/1pp5/3PP3/2P2N1P/PPB2PP1/RNBQR1K1 b - d3,b8c6
r1bq2k1/p1r3pp/1pp1p3/3n1p2/3P4/Q2NP1P1/P2R1PBP/2R3K1 b - -,c8b7
r5k1/1b2ppb1/pq1p2p1/6Pn/Npr1P3/P4P1B/1PPQN3/2KR3R b - -,b6c6
2r2rk1/ppqbbpp1/2nppn1p/8/4P2B/P1NQ1N2/BP3PPP/R2R2K1 b - -,f8d8
