2r5/8/4p1k1/1R4p1/1P2N3/7P/6P1/6K1 b - -,g5g4
1R6/8/4pk2/3p4/PRp1n1p1/6P1/5P2/r5K1 w - -,g1g2
3r4/4k3/1p1p1p2/p3pP2/2P1BnPp/1P2K3/P2R3P/8 w - -,h2h3
1rq1rbk1/p1p4p/2Q2pp1/8/3P1N2/2P5/P4PPP/3RR1K1 b - -,e8e1
7r/8/2p1pk2/1pPp1p2/pP1K1PpN/6P1/4R3/8 w - -,e2e3
8/1r3ppk/r3p3/P1n1P3/2R5/bpB1P2P/5PP1/1R4K1 b - -,g7g6
3r2k1/1p3ppp/p1b1pn2/q7/Pb6/1P1B2N1/1BP1QPPP/3R2K1 w - -,b2f6
5r2/5r1k/1q5p/1pNn4/1P5N/R5Pb/5P2/Q3R1K1 w - -,a1b1
4Bb2/7k/3p3n/p3p3/2P1P2B/2P3N1/PnR1K3/1r6 b - -,b2c4
r3r1k1/1bp2ppp/1b3n2/p1pp4/4P1P1/2PBBP1P/PPNK4/R6R w - -,e4d5
2r1rk2/1ppq1pbp/p1npb1p1/3Np3/Q1P5/3PP1P1/PP1B1PBP/R4RK1 b - -,c6d8
r4r2/2p2ppk/1p3nnp/p1N1p3/P3P3/1P2B1QP/1q3PP1/R1R3K1 w - -,c1b1
5rk1/pp2qp2/1bp3pp/4P2n/3rPPB1/PQN5/1P4PK/3R1R2 b - -,e7h4
rnbqk2r/pp1pbppp/4pn2/2p3B1/3PP3/3B4/PPP2PPP/RN1QK1NR w KQkq c6,g5f6
r7/P6p/8/1k6/2pp1PP1/8/3K4/R7 w - -,a1b1
r2k4/1p5p/p4b2/1b1Bn3/8/6N1/P4P1P/3R1RK1 b - -,d8c7
r1b1k2r/1p2bppp/pqnpp3/5N2/4PP2/2N1Q3/PPP1B1PP/2KR3R b kq -,b6e3
1r1q2r1/p6p/4Q1n1/2kp4/8/1P5P/P4PP1/R3R1K1 w - -,e1c1
3r1r2/1p5p/2p4k/2R2R2/p2P2p1/P4nP1/1P2NK1P/8 b - -,f8f5
4q1k1/ppp2pbp/3p2p1/3P1b2/5B1P/2P3P1/PP1Q1PB1/6K1 w - -,d2e3
2k2b1r/pp6/2p1p3/2n2p1p/2B2P1P/P1P3B1/1PK2P2/3R4 b - -,b7b5
1r4k1/2rp1pb1/1q4p1/n4p1p/3P3P/1pN1PBP1/1P1NQP2/R5K1 b - -,c7a7
2r1kb1r/pp1b1ppp/2n1pn2/1N6/8/2P1BN2/PP2BPPP/3RK2R w Kk -,e1g1
6k1/5r1p/3r3p/1p5R/p1bP1N2/P3P3/6P1/2R3K1 b - -,d6d4
3r4/p3ppb1/1p2b3/2p1P1k1/2P3pN/1P2N1P1/P3RPK1/8 w - -,f2f4
r4r1k/1b1qppbp/pp1p1np1/2pP4/P3P1P1/2PB1N1P/1P1NQ1P1/4RRK1 b - -,a8a7
4r3/5p1k/p2Rn1rp/8/2R2B2/7P/PP3P2/5K2 w - -,f4e3
2r3k1/p6p/2P3p1/4r3/6P1/1q3R2/P1R2P2/6K1 w - -,f3b3
2q1k3/1p2pp2/p1rpn1p1/3NP2r/1R3P1p/P6P/1PPQ2P1/1K1R4 w - -,f4f5
1rb1r2k/3pq2p/pPpRn1p1/4P3/NP3p2/2Q2P2/P1B3PP/4R1K1 w - -,c2b3
8/Rpk2K2/3b4/2pP4/2B5/1P2r3/1P6/8 b - -,e3e1
2bqk2r/r4ppp/p1np1n2/4pP2/1p2P3/1NNB4/PPP1Q1PP/2KR3R w k -,c3a4
3rk3/5p2/4p3/2q1Pp1p/bp1p1P2/5RPP/P1P2Q2/3R2K1 w - -,f3d3
r6r/pN1nkpp1/1q2p2p/2n4P/8/1Q2KN2/PPP2PP1/R6R w - -,b3b6
r2q1rk1/ppp2pbp/3p2pB/4n3/2PnP3/2NB3Q/PP3PPP/R2R2K1 b - -,c7c6
7r/3k4/2p1p3/1pPp1p2/pP3Pp1/3N2P1/R5K1/8 b - -,h8a8
8/p1k3pp/8/1R6/3bNP1P/5KP1/PPr5/8 w - -,e4g5
rnbq1rk1/pp1pppbp/5np1/8/3p4/1P2PN2/PBPN1PPP/R2QKB1R w KQ -,e3d4
8/8/4k1p1/1R5p/5PnP/6PK/1p2r3/6B1 b - -,e6d6
r2q1rk1/1bpn1pbp/p5p1/3Pp3/1p2P3/5NP1/PPQB1PBP/R2R2K1 b - -,f8e8
r3r1k1/5ppp/2N2q2/3p4/6b1/3P4/PP1Q1PPP/R1R3K1 w - -,f2f3
r1r3k1/1p1q1bpp/1bp3n1/p2pPpP1/1P1PnN1P/P2BBN2/1Q3PK1/R6R b - -,h7h6
5r1k/ppp3np/3pB3/3P4/2P2r2/4N1qP/PP1Q2P1/4R1K1 w - -,e3g4
r5k1/1p2qp2/4b2p/6p1/r7/P4BP1/1Q3PP1/R4RK1 b - -,a4a3
3r4/8/8/4K3/4B3/7R/4k3/8 w - -,e4d5
rnbq1rk1/pp2ppbp/6p1/2p5/3PP3/2P2NP1/P4PBP/R1BQ1RK1 b - -,b8c6
1r3rk1/p4p1p/4b1p1/2p1b1q1/1p2P1B1/2PPN2P/PPQ3P1/4RRK1 b - -,e5g3
r4rk1/3q1npp/1p1n1p2/2pPp3/p3P1PP/3NBP2/PP2Q3/2R1K2R b K -,a8e8
1rb2rk1/1p5p/p2p1n2/2pPqpp1/P7/2N1P2P/1P1QBPP1/R3R1K1 w - -,f2f4
1r3rk1/6bp/p1npq1p1/2p5/4p3/P3B1P1/1P2PPBP/R2Q1RK1 w - -,d1c2
2rr4/p4kpp/1np1pp2/2R5/1P1P4/5N2/P4PPP/3R1K2 b - -,d8d5
rnbq1rk1/pp3ppp/3ppn2/8/1pPP4/5NP1/PP1NPPBP/R2QK2R b KQ -,d8e7:a7a5
1R4k1/6pp/p7/3p1r2/5r2/2P5/P5PP/4R1K1 b - -,g8f7
1r3rk1/pb3p1p/1pn1pqp1/2p5/3P4/1PQ1PNP1/P4PBP/R2R2K1 w - -,f3e5
3r1b2/4k1r1/2Q1P2p/Bp1p1n2/p2P4/5qP1/P4P1P/2R1R1K1 b - -,d8d6
1r4k1/p2b1pq1/4p1p1/4b1P1/3n4/3Q3R/P4PP1/2R1KB2 w - -,h3h4
8/6pk/p3p1n1/1p3r1p/3Pb3/P1q1PNBQ/6PP/6RK b - -,c3e3
6k1/5p2/p7/4Pp1B/r7/6P1/3K3P/8 b - -,a4a2
r3qr2/p1n1kpR1/1p2p3/2ppNP2/3P4/2P5/PPQ4P/R6K b - -,e7d8
1nrqk2r/1b2bp1p/p3pp1Q/3p4/1p1NP1PP/3B1P2/PPP1N3/2KR2R1 b k -,d8d6
rnbq1rk1/pp2ppbp/2p2np1/3p4/1P6/N4NP1/PBPPPPBP/R2Q1RK1 b - -,b8d7
1rrq4/3b1pk1/3p1bp1/ppnN1p2/4P3/PB3P2/1PP4Q/1K1R3R w - -,d5f6
r5r1/4kpp1/4b2p/1p1pPp1P/2pP1B2/2P2BR1/2PK1PP1/8 b - -,e7f8
3rk3/4np2/1pn2b2/p1p5/5P2/3PP3/PP2KPB1/1R1R4 b - -,f6g7
8/2N2k2/1R5p/5pp1/7r/5P1P/8/3K4 w - -,c7d5
6R1/5b2/2pk1p1p/1p2r3/1P1KP2P/3B4/2P5/8 w - -,g8g3
r2r2k1/1bq2pp1/p1p1p2p/1pPnN2P/P2P4/6P1/1P2QPB1/R2R2K1 w - -,g2e4
2k3r1/1b1r4/1B2Rp1p/5p2/P2p3p/R1p5/2P2PP1/7K w - -,e6f6
2r1r1k1/1p3ppn/p2pb2p/4P2N/4P2q/P3bB1P/1P1Q1PP1/R3R1K1 w - -,d2e3
1b6/p6p/5kpP/1P1bp3/5P2/2BB2P1/2K5/8 b - -,f6e6
6k1/pr1p2p1/2qPp1np/2R1P3/5P1P/4Q3/5P2/R5K1 b - -,c6b6
2N2k2/1p3p1r/2b5/p3b3/P1P1P1p1/1P2Rp1P/5P2/4RBK1 b - -,g4h3
5b2/q2n1k1p/p3p1p1/PpNpPp2/1PnP1B1P/2Q2PP1/4BK2/8 b - -,f8c5
r1b1rnk1/pp2qppp/2p5/3pN2n/3P1P2/2NBP2P/PPQ3P1/1R3RK1 w - -,f1f3
8/pk5r/1p3p2/5P2/3P4/P1P1Q2K/6RB/7q w - -,h3g3
8/3k1pp1/4p3/4P1P1/1n1P1P2/2R5/5N1r/4K3 w - -,c3c4
2r3k1/pb1r2p1/1p2pn1p/3n1p2/2BP4/P4P2/1P1N1BPP/2R2RK1 w - -,b2b3
1r4k1/p2qnpp1/Prn1p3/3pPbPp/3P3P/4BP2/8/2RQKBNR b K -,b6b2
8/5p2/4p1p1/1p2P3/pP1p1P1k/P4Q2/3K4/6q1 b - -,g1e3
1r2r1k1/ppqn1ppp/5n2/2p5/3Pp3/PQP1P2P/1B1NRPP1/1R4K1 w - -,c3c4
rn2k2r/ppqbppbp/3p2p1/1BpP4/P1P1P3/R7/2PB1PPP/3QK1NR b Kkq -,a7a6
rn1qk2r/5pb1/2p1p1p1/pp1pP2p/3P1P2/2NB1QP1/PPP4P/1K1R3R b kq -,b8d7
3rk2r/1bq1bnpp/p3p3/2p5/1p3P2/1P2P3/PBQNB1PP/2R2RK1 w k -,e2f3
6k1/8/1p1N3p/3P3P/2Pp1r2/1B1Krp2/P5P1/1R6 w - -,d3d2
8/8/4k3/2p1bR2/4P1p1/8/6PP/5K2 w - -,g2g3
3r4/1r2k3/1pbpn1p1/5p2/2P2P2/B3R2P/2P1B3/2KR4 w - f6,h3h4
r2r2k1/pb2qppp/1p2pn2/3pN3/2PP4/1P4P1/R2QPPBP/5RK1 b - -,d5c4
rnb1k2r/pp2ppbp/3p1np1/2q5/4PP2/2NB1N2/PPPB2PP/R2QK2R b KQkq -,e8g8
r3r1k1/3nbpp1/5n1p/p2p4/NppP1BPP/P3PPN1/1P3K2/R6R w - -,g4g5
r7/5pk1/2pq1bp1/1p1p4/6N1/2PQ2PP/1P2RP2/6K1 b - -,g7g8
r4rk1/1p3p1p/1p1b2p1/3p4/3Pnp2/P3PN2/1P1B1PPP/2R2RK1 w - -,g2g3
1r2r3/p2R1pk1/5p2/7p/4N3/5PP1/PP5P/6K1 w - -,b2b3
r4rk1/pq2bpp1/2p1pn1p/4N2P/2RP4/8/PP1BQPP1/1K5R b - -,c6c5
4n1k1/pp2b1pp/4pp2/3pN3/3PbP2/5N2/PP4PP/2B3K1 w - -,e5g4
r3b2k/1p4b1/p1p1pnBp/8/PqPr4/5RQP/1P3PP1/2B2RK1 b - -,d4d8
r4rk1/1bqnbppp/p2pp3/2n3PP/1P1NPP2/2p1B1N1/P5B1/R2Q1RK1 b - b3,c5e4
r6r/pp4k1/2pb1pp1/6q1/2PP4/2B1PQP1/P5K1/1R2R3 b - -,b7b6
5k2/5p2/q4r2/3PR3/7p/6Pb/1P3PBP/2Q3K1 b - -,h3g4
r1bq1b1r/1p1knP2/p1n4p/2p3p1/P1pPP3/2N2N2/1PP3PP/R1BQ1RK1 w - g6,d4c5
r1b1k2r/ppn1qp1p/2p3p1/3p4/3P1n2/P1NBP1N1/1PQ2PPP/R3K2R w KQkq -,e1g1
8/8/2nkp1p1/P7/8/2K4p/6R1/r7 w - -,g2h2
r2qr1k1/1ppb1pbp/p2p1np1/2n3B1/2PNP3/2N2B2/PP1Q1PPP/R3R1K1 w - -,a1d1
8/8/2p3R1/3n2p1/4pQ2/3k4/5P1K/8 b - -,g5f4
r4rk1/1b1nqp1p/pp1p1np1/4p3/P2P4/2N1PN2/1PB1QPPP/R2R2K1 w - -,a1c1
4k3/6nN/2KBp3/4P1p1/5bP1/8/8/8 w - -,h7f6
8/4kp2/2R1p1p1/P2bP2p/1K3P1P/6P1/8/8 b - -,d5c6
r1b1k2r/pp1pppb1/1qn2np1/5N1p/4P2P/2N1BP2/PPP3P1/R2QKB1R b KQkq -,b6b2
q4rk1/r4p2/pp2pp1Q/8/1b1P4/2NB1b2/PP3P1P/2R1R1K1 b - -,f6f5
r3r1k1/pq2bppp/2n2nb1/1p1pNB2/2pP1B2/2P4R/PP1N1PPP/RQ4K1 b - -,c6e5
r1bqkr2/p3n1b1/2np1p1p/1p2pPP1/1P2P1P1/1Q1PN3/P3NKB1/R1B2R2 b - -,h6g5
2r3k1/p4p1p/3b1p2/3p4/QP1q4/P5P1/4RP1P/6K1 b - -,d6f8
6q1/1kr2pb1/1pn1p1p1/p2pP3/2pP1PPB/PnP1NN1R/1P4K1/5Q2 b - -,b6b5
2krr3/pp3pb1/2ppp1p1/6Pp/q2PPPb1/3BB3/PPPR1QP1/1K3R2 w - -,c2c4
2b2r2/4k2p/p1p1p1p1/3p4/8/6P1/P4P1P/1R3BK1 w - -,b1b8
1rbq1r1k/4n1b1/p2p3p/1p1Pp1pP/1P2P3/P3N1N1/3QBP2/2R1K1R1 w - -,e2g4
r1bq1rk1/pp1nbppp/1npp4/8/2PP4/2NB1Q2/PP2NPPP/R1B1K2R w KQ -,c1f4
rq2kr2/4b1Q1/pB1p3p/P3P3/8/8/1P3PPP/2R3K1 b - -,d6e5
r2q1r2/ppp3bk/3nP1pp/1P1Qp3/8/8/P3BPPP/R1B2RK1 b - -,e5e4
2rr2k1/5pb1/bp2pqpp/p1p5/P1P1PP1P/8/1PQ1B1K1/R1B2R2 w - -,g2g3
3rbk2/6p1/1R5p/7P/5N2/5PK1/6P1/8 b - -,e8f7
6r1/8/8/3k1K2/5P2/3R4/8/8 b - -,d5c6
r4rk1/p1qnbppp/bppppn2/8/2PP4/1QN2NP1/PP2PPBP/R1B2RK1 w - -,b3a4
5b2/pp5p/4k2P/1P2pPpn/P2p2N1/3P2P1/4KP2/2B5 b - -,e6f5
5k2/p3nn2/1p2pp2/1P4p1/PP4P1/3B1PK1/3B4/8 w - -,a4a5
2r1k2r/2q2pp1/p2p1b2/1p2pP1p/8/PNN1n2P/1PPRB3/2K4Q b k -,d6d5
r2qkb1r/1p1b1ppp/p3p3/2PpPn2/3B4/2P5/PP3PPP/RN1QK1NR w KQkq -,g1f3
1r3rk1/2qn1ppp/bpnpp3/8/p1P1PPPQ/2P1B3/P2N2BP/1R3RK1 b - -,f8e8
1k1r3r/pp1n1p2/1qpb2p1/3p1p2/3P4/2N1P1P1/PP2QPBP/1K1R3R b - -,d8e8
2r2rk1/2q2ppp/p7/4pQ2/3b4/NR6/PP3PPP/1K1R4 b - -,g7g6
rn1r2k1/1b4bp/2p3p1/p3pp2/Pp1P4/2P2B2/1PNB1PPP/R4RK1 w - e6,d2g5
6k1/4bpp1/1nb4p/4P3/1pP3qP/3Q1NP1/r2B1PBK/4R3 b - -,a2a3
r3kb1r/p2qnppp/1pn1p3/2ppP3/3P4/2PQBPN1/PP4PP/RN3RK1 b kq -,c5c4
rn1qk2r/pp2bppp/2p1pn2/3p3b/5P1N/3P2PP/PPP1P1B1/RNB1QRK1 b kq f3,e8g8:f6d7
rr4k1/2q1bppp/3p1n2/3PpP2/p1p1P3/1nP2N1P/RP2QP1K/1BB1R3 w - -,c1g5
r2q1rk1/pp2p2p/4bpp1/n2P4/4P3/3BBP2/P3N1PP/Q4RK1 w - -,f1b1:e3h6
r2qr1k1/p2n1pp1/1p3n1p/2p5/3PN3/P1PQBP2/6PP/R4RK1 b - -,d8e7
2r2rk1/2q2ppp/bn2pP2/pp1pP3/1P6/2P1N3/P2QB1PP/2R2RK1 b - -,g7f6
2rr2k1/p1q2ppp/bp2p1n1/8/1Qp5/1P2P1P1/P2N1PBP/3R1RK1 w - -,d2c4
4rr2/p5k1/1p1p3p/2bP2p1/2P5/3BpPKP/PR6/3R4 w - -,b2e2
rn1q1rk1/p1p1ppb1/5np1/1p1P2B1/2pP4/2N5/PP3PPP/2RQKB1R w K b6,d1f3
8/p7/1pN1n3/1P6/P4k2/K4P1R/5r2/8 b - -,e6g5
1r3r2/1b4bk/p3Qp1p/1pqn1Pp1/6N1/1B6/PP4PP/3R1R1K w - -,b3d5
r3k2r/1p1bbppp/p1n1pn2/8/2P5/1N3NP1/P3PPBP/R1BR2K1 w kq -,c1e3
r4rk1/bpp1qppn/p1npb2p/4p3/4P3/2PP1N1P/PPB2PP1/R1BQRNK1 w - -,d3d4
6k1/8/3p1bp1/2pPp1n1/2P1P3/8/2qBQK2/7R b - -,g5e4
8/5k2/p7/bn1Prn1p/1p3N2/3R3K/1P3B2/8 b - -,f5d6
r3r1k1/3q1ppp/p1p5/1pbpPb2/4nB2/1BP2N2/PP3PPP/R2Q1RK1 w - -,b3c2
2R5/r3kp1p/4p1p1/1B6/P7/3K1P1P/5bP1/8 w - -,d3c4
5r1k/5Ppp/p7/1pN3P1/2p5/5n2/P6P/5R1K w - -,f1f3
8/2p2p2/3k1b2/p1pp1Bp1/5P2/PbP3P1/1P1K1B2/8 b - -,d5d4
2R5/5p2/4p1p1/4Pb1p/6rP/6K1/1kp5/4R3 w - -,g3f2
8/5pbp/1p4k1/p3P1p1/2nP4/2PN4/6PK/1R6 b - -,g6f5
8/pkp5/3p3p/1p1P2b1/7p/1PK4N/P7/8 w - -,c3d3
2rqr1k1/1p1bppbp/n1pp1np1/p2P4/P3P3/2N1B1PP/1PPQNPB1/R4RK1 b - -,a6c5
8/3k1ppp/4p3/2R1P3/1r3P2/8/5P1P/5K2 w - -,f1g2
8/2q2pk1/p1p2bp1/N1Pp3p/1P5P/P3Q1P1/5PK1/8 b - -,c7d7
5bk1/r2n1p2/2p1p1p1/2PpP2p/3P3P/1RNN2P1/5PK1/8 w - -,d3b4
r5k1/pp1b1ppp/2pq1n2/3p3r/2P5/PP1BP2P/1B1Q1PP1/3RR1K1 b - -,a8e8
r1b2rk1/pp1p1p1p/6p1/3P4/3NPp2/7q/PP1Q1P1P/2KR3R b - -,h3h4
2r2rk1/3nbp2/p2n4/2pP2p1/4p3/7N/PB1N2PP/3RR1K1 b - -,f7f5
rnbqk2r/ppppppb1/3n3p/6p1/3PP3/2P2P2/PP4PP/RNBQKBNR b KQkq e3,b7b6
r1b3k1/1p1r1pb1/pB2pq2/6p1/N1n2P2/1P4P1/1PP2Q2/1K1R3R w - -,b3c4
8/3k2p1/3B3b/3PP1Pp/3NKn2/8/8/8 b - -,h6g5
6k1/p3bppp/1p2pn2/2p1N3/1nP5/1P2P1P1/PB3PbP/3N2K1 w - -,g1g2
r1b2rk1/pp1pq1bp/n1p2np1/1N2pp2/2P5/3PPNP1/PP3PBP/1RBQ1RK1 w - -,b5c3
1rq2rk1/5pbp/p2ppnp1/nppP4/2P1P3/1P4P1/PBQNNPKP/1R3R2 w - -,e2f4
3b2k1/5pp1/p1N1pn1p/2p5/2P2BP1/1r3P2/1P4KP/R7 b - -,b3b2
1r6/5pk1/pq1ppnpp/8/Q1Pp4/P3PNPP/3N1PB1/6K1 w - -,f3d4
8/8/8/8/7K/8/3r4/1qk2Q2 b - -,d2d1
r1b1k2r/pp1nqppp/2p1p3/3pP3/2P5/1P2P3/PQ1NBPPP/R3K2R b KQkq -,f7f6
8/5pk1/B5p1/7p/3K4/6PP/6r1/R7 w - -,a1a3
1r1q1rk1/p2bnpbp/2np2p1/1p1N4/3PPNP1/1P2B2P/P2Q2B1/R4RK1 w - -,a1c1
r1bqr1k1/p2n1pbp/1pp3p1/8/3Pp3/BP2PN2/P3BPPP/2RQ1RK1 w - -,f3d2
4r3/3r3p/p1k5/5pB1/1Ppp3P/2n2PP1/3R1K2/2R5 b - -,e8e6
r1bqkbnr/pp3ppp/1n1p4/2p1p3/2BPP3/2P2N2/PP3PPP/RNBQK2R w KQkq -,d4e5
r4nk1/pb6/7b/1p1p1B2/2p5/6B1/PP4PP/3R1R1K w - -,f1e1
r1bqk2r/1pp1bp1p/p1n3p1/3n2B1/2BP4/5N2/PP3PPP/RN1QK2R w KQkq -,g5h6
r1b1k2r/pp1nbppp/4p3/q2pP3/8/P2BBN2/1P2QPPP/R4RK1 b kq -,e8g8
2r1k3/1pqbbp1r/p2pp3/4n1p1/P1PNP3/1P5P/5PB1/R1BQ1RK1 w - -,a1a2
2b2rk1/q4ppp/p7/4P1P1/1N5P/3QP1N1/P4PK1/8 b - -,c8b7
r2b1kr1/pp3p2/2n4p/2p1P2P/8/1B2NN1b/PP3P2/2KR2R1 b - -,d8c7
4r1k1/pppq1rbp/2npp1p1/8/4P1Q1/2PNB2P/PP3PP1/3R1RK1 b - -,b7b6
5qkn/3r1p1p/1p2r2b/pPp1pRBP/P1PpP3/3Q2P1/4P1N1/5RK1 w - -,g5f6
r2q1rk1/1p2n1b1/2npb1pp/p1p1pp2/2P5/P1NP1NP1/1P1BPPBP/1RRQ2K1 b - -,b7b6
1rr3k1/3b1pp1/4p2p/4N3/pp3P2/8/PPPR2PP/K2R4 b - -,d7b5
8/4q1pk/6b1/p6p/P2Q4/5P2/1P4PP/5BK1 w - -,h2h3
3R1b1k/7p/2r3p1/5n2/5P2/7P/4NBK1/8 w - -,d8f8
2q1r1k1/5p2/p1r2Bp1/1p2Rn1p/5P2/P1P3P1/1P3Q1P/3R2K1 w - -,e5e8
4b3/b3k2p/6p1/pp2P3/3KPN2/P4NP1/1P5P/8 w - -,d4d5
3r3k/7p/2p5/p1p1p1R1/N3Pp2/P4P1P/1P3b2/1K6 b - -,d8d3
8/4kb2/p1pN4/q2pQ2p/3Pp3/4P2P/1p4P1/6K1 b - -,e7d7
2rr1bk1/1q3ppp/2bpp3/2n5/1p2P3/1P3PP1/PB1RN1BP/1Q1R2K1 b - -,c8a8
r3k2r/p1qn1b1p/2p2npb/8/Q1PPp3/2N1P2P/PB1NBRP1/R5K1 w kq -,d2f1
r1bq1rk1/p2nbppp/1pp1pn2/3p2B1/2PP4/2NBPN2/PPQ2PPP/3RK2R b K -,c8b7
2r3k1/3rnp1p/p3p1p1/1pR5/1P1PN3/P3P1P1/7P/1R4K1 b - -,d7a7
8/5k2/4p1p1/bn1pPnPp/p1pP3P/P1P2N2/1KN5/4B3 b - -,f7e7
3r1r2/p1k3p1/2n2b2/2ppp3/q7/2PQ2B1/P1PN1PPP/R3R1K1 w - -,d2f3
r2k3r/pppbb1pp/8/3Pn3/5B2/6pP/PP2P3/2KR1BNR b - -,e7d6
rnbqr1k1/p1p2ppp/1p1b1n2/3p4/3P4/P1NBP1N1/1P3PPP/R1BQK2R w KQ -,b2b4
6k1/p4ppp/1q2p3/3pB3/2r5/b3PP2/P3QKPP/3R4 b - -,f7f6
5r2/p6Q/2q3p1/2P1p1k1/6P1/5rRP/5P2/5RK1 w - -,h3h4
5r2/p2Pk3/1p6/8/7B/P4p1B/8/5K2 b - -,e7d6
r1b2rk1/ppp1b1pp/2p2q2/4N3/8/8/PPPPQPPP/R1B2RK1 b - -,c8f5
r1b2rk1/p1q2pp1/1p2pn1p/2b1N3/8/3B4/PPP1QPPP/R1BR2K1 w - -,c1f4
1k2r3/pp3p2/1qp3p1/3rPpPp/P1RP1P2/8/1P1Q2P1/1KR5 b - -,e8d8
6k1/2b2pp1/6p1/2P5/2QPq3/2p1N1P1/5PKP/8 w - -,g2g1:g2f1
2r1r1k1/1p3ppp/p2b1n2/3PqP2/P1P1p3/4B3/1P1QB1PP/2RR3K w - -,g2g3
r3q1k1/p2r2p1/2p1np2/1pb1pN2/4P3/1P5Q/P1P2P2/R1B3RK b - -,a8d8
r4rk1/pp1np1b1/2p1b2p/3P1ppq/1P2P3/P2N1PP1/1BQ3BP/R2R2K1 b - -,f5e4
3r2k1/r4ppp/pp1pqb2/2p3P1/Pn2P3/1nN3QP/1P3PB1/2BR1R1K b - -,f6d4
