8/4N3/6RP/4p1kr/8/8/6K1/8 b - -,g5f4
r2q1rk1/pp2b1pp/n2p1nb1/3pp1P1/1PP1p3/P1N3NP/5PB1/R1BQK2R b KQ -,f6d7
r1br4/p3kpb1/2q1p1p1/1pp2nN1/5P2/1BPP3Q/PP4PP/4RR1K w - -,g5e4
2rq1rk1/p1nbppbp/1p1p1np1/2pP4/2P1P2B/2N2N1P/PPQ1BPP1/2R2RK1 b - -,f6h5
8/2Rp1k1p/6p1/2pr4/8/1P6/P4PKP/8 w - -,g2f3
1r6/8/3b1k2/pBpPpp1p/P5p1/3K1PPP/8/1R6 w - -,h3g4
5r2/ppk1b1pp/2n3b1/4N3/8/1BP5/P5PP/R3R2K b - -,c6e5
r1bq2k1/3n1p1p/pp1p1p1Q/3P4/2P5/6P1/PP3PBP/4R1K1 b - -,d7f8
r1br2k1/2qn1pbp/pp3np1/2p1p1B1/P1N1P3/2PB1N2/1PQ2PPP/R3R1K1 w - -,d3f1
5rk1/p1qn2p1/2r1b2B/1Bp2n2/4Q3/5N1P/P4PP1/3RR1K1 b - -,c6b6
4n3/6k1/R2pP1p1/4p2p/4PP1P/1r3KN1/8/8 w - -,f3f2
r1b1k1nr/pp2bppp/8/2pq4/3P4/2P1N3/PP3PPP/RNBQK2R b KQkq -,d5d6
6k1/N1n3rp/3pp3/4n3/1PP1Bp1q/6N1/4QPKP/7R b - -,e5f7
6k1/p5p1/8/2p4p/2P5/3PBN2/P3KPq1/8 w - h6,e3c5
3r1rk1/pp1bqppp/2n5/3p4/3NnP2/1P5P/PB3PP1/1BRQ1RK1 b - -,a7a6
5r2/2k2p2/p3pp1p/2b5/PpP1B1P1/1P6/7P/3R1K2 b - g3,f8g8
r2q1rk1/p2pppbp/1pn3pn/4P3/2PpR3/2N2N1P/PP3PP1/R1BQ2K1 w - -,f3d4
4r1k1/1pb4p/p5p1/P7/2bBp3/2P5/1R4PP/4R1K1 b - -,c4d5
1r3r2/pb2ppbk/1p4pp/2q1P2n/2Q1B2N/2N3P1/PP3P1P/3RK2R w K -,c4c5
r1b1kr2/p5Qp/2pq1p2/3pnp2/3B4/2P5/P3B1PP/R4RK1 w - -,e2h5
8/8/6k1/8/7P/5N1K/6P1/b7 w - -,g2g4
5r1k/1p4b1/2pq2pp/p3p3/4Q3/P4B2/1P3PPP/2R3K1 w - -,c1d1
rnb1k2r/ppp1qppp/8/3p4/3P4/2P2N2/P3PPPP/R2QKB1R w KQkq -,d1b3
b2r2k1/2r2ppp/1N2p3/PB6/P3pP2/2n5/6PP/2R2RK1 w - -,b5c4
r2q1rk1/3bppbp/p2p1np1/1p2n3/3NP3/P1N1BP2/1PPQB1PP/3R1R1K b - -,e5c4
7R/1p3r2/p2R1rk1/5p1p/P2Q4/1P6/5PPK/2q5 w - -,d6f6
7r/3nkp1p/3ppn2/P6p/1p2b3/4B3/1PN2PPP/R4RK1 w - -,c2b4
1qr3k1/1r1nbppp/pB2p3/P1p5/N1P1P3/5P2/5QPP/2RR2K1 w - -,f3f4
3qr1k1/pp3p2/7B/3r4/2p2P2/2Q3P1/4b1BP/R1q3K1 w - -,a1c1
6k1/6b1/p3R3/2pP4/2q2rN1/5P2/P3Q1K1/8 w - -,e6e8
rn1q1rk1/pb3pp1/1p1ppb1p/2p5/3P4/2P2NP1/PP1NPPBP/R2QR1K1 w - -,e2e4
8/5p1p/1rp1p3/p2pPkp1/3P4/PP3P2/K1R2P1P/8 w - -,c2c3
rnbqk1nr/pp3ppp/2pb4/3pp3/4P3/3P1NP1/PPP2PBP/RNBQK2R b KQkq e3,g8f6:d5e4
rn2kb1r/pppBpppp/8/q7/3P4/2nQ1N2/PPP2PPP/R1B1K2R b KQkq -,b8d7
4r2R/p2q2k1/1pn2pp1/2p5/3pN1P1/P2P1P2/1PPQ2K1/4R3 b - -,e8h8
1Q6/8/7p/5q2/6k1/4K3/8/8 b - -,f5f3
3r4/pp2ppkp/2n3p1/2P5/1P2N1b1/2Pr1N2/P4PPP/2R1R1K1 w - -,e4g5
r1bqkbnr/1p1npppp/p2p4/2pP4/2P1P3/8/PP3PPP/RNBQKBNR w KQkq -,b1c3
r2q1rk1/1p1nppbp/2bp2p1/p7/2P1P3/2N1BP2/PP1QB1PP/1R2R1K1 b - -,a5a4
1r2rnk1/1p2ppn1/6p1/p2P4/P1Pp2N1/5PP1/5KB1/R3R3 w - -,g4h6
2r3k1/3n2p1/4p3/4R2P/1pp4P/8/1P3PK1/4R3 b - -,d7e5
8/p4Q1p/3p3k/3P2p1/6Pn/5p1P/P4q2/7K b - -,f2g2
r1bq1rk1/pp2bppp/2n1p3/2NpP3/5P2/P1NB1Q2/1PP3PP/R1B1K2R b KQ -,e7c5
8/2R2pkp/4p3/6P1/5P1K/PrrnPB2/7P/4R3 w - -,c7c3
4r1k1/pq1n1ppp/8/2rpP3/8/P5P1/1BQ2PKP/2R1R3 w - -,c2a4
r1bq1rk1/1p2ppbp/p1p3p1/P2pP3/3Pn3/2P1B2P/2PNBPP1/R2Q1RK1 w - -,d2e4
r1b2rk1/1pb2pp1/p3nq2/2Pp3p/1P1pP2P/5P2/PN2BBP1/R3QRK1 w - -,e4d5
r1bq3r/1p2b1k1/4p3/p1PpQnpp/P7/1N1B3P/1PP2PP1/R1B1K2R b KQ -,e7f6
r1bqk2r/pp1nbppp/3ppn2/2p5/3PP3/2P2N2/PPB2PPP/RNBQ1RK1 b kq d3,e8g8
r2q1rk1/pp3ppp/4bb2/8/3N4/2N5/PP2BPPP/2RQ1RK1 b - -,f6d4
6k1/3R4/5p2/1p2r2P/4p2K/4P2P/5P2/8 b - -,e5g5
2r2k2/8/1B2p2R/P2pP3/6R1/5nP1/2r2PKP/8 b - -,f3e5
8/8/4k1n1/1pP1p3/1P4Pp/2P5/3B1K2/8 w - -,f2g2
8/4Qk2/6pp/5p2/7P/3Pn1P1/5N1K/8 b - -,f7e7
rn1qkbnr/1b1p1ppp/p3p3/1pp5/4PP2/2N3P1/PPPPQ2P/R1B1KBNR w KQkq -,f1g2
r2r2k1/pp4p1/2pbpnN1/6R1/2PP1p2/5P2/PPK2B2/3R4 b - -,g8f7
8/p4r1p/2p3kP/1p3p2/3PbQ2/PP1K4/2P5/8 w - -,d3d2
8/8/1PkB1p2/2P2P2/8/1r5p/5K1P/8 b - -,c6d5
1kr4r/1b1q1pp1/pn2p2p/3pP3/PbpP4/1nN1B1N1/1PB1QPPP/R1R3K1 w - -,c2b3
rn1q1rk1/1bpp1ppp/1p2pn2/p7/2PP4/P3PN2/1P1QBPPP/R1B1K2R w KQ a6,b2b3
r5k1/pb3p2/2p1pqpQ/1pPr4/8/8/P1B2PPP/1R2R1K1 w - -,c2b3
r5k1/7p/2b3p1/p1p3r1/3P4/P7/1B3R1P/R5K1 w - -,g1f1
r2k1b1r/3b1pp1/p2p1n1p/qppP4/5BP1/N1P2P2/PP2QN1P/2KR3R w - b6,c1b1
r4rk1/p1qn1pbp/3p1np1/1ppP4/2P5/1P3N2/P1QBBPPP/R4RK1 b - -,b5b4
2r1k2r/2q1ppb1/pn3np1/1pp4p/4P1PP/2N1BP1R/PPP3Q1/1K1R1B2 w k -,g4g5
r1b2rk1/pp2p1b1/2n3p1/q1P5/2P5/2NBQN2/PP4P1/2KR3R b - -,f8f6
3qkb1r/4pp2/p2pb3/1prNP3/7p/4N3/PPPQ2PP/1K1RR3 b k -,f8g7
r1b4k/pp1q2bp/3p3r/3Np1n1/4P3/5PB1/PPN1BP2/R2Q1RK1 w - -,f3f4
r3r1k1/3nqppp/2p5/p2pP3/3PnR2/3N2P1/PB2Q1KP/3R4 b - -,c6c5
2r5/2Pk3p/PB1b2p1/8/4p1P1/3p4/5PP1/2R1K3 w - -,a6a7
r2q1rk1/p1pn1pp1/1p1pp2p/8/2PPQ3/2P1P3/P4PPP/R1B2RK1 b - -,d7f6
8/8/1ppp4/p3k3/P1P3P1/1P2K3/8/8 w - -,e3f3
2rq1rk1/pp1nppbp/3p1np1/1P6/3NP3/2N4P/PP2QPP1/R1B2RK1 w - -,f1d1
6k1/pp3pp1/1q6/5p2/1P3P2/P3RQ2/2P3PP/3r3K w - -,f3d1
rnb1k2r/pp3p1p/1q4p1/3P4/6nP/1N3N2/P1QBBPP1/b4RK1 w kq -,c2c8
rnbqk2r/pp1pppbp/5np1/2p5/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq -,e1g1
8/p5k1/3R2p1/7p/2pNr1bP/P3p1P1/1PPr4/2K1R3 w - -,d4b5
2b5/8/1b2pk2/6pp/2BPP3/4KNP1/8/8 w - -,f3e5
5rk1/1pp1n2p/3p2p1/1P5n/2P3q1/2QP1NP1/1B2PPK1/R7 w - -,c3h8
r7/pp3r2/2p4k/2Ppb2n/1P2p1b1/2N3PN/P1R2PB1/5RK1 b - b3,a8f8
2r1rnk1/8/R7/1pp3B1/2P1bP2/4P1PP/P7/2R3K1 b - -,b5c4
1n3rk1/2qb3p/3p4/3P1p1p/1p2P3/2b1B3/3N1PPP/1Q3RK1 w - -,e3h6
6k1/6P1/4PK2/5N2/8/8/5r2/8 w - -,e6e7
1qrr2k1/4bppp/p1bppnn1/1p6/2PQP1P1/1P4NP/PB2NPB1/2RR2K1 w - -,g4g5
r2q2r1/pb3p1k/1p2p3/2p1Qp2/5B2/2P5/PP3PPP/R3R1K1 w - -,g2g3
2Q5/2r1q3/5R2/2kpp2r/1p4RP/1P6/1PP3PK/8 w - -,c8a6
r1bq1rk1/pp3pbp/2n1pnp1/2p5/4PP1Q/1BN2N2/PPP3PP/R1B2RK1 b - -,c6d4
1q3rk1/2pn1pp1/3pp1bp/1P1n4/3P4/1PB3P1/1Q1NPP1P/r2R1BK1 w - -,d1a1
5k2/qb1n1pp1/p2pp2p/Np6/1P2PP2/P2P3P/4NKP1/2Q5 w - -,c1e3
4r1k1/1p3ppp/r1bp4/2p4n/2P5/P2BPP1P/1B3KP1/1R2R3 b - -,e8a8
b2bNrk1/2r1qpp1/p1p1p2p/2P5/P4B2/1Q4P1/1P3PBP/R2R2K1 b - -,f8e8
2rb2k1/6pp/p1r1pn2/3p1p2/2pP1P2/Pq2P1BP/1P1QN1P1/2RR2K1 w - -,d2c3
r2q1rk1/pb2bp2/3p2pp/2p1p3/2P5/2N3P1/PP1QPPBP/2R2RK1 b - -,b7g2
2r2rk1/pp4p1/1q2pp1p/3pB3/1b1P4/2PQR2P/PP3PP1/2KR4 w - -,e5f4
1k3r2/2N1n1p1/1p2p3/4P3/qP1Q1P2/4B3/2R5/2K5 b - -,e7c8
8/5pkp/1n4p1/pr2p3/4P3/1P1R1P1P/2r1N1P1/R4K2 b - -,c2b2
8/6p1/5p2/6kp/5R2/3K2PP/8/4r3 b - -,f6f5
8/4rk2/R4Np1/p5P1/2n2P2/8/5K2/8 w - -,f2f3
rr6/4pp1k/q2p1b2/2pPn2p/4P2P/2N2P2/PP2N1K1/1RQ4R w - -,c1f4
1r3rk1/qpnnppbp/p2p2p1/2pP4/2P1PPQ1/P1N4P/1PBB2P1/1R3R1K b - -,f8d8
2kr1n1r/ppq1bBpp/2p1p3/3pP3/1P1P2Q1/2P4P/P5P1/R1B2RK1 w - -,g4g7
8/3B4/8/p2N4/2k1pK2/4P3/2bn4/8 w - -,d5f6
r1b1r1kb/1p3p1p/pq4pB/2P5/2Pp4/4P1P1/P2Q1PBP/R2R2K1 b - -,b6c5
2r2rk1/1pqn1ppp/p3bn2/4p3/8/P1PBP3/1BQN1PPP/R4RK1 b - -,d7c5
8/4kp2/5p2/7P/8/1R2P1P1/rp3PK1/8 w - -,g3g4
r5k1/2p3pp/p5r1/1pBppn2/8/2PP1P2/PP3RPP/3R2K1 b - -,f5d6
3q1rk1/1br2p1p/p3pbp1/1p1nNn2/1P1P1P2/PB6/1B1QN1PP/3RR1K1 w - -,e2g3
r1bqkb1r/pppnpppp/8/3nN3/3P4/8/PPP2PPP/RNBQKB1R w KQkq -,e5f7:e5d7
r2qk2r/pbppnppp/1p2pb2/3P4/2P2P2/2NB1N2/PP3PPP/R2Q1RK1 w kq -,c3e4
6n1/r3q2k/6p1/8/1P2P2p/4R2P/3QNPP1/r2R2K1 w - -,d1a1
r1bqrnk1/1p3pb1/2pp1npp/4p3/1PP5/2NP2P1/1B1NPPBP/R2Q1RK1 b - -,c8e6
r3k2r/pb1pppb1/1p2n3/q5pp/2P1P3/2N1BP2/PP1QB1PP/2RR2K1 b kq -,d7d6
4r1k1/2q3bp/p7/2p1p3/2P5/2BPR1PP/4Q1K1/8 w - -,h3h4
6k1/3b2pp/pb1p2q1/1p1Pp3/1B2PP2/2QB1P2/PPNK2P1/2r5 b - -,c1h1
8/6k1/5n2/6B1/7P/7K/1r3b2/3B4 b - -,f2d4
r3k2r/ppp2p1p/2n1bp2/3p4/3P4/P1N2P2/1PP2P1P/R3KBR1 w Qkq -,f1b5
4k3/p7/8/8/3R4/2B1p3/PP1pr1PK/8 b - -,e8f7
2brq3/5rkp/1pR5/pP1p2p1/B1nP4/P2NPN2/2Q3PP/R5K1 b - -,e8e3
r4bk1/p1q2p1p/2b1p1p1/2pr4/2B5/N1P1Q3/PP3PPP/3R1RK1 b - -,d5d1
r4rk1/2q2p1p/p4p2/5b2/B1p1p3/P3P2P/5PP1/2RQ1RK1 w - -,d1d4
7k/4q2p/3p1p2/p1pP2R1/P2nP2Q/6N1/1P4PK/8 b - -,f6g5
2k5/1pp2pp1/p2p1b1p/1q6/2n2PP1/1PPR1Q1P/P1P3B1/1KB1r3 w - -,a2a4
1r3r1k/4q1pp/1bp5/p1ppP3/P3n3/2P2P1P/1P2N3/R1Q2RBK b - -,e7h4
4k3/2b2p2/4p1p1/3nP3/4K3/5P2/6P1/5N2 w - -,f1h2
r1bqk2r/ppp4p/1n2p1p1/4P2Q/1b1Pp3/2N1B3/1P3PPP/R3K1NR w KQkq -,h5g4
6rk/2p5/p1Pp4/1p1PpB2/1P4P1/P4P2/6K1/8 b - -,g8f8
rnbq1rk1/ppp1bppp/3p4/3Pp3/2B1P1n1/2N1BN2/PPP2PPP/R2Q1RK1 w - -,e3d2
r4r1k/pp2qp1p/2p1pp2/5b2/2BP4/2P2Q2/P1P2PPP/2R2RK1 w - -,f1e1
8/2b1k3/pp5p/2pK1p2/8/1N4P1/P6P/8 b - -,f5f4
8/p2kbp2/1p2p2p/1P2P2p/2P1KPP1/3N4/8/8 w - -,g4h5
3rrk2/1b3p1p/p2pn1p1/1p2n3/4PQN1/1P5P/PBB2PP1/R3R1K1 b - -,e6f4
1r3b2/5k2/3Q1p2/1p2p3/2n1P3/2P2P2/3N1BK1/2R5 b - -,f8d6
8/4b3/2k5/8/2p3K1/8/8/4B3 b - -,c6b5
8/5pkp/p2p2p1/3rp1q1/8/1P2PP1P/P1R1QP1K/8 b - -,g5f5
r4rk1/1bqnbppp/pp1ppn2/8/1PPNP3/P1N1BP2/4B1PP/2RQ1RK1 b - b3,a8c8
2q3r1/p3nbrk/1pnBp1p1/3pPp1P/P1pP1P1P/2P1NBR1/2P3QK/R7 b - -,g6h5
r3kb1r/3n1pp1/1qp1p2p/p2nP3/PpQP4/5N2/1P1B1PPP/R1N1K2R w KQkq -,c1b3
8/3q2pk/4p2p/4Pp2/rr3P2/5R2/5QP1/5RK1 b - -,b4d4
6k1/5p1p/8/1R3p2/3P4/5N2/r1rn1PPP/5RK1 w - -,f3d2
rn1qr1k1/pbp1bppp/1p6/3p4/3P4/2N1Q1PP/PPP1NPB1/R3K2R b KQ -,e7b4
2r1qrk1/pp2bpp1/4p2p/P1P1n3/4B3/1QP1B1P1/4PP1P/R2R2K1 b - -,e5g4
3qr1n1/1pp2pbk/2n3pp/8/1PPp1B1P/1N1N2P1/4PPb1/3QR1K1 w - -,g1g2
rn1qk2r/pp2npb1/2ppb1pp/4p3/1PP1P3/2NP1NP1/P3QPBP/R1B1K2R b KQkq -,e8g8
r2q1rk1/pp1nbppp/4pn2/2ppNb2/3P1P2/6P1/PPPNP1BP/R1BQ1RK1 w - c6,e2e3
2r4Q/q1P2b1p/p2pkBp1/1p6/1P2pP2/6PP/P6K/2R5 w - -,h8c8
2br2k1/1pp1pp1p/1n1q2p1/8/3nP3/2N4P/P2Q1PP1/3RKB1R w K -,c3b5
r1bqk2r/pppp2pp/2n2n2/1Bb1p3/4P3/5N2/PPP1QPPP/RNB2RK1 b kq -,c6d4:d7d6
r5k1/pp3pb1/3p2pp/2p5/2P1r3/1P2B1PB/P3NP2/4RK2 w - -,e1d1
r1r3k1/1p2bppp/2n1b3/3pPp2/1PqN1B2/1NP5/3Q1PPP/R4RK1 w - -,f1c1
2r1r3/1bqn1pbk/p1pp1npp/1p2P3/4P3/1PP2NNP/PQ1B1PP1/1B1RR2K b - -,d6e5
6k1/1p4bp/1pp1npp1/4p3/1PP5/P2rP1P1/R2B1PBP/6K1 b - -,f6f5
K1k5/1R6/P1r5/8/8/8/8/8 w - -,a8a7
r2nk2r/pp1bq1pp/2pb1p2/4p3/4B3/2PQBN2/PPP2PPP/R3K2R b KQkq -,g7g6
8/1b1r4/p7/1p1nkpp1/1P6/3P1P2/3BK3/2R3R1 w - -,g1g5
r2q1rk1/pp3p1p/5bp1/3R4/2Q5/4P2P/PP3PP1/R1B3K1 b - -,d8b6
r5k1/1q1n1pp1/1pb2n1p/2pp4/3P1B1P/2P2NP1/3QPPB1/R5K1 w - -,a1b1
r1b1k1nr/pp1n1ppp/1qp1p3/8/1bB1P3/2N2N2/PP1BQPPP/R4RK1 b kq -,g8e7
3q3k/p2P1Q1p/1p4p1/8/P4Pp1/4b1P1/1P5P/5K2 b - -,d8c7
r1b1Q3/p7/1k2p3/1p1pPq1P/2p5/2P2P2/PP2K3/3R2R1 w - -,e8d8
2r4k/2r1b3/p1q1p1pp/2pnPp2/P1R2P2/BB3Q1P/P5P1/3R2K1 w - -,g1h2
3rr2k/1pqn1ppp/2p2b1Q/4pP2/p1B1Pn2/P3BP1P/1PPN3K/3R2R1 w - -,g1g7
1rbq1rk1/p4pbp/2n1p1p1/1ppn4/5P2/2PPNNP1/PP1B1QBP/R4RK1 b - -,d5f6
r1b2rk1/ppq2pb1/2pp1npp/4n3/1PPN4/1QN3PP/P2BPPB1/R4RK1 b - -,f8e8
8/4bp1k/2R5/4Pr2/1p3B1p/1P3R1P/r5PK/8 w - -,h2g1
r1b1r1k1/pp3npq/4p3/3pQ2P/2pP4/P1P5/3BBP2/2K1R1R1 w - -,e5c7
6k1/8/p6b/5ppp/8/3pB1P1/P4P1P/3K4 b - -,f5f4
8/4k3/8/8/6PP/2bB1K2/8/4r3 b - -,e7d6
rn1qkb1r/1p3pp1/p1p1pn1p/3p1b2/2P5/1PN1PN2/PB1PBPPP/R2Q1RK1 b kq -,b8d7:f8e7
8/8/b2q2p1/1p4kp/8/2PB2P1/2K2Q2/8 b - -,d6e5
2rqk2r/pp1bppbp/2np1np1/2p5/4P3/2PP1N1P/PPBN1PP1/R1BQ1RK1 w k -,f1e1
1r3k2/8/Rp2P3/6pp/1P6/P7/7K/8 w - -,a6a7
r1b2rk1/1pq1bppp/p1nppn2/8/P2NPP2/2N1B3/1PPQB1PP/R4RK1 b - a3,e6e5
r5k1/1b4p1/p2qPr1p/1p6/3p1bB1/P6Q/1P4PP/1N1R1R1K w - -,b1c3
r1bqkb1r/1pp2p1p/p1n3p1/4p3/4P3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,d1d8
3rk2r/ppq1bppp/2n1p1n1/1BPpP3/3B4/2N2Q1P/PPP2PP1/2KR3R w k -,f3e3
3r2k1/pb3p1p/4pp1b/8/Pp2P3/1P1B1NP1/2q2P1P/5RK1 w - -,d3c2
4r1k1/4Qppp/8/R3p3/8/5P1P/3q1nPK/4n1R1 b - -,e8f8
rnbqrnk1/pp2ppbp/3p2p1/2pP2P1/2P1P2Q/2N5/PP3P2/R1B1KBNR w KQ -,c1f4
1rb2rk1/2qnbppp/pp1p4/2pPp3/P3P3/R1N1B2P/1PPNQPP1/1R4K1 w - -,e2d3
4r1k1/7p/4p1p1/2q5/p2n4/4Q3/1R3PPP/4R1K1 w - -,h2h3
r2r2k1/ppp2ppp/4b3/8/2Pn4/2N2B2/P4PPP/R3R1K1 w - -,f3b7
2rq1rk1/pn1b1pp1/3b1n1p/1p1Pp3/8/1PNQ2P1/PB2NPBP/R4RK1 b - -,b7c5
3rr1k1/2p2ppp/1nn2b2/p1N1pq2/2P5/3P1N2/PP2QPPP/R1B1R1K1 w - -,c1d2
rnbqk2r/ppp2ppp/3p1n2/4p3/1bB1P3/P1N2N2/1PPP1PPP/R1BQK2R b KQkq -,b4a5
