8/8/8/4kpPB/4pn2/8/5K2/8 w - -,h5e8
8/R5p1/P5k1/4p3/8/5PP1/r4K2/8 w - -,f2e3
1r2qr1k/2pnb1p1/b1n1p2p/p2pP2P/R7/1PP1BNN1/2B2PP1/3QR1K1 w - -,e3c1
6k1/1p4r1/p2b4/P1pPp3/2P2p2/3P2r1/3B1KPR/1R6 w - -,b1b6
2r1k1nr/pp1qppbp/2np2p1/8/2b2N2/6P1/PPPNPPBP/R1BQ1RK1 b k -,c6e5
3q1bk1/pb6/7p/2p1p1p1/P3N3/1P1PNKP1/2P4R/7R b - -,d8f6
5rk1/2q1n2p/b1r1p1p1/pp1p2QP/3P4/PBP3N1/2R2PP1/2R3K1 w - -,h5g6
8/1p1r1p1k/pKp1p3/2P1P3/1P1r4/P5Q1/4B3/8 w - -,g3g5
3kr3/p5pp/1p1p4/3P1b2/2n5/2R2B1P/PPr1P3/4K1NR b - -,c2c3
r2q1rk1/2p1bppp/p1np1n2/1p2p3/4P1b1/2P2N2/PPBPQPPP/RNBR2K1 w - -,d2d4:h2h3
8/5pk1/6pp/8/P1Q3P1/5K1P/1q6/5N2 b - -,b2a1
2r2rk1/1p1b1pp1/p2p1n1p/4p3/4P3/q5PP/PPPR1PB1/1N2R1K1 w - -,b1a3
1R1b4/3r1k2/1p2p3/1P1pPpP1/1B1P1P2/8/5K2/8 b - -,f7g6
2r3k1/1p3pbp/6p1/p2qp3/Q1Np4/1P6/1B3PPP/4R1K1 b - -,b7b5
1nk3rr/1ppb1p2/p2p4/3Pp1qn/PP2P1pp/2P1N1P1/2B2P1P/R2QRNK1 b - a3,h5f4
8/4kp2/7p/3pP1p1/8/6PP/1r2B1P1/4R1K1 b - -,d5d4
6k1/p6p/6p1/3r1p2/3p4/1P1R2KP/P1R2PP1/r7 b - -,d5d7
2kr1b1r/Bppb1ppp/8/3q4/8/3B4/PPP1QPPP/R4RK1 b - -,f8c5
2rr2k1/1pq1bppB/4nn1p/p3N3/3p4/PP2P1PP/R2N1P2/B2QR1K1 b - -,f6h7
4r3/pp4k1/3nrpp1/q1pR4/2P5/3BP3/PQ1P2P1/2K4R w - -,d5d6
2kr3r/ppqn1ppp/2pb2n1/3p2N1/3P2b1/2NBB3/PPPQ1PPP/1KR4R b - -,d7f6
6k1/2p5/Q3p1q1/P2rn1pp/1p1pNr2/1P4PP/R1P1RP2/6K1 b - -,f4e4
3r1rk1/p7/1pb2p2/2ppb3/2P5/4BB1P/P4PP1/2RR2K1 b - -,d5d4
2rq1rk1/1b3pbp/1p1ppnp1/pN2n3/2P1P3/PPN1BP2/3QB1PP/1RR4K b - -,d6d5
5rk1/1p2ppbp/p2p1np1/3P2B1/qPQ5/6PP/P1R1PPB1/6K1 b - -,b7b5
r1b2rk1/pp2bppp/1n2pn2/q2p4/2PR4/2N1PNB1/PPQ2PPP/4KB1R w K -,f3d2
6k1/3n1npp/1p6/3Pp3/7P/2P3P1/PP4K1/3R4 w - -,g2f3
1r6/5pkp/2B3p1/8/3N2n1/n2NP1P1/5P1P/6K1 b - -,a3c4
2r1rbk1/p2b1ppp/2p5/B2p2n1/8/1N1P2P1/PP3PBP/2R2RK1 b - -,g5h3
r2r1k2/2p3bp/pp2qpp1/2n1p3/PPQ4P/2P1PNB1/5PP1/R2R2K1 w - -,d1d8
r3k2r/1b1n1p1p/1q2pp2/1p6/3p4/3B1Nb1/PP2QPPP/R4RK1 w kq -,h2g3
8/7p/2r1p1p1/2P3R1/3K1P2/6P1/6k1/8 b - -,g2f3
r1b1qrk1/2p1n1pp/1p6/p2p4/1n6/1N1NQ3/PPP2PPP/1K1R1B1R b - -,c7c5
8/6pp/bB3p2/P2kn3/6P1/4KPP1/8/8 w - -,b6d8
5k2/2p2p2/2Bp2pp/1P6/5P2/4K1PP/4P3/1b6 b - -,f8e7
5k2/pp5p/2p3p1/3np3/1Pr2q2/P2P4/4QPPP/5B1K w - -,d3c4
8/8/3p2k1/1B1P4/P4PP1/1p2n3/8/2K5 w - -,a4a5
4r1k1/pb1n3p/n1p5/P3b1p1/1NP1pp2/8/PB2BPPP/1R1N2K1 w - -,a2a3
8/7p/2k5/3pK3/4b3/Q5P1/8/1r6 b - -,c6b5
2r1r1n1/pp3pkp/3pp3/q2P2P1/8/2PQ3P/PP4BK/R3R3 b - -,e6d5
1r3rk1/ppp2ppp/3pb3/2b5/8/2P1BB2/PPP2PPP/R3R1K1 b - -,c5e3
r2q1rk1/1p2bppp/p1n1pn2/2p5/2PP2b1/3BPN2/PB1N1PPP/R2Q1RK1 w - -,d1b3
8/8/1q4k1/8/6QP/6P1/1p6/7K b - -,g6f6
3r4/1p3k1p/1np5/p7/Pn3p2/1PN5/2P2PNP/2R1K3 b - -,f7f6
r6k/p5p1/1p1Nr3/5p2/3P2p1/BP1n1nP1/P5KP/R4R2 w - -,d6f7
r2qk2r/ppn1bppp/2p1pn2/3pNb2/1PPP4/PQN3P1/4PPBP/R1B2RK1 b kq -,e8g8
4r1k1/1pq2bpp/2p5/2N2p2/1pn2P2/P1Q2BP1/5P1P/3R2K1 w - -,a3b4
5rk1/pB1q1ppp/Pr1p1b2/2p2P2/1p6/2PQ4/1P3PPP/3R1RK1 w - -,f1e1
8/6k1/4p3/8/1R4P1/p3K3/r7/8 w - -,b4a4
rnb1Rqk1/pp3p2/3p3p/Q1nP2p1/2PN4/6P1/P5BP/R1B3K1 b - -,f8e8
8/2n2p2/p7/Pp1pk1p1/1P4P1/1NP1K2P/8/8 w - -,b3c5
1nk3r1/1pq2p1p/p1pPr3/1P4p1/PQP2P1B/8/6PP/R4RK1 b - -,e6d6
r4r2/p3ppkp/1p4p1/q2Pn2P/b1p1P3/2PB4/P2QNPP1/1R2K2R w K -,d3c4
r2r4/5pkp/2p1bqp1/p1n1p3/1pP1P3/1P2R1P1/P1Q2PKP/2R2NN1 b - -,d8d6
r1b2k2/1p2qpp1/2p4p/3p4/PR1P1P1P/2Q2BP1/P4P2/6K1 w - -,g1g2
8/5p2/5p1k/p3pPb1/3r4/6Pp/4K2P/R4R2 b - -,e5e4
