8/8/8/2kpn3/8/2K5/2P5/1R6 w - -,b1b7
1r1q1rk1/2pnbppp/p1np2b1/4p3/P2PP3/2P2NNP/2B2PP1/R1BQR1K1 b - -,e5d4
r3kbnr/ppq2ppp/2n1p3/8/2NP4/1Q3N2/PP3PPP/R1B2RK1 b kq -,g8f6
1kb5/1p4Q1/p1n1pr2/8/3qB3/P2N2P1/5PP1/4R1K1 b - -,d4d8
1r3rk1/3n1pp1/3p4/4pPb1/p3P1P1/2N5/KP3B2/2R4R w - -,c3d5
6k1/R6p/6p1/1P3p2/P4n2/2N4P/1r6/5K2 w - -,a4a5
4r3/1R2Pk1p/p7/3p3R/4r3/8/1K6/8 b - -,f7g7:e4e7
r1b2rk1/4qp1p/2p3p1/p1n1p3/2PpP2P/5NN1/PP1Q1PP1/R4RK1 w - -,h4h5
3r2k1/1b1P1p1p/1N2n3/4N3/8/5P2/5KPP/2R5 b - -,g8f8
r4rk1/pp1nq2p/2p1p3/3p1pp1/1PPPn3/3BPN2/PQ3PPP/R4RK1 w - g6,b4b5
8/1p2r2k/2p3pp/p2p4/3P1P1n/1P2P1Nq/P4Q1P/6RK w - -,g1e1
r3r1k1/5p1p/p2B4/1bpP1P1p/3bP2R/2N3P1/1n5P/RN5K b - -,b5d3
8/7p/5kp1/N1R5/3r1P2/2n2KPP/2P5/8 b - -,c3a4
r5k1/1p1r1p1p/p3p1p1/2P5/2P1R3/3P1P2/P4P1P/3R2K1 w - -,g1f1
2R1r1k1/1p1nqpb1/p6p/P2n1b2/1P2pPp1/Q3B1P1/4PNBP/3R2K1 b - -,e8c8
1k1r3r/1q1nbp2/1p2p1pp/pPp1P3/2PpNP2/3P2P1/1P1BQ2P/R3R1K1 b - -,d8g8
1rbq1rk1/1p2n1b1/p2p1n1p/1P1Pppp1/P7/B1N2NP1/4PPBP/2RQ1RK1 w - -,d1b3
8/8/2k2p2/pp2bP2/8/1P1K4/N1P5/8 w - -,c2c4
8/R4pkp/2r3p1/3n4/PP6/8/3K2PP/8 w - -,b4b5
2kr3r/pp3npp/2pB1p2/5b2/P7/2N3P1/1P2PPBP/R1R3K1 b - -,f7d6
r1bqk2r/1p2bppp/p3pn2/3n4/3P4/2N2N2/PP2BPPP/R1BQ1RK1 w kq -,f3e5
2bq1rk1/r4pbp/3pPnp1/p1p5/1nP1P3/R4NP1/1P1N1PBP/2BQR1K1 b - -,c8e6
6k1/2B2pp1/1P3b1p/3P4/qrp5/p6P/4QPP1/R5K1 w - -,e2g4
r2q1rk1/2pbbppp/4p3/p2nN3/Pp1P4/3B4/1PP2PPP/R1BQ1RK1 b - -,d5f6
r4rk1/pp2q1b1/3ppp2/4n1p1/4PB2/1PN3Q1/1PP3PP/3R1RK1 w - -,f4e5
2n1qr2/3b1rk1/1p1p1ppn/p1pPp2p/P1P1P2P/2PBBPP1/R1QKN3/6R1 w - -,d2c1
1R6/5kp1/1P3n2/7p/1r6/4R2P/5PK1/2r5 b - -,h5h4
6k1/5pp1/1pp1b2p/2b5/2P1P3/2Q3BP/6P1/3q1B1K w - -,c3d3
1r3rk1/p3n1bp/bqnp4/2p1Pp2/4P3/1NPPB2P/P2Q1RB1/R2N2K1 b - -,c6e5
8/2p5/pp1pk3/4pp2/2P4r/PP4NP/8/2K4R w - -,c1d2
r1bqkbnr/pppppppp/2n5/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq c3,e7e5
r2qk2r/4ppbp/5np1/2pPN3/1n6/P1N5/1P3PPP/R1BQ1RK1 w kq -,d1b3
r1bqr1k1/pp3p1p/n2p2p1/2pP4/2N2P2/2P5/P3PPBP/R2Q1RK1 b - -,b7b5
r3k1r1/1b3p2/p1p1p2p/1p2N1q1/PbpPPn1p/2N2B2/1P1Q1PP1/3R1RK1 w q -,g1h2
r3kr2/ppp2Npp/8/3Bp3/4K2P/3P4/PPn3bP/RNB4R w q -,e4e5
3r1k1r/4bp2/1p3np1/1N2p2p/PQ4n1/3B2BP/2P3P1/R4R1K b - -,e7b4
rn1qn1k1/pp2r1pp/5p2/2p5/1PP3b1/P1Q1PB2/1B4PP/R3K2R w KQ -,f3g4
rnbqkb1r/pp3ppp/4p3/3p4/3p1P2/2PB1N2/PP3PPP/RN1QK2R w KQkq -,f3d4
r4rk1/ppp1qppp/2npbn2/2b1p1B1/4P3/1BPP1N2/PP1NQPPP/R3K2R b KQ -,a8d8
8/2R1k2p/p5p1/1p2PpP1/3r1P2/P7/7P/6K1 b - -,e7e6
r1bqr3/ppp2kp1/3p1n1p/n3p3/4P2N/2NPP2P/PPP3P1/R2Q1RK1 w - -,d1h5
r1bq1rk1/pp2bppp/2npp3/3nP3/2BP4/2N2N2/PP2QPPP/R1B2RK1 b - -,d6e5:d5c3
3kn3/N4Rp1/1p4p1/3Pp3/4P3/3nK1P1/7r/8 w - -,a7c6
1r1q1rk1/p2p2pp/1p2pb2/3n4/4N3/2PQ1N2/PP3PPP/R4RK1 w - -,a1d1
2r3k1/1q1p2pp/p3pn2/1p6/3P4/P2Q1NPP/1P3P1K/4R3 w - -,e1e5
8/2r2pk1/Q7/1p6/2q5/PR6/KPP4P/8 b - -,c7c5
3k3r/1pp3R1/1nb4p/p7/8/1B5P/P1P3P1/R5K1 w - a6,b3e6
rnbqk2r/pp4pp/2pb1n2/3p1p2/3P4/2N3PN/PP2PPBP/R1BQK2R w KQkq -,c1g5
2kr1b1r/p2qnp2/1p1Bp1pp/3pP2P/2pP1PQ1/2P3N1/P1P2RP1/1R4K1 b - -,e7f5
r2qkbnr/ppp2p1p/2npb1p1/4p3/2P5/2NP2P1/PP2PPBP/R1BQK1NR w KQkq -,e2e3:e2e4
r1bq1k1r/ppp1n1p1/2np3p/7Q/4P3/2N2N2/PP3PPP/R1B2RK1 b - -,d8e8
8/5r2/8/8/4k3/6K1/5p2/5R2 w - -,f1f2
r2q1rk1/pp1nbpp1/4p2p/3pPb2/4P3/1P4P1/PB1N1PBP/R2Q1RK1 b - e3,d5e4
r2r2k1/p2pbppp/1pq1pn2/8/2P5/1PN2QP1/PB2PPKP/R4R2 b - -,d7d5
r4rk1/1bqn1pbp/pp1pp1pB/8/2PNP3/1P4P1/P2Q1PBP/3RR1K1 b - -,f8d8
r1b2rk1/pp1n3p/2pbp2q/3p1pp1/2PPnP2/1PN1P3/PBQNB1PP/R4RK1 w - g6,g2g3
1rb3k1/r4pp1/2q1p2p/1pN5/1QpP4/2P1PP1P/1R2RKP1/8 b - -,c6b6
3r2k1/pr3pp1/2pp1b1p/4p3/N3P3/8/PPP2PPP/3R1R1K w - -,c2c4
r4rk1/pp1bp1b1/n2p3p/2pP3q/2P1Np2/PP4PP/1BQ3BK/4RR2 w - -,b2g7
r1b3k1/ppR1ppq1/6pQ/3p2N1/8/3P2P1/PP2PP2/4K3 w - -,h6h4
8/8/P2k4/1K1B2p1/3bP2p/7P/6P1/8 w - -,d5b7
8/4k3/2PpB2P/p4K2/1p6/1P6/P4b2/8 b - -,e7d8
5rk1/6pp/3r4/4p2P/3b4/7P/2R2PB1/5RK1 w - -,f1c1
7k/2p3r1/1BRb4/p2Pp3/4Pr2/8/1P2K1p1/6R1 b - -,f4e4
8/1p4k1/p1b2p2/2P3pp/7P/1P3P2/P3RBP1/3r2K1 w - -,g1h2
rnbqkb1r/pp3ppp/2p2n2/3pp3/2P5/3P2P1/PPQ1PPBP/RNB1K1NR b KQkq -,f8d6
2r1r1k1/pb3pp1/1p5p/1Pq5/2pNP2B/P2Q4/6PP/2R2RK1 w - -,d3c3
r3r1k1/qp1n1ppp/2pb1n2/3p4/p2P4/P1N1P1P1/1PQ2PBP/1RB2RK1 w - -,b2b4
1qrr2k1/2b2pp1/ppb1pn1p/4p3/1PP1P3/PNN1QP2/4B1PP/2RR3K b - -,f6h5
8/p4k1p/5Pp1/q1p1rP2/r2n4/7P/P4R2/2QR2K1 w - -,c1h6
rnb1k1nr/pp1ppp1p/6p1/8/4P3/N1q2N2/P2Q1PPP/R1B1KB1R b KQkq -,c3a1
rnbq1rk1/ppp2ppp/5n2/3p4/1b6/2N2NP1/PPQPPP1P/R1B1KB1R w KQ -,d2d4
r3k2r/pp1bnppp/1q2pn2/2pp4/3P4/2PBPNP1/PP1N1PP1/R2Q1RK1 w kq -,d1b3
8/5b2/8/1p6/4KP2/2P4k/5P2/8 b - -,h3g4
r2q1rk1/pp2b1pp/2ppb3/5p2/7P/2PBBP2/PPPQ1P2/2K3RR w - -,c1b1
rnb1r1k1/1p3pbp/p2p1np1/q1pP4/P3PP2/2N5/1P1NB1PP/R1BQ1RK1 b - -,b7b5
6k1/r2b1pp1/prp4p/2Rp4/1P1R4/P5P1/2N1PP1P/6K1 b - -,b6b5
3r1rk1/1pp2p2/p1n1qnpp/P3p3/4P3/1PP1N3/2QN1PPP/R3R1K1 w - -,b3b4
r2r2k1/1b2Bppp/1p2p3/p2n4/n2N4/PP2P3/5PPP/2R1KB1R b K -,d5e7
5r2/3B1pk1/6p1/7p/2PR4/5r2/PP3n2/1K1R4 w - -,d1g1
r4rk1/2q1bppp/1n1p1n2/1bp1pNB1/pp1PP3/2P2N1P/PPB2PP1/R2QR1K1 b - -,b6c4
1k6/2p5/7R/1PP5/KP6/6rp/8/8 b - -,b8b7
7k/6b1/p3B1p1/2q5/r1P1p2p/7P/4RPPB/3R3K b - -,a4a1
3r2k1/pp2ppb1/r5p1/3p3p/3P1B2/2P5/PP1K1PP1/R6R w - h6,h1e1
r4rk1/pp4p1/2pbbq1p/5p2/2P5/1P2BQ2/P1B2PPP/1R3RK1 b - -,d6e5
rn1qkb1r/ppp2ppp/4pn2/3p1b2/2PP1B2/2N5/PP2PPPP/R2QKBNR w KQkq -,e2e3
r1b2r1k/pp2qnpp/2p1p3/3p1p2/2PP1P2/3NP2P/PP1Q1PBK/2R2R2 b - -,e7h4
r3qrk1/1pp3pp/pnp1bp2/2b1pN2/4P1Q1/3PN3/PPP2PPP/R1B2R1K b - -,e8d7
3rrk2/pp1nb1p1/4Rn1p/2pP1N2/2P4P/8/PP1B1PP1/1K1R4 b - -,f8f7
2b3k1/7p/p1q2pp1/1p1p4/1P1P1QP1/P5NP/5PK1/8 b - -,g8g7
3r1rk1/6qp/1p1p4/pPnBpp2/P6P/1P2Q1P1/1R3P2/3R2K1 b - -,g8h8
8/8/4pk2/1p2Npp1/8/P4bP1/3K1P1P/1r6 w - -,e5f3
rr4k1/3qpp1p/3p1bp1/p1pP4/2N1P3/1P1Q2P1/P4PKP/1R2R3 b - -,a5a4
r1bq1rk1/pp3pbp/3p1np1/2ppn3/2P1P3/2N1BP2/PP2B1PP/R1NQK2R w KQ -,c4d5
1rr5/4k3/1p1pp2p/p5pP/P3Pb2/3R1P2/1PP2P2/1K1R4 w - -,c2c3
6k1/r4P2/8/8/2PK1N2/3B1R2/6P1/3r4 b - -,a7f7
r3k2r/pp2bppp/4p3/4Pn2/2p1N3/4B3/PP2KPPP/R2R4 w - -,a1c1
3r1rk1/1q1nbppp/1pb1p2n/pNp1P3/P1P5/1P3NP1/1B2QPBP/R3R1K1 w - -,e1d1
2r2rk1/2pR1pp1/p1P3p1/1p4N1/5P2/1P6/P1n2PKP/2R5 b - -,c2a3
r3r1k1/pp2qppp/1npp1n2/5b2/2PPp3/1PN1P1P1/P1NQ1PBP/4RRK1 b - -,d6d5
7k/2R4p/6p1/2p5/8/8/2r3PP/6K1 b - -,c5c4
rn1qk2r/pp3ppp/2pBpn2/3p4/3P2b1/4PN2/PPPNBPPP/R2QK2R b KQkq -,d8d6
2rqr1k1/pp2ppbp/3pbnp1/n2N4/4P3/1NP3PP/PP3PB1/R1BQ1RK1 w - -,b3d4
4b3/5p2/1p3k2/p2p2p1/3P4/PN2NP1n/1P3P2/6K1 w - -,g1f1
8/6pk/8/4P2p/p1qQ4/Pb3P1P/6PK/4B3 w - -,d4e3
8/7p/8/B5bP/P5k1/3p4/8/4K3 w - -,a5b6
8/1r1b2k1/4p1p1/p2p2P1/2pP1P2/2P5/P6R/2KB4 b - -,b7b8
r1bqr1k1/1p3pbp/2pp2p1/8/N1P1n3/BP2PQPP/P4PB1/2R2RK1 w - -,f3d1
r2n2k1/1p2bpp1/p2p3q/4pQ2/P1P1P1Pp/1P6/1B3PKP/R2R4 w - -,h2h3
2r5/2q1bpk1/p1npp1p1/1p5r/4PP1p/NPP4P/P2RQ1PB/3R3K w - -,a3b1
8/3b2kp/3p4/1p6/1K3PP1/5N2/8/8 b - -,d7g4
r2qn1k1/7p/1p6/1B1P4/1p2ppr1/7Q/PN3KPP/1R6 b - -,d8h4
r3kbnr/1pq3pp/p1p1bp2/2p1p3/4P3/3PBN2/PPPN1PPP/R2Q1RK1 w kq -,a2a3
r2r2k1/pp3ppp/5n2/1N1pq3/6B1/1P2P3/P1Q2PPP/R1R3K1 b - -,f6g4
r2q1rk1/ppp1bpp1/1nn4p/3b4/1P1PN3/P2B1N1P/1BQ2PP1/R4RK1 b - -,e7d6
2r3k1/1qr2pp1/pn1bp2p/1p1p4/1P1P4/PQR1P1P1/3B1P1P/2R1N1K1 w - -,e1d3
r1b1kb1r/pp4pp/1n2Pp2/n3p3/8/1BN2N2/PP3PPP/R1Bq1RK1 w kq -,f1d1
2r2rk1/1p1qbppp/p1n1p3/3nP3/8/P1N2N2/1P1B1PPP/R2QR1K1 w - -,h2h4
8/8/r7/2pR4/2P1pp2/1K2k3/6P1/8 w - -,d5c5
8/1p2r3/p1pk1rp1/P2p1p1p/1P1K1P1P/3NPB2/8/6R1 b - -,e7e6
6b1/6k1/7p/4Q3/1br1N3/6P1/7P/6K1 b - -,g7f8
1q3r2/1p1b1n1k/pQ1p1p1p/P2PpPp1/4P3/3BN1PP/1P5K/2R5 b - -,f8c8
r2r2k1/p3b1pp/4qp2/5p2/1pPPb3/3Q1NB1/P4PPP/R2R2K1 w - -,d3b3
8/1p1b4/2pb1nkp/P3p1p1/4PnP1/1PPB1K1P/3B1N2/3N4 w - -,d2e1
r2qk2r/1b2bppp/p2p1n2/1p2p3/2P1P3/N2B4/PP3PPP/R1BQK2R w KQkq -,d1e2
rn1qk2r/1b2bppp/p2ppn2/1p4B1/3NP3/P1N2P2/1PPQ2PP/2KR1B1R b kq -,b8d7
r4rk1/ppqn3p/2pbb1p1/5p2/2P5/3NPBP1/PPQB2KP/R4R2 b - -,a8e8
1r2r1k1/p1pb1ppp/1b3n2/3Pq3/2Q1p3/P1N1P3/1P2BPPP/R1B2RK1 w - -,g1h1
3q1rk1/p3ppbp/1n1p2p1/3P4/pPr5/3QB1PP/P4PB1/1R3RK1 b - -,d8c7
4k3/pp4r1/3r2n1/4N1R1/3P4/4p3/PP6/4K1R1 b - -,g6e5
1k1r1n1r/pppqnpp1/3p2p1/4p3/3PP1P1/1QP1B2P/PP3PB1/R3K2R b KQ -,d7e6
1r3rk1/1pp3p1/3pb2p/P3p3/1p2P3/5NP1/1PPN2PP/4R2K w - -,h1g1
r4rk1/pbq1ppbp/2pp2p1/4n3/1PP1P3/6P1/P2N1PBP/1RBQR1K1 w - -,d1b3
r1b3nr/pp4p1/2p2k1p/4q2Q/4P3/2N5/PPP3PP/R4RK1 b - -,f6e6
6k1/4prb1/1p1p2np/2p2p2/P4Pp1/2P1P3/1P1R3B/5RK1 w - -,h2g3
r2qkb1r/pp1n1ppp/2pnp1b1/3p4/2PP3N/2N1P1P1/PP2BP1P/R1BQ1RK1 w kq -,c4d5:b2b3
2r3k1/6pb/1r1bp2p/1p1p3P/2nP2P1/P1B3NK/1P4B1/3RR3 b - -,d6g3
1r3k2/1p1RN1p1/pn3p1p/3p4/3P4/P3P1P1/1P2BP1P/6K1 b - -,b6d7
8/8/6R1/7p/ppk1nP2/8/K5PP/8 b - -,e4c3
2b1r1k1/p3q2p/2p1p3/2N3p1/2BR1r2/1P2Q3/P5PP/4R1K1 b - -,e7c5
8/3k4/1R4pp/1b1P4/2p1p1P1/1r4P1/4BK2/8 b - -,b5a4
8/p1r3k1/P3Qp2/1K2b1p1/6P1/7P/8/8 w - -,e6e8
8/8/1R5P/6k1/8/6P1/5K2/7r b - -,h1h6
rn1q1kr1/1p1bNppp/p4n2/6B1/Q7/5N2/PP2BPPP/3R1RK1 b - -,d8e7
1r3r2/4qbk1/R2p1pp1/2pP4/2P1PN1P/1PQ5/5R1K/8 b - -,b8a8
2R5/8/8/3kp3/6P1/2Pr1K2/8/8 w - -,f3f2
r7/8/5pk1/3p2p1/pB1Pb1P1/6pP/R4K2/8 w - -,f2g3
r3r3/pp2qpkp/2ppb1p1/2n5/2P1P3/1P4PP/P1QN1PB1/3RR1K1 b - -,a8d8
rr1q2k1/3n1p1p/b5p1/3Pp3/1P2P3/2NnN1PB/2RQ3P/1R4K1 w - -,b4b5
rn2k2r/p2q1pb1/1p2p1pp/1Q1pP3/P2P3P/5N2/1P3PP1/R1B2RK1 w kq -,c1d2
5b2/5p2/5rkp/2PQ1p2/5P2/7P/7K/8 w - -,c5c6
r4rk1/1p2bpp1/2p1pn1p/p2qN2P/3P4/4B3/PPP1QPP1/1K1R3R b - -,a5a4
8/5kp1/8/p2bp1P1/3p3P/3B2K1/nP1B4/8 w - -,d2a5
r1b2rk1/2q1bppp/3p1n2/pp1Pp3/1n2P3/5N1P/PP1N1PP1/RBBQR1K1 w - -,d2f1:a2a3
1qrb2k1/5ppp/p1b1p1n1/1pP5/1P6/P1N1B2P/2Q2PP1/4RBK1 b - -,b8b7
2r1r1k1/p2b1pq1/3pp3/1p4Pp/2nNPN2/1B1Q4/PPP5/1K4R1 b - -,c8c5
7R/1p3rp1/p3p1k1/P2bP3/1B3PpP/2P3K1/8/8 w - -,g3g4
r1bq2k1/pp5p/6p1/2B1br2/2P2p2/1P6/P1Q2PBP/4RRK1 w - -,g2d5
2k5/p1p1b3/4p3/1pPnPppp/1P6/1PBr1PN1/5KPP/2R5 w - -,c3e1
r1qr2k1/pb2bp1p/1p3p2/1Bp5/Q3N3/P1P1P2P/1P3PP1/R4RK1 b - -,g8h8
r1r3k1/4qpp1/n3pnp1/pP6/2PP1B2/P4Q1P/5PP1/R4RK1 w - -,b5a6
3r3k/7p/3q4/pp6/4Q2P/3p2P1/P2R3K/8 w - -,e4f5
r1bq1rk1/ppn3b1/3p2pp/2pPp3/2P1Pp2/P1N2PP1/1PQ1N1BP/1R3RK1 b - -,g6g5
1r6/1r1bq1k1/Q2p1pp1/3Pn3/1Pp1P2p/4B3/4B1PP/4RR1K b - -,b7b4
2r1r1k1/p3ppbp/npp3p1/2Pp4/3P1B2/qPQ2BP1/P1R1PP1P/3R2K1 w - -,f4c1
r2q1rk1/p1R2pp1/1n2pn1p/1p1bB3/7Q/P2P1NP1/P4PBP/3R2K1 b - -,f6d7
7r/3q2k1/2p1p1p1/Q3P3/P1pP1RB1/5N1P/1r3nPK/8 b - -,f2g4
3r2k1/pp2q1pp/2p1p3/4Pp2/2Qr1P2/4P3/PP4PP/2R3K1 w - -,e3d4
r2q1rk1/pbp1bpnp/1p1p1npB/3Pp3/4P1P1/1NPB1N1P/PP1Q1P2/R3R1K1 b - -,g8h8
2r1k3/1pqb2p1/pb2p3/3pp1r1/PP1n3N/2P3B1/3NQPPP/2R2R1K w - -,e2e1
4q1k1/pp3pbp/1np1b1p1/8/4PP2/BP4PP/P1Q1N1BK/3r4 w - -,c2d1
3rk1nr/6b1/1p4p1/4P3/1P3PP1/2Pn2N1/1P6/R1B2RK1 w - -,c1e3
6k1/p4p2/1p2q2p/6p1/2PrQ1K1/4R2P/8/2R5 w - -,g4f3
8/4P3/3K4/Q7/8/1k6/4q3/8 b - -,e2h2
r2q4/2pb1r1k/1p1p1bpp/1N1Pp3/PNP1Pn2/4B3/6PP/R1Q2BK1 w - -,a1a3
2kr1b1r/ppqn1ppp/2pp2b1/4PP2/2PP4/1BN5/PP2Q2P/R1B2RK1 b - -,d6e5
3r3k/2q2pp1/p4n1p/1p2pP2/7Q/P1NP4/1P4PP/5R1K w - -,h4h3
r1bq1rk1/pp2bp1p/2p1pnp1/4N3/3P4/3BB2Q/PPP3PP/R4RK1 w - -,h3h6
1r2q2k/2n1b1pp/p2p4/2pPp1r1/2N1Pp2/2NK1P2/RPP3PP/5QR1 b - -,b8b4
r2q1rk1/pp2ppbp/5np1/2pp1b2/1n1P4/2NNP1P1/PPP2PBP/R1BQR1K1 b - -,f5d3
q3r1k1/5p1n/3p4/1R2p3/2P1P3/3PBPP1/1Q4K1/8 w - -,b5b6
5rk1/pp1r4/4qb1p/3p2p1/2pP4/2P2Q2/P1PB1RPP/4R1K1 b - -,e6c6
4r1k1/5pq1/1pp1r1p1/p2nP1P1/5P2/5R1Q/1P5P/1B2R2K b - -,g8f8
2rq1rk1/pp1b1ppp/4pn2/n1ppN3/2PP4/P1PBP3/1B3PPP/R2Q1RK1 w - c6,c4d5
5k2/2n2p1p/3p2p1/2rP4/1NpR1PP1/r1P3KP/P1R5/8 w - -,d4e4
r4rk1/8/1p1NR2p/3P2p1/p1Pq4/Q4PP1/5P2/6K1 w - -,d6e4
r1b1k2r/pp3ppp/2pb4/8/2B5/4B3/PPP1KPPP/R6R b kq -,e8g8
6r1/p3qk1p/bp6/2p2p2/2P2Pp1/2Q1p3/PB2B1PP/3R2K1 w - -,d1d5
rnbq1rk1/pp2b1pp/2p1pn2/3p1p2/3P1B2/3BPN2/PPP1NPPP/R2Q1RK1 b - -,b8d7
2r2rk1/p2n1ppp/1q1bp3/3b4/3NnQ1P/1P3NP1/PB2PPB1/R4RK1 w - -,f4g4
4r3/pp1n1pkn/2p3p1/3pP2p/7P/2PN1PP1/PP1BRK2/8 w - -,g3g4
8/4k3/1pB3p1/6n1/1P2P3/6N1/6K1/8 w - -,g2f2
7R/5k2/8/5p2/8/4p1P1/5r2/6K1 w - -,h8a8
r4rk1/5q1p/1p3np1/n1p1pp2/P1b5/2Q1PPN1/2B2RPP/2BR2K1 b - -,f8e8
r1b1kbnr/p1qp1ppp/2p1p3/2p5/4P3/2NP4/PPP2PPP/R1BQK1NR w KQkq -,f2f4
8/pp1Rp3/1knr3p/8/2n2PB1/2P5/P6P/1KB5 w - -,b1c2
5nk1/1p2rp1p/p2p1Rp1/3P4/6B1/2P1r3/PP4PP/5R1K w - -,f6d6
8/3Rp1k1/5bpp/5Q2/3p4/6P1/5PKP/8 b - -,g6f5
1q4k1/5ppp/5n2/8/p7/Q4P1P/6PK/8 w - -,h2h1
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/3P4/4PN2/PPP1BPPP/RNBQ1RK1 w kq -,b2b3:c2c4
2rq1rk1/1b1n1ppp/1p2pn2/pQ1pN3/N2P4/6P1/PP2PPBP/R1R3K1 b - -,c8c7
r1bqkbnr/pppn1ppp/4p3/6B1/3PN3/8/PPP2PPP/R2QKBNR b KQkq -,g8f6
6r1/p1rq1pk1/1p2p3/3bRB2/2pP4/2P5/PP2Q1P1/4R1K1 w - -,f5e4
r2qr3/1ppb1pbk/3pnnpp/3N4/p1P1P3/4BPPP/PP1QN1BK/2R1R3 w - -,e2c3
6k1/5p2/6pp/ppp1PP2/1b1r2P1/5K2/7P/R3R3 b - -,g6f5
r1r3k1/2qnppbp/p5p1/2pp1P2/P7/2nBBN1P/3N1QP1/R4RK1 b - -,c7d6
5rk1/pp4p1/4R1Bp/1b6/3P4/P1P5/6PP/6K1 w - -,e6e1
1R6/3Bk3/bPp2p2/p5p1/6P1/4KP2/8/8 b - -,e7d7
r4r2/pb1qpp1k/np4pp/3P3P/4P3/5N2/PQ2BPP1/R3K2R b KQ -,g6g5
8/8/p1p2k2/1bP1p2p/1P1nB1pP/PN4P1/1K3P2/8 b - -,d4e6
1r2n1k1/5pp1/4b3/8/1Bp5/2N2PP1/P2R3P/4K3 w - -,b4e7
r3r1k1/4bppp/p1qp1nb1/1p2pN2/2n1P3/2P3NP/PPB2PP1/R1BQR1K1 b - -,e7f8
4rrk1/p4qp1/1p3n1p/2pb4/3p3P/3P2PB/PPQ2P1N/R3R1K1 b - -,g8h8
1n1q1rk1/rp2b1pp/p3p3/3pPp1b/3P4/3BP2P/PPQN2P1/R1B2RK1 b - -,b8c6
rnb1kb1r/3ppppp/8/qBpP4/4n3/2N1P3/PP2NPPP/R1BQK2R b KQkq -,g7g6:c8a6
r2r2k1/pp2ppbp/6p1/5b2/2B2B2/5P1P/PP1q1P2/3RK2R w K -,f4d2
rn3rk1/p1pp2pp/1p2pq2/3P1p2/2P5/Q1P3P1/P3PPbP/3RNRK1 w - -,e1g2
1k1r1b1r/pp1qnp1p/3p4/3Npp2/5P2/2P1B3/PP4PP/R2Q1RK1 w - -,d5e7
8/5p2/5k1p/6pP/pR3PP1/P5K1/1P1r4/8 b - -,d2d3
4R3/5k2/7r/1r2p2P/4Pp2/5B1K/6P1/8 w - -,e8a8
5bBk/7p/5p2/4pN2/1p1pn3/6PP/P3Q1RK/5q2 b - -,f1f5
4q1k1/1b1nb2p/pn1ppB2/1p5N/3PP3/1P3Q1P/P3R1B1/6K1 b - -,d7f6
r2qnk1b/3b4/pp1PppQ1/2pnp1p1/P1P1N1P1/5PN1/1P6/R1B1KB2 w Q -,c4d5
r7/p2k1ppp/2n5/1n6/8/4P1P1/1P2K2P/R1R5 w - -,c1c4
