8/p4r2/1pbP3R/4P3/5Bk1/6P1/PP6/4K3 w - -,e5e6
r2q1r2/pp2n1bk/2npb1pp/2p1pp1P/4P3/2PPBNP1/PP1Q1PB1/R3RNK1 b - -,g6h5
rnbqr1k1/pp3pbp/3p1np1/2pP4/4P3/2NB1N1P/PP3PP1/R1BQK2R w KQ -,e1g1
3r2k1/p4ppp/1pr1p3/8/3P4/b1P1B1P1/P4P1P/1R3RK1 w - -,b1b3
3kr2r/p1q4p/6p1/1bpPpp2/1pR4P/3P1B2/PQP2PP1/2K1R3 w - -,b2b3
r3r1k1/1p1n1pp1/2p4p/2P1pP2/p3R3/1PR3PP/P4PB1/6K1 w - -,b3b4
r5k1/1p3r1p/p1n1b1p1/5p2/2P1p3/2B3N1/P1P2PPP/1R2R1K1 w - -,c4c5
2rq2k1/1br2pbp/1p2n1p1/pP1p4/3Pn3/PB1Q4/1B2NPPP/R2R1NK1 w - -,f1d2
8/8/1pk5/p5R1/P6r/1KN5/8/8 b - -,h4b4
2r3k1/p3n1p1/qp2pn1p/3p4/5PP1/P6P/1P1QPBB1/5RK1 b - -,a6c4
3q4/p1r2pbk/1pPB2p1/3Qp2p/4P3/1P3PPB/P5KP/8 b - -,g7f6
4rrk1/6n1/2pp3R/p2P1Pp1/1p1bq3/4NR2/PPP1QB2/7K b - -,g5g4
2q3k1/r2nrpbp/2p1b1p1/p1P3B1/3p4/1N3P2/PP1Q2PP/R3R1K1 w - -,g5e7
rn1qk2r/p3nppp/1ppbp3/3pN2b/3PPB2/1QP5/PP1N1PPP/R3KB1R w KQkq -,e5d3
1r1br1k1/5pp1/3p2qp/1ppPn3/4P3/1P2BP1P/3NQ1P1/2R1R1K1 w - -,f3f4
5rk1/pb3p1p/4pqp1/2b1P3/1pP5/1P3NQ1/P5B1/5R1K b - -,f6g7
2rqk2r/1p3pp1/2ppb2p/p3p3/P2PP2b/2P1B3/1PN1QPPP/R4RK1 b k -,h4g5
6r1/1k2nr2/1p6/p2R4/P2N1Bp1/2P3K1/1P3PP1/8 w - -,d5h5
r5k1/p4p2/6p1/2Nrp3/6P1/4B2P/PPb2P2/R5K1 b - -,f7f5
8/1r6/2k3p1/2p1p3/P1K1P3/4P3/8/3B4 w - -,c4d3
3r2k1/R1R2pp1/4pq1p/p2r4/1b1PQ3/1P2B1PP/P4PK1/8 b - -,b4a3
r1b1kq1r/1p1n1ppp/p1p1p3/2P5/3PB3/2P2N2/P4PPP/R2Q1RK1 b kq -,f8e7
8/4k3/1p2p1pp/3pP3/p2P2P1/2b1r2P/2K5/3R1B2 w - -,d1d3
r1b2rk1/ppp1npp1/5qnp/8/2BP4/P3B3/2PQNPPP/1R3RK1 b - -,b7b6
5rk1/ppp1r1pp/1bnq4/3p2B1/P2P4/2PQ1N1P/4RPP1/R5K1 b - -,e7e2
8/5k2/4p3/1N1b1p2/8/PPK1R3/8/5r2 w - -,b5d4
r1bqr1k1/5ppp/nppb1n2/p2p4/3P1N2/PQNBPP2/1P1B2PP/R4R1K b - -,d6f4
8/3n1pk1/2p1p1p1/p2p2P1/P6P/1rP5/8/2KR3R w - -,c1c2
rnb1k1nr/1pq1bppp/p2pp3/8/4P3/2N3P1/PPP1NPBP/R1BQK2R w KQkq -,c1e3:e1g1
5rk1/p3p1bp/3p1np1/1qnP1p2/8/P3BNP1/4PPBP/3Q1RK1 w - -,f3d4
r2qkr2/1Qp1p1b1/6pp/n3Pp2/3PpB1P/2N5/PP3PP1/3RK2R w K -,b7b5
r1bq1rk1/pp3pb1/3p2p1/2nPp2p/3nP2P/2NB1P2/PP2NBP1/R2QK2R w KQ -,b2b4
4bq2/p7/1p3k2/2p2p1Q/3p2p1/3P2K1/PPP5/4R3 w - -,e1e8
rnbqkb1r/1p1ppppp/p4n2/2p5/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq -,e7e6
r3r1k1/1p1bqppp/p2b1nn1/3p4/8/PP2PN1P/1B1N1PP1/R2QRBK1 w - -,b3b4
r1b2rk1/pp1n1ppp/3p4/8/2p4B/2q1P3/P1B2PPP/R2Q1RK1 w - -,a1c1
2kr3r/1ppq1p2/p3bb2/3p2Pp/3P1B2/1P5P/P1PQ2B1/1K1R3R b - -,f6g7
8/8/1k4P1/6KN/1p2QP2/1P6/3b4/3q4 b - -,d2c3
1kr5/pp6/4p1p1/3p1n2/2p2RB1/Pb4P1/1P1R3P/6K1 w - -,d2e2
rnb2r1k/ppbnq1pp/2p1P3/3p4/1P1N1P2/P1N3P1/6BP/R1BQ1RK1 b - -,d7b6
r1bq1rk1/pppn2bp/2np2p1/4pp2/1PP5/P2PPN2/1BQN1PPP/R3KB1R w KQ f6,f1e2
8/5p2/3k4/3p2p1/3P2P1/4P1N1/1r3PK1/8 b - -,d6e6
r3nbk1/ppp2q2/6pp/r2pNb2/8/2P3Q1/P1B2PPP/R1B1R1K1 b - -,f7f6
8/5kpp/2b5/2N2p2/1P3P2/6PP/1Nn5/6K1 b - -,c2b4
3r1r2/7p/2n1pbk1/1pp2pp1/p5P1/P2PPN1P/1PP1N1K1/3R1R2 w - -,c2c3
1knr3r/1ppbb2p/p3pp2/8/1PNP1P2/P4B2/1B4PP/R4RK1 b - -,c8d6
6k1/B2b1pb1/6pp/1p1Bp3/4P3/1N6/PPr2PPP/1Rn3K1 b - -,c1e2
r1bk2nr/pppn1pbp/6p1/4p3/2P5/2N1BN2/PP2PPPP/2KR1B1R b - -,f7f6
8/8/4b3/8/3K4/6R1/1k6/8 w - -,g3e3
r2q1rk1/pb2bppp/1p2pn2/2p5/1nPP4/2N1PNP1/PB2QPBP/R4RK1 b - d3,c5d4
r1b1k2r/2p2ppp/p1p1pq2/8/2N5/6P1/PP2PP1P/R2QK2R b KQkq -,e8g8
r2qkb1r/pp1n1ppp/2p1pnb1/3p4/4P2N/3P2P1/PPPN1PBP/R1BQ1RK1 b kq e3,d5e4
r4rk1/ppp2p2/3p3p/3Rn1pP/4P1P1/5P2/PPP1B3/2K4R b - -,f7f6
rnbqk2r/pp2nppp/1b6/3p4/5B2/1NN5/PPPQ1PPP/R3KB1R b KQkq -,b8c6
8/R5bk/6pp/P7/8/5NP1/r4PK1/8 b - -,h7g8
r5k1/p2q3p/2n3pb/3p1p2/1ppP2PP/2P1PQ2/PP1N2K1/R3R3 w - f6,g4f5
r4rk1/pp1bqppp/3p1n2/2p2P2/4P3/2PQ2P1/P1P3BP/R1B2RK1 w - -,c1f4
6r1/4kp2/1p1pp2r/p1q5/P1P1Q3/1P2P1P1/5PB1/3R2K1 b - -,g8d8
1r1qk1nr/p3p1bp/2pp2p1/2p2b2/8/2NP2NP/PPP2PP1/R1BQ1RK1 b k -,f5c8
r3k1nr/pp1b1pp1/1q2p2p/3pP3/1P1b4/3B1Q2/P2N1PPP/R1B1R1K1 w kq -,a1b1
r5kb/qr5p/2pP1ppP/2p1p3/1nP1P1P1/p1N1Q1N1/P2R1P2/2K3R1 w - -,c1d1
8/4bN2/7k/7P/5PK1/8/8/8 b - -,h6g7
r3k2r/ppq1bpp1/2pp1n1p/3Pp3/4P1n1/2N1B2B/PPPQN2P/2K3RR b kq -,g4e3
r7/1p1rpk1p/p3p3/8/2P1P3/1P2BP2/P1R1K1PP/8 w - -,g2g4
8/1p1r1kr1/2b3p1/1p1pRpP1/2pP4/P1P2B2/1P1nNPK1/7R w - -,e2f4
3R1qk1/ppn3bp/2r3p1/5pN1/4p1P1/1P2B2P/P1P5/1K1Q4 b - -,h7h6
3r3r/1pk1n3/p2p3p/3Pp1b1/5pP1/2P2N1B/PPK2P1P/3RR3 b - -,h8h7
6k1/4b3/2b3P1/5P1K/3B4/5N2/8/8 w - -,f3h2
r2qk2r/pp2ppbp/2bp2pn/2p5/4PP2/2NP1N2/PPP3PP/R1B1QRK1 b kq -,f7f5
r2q1rk1/pp1nbppp/2n1p3/3pPb2/2pP4/2P1BN2/PP1NBPPP/R2Q1RK1 w - -,a2a4
2n5/8/1pp1kp1p/p2p2p1/P2P2P1/1PPNKP1P/8/8 w - -,d3c1
8/2P5/Nb4k1/1p4p1/4P2p/6K1/PP3r2/2R5 w - -,g3h3
4r2k/1pq3pp/p3Pp2/2n4N/2PQ4/1P5P/P5P1/4R1K1 w - -,h5f4
1r3r1k/2p3p1/p3bpQp/q3p2P/2P5/4NPP1/P2RP3/3R2K1 b - -,a5c5
8/7p/6k1/6P1/1rp5/6P1/1PR2K1P/8 w - -,h2h4
r4r2/1bp2pk1/pp1p1npp/3PpP2/P3Pq2/4Q1NP/1PP3P1/R2R1BK1 w - -,e3e1
r2qr1k1/ppn2pbp/4p1pn/4N3/3pRP2/1QP3N1/PP4PP/R1B3K1 w - -,e4d4
8/1p3P2/p3K3/8/6k1/8/PP3P1p/8 b - -,h2h1q
7k/1pp1r2p/1pnp1q1P/1N2n1r1/1P2P1pR/P1Q2pP1/1PB2P2/1K1R4 b - -,f6g6:g5g6
3r2rk/4q2p/2b2p2/p1N1pP2/1n6/2RPN3/4Q1PP/5R1K b - -,c6b5
1k5r/q4pp1/p1Q2n2/2b1pP2/8/2pR4/PPP2P1P/2K5 b - -,a7b6
6rk/2p4n/1p1p2qb/p4p2/P1PPpB1p/2P1P2P/3NQ1P1/5R1K b - -,h6f8
8/5p1k/2n1p1p1/4P3/4P2P/B1K2PP1/8/8 w - -,a3d6
r3r1k1/1p2bppp/p2p4/6Pn/5pqP/1P6/PBP1N1QK/R4R2 b - -,g4h4
2r3k1/p2R1pp1/7p/4Pp2/P1p5/4P2P/5PP1/4K3 b - -,c8c5
r3r1k1/p4pbp/2p3p1/8/3q4/B1n1N1P1/P1Q1bPBP/R3R1K1 b - -,e2d3
r1bqkb1r/pp2nppp/3pp3/8/3QPP2/2N5/PPP3PP/R1B1KB1R w KQkq -,c1e3
5k2/r1pr1p2/4pnpp/2R5/3P4/4PBP1/5P1P/2R3K1 w - -,g3g4
8/6pk/7p/5q2/7P/4Q1PK/8/8 w - -,h3g2
6k1/2p3pp/3p1r2/3Pp3/4P2n/2P1P2q/1P1NQ2P/6RK b - -,f6g6
rnbqkb1r/pp2p1pp/2p5/4Pp2/3P4/3n1N2/PPP3PP/R1BQK1NR w KQkq -,d1d3
2k5/p2r4/6pp/1b6/1P6/8/PP1Kp2P/1N2R3 w - -,d2c1
r2qnrk1/1p2b1pp/p1bppp2/6P1/3BPP2/2N5/PPP4Q/1K1R1B1R w - -,h2h7
5k2/6p1/3P2pp/4N3/7P/pK2p3/6b1/8 w - -,e5g6
4r1k1/p4b1p/2R3p1/2Q5/4Pp2/2Bqn3/PP4PP/4R1K1 w - -,c5d4
rnbqk2r/pp1p1ppp/1bp2n2/8/1PPN4/P1N1P3/5PPP/R1BQKB1R b KQkq -,d7d5
5r1k/3n2b1/3Q3p/Pq2P2P/4B3/5N1b/2P2B2/4R1K1 w - -,d6g6
1r3rk1/3nqpbp/p1b2np1/1Pp1p1B1/4P3/N1PB1N1P/1PQ2PP1/R3R1K1 b - -,a6b5
1r1b1rk1/1bq2ppp/1n1p4/4pP2/pPPpP3/6P1/P1R2NBP/R1Q1N1K1 b - -,b8c8
2rqr1k1/p1n2pbp/6p1/1ppP4/4PQ2/2N5/PP2BPPP/R3K2R w KQ -,a1d1
r3rbk1/1p3pp1/2p2np1/1p1p2B1/2nP3P/P1NNP3/1PR2PP1/5RK1 w - -,g5f6
4r1k1/P5p1/3pP2p/8/1pp5/1P4P1/6K1/4R3 w - -,e6e7
2r3k1/p1r3pp/1p2p3/1P1p2P1/3PnP2/1RP1R1N1/7P/6K1 b - -,c7c3
7k/6p1/2p4p/2p5/2P5/3P2P1/1q4PP/4Q2K b - -,b2d4
1kr2b2/1bq2p1r/p2pp1np/1p2n2N/3NP1P1/1P5P/P1P2QB1/1KBR1R2 w - -,c1b2
5r1k/p5pp/bp1q1b2/8/3PB3/5QP1/PP3P1P/3RR1K1 w - -,f3h5
6k1/1p3p1p/p6r/3p2p1/1P1Nr3/P3P2q/2R3Qb/2B2R1K b - -,h2e5
1k2r3/2p5/1p1p1p2/pP1P1P2/P1K1P1p1/1n2R3/4QqB1/8 b - -,f2e2
r1bkr3/pp1n3p/3K2p1/1Bp5/5P2/2P2N2/P5qP/R1BQ1R2 w - -,f4f5
6k1/pp3pp1/2b1p2p/q1b1P3/8/P3QN2/1PP2PPP/1K1N4 w - -,e3e2
2r1k1r1/ppqb1p2/n3p3/3pPn2/5P2/P1pQ4/2P1NBPP/R3KB1R w KQ -,h1g1
rnbq1rk1/5pbp/p1pp1np1/1p6/2PNP3/2N1BP2/PP1QB1PP/R3K2R w KQ b6,e1g1
r1bq2k1/4prbp/1n1p1n2/1NpP1p2/P4P1B/1PN2B2/2Q3PP/3RR1K1 w - -,g2g3
8/3P1k2/2B1p2p/p2qPp2/6p1/8/4QK1P/1r6 b - -,d5d4
r1bk3r/ppp1Rqb1/8/3p2B1/8/2PB3Q/PP3PPP/3R2K1 b - -,f7e7
8/8/6p1/5pkp/RP6/1r6/6KP/8 w - -,g2f2
r3kbnr/1pp3pp/p1p2pN1/8/4P1Pq/5Q1P/PPPP1P2/RNB2RK1 b kq -,h7g6
1rb1r1k1/2q2pbp/p2p2p1/1p3P2/2nB4/P1PB1N1Q/1P4PP/4RRK1 b - -,c4e5
2Nnk3/2R5/4p3/4Pp2/1bP2P2/8/r3N1K1/8 w - -,g2f3
r1b2rk1/ppp1qppp/1bnp1n2/8/1PB1PB2/1QPP1N2/P5PP/RN2K2R w KQ -,f4g5
r1bk1b1q/ppp5/2p3n1/8/4Pp1P/2NP4/P1PK1PP1/3Q3R b - -,f8b4
6k1/5p2/4pnpp/p7/1bqPP1P1/8/3N1P1P/1R4K1 w - -,d2c4
8/p2rk2p/6p1/8/8/5KP1/R6P/8 w - -,f3f4
r1rq2k1/1p1nppbp/3p1np1/1N1P4/1PP2P2/4BB1P/6P1/2RQ1RK1 w - -,c4c5
8/n1r3pk/Q3p2p/p1npN3/Pp1P1P1q/1P5P/2R2PP1/6K1 w - -,d4c5
8/1pp3pk/p2p3p/3PpP2/1P2Pn2/P1N3KP/2P5/8 b - -,h7g8
2Q5/p2r1nk1/1p1q1b2/3p1pp1/8/1P2B1P1/P3PPB1/3R2K1 b - -,d5d4
2rqnrk1/1p2bpp1/p1npb2p/4p3/2P1P3/N1N1B3/PP1QBPPP/2R2RK1 w - -,f1d1
r2q1rk1/pp1bppbp/2np1np1/8/B2NP3/2P4P/PP3PP1/RNBQR1K1 b - -,d8a5
r1bq1rk1/1pp1n1pp/1pnp4/8/4Pp1P/1NN5/PPP1QPP1/2KR1B1R w - -,a2a3
4rq1k/1br3bp/pp2p1R1/3p1p2/P4P1Q/2PBPN1P/1P5K/6R1 b - -,d5d4
8/r5kp/4b1p1/4P3/8/5P1P/R3RKP1/8 b - -,a7a2
6k1/6r1/p1q1p3/2pb4/2pbNP2/Pn3QP1/4R2P/1R3N1K b - -,c4c3
7r/3R4/P7/1K6/1Bn1k2p/2P5/8/8 w - -,b5c4
7k/2p2pbq/4p3/p3PpR1/P1nB3P/2P2PQ1/7K/3rR3 b - -,f5f4
2kr3r/p4p2/b3pP2/q1p5/PppB4/8/1PQ1BPPP/R4RK1 b - -,d8d4
4r1k1/pp1q1pbp/6p1/3p4/3N4/1P3PPP/P2Q1PK1/R7 b - -,a7a6
3r4/1b3rkp/p5p1/Ppp2p2/4pP2/2PPR3/1P4PP/3R1BK1 b - -,g7f6
8/2n2ppp/2p1k3/2P1p3/p7/2KN1PP1/P3P2P/8 w - -,e2e4
R7/6Bp/4k1p1/8/pnr2p1P/4KPP1/1P6/8 w - -,g3f4
r2q1rk1/1bp1bppp/p1np1n2/1p2p3/4P3/PB1P1N1P/1PP2PP1/RNBQR1K1 b - -,c6b8:d8d7:b7c8:f6d7
8/3k1p2/3b1B1R/3p1p2/5P2/1r5P/4K1P1/8 w - -,f6e5
8/1p4pk/1p6/3R4/3P4/P1r4P/5PP1/5K2 b - -,c3a3
1r4k1/5p1p/4p1p1/Q1p1b3/2P3q1/P7/1P2PPB1/1R3K2 b - -,g4c4
rnbqkb1r/1p3pp1/p2ppn1p/8/3NP1PP/2N5/PPP2P2/R1BQKB1R w KQkq -,h1g1:f1g2
8/3n1pk1/3p2p1/N2P3p/P3P3/5P2/2r3PP/3R2K1 w - -,a5b7
r3kb1r/1pq2ppp/p1n1b3/3pp3/Q7/N1P2N2/PP3PPP/R1B1R1K1 w kq -,f3e5
r1r3k1/1p3p1p/p2nq1p1/P1p5/4P3/2B2PP1/1P2Q2P/R3R1K1 w - -,e1d1
2r1kb1r/4p1pp/5p2/8/1RnNP3/5P2/6PP/1KB4R w k -,b4b7
5k2/1pq2pp1/p7/7p/7P/P3nPP1/QPP2R1K/4r3 w - -,a2b3
3R4/1r5k/3BK3/6p1/4P3/5r2/8/8 w - g6,e4e5
r2r1nk1/pb2qpp1/1p2p2p/2pnP2P/3p4/P2P1NP1/1PP1QPBN/R3R1K1 w - -,h2g4
1r6/5k2/5p2/6bp/1p1R4/3B2P1/2P4P/3K4 b - -,f7e7
r2qkb1r/p2n1ppp/b1p1p3/2ppP3/5P2/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,f8e7
7k/p1q3b1/P1b4p/1pp1p3/6p1/2P1B1P1/1P4BP/4Q1K1 w - -,e1f2
r1bqk2r/1p2bppp/p1n2n2/3p4/3PpN2/2N1P3/PP1B1PPP/2RQKB1R w Kkq -,h2h4
3r2k1/1p3ppp/p4n2/1Prp4/8/2NRP3/5PPP/1R4K1 w - -,b5a6
8/5k2/8/7p/6Rp/4KP2/r5P1/8 w - -,g4h4
8/8/8/k1p5/P7/PK4p1/5pB1/2b5 b - -,a5b6
1k1r3r/ppb1qp2/2p1b3/3pPBp1/2nP2Pp/2N2P2/PPQ2NP1/1K1RR3 w - -,c3a4
2rr2k1/p3Bpbp/2B2np1/3P4/N1P5/6P1/P4P1P/R4bK1 w - -,a1f1
r2q1rk1/ppp1ppbp/2np2p1/8/2PPb3/2P1BNPP/P3PPB1/R2Q1RK1 w - -,f3d2
4r3/p5kp/P5p1/5p2/8/4rP2/1R4KP/5B2 b - -,e8e7
5Q2/1r1q4/3k1p2/3pp2r/1p4RP/1P3R2/1PP3PK/8 b - -,d7e7
r3k2r/pp1bppb1/2p2n1p/q1p3p1/3PP3/1NN3P1/PPQ2PP1/2KR1B1R b kq -,a5c7
r4rk1/3nnpp1/1p2p2p/3pP2P/b4B1R/P1qB1N2/2P2PP1/R2Q1K2 b - -,d7c5
1r3k2/1pR2p2/p3r1pp/3R4/4K3/P7/6PP/8 w - -,e4d3
8/2r2pb1/4p1p1/3p1k1p/7P/2P1PKP1/1R1B1P2/8 w - -,b2b3
8/p1R5/P2p1k2/3P3B/4n3/5KP1/1r6/8 b - -,e4c5
r2q3k/ppp3r1/3pPnnp/1N3p2/1PP1pP2/7Q/P3B1PP/R4RK1 b - -,f6g8
r2qkbnr/pp3ppp/2n5/2pNPb2/2p5/5N2/PP2BPPP/R1BQK2R b KQkq -,g8e7
rnb2rk1/pp2qppp/4pn2/b1p5/2BP4/P1N1PN2/1P2QPPP/R1B2RK1 b - -,c8d7
8/4bbpk/1p6/1Np2p1p/4pP1P/1P2P1P1/2Q2K2/q2B4 b - -,g7g6
2b5/8/pK2k1pp/1p2n3/4p2P/P3N1P1/1PB2P2/8 w - -,c2e4
R7/5pk1/8/7p/2b2K2/1r2N3/p4P2/8 b - -,b3b1
rnbq1rk1/pp1nppbp/6p1/2pp4/3P1B2/2P1PN1P/PP1N1PP1/R2QKB1R w KQ -,f1e2
2r2r2/pp2ppkp/3p1n2/3P1p2/2P2P2/8/PP2B1PP/3R1RK1 w - -,e2d3
2r3k1/1q2bppp/p7/np1rp3/8/N1P1B2P/PPQ2PP1/R3R1K1 b - -,e7a3
r1bqk2r/2p3b1/pn1p2pp/1p1Ppn2/7P/P1N2P2/1PPQ1BP1/1KNR1B1R b kq -,e8g8
r2qkbnr/pb3ppp/1pp1p3/4P3/8/3B4/PPP1QPPP/RNB1K2R b KQkq -,g8e7
r4k1r/pN3ppp/1n2n3/1p3P2/8/P2R2P1/P5BP/R4K2 b - -,e6c7
8/4k3/p6R/8/1P2pr2/P7/6P1/6K1 w - -,h6h3
6k1/5pp1/1qp2n1p/pp1rb3/P6Q/1N2P1P1/1PB2P1P/1R4K1 w - -,c2d1
rn1qkb1r/1p3ppp/2p1pn2/p1Pp1b2/3P1B2/4PN2/PP1N1PPP/R1Q1KB1R w KQkq a6,a2a3
8/4k3/6Rp/3pPp1P/p4P2/r5P1/8/4K3 w - -,g6h6
2r3r1/1p2np2/p2k2b1/5p1p/3Pp2P/2N1PP2/PP1KB3/2R3R1 b - -,g8d8
rq2k2r/1p1bbppp/p1nppn2/8/3NP3/2N3P1/PPP2PBP/R1BQ1RK1 w kq -,h2h3
5rk1/1p2q1p1/3p1r1p/3Rp3/1P6/6P1/3QPP1P/3R2K1 w - -,f2f3
5r2/7k/p2P4/2P3b1/2B1p3/6P1/P5P1/2K5 w - -,c1c2
2R5/3r4/4r3/1p4p1/P2Bp1Pp/1kP1K3/8/8 w - -,a4b5
r3r1k1/1pq1ppbp/p2p1np1/2PP4/1P1B4/2N5/P3QPPP/2RR2K1 b - -,c7d7
1rb1kb1r/2q2ppp/p1nppn2/1p6/4PB2/PNN3P1/1PP2PBP/R2Q1RK1 w k -,f1e1
3rr3/1kp2p2/p1nq1n1p/1p1pP1p1/4P3/2PQ1N1P/PP1N1PP1/K2R3R b - -,c6e5
r2q1rk1/ppp1ppbp/3p2p1/3Pn3/2P5/6P1/PP2PPNP/R1BQ1RK1 w - -,d1b3
6k1/1p1R2pp/p1n2r2/2b1p2P/5P2/P3p2R/1PP3P1/1K3B2 w - -,b2b4
8/8/B7/p7/P1P5/2r5/3K4/1k6 b - -,b1b2
1Q4k1/2p3r1/1nNb2q1/2pPp3/2P1Ppp1/8/5PP1/1R1B2K1 b - -,g8h7
2r3k1/4Rp1p/p4npQ/3p4/2b5/7P/q2N1PP1/4R1K1 b - -,c4b5
1k5r/1p2b2p/2r1p1p1/4Pp1n/pqPN3P/1P2QP2/P1B5/1K1R3R b - -,c6c4
4r1k1/1p3qb1/pBpRb1pp/P3pp2/2P5/1PP3P1/3Q1PBP/6K1 b - -,e5e4
1r5k/R4R1p/3P2p1/8/1p6/3B1pq1/1P6/5K2 b - -,g3g2
8/3Bk1pp/1p1R1p2/1N6/8/P5PK/1r5P/8 w - -,d6d5
8/4k3/1pb5/1N2bp2/2B2Ppp/4P2P/P4K2/8 b - -,g4g3
2r5/krP5/p7/8/3q4/P1R5/1P5Q/K1R5 b - -,a7a8
3rr1k1/ppqnbpp1/2p2n1p/4p3/2P1P3/3P1bPP/PBQ1NPB1/2R1R1K1 w - -,g2f3
5rk1/pp4pp/3p4/Pq1Pbp2/8/6PN/R2Q3P/6K1 b - -,e5d4
rn1q1rk1/pp2ppbp/1n2b1p1/1B6/3P4/1QN1BN2/PP3PPP/R4RK1 w - -,b3c2
6k1/5pb1/2p1n3/NpP1BQ2/1P2P2p/3q3P/5P1K/8 b - -,g7e5
8/8/R3P3/2k2p2/8/5r2/1K6/8 b - -,f3e3
8/7p/2p2p2/4k3/2p1P1p1/2P1R1P1/2r4P/6K1 b - -,c2d2
4r1k1/1p2Rpbp/p2B1pp1/8/P1Pn4/1P1N4/7P/1R4K1 b - -,e8e7
7Q/kp1q4/p2p2p1/8/PP3P2/8/1K6/8 w - -,h8d4
