1R6/6pk/p1r4p/7P/6K1/8/1P6/8 w - -,g4g3
r2q1rk1/pp2bpp1/1np1p2p/3nPb1P/3P4/P1N2N2/1PB2PP1/R1BQK2R b KQ -,d5c3
8/Bb2ppbk/3p2p1/p2P3p/2B1P3/1P3P1P/6P1/5K2 b - -,g7c3
2r1k2r/pbqpbppp/1p2p3/8/1n1pPP2/P2P2PB/1PP1QR1P/R1B1N1K1 b k -,b4c6
3r1rk1/1pp3pp/2n3b1/2Pp4/1p3P1q/P3P3/1B3PBP/R1Q2RK1 w - -,a3b4
8/1R3N2/4p1k1/1P2P3/6p1/4B1P1/r4PK1/1r6 w - -,f7h6
2k4r/1p1r1pp1/pBpbp3/5q2/P5Pp/1R6/2P1QP1P/1R4K1 b - -,f5e5
rn1q1rk1/2p1ppbp/p2p2pB/4P2n/1p1P4/3B1PN1/PPPQ1P1P/R3K2R b KQ -,g7h6
6k1/p1q3pp/3N2n1/2rbp3/4P3/1Q1P2PP/6BK/5R2 w - -,e4d5
8/7p/8/4q2k/P5p1/5b2/6BP/5Q1K b - -,e5e4
8/8/4k3/p1r5/2PR1P2/1K6/8/8 w - -,b3c3
8/1b2npk1/p2b2p1/1p1p2q1/1P1P4/P3Q1P1/4NPB1/3R2K1 b - -,g5f6
rn1qkb1r/pb1p1ppp/4pn2/2p5/p2P4/5NP1/1PP1PPBP/RNBQ1RK1 w kq c6,b1c3
8/6k1/Np4p1/4n1bp/2P1P3/1R6/P7/6K1 b - -,e5c4
2r2rk1/1bqnbppp/p3pn2/1p1p4/3BP3/PNN2P2/1PPQB1PP/2R2RK1 w - -,e4d5
3r2k1/2Q2pp1/p3pnbp/4N3/3qP3/6P1/5PBP/2r2RK1 w - -,f1c1
r1q2rk1/4bppp/pnN1p3/3n4/3p1B2/5BP1/1PQ1PP1P/2RR2K1 b - -,e7f6
3R4/2p2ppk/2P3rp/1q6/6P1/1N5b/PP3Q2/4R1K1 w - -,d8d4
3r2k1/R2B1p1p/1p3p2/8/1P2P3/5P2/5K1P/n7 b - -,a1c2
r1b4r/pppnkppp/8/4P3/4p3/2P5/PP1N1PPP/R3K1NR w KQ -,d2e4
8/8/3B4/7p/5K2/1Pk5/8/8 w - -,b3b4
8/1q3k2/b2p1bp1/Qp1P3p/4P3/1P3P1P/5N2/R5K1 b - -,f6a1
2R5/8/8/1kb5/1p6/8/P1K5/8 w - -,c2b3
r1qr1k2/1b3pp1/p2ppb1p/1p5N/3NP1PP/1P3P2/P1PQ4/1K1RR3 b - -,f6h4
r1b2rk1/pp1n1ppp/2p1p3/8/1qPP4/5NP1/PPQ2PBP/R4RK1 b - -,h7h6
r1bqkb1r/1pp1nppp/p1np4/8/2BpP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,f3d4
rnbqk2r/ppp2ppp/4pn2/3p4/2PP4/P1P1P3/5PPP/R1BQKBNR b KQkq -,c7c6:e8g8:c7c5
r3rnk1/pp4p1/2p2p2/6PQ/3P3R/2PqB3/PP3PP1/2K5 b - -,e8e3
8/pp3KP1/8/5kr1/PP6/8/8/8 w - -,g7g8r
r4k2/pp2rp1p/5np1/1B1p4/P7/1P5P/2P2PP1/1R2R1K1 w - -,f2f3
2b3k1/1p4r1/2p1pnB1/p1pq4/P2b1P2/R5P1/1PQ3K1/2B2R2 w - -,a3f3
r1r5/p2bbk2/1p1n1q2/1PpPp1pp/P3Pp2/1R3P2/3NBBPP/4QR1K w - -,f2g1
r3r1k1/1bq1bp1p/p2p1np1/np2p1B1/P1pPP3/2P2N1P/1PB2PP1/R2QRNK1 w - -,f1g3
2rq1rk1/1b3ppp/1n2pb2/pN6/P1B5/1PpNPP2/4Q1PP/2RR2K1 b - -,b6d5
rnb1k2r/1p2bppp/p3p3/3q4/3N2P1/4B3/PPP1BP1P/R2QK2R w KQkq -,e2f3
rnbq1rk1/p2nbppp/1pp1p3/3pN3/2PP4/2N3P1/PP1BPPBP/R2Q1RK1 w - -,e5d7
r4rk1/1pp2qb1/p3pnnp/3pp1p1/PP2P1P1/2PPBP1P/4N1N1/R3QRK1 b - -,a8d8
r4rk1/pb1n1pp1/1ppb1n1p/3p4/3P4/1NN1BB2/PPP2PPP/3RR1K1 b - -,f8e8
r1bq1rk1/pp1nnpbp/3p2p1/2pp4/2P1PP2/2NB4/PP2N1PP/R1BQ1RK1 w - -,e4d5
r1bqk2r/pp1n1ppp/2pbpn2/8/2PP4/2N1PN2/P1Q2PPP/R1B1KB1R b KQkq -,e6e5
7r/p1R3p1/1n2k2p/4pp2/8/2P4P/PPB3P1/2K5 b - -,h8a8
r5k1/pp3ppp/1q6/1Nbprb2/4n2B/P2B4/1P3PPP/2RQ1RK1 w - -,d3e4
r6k/p4Bbp/nq4p1/2p3r1/1p3N2/7R/PPPQ2PP/R6K w - -,d2d3
2rqrbk1/pbn2ppp/1p3n2/3pN3/3p4/1P4P1/PB1NPPBP/1Q1RR1K1 w - -,e5f3
2r1r1k1/1p1b3p/p3pbpB/3p3P/PP1P4/4QN2/2q2PP1/R4RK1 b - -,c2f5
r2q1rk1/1bpn1ppp/pp1b1n2/4p3/P1B1P3/2N2N1P/1PP1QPP1/R1BR2K1 w - -,c1g5
r2q1rk1/p4pB1/n1pp2p1/4p3/2b1P3/5N1P/PP1QNPP1/R4RK1 b - -,g8g7
r1bqr1k1/ppp2p2/2np1Bpp/1BP1b3/4P3/2N5/PP3PPP/R2QK1NR b KQ -,e5f6
r1b2k2/3p2b1/p5Q1/1p6/4P3/2P5/PP4PP/5K2 w - -,g6d6
8/2kb1p2/4p3/p5p1/1pPbBPPp/1P1N3P/P3K3/8 b - f3,f7f5
8/8/6R1/5p2/4kP2/2r5/5K2/8 w - -,g6a6
r1b2r1k/pp3p2/2nR3p/4p3/P2P3p/3Bb3/1P3PPP/3R2K1 w - -,f2e3
8/p7/8/5p1p/P3k2P/4p1P1/4K3/8 b - a3,a7a5
8/6pk/1pBqP1bp/p1b2r2/P7/1P6/1B2Q2P/5R1K w - -,f1f5
r1b3k1/2p2r1n/2Np1q1p/1N1Pp1bn/P1B2p2/5P2/2R2BPP/R2Q3K w - -,b5c3
r4rk1/1p2n1pp/1p1p1p2/pP1Pp2P/P3Q1P1/2q5/3NBP2/R1B1K2R b KQ -,c3a1
rnb1k1nr/ppqp1pbp/6p1/4p3/4P3/2P1BN2/PP3PPP/RN1QKB1R b KQkq -,g8f6
r7/1p3ppk/2p1b3/r1n1p1q1/PQP1P2p/2N2P1P/6PK/R2R1B2 b - -,g5e3
1r4k1/4R3/2bP2p1/5p1p/1BP4P/P7/K5P1/2n5 w - -,a2b2
3r4/p3r1k1/1p3pp1/4q2p/2B5/P1N1BQP1/1P3P2/6K1 b - -,e5c7
5rk1/p5b1/7p/8/5B2/1R4Pb/4PP1P/6K1 b - -,a7a5
rn1qk2r/1bpp1ppp/1p1b1n2/p2P4/4P3/P1N2N2/1P3PPP/R1BQKB1R b KQkq e3,e8g8
rn1q1rk1/1p2ppbp/2p2np1/8/p1P3b1/2NP1NP1/PB2PPBP/R1Q2RK1 b - -,d8a5
6k1/3b1pp1/4n2p/3p4/2pN4/1p3PP1/5K1P/5R2 w - -,d4e2
rnb2rk1/ppp1qppp/5n2/4p3/2P1P3/P4N2/1P1NBPPP/R2QK2R w KQ -,e1g1
4N3/1p1rb3/4P1pk/8/4K3/8/p7/2R5 b - -,d7d2
r2q1rk1/1pnb1pbp/2pp2p1/p1nPp1P1/2P1P2P/2N1B3/PPQNBP2/R3K2R b KQ -,c7a6
8/p7/1p3k2/4n3/P5B1/5P2/r6P/6RK b - -,a2a4
r4r2/2p2k1p/1p1p1nn1/1P1Pp3/p3Pp1q/P4P2/NP1Q3P/1K1R1BR1 w - -,a2b4
r1bq1rk1/pp1p1pbp/2n3p1/1BpnP1B1/3p4/2P2N2/PP3PPP/RN1QR1K1 b - -,d8b6
r1brq1k1/1ppn1pbp/5np1/1P2p3/P3P3/B1N2N2/2Q1BPPP/R2R2K1 b - -,g7f8
r1b1r1k1/3qp1b1/2p2pQ1/1pPp3p/p2P4/P1B1PN1P/1P3PK1/R6R b - -,e8f8
8/8/bPk4p/5Bp1/8/1N1pK1P1/7P/8 w - -,b6b7
r3k2r/pp1qp2p/2npN1pn/2p5/5P2/1P4K1/P1PQ2PP/R1B1R3 w kq -,c1b2
r4b1k/p7/4PP1p/1p6/2p5/5qPQ/PP1R1P1P/6K1 b - -,f3f6
8/1K2kp2/8/2N2P2/4Pb2/8/8/8 b - -,f4d6
7R/p1b5/8/P3rk2/1PP5/3K1p2/8/8 b - -,c7d6
6r1/p3b3/2ppk3/8/1PP1pp2/7K/PB6/3R4 b - -,e4e3
rk5r/1p1n2bp/p2Np1p1/3n2N1/8/4B3/PP4PP/3RK2R w K -,e3f2
r5k1/p4rb1/3p4/q2P1Pn1/1p3Nn1/3QB1P1/PP4K1/R4N1R w - -,f4e6
8/pp2rkp1/3P1n1p/5N2/8/8/PP4PP/2K5 w - -,d6e7
3k3r/p2pq1bp/bpnn2p1/3B1p2/2P5/3p3Q/PP2NPPP/R1B2RK1 w - -,e2f4
8/3k1p1p/1p3Rp1/p1p5/Pr6/4KPP1/1P5P/8 b - -,d7e7
2rq1rk1/3n1ppp/p3p3/1p1nB3/1b1P4/1BNQ1P2/PP3P1P/2R1R1K1 w - -,a2a3
5r1k/R6p/6p1/8/P6P/1p2PrP1/q4PQ1/5RK1 w - -,a4a5
1r3qk1/2Rb1r1p/Q1Np4/3Pp2n/4Pp1n/5P2/PP2B1Pp/4NR1K b - -,h5g3
r6r/pp1bkppp/2p5/8/PPB1P3/2N1bP2/6PP/1R3R1K w - -,f3f4
7r/1p6/p3k3/4p3/4ppP1/2P2P2/PP2K1nN/2R5 w - -,h2f1
8/6k1/p2bp2p/1p1p1pp1/3P1P2/P1PqP1PP/1K3Q2/1N6 b - -,a6a5
r2qkn2/pp5r/2p5/3p1bpp/3Pp3/1N2P1BP/PP3PP1/R2QK2R b KQq -,b7b6
rn1qkb1r/ppp2pp1/4p1p1/3p4/3P4/3BP1P1/PPP3PP/RN1QK2R b KQkq -,f8d6
3r3r/4kpp1/pn2p1p1/1p2P3/2p1BP2/2P4P/PP2K1P1/R3R3 b - -,b6a4
8/p1r2ppp/3k4/3pR3/1brP4/2B4P/1P3PP1/1R4K1 w - -,b1a1
5k2/r5pp/p2pb3/P3n3/1p2P3/1N5P/1P1NK1P1/2R5 b - -,f8e7
1r6/8/7p/2p2k2/2Pn4/2N1K2R/7P/8 b - -,f5g6
3r1rk1/4Rp1p/3N2p1/p1pP4/5P2/P1P5/2bR2PP/6K1 b - -,d8d6
3R4/1p4kp/1Np1b1p1/p7/P3P3/2P3rP/1P6/7K w - -,d8b8
2b5/1p2kp2/r3p1pp/p7/Pn2NP2/3n2PP/6B1/3R1R1K w - -,d1d2
5b1k/5p1p/4q3/6R1/Pp6/3Q1PP1/6KP/8 w - -,d3d8
2r3k1/4bpp1/4p2p/4R2P/2P3P1/pK3P2/8/2N5 b - -,c8d8
r5k1/pp1q1ppp/8/4Qn2/P1p5/2P2PP1/6BP/1R5K w - -,g2h3
1r1r2k1/p2n1ppp/2n1q3/4p3/B1pPP1P1/7P/PP2QPK1/R1B2R2 b - -,e5d4
5rk1/1b2qp2/p3p2p/1p1pP1pN/1P1Pn1P1/P1rBQN1P/5P1K/R7 b - -,f8c8
4r1k1/1pp2p1p/3pr1p1/p7/2P1P3/4RPP1/PP3K2/4R3 w - a6,g3g4
7r/8/1R6/p4p2/5P1P/k3P1P1/8/6K1 w - -,g1f2
8/8/8/pB4k1/P7/3K4/3p1R2/3r4 w - -,f2d2
2rq1rk1/1p2bpp1/p2pbn1p/n3p3/1P2P3/2NB3P/2PN1PP1/R1B1QRK1 w - -,b4a5
r4rk1/p1q2pp1/2p4p/3n1N2/8/2PB1Q1P/PP3PPb/R1B1R2K b - -,h2f4
7r/8/5k2/8/R6p/7P/5KP1/8 b - -,f6g5
r1bqnrk1/pp2npbp/2pp2p1/8/4PBP1/2NP3P/PPP1N1B1/R2Q1RK1 w - -,g1h1
8/p1q1Bk1p/1p3pp1/1P6/8/P5PP/4Q2K/8 w - -,e7b4
r2qk2r/pbpnnpb1/1p1pp1pp/8/2PPP3/2N2NP1/PP3PBP/R1BQR1K1 w kq -,d1c2
rn2kb1r/2pp2pp/p7/1P2qP2/6P1/8/PP3B2/RN1QKBNb w Qkq -,d1e2
r1b2rk1/pp2ppbp/2n2np1/2p1P3/5P2/2N2N2/PPPB2PP/R3KB1R b KQ -,f6d7
r4rk1/p2nq3/2p1b2p/3pNp1n/N2P2p1/3BP3/P1Q2PPP/R4RK1 b - -,d7e5
3q1rk1/1ppbb3/1r1n3p/p2P2p1/Pn1BN3/5N2/1P2QPBP/2R1R1K1 b - -,b6a6
5k2/p1rb2b1/Rp1p2q1/2rP1p2/2P1pP1p/4N1PB/P2Q1K1P/1R6 w - -,b1b3
r5k1/2q2p1p/1p2p1p1/1Pnbb3/PR1N4/4BP1P/6P1/2QB3K b - -,c7d6
5r1k/p1R3bp/8/6R1/3p4/P4r1P/1B6/6K1 b - -,f3f1
8/2Rn1pkp/p2r2p1/1p1p4/3N4/1P2P2P/P3KPP1/8 w - -,c7c6:g2g4
r1b5/1pp1q1k1/1n1b1r2/3PNp1p/p2P1PpP/P2Q4/BPP5/1K1R1N1R w - -,f1g3
r2q2k1/3b1p1p/p3p1pB/1r1pP3/Q4P2/P3PR2/6PP/R5K1 w - -,a4d1
8/1p2k3/2p3pp/p1P5/1P4B1/r2nP2P/3K1P2/1R6 w - -,b4a5
8/5k2/8/5PP1/pp5P/r7/P2R2K1/8 b - -,b4b3
2r2rk1/pp3ppp/2nqpn2/3p4/3P4/2NQPN2/PP3PPP/2R2RK1 w - -,a2a3:h2h3:c3a4
rn1qkb1r/pp3ppp/2p1pn2/3p4/2P5/5BPP/PP1PPP2/RNBQK2R w KQkq -,e1g1
6k1/p2r3p/5np1/1p1r1p2/3P4/1P4P1/P2R1NKP/3R4 w - -,g2f3
8/4bk2/8/3pP3/3P2K1/5N2/5r1R/8 b - -,f2f1
r1br2k1/pppn1pbp/5np1/4p1B1/2P1P3/2N2N2/PP2BPPP/2KR3R b - -,d8f8
4n3/8/2p5/1pPp2k1/1P1Pp3/4PpKP/8/4B3 w - -,g3h2:e1f2
8/1p4pp/3Pkp2/8/1PK5/5P2/6P1/8 w - -,c4c5
8/2p3p1/3n1p2/3K4/3P1N1k/5P2/8/8 b - -,h4g3
8/5p1k/R4P2/2P2Nbp/6r1/p2K4/8/8 w - -,c5c6
3r4/1p1R1pkp/2p5/5P2/2r4P/6P1/6B1/3R2K1 b - -,d8d7
r1bqr1k1/ppp2pp1/8/5P1p/3pN3/3P3P/PPP2QP1/R4RK1 w - -,f5f6
8/3R4/1kp5/6r1/2KP4/2P5/8/8 b - -,g5h5
r1br2k1/pp3pp1/7p/2PpP1q1/8/P1NnQ1P1/1P3P1P/R4RK1 w - -,e3d3
r1b2r2/1p1nkp2/2pN2p1/p3p2p/P1B1P2P/8/1PPR1PP1/2KR4 b - -,d7c5
rn1qk2r/pp3ppp/2pb1n2/5p2/2BP1P2/8/PPP1N1PP/R1BQ1RK1 w kq -,e2g3
1r1q1rk1/p2bppbp/3p2p1/n1pPn3/2P5/P5P1/RBQNPPBP/1N3RK1 w - -,b2a1
2r1r1k1/1q4pp/8/3p4/1bpPp3/1p2P2P/1P3PP1/1QRRB1K1 w - -,e1b4
R7/P7/8/8/5p2/5k2/7K/r7 w - -,a8b8
r1bQ2nk/pp4q1/7p/2p5/3p4/3P2N1/PPP4P/4RBK1 w - -,f1g2
3R4/r3k3/4p1pp/p4p2/nn3P2/5BPP/8/3R3K b - -,a4c3
r4rk1/pbp1b1p1/1pn5/3qp1p1/2PPN3/3B1NR1/PPQ2P2/2K4R b - -,d5d8
8/5p1p/2p3p1/1pRk4/1r1P3P/4P1P1/K4P2/8 b - -,d5d6
q6r/3n1p1p/2Nkpb1Q/P2p4/5P2/4B3/6PP/2R3K1 w - -,e3d2
2rr4/1bb1kpp1/ppn1pn1p/8/2N5/1N2PB2/PP1B1PPP/2RR1K2 w - -,a2a4
r1br2k1/ppq1ppb1/3p1np1/1P2n2p/2P2P2/2NP2PP/3BP1B1/1R1QK1NR b K f3,e5d7
rnb1k2r/1pp1qpp1/3p1n2/p2Pp2p/2P1P3/6P1/PP1N1PBP/R2QNRK1 w kq h6,d1a4:e1f3:h2h4:h2h3:e1c2
8/pb1n3p/1pp1kpp1/3p4/1b1P4/3B1NBP/PPP2PP1/2K5 w - -,c2c3
5n2/R3bk2/4p1p1/p2pP3/P2r1P2/8/R5K1/8 b - -,d4f4
rb1q1rk1/6pp/2p1p3/ppPp1P2/3PnP2/2BBPQ1P/PP6/1K4RR b - -,e6f5
4r1k1/p2r3p/1p4p1/2p2P2/P1PBp3/6P1/4P2P/1Rq2RK1 w - -,f1c1
3r1k2/p4p1p/1p3p1N/3B4/5P2/4b3/PP5P/1K3R2 w - -,d5b3
3r1rk1/p1pqnp1p/1p1pb1p1/3N4/1PPQP3/8/P3BPPP/2RR2K1 b - -,e6d5
8/8/8/1p2k3/p2b3P/P2R2P1/6Br/5K2 b - -,b5b4
3b2k1/2n3p1/r7/ppQpNbq1/3P1N2/P6P/1P4B1/5R1K b - -,a6h6
2rq1rk1/3b2bp/p2pp1p1/1Pn2p2/3N4/1P4P1/PB1QPPBP/1R3RK1 b - -,a6b5
1rbq1r1k/6np/p2p4/2p1p3/2P2p1R/2N3PP/PP1Q2B1/1R5K w - -,g2e4
r7/pp2ppkq/n2p4/2pP3r/2Pb1BB1/2N5/PP2P2N/R2Q1R1K b - -,h5h2
2r2rk1/1b1qpp1p/3p2p1/pp6/8/2bP1NP1/R3QPBP/1N1R2K1 b - -,a5a4
1rbqk2r/1ppnnpbp/p2pp1p1/8/2PP4/2N2NP1/PP2PPBP/R1BQR1K1 w k -,a2a4
6kr/p2b4/3p3p/2pP2p1/2P1B3/5R1P/Pr3PP1/4R1K1 w - -,e4g6
2R5/1p5p/5k1P/p1n1qpp1/3p4/P5P1/1P3PK1/3Q4 w - -,b2b4
2r1r3/P5kp/Rp3q2/2p3pP/2Pp1p2/4p1P1/3Q1PK1/4R3 w - -,d2e2
1rq1b3/4ppkp/p1p2bp1/P1Q5/1PN5/4PBP1/5P1P/3R2K1 w - -,c4b6
8/n3k3/6p1/1p1rpp2/1P5p/2PB1P2/3R2PP/2K5 w - -,d3e2
1r3k2/R7/5PK1/6p1/8/8/8/8 w - -,a7h7
4k3/1r2bN2/8/8/4K3/8/5R2/8 w - -,f7e5
5b2/1p6/p1p1n1p1/4kp2/2B4P/P1P1BKP1/1P6/8 w - -,g3g4
6r1/p4p1k/3P1Brp/2p1Pn2/7R/8/PR4P1/6K1 w - -,h4h3
r2qk2r/pb2pp1p/1pn2bp1/2p5/5PP1/2BP1N1P/PPP3B1/R2QK2R b KQkq -,c6d4
8/8/8/1pr2k1p/5P2/1R2K2P/8/8 b - -,f5e6
r3qrk1/1p3p1p/2b1pbp1/p2p4/P4P2/1B1RQ2P/1PP1N1P1/3R3K w - -,e3b6
8/KP1k4/5pp1/8/R6P/p5P1/1r6/8 b - -,d7c7
7r/2p2k2/p4P2/2N5/8/1p2K3/P6p/7R w - -,c5b3
3r1rk1/ppp2ppn/1b1pbq1p/4p3/3PPB2/1BP2NNP/PP1Q1PP1/R3R1K1 b - -,f6f4
r1bqr1k1/p4ppp/1ppb2n1/3p4/4n3/1P1NP1P1/PBP1NPBP/R2Q1RK1 w - -,c2c4
r2q1rk1/ppp1ppbp/2np1np1/8/2PP2b1/2N2NP1/PP2PPBP/R1BQR1K1 b - -,f6d7
4r1k1/2R5/1p1p2r1/p2P3p/P1PB1N2/2P2KP1/8/8 b - -,g6g4
8/1p6/8/4k2P/p2pb3/P7/1Pr5/3KR3 b - -,c2b2
5b2/p7/8/1Ppk1r1p/3p1P2/P5P1/2R3KP/2R5 w - -,g2f3
r2qk2r/1pp2pbp/3pbnp1/p3n3/2P1P3/1PNB3P/PB1QNPP1/R3K2R b KQkq -,a5a4
4r1rk/1b1q3p/pb2p3/1p2n3/1P1pPNn1/PQ1P2PB/3N2K1/3R1RB1 b - -,d7g7
r1b2rk1/1p2ppbp/3p1np1/q5B1/2P1P3/1PN5/3QBPPP/1R3RK1 b - -,a5b4
5r1k/q5b1/6pp/1p1Rp3/2p1B3/7P/1P1Q1rPK/3R4 w - -,d2c3
r1n3r1/2p1q1k1/1p1p1p1p/pP1PpPp1/P1P2PP1/6P1/2Q4N/4RRK1 b - -,c8a7
8/1kn4p/6p1/1p1pPp1P/3P1P2/4K3/8/2R5 b - -,b7b6
rn1qkbnr/1b1p1ppp/pp2p3/8/2PNP3/3B4/PP3PPP/RNBQ1RK1 b kq c3,b8c6
1r2kb1r/pp2p3/1qp2p1p/3p1bpn/3P4/4PN2/PPP2PPP/RNQ1KB1R w KQk -,f1e2
5rk1/p3ppbp/3p1np1/2p1nq2/5B2/1NN3P1/PP3PBP/R4QK1 b - -,e5d3
r1q2rk1/4ppbp/2np1np1/ppp5/4P3/1BPPQN1P/PP3PP1/R1B1R1K1 w - a6,a2a4
r2q1rk1/4npbp/p1npb1p1/1pp5/4PB2/2PP1NP1/PP1Q2BP/R2N1R1K b - -,f7f6
6r1/1ppR4/pbp3p1/6kp/2P1P3/1N3P2/PP2KP1P/8 b - -,g8c8
8/5pk1/3qb1p1/4p1b1/1p2P3/1P3PN1/P3QNKP/8 w - -,f2g4
r2q1rk1/1bp1bppp/p1n5/1p1nN3/8/1B1P4/PPPN1PPP/R1BQR1K1 b - -,c6d4
2b3k1/7p/6p1/5pR1/4P2P/5P2/1r2B3/5K2 w - f6,h4h5
4r1k1/6p1/p7/6pP/1PpB4/2P2P2/P4K2/8 w - -,f2g3
rn1q1rk1/pbn2pbp/1p2p1p1/2ppP3/3P1B1P/2P2N2/PPBQ1PP1/RN2R1K1 b - -,b8d7
rn1q1rk1/pbp1bppp/1p2p3/8/3PP3/P1PB1N2/2Q2PPP/R1B1K2R b KQ -,c7c5
r4rk1/1bppq1pp/1p1b4/p1nP1p2/6n1/P1N1B1PN/1PQ1PPBP/R2R2K1 w - -,e3g5
2b2rk1/4R1pp/1p2p3/4n3/r3N3/6P1/PP3PBP/R5K1 w - -,e4d6
8/kb6/3RQ3/p3p3/8/8/1PP5/1K2q3 w - -,b1a2
r1b2rk1/1ppnqpbp/3p1np1/pP2p3/2PP4/P3PNP1/1BQN1PBP/R4RK1 b - -,h7h6
8/r3k3/2Rpp3/p5p1/1p1KP1P1/1P3P2/P7/8 b - e3,e7d7
4r2k/1pb1r1p1/2n3qp/p1P1pp2/2Np4/P2P2P1/1PQ1RPBP/3R2K1 b - -,e5e4
r1bqr1k1/pp3ppp/5n2/1B1pn1B1/8/2Q2P2/PPP3PP/2KR2NR b - -,c8d7
1rbq1r2/2p4p/1p1p2k1/p1nN1p2/2P2P2/5B2/PP3QPP/3R1RK1 b - -,h7h6
6r1/1p2n1pR/2p1k3/p2pPpP1/P2P4/1P1B1KP1/8/8 b - -,c6c5
r2qk2r/pbpnbppp/1p2pn2/3p4/5P2/1P2PN2/PBPPB1PP/RN1Q1RK1 w kq -,c2c4
3rr1k1/1p3p1p/1qpp2p1/5b2/1PP1P3/6P1/2QR1PBP/1R4K1 b - -,f5e6
rnb2r1k/4q1b1/p2p1n1p/1p3P2/3P2pP/2PQP3/PP1NNBP1/2K1R2R b - -,f6h5
r4rk1/p3ppbp/1p4p1/1R6/8/3PB1P1/qP2PP1P/Q4RK1 b - -,a2e6
3r4/1p4p1/5k1p/2KnN3/8/2P3PP/1P6/4R3 w - -,e5g4
rn1q1rk1/p4ppp/bppb1n2/3p4/Q2P4/2N2NP1/PP2PPBP/R1B2RK1 w - -,f3e5
r1bk3r/p1n1ppbp/2p3p1/4p3/2P5/2N2N2/PP3PPP/R1B1R1K1 w - -,f3e5
6k1/5p2/1p2n2p/p7/2rp4/5K1P/1P2R1P1/3R4 w - -,e2d2
1r1q1rk1/p2bppbp/2np2p1/1np2P2/1p2P1P1/3PB1NP/PPPQ2B1/R2N1RK1 b - -,c6e5
2r2rk1/pb2qppp/1ppbpn2/8/2PP3Q/1P3N2/P2BBPPP/3RR1K1 b - -,c6c5
8/R5pk/8/7p/6r1/P7/7K/8 w - -,a3a4
3qr1k1/5rbp/1p1pn1p1/pPpNpp2/2P5/3PP1P1/PB3PKP/1R1Q1R2 w - -,f2f4
r3r1k1/p4ppp/b1p2n1q/4N3/5P2/1P6/PBPP1QPP/4RRK1 w - -,d2d3
r4rk1/pbq1bpp1/1pnp1n1p/4p3/1P1PP3/3B1N2/PBQN1PPP/R3R1K1 b - -,a8c8
8/1b1n1pk1/1pp3pp/3p4/1P1P1K1P/3BPN2/5PP1/8 b - -,g7f8
8/2k2p2/1R1p1K2/PP1p4/3P4/2P5/8/5r2 w - -,f6e7
8/5p2/P1nBp2k/8/8/3B4/r6P/5K2 b - -,h6g5
