8/8/3k4/PK1n4/1P6/8/8/8 b - -,d5b4
2r1k1r1/1p2pp2/p2pn3/7p/5P2/2BB1bP1/PPP4P/2KR2R1 w - -,d1e1
r1b2rk1/pp3pb1/2n1p1pp/3pP3/3P2Pq/2N5/PP3PBP/R1BQ1RK1 w - -,f2f4
r3k1r1/pbpnqp2/1p3npB/3Pp3/2P1P3/2PB2N1/P5PP/R2Q1RK1 w q -,d1e2
r2qkb1r/2pp1ppp/p7/1p6/1Pnpb3/2P2N2/P4PPP/RNBQ1RK1 w kq -,f1e1
r4rk1/3qb1pp/1n3p2/1N6/pP1Np3/P2nP1P1/3BQPKP/R4R2 b - -,b6c4
rnb1kb1r/4pppp/p2p1q2/1ppP4/4P3/2P2N2/PP3PPP/RN1QKB1R w KQkq -,b1d2
r1bqnrk1/p5bp/1p1p2n1/1N1Pp1p1/1PN1Pp2/5P2/P3BBPP/2RQK2R w K -,a2a4
3r2k1/1br1bpp1/pq2pn1p/1p6/2pPP3/P1R2NP1/1P1N1PBP/1Q1R2K1 b - -,c7d7
3q3r/1p1b1pbk/2p1n1pp/3pP2N/1PnP4/5NBP/2B2PP1/R1Q3K1 b - -,h7g8
r2qk2r/pb2bppp/1pn1pn2/2p5/5P2/3P1NP1/PPP2NBP/R1BQK2R w KQkq -,e1g1
r1q1r1k1/2pnbppp/p4n2/P3p1B1/3Pp3/1RP2N1P/2QN1PP1/5RK1 w - -,d2e4
r6k/1p4pp/2p5/p7/Pq2P3/2N4N/1PP1Q1P1/7K w - -,e2d2
r1bqk2r/1pp1bppp/2n1pn2/8/p1PPN3/3BBN2/PP3PPP/R2Q1RK1 b kq -,a4a3
r7/pp2k2p/4P1p1/8/2BR1Pn1/2P5/PP3B1P/2K5 w - -,f2h4
8/4k3/4p1p1/7p/5P1P/1p2R3/5KP1/1r6 w - -,e3d3
8/4bpk1/6p1/3p4/pq3P2/3BP1P1/1PQ5/5K2 w - -,c2c3
4kb2/p2r1n2/1pr1ppp1/4p2p/NPP1P2P/3PBPP1/1R2K3/R7 b - -,f7d8
1Kb5/2P5/8/6kP/5p2/5B2/8/8 b - -,c8e6
7k/6p1/4Q2p/4PK1P/4BP2/b5P1/2q5/8 b - -,c2e2
2r3k1/1pr2p2/p1n3pp/2B1P3/1P1R1PP1/P6P/6K1/4R3 w - -,d4d6
1r6/1P6/5k2/1R4pp/4K3/8/6PP/8 w - -,b5b6
r4rk1/6bp/bpn3p1/p1pqpp2/P5nN/2PP2P1/1PQB1P1P/RN2RBK1 b - -,a8d8
8/7R/1pk1p3/4P1p1/3P1n2/rB1K4/P5PP/8 w - -,d3e4
k7/1p6/p2p1P2/4p1B1/3nP3/2Q3K1/q7/8 b - -,d4e2
2r5/b4pk1/4p3/p1p1PpPp/Np1r1P1P/1PpP1K2/P1P5/3RR3 w - -,e1f1
3n2k1/1pQq1p2/p2P2p1/P6p/7P/5BP1/5PK1/8 b - -,d7e8
r1br2k1/pp2pp2/7B/n1P5/3qP2P/8/P1QbBRP1/3R2K1 b - -,d2h6
r1b1r1k1/1p3pbp/p1n2pp1/2pq4/P7/1P1P1N1P/1BP1BPP1/R2QK2R w KQ -,e1g1
2Q3k1/4r2p/p3q1p1/1p2P3/3Pp3/1P4KP/P7/2R5 b - -,g8f7
8/5p2/p3p3/4P1kp/PP2Kp2/7P/6P1/8 b - a3,f7f5
r2r1k2/5p1p/4pp2/nP6/P1p5/R1N3P1/1P3P1P/3R1K2 w - -,f1e2
1r3r1k/1p1b2q1/pbp4p/2Pp1pp1/P2P2nP/2Q3P1/1P1B1PB1/4RRK1 w - -,c5b6
4r3/pp1R1pk1/2p2bp1/7p/1Pb4P/5B2/1PP3P1/1K5R b - -,c4a6
1k2r3/1pp2pb1/pn4p1/2q5/1Nn4Q/2P3P1/PP3P1P/K1BR1B2 w - -,b4d5
3r2k1/1pN2pbp/p5p1/2p5/1nP2P2/3n4/PP2KP1P/R2R4 b - -,g7b2
r7/7k/3p2p1/1qp4p/5B1P/2QP2P1/4PP2/5K2 w - -,c3f6
8/6p1/6B1/6n1/8/4k3/8/3K4 w - -,d1e1
4r1k1/bp6/p3p3/2pnP1Pp/3pR2Q/5P2/PP1q1P1K/R7 w - -,h4h5
1rq2r2/1p2ppbk/2np2pp/p1p5/P1P1PP2/2NPQ1K1/1P2N1B1/R4R2 b - -,c6d4
1r1qr1k1/3b1pbp/p4np1/2pPP3/P1p3P1/2N1B2P/1P1Q1N2/R4RK1 b - -,e8e5
6k1/p1qp2pp/1pr1pb2/8/3PR3/4QN1P/PP3PP1/6K1 w - -,g2g4
r1b2rk1/ppp1q1bp/2np1np1/4pp2/PP1P4/N1P1PN1P/4BPPB/R2Q1RK1 b - b3,f6e4
8/p6p/1pq1k3/4N1p1/3p4/6P1/P4PP1/6K1 w - -,e5c6
1rb2rk1/p1pnqppp/4p3/1p2P3/2p2P2/2N3P1/PP1QP1BP/R2R2K1 w - b6,a1c1
2q3k1/5p1p/r3p1p1/p1p5/2Pb1QP1/1P4BP/P6K/3R4 b - -,d4g7
2r3k1/pp2pp2/7p/2PB2p1/8/nP4PP/1r2PK2/2R4R b - -,c8c7
b1r3kb/7p/p2pNq2/3P1p2/1Qp1p3/6P1/PPP3BP/1K1R4 w - -,c2c3
6k1/5q2/1pb1p1p1/pNb3B1/2P3QP/8/P5PK/8 b - -,g8h7
1n1qkbnr/1b3ppp/4p3/1p6/2pPP3/8/1P2BPPP/R1BQK1NR b Kkq -,g8f6
2b2kr1/6qQ/p2p2R1/1p2prP1/3p4/1P1P4/1PP4P/5R1K w - -,g6g7
2r3k1/5p1p/p3b1p1/1p2b3/4P3/1B5P/PP1r1PP1/1R1N1RK1 w - -,b3e6
r5k1/5pp1/r1pB4/4Pq1p/p1P2P2/R2P1Q1P/6P1/7K w - -,f3e3
8/7p/4k3/2pppp2/2P4P/5PP1/1b1B2K1/8 w - -,c4d5
6r1/5p1p/p4k2/1p3P2/4RP1K/8/PP5P/8 w - b6,e4e5
8/5ppk/3r3p/R7/P7/7P/5PPK/8 w - -,a5b5
r1bqkbnr/pp2pppp/2np4/8/3NP3/4B3/PPP2PPP/RN1QKB1R b KQkq -,g7g6
r2qrbk1/1b4p1/p4p1p/1pppP3/P3nB2/2P2N1P/1PB2PP1/R2QR1K1 w - -,d1e2
r3r1k1/2bq1ppp/2p2n2/1p1p4/1P1P1PP1/2N1PQ1P/3B4/1R3RK1 b - -,c7d6
8/8/p5kp/P1Bp1p2/B3bP2/2Pn2K1/7P/8 w - -,c5d4
4rbk1/2RR4/8/1p1p1KP1/7r/1P6/8/8 w - -,d7d5
8/p5k1/8/6P1/P4P1r/5K1P/8/4bB2 w - -,f4f5
7r/1p1bkp2/2p2n1p/4p1p1/2P1P3/2N2PP1/1P2BKP1/r6R w - -,h1a1
2rqr1k1/pp2bppp/2p2nb1/3p4/N2n4/1P1PP3/PB1QBPPP/2RR2K1 w - -,b2d4
r1bq1r1k/ppp3pp/2nbpn2/5p2/2BP1B2/2N1PN2/PP3PPP/R2Q1RK1 w - -,a1c1
1r6/6p1/p1p1kb2/2r1p2p/R1N2p2/2P2P1P/1PR1K1P1/8 b - -,b8b5
2nr1rk1/pp2qpbp/6p1/3Ppb2/4N3/1QN3P1/PP3PBP/2R2RK1 w - -,d5d6
2n5/1p6/p2kp1p1/3p2Pp/PP1P1P2/1K2B1P1/8/8 b - -,c8e7
r1bq1rk1/ppppppbp/2n2np1/8/2PPP3/2N3P1/PP3PBP/R1BQK1NR b KQ e3,d7d6
8/5ppp/2p1k3/1nP1p3/p3P3/2KN1PP1/P6P/8 w - -,c3b4
rnbq1rk1/pp2p1bp/2p3p1/3p4/2PPB3/6P1/PP2NP1P/R1BQK2R w KQ d6,c4d5
8/8/1b1ppk2/6p1/1N2P3/1bP2K2/8/4N3 w - -,e1d3
8/5pk1/3p1np1/4p2p/7P/2PPQBP1/qr3PK1/2R5 w - -,c3c4
6k1/p7/6p1/7p/1p1N2nP/4PKR1/P5P1/2r5 b - -,c1a1
Q7/1Q6/4k3/1K6/8/3q4/8/8 w - -,b5a4
3r4/8/p3pk2/3qbpp1/1p1N4/1P2PPnP/P1QB1KP1/4R3 w - -,c2c4
rnbqr1k1/pp3pbp/3p1np1/2pP2B1/2P5/2N2N2/PP2BPPP/R2Q1RK1 b - -,c8g4
8/6r1/8/4k2R/6B1/r3PPK1/8/8 b - -,e5d6
r2q1rk1/pb2bpp1/1p2p2p/n7/3PP3/P2B1N2/4QPPP/R1BR2K1 w - -,c1b2
1k1r3r/pppq2pp/4bp2/n2p4/3P1Q2/2PB3P/PKP2PPB/3RR3 b - -,d8e8
6k1/1p4pp/p1bqpr1r/3pR1N1/3P4/2Q3P1/PP3P1P/4R1K1 w - -,b2b4
r7/6p1/6p1/1p2Pp2/3k4/4R1P1/4KP1P/8 w - -,e2d2
1q6/1r1k3p/Q1Rb2p1/p2Ppp2/P3P3/1P4PP/5PK1/8 w - -,c6d6
r4rk1/ppp1qppp/3b1n2/P1n1p2b/4P3/5NPP/1PPNQPB1/R1B2RK1 b - -,c5e6
r5k1/p4pp1/1np1b2p/3q4/Q2PN3/5PB1/P5PP/2R3K1 w - -,a4d1
5rk1/2p1qppp/bpn5/p3p3/2P1P3/1P2QNP1/P4PBP/3R2K1 b - -,f8d8
r4n2/1pq3kp/2p2Np1/p7/P5b1/6PP/2PQ3K/4R3 w - -,f6g4
r2r2k1/1bq2ppp/pp2p3/3n4/Pb1N4/3Q1P1P/1PP1NBP1/R4RK1 w - -,c2c3
2r1qr1k/1p5p/3p3b/pP1Np2P/2P1B3/3Q1P2/1P6/4K2R w K -,e4h7
6rk/7p/8/p2Q3p/PpP5/2b5/5qPP/1R1R3K b - -,h5h4
3r2k1/p3p2p/6pb/2p1P3/2RPPpr1/R7/PP3KP1/8 w - -,d4d5
3r2k1/pp3p1p/2p3p1/8/1P1qPP2/P5PP/2Q3B1/2Rb3K w - -,c2c5
r1bq1rk1/p1b2pp1/1pn1pn1p/2Pp4/1P1P1P1B/P1N5/4N1PP/R2QKB1R w KQ -,c5b6
r4rk1/1b2qp2/p3p1pp/3pP3/1p2nR1P/5R2/PPP1NPP1/2KQ1B2 w - -,f3e3
1r1r4/1p6/5k1p/1P1PbPp1/8/4BP2/3R1K2/6R1 b - -,f6f5
6k1/p4pp1/1p5q/4R3/5PK1/PP3Q1P/2r5/8 b - -,h6g6
8/5k1p/8/6P1/pR3PK1/P7/1P6/2r5 b - -,c1c2
r7/1p1bbkp1/1q3p2/3pPp1p/1PnP1B1P/5N2/4NPP1/3Q1RK1 w - -,e5f6
5rk1/1pp2rb1/2npq2p/p3pn2/P5NN/2P3PQ/1P6/R1B2RK1 b - -,c6e7
3r1rk1/1pp2ppp/p3q1n1/2p1n3/4PP2/2P1N3/PPQN2PP/R4R1K b - f3,e5g4
rn1q1rk1/pbppbpp1/1p2pn1p/6B1/2PP4/P1N1PN2/1P3PPP/R2QKB1R w KQ -,g5h4
3r4/1pk2p2/4p3/5pP1/1p5p/5R1P/1PP1rP2/5K2 w - -,f1e2
5k2/5ppp/p2r4/5P2/P7/1P2R2P/5KP1/8 b - -,g7g6
5rk1/1R1Q4/8/3p4/4qBK1/4P3/5P2/r7 b - -,a1g1
5rk1/1p3pp1/p1n2n1p/3q4/8/P3QNPP/1P3PB1/4R1K1 b - -,d5b5
6n1/6p1/4Kpk1/8/3R2PP/8/8/8 w - -,d4a4
2r5/4kpp1/3p4/4pP2/1N2n2p/2P4P/1P4PK/3R4 b - -,c8a8
rr4k1/3qb3/2p1bn2/p1P2pp1/P2P1p1p/R4B1P/3BNPP1/2QR2K1 w - -,c1c2
1r5k/3p1q1p/3p1Pp1/2rNn3/2P4P/pP6/P2Q4/K3RR2 w - -,e1d1
2r3k1/5p2/p2Pb1p1/1p5p/3pN2P/P2N1P2/4B1P1/6K1 b - -,a6a5
8/3k1p1p/4pPp1/4P3/p1p3P1/P6P/5K2/8 w - -,f2e3
2rr4/1p1bnk1p/p2b1pp1/3p4/2nN4/2P2N1P/PPB2PP1/2BRRK2 w - -,c2d3:e1e2
7R/1p2k1r1/4bpp1/pPPp4/P2P1K2/6P1/7R/8 w - -,h2h7
2R5/4b1kp/3pn1p1/4p3/4P2P/4B1PB/5P1K/r7 b - -,g7f7
8/5p1k/8/4PbBp/p6P/P7/2p2K2/3rR3 w - -,f2e2
2rqr1k1/1b1n1pbp/P2p2p1/3p4/B1pNP3/4B2P/P4PP1/1R1QR1K1 b - -,b7a6
r3rbk1/pp3p1p/qn4p1/3pP1B1/1PpP3N/P1Nb4/3Q1PPP/R1R3K1 b - -,a8c8
r4rk1/pp2pp1p/2np2p1/q6n/2P1PP2/2NBQR2/PP4PP/2R4K b - -,a5c5
r3r1k1/pb1n1ppp/1p1q1n2/3p1B2/2pP4/4PN2/PPQB1PPP/2R2RK1 b - -,b6b5
K7/1P6/2q5/8/8/8/6k1/Q7 w - -,a1a5
r4rk1/4b1pp/p2p4/4p3/RPP1R3/7P/3B1PP1/6K1 b - -,g8f7
r1bq1rk1/ppb2ppp/2p2n2/3ppN2/B3P3/2PP1Q2/PP3PPP/R1B2RK1 b - -,c8f5
8/p5p1/5k2/2R5/r1p3PP/8/7K/8 b - g3,f6e6
1r4k1/1p3p2/p2q2p1/P2P3n/2BQ1Pb1/R7/1P6/4R1K1 b - -,b8c8
R1Q2bk1/5ppb/3q3p/8/3pn3/3N2P1/5PBP/6K1 w - -,c8d8
r1bq1rk1/ppp2pbp/6p1/4p2n/P1B1P3/2P5/1P2QPPP/RNB2RK1 w - -,a4a5
rnb1kb1r/p4ppp/5n2/2p2N2/Ppp1P3/5P2/NP4PP/R1BqKB1R w KQkq -,e1d1
rnbq1rk1/p1p2ppp/1p2pn2/3p4/1bPP4/5NP1/PPQNPP1P/R1B1KB1R w KQ -,f1g2
4rr1k/pp1q2bp/2p3pn/3pPb2/P4P2/2N3QP/1PPB2BK/4RR2 w - -,g3f2
6rq/1pp1nk2/p2p1b2/P1PPp3/1P2Pp2/2N2Q2/4KBr1/R6R b - -,f6h4
r2q1rk1/1pbn2pp/p1p1pnp1/2Pp4/3P1P2/2N1P1P1/PP1BB2P/R2Q1RK1 b - -,d8e7
6k1/p4pp1/7p/b3P3/2P2P2/B1qQK1P1/P7/8 b - -,c3e1
r2r1nk1/p4p2/1bp2q2/4p1pn/PP2P3/1B1R1P2/N1Q2P1B/R5K1 w - -,a1d1
r7/2kb1Pr1/1nn4p/3pp3/p1pP3q/2P2B2/P2B1R1N/1R1Q3K w - -,d2e1
1n1r4/pq2rpk1/2pb2p1/3p1p2/1PPP3p/3NPQP1/3N1PKP/R4R2 w - -,f1b1
8/6pk/6p1/1B1n1p2/P2q4/4nPP1/1P2R2P/4R2K w - f6,b5c6
rn2kb1r/pp2pppp/1qpp1n2/5b2/2PP1B2/1Q2P3/PP1N1PPP/R3KBNR b KQkq -,b8d7
r6k/5pp1/6p1/1p2b3/1Pb1N1P1/4BP1P/3R4/6K1 b - -,f7f5
4r3/1R6/p1p1k3/5bpp/P2B4/1P2KP1P/6P1/8 w - -,e3d2
5r2/6p1/4p1kp/p2bP1p1/3R2P1/1P6/2PK1N1P/8 w - -,f2d3
3qr1k1/rbpn1pp1/1p1p1n1p/p2P4/4PP1N/1P4P1/PBQ3BP/3RR1K1 b - f3,d8a8
rn2kb1r/1pq2p2/2pp1n1p/p3p1p1/P1BPP1b1/1QP2N2/1P1N1PPP/R1B1R1K1 w kq g6,d4e5
5rk1/2B2pp1/p4n1p/1p6/2p5/P1P4P/1P3PP1/R5K1 b - -,f8e8
8/3Rn2p/5ppk/1p6/4P2P/7B/2r5/6K1 b - -,e7c6
8/5p2/3k1K1p/pp6/2p5/2P5/PP4P1/8 b - -,b5b4
rn3rk1/1bq1bppp/p3pn2/1p2p3/3N1P2/2N2B2/PPP3PP/R1B1QR1K w - -,f4e5
r1bqk2r/pppp2pp/2n2n2/5pN1/1bPPp3/2N3P1/PP2PP1P/R1BQKB1R w KQkq -,d4d5
2b1k3/R7/p7/1pB2p1P/1P2pP1K/8/8/r7 w - -,h4g5
8/p4kp1/1p2pb1p/3q1r2/3PR3/2B3P1/PP2Q2P/6K1 w - -,a2a3
r4rk1/ppqnbppp/2p5/5B2/3PpP2/1Q6/PP1B2PP/R4RK1 w - -,f5e4
1rr3n1/pp2pk1p/3pR1p1/2pP1p2/2P2P1B/2N2P2/P1B2K1P/8 w - -,f2e2
5rnk/5qb1/1R2R2p/2p5/2PpQP2/1P4PP/7K/8 b - -,f8d8
1r1qkb1r/ppp2ppp/4pn2/8/1npP4/Q1N2NP1/PPb1PPBP/R1B2RK1 w k -,a3a5
3R4/1pr1rp2/pR4p1/P1P2k1p/1P5P/5B2/5KP1/8 b - -,f5e5
1nr3k1/1p4bp/1p2bpp1/nP1p4/3Pp3/P3P1B1/3NBPPP/2RR2K1 w - -,c1c8
r1bqk2r/pp2ppbp/2np1np1/8/3NP3/2N1BP2/PPPQ2PP/R3KB1R b KQkq -,e8g8:h7h5:c8d7:a7a6
5k2/5p2/8/5K1P/5P2/P5R1/7r/8 w - -,f5g5
rnbq1rk1/1p3ppp/p2ppn2/8/2P1P3/2PQ4/P1N2PPP/R1B1KB1R w KQ -,c1a3
r3k2r/ppqnbppp/2p1p1Nn/3pP3/3P4/1QP5/PP2BPPP/RNB2RK1 b kq -,h7g6
2b1r1k1/7p/6p1/p1pP1p1q/PpPbp3/1P4Pn/R4PN1/1BQ1RK2 w - -,g2f4
8/p3kp1p/1p4p1/3b4/5P2/1P2K1P1/P1B4P/8 w - -,e3d4
2r2rk1/3nbpp1/2p1p3/pq1p2Pn/N2P1P2/1P1Q1R1P/P2B2B1/2R3K1 b - -,e7a3
8/8/p1p4p/1Pp1k1p1/4r1P1/P1R1K3/2P4P/8 w - -,e3d3
2rr4/p3bk2/2p1ppb1/3q2pp/3P4/1NQ1R1BP/PP3PP1/2R3K1 w - h6,c3c4
r2q1rk1/6pp/p2p4/1p1Npbb1/P7/2P5/1P2BPPP/R2Q1RK1 b - a3,b5a4
8/2b2rk1/8/p2p4/Pp1PP1p1/1Pp4p/4R3/2B3K1 b - -,h3h2
7k/2Q2b1p/5qp1/4p3/8/5rP1/5P1P/3R1BK1 w - -,d1d2
r2qk2r/3nbpp1/p3p3/1pP1Pn2/1PN1bP1p/4BN1P/P3B1P1/R2Q1RK1 w kq b6,c5b6
4k3/p1p1b1p1/6r1/1p2PpN1/2p2B2/2P5/PP3PK1/3R4 w - -,g2f3
rnbqk2r/ppp1ppbp/3p1np1/8/3PPP2/2N2N2/PPP3PP/R1BQKB1R b KQkq -,c7c6:e8g8:c7c5:b8c6
2br4/3rkppp/1p2p3/p1b5/4BB2/P1P5/1P1R1PPP/3R2K1 w - -,b2b4
r6k/1ppbn1bp/3p2q1/3Ppp1N/2P3PP/4BP2/1PBQ4/rNKR3R w - -,h5g7
1r1r2k1/4npb1/1p4pp/1N1bp3/1P1p4/3P2P1/3BPPBP/1R3RK1 w - -,f1c1
r3kb1r/pb1n1ppp/1qn1p3/1pppP3/5P2/3P1NP1/PPP3BP/RNBQ1R1K w kq -,d1e2
2r1k3/2r2ppQ/p1np3p/1p1b4/3q4/P1R2B2/1P1N1PPP/2R3K1 w - -,c3d3
3rk2r/1pb3p1/p1p4p/P3P1p1/1n1P4/2NB1PKP/1P6/3R1RB1 w k -,d3g6
2b5/7k/5K1P/P7/1n6/8/8/8 b - -,b4c6
5r2/3k4/3R4/p2pPp1P/1ppB4/5K1P/PP1b1P2/8 b - -,d7e7
1kb1rb2/p4p1p/2p2pp1/2N5/1PPP1n2/R2B1N1P/2K2PP1/8 w - -,d3f1
1rr3k1/2qbbppp/p2ppn2/8/1n2PP2/1NN1B1P1/1PPRQ1BP/5R1K b - -,b4c2
8/3r2p1/3P1pk1/2r1n2p/R1pR4/P1P3BP/5KP1/8 b - -,g6f5
4b3/1n2k1pp/1p2p3/3pNp2/1P3P2/3PPN1P/3K2P1/8 w - -,g2g4
rn1q1rk1/ppp1ppbp/5np1/3p4/2PP4/2NQPN1P/PP3PP1/R1BR2K1 b - -,c7c6
8/4k3/2P2p1p/3K1P1P/B4bP1/8/3p4/8 w - -,d5e4:a4d1
r2q1rk1/p2n1ppp/b3pn2/2p3B1/8/P4NP1/1PQ1PPBP/R3K2R b KQ -,d8a5
r1bqkb1r/pppn1ppp/3p4/3P4/3Q4/8/PP2PPPP/R1B1KBNR w KQkq -,g1f3
8/8/5pB1/7p/k4PnP/5K2/8/8 w - -,g6h5
4r3/1p5p/p5pk/4B3/6P1/7P/PP4BK/8 w - -,e5c3
3rk2r/1pq1bp2/p1nppp2/P7/1PP1P2p/7P/2NQBPP1/2R2R1K b k -,c6e5
rnbqk1nr/pp3pbp/2pp2p1/4p3/3PP3/3B4/PPP1NPPP/RNBQ1RK1 w kq e6,d4e5
8/4k3/3p1b2/2p2pp1/1P6/r2N2P1/P1R1KP2/8 b - -,f6d4
8/8/5nkp/5Qp1/4p1P1/4B2P/4qPK1/8 b - -,g6f7
2kr3r/1ppqbppp/p1n1p3/3n4/3P4/1Q6/PPPBNPPP/1K1R1B1R b - -,e7f6
r7/p1rnkppp/p2bp3/8/4p1P1/2PN3P/PPRNKP2/1R6 w - -,d2e4
2r5/4k1pp/pr3p2/3PpP2/R1P5/4K3/2P1R1PP/8 b - -,e7d6
r4rk1/pp2bppp/1np1p3/8/3P4/q1BQ1BP1/P3PP1P/RR4K1 w - -,b1b3
8/1k6/1pp1p3/p3P1q1/P1PPQ3/1P6/2K5/8 b - -,g5g3
8/8/2n1kpp1/pp4p1/3pK1P1/1P5P/P7/2N5 w - -,a2a4
3n4/rpr1kp2/pR2p1p1/2P4p/2KP3P/2P1PB2/6P1/1R6 w - -,c4b4
r1r3k1/pp2pp1p/3pbnpQ/q7/4P1P1/P1N2P2/1PP5/1K1R1B1R w - -,f1d3:c3d5
2k2r1r/pp4qp/3pbb2/2p1p2R/2P1P3/2NP2P1/PP1Q2B1/1K5R w - -,g2h3
r1b1k2r/1p2npb1/pq1p3p/2pPn1pP/P3P3/2N1B3/1PQ1BPP1/R3K1NR w KQkq -,f2f4
8/8/P4R2/2p5/2P5/8/r3p3/1K1k4 w - -,b1a2
r5k1/1p4pp/p1r1pn2/n2p4/8/2N2PPB/PPP4P/2KR3R b - -,a8d8
rn1qk2r/p4ppp/bpp1pn2/3pP3/2PP4/5NP1/PPQN1P1P/R3KB1R b KQkq -,f6d7
r3rbk1/pq3p2/1nnQ2pp/2p1p3/2P5/5NPP/1PP2PB1/R1B1R1K1 w - -,d6d3
1n3rk1/2r2pp1/pq1bpnp1/3p4/Pp1P4/1P2PPP1/Q2BBN1P/2R2RK1 b - -,b8c6
8/4kp2/2p3p1/2P2p2/4p2P/1Bb1P1P1/5P2/6K1 w - -,b3a4
6k1/2n2nrB/2N1p3/3p4/1PP5/5QP1/1q3PK1/7R b - -,g8f8
r4rk1/ppqnbppp/2p1pn2/8/3P4/1PNQ2PP/P1P2PB1/R1B2RK1 b - -,a8d8
2k5/4R3/1KP4r/8/8/8/8/8 b - -,h6h8
3r1rk1/2n2qpp/p1nppb2/P1p5/1pP1P3/1P1NBP2/R1Q1N1PP/3R2K1 w - -,d3f2
8/2pq1pk1/1p1p2p1/p2P3p/P1QP3P/1P4P1/5P2/6K1 b - -,d7e7
1r6/q4p1k/3NpPp1/3bP2p/3R1Q2/1r5P/1PR3PK/8 w - -,d4a4
1rb2nk1/2p1qrb1/p2p1p1p/N1PPp1pP/2B1PnP1/2N1BP2/P1Q5/2KR3R b - -,c8b7
r2r2k1/1p3p1p/2bppp2/p1n5/P1P5/1PR1P3/3NBPPP/4K2R w K -,e1g1
r4r1k/3n1pbp/p2Ppn2/1p3p2/2pP1q2/2P1BPN1/PPB1Q2P/R3K1R1 b Q -,f4h4
8/4bp1k/1B4pp/4p3/1p2P3/1P3P2/6PP/6K1 b - -,f7f5
r7/4p3/5kp1/1R5p/7P/3BK1P1/8/8 w - -,b5b6
r2qk2r/p3npbp/2p1p1p1/3pP3/3P4/5N1P/PP3PP1/R1BQ1RK1 b kq -,d8b6
1rb3k1/1p2p1b1/p2p1qpp/8/3NP3/2N3P1/Pn1Q2BP/R5K1 w - -,c3e2
2rr4/4bpk1/1p4p1/pN1p3p/2pP2n1/P3PBP1/1PR2PP1/K6R b - -,g4f6
6k1/p1Rn1pp1/br1q3p/4p3/1P2P3/1P1r2PP/2Q2PB1/R1B3K1 b - -,d3d1
r1b2rk1/pp1nq1pp/2pbp3/3pN3/2PP4/1P3PP1/PB4BP/R2Q1RK1 b - -,d7e5
8/5pp1/1k3n1p/R7/1ppr4/6PP/1P2KPB1/8 w - -,a5a8
2r5/2PR4/p5p1/7p/5k2/P7/3K4/8 b - -,g6g5
2b1q2k/1p3pp1/5r2/p7/4B3/8/PPQ3PP/5RK1 w - -,f1f6
r3k2r/p2qppb1/1p2b1pp/3pP3/2nP1B1P/8/PPB1NPP1/1R1QK2R w Kkq -,e2c3
4k3/8/6pp/5p2/2rp4/6P1/4PP1P/3R1K2 w - -,f1g2
r3k2r/1b1qbpp1/p2ppn2/1p4N1/1P1NPP1p/3P3Q/P2B2PP/4RR1K b kq -,a8c8
rnb1k2r/1pq2ppp/p2ppn2/8/2PNP1P1/2PBB3/P4P1P/R2QK2R b KQkq g3,h7h6
r2qrbk1/3b1p2/p4npp/1p2p3/P3P3/2NQB2P/1PP1BPP1/R2R2K1 b - -,a8b8
8/3r1ppk/2p2nqp/8/2B5/1PQ3PP/6PK/5R2 w - -,c3f3
