8/r7/P1B2k2/1p3p1p/1K6/4P3/4b3/R7 w - -,c6b7
7R/1b4p1/1p3pk1/1p1r3p/1B4PP/P3KP2/1P6/8 w - -,b4c3
r1bq1rk1/ppp1ppbp/2np1np1/8/3PP3/2N1BN1P/PPP2PP1/R2QKB1R w KQ -,f1e2:d4d5:d1d2
r1b2r1k/p6p/n1p5/1pp1qp2/2B4B/2N5/PP3PPP/R3R1K1 w - -,e1e5
4r1k1/pp1qrnp1/2p2p2/3p2p1/P2P2P1/1P1QPPPN/5K2/4RR2 b - -,e7e6
4r1k1/5npp/p4p2/1pp5/4PPP1/1rB4P/1P2R3/3R2K1 w - b6,g1h2
rn1q1rk1/pp1npp1p/3p2p1/2P5/4PP2/2P1BN2/P1P3PP/R2QK2R b KQ -,d7c5
2r5/p1p1kp2/2R3p1/4P2p/1r3P2/6K1/1PR3PP/8 b - -,e7d7
rn1qkbnr/pbpppppp/1p6/8/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq -,b8c6
5r1k/7p/3p4/2q1bpQ1/4p3/6P1/5P1P/3R1BK1 w - -,d1c1
8/8/2p5/Kp1k4/p1pn4/2B2P2/1P6/8 b - -,d4f3
r1b2rk1/pp2qppp/2pb1n2/3pn3/2P5/5NP1/PPQNPPBP/R1B1R1K1 w - -,c4d5
rnbqkbnr/p1pppppp/8/1p6/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq d3,c8b7
3r4/p3r1kp/PpRpB1p1/3P2P1/1P3p2/2PK1P2/8/6bR b - -,g1e3
2rq1rk1/pp1bppbp/1nn3p1/1R6/3P3N/N3P1P1/P2Q1PBP/2BR2K1 w - -,h2h3
6k1/5p2/pr1r1pb1/2R1p2p/1P6/P7/6PP/2R2BK1 b - -,e5e4
2r2r2/3b4/1k2q2p/ppppP3/8/2B3Q1/6PP/1BR4K b - -,b5b4
r1q1r1k1/2p2pb1/3p1np1/2n5/4P1P1/2N1BP2/1P4B1/1R1QR1K1 b - -,f6d7
8/6k1/4R1p1/2r4p/5P1K/6PP/8/8 b - -,c5c3
r2q1rk1/pb1n1ppp/1p1b4/2p1N3/2BPpP2/1P2P3/PB4PP/R2Q1RK1 b - -,d7f6
2bq1rk1/pp3p1p/6p1/3nb3/8/4PN1P/PP2BBP1/3Q1RK1 b - -,e5g7
6k1/5pbp/p1n2np1/1pp1p1B1/4P3/1PPq3P/P3BPP1/5NK1 w - -,e2d3
r2qr1k1/1pp2pbp/2np1np1/p3pb2/2P5/PPNPP3/1BQNBPPP/R3K2R b KQ -,f6d7
6k1/p5rp/8/3Pp3/4PPb1/B4p2/P2R1Q1P/1q3BK1 w - -,h2h3
rnb1kb1r/pp2pp2/1qp3pn/3pP2p/3P3P/2NB4/PPP2PP1/R1BQK1NR w KQkq -,c3e2
4r3/pp3k1n/2p2r1p/2Bp4/2P1PQ1P/3P4/PP5K/8 w - -,f4c7
3k4/3R4/2r5/4p3/4PpB1/7P/1r4P1/5K2 b - -,d8e8
6k1/6p1/N1p5/1pQb3q/1P3R2/5P1P/6P1/4r2K w - -,h1h2
3r1rk1/2qn1pp1/b1p1p2p/p1P5/Pp1PPPN1/1B3QP1/R6P/3R3K b - -,f8e8
4B3/1p6/3kp2p/p1r5/1P1p4/P3bP2/2b1N3/4R2K b - b3,a5b4
2N5/B4pp1/6k1/1P6/P5P1/5K2/8/4r3 b - -,e1a1
r1q2r2/p1p5/1p1p1npk/3Pp2b/2P1P3/5PN1/PP1N4/2K1QRR1 b - -,c8d7
1r5k/3R2b1/2p2qp1/p1N4p/3pQ3/1P3P1P/P5P1/6K1 b - -,b8f8
8/p4p2/3N1kp1/1P3p2/4P1PP/n2K4/8/8 b - -,f5g4
8/8/3n3p/p6B/K3p3/4P1k1/8/8 w - -,a4a5
7r/1pr1kp2/2pR4/p1P1Pp2/P5P1/4K3/8/1R6 w - -,g4f5
r1bqk2r/p1pnbppp/1p3n2/3p2B1/3P4/2N1PN2/PP3PPP/R2QKB1R w KQkq -,f1b5
8/8/r4k2/Pp4p1/5K1P/8/R7/8 w - -,h4g5
5bk1/7p/6p1/P2b1p2/8/1PQ1p1PP/3r4/5BK1 b - -,e3e2
rn3rk1/p1q2ppB/1p2p3/3b4/3B4/7P/PPP2PP1/R2QR1K1 b - -,g8h7
5r1k/6qp/1pNp4/p2Ppnp1/2P2rR1/1PR2P1P/P7/4Q2K w - -,g4f4
r2R4/p1P2pp1/3n2kp/8/8/6P1/1P3PP1/6K1 w - -,d8a8
r1bq1rk1/pp1nbppp/2p1pn2/6N1/3P4/3B1N2/PPP2PPP/R1BQ1RK1 w - -,f3e5
4r3/3n1pkp/Q3b1p1/4p3/3qN3/7P/P4RP1/4R1K1 b - -,e6d5
r1b2rk1/3nppbp/pqp3p1/N2pP3/1P1P1N2/2PB1P2/2Q3PP/R4R1K b - -,e7e6
2k5/2n5/4p1P1/p1pnP1q1/Pp6/1P3B2/1BQ2P2/5K2 w - -,c2c5
3r3k/2p5/2n1b2p/pp4q1/1P1p1p2/P4P2/3Q2PN/4R1BK w - -,e1e6
1r6/1p1B2k1/4P1p1/R4pP1/4bP2/P3K3/8/8 b - -,g7f8
r1bqr1k1/1ppn1pb1/3p3p/p2Pp1p1/2P1Pn2/2N3B1/PP1NBPPP/R2QR1K1 w - -,e2g4
3q4/5pk1/1pB1pbp1/pQ6/8/2P3P1/1P3P1P/6K1 w - -,h2h3
2n2k2/pp1bbp2/2p3p1/2B4p/4P2P/1P1N2P1/P4PK1/5B2 w - -,f2f4
5rk1/r1qnbp1p/1pb3p1/p1p1p1Nn/P1PpP3/1P1P2P1/R4PBP/1NBQ1RK1 b - -,c7d8
5r1k/2p3qp/1p4p1/4p3/1PP2r2/4Q2P/3N1PP1/5R1K w - -,c4c5
1r4kr/3q2b1/p1pp2p1/5pB1/2pP2nP/2N2QP1/PP2PPK1/1R5R b - -,g7d4
rnbqkb1r/p4ppp/4pn2/1p2N3/2pP4/3BPN2/PP3PPP/R1BQK2R w KQkq -,d3e2
6k1/pp2qp1p/6p1/8/1P3R1P/2P2Q2/2r2P1K/8 w - -,f4c4
2r3rk/5pp1/3N3p/p2PP2P/1p1R4/1Pp3RK/P1Qb4/5q2 w - -,h3h2
rr6/1p1n3p/2p1k1p1/p7/2P2BB1/8/Pb3PPP/3R2K1 b - -,e6f6
r1r3k1/1p2ppbp/3p2p1/3P1PP1/p1qNP3/Pn5P/1PBQ4/1K1R3R w - -,c2b3
1rb2rk1/ppq2pp1/3B3p/2p5/2P3n1/1N3QP1/PP3PBP/R4RK1 b - -,c7d6
8/8/8/2pp1KP1/2k4p/2P2R1P/8/6r1 w - -,g5g6
r2qkb1r/pb3ppp/1pn1p3/8/3P4/2PB1N2/P4PPP/R1BQR1K1 b kq -,f8e7
5brk/5p1p/5p2/1pn1pN1B/3pP3/q1nP2PP/P1Q2R1K/5R2 b - -,a3a7
rnbqk1nr/1p3ppp/p3p3/8/3PN3/5N2/PP1b1PPP/R2QKB1R w KQkq -,d1d2
1rbqk2r/4bp2/p1p2npp/4p3/3pP3/1P1B2NP/P1PBQPP1/R3R1K1 b k -,d8c7
r3q1k1/p4pbp/1pn1b1p1/3p4/2B5/B1PQ1N2/P4PPP/4R1K1 w - -,c4d5
8/8/3k2p1/pR6/Pb1K3p/2p4P/7P/8 w - -,d4d3
r4rk1/p4ppp/q3b3/2p1P3/5Q2/2p2N2/P1P2PPP/1R3RK1 w - -,f4e3
r3r1k1/7p/4bq2/1p1p1pp1/8/1B1P4/1PP2QPP/R4RK1 w - -,a1a8
2r3k1/2q3pp/2r1pn2/p2p4/Np1Q1P1P/1P4P1/P1P1RR2/1K6 w - -,d4d3
r2q1rk1/p4ppp/bpp1p3/3pP3/2P5/4K1PP/PPQ1P1B1/RN1R4 b - -,d8g5
8/4k3/pp5p/2pK4/8/1N2b2P/P7/8 w - -,a2a4
4k2r/2p1bpp1/p3b1p1/4P3/3r4/P1N4P/1P3PP1/R1B2RK1 b k -,e6b3
r4rk1/1p2ppbp/p1qp2p1/3n4/2P1P3/3Q1P2/PP4PP/R1B1R1K1 w - -,e4d5
r1b1k2r/ppqn1ppp/2pbp3/8/2PPB3/5N2/PP3PPP/R1BQ1RK1 b kq -,d6f4
r2q1rk1/pp1nbppp/2p1pn2/8/3P1B2/1QP2BNP/PP3PP1/R4RK1 b - -,d8b6
2kr3r/1p3pp1/pq2p2p/1n1pP2P/bPpP1P1N/2P1B1PB/2PQ4/1R4K1 w - -,b1a1
r1bqr1k1/1p1n1ppp/2pb1n2/p3p3/4P3/5NP1/PPP2PBP/1RBQRNK1 b - -,d7c5
r1bqkbnr/pp1p1p1p/2n1p1p1/2p5/4P3/2P3P1/PP1PQPBP/RNB1K1NR b KQkq -,f8g7
5k2/8/8/5P1K/8/3B2P1/1p2n3/8 b - -,e2g3
6k1/2p2r1p/5bp1/4p3/2R5/4B1P1/r3PP1P/4RK2 b - -,a2b2
5k2/R7/8/5BP1/8/p4K2/Pb6/4r3 w - -,f5c2
4k1r1/1p6/p1b1pn1R/5P2/8/P1Nr4/1P6/1K3R2 b - -,f6d5
r2qk2r/1p1b1ppp/p1n1p1n1/2bpP3/8/2PB1NB1/PP3PPP/RN1Q1RK1 b kq -,e8g8
r2qr3/1k4pp/p7/8/5BP1/5Q1P/PPP2P2/R5K1 b - -,b7a7
r1bqk1nr/pp1p1pbp/4p3/1B3p2/3pP3/3P4/PPP3PP/RNBQ1RK1 w kq -,e4f5
2r1k2r/pp1n1pbp/1Q1p2p1/8/2p1PP2/2P2B2/PP4PP/R1B2RK1 b k -,a7b6
1r6/4ppk1/5n2/4qb1p/3p2p1/Q1NBb1P1/PPP4P/1K1R3R w - -,c3e2
br3rk1/3n1p1p/p1qP2p1/2p1p1b1/P7/1N1Q1P2/4BBPP/1R3R1K w - -,d3a6
r2q1rk1/1bpp1pp1/p1n2n1p/1p2p3/P3P3/bB1P1N2/1PPB1PPP/R2Q1RK1 w - -,a1a3
6k1/2p2ppp/2n5/3Pp3/1p1q1P2/3P2PP/2P3B1/1r2QK2 w - -,e1b1
3r4/3P2k1/8/6R1/4B2n/4P3/5P1K/r7 b - -,g7f6
3r2k1/p1q2pp1/2p1b2p/1p2P3/3R1P2/2P3PP/P1Q3B1/6K1 b - -,c6c5
7k/6b1/2r3pp/8/P1qpN2P/1Q1R1P2/6P1/6K1 w - -,a4a5
2r2b2/6p1/4kp1p/7R/8/P3BP2/KP3P2/8 w - -,b2b4
1rbqk2r/2p1bppp/p1n1p3/1p1nP3/2pP4/2N2NP1/PP2QPBP/R1B2RK1 w k b6,a2a3
r1bk1bN1/5r2/2p4p/1p6/qP1PQ3/1R2P3/6PP/5RK1 w - -,f1f7
8/5p2/8/4P1Bp/2r4P/3k1PK1/8/8 w - -,g5f6
1rbqnrk1/pp2ppbp/2np2p1/2p5/2P5/P1NP1NP1/1P2PPBP/1RBQ1RK1 w - -,d1c2
3nr1k1/1p3ppp/p7/2N1q1P1/4P3/4Q2P/PPP5/1K1R4 w - -,a2a3
r1bq1bk1/1p1n1p1p/4rnp1/pN1p4/3Pp3/1P4PP/P1QNPPB1/1RBR2K1 w - -,d2f1
1q3rk1/7p/r2n4/p3Bp2/2Ppp3/7P/RPB1Q1P1/6K1 w - -,e5d4
4b1k1/1p6/p1p1pr2/2P1Br2/3PR2R/1P3P2/1P2K3/8 b - -,f6g6
r2qkb1r/pb1n1ppp/1p1ppn2/2p5/2PP4/1PNBPN2/P4PPP/R1BQ1RK1 b kq -,f8e7
r2r2k1/bp3p2/p3pn1B/8/6p1/P1N3P1/1P2nPBP/3RNK2 b - -,e2c3
3brrk1/1b3ppp/p2q4/1ppn4/4N3/1BPP3P/PP3PP1/R1BQR1K1 b - -,d6g6
1r5k/5ppp/2bpn3/Pp2pN2/4P3/3B4/2P2PPP/5RK1 b - -,b8d8
3qr2k/1p3p1p/p2r1p1B/8/8/5QP1/PP3PK1/3R4 w - -,d1c1
r1bq1rk1/pp2ppbp/1np3p1/n2P4/4P3/2N2NP1/PP3PBP/R1BQ1RK1 w - -,f1e1:d5c6:c1f4:c1g5:f3d4
1rbqk2r/2p2ppp/pb1p4/P7/1pBPn3/5N2/1P3PPP/R1BQ1RK1 b k -,b6a7
2r2rk1/4bppp/p1bppnq1/1p6/2PQP3/PP4PP/NB3PB1/2RR2K1 w - -,d1e1
1r3rk1/p2qbppp/1p2pn2/n1p5/5B2/P1NP1Q2/1PP1NPPP/R4RK1 b - -,b8d8
6k1/p4p2/1p1Pp1pp/8/4PPP1/3K4/8/8 b - -,g8f8
rnbqk1nr/1p1pbppp/p3p3/2p5/4PP2/2N2N2/PPPP2PP/R1BQKB1R w KQkq -,g2g3
1r6/4k3/p1p3pp/2R1P3/1n1N2P1/7P/5P2/6K1 b - -,e7d7
5k2/1b1nbpp1/pp1np2p/3p4/3P4/PP3PP1/1BN1PKBP/2N5 b - -,d7b8
2r3r1/4kppR/2n1p3/3pP1N1/1P3PP1/8/1P4K1/2R5 b - -,c6a7
3r2k1/p5p1/3qp2p/R4p2/3Pb3/1N2P2P/P4QP1/6K1 b - -,d6b6
r1b3r1/ppp1kp1p/1n1b4/4p3/4N3/1B2PN2/PP3PPP/3RK2R w K -,f3g5
rn1qkb1r/1b3ppp/p3pn2/1pp3B1/3P4/2NBPN2/PP3PPP/R2Q1RK1 b kq -,b8d7
2b2rk1/1pr1q1bp/p3p1p1/3pN1P1/3N1P2/3PQ3/PP3R1P/4R1K1 w - -,g1g2
1r4k1/5p2/pq2r1p1/2p1p2p/2P1P3/QP1R1P1P/6P1/3R3K b - -,b6b4
4r3/4qkp1/R6p/P1p5/1p1pQ3/1P5P/2P3P1/6K1 w - -,e4f5
5rk1/2p1P2r/1pNp2np/pPbP1p2/P3pPp1/2Q1P1Pq/1B3R1P/6RK b - -,g6e7
5rk1/6bp/p2P2p1/1pBP4/5RPq/1P6/1P4Q1/3R2K1 b - -,f8f4
3r4/p1N1rkp1/P1R1p2p/5P2/3Pn3/7P/5P2/4R1K1 b - -,e6f5
r5k1/5ppp/pb1p1n2/1b1Pp3/4P3/2R2N1P/1PrN1PP1/2B1R1K1 b - -,a8c8
r2r2k1/1ppb1ppp/pqn1pn2/2R5/P2P4/1Q2PNP1/1P1N1PBP/5RK1 b - -,b6b3
6r1/pr1q2k1/2p1ppp1/2Bn3p/PPRPQ2P/8/5PP1/4R1K1 b - -,g7f7
2r2rk1/pp3p1p/4p1p1/2pq4/3B4/P2P2P1/1P2PP1P/1R1Q1RK1 b - -,d5d4
5qk1/6b1/p1r1p1np/1p1pPp2/3P4/1P4PQ/P2B1PK1/1B2R3 w - f6,e5f6
2rqr1k1/pp1nbp2/4n1p1/2p3Pp/3PP1bP/2NB2B1/PPQRN3/1K5R w - -,d4c5
1r1qb1k1/1r1n1pb1/p2p2pp/2pP4/2P2P2/1PB2RNP/2BQ2PK/1R6 w - -,c3g7
1r1q1rk1/n2bppbp/2pp1np1/1p6/3P4/1P1N2P1/PB1NPPBP/2RQ1RK1 b - -,d8b6
r3k1nr/1p1bbppp/1qn1p3/p1ppP3/3P4/P1PB1N2/1P3PPP/RNBQ1RK1 w kq -,d3c2
4k2r/R2b1ppp/4p3/3pP3/8/2r5/5PPP/3B1RK1 b k -,e8e7
r2q1rk1/pppn1pp1/4pn1p/3pNb2/3P4/2P1P1P1/PP1NBPP1/R2QK2R b KQ -,d7e5
r2qkb1r/1b1n1ppp/pp1ppn2/8/2PNPP2/2NB4/PP4PP/R1BQ1RK1 w kq -,d1e2
r1bqkb1r/pp3ppp/1nN5/4p3/8/1QN1P3/PP3PPP/R1B1KB1R b KQkq -,b7c6
2r3k1/3b1p2/q2p2p1/p2P1PP1/Ppr1P1Qp/1Pb1B2P/8/2R2BK1 w - -,b3c4
8/7p/4p3/1b3p1P/3p1PP1/5K2/3k1N2/8 b - -,b5e2
r3k2r/ppp5/1Bpqnp2/4p1p1/1P2P2p/3P4/1PP1NPPP/R2Q1R1K b kq -,c7b6
r4rk1/1bpq1pp1/p2p1nnp/1p2p3/4P3/1BPPPNNP/PP4P1/R2QR1K1 w - -,e1f1
r2q3r/pp1kbp1p/3p1p2/2pP1N2/2P5/3P4/PP1Q2PP/R4RK1 w - -,a1e1
rnbq1rk1/pp3pp1/5n1p/2bp4/7B/3BPN2/PP1N1PPP/R2QK2R b KQ -,b8c6
3rr3/2pn1kp1/1p2p2p/pR3p2/P1PP1P2/2P4P/3N1KP1/4R3 b - -,d7f6
1k1r3r/1bp1bpp1/1n6/B1p1PPqp/2Pp4/1P4Q1/3NB1PP/3R1R1K w - -,a5b6
r1bq1rk1/ppp2ppp/1n2p3/3pN3/1bPPn3/1PNQ2P1/PB2PPBP/R3K2R b KQ -,f7f6
rn2r1k1/1p2ppbp/q1p3p1/3p4/pBPPb3/1P2PNP1/P4PBP/2RQ1RK1 w - -,f3d2
r1r3k1/5ppp/p1np3b/2qNp3/1pP1P2P/1P4P1/P1N2P2/R2Q1RK1 b - -,a6a5
8/2Q2p2/3P1kp1/1p1q3p/7P/2P3P1/5PK1/8 w - -,g2h2
r3k2r/pp1nn1pp/2pb1pb1/q2pp3/6P1/PPN1PPN1/1BPP2BP/R2Q1RK1 w kq -,c3e2
r1b1rnk1/1p3pbp/1q2p1p1/p2pP1P1/Pn3P2/BPN4R/2PQN1BP/3R3K w - -,c3b5
2r5/pp2kppp/8/8/3p4/P4P2/1PPR1P1P/5K2 w - -,f1e2
1r3rk1/4nppp/pPn5/2N1pb2/N2q4/1P1p2P1/P4PBP/2RQ1RK1 b - -,c6a5
3b4/p4k2/1p5p/2p5/P1N2pP1/1P5P/5P2/3b1BK1 w - -,c4d2
8/p7/5n2/2pk2p1/7N/6P1/2K5/8 w - -,h4f5
r3nrk1/1bqnbppp/pp1pp3/8/1PP2B2/2N2NP1/P2QPPBP/2RR2K1 b - b3,a8d8
r2r2k1/1pn1qpp1/p3p2p/1b2P3/3N2PP/P2PQN2/1P6/4RR1K b - -,d8d7
2r4r/1p2kpp1/p3n3/4Nn1p/8/1P3P2/P1P1B2P/2K1R1R1 w - -,e2d3
1r4k1/6b1/1r1p2pp/RbpPp3/1p2P3/1P1PB2P/4KRB1/8 w - -,f2f1
r3r1k1/p1pn2pp/1p1b4/3p1p2/1B1P4/3N2P1/PPR1PPKP/5R2 b - -,c7c5
r1bq1rk1/pp1nbppp/4pn2/2p5/3PN3/5NP1/PPP2PBP/R1BQR1K1 b - -,f6e4
2kr2r1/pb3p1p/1p1p1n2/4n3/2P1pN2/P6P/1BP2PP1/2KR1B1R w - -,f1e2
r1bq1rk1/4bpp1/p2p1n1p/1ppPn3/4P3/5P2/PPBNNBPP/R2QK2R b KQ -,e5g6
r3k3/pp1n1p1p/2b1pnr1/2P5/4p2Q/P1q1B1N1/2P1BPPP/R4RK1 b q -,f6d5
8/2b2k1p/6p1/8/7P/8/8/6NK w - -,h4h5
2r5/1p1n1pkp/p1rppq2/6p1/2PNP3/1P5P/P2Q1PP1/2RR2K1 b - -,c6c5
r2qk1nr/1b1nppbp/p2p2p1/1pp2P2/4P1P1/2NP1N2/PPP3BP/R1BQ1RK1 b kq -,d8b6
2rq1rk1/pp2p1bp/n1pp2p1/4Pb1n/2PP4/1P3NP1/PBQN1PB1/R3R1K1 w - -,c2c3
r3r3/1b3p1k/3p1b1p/p1nPpp2/p1p1PP1q/2P1B1PP/1PB1Q2K/R4R2 b - -,e5f4
r1r1b1k1/5pp1/3b1q2/p3p1Np/PpB1PnnP/6B1/1P1N1PP1/R1RQ2K1 w - -,d1f3
r3r1k1/2q2pp1/p6p/1p3b2/7b/1PP1BQ2/1P3PPP/R3R1K1 w - -,f3f5
r4rk1/pp4p1/2p1np2/3pPbpN/3P4/P3P3/1P3PBP/R4RK1 w - -,e5f6
2bqr3/1ppn2bk/3pn2p/4p3/1PP2p2/2NPBNPP/2Q2PB1/R5K1 w - -,e3d2
4k3/3R4/1P2p3/4bp2/8/1r6/5K2/5B2 w - -,d7b7
2rq1rk1/pb1n1pbp/1p1p2p1/4p3/1n2PP2/1NN1BB2/PPPQ2PP/4RRK1 b - -,e5f4
3r2k1/1p1n1p2/1p6/3P1p2/1P6/8/6B1/5RK1 b - -,d7f6
r1bqk1nr/1p2ppbp/p5p1/3p4/3pP3/3B4/PPPPNPPP/R1BQ1RK1 w kq d6,e4d5
1rrk4/6b1/1p1P2pp/pP6/NpP1PpPP/5P2/2RR2K1/8 w - -,c4c5
5kn1/1ppq1pp1/p2p3p/3P4/2PQ4/4rN1P/PP3PP1/6K1 w - -,f2e3
3rrnk1/1bp1q1bp/pp2p1p1/3p1p2/3PnN2/1P2PN2/PBP1BPPP/2RQ1RK1 b - -,c7c5
8/2p2k1p/1p1p4/p4K2/PbP3PP/1P2B3/8/8 b - -,b4e1
4k1r1/1p1r1p1p/p4Q2/2n2p2/3R1P2/2q5/P5PP/3R2K1 w - -,f6e5
2r3k1/1b3pp1/1p2p2p/rB1n2q1/P1p5/2P1PPbP/1BNRQ1P1/3R1K2 b - -,a5a8
8/p2Q1pk1/8/PP6/4q1pp/1KP5/8/8 w - -,b5b6
3r2k1/1pB1q1pp/pQ2P3/P1p5/3b4/7P/2P1R1PK/8 b - -,d8e8
r1bq1rk1/p1p2ppp/1p1p4/n2Pp3/2P1n3/P1P1PN1P/4BPP1/R1BQK2R w KQ -,d1c2
rnbq1rk1/ppp2pbp/3p2p1/3Pp2n/2P1P3/5PPN/PP4BP/RNBQK2R b KQ -,f7f5
2r4r/4kp2/pn2p2p/1p4p1/4B3/P4P2/1PP3PP/2KR3R w - -,h2h4
8/8/8/4q3/P7/2p3p1/2Q3P1/4k1K1 w - -,c2c1
2kr4/1qp1np1r/p1n1p1p1/1pPpP2p/3B1PP1/PP1Q3P/1KP1N3/3R3R w - -,c2c3
2R5/3Q1p1p/p4qp1/4b2k/P3PP1P/8/5P2/4K3 b - -,f6f4
3r1qr1/4np1k/2pp1p1p/pp1PpP1Q/4P1PP/P1P2B2/1P3K2/R3R3 b - -,d8c8
r4rk1/p3Qppp/bp2p3/n1pP2N1/2P5/2q1BP2/P4KPP/4RB1R b - -,e6d5
8/6p1/pp1k1p2/4p1p1/1B2P3/P4P1B/KPr3P1/8 b - -,d6c7
6k1/1R6/6p1/7p/1p2r3/1P4K1/P5P1/8 w - -,g3f3
4N1k1/p4pbp/6p1/1pr5/2bP4/3qP1P1/1R3PBP/Q5K1 w - -,e8g7
rn1qkb1r/pp2pppp/2p2n2/3p4/3P1Bb1/3BP3/PPP1NPPP/RN1QK2R b KQkq -,e7e6
r1br2k1/pp2ppbp/6p1/n3n3/2P1PN2/2N1BP2/PP4PP/R3KB1R w KQ -,c3d5
