8/8/2QP2p1/5pP1/7k/3K1P2/8/6q1 b - -,g1d1
3b2k1/r4p2/2p4p/2Pq1bp1/P1NPp3/4P3/2Q1BPPP/5RK1 w - -,c4d6
r2qkb1r/1b1n1ppp/pp2pn2/2p5/P1BP4/2N1PN2/1P2QPPP/R1B2RK1 b kq a3,f8d6
5r2/3R2p1/4p1k1/p3P1p1/2P5/1P1N4/3K2bP/8 w - -,d7e7
2r3k1/7p/6p1/2b1Rp2/8/4P1P1/5N1P/6K1 w - -,g3g4
8/p1PR4/2r3pp/8/8/P2p4/3k2PP/6K1 w - -,g1f2
6k1/Q7/5rBp/p2Pp3/1p2n3/7P/P1R3PK/5q2 b - -,f1f4
r1bq1rk1/ppp3bp/2np2p1/3npp2/2P1P3/3P2P1/PP2NPBP/R1BQ1RK1 w - -,c4d5
3n4/p5k1/1p1q1p2/2pp1PpN/3P2N1/P1P1Rr2/1P5P/6K1 b - -,g7f7
1r3rk1/ppnq1pbp/3p1np1/2pP4/P4B2/2NQ1N1P/1PP2PP1/R4RK1 w - -,f3d2
6k1/1R5p/6p1/8/2N2P1P/4K1P1/1P6/1b1r4 b - -,d1d3
r2r4/ppR3k1/4p1P1/n7/3pN3/PP6/5P2/4K2R b - -,g7g6
1r3nk1/6pp/2p1p3/p2pP3/3q4/P5PB/4Q2P/5R1K b - -,d4a7
6k1/1q3p2/p1rBpbp1/1rPp3p/1P6/1R2P2P/Q4PP1/1R4K1 b - -,g8h7
r5k1/7p/b3P1p1/5P2/1n2P1P1/6B1/1p1R3P/1K6 b - -,b4d3
r3r3/1p3k2/1q1Pp2p/p4p2/P1Bbn3/BP5P/4QP2/2R1R1K1 w - -,e2h5
2r4k/1p4pp/8/p1p2rB1/P1B5/2P5/2b2PPP/RR4K1 w - -,c4e6
r1b1r1k1/1ppp1ppp/8/p3q3/2P5/P3P3/1P1QBPPP/R4RK1 w - a6,b2b3
8/5p1p/1k4p1/2N5/n1Pp1PP1/3N3P/r7/5BK1 w - -,c5b3
8/8/3pBk2/2pP4/Ppn5/6P1/P4P2/5K2 w - -,f2f4
rn1qkbnr/pbpp1ppp/4p3/1p6/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq -,e2e3
r1b2rk1/p1n1pp1p/2p3p1/1P2P2q/2BP3b/1QP4P/5PPN/R1B2RK1 b - -,c6b5
rnb1r1k1/pp3pbp/3Q1Bp1/qp4N1/2P1p3/1P4P1/P3PPBP/R4RK1 b - -,b5c4
r1b1kb1r/ppqn1ppp/2p2n2/4p3/3PP3/2P2N2/PP1N2PP/R1BQKB1R w KQkq -,f1c4
r1bq1rk1/pp3pbp/2n1pnp1/2pp4/P3P3/2NP1N1P/BPP2PP1/R1BQR1K1 b - -,d5e4
r7/P3Rp2/1R4p1/1p5p/1k6/3P4/r7/2K5 w - -,e7f7
8/8/2R5/pp3p1p/2k2P1K/P5P1/1P6/6r1 b - -,c4d5
r2q1rk1/3bppbp/p2p1np1/1p6/2BNP3/P1N1BP2/1PPQ2PP/3R1R1K b - -,b5c4
5b2/8/pp4kp/2p1p1p1/P2pP1P1/1P1P1K2/2P5/4B3 w - -,e1d2
6k1/1p1R1p2/3n2p1/4p3/3pPrP1/P2B3p/1P5P/6K1 w - -,d7d6
1q6/2n2pk1/2r1p2p/3p2p1/R1PP2P1/1P2QP1P/8/2R3K1 w - -,c4c5
r4rk1/pp5p/4p1p1/q1n5/3bnB2/2N1P3/PP3PPP/2RQ1RK1 w - -,c3e4
2r4k/p4p1p/2p3p1/2pq1b2/3b1B2/5Q2/PP4PP/3R1R1K w - -,f3d5
2br4/1pq4k/n1p3pp/p1n1pp2/P1P1P3/1PN3PP/N1QR1PB1/6K1 w - -,a2c1
2r1b1k1/1p3pb1/p3p1pp/3n4/3P2P1/1N2PPBP/1P2BK2/2R5 b - -,c8c1
r4rk1/q5bp/2p3p1/p1Ppp3/8/4QNPP/PPR1P1K1/5R2 b - -,a7d7
8/p4R1p/8/6P1/3k2P1/7P/3r2r1/2R3K1 w - -,g1f1
r1r3k1/5ppp/p3bb2/8/4PP2/1P5P/2BRN1P1/5RK1 b - -,a8b8
7r/8/8/4kp2/R6P/8/5K2/8 w - -,f2f3
4r1k1/5pp1/3b4/p2P4/P5Pp/3Q1K1P/5RB1/4q3 b - -,d6c5
7k/p2rq2p/1n4p1/5p2/2pN1P2/2P2Q2/PP5P/2KR4 w - -,f3f2
4r1k1/1q3pbp/2pp2p1/p4b2/Pn3N2/1P1PB1P1/3Q1P1P/2R3KB w - -,h2h4
8/5k2/R7/p4pp1/2B5/q5P1/5B2/6K1 b - -,f7e7
r2r2k1/1q2bppp/2ppb3/p1n1p3/2P1P3/1P2BPP1/PNRQ2BP/3R2K1 b - -,a5a4
1k2r3/2N4p/p5pn/3rPp2/2pP1PP1/1n5P/NP1b4/1K1RB1R1 b - -,b8c7
5r1k/3R1B1p/pp6/2p2pQ1/P4p1B/7P/6P1/q4nK1 b - -,f1g3
r5k1/1p1B1ppp/1Q6/3q1P2/4p3/2P5/1P4PP/5RK1 w - -,b6d4
1r1qk2r/2pb1pp1/1bnp1n1p/1p2p3/4P3/1BPPBN2/1P1N1PPP/R2Q1RK1 b k -,c6e7
4rrk1/1p5p/1pp1b1p1/4b3/3pP3/P1P3P1/1P1B2BP/2R1R1K1 b - -,e8d8
q5k1/3bppbp/5np1/2pP2B1/2Q1P3/5N2/1r2BPPP/5RK1 w - -,c4a6
1r2qrk1/pp2b1p1/2npP2p/2pNppn1/2P5/1PB1P1P1/P2Q1PBP/3R1RK1 b - -,b8d8
8/5pk1/4p3/3p2p1/RPnP2P1/2KB2r1/8/8 b - -,g3d3
8/3b1pkp/3P2p1/1pq5/2nN1P2/7P/2P1N1P1/4Q1K1 w - -,e1f2
2Q5/4bppk/p3p3/1b6/4P1Np/5P1P/P2r2P1/7K b - -,e7b4
8/8/8/2k4p/2p1P1b1/2B4p/8/6K1 w - -,g1f2
2R5/6p1/P4n2/1B2k3/1KP2r2/8/3p4/8 w - -,b5a4
r2q1rk1/pp3pp1/n2b3p/3Bp3/3P4/1Q2P1Pb/PP2NP1P/R1B1K2R b KQ d3,e5d4
1r1q1r2/2nbppkp/p2n2p1/2pP4/P1B5/1P2QN1P/N4PP1/R4RK1 b - -,d6c4
r5r1/nQ4bk/p3N2p/3pP3/p3nP2/2P1R3/1P4PP/R1B3K1 b - -,a7b5
r4r1k/pp1qbppp/2np4/3Qp3/2B2P2/2P1B3/PP4PP/3R1RK1 b - -,a8d8
1n1q1rk1/1rpn1pp1/p2pb2p/P3p1b1/BpNPP3/2P1B2P/1P1N1PP1/R2Q1RK1 b - -,g5e3
8/8/4k2p/r5p1/P2K4/R7/6PP/8 w - -,d4c4
3q1rk1/1brnppbp/pp1p1np1/8/2P3PQ/1PN1BN2/P3PPBP/2RR2K1 b - -,h7h6
5k2/6p1/1n1p1p1p/pB3P2/1p1PP1P1/1P1K4/6P1/8 b - -,f8g8
2r5/4bk1p/p1r3pP/3R2P1/4N3/1PP1B3/5P2/2K5 w - -,c1b2
2rq1rk1/pp1bbppp/3pPn2/1B6/Pn2P3/2N2N2/1P3PPP/R1BQR1K1 b - -,d7e6
r1r3k1/7p/p2p2pb/P1nP4/1BB1pqp1/1P6/R4P1P/3QR1K1 b - -,h6g7
4r1k1/1p3rbp/p1q3p1/2B1n3/Pp2PN2/6P1/2Q4P/1RR4K w - -,b1b4
8/1p2rk2/1R4R1/1p5p/1K1P3P/4r3/8/8 w - -,g6f6
r1bqkb1r/ppp3pp/2np1n2/4p1B1/4Pp1N/2NP4/PPP2PPP/R2QKB1R w KQkq -,c3d5
8/2Q2pk1/4p3/3bP1P1/6PK/8/3n4/8 w - -,c7e7
8/1ppr2bk/p1n3pp/P2q1p2/2P1p3/1N2P2P/1P2QPPB/R5K1 b - c3,d5d3
r4rk1/2b2pp1/p1n1bq1p/1ppNp3/4P3/2P2NP1/PP2QPBP/R3R1K1 b - -,f6d8
8/5k2/r5pp/p1R5/P5PP/6K1/5P2/8 b - -,f7f6
8/4kppp/3n4/8/r2PN3/4P1P1/1R5P/6K1 w - -,e4d6
r1b1kb1r/pp1p1ppp/2n1pn2/q7/3NP3/8/PPPBBPPP/RN1QK2R b KQkq -,a5b6
1kbr3r/2qnbpp1/p1npp2p/1p6/3NPP1B/3B1N1P/PPP3P1/1K1RQ2R b - -,e7h4
8/2r2pk1/4p1p1/r2p3p/P2R1P2/4P2P/5KP1/R7 w - h6,a1a3
2R5/pr3pk1/6pp/3pn3/8/1P1B2P1/P3KPP1/8 w - -,c8c5
1r4k1/2p3p1/R1n1q3/4p3/B1P1p3/3r3P/1PQ3P1/2B3K1 b - -,b8b6
8/5k2/R7/3P4/4PKP1/p5r1/8/8 b - -,g3d3
r4rk1/pp3ppp/2n1p3/3pPP2/1q3BP1/7Q/PP5P/4RRK1 b - -,e6f5
r2qkbnr/pp1npppp/2p5/3P3b/8/2N2N1P/PPP1BPP1/R1BQK2R b KQkq -,d8c7
q3r1k1/5pp1/7p/2rp1Q2/2n5/4P1BP/5PP1/1R1R2K1 b - -,a8c6
2k4r/4np2/q3pNrP/pp1pPnPB/b1pP1BR1/2P5/R1P5/4QK2 w - -,f4c1
8/2p1N2k/1pp2p1p/3b2p1/p2P2P1/2P1KP2/1P4P1/8 b - -,b6b5
4rrk1/pp4pp/1np5/N6b/1PPPN3/8/P5PP/R3R1K1 b - -,f8f4
2kr3r/ppqn1pb1/2p1p1p1/4P2p/5P1P/7R/PPPBQ1P1/2KR1B2 w - -,d2b4
2r5/p6p/3k1pp1/1p3P2/2pK4/P4BN1/2R3PP/8 b - -,a7a5
2r1R1k1/1p1q3p/p4bp1/Pb1p4/3P1B2/5N1P/1P1Q1P1K/R7 b - -,c8e8
2n4k/5nb1/1p6/2pPp3/2P1Pp2/r1B5/6KP/1RN2B2 w - -,b1b3
4rk2/5p2/4p2r/1pNp2p1/pPnP3p/P1P2P1P/K3R1P1/R7 w - -,a1e1
1r5r/q4pk1/1nB2Np1/1P1P2P1/p7/2Q1R3/P7/6K1 b - -,g7f8
5R1R/1r4k1/1p2p1p1/1P1n1pp1/7P/8/5P2/6K1 w - -,h4g5
r4rk1/p2nq1b1/b3p2p/3n1pp1/Q1NP4/P2B1P2/4NBPP/R4RK1 b - -,a6c4
8/2p2pk1/2Nbp2p/3n2p1/3P4/r4PP1/2RBK2P/8 w - -,e2f2
r2q1rk1/pp1nppbp/1np3p1/3P4/4PP2/1QN1B3/PP2BP1P/R3K2R w KQ -,d5c6
r1b1r1k1/pp1nppbp/1qp3p1/8/2NP4/2PB3P/PP2QPP1/R1B2RK1 b - -,b6d8
5k2/8/p1R3K1/P1Pp3p/3P3P/3r4/8/8 w - -,g6f6
2r2rk1/5p1p/4p1p1/1pp5/3q1P2/1P1P1QP1/R1P4P/R6K b - -,c5c4
5rk1/1p4pp/2pNn3/1b1P4/8/7P/5PP1/R5K1 b - -,e6c7
r2qkb1r/1b1n1ppp/p3pn2/1pp3B1/3P4/1Q3NP1/PP2PPBP/RN3RK1 w kq -,g5f6
8/pp6/2p5/7b/4k3/P1P5/5K2/5B2 b - -,a7a6
6k1/1p3p2/3B3p/PRPn2p1/8/7P/r7/7K w - g6,b5b7
r1bq1rk1/pp1nnpbp/2p1p1p1/3pP3/3P1P2/2NB1N2/PPP3PP/R1BQ1RK1 w - -,c1e3
r2r2k1/p4p1p/npp2bp1/4p3/2P1P3/P3BP1P/1P2BP2/2KR3R b - -,a6c5
1B6/5R2/5ppk/4p2p/3b3P/6P1/n3b1K1/8 b - -,e5e4
r4rk1/p2nppbp/b1pp2p1/q1P5/4PP2/2N1QN2/PPPB1KPP/R6R b - -,d7c5
1B4k1/5p2/p5pb/7p/N2p4/2p3P1/P4P1P/6K1 w - -,a4c5
8/2k2p2/4pPp1/NQ1b4/7P/q1P2P2/2P5/1K6 w - -,c3c4
rnbqk2r/ppp1ppbp/6pn/3pP3/3P1P2/5N2/PPP3PP/RNBQKB1R b KQkq -,e8g8
1r3rk1/p3ppbp/1pqp2p1/2n5/2P1PP2/1PN3P1/PB1Q2KP/R3R3 w - -,c3d5
3r1rk1/1pq1b1pb/2p1pp1p/p1np4/5PN1/PP1PP1PB/1BP1Q2P/R4R1K b - -,h7f5
b2r4/p1r3k1/4p1p1/N1p1bp1p/PpB5/1P1PP1PP/2PNRK2/8 b - -,a8d5
r3r1k1/p2q1pBp/2p3p1/1p1pPb2/3P1Q1P/2P3P1/P4P2/R2BR1K1 b - -,g8g7
r3n1k1/1bp2r2/3p4/pNPP2q1/4Pp1p/P4P2/5QB1/1RR3K1 w - -,g1f1
1r3rk1/4ppbp/3p1np1/p7/b7/1P4P1/P2BPPBP/2R2RK1 w - -,b3a4
2b1r1k1/1ppp1ppp/3r4/p3q3/2P5/PP2PB2/3Q1PPP/R4RK1 w - -,d2c2
5k2/R4b2/1r5p/6p1/1P2Np2/2K2P1P/6P1/8 b - -,b6b8
r1bq1rk1/pp1nppbp/3p1np1/2pP4/2P1PB2/2N2N2/PP2BPPP/R2Q1RK1 b - -,f6h5
8/5k2/5P2/4P3/4K3/7p/3R4/5r2 w - -,e4d5
2r2rk1/1b3pp1/pqn1pb1p/1p6/1P1PB3/P2Q1N2/1B3PPP/R3R1K1 w - -,a1d1
3q1rk1/3bppbp/2p3p1/3p4/2nPPB1N/2PQ2P1/P4PBP/1R4K1 b - e3,e7e6
r1b1k2r/pp1nbppp/2pp1n2/q3p3/3PPP2/2NB1N2/PPP3PP/R1BQ1R1K b kq -,e8g8
r1bqkb1r/pp2pppp/2np1n2/1Bp1P3/8/5N2/PPPP1PPP/RNBQ1RK1 b kq -,f6g4
r4rk1/1p4pp/p1q1p3/4P3/5PQ1/PP6/1B4RP/7K b - -,f8f7
8/8/8/4b3/2K2k2/8/4R3/3r4 w - -,e2f2
2r1r1k1/3q2bp/bn2p1p1/2pp4/4N3/1P4PB/PB2PP1P/1R1Q1RK1 w - -,b2g7
1r1rb3/1pq2pk1/p2p2p1/3Pn2p/2P1P2P/2N1Q1P1/1R6/2R2BK1 b - -,d8c8
2kr4/pb1p3p/2n1Pp2/1pP5/5Bq1/1N1Q2P1/P3P2P/2R3K1 b - -,d7e6
8/8/1P2k3/4n3/p7/R3NpK1/1r6/8 b - -,b2b3
r3k2r/ppqbbpp1/2n1p2p/2B5/6P1/1NP4P/PP1Q1PB1/R3K1R1 b Qkq -,e7g5
8/8/8/8/8/p5R1/r7/1k4K1 b - -,a2a1
2R5/1p3ppk/1r3nbp/rB1p4/3P2PP/4PP2/5B2/2R3K1 w - -,b5f1
r5r1/pp3k1p/2p2p2/2n5/3RPBbP/2P1KN2/P1P5/1R6 b - -,b7b5
2rq1rk1/1p4p1/3p4/pNnPp2p/2P2p2/5P2/PP2Q1PP/2R2RK1 b - -,g7g5
r2q1r2/ppp1npk1/1b1p3p/3Pp1pb/2B1P1P1/2P2N1P/PP1N2P1/R2Q1R1K b - -,h5g6
r2qk2r/1b3pb1/p1n1p1pp/2p1Pn2/1pPp1B1P/1P1P1NP1/P3QPB1/RN2R1K1 w kq -,b1d2
2r5/5k2/R1b5/BpPp1p1r/6p1/1B2P1P1/7P/6K1 b - -,f7e8
r1q2rk1/2p3pp/1p1p1p2/p2Pnb2/2P1PR1P/1P4P1/P3Q1BK/5R2 w - -,f4f5
4r1k1/1r2bppp/8/p1pR4/P1P2B2/qP1Q1N1P/2K2PP1/8 w - -,f4c1
r3r1k1/3p1p1p/6p1/2pP4/P7/1PNnPK2/3N2PP/3R4 b - -,d3e5
rnbqk2r/1pp1bppp/p2p1n2/3Pp3/2B1P3/2N2N1P/PPP2PP1/R1BQK2R w KQkq -,a2a4
1kn4r/1p1r1pb1/p1n1p1p1/3p2Pp/7P/BPP4R/P2PNP2/1K1BR3 w - -,d1c2
rnb1k2r/pp2ppbp/6p1/2P5/6n1/2P1BN2/PP3PPP/RN1K1B1R w kq -,b1d2
6r1/3b4/1p3k1p/p2PP3/P3P3/1P5p/5b1K/4R2B b - -,f6e5
r3k2r/2qbbp2/p3pnp1/2p3B1/3Q1p1P/2N5/PPP3B1/2KRR3 w kq -,c3d5
6k1/7p/6p1/1p3p2/4b3/7P/r2B1RP1/6K1 b - -,g8f7
r1q2rk1/1pp1b1pp/pnn1bp2/4p3/1P6/P1NP1NP1/1B2PPBP/2RQ1RK1 w - -,f1e1
4rbk1/2qn1p1n/1p2r2p/pP1QP1p1/2N5/1NP5/1P2RBPP/4R1K1 b - -,h7f6
r3r1k1/p4ppp/4bn2/2p4q/3Q1B2/2N3P1/PP3P1P/R2R2K1 w - c6,d4e5
8/5k2/8/R5p1/3K3p/7P/6r1/8 w - -,d4e4
r2q1rk1/pb2ppbp/5np1/1B1PR3/3P1N2/8/PP3PPP/R1BQ2K1 b - -,f6d5
r2qr1k1/1bpn1ppp/4p3/2PpQ3/1P6/P5P1/4PPBP/RN3RK1 w - -,e5c3
3b2k1/1q4pp/1nP5/2QpB3/p2Pp1B1/1p2P2P/1P4P1/6K1 b - -,b7f7
r1bqr1k1/5pbp/3p2p1/1p6/N3n3/BP2P1PP/P4PB1/2RQ1RK1 w - -,d1d5
2r1k2r/1pqnbpp1/p2pbn2/4p3/4PP1p/1NN1BB1P/PPPQ2P1/2KR3R w k -,h1e1
1rbnnrk1/pp2q1pp/3p4/2pPpp2/2P5/P1B1P2P/1PQNBPP1/2KR3R w - -,b2b3
1rb4r/4k1b1/pp6/4pp1p/2Pp4/5BP1/PP1NPP2/2RR2K1 w - -,f3d5
1rb1nrnk/1p2qpb1/pN1p2pp/P2Pp3/4P1P1/2N1B2P/1P2BP2/2RQK1R1 b - -,e8f6
6R1/8/8/1p6/k7/8/1K2r3/8 w - -,b2b1
2r1r1k1/Q1P2pp1/5q1p/p7/4p3/8/PPR2P2/K1R5 b - -,f6f5
r1bq1rk1/pp1n1pb1/3p3p/2pP2p1/2P2P2/2NB2n1/PP2N1PP/R2Q1RK1 w - -,e2g3
rnq1kbnr/pp1bppp1/2p5/3pP2p/2PP2PP/5P2/PP6/RNBQKBNR w KQkq -,g4g5
8/r6p/5R2/1kppnp2/8/2P2P2/3BK1PP/8 w - -,f6f5
6k1/1p6/p2N4/2P1B3/r3K1P1/5P2/2n4P/8 w - -,e4f5
1r3bk1/4pp2/4P2p/2B2p2/np1P4/7P/3N1PPK/4R3 w - -,d2b3
4r1k1/1p4pp/2pp4/3n1p2/1q6/3B1PP1/R3NP1P/Q5K1 b - -,b4b3
4rnk1/4pp1p/p2P2p1/Ppq5/8/5Q2/1P4PP/3R1R1K b - -,c5c4
r1b2rk1/1p1n1pbp/p3pnp1/P6q/3P4/1BN2N2/1PQB1PPP/R3R1K1 b - -,b7b6
rn1qk2r/pp2bpp1/2p1pnp1/3p4/2PP4/2N1PB2/PP3PPP/R1BQK2R b KQkq -,d8c7
r5k1/1p1q1pBp/p5n1/n2Nr2Q/P1p1p3/3P4/BPP4P/R4R1K b - -,g8g7
6k1/p4pn1/2B2Bp1/3P2Pp/P3p2n/3rR3/5P2/5K2 b - -,d3e3
8/1kpR4/p2p4/1p6/1P2r3/PK6/2P5/8 b - -,e4c4
R7/5p2/4pk2/6bp/4K3/8/8/8 b - -,h5h4
2r4r/6k1/3p2p1/p2P4/1pPqP1n1/3B1R2/P2Q2P1/2R4K w - -,f3h3
8/1p2ppk1/3p1bp1/2rP3p/PRr1B2P/6P1/2P2P2/1R4K1 b - -,f6c3
8/3q1kp1/4b3/4P3/p5P1/P3QP2/7K/4B3 w - -,h2g3
r1bq1rk1/1p2bp1p/p2pp1p1/4n3/P3P1n1/NN1B4/1PPBQPPP/R4RK1 w - -,a4a5
r1b1k1nr/ppppqppp/2n5/2b5/3NP3/2P5/PP3PPP/RNBQKB1R w KQkq -,d1d3
1r1qk2r/pp1bppbp/2np1np1/2p5/4P3/2NPB1PP/PPP1NPB1/R2QK2R w KQk -,e1g1
r4rk1/5ppp/ppn1qb2/2p5/P7/4PN1P/1PQB1PP1/R4RK1 w - -,a1a3
6k1/pp1r2b1/7p/3r4/4N3/1P2R2P/P4PK1/2R5 w - -,c1c2
1R6/1P4k1/5np1/8/1r5P/4K3/8/8 w - -,e3d3
4n1k1/pb6/2q1ppp1/2pr2N1/5Q2/1P1N1P2/P1P3PP/3R2K1 w - -,g5e4
rn1q1rk1/p1p1bppp/bp2pn2/3p4/2PP4/5NP1/PP1NPPBP/R1BQ1RK1 w - -,b2b3
r1b1k2r/1p1pqppp/p1nQpn2/8/2P5/2N5/PP2PPPP/R1B1KB1R w KQkq -,c1f4
8/5pk1/5p2/2pRn3/BpP5/1P4P1/5PKP/r7 b - -,e5c4
r3kbnr/pp1q1p1p/3pb3/2pNp2p/2PnP3/3PB1P1/PP3PB1/R2QK1NR b KQkq -,f8e7
1r4k1/3n1pp1/1Q3n1p/1p1P4/2p2P2/7P/6P1/R3BRK1 b - -,b8b6
8/8/6pk/8/8/R4r1p/7P/2R3K1 b - -,f3a3
