8/5p2/5k2/4pn2/p4K2/P4P2/1P3B1P/8 w - -,f4e4
rn1qkb1r/ppp1pppp/8/3n1b2/3P4/8/PPP1BPPP/RNBQK1NR w KQkq -,g1f3
3r1b2/5P1k/p6p/1pP1p3/b3P2q/NnP2R2/4Q1B1/5NK1 b - -,f8c5
4r3/1p3k2/pNp1bn1p/2Pp4/5KP1/5B1P/PP6/4R3 b - -,f6h7
5rk1/p1pqn3/2np1r1p/2B1pbp1/4B3/1PPQ2P1/P4PNP/3RR1K1 w - -,e4f5
r2qkb1r/pp1n1p2/2p1p1bp/3pP3/3P1np1/2P3N1/PP1NBPPP/R1BQR1K1 w kq -,d2f1
5k2/N2n3p/bp1b4/4pp2/8/1P2BPPP/P1P2K2/8 b - -,f8f7
5R2/p1k1P3/1p4bp/8/2pP1rP1/P1q2BQ1/5K2/8 b - -,c3d2
3r1rk1/4nppp/6q1/2P1p3/4B3/2Pb1PP1/PP1NQK1R/R1B5 b - -,d3e4
2r3k1/7p/5p1B/pR1P2P1/2p1qbP1/P1P5/3Q2P1/6K1 w - -,d2d1
r1bqr1k1/1pp2pbp/p1n2np1/3pp3/3PP3/N1PBBP1P/PP2N1P1/R2Q1RK1 w - -,d1c2
r2qkb1r/pp2pp1p/2np1Pp1/1b6/3Q1P2/2N5/PPP3PP/R1B1K1NR w KQkq -,d4e4
2bq1rk1/1p4pp/r2P1pn1/p7/1b1QN3/1P4P1/PB4BP/2R2RK1 b - -,a6d6
r1b1r1k1/pp3ppp/2P2n2/2q5/8/P3BPP1/1P2B2P/3RK2R w K -,e3c5
5r2/1p5k/p1bq2p1/P7/1P2p1B1/2Q3pP/6P1/3rR2K w - -,g4d1
r1bqkbnr/1p4pp/p1np4/4pp2/4P3/N1N5/PPP2PPP/R1BQKB1R w KQkq f6,f1d3:f1c4
8/2p2pp1/1p2k3/2p1Pn2/b1P2P1p/7P/P2N1KP1/2B5 w - -,d2f1
8/8/8/k2N3n/p2K4/P2B4/8/8 w - -,d3e2
rnb1kb1r/pp3p1p/4pp2/q1p5/2PP4/2P2N2/P4PPP/R1BQKB1R w KQkq -,c1d2
1rbqr1k1/2bn1ppp/3p1n2/1ppP4/5P2/2N3PP/1P1NP1B1/R1BQ1RK1 w - -,e2e4
1r4k1/p1qbn2p/3p4/2pNn3/4Pb1N/2P4P/P2Q2B1/3R2K1 w - -,d5f6
2br2n1/p5kp/2p2pp1/8/5Q2/2N2N1P/Pq3PP1/4R1K1 b - -,b2c3
8/1b2k3/p5p1/P1p1B2p/1p1p2PP/1P1P4/2P3P1/5K2 w - -,g4h5
rn1q1rk1/1bp2ppp/p2b4/1p1P2N1/P1p2B2/2P3P1/2Q2PBP/R2R2K1 b - -,g7g6
8/8/5pp1/1p1kp1p1/p2r2P1/1P2RP1P/P1K5/8 w - -,e3c3
r7/pb2kpbp/2p2np1/Pp2p3/1P2P3/2N1BP2/1KPRN1PP/8 b - -,a8d8
3rr1k1/5qb1/1p4pp/1Np5/pP2p2P/PbB1P1P1/2QR1PB1/6K1 w - -,c2b2
6k1/2b2p2/2p1qnp1/1p2p2p/1P2P2P/2PQ2P1/3R1PK1/3B4 w - -,d3b1:f2f3
2rqkb1r/1p2ppp1/p1bp1n1p/8/4P3/2N1BP2/PPPQ2PP/2KR1B1R w k -,f1c4
r4rk1/4q1p1/bp2pp1p/p2pP3/3N1P1P/2P1Q1P1/PP6/R3K2R b KQ -,b6b5
1r4k1/p5pp/4pb2/4p3/1B2P3/P7/5PPP/4N1K1 b - -,g8f7
1q5k/4QRpn/p1p1P2p/1p1p4/3P2P1/7P/1P5K/8 w - -,e7c7
8/5pk1/4p1p1/1Q2p2p/3qP2P/P4P2/2b2rPK/2R2B2 w - -,c1e1
4kb1r/5ppp/2rppn2/1N6/4b3/1RP2N2/P4PPP/2B1R1K1 b k -,e4f3
rnbqkb1r/1p3ppp/p2p1n2/2pP4/4P3/2N5/PP3PPP/R1BQKBNR w KQkq -,f2f4:a2a4
8/5kp1/p7/1p6/3P4/P1P2pP1/6K1/8 w - -,g2f3
4r1k1/pp3p1p/5bp1/2pr4/5B2/3PP1P1/PP3PKP/1R3R2 w - -,f1d1
r2r2k1/pp2bppp/2b5/4p3/6P1/3PBP2/PP1NK2P/R6R w - -,d2c4
1N6/5pp1/3kp3/8/2p4P/8/2K2P2/1R6 w - -,c2c3
3qb1k1/pp2bp1p/2n1p1p1/8/2Q1B3/1NN5/PPP2PPP/6K1 w - -,e4c6
r5k1/3n1rp1/1ppP1p1p/1PP2P2/4RBP1/6P1/8/4R1K1 b - -,a8c8
rn2k2r/pb2q2p/1ppbpnp1/3pNp2/3P1BP1/2NBP2P/PPP2P2/R2QK2R w KQkq -,d1e2
r3r1k1/1p1b1pp1/3p4/P1pP4/2P2Pn1/2B1P1P1/6B1/1R2R1K1 b - -,g4e3
r3k2r/pbq1bppp/1p2p3/1Pp1P3/2PnNB2/6P1/P4PBP/R2Q1RK1 w kq -,h2h4
2k5/8/3K4/2N4B/8/8/8/8 b - -,c8d8
1r3rk1/p1q2pp1/2pb1n1p/3b4/3P4/3BQ1BP/PP2RPP1/3N1RK1 b - -,f8e8
5k2/6p1/2p5/2Pp1PQ1/p2P2P1/P7/8/1K4q1 w - -,b1c2
r3k2r/ppp4p/4bp2/2bn1p2/8/2N1nP2/PP1B2PP/R1K2BNR w kq -,c3d5
b4r1k/p2q2pp/P2Pp3/2P3b1/5p2/2R1P1P1/7P/1R1Q1BK1 b - -,d7c6
r2qr1k1/ppp2pb1/2npbnpp/8/4PB2/2NB1N1P/PPP2PP1/R2Q1RK1 b - -,d6d5
r4r2/1p1b2k1/pq2p1p1/3B1pNn/3p3Q/3P4/PPP3PP/4RRK1 b - -,a8e8
r4rk1/5pbp/1p2pnp1/3pB3/8/P1N1P3/1P3PPP/2RR2K1 w - -,f2f3
1r6/2p1k3/2bpp2p/6pB/p2RPb2/5P2/P1P1K1P1/3N4 b - -,e6e5
6k1/3nBp2/1p4p1/p2p4/3P2P1/P3PPK1/2r1N3/3R4 b - -,c2e2
1r3rk1/1p3pbp/6p1/pP6/1N6/6P1/3B1P1P/1R1R2K1 b - -,a5b4
5b2/3q2kp/1p4p1/1Pn5/2QpNpP1/3P1B1P/5PK1/8 w - -,e4d2
1r6/1rpb2k1/3p1qp1/2nP1p1p/p3BP1P/4N3/PP2R1Q1/1K1N2R1 b - -,c5e4
r1r2k2/pp2pp1p/2bn2p1/1B6/8/2N5/PPPR1PPP/4R1K1 w - -,b5c6
r2q1rk1/1p3ppp/p1n1p1n1/2b1P3/2Pp4/3Q1N2/PPNB1PPP/R3R1K1 b - -,a6a5
4r1k1/pp1r1n2/5qpb/P1p1p2p/2NpP3/1P1P3P/Q4PPB/R4RK1 b - -,e8e6
1nr3k1/r4ppp/2pbpn2/pq6/1p2P3/1P4P1/PBQ2PBP/2RR2K1 w - -,d1d6
3r1qrk/pp5p/8/2Pp4/3NpPbQ/1P2R1P1/P7/3R1BK1 w - -,d1d2
8/1p6/p4k2/P2b1P2/8/1P5p/2P1KR1N/r7 w - -,e2e3
r4rk1/pp1q1ppp/2p2n2/4R3/3Pp3/1B2P3/PPQNbPPP/5RK1 w - -,d2e4
8/2N2k2/5n2/p1RB1n2/3P4/4P3/1r3PK1/8 b - -,f7g6
1r2r2k/1p6/2nqBp2/p1b2Ppp/2Pp2bQ/PP1P3P/1BN5/1R2R1K1 w - g6,f5g6
2r3k1/5p1p/1nBb2p1/5p2/pP6/P2NP1P1/5P1P/2R3K1 b - -,g8f8
5rk1/1R3p2/5P2/4PKN1/8/8/8/b7 w - -,g5e4
r1b1kbnr/pp2pppp/2n5/2pq4/8/2P2N2/PP1PBPPP/RNBQK2R b KQkq -,g8f6
rn2kb1r/pp2ppp1/2p3p1/q7/P1pPP3/2n2P2/1P1Q1BPP/R3KB1R b KQkq -,b7b5
r7/1b1nkp1r/p3p1p1/1p1pP1Pp/1P1p3P/2PBP3/P2N1R2/2K2R2 w - -,e3d4
8/k6p/1p3pb1/pqpQp3/5p2/1PP3P1/6PP/4R1K1 w - -,g3f4
r2qr1k1/1p1bbpp1/5n1p/p2p4/1n1N4/1QN1B1P1/PP2PPBP/3R1RK1 w - a6,g2d5
8/4Npbk/3p2pp/3P4/4PP2/r5PP/R5K1/1n6 w - -,a2e2
8/4k3/1p5R/2n3P1/4p3/1r6/4K3/7B b - -,b3b2:c5e6
rnb2rk1/p2p1ppp/1q2pn2/8/3N4/P1Q3P1/1P2PP1P/R1B1KB1R w KQ -,f2f3
r4rk1/1bqnbppp/pp1ppn2/6B1/2PN4/P1N1P3/1PQ1BPPP/2RR2K1 b - -,f8e8
3r1r1k/1p3qbp/2n2np1/p2p4/N1p5/PQ2P2P/1P2BPP1/1R1RB1K1 w - -,b3b5
2rrb1k1/1p2nppp/p3p3/4N3/n2P2P1/P1N5/BP3P1P/2RR2K1 w - -,c3a4
5b2/5k1p/6p1/3p4/6P1/8/2b2P2/2R3K1 w - -,c1c2
rn3rk1/pbp1q1pp/1p1bp3/1N3p2/2P1n3/P4NP1/1PQBPPBP/R4RK1 b - -,e4d2
1r3r2/p2bppkp/1q1p2p1/1n2nP2/1p2P1P1/2pPN1NP/PPPQ2B1/R4R1K w - -,b2c3
2r2rk1/1p1nq1p1/p1p1pp1p/P2pP3/2PPbP2/1NQ4P/1P4P1/2R1RBK1 w - -,b3d2
r1br2k1/ppn1bqp1/2pp1n1p/5p1P/2PPpN2/BPN1P3/P3BPP1/R2QK2R b KQ -,c7e6
4N3/8/8/p2Rpkpp/r4p2/5P1P/4K1P1/8 b - -,a4a2
r4rk1/pp2bppp/1qp2n2/2np4/6b1/P1NPBNP1/1PQ1PPBP/R4RK1 b - -,b6d8
r2b1rk1/1b3ppp/pp3n2/3pqNB1/Pn3Q2/1BN4P/1PP2PP1/3R1RK1 b - -,d8c7
r1b1r1k1/pp1n1ppn/5P1p/4P3/2pP1B2/2Q3NP/q5B1/4RRK1 w - -,g3f5
r2qr1k1/pp1nppbp/2p2np1/3p4/1PPP2b1/1Q1BPN2/PB1N1PPP/R4RK1 b - -,g4f3
8/8/2p5/p1nk2p1/P4pP1/2P2K2/1N3P2/8 b - -,c5e4
6k1/rq1n1r2/1p2p1pp/5p2/N1P2P2/1pBP2P1/2n1Q2P/R4RK1 b - -,b7c6
2r2bk1/6p1/2r1pp2/p1pq4/P1Q5/3P1PPp/n1RNPB1P/3R2K1 b - -,a2b4
r7/4k3/5pp1/7p/p4R1P/P3P1P1/4KP2/8 w - -,f4b4
r4rk1/1p2q1pp/1b2bn2/pPppNpn1/P2p1P2/R2B1R2/2P3PP/2BQ3K w - -,f4g5
r5k1/1p1n1rp1/2pP1p1p/2P2P2/1P2RBP1/6P1/8/4R1K1 b - -,b7b6
3r2k1/4Rp1p/3p1Pp1/1p6/1P6/P6P/5PP1/6K1 b - -,d6d5
r2r2k1/1pq1bppp/4pn2/p1p5/2P5/PPBP2P1/1Q3PBP/3R1RK1 w - -,f1e1
6k1/3n2p1/1p1q4/p1np3p/P4N1P/1PQ1BPP1/6K1/8 b - -,g7g6
2r3k1/pp1R1pbp/2p1r3/2P1q3/5R1P/4P1Q1/5PP1/6K1 b - -,e6e7
r1bqkbnr/pppnppp1/3p3p/8/3P3B/2N5/PPP1PPPP/R2QKBNR b KQkq -,g8f6
5r1k/5q1p/1pNp2pb/3Pp3/8/4P2P/PP1Q2P1/4R1K1 w - -,c6b4
6k1/6P1/p2p1b1P/2p2N2/1pP2K2/1P1p4/P5R1/7r w - -,f4e3
2kR2r1/pnq2p2/1p2p2p/4P1pQ/1BP5/1P4PP/P4P2/3R2K1 b - -,g8d8
r4nk1/pp4p1/2p2p2/6PQ/3P3R/2P1q3/PP4P1/3K4 b - -,e3g1
r5r1/1p2kp1p/2pRb3/p1n1P3/2P1P3/PPN5/2KRB2P/8 b - -,g8g1
2b1r3/1p3kpp/nBn1pp2/2N5/2B1P3/6P1/1P3P1P/3R2K1 w - -,c5a6
8/8/8/3k2p1/3pb3/6P1/3K4/5B2 w - -,f1h3
brrq2k1/3nbp1p/pp1p1np1/2pPp3/BPP1P3/P2NBPN1/2RQ2PP/2R3K1 w - -,c1b1
6k1/3r1pp1/4b3/1p1p3p/8/B1P5/rP3PPP/3RR1K1 w - h6,d1d4
r1bqrnk1/pp3pp1/2pb1n1p/8/3Pp2B/2NB1N2/PPQ2PPP/R4RK1 w - -,c3e4
1rq2bk1/1r3pp1/p2p1n1p/R3p3/QPb1P3/5B1P/2PB1PP1/1R1N2K1 b - -,d6d5
7k/p7/2pq3p/3pb3/5rQ1/7P/PPP2PP1/3NR2K w - -,g4h5
1k6/1pb2p2/p3pp1p/7P/2P4R/P1RrP1P1/KP6/8 b - -,d3d2
r2q1rk1/1p4bp/p1n2np1/2pp4/8/1PNBP3/P4PPP/1RBQ1RK1 b - -,g8h8
rnb2rk1/1pqpbppp/p3pn2/8/2PNP3/2NB4/PP1B1PPP/R2Q1RK1 w - -,a1c1
8/4kb2/ppr2p2/8/8/2P3QP/P4PP1/6K1 w - -,a2a3
1rbq1rk1/2p1ppbp/p1np1np1/2PP4/1p3B2/2N2NP1/PP2PPBP/R2Q1RK1 w - -,c3a4
6r1/pp1r1k2/2p5/3nb1p1/5pK1/P5P1/1P2R2P/5RB1 w - -,e2e5
r2qkbnr/3b1pp1/p2p3p/1p2p3/2P1P3/1P1Q1N2/P4PPP/RNB2RK1 b kq -,g8f6
8/1r4k1/8/p1p1R1p1/P1P2p2/1P1bp3/6P1/4R1K1 b - -,g7f6
8/p1p4p/b1ppk1p1/2P5/3K4/1PN5/P5PP/8 w - -,b3b4
qr5k/5ppp/2bpn3/Qp2pN2/1P2P3/3B4/2P2PPP/5RK1 b - -,a8a5
5rk1/3nq1bp/6p1/1N2n3/2pN4/7P/1PQ3P1/2B2R1K w - -,f1d1
5rk1/4Rpp1/1p1r4/p6p/3p1Pn1/P2B4/1PP3PP/4R1K1 w - -,g2g3
3R1b2/5pkp/p7/4p3/2q2p2/2P2P2/Pr4PP/K2R2B1 w - -,a1b2
r1bq1rk1/pp2bppp/4p3/P7/1PBN4/8/5PPP/R2Q1RK1 b - -,e7f6
5r2/1bq2pbk/1pp1p1pp/4N3/r2P4/1B2Q3/PP3PPP/3RR1K1 b - -,a4a5
r2r2k1/1p3pp1/1qn1b2p/3p4/p3n3/1P2P1P1/PB1N1PBP/1R1Q1RK1 b - -,a4b3
1q1rr1k1/1p1n1pp1/p1n1p1p1/2Bp4/1N1P4/1PR1PP2/P2Q2PP/5RK1 b - -,d8c8
6n1/6P1/8/7P/3p4/2k5/8/3K4 w - -,d1c1
6k1/1pp3bp/3p2p1/p2P4/2Pq1P2/PP1pr1PP/6QK/2NR4 w - -,d1d2
2krbb1r/pp1q2pp/4p3/1Pp1P1B1/2PpN1Pn/8/P3BP1P/R2Q1RK1 b - -,f8e7
r1br2k1/p1q5/5Pp1/1pb1p1N1/2p1P3/2Pn2P1/PP2Q1B1/R1B2R1K b - -,d3f2
r4rk1/2qn1pbp/p4np1/P3pP2/1R2N3/1N2B3/1PP3PP/3Q1RK1 b - -,f6e4
r1b2r1k/1p2q1b1/2p2pp1/p3p2p/2P1P2B/PP3P1P/4Q1PN/1R1R2K1 b - -,e7a3
8/8/1r6/8/4BK1p/6p1/2R3Pk/8 b - -,b6b4
2r1r1k1/pb4p1/1p2N2p/3pnp2/2P5/P3PP2/1P1RB1PP/2K4R w - -,e6d4
3r4/p1r3bk/6Rp/1p5P/n5N1/3p4/1P1B1P2/1K4R1 w - -,d2h6
8/8/8/3p2kP/p3b1P1/P3N1K1/8/8 b - -,d5d4
2b1r1k1/r5pp/1p1q4/2pPN3/ppP1QP2/5R1P/PP6/2R3K1 w - -,c1e1
8/8/8/4K3/6p1/5rk1/8/6Q1 b - -,g3h3
rnbqk2r/pp2bppp/2pp1n2/4p3/2B1PP2/2NP1N2/PPP3PP/R1BQK2R b KQkq -,e5f4
2kr2r1/1pq2p2/p3p3/3pP3/bBn2PPn/P2Q3P/2P1NK2/R4B1R w - -,e2d4
1r6/8/8/1Pk5/6p1/2KB4/4N3/8 w - -,c3d2
5k2/3R2p1/7p/5P2/5KPP/8/8/r7 w - -,g4g5
3qn1k1/1brnrppp/p1p5/P2p4/3P4/4PNPB/1QRN1P1P/2R3K1 b - -,e8d6
r5k1/5p1p/2R3p1/8/2P1PP2/6PP/1r4B1/5K2 b - -,a8a1
r1bqr1k1/pp3pbp/n4np1/3P4/5BP1/2N2P2/PPN1B1KP/R2Q1R2 b - -,b7b6
5rk1/pp3b1p/2pb1rp1/q4pP1/3PpP2/1PN1P3/P1Q1B2P/2R2R1K b - -,f6e6
6Q1/5R2/4pq1k/5bp1/4p2p/1Pb1B2P/1P3PP1/1K6 b - -,f6g6
4r1k1/4r3/p2Q3p/1p2p3/8/4q1PB/PPP4P/2K2R2 w - -,c1b1
5k2/2Q5/3r1p2/P1n1pP2/2p1P3/1qP5/R6P/K1R5 b - -,c5e4
r7/2p2rkp/1p1ppqp1/p1n5/P1P2N2/6P1/1PQ1PP1P/3R1RK1 w - -,f4d3
7R/8/p1pPk3/1pP2bB1/1P6/3r1p2/5K2/8 b - -,f5g6
4n1k1/1prnp2p/3pp1p1/1P4P1/1P1QPP2/2N2K1P/8/8 w - -,f3g4
3r4/1ppr1kpp/4np2/p2b4/P1NP4/1P2RN2/5PPP/4RK2 b - -,b7b6
4r1k1/1b1r2qp/pp4p1/3P1p2/n3PP2/1N4PP/P4QBK/2R2R2 w - -,e4f5
3k4/p2q4/1p1n3p/8/2QP1N2/P1P5/3K1PP1/8 w - -,c4d5
2rqkb1r/1p1n1ppp/p1p1p1b1/P2pPn2/2PP4/1N3N2/1P2BPPP/R1BQ1RK1 b k c3,f8e7
r4rk1/pp1b2pp/1qn1pn2/3pP3/5P2/P2B4/1P2N1PP/R1BQ1R1K b - -,f6g4
K1Q5/P7/1Q6/8/8/k7/6q1/8 w - -,b6b7
8/5k2/4p2p/3pPp2/2bP1K1P/2P5/2B5/8 b - -,f7e7
r3kb1r/1bqn1ppp/p2ppn2/8/1p2PP2/1N1B4/PPPBQ1PP/R2N1RK1 b kq -,d6d5
r2qk2r/1p2bppp/2p1pn2/3pP3/p1P3b1/1P4P1/PB1NPPBP/R2Q1RK1 b kq -,f6d7
8/1Ppn2p1/P3pk1p/4p3/3rP3/2p3PP/5P2/R5K1 w - -,a6a7
r2q1rk1/p3npbp/bpn1p1p1/2pp4/4PP2/N1PP1NP1/PP3BBP/R2Q1RK1 w - -,e4e5
6k1/r6p/P6K/R7/8/8/P5P1/8 w - -,g2g4
8/8/8/5p2/p7/1P3k2/3K3P/8 w - -,b3a4
5rk1/p1q2pN1/1p4pn/6N1/2p1b2Q/2P4P/PP6/5RK1 b - -,c7c5
r1bb1rk1/1q3ppp/p2p4/Qp1Nn3/4P1PP/8/PPP1BB2/1K1R3R w - -,a5c3
r3k2r/3qbp2/4p3/nb1pPp1p/p1pP1P2/2P1BN2/RPN2QPP/R5K1 w kq -,c2a3
r2q1rk1/1p2ppbp/p1bp1np1/8/4P3/2N1BP1P/PPPQB1P1/R4RK1 b - -,d8c7
r3k2r/pbpnqpp1/1p1ppn1p/8/2PP3B/2P1PN2/P3BPPP/R2Q1RK1 w kq -,a2a4
r5k1/2p3pp/p2p1r2/3P1P2/4P3/1QP5/1P2q2P/1B2BRK1 b - -,f6h6
3r1r1k/6qp/p5p1/2pP1nR1/2B2P2/8/PP6/2K3QR b - -,d8b8
8/p6k/Pp6/2rBpNp1/4P1Pp/R7/2r2PKP/8 w - -,a3f3
8/5k2/R5p1/5p2/5P2/5K1r/8/8 w - -,f3f2
4k3/4P1pp/1p2Rb2/2p5/p2rKB2/P5PP/8/8 w - -,e4e3
r2qk1r1/pppb1pbp/1n1p2p1/3Nn3/4P1PP/2B1QP2/PPP5/2KR1BNR w q -,g1h3
4k1r1/pb1p1pBp/np2p3/3P1q1N/1b5Q/1P6/P4PPP/R4RK1 b - -,b4e7
1r6/p4pp1/2pk3p/2Nb4/1P1P4/P2K4/4R1PP/8 b - b3,f7f5
r6r/1p2kppp/p4n2/3qp1B1/3n2Q1/8/PPP2PPP/2R1KB1R b K -,a8d8
5rk1/p1p2pbp/1pnr1np1/4pP2/q3P1P1/1NP4P/PP2Q1BK/R1B2R2 b - -,f8d8
r2qk2r/ppp2pbp/3p1np1/3P4/2PpP3/1N3B2/PP3PPP/R2QK2R b KQkq -,e8g8
rnbqk2r/pp1nppbp/6p1/4P3/3N4/2N5/PPP3PP/R1BQKB1R w KQkq -,e5e6
r2qk2r/p2b1p2/2p1p1p1/2ppPnP1/N1P4p/BP1P4/P5PP/R3QRK1 b kq -,d8g5
rn2k2r/pbppqppp/1p2pn2/8/1bPP4/3BPN2/PP1B1PPP/RN1QK2R w KQkq -,d1b3
5r2/ppr1ppkp/5np1/2P1Nb2/3R4/1B2P3/P3KPPP/2R5 w - -,g2g4
rn2k2r/p1q1ppb1/5npp/1P1P4/1p2P2B/2P5/3N1PPP/R2QKB1R b KQkq -,b4c3
8/1r1b1qk1/4p2p/3pP3/5N2/4Q1P1/5P1P/2R3K1 w - -,g3g4
3brr1k/1b3ppp/p4nq1/1p6/4N3/2Pp2QP/PPBB1PP1/R3R1K1 w - -,g3g6
5k2/p3rppp/b2r4/R7/Pn1N4/1NR2P2/6PP/3K4 w - -,h2h4
1R6/3p1q1p/6pk/5p2/8/P1Q1P1P1/r4P1P/5bK1 w - -,g1f1
r3k2r/pp3pQ1/2p4p/1B1Pp3/5q1B/8/P1P1K1PP/RN6 w kq -,g7h8
r1bq1rk1/pp1nbppp/3pp3/8/2PnP3/2N1B3/PP1QBPPP/R4RK1 w - -,e3d4
1r4k1/1p2ppb1/p1Np1np1/q7/N1r2PP1/6KP/4P1B1/1R1Q1R2 b - -,b7c6
r2q1rk1/p3npbp/bpn1p1p1/2pP4/3P1P2/2N1BNP1/PPP3BP/R2QR1K1 b - -,e6d5
6r1/3b1k2/p1pp2P1/P1p1b3/2P1B3/1P1K4/3B4/7R b - -,f7e8
r3r1k1/1bqn1pb1/p2p2p1/1pnPp1Np/P1p1P3/R1P1B1NP/1PB2PP1/R2Q2K1 b - -,h5h4
qr3rk1/4ppb1/1nb3p1/2p5/4PN2/1Q3NPP/1P1R1PB1/4R1K1 w - -,f4g6
8/4R3/p2k1r1p/1p4p1/5pP1/4P2P/PP2K3/8 w - -,e7e8
r2q2k1/pp3pbp/n5p1/2pP4/4Q1P1/P4N1P/3B1P2/4R1K1 b - -,a8c8
8/5k2/R3p1p1/7p/1P3P2/P2r2PP/8/6K1 b - -,d3g3
r1bqr1k1/pp3pb1/n1pp1np1/7p/2P1PBP1/2N2P2/PPN1B2P/R2Q1R1K w - h6,g4h5
4r1k1/R1r1q2p/6p1/3Qp3/3p4/1P2bP2/2P3PP/R6K b - -,e7f7
4rrk1/pppq2b1/2np3p/4p1p1/1PP1N3/3PBbP1/P2Q1PBP/1R3RK1 b - b3,c6e7
8/5k2/8/5N2/7P/1r4P1/7K/8 b - -,f7f6
2rq1rk1/2p1n1pp/bp3b2/p2p1p2/3PnN2/PP2PNP1/1BQ2PBP/R2R2K1 b - -,d8d6
2r5/p3kp1p/1p2p3/P2n1pr1/2q5/2PR1QN1/7P/R6K b - -,b6b5
r1bq3r/5kpp/p3np2/1p6/3b1P2/1B1PpQ2/P1P1N1PP/R4R1K b - -,d4a1
3r4/1p5p/p1b3p1/3Br1k1/7P/1P1R4/P4PP1/3R2K1 b - h3,g5f6
rnbqkb1r/pppppppp/5n2/8/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq -,b7b6:d7d6:d7d5:g7g6:e7e6:c7c5
1n2r1k1/1r3p2/p5bp/1P1Pp3/2QbNP1q/7P/1P1B2B1/R3R2K b - -,a6b5
3r1q1k/5p2/p1Qp2pp/2pP4/2bbNPP1/5R1P/7K/4R3 w - -,g4g5
3r1rk1/ppnq2bp/2pp4/5p1n/2PPN3/1P4P1/PB1Q1PB1/R3R1K1 w - -,e4g5
r5k1/p4pp1/4pq1p/3b4/1r1Nn3/3BP3/PQ3PPP/2R1K2R w K -,b2b4
r5k1/6bp/p1r1ppp1/1q6/3P1Q2/2P2PBR/P5PP/4R1K1 w - -,f4h4
r6r/1p3k2/2p1qp2/p2p4/P2PpPpp/1P2P3/2PQ2PP/3R1RK1 b - -,g4g3
r2qr1k1/pp3pbp/2ppb1p1/5p2/1PP5/2NPP1P1/P4PBP/2RQ1RK1 w - -,d1b3
2b5/p3kp1p/6p1/2pB4/1pP1PK2/2r2P2/P2R2PP/8 w - -,f4g5
r7/1p1nnk1p/P3p2r/2Pp1p1q/PN1P1Pp1/6P1/1B2Q2P/R4RK1 b - -,b7a6
r3k2r/1bq1bp1p/p1p1p1pB/3pP3/8/2N4Q/PPP2PPP/R3R1K1 w kq -,b2b4
r1bq1rk1/pp2ppbp/n2p2p1/2pP3n/2P1P3/2NB1N1P/PP3PP1/R1BQK2R w KQ -,e1g1
8/3r4/8/2R5/1p2K3/8/1k6/8 w - -,c5b5
2r1rk2/1p3pp1/p1n1p3/q2pP1bQ/P2P4/1B4P1/1P3PK1/R6R w - -,h5g5
r2qk2r/pppbb1pp/3pNn2/4n3/2B5/2N5/PPP2PPP/R1BQR1K1 b kq -,d7e6
r1b1r1k1/1p2qpbp/p2p1np1/2pPn3/P3P3/2N2N1P/1P2BPPB/R2QR1K1 w - -,h2e5
