5R2/5P2/2pkPK2/1p6/8/8/8/5r2 w - -,f6g7:f6g6
r3k2r/1p2q3/p1p2pp1/2Pp1b1p/3Pn3/P2BPN2/2Q2PPP/R4RK1 w kq -,f3d2
2rr2k1/pb1n1ppp/1p2pq2/3P4/4P1Q1/1B3N2/P4PPP/3RR1K1 b - -,e6d5
2r2k2/5p1p/1nBb2p1/5p2/pP6/P2NP1P1/5PKP/2R5 b - -,f8e7
1k3r2/2N1n1p1/1p2p3/4P3/qP2QP2/4B3/2R5/2K5 w - -,e4d4
r1bq1rk1/1p3ppp/2n1pn2/p1b5/2Np1B2/P2Q1NP1/1P2PPBP/R2R2K1 b - -,f6d5
1r3nrk/2q2b1p/p3pPp1/1p1pP1P1/2pN1Q1P/P1P1R3/1P2B1K1/7R w - -,d4f3
1r1q1rk1/1bbn1ppp/pp2pn2/2p5/P1N5/Q2P1NP1/1P1BPPBP/R4RK1 b - -,b7a8
r4rk1/ppq1n1bp/1npp2p1/4pp2/3PPPP1/2N1BB1P/PPP1Q3/3R1RK1 w - f6,f3g2
r1b2rk1/pp4pp/2pb3q/3p1p2/3P1n2/1P1B1P2/P2B2QP/RN3R1K b - -,c8d7
1kqrr3/pbp2pb1/1p2p2p/3n2p1/3PN1P1/2PBNP2/PPQ3P1/1K1R3R w - -,e3d5
8/1p2b2p/p1k1p1pP/P2pPpP1/1P2nP2/1K2P3/4B3/4B3 b - -,e4g5
2r1k3/7R/p7/1pPK4/1P1B2pp/8/P6P/5r2 b - -,g4g3
r1b1kb1r/pp3ppp/4pn2/2P1n3/4N3/2P5/PPB2PPP/R1BqK1NR w KQkq -,e1d1
8/8/5p1p/pB3K1P/PkP5/2n5/8/8 w - -,f5g6
r3n3/4rpk1/2Rp2p1/p2Pp1Pp/1q2P2P/5Q2/5PB1/2R3K1 b - -,a5a4
2r1r1k1/p4p1p/1p2q1p1/8/2p2Pn1/P1R2BN1/3Q2PP/5RK1 w - -,f4f5
r2qrbk1/1b1n1p1p/p2p2p1/1pp1p3/2P1Pn2/P2PNN2/1PBB1PPP/R2QR1K1 w - -,b2b4
r2q1rk1/pp3pp1/3n1n1p/3p4/8/1QP3PB/P3PP1P/R1BR2K1 b - -,f8e8
3r4/p6p/1r1pbkp1/2p2p2/B1P5/1P3P2/P5PP/3RR1K1 b - -,b6a6
8/R6p/1p4pk/4Kn2/8/P7/6rP/1N6 w - -,b1c3
r1bqk2r/pppnnpbp/3p2p1/4p3/2PPP3/5NP1/PP3PBP/RNBQ1RK1 b kq c3,e8g8
r2q1rk1/ppp1bppp/2n1bn2/3pp1B1/8/2NP1NP1/PPP1PPBP/R2Q1RK1 w - -,e2e4
3r4/5p2/2kb1p1p/p1p2P2/1pp2P2/6P1/PPPN1K1P/3Rr3 w - -,f2e1
r4r2/1p6/2pkp3/P1R2p1p/1P1PP3/8/6PP/2R2K2 w - -,e4f5
r1b3k1/pp1nq1pp/2p2r2/3p1p2/3PB3/2N1P3/PP1N1PPP/2RQ1RK1 b - -,f5e4
1q3rk1/2r1ppbp/1Nnpbnp1/1p6/4P3/1P2B1PP/2PQNPB1/2R2RK1 b - -,c6e5
r2q1rk1/1bpnbppp/p3pn2/6B1/Pp1P4/2N1PN2/1P2BPPP/2RQ1RK1 w - -,c3b1
5rk1/p2qn2p/1p2r3/3N1pp1/2nP4/4P3/2R2PPP/2RQB1K1 b - -,e7d5
2b2k2/p3q1pp/1p1p1p2/1B2n3/1Q2P3/P5B1/1P3PPP/6K1 w - -,b4c3
4r1k1/pr4bp/2pn2p1/2npp3/8/5PBP/PPPN2P1/1NKRR3 w - -,e1e2
r3r1k1/ppp2ppp/2nqb3/3p3n/3P4/2PB1N1P/PP2NPP1/R2Q1RK1 b - -,h5f4
r1bqkbnr/3p1ppp/p3p3/npp5/4P3/2N2N2/PPPPBPPP/R1BQ1RK1 w kq b6,b2b3
1nb3k1/p3R2p/1p1P2p1/1P3r2/8/P6P/3R1PP1/6K1 w - -,a3a4
6r1/5k2/p1b1p1p1/4B2p/2P2P2/1P2K3/P6R/8 b - -,a6a5:g8d8
8/R5pk/7p/3r4/P7/5N1n/8/5K2 b - a3,h3f4
1nk3r1/1p1qRp1p/p1p5/1P4P1/P1Q4B/8/6PP/5RK1 b - -,d7e7
6k1/2r5/3q1Ppp/3p4/1P1Q4/7P/5RP1/7K w - -,d4e3
6k1/1p1q1pb1/2r2n1r/2RpBPpp/3P4/1PN1Q2P/6P1/5RK1 b - -,b7b6
2rq1rk1/pb3ppp/1pn1pb2/2pn4/8/PP1PPN2/1BQNBPPP/R4RK1 w - -,a1c1
r1bqr3/p4pkp/2p2bp1/2ppPP2/8/2NP4/PPP3NP/R3QR1K w - -,e5f6
8/pp6/3k4/6r1/4K2p/8/PP1R2PP/8 b - -,d6e6
8/8/p1N2k2/1p2p3/1Pn1Pp2/P4K2/6P1/8 w - -,g2g3
6r1/4n3/4p1P1/1kN1P1K1/1Pbp1N2/8/8/4R3 w - -,g5f6
r3kb1r/pqp1nppp/1p2p3/n2pP3/N2P1NP1/PP6/2PBQP1P/R3K2R b KQkq -,a5c6
r1r3k1/1p2pp1p/3pb1p1/3P4/p2bP3/5P2/PPRBB1PP/2R4K b - -,c8c2
6k1/p3r2p/1p1p4/1P2p3/2PpP3/P4b2/2R2N2/4K3 w - -,a3a4
1rb2rk1/p5bp/1pnq1pp1/2p1p3/P2pPP2/1P1P1NP1/2P3BP/R1BQ1RK1 b - -,a7a6
r2q1rk1/pp1nnpbp/2ppp1p1/8/3PPP2/2N1BB1P/PPPQ2P1/R4RK1 b - -,e6e5
r1bq1kr1/1ppp3Q/p3pB1p/5n2/3P2pP/P2B4/2P2PP1/R3K2R b KQ -,d8f6
1r5k/5pq1/p1bP3p/2p5/p2n1P2/2N1R2P/1P3Q1K/5B2 b - -,g7f6
rnbqk2r/ppppppbp/5np1/8/3P4/2PBP3/PP3PPP/RNBQK1NR b KQkq -,d7d6
8/2R2pk1/1P5p/2p1bp2/5Pp1/6P1/1r5P/7K w - -,f4e5
r1bqk2r/4ppbp/pn1p1np1/2pP4/4P3/2N5/PP1NBPPP/R1BQ1RK1 w kq -,a2a4
7k/p3p1bp/1p1n1rp1/2p5/P4P1Q/NqP4P/1P4P1/2B1R1K1 b - -,b3a4
6k1/5p2/6p1/2pP1q2/3b4/3R2PP/2Q2PK1/8 w - -,d5d6
6k1/1p2bpp1/1nq4p/p1p1pP2/2P1N2P/1Q3PP1/3B4/6K1 w - -,d2a5
8/3B2pp/1p1n1p2/p2k4/Pb6/6P1/1B2KP1P/8 b - -,b4c5
3r2k1/p3rpp1/3N4/8/1p2p1pP/1Bb1P3/P3KP2/3R4 w - -,d6f5
r2q1rk1/bpnb1pp1/p2p3p/P1p1p3/2B1P2P/2PPNQP1/1P1N1P2/R3R1K1 b - -,g7g6
4rr2/3qbp2/k1p1p1p1/1p2P2p/pPpP1P1P/P1P2QP1/4RB2/R3K3 w - -,e2c2
rn1qkb1r/1p3ppp/p3b3/3Np3/8/1N2B2P/PPP2PP1/R2QKB1R b KQkq -,e6d5
4rrk1/1p4pp/p1pR1n2/8/2PB1n2/1B6/P1P3PP/R6K w - -,c4c5
r3r1k1/pp3pp1/2p5/4b3/4P1P1/P1BP1K2/1P3P2/R4R2 b - -,a8d8
r2q1rk1/1bp1bppp/p1np1n2/1p2p3/P3P3/1BPP1N2/1P3PPP/RNBQ1RK1 w - -,b1d2
6k1/q5p1/4pp1p/8/2bP4/p1Q2P1P/6P1/3R2K1 b - -,a7a4
r1bqr1k1/pp1nppbp/2np2p1/8/2P1P3/2N5/PPN1BPPP/1RBQ1RK1 w - -,c1d2
r4r1k/ppp2p2/4p1p1/P3b1Bp/3nN2P/5P2/1P6/2RBK1R1 b - -,f8c8
5rk1/2nq1pbp/1r1pb1p1/2p1p3/NpP5/1P1PP1PP/3B1PBK/1R1QR3 b - -,b6b8
rn1qkb1r/1p2pp1p/p1p2np1/3p1b2/2PP4/1PNBP3/P1Q2PPP/R1B1K1NR b KQkq -,f5d3
3B4/1K2Pb1p/5Pp1/6P1/7k/8/2r5/8 w - -,b7b6
8/1bp2p2/1p2k1pp/p1p1P3/3rNPPn/P5NP/1PP1RK2/8 b - -,b7c6
8/8/5K1k/7P/b1P3P1/8/8/8 b - -,a4e8
r2R2k1/pp2ppbp/2n1bnp1/2p3B1/4P3/2N2N2/PPP1BPPP/5RK1 b - -,a8d8
r2r2k1/p1q2pp1/1p1b1nnp/1QpPp3/P1P1P3/4BPP1/3N3P/RR3BK1 b - -,a8b8
r4rk1/3nb1pp/q3p3/p2p1p2/P1pP4/1pP1PNB1/1P3PPP/R2Q1RK1 w - -,f3e5
6k1/1p2n2p/4p1p1/p2pP1P1/P2P1P2/Bb6/4N3/4K3 b - -,e7c6
2b5/8/2p2k1p/2Np4/1PpP4/6KP/5P2/8 b - -,f6f5
8/pp4pk/7p/2q2p2/1p2n2P/3R1QP1/P2P1P2/6K1 b - -,a7a5
r2q1rk1/4bppp/p1n1pn2/1p1p4/3P4/2NBP3/PP1BQPPP/R4RK1 w - b6,a1c1
r2qkb1r/pp1n1ppp/4p1b1/2pp4/6P1/1P1PP2P/PBPN1P2/R2QKB1R b KQkq -,f7f6
r3kb1r/pp4pp/5p2/3p4/3N2b1/P5P1/1P1BPP1P/R4RK1 b kq -,f8c5
2r3k1/p3pp1p/5bp1/1n1B4/q1P2PP1/P6P/2P3K1/2Q1BR2 b - -,b5a3
3b1rk1/4qp1p/p2p2pB/n1pPp3/Q1P5/6PP/P3PP2/1B3RK1 w - -,h6f8
rnb4r/1p3pbp/p2k2p1/4p3/2PN4/3B4/PP1B1PPP/3RR1K1 w - -,d4f3
8/8/p2k3p/1p2nP2/1P4P1/P1K5/8/2B5 b - -,e5g4
1k1r4/pp1q2p1/5b1r/2p1pR2/2PpP3/P2P2P1/1P5P/2NQ1RK1 b - -,d8h8
8/3R1p2/2N1p1k1/1n2P2p/5P2/2n2K2/7P/8 w - h6,d7b7
r1bq1rk1/pp2ppbp/2np1np1/2p5/4P3/2NPB1PP/PPPQ1PB1/R3K1NR b KQ -,c6d4:a8b8:c8d7
r1bq1rk1/pp2npbp/2npp1p1/2p5/2P1P3/P1NP2P1/1P2NPBP/R1BQ1RK1 b - -,f7f5:a7a5
rn2kbr1/p2p1p2/bq2pp1p/2pP4/2p1P3/2N3P1/PP1N1P1P/1R1QKB1R b Kq -,f8d6
r1q2r1k/1p3pp1/p1np1b1p/P1p3P1/5P2/2P5/BP5P/R1BQR1K1 b - -,f6d8
r3k2r/1bq1bpp1/p2ppn2/7p/Np1BP3/3B1P1P/PPP2QP1/2KR3R w kq -,g2g4
r1bqkb1r/pppn3p/3p1ppn/4p3/3PPP2/2N1BN2/PPP3PP/R2QKB1R b KQkq -,f8g7
1N6/6bk/8/3r3q/4P3/3P3p/2Q4P/5R1K b - -,d5b5
1k5r/1p1r2b1/p2p1n2/4pq2/2Q4P/1PN1B3/1PP2P2/2KR3R b - -,d6d5
2rq1rk1/pb2nppp/1p1bpn2/3pN3/3P1P2/1PPB1Q2/PB1N2PP/R3R1K1 b - -,c8c7
r1bq1rk1/ppp1bppn/2np3p/4p3/4P3/1BPP1N2/PP1N1PPP/R1BQR1K1 b - -,h7g5
8/r1n2p2/1n2Pk1p/p1Np2p1/3P4/1P1BP1KP/5P2/R7 b - -,f7e6
r2q1rk1/pbpn1ppp/1p1npb2/8/2pP4/1P2PNP1/PBQ1NPBP/R4RK1 w - -,b3c4
8/8/1b3kpp/5p2/8/1Bn1N1P1/P4PKP/8 w - -,a2a4
5rk1/pp4p1/2p1r2p/3pN1n1/3P2P1/1PP1RP1P/P5K1/4R3 b - -,f8e8
r1b1k2r/pp1n1ppp/2p2n2/q2p2B1/1b1P4/2N1P3/PP1N1PPP/R2QKB1R w KQkq -,d1c2
2rq2k1/5pb1/R1n1p1pp/1QNp4/3P4/2P4P/2N2PP1/6K1 b - -,d8c7
8/5b1p/2k2R2/R7/2pP4/2P4K/pq4P1/8 b - -,c6b7
4rbk1/1pq1rppb/2pp1n1p/p2P4/P1P5/1NQ1B1PP/1P3PBK/2R1R3 b - -,h7e4
3r2k1/6pp/3q1p2/1p1r3P/1Pp2PP1/P1Bn1Q2/6K1/R4R2 b - -,d8e8
3rr1k1/ppqnbp1p/2p2np1/4p3/P3P1P1/1P4QP/1BPN1PB1/R4RK1 b - a3,e7f8
2b3k1/2p3qp/np1p4/3P2p1/1PP1Pp2/7P/3QB1PK/1R6 b - -,g7e5
r1bq1rk1/pp1nbpp1/2pp1n1p/4p1B1/P2PP3/2N2N2/1PP1BPPP/R2Q1RK1 w - -,g5h4
4k3/8/3P4/2p2P1p/5K2/8/8/8 w - -,f5f6
2r3k1/1p1b1pb1/p6p/6p1/2pP4/P2BP1BP/1P3PP1/4R1K1 w - -,d3e4
r4rk1/pp3pp1/4b2p/3R4/4n2N/1P2B3/P4PPP/R5K1 w - -,d5d3
r1bq1rk1/ppp1npbp/3p1np1/4p3/4PP2/2NP2PP/PPP1N1B1/R1BQ1RK1 b - f3,c7c6
r2r2k1/pp1Nqpp1/1bn1p2p/8/2B1N3/4P3/PP2QPPP/2RR2K1 b - -,d8d7
2kr4/1q1nbpp1/p7/P1pRpP2/1pQ1P2r/1N2B1pP/1PP3P1/R6K b - -,d7f6
6k1/pp3ppp/2p3b1/8/3p2P1/4rP2/PP2BK1P/5R2 w - -,f1d1
1k1r4/1pqr1pp1/p2bpn1p/8/Q1Pp3P/3RBNP1/PP3P2/1K1R4 w - -,f3d4
n2k4/r4p1p/2Pp2p1/1P1Np1n1/p7/R4P2/P6P/1K3B2 w - -,a3c3
7k/1p1r2p1/4Q2p/4p3/4P2P/4qPP1/6K1/8 w - -,e6d7
8/3k1p1p/3p4/P1pb1q2/7p/1PQ2P1P/6P1/3R2K1 w - -,a5a6
2r1b1k1/pB3ppp/1b2p3/4P3/8/P1q3P1/1N2QP1P/4R1K1 b - -,c8b8
7r/6R1/2p2P2/1pk1P1K1/p5R1/r7/8/8 b - -,c5d5
2K5/1P6/8/8/4p3/5k2/5P1q/8 w - -,c8d8
1k1rr3/pp3ppp/2n2n2/2R1p3/8/PP1P2P1/5PKP/3BR1N1 w - -,d1e2
2R5/p5p1/4K3/4n1rp/4Pk2/8/P7/3B4 b - -,h5h4
r4rk1/pbqn1pp1/1p1ppn1p/2p5/2PPN3/2PBP2P/P1Q2PP1/R1B2RK1 w - -,c1a3
r4k1r/3p2p1/1P2ppQ1/2R1q3/1P2b3/8/5R1P/5BK1 b - -,e5d4
rnbqk1nr/pp3ppp/4p3/3pP3/1b1P4/2N5/PP3PPP/R1BQKBNR b KQkq -,g8e7
r4r1k/2p3pp/p4p2/1pQ1pP2/PR6/2P3P1/3q1PKP/8 b - a3,f8d8
2r3k1/pp1b1pb1/7p/n2p2p1/3P4/P3PNBP/1P2BPP1/4R1K1 w - -,e2d3
r2nn1rk/1q1b3p/3p1b2/1p1Pp3/4Pp2/1R6/1B2BPPN/1QR1N1K1 b - -,b7b6
5b2/1q4pk/1n2Qp1p/2p1pP2/2P1N1PP/5P2/8/6K1 b - -,b6c8
2brr3/pp3pk1/1qp3pp/4P3/1n1NRP2/6NP/PP4P1/1BQ3K1 w - -,c1c3
2k4r/p1qr1ppp/bp1bp3/2p1n2P/3pB3/2PP1NP1/PP2QP2/RN2R1K1 w - -,c3d4
5k2/pp1n1p1p/3P2p1/2r3N1/3b1B2/1P6/P5PP/4R2K b - -,f8g7
r1bqkbnr/pp3ppp/2n5/2pp4/8/5NP1/PP1PPPBP/RNBQK2R w KQkq -,d2d4
6k1/pp3pp1/2p2n2/1nP2P1p/1P2B3/4K3/8/4B3 w - -,e4d3
r3r1k1/ppp2pbp/3p1qp1/3P4/8/1Q3P1P/PPP1NP2/R4K1R b - -,a7a5
r5k1/1p5p/2p1p1p1/2Pp1p2/1q1P1Pn1/1P1R1QPP/4P1B1/r2R2K1 b - -,g4f6
r1b2rk1/1pqpbppp/p1n1pn2/2P5/N7/4PNP1/PP1B1PBP/R2Q1RK1 b - -,f6e4
8/8/2p5/2P1kp1p/3R1P1P/4P3/7r/5K2 b - -,e5e6
8/5p2/P2p4/2bP4/2k1B3/8/4KP2/8 b - -,c4d4
3rr1k1/1b3pp1/p4q2/1p1P3p/8/1Q3PP1/PPR1N1P1/6BK w - -,c2d2
r4rk1/ppp1p1bp/1n1q2p1/2QPnp2/4P3/2N1BP2/PP2BP1P/3RK2R w K f6,c5b5
1k1r1bnr/pp1b2pp/1q2p3/n2pPp2/2pP3P/P1P1NNPB/1P3P2/R1BQK2R b KQ -,g8h6
1qr2k2/1b1n1ppp/p2p4/Np2p3/1P1PP3/2R1BP1P/P1Q3P1/7K b - -,c8c3
1r1r2k1/p1q1bppp/b1p2n2/2Pp4/3Pp3/2N1PP1P/P1B3P1/R1BQR1K1 b - -,c7g3
6k1/5p1p/4p1pb/4P3/R1bP3P/8/5PPN/1r3BK1 b - -,c4e2
1r4k1/p2R2p1/6rp/2p1P3/4q3/P7/3Q2PP/5RK1 w - -,d2d5
3r1rk1/p2bq1pp/1pp1p3/5p2/2PP4/1PQ1PR2/PB4PP/5RK1 w - -,b3b4
8/6p1/p6p/P2k3P/3p2P1/N4P2/3K4/5b2 w - -,a3c2
1r4k1/5pp1/prqpb2p/4p1b1/2P1P3/RP1QNB2/5PPP/R5K1 b - -,c6b7
r1b2rk1/pp3pp1/2nq3p/2bN4/7P/P4N2/1PQ1PPP1/R3KB1R w KQ -,a1d1
rnbqk2r/1p1p1ppp/p4n2/4p3/1b2P3/PNN5/1PP2PPP/R1BQKB1R b KQkq -,b4c3
5rk1/pbr2p2/1p2p1pp/2pnP1Q1/3P3N/2PB4/P4PPP/2R2RK1 b - -,h6g5
rn1q1rk1/pp2ppbp/2p2np1/3p4/2P3b1/1P3NPP/PB1PPPB1/RN1Q1RK1 b - -,g4f3
3r1rk1/1p1q2bp/p1np1p2/P1p2np1/8/2NP4/RPPN1BPP/3Q1R1K b - -,f5d4
r7/2pbkpp1/1p1p2n1/pP1P2K1/2P1P3/2N5/P3B3/7R b - -,a8h8
rn1qk2r/pbpp1pp1/1p2pn1p/8/1bPP3B/2N1PN2/PP3PPP/R2QKB1R b KQkq -,b4c3:c7c5:g7g5:e8g8
8/5n1p/p2pk3/2p5/1PPpKP2/P7/3B4/8 b - -,h7h5
2b3k1/p2p2pp/1p1q1p2/3Pb3/5B2/P5P1/1P1Q1PBP/6K1 w - -,f4e3
1r6/4qpkp/2R3p1/3P1b2/2BP1Q2/1p4P1/3r1P1P/5RK1 b - -,b3b2
8/1p4p1/4r2p/3k4/3P3P/PR1K1P2/6P1/8 b - -,b7b6
3k4/p7/3P2p1/3KN2p/7r/1R6/P7/2r5 w - -,d6d7
r4rk1/1p1bbppp/8/q2pP3/8/P4N2/R3QPPP/1NR3K1 w - -,f3d4
8/3k2pp/8/1pp5/4b1PP/P7/4KP2/3N4 b - -,b5b4
2rr2k1/2p2pp1/7p/3P4/2b1R3/2p2P2/1PP3PP/1K1R4 w - -,e4c4
6k1/5pp1/2p5/p6p/2r3P1/P3NP1b/5K1P/8 w - -,e3c4
