8/8/4n1P1/Pk5P/4p3/6K1/8/8 w - -,h5h6
8/5pk1/6p1/p7/P2pNR1P/6P1/8/2q2K2 w - -,f1g2
5r2/2q3kp/r2p2p1/p2Bpb2/2P5/4b3/RP1Q1PPP/5RK1 w - -,f2e3
2k3r1/ppq2r2/2pn4/3p4/3P2pB/2P5/PPQb2P1/1K2RR2 w - -,f1f7
8/8/8/R2bP3/1p1k1K2/8/p2N4/8 b - -,b4b3
2rq1rk1/p4ppp/1p2pb2/n7/2PP4/5NP1/PB3PKP/2RQ1R2 w - -,d1e2
4rrk1/1ppq2bp/p1npbnp1/P2Npp2/2P1P3/3PB1PP/1P1QNPB1/1R2K2R b K -,c6d4
6k1/7p/p6p/5p2/4pP1n/2N1b3/PP1rN2P/3R3K b - -,d2b2
r4r2/3k4/P1pPp3/1p2Pp2/2pPbP1p/4K2P/R5B1/R7 b - -,e4d3
8/3rB2k/5R2/pp1PpN1p/4P1nP/3K4/PP4r1/2R5 w - -,f6f7
r3kb1r/2qb1pp1/p1nppn1p/1p6/3NP1P1/2N1BP2/PPPQ3P/1K1R1B1R b kq -,c6e5
r4rk1/pR3ppp/2p5/2bq4/Q7/6P1/P3PP1P/2B2RK1 w - -,b7b2
8/8/4p3/3pPk1p/2pP3P/2P2K2/8/2b1B3 w - -,f3e2
5nk1/1r2q3/p1Q3p1/4P1b1/3B4/1P4N1/P6P/5RK1 w - -,d4c5
7r/1pqk4/p2b2p1/3p1p1p/3B2n1/1NP3PQ/PP3P1P/3Rr1K1 w - -,d1e1
3r3k/7p/2p5/p1p1p3/N3PpR1/P4P1P/1P3b2/1K6 w - -,g4g5
1k3r1r/1pp5/p1nb4/3p3q/1P1P2p1/P1BQR1P1/4RPB1/6K1 b - -,b8a7
r3kb1r/ppq1pppp/2n5/8/3P2b1/1QP2N2/P3BPPP/R1B1K2R b KQkq -,e7e6
2rr3k/6pp/R7/1p1P4/5R2/3B4/1bP3PP/7K b - -,d8d5
2n5/6k1/5p1p/p1b5/P4P2/3BNKPP/8/8 b - -,c8d6
8/p3b1kp/4qNp1/1p2P3/5r2/1P5P/PB4P1/3Q3K w - -,f6e8
r1r5/p3kppp/2n1p3/1p1pP3/1Pb2PP1/P3KB2/1B5P/2R4R b - g3,a7a5
3qkb1r/1p1n1ppp/p2p1n2/4pP2/4P3/1Pr1B2P/1PP3P1/R2QKB1R w KQk -,b2c3
2r2bk1/p1rq1pp1/4p2p/1p1pP3/3P2QN/PnN3R1/1P3PPP/3R2K1 b - -,a7a5
2r2rk1/pp1n1ppp/q2np3/P2p4/6P1/2PP3P/2P1QPB1/RR2B1K1 w - -,e1d2
r3k2r/pp2bp1p/1qn1b3/4pp2/3pN3/1NP3P1/PP2PPBP/R2Q1RK1 w kq -,e4d2
r3r1k1/3n2p1/p1pBnpbp/2Pp4/1P4P1/1NP4P/R3P1B1/2R3K1 b - -,d7e5
r5k1/5pp1/3p3p/p1bPpP2/Rr2P1NP/1Pp3P1/2P3K1/4R3 w - -,e1a1
r1bqk1nr/ppbp1ppp/2n1p3/2p5/4P3/3P1NP1/PPPN1PBP/R1BQK2R b KQkq -,g8e7
2r1r1k1/pp2q2p/2b2pp1/3pP2n/3N1P2/3BP2P/P1Q3P1/R3R1K1 w - -,d3g6
rnbqkb1r/pp3ppp/4pn2/2ppP3/3P4/5N2/PPPN1PPP/R1BQKB1R b KQkq -,f6e4:f6d7
rn2kbnr/pp3ppp/1q2p3/1bppP3/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq -,b5e2
rn1qkb1r/pp3ppp/2p2p2/5b2/3P4/2P5/PP2NPPP/R1BQKB1R b KQkq -,f8d6
r5k1/pp4pp/2b1r3/3q1p2/3P1B2/P5Q1/3R2PP/R5K1 b - -,a8e8
8/4k3/n4p2/3P1Npp/pp1KP3/8/P5PP/8 b - -,e7d7
2r1r1k1/1p3qpp/3b1p2/pPpbp3/2PnPP2/3QB1P1/P2R2BP/5R1K w - -,e4d5
r1b3k1/ppp1p1b1/2n2rBp/3npP2/2q5/2P2NN1/PPQB2PP/R4R1K b - -,b7b6
8/5k2/p1pr1bp1/1p6/P2p4/1P1B2P1/2P2PK1/R7 w - -,f2f4
8/6k1/2r3p1/7p/3R3P/3B2PK/8/8 b - -,c6b6
1r1nqb1k/5rnp/2pp1pp1/1p2p3/1P1PP3/2P2N1P/2B1QPP1/R1BR2K1 w - -,c2b3
r1bq1rk1/1p2ppbp/p1np1np1/8/3PP3/2NBBN1P/PP3PP1/R2Q1RK1 b - -,e7e5
2r3k1/1pqrbbp1/p5np/P3pp2/1PP5/3NBP2/4B1PP/R1R1Q1K1 w - -,e2f1
r1rb2k1/1p1n1ppp/p2pb3/P2Np3/2q1P3/1N2BP2/1PP2QPP/2RR2K1 b - -,f7f5
r1q2rk1/pp1bbppp/1np5/8/3NP3/P1P2PP1/2Q3BP/R1BR2K1 w - -,a3a4
6k1/pp4p1/4Nqnp/2Pp1P2/6P1/P3Q2P/5K2/8 w - -,e3b3
2r3k1/1Q2ppbp/6p1/3P4/4P1b1/4B3/PP1KBPq1/3R4 w - -,e2g4
B4rk1/5ppp/4p3/Q3q1N1/2P5/6P1/2n2P1P/R5K1 b - -,e5a1
2rr2k1/p4pp1/7p/8/3B4/1P2PNP1/Pb3PKP/3R4 b - -,c8c2
r4k1r/3b2p1/3qp3/pp3B1p/5Pn1/8/1PPBQ1PP/R4R1K w - -,f5e4
r1b2rk1/1pq1bppp/p1nppn2/8/2PNP3/2N1BP2/PP1QB1PP/R4RK1 b - -,c8d7
2r2rk1/pp3qbp/2pp2p1/3Pp3/2P1Q3/PN2P1Pb/1P1B1P1P/R3R1K1 w - -,f2f4
2rr2k1/pp3ppp/1qnp1b2/3Pp3/8/5N2/PPPQBPPP/1R1R2K1 b - -,c6e7
8/5p1p/3kpnp1/8/1NP5/7P/P3K1P1/1B4b1 w - -,b1d3
r4rk1/p1q1bppp/2ppbn2/1p2n3/3BP1P1/2N2PN1/PPPQB2P/2KR3R w - -,g4g5
r1q1n1k1/p2bbr1p/3pN1pB/2pP4/2P5/2N4P/P1nQ2P1/1R2R1K1 w - -,d2c2
4r2k/3R2bp/pp4p1/2q2p2/2r5/P5P1/6BP/3Q1R1K w - -,d7d8
3r1rk1/ppp1bppp/4p3/q3Pb2/1PPP4/P3QN2/4B1PP/3R1RK1 b - -,a5b6
8/3nkpb1/2b3pp/2ppP3/B3NP1P/P7/1r1N2PB/4RK2 b - -,c6a4
2rr2k1/3qbppp/1pp1p1b1/4Pn2/2BP4/1N2N2P/1P3PP1/R1RQ2K1 w - -,e3f5
3r2k1/6pp/p1qNpn2/1p2n3/2P1N3/1P3PP1/P3Q1KP/3R4 w - -,d6f5
8/pp1rpk1p/2r1p1p1/6P1/2R5/4P3/1PR2PKP/8 w - -,c4c6
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq c6,d4c5:e2e3:d4d5:g1f3
1r2nrk1/2qn1ppp/pp1Bp3/8/2P5/1PN1QbP1/P4PBP/2RR2K1 b - -,e8d6
8/5k2/R7/6K1/4P1P1/8/6r1/8 b - -,g2e2
3r1rk1/pp1b1ppp/1q3n2/2b5/8/2NQ2P1/PP2PPBP/R1B2RK1 w - -,d3c2
r4bk1/2q2ppb/p1Pp1n1p/Pr1Pp3/Rp2P1P1/5N1P/2BB1P2/3QR1K1 b - -,b5a5
rnb1kb1r/2q2ppp/p2ppn2/1p6/3NPP2/P1NB4/1PP3PP/R1BQ1RK1 b kq -,c8b7
r3k2r/1q3p2/p2p4/3Np2p/2QnPn1p/8/PPP3P1/1K1R3R w kq -,d5f4
r5k1/pp1nBppp/1n6/3p4/b7/P1r1PN2/5PPP/1R2KB1R w K -,e7b4
r4k1r/pppq2bp/3p1Bn1/3P4/2P1pQ2/2N4b/PP3P1P/R3K1NR w KQ -,f4g5
r1qb1rk1/1p1n1ppp/p1p2n2/2Pp1p2/1P1P1B2/1Q1BP2P/P2N1PP1/R3K2R b KQ -,f6e4
rnbq2k1/p1b2pp1/1pp4p/2Pp1N2/3P4/2PB4/P4PPP/R1B1Q1K1 b - -,c8f5
8/5p1k/7p/1R1B4/rP6/2b4P/5PK1/8 w - -,b5c5
1rb2rk1/2b2ppp/1pQ1p3/5n2/PPP2P2/8/6PP/R4RK1 b - -,c7d8
8/2R1nkp1/5p2/1N6/2P5/8/4K1rP/8 w - -,e2d3
r2qk2r/p1p1nppp/1pn5/3p1b2/3P4/P1PB1N2/2P2PPP/1RBQ1RK1 b kq -,e8g8
r3kb2/p2p2p1/Q1b1qp2/2P5/8/P3B1P1/3N1P1r/2R1K1R1 w - -,d2c4
2q1rrk1/1bn4p/p1p2pp1/2Np4/2PQ4/P3RN2/1P3PPP/4R1K1 w - -,e3e7
5R2/p7/P7/5p2/5k2/3K4/5b2/8 b - -,f4e5
2r3k1/4ppbp/r2p1np1/PNnP4/4P3/RpN1BP2/1P4PP/1R4K1 b - -,f6d7
4k3/8/1R4P1/5N2/4K2P/1p2P3/3b4/6r1 b - -,d2c1
r4rk1/p5p1/2pbp2B/1p3p1q/2PP2nN/8/PP2QP2/K5RR b - -,d6h2
r6k/3nbppp/3p4/qprP4/5B2/1B3Q2/PP1R2PP/1K5R w - -,d2e2
2n5/8/8/p7/N7/1k2K3/8/8 w - -,a4c5
r3k2r/pp1qppbp/2np1np1/2pN1b2/2P5/P2P1NP1/1P2PPBP/R1BQK2R w KQkq -,d1a4
r1q2rnk/p3ppbp/bpp3p1/1P2P3/2PN1P2/2N1B2P/P2RQ1P1/3R2K1 b - -,a6b7
8/1k3p2/3b2p1/3p1p1p/3P1P1P/4BP2/1P1K4/8 w - -,d2c3
r1b1k2r/2qn1ppp/pp1bpn2/2p5/2NP4/2PB1N2/PP2QPPP/R1B2RK1 b kq -,c8b7
r3kb1r/pp2p1pp/1qn2p2/3p1b1n/2pP4/2P1PNB1/PP1N1PPP/R1Q1KB1R b KQkq -,e7e5
8/1b6/1Np3k1/2R3p1/7p/1P1r3P/P4PK1/8 b - -,g6h6
rn3r1k/pp3ppn/1qp1b2p/5Nb1/1P1PPB2/6N1/P1PQB1PP/R4R1K b - -,f8d8
3rr1k1/pbq1bppp/1p3n2/2p1p3/2B1P3/2P2QN1/PP3PPP/R1B1R1K1 b - -,b7c6
8/1p2kp2/6p1/2p1p2p/1r2P3/3PKPP1/R6P/8 b - -,e7e6
r1bq1rk1/1pp1b1pp/2nppn2/p2P1p2/2P5/2N2NP1/PPQ1PPBP/R1B2RK1 b - -,c6b4
1r1qr1k1/1bpnbppp/p5n1/3pP3/P2N1P2/2P2N1P/2B3P1/R1BQR1K1 w - -,d4f5
1rbq1rk1/1p3ppp/pNn1pn2/8/1b2P3/2N1B3/PP3PPP/R2QKB1R w KQ -,d1d8
r1b1kbnr/pppp1p1p/2n5/4P3/1q3B2/4PN2/PPPN2PP/R2QKB1R b KQkq -,g8e7
1r3r1k/pb2q1pp/2P5/3B2P1/1p2np2/4B3/PPP4P/R3QRK1 w - -,d5e4
r4rk1/2pb2bn/1p1p4/p2P1p1B/2PNpP1q/1P1nB2P/P2N2P1/R2Q1RK1 b - f3,h4g3
r3r1k1/1b1n1ppp/3q1n2/2pp4/P7/2BBPN2/5PPP/R2QR1K1 w - -,d3c2
8/8/R7/3P4/pk2PKP1/r4P2/8/8 b - -,a3a1
4R3/7p/r2k1p2/p2PpP2/R1P3r1/2PK4/7P/8 b - -,d6d7
8/8/2R4P/8/3k2P1/8/7r/2K5 w - -,g4g5
1r4k1/5pp1/3Rb2p/3N4/2p1P3/1p5P/PP3PP1/6K1 w - -,a2b3
r7/pp1nq1kp/3R1pp1/4p3/8/Q3N1P1/PP2PP1P/6K1 w - -,e3d5
r1b1k2r/ppppqppp/2n5/4P3/1bP2Bn1/4PN2/PP1N1PPP/R2QKB1R b KQkq -,e8g8:g4e5
2rq1r2/pb3pkp/1pn1p1p1/2p5/2BPP3/2P2P2/P2QN1PP/R4RK1 w - -,c4b3
rnb1k2r/1pq2ppp/p2ppn2/8/1b1NPP2/2NB4/PPPBQ1PP/R3K2R b KQkq -,b8d7
r4rk1/5p1p/p5p1/2N1R3/1N2P2P/1b3P2/5KP1/8 w - -,c5a6
2rr2k1/pb3pp1/1p2pn1p/4N3/3PP3/2q4P/P2Q1PPK/1B1RR3 b - -,b6b5
3n4/pp1b4/3kp3/3p2Nr/1PpP1P2/P1P1R3/6K1/4B3 w - -,e1g3
r1bq1rk1/5ppp/1pp1pb2/p2p4/PnPP4/1QN1PN2/1P2BPPP/R2R2K1 w - -,e3e4
7R/1pr1k1p1/p6p/5P2/P7/1P6/2r2P1P/3R2K1 w - -,d1d8
3q1k2/pb3rpQ/1p1b3p/7N/2rB1P2/5P2/P5KP/1R3R2 w - -,b1e1
r1bq1rk1/1pn2pbp/p2p1np1/2pP4/P3P3/2NB1N1P/1P3PP1/R1BQR1K1 b - a3,a8b8
rnb2rk1/pp2ppbn/2p3p1/q5Pp/3PNP2/4BN2/PPPQB2P/R3K2R b KQ -,a5d2
4b3/p5k1/1prR3p/5P1P/6B1/P3K3/1P6/8 w - -,d6d8
5rk1/r2np3/6q1/2pPp1pp/P1N1Pp2/1P3P2/1R2Q1PP/1R4K1 b - -,g5g4
r2q1rk1/pp1bppbp/3p1np1/n1p5/4PP2/2N2N2/PPPPB1PP/R1B1QRK1 w - -,d2d3:e1h4
3r2k1/2B2pp1/pP5p/8/6P1/1r5P/2p2PK1/2R5 b - -,d8d2
8/3R1pkp/5b2/4pp2/8/2np1NP1/6KP/8 b - -,e5e4
2rq1rk1/p3bppp/1p2pn2/2P5/2P1b3/1P3NP1/P1QB1PBP/R2R2K1 w - -,c2b2
rn1q1rk1/pp2ppbp/2p2np1/8/3P4/2P4Q/PP2NPPP/RNB2RK1 b - -,d8d7
6k1/4Qpp1/4n3/8/p5P1/5P1P/1q3K2/5B2 w - -,f2g3
r2q1rk1/p2nbppp/1pP2n2/4p3/5B2/P1N1P3/1PQ2PPP/3RKB1R b K -,e5f4
5rk1/1p4qp/p3br2/3pN3/1b1Pp3/4P1P1/PP2BP2/R1R1Q1K1 w - -,e1f1
3rk3/2Q2p2/2p2b2/5P2/4P2p/2P1K3/1r4PP/8 b - -,f6g5
3rk2r/p2qppbp/n1p1b1p1/1p6/3P4/2N1BPP1/PP2P1BP/R2Q1RK1 w k -,f3f4
r1b1r1k1/1pp1qn2/n2p2p1/p2P4/2P1NB2/2P4P/P2QB3/2KR3R w - -,e2d3
5kr1/1pQ4p/1P2pbb1/3p1n1p/B2P4/P5PP/4KP2/1r1R4 w - -,d1b1
1r2r1k1/pqp1bpp1/1p2p2p/8/2PPn2N/1P3PP1/PB2Q2P/R2R2K1 b - -,e4f6
r6k/ppQ3b1/2b2npp/6q1/2PR3N/7P/PP3PP1/3R2K1 w - -,c7f4
4r3/p4k2/1p1rpp1p/6p1/P1RP1bP1/5N1P/1P3P2/4R1K1 b - -,f7g6:d6d5
4n3/8/8/2n1k1p1/8/4KB2/5P2/6R1 b - -,e5f6
6k1/6p1/3p1r1p/2p1p3/P1P5/3R2P1/2Q2P1P/q5K1 w - -,d3d1:g1g2
r1bqk2r/ppp2p1p/2n1p3/3p2p1/1bPPnB2/4PN2/PP1N1PPP/2RQKB1R w Kkq g6,f4g3
5rk1/1p3ppp/p1q5/R2p4/3P4/1PP1Q2P/5PP1/6K1 b - -,f8e8
8/8/B4pp1/1p5p/1P1k1P2/n4KP1/8/8 w - -,g3g4
8/2p3k1/3p2pp/1p1P4/pPPb2P1/P2Bn2K/7P/2B5 w - -,c4b5
4rrk1/1n1bqppp/1pp5/p3P3/PbP1B2N/1Q2P1P1/1B3R1P/5RK1 w - -,b3c2
2r5/7k/Rp3r2/1PbR1pp1/4p3/4P1P1/5PK1/5B2 w - -,a6a1
7r/8/5k2/4p3/4R2P/5PK1/8/8 b - -,f6f5
