6R1/8/4pN2/2K1P3/p5pk/Pr3b2/8/8 b - -,g4g3
r1bq1rk1/pp4bp/2pp1np1/4pp1n/PPP5/2NP2P1/1BN1PPBP/R2Q1RK1 b - a3,a7a5
r1b1kb1r/pp1npppp/2p2n2/q2p4/NP1P1B2/2P2P2/P3P1PP/R2QKBNR b KQkq b3,a5d8
r2q1rk1/pp2bppp/2npb3/3Np3/4P3/3Q1N2/PPP1BPPP/R4RK1 b - -,a8c8
1r6/4bpp1/p1rpk2p/R3p3/4P3/8/PP1B1PPP/2R2K2 b - -,c6c1
7r/rpkn1pp1/2p4p/4p3/8/1P4P1/PB1RPPKP/R7 b - -,h8e8
1r1r4/1q2bk2/1p1pnp2/1PnNp1p1/2P1P1Pp/4BP1P/R3BQ1K/3R4 w - -,d5b4
8/r2k1p2/pprppp1p/4bP2/PPP1P1P1/1K1R1B1P/2R5/8 w - -,d3d1
r2qk2r/1bpn1ppp/p3pn2/1p6/P7/B2Q1NP1/P3PPBP/R4RK1 b kq -,c7c5
3qr1k1/1p3n2/p2p2p1/2pP1n2/3bNB1p/2N2P2/1PQ3PP/R6K b - -,d4g7
8/3P3p/4kbp1/2B5/4p3/6P1/n1K4P/8 w - -,d7d8q
1r1qr1k1/2pb1pbp/2nppnp1/p1P5/1p1PP3/3NBPP1/PP1QN2P/2R1KB1R w K -,f1g2
rnr3k1/p2qppbp/1p2b1p1/2p5/2NP3B/2P1P3/P3BPPP/2RQ1RK1 b - -,b8c6
7r/p4kb1/1p1n2pr/P1pPp3/2P1Pp1P/5P2/3NKB2/2R4R w - -,a5b6
8/1p3pk1/b5pp/3N4/n6P/1r3PPB/2R1P1K1/8 b - -,a4b6
r1bq1rk1/1p2n1b1/2np2pp/2p2p2/1PP1p3/2NP2P1/2N1PPBP/1RBQ1RK1 w - -,c3b5
rnb1k2r/ppppqppp/4pn2/8/2PP4/2b2N2/PP1BPPPP/R2QKB1R w KQkq -,d2c3
r6k/5pq1/b1p1p1p1/p2n2QP/3P4/5RN1/PP3PP1/4R1K1 b - -,h8h7
8/p1p4p/5k2/2p1r3/3p1R2/3P2KP/PPP5/8 b - -,f6e6
r5k1/8/3p3p/3Pn1p1/2P5/3B3P/6P1/1RNb2K1 b - -,e5d3
1r4k1/1rn1p1qp/3p1pp1/2pP4/Pn2P3/1PN1RN1P/5PPK/1R1Q4 b - -,b8f8
8/3q1nk1/3p1n2/1p1Pp1pp/1P2Pp2/Q4P1P/1b1BB1P1/3K4 w - -,a3b2
r1b1nr1k/p1p2qbp/1p1p1n2/3Pp3/2P1Np1B/3B1P2/PPQ3PP/R3RNK1 w - -,g2g3
r1bq1rk1/1p2bppp/1npp4/p1n5/P2QP3/1BN1BN1P/1PP2PP1/R3R1K1 w - -,a1d1
6Q1/pp1r4/k1bq4/3ppp1p/2n4P/1RB5/2P3P1/K3R3 w - -,g8g5
2r2rk1/1b2B1pp/pq2p3/1p1p3N/5P1P/2nB4/P1PQ2P1/K2R3R b - -,f8f7
5k2/5pp1/3N3p/2p2P2/2p3rP/2Pn4/5P2/1R4K1 w - -,g1f1
8/2k4p/1pbp2p1/p3p3/2P1Pr2/2P1KB2/1R3PPP/8 b - -,c6b7
6k1/4R3/PK3Pp1/8/7P/r3p3/8/8 b - -,a3b3
r1bqkbnr/pp1ppp1p/2n3p1/2p5/8/2N2NP1/PPPPPP1P/R1BQKB1R w KQkq -,f1g2
r1bqr1k1/1pp2pbp/p2p1np1/2n5/2PNP3/2N4P/PP3PP1/R1BQRBK1 w - -,d1c2
2kr3r/pp1bqp1p/2pp2pn/4p3/4P3/1BNPP1Q1/PPP2RPP/5RK1 b - -,d8f8
8/6k1/1pq5/p3P1p1/P2Pnp2/1PN2QB1/7K/8 b - -,c6c3
r3k2r/ppqnbppb/2pp1n1p/3Pp3/2P1P3/2N2NPP/PP3PB1/R1BQR1K1 w kq -,f3h4
6k1/4Qn1p/4B3/1KP5/8/p4q2/8/8 b - -,f3f1
r1bq1rk1/pppn1pbp/3p1np1/8/3pP3/2N2NPP/PPP2PB1/R1BQ1RK1 w - -,f3d4
8/2p4p/p1kbR1p1/1p2P2P/2p3Q1/6PK/PP6/5q2 w - -,h3h4
rnbqkbnr/pppp2pp/4p3/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq f6,g2g3:b1c3:g1f3
rn1qk2r/1pb3pp/p1p1pn2/2Pp1p2/1P1P4/2NQPN2/P2B1PPP/R4RK1 b kq b3,b8d7
6rk/5r2/3pq3/1P1Nb3/2P2p2/5Q2/6P1/2RR2K1 w - -,g1f2
r1bq1rk1/1pppnpbp/p1n3p1/8/3NP3/2N1B3/PPP1BPPP/R2Q1RK1 b - -,d7d6
8/2k3p1/pN2pp1p/1p2n3/P4B2/8/1P3PPP/5K2 w - -,f4e5
r2r2k1/5pbp/3p1np1/1n1P1b2/1pN2B2/5BP1/PP2NP1P/R2R2K1 b - -,h7h5
7k/8/7P/6K1/1p6/1N6/8/8 w - -,g5g6
8/pp3k2/4p1p1/3pPn1P/2pPbP2/P1P5/2PK1B2/4N3 w - -,h5g6
rq3rk1/pp1n1ppp/5n2/5N2/4PR2/1P1BQ3/1P4PP/2R3K1 b - -,b8e5
r2qk2r/pppn1ppp/8/2p1p3/4P3/1P1PBb1P/P1P1QPP1/R3K2R w KQkq -,e2f3
rnbq1rk1/pp1pb1pp/2p1pn2/5p2/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w - -,d2d3
r1bq1rk1/1p3pbp/p4np1/3P1p2/3N4/1PN1P3/P3BPPP/2RQ1RK1 b - -,f6d5
r2q1rk1/pp1nbppp/2p1pn2/8/P1NP4/1P2PN2/1B3PPP/R2Q1RK1 b - -,c6c5
6k1/p2b2q1/5bBp/1pB3p1/2p1Np2/6nP/PPQ5/1K1R4 b - -,d7h3
4r3/5R2/4p1p1/3pN1k1/3P4/4P1K1/8/8 b - -,e8a8
rr4k1/4pp1p/b2p2p1/q1pP4/3bPPnN/1PN3P1/P1QB2B1/1R1R3K b - -,a6d3
r7/2p1q3/1pP2k2/4ppp1/Pp2p1p1/1Q2P1P1/5P2/1K1R1B1r b - -,a8d8
6k1/2Qq1pp1/pr1P3p/8/P5P1/7P/3R3K/8 b - -,b6b7
r7/1b6/p7/1p1pk3/1PpNnp2/7R/P3PPK1/3R4 b - -,a8g8
r4rk1/pp2p1bp/2p1b1p1/q3n3/2p1NP2/4B1P1/PP3QBP/R4RK1 w - -,e3d2
3q1rk1/p1r2ppp/1pnp1bn1/2pB4/3PP3/2P1BN2/PP2Q1PP/3R1RK1 w - -,e4e5
r1bq1rk1/1p1nbpp1/p1p1pn1p/3p4/2PP3B/2N1PN2/PPQ2PPP/2R1KB1R w K -,h2h3
2rqr1k1/pb2bppp/1p2pn2/n7/2PP4/P1NB1N2/1B3PPP/2RQR1K1 w - -,f3e5
r1q3k1/1p1bpr2/p2p1b1p/Q2P2p1/P1Bp4/3P1PBP/1PP1R1P1/R5K1 w - -,a5e1
r4rk1/pp1b3p/n4p2/3Ppp2/1P6/P1N3K1/2P3PP/3RRB2 w - -,c3b1
2r1r1k1/pb3p1p/3p1qp1/2pP4/Pp2P1n1/1P3nPP/3N1P2/1R1QRBK1 w - -,d2f3
1r1q2k1/2nb1ppn/3p1b1p/2pPpP2/2P1P1PP/1rN2N1B/3Q4/R3B1RK w - -,g4g5
5rk1/3n2b1/2Q3Bp/P2pP2P/1q6/4RN1b/1rP2B2/3R2K1 w - -,c6d5
8/8/8/1p3k2/2p1p1pp/2P1P2P/1P5K/8 w - -,h2g2
r2qr1k1/5ppp/b2p1bn1/2pP4/4PPN1/1p2B1PP/1PB5/1R1QR1K1 w - -,c2b3
8/4r3/8/PK6/8/8/3k4/8 b - -,d2d3
r2q1rk1/1p1np1bp/4b1p1/1P1pNp2/p2Pn3/N5P1/PB2PPBP/2RQ1RK1 w - -,d1c2
8/3k1ppp/r1r5/3np3/p7/P3B3/1PR1KPPP/2R5 b - -,e5e4
8/8/R1p5/3pB3/1P1P4/1KPkb3/4r3/8 w - -,a6c6
8/8/4k3/8/p2KP3/Bb1R4/8/r7 w - -,a3b4
8/6p1/6K1/2k5/P7/P7/8/8 b - -,c5b6
2r1n1k1/p3rPp1/1p5p/2p5/8/1B3P1P/PP2N1P1/2R3K1 b - -,e7f7
3r1rk1/1p3p1p/p1npp1p1/4b3/P1P1P2q/1PB4P/2Q1NPP1/3R1RK1 b - -,g6g5
8/5k2/4P3/3K1Np1/6P1/7P/1b6/8 b - -,f7e8
2rq1rk1/pp3p1p/3bpnp1/3p4/1n1P1P2/2N1PQ2/PP1B2PP/RB3RK1 b - -,a7a6
r6r/ppp2p1p/2nkb3/3N4/3p4/8/PPP2PPN/3RR1K1 w - -,d5f4
3N1b2/5pkp/4p1p1/8/1n6/1P2P1P1/5P1P/1B4K1 b - -,f8e7
r2qr1k1/1p2npb1/2p1b1pp/1P1p4/1NP5/1QNPp1P1/4PPBP/1R1R2K1 w - -,f2e3
r1b1k2r/1p3ppp/p1n1pn2/3q4/1b1P4/2NBBN2/PP3PPP/R2QK2R w KQkq -,e1g1
r4rk1/2q1bppp/b2pp3/p3n1Bn/1p1NP1PP/3B1P2/PPPQ4/1K1R3R w - -,g4h5
2b5/p7/2p1p3/8/4Bk2/1P3P2/P4K1P/8 b - -,c6c5
r4r1k/8/pp1q2p1/7p/P1BNQbN1/1P5P/6P1/5RK1 w - h6,d4e6
r3k2r/1bqnppb1/pp1p1n1p/2pP4/2P1P2N/3BB2P/PP1QNP2/2R2RK1 b kq -,d7e5
8/7p/p4Bp1/8/3pkP2/2p5/b1K3P1/8 b - -,e4d5
5k2/R4p2/6p1/P3p1P1/7P/r4P2/5K2/8 b - -,a3a4
5b2/1b3k2/1p2pp1p/p2p3K/P2P1N2/1P1NP1P1/5P2/8 w - -,f4g6
1r3rk1/5pbp/pq1p1np1/n1pP4/2P1P3/1p2N1P1/PBQ2PBP/4RRK1 w - -,a2b3
r4rk1/1p5p/p4bp1/2pNNb2/8/8/PP3PPP/R3R1K1 b - -,a8d8
r1bqr1k1/pp3pp1/2pb1nnp/3p2B1/1P1P4/2NBP1N1/P1Q2PPP/1R3RK1 w - -,g5f6
2r3k1/5pp1/1q2pbp1/3p4/1p1P4/2PQ3P/1P1N1PP1/4R1K1 b - -,b4c3
3nkbr1/5p2/qnb1pP2/4P3/2pP2Pp/2P1N3/2BB2P1/1R2Q2K b - -,f8h6
8/4rpk1/5p2/7R/p6P/P5P1/1Pr1pKP1/4R3 b - -,c2b2
5rk1/1bq1b1pp/pp1pp1r1/2n1n3/2PN4/2N1BP2/PP1RB1PP/2RQ3K w - -,b2b4
r1bqr1k1/pppnppbp/5np1/3p2B1/1P1P4/2P1PN2/P2N1PPP/R2QKB1R w KQ -,f1e2
7k/1p2q1pp/1pp5/3p4/3P4/P1Q2P1P/1P3RPK/4r3 b - -,e7d6
8/1r2bpk1/q3p1p1/2n1P2p/p4P1P/6QP/PPBR4/1KB5 b - -,b7b4
2r1r1k1/6bp/p4p2/1bNpNpq1/3P4/2Q3PR/PP5P/4R1K1 w - -,e5f3
rn2k2r/pbqp1ppp/1p2pn2/2p5/2PP4/4PNP1/PP1N1PBP/R2Q1RK1 b kq -,e8g8
r4rk1/p3qppp/p3p3/3n1b2/NP1P4/P5B1/2P2PPP/R2Q1RK1 b - -,f8c8
3rr1k1/6pp/pn2N1q1/1p3N2/4Q3/7P/PP3PP1/4R1K1 b - -,b6c4
3r1rk1/p3p2p/3q1p2/1pp3pP/3n2R1/1P1P4/PBP2QP1/4R2K b - -,e7e5
8/p4k2/8/3PKp2/PP3Rb1/6P1/3r4/8 b - -,f7e7
r4rnk/ppp4p/n2p2qb/3PpbN1/2P5/2N1B2P/PP1Q1P2/R3KB1R b KQ -,a6b4
r3k2r/p2nbppp/1qp1p3/3p1b2/3P1B2/P1N1P3/1P1QBPPP/R3K2R w KQkq -,e1g1
8/kp6/p1p5/5q1p/4R3/2P2B2/PP4PK/4R3 b - -,f5g5
r3k2r/pppq1ppp/2npbb2/8/5B1P/2P2N2/PPPQBPP1/R3K2R b KQkq h3,h7h6
8/5pp1/1p1k3p/3p4/3K1Pb1/P5P1/1PBR3P/2r5 b - -,c1f1
2R1r1k1/1b3ppp/pq3n2/8/1p6/4NP1P/PP1B1QP1/4R1K1 b - -,e8c8
r1br1nk1/2q2pb1/p1p2np1/1pP1p3/4P2p/1NN1BPP1/PPQ1B2P/2R2RK1 w - -,f1d1
1r6/7P/6K1/1P6/8/1Pk5/8/8 b - -,c3b3
2r2rk1/pp2p2p/1n1p1P2/3P3R/2PB1P2/1P1R4/P2K4/8 b - -,e7f6
2r3k1/r4pp1/p4n2/np1NN2p/2P2P2/6PP/PRR3K1/8 w - -,d5b6
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/3BPN2/PP1N1PPP/R1BQK2R b KQ -,b8d7:c7c5:b7b6
8/1R1K4/p5pp/P2P1k2/1P3P2/7P/8/2r5 b - -,f5f4
r3kb1r/pq3ppp/5n2/2p5/6b1/2N1QPP1/PPP1N2P/R1B1K2R b KQkq -,f8e7
3r1rk1/pp2bpp1/4pn1p/q3N2P/3p2P1/3QB3/PPP2P2/1K1R3R w - -,e3d4
2r1r1k1/1bqn1ppp/p1p1p3/1pP2nP1/3PNPQ1/1P3N2/P5BP/2RR2K1 w - -,d1d3
8/7R/2P5/3kp3/8/7p/2r5/6K1 b - -,h3h2
2rrb1k1/2Q2ppp/1n2pb2/1Pp5/8/2N1P1P1/3BBP1P/R2R2K1 b - -,c8c7
4r2k/1p4pp/2pp4/5r2/P4P2/1NN1Q1P1/1Pn4P/2KR4 b - -,c2e3
4rn1k/pp1brp1p/2p2p1q/3p4/3P2P1/P2BP1NP/1P3Q2/4RRK1 w - -,e3e4
rn3rk1/p4pbp/2p2pp1/8/8/2P1BB2/b1PRNPPP/2K4R b - -,b8a6
8/5Rbk/3p2pp/8/1K2n3/6PP/8/8 b - -,e4g3
5rk1/r2nbppp/pq2p3/3p1b2/Pp1P4/1Q1BP1B1/NP3PPP/2R2RK1 b - -,f5d3
r3k2r/1p1bpp1p/pq1p3b/2pPnp2/2P5/2N1P1P1/PPQ2P1P/2KR1BNR w kq -,f2f4
r4r2/1p3pk1/1P1p2p1/p2Pp1b1/P4qPp/1R1B3P/2P2P2/4QKR1 w - -,e1e4
2R5/1r3p2/5r1p/1P4pP/3Nk1P1/4P1K1/5P2/8 w - -,c8c5
1qr3k1/5ppp/4pn2/2b5/1p1N4/4PP2/1P1BQ1PP/5RK1 w - -,d4b3
8/6p1/4p1Pp/3p1p1P/2nP1P2/1kPK4/4R3/2r5 w - -,e2e6
r1nq1rk1/pb5p/3p1bp1/1p1Pp3/6P1/4B2P/PP1QNPB1/2R2RK1 b - -,c8b6
5bk1/7q/1Bp1p1p1/2Pb1pP1/3P1P2/4P1K1/4BQ2/8 b - -,h7h1
1rbqk2r/2p2pp1/2np1n1p/1pb1p3/4P3/1BPP1N2/1P1N1PPP/R1BQ1RK1 b k -,e8g8
8/8/8/5p2/7p/4K1k1/5r2/7R b - -,f5f4
4r1k1/p1p2rb1/1p1p3p/6p1/2P5/1P4B1/P1Nn2bP/2RR3K w - -,h1g2
2rq1bk1/5p2/pRp1p2p/2PpP1p1/Q2P1P1P/2NK2P1/P7/8 w - -,h4g5
5rk1/5ppp/3p4/2qPp3/1p2P1PP/r3P3/P2Q4/R3K2R b KQ -,a3e3
8/1r3pbk/1P4pp/2p1p3/4P3/1Q2B2P/3NqPP1/6K1 b - -,e2e1
r3rqk1/1p1b1p1p/p1n3p1/3p1p2/3P1P1Q/2PB1R2/PPN3PP/R5K1 b - -,f8e7
5rk1/r2b1ppp/1p2pq2/2p5/P1P1B3/8/1P1P1PPP/R1Q2RK1 b - -,a7a4
r2qr1k1/1b1p1pbp/n4np1/2pP4/P1B5/2N2N2/1P3PPP/R1BQK2R w KQ -,c1e3
2r1r1k1/1q3ppp/p1p5/3p1b2/3QN3/1P2P1P1/P4PBP/2RR2K1 b - -,f5e4
8/8/2p2N2/8/1n1k2P1/4pK2/8/8 b - -,d4d3
8/3r1pk1/8/5P2/R2PPK2/8/8/8 b - -,f7f6
1r4k1/3n1ppp/1prPp1b1/P3P3/1R1B4/1R3P2/3N3P/6K1 b - -,f7f6
8/7R/2r1k1p1/4B3/3p1PKP/3r4/7P/8 b - -,c6c2
4r1k1/1pq3p1/p1p1pp1p/2P5/4P2P/1P1Q2P1/P4PK1/3R4 w - -,d3d7
rnbqk2r/pp3ppp/2p1p3/3n4/1bBP4/2N2Q2/PPP2PPP/R1B1K1NR w KQkq -,c1d2
1k4br/pp2n3/3r2p1/q1b5/2p1pPBN/2P1P1P1/PPQ5/1K1R3R w - -,d1d6
4N3/2R1kp1p/P5p1/8/4P3/2p2P2/3bK1PP/r2n4 b - -,e7e8
2rqr1k1/pp1b1p1p/5bp1/3p4/N2N1PP1/3BP2P/PP3Q2/1K1R3R b - -,d7a4
2r3k1/4b1p1/3pbp2/7p/2PB3P/4P1P1/3N1P2/2R2K2 b - -,e7d8
rr4k1/1q2bp1p/1n4p1/pQp1R3/3pPB2/P2P2PB/1P5P/5RK1 w - -,e5c5
1r2r1k1/1pqb1pbp/p5p1/2P1n3/4Q3/5NBP/PP2BPP1/R4RK1 w - -,e4b4
2r1k2r/1pq1bppp/p1Nppn2/8/P1P1P3/2N5/1P2QPPP/R1BR2K1 b k -,c7c6
8/8/5k1p/8/rNb1PKPP/5B2/8/8 w - -,b4c6
r1bqk2r/pp1p2pp/2n1p3/4Pp2/1bP2n2/4QN2/PP1N1PPP/R1B1KB1R b KQkq -,f4g6
8/3B4/8/p1kNK3/4p3/3bP3/1n6/8 w - -,d5c3
r1b2rk1/4b1pp/p3p3/3pPp2/1q1P1Q1P/1n1B1NR1/1P2NPP1/3R1K2 b - -,g8h8
r4rk1/3nppbp/pq1p1np1/2pP4/P3P1b1/2N2N2/1P2BPPP/R1BQ1RK1 w - -,a4a5
4k3/p2r4/bp3Qp1/3q1p2/8/1P1n2P1/PB3P1P/3R2K1 w - -,b2a3
1r1q1rk1/1b1nppbp/pp1p2p1/2pN2B1/2P1P3/1P1P1BPP/P2Q1P2/4RRK1 b - -,d7e5
r1b1k2r/1pqpbppp/p1n1pn2/6B1/3NP3/2N5/PPP1BPPP/R2Q1RK1 w kq -,d1d2
1b6/1K6/2P4p/2N2pp1/8/6P1/3k1P1P/8 b - -,b8d6
r1bq1rk1/pp3ppp/8/2npN3/8/P3P3/1P2BPPP/R2QK2R b KQ -,f8e8
6k1/6p1/2nrp2p/pq3p2/7Q/R3BN1P/5PP1/1rR3K1 w - -,a3a1
4r3/pp1b1kn1/2p2p2/3pr2p/1P1N1N2/2P3PP/P4PK1/R2R4 b - -,e5e4
1k1rrn2/pp2q3/7p/b1pRB1p1/2P1PpP1/5N2/P1P1QP1P/1K2R3 b - -,b8a8
5k2/p2n2p1/1pp1p1Bp/4P3/n1P4B/P4P1P/2PK4/8 w - -,f3f4
5nk1/3r2pp/1q1p4/1b1Pp1P1/4N3/Q5P1/5PB1/1R4K1 b - -,b6a6
r5k1/1p5p/pn1b1q2/2pPp3/2P1N1p1/P7/3Q1r1P/R1RB3K b - -,f2f1
2r1nrk1/1pq1n1pp/p2pPp2/4p3/2P1P3/1PN4P/P2QB1P1/3R1R1K w - -,c3d5
3r1k2/p4ppp/1pB2b2/2p5/2P4P/4P1P1/P3KP2/3R4 b - -,d8d1
2r5/2P2qbk/3B2pp/p7/P4Nb1/3Q4/5P1P/2R3K1 w - -,c1e1
8/8/2p5/3p1k2/3P4/1pQ3p1/p5K1/8 w - -,g2g3
2r2r2/p5k1/2npq2p/4pPp1/4P3/2NPQ2N/1P5P/R6K b - -,e6f7
r1bqkb1r/1p3ppp/p3pn2/8/2BN4/8/PPP2PPP/R1BQR1K1 b kq -,f8e7
6r1/1R4bk/5pp1/3Q3p/3P3P/4B1P1/5P1K/3q4 b - -,d1e2
3r2k1/p2r3p/2b1q1p1/1p1p1p2/1PpR3P/2Q1PBP1/P2R1PK1/8 b - -,d7d6
r1bq1rk1/1pbn1ppp/p1p2n2/2P5/3pP3/2NB1N2/P1QB1PPP/R4RK1 w - -,c3e2
r2q1rk1/1ppbnppp/1pnp4/1B6/3NPP2/2P5/PP4PP/R1BQ1RK1 b - -,e7g6
r2r2k1/pbq1bpp1/1pp2n1p/4pP1P/4P1PB/1PN2Q2/1PP1N3/R3K2R b KQ -,f6h7
r4rk1/ppq1bppb/4p2p/3p4/P2PnP1N/2P1B1PB/1P5P/R2QR1K1 w - -,h4f3
