8/2R5/5kp1/P4n1p/8/1r5P/8/5K2 w - h6,a5a6
2r2bk1/5p1p/2p1b1p1/rp2P3/4B3/1P6/P1R1NPPP/5RK1 b - -,b5b4
r4b1r/1p1b1kp1/p2ppn2/4n1Bp/3NP2P/2N2P1B/PPP5/2KR3R b - -,f6h7
3r2k1/7p/8/5p2/1pb2P2/2n1pB2/4P2P/2N2R1K w - -,h2h4
8/5pkp/3Qp1p1/8/4P3/3B3P/bq3PPK/2r5 b - -,b2f2
1r1q1rk1/R2bbpp1/3p1n1p/1p2p3/1P2P3/2NQB3/2PN1PPP/5RK1 b - -,d8c8
3r2k1/2P5/4pPp1/1P5p/1K1p4/4p3/8/3R4 b - -,d8c8
8/8/k1p2p2/2Pp2p1/3P2P1/P4PN1/4K1b1/8 b - -,a6b5
8/6k1/3R4/3pK3/8/8/8/3r4 b - -,d5d4
r4rk1/pbp1n1pp/1pq2p2/3pP3/5P2/P1P1B3/P3B1PP/R2Q1RK1 w - -,e5f6
r2qk2r/1b2bpp1/ppnp1n1p/2p1pP2/4P3/2NP2PN/PPP3BP/R1BQ1RK1 w kq -,h3f2
8/7r/8/5p2/4kB2/2n4P/3R3K/8 w - -,f4g5
1r1qr1k1/3b1pb1/p2p1np1/nppPp2p/2P1P3/1PN3PP/PBQN1PB1/1R3RK1 w - h6,c3e2
4r1k1/1p4b1/rPp1bqn1/p1Pp1ppp/N2P4/PNQ2PP1/6BP/3RR1K1 w - -,g2f1
r3k3/2pn1q2/ppbp3p/3P2pB/P3P1Q1/2N3bP/1PP5/6K1 w q -,g4e6
r2qkb1r/1p3ppp/2p2n2/p2pP3/8/P1N1P2P/1P2QPP1/R1B1K2R b KQkq -,f6d7
4r1k1/p5bp/n2Pbpp1/8/1qP2P2/1P2B1PP/P1Q3B1/5RK1 b - -,b4d6
2rqrbk1/pp3ppp/1n3n2/3P4/1P2p3/P1N1P1P1/1B1NQPKP/R2R4 b - -,a7a6
rnbq1rk1/pp3pbp/3p2p1/2pPp3/2P1PB2/P1N5/1P2BPPP/R2QNRK1 b - -,e5f4
7r/2Bp1kp1/p1bPpp2/1r6/2p4p/1P3P1P/P1P3P1/3RR1K1 b - -,h8h5
r1bq1rk1/2p2pbp/p1nppnp1/1p6/3PP3/2N1BN1P/PPP1BPP1/R1Q2RK1 w - b6,a2a3
r1bq1rk1/1p3pbp/p1n1p1p1/8/P1pP1B2/2N2N2/1PPQ1PPP/R2R2K1 b - -,d8a5
Q1nq4/8/2p1p1kP/3p2p1/Nr1P4/bP2B3/P1P5/1K4R1 w - -,e3g5
2kr1b1r/pp2pppp/2n5/3q4/3P2n1/P3BN2/1P2BPPP/1R1QK2R w K -,e1g1
2k2r2/pp1b1ppr/2n1p1n1/3pP1N1/q1pP2Bp/P1P3P1/1QPB1PKP/4R2R b - -,h7h8
rn3rk1/1bq1bppp/p2ppn2/1p6/3NPPP1/2N1BB2/PPPQ3P/R3K2R w KQ -,a2a3
r4rk1/5pbp/2Pp2p1/pNn5/P1q1PP2/3p2P1/6BP/1R1Q1RK1 w - -,b1c1
r4rk1/1q1n1pbp/3p2p1/p2Pp3/1n2P3/2N1BN1P/1P2QPP1/R1R3K1 b - -,f7f5
N2k4/8/2p5/ppK2pp1/7p/1P5P/6P1/8 w - -,a8b6
1r6/pp1bk1p1/1n6/4PP2/3N2P1/8/PP5P/R3R1K1 w - -,g4g5
8/6pk/1p2p2p/p2n1p2/2QP3P/1P2BqP1/5P2/6K1 w - -,e3c1
r2qr1k1/pp1n1ppp/2p1pn2/3p4/1bPP4/P1NBPQ1P/1P3PP1/R1BR2K1 b - -,b4c3
r1bqk2r/pp1n1pp1/2p1p2p/3p4/1b1P1n2/2N1PP2/PPPQN1PP/2KR1B1R w kq -,e2f4
r1bqr1k1/ppp3bp/1n3pp1/4p1B1/3nN3/3P1NP1/PP2PPBP/2RQ1RK1 w - -,g5e3
r2r2k1/1b2qpp1/p1n1pb1p/1p1p4/1P1N4/P1N1P1PP/2P2PB1/1R1Q1RK1 w - -,d4c6
rnbq3r/pp3pk1/2p1pnp1/2Ppb2p/3P3P/2NBP3/PPQB1PP1/2K3RR w - -,d4e5
q4rk1/3nbppp/2bp1n2/1p2pP2/4P3/1PNRB1PP/2P1N1B1/3Q2K1 w - -,c3d5
5k2/5pp1/4p1p1/4P1P1/6PP/2nr2B1/4p1K1/4R3 b - -,d3d4
8/8/1p2r1pK/k1p5/p1P2P1P/R1P5/7P/8 b - -,e6e4
r1b2rk1/pp2ppb1/2n3pp/q7/2BPP2P/4B3/P2QNPP1/R3K2R w KQ -,a1b1
4r1k1/1pp1r1p1/p2bpn1p/6B1/2PN4/7P/PP3PP1/R3R1K1 w - -,g5d2
6k1/p3qr1p/1n4p1/1Q2pb2/4N3/1P6/P4PPP/3R1RK1 b - -,f5e4
1r4k1/3N1ppp/5b2/1p2p3/8/6P1/1PP2PbP/5RK1 w - -,d7b8
r2q2k1/1bp3pp/1p1pn3/3Np3/p1P1P3/P3P1P1/1P4BP/3Q1R1K b - -,e6c5
3rR3/p4Pkp/5bp1/3Q4/1P3P2/2r5/P5PP/6K1 b - -,c3c1
2r5/1p2qpk1/p2p1b1p/P2PpP1Q/3pN2P/3P2P1/1Pr2R1K/5R2 b - -,c8c7
2rr2k1/p4pp1/1p2p3/1b4Pp/4P2P/2B2P2/PP1R4/1K1R4 b - -,d8e8
1rq2nk1/p3bppp/2p1p3/1rP1P3/2pB1P2/3NQ2P/PP4P1/1KR4R w - -,c1c4
4k2r/1p2pp2/2n1b1p1/pQq4p/P7/1PP3PP/5PB1/2R1K2R b Kk -,c5b5
r1b1r3/6k1/p2Pq1p1/2p1np1p/1pP1p3/1P4QP/P1B3PN/3R1RK1 b - -,c8b7
rn2k2r/p3b1pp/3pp3/q1p5/4n3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,e1g1
2r3k1/1R3p2/2n1b1p1/p1B4p/1P2BP2/6P1/5K1P/8 w - -,b7b6
rnb2rk1/p3nppp/1qp1p3/1p2P3/P1pP4/2N2N2/1P3PPP/R2QKB1R w KQ -,c3e4
r3k2r/pp1bppbp/n4np1/3P4/3P4/1BN2N2/PP3PPP/R1B1K2R b KQkq d3,e8g8
8/5pk1/5bp1/7p/2NpQ2P/1P1R2K1/5PP1/6rq b - -,f6h4
8/1B6/3p4/p1p1k1p1/2Pb2P1/7P/P3K3/8 b - -,e5f4
8/8/3p4/2pPpQ2/2P1P3/6q1/4K3/6k1 w - -,f5f1
r2q1rk1/1p1nbpp1/2p1pnp1/4N3/p1PP4/1P4N1/PB3PPP/R2Q1RK1 w - -,d1c2
4r3/8/p3q1k1/R2p1ppp/1BpPn3/2P1P3/4Q1PP/6K1 w - -,g2g3
1rb2rk1/6pp/2nq1b2/Nppnpp2/8/2PP1NP1/1PQ2PBP/R1B1R1K1 b - -,c6a5
r3k2r/pp3p2/2n2n2/5PB1/2pP3p/P1P5/4q2P/R3KB1R w KQkq -,f1e2
8/1p3pp1/4k2p/1KP5/8/6P1/5P1P/8 w - -,b5b6
r2q1rk1/pp3pbp/2pn2p1/4n3/4PB2/1BN2Q1P/PP3PP1/R2R2K1 w - -,f3g3
1r4k1/8/3b2pp/pB1P1p2/P2N4/1P4PP/6K1/8 w - -,d4f3
rn1q1rk1/pb2ppbp/1p1p1np1/2p5/2P5/NP3NP1/PB1PPPBP/R2Q1RK1 w - -,d2d3
r1b2rk1/ppp3p1/2nb1q1p/3p4/3Pp3/2P3NN/PP3PPP/R1BQ1RK1 w - -,c1e3
2rr2k1/5p1p/pp2p1p1/2n5/2BBb2P/PP2P3/1K3P2/2R3R1 w - -,a3a4
2r1r1k1/3bqppp/1bp2nn1/1P1pp3/8/2NPP1PP/1BQN1PB1/2R1R1K1 w - -,b5c6
8/2q1bpkp/6p1/p7/4QP2/1Bp1P3/P4PKP/8 b - -,e7f6
r1b2rk1/pp3ppp/2n5/4p2q/4Q3/P3bNP1/1P2PPBP/R4RK1 w - -,e4e3
8/p4n1p/4k1p1/8/4K3/P3N3/1P4PP/8 w - -,h2h4
r1bq1rk1/3n1pbp/p2p2p1/1p1P4/5N2/3BB2P/PPP3P1/R2Q1RK1 w - -,c2c3
r1bqk2r/pp2bppp/2P2n2/8/2Pp1N2/P2B1P2/4KP1P/R1BQ3R b kq -,b7c6
3qr1k1/1p1r1b2/1pp3p1/4bpP1/7N/P1PP1pQ1/1P6/3RRBK1 w - -,e1e5
3r2k1/pp3pp1/6p1/8/1r1nN1PP/1P2R2K/5P2/2R5 w - -,c1d1
1r1r2k1/p3bppp/2p1bn2/q2p2B1/N1pP4/1P4P1/P1Q1PPBP/R4RK1 w - -,f1d1
r4rk1/1n1q1pp1/pn1p4/1ppPp1p1/4P1P1/1PP5/PBB1QPP1/R3R1K1 w - -,c3c4
6k1/5ppp/8/4N3/4n3/8/5PPP/5K2 b - -,f7f6
8/p2R4/8/P6k/1P3P2/r7/3K1b2/8 w - -,d2e2
1n1r1bk1/2q2p1p/p3p1p1/4P3/1pPpQP2/1P1N4/3B2PP/R6K b - -,a6a5
8/p1R3kp/3r1pp1/P7/7P/R2nrNPK/8/8 b - -,g7h6
8/1pr5/p4bk1/3r1p2/3P2p1/1PBR2P1/P4K2/3R4 w - -,f2e2
r1bq1rk1/1p2np1p/p3p1p1/2pp4/3bPP2/1B1P4/PPP3PP/R1BNQR1K b - -,b7b5
1br1r1k1/5ppn/1pqp4/p1n1pN1p/2P1P3/PQ3P2/5BPP/1R1B1R1K w - -,b3b6
1rb2rk1/2R1Rp1p/6p1/1p1P4/8/6PP/5PB1/6K1 w - -,e7e3
r4rk1/pb3p2/npqP2p1/4p1b1/1PP1P1B1/2N3N1/6PP/1R1Q1RK1 w - -,b4b5
2kr2nr/ppp3pp/5p2/3q4/Q4P2/4B3/PP3PPb/3RKB1R b K -,d5f5
4k2r/1r4p1/3P1p2/6p1/6P1/2B2P2/1P2K3/8 b k -,e8d7
r3k3/pppbq2p/4p2R/3pPp2/5B2/3PPN2/PP2KPP1/7R w - -,f3g5
6k1/5ppp/6n1/1N1Qp3/8/3P1NPP/1Br2q2/6bK w - -,b5d6
2rrbbk1/2q2ppp/p1npp3/1p4PP/1P2PP2/P1NBB3/1P4Q1/1K1R2R1 w - -,g1h1
2r2rk1/5pbp/p7/3b2P1/4p2P/4B3/PP1N1P2/1R3RK1 b - -,c8c2
r2qk2r/pp1bppbp/2np1np1/8/3NP3/2N1BP2/PPPQB1PP/R3K2R b KQkq -,e8g8:a8c8
r2q1rk1/1p2np1p/p2pb1p1/3Np1b1/2B1P3/2P1N3/PP3PPP/R2Q1RK1 b - -,g8g7
r1bq1rk1/pppn1pb1/5npp/4p3/2P1P3/2N1B3/PP1NBPPP/R2Q1RK1 b - -,c7c6
5n2/6k1/2K1p3/R5P1/4B3/8/8/5r2 b - -,f1f4
4r1k1/3n2bp/p1pr2p1/Pp1p4/1P1P2P1/3BP3/4NP2/1RR3K1 w - -,g1g2
4B3/p5pp/3kpp2/1Pn5/3K1P2/6P1/7P/8 b - -,c5d7
8/8/8/5P2/8/6Pk/1r5P/R5K1 w - -,f5f6
5n2/7p/1pk3pP/p1p2pP1/N1P2P2/PP2K3/8/8 w - -,a4b2
1q3r1k/3bb2p/3p2p1/3Pp3/1pN1P1P1/1P2B1K1/R2Q3P/8 w - -,c4b6
rn6/p3kp2/1pp3p1/2b2pP1/P1B1R3/2P4P/5P2/2BR2K1 b - -,f5e4
rnbq1rk1/pp2ppbp/6p1/6B1/3PP3/8/P4PPP/2RQKBNR w K -,d4d5
1n4rk/R4Rpp/2q1p3/2b1P3/3Q4/1PN5/6PP/7K w - -,f7g7
rn2kbnr/pp3ppp/2p3b1/4q3/8/2P3NN/PP3PPP/R1BQKB1R w KQkq -,f1e2
r1q2rk1/4bppp/p3pn2/1Pp1N3/3P1B2/1Q4P1/4PPbP/R4RK1 w - -,g1g2
r2qr1k1/pp1n1ppp/b1p5/2bnP3/5P1N/1PN2RPP/P5BK/R1BQ4 w - -,c3d5
r1b1k2r/p4pb1/2npp1pp/qpp5/4P3/2PPBNP1/PP2QPBP/1K1R3R w kq b6,e4e5
4rrk1/p3qpbp/1pn3p1/2pN1b2/3Pn3/2PBPQ2/PP4RP/R1B2NK1 b - -,e7d6
r1b2rk1/pp2nppp/2p2n2/8/4pB1N/qBPP4/P1P3PP/R3QRK1 w - -,d3e4
r1bq1rk1/pp2ppbp/2n2np1/2pp2B1/3P4/2PBPN2/PP3PPP/RN1QK2R w KQ -,b1d2
5r2/p1R3p1/Bp2k2p/n3p3/bN2P3/5P2/P2r2PP/4R1K1 b - -,f8f7
r3k2r/pp1nbpp1/2p1p1p1/3N4/3P4/1P2P1P1/1P1B1P1P/R3KB1R b KQkq -,e6d5
2r2qk1/pb2b1pp/1p2p3/3pN3/3Pn3/PP1B4/2P1Q1PP/1NR3K1 w - -,c1f1
2rr2k1/p4p1p/1pBnp1p1/1P6/3P4/P4P2/R4P2/3R2K1 b - -,d6f5
8/6kp/3pp1p1/R7/P6P/6P1/5PK1/r7 b - -,h7h5
r1b2rk1/pp1nbppp/1qn1p3/3pP3/8/PNN5/1PPBQPPP/2KR1B1R w - -,f2f4
5bk1/p1q2p2/1p1p2pp/2pRr3/4PP2/2P3P1/PP4BP/3Q2K1 b - f3,e5d5
r2q1k2/2p2p2/3p1npr/pbpPp2p/2P1P3/7P/PPQ1BPP1/2KR3R w - -,c4b5
6r1/3k1p2/1p1pp3/p3q3/P1PRBQ2/1P2P1P1/8/6K1 b - -,g8g3
2r1r1k1/ppq1bppp/1npp1n2/3Pp3/2P1P1b1/2N1BN1P/PP3PP1/2RQRBK1 b - -,g4d7
r4rk1/4bppp/p4n2/R2pqB2/1n6/1N2B2Q/1PP3PP/5RK1 b - -,g7g6
1rb1r1k1/2qnbppp/p1ppp3/P7/N3P3/1P2B1P1/2P1QPBP/R4RK1 b - -,c6c5
5kr1/p1pp1p1Q/1p3P2/8/2K2P2/4rN2/PB5P/8 b - -,e3f3
5r1k/pp1q2p1/3b1r1p/3p4/2p5/P2Q1N1R/1PP2PPP/5RK1 w - -,d3d4
2b1k2r/5pp1/1p2pn2/nq5p/p1p5/B1Q3PP/P2NPPB1/5RK1 w k -,f1b1
6k1/5pp1/7p/1B1p4/n7/2bPP1P1/5P1P/4B1K1 b - -,c3e1
r1b2rk1/pp1q4/1P1p1bn1/2pNpp1p/2P3p1/3P2P1/P3PPBP/1RQ1NRK1 b - -,a7a6
r4rk1/p2nbppb/2q1p2p/1p1pB3/2pPP3/2P2P2/PP1NB1PP/R3QRK1 w - -,e5f4
r2q1rk1/2p2ppp/3b4/p1nQp3/8/P1N1P3/1P1P1PPP/R1B2RK1 b - -,e5e4
rn1qk2r/pp3pp1/2p1bn1p/2b5/Q7/2N2NP1/PP2PPBP/R1B1K2R w KQkq -,e1g1
2br4/p4pbk/5p2/3B1Pp1/PPP4p/2N1r3/6PP/R4R1K w - -,c3b5
3k4/2n1bB2/1BP3p1/4P3/4K3/8/8/8 w - -,f7g6
rn1q1rk1/p1pp1pp1/bp2pn1p/8/2PP3B/P1Q1P3/1P3PPP/R3KBNR b KQ -,d7d6
3r2bQ/2p2kP1/5p2/p3p1p1/7r/R1P1KP2/4P3/8 w - -,a3a5
r1b1r1k1/pp2ppbp/1qpn2p1/8/3P4/2PB1N1P/PP3PP1/R1BQR1K1 w - -,c1f4
r2q1rk1/pb1p1ppp/1pn1pn2/b1p5/2PP1N2/P1NBP3/1P1B1PPP/1R1QK2R b K -,c5d4
3r1rk1/pp3ppp/8/3p1Q2/1b1P4/2N1R3/Pq3PPP/4R1K1 w - -,c3d5
4k2r/1p1bb1pp/pR3P2/4p3/4p3/2r1B3/P1P1B2P/4K2R w Kk -,f6g7
2rr2k1/p2n1pb1/7p/4p1Q1/PpP1P2P/1P4PB/5P2/6K1 w - -,g5d2
1r6/4bk2/5r2/p1pB1R2/1p3P1P/2P3PK/1P6/2R5 b - -,f7g6
8/pp1nk2p/8/2pp1b2/7P/2PPKP2/P3B3/6B1 w - -,g1h2
r1qr1bk1/pb3pp1/1p1p3p/nNp4Q/5P1N/P5P1/1P1R1PBP/3R2K1 w - -,b5d6
r1bq1rk1/pppnppb1/6pp/3n4/2PP4/1N3N2/PP1B1PPP/R2QKB1R b KQ c3,d5b6
8/7p/1p1k2p1/p1b3P1/P5qP/2N1n1P1/2P3QK/8 w - -,c3b5
rr4k1/p2nb1pp/2p1b3/2pqpp2/4N3/3PB1P1/PPQNPP1P/R1R3K1 w - f6,e4c3
8/2p1r1k1/1p1p2p1/1P1P1q1p/2QPpP1P/4R1P1/6K1/8 b - -,g7h7
2krr3/pp4pp/2n2p2/8/8/5N2/PP4PP/2RR1K2 b - -,d8d1
4r1k1/5pB1/2p1p1nQ/1p1pP2R/1qPP3P/5P1B/1K3P2/3R4 w - -,b2c2
3b4/3b4/3p4/1p1Pp3/pP2Pk2/P1N2p2/5B2/4K3 w - -,e1d2
1rbq1rk1/p3bppp/2nppn2/1pp5/4P1P1/2NP3P/PPP1NPB1/R1BQ1RK1 w - b6,e2g3
2r2rk1/5ppp/2n1p3/pB1p4/1b1P1B2/1P2P2P/5PP1/R1R3K1 b - -,c6e7
2r1r1k1/pbq2pbp/1pn3p1/1B1p4/3Pp2Q/BPP4P/P4PPN/R3R1K1 b - -,e8e6
1r2q1k1/2pbrppp/3p2n1/1p1P3B/1P2P3/5Q1P/PB4PK/1R3R2 w - -,f3c3
6rr/1p3pk1/1np1p1p1/p2pPn2/P2P2N1/2PR4/1P4N1/3B1RK1 w - -,g4f6
n1nq1B2/1r5k/pp2B1p1/2p1Q3/2P5/2P4P/6P1/5RK1 w - -,e6f7
2b3k1/1rb5/6P1/3p1pP1/p1pPp3/2P5/1P2BK2/2R4R b - -,f5f4
r2qkb1r/p2n1ppp/1p2p3/2p5/2B1bB2/2P1PN2/PP3PPP/R2QK2R w KQkq -,f3g5
r4rk1/2p1qppp/1pnbbn2/p3p3/P3P2N/1NP3PP/1PQ2PB1/R1B2RK1 b - -,e6c4
r4rk1/pppq1ppp/2npb3/6B1/8/2P5/PPPQ1PPP/2KR1B1R w - -,b2b3
r5k1/5ppp/4p1b1/pN2P3/3B1bP1/7P/P3R3/6K1 b - -,a8c8
8/5pk1/p3b1p1/6P1/1r2P2P/2R2K2/8/R7 b - -,e6c4
rnbq1rk1/ppp1ppbp/5np1/3p4/5P2/5NP1/PPPPP1BP/RNBQ1RK1 w - d6,c2c3:d2d3
r2qkb1r/pp4pp/2p2n2/3p2B1/3Q4/2N5/PPb1BPPP/R3K2R w KQkq -,e2h5
rn1qkb1r/ppp1ppp1/1n6/3pPb1p/3P3P/1B6/PPP1NPP1/RNBQK2R b KQkq -,e7e6
5rk1/ppp1r1b1/3p1qb1/PP1P1np1/2QPppBp/4P2P/R4PPB/2R2NK1 w - -,c4e2
r2qk2r/1bpn1ppp/pp2pn2/8/PbBP4/1PN1PN2/5PPP/R1BQ1RK1 w kq -,c1b2
r1q2rk1/3bbn1p/p1npppp1/1p6/4PB2/P1N2N2/BPPQ1PPP/3RR1K1 w - b6,e1e3
1r2k2r/2qbb1pp/p2ppp1n/1p6/3QP3/1NN3B1/PPP2PPP/3R1RK1 b k -,h6f7
r2q1rk1/2p2ppp/p1Q5/1p1BP2b/3P4/4Rp2/PP3PPP/R5K1 b - -,a8b8
4nk2/p3rpp1/4p3/4P2P/4BR2/4R3/1rP2PPK/8 b - -,b2b4
q5k1/2p3p1/1p1pp2p/1P3p2/2PPbPn1/1Q2P3/rB1NK1PP/5R2 b - -,e4g2
2b1rnk1/2q2p2/p3p1pp/1p1pP1PP/3N1P2/3BP1Q1/PP6/5RK1 b - -,c7e7
6k1/p2n1ppp/4p1b1/2n5/2P1N3/3pR1PP/Pr3PB1/3R2K1 b - -,f7f6
3r2k1/5r1p/qp1P2p1/2P1b3/2Rp1p2/1Q1PpP2/1B4PP/1R4K1 w - -,c4a4
r1b2rk1/ppn2pbp/6p1/2p1p3/3n3N/2NPB1P1/PP2PPBP/R4RK1 w - -,a1c1
r2q2k1/pp2br1B/1n2p3/2n5/2P2PP1/4pN2/PPQ3K1/1R5R b - -,g8f8
1r2k1r1/5B1p/2n2p2/pq2p3/3pP3/P4P2/1PNQ2PP/1K1R3R b - -,e8f7
5bk1/p3q2p/3p1p2/3p1P2/P2PrB2/6PP/1Q3R1K/8 b - -,e7c7
4r1k1/p4pbp/Bp2p1p1/n7/b2PPB2/q2r1NP1/P3QP1P/1R4K1 w - -,a6d3
8/2p5/1p1p4/p2Pn2p/P1P1N1k1/1PK1R1P1/8/6r1 b - -,g1f1
8/4N3/6kb/3Pp3/2K5/5P1p/1R4Pr/8 b - -,g6f7
2r2Bk1/p4p1p/4p1pP/4P1q1/2nP4/P4Q2/2p3P1/2R2R1K b - -,c8f8
8/3R1pk1/p3r1pp/1p6/1Pr1p2P/4P1P1/1R3PK1/8 b - -,e6c6
r5k1/1R1b4/p2N1np1/P1p2p2/2P5/7P/6P1/5R1K b - -,a8d8
r1b2rk1/1pq2pbp/p1p3p1/4p3/P1P1n3/NP2P2P/1B1PB1P1/R2Q1RK1 w - -,e2f3
