8/R4pkp/8/6Pp/1p3PK1/pr6/8/8 w - -,g4h5
r2r2k1/p1q2pp1/1p2pn1p/PR2N3/2PP4/8/3Q1PPP/4R1K1 b - -,c7d6
1NQ5/6bk/7q/3Pr3/4P3/3P3p/7P/4R2K b - e3,h6h5
1r3k2/1rq4p/1pnp2p1/5p2/P1b2P2/2P3N1/1R1Q1BPP/1R4K1 w - -,g3f1
2rqr1k1/1p1nbppp/p2pbn2/4p3/P3P3/1PN3PP/2P1NPB1/R1BQ1RK1 w - -,c1e3
rnbqk1nr/pp2ppbp/2p3p1/3pP3/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq -,b8d7
3rk2r/ppqnbpp1/2p1pN1p/7P/3P4/3Q1N2/PPPB1PP1/1K1R3R b k -,d7f6
3r2k1/p2q1rb1/4n1p1/4pp1p/1Q2P3/2N2PPP/P5K1/1RB2R2 b - -,d7d3
r5k1/6bp/2q1ppp1/2pb4/8/2B2N1P/1PP1QPP1/3R2K1 b - -,a8a4
2r3k1/ppn3b1/2p4p/4Ppp1/NP2P3/Pb3PP1/5B1P/3R1BK1 w - -,d1d7
2r2rk1/pb1nqpp1/2pb3p/1p2p3/1P1PB3/1Q2PN2/P2B1PPP/2R1R1K1 b - -,g8h8
3r2k1/5p2/pq4p1/np2b2p/3N2Q1/1P5P/PB3PP1/3R2K1 w - h6,g4e2
r1r3k1/3n1pp1/8/3qp1B1/p2b4/5PP1/PP2QNKP/1R3R2 w - -,b2b3
4r1k1/pp4p1/5p1p/q1nP1NPP/2PQ2N1/Pp6/1P4P1/1K1R4 b - -,e8e4
2k5/ppp3pp/8/5p2/1P3P2/P7/3K4/8 b - -,h7h6
3R4/k1r4p/4Bp2/ppq1pN2/4b3/P3Q3/1K3PPP/8 b - -,e4g2
1n1r1rk1/5ppp/2p1qN2/Rp6/1P1P1p2/2P2N1P/4QPP1/4R1K1 b - -,e6f6
8/R5p1/4B1kp/3P1p2/2P5/6P1/1r3n1P/6K1 w - -,d5d6
r3r1k1/pp3pbp/1q1pbnp1/2p5/2PnPB2/2N2N2/PP1QBPPP/2RR2K1 b - -,e6g4
r2r1k2/p3ppbp/2p1b1pn/4P1B1/4N3/5N1P/P4PP1/2R1R1K1 w - -,c1c6
r3r1k1/p2q1b1p/1pp3p1/4Rp2/3p1Q1P/3P2P1/PPP2PB1/4R2K b - -,e8e5
rnbqkb1r/pp3ppp/4p3/3pPn2/1p1P4/P4N2/2P2PPP/RNBQKB1R w KQkq -,a3b4
3rk2r/1pB1p1bp/p4pp1/3b4/1N1n2B1/8/PP3PPP/R1R3K1 b k -,e8f7
2rq1rk1/pb2ppbp/1p1pn1p1/8/1PP1P3/2N1BP2/P2QB1PP/2R2R1K w - -,f1d1
2q2k2/Q3p2p/1p3r2/3pNb2/3P4/4R2P/5PP1/6K1 w - -,e5g4
3r4/2p2kb1/1p2np2/p5p1/PP4Q1/4PNBP/2q2PPK/1R6 w - -,b1e1
rnbr2k1/p5bp/3p1pp1/qN1Pp3/Pp6/6P1/1P1B1PBP/R2Q1RK1 w - -,d1c2
1rb1k2r/p3pp1p/2pP2pQ/3N4/1q1P4/1P3P2/2P1N1PP/2KR3R b k -,b4a3
q3r1k1/p2b2bp/2p2pp1/3pp3/Q2P1BP1/2P4P/PP3P2/R3R1K1 w - e6,d4e5
5k2/R4p2/6p1/4P3/5PPK/8/4r3/8 b - -,e2e1
r1br2k1/pp3ppp/8/4q3/3pp3/4P3/PPP1B1PP/R3QRK1 w - -,e2c4
8/p3nq1k/2pp2p1/2p3Qp/4PN2/3P4/PPP4P/6K1 w - -,e4e5
r1r2bk1/5pp1/1n2q2p/2ppP3/p7/3Q1N2/PPR2PPP/2B1R1K1 w - -,f3h4
1n1k1r2/1b1p1p2/1p6/rp1PR2p/2p1N2P/8/PP2PP2/R3KB2 w Q -,e4d6
4r3/1p2ppkp/pq1p2p1/2r5/P1P1PPn1/1PN5/2Q3PP/4RR1K w - -,c2d1
8/1B6/p4k2/1bP3pp/3K3P/6P1/8/8 w - -,b7f3
2r2r1k/1p5p/3p2p1/pq2nb1N/3p4/1B1P2Q1/PP1B1PPP/5RK1 w - -,d2h6
r5k1/6bp/4p1p1/3b1p2/2nB4/pP6/R2N1PPP/6K1 w - -,d4g7
8/6k1/1R4pp/3p4/P2r2P1/P4K2/5P2/8 b - -,d4a4
8/4kp2/p3r2p/3p4/2p5/P7/1PPK1R1P/8 w - -,b2b3
2krr3/ppp1qp2/2n5/3p2pp/Qb1P4/2N1PPP1/PP3KP1/2R2B1R w - -,c1e1
2r4r/4kpp1/p3p1p1/1p1bP3/3N4/8/PP3PPP/2R2RK1 w - -,a2a3
8/3rkp2/2pqp3/3r2pp/Q7/8/PP2RP2/1KR5 b - -,d5d1
r2q3r/pppb1k1p/3p1bpQ/2nPpp1P/2P5/6PN/PP2PPB1/R1B1K2R w KQ -,h3g5
r1b1kb1r/1p1q1ppp/p1n1pn2/8/2Bp4/1N3N2/PPP1QPPP/R1B2RK1 w kq -,f1d1:c1g5:a2a4
5r2/3kn3/1p2p1pb/2ppPp1p/5P2/2PP2PP/1PKBBR2/8 w - -,f2f1
8/p5p1/kp3b2/6rp/P4B2/1KP4P/4R1P1/8 b - -,g5c5
8/5k2/3R1Bp1/6P1/1pP4P/3n1K1r/5P2/8 w - -,f3e2
r1b2br1/1pnn1q1k/2pp1ppp/p3p3/2PPP3/1PN1BNPP/P2QRPB1/3R2K1 w - -,f3h4
8/7k/1p1R4/p5P1/3p3K/7P/P3r3/8 w - -,a2a4
1r1qk2r/p3ppbp/b1np1np1/2pN1P2/1p2P3/3P1NP1/PPP3BP/R1BQ1RK1 w k -,d5f6
rB3k1r/1b1p1pN1/p1q1p3/1p5p/6n1/2PB2Q1/P1P2PPP/R3R1K1 b - -,f8g7
1r3rk1/R4pbp/2pN2p1/4p3/8/1n4P1/1BR1PPBP/6K1 b - -,c6c5
rn1qk2r/pbppb1pp/1p2pn2/3P1p2/2P5/P1N3P1/1P2PPBP/R1BQK1NR b KQkq -,e8g8
2r3k1/R2n1p2/4pnp1/7p/2pP4/2N1P1P1/1r2BP1P/2R2K2 b - -,d7b6
r3k2r/pp2nppp/4pn2/3q4/8/1P3N2/P1PNQPPP/R4RK1 b kq -,e8g8
8/1nRrk1p1/pr2pp1p/3b4/P2P4/3B1P2/1P4P1/K1R1B3 b - -,b7d8
3r2k1/5p1p/B5p1/8/n2pPP2/1b4P1/5K1P/3R4 w - -,d1d2
8/8/5p1k/3N1P1p/7P/r3KRP1/2b5/8 w - -,e3f2
r2qkb1r/p2p1ppp/2n1p3/2p1P3/2P1b3/2Q2NP1/PP3PBP/R1B2RK1 b kq -,e4f3
r1b2rk1/2q1bppp/p1nppn2/1p6/4P1P1/PPN4P/1BP1NPB1/R2Q1RK1 b - -,c8b7
2r1r1k1/p7/1pn1pbn1/3p3p/3P2pP/1N4P1/PP1BNP2/2R1R1K1 b - -,e6e5
5k2/2R2p2/2BKp1p1/3p3p/5P1P/6P1/1r6/8 b - f3,b2g2
r3r1k1/4pnbp/2Pp2p1/5pP1/qB3P2/1Q6/Pn2B2P/1NR1R2K b - -,a4a2
2r5/4kppp/pnrRp3/np6/2p1N3/2N1PB2/PP3PPP/3R2K1 b - -,b5b4
8/8/8/1pR2pp1/5k1p/KPP2P1P/6r1/8 w - -,c5b5
r4rk1/1p4bp/p2p2p1/5bP1/8/5B1P/PPP3K1/R1B4R b - -,f5c2
1r1q1rk1/pn1b1p1p/5npQ/4p3/Np2P3/1B3P2/PPP1N1PP/2KR3R b - -,d8e8
6rk/1p1q1p1p/3p1PpQ/1b2n3/p2p4/P2P2R1/BPP3PP/R6K b - -,e5g4
r2qkb1r/1pp3pp/p1n1pn2/5b2/2BPpB2/2N5/PPPQ2PP/2KR2NR w kq -,h2h3
1r5k/1bQ5/p2p2p1/2pPp3/2P1P3/1P3R2/3q2K1/3B4 w - -,f3f2
3R4/1r4p1/6R1/2B1pp2/1P2k3/1KP5/8/5r2 w - -,d8e8
r2q1k1r/4pp2/1n1p4/2pP2P1/8/1P4Pb/PBQ3B1/R3R1K1 b - -,h3g2
6k1/5ppp/4p3/4P1PP/4bB2/Kpp1P3/2r2P2/7R w - -,a3b3
r1bqn3/2p1rnbk/1p6/1pPPp1pp/2N1Pp2/R4P2/PB3QPP/2R2B1K w - -,a3a8
1r2br2/pp5k/1npqPpp1/7p/P2N1N2/1P4QP/5PB1/R3R1K1 b - -,d6d4
r1b2rk1/pp3ppp/2np4/6B1/4q1n1/2P2N2/P3BPPP/R2Q1RK1 w - -,f1e1
rnb1kb1r/pp1ppppp/8/q1pP3n/5B2/2P2P2/PP2P1PP/RN1QKBNR w KQkq -,f4c1
r3k2r/3R2p1/p1p1P2p/1pb2p2/4b3/1BP4P/PP4PB/5R1K b kq -,c5e7
8/pp3pp1/1k2p2p/rPrpP3/1R6/2PK1P2/PR4PP/8 b - -,a5a3
8/1p2p1k1/2p1r1p1/2Pp4/5K2/R7/8/3N4 b - -,e6e4
r1b1kb1r/2qn1p2/p3p1p1/6P1/Np1NP3/4Q3/PPP5/2KR1BR1 w kq -,f1h3
1kb2r2/2p5/1p2p1qp/1P2R1p1/2QP4/6P1/5P1P/4R1K1 w - -,e1c1
8/5p1p/3k1p2/2pB4/r3p3/4P1P1/5P1P/5K2 w - -,d5f7
6k1/p4pp1/1p3n1p/3p1P2/2N4Q/p2P2P1/5P1P/2q2BK1 b - -,d5c4
k7/1p6/p7/P7/7p/1PP4Q/1K3q2/8 w - -,b2a3
r1b2rk1/pp1nq1b1/3p2pp/2pPpp2/2P1P3/2N3P1/PP1QNPBP/R4RK1 b - -,f5f4
3r1rk1/1p5p/2bpq3/p3p3/2P2p2/1PN2P2/P2R1QPP/3R2K1 b - -,g8h8
3r4/br2kp2/p4p2/q4B2/2RpP3/1P1R2P1/5P1P/2Q3K1 w - -,f5c8
r7/1bNn1k2/p1p2nqp/1p6/4P3/2NQB3/PPP4P/2KR4 w - -,c7a8
5rk1/1p5p/6p1/2nRp3/2P3B1/7P/6P1/6K1 b - -,b7b6
4r1k1/6b1/3R1p2/2p1n1Q1/1pP1P3/1r4PP/8/5R1K w - -,d6f6
1q4k1/1p1rrbbp/pBp1p1p1/4Pp2/PP2PP2/2Q2BP1/2R4P/4R2K b - -,g6g5
r4rk1/p2pp2p/1p4pQ/2q1n3/2PNP3/1P5P/P5P1/R2R2K1 b - -,f8f6
7n/8/6k1/7p/5K1P/5PN1/8/8 b - -,g6h6
1r3rk1/ppR1p3/3pPbqp/3Q1pp1/8/6P1/P2BPP1P/5RK1 w - -,f1c1
8/1pk5/2pb1n2/7p/p7/3N1BP1/rP2PPK1/2R5 w - -,c1h1
r1bqk2r/pp2np2/3p3p/n1pPpNp1/2P1P3/2PB4/P4PPP/R1BQ1RK1 b kq -,e7f5
2r2rk1/1pqnppbp/p1bp2p1/8/P3PP2/2N1BB2/RPPQ1RPP/6K1 b - -,d7b6
rq2brk1/5p1p/p3pbpP/8/1p2P3/1P2BN2/1PPQN3/1K1R3R w - -,e3c5
5k2/1R3B2/6pp/r4p2/5P2/7P/n5PK/8 w - -,f7g6
4rr2/pp1q3k/3p1bb1/1PpPppBp/2P4P/6PB/P2Q1P2/4RRK1 b - -,d7f7
2rnnrk1/pp5p/3pP1p1/8/2B1pP1q/2P1B2P/P2Q1P2/R3R1K1 b - -,c8c4
8/5pk1/2R4p/r4P1P/4K1P1/8/8/8 b - -,a5a4
r4rk1/pp3ppp/2b1pn2/4P3/1q6/2NB2Q1/PPP3PP/R4R1K b - -,f6h5
8/2r4k/p2q3p/1p3p2/3PpPb1/bP2B1P1/PQ3R1P/1R4K1 w - -,b2a1
5bk1/1p1q3p/p1p2pp1/3n1b2/3P1P2/1P1B2P1/PB1N1Q1P/6K1 w - -,d2e4
r1bqk2r/ppp1ppb1/2np1npp/3P4/4P2B/2N4P/PPPQ1PP1/R3KBNR b KQkq -,c6e5
r6r/pp2nkpp/3b1p2/3p4/3Pb3/5PPB/PB2P2P/R2RN1K1 b - -,e4f5
1r4k1/3npp2/3p3p/2pPb1p1/q1B1P2B/2P4P/1PRN1PP1/4R1K1 w - -,b2b3
1q6/1P5k/1R4p1/3B1p1p/4p2P/p3P1P1/5P2/6K1 w - -,g1g2
2q2rk1/r4pb1/1p4p1/p1p2nNp/PnPp1B1P/3P1NP1/1P1Q1P2/R3R1K1 b - -,f8e8
4nk2/p4pp1/4p1B1/2r1P2P/5R2/1P6/5PPK/8 b - -,e8f6
1r3rk1/p1p3bp/q5p1/2NPpb2/2P5/1Q2B1P1/PP5P/R3R1K1 b - -,b8b3
5r2/p6p/3k2p1/3P1b2/2BK4/P3R3/7P/8 w - -,e3f3
8/5pk1/5R1p/8/6pP/r7/5K2/8 w - -,f6f4
rn1q1rk1/pbp2pp1/1p1ppn1p/6B1/2PP4/P1Q5/1P1NPPPP/R3KB1R w KQ -,g5h4
r1br4/pp3pkp/2pQ2p1/2n3q1/2P1P3/2N3P1/PP3P2/R3RBK1 w - -,d6f4
3r4/6pk/2p2b1p/1pPrp3/1P1p4/3N1R2/5PPP/3R2K1 w - -,d1e1
r4rk1/pp3p1p/2pnq1p1/3p4/3P4/3BP1P1/PPQ1RPP1/5RK1 b - -,a7a5
5rk1/pB2Qp1p/1p4p1/8/1P2P1n1/4q3/6PP/5R1K w - -,h2h3
r2qkbnr/ppp1pppp/8/3PQ3/2B1P1b1/8/PP3PPP/RNB1K2R b KQkq -,g8f6
rnbq1rk1/ppp1ppbp/3p1np1/8/3P4/1P2PN2/P1P1BPPP/RNBQ1RK1 b - -,b8d7:c7c5
5r2/4qN1k/5Rp1/p1p1P3/Pp1p1QP1/1P1P3r/2P5/6K1 b - -,h7g7
6k1/pp1b2pp/2nq1n2/2p2p2/2Pp1N1P/1P1P1NP1/P4PB1/4Q1K1 b - -,h7h6
8/8/7p/6p1/4k1P1/PR5P/r7/6K1 b - -,a2a1
rnbqk2r/ppppbppp/4p3/4P3/3P2Q1/2P5/P1PB1PPP/R3KBNR b KQkq -,e8f8
3rr2k/2q1bp1p/2p1n1pB/pp2p3/4P1Q1/P1N4P/1PPR1PP1/3R3K w - -,g4f3
r1b2r2/2q2pkp/p3p1p1/2pn4/2N5/2PB4/PPQ2PPP/R3R1K1 w - -,g2g3
8/4k3/1R4p1/3n4/p4PP1/1p1K4/8/8 w - -,b6b7
r6r/2k1bpp1/p2pb3/4pn1p/BBP3nP/2NPPNP1/P4P2/1R2K2R w K -,b4a5
8/5p1p/3k4/2R5/4K3/8/7P/8 b - -,d6c5
3r2rk/p7/1p1n1q1p/1P1P1p2/2p1pP2/4P1PQ/P3B3/2R3RK b - -,d8c8
r4rk1/1bp1bpp1/p1n1pn1p/1p1q4/3PN3/3BBN2/PPPQ1PPP/R4RK1 w - -,e4g3
r2q1rk1/1b2bpp1/4p2p/P7/1p1P3P/1Q2PN2/1P1KNPP1/3R3R b - -,a8a5
rn2k2r/pp2ppbp/2p1b3/4N1p1/3P4/5P2/PP1KP1PP/R4BNR w kq -,e2e4
8/1p6/p5k1/5ppp/1P3P2/4K3/PP4PP/8 b - -,h5h4
8/8/2PPb3/p7/Pp3k2/1P4p1/3N3p/7K w - -,h1g2
2br2k1/6p1/p5p1/R7/7K/4r1P1/1PP4P/5R2 b - -,d8d7
4k3/4b3/6p1/1R1p1pNp/2pP1P1P/2P1P3/r3K3/8 w - -,e2d1
8/8/8/5k1p/8/3K3P/8/8 b - -,f5f4
1n2k2r/1B3ppp/2pb4/3q1p2/3Pn3/4PQ1P/P1R2PP1/5RK1 w k -,f1c1
8/4k3/6p1/4p1N1/1p1bn2P/rBp3P1/P1K5/R7 b - -,e4g3
4rrk1/pp1q2bp/3p2p1/2pN4/1PPnPP2/P3B3/5QBP/1R4K1 b - b3,b7b6
r1b2rk1/pp1p1ppp/2n1p3/q1P5/2P5/P4N2/1PQnPPPP/R3KB1R w KQ -,c2d2
3r2k1/5ppp/3qp3/pb4P1/1p2PP2/4B1N1/PP5P/3R2K1 w - -,d1d6
2r2rk1/3n1p1p/3p2p1/p2P2q1/2BQ3P/2R5/PP3RP1/6K1 b - h3,g5e7
b2r1r1k/2q3pp/p2Np3/1p2Pp2/3P1P1Q/P1P1R3/6PP/4R1K1 b - -,d8d7
8/5pp1/5q1k/1p2p2p/7P/3Q2P1/5PK1/8 w - -,d3b5
r1bqk2r/p2pnpbp/2p3p1/4p3/3pP3/2P2N2/PP3PPP/RNBQR1K1 w kq -,c3d4
6k1/p2N1pr1/4p1pp/4Q3/2q5/8/PP3PPP/3R2K1 w - -,e5b8
r3r1k1/p5b1/2p2np1/4p2p/1BP5/1P3P2/R4NPP/3R2K1 w - -,b4c5
r3qr1k/2p3bp/1p1p2p1/p3npB1/2PNb3/4P2P/PP1QBPP1/2RR2K1 w - -,b2b3
r2n2nk/1b1qb1p1/4p2p/2p1PrNQ/3pNP2/6P1/PP4BP/R1B1R1K1 b - f3,e7g5
4R3/5k2/4pp2/3p4/5P2/2P1K3/2r1N3/8 w - -,e8c8
r1bq1rk1/pp2ppbp/2n3p1/1B1pP3/3Pn3/5N2/PP2QPPP/RNB2RK1 w - -,b1c3
8/4kp2/2p1p1p1/7p/3q3P/5QP1/5P2/6K1 w - -,f3c6
2r2rk1/3nbppp/2n1p3/p1ppP2P/3P1B2/2P2NP1/PqN2P2/R2QRK2 w - -,h5h6
4r1k1/5pp1/2NQ4/4p1bp/p3P3/P1R2P2/1PP1q3/1K6 b - -,h5h4
2k5/2p3p1/1p3p2/pPb5/3pr2P/8/P5KN/R1B5 w - -,h2f3
r3rqk1/1b1n1pbp/pp1p1np1/2pP4/P3P1P1/2NB1N1P/1P1QRP1B/R5K1 w - -,a1e1
r3kb1r/pp1n1ppp/2pqpn2/8/2BP4/2N1BP1P/PPPQ1P2/R3K2R w KQkq -,e1c1
1n1r1rk1/1B2qppp/p3p3/1pp1n3/3P4/P1N1B1P1/1P3P1P/R2Q1RK1 w - c6,d1h5
8/1k4N1/5pn1/P6p/8/4K3/8/8 b - -,h5h4
5rk1/p1p2np1/1p4p1/3p1qB1/3P4/P1PPQ3/5PP1/4R1K1 w - -,g5f4
1r3nk1/5pqn/4p1p1/r2p2P1/1bp2P2/2N1BQ2/1P2R1KP/1BR5 w - -,f3f2
5r1r/pp2k1p1/2p1p3/3qPpNp/2nP3P/2P5/P1Q2PP1/2R2RK1 b - -,h8h6
3kr3/1b6/4B3/pPqP3p/P1P2P1P/1Q4p1/8/1K3R2 w - -,b3g3
r5k1/1p2pp1p/3p1np1/3P3P/2PR1QB1/8/5PPK/4q3 w - -,h5g6
6k1/1Q3p1p/1R3qp1/8/P2Pp3/4P3/r1r2PPP/5RK1 b - -,f6f5
rn1qkbnr/pp3ppp/4b3/1Bp1p3/3pP3/2P3N1/PP1P1PPP/R1BQK1NR b KQkq -,b8d7
rnbqkbnr/pp3p1p/4p1p1/2pp4/4P3/3P1NP1/PPPN1P1P/R1BQKB1R b KQkq -,f8g7
5r2/6K1/1p6/p2b4/Pk6/1P5p/7R/3B4 w - -,g7f8
2b2qk1/1p1r1pbn/p2p2pp/3P4/1Q2NP2/4B2P/PP4P1/1BR3K1 b - -,b7b5
r1bqk2r/p3bp2/4p2p/1p2Pp2/2pPN3/2P2Q2/PPB3PP/R4RK1 b kq -,a8b8
8/r4kpp/3b4/2p2p2/P2p4/3P1PP1/2K2B1P/4R3 b - -,a7a4
r1bqr1k1/1pp2pp1/1b6/p2Ppn1p/P7/BP2P1P1/3QNPBP/2R2RK1 b - -,h5h4
2r2rk1/1p1q1pp1/p2pb2p/8/PN2P3/2b5/4BPPP/1R1Q1RK1 b - -,c3b4
r4rk1/2q1b2p/p3bpp1/1p2p3/5n2/PP2NN1P/1BP2PP1/2RR1QK1 b - -,c7b7
6k1/Q4p1p/4p1p1/7r/P7/1N4qP/6P1/6RK w - -,a7a8
r1b5/p1qnbkpp/2p5/1p1np3/3PP3/1QP5/PP1N2PP/R1B1K2R w KQ -,e4d5
2rr2k1/1p2pp1p/p2p2p1/3P4/P1P5/bP6/2RN1PPP/5RK1 b - -,e7e5
r7/4B2p/3n2p1/1kp1P3/pb3P2/5K2/6PP/R7 w - -,e5d6
r5b1/q6k/2p5/p4NpB/Pn3p1p/R6P/1B3bP1/1Q5K b - -,a7c5
r1bk3r/p3p1bp/1n2P1p1/2p5/1pp1NBnP/5N2/PP3PP1/2KR1B1R b - -,d8e8
4R3/1b1r2k1/p6p/1p1n2p1/2pP4/5B2/PP4PP/4R1K1 b - -,b5b4
5r2/8/3p2k1/p1nP3p/1p3rBP/4RPK1/P7/4R3 w - h6,g4e6
7r/p7/k3pP2/Pp1pP1p1/1B1P2p1/8/5K1P/8 w - -,f2g3
r2q1rk1/p2nbppp/bpp1pn2/3pN3/2PP4/1PN3P1/PB2PPBP/R2Q1RK1 b - -,d7e5
r4r1k/1p1b2bp/1q1p4/3Bpp2/p1Pp1P2/P2P2P1/1P5P/1RNRQ2K w - -,c1a2
r1r3k1/1p2qpbp/p5p1/3Rp3/2R1P3/2P4P/P1B1QPP1/6K1 w - -,c2b3
2rr2k1/1q2bpp1/p3pn1p/1p6/1P1Bb3/P3PB1P/1Q3PP1/2RRN1K1 b - -,f6e8
8/5pkp/3R4/8/5KP1/5P2/3pr3/8 w - -,f4g3
2rqr1k1/pp2bpp1/2npb2p/3Np2n/1P2P3/2PBNPP1/P6P/R1BQ1R1K b - -,e7f8
r1bqr1k1/ppp2pbp/3pnnp1/8/2PNP3/2N1BP2/PP1QB1PP/R2R2K1 b - -,e6d4
5q2/2p4Q/1k1p1p1p/p1p2P2/2P1P3/1P3K1P/P7/8 b - -,c7c6
r3n1k1/1q2ppbp/1n1p2p1/3P4/Pr2P3/Rp3NPP/2QB1PK1/3NR3 w - -,a3b3
rn1qk1nr/pp3ppp/2p1b3/8/PbpP4/2N2N2/1P3PPP/R1BQKB1R w KQkq -,c1d2
r3k2r/1bqnbp1p/p2pp1p1/1pn3P1/4PP2/1N1BB3/PPPNQ2P/1K1R1R2 b kq -,c5a4
3qr1k1/1p1r1pbp/p1p1b1p1/2Pp4/3PBBP1/2P2N1P/P2Q1P2/2R1R1K1 b - -,d5e4
bn1qkb1r/2p2ppp/4p3/1p1nN3/3P4/1Q4P1/4PPBP/1NB2RK1 b k -,c7c6
5r2/1p4k1/p7/3p4/b4r2/1P1Q4/P1P3PP/6K1 w - -,b3a4
rnb1kbnr/2q2ppp/p2pp3/1p6/4P3/1NNB4/PPP1QPPP/R1B2RK1 b kq -,g8f6
4r1k1/1b1n1pb1/1qpp1npp/1p6/3PP3/1PPB2NP/2QN2P1/B4RK1 w - -,g1h1
rnb1kb1r/pp3ppp/2pp1n2/q3p3/P2PP3/2N2P2/1PP3PP/R1BQKBNR w KQkq e6,c1e3
8/8/r2p2k1/4b3/8/BPPR4/PK6/8 w - -,a3b4
1krq1b2/pp5r/3pnp2/P3pNp1/1PPpP1Pp/1R1P1B1P/3Q1P1K/1R6 w - -,b3b2
2B1r3/8/p2R3p/1p2k3/5pn1/1PR5/P1p3PP/6K1 w - -,c8g4
2krb3/ppp3R1/1n2pp2/3p3r/3P4/2P2N2/P1P2PP1/2KR1B2 b - -,h5h1
6k1/pp1r1qp1/7p/2P1Qp2/1P6/n1Bp3P/5PP1/3R3K b - -,f7d5
2r4r/pp2kpb1/2b1p2p/8/8/1NP2N1R/PP3KP1/7R b - -,c6d5
3qQ3/p4P1k/6p1/2p4p/P7/8/7P/3rR2K w - -,e8g8
8/1p6/5R2/P2p3p/3P2k1/2r3P1/5K2/8 b - -,c3a3
4k3/B4ppp/4p3/3pPP2/bb1K2P1/3P1N2/7P/8 b - -,a4d1
r1b1r1k1/1pq1bppp/p1pp4/4p3/3PP1n1/1P2BNN1/1PP1QPPP/R3R1K1 b - -,h7h6
