5n2/4bp2/6k1/3R2P1/7P/p4K2/P7/8 w - -,f3g4
1kr5/8/p3pRNp/qp1pP1pP/1b1P4/4P3/1PQ5/1K6 w - -,c2b3
2r3k1/r2p1ppp/2nBn3/1B2p3/4P3/2P5/P4PPP/R2R2K1 b - -,f7f6
8/p2r2pk/7p/R4p2/P1r2P2/7P/6P1/6RK w - -,g1f1
r1b2rk1/pp1nbppp/4pn2/2q5/8/2PB1N2/PP1N1PPP/R1BQ1RK1 w - -,d2b3
rn3rk1/pp1b2q1/7p/3pp3/3P1P1R/2NB2P1/PP3K2/R2Q4 w - -,d4e5
rn2k2r/pbp1qppp/1p6/2b5/4PB2/2PB1N2/P1Q2PPP/R4RK1 b kq -,b8c6
4r2k/3R3p/6p1/2p2pN1/4n3/6PP/5P2/6K1 w - -,g5f7
r1bq1rk1/2p3p1/1p1p2p1/p1nP1p2/2P1PR2/4B1N1/PPQ3PP/4R1K1 b - -,g6g5
r1bq1r1k/3nbpnp/p2p2pB/2pPp3/4P3/R1N2N1P/1PPQBPP1/5RK1 w - -,f3g5
2r3k1/5pp1/3n2p1/3Pp3/R3P3/2p3NP/1qQ3PK/8 w - -,a4a2
rnbqk2r/ppp1bppp/8/3pP3/4n3/3B1N2/PPP2PPP/RNBQK2R w KQkq -,e1g1
r1bq1rk1/pp2bppp/2n1pn2/3p2B1/2PP4/1P3N2/P3BPPP/RN1Q1RK1 b - -,f6e4
2r2rk1/pb2qpp1/1pp1p2p/4B1b1/2PPQ3/1P4P1/P4PBP/3R1RK1 b - -,f8d8
r1b2rk1/4ppb1/p2p1np1/2pPn2p/2p1PN1P/4BP2/PP1K2P1/2RN1B1R w - -,f1c4
r2q1r2/p4pk1/2p1pnp1/1p2Q2p/2PP3P/5P2/PP3P2/2KR1BR1 w - b6,g1g3
r4k1r/5ppp/1p1q2n1/1N1p4/6b1/1Q2BN2/PP3PPP/R4RK1 b - -,d6d7
1k2r1r1/pp3p2/2n1bB2/3pPp2/2qP1Q1N/2P1R2P/5PP1/4R1K1 b - -,c6e7
r1q1k2r/bpp3p1/p1nppn1p/4p3/2N1P3/1QPPBN1P/PP3PP1/R4RK1 b kq -,e8g8
1rq2rk1/1b3pbp/pBn1pnp1/3P4/Np4P1/1P5P/P1P1NPB1/2RQ1RK1 b - -,f6d5
8/1P6/8/P5p1/r5k1/1K6/7b/7R w - -,h1h2
r5k1/3r1p1p/1B1p1bp1/1B1q4/p1R1nP2/7P/PP4P1/3R2K1 w - -,d1d5
1r1r2k1/5ppp/pNb5/3p4/2RR1P2/2q3P1/6BP/7K w - -,c4c3
1r5k/1p4bp/p1q5/P1B2p2/2Bp4/5P2/Q5PP/1R5K b - -,c6c5
r2qk2r/1p1nbppp/p1p1pn2/8/2PPN3/3Q1N2/PP3PPP/R1B2RK1 w kq -,c1f4:e4g3
3r1rk1/ppq1pp1p/5bpP/2pb4/6P1/2P1N3/PP3P2/R1BQK2R w KQ -,e3d5
8/3b3p/3R4/3n1p1k/5P2/7K/7P/8 b - -,d5f4
r3k2r/1b2bppp/p3pn2/1pq5/8/2NBP2P/PPQ2PP1/R1B2RK1 w kq -,e3e4
4r2k/6pp/4rp2/5q2/2pp2PP/2Nb1P2/3R1Q2/3R3K b - -,f5e5
r2r2k1/1p3ppp/p1n1qb2/P7/2RP1P2/1N6/1P3BPP/3Q1RK1 w - -,d1d3
1r1q1rk1/4ppbp/p2p1np1/2p5/1np1P3/1PNb2PN/PB1P1PBP/2RQR1K1 w - -,e4e5
r3r1k1/pp2ppb1/2p3p1/3q3p/3P1B2/2P2Q1P/PP3PP1/R3R1K1 w - -,f3d5
1k4r1/ppq1pp1p/2p2rb1/2P4p/1P1b4/1Q1P1BN1/P4PPP/3R1RK1 w - -,g3e2
2r1k2r/pb1qnpb1/1pn3pp/2pp4/7P/2NP1NP1/PP1BPPB1/1RQ2RK1 w k -,d2f4
4nrk1/1p4p1/rq1p3p/1N1Rp3/2P5/pP3PQ1/P5PP/4R2K w - -,e1e2
r7/p2k4/R2n2p1/4pp1p/8/2N3P1/PP2PP1P/2K5 w - -,a2a4
2N5/1r5p/1P2k3/4ppb1/4p3/1R6/5P1P/6K1 b - -,g5d8
8/pk6/1p1bp3/5pB1/5R1P/8/PPP1KP2/7r w - -,f4d4
2rq1rk1/1b1n1ppp/2pbpn2/pp6/3P4/P1NBPN2/1P1B1PPP/2RQ1RK1 w - a6,e3e4
4r2k/bpp3pp/p1n5/8/1PQP1P2/P7/1B1K1P1q/R2R4 w - -,c4f7
3qr1k1/5ppp/bp1B1b2/pr6/1PNp4/5QP1/P3PP1P/2RR2K1 b - -,a5b4
8/4q1pk/p6p/1r2bp2/p1R1p3/4B1P1/3Q1PKP/8 b - -,a4a3
r1b1nr1k/p1q3pp/1p1p1p2/n1pPpN2/2P1PP2/2PBB3/P1Q3PP/R4RK1 b - f3,g7g6
r1r1k3/6p1/1pp1pnp1/p2p1p2/1bPP4/1P2PPPP/1PRBK1B1/R7 w - -,c4d5
4r1k1/1pp3bp/3p2p1/1P3q2/2PpBBb1/3P2P1/1R2P2P/4Q1K1 b - -,e8e4
4R3/8/7p/2rk4/3p1KP1/7P/8/8 b - -,c5c6
4r3/pp1k2pp/2p5/3n1Bb1/2P2n2/6B1/PP3PPP/1K1R4 b - -,d7d6
r3r1kb/1p1q1p1p/p1p2npP/2Pp2B1/3Pb3/2NpPN1P/PP3PK1/R2Q3R w - -,c3e4
r1bq1rk1/pp3pb1/n1pp2pp/3Pp2n/2P1P3/2N1B1PP/PP1N1P2/R2QKB1R b KQ -,a6c5
1r3rk1/ppp2ppp/4pb2/8/2NP4/2P5/PP3PPP/R3R1K1 b - -,f8d8
2rq1rk1/1p2ppbp/pnn1b1p1/6N1/3p4/N2P2P1/PP1BPPBP/R2Q1RK1 b - -,e6d5
2r3k1/p2nRp2/Pp2Rnpp/3P4/1qP5/3Q2PP/5P2/6K1 w - -,d5d6
r4rk1/3q1pbp/2n1p1p1/p1QpP3/P4P2/NPP2N2/6PP/R4RK1 w - -,g1h1
r5k1/2q2p1b/2p4p/pp2r1bP/3NPpP1/2PQ4/PPB2P2/R3R1K1 b - -,a8d8
r1bq1rk1/1p3ppp/p4n2/3pb3/3N4/3BP3/PPQB1PPP/R4RK1 b - -,c8g4
8/5R2/4K3/2p2P2/2k3q1/8/8/8 b - -,c4d4
8/7p/1p1k2p1/pP1Pbp2/P1Bp4/7P/4K3/8 b - -,d6c5
r3k2r/ppp1qppp/2np1n2/2b1p3/N1B1PPb1/3P1N2/PPP3PP/R1BQK2R w KQkq -,a4c5
7r/1rqn1pk1/4p1pp/p2pP3/1npP4/2B4P/PP2RPP1/R2QN1K1 b - -,h8b8
b1r2rk1/3nbppp/1q2pn2/1pp1P3/3P4/1P3NP1/1B1N1PBP/1QRR2K1 b - -,f6d5
6k1/4R3/p1r4p/2p3pK/8/1P4PP/5P2/8 b - -,g8f8
1r5k/1pRR2p1/1P3b1p/pq6/8/8/3N1BP1/6K1 b - -,b5a6
5r2/3qn3/3p1pkb/1p1Pp1p1/nPp1P1Bp/2P1B1NP/6P1/R3Q2K b - -,d7b7
2r3k1/2q2ppp/Q1np4/4p3/8/2PP2P1/5PBP/5RK1 b - -,c6e7
5rk1/1qn1bppp/4bn2/3Pp1B1/PP6/3Q4/2N2PPP/R4RK1 b - -,c7d5
r1bq1rk1/1p2ppbp/n4np1/p2P4/3P4/1QN3P1/PP2NP1P/R1B1KB1R w KQ -,a2a3
r1bq1rk1/1p1n1ppp/3bp3/p1p5/P1PP4/5N2/1PB2PPP/R1BQ1RK1 w - -,f3g5
3n4/p6p/1p2k1p1/3N1p2/1pP2P1P/2K1PP2/8/8 w - -,c3b4
6k1/5p2/2p1pnp1/2n5/p3P2p/P4P2/1KBRN2P/6r1 b - -,g1g2
2krr3/bp3ppp/p1n2n2/3pN3/5B2/1N5P/PPP1RPP1/R5K1 w - -,a1e1
r4rk1/p1q1ppbp/1p4p1/n1pP2B1/2P1P1b1/5N2/P3BPPP/2RQ1RK1 b - -,g4f3
2r5/pp2k1pp/1n2p3/2b1p3/4P3/2NB2P1/PPP3KP/1R6 b - -,c5d4
1r4k1/1Nq1bppp/p1Q1p1n1/2P1P3/1P1r4/3p1B1P/P4PP1/3RR1K1 b - -,c7c6
r5k1/ppn2pb1/3p2p1/2pP3n/4NQ2/P6B/1P3P2/1R2R1K1 b - -,h5f4
6k1/1p1R3p/6p1/2p3N1/PpP2Pn1/1r4P1/6KP/8 w - -,d7b7
r2q1rk1/pp1bbppp/2n1p3/3pP3/3P4/2B2N2/PP3PPP/1BRQ1RK1 b - -,f7f6
3r1bk1/p2n1pp1/4p2p/qp6/3P1B2/1B1R1P2/P1r1Q1PP/6K1 w - -,b3c2
7k/n1p2p1p/1p1p1Pr1/p2P1Q2/4P3/8/1q1N1RPP/7K b - -,a5a4
6k1/1p1r1pp1/2p2n1p/1p1pr3/2P1n3/R1N1P3/1P3PPP/3RBK2 w - -,c4b5
r2q1rk1/1p1nppbp/p2p1np1/8/2PNP3/2N1B3/PP2QPPP/R2R2K1 w - -,f2f3
2b2bk1/p2q4/4r1pp/2p1pr2/2N1N3/1P1P1PP1/P1PQ2K1/R3R3 w - -,c4e3
r1b1k2r/ppq1nppp/2n1p3/3pP3/1P1p1P2/P2B1N2/2P3PP/R1BQK2R b KQkq -,e7f5
r5k1/pbr1qpnp/1pp1pnp1/2P5/1P1P3P/1B3NN1/P4PP1/2QRR1K1 b - -,c7c8
3n1rk1/1pr1p3/pq1p1pp1/3R4/2P2P2/PP4P1/1Q3PB1/3R2K1 w - -,g2e4
5rk1/5pbp/b1r1p1p1/q2pP3/3B1P2/3BQ3/P5PP/R2R2K1 w - -,d3a6
3k4/8/6R1/p5P1/r2p4/2p5/5P2/2K5 b - -,d8d7
1r6/1P3pkp/6p1/2q1p3/7P/3Q4/P4PPK/1R6 b - -,c5f2
r7/1pp2kb1/3p2p1/3Ppq2/p1P1p3/4B1Q1/PP3PP1/2KR3r w - -,d1h1
8/7q/3R2R1/8/p1k5/5N2/3B2KP/3n4 w - -,d6d4
1k6/1p4p1/pN5p/P4p1P/1PP2Kb1/3r4/8/6R1 b - -,b8c7
2rr2k1/pp3ppp/1q2b3/3p4/8/1P2P1P1/PQ3PBP/3R1RK1 b - -,c8c5
r3k3/1b2q2p/2p1P1p1/p2n1p2/P4P1Q/4p2P/1P4P1/R2R3K w q -,h4e1
r2r2k1/1pnqb1pp/2p2p2/8/pP1Q4/P5P1/bB1NPPBP/R3R1K1 w - -,a1a2
rn1q1rk1/pb2bppp/1p2pn2/2pp4/3P1B2/2PBPN1P/PP1N1PP1/R2Q1RK1 b - -,f6e4
2b2rk1/5qpp/p7/3p4/3N1r2/2PQ4/P5PP/1R2R1K1 b - -,c8f5
8/p7/4p1p1/pP3pP1/3K1P1p/k4P2/4R3/7r b - -,h4h3
r2q1rk1/1pbn1ppb/p1p1pn1p/2Pp4/3P1P1N/1PN3P1/PB2P1BP/2RQ1RK1 b - f3,f6e8
8/pp6/8/6p1/3pk3/PP2n1PP/2P1RK2/8 b - -,b7b5
r7/1b2N1bk/pp3qp1/2nP1p2/P1p2Q1p/2N2P1P/1P3B2/4R1K1 b - -,c5d3
r3kr2/p2np1Qp/b2p1np1/q1p3N1/1p1PP3/5P2/PPP3PP/1NKR3R w - -,g5h7
8/5k2/5p2/4p3/R3Pr2/6K1/8/8 w - -,a4b4
1r6/1p6/p2p3k/2p1n3/2PpPN2/8/PP2K3/R7 w - c6,a1h1
r1r3k1/1p2ppbp/1pn1b1p1/3p4/3Pn3/2N1PN2/PP2BPPP/R1R1B1K1 w - -,c3e4
2r2k2/2P3p1/1p5p/b2B4/p7/P2Pp1P1/1P6/2R3K1 w - -,d5e6
4R3/8/8/8/3p4/4k1P1/6r1/4K3 b - -,e3d3
1B2k3/1p2r3/p4p1p/PnNN2pn/3P4/1P3P2/3K2PP/8 b - -,e7h7
2bn1rk1/1r5p/p3pqp1/1p1pN3/1PnN1PP1/P2BQ3/2P4P/4RRK1 w - -,d3c4
8/4k3/1ppb1p2/p1n2P1p/P3N2P/1P6/2P2B2/5K2 w - -,f2c5
r1b2rk1/1pp4p/p5p1/2N1bp2/P7/2PK3P/1P1B1PP1/R6R b - -,b7b6
4r1k1/1p3rp1/pq2p2p/8/3RpP2/P2bP1B1/1P1Q2PP/2R4K b - -,b6b5
8/2q3pk/p6p/3Rbp2/pr2p3/4B1P1/Q4PKP/8 w - -,d5c5
1r4r1/6k1/p2p4/2p2P2/1pP2Qpq/3P4/PP4R1/5RK1 w - -,f4d6
r4rk1/1pp2p2/p1nnq1pp/4p3/1P2P2N/2PR2NP/1P2QPP1/3R2K1 b - -,a8d8
2r2k2/B2rp2p/R3nppb/1p5q/1P1P4/1Q2PBP1/4PK1P/4R3 b - -,h5h2
rnbq1k1r/2p4p/p2b1p2/1p1P4/3P1p1P/1BNN2p1/PPP2KP1/R1B4Q w - -,f2g1
4r1k1/p2p1rn1/1p2qp2/2pR2p1/2P5/1P3NP1/P2QPPK1/7R w - -,d2d3
4r1k1/3Rb3/pp2r1pp/2p5/2P2PKP/1PBRP3/1P6/8 w - -,c3e5
rnbqk2r/pp2ppbp/5np1/3p4/3P1B2/1BN2P2/PPPQ2PP/R3K1NR b KQkq -,b8c6
1rrq2k1/5pbp/pp1p1np1/n1pP1b2/P1P5/1PN2NPP/1B3P2/R1RQ1BK1 b - -,f6e4
1r6/pp4pp/2k1R3/2pn4/8/3P2P1/P4P1P/R5K1 b - -,c6d7
3rr1k1/1p2q2p/2bpn3/pNp1b1pn/P1P1Pp2/2N2P2/1P1RBBPP/3RQ2K b - -,e6c7
8/1kp5/2p5/2Qp2p1/1P1P1q1p/7P/6P1/6K1 w - -,b4b5
8/1p6/p6P/P1pK4/4P3/2kp4/6R1/7r w - -,d5c5
r1b2rk1/p1qnbppp/2n1p3/1pppP3/7P/3P1NP1/PPPNQPB1/R1B1R1K1 b - h3,a7a5
3b2k1/pp3p2/1np3p1/5b1p/7P/BPN1P1P1/P4PK1/5B2 w - -,e3e4
6k1/1R3pb1/5np1/8/3pPB2/3P3P/r3B1K1/8 w - -,g2f3
6R1/2pk1p2/1p1pbP2/2p3P1/2P1P3/3B4/2P2K2/6r1 b - -,g1g4
2r3k1/5ppp/p2bp3/q5P1/3BQP2/1pN5/1P5P/1K2R3 b - -,g7g6
r2qr1k1/1p1n1ppb/2p4p/3p4/P7/1N1P2PB/RQ2PP1P/5RK1 b - -,h7g6
8/8/6p1/2p1p3/2Pq4/1K5Q/5k2/8 w - -,h3h2
3k4/8/pp1r2p1/2rP1p1p/P2R1P1P/3R1KP1/8/8 w - -,d3d2
3rr1kb/1q1npp1p/p2p2p1/Pnp5/2N1PB2/1P3P2/2PQN1PP/1R1R3K w - -,c4e3
8/4rk2/2B2n1p/2b3p1/2P5/5P2/1K1R2PP/8 w - -,g2g3
8/6kp/8/5p2/1Rrbp3/8/P2r1PPP/1R2NK2 b - -,d2f2
8/p1r5/8/1Rr2pp1/P1Pkp3/6P1/5PK1/4R3 b - -,d4c4
8/5pp1/3k3p/1pN1pb2/1P1p3P/3P2P1/4KP2/8 b - -,d6d5
3r2k1/3q1ppp/Q2n4/P3p3/8/8/1rP1BPPP/R2R2K1 w - -,d1d2
2k3rr/pp3q2/3bpp2/8/2pPQp2/2P2N2/PP5P/R4R1K w - -,a1e1
6kr/4pqb1/3p4/1Q2p2n/4N3/4B3/PPP5/1K4R1 b - -,h5f6
5rk1/5ppp/5q2/1Q2n3/2PNp3/4P1Pb/4BP1P/4K2R w K -,c4c5
R3B3/5kpp/3bpp2/1n6/3B4/4P1P1/P4PKP/1r6 b - -,f7e7
3b4/3b4/3p4/1p1Pp3/pP2P1k1/P1N2p2/5B2/4K3 b - -,d8g5
5k2/5p2/4pB1p/4P1p1/1p6/1Pb2bPP/4BP2/5K2 b - -,f3e4:f3d5
rn3rk1/ppq2ppp/2p2n2/5R2/2BP4/6b1/PPP1N3/R1BQ3K w - -,f5f6
8/2k3pp/p1P2p2/2K1pN2/5nPP/P7/5P2/8 b - -,f4d3:f4e6
2kr1b1r/1pp2ppp/p1nqp3/7b/2QPB3/2P2P2/PP2N1PP/R1B1K2R b KQ -,h5g6
r1bq1rk1/pp1nbppp/2n1p3/3pP3/3p4/2PB1N2/PP3PPP/RNBQR1K1 w - -,c3d4
3r2k1/pR2Bpbp/P5p1/3q4/Q7/2n4P/4RPP1/6K1 w - -,a4c2
r4rk1/2qn1p1p/p2pbbp1/1p6/3NPBP1/3B3P/PPP1Q3/1K1R3R w - -,c2c3
r3r1k1/1p1q1pbp/p5nB/n2p1p2/P1p1P2Q/2NP4/BPP4P/R4R1K w - -,h4h5
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2PP4/P4NP1/1P2PP1P/RNBQKB1R w KQkq c6,d4c5
8/5p2/5k1p/4p3/4Bp2/5P1P/P1R4K/3r2b1 w - -,h2g2
3q1r2/5pkp/1p4p1/1r2p3/2Q1P3/2P5/P4PPP/R4RK1 b - -,b5c5
r1bqk2r/ppp1npbp/8/3N1p2/8/6P1/P1P1NPBP/1R1Q1RK1 b kq -,e7d5
r1bqkb1r/pp1pnp1p/4p1p1/1B6/3pP3/3P4/PPP2PPP/RNBQR1K1 w kq -,b1d2
r4rk1/pp1bbnpp/1q2p3/3pn3/1P1P2P1/P1N4P/1B1QBP2/R4RK1 w - -,d4e5
8/pp5p/6k1/3R4/Pr6/8/5K1P/8 w - -,d5d7
2r1kb1r/ppqnpppp/1n6/8/2p5/NPP2N2/P2PQPPP/R1B1R1K1 w k -,a3b5
r3r3/1p1nqpbk/p2p2pp/2pPp2n/2P1P3/1PN2PP1/PB1QN1KP/3RR3 w - -,a2a4
r2q1rk1/pb3pp1/1p3n1p/3pnN2/1b2P2B/P6P/1P1N1PP1/1BRQ1RK1 b - -,b4d2
r4rk1/1p2qppp/2n5/p3p3/2PpP1b1/P4NP1/1P3PBP/R2QR1K1 b - -,e7c5
r3b2r/2k5/2pbpp1p/3p4/p1pP1PqN/P1P2R2/1P2N1PP/R1Q3K1 w - -,c1e1
rnbqkb1r/pp3ppp/4pn2/2p5/2P5/4PN2/PB1P1PPP/RN1QKB1R b KQkq -,b8c6:g7g6
r1bq1rk1/1p3ppp/p1np1n2/3Np3/4P3/1N1Q4/PPP1BPPP/R3K2R w KQ -,e1g1
1k1rrq2/ppbn1pp1/2p1p2p/7P/2PP4/1PBR1NP1/P3QP2/1K1R4 b - -,f8g8
r2qr1k1/ppp2pb1/1nn3p1/4p2p/4N1bP/3PBNP1/PP1QPPB1/2R2RK1 b - -,c6d4
1R6/3rbpkp/p3p1p1/8/3P4/B3P1P1/5PKP/8 w - -,a3e7
6k1/5pp1/5n2/8/B1p2P2/4B1PP/n7/6K1 w - -,e3d4
r1br2k1/1pq2nbp/p2p2p1/2p2p1n/NPP1PP2/4B1PP/P1Q1N1BK/3R1R2 w - -,b4c5
r1bqk2r/ppp2ppp/1bnp1n2/3P2B1/2B1P3/5N2/PP3PPP/RN1QK2R b KQkq -,c6e5
r1bqr1k1/pp1nbppp/2pp1n2/4p3/2PPP3/1PN2N2/PB2BPPP/R2Q1RK1 b - -,a7a6
r1b2rk1/1nq1b1pp/p2p1p2/3PpPP1/8/pP1B1N2/2P4P/R1BQ1R1K w - -,g5g6
rn1q1rk1/1bpp1ppp/1p2pn2/p7/1bPP4/2N1PN2/PP1BBPPP/R2QK2R w KQ -,e1g1
8/8/8/N1k5/1pp5/P1K5/1P6/8 w - -,a3b4
8/1p3kp1/pbn1r2p/3pBp2/1P1P3P/P4NP1/5P2/3R1K2 w - -,e5f4
8/r4kb1/2R1p2p/3p2pP/2p2PN1/6P1/4K3/8 b - -,g5f4
r1bqr3/p4p1k/1p2p3/2p1Qp2/8/2P5/PP3PPP/R1B1R1K1 b - -,e8g8
2bq1b1k/4n1r1/3p4/1NpPp3/Q1P1Ppn1/2B5/4BNP1/5RK1 w - -,f2g4
3r2k1/2p1qp1p/p5p1/2PB4/1p1QNP2/1P4Pb/P3rR2/2R3K1 b - -,e2f2
rn1qkbnr/ppp1p2p/3p2p1/5b2/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq -,g8f6
8/8/6k1/2KB4/8/8/4R3/3r4 b - -,g6f5
8/7p/P5p1/2kbRp2/4pP2/4K1P1/r3B2P/8 w - -,e5e7
q3nk2/5p1p/1N4p1/2p5/8/4Pb2/2R2KrP/2QR4 w - -,f2e1
8/3q2k1/1b1P1pp1/4p1P1/8/7K/2B3Q1/8 w - -,h3h2
2r2rk1/1b2bppp/p2ppn2/P2q4/5P2/2P1BN2/1P2QNPP/R4R1K w - -,e3d4
rn2kb1r/1q1n1ppp/p3p3/4P3/1p6/2N2N2/PPP3PP/R1BQ1RK1 w kq -,c3e2
rq2k2r/pb2p1b1/1p1p2p1/2nNP3/2P4p/4BBP1/PP1Q3P/2R1K2R b Kkq -,d6e5
r1nq1rk1/2pb1pp1/1p4np/p2P3Q/2P5/2N1B2P/PPB2RP1/R5K1 b - -,c8d6
1rbqk2r/ppp2ppp/2n1p3/8/QnpP4/5NP1/PP2PPBP/RN3RK1 w k -,b1a3:b1c3
r6r/4qpk1/4p1p1/2R4p/3P4/2Q5/B4PPP/4R1K1 b - -,a8a2
r2qr1k1/1Rb2pp1/3p1nnp/2pPp3/p1P1P2P/P1N2PP1/1R1B3K/1Q3B2 w - -,c3b5
2b2rk1/rp2bpp1/p1q1p2p/3nP3/7B/2N3Q1/PPP1B1PP/2KR3R w - -,c3d5
r1b1k2r/1pp1npp1/1b1p1q2/p2Pp2p/P2P4/2P3P1/1P2NPBP/R1BQ1RK1 w kq a6,h2h4
