8/4KP2/8/8/8/8/6p1/k7 b - -,g2g1q
8/B1r1kn2/4p3/R4p2/8/6P1/5P1P/6K1 b - -,f7g5
8/2q2pk1/5bp1/1Q2p2p/2p4P/1n2PBB1/1P3PP1/6K1 w - -,f3d5
3N4/kR6/2p5/p6p/1nP5/1P2n3/8/6K1 b - -,a7a6
4rr2/4Rnkn/p2p2B1/2p2P2/2P5/2P2NN1/P7/5K2 w - -,g3h5
3r2k1/pp1P1p2/1pq1n1p1/7p/8/3Q1P2/PP4KB/3R4 w - -,h2e5
r2r2k1/1q2ppb1/4b1pp/p1RpP3/P2Q4/6P1/1B2PPBP/3R2K1 b - -,b7b4
r2q1rk1/1pp2pp1/2nb1n1p/p3p3/2Pp2b1/PP1P1NP1/2N1PPBP/R1BQ1RK1 w - -,c1b2
r4rk1/1bqn1pp1/p6p/2bPp3/1p5B/5N2/PPB1QPPP/3R1RK1 b - -,c5d6
r2q1rk1/pppb2pp/3ppn2/4p1B1/4P3/2N2Q2/PPP2PPP/3R1RK1 w - -,f1e1
8/R4pkp/6p1/2KB4/8/7P/5rP1/8 b - -,f2f1
1k1r1r2/2p3pp/1n2b3/pN2P3/Pq6/5B2/1P3QPP/R4RK1 w - -,f2c2
2B5/5pk1/4n2p/8/5R1P/6P1/3r1PK1/8 w - -,f4b4
2B5/1P4p1/3K1p1p/k4P2/2r3P1/8/7P/8 b - -,c4b4
8/3k1p2/4p3/qN1pPp1p/3P1P2/BQ5P/6r1/3K4 w - -,b5c3
2r3k1/5ppp/3br3/1pp5/p2pP3/P2P2P1/1P1B1P1P/2R1R1K1 w - -,f2f4
3q4/5k2/3P4/p4p1p/K2Q1Pp1/6P1/P6P/8 w - -,d4a7
8/1p6/4k2p/2pp2p1/6PP/Pr3PK1/1P1R4/8 b - -,g5h4
2rr2k1/2qnppBp/4b1p1/ppppP3/3P4/2P2PP1/PPNQ2BP/R4RK1 b - -,g8g7
2b2rk1/1p1nqpbp/2p3p1/Q4p2/1P1P4/2N1PNP1/4BP1P/4K2R w K -,e1g1
5rk1/1q1nr2p/ppbpn1p1/2p1ppP1/P1P1PP2/1PNP3P/R5B1/2B1QRK1 w - -,f4e5
5k2/1p2r3/pR6/P4R2/3P4/1P1r2P1/6K1/8 b - -,f8e8
2r2nk1/5pp1/4p1q1/R1p5/1p2P3/1P2QPp1/PB4KP/8 w - -,h2g3
r1q2rk1/p4ppp/1p6/2nR1p2/2B5/1P2P3/PQ3PPP/2R3K1 b - -,g7g6
2k5/1p3R1r/1n4pP/B1b5/4r3/PB6/1PP2P2/2K3R1 b - -,h7h6
r1b3k1/1p2bp2/p2Np1pp/q7/5P2/P3P2P/1PQ3P1/1B1R2K1 b - -,e7d6
r1bqk2r/1p1n1p2/p2p1npB/2pPp2p/2P1P3/2N4P/PP1NBPP1/R2QK2R b KQkq -,h8h6
rnbqkb1r/pp1p1ppp/4pn2/2p5/4P3/2PP1N2/PP3PPP/RNBQKB1R b KQkq -,b8c6
r2qk2r/1p3ppp/p1npbb2/4p3/4P3/1NNQ4/PPP1BPPP/2KR3R b kq -,d8b6:f6e7:c6d4
r4rk1/pq3pp1/2p1p1b1/2n1P2p/1bB3PP/2N1B3/1P2QP2/R4RK1 b - g3,h5g4
r2q1rk1/pp3ppp/2np1bb1/2p5/4P1P1/1PP2N1P/PB1PQ3/2KR1B1R b - -,d8a5
1rb2rk1/1p1n2bp/p2p1qp1/2pPP2n/P4p2/2N2N1P/1P2BPPB/R2QR1K1 b - -,d7e5
8/4bppk/R6p/8/N4PK1/r5P1/7P/8 w - -,f4f5
rn1qk2r/pbppppbp/1p3np1/8/3PPP2/3B1N2/PPP3PP/RNBQK2R w KQkq -,b1c3
r2q1rk1/ppp1bppp/2np1n2/8/3NP1b1/2N3P1/PPP2PBP/R1BQ1RK1 w - -,f2f3
8/5pbk/4n1p1/4P2p/2p2P1P/R1Nr2P1/Pr3B2/2R3K1 b - -,g7f8
4r1k1/3q1pp1/p4n1p/3p1R2/P1bB1P2/2P2Q1P/2B3P1/6K1 b - -,f6e4
6k1/p4qp1/1p5p/5p2/2PQ3P/8/P5b1/2B1K3 b - -,g2e4
1r2r1k1/3q1pbp/2n3p1/3p4/R2P4/2P1BQ1P/3N1PP1/R5K1 w - -,e3f4
8/1p3Q1p/p2q2pk/8/1P2p3/P5P1/7P/5RK1 w - -,f7f8
rn3rk1/1b1n1ppp/1p1q4/p2pN3/Qp1P4/3BP3/PP1N1PPP/2R2RK1 w - -,e5d7
4rbnr/pp1k3p/2n1bpp1/2p5/P2p4/3P1NP1/1PPBKPBP/RN2R3 w - -,e2f1
4r1k1/5pbp/N5p1/8/1P1q4/8/P2p1PP1/1Q3RK1 b - -,e8e2
4r1k1/R4b1p/2p3p1/5p2/2p1nB2/P4N1P/2P2PP1/6K1 w - -,f3g5
8/6kp/p1p1bpp1/3p4/1P5P/4P1P1/P4PB1/5K2 b - -,g7f8
3r3k/1p2r2p/p7/3p3R/4pRPP/3p4/PP3K2/8 w - -,f4f5
r2q1rk1/2p3bp/2nppnp1/8/pp2P1P1/4QP2/PPPBN2P/1K1R1B1R b - -,f6d7
1q4k1/5ppp/3N4/2P5/1n1P2P1/8/6PP/4R1K1 b - -,g8f8
2b5/4kp1K/6p1/2p5/Bpr1P3/p4P2/P2R2PP/8 b - -,c4c3
r1bqkbnr/pp1p2pp/2n5/2pP1p2/2P5/2N1Pp2/PP3PPP/R1BQKB1R w KQkq -,d5c6
4r1k1/p1p2ppp/1rnp1q2/2p5/4PP2/2P3N1/PP1Q2PP/1R2R1K1 b - -,h7h6
5k2/2R5/pp3r2/3PK1p1/2P4p/1P6/P7/8 b - -,f6f2
r3kb1r/p1ppqp1p/b1p5/3nP1p1/2P5/1P6/P3QPPP/RNB1KB1R w KQkq g6,c1b2
2brr1k1/1pq2pb1/2pp1np1/p1n4p/P2NPP2/2N3PP/1PPQRBB1/4R1K1 w - h6,b2b3
1r4k1/5p2/2p1r2p/p1p1P1p1/P1Pb1PP1/1P1R2NP/5BB1/6K1 w - -,f4g5
2n5/2P2pkp/p3p1p1/8/P1N5/6P1/5P1P/6K1 b - -,g7f8
8/1R6/8/6p1/Pp1k1p2/5B2/1r6/6K1 w - -,b7e7
r1q3k1/p4nbp/2p2pp1/3p1b2/N2P4/BPQ2N1P/P4PP1/R5K1 b - -,g7h6
r4rk1/5p1p/1p2pn1b/p1q3p1/PnN5/1Q3NBP/1P3PP1/3RR1K1 b - -,f8c8
2n1r1k1/1qnb1ppp/2Np1b2/1P1Pp3/p3P3/B2Q1NPP/5P2/2R2BK1 w - -,c1b1
3b4/8/1p4k1/p3Kp2/P1P2N2/7P/8/8 b - -,g6f7
rnb2rk1/ppp1b1pp/3ppn2/5p1q/2PP4/P1N2NP1/1PQ1PPBP/R1B2RK1 b - -,b8d7
8/8/1k6/5Rp1/p5r1/2K5/8/8 b - -,b6c6
6k1/5p2/1q1p2p1/3Pp2p/2P1P2P/2P3P1/Q4PK1/8 w - -,a2a8
6k1/5pp1/2pqn1n1/1p2p1p1/1P2P1P1/3P3P/1Q1B1P2/5BK1 b - -,g6f4
rn3rk1/1p2ppbp/1q1p2p1/p2pP3/P2P1P2/2P5/1P2b1PP/R1BQNRK1 w - -,d1e2
8/8/p2Bp3/3bP3/4k3/K1R5/PP4r1/8 w - -,c3c7
r1br2k1/q3b1pp/2p1pp2/p1pnp3/N7/BP1P1N2/P1P1QPPP/R3R1K1 b - -,c8a6
r1b1k2r/1p1n1ppp/p2q4/3P4/2P1B3/5P2/PP1Q2PP/2KR3R b kq c3,e8g8
4r1k1/5pp1/p6p/P2P4/1p1b2n1/3R2Q1/7P/2NKR2q b - -,e8e1
2Nr4/1p3p2/1p4pk/8/P1RP3b/4P3/1P4K1/8 w - -,e3e4
r4k2/6pp/2p2p2/ppn1p2b/3nP3/PP2NPPP/2P2K2/R3NB2 b - -,f8e7
5rk1/Q2R1pp1/4pb1p/p7/P3b3/1q2B2P/N3BPP1/6K1 w - -,a2c1
r4rk1/1p2bpp1/p4n1p/4pbB1/2P5/1PN2B2/1P1R1PPP/R5K1 w - -,g5f6
2r3k1/6np/p2Rp1p1/1p6/2B3P1/1P5P/P1P2r2/2K1R3 w - b6,c4e2
2r4r/pp3k1p/2nP1ppB/4p3/1P3Pb1/2PB4/PK4PP/4R2R b - -,h8d8
r1b1kb1r/1p4pp/p7/3n1p2/8/4BN2/PP3PPP/RB2K2R w KQkq -,e3d2
8/5q2/p5k1/1p2Qb1p/2PBp2P/1P6/P5P1/6K1 b - -,b5c4
8/8/8/K1k1nPrp/P3B2R/8/7P/8 w - -,a5a6
6k1/5p2/4p1p1/1P6/5P1p/1Q5N/2K5/4q3 b - -,e1e4
2kr3r/pp1b1p1p/1qnbp3/3p2P1/3P4/1P3NP1/PB4KP/R2Q1B1R w - -,a1c1
r1bq1rk1/pp3ppp/4pn2/2b5/8/5NP1/PPP2PBP/R1BQ1RK1 w - -,d1e2
r1b1kb1r/pp1npppp/1qpp1n2/8/3PPP2/2N2N2/PPP3PP/R1BQKB1R w KQkq -,e4e5
r5k1/1p3pp1/2p2n2/p2pr2p/Pq1P4/1P3BPP/4PP2/2RQR1K1 b - -,e5e6
4rrk1/ppp2n1p/3p4/3PpbbP/2P4B/2N2P2/PP2B3/R3K2R w KQ -,h1g1
r1b1k2r/pp3ppp/4pn2/2b5/2B5/1N6/PPP2PPP/R1BR2K1 b kq -,c5b6
8/5pk1/3qp1pp/2n5/7P/4Q1P1/5PB1/6K1 w - -,g2f3
r2qkb1r/1b1n1ppp/p1p1pn2/1p6/3P4/P1N1PN2/1P2BPPP/R1BQK2R w KQkq -,b2b4
3r2k1/4b1p1/p2p3p/1Pr1pp2/2P5/1P1R1P1P/2N3P1/3R2K1 b - -,a6b5
2br2k1/1p3ppp/5n2/2p1pP2/2PbP3/5KN1/4B1PP/2B4R w - -,c1g5
8/7p/1r6/R7/2P1p3/1P4k1/3BK1P1/8 w - -,a5g5
r5k1/1pq3pp/p4p2/2nrp2N/2P2P2/1P5P/P2Q2P1/4R1K1 w - -,d2d5
1r2k2r/5ppp/pq6/3NPb2/1P6/1n6/1PPQ2PP/2KRR3 w k -,c2b3
1r5r/6k1/b2qp3/2pp2p1/1p3PP1/3PbBKN/PP6/1R1Q1R2 w - -,g3g2
rr4k1/3nppbp/1q1p1np1/1NpP4/P3P3/R4N2/1P2QPPP/2B2RK1 w - -,f3d2
7r/ppkr2pp/4p3/3pP1B1/Pbp1P3/1n3P2/1P4PP/3RKB1R w - -,e1f2
r4rk1/1b2ppbp/pn3np1/1p1p4/1P1N4/R1P1PB1P/1P1N1PPB/3R2K1 w - -,d4b3
rn5r/4kppp/pNp1b3/2Pp4/1P1b2P1/P4P1P/3B4/R2K1B1R w - -,b6a8
3r2k1/p3b1np/1pq1p1pP/4P3/P1p1NPP1/3r2R1/1P2Q2K/2B2R2 b - -,d8d4
3r1rk1/pp2ppbp/6p1/q1Pn4/3P4/2N2P2/PP1Q1P1P/R3KB1R w KQ -,a1d1
5rk1/2q1b2p/1p1pPBp1/pPp1p3/P1N4P/5QP1/1P3P2/4R1K1 w - -,f3c6
7Q/kpq2p2/p1n1p2p/5p2/5r2/3n1N1P/P1R2PP1/1R5K w - -,h8c3
2r3k1/5pb1/r2p2p1/4n1P1/1R2P3/5P2/3B2B1/5RK1 w - -,b4b3
5rk1/p4pp1/1p3n1p/1q1p4/5N2/5Q2/P5PP/5RK1 b - -,b5c5
6R1/8/8/8/3k2P1/p3p2P/4K3/r7 b - -,a3a2
4k3/2R5/pp1K4/8/6Pr/8/8/8 b - g3,h4h6
8/5kbp/2r2pp1/1q1p4/1prP4/4P1P1/P1RR1P1P/4NQK1 w - -,g1g2
1r1r2k1/pp3q2/1n1nbp2/N1RPp2p/1P5P/PQ1N1PP1/5K2/4RB2 b - -,b6d5
q7/3b1r1p/1R4pk/3NQ3/6P1/7P/5PK1/8 w - -,b6b8
6k1/7p/1n2Nbp1/r1p1pp2/p1Pp4/1P5P/P4PPB/2KR3R w - -,h1e1
r4qrk/1ppb1p2/1n1p3p/p2Pp1pn/PP2P3/2P1N1PP/2Q2PBN/R3R1K1 w - -,b4b5
r2b1r2/3P1k2/p1NRR3/5p2/5P1p/6P1/P4K2/8 b - -,h4g3
8/p1p3k1/1b4p1/2pB1bBp/P7/1P1K1P2/2P4P/8 w - -,d3c4
b7/5k2/5r2/pp1p1N2/2p5/P1P5/1P1KR1P1/8 w - -,f5d4
r2q1rk1/pp1n1ppp/2p1pn2/8/1b2P1b1/1P3NP1/P1PN1PBP/R1B1QRK1 w - -,e1e3
r1bq1rk1/pp3ppp/5b2/3p4/3N4/2Q1P3/PP2BPPP/3R1RK1 b - -,c8f5
8/6k1/R7/6N1/p7/2r5/1n4K1/8 w - -,g5e4
1rr3k1/3qpp2/3p3p/1p1P2p1/3Q4/P5P1/1P3PP1/3RR1K1 w - -,b2b3
5rk1/4nqp1/p6p/3p2p1/3P2P1/P1N2r1P/1P1R1PQ1/4R1K1 b - -,e7g6
1r3rk1/1p1bqpbp/2npp1p1/2p2n2/1PP5/2NPP1P1/2NB1PBP/1R1Q1RK1 b - -,c6b4
8/6p1/4k3/7p/1p1K2PP/5P2/1Nb5/8 b - -,g7g6
6k1/1b3pp1/1p5n/pBb4p/3rPP2/P1B4P/1P4P1/3RR2K b - -,d4d1
r4rk1/1p3ppp/p2pbnn1/8/P3PN1q/1N6/1PPQBRPP/5R1K w - -,f4g6
rnb1kbnr/pp3Npp/8/8/4P3/2p5/PPP2PPP/R1B1KB1R w KQ -,f7h8
r1b1r2k/pp1n1pb1/2p1p1pp/3p4/2PP4/1N2P1BP/PP2BPP1/2RR2K1 b - -,h8g8
r1bq1rk1/pp4pp/2n1pp2/3pP3/QpPPn3/5N2/PP1N1PPP/3RKB1R w K -,c4d5
2r3k1/1p2qppp/p4n2/3p4/P1rP2b1/4PNP1/4NP1P/RQR3K1 w - -,c1c4
r1b2rk1/pp2bppp/2n1p3/8/2B1N3/2N1P3/PP3PPP/3R1RK1 w - -,d1d2
6k1/p1qn1pp1/4p2p/2pnP3/1r6/1P1B1NP1/P4P1P/3RQ1K1 w - -,d3c4
rn2kb1r/pp3ppp/1q1p1n2/2pP1b2/Q7/2N2N2/PP2PPPP/R1B1KB1R b KQkq -,b8d7
r2qkb1r/1p1n1ppp/2p2n2/3pp3/pP4b1/P2P2PP/1BPNPPB1/R2QK1NR b KQkq -,g4h5
8/8/1p6/pPk5/P1rr3P/6P1/5Q1K/8 w - -,h4h5
rnb1qrk1/1p2b1pp/2p1pn2/p1PpNp2/3P4/1PN3P1/P3PPBP/R1BQR1K1 b - -,b8d7
1k1r4/ppr2p2/4p2P/4P2P/8/q1pQ4/P1P5/3K1RR1 b - -,d8d3
rn3rk1/pb2qpp1/1p1ppn1p/2b5/2P4B/1QN1PN2/PP2BPPP/R4RK1 w - -,b3c2
r2r2k1/pb2qpp1/1p1p1nnp/4p3/2PR4/P1N1PPB1/1PQ1B1PP/4K2R w K -,d4d2
8/8/4k1p1/3p1n1p/4KP2/6P1/4N2P/8 w - -,e4d3
r2r2k1/pp1bbppp/nq2p3/4P3/1P1n4/P2Q1NP1/1B3PBP/R4RK1 w - -,b2d4
r5k1/pr3p1p/2R1pbp1/BP6/2K5/8/1P1R1PPP/8 w - -,b2b4
r5k1/1p1n1ppp/p1r1p3/8/8/PN2P3/1P3PPP/2R2RK1 w - -,c1c6
6k1/6B1/4b1p1/4p3/6p1/6K1/5PB1/8 b - -,g8g7
r3k2r/pppbq1pp/3p4/1B1Pp3/2Q5/4b3/PPP2PPP/R4RK1 w kq -,f2e3
2r3k1/p4pp1/b3p2P/4P2P/1p1p4/1n1P1N2/1Pq1QPB1/3R2K1 w - -,f3d2
r2qr1k1/pb1nbppp/2p1p3/2ppP3/2P2B2/1PNP1N2/P3QPPP/R3R1K1 w - -,g2g3
1rr3k1/p3ppbp/6p1/2P5/1P2N3/3RP1P1/7P/1R4K1 w - -,d3a3
r3k2r/p1pn1p2/bp1p1q2/4p1p1/3PP1Pp/P1P4P/N1P2PB1/1R1QK2R b Kkq -,e8c8
4r1k1/5pb1/r2p1Rpp/2p1n3/1pP1P2B/1P4PP/2Q5/4R2K w - -,c2d2
3rr1k1/pp1nq2p/2b2pp1/2b5/2P1p2N/1P2B1PB/P1Q2P1P/R2R2K1 b - -,c5e3
4r3/3q2k1/p3p2p/1pp1RrpP/3P4/2PQ4/5PP1/2K1R3 w - -,e5f5
8/2R3pk/4Kp1p/8/3B4/8/5P2/1r6 b - -,h7g6
3r4/8/1kp3p1/4pn2/2P1N1p1/4P2P/R4PK1/8 w - -,h3g4
r2qkb1r/ppp2ppp/3p1n2/3Pp3/2PnP1b1/2N2N2/PP3PPP/R1BQKB1R w KQkq -,c1e3
3r2k1/2q2pb1/6p1/8/4P1Pp/1N1Q3P/P1P5/2K2R2 w - -,d3f3
7r/1pqk1p1r/2pbp1p1/pP6/2PP1p2/P2Q2PP/5PB1/R4RK1 w - -,c4c5
r5k1/p6p/1p1p2p1/3P3n/2PN1Pb1/1R1Br3/P5K1/5R2 w - -,f1f2
4Q3/p1r2Pkp/1b3np1/8/1r6/3p2PP/P4PB1/5RK1 b - -,c7f7
3r3k/p7/5P2/4p3/1P2Q3/4b3/q7/4K3 w - -,e4h4
6k1/6p1/2nrp2p/pq3p2/7Q/R3BN1P/1r3PP1/2R3K1 b - -,b2b1
8/p7/1p5b/5k1p/1p3Pp1/4BP2/P3K2P/8 w - -,e3b6
r1b2rk1/1pqnbp1p/p2p1np1/8/4PB2/1NN5/PPP1B1PP/R2Q1RK1 w - -,d1d2
8/4Kpk1/3R3p/3b1Pp1/6P1/6P1/8/8 b - -,d5f3
r2r2k1/1ppbqppp/2n1pn2/3p4/p1PP4/P4NP1/1PQNPPBP/2RR2K1 b - -,c6a5
rnbqkb1r/ppp1pppp/5n2/3p4/1P6/4P3/PBPP1PPP/RN1QKBNR b KQkq -,g7g6:e7e6:c8f5
3R4/2pR4/p7/8/4kP2/2Pp2r1/PP3b1K/8 w - -,d7d4
r2qr1k1/pp1nppbp/3p1np1/6B1/3P1P2/2P2N2/PP1NQ1PP/R4RK1 b - -,a8c8
r2r2k1/p1q1bpp1/2p1p2p/1pn4P/3P1Nn1/5N2/PP1BQPP1/2K1RR2 b - -,e7d6
8/bb5k/8/8/6N1/1N4PP/8/4K3 b - -,b7c8
r1bq1rk1/ppp1p1bp/1n4p1/4Pp2/1n1P4/2N1BP1N/PP1Q2PP/2KR1B1R b - -,c8e6
3r4/4pk2/4p3/7p/2bBR1PP/5PK1/8/8 b - -,c4d3
2k1rbn1/1bq5/p2p1npr/1pp1p1N1/4PN2/3P3P/PPP3B1/R1BQ1RK1 w - -,f4d5
2k5/5Rp1/2P4p/2K1P3/5P1P/6r1/8/8 b - -,g3c3
r2qk2r/ppp2ppp/2pb1n2/4p3/6b1/1P1PPN2/PBP2PPP/RN1QK2R b KQkq -,e5e4
8/p7/2pk4/1p1p2p1/1P1P2P1/2P1K3/P7/8 w - -,e3d3
r1bqk1nr/pp3pbp/2n1p1p1/2pp4/5P2/2PP1NP1/PP2P1BP/RNBQ1RK1 b kq -,g8e7
1rbq1rk1/p5b1/3pp1p1/2p1np2/1pP1P1pP/3PB1P1/PP2QPBN/1R2R1K1 w - f6,e1d1
8/5p2/4p1k1/2p1P2p/3bKPpP/6P1/1R6/8 w - -,b2g2
rnb2rk1/ppp1qppp/5n2/4p3/1bP5/2N2NP1/PP1BPPBP/R2QK2R w KQ -,e1g1
1n1rkbr1/1p3pp1/p3p1b1/7p/P2BP2P/1BN2P2/1P1R1KP1/7R w - -,h1d1
r2qr1k1/1b1nppbp/p2p1np1/1ppP4/4P3/2N1BP1N/PPPQB1PP/3R1RK1 w - -,a2a3
r6r/p2kbppp/1p4b1/2p3N1/4PB2/2P5/PP3PPP/R3K2R w KQ -,e1c1
4rnk1/1p2bpp1/p2pb2p/P3p2P/1Pr1P1P1/2P2P2/3RNBB1/R5K1 w - -,f2e3
r3r1k1/p4pbp/2pR2p1/2B1p3/2b1P1n1/2N3P1/PP3PBP/3R2K1 b - -,e8c8
rnbq1rk1/ppp1b1pp/3p1n2/3Pp3/2P1N3/6N1/PP3PPP/R1BQKB1R b KQ -,f6e4
5b1k/8/5nP1/8/p1Q1pq2/2P5/PP5P/1K1R4 b - -,f4g4
3r2k1/2Q2bpp/8/4p3/3p1n1q/3B1P2/P2BK2P/7R w - -,d2f4
2rr3k/5B1p/p7/Pp2p3/1P2Pb2/2P5/2R4P/5R1K b - -,d8d3
3Q4/p4pbk/1p4p1/2P1q2p/1P4bP/3p2P1/3r1PB1/2N2RK1 b - -,b6c5
rnbqk2r/p1p1bppp/1p2pn2/3p2B1/3P4/3BPN2/PPPN1PPP/R2QK2R b KQkq -,b8d7
2r2r1k/pb3p1p/1p2pq2/5p2/3P1Q2/2PB1P2/P5PP/R4RK1 w - -,a1c1
2r3k1/r1q2p1p/p2p2p1/P1pP1P2/1pB5/2b5/R1P2PPP/3Q1RK1 w - -,d1e2
4rrk1/3b2pp/p1p2q2/1p1p4/3N3P/2P2PK1/PPB5/R1BQ4 w - -,b2b4
rnbq1rk1/p3ppbp/1p3np1/2pp2B1/3P4/2P1PN2/PP1NBPPP/R2QK2R w KQ -,e1g1
4r1k1/5pp1/7r/1P1q1P1P/4p1B1/4Q3/7P/4R2K w - -,b5b6
8/8/2R5/p1p5/2P2pK1/1B2k3/PP1r4/1b6 w - -,c6e6
1qb2rk1/5pbp/p3p1p1/3pn3/1P2NQ2/P5P1/4PPBP/2R2RK1 w - d6,e4f6
2r4k/1p4p1/p3pn1p/4p3/P3P3/1PNRQ1PP/2PK4/q7 b - -,h8h7
r2qk1nr/pp1bppbp/2np2p1/1Bp5/2P1PP2/3P1N2/PP4PP/RNBQ1RK1 b kq -,e7e6
5k2/3n1pp1/5n1p/2pP4/2P4P/3N1PPB/5K2/8 b - -,f8e7
r5k1/5q1p/3n4/5pPp/4p3/1QPP4/P3RK1P/8 w - -,d3e4
r2r1b2/5kp1/p4p2/8/1p1PR3/6B1/P4PPP/4R1K1 b - -,a8c8
8/6k1/2p3P1/5K2/3P2R1/5p2/4rP2/8 b - -,e2f2
r4r1k/1b3ppp/p1q1pn2/1p4B1/3R3Q/1B6/PPP2PPP/4R1K1 w - -,f2f3
8/8/k5P1/4BP2/7K/pp6/8/6r1 w - -,g6g7
2kr3r/1b1nqpb1/p2pp1n1/1pP4p/4P3/P1NBBN1P/1PPQ2P1/3R1RK1 b - -,d6c5
8/1R3p2/6k1/p3P2p/4K3/2P4r/8/8 w - -,b7b6
k2qbRr1/pp2n1p1/2n1p2p/3pP2P/P1pP2pN/Q1P1B3/2PKBP2/R7 b - -,g8f8
8/3n4/1p2bpn1/p1pNk1pN/2P1P1P1/PP2KP2/4B3/8 b - -,e6f7
2R1n3/1r1nkppp/1p2p3/pN1p4/3P4/1P2PNP1/1P2KP1P/8 b - -,b7b8
r2qr1k1/1p1n1pp1/p1pb1n1p/3p4/PP1P4/2N3PP/2Q1PPB1/1RB2RK1 b - -,d7b6
2n1r1k1/p5pp/1p2pr2/nP1p4/3P1PP1/B1P2RN1/7P/4R1K1 b - -,a5c4
7k/1p1R3p/2p3p1/8/5p2/1B3P1P/P4bP1/4q1BK w - -,d7d1
r3rbk1/1bp2pp1/p4n1p/P2q4/1pNp4/1B1P1P2/1PP3PP/R1BQ1RK1 b - -,d5f5
3r4/2qr1pkp/p2p1bp1/1ppRn3/2P5/1P2P1PP/PBQ2PB1/3R2K1 b - -,b5b4
8/8/5k2/8/3p1K2/3P1RP1/8/4r3 w - -,g3g4
r5rk/pb2q2p/1p6/2p1p3/2PnNpP1/P1R2P2/1P3Q1P/1B4RK b - -,h7h6
1n2k2r/1pq2ppp/2pnp3/5b2/1P1P4/1B3NN1/2P2PPP/Q4RK1 b kq -,e8g8
r1b1k2r/pp3ppp/1Qnbpn2/3pN3/3P4/2N5/PP2PPPP/R1B1KB1R b KQkq -,a7b6
q1r3k1/5pp1/p3p2p/1p1nb3/3B1P2/1P2P3/P2Q2PP/2R3K1 w - -,d4e5
2R2r1k/5r2/3p1Qpb/1p2p3/4P3/3P2R1/P4PB1/6K1 b - -,f7f6
8/2nr1ppk/2q1p2p/2Q5/4PP2/3P2P1/5K1P/2R1N3 b - -,c6a6
5rk1/3b3p/3p1q2/1p1Pb3/1P4p1/4B1N1/3Q2PP/5RK1 b - -,f6g6
