8/4r1k1/8/5p2/1pR4P/1p3P2/6PK/8 w - -,c4b4
rnbqk2r/pp2ppbp/2pp1np1/8/P2PP3/2N1B3/1PP1BPPP/R2QK1NR b KQkq a3,a7a5
8/4k3/5Rp1/4P3/3P1pPp/5B1P/5PK1/q7 w - -,f6f4
2r2rk1/pp1qbppb/4p2p/3pP3/3P1PP1/2B5/PP2Q1BP/R4RK1 w - -,f4f5
rn1q1rk1/pb1p1ppp/1p2pn2/3P4/1bP5/2NB4/PP2NPPP/R1BQ1RK1 b - -,f8e8
r3rbk1/3n1pp1/2p1qnp1/Pp2p3/4P1P1/1N3Q1P/1P3PB1/R1BR2K1 b - -,d7c5
1r4k1/3r1pp1/1q5p/pp2PQ2/1n1P4/6P1/1P3B1P/2R2BK1 b - -,b6e6
2r2rk1/5ppp/pp1p1b2/2pPn3/P7/1P2P1PP/1B3P2/1R1R1BK1 b - -,b6b5
1r3bk1/2q2pp1/Bp2p2n/p2pP2p/P2P1BP1/nP1Q1NK1/5P2/7R w - -,h1h5
6R1/2p5/2kb4/5r1p/P7/4B3/5PK1/8 b - -,d6e7
r2qrbk1/1p3p1p/2p3p1/p2bN3/3P4/1P1B3P/P1Q2PP1/3RR1K1 w - -,d3c4
r1br2k1/1pq1bp1p/p1p1n1p1/2P1p2n/1PN1P3/2NB4/P4PPP/1RBQ1RK1 w - -,c4b6
rnbqk2r/pp2bppp/3p1n2/2p1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,c1e3:e1g1:f3d2
8/1k6/3pp3/PP2b3/2K1PN1p/8/6PP/8 w - -,f4e6
r2qkb1r/1p3pp1/p3pn1p/3pn3/5Bb1/2NP2P1/PP2PPBP/2RQ1RK1 w kq -,f4e5
rnbq1rk1/pp2ppbp/5np1/2pp4/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 w - -,d4c5
2r5/1kP5/6R1/1P3p1p/1K3P1P/5P2/8/8 b - -,c8c7
5rk1/1bq3b1/p3p1p1/1p5p/2p1P3/2P1B2Q/PP4B1/2KR4 w - -,h3e6
2k5/ppqb1p2/6n1/1Pbp4/4p1P1/P1PQ4/1B2B1P1/2R2K2 w - -,d3d5
8/b3r3/P2p3P/3P1k2/1P6/2P2p1P/K2R4/8 b - b3,f3f2
r3r1k1/1p1nqp1p/2p3p1/3p3n/1p1P4/P1N1PN2/2Q2PPP/1R3RK1 w - -,a3b4
r3r1k1/p4p1p/b1n1q1p1/1p1pP3/5B2/1B1Q4/PP3PPP/R3R1K1 b - -,c6e7
r4rk1/pQ1nqpbp/5np1/2p5/P1B5/2N5/1P3PPP/R1B2RK1 w - -,c1f4
r4rk1/p2q4/1pn4b/2pbppN1/7N/2PP2P1/PPQ2P1P/R3R1K1 w - -,g5f3
4r1rk/ppp1P3/3pR2p/4n1q1/8/2Q4P/PP3p2/3K1B1R w - -,h1h2
4n2k/4P3/8/Q2p1p2/1P1P1P2/p1q4P/8/5N1K w - -,a5a8
4k3/R7/3p1p1p/n1pP4/2P5/3K3P/P3B3/4b3 w - -,e2d1
8/7k/7p/1Rnr4/3Nrn2/5N2/7P/3R3K b - -,f4e6
r5k1/1p4p1/4p2p/1RPp1p2/3P1P2/4PK1P/6P1/8 b - -,a8a7
3b4/R5k1/2p3p1/3p3p/P7/7P/2P3P1/7K b - -,g7h6
r4rk1/pp1q1pbp/nn4p1/2pP4/8/1PN3Pb/PB1QNPBP/R4RK1 w - -,a1d1
1r3rk1/p2nppbp/bqpp2p1/2p5/P3P3/N1PP2PP/1PQN1PB1/RR4K1 b - -,d7e5
r1bq1rk1/pp2npbp/2npp1p1/8/1PP1N3/5NP1/3PPPBP/1RBQK2R b K -,d6d5
1r6/pp1b2p1/3k1n2/3p4/3N4/3B1P2/PPR2KPP/8 b - -,b8h8
r7/5r1k/pp3qp1/2p4p/1PPp3P/3Q4/P4PP1/1R3RK1 w - -,b4c5
r3r1k1/p1q1bpp1/1pp1b1np/4p3/N1P1P3/1P2BN1P/PQ3PP1/2R2BK1 b - -,e7f6
2q1rbk1/r5p1/p2p3p/3P3P/2p2R2/P1B2Q2/KPP5/5R2 w - -,f3f2:f1g1
8/5pk1/3pq1p1/2p2nP1/2P5/3P1Q1K/8/5R2 w - -,h3h2
2r3k1/pbr3pp/1pp1p3/3n1p2/3P4/3NP1P1/PR3PBP/2R3K1 b - -,b7a6
4r3/pp3kp1/2p1pn1p/q6P/1B1Q4/8/PPP2PP1/1K5R b - -,a5d5
2R5/8/6k1/1p2rp2/1P4p1/P4K2/5P2/8 w - -,f3g3
r2q1rk1/pp2bppp/8/3p3b/1P1P4/PQ3N1P/4BPP1/R3R1K1 b - -,a8c8
r2q1rk1/1p3pbp/p5p1/2Ppnb2/1P6/P7/1B2BPPP/RN1Q1RK1 w - -,b1d2
8/8/1p1k2B1/1P2b2P/4RpK1/4pP2/5r2/8 b - -,d6e6
8/3rk3/3r1p2/R2Pp1p1/8/1P1R4/6PK/8 b - -,e5e4
r2q1rk1/2p1bppp/p1np1n2/1p6/3pP1b1/1BP2N2/PP2QPPP/RNBR2K1 w - -,c3d4
r4rk1/2pn1pp1/1pN1p2p/3n2q1/3P4/3BP3/PP3PPP/RQ3RK1 b - -,f7f5
2rq2k1/1p2ppbp/p2p2p1/2nP4/4P3/1P2B1P1/P1RQ1PBP/6K1 w - -,h2h3
8/1p1r4/p1p5/6kp/4R1P1/1PP2p1P/1P3K2/8 b - -,d7d3
r1b3k1/pp1nq2p/3p2p1/2pP1p2/4NP2/1PQ5/P3PPBP/5RK1 w - f6,e4g3
3b3r/5pk1/Qpq2p2/2p3p1/8/1P4P1/1B3P1P/3R2K1 w - -,a6d3
4r1k1/ppq3p1/2p2B2/2P5/3P4/P4QbP/1P2r1B1/1K1R1R2 b - -,g7f6
r3r1k1/p4pp1/bpnb4/3p1pN1/8/2P2N2/PP1B1PPP/3RR1K1 w - -,d2c1
2br2k1/1p3p1p/1qB3p1/4Q3/8/1P2N1P1/4PP1P/5RK1 b - -,b7c6
k1r4r/p4P2/4p3/1p1b3p/1b1p2pN/6B1/1P4PP/3R1RK1 w - -,h4g6
2r2rk1/3bqpp1/p3p2p/4P1P1/1PpbB3/P4N2/2Q2PP1/2R2RK1 b - -,d4a7
4k3/1p3rpp/pB1PK3/8/6P1/P6P/1P6/8 w - -,g4g5
1R6/5Qp1/r3p1k1/7p/5P2/7P/6PK/8 b - -,g6f7
r3nrk1/pp1nbpp1/1qp1p1bp/3pP3/2PP4/1P3NP1/PB1N1PBP/R3QR1K b - c3,g6d3
r6r/1p1nkpp1/p3bn1p/3p4/3P1NPP/2NB1P2/PP3K2/4R2R b - -,e7d6
rnbq1rk1/ppp3bp/3p2p1/3Pp2n/2P1Pp2/P1N2N1P/1P1B1PP1/R2QKB1R b KQ -,c7c5
8/1b3pk1/3p1qpp/2pP4/p1B4P/PP4P1/5P2/4Q1K1 w - -,b3a4
r2r2k1/pbq1bppp/1pp1n3/4P3/5P2/2N3P1/PPQ1P1BP/R1B2RK1 w - -,c1e3
r1b2rk1/1pq3pp/p2b1p2/2p1p3/2Nn1n2/1P1P1BN1/PBP2PPP/R2QR1K1 w - -,b2d4
r1b1k2r/p1p2ppp/2p5/4p3/1bB1P2q/2N2Q2/PPP2PPP/R4RK1 b kq -,e8g8
r3r1k1/1p1n1ppb/2p1pq1p/p7/8/P2P1NPB/1PP2P1P/1RQ1R1K1 w - -,c1e3
1r5r/1q2b1k1/2p3p1/p1p1p2p/N3P1n1/PP2BBPb/2P1Q3/1R1R2K1 b - -,g4e3
8/3n1R2/1pk5/7r/p1P1K3/4N3/8/8 b - -,h5h4
r1bqr1k1/p3bpp1/n1p2n1p/1p1p4/3P3B/2NBPP2/PP1QN1PP/R3K2R b KQ -,c8b7
2Q5/pp1rk1bp/4pq2/8/8/P1P5/KP1r4/4R3 w - -,c8c5
r2r2k1/3q1p2/p1n4p/1P4pn/Q7/N1Pp1P2/P4BPP/R4R1K b - -,a6b5
r1bqk2r/1pp1bppp/p1Bp1n2/8/5P2/1P3N2/PBPP2PP/RN1QK2R b KQkq -,b7c6
8/p7/1p1knp1p/6P1/PPB1K1PP/8/8/8 b - -,f6g5
2r2rk1/1p3ppp/pqn1bn2/3p2N1/P7/1PN1b3/1BQ1BPPP/2R2RK1 w - -,c3d5
4r3/p4k1p/2bR1p2/2r5/2p2PPN/1P2p3/P3K2P/3R4 w - -,b3b4
r1bq1rk1/ppp1npbp/3p1np1/3Pp3/2P1P3/2N1B3/PP1NBPPP/R2QK2R b KQ -,f6d7:f6e8
6rk/1pr2pp1/pn3N1p/3pq3/b2N2Q1/6R1/PP3PPP/4R1K1 w - -,d4f3
r6k/2p2q1p/1p1p1b2/1P1Pp3/4PpQ1/1PB5/7P/6RK b - -,f6g7
2krb2r/1p3pb1/p2pp3/6N1/4P3/2N5/PPP1BnPP/1K2R1R1 b - -,g7f6
1r1k1b2/p3npp1/4p1b1/2p1P3/3q1PPr/P1Np2Q1/3P1RB1/R1B3K1 b - -,h4h8
r1b1r1k1/pp3ppn/2pR3p/8/1PP4P/P1Q1PBq1/1B4P1/R5K1 b - -,c8e6
4nrk1/2rq1p1p/4p1p1/3pb2P/1pnP2Q1/3R4/1P2NPPN/2B1R1K1 w - -,d4e5
r1bqr1k1/ppp1npb1/6pp/2B1p3/1P1n4/2NP1NP1/P3PPBP/2RQ1RK1 w - -,f3d2
8/8/5k2/5P2/pp4PP/r7/P4RK1/8 w - -,g4g5
3b1k2/Q7/3p2p1/1r1P1p1p/5P1P/6P1/6K1/8 w - -,a7h7
4r3/ppp2p1p/2k1bp2/3p3r/3P3P/P4P2/1PPKNP2/6RR w - -,g1g7
2r1k3/4P1b1/3P2pp/1P6/p4pPP/5P2/1p1R2K1/8 w - -,d6d7
4r2k/1bp3pp/1pn2rq1/5pn1/3P4/1N1BPP2/2QB2PP/1R3R1K b - -,e8f8
r1bq1rk1/ppppppbp/2n2np1/8/2P5/2NP2P1/PP2PPBP/1RBQK1NR b K -,a7a5
5rk1/4ppbp/1q1p2p1/1rpP2B1/4P3/1P3P2/P2Q2PP/1RR3K1 b - -,g7d4
3r4/4np2/r2p2kp/1NpP4/P3NK1P/1P2P1P1/8/3R4 w - -,g3g4
r1b1r1k1/ppp1q1pp/1n3p2/8/2PNp1n1/P1Q3P1/1P2PPBP/R1B2RK1 w - -,b2b3
3rr1k1/1p2b1np/q4p2/3p2p1/p2B2P1/P1P2N2/1P1Q1PP1/3RR1K1 w - -,g2g3
7R/8/8/8/3kq3/1K6/8/8 b - -,e4e6
r4rk1/1ppq1npp/4pb2/2Pp4/pP1P1P2/P5P1/1B4BP/R2Q1RK1 b - -,b7b6
7r/1pB5/p4k2/Pb1Ppp1P/6p1/2Pp2P1/3R4/6K1 w - -,d2h2
8/4k3/2K1p3/3pN1P1/3P1n2/8/8/8 b - -,f4h3
r1bq1rk1/pp1nbppp/2pp1n2/4p3/3PP3/2N3P1/PPP1NPBP/R1BQ1R1K b - -,f8e8
r2qkb1r/pp2nbpp/2n2p2/2p1pP2/3pP3/3P1NPP/PPP1N1B1/R1BQK2R w KQkq -,g3g4
8/p4bkp/1pp1qpp1/4p3/1P2PbP1/4N1NP/P1P1QP2/6K1 w - -,a2a3
8/5k2/6p1/7p/b3PK1P/1pB5/1P3P2/8 b - -,a4d7
6k1/5bp1/1p3n1p/p2p4/P7/1P1B2NP/2P3P1/7K w - -,g3f5
6k1/2p1bp1p/2N3pP/2nPp3/4P3/2r2P2/8/1R2K2R b K -,e7f8
r7/5k2/3P1b2/2p1R3/p1P5/6p1/PPB3K1/8 w - -,e5c5
8/p1k2p2/8/8/1Pn2q2/2Q4P/p5B1/7K w - -,b4b5
r2q1rk1/1b1pbppp/p1nBp3/1p6/4P3/2N1Q3/PPP1BPPP/3R1RK1 w - -,e2f3
r5k1/pbqnrpbp/1p1p1np1/2p5/2P1PP2/2BB1NN1/PPQ3PP/4RR1K w - -,b2b3
r1b1k2r/b3qppp/p1Q1p2n/3pP3/N4P2/8/PP2B1PP/R1B2R1K b kq -,e7d7
r1bn2k1/6b1/2r5/pNR1p1pp/4Pp2/P4P2/4B1PP/4BRK1 w - -,c5c6
r1bq1rk1/5p2/2npp1p1/2p1b1Np/p2nPP1P/PP1PB3/BP1Q2P1/2RN1RK1 b - -,a4b3
r2qr1k1/1b3ppp/1n1p1bn1/pPpP4/P3B3/1PN2N1P/2QBRPP1/3R2K1 b - -,g8h8
rn1q1rk1/pp4bp/2ppbnp1/4p3/2P1P3/2N3P1/PP2NPBP/R1BQ1RK1 w - -,b2b3
1k1r3r/pp1nqp1p/3bp1p1/3p2PP/3P2Q1/3B3R/PPPB1P2/1K2R3 w - -,e1h1
6k1/3qbp2/7p/1p1rp3/p5pP/P1P1BQ2/1P3PP1/4R1K1 w - -,f3e2
r2q1rk1/p2nbpp1/2n1p2p/1p1p4/2pP1BPP/2P1PN2/PPQN1P2/R3K2R b KQ -,f8e8
1k6/pp5p/8/3pQ3/2pP3P/P1P4q/BP6/4K3 b - -,b8c8
rq2k2r/2bp1pp1/2b1pn2/p6p/2P1P3/Q2N1P2/1P2B1PP/2R2RBK w kq h6,e4e5
1k6/1pp5/p1n3p1/5p1p/5P1N/2P5/PP4PP/4K3 b - -,c6e7
8/6p1/4npk1/R6p/8/4NKP1/5P2/2r5 w - -,e3g2
3rb2k/pp4p1/1bnrpq1p/5p2/3P3P/P3QNN1/1P1R1PP1/1B2R1K1 w - -,e3b3
2k1b3/ppq2p2/5Qn1/1Pbpp3/6P1/P1Pp4/1B2B1P1/2R2K2 w - -,f6f5
4r1k1/5pbp/r3p3/p2p2PN/2nNn3/2PqB3/1P4PP/R1Q2R1K w - -,e3g1
2kr1bnr/pp3ppp/2n1p3/1N1q1b2/3p4/2P1BN2/PP3PPP/R2QKB1R w KQ -,f3d4
r1b1k2r/p1q2ppp/1pnp1n2/2p1p3/2PPP3/2PB1N2/P1Q2PPP/R1B2RK1 w kq -,d4d5
8/2R5/5p2/1r1kp1pp/7P/1P4P1/4PK2/8 w - g6,h4g5
3r1rk1/pp2ppbp/1q3np1/2nb4/P4B2/1P1N2P1/2PQNPBP/R4RK1 w - -,a4a5
r3k2r/p1p2ppp/1p4Q1/2NPp3/2P3b1/4P1P1/P4P1P/1R2K2R b Kkq -,h7g6
8/2b1k3/1p2p3/1P2P2p/P2qQP1P/3B1KP1/8/8 b - -,d4g1
4r3/4rkp1/pR2p1q1/4Rp1p/8/PQ4P1/1P3PK1/8 w - -,b6a6
5k1r/5pp1/4b2p/1p1pPp1P/2pP1B2/2P4R/2PKBPP1/r7 w - -,e2f3
6k1/5p2/8/pp2p3/3pP1B1/bP1P4/R4K2/2r5 b - -,b5b4
3k4/4pp1p/1P1p1bp1/1rpP4/N4RP1/1P2P2P/2K2P2/8 b - -,h7h6
3r4/2p1k3/2Q1p3/pP2Pp1P/2b5/5P2/2r1B1P1/5K2 w - -,c6c7
3r2k1/p2r2bp/2p1bqp1/2Bnpp2/2N5/1B3P2/PPP3PP/K2RQ2R w - -,d1b1
6k1/R7/2r3p1/8/4N1P1/5PK1/8/8 w - -,g3f4
rn2kb1r/ppp2ppp/4b3/4p3/4P3/2P1B3/PPK2PPP/R4BNR b kq -,b8d7
1r2r1k1/p3bpp1/q1p1p2p/2Pn3P/3P4/1PB2N2/P1Q2PP1/1K1R3R w - -,g2g4
2r3k1/p2R1pp1/1p5p/4p1q1/1P2b3/P3P3/5PPP/4QB1K b - -,g5h4
r2q1rk1/2n1b1p1/pn1Np2p/2pbP3/1p3BBP/1P3NP1/P3QP2/R2R2K1 w - -,e2e3
5bk1/p4p2/1p3np1/1P5p/5B2/5PP1/P6P/4R1K1 b - -,f6d5
R7/8/8/5k2/3n4/4r3/5K2/8 b - -,e3e7
r1bq1rk1/p4pp1/2pb1n1p/3p4/5B2/2NB1Q1P/PPP2PP1/R3R1K1 b - -,a8b8:d8c7
r1bq1rk1/p2pppbp/1pn2np1/8/3pP3/2PB1N2/PP1N1PPP/R1BQ1RK1 w - -,f3d4
rn1qkb1r/pp3ppp/2p2p2/3p1b2/3P4/4P1P1/PPP2PBP/RN1QK1NR b KQkq -,b8d7
8/1q3p1k/6p1/1P6/1P2rQ1P/6P1/5P2/2R3K1 w - -,f4d2
2r5/6p1/4p3/8/6k1/8/2pK1P2/7R w - -,d2c1
r2q2k1/5r1p/pn1p1bpB/P1pP4/1p3PP1/3QN3/1P5P/R4RK1 b - -,b6d7
r2qk2r/1bpnbppp/pp2p3/8/3PnB2/P1NQ4/1PP1BPPP/2KR3R w kq -,c3e4
3r2k1/4qpp1/2Rp4/2nP3p/pp3P2/P1b2QP1/6BP/3R2K1 b - -,e7a7
1k1r3r/1p3R1p/p1pq1P2/7P/3pNPB1/8/PPPB4/2K4R b - -,d6d5
r4rk1/1b1q3p/1p4p1/2npP3/1P1Np3/2R1P3/1B4PP/2RQ2K1 b - -,d7f7
r4rk1/1p1bqp1p/p2p2p1/2pP3B/P3P3/2N4P/1P3PPb/R2Q1RK1 w - -,g1h2
8/4p1kp/2q3p1/P7/1Q1p1P2/2r1p3/R1P3PP/5K2 b - -,c6e4
r1b1k2r/ppppqpp1/5nn1/3Pp2p/1b2P2P/2NQBPP1/PPP5/R3KBNR b KQkq -,b4c5
4r2k/2qQ2pp/4np2/5N2/4P3/5PP1/6KP/3R4 b - -,c7b8
r4rk1/pp3pbp/1q1pbnp1/2p5/2PnPB2/2N2N2/PP1QBPPP/R2R2K1 b - -,f8e8
r2qr1k1/pp2bpp1/2bp1n1p/3Np3/4P3/2NQ4/PPP2PPP/R1B2RK1 b - -,a8c8
3r2k1/pq1r1pbp/1p2p1p1/n1p1P3/5P2/2P1BNP1/PP2Q2P/3RRK2 b - -,a5c6
r2qk2r/pppbbppp/2n3n1/1B2p3/8/1P2PN2/PBPN1PPP/R2Q1RK1 b kq -,f7f6
r2q1rk1/pppb2n1/3p1b2/2nP1Pp1/6B1/2N1NRB1/PPPQ4/R5K1 b - -,b7b5
rnbqkbnr/pp3ppp/4p3/8/1pPP4/4PN2/PB4PP/RN1QKB1R b KQkq d3,g8f6
r2rb1k1/p3q1b1/2n1p1pp/4P3/3P4/p3B3/1P3QP1/1BRN1R1K w - -,b2a3
r2q1r1k/1b1nn1bp/p5p1/1p2ppB1/1P1PP3/1QP2B2/3NN1PP/R4RK1 b - -,h7h6
2k5/ppp5/3r1p2/7p/1Pn2P2/2P3PK/4R3/8 w - -,h3h4
8/6P1/2Pkb3/p7/Pp1KB3/8/8/8 b - -,e6g8
r1bq1rk1/1ppn1ppp/1n1p1b2/p7/P3P3/1BN1BN1P/1PPQ1PP1/R4RK1 b - -,d7c5
8/p7/3k4/2p5/1p2p1P1/P5P1/1P3K2/8 b - -,b4a3
3r4/p1k3pp/2pb1p2/8/1P1PNpb1/2P2N2/P4PPP/4R1K1 b - -,a7a5
1k6/8/P7/K7/1N6/5B2/1r6/8 b - -,b2b1
r1bq2k1/ppp2rbp/3p1nn1/2PPp1p1/PP2Pp2/2N2P2/4BBPP/2RQNRK1 b - a3,g7f8
8/1p3bk1/8/1P2R3/P5p1/6P1/3r3P/R5K1 b - -,f7d5
1r3rk1/2q2pbp/R1n1p3/1p1pNp2/3PnP2/2P1BN2/1P2Q1PP/5R1K b - -,c6e5
7r/2p2k2/p4P2/2N5/2p5/1P2K3/P6p/7R b - -,c4b3
r3r2k/3n2bp/p1p1p1p1/1p2PpR1/3P1P2/1QN1Bq2/PP3P1P/3R2K1 w - -,b3c2
r1b1kb1r/1pqp1ppp/p1n1pn2/8/4P3/2NB1N2/PPP2PPP/R1BQ1RK1 b kq -,d7d5
7r/ppk2b2/5p2/3rn2p/5B1P/2P5/P2R1PP1/3R2K1 w - -,d2d5
r7/pq3k2/4Rrpp/1Pp2p2/2P2P2/3P2PP/P3Q3/4R1K1 b - -,f6e6
8/4kp2/7R/3pPp2/8/1r5P/4K1P1/8 w - -,h6f6
r3kb1r/1p1b1pp1/2n1p2p/qpPpP2P/3Q1PP1/P1N1B3/1PPN4/2KR3R w kq -,d4d3
r2qk2r/1ppb2b1/p3p1pp/2PpPp2/P2P1PP1/3BQN1P/1P6/R3K2R b KQkq g3,e8g8
6k1/pp3pp1/2q2rnp/2pn1N2/6R1/P1P2N1P/1PQ2PPK/8 w - -,f3h4
8/4k1Q1/2r3p1/5p1p/2B5/7P/5P2/7K b - -,e7d8
rnbq1rk1/p4ppp/1p1bpn2/2ppN3/3P1B2/2PBP3/PP1N1PPP/R2QK2R b KQ -,c8a6
8/8/5pk1/8/5PP1/3R2K1/8/r7 w - -,d3d7
r7/4b3/1B6/P3pk2/1P3p1p/2PK1P2/8/5R2 w - -,b4b5
5r2/2R2n1k/2p2Bp1/p2p3p/1P1P1P2/7P/P5P1/6K1 b - -,a5b4
4rr2/p2q1nkp/1pp3p1/2p2b2/Q7/1P1P1N1P/P1P2NP1/4RR1K b - -,e8e1
r7/4kpp1/pnp2n1p/1p2p3/1P2P3/P1N1P3/1PR1B1PP/2K5 b - -,a8d8
r3kbnr/pp3ppp/4p3/n1P1P3/2p3b1/5N2/PP2BPPP/RNB1K2R w KQkq -,b1d2
1r6/6pp/1brpkp2/1p6/4p3/1P1R2P1/3B1PKP/3R4 w - -,d3c3
r1r3k1/1p3ppp/5n2/2qP3P/ppPQ4/1P3B2/P4PP1/1K1RR3 b - -,a4b3
r1bqk2r/ppp1bppp/2n5/3p4/3Pn3/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,e8g8
r3k1nr/ppp2ppp/2n5/4P3/1bP1q1b1/4B3/PP1NBPPP/R2QK1NR b KQkq -,e4g2
8/p3b3/1p6/5p2/2k1pPP1/Pb1p3P/2n3K1/2NR2B1 w - -,c1b3
2r3k1/4qp2/6p1/4p2p/1p1pPb1P/1Q3RNK/1P2RPP1/2r5 b - -,f4g3
8/5R2/k2r2p1/4p3/7p/4K1P1/4P2P/8 w - -,g3g4
8/2N4p/1p3k2/1b4pP/4B1P1/4K3/8/5r2 b - -,f6e5
rnbqkb1r/1pp2ppp/p3pn2/3p4/3PP3/3B1N2/PPPN1PPP/R1BQK2R b KQkq -,c7c5
8/8/7p/R3pk2/5r2/4K3/8/8 b - -,f4b4
2r1r1k1/p7/1pq3nR/1Q2ppB1/2Pp4/P2P1PP1/4P1K1/1R6 b - -,g8g7
r1bqk2r/pp3ppp/2n1pn2/2bP4/5B2/2N1PN2/PP3PPP/R2QKB1R b KQkq -,f6d5
8/1pRbqkn1/5r1p/1P1Pp3/4Pp1Q/3B3P/6P1/6NK b - -,b7b6
8/3Rbk2/Pp2p3/4Pp2/P3pP2/2P1B3/3KQ2r/7q w - -,e3f2
r1bqk2r/ppp1nppp/8/3PP3/2p1P3/2N1bN1P/PP4P1/R2QKB1R w KQkq -,f1c4
r1b2rk1/1p3ppp/p2q1n2/2bp4/3P4/P1N5/1P2BPPP/R1BQ1RK1 b - -,c5a7
2b5/3k4/q5p1/3PQp1p/4pP2/2B1P1PP/6K1/8 w - -,g2g1
3r2k1/p4p1p/1p1rp1p1/q2b4/P1pQ2N1/2P5/5PPP/3R1BK1 b - -,h7h5
4N3/1p1n4/p4p2/3K4/7k/7P/PP6/8 b - -,h4h3
rnbq1rk1/ppppnpbp/6p1/4p3/2P1P3/2N3P1/PP1P1PBP/R1BQK1NR w KQ -,g1e2
rnbqk2r/p1p1bppp/1p2pn2/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R w KQkq -,d1a4
8/2kn4/1p5R/4p1PP/8/r7/5P2/6K1 b - -,a3a8
2k2K2/5P2/8/8/6r1/8/8/3R4 b - -,g4g2
r1bqkbnr/5ppp/p1p1p3/3pP3/8/3B4/PPP2PPP/RNBQK2R w KQkq -,e1g1
8/8/1kp5/5R2/1P2p3/p1P1P3/P1K2P2/6r1 b - -,g1a1
8/1p1R4/p4k1p/2p5/4rp2/2P3P1/PP3K1P/8 w - -,d7b7
rn1q1rk1/pp2ppbp/6p1/3p4/3p3B/2PQP3/PP1N1PPP/R3K2R w KQ -,c3d4
r4rk1/pp4pp/3N1b2/4qP2/8/3Qp2P/PP4P1/1R3RK1 b - -,a8d8
r1b2rk1/pp1n2pp/2pbp3/3p1p1n/2PP3q/2NBPP1P/PP1BN1P1/R3QRK1 b - -,h5g3
3B4/1k4p1/5p1p/1P2pP2/nbBpK1P1/3P3P/8/8 w - -,b5b6
7r/2p1n1b1/ppn1k2p/4ppp1/P1P5/1N2N1P1/1P2PP1P/2BR2K1 b - -,h8d8
8/4R1pk/4Nn1p/p2P4/1b6/6B1/1r3PPP/5RK1 b - -,b4e7
r4k2/3P1pp1/p1Rn3p/1p6/8/8/1P4PP/5BK1 w - -,c6a6
r1bq1rk1/1pp1ppbp/3p1np1/p2P4/Pn2P3/5N2/1PP1BPPP/RNBQ1RK1 w - -,f1e1
8/5nB1/p1k4p/1p3P2/1PpK2P1/P7/8/8 w - -,g7f8
8/R7/8/8/2k1K3/2r4p/p7/8 b - -,h3h2
r6k/ppp2rbp/1nnp2p1/3Np3/4P1B1/4B1PP/PPP2PK1/3R1R2 b - -,a8e8
r4rk1/4bppp/1pq1pn2/2p5/P1N5/3P2P1/1BP1QP1P/1R3RK1 b - -,f6d7
r1b1k2r/pp3pp1/2n4p/2Q5/8/5NP1/Pq2PPBP/RN3RK1 b kq -,b2a1
8/7p/1pk5/p3pKP1/n1P1P3/B7/8/8 b - -,a4c5
rr4k1/p1n1ppbp/2pq2p1/5bB1/Q2P4/2N2N1P/PP3PP1/2R2RK1 w - -,b2b3
